PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,TT,RF,SI,OID,CIN,EIN
6278422,NLM,MEDLINE,19820527,20190501,0305-1048 (Print) 0305-1048 (Linking),10,2,1982 Jan 22,Moloney murine leukemia virus-induced tumors: recombinant proviruses in active chromatin regions.,577-92,"The DNase I sensitivity of chromosomal DNA regions carrying integrated proviral genomes of Moloney (M-MuLV) and AKR Murine Leukemia Virus (AKR-MuLV), and the cellular homologue of the mos-gene (c-mos) of Moloney Sarcoma Virus (MSV) were studied in tumor tissues of leukemic mice. The genetically transmitted sequences of M-MuLV, AKR-MuLV, and the c-mos gene are all in DNase I resistant chromatin conformations in M-MuLV-induced tumors. Each M-MuLV-induced tumor contained at least one somatically acquired integrated recombinant MuLV genome that displayed two main characteristic features of active chromatin: a) a configuration hypersensitive to DNase I, and b) extensive hypomethylation. DNase I hypersensitive sites were mapped at the junction of cellular sequences and the 5'-viral large terminal repeat (LTR). Expression of a recombinant MuLV seems therefore to be a necessary feature to maintain the transformed state.","['van der Putten, H', 'Quint, W', 'Verma, I M', 'Berns, A']","['van der Putten H', 'Quint W', 'Verma IM', 'Berns A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Res,Nucleic acids research,0411011,"['0 (Chromatin)', '0 (DNA, Recombinant)', 'EC 3.1.- (Deoxyribonucleases)', 'EC 3.1.- (Endonucleases)', 'EC 3.1.21.- (DNA Restriction Enzymes)', 'EC 3.1.21.1 (Deoxyribonuclease I)']",IM,"['AKR murine leukemia virus/genetics', 'Animals', 'Cell Line', 'Cell Nucleus/physiology', '*Cell Transformation, Neoplastic', 'Chromatin/*physiology', 'DNA Restriction Enzymes', 'DNA, Recombinant/*analysis', 'Deoxyribonuclease I', 'Deoxyribonucleases', 'Endonucleases', 'Leukemia, Experimental/*microbiology', 'Methylation', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus/*genetics']",1982/01/22 00:00,1982/01/22 00:01,['1982/01/22 00:00'],"['1982/01/22 00:00 [pubmed]', '1982/01/22 00:01 [medline]', '1982/01/22 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1982 Jan 22;10(2):577-92. doi: 10.1093/nar/10.2.577.,['10.1093/nar/10.2.577 [doi]'],,PMC326159,,,,,,
6278420,NLM,MEDLINE,19820527,20190501,0305-1048 (Print) 0305-1048 (Linking),10,2,1982 Jan 22,Simple repeated sequences in human satellite DNA.,547-63,"In an extensive analysis, using a range of restriction endonucleases, HinfI and TaqI were found to differentiate satellites I, II and III & IV. Satellite I is resistant to digestion by TaqI, but is cleaved by HinfI to yield three major fragments of approximate size 770, 850 and 950bp, associated in a single length of DNA. The 770bp fragment contains recognition sites for a number of other enzymes, whereas the 850 and 950bp fragments are ""silent"" by restriction enzyme analysis. Satellite II is digested by HinfI into a large number of very small (10-80bp) fragments, many of which also contain TaqI sites. A proportion of the HinfI sites in satellite II have the sequence 5'GA(GC)TC. The HinfI digestion products of satellites III and IV form a complete ladder, stretching from 15bp or less to more than 250bp, with adjacent multimers separated by an increment of 5bp. The ladder fragments do not contain TaqI sites and all HinfI sites have the sequence 5'GA(AT)TC. Three fragments from the HinfI ladder of satellite III have been sequenced, and all consist of a tandemly repeated 5bp sequence, 5'TTCCA, with a non-repeated, G+C rich sequence, 9bp in length, at the 3' end.","['Frommer, M', 'Prosser, J', 'Tkachuk, D', 'Reisner, A H', 'Vincent, P C']","['Frommer M', 'Prosser J', 'Tkachuk D', 'Reisner AH', 'Vincent PC']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nucleic Acids Res,Nucleic acids research,0411011,"['0 (DNA, Satellite)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Base Composition', 'DNA Restriction Enzymes', '*DNA, Satellite', 'Female', 'Humans', 'Leukemia', 'Male', 'Placenta/analysis', 'Pregnancy', 'Repetitive Sequences, Nucleic Acid']",1982/01/22 00:00,1982/01/22 00:01,['1982/01/22 00:00'],"['1982/01/22 00:00 [pubmed]', '1982/01/22 00:01 [medline]', '1982/01/22 00:00 [entrez]']",ppublish,Nucleic Acids Res. 1982 Jan 22;10(2):547-63. doi: 10.1093/nar/10.2.547.,['10.1093/nar/10.2.547 [doi]'],,PMC326157,,,,,,
6278376,NLM,MEDLINE,19820521,20091111,0048-0169 (Print) 0048-0169 (Linking),29,10,1981 Oct,Feline leukaemia virus testing.,188-9,,"['Jones, B R', 'Lee, E A']","['Jones BR', 'Lee EA']",['eng'],"['Comparative Study', 'Letter']",England,N Z Vet J,New Zealand veterinary journal,0021406,,IM,"['Animals', 'Blood/microbiology', 'Cat Diseases/*diagnosis', 'Cats', 'Enzyme-Linked Immunosorbent Assay', 'Fluorescent Antibody Technique', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Feline/*isolation & purification', 'New Zealand']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",ppublish,N Z Vet J. 1981 Oct;29(10):188-9. doi: 10.1080/00480169.1981.34842.,['10.1080/00480169.1981.34842 [doi]'],,,,,,,['N Z Vet J. 1982 Oct;30(10):161. PMID: 16030832'],
6278323,NLM,MEDLINE,19820521,20190617,0028-0836 (Print) 0028-0836 (Linking),296,5854,1982 Mar 18,Regulation of DNA ligase activity by poly(ADP-ribose).,271-2,,"['Creissen, D', 'Shall, S']","['Creissen D', 'Shall S']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Alkylating Agents)', '0 (Nucleoside Diphosphate Sugars)', '26656-46-2 (Poly Adenosine Diphosphate Ribose)', 'EC 2.4.2.30 (Poly(ADP-ribose) Polymerases)', 'EC 2.7.7.- (Nucleotidyltransferases)', 'EC 6.5.1.- (DNA Ligases)', 'EC 6.5.1.- (Polynucleotide Ligases)']",IM,"['Alkylating Agents/pharmacology', 'Animals', 'Cells, Cultured', 'DNA Ligases/*metabolism', '*DNA Repair', 'Enzyme Activation', 'Leukemia L1210', 'Mice', 'Nucleoside Diphosphate Sugars/*physiology', 'Nucleotidyltransferases/antagonists & inhibitors/*physiology', 'Poly Adenosine Diphosphate Ribose/*physiology', 'Poly(ADP-ribose) Polymerases/metabolism', 'Polynucleotide Ligases/*metabolism']",1982/03/18 00:00,1982/03/18 00:01,['1982/03/18 00:00'],"['1982/03/18 00:00 [pubmed]', '1982/03/18 00:01 [medline]', '1982/03/18 00:00 [entrez]']",ppublish,Nature. 1982 Mar 18;296(5854):271-2. doi: 10.1038/296271a0.,['10.1038/296271a0 [doi]'],,,,,,,,
6278316,NLM,MEDLINE,19820527,20190617,0028-0836 (Print) 0028-0836 (Linking),296,5853,1982 Mar 11,Selective effect of feline leukaemia virus on early erythroid precursors.,156-8,,"['Onions, D', 'Jarrett, O', 'Testa, N', 'Frassoni, F', 'Toth, S']","['Onions D', 'Jarrett O', 'Testa N', 'Frassoni F', 'Toth S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nature,Nature,0410462,,IM,"['Animals', 'Bone Marrow Cells', 'Cats', '*Erythropoiesis', 'Hematopoietic Stem Cells/*microbiology', 'Leukemia Virus, Feline/*growth & development', 'Leukemia, Experimental/*physiopathology', 'Spleen/physiology', 'Thymus Gland/cytology']",1982/03/11 00:00,1982/03/11 00:01,['1982/03/11 00:00'],"['1982/03/11 00:00 [pubmed]', '1982/03/11 00:01 [medline]', '1982/03/11 00:00 [entrez]']",ppublish,Nature. 1982 Mar 11;296(5853):156-8. doi: 10.1038/296156a0.,['10.1038/296156a0 [doi]'],,,,,,,,
6278297,NLM,MEDLINE,19820521,20211203,0026-9298 (Print) 0026-9298 (Linking),130,1,1982 Jan,[Varicella-zoster-immunoglobulin as a safe prophylaxis of varicella (author's transl)].,27-9,"The occurrence of varicella in the course of immunosuppressive therapy is always a hazard to life. Up till now, passive immunization is the only method which provides reliable protection. We have had an immunoglobulin compound at our disposal during the last 5 years. This compound was obtained by screening a plasmapool for high-titre varicella antibodies, which were then fractionated. Varicella immunoglobulin was injected on 298 occasions to children incubated with varicella. There were no serious side effects after i.v. administration. These children were on polychemotherapy because of malignant diseases. Only 4 children developed varicella, 3 of them very mildly and none of them was later disabled due to varicella in any form. The protective value of this varicella-immunoglobulin compound is much greater than any other known so far [16].","['Kornhuber, B', 'Kropp, H', 'Ribeiro-Ayeh, J', 'Hinderfeld, L', 'Welte, K']","['Kornhuber B', 'Kropp H', 'Ribeiro-Ayeh J', 'Hinderfeld L', 'Welte K']",['ger'],['Journal Article'],Germany,Monatsschr Kinderheilkd,Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde,8206462,"['0 (Antineoplastic Agents)', '0 (Immunoglobulins)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Chickenpox/*prevention & control', 'Child', 'Child, Preschool', 'Herpesvirus 3, Human/immunology', 'Humans', 'Immunoglobulins/adverse effects/*therapeutic use', 'Immunosuppression Therapy/adverse effects', 'Infant', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Neoplasms/drug therapy']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",ppublish,Monatsschr Kinderheilkd. 1982 Jan;130(1):27-9.,,,,Zur Sicherheit der Varizellenprophylaxe mit Varizellen-Zoster-Immunglobulin.,,,,,
6278196,NLM,MEDLINE,19820527,20131121,0021-7263 (Print) 0021-7263 (Linking),150,4,1982 Apr,Conditions associated with relapse of amphotericin B-treated disseminated histoplasmosis.,127-31,"Progressive disseminated histoplasmosis (PDH) is a rare consequence of infection with Histoplasmia capsulatum. Usually fatal if untreated, PDH generally is cured by appropriate amphotericin B treatment. Of 31 persons with uncomplicated PDH treated with amphotericin B, we found that relapse occurred in five (16%) after an interval of up to nine years after initial therapy. Review of these five cases and 31 additional relapsing cases from the literature indicates that fungal endocarditis or endarteritis without surgical treatment, underlying lymphoreticular neoplasm, and amphotericin B dosage of less than 2 g appear to be associated with relapse of PDH.","['Bradsher, R W', 'Alford, R H', 'Hawkins, S S', 'Spickard, W A']","['Bradsher RW', 'Alford RH', 'Hawkins SS', 'Spickard WA']",['eng'],"['Case Reports', 'Journal Article']",United States,Johns Hopkins Med J,The Johns Hopkins medical journal,0072456,"['0 (Antifungal Agents)', '0 (Imidazoles)', '0 (Piperazines)', '7XU7A7DROE (Amphotericin B)', 'R9400W927I (Ketoconazole)']",IM,"['Aged', 'Amphotericin B/administration & dosage/*therapeutic use', 'Antifungal Agents/therapeutic use', 'Endocarditis/complications', 'Histoplasmosis/complications/*drug therapy', 'Humans', 'Imidazoles/therapeutic use', 'Ketoconazole', 'Leukemia, Lymphoid/complications', 'Lymphoma, Non-Hodgkin/complications', 'Male', 'Middle Aged', 'Piperazines/therapeutic use', 'Recurrence', 'Retrospective Studies', 'Time Factors']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",ppublish,Johns Hopkins Med J. 1982 Apr;150(4):127-31.,,,,,,,,,
6278193,NLM,MEDLINE,19820527,20131121,0027-8874 (Print) 0027-8874 (Linking),68,3,1982 Mar,Tumor promoter 12-O-tetradecanoylphorbol 13-acetate: effect on complement and Epstein-Barr virus receptors in human lymphoblastoid cell lines.,385-90,"The effect of the tumor promoter 12-O-tetradecanoylphorbol 13-acetate (TPA) on the C3 and Epstein-Barr virus (EBV) receptors in various human lymphoblastoid cells was investigated with the use of the erythrocyte-antibody-complement (EAC) rosette formation method and a quantitative bioassay for EBV receptors. TPA caused a significant decrease of C3 receptors in the cultures of both Raji and SB4 cells (by approximately 50% of the C3 receptors in untreated cultures at 10 ng/ml). Kinetic studies revealed that the rate of reduction was rather moderate but progressive, reaching a maximum 5 days after treatment with TPA. Kinetic studies showed that EBV receptors also decreased, similar to the reduction seen with C3 receptors after TPA treatment. The effect of TPA on the reduction of C3 receptors was observed not only in these cells but also in other EBV-positive B-cells, subclones of SB4 cells, and MOLT-4 cells. However, in an EBV-negative B-cell line, BJAB, EAC rosette formation was significantly enhanced.","['Yamamoto, N', 'Mitsuma, T', 'Vogt, A']","['Yamamoto N', 'Mitsuma T', 'Vogt A']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Phorbols)', '0 (Receptors, Complement)', '0 (Receptors, Virus)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Burkitt Lymphoma/analysis', 'Cell Line', 'Herpesvirus 4, Human', 'Humans', 'Kinetics', 'Leukemia/*analysis', 'Lymphoma/*analysis', 'Phorbols/*pharmacology', 'Receptors, Complement/*analysis', 'Receptors, Virus/*analysis', 'Rosette Formation', 'T-Lymphocytes', 'Tetradecanoylphorbol Acetate/*pharmacology']",1982/03/01 00:00,1982/03/01 00:01,['1982/03/01 00:00'],"['1982/03/01 00:00 [pubmed]', '1982/03/01 00:01 [medline]', '1982/03/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1982 Mar;68(3):385-90.,,,,,,,,,
6278188,NLM,MEDLINE,19820521,20071114,0027-8874 (Print) 0027-8874 (Linking),68,2,1982 Feb,Human lymphoma-lymphoma hybrids and lymphoma-leukemia hybrids. II. Epstein-Barr virus induction patterns.,197-202,"In addition to the spontaneous expression of markers of the early and late phases of the viral cycle [Epstein-Barr virus (EBV), early viral cycle antigens (EA), and viral capsid antigen (VCA)] by a Panel of hybrid cell lines derived by fusion of human hematopoietic cell lines, the induction of these markers by three chemical inducers [5-iodo-2'-deoxyuridine, the tumor promoter 12-O-tetradecanoylphorbol 13-acetate (TPA), and sodium butyrate] were analyzed. A variant of the prototype producer of lytic EBV, P3HR-1 (PICAT) was observed to show consistent low spontaneous and induced production of EA and VCA as compared to the P3HR-1 line from which it was derived. An ""autohybrid"" (PICATPO-1) between these two lines showed a low production of VCA. Hybrids between Raji and P3HR-1 sublines (RUD-PICAT-1 and RUDPUT-2) showed reduced expression of EBV antigens. Both hybrids were capable of VCA expression, in contrast to the Raji parent that expressed EA but not VCA. A new Raji-Daudi hybrid (DITRUD-1) expressed spontaneous and induced EA and VCA at levels intermediate between its two parents. A different type of hybrid was derived from a Daudi subline and the K562 leukemia cell line (DUTKO-1) and was found to be capable of spontaneous as well as induced EA and VCA expression. Both DUTKO-1 and DITRUD-1 were similar to Daudi in their induction profile in respect to a very low response to TPA.","['Klein, G', 'Zeuthen, J', 'Ber, R', 'Ernberg, I']","['Klein G', 'Zeuthen J', 'Ber R', 'Ernberg I']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Viral)', '0 (Receptors, Virus)']",IM,"['Animals', 'Antigens, Viral/analysis', 'Cell Line', 'Herpesvirus 4, Human/*growth & development/immunology', 'Humans', 'Hybrid Cells/immunology', 'Leukemia, Experimental/immunology', 'Lymphoma/immunology', 'Receptors, Virus/analysis', '*Virus Activation']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1982 Feb;68(2):197-202.,,['5-R01CA-14054-05/CA/NCI NIH HHS/United States'],,,,,,,
6278187,NLM,MEDLINE,19820521,20071114,0027-8874 (Print) 0027-8874 (Linking),68,2,1982 Feb,"Human lymphoma-lymphoma hybrids and lymphoma-leukemia hybrids. I. Isolation, characterization, cell surface markers, and B-cell markers.",179-95,"Four new somatic cell hybrids were obtained by fusion of various Burkitt's lymphoma (BL)-derived cell lines that had different selective markers: Raji-P3HR-1, Daudi-Raji, and a P3HR-1-P3HR-1 ""autohybrid"" derived from two P3HR-1 sublines. In addition, a hybrid was obtained between the Daudi (BL) line and the human leukemia cell line K562. The hybrids were extensively characterized by means of chromosome, isozyme, and HLA surface markers. The phenotypic differences between the parent cell lines allowed some conclusions with respect to the expression of latent Epstein-Barr virus (EBV) genomes, C3 and EBV receptors, and of immunoglobulin and beta 2-microglobulin-HLA expression as well as the influence of the leukemia cell (K562) genome on B-cell properties in the Daudi-K562 hybrid. B-cell and differentiated markers of these hybrids were characterized. High-level expression dominated for the marker C3 and EBV receptors, which showed a good correlation coefficient of 0.84, as was true for Fc receptors and surface immunoglobulin. The Daudi-K562 hybrid showed loss of all B-cell markers but retention of the leukemia cell markers (e.g., hemoglobin synthesis).","['Zeuthen, J', 'Klein, G', 'Ber, R', 'Masucci, G', 'Bisballe, S', 'Povey, S', 'Terasaki, P', 'Ralph, P']","['Zeuthen J', 'Klein G', 'Ber R', 'Masucci G', 'Bisballe S', 'Povey S', 'Terasaki P', 'Ralph P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (HLA Antigens)', '0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Complement)', '0 (Receptors, Virus)']",IM,"['Animals', 'Cell Line', 'HLA Antigens/analysis', 'Herpesvirus 4, Human', 'Humans', 'Hybrid Cells/immunology', 'Hybridization, Genetic', 'Karyotyping', 'Leukemia, Experimental/immunology', 'Lymphoma/*genetics/immunology', 'Receptors, Antigen, B-Cell/analysis', 'Receptors, Complement/analysis', 'Receptors, Virus/analysis', 'Rosette Formation']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1982 Feb;68(2):179-95.,,"['5-R01CA-14054-05/CA/NCI NIH HHS/United States', '5-R01CA-24300/CA/NCI NIH HHS/United States', 'N01CP-33316/CP/NCI NIH HHS/United States', 'etc.']",,,,,,,
6278124,NLM,MEDLINE,19820512,20190711,0022-3549 (Print) 0022-3549 (Linking),71,2,1982 Feb,Antitumor agents XLVII: The effects of bisbrusatolyl malonate on P-388 lymphocytic leukemia cell metabolism.,257-62,"Bisbrusatolyl malonate, which was shown previously to be active against P-388 lymphocytic leukemia cell growth, was investigated for inhibitory effects on nucleic acid and protein synthesis. DNA and RNA synthesis as well as protein synthesis were markedly inhibited at 10,25, and 50 mu mole final concentrations in vitro. The major sites of inhibition of nucleic acid synthesis appeared to be DNA polymerase, messenger and transfer RNA polymerases, orotidine-5'-monophosphate decarboxylase, phosphoribosyl pyrophosphate amino transferase, and dihydrofolate reductase. Moderate inhibition of nucleotide kinase activities and oxidative phosphorylation processes occurred after drug treatment. Cyclic adenosine monophosphate levels were reduced. Protein synthesis was inhibited during the elongation step of peptide synthesis. The data suggested that bisbrusatolyl malonate interfered with the peptide bond formation. However, the ongoing polypeptide synthesis must be completed before the drug can bind to the ribosome effectively.","['Hall, I H', 'Liou, Y F', 'Lee, K H', 'Okano, M', 'Chaney, S G']","['Hall IH', 'Liou YF', 'Lee KH', 'Okano M', 'Chaney SG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Amino Acids)', '0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Neoplasm Proteins)', '0 (Phenanthrenes)', '0 (Quassins)', '0 (RNA, Neoplasm)', '80096-78-2 (bisbrusatolyl malonate)', 'E0399OZS9N (Cyclic AMP)', 'EH6H7VS52J (Glaucarubin)']",IM,"['Amino Acids/metabolism', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Biotransformation', 'Cells, Cultured', 'Cyclic AMP/metabolism', 'DNA, Neoplasm/metabolism', 'Glaucarubin/analogs & derivatives/*pharmacology', 'Leukemia P388/*metabolism', 'Leukemia, Experimental/*metabolism', 'Male', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Proteins/metabolism', 'Oxidative Phosphorylation/drug effects', 'Phenanthrenes/*pharmacology', '*Quassins', 'RNA, Neoplasm/metabolism']",1982/02/01 00:00,1982/02/01 00:01,['1982/02/01 00:00'],"['1982/02/01 00:00 [pubmed]', '1982/02/01 00:01 [medline]', '1982/02/01 00:00 [entrez]']",ppublish,J Pharm Sci. 1982 Feb;71(2):257-62. doi: 10.1002/jps.2600710229.,"['S0022-3549(15)44038-9 [pii]', '10.1002/jps.2600710229 [doi]']","['CA-17625/CA/NCI NIH HHS/United States', 'CA-22929/CA/NCI NIH HHS/United States', 'CA-26466/CA/NCI NIH HHS/United States']",,,,,,,
6278049,NLM,MEDLINE,19820521,20190508,0022-1007 (Print) 0022-1007 (Linking),155,4,1982 Apr 1,Allelism and linkage studies of murine leukemia virus activation genes in low leukemic strains of mice.,1233-8,"Previously, we identified two genes, termed Inc-1 and Inb-1, that interact to enhance ecotropic murine leukemia virus induction in low virus strains of mice. Mice related to BALB/c in origin carry a locus termed Inc-1, whereas mice related to B6 carry an Inb-1 locus. Mice that carry both Inc-1 and Inb-1 yield 10- to 50-fold more virus-producing cells than parental strains on induction with halogenated pyrimidines in vitro and demonstrate enhanced murine leukemia virus production in vivo. Here, we show that mice related to BALB/c in origin, i.e., A, C3H/He, and SEC, have an Inc-1 locus that is allelic with that of BALB/c. The C57BR mouse strain has an Inb-1 locus that is allelic with that of B6, located on chromosome 8, 30 cM from Es-1. We also show that the Inc-1 locus of BALB/c mice is located on chromosome 5, 24 cM from Pgm-1 and 43 cM from Gus. Kozak and Rowe (6,8) and Ihle and co-workers (3) have shown that the ecotropic virus-inducing genes in BALB/c and B10 mice are located on chromosomes 5 and 8, respectively, with similar distances from the previously mentioned biochemical markers. Our data are consistent with two possibilities: Inc-1 and Inb-1 are part of the virus-inducing genes Cv-1 and Bv-1, respectively , or Inc-1 and Inb2-1 are tightly linked regulatory genes.","['McCubrey, J', 'Risser, R']","['McCubrey J', 'Risser R']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,,IM,"['*Alleles', 'Animals', 'Chromosome Mapping', 'Gene Frequency', '*Genetic Linkage', 'Leukemia Virus, Murine/genetics/growth & development', 'Leukemia, Experimental/*genetics', 'Mice', 'Mice, Inbred A', 'Mice, Inbred C3H', 'Mice, Inbred C57BL']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",ppublish,J Exp Med. 1982 Apr 1;155(4):1233-8. doi: 10.1084/jem.155.4.1233.,['10.1084/jem.155.4.1233 [doi]'],"['CA-07175/CA/NCI NIH HHS/United States', 'CA-22443/CA/NCI NIH HHS/United States']",PMC2186646,,,,,,
6278048,NLM,MEDLINE,19820521,20190508,0022-1007 (Print) 0022-1007 (Linking),155,4,1982 Apr 1,Evidence for the horizontal acquisition of murine AKR virogenes by recent horizontal infection of the germ line.,1120-23,"Several recent reports (8, 10, 11, 13) have established the biological and molecular genetic similarity between the endogenous AKV virus of strain AKR, and an N-ecotropic endogenous virus found in the genome of feral Japanese mice, Mus musculus molossinus. The similarities are so striking as to suggest a common origin of these viruses, which are present in some, but not all, inbred mouse strains. The virogenes of AKR mice may have been acquired by either: (a) common descent of AKR (and other AKV(+) strains) from a common ancestor of AKR and molossinus animals, or (b) horizontal germ line infection of the AKR strains by molossinus virus at 1;he strain's inception followed by fixation through inbreeding. The sexual descent model carries with it a prediction of relative consanguinity of the AKR strain and molossinus, whereas the horizontal infection model does not. We have examined the polymorphic allozyme (allelic isozyme) genotype of 51 nonvirus-related loci in 17 strains of mice including AKR, C58, BALB/c, Swiss, and molossinus. By comparing the composite allozyme genotype of different inbred and outbred mouse strains, the ""genetic distance"" statistic was derived. Genetic distance measures the degree of allelic substitution between populations and increases proportionately with the amount of time the populations have been reproductively isolated. The genetic distance computed between molossinus and AKR is large, nearly 5-10 times the distance between known related populations and strains (e.g., C57L vs. C57BL/6). Molossinus had a similarly large distance from AKV negative strains (Swiss, C57L) as it did from AKV- positive strains. Cellular DNA sequences that flank the integrated AKV provirus were analyzed by restriction enzyme digestion of liver DNA from molossinus, AKR, and additional inbred strains that express ecotropic murine leukemia virus. The integration flanks of three AKR provirus sequences, Akv-1, Akv-2, and a third uncharacterized sequence, were not evident in molossinus cell DNA, which contained at least six different proviral integration fragments. These data effectively exclude the interpretation of consanguinity of AKR and molossinus and support the notion of acquisition of the endogenous virus in AKR by horizontal infection of the molossinus virus.","[""O'Brien, S J"", 'Moore, J L', 'Martin, M A', 'Womack, J E']","[""O'Brien SJ"", 'Moore JL', 'Martin MA', 'Womack JE']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,['EC 3.1.21.- (DNA Restriction Enzymes)'],IM,"['AKR murine leukemia virus/*genetics', 'Alleles', 'Animals', 'Chromosome Mapping', 'DNA Restriction Enzymes', '*Genes, Viral', 'Leukemia Virus, Murine/*genetics', 'Mice', 'Mice, Inbred AKR/*genetics', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",ppublish,J Exp Med. 1982 Apr 1;155(4):1120-23. doi: 10.1084/jem.155.4.1120.,['10.1084/jem.155.4.1120 [doi]'],,PMC2186636,,,,,,
