PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CON,CIN,AID,RN,GR,CI,PMC,RF,EIN,SI,TT,LID,OID,OTO,OT,GN,CRI
10530409,NLM,MEDLINE,19991103,20190910,0902-4441 (Print) 0902-4441 (Linking),63,4,1999 Oct,Leukaemia cell drug resistance and prognostic factors in AML.,219-24,"In 93 cases of acute myeloid leukaemia (AML) the extent to which prognostic factors mirrored the in vitro cellular chemotherapy resistance (to anthracyclines aclarubicin (Acla) and daunorubicin (Dau) as well as nucleoside analogue cytarabine (Ara-C)) was investigated using a 4-d MTT (3-[4,5-dimethylthiazol-2-yl]-2,5-diphenyl tetrazolium bromide) assay. We found that age at presentation and presence of secondary AML were significantly correlated to leukaemia cell Ara-C resistance. Thus, analysis of in vitro drug resistance data revealed that age at presentation and presence of secondary leukaemia were both independently correlated to cellular drug resistance, with older age being associated with higher Ara-C resistance in vitro (p=0.02 and 0.01 in univariate and multivariate analyses, respectively) and with secondary leukaemia being associated with higher Ara-C resistance (p=0.04 and 0.059 in univariate and multivariate analysis, respectively). Median LC-50 values (Ara-C) were: 178 ng/ml in paediatric cases, 356 ng/ml in younger adult cases, and 584 ng/ml in elderly (age > or = 60 yr) cases giving a resistance ratio between these age subgroups of 1:2.0:3.3. Median LC-50 values (Ara-C) was 381 ng/ml in de novo cases as opposed to 891 ng/ml (resistance ratio 1:2.3) in secondary cases. By contrast, cytogenetic findings, presenting leucocyte count, FAB-subtype, and gender were not consistently correlated to in vitro drug resistance to any of the three drugs. We conclude that at least two major adverse prognostic factors in AML (advanced age at presentation and presence of secondary leukaemia) are associated with increased leukaemia cell Ara-C resistance. High leucocyte count is not associated with increased cellular drug resistance towards Acla, Ara-C or Dau.","['Norgaard, J M', 'Olesen, G', 'Kristensen, J S', 'Pedersen, B', 'Hokland, P']","['Norgaard JM', 'Olesen G', 'Kristensen JS', 'Pedersen B', 'Hokland P']","['Department of Medicine and Haematology, Aarhus University Hospital, Aarhus Amtssygehus, Denmark. janmaxgaard@dadlnet.dk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,IM,"['Aclarubicin/therapeutic use', 'Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antibiotics, Antineoplastic/*therapeutic use', 'Blast Crisis/*drug therapy/pathology', 'Child', 'Child, Preschool', 'Cytarabine/therapeutic use', 'Cytogenetic Analysis', 'Daunorubicin/therapeutic use', '*Drug Resistance, Neoplasm', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid/*drug therapy/pathology', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Prognosis', 'Tetrazolium Salts']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Eur J Haematol. 1999 Oct;63(4):219-24. doi: 10.1111/j.1600-0609.1999.tb01881.x.,,,['10.1111/j.1600-0609.1999.tb01881.x [doi]'],"['0 (Antibiotics, Antineoplastic)', '0 (Tetrazolium Salts)', '04079A1RDZ (Cytarabine)', '74KXF8I502 (Aclarubicin)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,,,,
10530408,NLM,MEDLINE,19991103,20190910,0902-4441 (Print) 0902-4441 (Linking),63,4,1999 Oct,Clonal rearrangements in childhood and adult precursor B acute lymphoblastic leukemia: a comparative polymerase chain reaction study using multiple sets of primers.,211-8,"Ig heavy chain (IgH) and T-cell receptor (TCR) gene rearrangements were investigated by polymerase chain reaction (PCR) amplification of diagnostic tumour samples from 91 patients (57 children and 34 adults, with cut-off at age 16) with precursor B acute lymphoblastic leukemia (ALL). Using primers directed to the framework regions (FR) 1, 2 and 3 of the IgH gene, clonal IgH rearrangements were observed in 82, 58 and 58%, respectively, whereas clonality was presented in 45 and 27% using primers hybridising to the TCR delta and gamma genes. A combination of all five primer sets used resulted in 96% positive cases (children 100%, adults 88%). The frequency of clonal IgH rearrangements correlated to patient age with a significantly lower fraction of positive cases in the adult group. The concomitant usage of more than one V(H) family gene was similar for childhood and adult ALL, and an over-representation of V(H)6 rearrangements was found in childhood ALL. Twenty-five out of 91 cases (27%) displayed an oligoclonal pattern for either IgH or TCR gene rearrangements (children 37%, adults 12%). A comparative analysis of samples from different compartments was performed in 23 patients, and differences between two or three compartments were observed in seven cases. Unexpectedly large, clonally appearing PCR products of 540-715 bp were found in three leukemias and sequence analysis verified their clonal nature. In summary, using multiple sets of primers clonal rearrangements of IgH and TCR genes can be detected in a very high frequency, including previously neglected large size PCR products. A common heterogeneity was demonstrated in different compartments reflecting ongoing clonal evolution, which can make detection of minimal residual disease (MRD) in ALL troublesome. Therefore, we suggest that a minimum of three targets should be used to minimise false-negative results.","['Li, A H', 'Rosenquist, R', 'Forestier, E', 'Holmberg, D', 'Lindh, J', 'Lofvenberg, E', 'Roos, G']","['Li AH', 'Rosenquist R', 'Forestier E', 'Holmberg D', 'Lindh J', 'Lofvenberg E', 'Roos G']","['Department of Pathology, Umea University, Sweden.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,IM,"['Adolescent', 'Adult', 'Burkitt Lymphoma/*genetics', 'Child', 'Clone Cells/*physiology', '*DNA Primers', '*Gene Rearrangement, B-Lymphocyte, Heavy Chain', '*Gene Rearrangement, T-Lymphocyte', 'Humans', 'Polymerase Chain Reaction/*methods']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Eur J Haematol. 1999 Oct;63(4):211-8. doi: 10.1111/j.1600-0609.1999.tb01880.x.,,,['10.1111/j.1600-0609.1999.tb01880.x [doi]'],['0 (DNA Primers)'],,,,,,,,,,,,,
10530057,NLM,MEDLINE,19991104,20160511,1328-8067 (Print) 1328-8067 (Linking),41,5,1999 Oct,Clinical and biological aspects of acute lymphoblastic leukemia in 62 infants: retrospective analysis of the Tokyo Children's Cancer Study Group.,477-83,"BACKGROUND: As a first step to formulate a new treatment strategy for refractory acute lymphoblastic leukemia (ALL) in infants, clinical results and immunophenotypic and cytogenetic data were analyzed and compared with those from overseas. METHODS: There were 62 infants with ALL who were treated between 1977 and 1995 at 30 institutions affiliated with the Tokyo Children's Cancer Study Group. Clinical and laboratory data obtained from these infants (all under 1 year of age) were retrospectively studied. RESULTS: The morphological diagnoses were FAB-L1 for 51 patients (82.2%) and FAB-L2 for 11 patients (17.8%). Hepatomegaly and splenomegaly were found in 40 (70.0%) and 40 patients (68.3%), respectively. The mean (+/- SEM) leukocyte count at diagnosis was 205,900 +/- 35,700/microL. The involvement of the central nervous system was evident in nine of 36 patients who were subjected to lumbar puncture, while three of these nine patients were free of neurological symptoms at diagnosis. Thirty-one patients (55.4%) were CD10 negative and 14 (25.0%) were CD10 positive. Thirty-one of 47 patients (65.9%) exhibited chromosomal abnormalities, including 28 patients (59.6%) with 11q23 abnormalities. Rearrangements in the MLL gene were found in nine of 13 infants (69.2%) examined. Translocation of 11q23 and/or MLL gene rearrangement (11q23/MLL) was significantly associated with the absence of the CD10 antigen. Hyperleukocytosis of more than 50,000/microL and 11q23/MLL gene rearrangements were related to a poor prognosis. The probability of an event-free survival in 62 infants was 13.1 +/- 4.8% at 48 months. CONCLUSIONS: New therapeutic strategies and large-scale cooperative prospective trials are needed to improve the prognosis of ALL in infants.","['Isoyama, K', 'Okawa, H', 'Hayashi, Y', 'Hanada, R', 'Okimoto, Y', 'Maeda, M', 'Saito, T', 'Tsuchida, M', 'Nakazawa, S']","['Isoyama K', 'Okawa H', 'Hayashi Y', 'Hanada R', 'Okimoto Y', 'Maeda M', 'Saito T', 'Tsuchida M', 'Nakazawa S']","['Department of Pediatrics, Showa University Fujigaoka Hospital, Kanagawa, Japan. isoyamak@med.showa-u.ac.jp']",['eng'],['Journal Article'],Australia,Pediatr Int,Pediatrics international : official journal of the Japan Pediatric Society,100886002,IM,"['Chromosomes, Human, Pair 11/genetics', 'Female', 'Humans', 'Immunophenotyping', 'Infant', 'Infant, Newborn', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics/immunology/mortality/*physiopathology/therapy', 'Retrospective Studies', 'Survival Rate', 'Tokyo/epidemiology', 'Translocation, Genetic', 'Treatment Outcome']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Pediatr Int. 1999 Oct;41(5):477-83.,,,,,,,,,,,,,,,,,
10529583,NLM,MEDLINE,19991126,20181130,1018-2438 (Print) 1018-2438 (Linking),120,1,1999 Sep,Recent advances in mastocytosis research. Summary of the Vienna Mastocytosis Meeting 1998.,1-7,"The term mastocytosis denotes a heterogenous group of disorders characterized by abnormal growth and accumulation of mast cells in one or more organs. Cutaneous and systemic variants of the disease have been described. Mast cell disorders have also been categorized according to other aspects, such as family history, age, course of disease, or presence of a concomitant myeloid neoplasm. However, so far, generally accepted disease criteria are missing. Recently, a number of diagnostic (disease-related) markers have been identified in mastocytosis research. These include the mast cell enzyme tryptase, CD2, and mast cell growth factor receptor c-kit (CD117). Several gain-of-function-mutations in the kinase domain of c-kit appear to occur in mastocytosis supporting the clonal (neoplastic) nature of the disease. Also, certain point mutations appear to be associated with distinct variants of mastocytosis, i.e. Asp-816-->Val with a subset of sporadic persistent (systemic) mastocytosis (mostly adults), and Gly-839-->Lys with (a subset of) typical pediatric (mostly cutaneous) mastocytosis. Another potential indicator of mast cell neoplasm is the T-/NK-cell-associated marker CD2. This antigen (LFA-2) is abnormally expressed on neoplastic mast cells in cases of systemic mastocytosis or mast cell leukemia, but not found on normal mast cells. The mast cell enzyme tryptase is increasingly used as a serum- and immunohistochemical marker to estimate the actual spread of disease (burden of neoplastic mast cells). The clinical significance of novel mastocytosis markers is currently under investigation. First results indicate that they may be useful to define reliable criteria for the delineation of the disease.","['Valent, P', 'Escribano, L', 'Parwaresch, R M', 'Schemmel, V', 'Schwartz, L B', 'Sotlar, K', 'Sperr, W R', 'Horny, H P']","['Valent P', 'Escribano L', 'Parwaresch RM', 'Schemmel V', 'Schwartz LB', 'Sotlar K', 'Sperr WR', 'Horny HP']","['Department of Internal Medicine I, Division of Hematology and Hemostaseology, University of Vienna, Austria.']",['eng'],"['Congress', 'Journal Article', 'Review']",Switzerland,Int Arch Allergy Immunol,International archives of allergy and immunology,9211652,IM,"['Adult', 'Antigens, CD/metabolism', 'Bone Marrow Cells/pathology', 'Chymases', 'Humans', 'Immunohistochemistry', 'Mast Cells/pathology', '*Mastocytosis/genetics/immunology/pathology', 'Phenotype', 'Point Mutation', 'Prognosis', 'Proto-Oncogene Proteins c-kit/genetics', 'Serine Endopeptidases/blood', 'Terminology as Topic', 'Tryptases']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Int Arch Allergy Immunol. 1999 Sep;120(1):1-7. doi: 10.1159/000024214.,,,"['24214 [pii]', '10.1159/000024214 [doi]']","['0 (Antigens, CD)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)', 'EC 3.4.21.- (Serine Endopeptidases)', 'EC 3.4.21.- (chymase 2)', 'EC 3.4.21.39 (Chymases)', 'EC 3.4.21.59 (Tryptases)']",,,,67,,,,,,,,,
10529514,NLM,MEDLINE,19991208,20171101,0001-5792 (Print) 0001-5792 (Linking),102,2,1999,Cladribine treatment of a patient with hairy cell leukemia and concomitant multiple sclerosis.,99-100,"This is the first report on a patient suffering from both multiple sclerosis (MS) and hairy cell leukemia. The patient was first treated with interferon-alpha. Due to disease progression two courses of cladribine were given resulting in an improvement of the clinical course of both diseases. Interestingly, it was possible to arrest and even ameliorate the progression of MS by administering as little as 30% of the dosage recently recommended for the treatment of this disease.","['Hilbe, W', 'Berger, T', 'Konwalinka, G', 'Thaler, J']","['Hilbe W', 'Berger T', 'Konwalinka G', 'Thaler J']","['Department of Internal Medicine, University of Innsbruck, Austria.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Antineoplastic Agents/*therapeutic use', 'Cladribine/*therapeutic use', 'Disease Progression', 'Humans', 'Leukemia, Hairy Cell/complications/*drug therapy', 'Male', 'Middle Aged', 'Multiple Sclerosis/*complications']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Acta Haematol. 1999;102(2):99-100. doi: 10.1159/000040978.,,,"['40978 [pii]', '10.1159/000040978 [doi]']","['0 (Antineoplastic Agents)', '47M74X9YT5 (Cladribine)']",,,,,,,,,,,,,
10529513,NLM,MEDLINE,19991208,20171101,0001-5792 (Print) 0001-5792 (Linking),102,2,1999,Rituximab (anti-CD20 monoclonal antibody) administration in a young patient with resistant B-prolymphocytic leukemia.,94-8,"Following the administration of the human anti-CD20 monoclonal antibody IDEC-C2B8 (rituximab), a 31-year-old woman with B-prolymphocytic leukemia, who had been resistant to CHOP, fludarabine, pentostatin and 2-CdA, achieved complete remission. Rituximab was administered intravenously once a week for 4 weeks. The patient only had mild but tolerable side effects during the first cycle of therapy. She remains in complete remission 8 months following the discontinuation of treatment.","['Vartholomatos, G', 'Tsiara, S', 'Christou, L', 'Panteli, A', 'Kaiafas, P', 'Bourantas, K L']","['Vartholomatos G', 'Tsiara S', 'Christou L', 'Panteli A', 'Kaiafas P', 'Bourantas KL']","['Hematology Department, Medical School of Ioannina, Ioannina University, Greece.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Adult', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Agents/*therapeutic use', '*Drug Resistance, Multiple', '*Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, B-Cell/*drug therapy', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Rituximab']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Acta Haematol. 1999;102(2):94-8. doi: 10.1159/000040977.,,,"['40977 [pii]', '10.1159/000040977 [doi]']","['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antineoplastic Agents)', '4F4X42SYQ6 (Rituximab)']",,,,,,,,,,,,,
10529509,NLM,MEDLINE,19991208,20201226,0001-5792 (Print) 0001-5792 (Linking),102,2,1999,wt1 gene expression in childhood leukemias.,72-6,"The expression of the Wilms' tumor gene (wt1) was detected in various tissues during embryonic development. Mutations in the wt1 gene probably play an important role in certain tumors, e.g. the Wilms' tumor. Furthermore the expression of wt1 gene was found in some human leukemias. In the present study we investigated the expression of wt1 gene in several types of childhood leukemia by reverse transcriptase-polymerase chain reaction. Bone marrow or peripheral blood of 61 pediatric patients (48 at initial diagnosis, 13 at first or second relapse) were analyzed. wt1 gene expression was detected in 35/48 patients (73%) with newly diagnosed leukemias and in 12/13 cases (92%) who had suffered from relapse. The expression levels were higher for AML than for ALL. The frequency of wt1 expression in different subtypes of acute leukemia was compared with results found in adult patients. Our results show that the frequency of wt1 gene expression in acute childhood leukemias is similar to previous data reported for adults.","['Niegemann, E', 'Wehner, S', 'Kornhuber, B', 'Schwabe, D', 'Ebener, U']","['Niegemann E', 'Wehner S', 'Kornhuber B', 'Schwabe D', 'Ebener U']","['Clinic of Pediatrics III, Department of Hematology and Oncology, J.W. Goethe-University, Frankfurt/Main, Germany. eniegemann@zki.uni-frankfurt.de']",['eng'],"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Acute Disease', 'Child', 'Gene Expression Regulation, Neoplastic/*physiology', '*Genes, Wilms Tumor', 'Humans', 'Leukemia/*metabolism', 'Reverse Transcriptase Polymerase Chain Reaction']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Acta Haematol. 1999;102(2):72-6. doi: 10.1159/000040973.,,,"['40973 [pii]', '10.1159/000040973 [doi]']",,,,,,,,,,,,,,
10529507,NLM,MEDLINE,19991208,20171101,0001-5792 (Print) 0001-5792 (Linking),102,2,1999,All-trans-retinoic-acid- and growth-factor- mediated induction of alkaline phosphatase activity in freshly isolated chronic myeloid leukemia cells.,61-5,"Reduced or absent neutrophil alkaline phosphatase (NAP) activity is a common feature of neutrophilic granulocytes from patients with chronic myeloid leukemia (CML). In this study we examined whether NAP activity could be restored in vitro by stimulating CML cells with different promoters such as all-trans-retinoic acid (ATRA), granulocyte-macrophage colony-stimulating factor (GM-CSF) and granulocyte colony-stimulating factor (G-CSF). The results obtained indicated that ATRA and G-CSF, either alone or in combination, were effective in inducing NAP activity in CML cells, whereas GM-CSF was not. Further, NAP restoration in ATRA- and G-CSF-treated cultures was accompanied by increased morphologic differentiation of the CML clone. It might be concluded that the CML clone could be driven in vitro by ATRA and G-CSF both to achieve granulocytic maturation and to correct functional NAP-related defects.","['Stagno, F', 'Guglielmo, P', 'Consoli, U', 'Fiumara, P', 'Longo, G S', 'Giustolisi, R']","['Stagno F', 'Guglielmo P', 'Consoli U', 'Fiumara P', 'Longo GS', 'Giustolisi R']","['Chair of Hematology, University of Catania, Italy.']",['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Alkaline Phosphatase/biosynthesis/*drug effects', 'Cell Separation', 'Enzyme Induction', 'Female', 'Growth Substances/*pharmacology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/metabolism', 'Male', 'Middle Aged', 'Neutrophils/*enzymology', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured']",1999/10/26 00:00,1999/10/26 00:01,['1999/10/26 00:00'],"['1999/10/26 00:00 [pubmed]', '1999/10/26 00:01 [medline]', '1999/10/26 00:00 [entrez]']",ppublish,Acta Haematol. 1999;102(2):61-5. doi: 10.1159/000040971.,,,"['40971 [pii]', '10.1159/000040971 [doi]']","['0 (Growth Substances)', '5688UTC01R (Tretinoin)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",,,,,,,,,,,,,
10529251,NLM,MEDLINE,19991124,20190613,0006-2960 (Print) 0006-2960 (Linking),38,42,1999 Oct 19,Tallimustine lesions in cellular DNA are AT sequence-specific but not region-specific.,14045-55,"Tallimustine (FCE 24517) is an AT-specific alkylating antitumor derivative of distamycin. This study examined levels of tallimustine lesions in intracellular DNA, their sequence- and region-specificity, and the long-range distribution of the drug binding motif. Tallimustine adducts in DNA converted to strand breaks by heating allowed the quantitation of drug lesions. In bulk DNA of intact human leukemia CEM cells, tallimustine formed 0.15 +/- 0.04 and 0.64 +/- 0.18 lesions/kbp at 5 and 50 microM, respectively. These lesions represent monoadducts as no interstrand cross-links or DNA-protein cross-links were detected. Tallimustine adducts in intracellularly treated DNA showed a general preference for sequences with T-tracts, suggesting a propensity for intrinsically bent motifs. Major drug-adducted sites identified by repetitive primer extension, included 5'-TTTTGPu-3' and 5'-TTTTGC-3' motif. Despite the high specificity at the nucleotide level, tallimustine did not differentiate among bulk DNA and three discrete AT-rich regions of genomic DNA examined by quantitative PCR stop assay with lesion frequencies ranging from 0.23 to 0.39 lesions/kbp at 25 microM drug. In comparisons of lesion frequencies and cytotoxicity, tallimustine adducts are approximately 50 times more lethal than relatively nonsequence specific cisplatin adducts but are >100 times less lethal than lesions by an unrelated AT-specific drug, bizelesin. However, the 5'-TTTTGPu-3' motifs targeted by tallimustine are relatively infrequent and scattered throughout the genome. In contrast, the motifs 5'-T(A/T)(4)A-3' motifs targeted by bizelesin, while also infrequent, cluster in defined AT-rich islands. The lack of region-specificity may be the reason tallimustine adducts, despite high AT-specificity at the nucleotide level, are less lethal than region-specific bizelesin adducts.","['Herzig, M C', 'Trevino, A V', 'Arnett, B', 'Woynarowski, J M']","['Herzig MC', 'Trevino AV', 'Arnett B', 'Woynarowski JM']","['Cancer Therapy and Research Center, Institute for Drug Development, San Antonio, Texas 78245, USA.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,IM,"['Adenine/chemistry', 'Antineoplastic Agents, Alkylating/*chemistry/metabolism/*toxicity', 'Cell Nucleus/chemistry/drug effects/genetics', 'Cross-Linking Reagents/chemistry', 'DNA Adducts/chemistry/metabolism', '*DNA Damage', 'DNA, Neoplasm/*chemistry/drug effects/metabolism', 'DNA, Single-Stranded/chemistry/metabolism', 'Distamycins/*chemistry/metabolism/*toxicity', 'Hot Temperature', 'Humans', 'Neoplasm Proteins/chemistry/genetics/metabolism', 'Nitrogen Mustard Compounds/*chemistry/metabolism/*toxicity', 'Sequence Analysis, DNA', 'Thymine/chemistry', 'Tumor Cells, Cultured']",1999/10/21 00:00,1999/10/21 00:01,['1999/10/21 00:00'],"['1999/10/21 00:00 [pubmed]', '1999/10/21 00:01 [medline]', '1999/10/21 00:00 [entrez]']",ppublish,Biochemistry. 1999 Oct 19;38(42):14045-55. doi: 10.1021/bi991286r.,,,"['bi991286r [pii]', '10.1021/bi991286r [doi]']","['0 (Antineoplastic Agents, Alkylating)', '0 (Cross-Linking Reagents)', '0 (DNA Adducts)', '0 (DNA, Neoplasm)', '0 (DNA, Single-Stranded)', '0 (Distamycins)', '0 (Neoplasm Proteins)', '0 (Nitrogen Mustard Compounds)', '71193OXG6S (tallimustine)', 'JAC85A2161 (Adenine)', 'QR26YLT7LT (Thymine)']",['CA71969/CA/NCI NIH HHS/United States'],,,,,,,,,,,,
10529168,NLM,MEDLINE,19991110,20190613,0006-2960 (Print) 0006-2960 (Linking),38,40,1999 Oct 5,NMR structure of the complex between the zinc finger protein NCp10 of Moloney murine leukemia virus and the single-stranded pentanucleotide d(ACGCC): comparison with HIV-NCp7 complexes.,12984-94,"The structure of the 56 amino acid nucleocapsid protein NCp10 of retrovirus MoMuLV, which contains a single CX(2)CX(4)HX(4)C-type zinc finger, has been determined previously by NMR. The important role of NCp10 (or NCp7 for HIV-1) in the retroviral life cycle seems mainly related to their preferential binding to single-stranded nucleic acids. We report here the structure of the complex formed between the biologically active (14-53)NCp10 and the oligonucleotide d(ACGCC) in aqueous solution determined by 2D (1)H NMR based methods. The aromatic residue Trp(35) of NCp10 directs nucleic acid complexation as shown by its complete fluorescence quenching upon addition of d(ACGCC). (1)H and (31)P NMR studies support the insertion of Trp(35) between the G(3) and C(4) bases. A total of 577 NOE distance restraints, of which 40 were intermolecular, were used for the structure determination. The zinc finger provides a well-defined surface for the binding of d(ACGCC) through hydrophobic interactions and tryptophan stacking on the guanine. This latter interaction was also observed in the NMR-derived structures of the complexes between NCp7, which contains two successive zinc fingers, and single-stranded DNA and RNA, supporting the proposal for a major role played by aromatic residues of NCp proteins in nucleic acid recognition. Upon binding to the nucleotide a new loop in NCp10 that participates in the intermolecular interaction is formed. Additional interactions provided by positively charged residues surrounding the zinc finger appear necessary for tight binding. The structure of the complex NCp10-d(ACGCC) gives a structural explanation for the loss of virus infectivity following point mutations in the finger domain.","['Schuler, W', 'Dong, C', 'Wecker, K', 'Roques, B P']","['Schuler W', 'Dong C', 'Wecker K', 'Roques BP']","['Departement de Pharmacochimie Moleculaire et Structurale, INSERM U266-CNRS UMR 8600, UFR des Sciences Pharmaceutiques et Biologiques, Paris, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochemistry,Biochemistry,0370623,IM,"['Amino Acid Sequence', 'Capsid/*chemistry', '*Capsid Proteins', 'Gene Products, gag/*chemistry', 'HIV-1/*chemistry', 'Humans', 'Macromolecular Substances', 'Models, Molecular', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*chemistry', 'Nuclear Magnetic Resonance, Biomolecular/methods', 'Oligonucleotides/*chemistry', 'Phosphorus Isotopes', 'Protein Conformation', 'Protons', 'Sequence Homology, Amino Acid', 'Spectrometry, Fluorescence', 'Structure-Activity Relationship', 'Viral Core Proteins/*chemistry', '*Viral Proteins', '*Zinc Fingers', 'gag Gene Products, Human Immunodeficiency Virus']",1999/10/21 00:00,1999/10/21 00:01,['1999/10/21 00:00'],"['1999/10/21 00:00 [pubmed]', '1999/10/21 00:01 [medline]', '1999/10/21 00:00 [entrez]']",ppublish,Biochemistry. 1999 Oct 5;38(40):12984-94. doi: 10.1021/bi990378d.,,,"['bi990378d [pii]', '10.1021/bi990378d [doi]']","['0 (Capsid Proteins)', '0 (Gene Products, gag)', '0 (Macromolecular Substances)', '0 (NCP7 protein, Human immunodeficiency virus 1)', '0 (Oligonucleotides)', '0 (Phosphorus Isotopes)', '0 (Protons)', '0 (Viral Core Proteins)', '0 (Viral Proteins)', '0 (gag Gene Products, Human Immunodeficiency Virus)', '129924-33-0 (retroviral nucleocapsid protein NCp10, Moloney murine leukemia', 'virus)']",,,,,,['PDB/1A6B'],,,,,,,
10528912,NLM,MEDLINE,19991117,20051116,0037-1963 (Print) 0037-1963 (Linking),36,4 Suppl 5,1999 Oct,Stem-cell transplantation for indolent lymphoma.,18-25,"Stem-cell transplantation (SCT) has become the treatment of choice for patients with relapsed aggressive non-Hodgkin's lymphoma (NHL). The role of SCT in the management of patients with low-grade NHL remains controversial, although increasing numbers of patients with advanced-stage follicular lymphoma, mantle-cell lymphoma, and chronic lymphocytic leukemia (CLL) are now undergoing SCT. There is increasing concern regarding toxicity of autologous SCT, especially the long-term risk of development of myelodysplastic syndrome, which is higher than was expected. This has led to renewed interest in the role of allogeneic SCT for patients with NHL. A major advantage of allogeneic SCT is the potential for exploiting a graft-versus-lymphoma effect, and many studies under way are exploring the possibility of manipulating donor cells and the host to maximize T-cell responsiveness against lymphoma.","['Gribben, J G']",['Gribben JG'],"['Department of Adult Oncology, Dana-Farber Cancer Institute, Boston, MA 02115, USA.']",['eng'],"['Journal Article', 'Review']",United States,Semin Hematol,Seminars in hematology,0404514,IM,"['B-Lymphocytes/*pathology', 'Hematologic Neoplasms/blood/*therapy', '*Hematopoietic Stem Cell Transplantation', 'Humans']",1999/10/21 00:00,1999/10/21 00:01,['1999/10/21 00:00'],"['1999/10/21 00:00 [pubmed]', '1999/10/21 00:01 [medline]', '1999/10/21 00:00 [entrez]']",ppublish,Semin Hematol. 1999 Oct;36(4 Suppl 5):18-25.,,,,,,,,33,,,,,,,,,
