PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC,AB,PS,FPS
13598243,NLM,MEDLINE,20000701,20181201,0390-6078 (Print) 0390-6078 (Linking),43,5,1958,[Pharmacological aspects of the clinical use of desacetylmethylcolchicine in the therapy of malignant blood diseases; review of the literature and report of personal cases].,345-84,"['VERCILLO, L', 'ESPOSITO, S']","['VERCILLO L', 'ESPOSITO S']",['ita'],['Journal Article'],Italy,Haematologica,Haematologica,0417435,OM,"['Colchicine/analogs & derivatives', '*Hematologic Diseases', 'Hodgkin Disease/*therapy', 'Leukemia/*therapy']",['CLML: 5935:27751:147:273:331'],['NLM'],"['*COLCHICINE/related compounds', ""*HODGKIN'S DISEASE/therapy"", '*LEUKEMIA/therapy']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Haematologica. 1958;43(5):345-84.,Aspetti farmacologici ed impiego clinico della desacetilmetilcolchicina nella terapia delle emopatie maligne; rassegna della letteratura e contributo personale.,['SML2Y3J35T (Colchicine)'],,,,
13598010,NLM,MEDLINE,20000701,20181201,0016-3600 (Print) 0016-3600 (Linking),18,6,1958 Dec,Leukemia or leukemoid reaction: a problem in differential diagnosis.,121-5,"['McCURDY, P R']",['McCURDY PR'],['eng'],['Journal Article'],United States,GP,GP,0230511,OM,"['*Diagnosis, Differential', 'Humans', 'Leukemia/*diagnosis', '*Leukemoid Reaction', 'Liver Cirrhosis/*complications', 'Lung Neoplasms/*complications']",['CLML: 5935:27518:330:342:347'],['NLM'],"['*LEUKEMIA/differential diagnosis', '*LIVER CIRRHOSIS/complications', '*LUNG NEOPLASMS/complications']",1958/12/01 00:00,1958/12/01 00:01,['1958/12/01 00:00'],"['1958/12/01 00:00 [pubmed]', '1958/12/01 00:01 [medline]', '1958/12/01 00:00 [entrez]']",,ppublish,GP. 1958 Dec;18(6):121-5.,,,,,,
13597937,NLM,MEDLINE,20000701,20181201,0323-4347 (Print) 0323-4347 (Linking),75,3,1958,"[Myeloid leukemia with osteolytic-osteosclerotic bone changes, stomach infiltration and megaloblastic anemia].",322-31,"['THIELE, H', 'STEINBACH, B']","['THIELE H', 'STEINBACH B']",['ger'],"['Case Reports', 'Journal Article']",Germany,Folia Haematol Int Mag Klin Morphol Blutforsch,"Folia haematologica (Leipzig, Germany : 1928)",0374615,OM,"['*Anemia, Megaloblastic', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Medical Records', '*Osteosclerosis', '*Stomach']",['CLML: 5935:27445:331'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/case reports']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Folia Haematol Int Mag Klin Morphol Blutforsch. 1958;75(3):322-31.,"Myeloische Leukamie mit osteolytisch-osteosklerotischen Knochenveranderungen, Mageninfiltration und megaloblastischer Anamie.",,,,,
13597936,NLM,MEDLINE,20000701,20181201,0323-4347 (Print) 0323-4347 (Linking),75,3,1958,[Plasmocytoma with terminal plasma cell leukemia].,317-21,"['PAPAZIAN, R', 'MARINESCU, S', 'COMAN, C']","['PAPAZIAN R', 'MARINESCU S', 'COMAN C']",['ger'],"['Case Reports', 'Journal Article']",Germany,Folia Haematol Int Mag Klin Morphol Blutforsch,"Folia haematologica (Leipzig, Germany : 1928)",0374615,OM,"['Humans', '*Leukemia', '*Leukemia, Plasma Cell', '*Medical Records', 'Multiple Myeloma/*complications', '*Neoplasms, Plasma Cell', '*Plasma Cells', '*Plasmacytoma']",['CLML: 5935:27444:330:386'],['NLM'],"['*LEUKEMIA/case reports', '*MYELOMA, PLASMA CELL/complications']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Folia Haematol Int Mag Klin Morphol Blutforsch. 1958;75(3):317-21.,Plasmocytom mit terminaler Plasmazellenleukamie.,,,,,
13597689,NLM,MEDLINE,20000701,20181201,0366-8576 (Print) 0366-8576 (Linking),205,3,1958,[Prothrombin consumption and the bromsulphalein test in blood diseases. II].,310-5,"['BRICHTA, G', 'KUHBOCK, J', 'REIMER, E E']","['BRICHTA G', 'KUHBOCK J', 'REIMER EE']",['ger'],['Journal Article'],Germany,Dtsch Arch Klin Med,Deutsches Archiv fur klinische Medizin,0060760,OM,"['*Biological Phenomena', '*Hematologic Diseases', 'Hodgkin Disease/*physiology', 'Humans', 'Leukemia/*physiology', '*Liver Function Tests', '*Physiological Phenomena', '*Prothrombin', '*Sulfobromophthalein']",['CLML: 5935:27197:272:331:344:483'],['NLM'],"[""*HODGKIN'S DISEASE/physiology"", '*LEUKEMIA/physiology', '*LIVER FUNCTION TESTS', '*PROTHROMBIN']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Dtsch Arch Klin Med. 1958;205(3):310-5.,Prothrombinverbrauch und Bromsulphaleintest bei Blutkrankheiten. II.,"['0C2P5QKL36 (Sulfobromophthalein)', '9001-26-7 (Prothrombin)']",,,,
13597685,NLM,MEDLINE,20000701,20181201,0366-8576 (Print) 0366-8576 (Linking),205,3,1958,"[Determination of erythrocyte life span in leukosis with radiochromium, with methodical studies on chromium marking of erythrocytes].",263-75,"['BRUSCHKE, G', 'HENNEMANN, H H']","['BRUSCHKE G', 'HENNEMANN HH']",['ger'],['Journal Article'],Germany,Dtsch Arch Klin Med,Deutsches Archiv fur klinische Medizin,0060760,OM,"['*Chromium', '*Chromium Radioisotopes', '*Erythrocytes', 'Humans', 'Leukemia/*blood', '*Radioactivity']",['CLML: 5935:27193:141:330'],['NLM'],"['*CHROMIUM/radioactive', '*LEUKEMIA/blood in']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Dtsch Arch Klin Med. 1958;205(3):263-75.,"Die Bestimmung der Erythrocytenlebensdauer bel Leukosen mit Radiochrom (Cr 51), nebst methodischen Studien zur Chrommarklerung der Erythrocyten.","['0 (Chromium Radioisotopes)', '0R0008Q3JB (Chromium)']",,,,
13597232,NLM,MEDLINE,20000701,20181201,0037-9026 (Print) 0037-9026 (Linking),152,2,1958,[Incidence of radiation-induced lymphoid leukosis in mice protected against the lethal effects of x-rays by chemical substances].,254-6,"['DUPLAN, J F']",['DUPLAN JF'],['fre'],['Journal Article'],France,C R Seances Soc Biol Fil,Comptes rendus des seances de la Societe de biologie et de ses filiales,7505439,OM,"['Animals', '*Avian Leukosis', 'Incidence', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphatic Vessels', 'Mice', '*Radiation', 'X-Rays/adverse effects']",['CLML: 5935:26740:331:521'],['NLM'],"['*LEUKEMIA, LYMPHATIC/experimental', '*ROENTGEN RAYS/injurious effects']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,C R Seances Soc Biol Fil. 1958;152(2):254-6.,Incidence des radioleucoses lymphoides chez les souris protegees contre l'effet letal des rayons X par des substances chimiques.,,,,,
13597121,NLM,MEDLINE,20000701,20201005,0009-9074 (Print) 0009-9074 (Linking),15,2,1958 Aug,Leukemia.,172-7,"['SULLI, G']",['SULLI G'],['ita'],['Journal Article'],Italy,Clin Ter,La Clinica terapeutica,0372604,OM,['Leukemia/*therapy'],['CLML: 5935:26629:331'],['NLM'],['*LEUKEMIA/therapy'],1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",,ppublish,Clin Ter. 1958 Aug;15(2):172-7.,Leucemie.,,,,,
13596949,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),18,9,1958 Oct,The surface ultrastructure of normal and leukemic rat lymphocytes.,1067-9,"['NOWELL, P C', 'BERWICK, L']","['NOWELL PC', 'BERWICK L']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Electrons', 'Leukemia/*blood', '*Lymphocytes', '*Microscopy', '*Microscopy, Electron', 'Rats']",['CLML: 5935:26457:330:351:372'],['NLM'],"['*LEUKEMIA/blood in', '*LYMPHOCYTES', '*MICROSCOPY, ELECTRON']",1958/10/01 00:00,1958/10/01 00:01,['1958/10/01 00:00'],"['1958/10/01 00:00 [pubmed]', '1958/10/01 00:01 [medline]', '1958/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1958 Oct;18(9):1067-9.,,,,,,
13596492,NLM,MEDLINE,20000701,20190516,0007-0920 (Print) 0007-0920 (Linking),12,3,1958 Sep,Studies of the dissemination and quantitative transplantation of a lymphocytic leukaemia of CBA mice.,378-401,"['HEWITT, H B']",['HEWITT HB'],['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,OM,"['Animals', '*Leukemia', '*Leukemia, Lymphoid', 'Mice', 'Mice, Inbred CBA']",['CLML: 5935:26000:331'],['NLM'],"['*LEUKEMIA, LYMPHATIC/experimental']",1958/09/01 00:00,1958/09/01 00:01,['1958/09/01 00:00'],"['1958/09/01 00:00 [pubmed]', '1958/09/01 00:01 [medline]', '1958/09/01 00:00 [entrez]']",['10.1038/bjc.1958.47 [doi]'],ppublish,Br J Cancer. 1958 Sep;12(3):378-401. doi: 10.1038/bjc.1958.47.,,,PMC2073900,,,
13596485,NLM,MEDLINE,20000701,20190516,0007-0920 (Print) 0007-0920 (Linking),12,3,1958 Sep,Evaluation of chemotherapeutic compounds in the reticuloses.,332-41,"['PATERSON, E']",['PATERSON E'],['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,OM,"['Hodgkin Disease/*therapy', 'Humans', '*Leukemia', 'Leukemia, Myeloid/*therapy', 'Peptide Nucleic Acids']",['CLML: 5935:25993:273:331'],['NLM'],"[""*HODGKIN'S DISEASE/therapy"", '*LEUKEMIA, MYELOCYTIC/therapy']",1958/09/01 00:00,1958/09/01 00:01,['1958/09/01 00:00'],"['1958/09/01 00:00 [pubmed]', '1958/09/01 00:01 [medline]', '1958/09/01 00:00 [entrez]']",['10.1038/bjc.1958.40 [doi]'],ppublish,Br J Cancer. 1958 Sep;12(3):332-41. doi: 10.1038/bjc.1958.40.,,"['0 (Peptide Nucleic Acids)', '0 (reticulose)']",PMC2073897,,,
13596420,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,12,1958 Dec,On the presence of hemoglobin in erythroleukemia cells.,1176-84,"['COWLES, J', 'SAIKKONEN, J', 'THORELL, B']","['COWLES J', 'SAIKKONEN J', 'THORELL B']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['*Anemia', 'Anemia, Myelophthisic/*blood', '*Diploidy', '*Hemoglobins', 'Humans', '*Leukemia, Erythroblastic, Acute']",['CLML: 5935:25928:35:262'],['NLM'],"['*ANEMIA, LEUKOERYTHROBLASTIC/blood in', '*HEMOGLOBIN']",1958/12/01 00:00,1958/12/01 00:01,['1958/12/01 00:00'],"['1958/12/01 00:00 [pubmed]', '1958/12/01 00:01 [medline]', '1958/12/01 00:00 [entrez]']",['S0006-4971(20)64879-0 [pii]'],ppublish,Blood. 1958 Dec;13(12):1176-84.,,['0 (Hemoglobins)'],,,,
13596417,NLM,MEDLINE,20000701,20210216,0006-4971 (Print) 0006-4971 (Linking),13,12,1958 Dec,A comparative study of two regimens of combination chemotherapy in acute leukemia.,1126-48,"['FREI, E 3rd', 'HOLLAND, J F', 'SCHNEIDERMAN, M A', 'PINKEL, D', 'SELKIRK, G', 'FREIREICH, E J', 'SILVER, R T', 'GOLD, G L', 'REGELSON, W']","['FREI E 3rd', 'HOLLAND JF', 'SCHNEIDERMAN MA', 'PINKEL D', 'SELKIRK G', 'FREIREICH EJ', 'SILVER RT', 'GOLD GL', 'REGELSON W']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['*Acute Disease', '*Drug Therapy, Combination', 'Folic Acid Antagonists/*therapeutic use', 'Humans', 'Leukemia/*therapy', 'Mercaptopurine/*therapeutic use']",['CLML: 5935:25925:227:331:365'],['NLM'],"['*FOLIC ACID ANTAGONISTS/therapeutic use', '*LEUKEMIA/therapy', '*MERCAPTOPURINE/therapeutic use']",1958/12/01 00:00,1958/12/01 00:01,['1958/12/01 00:00'],"['1958/12/01 00:00 [pubmed]', '1958/12/01 00:01 [medline]', '1958/12/01 00:00 [entrez]']",['S0006-4971(20)64876-5 [pii]'],ppublish,Blood. 1958 Dec;13(12):1126-48.,,"['0 (Folic Acid Antagonists)', 'E7WED276I5 (Mercaptopurine)']",,,,
13596310,NLM,MEDLINE,20000701,20181201,0366-2446 (Print) 0366-2446 (Linking),119,1,1958,[Expansive intercerebral metastasis in chronic lymphadenosis].,114-8,"['NOETZEL, H']",['NOETZEL H'],['ger'],['Journal Article'],Germany,Beitr Pathol Anat,Beitrage zur pathologischen Anatomie und zur allgemeinen Pathologie,0264677,OM,"['*Brain', '*Brain Diseases', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*pathology', '*Lymphatic Vessels', '*Neoplasms']",['CLML: 5935:25818:103:331'],['NLM'],"['*BRAIN/pathology', '*LEUKEMIA, LYMPHATIC/pathology']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Beitr Pathol Anat. 1958;119(1):114-8.,Raumfordernde intracerebrale Metastase bei chronischer Lymphadenose.,,,,,
13596288,NLM,MEDLINE,20000701,20200923,,118,5,1958,Leukemia and tuberculosis.,348-78,"['NEUMANN, G']",['NEUMANN G'],['ger'],['Journal Article'],Germany,Beitr Klin Tuberk Spezif Tuberkuloseforsch,Beitrage zur Klinik der Tuberkulose und spezifischen Tuberkulose-Forschung,0071320,OM,"['Humans', 'Leukemia/*complications', 'Tuberculosis/*complications']",['CLML: 5935:25796:330:595'],['NLM'],"['*LEUKEMIA/complications', '*TUBERCULOSIS/complications']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Beitr Klin Tuberk Spezif Tuberkuloseforsch. 1958;118(5):348-78.,Leukamie und Tuberkulose.,,,,,
13596202,NLM,MEDLINE,20000701,20181201,0004-0819 (Print) 0004-0819 (Linking),11,5,1958,[Gangrenous zoster & generalized varicella in a man with lymphatic leukemia].,889-903,"['MOLINARI, R']",['MOLINARI R'],['ita'],['Journal Article'],Italy,Arcisp S Anna Ferrara,L' Arcispedale S. Anna di Ferrara,0373110,OM,"['Chickenpox/*pathology', '*Gangrene', 'Herpes Zoster/*complications', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications', 'Male']",['CLML: 5935:25710:132:268:331'],['NLM'],"['*CHICKENPOX/pathology', '*HERPES ZOSTER/complications', '*LEUKEMIA, LYMPHATIC/complications']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Arcisp S Anna Ferrara. 1958;11(5):889-903.,Zoster gangrenoso e varicella generalizzato in uomo affetto da leucemia linfatica.,,,,,
13596068,NLM,MEDLINE,20000701,20181201,0004-0274 (Print) 0004-0274 (Linking),19,2,1958,[Can acute erythremic myelosis become chronic].,101-2,"['SCAPATICCI, R']",['SCAPATICCI R'],['ita'],['Journal Article'],Italy,Arch Ital Pediatr Pueric,Archivio italiano di pediatria e puericoltura,0372446,OM,"['Child', 'Humans', 'Infant', 'Infant Nutrition Disorders/*therapy', '*Leukemia, Erythroblastic, Acute', '*Polycythemia Vera']",['CLML: 5935:25576:295:466'],['NLM'],"['*INFANT NUTRITION DISORDERS/therapy', '*POLYCYTHEMIA VERA/in infant and child']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",,ppublish,Arch Ital Pediatr Pueric. 1958;19(2):101-2.,La mielosi eritremica acuta del bambino puo essere cronicizzata?,['Acute erythroleukemia'],,,,
13595905,NLM,MEDLINE,20000701,20190629,0003-9861 (Print) 0003-9861 (Linking),78,1,1958 Nov,Chromatographic studies of purine metabolism. III. Effects of A-methopterin on formate-C14 utilization in mice bearing susceptible and dependent L1210 leukemia.,83-94,"['TOMISEK, A J', 'KELLY, H J', 'REID, M R', 'SKIPPER, H E']","['TOMISEK AJ', 'KELLY HJ', 'REID MR', 'SKIPPER HE']",['eng'],['Journal Article'],United States,Arch Biochem Biophys,Archives of biochemistry and biophysics,0372430,OM,"['Animals', '*Biochemical Phenomena', 'Folic Acid Antagonists/*pharmacology', 'Formates/*metabolism', '*Leukemia, Experimental', 'Mice', 'Purines/*metabolism']",['CLML: 5935:25413:227:229:330:494'],['NLM'],"['*FOLIC ACID ANTAGONISTS/effects', '*FORMATES/metabolism', '*LEUKEMIA/experimental', '*PURINES/metabolism']",1958/11/01 00:00,1958/11/01 00:01,['1958/11/01 00:00'],"['1958/11/01 00:00 [pubmed]', '1958/11/01 00:01 [medline]', '1958/11/01 00:00 [entrez]']","['0003-9861(58)90316-3 [pii]', '10.1016/0003-9861(58)90316-3 [doi]']",ppublish,Arch Biochem Biophys. 1958 Nov;78(1):83-94. doi: 10.1016/0003-9861(58)90316-3.,,"['0 (Folic Acid Antagonists)', '0 (Formates)', '0 (Purines)', '0YIW783RG1 (formic acid)', 'W60KTZ3IZY (purine)']",,,,
13594941,NLM,MEDLINE,20000701,20181201,0002-9629 (Print) 0002-9629 (Linking),236,5,1958 Nov,The association of hypogammaglobulinemia and chronic lymphatic leukemia.,610-3 passim,"['PRASAD, A']",['PRASAD A'],['eng'],['Journal Article'],United States,Am J Med Sci,The American journal of the medical sciences,0370506,OM,"['Agammaglobulinemia/*complications', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications']",['CLML: 5935:24437:16:331'],['NLM'],"['*AGAMMAGLOBULINEMIA/complications', '*LEUKEMIA, LYMPHATIC/complications']",1958/11/01 00:00,1958/11/01 00:01,['1958/11/01 00:00'],"['1958/11/01 00:00 [pubmed]', '1958/11/01 00:01 [medline]', '1958/11/01 00:00 [entrez]']",,ppublish,Am J Med Sci. 1958 Nov;236(5):610-3 passim.,,,,,,
13594451,NLM,MEDLINE,20000701,20190910,0365-5555 (Print) 0365-5555 (Linking),43,4,1958,Preleukemic and early leukemic changes in the thymus of mice; a study of the AKR/O strain.,350-64,"['ARNESEN, K']",['ARNESEN K'],['eng'],['Journal Article'],Denmark,Acta Pathol Microbiol Scand,Acta pathologica et microbiologica Scandinavica,7508471,OM,"['Animals', '*Leukemia, Experimental', 'Mice', 'Mice, Inbred AKR', 'Thymus Gland/*pathology', '*Thymus Plant']",['CLML: 5935:23947:330:583'],['NLM'],"['*LEUKEMIA/experimental', '*THYMUS/pathology']",1958/01/01 00:00,1958/01/01 00:01,['1958/01/01 00:00'],"['1958/01/01 00:00 [pubmed]', '1958/01/01 00:01 [medline]', '1958/01/01 00:00 [entrez]']",['10.1111/j.1699-0463.1958.tb04671.x [doi]'],ppublish,Acta Pathol Microbiol Scand. 1958;43(4):350-64. doi: 10.1111/j.1699-0463.1958.tb04671.x.,,,,,,
13593862,NLM,MEDLINE,20000701,20191026,0096-5359 (Print) 0096-5359 (Linking),78,6,1958 Dec,Histiocytosis X (granulomatous reticuloendotheliosis): report of a case of chronic disseminated reticuloendotheliosis whose evolution may have some bearing on the classification.,692-702,"['BENDER, B', 'HOLTZMAN, I N']","['BENDER B', 'HOLTZMAN IN']",['eng'],"['Case Reports', 'Journal Article']",United States,AMA Arch Derm,A.M.A. archives of dermatology,14470050R,OM,"['*Eosinophilic Granuloma', '*Genetic Diseases, X-Linked', '*Histiocytosis, Langerhans-Cell', '*Leukemia, Hairy Cell', '*Lipidoses', '*Lymphatic Diseases', '*Medical Records', '*Severe Combined Immunodeficiency']",['CLML: 5935:23358:200:336:513'],['NLM'],"['*EOSINOPHILIC GRANULOMA/case reports', '*LIPOIDOSIS/case reports', '*RETICULOENDOTHELIOSIS/case reports']",1958/12/01 00:00,1958/12/01 00:01,['1958/12/01 00:00'],"['1958/12/01 00:00 [pubmed]', '1958/12/01 00:01 [medline]', '1958/12/01 00:00 [entrez]']",['10.1001/archderm.1958.01560120012003 [doi]'],ppublish,AMA Arch Derm. 1958 Dec;78(6):692-702. doi: 10.1001/archderm.1958.01560120012003.,,"['Familial Letterer-Siwe disease', 'Reticuloendotheliosis, X-linked']",,,,
13593735,NLM,MEDLINE,20000701,20181201,0372-8110 (Print) 0372-8110 (Linking),171,1-2,1958 Mar,[Influence of normal and leukemic human blood serum on heterologous leukocytes].,94-102,"['BALLOWITZ, K']",['BALLOWITZ K'],['ger'],['Journal Article'],Germany,Zentralbl Bakteriol Orig,"Zentralblatt fur Bakteriologie, Parasitenkunde, Infektionskrankheiten und Hygiene. 1. Abt. Medizinisch-hygienische Bakteriologie, Virusforschung und Parasitologie. Originale",0337744,OM,"['Humans', '*Leadership', 'Leukemia/*blood', '*Leukocytes', '*Serum']",['CLML: 5935:23153:330'],['NLM'],['*LEUKEMIA/blood in'],1958/03/01 00:00,1958/03/01 00:01,['1958/03/01 00:00'],"['1958/03/01 00:00 [pubmed]', '1958/03/01 00:01 [medline]', '1958/03/01 00:00 [entrez]']",,ppublish,Zentralbl Bakteriol Orig. 1958 Mar;171(1-2):94-102.,Einwirkung normaler und leukamischer menschlicher Blutseren auf heterologe Leukozyten.,,,,,
13593281,NLM,MEDLINE,20000701,20181201,0507-4088 (Print) 0507-4088 (Linking),3,4,1958 Jul-Aug,[Possibility of transmission of leukoses by bedbugs; preliminary communication].,213-7,"['BUTENKO, Z A']",['BUTENKO ZA'],['rus'],['Journal Article'],Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,OM,"['Animals', '*Bedbugs', 'Humans', '*Insecta', '*Leukemia, Experimental']",['CLML: 5935:22696:300:330'],['NLM'],"['*INSECTS', '*LEUKEMIA/experimental']",1958/07/01 00:00,1958/07/01 00:01,['1958/07/01 00:00'],"['1958/07/01 00:00 [pubmed]', '1958/07/01 00:01 [medline]', '1958/07/01 00:00 [entrez]']",,ppublish,Vopr Virusol. 1958 Jul-Aug;3(4):213-7.,K voprosu o vozmozhnosti peredachi leikoza kiopami; predvaritel'noe soobshchenie.,,,,,
13593202,NLM,MEDLINE,20000701,20181201,0026-9050 (Print) 0026-9050 (Linking),8,,1958 Aug,[Blood prothrombin during radiophosphorus and x-ray therapy of polycythemia and leukoses].,28-31,"['MURCHAKOVA, A F']",['MURCHAKOVA AF'],['rus'],['Journal Article'],Russia (Federation),Voen Med Zh,Voenno-meditsinskii zhurnal,2984871R,OM,"['*Hemostatics', 'Leukemia/*therapy', '*Phosphorus', '*Phosphorus Radioisotopes', '*Polycythemia', 'Polycythemia Vera/*therapy', 'Prothrombin/*radiation effects', '*X-Ray Therapy', 'X-Rays']",['CLML: 5935:22617:331:452:466:483:520'],['NLM'],"['*LEUKEMIA/therapy', '*PHOSPHORUS/radioactive', '*POLYCYTHEMIA VERA/therapy', '*PROTHROMBIN/effect of radiations on', '*ROENTGEN RAYS/effects']",1958/08/01 00:00,1958/08/01 00:01,['1958/08/01 00:00'],"['1958/08/01 00:00 [pubmed]', '1958/08/01 00:01 [medline]', '1958/08/01 00:00 [entrez]']",,ppublish,Voen Med Zh. 1958 Aug;8:28-31.,Protrombin krovi pri lechenii politsitemii i leikozov radioaktivnym fosforom i rentgenovymi luchami.,"['0 (Hemostatics)', '0 (Phosphorus Radioisotopes)', '27YLU75U4W (Phosphorus)', '9001-26-7 (Prothrombin)']",,,,
13592964,NLM,MEDLINE,20000701,20181201,0494-2736 (Print) 0494-2736 (Linking),24,4,1958 Apr,[Myleran therapy of chronic myeloid leukemia].,205-8,"['BELER, B', 'ERGUN, N']","['BELER B', 'ERGUN N']",['tur'],['Journal Article'],Turkey,Turk Tip Cemiy Mecm,Turk Tip Cemiyeti mecmuasi,7600196,OM,"['Busulfan/*therapeutic use', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Leukemia, Myeloid/*therapy']",['CLML: 5935:22379:111:331'],['NLM'],"['*BUSULFAN/therapeutic use', '*LEUKEMIA, MYELOCYTIC/therapy']",1958/04/01 00:00,1958/04/01 00:01,['1958/04/01 00:00'],"['1958/04/01 00:00 [pubmed]', '1958/04/01 00:01 [medline]', '1958/04/01 00:00 [entrez]']",,ppublish,Turk Tip Cemiy Mecm. 1958 Apr;24(4):205-8.,Kronik myeloid losemi tedavisinde myleran.,['G1LN9045DK (Busulfan)'],,,,
13592303,NLM,MEDLINE,20000701,20190619,0036-8075 (Print) 0036-8075 (Linking),128,3333,1958 Nov 14,Genetic and somatic effects of carbon-14.,1183-6,"['PAULING, L']",['PAULING L'],['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,OM,"['*Carbon', '*Carbon Radioisotopes', 'Child', '*Genetics', 'Humans', '*Nuclear Warfare']",['CLML: 5935:21716:66:115:238'],['NLM'],"['*ATOMIC WARFARE', '*CARBON/radioactive', '*GENETICS']",1958/11/14 00:00,1958/11/14 00:01,['1958/11/14 00:00'],"['1958/11/14 00:00 [pubmed]', '1958/11/14 00:01 [medline]', '1958/11/14 00:00 [entrez]']",['10.1126/science.128.3333.1183 [doi]'],ppublish,Science. 1958 Nov 14;128(3333):1183-6. doi: 10.1126/science.128.3333.1183.,,"['0 (Carbon Radioisotopes)', '7440-44-0 (Carbon)']",,"On the basis of information about carbon-14 given by Libby, calculations are made of the predicted genetic and somatic effects of the carbon-14 produced by the testing of nuclear weapons. It is concluded that 1 year of testing (30 megatons of fission plus fusion) is expected to cause in the world (stimated future number of births per year 5 times the present number) an estimated total of about 55,000 children with gross physical or mental defects, 170,000 stillbirths and childhood deaths, and 425,000 embryonic and neonatal deaths. (There is an unknown amount of overlap of these three categories.) These numbers are about 17 times the numbers usually estimated as the probable effects of the fallout fission products from 1 year of testing. In addition, the somatic effects of bomb-test carbon-14 are expected to be about equal to those of fission products, including strontium-90, with respect to leukemia and bone cancer and greater than those of fission products with respect to diseases resulting from radiation damage to tissues other than bone tissue and bone marrow. All of the estimated numbers are subject to great uncertainty; they may be as much as 5 times too high or 5 times too low. The uncertainty in the estimation of the relative effects of carbon-14 and fission products in world-wide fallout is not so great.",,
