PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,CON,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,RN,RF,CI,CIN,GR,PMC,TT,DEP,EIN,SI,OID,OTO,OT,GN,MID,PS,FPS
10874881,NLM,MEDLINE,20000713,20171116,0002-9173 (Print) 0002-9173 (Linking),113,6,2000 Jun,Usefulness of CD79b expression in the diagnosis of B-cell chronic lymphoproliferative disorders.,805-13,"['McCarron, K F', 'Hammel, J P', 'Hsi, E D']","['McCarron KF', 'Hammel JP', 'Hsi ED']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['Antigens, CD/*metabolism', 'Antigens, CD20/metabolism', 'Antigens, Differentiation, B-Lymphocyte/metabolism', 'CD79 Antigens', 'Flow Cytometry', 'Humans', 'Immunoglobulin Light Chains/metabolism', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/classification/diagnosis/*metabolism', 'Logistic Models', 'Lymphoma, Mantle-Cell/classification/diagnosis/*metabolism', 'Receptors, Antigen, B-Cell/metabolism', 'Reproducibility of Results']",2000/06/30 11:00,2000/07/15 11:00,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/06/30 11:00 [entrez]']",['10.1309/G689-2J36-KCTC-WD5N [doi]'],ppublish,Am J Clin Pathol. 2000 Jun;113(6):805-13. doi: 10.1309/G689-2J36-KCTC-WD5N.,"We evaluated anti-CD79b for its usefulness in the diagnosis of B-cell chronic lymphoproliferative disorders (BCLPDs), particularly chronic lymphocytic leukemia (CLL) and mantle cell lymphoma (MCL). We analyzed 100 BCLPDs for CD5, CD19, CD20, CD23, CD79b, and surface immunoglobulin light chain (sIg) expression by 4-color flow cytometry. CD20, CD79b, and sIg expression were quantified. Correlational analysis and univariable and multivariable logistic regression models were used to determine the best combination of antigens for the immunophenotypic classification of CLL vs other BCLPDs. Positive and statistically significant Spearman pairwise correlations between CD20, CD79b, and sIg fluorescence intensity were demonstrated. In the simplest models in which a single variable was considered, cutoff points were chosen that gave misclassification rates for CLL of 16% for CD79b, 19% for sIg, and 18% for CD20. Low-intensity CD79b, CD20, and sIg are associated highly with CLL. A panel containing CD5, CD19, CD23, and sIg allowed correct classification of most cases. Addition of CD20 or CD79b improved diagnostic accuracy; CD79b was slightly better than CD20. CD79b seems to be a useful addition to a standard flow cytometry panel for the evaluation of BCLPDs.","['Department of Clinical Pathology, Cleveland Clinic Foundation, OH 44195, USA.']","['0 (Antigens, CD)', '0 (Antigens, CD20)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (CD79 Antigens)', '0 (CD79B protein, human)', '0 (Immunoglobulin Light Chains)', '0 (Receptors, Antigen, B-Cell)']",,,,,,,,['Am J Clin Pathol 2000 Sep;114(3):489'],,,,,,,,
10874880,NLM,MEDLINE,20000713,20071115,0002-9173 (Print) 0002-9173 (Linking),113,6,2000 Jun,Biclonal chronic lymphocytic leukemia.,798-804,"['Hsi, E D', 'Hoeltge, G', 'Tubbs, R R']","['Hsi ED', 'Hoeltge G', 'Tubbs RR']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,,"['Aged', 'Antigens, Differentiation, B-Lymphocyte/analysis', 'B-Lymphocyte Subsets/metabolism/pathology', 'Blotting, Southern', 'Clone Cells', 'DNA, Neoplasm/analysis', 'Flow Cytometry', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Humans', 'Immunoglobulin Light Chains/analysis', 'Immunoglobulin kappa-Chains/metabolism', 'Immunoglobulin lambda-Chains/metabolism', 'Immunophenotyping', 'Karyotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/metabolism/*pathology', 'Male', 'Polymerase Chain Reaction', 'Tumor Cells, Cultured']",2000/06/30 11:00,2000/07/15 11:00,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/07/15 11:00 [medline]', '2000/06/30 11:00 [entrez]']",['10.1309/V8AN-A2XP-7TDV-HR0T [doi]'],ppublish,Am J Clin Pathol. 2000 Jun;113(6):798-804. doi: 10.1309/V8AN-A2XP-7TDV-HR0T.,"Chronic lymphocytic leukemia (CLL) is well characterized clinically and immunophenotypically. Demonstration of a monotypic CD19+, CD5+ B-cell population is central to the diagnosis. We report 2 cases of biclonal CLL. Two elderly men were encountered with an absolute lymphocytosis consisting of the typical CD5+, CD19+, CD23+ B-cell population seen in CLL; however, immunoglobulin light chain restriction by flow cytometry was not apparent as B cells expressed kappa or lambda light chains without a clear monotypic population. Molecular genetic analysis of flow cytometry-sorted cells (kappa and lambda populations) revealed in both cases 2 monoclonal B-cell populations. The characterization of these cases and a review of the issues surrounding biclonal CLL are presented.","['Department of Clinical Pathology, Cleveland Clinic Foundation, OH 44195, USA.']","['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (DNA, Neoplasm)', '0 (Immunoglobulin Light Chains)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)']",,,,,,,,,,,,,,,,
10874685,NLM,MEDLINE,20001019,20190921,0161-6412 (Print) 0161-6412 (Linking),22,4,2000 Jun,Heterogeneity of delta-aminolevulinic acid-induced protoporphyrin IX fluorescence in human glioma cells and leukemic lymphocytes.,361-8,"['Eleouet, S', 'Rousset, N', 'Carre, J', 'Vonarx, V', 'Vilatte, C', 'Louet, C', 'Lajat, Y', 'Patrice, T']","['Eleouet S', 'Rousset N', 'Carre J', 'Vonarx V', 'Vilatte C', 'Louet C', 'Lajat Y', 'Patrice T']",['eng'],"['Clinical Trial', 'Journal Article']",England,Neurol Res,Neurological research,7905298,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Aminolevulinic Acid/*pharmacokinetics', 'Biopsy', 'Brain Neoplasms/*metabolism/pathology/therapy', 'Female', 'Glioblastoma/*metabolism/pathology/therapy', 'Humans', 'Kinetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/metabolism/pathology/therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism/pathology/therapy', 'Lymphocytes/*metabolism', 'Male', 'Microscopy, Confocal', 'Microscopy, Fluorescence', 'Middle Aged', 'Photochemistry', 'Phototherapy', 'Protoporphyrins/*biosynthesis', 'Tumor Cells, Cultured/metabolism/pathology']",2000/06/30 11:00,2000/10/21 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1080/01616412.2000.11740685 [doi]'],ppublish,Neurol Res. 2000 Jun;22(4):361-8. doi: 10.1080/01616412.2000.11740685.,"Delta-aminolevulinic acid (ALA)-PDT efficacy is particularly dependent on the quality of protoporphyrin IX (PpIX)-induced synthesis. The purpose of this study was to determine the ability of cells from two human cancer types to synthesise PpIX after ALA administration. Biopsies of glioma cells have been obtained from patients with glioblastomas that have or have not been given ALA IV (ex vivo incubation). Peripheral blood lymphocytes, obtained from leukemic patients, have also been ALA-incubated in vitro. In glioma cells, fluorescence heterogeneity was extensive either in ALA infused patients or in ex vivo ALA incubated cells. Mean intensities after 3 h were 110 cts (range 0-340) and 1000 cts (range 0-3600). Similar results were found in leukemic lymphocytes where cell fluorescence varied from 0 to 480 cts with a percentage of fluorescent cells varying with time and from one patient to another. Furthermore, PpIX was not detectable in two patients with CLL. These observations suggest that a marked heterogeneity of ALA uptake and/or PpIX synthesis exists in a given human cancer cell population particularly after systemic administration. Improvements for ALA transformation into PpIX are strongly recommended to ensure the efficacy of ALA/PpIX-PDT.","['Departement Laser, Hopital Laennec, Nantes, France.']","['0 (Protoporphyrins)', '88755TAZ87 (Aminolevulinic Acid)', 'C2K325S808 (protoporphyrin IX)']",,,,,,,,,,,,,,,,
10874673,NLM,MEDLINE,20000926,20151119,0893-3952 (Print) 0893-3952 (Linking),13,6,2000 Jun,"Trichoblastic carcinoma (""malignant trichoblastoma"") with lymphatic and hematogenous metastases.",673-8,"['Regauer, S', 'Beham-Schmid, C', 'Okcu, M', 'Hartner, E', 'Mannweiler, S']","['Regauer S', 'Beham-Schmid C', 'Okcu M', 'Hartner E', 'Mannweiler S']",['eng'],"['Case Reports', 'Journal Article']",United States,Mod Pathol,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",8806605,IM,,"['Biomarkers', 'Carcinoma/metabolism/*pathology', 'Cell Transformation, Neoplastic', 'Diagnosis, Differential', 'Hair Follicle/metabolism/*pathology', 'Humans', 'Immunohistochemistry', 'Leukemia, Lymphocytic, Chronic, B-Cell/*pathology', 'Male', 'Middle Aged', 'Neoplasm Metastasis', 'Skin Neoplasms/metabolism/*pathology']",2000/06/30 11:00,2000/09/30 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1038/modpathol.3880118 [doi]'],ppublish,Mod Pathol. 2000 Jun;13(6):673-8. doi: 10.1038/modpathol.3880118.,"We report an aggressively behaving malignant trichogenic tumor arising in a trichoblastoma (TB) with widespread lymphatic and hematogenous metastases in a 55-year-old man with a concomitant B-cell chronic lymphocytic leukemia. The primary tumor had been present and unchanged for as long as 40 years before excision. Typical trichogenic TB with dystrophic calcification and even ossification was still present peripheral to the malignant transformation. The malignant neoplasm consisted of basaloid cells, spindle cells arranged in fascicles and densely packed rounded nests or ""cell balls."" The metastases consisted of immature basaloid cells and cell balls, and the recurrences became successively more undifferentiated. The residual TB reacted with antibodies to cytokeratin (CK) 6, 8, 14, and 17 and focally to S-100; the malignant primary tumor reacted uniformly with antibodies to vimentin and only focally with antibodies to CK and S-100. The metastatic tumor had lost epidermal CK expression but maintained expression of S-100 in paraffin-embedded tissues. Trichoblastic differentiation was confirmed in frozen tissues with antibodies to hair keratins. No expression of p53 or bcl-2 was identified, but p-glycoprotein (MDR-1 gene related) was expressed by primary and metastatic tumor cells. We believe that this neoplasm is best classified as a trichoblastic carcinoma arising in a TB in association with a B-cell chronic lymphocytic leukemia. This case illustrates that TBs have the potential for malignant transformation and aggressive behavior.","['Institute of Pathology, University of Graz Medical School, Austria. sigrid.regauer@email.kfunigraz.ac.at']",['0 (Biomarkers)'],,,,,,,,,,,,,,,,
10874517,NLM,MEDLINE,20001031,20190826,0305-1870 (Print) 0305-1870 (Linking),27,7,2000 Jul,AM424: history of a novel drug candidate.,553-7,"['Kurek, J']",['Kurek J'],['eng'],"['Journal Article', 'Review']",Australia,Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology,0425076,IM,,"['Animals', 'Cell Survival/drug effects', 'Growth Inhibitors/metabolism/*pharmacology', 'Humans', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lymphokines/metabolism/*pharmacology', 'Mice', 'Nerve Degeneration', 'Neuromuscular Agents/pharmacology', 'Neurons/drug effects/metabolism', 'Recombinant Proteins/pharmacology']",2000/06/30 11:00,2001/02/28 10:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1046/j.1440-1681.2000.03289.x [doi]'],ppublish,Clin Exp Pharmacol Physiol. 2000 Jul;27(7):553-7. doi: 10.1046/j.1440-1681.2000.03289.x.,"1. Leukaemia inhibitory factor (LIF) is a 180 amino acid single-chain protein, named after its effect on haematopoietic cells. Leukaemia inhibitory factor belongs to a group of cytokines that includes ciliary neurotrophic factor, interleukin (IL)-6, IL-11, cardiotrophin-1 and oncostatin M. All group members use the gp130 signal transducing subunit for intracellular signalling, but show differences in biological effect. 2. Research over the past 6-8 years has shown LIF to have potent neuromuscular activity. In vitro and in vivo studies on axotomy and nerve crush models demonstrate a powerful effect of LIF in enhancing the survival of both motor and sensory neurons, while reducing denervation-induced muscle atrophy. In models of both axotomy induced neuronal death and in the wobbler mouse, LIF is active at doses as low as 1 microgram/kg delivered systemically. 3. In muscle, LIF will increase the rate of muscle regeneration in vivo when applied exogenously after injury and will stimulate intrinsic muscle repair following its targeted release to dystrophic muscle in the mdx mouse. Leukaemia inhibitory factor may also have a role as an adjunct to myoblast transfer therapy, with studies showing that the transplantation of genetically competent myoblasts into mdx mouse muscle is enhanced when cells are injected with LIF. 4. Distribution and pharmacokinetic studies have been conducted in primates with doses of 20 micrograms/kg recombinant human LIF given subcutaneously over 2 weeks tolerated without major side effects. 5. A pharmaceutical form of recombinant human LIF (AM424; AMRAD Operations, Richmond, Victoria, Australia) entered human clinical trials during 1997 and a phase I clinical trial in healthy volunteers has been completed. A phase I repeat dose study has also been completed in cancer patients undergoing chemotherapy. The primary indication for a phase II study is the treatment of chemotherapy induced peripheral neuropathy. Other potential indications include muscle wasting diseases, acute nerve trauma and motor neuron disease. 6. The role of LIF in modulating nerve loss should make it an ideal candidate for the treatment of a number of neurological conditions. The phase I study represents the first trial in a programme for the clinical development of AM424.","['AMRAD Operations Pty Ltd, Richmond, Victoria, Australia. jkurek@amrad.com.au']","['0 (Growth Inhibitors)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (Neuromuscular Agents)', '0 (Recombinant Proteins)']",38,,,,,,,,,,,,,,,
10874452,NLM,MEDLINE,20001010,20191104,0066-4758 (Print) 0066-4758 (Linking),50,,2000,Interventional once-daily administration of ceftriaxone in leukemia and lymphoma patients with febrile neutropenia.,26-36,"['Karthaus, M', 'Sudhoff, T', 'Egerer, G', 'Fenchel, K', 'Kampfe, D', 'Ritter, J', 'Franke, A', 'Heil, G', 'Peters, G', 'Jurgens, H']","['Karthaus M', 'Sudhoff T', 'Egerer G', 'Fenchel K', 'Kampfe D', 'Ritter J', 'Franke A', 'Heil G', 'Peters G', 'Jurgens H']",['eng'],"['Clinical Trial', 'Journal Article']",Switzerland,Antibiot Chemother (1971),Antibiotics and chemotherapy,1305576,IM,,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Bacterial Infections/*prevention & control', 'Ceftriaxone/*administration & dosage', 'Cephalosporins/*administration & dosage', 'Female', 'Humans', 'Leukemia/*complications/drug therapy', 'Lymphoma/*complications/drug therapy', 'Male', 'Middle Aged', 'Neutropenia/*drug therapy/etiology', 'Treatment Outcome']",2000/06/30 11:00,2000/10/14 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1159/000059312 [doi]'],ppublish,Antibiot Chemother (1971). 2000;50:26-36. doi: 10.1159/000059312.,,"['Abteilung Hamatologie und Onkologie, Medizinische Hochschule, Hannover. mkarthaus@gmx.de']","['0 (Antineoplastic Agents)', '0 (Cephalosporins)', '75J73V1629 (Ceftriaxone)']",,,,,,,,,,,,,,,,
10874451,NLM,MEDLINE,20001010,20191104,0066-4758 (Print) 0066-4758 (Linking),50,,2000,Antimicrobial therapy in neutropenic patients.,20-5,"['Egerer, G', 'Karthaus, M', 'Goldschmidt, H', 'Ho, A D']","['Egerer G', 'Karthaus M', 'Goldschmidt H', 'Ho AD']",['eng'],"['Journal Article', 'Review']",Switzerland,Antibiot Chemother (1971),Antibiotics and chemotherapy,1305576,IM,,"['Acute Disease', 'Anti-Infective Agents/*therapeutic use', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Bacterial Infections/*drug therapy/*etiology', 'Humans', 'Leukemia, Myeloid/complications/drug therapy', 'Neutropenia/*etiology']",2000/06/30 11:00,2000/10/14 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1159/000059313 [doi]'],ppublish,Antibiot Chemother (1971). 2000;50:20-5. doi: 10.1159/000059313.,,"['Medizinische Klinik und Poliklinik V, Universitat Heidelberg.']","['0 (Anti-Infective Agents)', '0 (Antineoplastic Agents)']",17,,,,,,,,,,,,,,,
10874450,NLM,MEDLINE,20001010,20191104,0066-4758 (Print) 0066-4758 (Linking),50,,2000,Serum and plasma parameters in clinical evaluation of neutropenic fever.,10-9,"['Sudhoff, T', 'Giagounidis, A', 'Karthaus, M']","['Sudhoff T', 'Giagounidis A', 'Karthaus M']",['eng'],"['Journal Article', 'Review']",Switzerland,Antibiot Chemother (1971),Antibiotics and chemotherapy,1305576,IM,,"['Adult', 'Antineoplastic Agents/adverse effects/therapeutic use', '*Biomarkers', 'C-Reactive Protein/metabolism', 'Cell Adhesion Molecules/blood', 'Cytokines/blood', 'Fever/*blood/diagnosis/etiology/physiopathology', 'Humans', 'Neutropenia/*blood/diagnosis/etiology/physiopathology']",2000/06/30 11:00,2000/10/14 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/10/14 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1159/000059308 [doi]'],ppublish,Antibiot Chemother (1971). 2000;50:10-9. doi: 10.1159/000059308.,"Clinicians are searching for a marker which may add to exclusion or diagnosis of relevant infection underlying neutropenic fever. The rise of such a parameter should ideally precede the date of significant microbiologic findings or justify additional intensive search for a focus of infection even in patients without pyrexia. However, the literature concerning the significance of CRP, proinflammatory cytokines and soluble adhesion molecules in the clinical evaluation of neutropenic fever is surprisingly small. In the case of procalcitonin, available data look very preliminary. Furthermore, in case of CRP, it appears that the widespread view that its determination may add substantially to the clinical evaluation of neutropenic fever is not well founded by most clinical trials listed here. Most of the studies available demonstrate several limitations such as poor design and small size of the study population. Additionally, studies were heterogeneous with respect to patients recruited (children and adults, patients with leukemia and patients with solid tumors) and compared different categories of febrile episodes. None of the investigators analyzed cost-effectiveness or impact of serial measurements of these parameters on patients' outcome. To our knowledge no single multicenter trial has been published addressing this issue. Although the group of proinflammatory cytokines and known acute-phase reactants will surely grow, more data on relevance of the available parameters in the diagnosis of neutropenic fever are needed.","['Abteilung Interne Medizin, Knappschaftskrankenhaus Bochum-Langendreer, Ruhr-Universitat Bochum. Thomas.Sudhoff@ruhr-uni-bochum.de']","['0 (Antineoplastic Agents)', '0 (Biomarkers)', '0 (Cell Adhesion Molecules)', '0 (Cytokines)', '9007-41-4 (C-Reactive Protein)']",38,,,,,,,,,,,,,,,
10874219,NLM,MEDLINE,20000818,20190513,0910-5050 (Print) 0910-5050 (Linking),91,6,2000 Jun,Effects of 1-methyl-3-propyl-7-butylxanthine (MPBX) on idarubicin-induced antitumor activity and bone marrow suppression.,651-7,"['Sadzuka, Y', 'Egawa, Y', 'Sugiyama, T', 'Sawanishi, H', 'Miyamoto, K', 'Sonobe, T']","['Sadzuka Y', 'Egawa Y', 'Sugiyama T', 'Sawanishi H', 'Miyamoto K', 'Sonobe T']",['eng'],['Journal Article'],Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,IM,,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology', 'Antineoplastic Agents/*pharmacology', 'Biological Transport/drug effects', 'Bone Marrow/*drug effects/metabolism', 'Bone Marrow Cells/cytology/drug effects', 'Cell Count/drug effects', 'Cell Division/drug effects', 'Cell Membrane/drug effects/metabolism', 'Drug Interactions', 'Idarubicin/*adverse effects/pharmacokinetics/*pharmacology', 'Leukemia P388/drug therapy/metabolism', 'Male', 'Mice', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Tissue Distribution', 'Xanthines/*pharmacology']",2000/06/30 11:00,2000/08/29 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/08/29 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1111/j.1349-7006.2000.tb00995.x [doi]'],ppublish,Jpn J Cancer Res. 2000 Jun;91(6):651-7. doi: 10.1111/j.1349-7006.2000.tb00995.x.,"The effects of 1-methyl-3-propyl-7-butylxanthine (MPBX), a xanthine derivative, on idarubicin (IDA)-induced antitumor activity against P388 leukemia cells (P388) and bone marrow suppression were examined. In P388 tumor-bearing mice, the combination of MPBX with IDA increased the antitumor activity of IDA. The IDA concentration in the tumors in the MPBX combination group increased by 2.0-fold compared to the level in the IDA-alone group. On the other hand, as regards IDA-induced bone marrow suppression, the combination of MPBX with IDA reduced the decrease in the bone marrow cell number by 30% compared to that in the IDA-alone group. In addition, the IDA concentration in the bone marrow cells was decreased by the combination of MPBX with IDA. An in vitro experiment showed that MPBX facilitated IDA influx and suppressed IDA efflux in P388 cells. In conclusion, the combination of MPBX with IDA increased the antitumor activity and decreased the bone marrow suppression. Therefore, we expect that the combination of MPBX with IDA will be useful for leukemia chemotherapy.","['School of Pharmaceutical Sciences, University of Shizuoka, Shizuoka 422-8526, Japan. sadzuka@u-shizuoka-ken.ac.jp.']","['0 (1-methyl-3-propyl-7-butylxanthine)', '0 (Antibiotics, Antineoplastic)', '0 (Antineoplastic Agents)', '0 (Xanthines)', 'ZRP63D75JW (Idarubicin)']",,,,,PMC5926398,,,,,,,,,,,
10874216,NLM,MEDLINE,20000818,20190513,0910-5050 (Print) 0910-5050 (Linking),91,6,2000 Jun,Human T cell leukemia cell death by apoptosis-inducing nucleosides from CD57(+) HLA-DR(bright) natural suppressor cell line.,629-37,"['Mori, T', 'Li, X', 'Mori, E', 'Guo, M']","['Mori T', 'Li X', 'Mori E', 'Guo M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,IM,,"['Animals', 'Antineoplastic Agents/isolation & purification/*pharmacology', 'Apoptosis/*drug effects', 'CD57 Antigens/immunology', 'Caspase 3', 'Caspase Inhibitors', 'Caspases/metabolism', 'Cell Division/drug effects', 'Chromatography, High Pressure Liquid', 'Chromatography, Thin Layer', 'DNA Fragmentation', 'DNA, Neoplasm/drug effects/metabolism', 'Enzyme Activators/pharmacology', 'Flow Cytometry', 'HLA-DR Antigens/immunology', 'Humans', 'Leukemia, T-Cell/*drug therapy/pathology', 'Mice', 'Mice, SCID', 'Neoplasm Transplantation', 'Nucleosides/isolation & purification/*pharmacology']",2000/06/30 11:00,2000/08/29 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/08/29 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1111/j.1349-7006.2000.tb00992.x [doi]'],ppublish,Jpn J Cancer Res. 2000 Jun;91(6):629-37. doi: 10.1111/j.1349-7006.2000.tb00992.x.,"Apoptosis-inducing nucleosides (AINs) released from CD57( +) HLA-DR(bright) natural suppressor (57.DR-NS) cell line, derived from human decidual tissue, were isolated from 57.DR-NS cell culture supernatant by the combination of thin-layer chromatography (TLC) and high-performance liquid chromatography (HPLC). Apoptotic cell death was strongly induced in human T cell leukemia Molt4 cells treated with AINs, absolutely depending on DNA strand breaks, with activation of the caspase cascade, especially caspase-3. The administration of AINs to Molt4 tumor-bearing severe combined immunodeficiency (SCID) mice resulted in drastic suppression of tumor growth, with a decrease of tumor size and the appearance of apoptotic signals in tumor tissue. Thus, AINs are candidates for development as anticancer agents.","['Department of Immunology, Institute of Medical Science, University of Tokyo, Minato-ku, Tokyo 108-0071, Japan. ts-mori@ims.u-tokyo.ac. jp.']","['0 (Antineoplastic Agents)', '0 (CD57 Antigens)', '0 (Caspase Inhibitors)', '0 (DNA, Neoplasm)', '0 (Enzyme Activators)', '0 (HLA-DR Antigens)', '0 (Nucleosides)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Casp3 protein, mouse)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",,,,,PMC5926391,,,,,,,,,,,
10874212,NLM,MEDLINE,20000818,20190513,0910-5050 (Print) 0910-5050 (Linking),91,6,2000 Jun,Spicamycin and KRN5500 induce apoptosis in myeloid and lymphoid cell lines with down-regulation of bcl-2 expression and modulation of promyelocytic leukemia protein.,604-11,"['Zhang, W J', 'Ohnishi, K', 'Yoshida, H', 'Pan, L', 'Maksumova, L', 'Muratkhodjaev, F', 'Luo, J M', 'Shigeno, K', 'Fujisawa, S', 'Naito, K', 'Nakamura, S', 'Shinjo, K', 'Takeshita, A', 'Ohno, R']","['Zhang WJ', 'Ohnishi K', 'Yoshida H', 'Pan L', 'Maksumova L', 'Muratkhodjaev F', 'Luo JM', 'Shigeno K', 'Fujisawa S', 'Naito K', 'Nakamura S', 'Shinjo K', 'Takeshita A', 'Ohno R']",['eng'],['Journal Article'],Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,IM,,"['Antibiotics, Antineoplastic/*pharmacology', 'Apoptosis/*drug effects', 'Cell Differentiation/drug effects', 'Cell Survival/drug effects', 'Down-Regulation/drug effects', 'HL-60 Cells/cytology/drug effects/metabolism', 'Hematopoietic Stem Cells/cytology/*drug effects/metabolism', 'Humans', 'Neoplasm Proteins/*biosynthesis', '*Nuclear Proteins', 'Promyelocytic Leukemia Protein', 'Proto-Oncogene Proteins c-bcl-2/*biosynthesis/genetics', 'Purine Nucleosides/pharmacology', 'Transcription Factors/*biosynthesis', 'Tumor Cells, Cultured', 'Tumor Suppressor Proteins']",2000/06/30 11:00,2000/08/29 11:01,['2000/06/30 11:00'],"['2000/06/30 11:00 [pubmed]', '2000/08/29 11:01 [medline]', '2000/06/30 11:00 [entrez]']",['10.1111/j.1349-7006.2000.tb00988.x [doi]'],ppublish,Jpn J Cancer Res. 2000 Jun;91(6):604-11. doi: 10.1111/j.1349-7006.2000.tb00988.x.,"Spicamycin is a potent inducer of differentiation of human myeloid leukemia cells (HL-60) and murine myeloid leukemia cells (M1). One of the spicamycin derivatives, KRN5500, shows a broad spectrum of antitumor activity against human tumor xenografts in nude mice. In this study, we first investigated the differentiation efficacy of spicamycin and KRN5500 in HL-60 and acute promyelocytic leukemia cell line, NB4, and found that low concentrations of both compounds induced differentiation to a small extent in both cell lines, but markedly induced apoptosis in NB4 cells. Further investigation in a myeloid leukemia cell line, NKM-1, a lymphoma cell line, Daudi, and a multiple myeloma cell line, NOP-1, showed that high concentrations of both compounds also induced apoptosis in these cells. The 50% inhibitory concentration (IC(50)) determined by 3-(4, 5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) assay showed that myeloid cells were more sensitive to both compounds than lymphoid cells, and spicamycin was more potent than KRN5500. Western blot analysis of Bcl-2, Bcl-xL and Bax expression and immunofluorescence analysis of promyelocytic leukemia (PML) protein indicated that apoptosis induced by spicamycin and KRN5500 was associated with down-regulation of Bcl-2 expression and modulation of PML protein. Thus, spicamycin and KRN5500 may be useful for the treatment of myeloid and lymphoid neoplasms.","['Department of Medicine III, Hamamatsu University School of Medicine, 3600 Handa-cho, Hamamatsu 431-3192, Japan.']","['0 (Antibiotics, Antineoplastic)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Promyelocytic Leukemia Protein)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Purine Nucleosides)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '143220-95-5 (PML protein, human)', '62362-59-8 (septacidin)', '8VH13L5K20 (KRN 5500)']",,,,,PMC5926402,,,,,,,,,,,
