PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,AB
5257375,NLM,MEDLINE,19691002,20071115,0037-1963 (Print) 0037-1963 (Linking),6,3,1969 Jul,Introduction--leukemia and lymphoma. I.,226-7,"['Holland, J F']",['Holland JF'],['eng'],['Journal Article'],,United States,Semin Hematol,Seminars in hematology,0404514,IM,"['*Leukemia', 'Leukemia, Lymphoid', 'Leukemia, Myeloid, Acute', '*Lymphoma']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Semin Hematol. 1969 Jul;6(3):226-7.,,,,
5257298,NLM,MEDLINE,19690930,20071115,0031-3114 (Print) 0031-3114 (Linking),20,1,1969,[Cytomorphology and cytochemical and ultrastructural studies in the monocytes in a case of monocytic leukemia of the Schilling type].,61-8,"['Woyke, M', 'Woyke, S', 'Pilarska, K']","['Woyke M', 'Woyke S', 'Pilarska K']",['pol'],['Journal Article'],"Cytomorfologia, niektore badania cytochemiczne i ultrastruktura monocytow w przypadku bialaczki monocytowej typu Schillinga.",Poland,Patol Pol,Patologia polska,0404244,IM,"['Adult', '*Cytoplasm', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid/*pathology', 'Male', '*Monocytes']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Patol Pol. 1969;20(1):61-8.,,,,
5257290,NLM,MEDLINE,19690930,20190704,0007-1048 (Print) 0007-1048 (Linking),16,4,1969 Apr,Activated coagulation factors: in-vivo and in-vitro studies.,337-51,"['Niemetz, J', 'Nossel, H L']","['Niemetz J', 'Nossel HL']",['eng'],['Journal Article'],,England,Br J Haematol,British journal of haematology,0372544,IM,"['*Blood Coagulation Factors', 'Blood Coagulation Tests', 'Factor VIII/blood', 'Fibrin/blood', 'Heparin/pharmacology', 'Humans', 'In Vitro Techniques', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid, Acute/blood', 'Thrombin/pharmacology', 'Thromboplastin/pharmacology']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Br J Haematol. 1969 Apr;16(4):337-51. doi: 10.1111/j.1365-2141.1969.tb00411.x.,"['0 (Blood Coagulation Factors)', '9001-27-8 (Factor VIII)', '9001-31-4 (Fibrin)', '9005-49-6 (Heparin)', '9035-58-9 (Thromboplastin)', 'EC 3.4.21.5 (Thrombin)']",['10.1111/j.1365-2141.1969.tb00411.x [doi]'],,
5257264,NLM,MEDLINE,19690930,20071115,0031-3939 (Print) 0031-3939 (Linking),44,6,1969 Jun,[Symptoms of myocardial infarction in the course of leukemia].,733-6,"['Pellar, J', 'Zawartka, M']","['Pellar J', 'Zawartka M']",['pol'],['Journal Article'],Objawy zawalu serca w przebiegu bialaczki.,Poland,Pediatr Pol,Pediatria polska,2985039R,IM,"['Child', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Myocardial Infarction/*diagnosis/etiology']",1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1969 Jun;44(6):733-6.,,,,
5257252,NLM,MEDLINE,19690930,20151119,0036-7672 (Print) 0036-7672 (Linking),99,29,1969 Jul 19,[Prolonged thrombocytosis and hyperleukocytosis in a case of ileal Crohn's disease with spondylitis of the pelvis].,1060-2,"['Laperrouza, C', 'de Siebenthal, J']","['Laperrouza C', 'de Siebenthal J']",['fre'],['Journal Article'],Thrombocytose et hyperleucocytose prolongees dans un cas de maladie de Crohn ileale avec pelvispondylife.,Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,IM,"['Adult', 'Alkaline Phosphatase/blood', 'Bone Marrow Diseases', 'Chromosome Aberrations', 'Chromosome Disorders', 'Crohn Disease/*complications', 'Humans', 'Hyperplasia', 'Leukemia, Myeloid/diagnosis', 'Leukocytosis/*complications', 'Male', 'Pelvis', 'Platelet Adhesiveness', 'Prednisone', 'Spondylitis, Ankylosing/*complications', 'Thrombocytosis/*complications']",1969/07/19 00:00,1969/07/19 00:01,['1969/07/19 00:00'],"['1969/07/19 00:00 [pubmed]', '1969/07/19 00:01 [medline]', '1969/07/19 00:00 [entrez]']",ppublish,Schweiz Med Wochenschr. 1969 Jul 19;99(29):1060-2.,"['EC 3.1.3.1 (Alkaline Phosphatase)', 'VB0R961HZT (Prednisone)']",,,
5257216,NLM,MEDLINE,19690930,20190629,0014-4754 (Print) 0014-4754 (Linking),25,7,1969,The absence of normal serum proteins in lymphoma patients revealed by disc electrophoresis.,747-8,"['Rohlfing, S R', 'Brown, E R', 'Schwartz, S O', 'Spira, R']","['Rohlfing SR', 'Brown ER', 'Schwartz SO', 'Spira R']",['eng'],['Journal Article'],,Switzerland,Experientia,Experientia,0376547,IM,"['Blood Proteins/*analysis', 'Electrophoresis, Disc', 'Gels', 'Humans', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/blood', 'Lymphoma/*blood', 'Methods']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Experientia. 1969;25(7):747-8. doi: 10.1007/BF01897603.,"['0 (Blood Proteins)', '0 (Gels)']",['10.1007/BF01897603 [doi]'],,
5257215,NLM,MEDLINE,19690930,20041117,,76,1,1969,[Pyodermitis in extensive sphacelous plaques associated with Vaquez's disease stabilized by P-32].,86-9,"['Duverne, J', 'Brizard, C P', 'Volle, H', 'Livoireau']","['Duverne J', 'Brizard CP', 'Volle H', 'Livoireau']",['fre'],['Journal Article'],Pyodermites en placards extensifs et sphaceliques au cours d'une maladie de Vaquez stabilisee par le P32.,France,Bull Soc Fr Dermatol Syphiligr,Bulletin de la Societe francaise de dermatologie et de syphiligraphie,7503407,IM,"['Aged', 'Female', 'Humans', 'Leukemia, Myeloid/etiology', 'Phosphorus Isotopes/*therapeutic use', 'Polycythemia Vera/complications/*radiotherapy', 'Pyoderma/drug therapy/*etiology/pathology', '*Radiodermatitis', 'Splenomegaly/etiology']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Bull Soc Fr Dermatol Syphiligr. 1969;76(1):86-9.,['0 (Phosphorus Isotopes)'],,,
5257214,NLM,MEDLINE,19690930,20071115,,76,1,1969,[Acute myeloblastic leukemia with multiple cutaneous tumors].,135-6,"['Thiers, H', 'Moulin, G', 'Jamain, C', 'Mohar, N', 'Tuaillon, J']","['Thiers H', 'Moulin G', 'Jamain C', 'Mohar N', 'Tuaillon J']",['fre'],"['Case Reports', 'Journal Article']",Leucose aigue myeloblastique a tumeurs cutanees multiples.,France,Bull Soc Fr Dermatol Syphiligr,Bulletin de la Societe francaise de dermatologie et de syphiligraphie,7503407,IM,"['Acute Disease', 'Age Factors', 'Aged', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Skin Neoplasms/*etiology']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Bull Soc Fr Dermatol Syphiligr. 1969;76(1):135-6.,,,,
5257148,NLM,MEDLINE,19690930,20190501,0007-1447 (Print) 0007-1447 (Linking),3,5669,1969 Aug 30,"Clinical evaluation of adriamycin, a new antitumour antibiotic.",503-6,"['Bonadonna, G', 'Monfardini, S', 'De Lena, M', 'Fossati-Bellani, F']","['Bonadonna G', 'Monfardini S', 'De Lena M', 'Fossati-Bellani F']",['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,IM,"['Adolescent', 'Adult', 'Alopecia/chemically induced', 'Antibiotics, Antineoplastic/administration & dosage/adverse effects/*therapeutic use', 'Bone Marrow/drug effects', 'Child', 'Heart/drug effects', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid/drug therapy', 'Lymphoma/drug therapy', 'Middle Aged', 'Neoplasms/drug therapy', 'Stomatitis/chemically induced']",1969/08/30 00:00,1969/08/30 00:01,['1969/08/30 00:00'],"['1969/08/30 00:00 [pubmed]', '1969/08/30 00:01 [medline]', '1969/08/30 00:00 [entrez]']",ppublish,Br Med J. 1969 Aug 30;3(5669):503-6. doi: 10.1136/bmj.3.5669.503.,"['0 (Antibiotics, Antineoplastic)']",['10.1136/bmj.3.5669.503 [doi]'],PMC1984262,"Adriamycin, a new antitumour antibiotic of the anthracycline group with a structural formula very similar to daunorubicin, has proved to have potent tumour-growth-inhibiting properties, and to be particularly effective in childhood malignancies. Though adriamycin produces a higher percentage of side-effects than daunorubicin-namely, stomatitis and alopecia-a lower dosage may be used for therapy."
5257147,NLM,MEDLINE,19690930,20190501,0007-1447 (Print) 0007-1447 (Linking),3,5669,1969 Aug 30,Paroxysmal nocturnal haemoglobinuria and leukaemia.,483-4,,,['eng'],['Journal Article'],,England,Br Med J,British medical journal,0372673,IM,"['Anemia, Aplastic/complications', 'Hemoglobinuria, Paroxysmal/*complications/etiology', 'Humans', 'Leukemia, Myeloid/*complications']",1969/08/30 00:00,1969/08/30 00:01,['1969/08/30 00:00'],"['1969/08/30 00:00 [pubmed]', '1969/08/30 00:01 [medline]', '1969/08/30 00:00 [entrez]']",ppublish,Br Med J. 1969 Aug 30;3(5669):483-4. doi: 10.1136/bmj.3.5669.483.,,['10.1136/bmj.3.5669.483 [doi]'],PMC1984288,
5257145,NLM,MEDLINE,19690929,20080212,0040-5930 (Print) 0040-5930 (Linking),26,7,1969 Jul,[Aim of treatment in acute leukemia].,395-401,"['Senn, H J']",['Senn HJ'],['ger'],['Journal Article'],Behandlungsziele bei akuten Leukamien.,Switzerland,Ther Umsch,Therapeutische Umschau. Revue therapeutique,0407224,IM,"['Adult', 'Animals', 'Antineoplastic Agents/therapeutic use', 'Child', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Leukemia/*drug therapy', 'Leukemia, Experimental/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Mice']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Ther Umsch. 1969 Jul;26(7):395-401.,"['0 (Antineoplastic Agents)', '0 (Immunosuppressive Agents)']",,,
5257112,NLM,MEDLINE,19690929,20190711,0023-2173 (Print) 0023-2173 (Linking),46,13,1968 Jul 1,[Lipids of leukocytes in hemoblastoses].,687-9,"['Schwandt, P', 'Birk, J', 'Ehrhart, H']","['Schwandt P', 'Birk J', 'Ehrhart H']",['ger'],['Journal Article'],Leukocytenlipide bei Hamoblastosen.,Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,IM,"['Cholesterol/analysis', 'Fatty Acids/analysis', 'Humans', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/blood', 'Leukocytes/*analysis', 'Lipids/*analysis', 'Phospholipids/analysis']",1968/07/01 00:00,1968/07/01 00:01,['1968/07/01 00:00'],"['1968/07/01 00:00 [pubmed]', '1968/07/01 00:01 [medline]', '1968/07/01 00:00 [entrez]']",ppublish,Klin Wochenschr. 1968 Jul 1;46(13):687-9. doi: 10.1007/BF01731155.,"['0 (Fatty Acids)', '0 (Lipids)', '0 (Phospholipids)', '97C5T2UQ7J (Cholesterol)']",['10.1007/BF01731155 [doi]'],,
5257087,NLM,MEDLINE,19690924,20071115,0370-4793 (Print) 0370-4793 (Linking),14,5,1969 May,[Virus-like particles in blood cells of patients with acute leukemia. Apropos of a further case].,482-6,"['Seman, G']",['Seman G'],['fre'],"['Case Reports', 'Journal Article']",Particules d'aspect viral dans les cellules du sang de patients atteints de leucemie aigues. A propos d'un nouveau cas.,France,Rev Fr Etud Clin Biol,Revue francaise d'etudes cliniques et biologiques,0235616,IM,"['Female', 'Humans', 'Inclusion Bodies, Viral', 'Leukemia, Myeloid, Acute/*blood/*microbiology/pathology', 'Microscopy, Electron', 'Middle Aged', '*Retroviridae']",1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Rev Fr Etud Clin Biol. 1969 May;14(5):482-6.,,,,
5257079,NLM,MEDLINE,19690924,20071115,0301-2247 (Print) 0301-2247 (Linking),69,4,1969 Aug,[Maternal mortality in 1967].,278-83,"['Hohner, C C']",['Hohner CC'],['dut'],['Journal Article'],Moedersterfte in 1967.,Netherlands,Ned Tijdschr Verloskd Gynaecol,Nederlandsch tijdschrift voor verloskunde en gynaecologie,0375707,IM,"['Adult', 'Female', 'Fetal Death', 'Humans', '*Leukemia, Myeloid, Acute', '*Melanoma', 'Neoplasm Metastasis', 'Netherlands', 'Pregnancy', 'Pregnancy Complications/*mortality']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Ned Tijdschr Verloskd Gynaecol. 1969 Aug;69(4):278-83.,,,,
5257058,NLM,MEDLINE,19690922,20190619,0003-4819 (Print) 0003-4819 (Linking),71,2,1969 Aug,Transitions among the myeloproliferative disorders.,285-307,"['Glasser, R M', 'Walker, R I']","['Glasser RM', 'Walker RI']",['eng'],['Journal Article'],,United States,Ann Intern Med,Annals of internal medicine,0372351,IM,"['Adolescent', 'Adult', 'Aged', 'Blood Platelets', 'Bone Marrow Diseases/*diagnosis', 'Diagnosis, Differential', 'Erythrocyte Count', 'Erythropoietin/blood/urine', 'Female', 'Hematocrit', 'Hemoglobinometry', 'Humans', 'Leukemia, Myeloid/diagnosis', 'Leukocyte Count', 'Male', 'Middle Aged', 'Myeloproliferative Disorders', 'Polycythemia Vera/diagnosis', 'Primary Myelofibrosis/complications/diagnosis', 'Retrospective Studies']",1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1969 Aug;71(2):285-307. doi: 10.7326/0003-4819-71-2-285.,['11096-26-7 (Erythropoietin)'],['10.7326/0003-4819-71-2-285 [doi]'],,
5257049,NLM,MEDLINE,19690922,20131121,0026-4806 (Print) 0026-4806 (Linking),60,56,1969 Jul 14,[On the use of daunomycin in the therapy of acute leukemias].,2810-20,"['Tura, S', 'Baccarani, M', 'Storti, E F']","['Tura S', 'Baccarani M', 'Storti EF']",['ita'],['Journal Article'],Sull'utilizzazione della daunomicina nella terapia delle leucemie acute.,Italy,Minerva Med,Minerva medica,0400732,IM,"['Adult', 'Aged', 'Child, Preschool', 'Daunorubicin/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Middle Aged']",1969/07/14 00:00,1969/07/14 00:01,['1969/07/14 00:00'],"['1969/07/14 00:00 [pubmed]', '1969/07/14 00:01 [medline]', '1969/07/14 00:00 [entrez]']",ppublish,Minerva Med. 1969 Jul 14;60(56):2810-20.,['ZS7284E0ZP (Daunorubicin)'],,,
5256941,NLM,MEDLINE,19690920,20071115,0049-6804 (Print) 0049-6804 (Linking),1,,1967 Jan,[Evaluation of the general status of patients with leukemia].,132,"['Zolotarev, A E']",['Zolotarev AE'],['rus'],['Journal Article'],Otsenka obshchego sostoianiia bol'nykh leikozami.,Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Humans', '*Leukemia', 'Leukemia, Lymphoid', 'Leukemia, Myeloid', 'Leukemia, Myeloid, Acute', 'Male', 'Middle Aged']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Vrach Delo. 1967 Jan;1:132.,,,,
5256940,NLM,MEDLINE,19690920,20190919,0018-7348 (Print) 0018-7348 (Linking),7,2,1969,[Chromosome aberrations induced by myleran in human leukocytes in vitro].,126-36,"['Gebhart, E']",['Gebhart E'],['ger'],['Journal Article'],Chromosomenaberrationen durch Myleran in menschlichen Leukocyten in vitro.,Germany,Humangenetik,Humangenetik,7607154,IM,"['Busulfan/adverse effects/*pharmacology', 'Chromosome Aberrations/*drug effects', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/drug therapy', 'Leukocytes/drug effects', 'Male', 'Mitosis/drug effects']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Humangenetik. 1969;7(2):126-36. doi: 10.1007/BF00287077.,['G1LN9045DK (Busulfan)'],['10.1007/BF00287077 [doi]'],,
5256921,NLM,MEDLINE,19690920,20160630,0069-0112 (Print) 0069-0112 (Linking),53,2,1969 Apr,Treatment of chronic granulocytic leukemia with piposulfan (NSC-47774).,121-6,"['Wilson, H E', 'Monto, R W', 'Pisciotta, A V', 'Rohn, R J', 'Louis, J']","['Wilson HE', 'Monto RW', 'Pisciotta AV', 'Rohn RJ', 'Louis J']",['eng'],['Journal Article'],,United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/administration & dosage/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'Piperazines/administration & dosage/*therapeutic use']",1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1969 Apr;53(2):121-6.,"['0 (Antineoplastic Agents)', '0 (Piperazines)']",,,
5256918,NLM,MEDLINE,19690919,20031114,0049-6804 (Print) 0049-6804 (Linking),2,,1967 Feb,[Autoerythrophagocytosis by leukemic cells].,75-7,"[""Kindze'skii, L P"", 'Grinchenko, A N']","[""Kindze'skii LP"", 'Grinchenko AN']",['rus'],['Journal Article'],Autoeritrofagotsitoz leikemicheskimi kletkami.,Ukraine,Vrach Delo,Vrachebnoe delo,0413607,IM,"['Animals', '*Erythrocytes', 'Leukemia, Erythroblastic, Acute/*blood', '*Leukocytes', '*Phagocytosis', 'Rats']",1967/02/01 00:00,1967/02/01 00:01,['1967/02/01 00:00'],"['1967/02/01 00:00 [pubmed]', '1967/02/01 00:01 [medline]', '1967/02/01 00:00 [entrez]']",ppublish,Vrach Delo. 1967 Feb;2:75-7.,,,,
5256907,NLM,MEDLINE,19690919,20131121,0012-7183 (Print) 0012-7183 (Linking),85,7,1969,[Hyperuricemia in leukemia].,423-7,"['Kouvalainen, K']",['Kouvalainen K'],['fin'],['Journal Article'],Hyperurikemia leukemiassa.,Finland,Duodecim,Duodecim; laaketieteellinen aikakauskirja,0373207,IM,"['Adolescent', 'Adrenal Cortex Hormones/adverse effects', 'Blood Cell Count', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Purine-Pyrimidine Metabolism, Inborn Errors/therapy', 'Uric Acid/*blood/metabolism/urine']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Duodecim. 1969;85(7):423-7.,"['0 (Adrenal Cortex Hormones)', '268B43MJ25 (Uric Acid)']",,,
5256906,NLM,MEDLINE,19690919,20071115,0008-5472 (Print) 0008-5472 (Linking),29,7,1969 Jul,Rejection of human cancer transplants by tolerant rats following treatment with allogenic lymphoid cells.,1428-36,"['Southam, C M', 'Dizon, Q S']","['Southam CM', 'Dizon QS']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Animals, Newborn', 'Cell Line', 'Humans', 'Immunization', 'Leukemia, Myeloid', '*Lymphocytes', '*Neoplasm Transplantation', 'Neoplasms, Experimental/chemically induced', 'Rats', '*Transplantation Immunology', 'Transplantation, Heterologous']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Cancer Res. 1969 Jul;29(7):1428-36.,,,,
5256905,NLM,MEDLINE,19690919,20131121,0008-5472 (Print) 0008-5472 (Linking),29,7,1969 Jul,Studies on the effects of hydroxyurea and other anticancer drugs upon pyrimidine metabolism.,1371-8,"['Vogler, W R', 'Horwitz, S', 'Groth, D P']","['Vogler WR', 'Horwitz S', 'Groth DP']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Amidohydrolases/metabolism', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Ascites/enzymology', 'Carbon Isotopes', 'Cyclophosphamide/pharmacology', 'Cytarabine/pharmacology', 'DNA/biosynthesis', 'Deoxyuridine/pharmacology', 'Fluorouracil/pharmacology', 'Humans', 'Hydroxyurea/*pharmacology', 'Leukemia, Myeloid, Acute/metabolism', 'Leukocytes/metabolism', 'Methotrexate/pharmacology', 'Mice', 'Neoplasms, Experimental/enzymology', 'Orotic Acid/metabolism', 'Pyrimidines/biosynthesis/*metabolism', 'Transferases/metabolism', 'Triazines/pharmacology']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,Cancer Res. 1969 Jul;29(7):1371-8.,"['0 (Antineoplastic Agents)', '0 (Carbon Isotopes)', '0 (Pyrimidines)', '0 (Triazines)', '04079A1RDZ (Cytarabine)', '61H4T033E5 (Orotic Acid)', '8N3DW7272P (Cyclophosphamide)', '9007-49-2 (DNA)', 'EC 2.- (Transferases)', 'EC 3.5.- (Amidohydrolases)', 'U3P01618RT (Fluorouracil)', 'W78I7AY22C (Deoxyuridine)', 'X6Q56QN5QC (Hydroxyurea)', 'YL5FZ2Y5U1 (Methotrexate)']",,,
5256897,NLM,MEDLINE,19690919,20191030,0567-7408 (Print) 0567-7408 (Linking),24,9,1968 Sep 15,"The crystal and molecular structure of an anti-leukemia drug: methylglyoxal bisguanylhydrazone dihydrochloride monohydrate, C5N8H12. 2HC1. H2O. neutron and x-ray diffraction studies.",1147-56,"['Hamilton, W C', 'La Placa, S J']","['Hamilton WC', 'La Placa SJ']",['eng'],['Journal Article'],,Denmark,Acta Crystallogr B,Acta crystallographica. Section B: Structural crystallography and crystal chemistry,0211630,IM,"['*Antineoplastic Agents', 'Chemical Phenomena', 'Chemistry', 'Humans', '*Hydrazines', 'Leukemia, Myeloid, Acute/drug therapy', 'Neutrons', 'X-Ray Diffraction']",1968/09/15 00:00,1968/09/15 00:01,['1968/09/15 00:00'],"['1968/09/15 00:00 [pubmed]', '1968/09/15 00:01 [medline]', '1968/09/15 00:00 [entrez]']",ppublish,Acta Crystallogr B. 1968 Sep 15;24(9):1147-56. doi: 10.1107/s0567740868003882.,"['0 (Antineoplastic Agents)', '0 (Hydrazines)']",['10.1107/s0567740868003882 [doi]'],,
5256658,NLM,MEDLINE,19690919,20001218,0002-8185 (Print) 0002-8185 (Linking),43,3,1969,Oral manifestations of leukemia.,145-50,"['Sarnquist, J L']",['Sarnquist JL'],['eng'],['Journal Article'],,United States,J Am Dent Hyg Assoc,The Journal of the American Dental Hygienists' Association,7505571,,"['Leukemia/diagnosis', 'Oral Manifestations']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,J Am Dent Hyg Assoc. 1969;43(3):145-50.,,,,
5256516,NLM,MEDLINE,19690919,20210326,0025-729X (Print) 0025-729X (Linking),1,24,1969 Jun 14,Homologous leucocyte transfusion in acute leukaemia with cytogenetic evidence of a myeloid graft.,1243-6,"['Burgess, M A', 'Garson, O M']","['Burgess MA', 'Garson OM']",['eng'],['Journal Article'],,Australia,Med J Aust,The Medical journal of Australia,0400714,IM,"['Adolescent', 'Agranulocytosis/*therapy', '*Blood Transfusion', 'Bone Marrow Examination', 'Chromosome Aberrations', 'Female', 'Hemoglobinometry', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*therapy', 'Leukemia, Myeloid', '*Leukocytes', 'Primary Myelofibrosis/etiology', 'Sepsis/*therapy']",1969/06/14 00:00,1969/06/14 00:01,['1969/06/14 00:00'],"['1969/06/14 00:00 [pubmed]', '1969/06/14 00:01 [medline]', '1969/06/14 00:00 [entrez]']",ppublish,Med J Aust. 1969 Jun 14;1(24):1243-6. doi: 10.5694/j.1326-5377.1969.tb62300.x.,,['10.5694/j.1326-5377.1969.tb62300.x [doi]'],,
5256493,NLM,MEDLINE,19690919,20211203,0021-9746 (Print) 0021-9746 (Linking),22,4,1969 Jul,Histochemical similarities between newborn and leukaemic myeloid cells and their possible significance.,458-9,"['Wolf, P L', 'Silberberg, B', 'Albert, S', 'Horwitz, J', 'Von der Muehll, E']","['Wolf PL', 'Silberberg B', 'Albert S', 'Horwitz J', 'Von der Muehll E']",['eng'],['Journal Article'],,England,J Clin Pathol,Journal of clinical pathology,0376601,IM,"['Alkaline Phosphatase/*analysis', 'Blacks', 'Female', 'Histocytochemistry', 'Humans', '*Infant, Newborn', 'Leukemia, Myeloid/*enzymology', 'Male', 'Neutrophils/*enzymology', 'Sex Factors', 'Whites']",1969/07/01 00:00,1969/07/01 00:01,['1969/07/01 00:00'],"['1969/07/01 00:00 [pubmed]', '1969/07/01 00:01 [medline]', '1969/07/01 00:00 [entrez]']",ppublish,J Clin Pathol. 1969 Jul;22(4):458-9. doi: 10.1136/jcp.22.4.458.,['EC 3.1.3.1 (Alkaline Phosphatase)'],['10.1136/jcp.22.4.458 [doi]'],PMC474211,"The neutrophilic alkaline phosphatase activity of 40 newborns was determined and found to be frequently raised, similarly to a leukaemoid reaction. The newborn neutrophil has strong alkaline phosphatase activity and is unlike the myeloid leukaemia cell which has no alkaline phosphatase activity."
5256489,NLM,MEDLINE,19690917,20091111,0048-8585 (Print) 0048-8585 (Linking),13,2,1969,A particular form of Di Guglielmo's syndrome: associated erythraemia and histomonocytic leukaemia.,30-4,"['Munteanu, N']",['Munteanu N'],['eng'],['Journal Article'],,Romania,Rom Med Rev,Romanian medical review,0132263,IM,"['Humans', 'Leukemia, Erythroblastic, Acute/*complications', 'Leukemia, Myeloid/*etiology', 'Male', 'Middle Aged']",1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Rom Med Rev. 1969;13(2):30-4.,,,,
