PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,CIN,SI,TT,PMC,CON,MID,GS,EIN,OID,OTO,OT,GN
8553439,NLM,MEDLINE,19960220,20041117,0041-3232 (Print) 0041-3232 (Linking),47,5,1995,"Pseudomonas aeruginosa bacteraemia in Enugu, Nigeria. A review of 24 cases.",193-6,"A 4-year study of Pseudomonas aeruginosa bacteraemia was carried out at the University of Nigeria Teaching Hospital (UNTH) in Enugu, Nigeria. The average age of the patients was 14.7 years. Thirty-three per cent of the patients were between 0-6 months of age, with males being in the majority. Underlying factors/diseases were present in 70.8% of patients, with prematurity, chronic suppurative otitis media and leukaemia being the major ones in infancy and childhood and diabetes mellitus, urogenital disorders and head injuries in adults. Overall mortality was 50% and highest (16.6%) in the 0-6 months age group. Antipseudomonas antibiotics are extremely costly and therefore beyond the financial scope of many people in the developing world. In Nigeria aminoglycosides are the best affordable antibiotics.","['Ozumba, U C']",['Ozumba UC'],"['Department of Medical Microbiology, University of Nigeria Teaching Hospital, Enugu, Nigeria.']",['eng'],['Journal Article'],Netherlands,Trop Geogr Med,Tropical and geographical medicine,0376231,,IM,"['Adolescent', 'Adult', 'Bacteremia/*epidemiology/mortality', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Middle Aged', 'Nigeria/epidemiology', 'Pseudomonas Infections/*epidemiology/mortality']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,Trop Geogr Med. 1995;47(5):193-6.,,,,,,,,,,,,,,
8553185,NLM,MEDLINE,19960220,20071115,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Prognostic significance of serum immunoglobulins in chronic lymphocytic leukemia].,438-9,,"['Funes, C', 'Majado, M J', 'Gonzalez, C', 'Ibanez, J', 'Lopez, M D']","['Funes C', 'Majado MJ', 'Gonzalez C', 'Ibanez J', 'Lopez MD']",,['spa'],['Letter'],Spain,Sangre (Barc),Sangre,0404373,['0 (Immunoglobulins)'],IM,"['Aged', 'Aged, 80 and over', 'Female', 'Humans', 'Immunoglobulins/*blood', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology/physiopathology', 'Male', 'Middle Aged', 'Prognosis']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):438-9.,,,,,Significado pronostico de las inmunoglobulinas sericas en la leucemia linfoide cronica.,,,,,,,,,
8553184,NLM,MEDLINE,19960220,20041117,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Seronegative rheumatoid arthritis and neuropathy as paraneoplastic phenomena in a case of chronic myelomonocytic leukemia].,437-8,,"['Calvo Villas, J M', 'Queizan Hernandez, J A', 'Pardal de la Mano, E', 'Olivier Cornaccia, C']","['Calvo Villas JM', 'Queizan Hernandez JA', 'Pardal de la Mano E', 'Olivier Cornaccia C']",,['spa'],"['Case Reports', 'Letter']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Aged', 'Arthritis, Rheumatoid/*complications/immunology', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*complications/immunology', 'Male']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):437-8.,,,,,Artritis reumatoidea seronegativa y neuropatia como fenomeno paraneoplasico de una leucemia mielomonocitica cronica.,,,,,,,,,
8553181,NLM,MEDLINE,19960220,20041117,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Evaluation of haematologic analyzer Serono System 9020+ in oncohaematologic patients].,435,,"['Vives Corrons, J L']",['Vives Corrons JL'],,['spa'],"['Comment', 'Letter']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Blood Cell Count/*instrumentation', 'Humans', 'Leukemia/*blood', 'Lymphoma/*blood']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):435.,,,,,Evaluacion del analizador hematologico Serono System 9020+ en pacientes oncohematologicos.,,['Sangre (Barc). 1995 Jun;40(3):232-3. PMID: 7570283'],,,,,,,
8553179,NLM,MEDLINE,19960220,20071115,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Cytogenetic alterations found by chromosome analysis and fish technique in two patients with variant chronic lymphocytic leukemia].,425-9,"Chromosomal studies in CLL have yielded poorer results than in other blood diseases because of the low mitotic index of the B cells. The FISH technique is a very useful tool for trisomy 12 detection in interphase nuclei in CLL, although this method cannot be a substitutive for conventional cytogenetics. The FISH technique was applied in two cases of CLL by means of satellite DNA probing specific for chromosome 12 according to the Oncor S 1370-CF kit protocol. Trisomy 12 was detected, along with other chromosomal abnormalities secondary to this trisomy. Both patients had lymphocyte counts lower than 5.0 x 10(9)/L and their peripheral blood immunophenotype showed 58% lymphocytes with lambda sIg of medium density, co-expressing CD5 and unable to form rosettes with mouse red-cells. Patient no. 1 was 46,XY/47,XY + 12/47,XY + 12,5q-, and patient no. 2 was 46,XX/47,XX + 12,14q-. The presence of secondary anomalies could explain the special clinico-haematological picture, characterised by low lymphocytosis and presence of irregular nuclei in mature lymphocytes, along with the lack of CD23 expression and rosette formation with mouse red-cells. FISH technique combined with chromosome analysis may prove a useful means for diagnosing and recognising variants or specific entities within low-grade lymphoproliferative syndromes.","['Martin, M L', 'Marques, M L', 'Garcia, A', 'Montalban, M A', 'Toscano, R', 'Moreno, A', 'Gomez, M J', 'Barreiro, E']","['Martin ML', 'Marques ML', 'Garcia A', 'Montalban MA', 'Toscano R', 'Moreno A', 'Gomez MJ', 'Barreiro E']","['Servicio de Genetica, Hospital Universitario 12 de Octubre.']",['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Aged', '*Chromosome Aberrations', '*Chromosome Disorders', '*Chromosomes, Human, Pair 12', 'Female', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/immunology', 'Male', 'Prognosis']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):425-9.,,,,,Alteraciones citogeneticas encontradas por analisis cromosomico y tecnica FISH en dos pacientes con variantes de leucemia linfatica cronica.,,,,,,,,,
8553178,NLM,MEDLINE,19960220,20071115,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Adult HTLV-I positive leukemia-lymphoma in Argentina].,421-4,"Human T-cell lymphotropic virus type I (HTLV-I) is associated with adult T-cell leukaemia/lymphoma (ATLL) and tropical spastic paraparesis (TSP/HAM) in endemic and non-endemic areas. Serological studies have shown that HTLV-I is prevalent in some Latin American countries such as Brasil, Chile, Colombia, Peru and Uruguay. We describe here the clinical and laboratory features of five cases of ATLL diagnosed in Argentina. All patients (4 males, 1 female; median age 48.2 years) were of caucasian origin; 4 born in Argentina and 1 in Chile. High risk factors for HTLV-I infection were not apparent in Argentina patients, whereas the Chilean resident, who was a promiscuous heterosexual, travelled through Chile frequently. Positive results for antibodies to HTLV-I were detected in all five cases and in some of their relatives. This report suggests that HTLV-I infection may be endemic in, Argentina where TSP has also been described.","['Gioseffi, O N', 'Nucifora, E', 'Fantl, D', 'Dufour, C', 'Milone, J', 'Di Paolo, H']","['Gioseffi ON', 'Nucifora E', 'Fantl D', 'Dufour C', 'Milone J', 'Di Paolo H']","['Hospital Nacional Profesor Alejandro Posadas, Prov. de Buenos Aires, Argentina.']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,,IM,"['Adult', 'Argentina/epidemiology', 'Female', 'Human T-lymphotropic virus 1/*immunology', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*epidemiology/virology', 'Male', 'Middle Aged']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):421-4.,,,,,Leucemia-linfoma T del adulto HTLV-I positiva en Argentina.,,,,,,,,,
8553177,NLM,MEDLINE,19960220,20181130,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Alfa-2a interferon induces molecular remission in post-BMT relapse of chronic myelogenous leukaemia. Report of a case with loss of bcr-abl RNA].,417-20,"Alpha-interferon (alpha-IFN) has been used in relapsed CML post-BMT, cytogenetic responses being attained in a number of cases (33 to 42%). In first chronic phase-CML patients such cytogenetic response has been correlated with the disappearance of the bcr region rearrangement, as seen with Southern-blot, but when RT-PCR is used only a small number of patients maintain undetectable traces of the Ph1 clone. A case of CML in haematological and cytogenetic relapse after BMT is reported who showed criteria of ""accelerated"" phase and, after treatment with alpha-IFN achieved haematologic, cytogenetic and molecular remission (Southern-blot and PCR negative) and disappearance of the abnormal clone with recovery of the donor haemopoiesis. The duration of the alpha-IFN cytogenetic response is longer than that of BMT (5 vs 3.5 yr), which is noteworthy. Taking the low toxicity of alpha-IFN into account, as compared with that of the other choices (a second BMT, IL2), this treatment should be offered to all patients with cytogenetic relapse after BMT.","['Casado, L F', 'Steegmann, J L', 'Pico, M', 'Requena, M J', 'Gomez, C', 'Fernandez-Ranada, J M']","['Casado LF', 'Steegmann JL', 'Pico M', 'Requena MJ', 'Gomez C', 'Fernandez-Ranada JM']","['Servicio de Hematologia y Hemoterapia, Hospital Universitario de la Princesa.']",['spa'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Spain,Sangre (Barc),Sangre,0404373,"['0 (Antiviral Agents)', '0 (Interferon alpha-2)', '0 (Interferon-alpha)', '0 (Recombinant Proteins)', '63231-63-0 (RNA)']",IM,"['Antiviral Agents/*therapeutic use', 'Blotting, Southern', '*Bone Marrow Transplantation', 'Female', 'Gene Rearrangement', 'Genes, abl/*genetics', 'Humans', 'Interferon alpha-2', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/immunology/*therapy', 'Middle Aged', 'Polymerase Chain Reaction', 'RNA/analysis', 'Recombinant Proteins', 'Remission Induction']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):417-20.,,,,,El interferon alfa 2a induce remisiones moleculares en las recaidas post-TMO de la leucemia mieloide cronica. Descripcion de un caso con desaparicion del ARN bcr-abl.,,,,,,,,,
8553172,NLM,MEDLINE,19960220,20071115,0036-4355 (Print) 0036-4355 (Linking),40,5,1995 Oct,[Relationship between Epstein-Barr virus and lymphoproliferative syndromes in patients without immunodeficiency].,383-7,"PURPOSE: The relationship between Epstein-Barr virus (EBV) and infectious mononucleosis, pharyngeal carcinoma and Burkitt's lymphoma is well known. Further relationship seems to exist between EBV and the lymphoproliferative syndromes appearing in immunodeficient subjects. The present work is aimed to study the possible relationship between the virus and the lymphoproliferative syndromes presented by people without any apparent immunodeficiency. PATIENTS AND METHODS: The presence of antibodies against different antigens of the virus was analysed. Antibodies against the viral capsid antigen were studied along with those against the early antigen and the viral core antigen in 55 patients with lymphoproliferative syndromes, of whom 38 had non-Hodgkin's lymphoma and 17 had acute lymphoblastic leukaemia, and none of them had immunodeficiency. RESULTS: Significantly higher geometric means of the titres against capsid antigen and of the prevalence of antibodies against early antigen were seen in the patients with non-Hodgkin's lymphoma with respect to the control group. On the contrary, patients with acute lymphoblastic leukaemia showed lower immunologic response than the control group, although the difference was not significant for any of the antibodies under study. CONCLUSIONS: The higher immunologic response against EBV and its reactivation in non-Hodgkin's lymphoma would suggest that such agent could play a role favouring the onset of the disease, if not as a direct aetiological factor.","['Barranco, M', 'Vidal, J', 'Quintero, L', 'Vives-Corrons, J L', 'Jimenez de Anta, M T']","['Barranco M', 'Vidal J', 'Quintero L', 'Vives-Corrons JL', 'Jimenez de Anta MT']","['Servicio de Microbiologia Hospital Clinico y Provincial, Faeultad de Medicina, Universidad de Barcelona.']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,"['0 (Antigens, Viral)', '0 (Capsid Proteins)', '0 (Epstein-Barr viral capsid antigen)', '0 (Viral Core Proteins)']",IM,"['Adolescent', 'Adult', 'Antigens, Viral/analysis/blood', '*Capsid Proteins', 'Female', 'Herpesviridae Infections/immunology', '*Herpesvirus 4, Human/immunology/isolation & purification', 'Humans', 'Immunocompetence/immunology', 'Lymphoma, Non-Hodgkin/immunology/*virology', 'Lymphoproliferative Disorders/immunology/*virology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/*virology', 'Tumor Virus Infections/immunology', 'Viral Core Proteins/analysis']",1995/10/01 00:00,1995/10/01 00:01,['1995/10/01 00:00'],"['1995/10/01 00:00 [pubmed]', '1995/10/01 00:01 [medline]', '1995/10/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1995 Oct;40(5):383-7.,,,,,Relacion entre el virus de Epstein-Barr y sindromes linfoproliferativos en pacientes sin inmunodeficiencia.,,,,,,,,,
8553015,NLM,MEDLINE,19960220,20041117,0891-7035 (Print) 0891-7035 (Linking),9,1,1995 Mar,Cell surface changes of hemopoietic cells during normal and leukemic differentiation: an immuno-scanning electron microscopy study.,175-83; discussion 183-4,"Hemopoietic cells display a wide range of cell surface antigens which are either lineage specific or acquired during differentiation. Monoclonal antibodies can be used, in conjunction with colloidal gold markers, to identify under the scanning electron microscopy (SEM) at the single cell level, specific lineage or maturation stages in the hemopoietic bone marrow. Normal bone marrow cells, either gradient separated or purified by immuno-magnetic methods and leukemic cell samples, which can be considered as ""frozen"" stages of hemopoietic differentiation, have been studied with this method. Typical cell surface morphologies, which characterize immature progenitor cells and cells committed or differentiated towards the lymphoid, myeloid, erythroid and megakaryocytic lineage have been identified. Correlations between cell surface features and some hemopoietic cells functions have been attempted on the basis of these findings.","['Soligo, D', 'de Harven, E P', 'Quirici, N', 'Caneva, L', 'Lambertenghi Deliliers, G']","['Soligo D', 'de Harven EP', 'Quirici N', 'Caneva L', 'Lambertenghi Deliliers G']","['Centro Trapianti di Midollo, Ospedale Maggiore di Milano, IRCCS, Italy.']",['eng'],['Journal Article'],United States,Scanning Microsc,Scanning microscopy,8704616,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (Antigens, Surface)', '0 (HLA Antigens)']",IM,"['Antibodies, Monoclonal', 'Antigens, CD/metabolism', 'Antigens, Surface/*metabolism', 'Bone Marrow/metabolism/*ultrastructure', 'Cell Differentiation', 'HLA Antigens/metabolism', 'Hematopoietic Stem Cells/metabolism/*ultrastructure', 'Humans', 'Immunohistochemistry', 'Leukemia/metabolism/*pathology', 'Lymphatic Diseases/metabolism/*pathology', 'Lymphoma/metabolism/*pathology', 'Microscopy, Immunoelectron']",1995/03/01 00:00,1995/03/01 00:01,['1995/03/01 00:00'],"['1995/03/01 00:00 [pubmed]', '1995/03/01 00:01 [medline]', '1995/03/01 00:00 [entrez]']",,ppublish,Scanning Microsc. 1995 Mar;9(1):175-83; discussion 183-4.,,,,,,,,,,,,,,
8552981,NLM,MEDLINE,19960220,20190818,0300-9475 (Print) 0300-9475 (Linking),42,6,1995 Dec,High expression of membrane cofactor protein of complement (CD46) in human leukaemia cell lines: implication of an alternatively spliced form containing the STA domain in CD46 up-regulation.,581-90,"Human membrane cofactor protein (MCP, CD46) is a receptor for the measles virus and serves as a complement regulator which protects host cells from autologous complement attack. MCP is highly polymorphic due to a variety of mRNA splice products. The levels of MCP expression on T and myeloid cell lines are usually two-eightfold higher than those on their normal counterparts, whereas Burkitt's lymphoma B cell lines express less MCP than B cell lineages carrying no EB virus. The molecule has a Ser/Thr-rich (ST) domain adjacent to the functional domain, namely short consensus repeats (SCR). The ST domain and a cytoplasmic tail (CYT) contribute to the MCP polymorphism. The ST domain is encoded by three exons (A, B and C) and major ST isoforms are STABC, STBC and STC. The authors investigated the relationship between the expression levels and isoform usage of MCP by flow cytometry using specific antibodies against STA and STC, by reverse transcriptase-polymerase chain reaction (RT-PCR) with size markers for each splice variant, and by RT-PCR/Southern blotting using a specific probe for STA. The results were (1) the profiles of mean shifts of myeloid and T cell lines were STC < STA on flow cytometry while those of B cell lines and normal blood cells were STA < STC; (2) all cell lines tested by RT-PCR expressed the messages for the isoforms STBC/CYT1, STC/CYT1, STBC/CYT2, and STC/CYT2. The band for STABC/CYT2 overlapped that for STC/CYT1, and the band for STABC/CYT1 was marginal in all cell lines examined; (3) semi-quantitative analysis of the STABC isoforms by Southern blotting indicated the presence of high levels of the STABC messages in myeloid and T-cell lines in comparison with B lymphoid cells and normal leucocytes. Thus, the quantity of MCP expressed parallels the STABC message level, which is up-regulated in T and myeloid leukaemia cell lines.","['Hara, T', 'Suzuki, Y', 'Semba, T', 'Hatanaka, M', 'Matsumoto, M', 'Seya, T']","['Hara T', 'Suzuki Y', 'Semba T', 'Hatanaka M', 'Matsumoto M', 'Seya T']","['Department of Immunology, Center for Adult Diseases Osaka, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Scand J Immunol,Scandinavian journal of immunology,0323767,"['0 (Antibodies)', '0 (Antigens, CD)', '0 (CD46 protein, human)', '0 (Complement Inactivator Proteins)', '0 (DNA Primers)', '0 (Membrane Cofactor Protein)', '0 (Membrane Glycoproteins)', '0 (Receptors, Virus)', '2ZD004190S (Threonine)', '452VLY9402 (Serine)']",IM,"['*Alternative Splicing', 'Amino Acid Sequence', 'Antibodies/immunology', 'Antibody Specificity', 'Antigens, CD/biosynthesis/chemistry/*genetics/immunology', 'B-Lymphocytes/metabolism', 'Base Sequence', 'Complement Inactivator Proteins/biosynthesis/chemistry/*genetics/immunology', 'DNA Primers', 'Flow Cytometry', 'Humans', 'Leukemia', 'Membrane Cofactor Protein', 'Membrane Glycoproteins/biosynthesis/chemistry/*genetics/immunology', 'Molecular Sequence Data', 'Receptors, Virus/biosynthesis/chemistry/*genetics/immunology', 'Serine/chemistry', 'T-Lymphocytes/metabolism', 'Threonine/chemistry', 'Tumor Cells, Cultured', 'Up-Regulation']",1995/12/01 00:00,1995/12/01 00:01,['1995/12/01 00:00'],"['1995/12/01 00:00 [pubmed]', '1995/12/01 00:01 [medline]', '1995/12/01 00:00 [entrez]']",['10.1111/j.1365-3083.1995.tb03700.x [doi]'],ppublish,Scand J Immunol. 1995 Dec;42(6):581-90. doi: 10.1111/j.1365-3083.1995.tb03700.x.,,,,,,,,,,,,,,
8552890,NLM,MEDLINE,19960220,20190830,0277-6715 (Print) 0277-6715 (Linking),14,19,1995 Oct 15,Two-sample rank tests for acceleration in cure models.,2111-8,I derive the locally most powerful rank tests for acceleration against semi-parametric alternatives when some patients are cured of the disease. I consider some particular classes of alternatives and present simulation results to verify the validity of the proposed tests. Real data from clinical trials for childhood leukaemia illustrate the proposed tests.,"['Lee, J W']",['Lee JW'],"['Department of Statistics, Korea University, Seoul, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Stat Med,Statistics in medicine,8215016,,IM,"['Child', 'Computer Simulation', 'Disease-Free Survival', 'Humans', 'Logistic Models', 'Male', '*Models, Statistical', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy', 'Proportional Hazards Models', 'Recurrence', 'Reproducibility of Results', '*Statistics, Nonparametric', '*Survival Analysis', 'Time Factors']",1995/10/15 00:00,1995/10/15 00:01,['1995/10/15 00:00'],"['1995/10/15 00:00 [pubmed]', '1995/10/15 00:01 [medline]', '1995/10/15 00:00 [entrez]']",['10.1002/sim.4780141905 [doi]'],ppublish,Stat Med. 1995 Oct 15;14(19):2111-8. doi: 10.1002/sim.4780141905.,,,,,,,,,,,,,,
8552870,NLM,MEDLINE,19960220,20180216,0025-7931 (Print) 0025-7931 (Linking),62,6,1995,DNA analysis of bronchoalveolar lavage in the diagnosis of pulmonary lymphoma.,359-60,Lung lymphomas frequently present a diagnostic challenge. The diagnosis of malignant lymphoma is possible when lymphocyte subpopulations show aneuploidy or a definable monoclonal surface marker or both. We present a case of lymphoma of the lung in which DNA analysis of bronchoalveolar lavage fluid was the first successful method in the time course of diagnosis.,"['Rodriguez de Castro, F', 'Molero, T', 'Julia-Serda, G', 'Caminero, J', 'Cabrera, P']","['Rodriguez de Castro F', 'Molero T', 'Julia-Serda G', 'Caminero J', 'Cabrera P']","['Seccion de Neumologia, Hospital Universitario Nuestra Senora del Pino, Facultad de Medicina, Universidad de Las Palmas de Gran Canaria, Spain.']",['eng'],"['Case Reports', 'Journal Article']",Switzerland,Respiration,Respiration; international review of thoracic diseases,0137356,"['0 (DNA, Neoplasm)']",IM,"['Aged', 'Bronchoalveolar Lavage Fluid/*chemistry/cytology', 'DNA, Neoplasm/*analysis', 'Flow Cytometry', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/genetics/pathology', 'Lung Neoplasms/*diagnosis/genetics/pathology', 'Lymphocytes/pathology', 'Macrophages/pathology', 'Male']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",['10.1159/000196482 [doi]'],ppublish,Respiration. 1995;62(6):359-60. doi: 10.1159/000196482.,,,,,,,,,,,,,,
8552747,NLM,MEDLINE,19960220,20041117,0391-9714 (Print) 0391-9714 (Linking),17,1,1995,Strategies of research for a vaccine against AIDS.,141-9,"Retroviruses replicate by inserting their proviral DNA into host cell chromosomes, usually in cells of the immune system. Nevertheless, an efficacious and safe subunit recombinant vaccine has been prepared against the feline leukemia retrovirus of cats. Because of high rates of morbidity and mortality, particularly in the developing world, the development of a vaccine against human immunodeficiency virus type I (HIV-I) has become very important. The very high rate of mutation or variation of lentiviruses, such as HIV-I, makes a vaccine against this virus particularly difficult. Active research must be encouraged to design a modified envelope vaccine molecule of gp120 subtype E or C for trials in appropriate developing country settings.","['Essex, M']",['Essex M'],"['Harvard AIDS Institute, Boston, MA 02115, USA.']",['eng'],['Journal Article'],Switzerland,Hist Philos Life Sci,History and philosophy of the life sciences,8003052,"['0 (AIDS Vaccines)', '0 (Vaccines, Synthetic)', '0 (Viral Vaccines)']",IM,"['*AIDS Vaccines/immunology', 'Acquired Immunodeficiency Syndrome/etiology/immunology', 'Africa', 'Animals', 'Asia', 'Cats', 'Developed Countries', 'Female', 'HIV-1/immunology', 'Human T-lymphotropic virus 1/immunology', 'Humans', 'Infant, Newborn', 'International Cooperation', 'Male', 'Research', 'United States', 'Vaccines, Synthetic', 'Viral Vaccines/immunology']",1995/01/01 00:00,2000/12/13 11:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '2000/12/13 11:01 [medline]', '1995/01/01 00:00 [entrez]']",,ppublish,Hist Philos Life Sci. 1995;17(1):141-9.,,,,,,,,,,,,,,
8552663,NLM,MEDLINE,19960222,20190501,0027-8424 (Print) 0027-8424 (Linking),93,1,1996 Jan 9,Selective repression of transcriptional activators by Pbx1 does not require the homeodomain.,470-4,"PBX1 is a homeobox-containing gene identified as the chromosome 1 participant of the t(1;19) chromosomal translocation of childhood pre-B-cell acute lymphoblastic leukemia. This translocation produces a fusion gene encoding the chimeric oncoprotein E2A-Pbx1, which can induce both acute myeloid and T-lymphoid leukemia in mice. The binding of Pbx1 to DNA is weak; however, both Pbx1 and E2A-Pbx1 exhibit tight binding to specific DNA motifs in conjunction with certain other homeodomain proteins, and E2A-Pbx1 activates transcription through these motifs, whereas Pbx1 does not. In this report, we investigate potential transcriptional functions of Pbx1, using transient expression assays. While no segments of Pbx1 activated transcription, an internal domain of Pbx1 repressed transcription induced by the activation domain of Sp1, but not by the activation domains of VP16 or p53. This Pbx1 domain, which lies upstream of the homeodomain and is highly conserved among Pbx proteins, is thus predicted to bind a specific transcription factor. Surprisingly, the repression activity of Pbx1 did not require homeodomain-dependent DNA binding. Thus, Pbx1 may be able to alter gene transcription by both DNA-binding-dependent and DNA-binding-independent mechanisms.","['Lu, Q', 'Kamps, M P']","['Lu Q', 'Kamps MP']","['Department of Pathology, University of California, San Diego, School of Medicine, La Jolla 92093, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (DNA-Binding Proteins)', '0 (Herpes Simplex Virus Protein Vmw65)', '0 (Homeodomain Proteins)', '0 (Pre-B-Cell Leukemia Transcription Factor 1)', '0 (Proto-Oncogene Proteins)', '0 (Repressor Proteins)', '0 (Sp1 Transcription Factor)', '0 (Tumor Suppressor Protein p53)', '0 (pbx1 protein, human)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Cells, Cultured', 'DNA-Binding Proteins/*chemistry', 'Herpes Simplex Virus Protein Vmw65/physiology', 'Homeodomain Proteins/*chemistry', 'Humans', 'Pre-B-Cell Leukemia Transcription Factor 1', 'Promoter Regions, Genetic', 'Protein Binding', 'Proto-Oncogene Proteins/*chemistry', 'Repressor Proteins/*chemistry', 'Sequence Deletion', 'Sp1 Transcription Factor/*antagonists & inhibitors', 'Structure-Activity Relationship', 'Thymidine Kinase/genetics', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/physiology']",1996/01/09 00:00,1996/01/09 00:01,['1996/01/09 00:00'],"['1996/01/09 00:00 [pubmed]', '1996/01/09 00:01 [medline]', '1996/01/09 00:00 [entrez]']",['10.1073/pnas.93.1.470 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1996 Jan 9;93(1):470-4. doi: 10.1073/pnas.93.1.470.,['CA56876-03/CA/NCI NIH HHS/United States'],,,,,PMC40260,,,,,,,,
