PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,AB,PMC,AID,TT,OID,OAB,OABL,OTO,OT,GN,EIN
4345243,NLM,MEDLINE,19730222,20190908,0090-0028 (Print) 0090-0028 (Linking),240,103,1972 Dec 20,"Size requirement of polyinosinic acid for DNA synthesis, viral resistance, and increased survival of leukaemic mice.",250-2,"['Mohr, S J', 'Brown, D G', 'Coffey, D S']","['Mohr SJ', 'Brown DG', 'Coffey DS']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['0 (DNA, Neoplasm)', '0 (Interferon Inducers)', '0 (Polynucleotides)', '0 (Thymine Nucleotides)', '10028-17-8 (Tritium)', 'O84C90HH2L (Poly I-C)']",IM,"['Animals', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'DNA, Neoplasm/*biosynthesis', 'Female', '*Interferon Inducers', 'Leukemia L1210/*metabolism/mortality', 'Liver/cytology/metabolism', 'Mice', 'Molecular Weight', 'Poly I-C/metabolism', '*Polynucleotides/analysis/metabolism/pharmacology', 'Templates, Genetic', 'Thymine Nucleotides/metabolism', 'Tritium', 'Vesicular stomatitis Indiana virus/drug effects/growth & development', 'Viral Plaque Assay']",,1972/12/20 00:00,1972/12/20 00:01,['1972/12/20 00:00'],"['1972/12/20 00:00 [pubmed]', '1972/12/20 00:01 [medline]', '1972/12/20 00:00 [entrez]']",ppublish,Nat New Biol. 1972 Dec 20;240(103):250-2. doi: 10.1038/newbio240250a0.,,,['10.1038/newbio240250a0 [doi]'],,,,,,,,
4345148,NLM,MEDLINE,19730221,20041117,0008-5472 (Print) 0008-5472 (Linking),33,1,1973 Jan,Early lesions in cats inoculated with feline leukemia virus.,145-52,"['Hoover, E A', 'Perryman, L E', 'Kociba, G J']","['Hoover EA', 'Perryman LE', 'Kociba GJ']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Biopsy', 'Blood Volume', 'Bone Marrow Examination', 'Cat Diseases/*microbiology/pathology', 'Cats', 'Female', 'Germ-Free Life', 'Graft Rejection', 'Leukemia/microbiology/pathology/*veterinary', 'Leukemia Virus, Feline/*pathogenicity', 'Leukocyte Count', 'Lymph Nodes/pathology', 'Lymphocytes', 'Lymphoma, Non-Hodgkin/*microbiology', 'Male', 'Neutrophils', 'Organ Size', 'Precancerous Conditions/microbiology/pathology', 'Skin Transplantation', 'Thymus Gland/*pathology', 'Thymus Neoplasms/*microbiology', 'Time Factors', 'Transplantation, Autologous']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Cancer Res. 1973 Jan;33(1):145-52.,,,,,,,,,,,
4345147,NLM,MEDLINE,19730221,20061115,0008-5472 (Print) 0008-5472 (Linking),33,1,1973 Jan,Individual versus group caging of mice with grafted tumors.,140-4,"['Dechambre, R P', 'Gosse, C']","['Dechambre RP', 'Gosse C']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Globulins)', '9002-60-2 (Adrenocorticotropic Hormone)']",IM,"['Adrenal Glands', 'Adrenocorticotropic Hormone/pharmacology', 'Animals', 'Ascitic Fluid/analysis', 'Carcinoma, Krebs 2', 'Cell Count', 'Female', 'Globulins/analysis', '*Housing, Animal', 'Leukemia L1210', 'Male', 'Melanoma', 'Mice', 'Mice, Inbred C57BL', '*Neoplasm Transplantation', 'Organ Size', 'Social Isolation', 'Time Factors']",,1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Cancer Res. 1973 Jan;33(1):140-4.,,,,,,,,,,,
4345113,NLM,MEDLINE,19730217,20200304,0300-8584 (Print) 0300-8584 (Linking),158,2,1972,C-type virus particles in phytohemagglutinin-stimulated lymphocyte cultures with reference to enzootic lymphatic leukosis in sheep.,105-12,"['Paulsen, J', 'Rudolph, R', 'Hoffmann, R', 'Weiss, E', 'Schliesser, T']","['Paulsen J', 'Rudolph R', 'Hoffmann R', 'Weiss E', 'Schliesser T']",['eng'],['Journal Article'],Germany,Med Microbiol Immunol,Medical microbiology and immunology,0314524,['0 (Lectins)'],IM,"['Animals', 'Cells, Cultured', 'Female', 'Lectins/pharmacology', 'Leukemia, Lymphoid/blood/microbiology/*veterinary', 'Lymphocytes/growth & development/*microbiology', 'Lymphocytosis/microbiology/veterinary', 'Microscopy, Electron', 'Oncogenic Viruses/*analysis', 'RNA Viruses/*analysis', 'Retroviridae/analysis', 'Sheep', 'Sheep Diseases/microbiology', 'Stimulation, Chemical']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Med Microbiol Immunol. 1972;158(2):105-12. doi: 10.1007/BF02120475.,,,['10.1007/BF02120475 [doi]'],,,,,,,,
4345093,NLM,MEDLINE,19730217,20190903,0006-5242 (Print) 0006-5242 (Linking),25,6,1972 Dec,Ultrastructural studies on the acute leukemic monoblast.,376-84,"['Szekely, I E', 'Park, S A', 'Schumacher, H R']","['Szekely IE', 'Park SA', 'Schumacher HR']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,,IM,"['Adult', 'Aged', '*Bone Marrow', '*Bone Marrow Cells', 'Cell Nucleus', 'Humans', 'Inclusion Bodies', 'Leukemia, Monocytic, Acute/*pathology', 'Leukemia, Myeloid, Acute/pathology', 'Microscopy, Electron', 'Middle Aged', 'Mitochondria', '*Monocytes']",,1972/12/01 00:00,1972/12/01 00:01,['1972/12/01 00:00'],"['1972/12/01 00:00 [pubmed]', '1972/12/01 00:01 [medline]', '1972/12/01 00:00 [entrez]']",ppublish,Blut. 1972 Dec;25(6):376-84. doi: 10.1007/BF01632762.,,,['10.1007/BF01632762 [doi]'],,,,,,,,
4345040,NLM,MEDLINE,19730217,20061115,0008-5472 (Print) 0008-5472 (Linking),32,9,1972 Sep,Antigenic comparison of bovine type C virus with murine and feline leukemia viruses.,1871-7,"['Ferrer, J F']",['Ferrer JF'],['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Viral)', '0 (Antigens, Neoplasm)', '0 (Antigens, Viral)']",IM,"['AKR murine leukemia virus/immunology', 'Absorption', 'Animals', 'Antibodies, Viral/analysis', 'Antigens, Neoplasm', '*Antigens, Viral/analysis', 'Cattle', 'Cattle Diseases/immunology', 'Cell Line', 'Cells, Cultured', 'Cross Reactions', 'Fluorescent Antibody Technique', 'Immunodiffusion', 'Leukemia/immunology/veterinary', 'Leukemia Virus, Feline/*immunology', 'Leukemia Virus, Murine/*immunology', 'Lymphocytes', 'Lymphoma/immunology', 'Mice', 'Moloney murine leukemia virus/immunology', 'Neoplasm Regression, Spontaneous', 'Oncogenic Viruses/*immunology', 'RNA Viruses/*immunology', 'Rats', 'Retroviridae/immunology', 'Sarcoma', 'Species Specificity']",,1972/09/01 00:00,1972/09/01 00:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '1972/09/01 00:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1972 Sep;32(9):1871-7.,,,,,,,,,,,
4345037,NLM,MEDLINE,19730217,20131121,0008-5472 (Print) 0008-5472 (Linking),32,9,1972 Sep,"Metabolic effects of cyclic 9- -D-arabinofuranosyladenine 3',5'-monophosphate in L1210 cells.",1791-4,"['Hughes, R G Jr', 'Kimball, A P']","['Hughes RG Jr', 'Kimball AP']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Culture Media)', '0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '0 (Sulfides)', '10028-17-8 (Tritium)', '5A614L51CT (Inosine)', '8L70Q75FXE (Adenosine Triphosphate)', 'B40ROO395Z (Arabinose)', 'C137DTR5RG (Theophylline)', 'E0399OZS9N (Cyclic AMP)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 3.1.4.- (Phosphoric Diester Hydrolases)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Adenosine Triphosphate/pharmacology', 'Animals', 'Arabinose/metabolism/*pharmacology', 'Cells, Cultured', 'Culture Media', 'Cyclic AMP/metabolism/*pharmacology', 'DNA Nucleotidyltransferases/antagonists & inhibitors', 'DNA, Neoplasm/biosynthesis', 'Hydrolysis', 'Inosine/pharmacology', 'Leukemia L1210/*metabolism', 'Mice', 'Mice, Inbred Strains', 'Phosphoric Diester Hydrolases/pharmacology', 'RNA, Neoplasm/biosynthesis', 'Sulfides/pharmacology', 'Theophylline/pharmacology', 'Thymidine/metabolism', 'Tritium', 'Uridine/metabolism']",,1972/09/01 00:00,2001/03/28 10:01,['1972/09/01 00:00'],"['1972/09/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1972/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1972 Sep;32(9):1791-4.,,,,,,,,,,,
4345001,NLM,MEDLINE,19730215,20190908,0090-0028 (Print) 0090-0028 (Linking),240,99,1972 Nov 22,Surface alterations of cells carrying RNA tumour virus genetic information.,116-8,"['Salzberg, S', 'Green, M']","['Salzberg S', 'Green M']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['10028-17-8 (Tritium)', '11028-71-0 (Concanavalin A)', 'WHI7HQ7H85 (Uridine)']",IM,"['*Agglutination', 'Animals', 'Cats', 'Cell Line', '*Cell Transformation, Neoplastic', 'Cells, Cultured', 'Centrifugation, Density Gradient', 'Clone Cells', 'Concanavalin A/pharmacology', 'Cricetinae', 'Embryo, Mammalian', '*Gammaretrovirus', 'Humans', 'Leukemia Virus, Murine', 'Mice', 'Moloney murine leukemia virus', '*RNA Viruses/analysis/metabolism', 'Rats', 'Rhabdomyosarcoma', 'Thymus Gland', 'Tritium', 'Uridine/metabolism', 'Viral Plaque Assay', 'Virus Replication']",,1972/11/22 00:00,1972/11/22 00:01,['1972/11/22 00:00'],"['1972/11/22 00:00 [pubmed]', '1972/11/22 00:01 [medline]', '1972/11/22 00:00 [entrez]']",ppublish,Nat New Biol. 1972 Nov 22;240(99):116-8. doi: 10.1038/newbio240116a0.,,,['10.1038/newbio240116a0 [doi]'],,,,,,,,
4344966,NLM,MEDLINE,19730215,20190718,0005-0423 (Print) 0005-0423 (Linking),48,8,1972 Aug,Review of viral disease of cats.,465-71,"['Love, D N']",['Love DN'],['eng'],"['Journal Article', 'Review']",England,Aust Vet J,Australian veterinary journal,0370616,,IM,"['Animals', 'Carrier State/veterinary', '*Cat Diseases', 'Cats', 'Chlamydia Infections/veterinary', 'Feline Panleukopenia/etiology/prevention & control', 'Female', 'Herpesviridae Infections/veterinary', 'Leukemia Virus, Feline', 'Lymphoma, Non-Hodgkin/veterinary', 'Peritonitis/veterinary', 'Picornaviridae', 'Pregnancy', 'Pregnancy Complications, Infectious/veterinary', 'Reoviridae Infections/veterinary', 'Respiratory Tract Infections/veterinary', 'Vaccination', 'Virus Diseases/*veterinary']",50,1972/08/01 00:00,1972/08/01 00:01,['1972/08/01 00:00'],"['1972/08/01 00:00 [pubmed]', '1972/08/01 00:01 [medline]', '1972/08/01 00:00 [entrez]']",ppublish,Aust Vet J. 1972 Aug;48(8):465-71. doi: 10.1111/j.1751-0813.1972.tb02286.x.,,,['10.1111/j.1751-0813.1972.tb02286.x [doi]'],,,,,,,,
4344963,NLM,MEDLINE,19730215,20210526,0003-6919 (Print) 0003-6919 (Linking),24,5,1972 Nov,Enhancement of murine leukemia virus replication in rat tumor cells containing rat C-type virus.,837-9,"['Turner, W', 'Pearson, G', 'Bass, L R']","['Turner W', 'Pearson G', 'Bass LR']",['eng'],['Journal Article'],United States,Appl Microbiol,Applied microbiology,7605802,,IM,"['Animals', 'Cell Line', 'Cell Transformation, Neoplastic', 'Fibroblasts', 'Fluorescent Antibody Technique', 'Microscopy, Electron', 'Moloney murine leukemia virus/*growth & development/isolation & purification', 'Oncogenic Viruses/*growth & development', 'RNA Viruses/*growth & development', 'Rats', 'Rats, Inbred WF', 'Retroviridae/growth & development/isolation & purification', 'Sarcoma, Avian', 'Viral Plaque Assay', '*Virus Replication']",,1972/11/01 00:00,1972/11/01 00:01,['1972/11/01 00:00'],"['1972/11/01 00:00 [pubmed]', '1972/11/01 00:01 [medline]', '1972/11/01 00:00 [entrez]']",ppublish,Appl Microbiol. 1972 Nov;24(5):837-9. doi: 10.1128/am.24.5.837-839.1972.,The yield of Maloney leukemia virus (MLV) from MLV-infected rat cells was shown to be enhanced in rat cells containing rat C-type virus. The MLV produced in these cells was shown to be identical to murine-derived MLV and devoid of properties related to rat C-type virus.,PMC380673,['10.1128/am.24.5.837-839.1972 [doi]'],,,,,,,,
4344957,NLM,MEDLINE,19730215,20210526,0003-6919 (Print) 0003-6919 (Linking),24,5,1972 Nov,Interferon production by human cells in vitro.,735-41,"['Spin, C A', 'Chang, R S', 'Mishra, L', 'Golden, H D']","['Spin CA', 'Chang RS', 'Mishra L', 'Golden HD']",['eng'],['Journal Article'],United States,Appl Microbiol,Applied microbiology,7605802,['9008-11-1 (Interferons)'],IM,"['Adult', 'Amnion', 'Cell Line', 'Cells, Cultured/*metabolism', 'Chikungunya virus', 'Child', 'Culture Techniques', 'Embryo, Mammalian', 'Female', 'Fibroblasts', 'HeLa Cells', 'Humans', 'Infectious Mononucleosis/blood', 'Interferons/*biosynthesis', 'Leukemia, Myeloid/blood', 'Leukocytes', 'Lymphoid Tissue', 'Male', 'Newcastle disease virus', 'Penis', 'Skin', 'Time Factors', 'Vesicular stomatitis Indiana virus']",,1972/11/01 00:00,1972/11/01 00:01,['1972/11/01 00:00'],"['1972/11/01 00:00 [pubmed]', '1972/11/01 00:01 [medline]', '1972/11/01 00:00 [entrez]']",ppublish,Appl Microbiol. 1972 Nov;24(5):735-41. doi: 10.1128/am.24.5.735-741.1972.,"The relative capacity of several types of human cells and tissue to produce interferon was studied. Types of cells and tissue included were fibroblasts from embryos, foreskins, and biopsied skins; amnion cells; peripheral leukocytes; established lymphoid cell lines; established heteroploid cell lines; and chorioamniotic membrane. When Newcastle disease virus was used as the inducer, fibroblasts and amnion cells produced more interferon per 10(6) cells than leukocytes, lymphoid cells, and heteroploid cells. Only minor variations in interferon-producing capacity were observed among fibroblasts from 36 persons. Culture passage level, cell concentration, and inducer were factors that significantly affected interferon production.",PMC380655,['10.1128/am.24.5.735-741.1972 [doi]'],,,,,,,,
4344815,NLM,MEDLINE,19730208,20190612,0006-291X (Print) 0006-291X (Linking),49,6,1972 Dec 18,Cyclic AMP in cultured human lymphoid cells: relationship to mitosis.,1645-9,"['Millis, A J', 'Forrest, G', 'Pious, D A']","['Millis AJ', 'Forrest G', 'Pious DA']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Butyrates)', '9007-49-2 (DNA)', 'E0399OZS9N (Cyclic AMP)', 'VC2W18DGKR (Thymidine)']",IM,"['Butyrates/pharmacology', 'Cell Count', 'Cells, Cultured', 'Cyclic AMP/*metabolism/pharmacology/physiology', 'DNA/biosynthesis', 'Depression, Chemical', 'Humans', 'Leukemia, Myeloid, Acute', 'Lymphoid Tissue/cytology/drug effects/growth & development/*metabolism', 'Microscopy, Phase-Contrast', '*Mitosis/drug effects', 'Thymidine/pharmacology', 'Time Factors']",,1972/12/18 00:00,1972/12/18 00:01,['1972/12/18 00:00'],"['1972/12/18 00:00 [pubmed]', '1972/12/18 00:01 [medline]', '1972/12/18 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1972 Dec 18;49(6):1645-9. doi: 10.1016/0006-291x(72)90531-1.,,,"['0006-291X(72)90531-1 [pii]', '10.1016/0006-291x(72)90531-1 [doi]']",,,,,,,,
4344787,NLM,MEDLINE,19730208,20071115,0028-2162 (Print) 0028-2162 (Linking),116,45,1972 Nov 4,[Unusual complications in acute lymphoblastic leukemia].,2029-32,"['de Vries, S I']",['de Vries SI'],['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,,IM,"['Adolescent', 'Anemia, Hemolytic/*etiology', 'Cytomegalovirus', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Virus Diseases/complications']",,1972/11/04 00:00,1972/11/04 00:01,['1972/11/04 00:00'],"['1972/11/04 00:00 [pubmed]', '1972/11/04 00:01 [medline]', '1972/11/04 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1972 Nov 4;116(45):2029-32.,,,,Ongewone verwikkelingen bij een acute lymfoblastenleukemie.,,,,,,,
4344776,NLM,MEDLINE,19730208,20131121,0021-9541 (Print) 0021-9541 (Linking),80,2,1972 Oct,Genetics of somatic mammalian cells. XV. Evidence for linkage between human genes for lactic dehydrogenase B and serine hydroxymethylase.,291-7,"['Jones, C', 'Wuthier, P', 'Kao, F T', 'Puck, T T']","['Jones C', 'Wuthier P', 'Kao FT', 'Puck TT']",['eng'],['Journal Article'],United States,J Cell Physiol,Journal of cellular physiology,0050222,"['0 (Isoenzymes)', '452VLY9402 (Serine)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 2.- (Transferases)']",IM,"['Amniotic Fluid/cytology/enzymology', 'Animals', 'Bone Marrow/enzymology', 'Bone Marrow Cells', 'Cell Line', 'Clone Cells', 'Cricetinae', 'Electrophoresis, Polyacrylamide Gel', 'Female', 'Fibroblasts/enzymology', '*Genetic Linkage', 'HeLa Cells/enzymology', 'Humans', 'Hybrid Cells/*enzymology', 'Isoenzymes', 'Karyotyping', 'L-Lactate Dehydrogenase/*analysis', 'Leukemia/enzymology', 'Lymphocytes/enzymology', 'Mutation', 'Ovary/*enzymology', 'Parainfluenza Virus 1, Human', 'Serine', 'Transferases/*analysis']",,1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,J Cell Physiol. 1972 Oct;80(2):291-7. doi: 10.1002/jcp.1040800217.,,,['10.1002/jcp.1040800217 [doi]'],,,,,,,,
4344740,NLM,MEDLINE,19730207,20151119,0027-951X (Print) 0027-951X (Linking),12,3,1972 Fall,Pathogenicity of some clones from field isolates of avian leukosis viruses.,117-26,"['Hihara, H', 'Yammamoto, H', 'Ishino, S', 'Shimizu, T']","['Hihara H', 'Yammamoto H', 'Ishino S', 'Shimizu T']",['eng'],['Journal Article'],Japan,Natl Inst Anim Health Q (Tokyo),National Institute of Animal Health quarterly,0413132,"['0 (Antibodies, Viral)']",IM,"['Animals', 'Antibodies, Viral/analysis', 'Avian Leukosis', 'Avian Leukosis Virus/immunology/*pathogenicity', 'Chick Embryo', 'Chickens', 'Clone Cells', 'Female', 'Fibrosarcoma/etiology', 'Hemangioendothelioma/etiology', 'Male', 'Neutralization Tests', 'Virulence']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Natl Inst Anim Health Q (Tokyo). 1972 Fall;12(3):117-26.,,,,,,,,,,,
4344416,NLM,MEDLINE,19730202,20190903,0006-5242 (Print) 0006-5242 (Linking),25,5,1972 Nov,[Acute erythremia].,302-13,"['Lutz, H', 'van Zyl, J', 'Hartwich, G']","['Lutz H', 'van Zyl J', 'Hartwich G']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,"['10450-60-9 (Periodic Acid)', 'E1UOL152H7 (Iron)', 'EC 3.1.- (Esterases)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/blood', 'Adult', 'Aged', 'Bone Marrow Examination', '*Chromosome Aberrations', 'Chromosomes, Human, 6-12 and X', 'Diagnosis, Differential', 'Erythrocytes/analysis/enzymology', 'Esterases/blood', 'Female', 'Histocytochemistry', 'Humans', 'Iron/blood', 'Leukemia, Erythroblastic, Acute/classification/*diagnosis/enzymology', 'Periodic Acid']",,1972/11/01 00:00,1972/11/01 00:01,['1972/11/01 00:00'],"['1972/11/01 00:00 [pubmed]', '1972/11/01 00:01 [medline]', '1972/11/01 00:00 [entrez]']",ppublish,Blut. 1972 Nov;25(5):302-13. doi: 10.1007/BF01631812.,,,['10.1007/BF01631812 [doi]'],Zur Problematik der akuten Erythramie.,,,,,,,
4344375,NLM,MEDLINE,19730201,20190501,0027-8424 (Print) 0027-8424 (Linking),69,10,1972 Oct,A genetic locus for inducibility of C-type in BALB-c cells: the effect of a nonlinked regulatory gene on detection of virus after chemical activation.,2798-801,"['Stephenson, J R', 'Aaronson, S A']","['Stephenson JR', 'Aaronson SA']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['9679TC07X4 (Iodine)', 'W78I7AY22C (Deoxyuridine)']",IM,"['Animals', 'Cell Line', 'Crosses, Genetic', 'Culture Techniques', 'Deoxyuridine', 'Embryo, Mammalian', 'Female', '*Genes', '*Genes, Regulator', 'Genetic Code', 'Genotype', 'Gestational Age', 'Hybridization, Genetic', 'Iodine', 'Leukemia Virus, Murine/*metabolism', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred Strains', 'Models, Biological', 'RNA Viruses/*metabolism', 'Retroviridae/metabolism', 'Spleen/metabolism', 'Virus Replication']",,1972/10/01 00:00,1972/10/01 00:01,['1972/10/01 00:00'],"['1972/10/01 00:00 [pubmed]', '1972/10/01 00:01 [medline]', '1972/10/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1972 Oct;69(10):2798-801. doi: 10.1073/pnas.69.10.2798.,"Previous studies have shown that chemicals can transiently activate endogenous C-type viruses from embryo cells of the BALB/c mouse strain, but not from cells of another mouse strain, NIH Swiss. The number of genetic loci for inducibility of endogenous virus in BALB/c cells was investigated with cell lines derived from appropriate, F(1), F(2)-hybrid, and backcross generation embryos of these strains. A single genetic locus responsible for inducibility of virus in BALB/c cells was detected, and tentatively designated Ind. A second locus, previously described in studies of mouse-cell susceptibility to exogenous virus infection, Fv-1, was found to be genetically nonlinked to Ind. This regulatory gene plays an important role in determining whether the induced viruses of BALB/c cells can persist after chemical activation.",PMC389647,['10.1073/pnas.69.10.2798 [doi]'],,,,,,,,
4344249,NLM,MEDLINE,19730130,20200724,0022-538X (Print) 0022-538X (Linking),10,5,1972 Nov,Distribution of deoxyribonucleic acid complementary to the ribonucleic acid of avian myeloblastosis virus in tissues of normal and tumor-bearing chickens.,1002-9,"['Baluda, M A', 'Drohan, W N']","['Baluda MA', 'Drohan WN']",['eng'],['Journal Article'],United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)', '0 (RNA, Viral)', '10028-17-8 (Tritium)']",IM,"['Animals', 'Avian Leukosis/blood/etiology/*metabolism', 'Avian Leukosis Virus/*analysis', 'Bone Marrow/analysis', 'Bone Marrow Cells', 'Chick Embryo', 'Chickens/*metabolism', 'DNA, Viral/*analysis/blood/isolation & purification', 'Erythrocytes/analysis', 'Kidney/analysis', 'Kidney Neoplasms/etiology/*metabolism', 'Liver/analysis', 'Lung/analysis', 'Neoplasms, Experimental/etiology/*metabolism', 'Nucleic Acid Hybridization', 'Organ Specificity', '*RNA, Viral', 'Spleen/analysis', 'Tritium']",,1972/11/01 00:00,1972/11/01 00:01,['1972/11/01 00:00'],"['1972/11/01 00:00 [pubmed]', '1972/11/01 00:01 [medline]', '1972/11/01 00:00 [entrez]']",ppublish,J Virol. 1972 Nov;10(5):1002-9. doi: 10.1128/JVI.10.5.1002-1009.1972.,"(3)H-labeled 70S ribonucleic acid (RNA) from purified avian myeloblastosis virus (AMV) was used as a probe in deoxyribonucleic acid (DNA)-RNA hybridization experiments to detect the presence of DNA complementary to the AMV genome in various tissues from noninfected normal chickens and from chickens infected with AMV. There was a remarkable constancy in the average cellular concentration of virus-specific DNA found in every tissue from the same uninfected chicken, and even in different chickens from the same strain. In contrast, different tissues from chickens bearing AMV-induced kidney tumors (embryonal nephromas) revealed an unequal distribution in the average virus-specific DNA content per cell. The increase was limited to tumor cells and to tissues that contain target cells for AMV, i.e., red blood cells, kidney cells, and possibly leukocytes. The red blood cells from AMV-infected chickens suffering from acute myeloblastic leukemia, although producing no virus, contained as many viral genome equivalents per cell as did leukemic myeloblasts known to produce large quantities of AMV. An increased viral DNA content was observed in the target cells of chickens that did not show any sign of tumor formation 6 months after infection with AMV. This study demonstrates that vertically transmitted viral DNA is uniformly and stably distributed among all tissues of the offspring, but that horizontal infection after hatching results in an increase in viral DNA content only in some dividing, target tissues that may or may not give rise to neoplasias.",PMC356571,['10.1128/JVI.10.5.1002-1009.1972 [doi]'],,,,,,,,
4344220,NLM,MEDLINE,19730130,20210526,0019-9567 (Print) 0019-9567 (Linking),5,3,1972 Mar,Location of feline leukemia-sarcoma group-specific antigen in infected human tissue culture cells.,400-5,"['Ubertini, T R']",['Ubertini TR'],['eng'],['Journal Article'],United States,Infect Immun,Infection and immunity,0246127,"['0 (Antibodies, Neoplasm)', '0 (Antigens, Neoplasm)', 'EC 1.11.1.- (Peroxidases)']",IM,"['Animals', 'Antibodies, Neoplasm/isolation & purification', 'Antigens, Neoplasm/*isolation & purification', 'Cats', 'Cell Line', 'Embryo, Mammalian', 'Fluorescent Antibody Technique', 'Goats/immunology', 'Humans', 'Kidney/embryology', 'Leukemia Virus, Feline/*immunology', 'Microscopy', 'Microscopy, Electron', 'Oncogenic Viruses/*immunology', 'Peroxidases', 'Retroviridae/immunology', 'Sarcoma/microbiology']",,1972/03/01 00:00,1972/03/01 00:01,['1972/03/01 00:00'],"['1972/03/01 00:00 [pubmed]', '1972/03/01 00:01 [medline]', '1972/03/01 00:00 [entrez]']",ppublish,Infect Immun. 1972 Mar;5(3):400-5. doi: 10.1128/iai.5.3.400-405.1972.,"Feline leukemia-sarcoma group-specific antigens were located in human embryo cells infected with feline leukemia and feline sarcoma viruses. This was done by using the fluorescent-antibody and enzyme-labeled antibody techniques at both light and electron microscopic levels. The antigens were found to be exclusively intracytoplasmic, diffuse, and located in discrete punctate foci.",PMC422381,['10.1128/iai.5.3.400-405.1972 [doi]'],,,,,,,,
