PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PS,FPS,TT,RN,RF,PMC,GR,OID
4884354,NLM,MEDLINE,19690318,20190618,0036-8075 (Print) 0036-8075 (Linking),162,3853,1968 Nov 1,Mutant Sl alleles of mice affect susceptibility to Friend spleen focus-forming virus.,564-5,"Mice of genotypes S1/S1(d), S1/+, and S1(d)/+ (but not S1(T)/S1(T) or S1(T)/+) were resistant to spleen focucs-forming virus. The ""environment"" in which hemopoietic target cells for this virus develop was not conducive for infection or focus formation, or both, but the target cells were not altered directly. The same genes appear to regulate hemopoiesis and leukemogenic transformation.","['Bennett, M', 'Steeves, R A', 'Cudkowicz, G', 'Mirand, E A', 'Russell, L B']","['Bennett M', 'Steeves RA', 'Cudkowicz G', 'Mirand EA', 'Russell LB']",['eng'],['Journal Article'],United States,Science,"Science (New York, N.Y.)",0404511,IM,"['*Alleles', 'Animals', 'Bone Marrow Transplantation', 'Cell Transformation, Neoplastic', 'Female', 'Friend murine leukemia virus/*pathogenicity', 'Genotype', 'Hematocrit', 'Hematopoiesis', 'Leukemia, Experimental/etiology', 'Male', 'Mice', '*Mutation', 'Spleen/*microbiology']",1968/11/01 00:00,1968/11/01 00:01,['1968/11/01 00:00'],"['1968/11/01 00:00 [pubmed]', '1968/11/01 00:01 [medline]', '1968/11/01 00:00 [entrez]']",['10.1126/science.162.3853.564 [doi]'],ppublish,Science. 1968 Nov 1;162(3853):564-5. doi: 10.1126/science.162.3853.564.,,,,,,,,
4869007,NLM,MEDLINE,19680605,20071115,0016-867X (Print) 0016-867X (Linking),23,5,1968 May,Splenectomy in malignant lymphoma and leukemia.,142-9,,"['Mittelman, A', 'Stutzman, L', 'Grace, J T Jr']","['Mittelman A', 'Stutzman L', 'Grace JT Jr']",['eng'],['Journal Article'],United States,Geriatrics,Geriatrics,2985102R,IM,"['Chronic Disease', 'Female', 'Hodgkin Disease/surgery', 'Humans', 'Hypersplenism/etiology', 'Leukemia/blood/complications/mortality/*surgery', 'Leukemia, Lymphoid/surgery', 'Leukemia, Myeloid/surgery', 'Lymphoma/blood/complications/mortality/*surgery', 'Lymphoma, Large B-Cell, Diffuse/surgery', 'Lymphoma, Non-Hodgkin/surgery', 'Male', 'Postoperative Care', 'Preoperative Care', '*Splenectomy/mortality', 'Splenomegaly/etiology']",1968/05/01 00:00,2001/03/28 10:01,['1968/05/01 00:00'],"['1968/05/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1968/05/01 00:00 [entrez]']",,ppublish,Geriatrics. 1968 May;23(5):142-9.,,,,,,,,
4868994,NLM,MEDLINE,19680605,20210216,0006-4971 (Print) 0006-4971 (Linking),31,4,1968 Apr,The lymphocyte beta-glucuronidase activity in lymphoproliferative disorders.,480-9,,"['Yam, L T', 'Mitus, W J']","['Yam LT', 'Mitus WJ']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Acid Phosphatase/analysis', 'Antibodies', 'Glucuronidase/*blood', 'Humans', 'Leukemia, Lymphoid/*enzymology', 'Lymphocytes/*enzymology', 'Lymphocytosis/*enzymology', 'Lymphoma, Large B-Cell, Diffuse/*enzymology', 'Lymphoma, Non-Hodgkin/*enzymology']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",['S0006-4971(20)71835-5 [pii]'],ppublish,Blood. 1968 Apr;31(4):480-9.,,,,"['0 (Antibodies)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.31 (Glucuronidase)']",,,,
4868896,NLM,MEDLINE,19680603,20131121,0552-2080 (Print) 0552-2080 (Linking),11,5,1966 May,[Radiation-induced leukemias].,38-47,,"['Diuplan, Zh F']",['Diuplan ZhF'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,IM,"['Adrenal Cortex Hormones/pharmacology', 'Adrenalectomy', 'Animals', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Cortisone/pharmacology', 'Cysteine/pharmacology', 'Humans', 'Leukemia, Experimental', '*Leukemia, Radiation-Induced', 'Mice', 'Radiotherapy/adverse effects', 'Spondylitis/radiotherapy', 'Testosterone/pharmacology']",1966/05/01 00:00,1966/05/01 00:01,['1966/05/01 00:00'],"['1966/05/01 00:00 [pubmed]', '1966/05/01 00:01 [medline]', '1966/05/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1966 May;11(5):38-47.,,,Radiatsionnye leikozy.,"['0 (Adrenal Cortex Hormones)', '3XMK78S47O (Testosterone)', 'K848JZ4886 (Cysteine)', 'V27W9254FZ (Cortisone)']",97,,,
4868876,NLM,MEDLINE,19680603,20161026,0006-9248 (Print) 0006-9248 (Linking),48,11,1967,[Changes of blood group antigens in leukoses].,675-82,,"['Prodanov, P']",['Prodanov P'],['slo'],"['Journal Article', 'Review']",Slovakia,Bratisl Lek Listy,Bratislavske lekarske listy,0065324,IM,"['*Antigens', 'Humans', 'Leukemia/immunology']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Bratisl Lek Listy. 1967;48(11):675-82.,,,Zmeny antigenov krvnych skupin pri leukozach.,['0 (Antigens)'],45,,,
4868820,NLM,MEDLINE,19680527,20041117,0023-1207 (Print) 0023-1207 (Linking),42,8,1966 Aug,[Some problems of gastric resection in peptic ulcer].,117-21,,"['Berezin, I F']",['Berezin IF'],['rus'],['Journal Article'],Russia (Federation),Khirurgiia (Mosk),Khirurgiia,0412765,IM,"['Adult', 'Female', '*Gastrectomy', '*Gastroenterostomy', 'Humans', 'Leukemia, Radiation-Induced', 'Male', 'Middle Aged', 'Stomach Ulcer/*surgery', 'Suture Techniques']",1966/08/01 00:00,1966/08/01 00:01,['1966/08/01 00:00'],"['1966/08/01 00:00 [pubmed]', '1966/08/01 00:01 [medline]', '1966/08/01 00:00 [entrez]']",,ppublish,Khirurgiia (Mosk). 1966 Aug;42(8):117-21.,,,Nekotorye voprosy rezektsii zheludka pri iazvennoi bolezni.,,,,,
4868778,NLM,MEDLINE,19680527,20200930,0037-9727 (Print) 0037-9727 (Linking),127,2,1968 Feb,Friend disease and a tumor variant in hybrid (BDF1) mice.,614-7,,"['Fieldsteel, A H', 'Dawson, P J', 'Scholler, J']","['Fieldsteel AH', 'Dawson PJ', 'Scholler J']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,IM,"['Adjuvants, Immunologic', 'Animals', 'Antibody Formation', 'Friend murine leukemia virus/*immunology', 'Iodoacetates', 'Lymphoma, Large B-Cell, Diffuse/*immunology', 'Mice', 'Neoplasm Transplantation', 'Neutralization Tests', 'Spleen/pathology', '*Transplantation Immunology', 'Vaccination']",1968/02/01 00:00,1968/02/01 00:01,['1968/02/01 00:00'],"['1968/02/01 00:00 [pubmed]', '1968/02/01 00:01 [medline]', '1968/02/01 00:00 [entrez]']",['10.3181/00379727-127-32755 [doi]'],ppublish,Proc Soc Exp Biol Med. 1968 Feb;127(2):614-7. doi: 10.3181/00379727-127-32755.,,,,"['0 (Adjuvants, Immunologic)', '0 (Iodoacetates)']",,,,
4868606,NLM,MEDLINE,19680523,20081121,0026-4806 (Print) 0026-4806 (Linking),59,1,1968 Jan 6,[The problem of the contemporary or successive presence of two or more neoplastic diseases or signs of neoplasms of the hemopoietic tissues. Histiocytic sarcomatosis with systemic tendency].,7-12,,"['Bufano, M']",['Bufano M'],['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,IM,"['*Hematopoietic System', 'Humans', '*Leukemia', '*Lymphatic Diseases', '*Lymphoma, Large B-Cell, Diffuse', '*Multiple Myeloma', '*Neoplasms, Multiple Primary', '*Splenic Neoplasms']",1968/01/06 00:00,1968/01/06 00:01,['1968/01/06 00:00'],"['1968/01/06 00:00 [pubmed]', '1968/01/06 00:01 [medline]', '1968/01/06 00:00 [entrez]']",,ppublish,Minerva Med. 1968 Jan 6;59(1):7-12.,,,Il problema della presenza contemporanea o successiva di due o piu malattie o segni di malatti neoplastiche dei tessuti emopoietici. Sarcomatosi istiocitarie a tendenza sistemica.,,,,,
4868592,NLM,MEDLINE,19680523,20190630,0098-7484 (Print) 0098-7484 (Linking),203,12,1968 Mar 18,Physiology of the granulocyte. 2.,1025-32,,"['Perry, S', 'Godwin, H A', 'Zimmerman, T S']","['Perry S', 'Godwin HA', 'Zimmerman TS']",['eng'],"['Journal Article', 'Review']",United States,JAMA,JAMA,7501160,IM,"['Aged', 'Female', 'Hematopoiesis', 'Humans', 'Leukemia, Myeloid/blood', 'Leukocytes/metabolism/*physiology', 'Leukocytosis', 'Male', 'Meiosis', 'Middle Aged', 'Models, Biological', 'Thymidine/metabolism', 'Tritium']",1968/03/18 00:00,1968/03/18 00:01,['1968/03/18 00:00'],"['1968/03/18 00:00 [pubmed]', '1968/03/18 00:01 [medline]', '1968/03/18 00:00 [entrez]']",['10.1001/jama.203.12.1025 [doi]'],ppublish,JAMA. 1968 Mar 18;203(12):1025-32. doi: 10.1001/jama.203.12.1025.,,,,"['10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",211,,,
4868538,NLM,MEDLINE,19680523,20181113,0300-9696 (Print) 0300-9696 (Linking),136,1,1967,[The skin and lungs].,128-41,,"['Fischer, H']",['Fischer H'],['ger'],"['Journal Article', 'Review']",Germany,Beitr Klin Erforsch Tuberk Lungenkr,Beitrage zur Klinik und Erforschung der Tuberkulose und der Lungenkrankheiten,1247056,IM,"['Dermatomyositis/complications', 'Eczema/complications', 'Hodgkin Disease/complications', 'Humans', 'Leukemia/complications', 'Lung Diseases/*complications', 'Lupus Erythematosus, Discoid/complications', 'Lymphatic Diseases/complications', 'Respiratory Hypersensitivity/complications', 'Scleroderma, Systemic', 'Skin Diseases/*complications', 'Skin Manifestations']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Beitr Klin Erforsch Tuberk Lungenkr. 1967;136(1):128-41.,,,Haut und Lungen.,,61,,,
4868473,NLM,MEDLINE,19680523,20190620,0008-543X (Print) 0008-543X (Linking),21,4,1968 Apr,Serum copper levels in lymphoma and leukemia. Special reference to Hodgkin's disease.,743-55,,"['Hrgovcic, M', 'Tessmer, C F', 'Minckler, T M', 'Mosier, B', 'Taylor, G H']","['Hrgovcic M', 'Tessmer CF', 'Minckler TM', 'Mosier B', 'Taylor GH']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Copper/*blood', 'Female', 'Hodgkin Disease/*blood', 'Humans', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid, Acute/*blood', 'Lymphoma/therapy', 'Lymphoma, Large B-Cell, Diffuse/*blood', 'Male']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",['10.1002/1097-0142(196804)21:4<743::aid-cncr2820210427>3.0.co;2-a [doi]'],ppublish,Cancer. 1968 Apr;21(4):743-55. doi: 10.1002/1097-0142(196804)21:4<743::aid-cncr2820210427>3.0.co;2-a.,,,,['789U1901C5 (Copper)'],,,,
4868472,NLM,MEDLINE,19680523,20190620,0008-543X (Print) 0008-543X (Linking),21,4,1968 Apr,Evidence for viruses in acute leukemia and Burkitt's tumor.,580-6,,"['Henle, W']",['Henle W'],['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,IM,"['Burkitt Lymphoma/*etiology/immunology/microbiology/pathology', 'Culture Techniques', 'Fluorescent Antibody Technique', 'Helper Viruses', 'Herpesviridae/isolation & purification', 'Humans', 'Leukemia, Lymphoid/*etiology', 'Microscopy, Electron', 'Retroviridae/*pathogenicity', 'Transformation, Genetic']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",['10.1002/1097-0142(196804)21:4<580::aid-cncr2820210406>3.0.co;2-q [doi]'],ppublish,Cancer. 1968 Apr;21(4):580-6. doi: 10.1002/1097-0142(196804)21:4<580::aid-cncr2820210406>3.0.co;2-q.,,,,,,,,
4868464,NLM,MEDLINE,19680523,20210216,0006-4971 (Print) 0006-4971 (Linking),31,2,1968 Feb,Effect of phytohemagglutinin in cultures on the lactate dehydrogenases of lymphocytes from chronic lymphatic leukemia.,166-74,,"['Rabinowitz, Y', 'Dietz, A A']","['Rabinowitz Y', 'Dietz AA']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Cell Differentiation/drug effects', 'Culture Techniques', 'Densitometry', 'Electrophoresis', 'Glycolysis/drug effects', 'Humans', 'Isoenzymes', 'L-Lactate Dehydrogenase/analysis/*biosynthesis', 'Lectins/*pharmacology', 'Leukemia, Lymphoid/*enzymology', 'Lymphocytes/*enzymology', 'Microscopy, Phase-Contrast', 'Mitosis/drug effects']",1968/02/01 00:00,1968/02/01 00:01,['1968/02/01 00:00'],"['1968/02/01 00:00 [pubmed]', '1968/02/01 00:01 [medline]', '1968/02/01 00:00 [entrez]']",['S0006-4971(20)71864-1 [pii]'],ppublish,Blood. 1968 Feb;31(2):166-74.,,,,"['0 (Isoenzymes)', '0 (Lectins)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",,,,
4868401,NLM,MEDLINE,19680522,20190704,0007-1048 (Print) 0007-1048 (Linking),14,4,1968 Apr,Measurement of a labile iron store.,411-23,,"['Singh, A K']",['Singh AK'],['eng'],"['Comparative Study', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,IM,"['Anemia, Hypochromic/blood', 'Anemia, Sideroblastic/blood', 'Blood Volume Determination', 'Bone Marrow Diseases', 'Chelating Agents', 'Erythrocytes/analysis', 'Humans', 'Iron/blood/*metabolism/urine', 'Iron Isotopes', 'Leukemia/blood', 'Methods', 'Radioisotope Dilution Technique', 'Thalassemia/blood']",1968/04/01 00:00,1968/04/01 00:01,['1968/04/01 00:00'],"['1968/04/01 00:00 [pubmed]', '1968/04/01 00:01 [medline]', '1968/04/01 00:00 [entrez]']",['10.1111/j.1365-2141.1968.tb06993.x [doi]'],ppublish,Br J Haematol. 1968 Apr;14(4):411-23. doi: 10.1111/j.1365-2141.1968.tb06993.x.,,,,"['0 (Chelating Agents)', '0 (Iron Isotopes)', 'E1UOL152H7 (Iron)']",,,,
4868340,NLM,MEDLINE,19680520,20190515,0007-0920 (Print) 0007-0920 (Linking),22,1,1968 Mar,The use of haemopoietic heterochimeras for the detection of leukaemogenic virus.,145-8,,"['Mathe, G', 'Motta, R', 'Sorieul, S']","['Mathe G', 'Motta R', 'Sorieul S']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,IM,"['Animals', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Female', '*Friend murine leukemia virus', '*Hematopoietic System', 'Karyotyping', 'Leukemia, Experimental/diagnosis', 'Male', 'Mice', '*Mosaicism', 'Rats', 'Spleen', 'Transplantation, Heterologous']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",['10.1038/bjc.1968.20 [doi]'],ppublish,Br J Cancer. 1968 Mar;22(1):145-8. doi: 10.1038/bjc.1968.20.,,,,,,PMC2008226,,
4867927,NLM,MEDLINE,19680509,20071115,0008-5472 (Print) 0008-5472 (Linking),28,3,1968 Mar,Amino acids associated with DNA of tumors.,595-600,,"['Salser, J S', 'Balis, M E']","['Salser JS', 'Balis ME']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Adenocarcinoma/metabolism', 'Amino Acids/*analysis', 'Animals', 'Cricetinae', 'DNA/*analysis', 'DNA, Neoplasm/*analysis', 'Histocytochemistry', 'Humans', 'Leukemia, Myeloid/*metabolism', 'Liver/*analysis', 'Liver Neoplasms/*metabolism', 'Lung Neoplasms/*metabolism', 'Lymphoma, Large B-Cell, Diffuse/*metabolism', 'Male', 'Mice', 'Neoplasms, Experimental/*metabolism', 'Rats', 'Stomach Neoplasms/*metabolism']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1968 Mar;28(3):595-600.,,,,"['0 (Amino Acids)', '0 (DNA, Neoplasm)', '9007-49-2 (DNA)']",,,,
4867926,NLM,MEDLINE,19680509,20061115,0008-5472 (Print) 0008-5472 (Linking),28,3,1968 Mar,The carcinogenic and mutagenic properties of N-hydroxy-aminonaphthalenes.,535-42,,"['Belman, S', 'Troll, W', 'Teebor, G', 'Mukai, F']","['Belman S', 'Troll W', 'Teebor G', 'Mukai F']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Agar', 'Aniline Compounds', 'Animals', '*Carcinogens', 'Carcinosarcoma/etiology', '*Escherichia coli', 'Genetics, Microbial', 'Injections, Intraperitoneal', 'Leukemia, Experimental/etiology', 'Male', '*Mutagens', 'Mutation/*drug effects', '*Naphthalenes', '*Naphthoquinones', 'Neoplasms, Experimental/*etiology', 'Peritoneal Neoplasms/etiology/pathology', 'Peritoneum/pathology', 'Rats', 'Sarcoma, Experimental/etiology/pathology', 'Urinary Bladder Neoplasms/etiology']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1968 Mar;28(3):535-42.,,,,"['0 (Aniline Compounds)', '0 (Carcinogens)', '0 (Mutagens)', '0 (Naphthalenes)', '0 (Naphthoquinones)', '9002-18-0 (Agar)']",,,,
4867925,NLM,MEDLINE,19680509,20131121,0008-5472 (Print) 0008-5472 (Linking),28,3,1968 Mar,Effect of cortisone on oncogenesis by murine sarcoma virus (Moloney).,517-20,,"['Shachat, D A', 'Fefer, A', 'Moloney, J B']","['Shachat DA', 'Fefer A', 'Moloney JB']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', '*Antibody Formation', 'Cortisone/*pharmacology', 'Female', 'Fluorescent Antibody Technique', 'Immune Sera', 'Lymphoma/*immunology', 'Male', 'Mice', '*Moloney murine leukemia virus', 'Neoplasm Regression, Spontaneous/*immunology', 'Neoplasms, Experimental/*immunology']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1968 Mar;28(3):517-20.,,,,"['0 (Immune Sera)', 'V27W9254FZ (Cortisone)']",,,,
4867923,NLM,MEDLINE,19680509,20061115,0008-5472 (Print) 0008-5472 (Linking),28,3,1968 Mar,"Cross-resistance to the transplantation of syngeneic Friend, Moloney, and Rauscher virus-induced tumors.",434-9,,"['Glynn, J P', 'McCoy, J L', 'Fefer, A']","['Glynn JP', 'McCoy JL', 'Fefer A']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['AKR murine leukemia virus/immunology', 'Animals', '*Antigens', 'Fluorescent Antibody Technique', 'Friend murine leukemia virus/immunology', 'Immune Sera', 'Lymphoma/*immunology', 'Mice', 'Moloney murine leukemia virus/immunology', '*Neoplasm Transplantation', 'Oncogenic Viruses/*immunology', 'Rauscher Virus/immunology']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1968 Mar;28(3):434-9.,,,,"['0 (Antigens)', '0 (Immune Sera)']",,,,
4867922,NLM,MEDLINE,19680509,20131121,0008-5472 (Print) 0008-5472 (Linking),28,3,1968 Mar,Increased numbers of a characteristic type of reticular cell in the thymus and lymph nodes of leukemic mice: an electron microscope study.,421-33,,"['Izard, J', 'de Harven, E']","['Izard J', 'de Harven E']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Female', 'Formaldehyde', 'Glutarates', 'Histological Techniques', 'Leukemia, Experimental/*pathology', 'Lymph Nodes/*pathology', 'Lymphoma/*pathology', 'Male', 'Mice', 'Microscopy, Electron', 'Osmium', 'Ribosomes', 'Thymoma/*pathology', 'Thymus Gland/*pathology']",1968/03/01 00:00,1968/03/01 00:01,['1968/03/01 00:00'],"['1968/03/01 00:00 [pubmed]', '1968/03/01 00:01 [medline]', '1968/03/01 00:00 [entrez]']",,ppublish,Cancer Res. 1968 Mar;28(3):421-33.,,,,"['0 (Glutarates)', '1HG84L3525 (Formaldehyde)', '2E7M255OPY (Osmium)']",,,,
4867457,NLM,MEDLINE,19680430,20041117,0009-3629 (Print) 0009-3629 (Linking),27,1,1967 Summer,Endocrine and metabolic disturbances associated with leukemia.,17-21,,"['Tashima, C K']",['Tashima CK'],['eng'],"['Journal Article', 'Review']",United States,Chic Med Sch Q,The Chicago Medical School quarterly,7505427,IM,"['Endocrine System Diseases/*complications', 'Humans', 'Leukemia/*complications', 'Metabolic Diseases/*complications']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Chic Med Sch Q. 1967 Summer;27(1):17-21.,,,,,47,,,
4867092,NLM,MEDLINE,19680425,20041117,0079-6166 (Print) 0079-6166 (Linking),3,,1967,Enzyme systems at cellular level.,31-50,,"['Dawson, I M']",['Dawson IM'],['eng'],"['Journal Article', 'Review']",United States,Prog Clin Cancer,Progress in clinical cancer,19830360R,IM,"['Adrenal Gland Neoplasms/enzymology', 'Animals', 'Bone Neoplasms/enzymology', 'Breast Neoplasms/enzymology', 'Central Nervous System/enzymology', 'Enzymes/metabolism', 'Female', 'Gastrointestinal Neoplasms/enzymology', 'Humans', 'Leukemia/enzymology', 'Liver Neoplasms/enzymology', 'Lymph Nodes/enzymology', 'Neoplasms/*enzymology', 'Pancreatic Neoplasms/enzymology', 'Parathyroid Neoplasms/enzymology', 'Pituitary Neoplasms/enzymology', 'Polycythemia Vera/enzymology', 'Skin Neoplasms/enzymology', 'Thyroid Neoplasms/enzymology', 'Urogenital Neoplasms/enzymology']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Prog Clin Cancer. 1967;3:31-50.,,,,['0 (Enzymes)'],152,,,
4867091,NLM,MEDLINE,19680425,20071115,0079-6166 (Print) 0079-6166 (Linking),3,,1967,Treatment of acute leukemia by allogenic bonemarrow graft.,309-19,,"['Mathe, G', 'Amiel, J L', 'Schwarzenberg, L', 'Cattan, A', 'Schneider, M']","['Mathe G', 'Amiel JL', 'Schwarzenberg L', 'Cattan A', 'Schneider M']",['eng'],['Journal Article'],United States,Prog Clin Cancer,Progress in clinical cancer,19830360R,IM,"['Animals', '*Bone Marrow Transplantation', 'Female', 'Humans', 'Leukemia, Experimental/*therapy', 'Leukemia, Lymphoid/*therapy', 'Male', 'Mice', 'Neoplasm Transplantation', 'Transplantation, Homologous']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",,ppublish,Prog Clin Cancer. 1967;3:309-19.,,,,,,,,
4867016,NLM,MEDLINE,19680425,20210216,0006-4971 (Print) 0006-4971 (Linking),31,1,1968 Jan,The use of bovine albumin in the examination of bone marrow obtained at autopsy.,74-80,,"['Rickert, R R', 'Vidone, R A']","['Rickert RR', 'Vidone RA']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,IM,"['Adolescent', 'Adult', 'Aged', '*Autopsy', 'Bone Marrow/*pathology', '*Bone Marrow Cells', 'Child', 'Child, Preschool', 'Female', 'Histological Techniques', 'Humans', 'Infant', 'Leukemia, Myeloid/pathology', 'Leukemoid Reaction/pathology', 'Methods', 'Middle Aged', '*Serum Albumin, Bovine']",1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",['S0006-4971(20)80319-X [pii]'],ppublish,Blood. 1968 Jan;31(1):74-80.,,,,"['27432CM55Q (Serum Albumin, Bovine)']",,,,
4866978,NLM,MEDLINE,19680420,20071115,0031-2983 (Print) 0031-2983 (Linking),58,865,1966 Sep-Oct,[Transformation of reticulo-sarcoma into acute leukemia in children. Study of 2 cases].,317-27,,"['Massimo, L', 'Verri, B', 'Mori, P G']","['Massimo L', 'Verri B', 'Mori PG']",['ita'],['Journal Article'],Italy,Pathologica,Pathologica,0401123,IM,"['Child', 'Female', 'Humans', 'Leukemia, Monocytic, Acute/*etiology', 'Lymphoma, Large B-Cell, Diffuse/*complications', 'Male', '*Neoplasm Metastasis', 'Orbital Neoplasms/*complications', '*Thigh']",1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",,ppublish,Pathologica. 1966 Sep-Oct;58(865):317-27.,,,Trasformazione del reticolosarcoma in leucemia acuta nel bambino. Studio di due casi.,,,,,
4866893,NLM,MEDLINE,19680411,20131121,,4,4,1965 Jul 1,[Present results in spleen scintigraphy with bromomercuri-hydroxypropane (BMHP-Hg-197)].,370-82,,"['Hennig, K', 'Franke, W G', 'Woller, P', 'Knoll, P']","['Hennig K', 'Franke WG', 'Woller P', 'Knoll P']",['ger'],"['Comparative Study', 'Journal Article']",Germany,Nucl Med (Stuttg),Nuclear-Medizin,7607194,IM,"['Aged', 'Animals', 'Bromine', 'Chromium Isotopes', 'Erythrocytes/radiation effects', 'Hodgkin Disease/diagnosis', 'Humans', 'Injections, Intravenous', 'Kidney', 'Leukemia/diagnosis', 'Liver', 'Lymphoma, Large B-Cell, Diffuse/diagnosis', 'Lymphoma, Non-Hodgkin/diagnosis', '*Mercury Isotopes', 'Methods', 'Middle Aged', 'Rabbits', '*Radionuclide Imaging', 'Spleen/physiology', 'Splenic Diseases/*diagnosis', 'Urography']",1965/07/01 00:00,1965/07/01 00:01,['1965/07/01 00:00'],"['1965/07/01 00:00 [pubmed]', '1965/07/01 00:01 [medline]', '1965/07/01 00:00 [entrez]']",,ppublish,Nucl Med (Stuttg). 1965 Jul 1;4(4):370-82.,,,Bisherige Erfahrungen bei der Milzszintigraphie mit Brommerkuri-Hydroxypropan (BMHP-Hg197),"['0 (Chromium Isotopes)', '0 (Mercury Isotopes)', 'SBV4XY874G (Bromine)']",,,,
