PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,TT,RF,AID,CI,DEP,SI,CIN,CON,OID,OTO,OT,GN,CN,EIN,CRF,MID,LID
11847424,NLM,MEDLINE,20020418,20111117,1093-2607 (Print) 1093-2607 (Linking),10,3-4,2001,Engineered antibodies take center stage.,127-42,"The start of the post-genomic era provides a useful juncture for reflection on the state of antibody engineering, which will be a critical technology for relating function and pathology to genomic sequence in biology and medicine. The phenomenal progress in deciphering the human genome has given significant impetus to the application of engineered antibodies in proteomics. Thus, advances in phage display antibody libraries can now help to define novel gene function and the measurement of abnormal protein expression in pathological states. Furthermore, intrabody and antibody engineering provide vehicles for the development of molecular medicines of the future. In addition to these new directions, antibody engineering has begun to show concrete success in its long-term efforts to develop targeted immunotherapies for cancer and other diseases. The cornerstones of clinical development are the detailed academic clinical trials that continue to push the boundaries of engineered antibodies into the real world. The field displays a healthy impatience for practical results, as research accelerates with concerted efforts to transfer preclinical insights into clinical trials. Growing private and governmental expenditures will lead to the rapid expansion of life-saving immunotherapeutic agents. The present review developed from our effort to report on the 11th Annual International Conference on Antibody Engineering (3-6 December 2000). This annual meeting is a forum for discussions on the latest advances in antibody engineering groups from around the world, and now includes the broader agenda of engineering in molecular immunology. In bringing scientists together to exchange ideas at this open forum, new collaborations and the threads of new discoveries are woven. For example, Professors Gerhard Wagner (Harvard Medical School), Dennis Burton (Scripps Research Institute), and Peter Hudson (CSIRO, Melbourne, Australia) gave exciting insights on structural immunobiology that had implications across many disciplines. The growth in antibody engineering was highlighted by the attendance of some 600 participants at the meeting, doubling that of the 1999 meeting. Dramatic clinical acceptance of monoclonal antibodies during the past two years has fostered this growth, with sales in 2000 of 1.8 billion dollars and projections for 2001 of 3 billion dollars. However, economic measures cannot begin to convey the medical revolution that is being effected by these first humanized and chimerized monoclonal antibodies. At this juncture, the 10 monoclonal antibody therapeutics in clinical use are of murine origin, of which 3 are entirely murine (OKT3, Mylotarg, 90Y-labeled Bexxar), 4 have been chimerized (human constant domains replacing murine) (ReoPro, Rituxan and its 131I-labeled analogue (Zevalin), Simulect, Remicade) and 3 were chimerized and humanized (human residues being substituted for at least some mouse-specific framework residues in VH and VL) (Zenapax, Herceptin, Synagis). Fully humanized anti-CD52 (CAMPATH-1H) has also been approved by the FDA for the treatment of B-cell chronic lymphocytic leukemia and should become available in late 2001. Humanization was initially developed by Dr. Greg Winter at the MRC Laboratory of Molecular Biology (Cambridge, UK), who presented the meeting's keynote address, ""Antibodies as a Paradigm for Molecular Evolution"". His pioneering work in antibody phage display libraries has been reformulated into a daring approach to develop truly novel proteins with genetically paired structural elements. He described studies in combinatorial protein engineering with enormous implications for both industrial and therapeutic applications of macromolecules.","['Huston, J S', 'George, A J']","['Huston JS', 'George AJ']","['Lexigen Pharmaceuticals Corp, 125 Hartwell Avenue, Lexington, MA 02421-3125, USA. jhuston@lexigenpharm.com']",['eng'],,"['Journal Article', 'Review']",Netherlands,Hum Antibodies,Human antibodies,9711270,"['0 (Antibodies)', '0 (Peptide Library)', '0 (Proteome)', '0 (Recombinant Fusion Proteins)', '0 (Recombinant Proteins)']",IM,"['Animals', 'Antibodies/*immunology', 'Binding Sites, Antibody', 'Combinatorial Chemistry Techniques', 'Humans', 'Peptide Library', '*Protein Engineering', 'Proteome', 'Recombinant Fusion Proteins/immunology', 'Recombinant Proteins/*immunology']",,2002/02/16 10:00,2002/04/19 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/04/19 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,Hum Antibodies. 2001;10(3-4):127-42.,,174,,,,,,,,,,,,,,,
11847117,NLM,MEDLINE,20020419,20190607,0261-4189 (Print) 0261-4189 (Linking),21,4,2002 Feb 15,Direct regulation of BCL-2 by FLI-1 is involved in the survival of FLI-1-transformed erythroblasts.,694-703,"Rearrangement of the FLI-1 locus with ensuing overexpression of FLI-1 is an early event in Friend murine leukemia virus-induced disease. When overexpressed in primary erythroblasts, FLI-1 blocks erythropoeitin (Epo)-induced terminal differentiation and inhibits apoptosis normally induced in response to Epo withdrawal. We show here that the survival-inducing property of FLI-1 is associated with increased transcription of BCL-2. We further show that FLI-1 binds BCL-2 promoter sequences in transformed erythroblasts, and in vitro studies identify specific FLI-1-binding sites essential for the transactivation of the BCL-2 promoter by FLI-1. Analysis of FLI-1 mutants showed a correlation between the ability of FLI-1 to transactivate BCL-2 promoter sequences and their ability to inhibit apoptosis in the absence of Epo. Moreover, inhibitor studies confirmed the essential role of BCL-2 for FLI-1-transformed erythroblast survival. Finally, enforced expression of BCL-2 was sufficient to promote survival and terminal differentiation of erythroblasts in the absence of Epo. These results show that BCL-2 is an in vivo target of FLI-1 in FLI-1-transformed erythroblasts and that its deregulated expression is instrumental in the survival of these cells.","['Lesault, Isabelle', 'Quang, Christine Tran', 'Frampton, Jon', 'Ghysdael, Jacques']","['Lesault I', 'Quang CT', 'Frampton J', 'Ghysdael J']","['CNRS UMR146, Institut Curie-Section de Recherche, Centre Universitaire, Bat. 110, 91405 Orsay, France.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,"['0 (DNA, Complementary)', '11096-26-7 (Erythropoietin)']",IM,"['Animals', 'Base Sequence', 'Cell Differentiation/drug effects', 'Cell Line', 'Cell Line, Transformed', 'Cell Survival/*physiology', 'Chickens', 'DNA, Complementary', 'Electrophoretic Mobility Shift Assay', 'Erythroblasts/cytology/*metabolism', 'Erythropoietin/pharmacology', 'Gene Expression Regulation/*physiology', '*Genes, bcl-2', 'Mice', 'Molecular Sequence Data', 'Precipitin Tests', 'Promoter Regions, Genetic', 'Quail', 'Up-Regulation/*physiology']",PMC125347,2002/02/16 10:00,2002/04/20 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/04/20 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,EMBO J. 2002 Feb 15;21(4):694-703. doi: 10.1093/emboj/21.4.694.,,,['10.1093/emboj/21.4.694 [doi]'],,,,,,,,,,,,,,
11847080,NLM,MEDLINE,20020722,20190513,1367-4803 (Print) 1367-4803 (Linking),18,2,2002 Feb,A cluster validity framework for genome expression data.,319-20,This paper presents a method for the assessment of expression cluster validity.,"['Azuaje, F']",['Azuaje F'],"['Department of Computer Science, Trinity College, Dublin 2, Ireland. Francisco.Azuaje@Cval.html']",['eng'],,['Journal Article'],England,Bioinformatics,"Bioinformatics (Oxford, England)",9808944,,IM,"['Cluster Analysis', 'Computational Biology', 'Data Interpretation, Statistical', 'Gene Expression Profiling/*statistics & numerical data', '*Genome, Human', 'Humans', 'Leukemia/genetics', 'Reproducibility of Results', 'Software']",,2002/02/16 10:00,2002/07/23 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/07/23 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,Bioinformatics. 2002 Feb;18(2):319-20. doi: 10.1093/bioinformatics/18.2.319.,,,['10.1093/bioinformatics/18.2.319 [doi]'],,,,,,,,,,,,,,
11847050,NLM,MEDLINE,20020326,20210604,0195-6108 (Print) 0195-6108 (Linking),23,2,2002 Feb,MR imaging characteristics of cranial bone marrow in adult patients with underlying systemic disorders compared with healthy control subjects.,248-54,"BACKGROUND AND PURPOSE: In young adults, hematopoietic bone marrow has usually converted to fatty marrow. Fat hyperintensity on T1-weighted MR images facilitates the evaluation of marrow abnormalities. Our purpose was to compare cranial marrow signal intensity patterns in adults with systemic disorders and in healthy subjects. METHODS: MR images in 25 adults with underlying systemic disorders (chronic anemia, lymphoma, leukemia, or other infiltrative processes) and 44 healthy aged-matched individuals were retrospectively reviewed. Calvarial and clival marrow signal intensity on sagittal T1-weighted images was graded relative to that of orbital fat, white matter (WM), and gray matter (GM). Marrow was classified as homogeneous (uniformly isointense), diffusely heterogeneous (mottled), or focally heterogeneous (generally isointense with a focal lesion). RESULTS: In 84% of the control subjects, bone marrow was iso- or hyperintense relative to WM. Patients had abnormal diploic (n = 22) or clival (n = 17) marrow; 22 had calvarial marrow that was hypointense relative to WM compared with that in seven healthy subjects (P <.001). Marrow hypointensity relative to WM was a sensitive (93%) and specific (86%) marker of pathologic abnormality. Although marrow hypointensity relative to GM was specific (96%), it was not sensitive (67%). Calvarial and clival marrow patterns, respectively, were homogeneous in 81% and 64% of control subjects and 76% and 60% of patients. Clival marrow intensity varied more than did calvarial intensity; therefore, clival criteria were less sensitive and accurate in systemic disease detection. CONCLUSION: Homogeneous diploic marrow hypointense relative to WM on non-contrast-enhanced T1-weighted images suggests an underlying systemic or hematologic disorder and requires appropriate clinical correlation and evaluation.","['Loevner, Laurie A', 'Tobey, Jennifer D', 'Yousem, David M', 'Sonners, Adina I', 'Hsu, Wendy C']","['Loevner LA', 'Tobey JD', 'Yousem DM', 'Sonners AI', 'Hsu WC']","['Department of Radiology, University of Pennsylvania Medical Center, 3400 Spruce Street, Philadelphia, PA 19104, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,AJNR Am J Neuroradiol,AJNR. American journal of neuroradiology,8003708,,IM,"['Adult', 'Aged', 'Anemia/*diagnosis', 'Bone Marrow/*pathology', 'Chronic Disease', 'Female', 'Humans', 'Leukemia/*diagnosis', 'Lymphoma/*diagnosis', '*Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Reference Values', 'Retrospective Studies', 'Single-Blind Method', 'Skull/*pathology']",PMC7975248,2002/02/16 10:00,2002/03/27 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/03/27 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,AJNR Am J Neuroradiol. 2002 Feb;23(2):248-54.,,,,,,,,,,,,,,,,,
11847029,NLM,MEDLINE,20020321,20151119,0007-4551 (Print) 0007-4551 (Linking),89,1,2002 Jan,[Update on malignant hemopathies].,75-88,"The beginning of this century was marked, in our specialty as in other, by two revolutions: the routine use of molecular biology tools for a better prognosis of the disease (flt3 receptor duplication in AML, mutational profile of Ig genes in CLL, gene expression profile with ARN chips in aggressive lymphomas.), and the discovery of ""intelligent"" molecules, targeting the tumoral cell. In this category, the most appealing is the STI571 (Gleevec , Novartis), targeting the molecular abnormality of the cells expressing bcr-abl protein: CML, ALL Ph1(+). Other molecules targeting signal transduction proteins (ras farnesylation inhibitors for example) are already in clinical trials. The increasing therapeutic use of monoclonal antibodies is also to be cited, with a special mention concerning the rituximab, used in several B lymphoid pathologies, from lymphoma to autoimmune diseases. His very good tolerance permits his use in ambulatory patients, and his combination with chemotherapy or his linkage with radioactive elements render this molecule indispensable. The other side of these molecules is their incredibly high cost, explaining the uncontrolled expenses in 2001 of hospitals hosting hematology as well as oncology activities.","['Ugo, Valerie', 'Legrand, Ollivier', 'Delmer, Alain', 'Rio, Bernard', 'Casadevall, Nicole', 'Marie, Jean-Pierre']","['Ugo V', 'Legrand O', 'Delmer A', 'Rio B', 'Casadevall N', 'Marie JP']","[""Departement d'hematologie et d'oncologie medicale, Hotel-Dieu, 75181 Paris Cedex 04 et Inserm EMI9912/EA1529, Paris 6.""]",['fre'],,"['English Abstract', 'Journal Article', 'Review']",France,Bull Cancer,Bulletin du cancer,0072416,"['0 (Benzamides)', '0 (Immunotoxins)', '0 (Piperazines)', '0 (Pyrimidines)', '5688UTC01R (Tretinoin)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Benzamides', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Imatinib Mesylate', 'Immunotoxins/therapeutic use', 'Leukemia, Lymphoid/therapy', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy', 'Leukemia, Myeloid/*therapy', 'Lymphoma/*therapy', 'Myelodysplastic Syndromes/classification/diagnosis/*therapy', 'Piperazines', 'Pyrimidines/therapeutic use', 'Tretinoin/therapeutic use']",,2002/02/16 10:00,2002/03/22 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/03/22 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,Bull Cancer. 2002 Jan;89(1):75-88.,Actualites sur les hemopathies malignes.,95,,,,,,,,,,,,,,,
11847008,NLM,MEDLINE,20030501,20181130,1525-8165 (Print) 1525-8165 (Linking),11,1,2002 Feb,Blood levels of angiogenin and vascular endothelial growth factor are elevated in myelodysplastic syndromes and in acute myeloid leukemia.,119-25,"Angiogenesis is of prognostic importance not only in solid tumors but also in malignant blood diseases. We measured levels of vascular endothelial growth factor (VEGF), angiogenin (ANG), and basic fibroblast growth factor (bFGF) in peripheral blood samples from 65 patients with myelodysplastic syndrome (MDS), from 25 patients with de novo acute myeloid leukemia (AML), and from 50 healthy donors. In matched samples, VEGF levels in serum were substantially higher than VEGF levels in plasma (380.7 +/- 56 pg/ml vs. 45.3 +/- 4.5 pg/ml, mean +/- SEM, p < 0.001), whereas serum and plasma levels of ANG were comparable and significantly correlated (r = 0.8; p < 0.01). Compared to normal controls (1.3 +/- 0.09 pg), serum levels of VEGF corrected for the peripheral blood platelet count (VEGF/10(6) platelets, VEGF(PLT)) were elevated in patients with refractory anemia (RA; 3.1 +/- 0.8 pg, p < 0.01), and reached maximal values in patients with advanced stage MDS (RAEB, RAEB-t) (3.5 +/- 0.6 pg, p < 0.001), de novo AML (3.6 +/- 1.1 pg, p < 0.05), and chronic myelomonocytic leukemia (CMML; 3.7 +/- 0.9 pg; p < 0.001). Levels of soluble ANG were elevated in RA (351 +/- 25.7 ng/ml, p < 0.001), in RAEB/RAEB-t (402 +/- 17.9 ng/ml; p < 0.001), in CMML (413.8 +/- 29.5 ng/ml; p < 0.001), and in patients with AML (305.1 +/- 17.1 ng/ml; p < 0.01, controls 255.4 +/- 8.1 ng/ml). Serum bFGF was neither elevated in MDS nor in AML patients. These results suggest that VEGF(PLT) is a marker of disease progression in MDS. Moreover, we show for the first time that elevated blood levels of ANG can be found in patients with myeloid malignancies, suggesting a role of ANG in the pathogenesis of these diseases.","['Brunner, B', 'Gunsilius, E', 'Schumacher, P', 'Zwierzina, H', 'Gastl, G', 'Stauder, R']","['Brunner B', 'Gunsilius E', 'Schumacher P', 'Zwierzina H', 'Gastl G', 'Stauder R']","['Division of Hematology and Oncology, University Hospital, Anichstrasse 35, 6020 Innsbruck, Austria.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Hematother Stem Cell Res,Journal of hematotherapy & stem cell research,100892915,"['0 (Endothelial Growth Factors)', '0 (Intercellular Signaling Peptides and Proteins)', '0 (Lymphokines)', '0 (Neoplasm Proteins)', '0 (Vascular Endothelial Growth Factor A)', '0 (Vascular Endothelial Growth Factors)', '103107-01-3 (Fibroblast Growth Factor 2)', 'EC 3.1.27.- (angiogenin)', 'EC 3.1.27.5 (Ribonuclease, Pancreatic)']",IM,"['Acute Disease', 'Case-Control Studies', 'Disease Progression', 'Endothelial Growth Factors/*blood/metabolism', 'Female', 'Fibroblast Growth Factor 2/blood', 'Humans', 'Intercellular Signaling Peptides and Proteins/*blood/metabolism', 'Leukemia, Myeloid/*blood/diagnosis/etiology', 'Lymphokines/*blood/metabolism', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*blood/diagnosis/etiology', 'Neoplasm Proteins/blood/metabolism', 'Ribonuclease, Pancreatic/*blood', 'Solubility', 'Vascular Endothelial Growth Factor A', 'Vascular Endothelial Growth Factors']",,2002/02/16 10:00,2003/05/02 05:00,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2003/05/02 05:00 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,J Hematother Stem Cell Res. 2002 Feb;11(1):119-25. doi: 10.1089/152581602753448586.,,,['10.1089/152581602753448586 [doi]'],,,,,,,,,,,,,,
11846985,NLM,MEDLINE,20020617,20051117,1079-9907 (Print) 1079-9907 (Linking),22,1,2002 Jan,ICSBP/IRF-8: its regulatory roles in the development of myeloid cells.,145-52,"Interferon (IFN) consensus sequence binding protein (ICSBP)/IFN regulatory factor (IRF)-8 is an IFNgamma-inducible transcription factor of the IRF family and regulates transcription through multiple target DNA elements, such as IFN-stimulated response element (ISRE), Ets/IRF composite element, and IFN-gamma activation site (GAS). ICSBP(-/-) mice are immunodeficient and susceptible to various pathogens. They have defects in the macrophage function, including the ability to induce interleukin-12 (IL-12) p40 and some IFN-gamma-responsible genes. In addition, ICSBP(-/-) mice develop a chronic myelogenous leukemia (CML)-like syndrome, where a systemic expansion of granulocytes is followed by a fatal blast crisis. ICSBP(-/-) mice harbor an increased number of myeloid progenitor cells, and the -/- progenitors preferentially give rise to granulocytes, although they cannot efficiently generate another descendant of the myeloid lineage, macrophages. Studies with myeloid progenitor cells have shown that ICSBP drives their differentiation toward macrophage, whereas it inhibits granulocyte differentiation. Furthermore, myeloid cells from ICSBP(-/-) mice are resistant to apoptosis. These results illustrate the mechanism by which the loss of ICSBP leads to immunodeficiency and CML-like syndrome and suggest ICSBP's critical role in the development of myeloid cells.","['Tamura, Tomohiko', 'Ozato, Keiko']","['Tamura T', 'Ozato K']","['Laboratory of Molecular Growth Regulation, National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, MD 20892, USA. tamurat@mail.nih.gov']",['eng'],,"['Journal Article', 'Review']",United States,J Interferon Cytokine Res,Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,9507088,"['0 (Interferon Regulatory Factors)', '0 (Repressor Proteins)', '0 (Trans-Activators)', '0 (Transcription Factors)', '0 (interferon regulatory factor-8)']",IM,"['Animals', 'Apoptosis', 'Cell Differentiation', 'Consensus Sequence', 'Gene Expression Regulation', 'Humans', 'Interferon Regulatory Factors', 'Mice', 'Mice, Knockout', 'Myeloid Cells/*immunology', 'Phosphorylation', 'Repressor Proteins/chemistry/genetics/*metabolism', 'Trans-Activators/physiology', 'Transcription Factors/genetics/*metabolism', 'Transcription, Genetic']",,2002/02/16 10:00,2002/06/18 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,J Interferon Cytokine Res. 2002 Jan;22(1):145-52. doi: 10.1089/107999002753452755.,,65,['10.1089/107999002753452755 [doi]'],,,,,,,,,,,,,,
11846984,NLM,MEDLINE,20020617,20081121,1079-9907 (Print) 1079-9907 (Linking),22,1,2002 Jan,IRF-4 activities in HTLV-I-induced T cell leukemogenesis.,135-43,"We summarize recent studies on the activation and regulation of interferon (IFN) regulatory factor-4 (IRF-4) and its function in activated T cells, human T cell lymphoma virus (HTLV-I)-infected T cells, and HTLV-I-induced adult T cell leukemia (ATL). We have examined the specific mechanisms underlying the expression and regulation of the IRF-4 transcription factor in HTLV-I-infected cells and have shown that constitutive IRF-4 expression is exclusive to the transformed, leukemic ATL phenotype as opposed to the nonleukemic HTLV-I associated myelopathies/tropical spastic paraparesis (HAM/TSP) phenotype. In contrast, IRF-4 is only transiently induced in T lymphocytes activated by signals that mimic stimulation through the T cell receptor (TCR). In vivo and in vitro analyses have identified several regulatory regions within the human IRF-4 promoter that interact with the transcriptional regulators NF-kappaB, NF-AT, and Sp-1 to drive IRF-4 production in HTLV-I-infected, ATL-derived cells. cDNA array analysis of an IRF-4-expressing T cell line has also provided valuable insight into potential IRF-4 target genes. Further investigation of these novel IRF-4-regulated genes will permit a mechanistic understanding of IRF-4 function in HTLV-I-induced leukemogenesis.","['Mamane, Yael', 'Sharma, Sonia', 'Grandvaux, Nathalie', 'Hernandez, Eduardo', 'Hiscott, John']","['Mamane Y', 'Sharma S', 'Grandvaux N', 'Hernandez E', 'Hiscott J']","['Terry Fox Molecular Oncology Group, Lady Davis Institute for Medical Research, and Department of Microbiology & Immunology, McGill University, Montreal, Canada.']",['eng'],,"['Journal Article', 'Review']",United States,J Interferon Cytokine Res,Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,9507088,"['0 (DNA-Binding Proteins)', '0 (HSP90 Heat-Shock Proteins)', '0 (Interferon Regulatory Factors)', '0 (Receptors, Antigen, T-Cell)', '0 (Transcription Factors)', '0 (interferon regulatory factor-4)', 'EC 5.2.1.- (Tacrolimus Binding Proteins)', 'EC 5.2.1.- (tacrolimus binding protein 4)']",IM,"['Animals', 'DNA-Binding Proteins/*metabolism', 'Gene Expression Regulation, Leukemic', 'HSP90 Heat-Shock Proteins/metabolism', 'Human T-lymphotropic virus 1/*pathogenicity', 'Humans', 'Interferon Regulatory Factors', 'Leukemia-Lymphoma, Adult T-Cell/genetics/*metabolism/virology', 'Promoter Regions, Genetic', 'Protein Processing, Post-Translational', 'Receptors, Antigen, T-Cell/metabolism', 'Signal Transduction', 'T-Lymphocytes/metabolism/virology', 'Tacrolimus Binding Proteins/metabolism', 'Transcription Factors/*metabolism', 'Transcriptional Activation']",,2002/02/16 10:00,2002/06/18 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/06/18 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,J Interferon Cytokine Res. 2002 Jan;22(1):135-43. doi: 10.1089/107999002753452746.,,72,['10.1089/107999002753452746 [doi]'],,,,,,,,,,,,,,
11846929,NLM,MEDLINE,20020327,20190513,0148-396X (Print) 0148-396X (Linking),49,6,2001 Dec,Delayed cerebrovascular complications of intrathecal colloidal gold.,1308-11; discussion 1311-2,"OBJECTIVE: Therapy with intrathecal colloidal gold has been used in the past as an adjunct in the treatment of childhood neoplasms, including medulloblastoma and leukemia. We describe the long-term follow-up period of a series of patients treated with intrathecal colloidal gold and emphasize the high incidence of delayed cerebrovascular complications and their management. METHODS: Between 1967 and 1970, 14 children with posterior fossa medulloblastoma underwent treatment at the University of Minnesota. Treatment consisted of surgical resection, external beam radiotherapy, and intrathecal colloidal gold. All patients underwent long-term follow-up periods. RESULTS: Of the 14 original patients, 6 died within 2 years of treatment; all experienced persistent or recurrent disease. The eight surviving patients developed significant neurovascular complications 5 to 20 years after treatment. Three patients died as a result of aneurysmal subarachnoid hemorrhage, and five developed ischemic symptoms from severe vasculopathy that resembled moyamoya disease. CONCLUSION: Although therapy with colloidal gold resulted in long-term survival in a number of cases of childhood medulloblastoma, our experience suggests that the severe cerebrovascular side effects fail to justify its use. The unique complications associated with colloidal gold therapy, as well as the management of these complications, are presented. We recommend routine screening of any long-term survivors to exclude the presence of an intracranial aneurysm and to document the possibility of moyamoya syndrome.","['Nussbaum, E S', 'Sebring, L A', 'Neglia, J P', 'Chu, R', 'Mattsen, N D', 'Erickson, D L']","['Nussbaum ES', 'Sebring LA', 'Neglia JP', 'Chu R', 'Mattsen ND', 'Erickson DL']","['Department of Neurological Surgery, University of Minnesota Hospital and Clinic, Minneapolis, Minnesota 55455, USA. nussb002@tc.umn.edu']",['eng'],,['Journal Article'],United States,Neurosurgery,Neurosurgery,7802914,['0 (Gold Colloid)'],IM,"['Adolescent', 'Adult', 'Aneurysm, Ruptured/chemically induced/pathology', 'Cause of Death', 'Cerebellar Neoplasms/*drug therapy/pathology', 'Cerebral Arteries/drug effects/pathology', 'Cerebrovascular Disorders/*chemically induced/pathology', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Gold Colloid/administration & dosage/*adverse effects', 'Humans', 'Injections, Spinal', 'Intracranial Aneurysm/chemically induced/pathology', 'Male', 'Medulloblastoma/*drug therapy/pathology', 'Moyamoya Disease/chemically induced/pathology', 'Subarachnoid Hemorrhage/chemically induced/pathology']",,2002/02/16 10:00,2002/03/28 10:01,['2002/02/16 10:00'],"['2001/03/19 00:00 [received]', '2001/07/05 00:00 [accepted]', '2002/02/16 10:00 [pubmed]', '2002/03/28 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,Neurosurgery. 2001 Dec;49(6):1308-11; discussion 1311-2. doi: 10.1097/00006123-200112000-00004.,,,['10.1097/00006123-200112000-00004 [doi]'],,,,,,,,,,,,,,
11846787,NLM,MEDLINE,20020319,20190620,0014-2956 (Print) 0014-2956 (Linking),269,3,2002 Feb,The processivity and fidelity of DNA synthesis exhibited by the reverse transcriptase of bovine leukemia virus.,859-67,"We have recently expressed in bacteria the enzymatically active reverse transcriptase (RT) of bovine leukemia virus (BLV) [Perach, M. & Hizi, A. (1999) Virology 259, 176-189]. In the present study, we have studied in vitro two features of the DNA polymerase activity of BLV RT, the processivity of DNA synthesis and the fidelity of DNA synthesis. These properties were compared with those of the well-studied RTs of human immunodeficiency virus type 1 (HIV-1) and murine leukaemia virus (MLV). Both the elongation of the DNA template and the processivity of DNA synthesis exhibited by BLV RT are impaired relative to the other two RTs studied. Two parameters of fidelity were studied, the capacity to incorporate incorrect nucleotides at the 3' end of the nascent DNA strand and the ability to extend these 3' end mispairs. BLV RT shows a fidelity of misinsertion higher than that of HIV-1 RT and lower than that of MLV RT. The pattern of mispair elongation by BLV RT suggests that the in vitro error proneness of BLV RT is closer to that of HIV-1 RT. These fidelity properties are discussed in the context of the various retroviral RTs studied so far.","['Avidan, Orna', 'Meer, Michal Entin', 'Oz, Iris', 'Hizi, Amnon']","['Avidan O', 'Meer ME', 'Oz I', 'Hizi A']","['Department of Cell Biology and Histology, Sackler School of Medicine, Tel Aviv University, Tel Aviv, Israel.']",['eng'],,['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (DNA, Viral)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",IM,"['Base Sequence', 'DNA, Viral/*biosynthesis', 'Leukemia Virus, Bovine/*genetics/*metabolism', 'Molecular Sequence Data', 'RNA-Directed DNA Polymerase/*metabolism']",,2002/02/16 10:00,2002/03/20 10:01,['2002/02/16 10:00'],"['2002/02/16 10:00 [pubmed]', '2002/03/20 10:01 [medline]', '2002/02/16 10:00 [entrez]']",ppublish,Eur J Biochem. 2002 Feb;269(3):859-67. doi: 10.1046/j.0014-2956.2001.02719.x.,,,"['2719 [pii]', '10.1046/j.0014-2956.2001.02719.x [doi]']",,,,,,,,,,,,,,
