PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,AID,TT,PMC,SI,CON,EIN,CIN,RIN,OID
2353161,NLM,MEDLINE,19900716,20190820,0036-5513 (Print) 0036-5513 (Linking),50,3,1990 May,"Effect of retinoids and 1,25(OH)2 vitamin D3 bound to their plasma transport proteins on growth and differentiation of HL-60 cells.",309-17,"We have compared the effect of physiological and pharmacological concentrations of retinoids and 1,25(OH)2 vitamin D3 bound to their plasma transport proteins upon the proliferation and differentiation of HL-60 cells. Concentrations of chylomicron remnant retinyl ester similar to that obtained in plasma after a vitamin A-rich meal reduced the proliferation in more than 50% of HL-60 cells. Pharmacological concentrations of chylomicron remnant retinyl ester completely blocked the proliferation of the cells, and induced differentiation in 60% of the cells after 5 days. Physiological and pharmacological concentrations of retinoic acid bound to albumin had comparable effects. In contrast to earlier published data, which have been obtained with retinoids dissolved in ethanol, our results suggest that physiological and pharmacological concentrations of retinol (i.e. retinyl esters in chylomicron remnants) are as active as retinoic acid in reduction of proliferation and induction of differentiation of HL-60 cells. Physiological concentrations of 1,25(OH)2 vitamin D3 bound to vitamin D-binding protein (DBP) and retinol bound to retinol-binding protein had only a small effect on differentiation and proliferation of HL-60 cells.","['Botilsrud, M', 'Holmberg, I', 'Wathne, K O', 'Blomhoff, H K', 'Norum, K R', 'Blomhoff, R']","['Botilsrud M', 'Holmberg I', 'Wathne KO', 'Blomhoff HK', 'Norum KR', 'Blomhoff R']","['Institute for Nutrition Research, School of Medicine, University of Oslo, Norway.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Scand J Clin Lab Invest,Scandinavian journal of clinical and laboratory investigation,0404375,"['0 (Carrier Proteins)', '0 (Retinoids)', '0 (Retinol-Binding Proteins)', '0 (Retinol-Binding Proteins, Plasma)', '0 (Serum Albumin)', '0 (Vitamin D-Binding Protein)', '11103-57-4 (Vitamin A)', '5688UTC01R (Tretinoin)', 'FXC9231JVH (Calcitriol)']",IM,"['Calcitriol/metabolism/*pharmacology', 'Carrier Proteins/*metabolism', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Humans', 'Leukemia, Promyelocytic, Acute/*pathology', 'Retinoids/metabolism/*pharmacology', 'Retinol-Binding Proteins/metabolism', 'Retinol-Binding Proteins, Plasma', 'Serum Albumin/metabolism', 'Tretinoin/metabolism/pharmacology', 'Tumor Cells, Cultured', 'Vitamin A/metabolism/pharmacology', 'Vitamin D-Binding Protein/metabolism']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Scand J Clin Lab Invest. 1990 May;50(3):309-17. doi: 10.3109/00365519009091584.,,['10.3109/00365519009091584 [doi]'],,,,,,,,
2352968,NLM,MEDLINE,19900717,20041117,0361-7742 (Print) 0361-7742 (Linking),337,,1990,Use of hemapheresis techniques in the management of major ABO incompatible bone marrow transplantation.,107-13,,"['Bussel, A', 'Reviron, J', 'Schenmetzler, C', 'Devergie, A', 'Gluckman, E']","['Bussel A', 'Reviron J', 'Schenmetzler C', 'Devergie A', 'Gluckman E']","['Saint-Louis Hospital, Paris, France.']",['eng'],['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (ABO Blood-Group System)', '0 (Isoantibodies)']",IM,"['ABO Blood-Group System/immunology', 'Anemia, Aplastic/blood/therapy', 'Blood Component Removal/*methods', 'Bone Marrow Transplantation/*immunology', 'Erythrocyte Count', 'Humans', 'Isoantibodies/blood/isolation & purification', 'Leukemia/blood/therapy', 'Plasma Exchange', 'Thalassemia/blood/therapy']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1990;337:107-13.,,,,,,,,,,
2352928,NLM,MEDLINE,19900719,20190501,0027-8424 (Print) 0027-8424 (Linking),87,12,1990 Jun,Specific inhibition of interleukin 3 bioactivity by a monoclonal antibody reactive with hematopoietic progenitor cells.,4449-52,"HIM1, originally designated HI98, a murine monoclonal IgM antibody raised against human mononuclear cells, has been reported at the Fourth International Leukocyte Typing Workshop (called antibody M0141) to be the only one of 157 antibodies tested that inhibited binding of interleukin 3 (IL-3) to KG-1 human acute myelogenous leukemia cells and normal human monocytes. We have carried out detailed studies of the selective effect of HIM1 on IL-3-mediated stimulation of hematopoietic progenitors. Preincubation of normal human bone marrow mononuclear cells, depleted of adherent cells and T cells, with HIM1 antibody resulted in a dose-dependent inhibition of IL-3-mediated stimulation of both erythroid burst-forming units (maximum inhibition 55%) and granulocyte/macrophage colony-forming units (maximum inhibition 49%). HIM1 antibody had no effect on growth of erythroid colony-forming units in culture. In addition, preincubation of the cells with HIM1 antibody had no deleterious effect on granulocyte/macrophage colony-stimulating factor-induced growth of either erythroid bursts or granulocyte/macrophage colonies. To be certain that the HIM1 antibody did not react directly with IL-3 itself, we attempted to use immunodepletion to remove IL-3 that had been added to our culture medium. Although we were able to remove IL-3 bioactivity by immunodepletion with anti-IL-3 antibody bound to Sepharose beads, beads with attached HIM1 did not remove IL-3 activity from the medium. Polymorphonuclear neutrophils bind high levels of HIM1, although they have very few or no detectable IL-3 receptors. Therefore, this antibody appears to recognize a cell surface antigen that is critical for optimal IL-3 binding and bioactivity but is not the actual IL-3 receptor.","['Emanuel, P D', 'Peiper, S C', 'Chen, Z', 'Sheng, D C', 'Zuckerman, K S']","['Emanuel PD', 'Peiper SC', 'Chen Z', 'Sheng DC', 'Zuckerman KS']","['Department of Medicine, University of Alabama, Birmingham 35294.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antibodies, Monoclonal)', '0 (Antigen-Antibody Complex)', '0 (Interleukin-3)']",IM,"['*Antibodies, Monoclonal', 'Antigen-Antibody Complex', 'Binding Sites', 'Cells, Cultured', 'Hematopoietic Stem Cells/cytology/*immunology', 'Humans', 'Interleukin-3/antagonists & inhibitors/immunology/*metabolism', 'Kinetics']",1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1990 Jun;87(12):4449-52. doi: 10.1073/pnas.87.12.4449.,"['DK07488/DK/NIDDK NIH HHS/United States', 'DK08408/DK/NIDDK NIH HHS/United States', 'DK41935/DK/NIDDK NIH HHS/United States']",['10.1073/pnas.87.12.4449 [doi]'],,PMC54132,,,,,,
2352925,NLM,MEDLINE,19900719,20190501,0027-8424 (Print) 0027-8424 (Linking),87,12,1990 Jun,Introduction of the beta isozyme of protein kinase C accelerates induced differentiation of murine erythroleukemia cells.,4417-20,"Induction of differentiation in murine erythroleukemia cells (MELCs) involves a protein kinase C (PKC)-mediated step. Vincristine-resistant cells respond more rapidly to hybrid polar/apolar inducers than the parental cells. These vincristine-resistant MELCs contain elevated levels of the beta isozyme of PKC (PKC-beta). Exogenous homologous murine PKC-beta, incorporated into permeabilized MELCs, accelerates induced differentiation. Neither rat PKC-beta, nor mouse PKC-alpha, nor rat PKC-alpha, incorporated into permeabilized MELCs, is effective in altering the kinetics of induced differentiation. This provides direct evidence for a rate-limiting role for this PKC isozyme during N,N'-hexamethylenebisacetamide-mediated induced differentiation of a transformed cell.","['Melloni, E', 'Pontremoli, S', 'Sparatore, B', 'Patrone, M', 'Grossi, F', 'Marks, P A', 'Rifkind, R A']","['Melloni E', 'Pontremoli S', 'Sparatore B', 'Patrone M', 'Grossi F', 'Marks PA', 'Rifkind RA']","['Institute of Biological Chemistry, University of Genoa, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Acetamides)', '0 (Isoenzymes)', '5J49Q6B70F (Vincristine)', 'EC 2.7.11.13 (Protein Kinase C)', 'LA133J59VU (hexamethylene bisacetamide)']",IM,"['Acetamides/pharmacology', 'Animals', 'Brain/enzymology', 'Cell Differentiation', 'Cell Line', 'Drug Resistance', 'Isoenzymes/isolation & purification/*metabolism', 'Kinetics', 'Leukemia, Erythroblastic, Acute', 'Leukemia, Experimental', 'Mice', 'Protein Kinase C/isolation & purification/*metabolism', 'Rats', 'Tumor Cells, Cultured/*cytology/drug effects/enzymology', 'Vincristine/pharmacology']",1990/06/01 00:00,1990/06/01 00:01,['1990/06/01 00:00'],"['1990/06/01 00:00 [pubmed]', '1990/06/01 00:01 [medline]', '1990/06/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1990 Jun;87(12):4417-20. doi: 10.1073/pnas.87.12.4417.,['CA-08748/CA/NCI NIH HHS/United States'],['10.1073/pnas.87.12.4417 [doi]'],,PMC54125,,,,,,
2352821,NLM,MEDLINE,19900716,20131121,0891-3668 (Print) 0891-3668 (Linking),9,5,1990 May,Severe systemic cryptococcal disease in a child: review of prognostic indicators predicting treatment failure and an approach to maintenance therapy with oral fluconazole.,363-8,,"['Moncino, M D', 'Gutman, L T']","['Moncino MD', 'Gutman LT']","['Division of Hematology-Oncology, Duke University Medical Center, Durham, NC 27710.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Pediatr Infect Dis J,The Pediatric infectious disease journal,8701858,"['7XU7A7DROE (Amphotericin B)', '8VZV102JFY (Fluconazole)']",IM,"['Administration, Oral', 'Amphotericin B/therapeutic use', 'Child', 'Cryptococcosis/complications/*drug therapy', 'Female', 'Fluconazole/administration & dosage/*therapeutic use', 'Humans', 'Opportunistic Infections/complications/*drug therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Prognosis', 'Recurrence']",1990/05/01 00:00,1990/05/01 00:01,['1990/05/01 00:00'],"['1990/05/01 00:00 [pubmed]', '1990/05/01 00:01 [medline]', '1990/05/01 00:00 [entrez]']",ppublish,Pediatr Infect Dis J. 1990 May;9(5):363-8.,['5-U10-CA-15525-16/CA/NCI NIH HHS/United States'],,,,,,,,,
2352796,NLM,MEDLINE,19900718,20190828,0301-0449 (Print) 0301-0449 (Linking),20,3,1990,MRI of the knee region in leukemic children. Part I. Initial pattern in patients with untreated disease.,179-83,"The results of MRI studies performed on the medullary cavity in the knee region of 15 children with leukemia and 5 healthy children are reported. By the age of a few years the signal intensities and the relaxation times of bone marrow begin to resemble fat. Early leukemic infiltration can therefore be more easily recognised in the knee region than in the spine using simple T1 weighted Spin-Echo images. We observed an abnormal signal pattern in all our patients which fell into three groups: (a) diffuse uniform (b) diffuse non-uniform and (c) patchy. We have not been able to correlate these into age, sex or the risk factor determined by clinical or laboratory methods. The diffuse patterns seem to dominate in cases of ALL, the patchy forms in AML. No correlation could be found between the blast levels established by the iliac crest biopsy and the results of MRI.","['Bohndorf, K', 'Benz-Bohm, G', 'Gross-Fengels, W', 'Berthold, F']","['Bohndorf K', 'Benz-Bohm G', 'Gross-Fengels W', 'Berthold F']","['Department of Radiology and University of Cologne, FRG.']",['eng'],['Journal Article'],Germany,Pediatr Radiol,Pediatric radiology,0365332,,IM,"['Adolescent', 'Bone Marrow Examination/*methods', 'Child', 'Child, Preschool', 'Female', 'Femur/pathology', 'Humans', 'Knee/*pathology', 'Leukemia, Myeloid, Acute/*pathology', '*Magnetic Resonance Imaging', 'Male', 'Patella/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology', 'Tibia/pathology']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Pediatr Radiol. 1990;20(3):179-83. doi: 10.1007/BF02012967.,,['10.1007/BF02012967 [doi]'],,,,,,,,
2352781,NLM,MEDLINE,19900719,20061115,0031-2991 (Print) 0031-2991 (Linking),,1,1990 Jan-Feb,[The effect of blast cells on blood coagulation in patients with acute leukemia].,43-5,The authors studied the effect of blast cells on coagulation of blood in patients with various forms of acute leukemia. It was found that blast cells are capable of producing a hypocoagulation effect on blood coagulation through primary activation of fibrinolysis. This property of blast cells did not depend on the form of acute leukemia.,"['Rozanova, L S', 'Sukhanov, V A', 'Makhanek, A O']","['Rozanova LS', 'Sukhanov VA', 'Makhanek AO']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Patol Fiziol Eksp Ter,Patologicheskaia fiziologiia i eksperimental'naia terapiia,0376421,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Blood Cells/*physiology', '*Blood Coagulation', 'Blood Coagulation Tests/methods', 'Female', 'Fibrinolysis/physiology', 'Humans', 'Leukemia/*blood', 'Male', 'Middle Aged', 'Veins']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Patol Fiziol Eksp Ter. 1990 Jan-Feb;(1):43-5.,,,Vliianie blastnykh kletok na svertyvanie krovi u bol'nykh ostrym leikozom.,,,,,,,
2352757,NLM,MEDLINE,19900713,20071115,0030-932X (Print) 0030-932X (Linking),29,2,1990,Growth and Sm-C/IGF-I concentrations in children with acute leukemia (AL) and non-Hodgkin-lymphoma following cranial 60 cobalt or craniospinal gold (198 Au) irradiation.,99,,"['Hesse, V', 'Reska, S', 'Fuchs, D', 'Jahreis, G', 'Zintl, F']","['Hesse V', 'Reska S', 'Fuchs D', 'Jahreis G', 'Zintl F']","['Department of Paediatrics, Friedrich-Schiller-University of Jena, DDR.']",['eng'],['Journal Article'],Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,"['0 (Somatomedins)', '67763-96-6 (Insulin-Like Growth Factor I)']",IM,"['Child', 'Combined Modality Therapy', '*Growth', 'Humans', 'Insulin-Like Growth Factor I/*analysis', 'Lymphoma, Non-Hodgkin/blood/*physiopathology/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*physiopathology/therapy', 'Somatomedins/*analysis']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Padiatr Grenzgeb. 1990;29(2):99.,,,,,,,,,,
2352756,NLM,MEDLINE,19900713,20181130,0030-932X (Print) 0030-932X (Linking),29,2,1990,Growth hormone secretion in children after therapy for acute lymphoblastic leukaemia.,95-7,"In eight children, after the termination of therapy for acute lymphoblastic leukaemia (ALL) the secretion of growth hormone (GH) was determined by the stimulation test with clonidine. The children were treated in the period from 1983 till 1988 and they were administered chemotherapy, intrathecal methotrexate therapy and cranial irradiation 60CO in a dose of 1800 rads. In one case a complete GH deficiency was found, in three cases there was a partial deficiency and in the remaining cases the secretion was regular. No correlation was found between the biochemical values of GH and the clinical stature. There was also no interrelation between the duration of therapy (chemotherapy) and the degree of pituitary gland failure. We have compared the results of GH output in children treated for ALL with those of 44 children in whom short stature was diagnosed. The age in both groups was similar.","['Pawlaczyk, B', 'Krause, W']","['Pawlaczyk B', 'Krause W']","['Institute of Pediatrics, Poznan, Poland.']",['eng'],"['Comparative Study', 'Journal Article']",Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,"['9002-72-6 (Growth Hormone)', 'MN3L5RMN02 (Clonidine)']",IM,"['Child', 'Child, Preschool', 'Clonidine', 'Combined Modality Therapy', 'Female', 'Growth Hormone/blood/deficiency/drug effects/*metabolism', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood/therapy', 'Time Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Padiatr Grenzgeb. 1990;29(2):95-7.,,,,,,,,,,
2352755,NLM,MEDLINE,19900713,20071115,0030-932X (Print) 0030-932X (Linking),29,2,1990,[The effect of different ALL therapeutic protocols on body height and the growth rate].,87-93,"Adult height in 20 patients, successfully treated for childhood leukemia, led to reduced height less than 2 standard deviations (S.D.). The loss in projected final height of 0.8 S.D. was mainly due to intensity of maintenance therapy of protocol LSA2L2 (14). In contrast, less intensive maintenance therapy (6-MP and MTX) of protocol BFM 81 (13) showed a transient growth spurt. Final height equals projected target height. Neither 18-Gy nor gold-198 intrathecally compromised final height.","['Mohnike, K', 'Dorffel, W', 'Kluba, U', 'Mittler, U', 'Aumann, V', 'Roppnack, R']","['Mohnike K', 'Dorffel W', 'Kluba U', 'Mittler U', 'Aumann V', 'Roppnack R']","['Klinik fur Kinderheilkunde, Medizinische Akademie Magdeburg.']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,,IM,"['Body Height/*physiology', 'Child', 'Combined Modality Therapy', 'Female', 'Growth/*physiology', 'Humans', 'Lymphoma, Non-Hodgkin/physiopathology/therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*physiopathology/therapy', 'Time Factors']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Padiatr Grenzgeb. 1990;29(2):87-93.,,,Einfluss unterschiedlicher ALL-Therapieprotokolle auf Korperlange und Wachstumsgeschwindigkeit.,,,,,,,
2352754,NLM,MEDLINE,19900713,20071115,0030-932X (Print) 0030-932X (Linking),29,2,1990,[The effect of combined ALL therapy in childhood on body growth].,81-5,"Female ALL long-term survivors who received cranial telecobalt radiation under the conditions of Therapy Study III of the Study Group on ""Paediatric Haematology/Oncology"" showed a significant reduction in adult height. On completion of therapy a drop in growth can already be observed in female ALL patients. This limitation on growth can probably be attributed to a disturbance in the hypothalamus-hypophysis system and to reduced GH secretion as a result of radiation.","['Reddemann, H', 'Beyer, B']","['Reddemann H', 'Beyer B']","['Hamatologisch/Onkologische Abt., Ernst-Moritz-Arndt-Universitat, Greifswald.']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,,IM,"['Body Height/*physiology', 'Child', 'Combined Modality Therapy', 'Female', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*physiopathology/therapy', 'Retrospective Studies', 'Sex Characteristics']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Padiatr Grenzgeb. 1990;29(2):81-5.,,,Zum Einfluss der komplexen ALL-Therapie im Kindesalter auf das Korperwachstum.,,,,,,,
2352737,NLM,MEDLINE,19900713,20071115,0030-932X (Print) 0030-932X (Linking),29,2,1990,[The results of a follow-up of adult male patients following cranial irradiation because of malignant diseases in childhood].,101-6,,"['Keller, E', 'Glander, G', 'Sorger, D', 'Stach, B', 'Domula, M', 'Hoepffner, W', 'Willgerodt, H']","['Keller E', 'Glander G', 'Sorger D', 'Stach B', 'Domula M', 'Hoepffner W', 'Willgerodt H']","['Klinik fur Kindermedizin, Karl-Marx-Universitat, Leipzig.']",['ger'],['Journal Article'],Germany,Padiatr Grenzgeb,Padiatrie und Grenzgebiete,0401115,,IM,"['Child', 'Combined Modality Therapy', 'Follow-Up Studies', 'Growth/physiology/radiation effects', 'Histiocytosis, Langerhans-Cell/*physiopathology/radiotherapy', 'Humans', 'Lymphoma, Non-Hodgkin/*physiopathology/radiotherapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*physiopathology/radiotherapy', 'Skull/*radiation effects', 'Testis/physiopathology/radiation effects']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Padiatr Grenzgeb. 1990;29(2):101-6.,,,Kurzbericht uber Nachuntersuchungsergebnisse von erwachsenen mannlichen Patienten nach Schadelbestrahlung wegen maligner Erkrankungen im Kindesalter.,,,,,,,
2352328,NLM,MEDLINE,19900713,20210208,0022-538X (Print) 0022-538X (Linking),64,7,1990 Jul,Epstein-Barr virus nuclear antigen 2 transactivates latent membrane protein LMP1.,3407-16,"Several lines of evidence are compatible with the hypothesis that Epstein-Barr virus (EBV) nuclear antigen 2 (EBNA-2) or leader protein (EBNA-LP) affects expression of the EBV latent infection membrane protein LMP1. We now demonstrate the following. (i) Acute transfection and expression of EBNA-2 under control of simian virus 40 or Moloney murine leukemia virus promoters resulted in increased LMP1 expression in P3HR-1-infected Burkitt's lymphoma cells and the P3HR-1 or Daudi cell line. (ii) Transfection and expression of EBNA-LP alone had no effect on LMP1 expression and did not act synergistically with EBNA-2 to affect LMP1 expression. (iii) LMP1 expression in Daudi and P3HR-1-infected cells was controlled at the mRNA level, and EBNA-2 expression in Daudi cells increased LMP1 mRNA. (iv) No other EBV genes were required for EBNA-2 transactivation of LMP1 since cotransfection of recombinant EBNA-2 expression vectors and genomic LMP1 DNA fragments enhanced LMP1 expression in the EBV-negative B-lymphoma cell lines BJAB, Louckes, and BL30. (v) An EBNA-2-responsive element was found within the -512 to +40 LMP1 DNA since this DNA linked to a chloramphenicol acetyltransferase reporter gene was transactivated by cotransfection with an EBNA-2 expression vector. (vi) The EBV type 2 EBNA-2 transactivated LMP1 as well as the EBV type 1 EBNA-2. (vii) Two deletions within the EBNA-2 gene which rendered EBV transformation incompetent did not transactivate LMP1, whereas a transformation-competent EBNA-2 deletion mutant did transactivate LMP1. LMP1 is a potent effector of B-lymphocyte activation and can act synergistically with EBNA-2 to induce cellular CD23 gene expression. Thus, EBNA-2 transactivation of LMP1 amplifies the biological impact of EBNA-2 and underscores its central role in EBV-induced growth transformation.","['Wang, F', 'Tsang, S F', 'Kurilla, M G', 'Cohen, J I', 'Kieff, E']","['Wang F', 'Tsang SF', 'Kurilla MG', 'Cohen JI', 'Kieff E']","['Department of Medicine, Harvard Medical School, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Antigens, Viral)', '0 (EBV-associated membrane antigen, Epstein-Barr virus)', '0 (Epstein-Barr Virus Nuclear Antigens)', '0 (Trans-Activators)', '0 (Viral Matrix Proteins)', '0 (Viral Structural Proteins)']",IM,"['Antigens, Viral/*genetics/*physiology', 'B-Lymphocytes/*physiology', 'Blotting, Western', 'Cell Division', 'Cell Transformation, Viral', 'Cloning, Molecular', 'Epstein-Barr Virus Nuclear Antigens', '*Gene Expression Regulation, Viral', 'Genes, Viral', 'Humans', 'In Vitro Techniques', 'Regulatory Sequences, Nucleic Acid', 'Trans-Activators/*physiology', '*Viral Matrix Proteins', 'Viral Structural Proteins/genetics']",1990/07/01 00:00,1990/07/01 00:01,['1990/07/01 00:00'],"['1990/07/01 00:00 [pubmed]', '1990/07/01 00:01 [medline]', '1990/07/01 00:00 [entrez]']",ppublish,J Virol. 1990 Jul;64(7):3407-16. doi: 10.1128/JVI.64.7.3407-3416.1990.,"['CA01395/CA/NCI NIH HHS/United States', 'CA01417/CA/NCI NIH HHS/United States', 'CA17006/CA/NCI NIH HHS/United States']",['10.1128/JVI.64.7.3407-3416.1990 [doi]'],,PMC249594,,,,,,
2352316,NLM,MEDLINE,19900719,20150901,0257-5655 (Print) 0257-5655 (Linking),6,2,1990 Feb,Inhibitory effects of isoquinoline-type alkaloids on leukemic cell growth and macromolecule biosynthesis.,58-65,"A number of benzylisoquinoline alkaloids of plants indigenous to Taiwan were isolated and purified and their chemical structures were determined. These compounds, namely benzyltetrahydroisoquinolines or their N-oxides, aporphines, oxoaporphines and 1-N, N-dimethylaminoethylphenanthrenes or their N-oxides, were studied for their potency in inhibiting precursor incorporation into DNA, RNA and protein. Inhibition of murine leukemic L1210 and human leukemic CCRF-CEM and HL-60 cell growth was also examined. Of the compounds evaluated for cell growth inhibition, (+-)-N-methylcoclaurine(3), (-)-norannuradhapurine HBr(19), oxoglaucine (23), dicentrine methine (27) and 1-(N-methyl-N-hydroxyaminoethyl)-3, 4-methylenedioxy-7-methoxyphenanthrene (28) showed an IC50 less than 10 microM.","['Tzeng, C C', 'Wu, Y C', 'Su, T L', 'Watanabe, K A', 'Lu, S T', 'Chou, T C']","['Tzeng CC', 'Wu YC', 'Su TL', 'Watanabe KA', 'Lu ST', 'Chou TC']","['School of Pharmacy, Kaohsiung Medical College, Taiwan, Republic of China.']",['eng'],['Journal Article'],China (Republic : 1949- ),Gaoxiong Yi Xue Ke Xue Za Zhi,Gaoxiong yi xue ke xue za zhi = The Kaohsiung journal of medical sciences,8603880,"['0 (Alkaloids)', '0 (Antineoplastic Agents, Phytogenic)', '0 (DNA, Neoplasm)', '0 (Isoquinolines)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)']",IM,"['Alkaloids/*pharmacology', 'Animals', '*Antineoplastic Agents, Phytogenic', 'Cell Division/drug effects', 'Chemical Phenomena', 'Chemistry', 'DNA, Neoplasm/biosynthesis', 'Humans', 'Isoquinolines/*pharmacology', 'Leukemia/metabolism/*pathology', 'Leukemia L1210/metabolism/pathology', 'Mice', 'Neoplasm Proteins/biosynthesis', 'RNA, Neoplasm/biosynthesis', 'Tumor Cells, Cultured/drug effects/pathology']",1990/02/01 00:00,1990/02/01 00:01,['1990/02/01 00:00'],"['1990/02/01 00:00 [pubmed]', '1990/02/01 00:01 [medline]', '1990/02/01 00:00 [entrez]']",ppublish,Gaoxiong Yi Xue Ke Xue Za Zhi. 1990 Feb;6(2):58-65.,,,,,,,,,,
2352153,NLM,MEDLINE,19900716,20190710,0022-3549 (Print) 0022-3549 (Linking),79,4,1990 Apr,In the search for new anticancer drugs. XXII: Synthesis and anticancer evaluation of some dipeptides containing N-nitrosochloroethylamino and chloroethylamino moieties.,369-70,,"['Sosnovsky, G', 'Rao, N U']","['Sosnovsky G', 'Rao NU']","['Department of Chemistry, University of Wisconsin-Milwaukee 53201.']",['eng'],['Journal Article'],United States,J Pharm Sci,Journal of pharmaceutical sciences,2985195R,"['0 (Amino Acids)', '0 (Antineoplastic Agents)', '0 (Dipeptides)', '0 (Nitrogen Mustard Compounds)', '0 (Nitroso Compounds)']",IM,"['Amino Acids/*chemical synthesis/pharmacology', 'Animals', 'Antineoplastic Agents/*chemical synthesis', 'Dipeptides/*chemical synthesis/pharmacology', 'Leukemia L1210/*drug therapy', 'Male', 'Mice', 'Mice, Inbred Strains', 'Nitrogen Mustard Compounds/*chemical synthesis/pharmacology', 'Nitroso Compounds/*chemical synthesis/pharmacology', 'Spectrophotometry, Ultraviolet']",1990/04/01 00:00,1990/04/01 00:01,['1990/04/01 00:00'],"['1990/04/01 00:00 [pubmed]', '1990/04/01 00:01 [medline]', '1990/04/01 00:00 [entrez]']",ppublish,J Pharm Sci. 1990 Apr;79(4):369-70. doi: 10.1002/jps.2600790421.,,"['S0022-3549(15)48214-0 [pii]', '10.1002/jps.2600790421 [doi]']",,,,,['J Pharm Sci 1990 Dec;79(12):1126'],,,
