PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,CI,GR,EIN,CIN,SI,PMC,CRF,CON,LID,DEP,OID,OTO,OT,GN,IR,FIR,IRAD
10685656,NLM,MEDLINE,20000302,20071115,1081-4442 (Print) 1081-4442 (Linking),6 Suppl 1,,2000 Feb,Immunotherapy with interleukin-2 after hematopoietic cell transplantation for hematologic malignancy.,S33-8,"PURPOSE: The results of trials using interleukin (IL)-2-based therapy in leukemia and after hematopoietic stem cell transplant suggest that such therapy could have an impact on preventing disease relapse in patients with hematologic malignancy who achieve a minimal disease state. The use of immunotherapy in the autologous transplant setting is modeled in part on the well-characterized immunotherapeutic effect of the graft-versus-tumor response in patients undergoing allogeneic transplantation. The graft-versus-tumor response, mediated by donor cells, contributes to the higher cure rates seen in patients undergoing allogeneic transplant for the treatment of a variety of hematologic malignancies, including acute and chronic myelogenous and lymphoblastic leukemia, myeloma, and lymphoma PATIENTS AND METHODS: The literature was reviewed, and we relate our own clinical experience with IL-2 therapy in this setting. RESULTS: Preclinical in vitro and animal data show a variety of leukemia cells are sensitive to autologous IL-2-activated effector cells. In addition, laboratory studies show that IL-2 can be used to activate antitumor cellular responses from bone marrow and peripheral blood without compromising hematopoiesis. Most importantly, in vitro studies show that chemoresistant malignant hematopoietic cells are sensitive to IL-2-induced cell death, thus emphasizing the lack of cross resistance to immunologic-based therapeutics. The results of phase I and II studies conducted in patients with acute myelogenous leukemia in first or subsequent remission suggest that autologous IL-2-activated cells may mediate an antitumor response and aid in preventing relapse after autologous transplantation. Clinical trials to determine the role of IL-2 after transplantation for the treatment of acute and chronic myelogenous leukemia, multiple myeloma, and lymphoma are ongoing. CONCLUSION: These studies will help define the optimal dose and schedule of IL-2 and its role in augmenting therapeutic immune-mediated autologous responses.","['Margolin, K', 'Forman, S J']","['Margolin K', 'Forman SJ']","['Department of Medical Oncology and Therapeutics Research, City of Hope National Medical Center, Duarte, California 91010, USA.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer J Sci Am,The cancer journal from Scientific American,9513568,['0 (Interleukin-2)'],IM,"['Adult', 'Hematopoiesis', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Interleukin-2/adverse effects/*therapeutic use', 'Leukemia, Myeloid, Acute/*therapy', 'Middle Aged', 'Transplantation, Autologous']",,2000/02/24 09:00,2000/03/04 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/04 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Cancer J Sci Am. 2000 Feb;6 Suppl 1:S33-8.,,,,"['CA 33572/CA/NCI NIH HHS/United States', 'PPG CA 30206/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,
10685631,NLM,MEDLINE,20000303,20190722,0046-8177 (Print) 0046-8177 (Linking),31,2,2000 Feb,Expression of Bcl-2 familial proteins is reduced in small bile duct lesions of primary biliary cirrhosis.,179-84,"In primary biliary cirrhosis, biliary epithelial cell death by apoptosis results in progressive bile duct loss. We examined immunohistochemically 4 apoptosis-regulating bcl-2 familial proteins (bcl-2, mcl-1, bcl-X, and bax) in the biliary epithelium in 19 cases of primary biliary cirrhosis. Ten cases of chronic hepatitis C, 9 cases of extrahepatic biliary obstruction, and 10 cases of normal liver were used as a control. Bcl-2 and mcl-1 are inhibitors of apoptosis, bcl-X, probably bcl-XL in biliary epithelial cells, an inhibitor, and bax, a promoter of apoptosis. First, we clarified the distribution of bcl-2 familial proteins on the intrahepatic biliary tree in normal livers. Bcl-2 was detected in the interlobular bile ducts and bile ductules, but not in the large and septal bile ducts in all cases examined. Mcl-1, bcl-X, and bax were diffusely detectable at the any level of the intrahepatic biliary tree, with a staining pattern that was diffuse and cytoplasmic. This distribution pattern was preserved in extrahepatic biliary obstruction. Bcl-2 expression was lost or markedly reduced in the damaged interlobular bile ducts in primary biliary cirrhosis, whereas the reduction was only focal or mild in the bile ducts with hepatitis-associated damage in chronic hepatitis C. Expression levels of mcl-1, bcl-X, and bax were similarly reduced to that of bcl-2 in these 2 diseases. These findings suggest that bax is not important as a proapoptotic factor in the damaged bile ducts and that downregulation of bcl-2 and mcl-1, and probably that of bcl-XL, leads to a decrease in the threshold of apoptosis and increase in the vulnerability to apoptotic stimuli in these bile ducts, followed by the progressive apoptotic loss of interlobular bile ducts, in primary biliary cirrhosis.","['Iwata, M', 'Harada, K', 'Kono, N', 'Kaneko, S', 'Kobayashi, K', 'Nakanuma, Y']","['Iwata M', 'Harada K', 'Kono N', 'Kaneko S', 'Kobayashi K', 'Nakanuma Y']","['Second Department of Pathology, Kanazawa University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hum Pathol,Human pathology,9421547,"['0 (BAX protein, human)', '0 (BCL2L1 protein, human)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-2-Associated X Protein)', '0 (bcl-X Protein)']",IM,"['Apoptosis', 'Bile Ducts/*chemistry', 'Cholestasis, Extrahepatic/metabolism', 'Cytoplasm/chemistry', 'Epithelium/chemistry', 'Female', 'Hepatitis C/metabolism', 'Humans', 'Immunohistochemistry', 'Liver Cirrhosis, Biliary/*metabolism', 'Male', 'Middle Aged', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/analysis', 'Proto-Oncogene Proteins/analysis', 'Proto-Oncogene Proteins c-bcl-2/*analysis', 'bcl-2-Associated X Protein', 'bcl-X Protein']",,2000/02/24 09:00,2000/03/11 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Hum Pathol. 2000 Feb;31(2):179-84. doi: 10.1016/s0046-8177(00)80217-8.,,"['S0046-8177(00)80217-8 [pii]', '10.1016/s0046-8177(00)80217-8 [doi]']",,,,,,,,,,,,,,,,,
10685629,NLM,MEDLINE,20000303,20190722,0046-8177 (Print) 0046-8177 (Linking),31,2,2000 Feb,Unusual bone marrow manifestations of parvovirus B19 infection in immunocompromised patients.,161-8,"Parvovirus B19 is responsible for a spectrum of disease in humans. The usual bone marrow findings in acute parvovirus infections are marked erythroid hypoplasia and occasional giant erythroblasts. Intranuclear inclusions in developing erythroid precursors are rarely described in children or adults with parvovirus infection, although abundant intranuclear inclusions are commonly observed in the placenta and other tissues in infected fetuses. In this study, 8 patients are reported in whom the first evidence of parvovirus infection was the recognition of numerous intranuclear inclusions in erythroid precursors on bone marrow biopsy sections. Six of the 8 patients had documented immunodeficiencies; 4 had acquired immune deficiency syndrome (AIDS), and 2 were on chemotherapy. Five of 7 patients were negative for immunoglobulin G (IgG) antiparvovirus antibodies, including all 4 with AIDS. Unlike the typical pattern in parvovirus infection, the bone marrow was hypercellular in most of the patients, and erythroid precursors were usually increased with the entire spectrum of normoblast maturation represented; abundant intranuclear inclusions were observed similar to the finding in fetuses. The inclusions were variably eosinophilic and compressed the chromatin against the nuclear membrane. In situ hybridization showed parvovirus B19 DNA in numerous erythroid precursors in all cases. The findings of erythroid maturation and abundant viral inclusions in these immunocompromised patients is consistent with the hypothesis that failure to produce effective IgG parvovirus neutralizing antibodies may lead to persistent infection through viral tolerance that allows erythroid development of infected cells past the pronormoblast stage. Identification of parvovirus inclusions in marrow biopsies and subsequent confirmation of infection by in situ hybridization can be important in the assessment of anemia in immunodeficient patients because serological studies for parvovirus B19 are frequently negative.","['Crook, T W', 'Rogers, B B', 'McFarland, R D', 'Kroft, S H', 'Muretto, P', 'Hernandez, J A', 'Latimer, M J', 'McKenna, R W']","['Crook TW', 'Rogers BB', 'McFarland RD', 'Kroft SH', 'Muretto P', 'Hernandez JA', 'Latimer MJ', 'McKenna RW']","['Department of Pathology, University of Texas Southwestern Medical Center, Dallas 75235-9072, USA.']",['eng'],['Journal Article'],United States,Hum Pathol,Human pathology,9421547,"['0 (Antineoplastic Agents)', '0 (DNA, Viral)']",IM,"['Acquired Immunodeficiency Syndrome/virology', 'Adult', 'Anemia/virology', 'Antineoplastic Agents/adverse effects', 'Biopsy', 'Bone Marrow/*pathology', 'Cell Nucleus/pathology', 'Child', 'DNA, Viral/analysis', 'Erythrocytes/ultrastructure', 'Erythroid Precursor Cells/ultrastructure', 'Female', 'Humans', '*Immunocompromised Host', 'Inclusion Bodies/ultrastructure', 'Leukemia, Lymphoid/drug therapy', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Parvoviridae Infections/blood/*pathology', '*Parvovirus B19, Human/genetics']",,2000/02/24 09:00,2000/03/11 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Hum Pathol. 2000 Feb;31(2):161-8. doi: 10.1016/s0046-8177(00)80215-4.,,"['S0046-8177(00)80215-4 [pii]', '10.1016/s0046-8177(00)80215-4 [doi]']",,,,,,,,,,,,,,,,,
10685501,NLM,MEDLINE,20000313,20191021,0939-5075 (Print) 0341-0382 (Linking),54,12,1999 Dec,The anticancer drug chlorambucil interacts with the human erythrocyte membrane and model phospholipid bilayers.,1089-95,"The plasma membrane has gained increasing attention as a possible target of antitumor drugs. It has been reported that they act as growth factor antagonists, growth factor receptor blockers, interfere with mitogenic signal transduction or exert direct cytotoxic effects. Chlorambucil (4-[p-(bis[2-chloroethyl]amino)phenyl]butyric acid) is an alkylating agent widely used in the treatment of chronic lymphocytic leukaemia. Contradictory reports have been published concerning its interaction with cell membranes. Whereas a decrease in the fluidity of Ehrlich ascite tumor cells has been adduced, no evidences were found that chlorambucil changes membrane lipid fluidity and alkylating agents had effects in these systems even at highly toxic concentrations. Our results showed that chlorambucil at a dose equivalent to its therapeutical concentration in the plasma (3.6 microM) caused the human erythrocyte membrane to develop cup-shaped forms (stomatocytes). Accordingly to the bilayer couple hypothesis, this means that the drug is inserted into the inner monolayer of the erythrocyte membrane, a conclusion supported by X-ray diffraction performed on multilayers of dimyristoylphosphatidylcholine (DMPC) and dimyristoylphosphatidylethanolamine (DMPE), representative of phospholipid classes located in the outer and inner monolayers of the erythrocyte membrane, respectively. It is concluded that the cytotoxic effect of chlorambucil might be due to alteration of the structure and therefore of the physiological properties of cell membranes such as fluidity, permeability, receptor and channel functions.","['Suwalsky, M', 'Hernandez, P', 'Villena, F', 'Sotomayor, C P']","['Suwalsky M', 'Hernandez P', 'Villena F', 'Sotomayor CP']","['Faculty of Chemical Sciences, University of Concepcion, Chile. msuwalsk@udec.cl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Z Naturforsch C J Biosci,"Zeitschrift fur Naturforschung. C, Journal of biosciences",8912155,"['0 (Antimetabolites, Antineoplastic)', '0 (Lipid Bilayers)', '0 (Phosphatidylethanolamines)', '11056-06-7 (Bleomycin)', 'U86ZGC74V5 (Dimyristoylphosphatidylcholine)', 'Z37OX1ASNK (1,2-dimyristoylphosphatidylethanolamine)']",IM,"['Adult', 'Antimetabolites, Antineoplastic/*chemistry/*pharmacology', 'Bleomycin/*chemistry/*pharmacology', 'Dimyristoylphosphatidylcholine/chemistry', 'Erythrocyte Membrane/*drug effects/ultrastructure', 'Humans', 'Lipid Bilayers/*chemistry', 'Male', 'Phosphatidylethanolamines/chemistry']",,2000/02/24 09:00,2000/03/18 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Z Naturforsch C J Biosci. 1999 Dec;54(12):1089-95. doi: 10.1515/znc-1999-1214.,,['10.1515/znc-1999-1214 [doi]'],,,,,,,,,,,,,,,,,
10685499,NLM,MEDLINE,20000313,20191021,0939-5075 (Print) 0341-0382 (Linking),54,12,1999 Dec,1H-cyclopenta[b]benzofuran lignans from Aglaia species inhibit cell proliferation and alter cell cycle distribution in human monocytic leukemia cell lines.,1075-83,"Thirteen naturally occurring 1H-cyclopenta[b]benzofuran lignans of the rocaglamide type as well as one naturally occurring aglain congener all of them isolated from three Aglaia species (Aglaia duperreana, A. oligophylla and A. spectabilis) collected in Vietnam were studied for their antiproliferative effects using the human monocytic leukemia cell lines MONO-MAC-1 and MONO-MAC-6. Only rocaglamide type compounds showed significant inhibition of [3H-]thymidine incorporation and the most active compound didesmethylrocaglamide inhibited cell growth in a similar concentration range as the well-known anticancer drug vinblastine sulfate. Detailed structure-activity analysis indicated that the OH-group at C-8b which is a common structural feature of most naturally occurring rocaglamide compounds is essential for the described antiproliferative activity since replacement of this group by methylation led to a complete loss of the inhibitory activity for the resulting derivative. Rocaglamide derivatives rapidly inhibited DNA as well as protein biosynthesis of MONO-MAC-6 cells at concentrations well below those of actinomycin D or cycloheximide which were used as positive controls in the respective experiments. Didesmethylrocaglamide was furthermore able to induce growth arrest of MONO-MAC-1 cells in the G2/M and probably G0/G1-phase of the cell cycle with no morphological indication of cellular damage. Our data suggests that 1H-cyclopenta[b]benzofuran lignans of the rocaglamide type act primarily by a cytostatic mechanism.","['Bohnenstengel, F I', 'Steube, K G', 'Meyer, C', 'Quentmeier, H', 'Nugroho, B W', 'Proksch, P']","['Bohnenstengel FI', 'Steube KG', 'Meyer C', 'Quentmeier H', 'Nugroho BW', 'Proksch P']","['Department of Pharmaceutical Biology, Julius-von-Sachs-Institute of Biosciences, University of Wurzburg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Z Naturforsch C J Biosci,"Zeitschrift fur Naturforschung. C, Journal of biosciences",8912155,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Benzofurans)', '0 (Lignans)', '84573-16-0 (rocaglamide)']",IM,"['Antineoplastic Agents, Phytogenic/chemistry/toxicity', 'Benzofurans/chemistry/isolation & purification/*toxicity', 'Cell Cycle/*drug effects', 'Cell Division/*drug effects', 'Humans', 'Leukemia', 'Lignans/chemistry/isolation & purification/*toxicity', 'Plants/*chemistry', 'Tumor Cells, Cultured']",,2000/02/24 09:00,2000/03/18 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Z Naturforsch C J Biosci. 1999 Dec;54(12):1075-83. doi: 10.1515/znc-1999-1212.,,['10.1515/znc-1999-1212 [doi]'],,,,,,,,,,,,,,,,,
10685458,NLM,MEDLINE,20000321,20190826,0248-8663 (Print) 0248-8663 (Linking),21,1,2000 Jan,[Cryptococcal meningitis associated with chronic lymphocytic leukemia: a case report. Review of the literature].,83-5,"INTRODUCTION: The authors report the occurrence of a cryptococcal meningitis in a patient treated by corticosteroids and polychemotherapy for a chronic lymphocytic leukemia. EXEGESIS: A 63-year-old man with chronic lymphocytic leukemia was sent to hospital because of impaired condition with fever. Neurological disorders appeared. Cryptococcal meningitis was diagnosed. Under treatment, the outcome was favorable. CONCLUSION: This paper highlights the feature of this infection most likely underestimated in HIV-seronegative patients and the need to a priori consider this diagnosis.","['Jego, P', 'Le Strat, A', 'Camus, C', 'Gatel, A', 'Grosbois, B', 'Leblay, R']","['Jego P', 'Le Strat A', 'Camus C', 'Gatel A', 'Grosbois B', 'Leblay R']","['Service de medecine interne, hopital Sud, Rennes, France.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Rev Med Interne,La Revue de medecine interne,8101383,,IM,"['Diagnosis, Differential', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/drug therapy', 'Male', 'Meningitis, Cryptococcal/diagnosis/*etiology', 'Middle Aged', 'Treatment Outcome']",,2000/02/24 09:00,2000/03/25 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/25 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Rev Med Interne. 2000 Jan;21(1):83-5. doi: 10.1016/s0248-8663(00)87232-x.,Cryptococcose neuromeningee et leucemie lymphoide chronique: a propos d'une observation. Revue de la litterature.,"['S024886630087232X [pii]', '10.1016/s0248-8663(00)87232-x [doi]']",,,,,,,,,,,,,,,,,
10685338,NLM,MEDLINE,20000322,20190921,0925-2738 (Print) 0925-2738 (Linking),15,4,1999 Dec,Refined solution structure and backbone dynamics of 15N-labeled C12A-p8MTCP1 studied by NMR relaxation.,271-88,"MTCP1 (for Mature-T-Cell Proliferation) was the first gene unequivocally identified in the group of uncommon leukemias with a mature phenotype. The three-dimensional solution structure of the human p8MTCP1 protein encoded by the MTCP1 oncogene has been previously determined by homonuclear proton two-dimensional NMR methods at 600 MHz: it consists of an original scaffold comprising three alpha-helices, associated with a new cysteine motif. Two of the helices are covalently paired by two disulfide bridges, forming an alpha-hairpin which resembles an antiparallel coiled-coil. The third helix is orientated roughly parallel to the plane defined by the alpha-antiparallel motif and appears less well defined. In order to gain more insight into the details of this new scaffold, we uniformly labeled with nitrogen-15 a mutant of this protein (C12A-p8MTCP1) in which the unbound cysteine at position 12 has been replaced by an alanine residue, thus allowing reproducibly high yields of recombinant protein. The refined structure benefits from 211 additional NOEs, extracted from 15N-edited 3D experiments, and from a nearly complete set of phi angular restraints allowing the estimation of the helical content of the structured part of the protein. Moreover, measurements of 15N spin relaxation times and heteronuclear 15N inverted question mark1H inverted question markNOEs provided additional insights into the dynamics of the protein backbone. The analysis of the linear correlation between J(0) and J(omega) was used to interpret relaxation parameters. It appears that the apparent relative disorder seen in helix III is not simply due to a lack of experimental constraints, but associated with substantial contributions of sub-nanosecond motions in this segment.","['Barthe, P', 'Chiche, L', 'Declerck, N', 'Delsuc, M A', 'Lefevre, J F', 'Malliavin, T', 'Mispelter, J', 'Stern, M H', 'Lhoste, J M', 'Roumestand, C']","['Barthe P', 'Chiche L', 'Declerck N', 'Delsuc MA', 'Lefevre JF', 'Malliavin T', 'Mispelter J', 'Stern MH', 'Lhoste JM', 'Roumestand C']","['Centre de Biochimie Structurale, CNRS-UMR 9955, INSERM-U414, Universite de Montpellier I, Faculte de Pharmacie, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,J Biomol NMR,Journal of biomolecular NMR,9110829,"['0 (DNA-Binding Proteins)', '0 (Oncogene Proteins)', '0 (Solutions)', '0 (TCL1B protein, human)', '0 (Transcription Factors)']",IM,"['*DNA-Binding Proteins', 'Diffusion', 'Humans', 'Leukemia/genetics', 'Mathematical Computing', 'Models, Molecular', 'Motion', 'Mutation, Missense', 'Nuclear Magnetic Resonance, Biomolecular/*methods', 'Oncogene Proteins/*chemistry/genetics', 'Protein Structure, Secondary', 'Solutions', '*Transcription Factors']",,2000/02/24 09:00,2000/03/25 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/25 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,J Biomol NMR. 1999 Dec;15(4):271-88. doi: 10.1023/a:1008336418418.,,['10.1023/a:1008336418418 [doi]'],,,,,,,,,,,,,,,,,
10685228,NLM,MEDLINE,20000309,20191103,0743-8346 (Print) 0743-8346 (Linking),19,3,1999 Apr-May,Chemotherapy during pregnancy and its effects on the fetus--neonatal myelosuppression: two case reports.,230-3,"Cancer during pregnancy is infrequent. It presents an ethical dilemma--remission may be obtained with chemotherapy, but it has potential harmful effects to the fetus. We report a case of a very low birth weight preterm female infant born to a 21-year-old mother diagnosed with leukemia and given chemotherapy up to 1 week before delivery. In the laboratory, initial findings included severe pancytopenia, and bone marrow aspiration demonstrated complete aplasia. She was given blood product transfusions, erythropoietin, and granulocyte colony stimulating factor. The hematologic derangement was resolved without documented infections. The second case is a preterm male infant whose 30-year-old mother was diagnosed with lymphoma and had received chemotherapy during the third trimester. The infant presented with moderate leukopenia. He had an uneventful course without documented infection. Exposure of the fetus to transplacental chemotherapy must be considered when evaluating therapy options and timing of delivery in hematologic malignancies diagnosed during pregnancy.","['Garcia, L', 'Valcarcel, M', 'Santiago-Borrero, P J']","['Garcia L', 'Valcarcel M', 'Santiago-Borrero PJ']","['Section on Neonatology, University of Puerto Rico School of Medicine, San Juan 00936-5067, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Perinatol,Journal of perinatology : official journal of the California Perinatal Association,8501884,,IM,"['Adult', 'Bone Marrow/drug effects/embryology', 'Female', 'Fetus/*drug effects', 'Humans', 'Infant, Newborn', 'Leukemia, Myeloid, Acute/*drug therapy', 'Lymphoma, B-Cell/*drug therapy', 'Male', '*Maternal-Fetal Exchange', 'Pregnancy', 'Pregnancy Complications, Neoplastic/*drug therapy', '*Pregnancy Outcome']",,2000/02/24 09:00,2000/03/11 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,J Perinatol. 1999 Apr-May;19(3):230-3. doi: 10.1038/sj.jp.7200138.,,['10.1038/sj.jp.7200138 [doi]'],,,,,,,,,,,,,,,,,
10685002,NLM,MEDLINE,20000525,20190910,0192-0561 (Print) 0192-0561 (Linking),22,3,2000 Mar,FK506 inhibition of histamine release and cytokine production by mast cells and basophils.,189-201,"Histamine release and cytokine production by mast cells and basophils are thought to be closely involved in the pathogenesis of allergic diseases. Some reports show that FK506 (tacrolimus hydrate) inhibited histamine release and cytokine production by mast cells and basophils. However, as the effects of FK506 has not been compared with those of clinically used drugs in those reports, the clinical relevancy of FK506 inhibition remained unclear. In this paper, we compared the actions of FK506 with those of steroids or disodium cromoglycate (DSCG) which has been clinically used. FK506 inhibited histamine release by Brown-Norway rat peritoneal mast cells more potently than steroids and especially DSCG. FK506 also inhibited histamine release by a mast rat basophilic leukemia (RBL)-1 cell line and human peripheral blood basophils, whereas steroids failed to inhibit histamine release by human basophils. FK506 as well as steroids inhibited TNF-alpha and IL-4 production by RBL-1 cells. FK506 was therefore more effective than steroids and DSCG in inhibiting histamine release, and it also had the ability of inhibiting cytokine production by mast cells as steroids do. We concluded that FK506 might regulate allergic diseases via these actions, judging from the viewpoint of clinical relevancy.","['Sengoku, T', 'Kishi, S', 'Sakuma, S', 'Ohkubo, Y', 'Goto, T']","['Sengoku T', 'Kishi S', 'Sakuma S', 'Ohkubo Y', 'Goto T']","['Medicinal Biology Research Laboratories, Fujisawa Pharmaceutical Co., Ltd., 1-6, 2-chome, Kashima, Yodogawa-ku, Osaka, Japan.']",['eng'],['Journal Article'],England,Int J Immunopharmacol,International journal of immunopharmacology,7904799,"['0 (Cytokines)', '0 (Immunosuppressive Agents)', '0 (Tumor Necrosis Factor-alpha)', '207137-56-2 (Interleukin-4)', 'WM0HAQ4WNM (Tacrolimus)']",IM,"['Animals', 'Basophils/*drug effects/metabolism', 'Cytokines/*biosynthesis', 'Histamine Release/*drug effects', 'Humans', 'Immunosuppressive Agents/*pharmacology', 'Interleukin-4/biosynthesis', 'Male', 'Mast Cells/*drug effects/metabolism', 'Rats', 'Rats, Inbred BN', 'Tacrolimus/*pharmacology', 'Tumor Necrosis Factor-alpha/biosynthesis']",,2000/02/24 09:00,2000/06/08 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/06/08 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Int J Immunopharmacol. 2000 Mar;22(3):189-201. doi: 10.1016/s0192-0561(99)00076-4.,,"['S0192-0561(99)00076-4 [pii]', '10.1016/s0192-0561(99)00076-4 [doi]']",,,,,,,,,,,,,,,,,
10684990,NLM,MEDLINE,20000504,20190910,0192-0561 (Print) 0192-0561 (Linking),22,1,2000 Jan,Effects of imipenem and cilastatin on human T-lymphocytes derived from acute leukemia patients with chemotherapy-induced leucopenia: studies of T-lymphocyte responses in the presence of acute myelogenous leukemia (AML) blast accessory cells.,69-81,"The effects of imipenem and cilastatin on human T-lymphocytes were studied in vitro. As responder T-cells were used T-lymphocyte clones derived from acute leukemia patients with chemotherapy-induced cytopenia, and the accessory cells were highly enriched acute myelogenous leukemia (AML) blasts. The effects of imipenem and cilastatin on phytohemagglutinin (PHA), anti-CD3 and anti-CD3+anti-CD28 stimulated activation were assayed, and in addition drug effects on cytokine-dependent proliferation of activated T-lymphocytes were investigated. Imipenem inhibited IL2-dependent proliferation of activated CD4(+) and CD8(+) T-cell clones, and an inhibition was also detected for IL7-, IL12-, IL15-, IL16- and IL17-dependent clonal proliferation. Imipenem caused a weak inhibition of anti-CD3- and PHA-stimulated T-cell proliferation when using 50 Gy irradiated AML blast accessory cells derived from various patients, whereas no effect was observed for anti-CD3+anti-CD28 stimulated and allostimulated activation. Imipenem decreased the release of IL4 and Interferon-gamma by T-cell clones stimulated with anti-CD3 and PHA in the presence of native (nonirradiated) AML blasts. The imipenem effects were observed at concentrations corresponding to levels reached in vivo, whereas even high concentrations of cilastatin did not alter T-cell responses. The T-lymphocyte inhibition is probably caused by a direct effect of imipenem on the T-cells.","['Bruserud, O']",['Bruserud O'],"['Division for Hematology, Department of Medicine, Haukeland University Hospital and the University of Bergen, Bergen, Norway.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J Immunopharmacol,International journal of immunopharmacology,7904799,"['0 (Antineoplastic Agents)', '0 (Cytokines)', '0 (Interleukin-2)', '141A6AMN38 (Cilastatin)', '71OTZ9ZE0A (Imipenem)']",IM,"['Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*adverse effects', 'Cilastatin/*pharmacology', 'Cytokines/biosynthesis', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Imipenem/*pharmacology', 'Interleukin-2/pharmacology', 'Leukemia, Myeloid, Acute/*immunology', 'Leukopenia/chemically induced/*immunology', 'Lymphocyte Activation/drug effects', 'Male', 'Middle Aged', 'T-Lymphocytes/*drug effects']",,2000/02/24 09:00,2000/05/08 09:00,['2000/02/24 09:00'],"['2000/02/24 09:00 [pubmed]', '2000/05/08 09:00 [medline]', '2000/02/24 09:00 [entrez]']",ppublish,Int J Immunopharmacol. 2000 Jan;22(1):69-81. doi: 10.1016/s0192-0561(99)00070-3.,,"['S0192-0561(99)00070-3 [pii]', '10.1016/s0192-0561(99)00070-3 [doi]']",,,,,,,,,,,,,,,,,
