PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,AB,OID,RF
5418478,NLM,MEDLINE,19700427,20210217,0022-2275 (Print) 0022-2275 (Linking),11,2,1970 Mar,Factors affecting the glycosphingolipid composition of murine tissues.,158-63,"['Coles, L', 'Hay, J B', 'Gray, G M']","['Coles L', 'Hay JB', 'Gray GM']",['eng'],['Journal Article'],United States,J Lipid Res,Journal of lipid research,0376606,"['0 (Cerebrosides)', '0 (Glycolipids)', '0 (Phospholipids)', '0 (Sulfuric Acids)', '97C5T2UQ7J (Cholesterol)']",IM,"['Age Factors', 'Animals', 'Cerebrosides/metabolism', 'Cholesterol/metabolism', 'Chromatography, Thin Layer', 'Female', 'Genetics', 'Glycolipids/*metabolism', 'Kidney/*metabolism', 'Leukemia, Experimental/metabolism', 'Liver/*metabolism', 'Male', 'Mice', 'Neoplasms, Experimental/*metabolism', 'Phospholipids/metabolism', 'Sarcoma, Experimental/metabolism', 'Sex Factors', 'Species Specificity', 'Sulfuric Acids/metabolism']",,1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",['S0022-2275(20)43007-X [pii]'],ppublish,J Lipid Res. 1970 Mar;11(2):158-63.,,"The effects of genetic strain, sex, age, and pathological state on the distribution and concentration of glycosphingolipids in mouse kidneys and livers were studied. The concentrations of glycosphingolipids and phospholipids in the kidneys and livers of different strains were compared. The major glycosphingolipid in the kidneys of male and female BALB/c, C3H/He, C57/BL, A, and C57xA (F(1) hybrid) mice was a sulfatide, monoglycosyl-(3-sulfate) ceramide; monoglycosyl ceramide was the major component in livers. The kidneys of males of all strains contained significant amounts of diglycosyl ceramide, but those of females contained, at most, only traces. Glycosphingolipid concentration in the male kidneys of C57/BL and C57xA (F(1) hybrid) was much higher than in the female and was also much higher than in the male kidneys of C3H/He, BALB/c, and A strains. The kidneys of ""old"" (36 wk) male and female C3H/He mice contained much higher proportions of monoglycosyl ceramide than 10-12-wk-old adults. The distributions of glycosphingolipids in kidneys of female C3H/He mice with BP8 ascites tumors and male C57xA (F(1) hybrid) mice with EL4 ascites tumors differed from those in the normal mice. An unknown lipid, present in all glycosphingolipid extracts from kidney and liver, was tentatively identified as cholesterol sulfate.",,
5417791,NLM,MEDLINE,19700420,20181113,0035-9157 (Print) 0035-9157 (Linking),63,1,1970 Jan,The rationale of the chemotherapeutic regimes relative to present knowledge of cell and population kinetics.,84-6,"['Cooper, E H']",['Cooper EH'],['eng'],['Journal Article'],England,Proc R Soc Med,Proceedings of the Royal Society of Medicine,7505890,"['10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Cell Differentiation', 'Cell Division/*drug effects', 'DNA/biosynthesis', 'Humans', 'Kinetics', 'Leukemia/*drug therapy', 'Leukemia L1210/drug therapy', 'Leukemia, Experimental/drug therapy', 'Lymphoma/drug therapy', 'Mice', 'Thymidine/metabolism', 'Tritium']",PMC1810911,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Proc R Soc Med. 1970 Jan;63(1):84-6.,,,,
5416856,NLM,MEDLINE,19700416,20190511,0009-9236 (Print) 0009-9236 (Linking),11,2,1970 Mar-Apr,Gentamicin sulfate distribution in body fluids.,275-81,"['Rodriguez, V', 'Stewart, D', 'Bodey, G P']","['Rodriguez V', 'Stewart D', 'Bodey GP']",['eng'],['Journal Article'],United States,Clin Pharmacol Ther,Clinical pharmacology and therapeutics,0372741,"['0 (Gentamicins)', '0 (Sulfates)', 'AYI8EX34EU (Creatinine)']",IM,"['Adolescent', 'Adult', 'Aged', 'Body Fluids/*metabolism', 'Creatinine/blood', 'Gentamicins/administration & dosage/adverse effects/blood/cerebrospinal fluid/*metabolism', 'Humans', 'Injections, Intravenous', 'Leukemia/metabolism', 'Middle Aged', 'Sulfates/metabolism', 'Thoracic Duct/metabolism', 'Time Factors']",,1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']","['0009-9236(70)90092-5 [pii]', '10.1002/cpt1970112275 [doi]']",ppublish,Clin Pharmacol Ther. 1970 Mar-Apr;11(2):275-81. doi: 10.1002/cpt1970112275.,,,,
5416836,NLM,MEDLINE,19700416,20190620,0008-543X (Print) 0008-543X (Linking),25,3,1970 Mar,Cyclophosphamide-induced changes in circulating lymphocyte kinetics in chronic lymphocytic leukemia.,721-7,"['Coco, F', 'Merritt, J A']","['Coco F', 'Merritt JA']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Chromium Isotopes)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Aged', 'Chromium Isotopes', 'Cyclophosphamide/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukocyte Count', 'Liver/*metabolism', 'Lymphocytes/*drug effects', 'Male', 'Middle Aged']",,1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",['10.1002/1097-0142(197003)25:3<721::aid-cncr2820250333>3.0.co;2-h [doi]'],ppublish,Cancer. 1970 Mar;25(3):721-7. doi: 10.1002/1097-0142(197003)25:3<721::aid-cncr2820250333>3.0.co;2-h.,,,,
5416825,NLM,MEDLINE,19700416,20190620,0008-543X (Print) 0008-543X (Linking),25,3,1970 Mar,Total body irradiation of chronic lymphocytic leukemia: incidence and duration of remission.,523-30,"['Johnson, R E']",['Johnson RE'],['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,['0 (Cobalt Isotopes)'],IM,"['Aged', 'Cobalt Isotopes', 'Female', 'Humans', 'Leukemia, Lymphoid/*radiotherapy', 'Male', 'Middle Aged', '*Radioisotope Teletherapy', 'Radiotherapy Dosage']",,1970/03/01 00:00,1970/03/01 00:01,['1970/03/01 00:00'],"['1970/03/01 00:00 [pubmed]', '1970/03/01 00:01 [medline]', '1970/03/01 00:00 [entrez]']",['10.1002/1097-0142(197003)25:3<523::aid-cncr2820250305>3.0.co;2-e [doi]'],ppublish,Cancer. 1970 Mar;25(3):523-30. doi: 10.1002/1097-0142(197003)25:3<523::aid-cncr2820250305>3.0.co;2-e.,,,,
5416735,NLM,MEDLINE,19700415,20041117,0079-6166 (Print) 0079-6166 (Linking),4,,1970,The carcinogenic hazards of ionizing radiation in diagnostic and therapeutic radiology.,231-41,"['Stein, J J']",['Stein JJ'],['eng'],['Journal Article'],United States,Prog Clin Cancer,Progress in clinical cancer,19830360R,,IM,"['Humans', '*Leukemia, Radiation-Induced', '*Neoplasms, Radiation-Induced', '*Occupational Diseases', '*Radiation Injuries', 'Radiography/*adverse effects', '*Radiology']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Prog Clin Cancer. 1970;4:231-41.,,,,
5416162,NLM,MEDLINE,19700414,20190908,0014-2964 (Print) 0014-2964 (Linking),6,1,1970 Feb,The time factor in cancer chemotherapy.,23-31,"['Mathe, G', 'Schneider, M', 'Schwarzenberg, L']","['Mathe G', 'Schneider M', 'Schwarzenberg L']",['eng'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,"['0 (Antineoplastic Agents)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antineoplastic Agents/*administration & dosage', 'Cyclophosphamide/administration & dosage', 'Leukemia L1210/*drug therapy', 'Methotrexate/administration & dosage', 'Mice', 'Time Factors', 'Vincristine/administration & dosage']",,1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",['10.1016/0014-2964(70)90050-2 [doi]'],ppublish,Eur J Cancer. 1970 Feb;6(1):23-31. doi: 10.1016/0014-2964(70)90050-2.,,,,
5414877,NLM,MEDLINE,19700402,20060419,0002-9645 (Print) 0002-9645 (Linking),31,2,1970 Feb,Transmission of Marek's disease by poultry house dust and chicken dander.,339-44,"['Beasley, J N', 'Patterson, L T', 'McWade, D H']","['Beasley JN', 'Patterson LT', 'McWade DH']",['eng'],['Journal Article'],United States,Am J Vet Res,American journal of veterinary research,0375011,['0 (Dust)'],IM,"['Animals', 'Avian Leukosis/*immunology', '*Chickens', 'Dust/analysis', 'Feathers/pathology', 'Injections, Intraperitoneal', 'Poultry Diseases/*immunology', 'Skin Diseases/*veterinary', 'Spleen/pathology']",,1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1970 Feb;31(2):339-44.,,,,
5414741,NLM,MEDLINE,19700402,20190708,0020-7136 (Print) 0020-7136 (Linking),5,1,1970 Jan 15,Characteristics of a tumor cell line and virus derived from hamster tumors induced by Rauscher leukemia virus-transformed hamster embryo cells.,28-38,"['Rhim, J S', 'Huebner, R J', 'Ting, R C', 'Wivel, N', 'Vass, W']","['Rhim JS', 'Huebner RJ', 'Ting RC', 'Wivel N', 'Vass W']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cell Line', 'Complement Fixation Tests', 'Cricetinae', '*Culture Techniques', 'Embryo, Mammalian/*cytology', 'Leukemia, Experimental/immunology/microbiology', 'Microscopy, Electron', '*Moloney murine leukemia virus', 'Neutralization Tests', '*Rauscher Virus', 'Sarcoma, Experimental/immunology/*microbiology']",,1970/01/15 00:00,1970/01/15 00:01,['1970/01/15 00:00'],"['1970/01/15 00:00 [pubmed]', '1970/01/15 00:01 [medline]', '1970/01/15 00:00 [entrez]']",['10.1002/ijc.2910050105 [doi]'],ppublish,Int J Cancer. 1970 Jan 15;5(1):28-38. doi: 10.1002/ijc.2910050105.,,,,
5414738,NLM,MEDLINE,19700402,20190708,0020-7136 (Print) 0020-7136 (Linking),5,1,1970 Jan 15,Origin of neoplastic cells following prophylaxis of radiation-induced mouse leukaemia.,124-35,"['Ilbery, P L', 'Barnes, C A']","['Ilbery PL', 'Barnes CA']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,['0 (Cobalt Isotopes)'],IM,"['Age Factors', 'Animals', 'Bone Marrow/physiology', 'Chromosomes', 'Cobalt Isotopes', 'Female', 'Fetus', 'Leukemia, Radiation-Induced/genetics/*prevention & control', 'Liver/physiology', 'Lymph Nodes/physiology', 'Lymphoid Tissue/*physiology', 'Mice', 'Thymectomy', 'Thymus Gland/physiology', 'Time Factors']",,1970/01/15 00:00,1970/01/15 00:01,['1970/01/15 00:00'],"['1970/01/15 00:00 [pubmed]', '1970/01/15 00:01 [medline]', '1970/01/15 00:00 [entrez]']",['10.1002/ijc.2910050117 [doi]'],ppublish,Int J Cancer. 1970 Jan 15;5(1):124-35. doi: 10.1002/ijc.2910050117.,,,,
5414735,NLM,MEDLINE,19700402,20041117,0012-0472 (Print) 0012-0472 (Linking),95,7,1970 Feb 13,[Indications for splenectomy in hematologic diseases].,348-9,"['Weinreich, J']",['Weinreich J'],['ger'],['Journal Article'],Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,,IM,"['Hematologic Diseases/*surgery', 'Humans', 'Leukemia/surgery', '*Splenectomy']",,1970/02/13 00:00,1970/02/13 00:01,['1970/02/13 00:00'],"['1970/02/13 00:00 [pubmed]', '1970/02/13 00:01 [medline]', '1970/02/13 00:00 [entrez]']",['10.1055/s-0028-1108464 [doi]'],ppublish,Dtsch Med Wochenschr. 1970 Feb 13;95(7):348-9. doi: 10.1055/s-0028-1108464.,Die Indikation zur Milzexstirpation bei hamatologischen Erkrankungen.,,,
5414705,NLM,MEDLINE,19700402,20190904,0006-5242 (Print) 0006-5242 (Linking),20,1,1970 Jan,[Toxic side effects of daunomycin in children].,44-56,"['Massimo, L']",['Massimo L'],['ger'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",Germany,Blut,Blut,0173401,"['0 (Immunosuppressive Agents)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Alopecia/chemically induced', 'Antibody Formation/drug effects', 'Bone Marrow/drug effects', 'Bone Marrow Cells', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Daunorubicin/*adverse effects', 'Drug Hypersensitivity', 'Heart/drug effects', 'Humans', 'Immunosuppressive Agents', 'Inflammation/chemically induced', 'Intestinal Mucosa/pathology', 'Leukemia/*drug therapy', 'Leukocytes/drug effects', 'Leukopenia/etiology', 'Lymphocyte Activation/drug effects', 'Mercaptopurine/pharmacology']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/BF01633395 [doi]'],ppublish,Blut. 1970 Jan;20(1):44-56. doi: 10.1007/BF01633395.,Toxische Nebenwirkungen des Daunomycins bei Kindern.,,,
5414704,NLM,MEDLINE,19700402,20190904,0006-5242 (Print) 0006-5242 (Linking),20,1,1970 Jan,[The effect of antilymphocyte serum alone or in combination with a cytostatic agent on mouse leukemia].,37-43,"['Mempel, W', 'Thierfelder, S']","['Mempel W', 'Thierfelder S']",['ger'],['Journal Article'],Germany,Blut,Blut,0173401,"['0 (Antilymphocyte Serum)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Antilymphocyte Serum/*therapeutic use', 'Cyclophosphamide/*therapeutic use', 'Drug Synergism', 'Leukemia, Experimental/*drug therapy', 'Leukocyte Count', 'Mice', 'Prognosis', 'Rabbits']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1007/BF01633394 [doi]'],ppublish,Blut. 1970 Jan;20(1):37-43. doi: 10.1007/BF01633394.,Die Wirkung von Antilymphozytenserum allein oder in Verbindung mit einem Zytostatikum auf eine Mauseleukamie.,,,
5414239,NLM,MEDLINE,19700327,20200930,0037-9727 (Print) 0037-9727 (Linking),133,2,1970 Feb,"Effect of 7,12-dimethylbenz(a)anthracene and splenectomy on virus titer and blood picture in Friend virus leukemia.",529-35,"['Elliott, S C', 'Kiehn, W K', 'Reilly, C A Jr', 'Schloss, G T']","['Elliott SC', 'Kiehn WK', 'Reilly CA Jr', 'Schloss GT']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,['0 (Benz(a)Anthracenes)'],IM,"['Anemia/etiology', 'Animals', 'Benz(a)Anthracenes/*pharmacology', '*Blood Cell Count', 'Cell Transformation, Neoplastic/drug effects', 'Erythropoiesis', '*Friend murine leukemia virus', 'Leukemia, Experimental/blood/*microbiology', 'Liver/*microbiology', 'Mice', 'Organ Size', 'Spleen/*microbiology', '*Splenectomy']",,1970/02/01 00:00,2001/03/28 10:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1970/02/01 00:00 [entrez]']",['10.3181/00379727-133-34512 [doi]'],ppublish,Proc Soc Exp Biol Med. 1970 Feb;133(2):529-35. doi: 10.3181/00379727-133-34512.,,,,
5413927,NLM,MEDLINE,19700324,20141120,0036-7672 (Print) 0036-7672 (Linking),100,7,1970 Feb 14,[Lysosomal enzymes in blood lymphocytes of normal subjects and patients with chronic lymphadenosis after nonspecific stimulation in vitro of short duration].,341-4,"['Brittinger, G', 'Konig, E', 'Aberle, H G', 'Zimmerschitt, E']","['Brittinger G', 'Konig E', 'Aberle HG', 'Zimmerschitt E']",['ger'],['Journal Article'],Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,"['0 (Blood Proteins)', '0 (Lectins)', '18D0SL7309 (Chlorambucil)', 'EC 1.1.1.37 (Malate Dehydrogenase)', 'EC 3.1.3.2 (Acid Phosphatase)', 'EC 3.2.1.31 (Glucuronidase)', 'VB0R961HZT (Prednisone)']",IM,"['Acid Phosphatase/*metabolism', 'Blood Proteins/analysis', 'Chlorambucil/therapeutic use', 'Glucuronidase/*metabolism', 'Humans', 'In Vitro Techniques', 'Lectins/*pharmacology', 'Leukemia, Lymphoid/drug therapy/*enzymology', 'Lymphocyte Activation', 'Lymphocytes/drug effects/*enzymology/immunology', 'Lysosomes/*enzymology', 'Malate Dehydrogenase/metabolism', 'Prednisone/therapeutic use']",,1970/02/14 00:00,1970/02/14 00:01,['1970/02/14 00:00'],"['1970/02/14 00:00 [pubmed]', '1970/02/14 00:01 [medline]', '1970/02/14 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1970 Feb 14;100(7):341-4.,Lysosomale Enzyme in Blutlymphozyten von Gesunden und Patienten mit chronischer Lymphadenose bei kurzdauernder unspezifischer Stimulierung in vitro.,,,
5413922,NLM,MEDLINE,19700324,20131121,0036-7672 (Print) 0036-7672 (Linking),100,7,1970 Feb 14,[Biochemical basis of the treatment of leukemia with cytosine-arabinoside].,323-5,"['Wilmanns, H']",['Wilmanns H'],['ger'],['Journal Article'],Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '04079A1RDZ (Cytarabine)', '9PHQ9Y1OLM (Prednisolone)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Cytarabine/pharmacology/*therapeutic use', 'DNA, Neoplasm/biosynthesis', 'Humans', 'Leukemia/*drug therapy/enzymology/metabolism', 'Leukocytes/drug effects/enzymology', 'Prednisolone/therapeutic use', 'RNA, Neoplasm/biosynthesis', 'Thymidine Kinase/metabolism']",,1970/02/14 00:00,1970/02/14 00:01,['1970/02/14 00:00'],"['1970/02/14 00:00 [pubmed]', '1970/02/14 00:01 [medline]', '1970/02/14 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1970 Feb 14;100(7):323-5.,Biochemische Grundlagen der Leukamiebehandlung mit Cytosinarabinosid.,,,
5413920,NLM,MEDLINE,19700324,20081121,0036-7672 (Print) 0036-7672 (Linking),100,7,1970 Feb 14,"Atypical chronic lymphoproliferative disease with cold agglutininemia, cryoglobulinemia and gamma G, gamma A, gamma M, gamma D hyperglobulinemia.",306-8,"['Quattrin, N', 'Dini, E', 'Di Girolamo, R', 'Ventruto, V']","['Quattrin N', 'Dini E', 'Di Girolamo R', 'Ventruto V']",['eng'],['Journal Article'],Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,"['0 (Antibodies)', '0 (Cryoglobulins)']",IM,"['Anemia/diagnosis', 'Anemia, Hemolytic/diagnosis', 'Angioedema/complications', 'Antibodies', 'Blood Protein Disorders/*complications', 'Blood Sedimentation', 'Bone Marrow Examination', 'Cold Temperature', '*Cryoglobulins', 'Epistaxis/complications', 'Hematologic Diseases/*diagnosis', 'Humans', 'Hypergammaglobulinemia/complications', 'Leukemia/diagnosis', 'Lymph Nodes/pathology', 'Lymphocytosis/diagnosis', 'Male', 'Middle Aged', 'Plasma Cells/cytology', 'Pruritus/complications', 'Purpura/complications', 'Splenomegaly/complications', 'Thrombocytopenia/diagnosis']",,1970/02/14 00:00,1970/02/14 00:01,['1970/02/14 00:00'],"['1970/02/14 00:00 [pubmed]', '1970/02/14 00:01 [medline]', '1970/02/14 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1970 Feb 14;100(7):306-8.,,,,
5413696,NLM,MEDLINE,19700322,20041117,0031-3939 (Print) 0031-3939 (Linking),45,1,1970 Jan,[Neoplasms in childhood in the anatomo-pathological material from biopsy and autopsy].,57-62,"['Lopuszynska, M']",['Lopuszynska M'],['pol'],['Journal Article'],Poland,Pediatr Pol,Pediatria polska,2985039R,,IM,"['Adolescent', 'Autopsy', 'Biopsy', 'Brain Neoplasms/*epidemiology', 'Child', 'Child, Preschool', 'Female', 'Hodgkin Disease/*epidemiology', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*epidemiology', 'Male', 'Neoplasms/*epidemiology/pathology', 'Poland']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Pediatr Pol. 1970 Jan;45(1):57-62.,Nowotwory wieku dzieciecego w materiale biopsyjnym i sekcyjnym anatomopatologicznym.,,,
5413403,NLM,MEDLINE,19700322,20041117,0031-4005 (Print) 0031-4005 (Linking),45,2,1970 Feb,Testicular leukemia.,338-9,"['Leef, F', 'Kende, G', 'Ramot, B']","['Leef F', 'Kende G', 'Ramot B']",['eng'],['Journal Article'],United States,Pediatrics,Pediatrics,0376422,,IM,"['Child', 'Humans', 'Leukemia/*pathology', 'Male', 'Testis/*pathology']",,1970/02/01 00:00,1970/02/01 00:01,['1970/02/01 00:00'],"['1970/02/01 00:00 [pubmed]', '1970/02/01 00:01 [medline]', '1970/02/01 00:00 [entrez]']",,ppublish,Pediatrics. 1970 Feb;45(2):338-9.,,,,
5413373,NLM,MEDLINE,19700322,20190617,0028-0836 (Print) 0028-0836 (Linking),225,5233,1970 Feb 14,Antigenic expression of a murine lymphoma during growth in vitro.,645-7,"['Cikes, M']",['Cikes M'],['eng'],['Journal Article'],England,Nature,Nature,0410462,['0 (Antigens)'],IM,"['Animals', 'Antigen-Antibody Reactions', 'Antigens/analysis', 'Culture Techniques', '*Cytopathogenic Effect, Viral', 'Lymphoma/*immunology', 'Mice', '*Moloney murine leukemia virus', 'Neoplasms, Experimental/*immunology', 'Virus Cultivation']",,1970/02/14 00:00,1970/02/14 00:01,['1970/02/14 00:00'],"['1970/02/14 00:00 [pubmed]', '1970/02/14 00:01 [medline]', '1970/02/14 00:00 [entrez]']",['10.1038/225645a0 [doi]'],ppublish,Nature. 1970 Feb 14;225(5233):645-7. doi: 10.1038/225645a0.,,,,
5413133,NLM,MEDLINE,19700319,20190713,0032-5481 (Print) 0032-5481 (Linking),47,1,1970 Jan,Treating leukemia in children.,191-5,"['Lane, D M']",['Lane DM'],['eng'],['Journal Article'],England,Postgrad Med,Postgraduate medicine,0401147,,IM,"['Child, Preschool', 'Humans', 'Leukemia/*therapy']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['10.1080/00325481.1970.11698108 [doi]'],ppublish,Postgrad Med. 1970 Jan;47(1):191-5. doi: 10.1080/00325481.1970.11698108.,,,,
5412765,NLM,MEDLINE,19700319,20071115,0026-4806 (Print) 0026-4806 (Linking),61,6,1970 Jan 20,[Casuistic con- tribution to the knowledge of the leukemic lung].,190-206,"['Bignamini, A', 'Emanuele, B', 'Ferrari-Sacco, A', 'Ferraro, U']","['Bignamini A', 'Emanuele B', 'Ferrari-Sacco A', 'Ferraro U']",['ita'],['Journal Article'],Italy,Minerva Med,Minerva medica,0400732,,IM,"['Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lung Neoplasms', 'Male', 'Middle Aged', '*Pleural Neoplasms']",,1970/01/20 00:00,1970/01/20 00:01,['1970/01/20 00:00'],"['1970/01/20 00:00 [pubmed]', '1970/01/20 00:01 [medline]', '1970/01/20 00:00 [entrez]']",,ppublish,Minerva Med. 1970 Jan 20;61(6):190-206.,Contributo casistico alla conoscenza del polmone leucemico.,,,
5412671,NLM,MEDLINE,19700319,20210216,0006-4971 (Print) 0006-4971 (Linking),35,1,1970 Jan,Electrophoretic mobility and N-acetyl neuraminic acid content of human normal and leukemic lymphocytes and granulocytes.,12-22,"['Lichtman, M A', 'Weed, R I']","['Lichtman MA', 'Weed RI']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,"['0 (Neuraminic Acids)', '5ACL011P69 (Ouabain)', '5V2JDO056X (Trichloroacetic Acid)', 'EC 3.2.1.18 (Neuraminidase)']",IM,"['Bone Marrow/analysis', 'Bone Marrow Cells', 'Cell Membrane', 'Chemical Precipitation', '*Electrophoresis', 'Erythrocytes/analysis', 'Humans', 'Leukemia/*blood', 'Leukocytes/*analysis', 'Lymphocytes/*analysis', 'Neuraminic Acids/*blood', 'Neuraminidase/pharmacology', 'Ouabain/pharmacology', 'Trichloroacetic Acid/pharmacology', 'Vibration']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",['S0006-4971(20)78098-5 [pii]'],ppublish,Blood. 1970 Jan;35(1):12-22.,,,,
5412436,NLM,MEDLINE,19700314,20041117,0043-5147 (Print) 0043-5147 (Linking),23,1,1970 Jan 1,[Nodular infilitration in the bulbus of the urethra as a 1st sign of acute leukemia].,59-62,"['Piasecki, Z', 'Lisiewicz, J']","['Piasecki Z', 'Lisiewicz J']",['pol'],"['Case Reports', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,,IM,"['Acute Disease', 'Humans', 'Leukemia/*diagnosis', 'Male', 'Middle Aged', '*Urethra']",,1970/01/01 00:00,1970/01/01 00:01,['1970/01/01 00:00'],"['1970/01/01 00:00 [pubmed]', '1970/01/01 00:01 [medline]', '1970/01/01 00:00 [entrez]']",,ppublish,Wiad Lek. 1970 Jan 1;23(1):59-62.,Guzowaty naciek opuszki cewski moczowej jako pierwszy objaw ostrej bialaczki.,,,
5412226,NLM,MEDLINE,19700306,20190702,0042-4900 (Print) 0042-4900 (Linking),86,4,1970 Jan 24,Relationship between Marek's disease and coccidiosis. 3. Effects of infection with Eimeira mivati on Marek's disease in the chicken.,100-4,"['Kenzy, S G', 'Long, P L', 'Biggs, P M']","['Kenzy SG', 'Long PL', 'Biggs PM']",['eng'],['Journal Article'],England,Vet Rec,The Veterinary record,0031164,,IM,"['Animals', 'Avian Leukosis/*complications/diagnosis/epidemiology/immunology/mortality', '*Chickens', 'Coccidiosis/*complications/immunology/*veterinary', '*Eimeria', 'Poultry Diseases']",,1970/01/24 00:00,1970/01/24 00:01,['1970/01/24 00:00'],"['1970/01/24 00:00 [pubmed]', '1970/01/24 00:01 [medline]', '1970/01/24 00:00 [entrez]']",['10.1136/vr.86.4.100 [doi]'],ppublish,Vet Rec. 1970 Jan 24;86(4):100-4. doi: 10.1136/vr.86.4.100.,,,,
