PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,SI,TT,PMC,CIN,EIN,OID,LID
3258262,NLM,MEDLINE,19880510,20190722,0016-5107 (Print) 0016-5107 (Linking),34,1,1988 Jan-Feb,Colonoscopic findings in a leukemic patient.,59-61,,"['Manzione, N C', 'Kram, M', 'Biempica, L']","['Manzione NC', 'Kram M', 'Biempica L']","['Department of Gastroenterology, Albert Einstein College of Medicine, Bronx, New York 10461.']",['eng'],"['Case Reports', 'Journal Article']",United States,Gastrointest Endosc,Gastrointestinal endoscopy,0010505,IM,"['Colonic Neoplasms/complications/*diagnosis', '*Colonoscopy', 'Gastrointestinal Hemorrhage/etiology', 'Humans', 'Leukemia/complications/*diagnosis', 'Male', 'Middle Aged']",,1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']","['S0016-5107(88)71235-3 [pii]', '10.1016/s0016-5107(88)71235-3 [doi]']",ppublish,Gastrointest Endosc. 1988 Jan-Feb;34(1):59-61. doi: 10.1016/s0016-5107(88)71235-3.,,,,,,,,,
3258212,NLM,MEDLINE,19880512,20190820,0090-1229 (Print) 0090-1229 (Linking),47,2,1988 May,Mechanisms of human CD5 modulation and capping induced by murine monoclonal antibody T101.,219-29,"We have previously demonstrated that the murine monoclonal antibody T101 induces antigenic modulation when infused into patients with chronic lymphocytic leukemia and cutaneous T-cell lymphoma. In this paper, we extend our studies of T101-induced modulation and compare it to T101-induced capping. We found that, in contrast to antigenic modulation, capping occurred only in the presence of secondary anti-mouse IgG antisera and was altered by drugs that affect the cellular cytoskeleton or energy metabolism. F(ab')2 fragments of T101 induced antigenic modulation with kinetics similar to those of intact T101, but Fab-induced modulation proceeded more slowly and required the continual presence of Fab throughout the incubation. Experiments with radioiodinated T101 demonstrated that initial internalization of the antibody is followed by rapid efflux of intact, immunoreactive T101 from the cells. These data indicate important differences between capping and modulation and suggest that these two phenomena proceed by different mechanisms. More importantly, the data have implications for the potential therapeutic use of monoclonal antibody immunoconjugates.","['Shawler, D L', 'Johnson, D E', 'McCallister, T J', 'Bartholomew, R M', 'Dillman, R O']","['Shawler DL', 'Johnson DE', 'McCallister TJ', 'Bartholomew RM', 'Dillman RO']","['Biotherapeutics, Inc., La Jolla, California 92037.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,IM,"['Antibodies, Monoclonal/*immunology/therapeutic use', 'Antigen-Antibody Reactions', 'Antigens, Differentiation, B-Lymphocyte/*physiology', 'Colchicine/pharmacology', 'Cytochalasin B/pharmacology', 'Cytoskeleton/drug effects', 'Endocytosis', '*Immunologic Capping/drug effects', 'Kinetics', 'Leukemia, Lymphoid/therapy', 'Membrane Glycoproteins/physiology']",,1988/05/01 00:00,1988/05/01 00:01,['1988/05/01 00:00'],"['1988/05/01 00:00 [pubmed]', '1988/05/01 00:01 [medline]', '1988/05/01 00:00 [entrez]']",['10.1016/0090-1229(88)90074-8 [doi]'],ppublish,Clin Immunol Immunopathol. 1988 May;47(2):219-29. doi: 10.1016/0090-1229(88)90074-8.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Membrane Glycoproteins)', '3CHI920QS7 (Cytochalasin B)', 'SML2Y3J35T (Colchicine)']","['CM-37613-64/CM/NCI NIH HHS/United States', 'N01-CM-07444/CM/NCI NIH HHS/United States']",,,,,,,
3258192,NLM,MEDLINE,19880512,20190705,0092-8674 (Print) 0092-8674 (Linking),53,1,1988 Apr 8,Molecular analysis of a t(7;14)(q35;q32) chromosome translocation in a T cell leukemia of a patient with ataxia telangiectasia.,137-44,"Molecular analysis of somatic cell hybrids derived from T cells carrying a t(7;14)(q35;q32) chromosomal translocation from a patient with ataxia telangiectasia and T cell leukemia indicates that the breakpoint on chromosome 14 is proximal to the IgH locus and to the D14S1 locus, while the breakpoint on chromosome 7 involves the T cell receptor beta chain locus immediately 5' to J beta 1.5 on chromosome 7. The separation of V beta and C beta observed in somatic cell hybrids defined the orientation of the T cell receptor beta chain locus on chromosome 7 where the V beta genes are centromeric and the C beta genes are telomeric. A novel chromosomal alteration, undetected cytogenetically, was revealed as being an inversion with duplication of the distal band of chromosome 14q32. The importance of the 14q32 region in the leukemogenic process is discussed.","['Russo, G', 'Isobe, M', 'Pegoraro, L', 'Finan, J', 'Nowell, P C', 'Croce, C M']","['Russo G', 'Isobe M', 'Pegoraro L', 'Finan J', 'Nowell PC', 'Croce CM']","['Wistar Institute of Anatomy and Biology, Philadelphia, Pennsylvania 19104.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cell,Cell,0413066,IM,"['Ataxia Telangiectasia/complications/*genetics/immunology', 'Base Sequence', 'Cell Line', 'Chromosome Mapping', '*Chromosomes, Human, Pair 14', '*Chromosomes, Human, Pair 7', 'Genes', 'Humans', 'Leukemia/complications/*genetics/immunology', 'Molecular Sequence Data', 'Receptors, Antigen, T-Cell/genetics', 'T-Lymphocytes/immunology', '*Translocation, Genetic']",,1988/04/08 00:00,1988/04/08 00:01,['1988/04/08 00:00'],"['1988/04/08 00:00 [pubmed]', '1988/04/08 00:01 [medline]', '1988/04/08 00:00 [entrez]']","['0092-8674(88)90495-3 [pii]', '10.1016/0092-8674(88)90495-3 [doi]']",ppublish,Cell. 1988 Apr 8;53(1):137-44. doi: 10.1016/0092-8674(88)90495-3.,"['0 (Receptors, Antigen, T-Cell)']",['CA39860/CA/NCI NIH HHS/United States'],,,,,,,
3258185,NLM,MEDLINE,19880512,20131121,0008-5472 (Print) 0008-5472 (Linking),48,8,1988 Apr 15,"Restoration of cytolytic T-lymphocyte response with a new immunopotentiator, N-(4-[(4-fluorophenyl)sulfonyl]phenyl)acetamide (CL 259, 763), in mice.",2135-7,"The immunorestorative characteristics of a novel synthetic immunomodulator, N-(4-[(4-fluorophenyl)sulfonyl]phenyl)acetamide (CL 259, 763), has been investigated in several experimental models. In one situation, the compound was shown to enhance the induction of a cytolytic T-lymphocyte response to the murine MBL-2 leukemia implanted in its syngeneic host in which only a minimal reactivity to the tumor is normally displayed. In a Vaccinia virus model, the compound similarly augmented the lytic activity of cytolytic T-lymphocyte to virus-infected targets in not only viral antigen-primed but also cyclosporin A-impaired mice. Likewise, the alloreactive cytolytic T-lymphocyte activity was recovered in animals immunocompromised by inoculation with murine plasmacytomas or cytoreductive anticancer drugs, such as cyclophosphamide and 5-fluorouracil. Thus, the present findings suggest that CL 259,763 is effective in potentiating the immune response to weak antigens as well as in restoring alloreactivity by sparing the immunotoxicity associated with the administration of cytotoxic drugs and the growth of neoplasms.","['Wang, B S', 'Ruszala-Mallon, V M', 'Lumanglas, A L', 'Silva, J', 'Durr, F E']","['Wang BS', 'Ruszala-Mallon VM', 'Lumanglas AL', 'Silva J', 'Durr FE']","['Chemotherapy Research Department, American Cyanamid Company, Lederle Laboratories, Pearl River, New York 10965.']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Adjuvants, Immunologic/*pharmacology', 'Animals', 'Cyclophosphamide/pharmacology', 'Cyclosporins/pharmacology', 'Fluorouracil/pharmacology', 'Mice', 'Mice, Inbred Strains', 'Neoplasms, Experimental/immunology', 'Sulfones/*pharmacology', 'T-Lymphocytes, Cytotoxic/*drug effects', 'Virus Diseases/immunology']",,1988/04/15 00:00,1988/04/15 00:01,['1988/04/15 00:00'],"['1988/04/15 00:00 [pubmed]', '1988/04/15 00:01 [medline]', '1988/04/15 00:00 [entrez]']",,ppublish,Cancer Res. 1988 Apr 15;48(8):2135-7.,"['0 (Adjuvants, Immunologic)', '0 (Cyclosporins)', '0 (Sulfones)', '734-22-5 (CL 259763)', '8N3DW7272P (Cyclophosphamide)', 'U3P01618RT (Fluorouracil)']",,,,,,,,
3258177,NLM,MEDLINE,19880422,20190816,0165-4608 (Print) 0165-4608 (Linking),31,2,1988 Apr,Acute lymphoblastic leukemia with a unique rearrangement between chromosomes 4 and 11.,291-4,A case of pre-B cell acute lymphoblastic leukemia (pre-B ALL) with a dir ins(11;4)(q23;q21q31) chromosome rearrangement is presented. The patient's clinical findings and history were similar to those described for the t(4;11)(q21;q23) subgroup of childhood ALL. These findings suggest that the interfacing of the distal breakpoint at band 4q21 to the proximal breakpoint of band 11q23 represents the primary cytogenetic change observed in this subgroup of ALL.,"[""O'Malley, D P"", 'Kulkarni, R', 'Oaks, M K', 'Higgins, J V']","[""O'Malley DP"", 'Kulkarni R', 'Oaks MK', 'Higgins JV']","['Department of Pathology, E. W. Sparrow Hospital, Lansing, Michigan 48909-9986.']",['eng'],"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['B-Lymphocytes', '*Chromosome Aberrations', 'Chromosome Banding', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 4', 'Female', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Lymphoid/*genetics']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']","['0165-4608(88)90231-2 [pii]', '10.1016/0165-4608(88)90231-2 [doi]']",ppublish,Cancer Genet Cytogenet. 1988 Apr;31(2):291-4. doi: 10.1016/0165-4608(88)90231-2.,,,,,,,,,
3258176,NLM,MEDLINE,19880422,20190816,0165-4608 (Print) 0165-4608 (Linking),31,2,1988 Apr,t(1;19) and t(12;17) in childhood acute lymphoblastic leukemia of pre-B type.,275-8,We report on a patient with pre-B acute lymphoblastic leukemia (ALL) and t(t;19) as the principal chromosomal abnormality. The presence of the subsequent t(12;17) and the correlation between the chromosomal anomalies and the immunologic phenotype is discussed.,"['Ghione, F', 'Gargano, D', 'Guazzelli, C', 'Lippi, A']","['Ghione F', 'Gargano D', 'Guazzelli C', 'Lippi A']","['Sezione di Ematologia, Clinica Pediatrica III, Universita degli Studi di Firenze, Firenze, Italy.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['B-Lymphocytes', 'Child, Preschool', 'Chromosome Banding', '*Chromosomes, Human, Pair 1', '*Chromosomes, Human, Pair 12', '*Chromosomes, Human, Pair 17', '*Chromosomes, Human, Pair 19', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male', '*Translocation, Genetic']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']","['0165-4608(88)90228-2 [pii]', '10.1016/0165-4608(88)90228-2 [doi]']",ppublish,Cancer Genet Cytogenet. 1988 Apr;31(2):275-8. doi: 10.1016/0165-4608(88)90228-2.,,,,,,,,,
3258175,NLM,MEDLINE,19880422,20190816,0165-4608 (Print) 0165-4608 (Linking),31,2,1988 Apr,A translocation t(9;11)(p11;q23) in T-cell acute lymphoblastic leukemia (FAB-l2).,263-9,"We here report a t(9;11)(p11;q23) as the only abnormality in the affected cells of a 20-year-old male with acute lymphoblastic leukemia (L2) of T-cell origin. One hundred six patients with acute leukemia and involvement of band 11q23 were reviewed. Young age, hyperleukocytosis, and poor prognosis characterized almost all the cases in the acute leukemias with the 11q23 translocation, despite involvement of different recipient chromosomes and different morphologic and immunologic phenotypes.","['Fan, Y S', 'Rowe, J M', 'Dal Cin, P D', 'Sandberg, A A']","['Fan YS', 'Rowe JM', 'Dal Cin PD', 'Sandberg AA']","['Department of Genetics and Endocrinology, Roswell Park Memorial Institute, Buffalo, New York.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,IM,"['Adult', 'Chromosome Banding', '*Chromosomes, Human, Pair 11', '*Chromosomes, Human, Pair 9', 'Genetic Markers', 'Humans', 'Karyotyping', 'Leukemia, Lymphoid/*genetics', 'Male', 'T-Lymphocytes', '*Translocation, Genetic']",,1988/04/01 00:00,1988/04/01 00:01,['1988/04/01 00:00'],"['1988/04/01 00:00 [pubmed]', '1988/04/01 00:01 [medline]', '1988/04/01 00:00 [entrez]']","['0165-4608(88)90226-9 [pii]', '10.1016/0165-4608(88)90226-9 [doi]']",ppublish,Cancer Genet Cytogenet. 1988 Apr;31(2):263-9. doi: 10.1016/0165-4608(88)90226-9.,['0 (Genetic Markers)'],['CA-41285/CA/NCI NIH HHS/United States'],,,,,,,
3258160,NLM,MEDLINE,19880429,20190704,0007-1048 (Print) 0007-1048 (Linking),68,2,1988 Feb,Interleukin 2 production in bone marrow of normal individuals and patients associated with B-cell chronic lymphocytic leukaemia.,207-12,"T-cells from patients with B-cell chronic lymphocytic leukaemia (B-CLL) have abnormal T4/T8 ratios and functions. Previously, we demonstrated that peripheral blood (PB) mononuclear cells from B-CLL patients secrete significant amounts of interleukin 2 (IL2) with an apparent dysregulation of accessory cells controlling this production. In this study, IL2 production was investigated in PB and in bone marrow (BM) from patients with previously untreated B-CLL, mostly in early stages of the disease, and compared to normal donors. A significant secretion was observed in both PB and BM from B-CLL patients after stimulation by phytohaemagglutinin (PHA), with lower amounts in patients with nodular involvement of BM, as compared to interstitial or diffuse involvements. To explore the role of accessory cells in controlling IL2 production, we added phorbol ester or indomethacin to the culture system or irradiated the cells before culture. Phorbol ester significantly increased the IL2 secretion in both the PB and the BM of B-CLL patients. The irradiation or the addition of indomethacin did not enhance the IL2 production in PB from B-CLL patients. However, IL2 secretion increased in the BM cells from B-CLL patients after addition of indomethacin or prior irradiation, in a similar way to that observed in PB and BM of normal controls, suggesting an apparent normal control of the IL2 production in BM from B-CLL patients. In normal controls, we demonstrated that IL2 secretion per T-cell from BM was 5.4-fold greater than that from normal PB, suggesting a very efficient role of accessory cells controlling IL2 production in normal BM.","['Rossi, J F', 'Klein, B', 'Commes, T', 'Jourdan, M', 'Janbon, C']","['Rossi JF', 'Klein B', 'Commes T', 'Jourdan M', 'Janbon C']","['Service de Medecine B, Hopital Saint-Eloi, Montpellier, France.']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['Aged', 'Aged, 80 and over', 'B-Lymphocytes', 'Bone Marrow/*immunology', 'Female', 'Humans', 'Interleukin-2/*biosynthesis', 'Leukemia, Lymphoid/*immunology', 'Leukocytes, Mononuclear/immunology', 'Male', 'Middle Aged', 'Phytohemagglutinins/pharmacology', 'Tumor Cells, Cultured']",,1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",['10.1111/j.1365-2141.1988.tb06191.x [doi]'],ppublish,Br J Haematol. 1988 Feb;68(2):207-12. doi: 10.1111/j.1365-2141.1988.tb06191.x.,"['0 (Interleukin-2)', '0 (Phytohemagglutinins)', '0 (phytohemagglutinin-P)']",,,,,,,,
3258116,NLM,MEDLINE,19880411,20190510,0002-9173 (Print) 0002-9173 (Linking),89,3,1988 Mar,Flow cytometry in the diagnosis of acute leukemia.,341-6,"Fifty cases of acute leukemia were analyzed by means of flow cytometry. The results obtained were correlated with morphology and routine cytochemistries. The panel selected was useful in classifying an acute leukemia as acute lymphocytic (ALL) or acute nonlymphocytic (ANLL), which is of primary importance for therapeutic considerations. Common ALL (CALLA) (J5) was a good marker for classifying the leukemia as ALL. Monoclonal antibodies (MoAbs) T1 and/or T11 further delineated the lymphoid leukemia as T-cell ALL while MoAbs B4 or B1 delineated the lymphoid leukemia as non-T-cell ALL. Eighteen cases of ALL were diagnosed and consisted of five cases of T-cell ALL and 13 cases of non-T-cell ALL. Both the T-cell ALL cases and non-T-cell ALL cases were found to be heterogeneous and could be further subgrouped by phenotypic expression with additional MoAbs in the panel. A monoclonal antibody panel consisting of My4, My7, My9, Mo1, and Mo2 was useful in characterizing an acute leukemia as ANLL. This panel was less useful in distinguishing myeloid from monocytic subtypes although My4, Mo1, or Mo2 when present, appeared to favor a monocytic component. Of interest, a case of biclonal leukemia with two distinct blast populations on the flow cytogram was discovered. Morphology alone was successful in diagnosing ALL from ANLL in 35 cases (70%). It was not useful in distinguishing non-T-ALL cases from T-ALL cases. The ambiguous cases could be resolved by cytometric means. Flow cytometry has much to offer as a diagnostic aid in the evaluation of acute leukemia.","['Krause, J R', 'Penchansky, L', 'Contis, L', 'Kaplan, S S']","['Krause JR', 'Penchansky L', 'Contis L', 'Kaplan SS']","['Department of Pathology, University of Pittsburgh, School of Medicine, Pennsylvania.']",['eng'],['Journal Article'],England,Am J Clin Pathol,American journal of clinical pathology,0370470,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antibodies, Monoclonal', 'Child', 'Child, Preschool', '*Flow Cytometry', 'Humans', 'Immunohistochemistry', 'Infant', 'Leukemia/classification/*diagnosis/pathology', 'Leukemia, Lymphoid/classification/diagnosis', 'Middle Aged', 'Phenotype', 'T-Lymphocytes']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",['10.1093/ajcp/89.3.341 [doi]'],ppublish,Am J Clin Pathol. 1988 Mar;89(3):341-6. doi: 10.1093/ajcp/89.3.341.,"['0 (Antibodies, Monoclonal)']",,,,,,,,
3258050,NLM,MEDLINE,19880419,20130304,0887-6924 (Print) 0887-6924 (Linking),2,3,1988 Mar,T cell receptor alpha mRNA transcription in T-lymphoblastic transformation of chronic myelocytic leukemia.,144-7,"Analysis at the DNA and RNA level revealed a mature genetic marker profile in a case of T type blast crisis of chronic myelocytic leukemia. T cell receptor beta chain gene rearrangement as well as T cell receptor alpha mRNA transcription was demonstrated in blasts of the malignant clone. Corresponding findings were obtained from immunological phenotyping. Blasts were found to be CD7+, CD1+, CD3+, CD4+, CD8+, and TdT- and classified as common/mature thymocytes. The presence of the breakpoint cluster region gene on chromosome 22 excluded the possibility of a second neoplastic process.","['Valent, P', 'Bartram, C R', 'Radaszkiewicz, T', 'Hinterberger, W', 'Lechner, K', 'Bettelheim, P']","['Valent P', 'Bartram CR', 'Radaszkiewicz T', 'Hinterberger W', 'Lechner K', 'Bettelheim P']","['Department of Medicine, University of Vienna, Austria.']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Adult', 'Antigens, Surface/analysis', 'Cell Transformation, Neoplastic/analysis/metabolism/*pathology', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', '*Lymphocyte Activation', 'Male', 'Phenotype', 'RNA, Messenger/analysis', 'Receptors, Antigen, T-Cell/*genetics', 'T-Lymphocytes/metabolism/*pathology', '*Transcription, Genetic']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1988 Mar;2(3):144-7.,"['0 (Antigens, Surface)', '0 (RNA, Messenger)', '0 (Receptors, Antigen, T-Cell)']",,,,,,,,
3258049,NLM,MEDLINE,19880419,20130304,0887-6924 (Print) 0887-6924 (Linking),2,3,1988 Mar,Basophils exhibit rearrangement of the bcr gene in Philadelphia chromosome-positive chronic myeloid leukemia.,141-3,"Basophils were isolated from the peripheral blood of two patients with Philadelphia positive-chronic myeloid leukemia using monoclonal antibody Bsp-1 and fluorescence activated cell sorting. DNA blot analyses demonstrated rearrangement of the breakpoint cluster region gene in the isolated basophils, which suggests their leukemic origin. Isolated T cells from these patients that were cultured for 14 days in the presence of interleukin-2 lacked rearrangement of the breakpoint cluster region gene and are therefore unlikely to be derived from the chronic myeloid leukemia clone.","['Bosma, T J', 'Kennedy, M A', 'Bodger, M P', 'Hollings, P E', 'Fitzgerald, P H']","['Bosma TJ', 'Kennedy MA', 'Bodger MP', 'Hollings PE', 'Fitzgerald PH']","['Cancer Society of New Zealand, Cytogenetics Unit, Christchurch Hospital.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Basophils/analysis/*pathology', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Nucleic Acid Hybridization', '*Oncogenes', '*Philadelphia Chromosome', '*Recombination, Genetic', 'T-Lymphocytes/analysis/pathology']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1988 Mar;2(3):141-3.,,,,,,,,,
3258048,NLM,MEDLINE,19880419,20130304,0887-6924 (Print) 0887-6924 (Linking),2,3,1988 Mar,Detection of human B-lymphotropic virus (human herpesvirus 6) sequences in B cell lymphoma tissues of three patients.,132-5,"A survey for HBLV (human B-lymphotropic herpesvirus or human herpesvirus 6) sequences by Southern blot analyses was performed on DNA obtained from a variety of pathologically defined tissues, including a number of lymphomas, leukemias, and tissues from other hematologic disorders. Of the over 50 specimens studied, viral sequences were detected in three lymphomas of B cell derivation: an Epstein-Barr virus-positive African Burkitt's lymphoma, a follicular large cell lymphoma (nodular histocytic lymphoma), and two Epstein-Barr virus-negative tumors from a patient with Sjogren's syndrome. These results are the first indication of HBLV sequences associated with B cell tumors in a limited number of cases and raise the possibility that the virus might be involved in the genesis of some B cell tumors.","['Josephs, S F', 'Buchbinder, A', 'Streicher, H Z', 'Ablashi, D V', 'Salahuddin, S Z', 'Guo, H G', 'Wong-Staal, F', 'Cossman, J', 'Raffeld, M', 'Sundeen, J']","['Josephs SF', 'Buchbinder A', 'Streicher HZ', 'Ablashi DV', 'Salahuddin SZ', 'Guo HG', 'Wong-Staal F', 'Cossman J', 'Raffeld M', 'Sundeen J', 'et al.']","['Laboratory of Tumor Cell Biology, National Cancer Institute, Bethesda, Maryland 20205.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,IM,"['Aged', 'B-Lymphocytes/*analysis/microbiology', 'Burkitt Lymphoma/analysis/microbiology', 'Child, Preschool', 'DNA, Viral/*isolation & purification', 'Female', 'Herpesviridae/*genetics', 'Humans', 'Lymphoma/*analysis/microbiology', 'Male', 'Middle Aged', 'Nucleic Acid Hybridization']",,1988/03/01 00:00,1988/03/01 00:01,['1988/03/01 00:00'],"['1988/03/01 00:00 [pubmed]', '1988/03/01 00:01 [medline]', '1988/03/01 00:00 [entrez]']",,ppublish,Leukemia. 1988 Mar;2(3):132-5.,"['0 (DNA, Viral)']",['1-CP-51009/CP/NCI NIH HHS/United States'],,,,,,,
3258007,NLM,MEDLINE,19880413,20190508,0022-1007 (Print) 0022-1007 (Linking),167,2,1988 Feb 1,The E mu-myc transgenic mouse. A model for high-incidence spontaneous lymphoma and leukemia of early B cells.,353-71,"Mice transgenic for a c-myc gene driven by the IgH enhancer (E mu-myc) were shown to almost invariably develop lymphomas, 90% succumbing in the first 5 mo of life. The tumors typically presented as rapidly progressive lymphadenopathy with thymic involvement and were highly malignant by transplantation assay. Morphologically, they were lymphoblastic lymphomas, usually accompanied by lymphoid leukemia and granulocytosis, and were distinct from the tumors that arose much later in 37% of nontransgenic mice of the same (C57BL/6 x SJL)F2 genetic background. Cell-surface markers on 31 E mu-myc tumors identified 52% as pre-B lymphomas, 29% as mixed pre-B and B lymphomas, and 19% as B lymphomas. The tumors appeared to arise at random from a population of pre-B cells expanded by constitutive expression of the myc transgene. A majority of the animals initiated malignancy at the rate of 17% per week. The rate at which the cycling, benign pre-B cells spontaneously convert to malignancy was estimated to about 10(-10) per cell per generation. A transient leukocytosis identified in young E mu-myc mice was developed into a rapid assay for inheritance of the transgene.","['Harris, A W', 'Pinkert, C A', 'Crawford, M', 'Langdon, W Y', 'Brinster, R L', 'Adams, J M']","['Harris AW', 'Pinkert CA', 'Crawford M', 'Langdon WY', 'Brinster RL', 'Adams JM']","['Walter and Eliza Hall Institute of Medical Research, Victoria, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Antigens, Neoplasm/classification', 'Antigens, Surface/classification', 'B-Lymphocytes/immunology/*pathology', 'Disease Models, Animal', 'Female', 'Leukemia, Experimental/blood/classification/*pathology', 'Lymphoma/blood/classification/*pathology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic/*genetics', 'Neoplasm Transplantation', '*Oncogenes', 'Phenotype', 'Spleen/pathology']",,1988/02/01 00:00,1988/02/01 00:01,['1988/02/01 00:00'],"['1988/02/01 00:00 [pubmed]', '1988/02/01 00:01 [medline]', '1988/02/01 00:00 [entrez]']",['10.1084/jem.167.2.353 [doi]'],ppublish,J Exp Med. 1988 Feb 1;167(2):353-71. doi: 10.1084/jem.167.2.353.,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']","['CA-12421/CA/NCI NIH HHS/United States', 'CA-43540/CA/NCI NIH HHS/United States', 'HD-09172/HD/NICHD NIH HHS/United States']",,,PMC2188841,,,,
