PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,GR,SI,OID,OTO,OT,GN
6945898,NLM,MEDLINE,19820128,20190620,0008-543X (Print) 0008-543X (Linking),48,11,1981 Dec 1,Long-term survival in childhood acute lymphocytic leukemia in Italy.,2364-7,"Among 727 children with acute lymphocytic leukemia (ALL) observed at eight pediatric clinics in Italy in the years 1967-1974, 200 (27.5%) survived for more than five years after diagnosis. The proportion of long-term survivors rose significantly during the years 1970-1974 when aggressive therapeutic programs with curative intent were uniformly adopted in Italy (19.8% vs. 29.4%; P less than 0.05). Clinical and laboratory data at diagnosis of the 200 long-term survivors were analyzed and compared with that of the 527 nonsurvivors. We found that, besides a leukocyte count greater than 50,000 cells/mm3, other factors such as early central nervous system CNS leukemia and the presence of mediastinal mass were predictive of a poorer prognosis for long-term survival. Life-table analysis revealed that the chance of long-term survival was significantly higher in those children who have survived for five years without relapse (82.9% vs. 24.1%; P less than 0.01). Although late initial relapse is always possible, if a child with ALL remains in continuous complete remission for at least nine years, it is likely that the patient is cured.","['Mandelli, F', 'Amadori, S', 'Ceci, A', 'Guazzelli, C', 'Madon, E', 'Marchi, A', 'Masera, G', 'Paolucci, G', 'Zanesco, L']","['Mandelli F', 'Amadori S', 'Ceci A', 'Guazzelli C', 'Madon E', 'Marchi A', 'Masera G', 'Paolucci G', 'Zanesco L']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Italy', 'Leukemia, Lymphoid/*mortality/pathology', 'Leukocyte Count', 'Male', 'Prognosis', 'Time Factors']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1002/1097-0142(19811201)48:11<2364::aid-cncr2820481104>3.0.co;2-y [doi]'],ppublish,Cancer. 1981 Dec 1;48(11):2364-7. doi: 10.1002/1097-0142(19811201)48:11<2364::aid-cncr2820481104>3.0.co;2-y.,,,,,,,,
6945897,NLM,MEDLINE,19820120,20190620,0008-543X (Print) 0008-543X (Linking),48,10,1981 Nov 15,Chronic monocytic leukemia in adults.,2239-55,"Clinical, hematologic, and histologic material from five patients with chronic monocytic leukemia is analyzed, and the literature is reviewed on 28 patients either reported as having this disease or referenced as such in subsequent publications. Patients with chronic monocytic leukemia have a characteristic clinical course. All have splenomegaly of uncertain etiology, and initial hematologic evaluation usually shows anemia with normal leukocyte and differential counts. One of the authors' patients had slight monocytosis at presentation. In the four patients for whom presplenectomy bone marrow smears were available for review, there was no detectable increase in the number of monocytes. The patients developed monocytosis, usually with accompanying leukocytosis, at intervals ranging from 3.5 to 24 months after splenectomy. In all patients, there was a corresponding increase in the numbers of mature monocytes in the bone marrow. Survival times from the detection of monocytosis ranged from five to eight months. Of the 28 cases reported in the literature, only two were considered by the authors of this study to have the characteristics of chronic monocytic leukemia, and of these, only one had features identical to those reported in the present series. The remainder represent a variety of hematologic disorders including chronic myelomonocytic leukemia, acute leukemia, histiomonocytic proliferations that cannot be sub-classified, and cases in which the data are insufficient for analysis. The differential diagnosis includes chronic myelomonocytic leukemia, chronic malignant histiocytosis, and hairy cell leukemia. In chronic monocytic leukemia, in contrast to hairy cell leukemia, splenectomy does not appear to be beneficial. Although chronic monocytic leukemia is an extremely rare disease, it is a distinct hematologic entity that appears to have a characteristic clinical course.","['Bearman, R M', 'Kjeldsberg, C R', 'Pangalis, G A', 'Rappaport, H']","['Bearman RM', 'Kjeldsberg CR', 'Pangalis GA', 'Rappaport H']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,"['Adult', 'Aged', 'Blood Cell Count', 'Bone Marrow/pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Hairy Cell/pathology', 'Leukemia, Myeloid/mortality/*pathology/therapy', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lymphatic Diseases/pathology', 'Male', 'Middle Aged', 'Monocytes/pathology', 'Spleen/pathology']",1981/11/15 00:00,1981/11/15 00:01,['1981/11/15 00:00'],"['1981/11/15 00:00 [pubmed]', '1981/11/15 00:01 [medline]', '1981/11/15 00:00 [entrez]']",['10.1002/1097-0142(19811115)48:10<2239::aid-cncr2820481020>3.0.co;2-x [doi]'],ppublish,Cancer. 1981 Nov 15;48(10):2239-55. doi: 10.1002/1097-0142(19811115)48:10<2239::aid-cncr2820481020>3.0.co;2-x.,,,"['1 R01 CA-26422/CA/NCI NIH HHS/United States', '1 T32 CA-09308/CA/NCI NIH HHS/United States', 'R 10 CA-18044/CA/NCI NIH HHS/United States', 'etc.']",,,,,
6945886,NLM,MEDLINE,19820128,20190904,0006-5242 (Print) 0006-5242 (Linking),43,4,1981 Oct,Familial leukemia: Ph1 positive acute lymphoid leukemia of a mother and her infant.,265-72,,"['Olah, E', 'Stenszky, V', 'Kiss, A', 'Kovacs, I', 'Balogh, E', 'Karmazsin, L']","['Olah E', 'Stenszky V', 'Kiss A', 'Kovacs I', 'Balogh E', 'Karmazsin L']",['eng'],"['Case Reports', 'Journal Article']",Germany,Blut,Blut,0173401,['0 (HLA Antigens)'],IM,"['Chromosomes, Human, 21-22 and Y', 'Female', 'HLA Antigens/analysis', 'Humans', 'Infant', 'Leukemia, Lymphoid/*genetics/immunology']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1007/BF00320456 [doi]'],ppublish,Blut. 1981 Oct;43(4):265-72. doi: 10.1007/BF00320456.,,,,,,,,
6945885,NLM,MEDLINE,19820128,20190904,0006-5242 (Print) 0006-5242 (Linking),43,4,1981 Oct,Congenital erythroleukemia. A case report.,237-41,"The disease of a four week old boy is described, which presented with papulous skin infiltrations, lethargy, anemia and bilateral testicular swelling. The investigation of bone marrow, cerebrospinal fluid and skin biopsy revealed infiltration by a leukemic process which could be identified by means of cytology and cytochemistry as erythroleukemia at the stage of erythremic myelosis. Death occurred 20 days after the onset of symptoms. Only one previous report of congenital erythroleukemia could be found in the literature. The findings are briefly discussed.","['Lasson, U', 'Goos, M']","['Lasson U', 'Goos M']",['eng'],"['Case Reports', 'Journal Article']",Germany,Blut,Blut,0173401,,IM,"['Biopsy', 'Bone Marrow/pathology', 'Humans', 'Infant', 'Leukemia, Erythroblastic, Acute/cerebrospinal fluid/*congenital/pathology', 'Male', 'Skin/pathology', 'Skin Neoplasms/pathology']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1007/BF00320452 [doi]'],ppublish,Blut. 1981 Oct;43(4):237-41. doi: 10.1007/BF00320452.,,,,,,,,
6945884,NLM,MEDLINE,19820109,20061115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Heterogeneity in the cellular commitment of a human leukemic cell line: K 562.,357-75,"The cellular origin of the K 562 cell line, established from a patient in the blast crisis of chronic myeloid leukemia has been investigated. In agreement with previous reports, an erythroid differentiation was observed. A minority of immature, but hemoglobinized erythroblasts were identified both by electron microscopy and by immunofluorescence using an antibody to gamma-globin chains. Embryonic and fetal hemoglobin (Hb) were synthesized. Hemin increased the number of erythroblasts as well as the absolute amount of Hb synthesized: the Hb pattern was also significantly modified. By cytochemical ultrastructural detection of peroxidase activity (PA), a weak PA, distinct from granulocytic peroxidases, was found exclusively in the nuclear envelope and rough endoplasmic reticulum in a small number proportion of cells. In its localization this PA resembled that of normal and leukemic promegakaryoblasts. The addition of sodium butyrate or dimethylformamide markedly increased the number of these cells (up to 30%) but did not modify their cytoplasmic maturation. No modification of Hb synthesis was observed. Cloning of the K 562 line revealed a marked heterogeneity from one clone to another in Hb production, in the phenotype of Hb synthesis, and in the inducibility by butyrate or dimethylformamide. An inverse relationship between the number of cells with PA and Hb production was found in the different clones. Recloning some of these primary clones resulted in secondary clones, which displayed properties similar to those from which they had originated. All attempts to obtain granulocytic differentiation by addition of different inducers failed. These results clearly indicate that the K 562 cell line arises from the proliferation of bipotent stem cells, these cells possessing variable capacities of differentiation toward erythroid and presumably megakaryocytic cell lineages.","['Vainchenker, W', 'Testa, U', 'Guichard, J', 'Titeux, M', 'Breton-Gorius, J']","['Vainchenker W', 'Testa U', 'Guichard J', 'Titeux M', 'Breton-Gorius J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells,Blood cells,7513567,,IM,"['Cell Line', 'Erythrocytes/ultrastructure', 'Hematopoietic Stem Cells/*ultrastructure', 'Humans', 'Leukemia, Myeloid/*ultrastructure', 'Megakaryocytes/ultrastructure', 'Microscopy, Electron']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):357-75.,,,,,,,,
6945883,NLM,MEDLINE,19820109,20071115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Acute nonlymphocytic leukemias following chemotherapy. Ultrastructural study of erythroblastic cell line and discussion of nuclear anomalies.,341-56,"In 18 cases of drug-induced acute leukemia, electron microscopy brought out a number of anomalies found in all hematopoietic cell lines. They are described here for the erythroblastic line. Some of these anomalies occur in the cytoplasm (like siderosomes, iron-containing mitochondria, glycogen spots, various dense inclusions, and nuclear-cytoplasmic asynchronism; others occur in the nucleus (such as plurinucleated cells, fragility of nuclear membrane, and nuclear clefts and blebs). Nuclear clefts and blebs may also be found in granulocytic and megakaryocytic cell lines. Their structural aspect suggests a relationship with chromosomal abnormalities, particularly with synaptonemal complexes. Unusual karyotypes, observed in two cases, give weight to such a hypothesis. The cell injury caused by alkylating agents, including DNA lesion, is most likely closely related to this particular pattern of drug-induced leukemias.","['Thiery, J P', 'Aurias, A', 'Dumont, J', 'Mazabraud, A', 'Trapet, P']","['Thiery JP', 'Aurias A', 'Dumont J', 'Mazabraud A', 'Trapet P']",['eng'],['Journal Article'],United States,Blood Cells,Blood cells,7513567,['0 (Alkylating Agents)'],IM,"['Alkylating Agents/adverse effects', 'Breast Neoplasms/drug therapy/radiotherapy', 'Cell Nucleus/ultrastructure', 'Chromosomes, Human/ultrastructure', 'Erythrocytes/*ultrastructure', 'Female', 'Hematopoietic Stem Cells/*ultrastructure', 'Hodgkin Disease/drug therapy/radiotherapy', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*chemically induced', 'Lymphoma/drug therapy/radiotherapy', 'Male', 'Microscopy, Electron', 'X-Rays']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):341-56.,,,,,,,,
6945882,NLM,MEDLINE,19820109,20071115,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Karyotypes and cell phenotypes in acute leukemia following other diseases.,293-9,"Acute nonlymphoblastic leukemias following other blood disorders or exposure to possible oncogenic agents were analyzed for cytological and cytogenetical characteristics. ""Secondary' acute leukemias (AL) were often found to be unclassifiable in the FAB system. Monosomy 7 was associated with megakaryocytic cell line abnormalities. Variation of cytological and cytogenetical patterns was correlated in the whole sample and in a sample of 10 postpolycythemia vera blood disorders.","['Berger, R', 'Bernheim, A', 'Daniel, M T', 'Valensi, F', 'Flandrin, G']","['Berger R', 'Bernheim A', 'Daniel MT', 'Valensi F', 'Flandrin G']",['eng'],['Journal Article'],United States,Blood Cells,Blood cells,7513567,,IM,"['Chromosome Aberrations', 'Chromosomes, Human/*ultrastructure', 'Chromosomes, Human, 6-12 and X/ultrastructure', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/classification/etiology/*genetics', 'Polycythemia Vera/*complications']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):293-9.,,,,,,,,
6945881,NLM,MEDLINE,19820109,20131121,0340-4684 (Print) 0340-4684 (Linking),7,2,1981,Phenotypic evaluation of chronic myeloid leukemia.,217-36,"Marrow culture studies revealed a spectrum of qualitative and quantitative defects in granulocyte-macrophage progenitors (GM-CFC) of patients with chronic myeloid leukemia in chronic phase and blastic crisis. Parallel culture studies and terminal transferase determinations revealed that a significant proportion of patients in blastic crisis possess two coexisting acute phase clones, one lymphoblastic and one myeloblastic. Measurement of response to and production of T cell growth factor showed that the leukemic blast cells from patients with TdT-positive blastic crisis produced the factor, but did not exhibit a proliferative response to exogenous factor. This phenotype was identical to that observed in TdT-positive acute lymphoblastic leukemia. Additional regulatory defects were identified in CML, since leukemic GM-CFC proliferation was resistant to inhibition by concentrations of prostaglandin E, which are markedly inhibitory for normal GM-CFC. The self-renewal or recloning capacity of GM-CFC was also identified as a unique feature of some patients with CML. The addition of retinoic acid to primary cultures of leukemic GM-CFC completely abolished this recloning capacity.","['Moore, M A', 'Mertelsmann, R', 'Pelus, L M']","['Moore MA', 'Mertelsmann R', 'Pelus LM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood Cells,Blood cells,7513567,"['0 (Prostaglandins E)', '5688UTC01R (Tretinoin)']",IM,"['Bone Marrow/pathology', 'Cells, Cultured', 'Clone Cells/pathology', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Phenotype', 'Prostaglandins E/pharmacology', 'Tretinoin/pharmacology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Blood Cells. 1981;7(2):217-36.,,,"['CA-08748/CA/NCI NIH HHS/United States', 'CA-17353/CA/NCI NIH HHS/United States', 'CA-20194/CA/NCI NIH HHS/United States']",,,,,
6945880,NLM,MEDLINE,19820109,20210216,0006-4971 (Print) 0006-4971 (Linking),58,5,1981 Nov,On the 5q- deletion: clinical and cytogenetic observations in ten patients and review of the literature.,986-93,"Clinical and cytogenetic findings in 10 patients with deletions of the long arm of chromosomes 5 (5q-) are reported. Five cases had refractory anemia, the preleukemic syndrome, or refractory anemia with an excess of blasts; in all but one, the 5q- was the single initial abnormality. Three patients had overt leukemia; in all, the 5q- was accompanied by additional anomalies. Two patients had a myeloproliferative disorder. In one of these, a case of polycythemia vera, the 5q- appeared secondarily to other karyotypic abnormalities and concomitantly with transformation into a ""spent phase."" The deletions were interstitial in most cases, and even if the size of the deletion varied, the region q15-q31 was lost in all cases except 2. Bone marrow from all cases except one showed a marked increase in the number of megakaryocytes. A survey of the literature yielded a total of 69 evaluable patients with 5q- deletions, including the present series. The 5q- has now been observed in a wide spectrum of hematologic disorders. However, most cases had either preleukemia (39%) or leukemia (46%). When detected during preleukemia, the 5q- usually appeared alone (74%), while during overt leukemia it regularly was accompanied by other abnormalities (88%).","['Swolin, B', 'Weinfeld, A', 'Ridell, B', 'Waldenstrom, J', 'Westin, J']","['Swolin B', 'Weinfeld A', 'Ridell B', 'Waldenstrom J', 'Westin J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,,IM,"['Aged', 'Anemia, Aplastic/genetics', 'Bone Marrow/pathology', '*Chromosome Deletion', '*Chromosomes, Human, 4-5', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/genetics', 'Leukocyte Count', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/genetics', 'Platelet Count', 'Preleukemia/genetics', 'Syndrome']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['S0006-4971(20)84780-6 [pii]'],ppublish,Blood. 1981 Nov;58(5):986-93.,,,,,,,,
6945869,NLM,MEDLINE,19820128,20190704,0007-1048 (Print) 0007-1048 (Linking),49,3,1981 Nov,The aplastic presentation of childhood leukaemia: a feature of common-ALL.,387-93,Transient pancytopenia preceded the onset of acute leukaemia in eight of 360 (2%) of children with acute lymphoblastic leukaemia (ALL) but did not occur in 70 cases of acute non-lymphoblastic leukaemia. The patients developed overt leukaemia within 5-38 weeks of first presentation with features of marrow failure. Immunological classification of blast cells was performed in six of the eight patients and all had phenotype of common-ALL (c-ALL). We conclude that the sydnrome of pre-leukaemia aplasia in childhood is a feature of c-ALL.,"['Breatnach, F', 'Chessells, J M', 'Greaves, M F']","['Breatnach F', 'Chessells JM', 'Greaves MF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Blood Cell Count', 'Bone Marrow/*pathology', 'Child', 'Child, Preschool', 'Female', 'Hemoglobinometry', 'Humans', 'Leukemia, Lymphoid/blood/*pathology', 'Male', 'Pancytopenia/pathology', 'Preleukemia/blood/*pathology']",1981/11/01 00:00,1981/11/01 00:01,['1981/11/01 00:00'],"['1981/11/01 00:00 [pubmed]', '1981/11/01 00:01 [medline]', '1981/11/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07241.x [doi]'],ppublish,Br J Haematol. 1981 Nov;49(3):387-93. doi: 10.1111/j.1365-2141.1981.tb07241.x.,,,,,,,,
6945868,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Retrospective evaluation of M3 variant in children.,315,,"['Cantu Rajnoldi, A', 'Ferrari, M', 'Cattoretti, G', 'Rossi, M R', 'Masera, G']","['Cantu Rajnoldi A', 'Ferrari M', 'Cattoretti G', 'Rossi MR', 'Masera G']",['eng'],['Letter'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Child', 'Classification', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis', 'Retrospective Studies']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07228.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):315. doi: 10.1111/j.1365-2141.1981.tb07228.x.,,,,,,,,
6945867,NLM,MEDLINE,19820120,20190704,0007-1048 (Print) 0007-1048 (Linking),49,2,1981 Oct,Monosomy 7 in childhood: a myeloproliferative disorder.,235-49,"Between 1976 and 1979 a myeloproliferative disease associated with cells monosomic for chromosome number 7 in the bone marrow was seen in six boys aged 5 1/2 months to 8 years (median 10 months). Presenting features included hepatosplenomegaly (5/6), respiratory infections (4/6), pallor (2/6) and skin infections (1/6). Haematological features included a leucoerythroblastic anaemia with leucocytosis and thrombocytopenia, and a hyperplastic marrow with a slight excess of blasts. Fetal haemoglobin was normal in four patients and mildly raised in the other two. Neutrophil function tests showed defective chemotaxis with reduced killing, despite a normal NBT test. Cytogenetic analysis of the marrow showed a preponderance of cells with monosomy 7; the blood lymphocytes were cytogenetically normal. In three patients the disease progressed to acute myeloid leukaemia (AML) after 3 weeks to 23 months; the only patient who remitted did so in response to 6-mercaptopurine and prednisolone, but relapsed 16 months later. A fourth child developed massive splenomegaly which initially responded to 6-mercaptopurine and prednisolone, but progressed to myelofibrosis 11 months later. A fifth child died from anaemia and respiratory infection without progression to leukaemia and the sixth patient has not yet developed leukaemia. Monosomy 7 is the diagnostic criterion of one of the more common myeloproliferative states in childhood and carries a high risk of progression to AML. The acute phase is usually resistant to chemotherapy, but even in responsive cases treatment does not result in elimination of the abnormal clone. Allogeneic bone marrow transplantation should be considered in cases with a suitable donor.","['Sieff, C A', 'Chessells, J M', 'Harvey, B A', 'Pickthall, V J', 'Lawler, S D']","['Sieff CA', 'Chessells JM', 'Harvey BA', 'Pickthall VJ', 'Lawler SD']",['eng'],"['Case Reports', 'Journal Article']",England,Br J Haematol,British journal of haematology,0372544,,IM,"['Child', '*Chromosome Aberrations', '*Chromosomes, Human, 6-12 and X', 'Humans', 'Infant', 'Karyotyping', 'Leukemia, Myeloid, Acute/etiology', 'Male', 'Myeloproliferative Disorders/complications/diagnosis/*genetics']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2141.1981.tb07220.x [doi]'],ppublish,Br J Haematol. 1981 Oct;49(2):235-49. doi: 10.1111/j.1365-2141.1981.tb07220.x.,,,,,,,,
6945865,NLM,MEDLINE,19820109,20190511,0306-5251 (Print) 0306-5251 (Linking),12,4,1981 Oct,The pharmacokinetics of subcutaneous cytosine arabinoside in patients with acute myelogenous leukaemia.,507-10,"1 The pharmacokinetics of subcutaneous cytosine arabinoside were compared with bolus intravenous injection and intravenous infusion in five patients with acute myelogenous leukaemia. 2 Subcutaneous cytosine arabinoside was rapidly absorbed and then declined biexponentially with initial and terminal half-lives similar to intravenous bolus injection. 3 Cytosine arabinoside levels declined rapidly after intravenous bolus and subcutaneous bolus injection, and fell below steady state infusion levels after a mean time of 40 min (intravenous bolus) and 100 min (subcutaneous injection).","['Slevin, M L', 'Piall, E M', 'Aherne, G W', 'Johnston, A', 'Sweatman, M C', 'Lister, T A']","['Slevin ML', 'Piall EM', 'Aherne GW', 'Johnston A', 'Sweatman MC', 'Lister TA']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Clin Pharmacol,British journal of clinical pharmacology,7503323,['04079A1RDZ (Cytarabine)'],IM,"['Adult', 'Cytarabine/metabolism/*therapeutic use', 'Drug Administration Schedule', 'Humans', 'Infusions, Parenteral', 'Injections, Intravenous', 'Injections, Subcutaneous', 'Kinetics', 'Leukemia, Myeloid, Acute/*drug therapy']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",['10.1111/j.1365-2125.1981.tb01258.x [doi]'],ppublish,Br J Clin Pharmacol. 1981 Oct;12(4):507-10. doi: 10.1111/j.1365-2125.1981.tb01258.x.,,PMC1401912,,,,,,
6945861,NLM,MEDLINE,19811221,20190904,0006-2928 (Print) 0006-2928 (Linking),19,7-8,1981 Aug,Human succinate dehydrogenase: biochemical and genetic characterization.,741-56,"A simple procedure for the preparation of soluble human succinate dehydrogenase is described. These preparations have proved suitable for analysis by zone electrophoresis, using a specific stain to detect activity after separation. In a survey of succinate dehydrogenase from various tissues and different individuals, no evidence for genetic heterogeneity due to the expression of either multiple loci or alternative alleles at the succinate dehydrogenase locus was found. However, epigenetic heterogeneity in both molecular size and charge was seen and various explanations for the occurrence of the isoenzymes are explored. Estimates of molecular size (93,300 +/- 9100) suggest that the smallest active unit of succinate dehydrogenase accounts for the major part of the solubilized activity. Kinetic studies have shown that the apparent Km values for succinate (0.9 mM) and PMS (0.4 mM) are comparable to those previously described for the beef heart enzyme, and these parameters were not significantly altered when the enzyme was removed from the membrane milieu. However a marked non-succinate-dependent activation of the membrane-associated enzyme at 38 C is apparently lost on solubilization, and this observation may have some bearing on earlier reports of an apparent decrease in Vmax on solubilization of succinate dehydrogenase.","['Shaw, M A', 'Edwards, Y', 'Hopkinson, D A']","['Shaw MA', 'Edwards Y', 'Hopkinson DA']",['eng'],['Journal Article'],United States,Biochem Genet,Biochemical genetics,0126611,['EC 1.3.99.1 (Succinate Dehydrogenase)'],IM,"['Adult', 'Animals', 'Cell Line', 'Electrophoresis, Starch Gel', 'Female', 'Fetus', 'Humans', 'Kidney/enzymology', 'Kinetics', 'Leukemia, Lymphoid', 'Liver/enzymology', 'Male', 'Mitochondria/enzymology', 'Myocardium/enzymology', 'Pregnancy', 'Rats', 'Species Specificity', 'Succinate Dehydrogenase/*genetics/metabolism', 'Testis/enzymology', 'Tissue Distribution']",1981/08/01 00:00,1981/08/01 00:01,['1981/08/01 00:00'],"['1981/08/01 00:00 [pubmed]', '1981/08/01 00:01 [medline]', '1981/08/01 00:00 [entrez]']",['10.1007/BF00484006 [doi]'],ppublish,Biochem Genet. 1981 Aug;19(7-8):741-56. doi: 10.1007/BF00484006.,,,,,,,,
6945826,NLM,MEDLINE,19811216,20071115,0003-9764 (Print) 0003-9764 (Linking),38,4,1981 Apr,[Spontaneous remission of acute leukemia in 2 children (author's transl)].,275-6,,"['Leblanc, A', 'Allard, C']","['Leblanc A', 'Allard C']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Arch Fr Pediatr,Archives francaises de pediatrie,0372421,,IM,"['Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid, Acute/*blood', 'Male', 'Neoplasm Regression, Spontaneous']",1981/04/01 00:00,1981/04/01 00:01,['1981/04/01 00:00'],"['1981/04/01 00:00 [pubmed]', '1981/04/01 00:01 [medline]', '1981/04/01 00:00 [entrez]']",,ppublish,Arch Fr Pediatr. 1981 Apr;38(4):275-6.,Remission spontanee de leucemie aigue chez deux enfants.,,,,,,,
6945824,NLM,MEDLINE,19811221,20190501,1468-2044 (Electronic) 0003-9888 (Linking),56,9,1981 Sep,Haemoglobin and prognosis in childhood acute lymphoblastic leukaemia.,684-6,"Two hundred and nine children presenting consecutively with acute lymphoblastic leukaemia to a regional paediatric oncology unit were investigated to determine the prognostic significance of various factors at diagnosis. There was a strong positive correlation between the pretreatment haemoglobin level and the percentage of bone marrow blast cells in S phase of the cell cycle as assessed by flow cytometry. Patients with T- and B-cell leukaemia had significantly higher haemoglobin levels than non-B non-T patients. In patients with total white cell counts less than 20 X 10(9)/l, aged less than 13 years, and no mediastinal mass, there was no association of haemoglobin with length of first remission. However, among those with white blood counts greater than 20 +/- 10(9)/l there was a strong positive trend towards shorter remission with higher haemoglobin levels. Children with high white blood counts at diagnosis and low haemoglobin levels may have a better prognosis than predicted by the white blood count alone.","['Hann, I M', 'Scarffe, J H', 'Palmer, M K', 'Evans, D I', 'Jones, P H']","['Hann IM', 'Scarffe JH', 'Palmer MK', 'Evans DI', 'Jones PH']",['eng'],['Journal Article'],England,Arch Dis Child,Archives of disease in childhood,0372434,['0 (Hemoglobins)'],IM,"['Child', 'Hemoglobins/*analysis', 'Humans', 'Leukemia, Lymphoid/*blood/diagnosis', 'Prognosis', 'Time Factors']",1981/09/01 00:00,1981/09/01 00:01,['1981/09/01 00:00'],"['1981/09/01 00:00 [pubmed]', '1981/09/01 00:01 [medline]', '1981/09/01 00:00 [entrez]']",['10.1136/adc.56.9.684 [doi]'],ppublish,Arch Dis Child. 1981 Sep;56(9):684-6. doi: 10.1136/adc.56.9.684.,,PMC1627299,,,,,,
