PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,AID,GR,CIN,TT,PMC,SI,CON,EIN,CN,IR,FIR,OID,OTO,OT,GN,MID
8655463,NLM,MEDLINE,19960730,20131121,0886-0238 (Print) 0886-0238 (Linking),9,3-4,1995,"High-dose methylprednisolone, low-dose cytosine arabinoside, and mitoxantrone in children with myelodysplastic syndromes.",185-93,"High-dose methylprednisolone (HDMP) has been shown to induce differentiation of myeloid leukemic cells with a remarkable antileukemic effect in children with various subtypes of acute myeloblastic leukemia (AML), therefore we used HDMP in the treatment of four children with myelodysplastic syndrome (MDS). Two patients had refractory anemia with an excess of blasts in transformation (RAEB-t) with extramedullary infiltration (EMI), one had chronic myelomonocytic leukemia with pleural effusion, and one had RAEB. HDMP was administered orally at a single dose of 20-30 mg/kg/day combined with low-dose cytosine arabinoside (LD Ara-C) (10 mg/m2, 12-hourly s.c.) for 2 weeks. The treatment continued with mitoxantrone (10 mg/m2, i.v.) and Ara-C (5 mg/kg, i.v.) once a week for four doses followed by maintenance chemotherapy. All patients achieved hematologic remission 2-4 weeks after initiation of treatment. Extramedullary infiltration disappeared in all cases within 2 weeks to 3 months after initiation of therapy. With the exception of two patients who relapsed 6 and 24 months after remission, treatment could be stopped in others who remained in remission for 36 months without evidence of EMI; 6 months later one of them developed myelodysplastic relapse (RAEB). No side effects related to HDMP treatment were noted, but hyperleukocytosis developed in two patients who initially had high WBC counts. We suggest that the addition of HDMP with or without LD Ara-C to cytotoxic chemotherapy offers a promising alternative in cases not considered suitable for bone marrow transplantation.","['Hicsonmez, G', 'Tuncer, A M', 'Sayli, T', 'Guler, E', 'Cetin, M', 'Ozbek, N', 'Mufti, G J']","['Hicsonmez G', 'Tuncer AM', 'Sayli T', 'Guler E', 'Cetin M', 'Ozbek N', 'Mufti GJ']","[""Hacettepe Children's Hospital, Department of Pediatric Hematology, Ankara, Turkey.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Hematol Pathol,Hematologic pathology,8707764,"['04079A1RDZ (Cytarabine)', 'BZ114NVM5P (Mitoxantrone)', 'X4W7ZR7023 (Methylprednisolone)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cytarabine/administration & dosage/*therapeutic use', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Female', 'Humans', 'Male', 'Methylprednisolone/administration & dosage/*therapeutic use', 'Mitoxantrone/administration & dosage/*therapeutic use', 'Myelodysplastic Syndromes/*drug therapy']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1995;9(3-4):185-93.,,,,,,,,,,,,,,,,,
8655461,NLM,MEDLINE,19960730,20091119,0886-0238 (Print) 0886-0238 (Linking),9,3-4,1995,Absence of somatic changes in p21 gene in non-Hodgkin's lymphoma and chronic myelogenous leukemia.,171-7,"p21 is induced by and mediates the effects of p53 in response to DNA damage arresting the cell in G1 or G2, by inhibiting multiple cyclin-cyclin-dependent kinases (CDK) or binding to proliferating-cell nuclear antigen (PCNA), respectively. To determine whether p21 mutants occur in tumors we examined DNA from 188 primary non-Hodgkin's B-cell lymphoma (NHL) tumors and 84 chronic myelogenous leukemia samples for mutational changes in the coding region of p21 by single-strand conformation polymorphism (SSCP) analysis and direct sequencing of polymerase chain reaction (PCR)-amplified DNA. We did not find mutations in the coding region in these two tumor types. We identified a polymorphic nucleotide change in codon 31 in which a transversion from C to A substituted amino acid arginine for serine. Three of 188 NHL tumors were homozygous for this change, but they were not identified in 84 CMLs or in 97 normal controls. On the other hand, in one CML case a transition from G to A in codon 64 substituted amino acid threonine for alanine. These data do not indicate that derangements in the coding region of p21 contribute to the initiation and/or progression of these tumors.","['Gong, J Z', 'Zhou, H', 'Hu, Z', 'Schulman, P', 'Vinceguerra, V', 'Broome, J D', 'Koduru, P']","['Gong JZ', 'Zhou H', 'Hu Z', 'Schulman P', 'Vinceguerra V', 'Broome JD', 'Koduru P']","['Cancer Genetics Laboratory, North Shore University Hospital-Cornell University Medical College, Manhasset, NY 11030, USA.']",['eng'],['Journal Article'],United States,Hematol Pathol,Hematologic pathology,8707764,"['0 (DNA, Neoplasm)', 'EC 2.7.11.22 (Cyclin-Dependent Kinases)']",IM,"['Base Sequence', 'Blast Crisis/genetics', 'Cyclin-Dependent Kinases/*antagonists & inhibitors/*genetics', 'DNA, Neoplasm/analysis', 'Genes, Tumor Suppressor', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Lymphoma, B-Cell/*genetics', 'Molecular Sequence Data', 'Mutation']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",ppublish,Hematol Pathol. 1995;9(3-4):171-7.,,,,,,,,,,,,,,,,,
8655334,NLM,MEDLINE,19960730,20190722,0017-9078 (Print) 0017-9078 (Linking),71,1,1996 Jul,Cancer mortality among Techa River residents and their offspring.,77-82,"This paper analyzes the data on leukemia and solid cancers of all types among 28,000 people exposed due to discharges of radioactive waste into the Techa River in the South Urals. Cancer mortality rates for the 33-y period since the beginning of the exposure have been estimated. In addition, the paper discusses malignancy cases among the first generation offspring of the exposed people. In comparison with matched control groups, an increased incidence of malignant neoplasms was observed among the exposed population. The leukemia risk, estimated on the basis of the linear model of absolute risk, was 0.85 per 10,000 person-y Gy of the dose accumulated in red bone marrow. Solid cancer risk (except osteosarcoma), estimated using linear model of relative risk, was 0.65 per Gy of dose accumulated in soft tissues. No increase in cancer mortality has been documented for the offspring of the exposed individuals.","['Kossenko, M M']",['Kossenko MM'],"['Urals Research Center for Radiation Medicine, Chelyabinsk, Russia.']",['eng'],['Journal Article'],United States,Health Phys,Health physics,2985093R,"['0 (Radioactive Waste)', '0 (Water Pollutants, Radioactive)']",IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Radiation-Induced/*mortality', 'Neoplasms, Radiation-Induced/*mortality', 'Radiation Dosage', '*Radioactive Waste', 'Russia', 'Water Pollutants, Radioactive/*adverse effects', 'Water Supply']",1996/07/01 00:00,1996/07/01 00:01,['1996/07/01 00:00'],"['1996/07/01 00:00 [pubmed]', '1996/07/01 00:01 [medline]', '1996/07/01 00:00 [entrez]']",ppublish,Health Phys. 1996 Jul;71(1):77-82. doi: 10.1097/00004032-199607000-00012.,,['10.1097/00004032-199607000-00012 [doi]'],,,,,,,,,,,,,,,
8655073,NLM,MEDLINE,19960730,20200103,0204-8043 (Print) 0204-8043 (Linking),37,4A Suppl,1995,Selection of an appropriate panel for immunophenotyping of cells in acute leukaemias.,68-9,,"['Tzvetkova, T', 'Pavlov, P', 'Blagoeva, S']","['Tzvetkova T', 'Pavlov P', 'Blagoeva S']","['Central clinical laboratory, University of Medicine, Plovdiv, Bulgaria.']",['eng'],['Journal Article'],Bulgaria,Folia Med (Plovdiv),Folia medica,2984761R,,IM,"['Acute Disease', 'Humans', '*Immunophenotyping', 'Leukemia/*immunology/pathology']",1995/01/01 00:00,1995/01/01 00:01,['1995/01/01 00:00'],"['1995/01/01 00:00 [pubmed]', '1995/01/01 00:01 [medline]', '1995/01/01 00:00 [entrez]']",ppublish,Folia Med (Plovdiv). 1995;37(4A Suppl):68-9.,,,,,,,,,,,,,,,,,
8654962,NLM,MEDLINE,19960726,20190707,0378-1119 (Print) 0378-1119 (Linking),168,2,1996 Feb 12,Comparison of the human genomic structure of the Runt domain-encoding PEBP2/CBFalpha gene family.,279-80,"We cloned the human cDNA corresponding to the cDNA (PEBP2alphaB-451) encoding the mouse polyomavirus enhancer-binding protein 2alphaB-451, representing a major splice variant from acute myeloid leukemia gene 1 (AML1). Genomic DNA clones of AML1 were also isolated and the exon/intron structure was determined. Furthermore, we determined and compared the genomic structures of three mammalian Runt domain-containing genes, PEBP2alphaA,AML/PEBE2alphaB and PEBP2alphaC.","['Ahn, M Y', 'Bae, S C', 'Maruyama, M', 'Ito, Y']","['Ahn MY', 'Bae SC', 'Maruyama M', 'Ito Y']","['Department of Viral Oncology, Institute for Virus Research, Kyoto University, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",Netherlands,Gene,Gene,7706761,"['0 (Core Binding Factor Alpha 1 Subunit)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA, Complementary)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Runx1 protein, mouse)', '0 (Runx2 protein, mouse)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)']",IM,"['Acute Disease', 'Alternative Splicing', 'Amino Acid Sequence', 'Animals', 'Base Sequence', 'Core Binding Factor Alpha 1 Subunit', 'Core Binding Factor Alpha 2 Subunit', 'DNA, Complementary', 'DNA-Binding Proteins/*genetics', 'Exons', 'Genetic Variation', '*Genome, Human', 'Humans', 'Introns', 'Leukemia, Myeloid/*genetics', 'Mammals', 'Mice', 'Molecular Sequence Data', '*Multigene Family', 'Neoplasm Proteins/*genetics', 'Polyomavirus/genetics', '*Proto-Oncogene Proteins', 'Sequence Homology, Nucleic Acid', 'Transcription Factor AP-2', 'Transcription Factors/*genetics']",1996/02/12 00:00,1996/02/12 00:01,['1996/02/12 00:00'],"['1996/02/12 00:00 [pubmed]', '1996/02/12 00:01 [medline]', '1996/02/12 00:00 [entrez]']",ppublish,Gene. 1996 Feb 12;168(2):279-80. doi: 10.1016/0378-1119(95)00751-2.,,"['0378111995007512 [pii]', '10.1016/0378-1119(95)00751-2 [doi]']",,,,,['GENBANK/L34598'],,,,,,,,,,
8654951,NLM,MEDLINE,19960726,20190707,0378-1119 (Print) 0378-1119 (Linking),168,2,1996 Feb 12,An element upstream from the human delta-globin-encoding gene specifically enhances beta-globin reporter gene expression in murine erythroleukemia cells.,237-41,"We have previously shown that a DNA-binding factor specific to adult hematopoietic cells (polypryrimidine-binding factor, PYBF) binds to a pyrimidine-rich region 1 kb upstream from the human delta-globin-encoding gene (HBD). The developmental stage-specificity of PYBF and the location of its binding site between the fetal and adult beta-globin (HBB)-like genes suggest that PBYF and its binding site may function in fetal-to-adult globin gene switching. Here, we describe the effect of 383-bp (delta383) and 99-bp (delta99) sequences containing the PYBF-binding site on transcription from various globin and non-globin promoters, using a transient assay with the cat reporter gene in murine erythroleukemia (MEL) cells, a cell line with abundant PYBF activity. We show that both delta383 and delta99 specifically enhance expression of cat for plasmids containing a human adult globin (HBB) promoter, whereas expression of similar constructs using human fetal (A gamma-) globin (HBG1) or simian virus 40 (SV40) promoters is not enhanced. The results suggest that PYBF and the pyrimidine-rich region upstream from HBD can specifically enhance HBB transcription in adult erythroid cells.","['Acuto, S', 'Urzi, G', 'Schimmenti, S', 'Maggio, A', ""O'Neill, D"", 'Bank, A']","['Acuto S', 'Urzi G', 'Schimmenti S', 'Maggio A', ""O'Neill D"", 'Bank A']","['Unita di Ricerca, Piera Cutino, Ospedale V. Cervello, Palermo, Italy.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Gene,Gene,7706761,"['0 (DNA-Binding Proteins)', '0 (Erythroid-Specific DNA-Binding Factors)', '0 (Transcription Factors)', '9004-22-2 (Globins)', '9034-51-9 (Hemoglobin A)', '9034-63-3 (Fetal Hemoglobin)']",IM,"['Adult', 'Animals', 'Binding Sites', 'Cell Line', '*Chromosomes, Human, Pair 1', 'DNA-Binding Proteins/metabolism', 'Erythrocytes/metabolism', 'Erythroid-Specific DNA-Binding Factors', 'Fetal Hemoglobin/genetics', 'Fetus', 'Gene Expression', 'Globins/biosynthesis/*genetics', 'Hemoglobin A/genetics', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Mice', '*Promoter Regions, Genetic', '*Regulatory Sequences, Nucleic Acid', 'Restriction Mapping', 'Simian virus 40/genetics', 'Transcription Factors/metabolism', 'Transcription, Genetic', 'Tumor Cells, Cultured']",1996/02/12 00:00,1996/02/12 00:01,['1996/02/12 00:00'],"['1996/02/12 00:00 [pubmed]', '1996/02/12 00:01 [medline]', '1996/02/12 00:00 [entrez]']",ppublish,Gene. 1996 Feb 12;168(2):237-41. doi: 10.1016/0378-1119(96)83098-8.,,"['0378111996830988 [pii]', '10.1016/0378-1119(96)83098-8 [doi]']","['DK25274/DK/NIDDK NIH HHS/United States', 'HL28381/HL/NHLBI NIH HHS/United States', 'HL48345/HL/NHLBI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,
8654944,NLM,MEDLINE,19960726,20190707,0378-1119 (Print) 0378-1119 (Linking),168,2,1996 Feb 12,Simplified plasmid rescue of host sequences adjacent to integrated proviruses.,199-203,"We have previously described a Moloney murine leukemia retroviral (MoMLV) vector useful for the generation of anchored long-range maps of complex mammalian genomes. We now report the development of a modified vector carrying the ColE1 origin of replication and the chloramphenicol-resistance (CmR) gene to facilitate the recovery of genomic sequences adjacent to integrated proviruses. We demonstrate the utility of this new vector for the rescue in plasmid form of a 6-kb human fragment containing portions of an Alu element adjacent to the proviral 3'-LTR from an infected human primary fibroblast clone. We generated a sequence-tagged site (STS) from the derived sequence outside the Alu element, and used a somatic cell hybrid mapping panel to assign this STS to human chromosome 10 by a polymerase chain reaction-based assay. We suggest that this new CmR vector will be useful for recovering sequences of genes interrupted by proviral insertion, to generate directional maps with respect to the inserted provirus using the single cleavage sites within the vector, and to generate site-specific STS for defining and mapping the integration site.","['Kurdi-Haidar, B', 'Friedmann, T']","['Kurdi-Haidar B', 'Friedmann T']","['Department of Pediatrics, UCSD School of Medicine, La Jolla, CA 92093-0634, USA. bhaidar@ucsd.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Gene,Gene,7706761,"['0 (DNA Primers)', '0 (Recombinant Proteins)', 'EC 1.13.12.- (Luciferases)', 'EC 2.3.1.28 (Chloramphenicol O-Acetyltransferase)', 'EC 2.7.1.- (Phosphotransferases (Alcohol Group Acceptor))', 'EC 2.7.1.95 (Kanamycin Kinase)']",IM,"['Animals', 'Base Sequence', 'Chloramphenicol O-Acetyltransferase/biosynthesis', 'Chromosome Mapping', '*Chromosomes, Human, Pair 10', 'Clone Cells', 'Cloning, Molecular', 'DNA Primers', 'Escherichia coli', '*Genetic Vectors', 'Genome, Human', 'Humans', 'Hybrid Cells', 'Kanamycin Kinase', 'Luciferases/biosynthesis', 'Mammals', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', 'Phosphotransferases (Alcohol Group Acceptor)/biosynthesis', 'Plasmids', 'Polymerase Chain Reaction', 'Proviruses/*genetics', 'Recombinant Proteins/biosynthesis', 'Repetitive Sequences, Nucleic Acid', 'Replication Origin', 'Sequence Tagged Sites', 'Transfection', '*Virus Integration']",1996/02/12 00:00,1996/02/12 00:01,['1996/02/12 00:00'],"['1996/02/12 00:00 [pubmed]', '1996/02/12 00:01 [medline]', '1996/02/12 00:00 [entrez]']",ppublish,Gene. 1996 Feb 12;168(2):199-203. doi: 10.1016/0378-1119(95)00753-9.,,"['0378111995007539 [pii]', '10.1016/0378-1119(95)00753-9 [doi]']",['HG00309/HG/NHGRI NIH HHS/United States'],,,,,,,,,,,,,,
8654935,NLM,MEDLINE,19960726,20190707,0378-1119 (Print) 0378-1119 (Linking),168,2,1996 Feb 12,Activation of mts1 transcription by insertion of a retrovirus-like IAP element.,151-5,The mechanism of activation of mestatasis-associated mts1 gene transcription in the mouse myelomonocytic leukaemia WEHI-3 cell line is described. Northern blot analysis showed that WEHi-3 cells expressed two types of mts1-specific mRNA: standard (550 nt) and additional (about 800 nt). The steady-state expression level of the 800-nt RNA was isolated and sequence analysis showed that it contained a 357-bp fragment represented by long terminal repeat (LTR) sequences and a 5' untranslated region of the gag gene of the intracisternal A-particle (IAP) element. The chimeric IAP::mts1 800-nt mRNA is initiated from the 5' LTR promoter. The rearranged and normal loci of mts1 were cloned and partially sequenced. The results suggested that the insertion of the IAP sequences into the first intron of mts1 brings the gene under control of the strong IAP promoter. The additional chimeric 800-nt IAP::mts1 RNA transcript was the result of a splicing event linking IAP sequences with the coding part of mts1. We suggest that the chimeric IAP::mts1 RNA is capable of producing a functional Mts1 protein.,"['Tarabykina, S', 'Ambartsumian, N', 'Grigorian, M', 'Georgiev, G', 'Lukanidin, E M']","['Tarabykina S', 'Ambartsumian N', 'Grigorian M', 'Georgiev G', 'Lukanidin EM']","['Danish Cancer Society, Division of Cancer Biology, Copenhagen.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Gene,Gene,7706761,"['0 (Carrier Proteins)', '0 (Cyclin-Dependent Kinase Inhibitor p16)', '0 (DNA Primers)']",IM,"['Animals', 'Base Sequence', 'Carrier Proteins/*biosynthesis/*genetics', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16', 'DNA Primers', 'Gene Expression Regulation, Neoplastic', '*Genes, Tumor Suppressor', 'Leukemia, Experimental', 'Mice', 'Molecular Sequence Data', 'Mutagenesis, Insertional', 'Neoplasm Metastasis', 'Polymerase Chain Reaction', 'Restriction Mapping', 'Retroviridae/*genetics', '*Transcriptional Activation', 'Tumor Cells, Cultured']",1996/02/12 00:00,1996/02/12 00:01,['1996/02/12 00:00'],"['1996/02/12 00:00 [pubmed]', '1996/02/12 00:01 [medline]', '1996/02/12 00:00 [entrez]']",ppublish,Gene. 1996 Feb 12;168(2):151-5. doi: 10.1016/0378-1119(95)00742-3.,,"['0378111995007423 [pii]', '10.1016/0378-1119(95)00742-3 [doi]']",,,,,['GENBANK/Z36947'],,,,,,,,,,
8654503,NLM,MEDLINE,19960801,20190816,0014-4835 (Print) 0014-4835 (Linking),61,5,1995 Nov,Leukemic glaucoma: the effects on outflow facility of chronic lymphocytic leukemia lymphocytes.,609-17,"The purpose of this study was to investigate the mechanisms of the leukemic glaucoma. We established a cell culture from leukemic cells collected from the aqueous humor of a living patient with chronic lymphocytic leukemia (CLL) and glaucoma secondary to the leukemia. We then perfused 16 pairs of fresh cadaver normal human eyes at a constant pressure of 10 mmHg at 37 degrees C. We delivered as a bolus either cultured CLL cells or cultured normal lymphocytes, using 3 x 10(2), 3 x 10(3), 3 x 10(4) or 3 x 10(5) cells in Barany's solution, into one eye of each pair. The other eye of the pair served as a control, receiving a sham bolus of Barany's solution alone. In addition, CLL and normal lymphocytes were perfused through 0.2, 0.6, 2, and 3 microns millipore filters. Following perfusion, the tissue and the filters were examined histopathologically by light, transmission and scanning electron microscopy. Cultured leukemic lymphocytes perfused into normal cadaver eyes caused a significantly more profound reduction in outflow facility than normal lymphocytes (P < 0.05); however, there was no significant difference in the effect on outflow facility between leukemic and normal lymphocytes when they were perfused through the millipore filters. Histopathology confirmed the presence of lymphocytes in the trabecular meshwork and Schlemm's canal, deforming on passage through the inner wall. Our results suggest that leukemic lymphocytes in CLL may reduce outflow facility by means of a biological interaction with the tissues of the outflow pathways, rather than by mechanical obstruction due to a lack of distensibility. Questions remain as to the nature of this biological interaction.","['Schuman, J S', 'Wang, N', 'Eisenberg, D L']","['Schuman JS', 'Wang N', 'Eisenberg DL']","['New England Eye Center, Tufts University School of Medicine, Boston, MA 02111, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Exp Eye Res,Experimental eye research,0370707,,IM,"['Aqueous Humor/*cytology', 'Glaucoma/*etiology/pathology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*pathology', 'Lymphocytes/*pathology/ultrastructure', 'Male', 'Microscopy, Electron, Scanning', 'Middle Aged', 'Trabecular Meshwork/pathology', 'Tumor Cells, Cultured']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",ppublish,Exp Eye Res. 1995 Nov;61(5):609-17. doi: 10.1016/s0014-4835(05)80054-5.,,"['S0014-4835(05)80054-5 [pii]', '10.1016/s0014-4835(05)80054-5 [doi]']",,,,,,,,,,,,,,,
8654458,NLM,MEDLINE,19960801,20190914,0720-048X (Print) 0720-048X (Linking),21,1,1995 Nov,Mycobacterial respiratory infection in leukemic children.,44-6,,"['Kornreich, L', 'Goshen, Y', 'Horev, G', 'Grunebaum, M']","['Kornreich L', 'Goshen Y', 'Horev G', 'Grunebaum M']","[""Imaging Department, Schneider Children's Medical Center of Israel, Petah Tiqva.""]",['eng'],"['Case Reports', 'Journal Article']",Ireland,Eur J Radiol,European journal of radiology,8106411,,IM,"['Adolescent', 'Biopsy', 'Child', 'Child, Preschool', 'Diagnosis, Differential', 'Female', 'Humans', 'Lung/diagnostic imaging/pathology', 'Male', 'Mycobacterium Infections, Nontuberculous/*diagnostic imaging/pathology', 'Mycobacterium avium-intracellulare Infection/diagnostic imaging/pathology', 'Opportunistic Infections/*diagnostic imaging/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnostic imaging/pathology', '*Tomography, X-Ray Computed', 'Tuberculosis, Pulmonary/*diagnostic imaging/pathology']",1995/11/01 00:00,1995/11/01 00:01,['1995/11/01 00:00'],"['1995/11/01 00:00 [pubmed]', '1995/11/01 00:01 [medline]', '1995/11/01 00:00 [entrez]']",ppublish,Eur J Radiol. 1995 Nov;21(1):44-6. doi: 10.1016/0720-048x(95)00690-r.,,"['0720-048X(95)00690-R [pii]', '10.1016/0720-048x(95)00690-r [doi]']",,,,,,,,,,,,,,,
8654416,NLM,MEDLINE,19960730,20190620,0014-2956 (Print) 0014-2956 (Linking),235,3,1996 Feb 1,Translocation of microfilament-associated inhibitory guanine-nucleotide-binding proteins to the plasma membrane in myeloid differentiated human leukemia (HL-60) cells.,670-6,"The cytoskeletal localization of inhibitory guanine-nucleotide-binding (Gi) proteins and the coupling of these proteins to formyl peptide receptors were studied in myeloid differentiated human leukemia (HL-60) cells. Treatment of HL-60 cells with cytochalasin B or botulinum C2 toxin, which leads to the disruption of microfilaments, increased the binding of the stable GTP analogue guanosine 5'[gamma-thio]triphosphate (GTPS[S]) to permeabilized cells by about 30%. In contrast, the microtubule-disrupting agents colchicine and vinblastine, and cytochalasin B treatment of isolated HL-60 membranes did not affect GTP[S] binding. The stimulatory effect of cytochalasin B treatment was concentration and time dependent, with maximal increases observed at 5 micrograms/ml cytochalasin B and an incubation time of 10 min, and was counteracted by the F-actin-stabilizing toxin phalloidin. Cytochalasin B treatment increased the amount of G proteins activated by chemoattractant receptors by about 25%. Furthermore, the number of Gi-protein-coupled receptors for the chemoattractant, N-formyl-Met-Leu-Phe, was increased by about 25% upon cytochalasin B treatment. Based on these functional data, which suggest an association of G proteins with actin filaments, the Triton X-100 (1%)-insoluble cytoskeleton was analyzed for the presence of G proteins. Gia subunits were detected in the cytoskeleton preparations, both by specific antisera and by pertussis-toxin -catalyzed ADP-ribosylation. Cytochalasin B pretreatment depleted the cytoskeleton in Gialpha, with an approximately 20% concomitant increase in membrane Gialpha content. In conclusion, evidence is presented that part of the cellular Gia is localized at actin filaments in HL-60 cells. After filament disruption, these Gia subunits seem to be translocated to the plasma membrance, where they can productively interact with chemoattractant receptors.","['Meyer zu Heringdorf, D', 'Liedel, K', 'Kaldenberg-Stasch, S', 'Michel, M C', 'Jakobs, K H', 'Wieland, T']","['Meyer zu Heringdorf D', 'Liedel K', 'Kaldenberg-Stasch S', 'Michel MC', 'Jakobs KH', 'Wieland T']","['Institut fur Pharmakologie, Universitatsklinikum Essen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Microfilament Proteins)', '0 (Receptors, Formyl Peptide)', '0 (Receptors, Immunologic)', '0 (Receptors, Peptide)', '3CHI920QS7 (Cytochalasin B)', '59880-97-6 (N-Formylmethionine Leucyl-Phenylalanine)', 'EC 3.4.24.69 (Botulinum Toxins)', 'EC 3.6.1.- (GTP-Binding Proteins)']",IM,"['Biological Transport', 'Botulinum Toxins/pharmacology', 'Cell Differentiation', 'Cell Membrane/metabolism', 'Cytochalasin B/pharmacology', 'GTP-Binding Proteins/*metabolism', 'HL-60 Cells', 'Humans', 'Microfilament Proteins/*metabolism', 'Microtubules/drug effects', 'N-Formylmethionine Leucyl-Phenylalanine/metabolism', 'Protein Binding', 'Receptors, Formyl Peptide', 'Receptors, Immunologic/drug effects/metabolism', 'Receptors, Peptide/drug effects/metabolism']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",ppublish,Eur J Biochem. 1996 Feb 1;235(3):670-6. doi: 10.1111/j.1432-1033.1996.00670.x.,,['10.1111/j.1432-1033.1996.00670.x [doi]'],,,,,,,,,,,,,,,
8654391,NLM,MEDLINE,19960730,20190620,0014-2956 (Print) 0014-2956 (Linking),235,3,1996 Feb 1,The incorporation of arachidonic acid into triacylglycerol in P388D1 macrophage-like cells.,480-5,"When 388D1 cells are incubated in media containing 10 microM [3H]arachidonic acid (delta4Ach), the label is rapidly incorporated into phospholipids and triacylglycerol. However, incorporation of [3H]delta4Ach into phospholipids clearly precedes incorporation into triacylglycerol, indicating that the phospholipid pool constitutes the primary metabolic fate of the delta4Ach via a remodelling pathway. In contrast, [3H]delta4Ach is incorporated into triacylglycerol almost exclusively via de novo synthesis, as evidenced by studies using propranolol, a phosphatidate phosphohydrolase inhibitor. This compound induced a time-dependent and concentration-dependent increase in the levels of [3H]delta4Ach-containing phosphatidate that is directly correlated with a decrease in the levels of [3H]delta4Ach-containing triacylglycerol. In addition, no change in the levels of [3H]delta4Ach-containing diacylglycerol and monoacylglycerol were apparent along the time course of fatty acid incorporation into triacylglycerol. However, a sharp and transient accumulation of cell-associated free [3H]delta4Ach was detected shortly after exposure of the cells to the radioactive fatty acid. Collectively, the results reported herein suggest that free delta4Ach availability determines the patterns of incorporation and distribution of this fatty acid among the various lipid classes of P338D1 cells.","['Balsinde, J', 'Dennis, E A']","['Balsinde J', 'Dennis EA']","['Department of Chemistry and Biochemistry, University of California at San Diego, La Jolla 92093-0601, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Eur J Biochem,European journal of biochemistry,0107600,"['0 (Phospholipids)', '0 (Triglycerides)', '27YG812J1I (Arachidonic Acid)', 'EC 3.1.4.4 (Phospholipase D)']",IM,"['Animals', 'Arachidonic Acid/*metabolism', 'Cell Line', 'Leukemia P388/pathology', 'Macrophages/*metabolism', 'Mice', 'Phospholipase D/metabolism', 'Phospholipids/metabolism', 'Triglycerides/*metabolism']",1996/02/01 00:00,1996/02/01 00:01,['1996/02/01 00:00'],"['1996/02/01 00:00 [pubmed]', '1996/02/01 00:01 [medline]', '1996/02/01 00:00 [entrez]']",ppublish,Eur J Biochem. 1996 Feb 1;235(3):480-5. doi: 10.1111/j.1432-1033.1996.00480.x.,,['10.1111/j.1432-1033.1996.00480.x [doi]'],"['GM 20,501/GM/NIGMS NIH HHS/United States', 'HD 26,171/HD/NICHD NIH HHS/United States']",,,,,,,,,,,,,,
