PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AB,AID,PMC,CIN,GR,GS,EIN,SI,RF,TT,CON,MID,OID
1700938,NLM,MEDLINE,19910110,20190819,0090-1229 (Print) 0090-1229 (Linking),57,3,1990 Dec,Normal expression of p55 interleukin 2 receptor (CD25) by lymphocytes from former blood donors seropositive for human T lymphotropic virus.,459-64,"['Prince, H E', 'Jackson, A L']","['Prince HE', 'Jackson AL']","['American Red Cross Blood Services, Los Angeles, California 90006.']",['eng'],['Journal Article'],United States,Clin Immunol Immunopathol,Clinical immunology and immunopathology,0356637,"['0 (Antigens, CD19)', '0 (Antigens, Differentiation)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Biomarkers)', '0 (CD3 Complex)', '0 (CD4 Antigens)', '0 (CD56 Antigen)', '0 (CD8 Antigens)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Fc)', '0 (Receptors, IgG)', '0 (Receptors, Interleukin-2)']",IM,"['Antigens, CD19', 'Antigens, Differentiation/biosynthesis', 'Antigens, Differentiation, B-Lymphocyte/biosynthesis', 'Antigens, Differentiation, T-Lymphocyte/biosynthesis', 'B-Lymphocytes/immunology', 'Biomarkers', 'Blood Donors', 'CD3 Complex', 'CD4 Antigens/biosynthesis', 'CD56 Antigen', 'CD8 Antigens', 'Deltaretrovirus/*immunology', 'Deltaretrovirus Infections/immunology/pathology', 'Flow Cytometry', 'Gene Expression', 'Humans', 'Killer Cells, Natural/immunology', 'Lymphocytes/*immunology/metabolism', 'Receptors, Antigen, T-Cell/biosynthesis', 'Receptors, Fc/biosynthesis', 'Receptors, IgG', 'Receptors, Interleukin-2/*biosynthesis', 'T-Lymphocytes/immunology']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Clin Immunol Immunopathol. 1990 Dec;57(3):459-64. doi: 10.1016/0090-1229(90)90119-b.,"Dysregulated expression of the p55 interleukin 2 receptor (CD25) is characteristic of adult T cell leukemia (ATL) associated with human T lymphotropic virus (HTLV) infection. In order to determine if similar changes characterize HTLV infection in the apparent absence of ATL, CD25 expression by peripheral blood lymphocytes from HTLV-seropositive former blood donors was measured using a sensitive dual-color cytofluorometric assay. When comparing the HTLV-seropositive group (N = 19) and a seronegative control group (N = 20), no significant differences were observed in either the proportions of the major lymphocyte subsets (CD3, CD4, CD8, CD19, CD16/56) coexpressing CD25 or the phenotypic distribution of CD25+ cells among these lymphocyte subsets. Similarly, the total percentages of CD3, CD4, CD8, and CD19 cell subsets were unchanged; however, the percentage of CD16/56+ cells was significantly decreased in the HTLV group and reflected a decrease in the percentage of CD16/56 cells lacking CD25. These findings indicate that HTLV infection without ATL is characterized by normal CD25 expression by lymphocytes and a decreased percentage of lymphocytes with a phenotype characteristic of natural killer cells.",['10.1016/0090-1229(90)90119-b [doi]'],,,,,,,,,,,
1700851,NLM,MEDLINE,19910102,20180216,0030-2414 (Print) 0030-2414 (Linking),47,6,1990,Development of a mitoxantrone-resistant P 388 in vivo: approaches to overcome resistance.,508-15,"['Fichtner, I', 'Becker, M', 'Lemm, M', 'Winterfeld, G']","['Fichtner I', 'Becker M', 'Lemm M', 'Winterfeld G']","['Academy of Sciences of GDR, Department of Clinical and Experimental Chemotherapy, Berlin-Buch.']",['eng'],['Journal Article'],Switzerland,Oncology,Oncology,0135054,"['0 (Antineoplastic Agents)', '11056-06-7 (Bleomycin)', 'BZ114NVM5P (Mitoxantrone)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Animals', 'Antineoplastic Agents/pharmacology', 'Bleomycin/pharmacology', 'Cell Survival', 'Cisplatin/pharmacology', 'Drug Resistance', 'Leukemia P388/*drug therapy/immunology', 'Mice', 'Mice, Inbred DBA', 'Mitoxantrone/*pharmacology', 'Tumor Cells, Cultured']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Oncology. 1990;47(6):508-15. doi: 10.1159/000226881.,"A normally, relatively sensitive P 388 developed resistance within few passages (P 388/Mitox) by in vivo treatment with suboptimal doses (1 mg/kg i.v.) of mitoxantrone. This resistance remained stable over 50 generations without further drug treatment. Immunization with irradiated cells (30 Gy) 7 days before tumor challenge led to partial rejection, proving that there was a higher immunogenicity of the resistant line in comparison to the parenteral P 388 line. The P 388/Mitox showed cross-resistance towards doxorubicin, daunorubicin and vincristine. Cis-DDP and bleomycin had in the resistant line significantly better antineoplastic efficacy than in the source P 388 and should be taken into consideration as second-line therapy following development of clinical mitoxantrone resistance. Nifedipine, a calcium channel blocker, and the immunosuppressive agent ciclosporin A were able to overcome resistance partially, but the mechanisms are still unclear. The P 388/Mitox can be considered as an interesting in vivo model for further research concerning resistance mechanisms and reversal of resistance.",['10.1159/000226881 [doi]'],,,,,,,,,,,
1700839,NLM,MEDLINE,19901231,20131121,0887-6924 (Print) 0887-6924 (Linking),4,12,1990 Dec,Low dose 5-azacytidine is ineffective for remission induction in patients with acute myeloid leukemia.,835-8,"['Lee, E J', 'Hogge, D E', 'Gallagher, R', 'Schiffer, C A']","['Lee EJ', 'Hogge DE', 'Gallagher R', 'Schiffer CA']","['Division of Hematologic Malignancies, University of Maryland Cancer Center, Baltimore 21201.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,['M801H13NRU (Azacitidine)'],IM,"['Adult', 'Aged', 'Azacitidine/*administration & dosage/adverse effects/therapeutic use', 'Bone Marrow/drug effects', 'Cell Differentiation/drug effects', 'Drug Evaluation', 'Female', 'Humans', 'Infusions, Intravenous', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Male', 'Middle Aged', 'Remission Induction']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,Leukemia. 1990 Dec;4(12):835-8.,"Low dose 5-azacytidine was administered to 11 patients with acute myeloid leukemia (AML) in hopes of achieving complete remissions by inducing differentiation of leukemic blasts. The patient population included both patients who had received no prior therapy (two patients), as well as patients refractory to primary therapy (five patients) and patients who had relapsed after achieving complete remission (four patients). Both previously untreated patients had a history of myelodysplastic syndrome, and two of the primarily refractory patients had leukemia following chemotherapy for other malignancies. The median age was 55 years (range 36-78 years). Twenty-one courses of 5-azacytidine were administered as 7-day continuous infusions at a dose of 75 mg/m2/day. Significant nonhematologic toxicity was not observed. No patient had a response as defined by bone marrow remission or improvement in transfusion requirement for red blood cells or platelets. Although some patients developed bone marrow hypocellularity (six courses in five patients), none became aplastic, and eight courses in six patients were associated with increased bone marrow cellularity percentage of blasts. Five courses in three patients were inevaluable (one central nervous system hemorrhage, one central nervous system leukemia, three courses in one patient who refused bone marrow aspiration). It is unlikely that low dose 5-azacytidine will be of benefit to patients with AML, and there was no evidence of clinically significant induction of differentiation noted.",,,,,,,,,,,,
1700832,NLM,MEDLINE,19901231,20200724,0022-538X (Print) 0022-538X (Linking),64,12,1990 Dec,"A neutralizable epitope common to the envelope glycoproteins of ecotropic, polytropic, xenotropic, and amphotropic murine leukemia viruses.",6176-83,"['Evans, L H', 'Morrison, R P', 'Malik, F G', 'Portis, J', 'Britt, W J']","['Evans LH', 'Morrison RP', 'Malik FG', 'Portis J', 'Britt WJ']","['Laboratory of Persistent Viral Diseases, National Institute of Allergy and Infectious Diseases, Hamilton, Montana 59840.']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Virol,Journal of virology,0113724,"['0 (Antibodies, Monoclonal)', '0 (Epitopes)', '0 (Viral Envelope Proteins)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Cell Line', 'Epitopes/*analysis', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia Virus, Murine/*genetics/immunology', 'Neutralization Tests', 'Recombination, Genetic', 'Species Specificity', 'Viral Envelope Proteins/*genetics/immunology']",1990/12/01 00:00,1990/12/01 00:01,['1990/12/01 00:00'],"['1990/12/01 00:00 [pubmed]', '1990/12/01 00:01 [medline]', '1990/12/01 00:00 [entrez]']",ppublish,J Virol. 1990 Dec;64(12):6176-83. doi: 10.1128/JVI.64.12.6176-6183.1990.,"An epitope common to all classes of murine leukemia viruses (MuLVs) was detected by reactivity of MuLVs with a rat monoclonal antibody (MAb) termed 83A25. The antibody is of the immunoglobulin G2a isotype and was derived after fusion of NS-1 myeloma cells with spleen cells from a Fischer rat immunized with a Friend polytropic MuLV. The antibody reacted with nearly all members of the ecotropic, polytropic, xenotropic, and amphotropic classes of MuLVs. Unreactive viruses were limited to the Friend ecotropic MuLV, Rauscher MuLV, and certain recombinant derivatives of Friend ecotropic MuLV. The presence of an epitope common to nearly all MuLVs facilitated a direct quantitative focal immunofluorescence assay for MuLVs, including the amphotropic MuLVs for which no direct assay has been previously available. Previously described MAbs which react with all classes of MuLVs have been limited to those which react with virion core or transmembrane proteins. In contrast, protein immunoblot and immunoprecipitation analyses established that the epitope reactive with MAb 83A25 resides in the envelope glycoproteins of the viruses. Structural comparisons of reactive and nonreactive Friend polytropic viruses localized the epitope near the carboxyl terminus of the glycoprotein. The epitope served as a target for neutralization of all classes of MuLV with MAb 83A25. The efficiency of neutralization varied with different MuLV isolates but did not correlate with MuLV interference groups.",['10.1128/JVI.64.12.6176-6183.1990 [doi]'],PMC248792,,,,,,,,,,
1700761,NLM,MEDLINE,19901228,20190827,0093-7711 (Print) 0093-7711 (Linking),32,4,1990,Effects of fractionated x-irradiation on the Ly-6--Ril-1--Pol-5 region.,252-62,"['Amari, N M', 'Kamiura, S', 'Meruelo, D']","['Amari NM', 'Kamiura S', 'Meruelo D']","['Department of Pathology, New York University Medical Center, NY 10016.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Immunogenetics,Immunogenetics,0420404,"['63231-63-0 (RNA)', '9007-49-2 (DNA)']",IM,"['Animals', 'Blotting, Northern', 'Blotting, Southern', 'Chromosomes, Human, Pair 15/*radiation effects', 'DNA/analysis', 'Electrophoresis, Gel, Two-Dimensional', 'Flow Cytometry', 'Gene Expression/radiation effects', 'Gene Rearrangement/radiation effects', '*Genetic Linkage', 'Humans', 'Leukemia, Radiation-Induced/*genetics', 'Mice', 'Mice, Inbred Strains', 'Polymorphism, Restriction Fragment Length', 'RNA/analysis', 'Radionuclide Imaging', 'Thymoma/diagnostic imaging/genetics', 'Thymus Neoplasms/diagnostic imaging/genetics', 'X-Rays/adverse effects']",1990/01/01 00:00,1990/01/01 00:01,['1990/01/01 00:00'],"['1990/01/01 00:00 [pubmed]', '1990/01/01 00:01 [medline]', '1990/01/01 00:00 [entrez]']",ppublish,Immunogenetics. 1990;32(4):252-62. doi: 10.1007/BF00187096.,"Our laboratory has focused on defining, localizing, and understanding the mode of action of genes involved in fractionated x-irradiation (FXI) leukemia in susceptible and restraint mouse strains. We have described the genetic and molecular evidence suggesting the existence of multiple independent loci involved in FXI-induced leukemogenesis. These studies indicated that one of these, Ril-1, a locus on the distal portion of chromosome 15, is the major locus influencing susceptibility to the disease. Our data unequivocally place Ril-1 in the gene complex Ly-6--Ril-1--Sis--H-30--Pol-5. Ril-1 appears to be closest to Ly-6 and Sis. We report that in FXI-induced leukemias there are hypomethylation changes in the Ly-6 region as compared to normal thymocytes. In contrast, Sis was found to be hypermethylated and not expressed. In addition, we have noted DNA rearrangements in the Ly-6--Pol-5 region in the majority of tumors examined using the Ly-6 and spleen focus-forming virus (SFFLV) molecular probes. Increased expression of Ly-6 and other surface markers encoded in this region has been noted in FXI-induced thymomas.",['10.1007/BF00187096 [doi]'],,,"['CA 22247/CA/NCI NIH HHS/United States', 'CA 31346/CA/NCI NIH HHS/United States', 'CA 35482/CA/NCI NIH HHS/United States', 'etc.']","['Ly-6', 'Pol-5', 'Ril-1']",,,,,,,
1700749,NLM,MEDLINE,19901228,20171116,0014-2980 (Print) 0014-2980 (Linking),20,10,1990 Oct,Immunoglobulin heavy chain variable region family usage is independent of tumor cell phenotype in human B lineage leukemias.,2209-17,"['Deane, M', 'Norton, J D']","['Deane M', 'Norton JD']","['Department of Haematology, Royal Free Hospital School of Medicine, London.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antigens, Differentiation)', '0 (CD5 Antigens)', '0 (DNA, Neoplasm)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin J-Chains)', '0 (Immunoglobulin Variable Region)', '0 (Immunoglobulin delta-Chains)']",IM,"['Antigens, Differentiation/immunology', 'B-Lymphocytes/immunology', 'Base Sequence', 'Blotting, Southern', 'Burkitt Lymphoma/genetics/*immunology', 'CD5 Antigens', 'DNA, Neoplasm/*genetics/isolation & purification', 'Gene Amplification', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulin J-Chains/genetics', 'Immunoglobulin Variable Region/*genetics', 'Immunoglobulin delta-Chains/genetics', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/*immunology', 'Molecular Sequence Data', 'Nucleic Acid Hybridization', 'Polymerase Chain Reaction']",1990/10/01 00:00,1990/10/01 00:01,['1990/10/01 00:00'],"['1990/10/01 00:00 [pubmed]', '1990/10/01 00:01 [medline]', '1990/10/01 00:00 [entrez]']",ppublish,Eur J Immunol. 1990 Oct;20(10):2209-17. doi: 10.1002/eji.1830201009.,"During B cell development, immunoglobulin heavy chain (IgH) variable region (VH) genes are rearranged and expressed in a programmed manner and accumulating evidence suggests recurrent utilization of developmentally restricted VH genes in malignant B lymphoid populations. We have used polymerase chain reaction gene amplification in conjunction with a panel of VH family-specific amplimers to directly compare the repertoire of VH region rearrangement in mature, CD5+ B cell chronic lymphocytic leukemia with that in immature, CD5 B lineage acute lymphoblastic leukemia. The results revealed a diverse pattern of VH family utilization common to both disease groups in which VH regions most proximal to the IgH joining locus were preferentially rearranged relative to their family sizes with recurrent utilization of several known developmentally restricted VH genes in close to germ-line configuration. These results indicate that biased VH family usage is independent of tumor cell phenotype in B lineage leukemias. This bias may reflect similar stages or compartments in normal B lymphopoiesis from which diverse types of B cell malignancy may arise. Moreover, since blast cells in acute lymphoblastic leukaemia do not express functional immunoglobulin, we infer that the tumor cell-associated VH family repertoire is determined through antigen-independent mechanisms.",['10.1002/eji.1830201009 [doi]'],,,,,,,,,,,
1700730,NLM,MEDLINE,19901231,20210216,0006-4971 (Print) 0006-4971 (Linking),76,10,1990 Nov 15,Interleukin-6 (IL-6) is an intermediate in IL-1-induced proliferation of leukemic human megakaryoblasts.,1972-9,"['Brach, M A', 'Lowenberg, B', 'Mantovani, L', 'Schwulera, U', 'Mertelsmann, R', 'Herrmann, F']","['Brach MA', 'Lowenberg B', 'Mantovani L', 'Schwulera U', 'Mertelsmann R', 'Herrmann F']","['Department of Hematology and Oncology, University of Freiburg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antibodies, Monoclonal)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-6)', '0 (Recombinant Proteins)', '10028-17-8 (Tritium)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '63231-63-0 (RNA)', '81627-83-0 (Macrophage Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Antibodies, Monoclonal', 'Cell Transformation, Neoplastic/drug effects/pathology', 'Cells, Cultured', 'DNA/biosynthesis', 'Granulocyte Colony-Stimulating Factor/genetics/immunology/physiology', 'Granulocyte-Macrophage Colony-Stimulating Factor/genetics/immunology/physiology', 'Humans', 'Interleukin-1/metabolism/*pharmacology', 'Interleukin-6/genetics/*metabolism', 'Leukemia, Megakaryoblastic, Acute/metabolism/*pathology', 'Macrophage Colony-Stimulating Factor/genetics/metabolism/physiology', 'Megakaryocytes/metabolism/*pathology/ultrastructure', 'RNA/metabolism', 'Receptors, Immunologic/genetics/metabolism', 'Receptors, Interleukin-6', 'Recombinant Proteins/metabolism/pharmacology', 'Thymidine/metabolism', 'Transcription, Genetic/drug effects', 'Tritium']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",ppublish,Blood. 1990 Nov 15;76(10):1972-9.,"We have examined the in vitro effects of recombinant human (rh) interleukin-1 (IL-1) on the growth of purified megakaryoblasts obtained from patients with acute megakaryoblastic leukemia. We demonstrate that both IL-1 alpha and IL-1 beta treatment of these cells led to stimulation of DNA synthesis (as shown by increase of 3H-thymidine incorporation up to 35-fold) and also resulted in colony formation of leukemic megakaryoblasts. However, the stimulatory effect of IL-1 was dependent on endogenous production of IL-6, because addition of neutralizing monoclonal antibody (MoAb) to IL-6 abrogated the stimulatory activity of IL-1. In contrast, neutralizing MoAbs to granulocyte (G)-colony stimulating factor (CSF), granulocyte-macrophage (GM)-CSF, and macrophage (M)-CSF failed to counteract the growth-enhancing effects of IL-1. Leukemic megakaryoblasts accumulated IL-6 mRNA and released IL-6 protein into their culture supernatant when exposed to rh IL-1 but failed to disclose transcripts for G-, GM-, and M-CSF under these conditions. Analysis of IL-6 receptor (IL-6R) transcript levels demonstrated that megakaryoblasts constitutively expressed IL-6R mRNA and that these transcripts are down-regulated to undetectable levels upon exposure to IL-1 and IL-6. Increase of 3H-thymidine incorporation by megakaryoblasts could be duplicated by exogenous IL-6 that could be blocked by neutralizing MoAb to IL-6. In conclusion, our results suggest that leukemic megakaryoblasts could produce and secrete IL-6, and express IL-6R, and that the growth-enhancing effect of IL-1 on these cells is indirect, via production of IL-6 by leukemic cells.",['S0006-4971(20)82105-3 [pii]'],,,,,,,,,,,
1700727,NLM,MEDLINE,19901231,20210216,0006-4971 (Print) 0006-4971 (Linking),76,10,1990 Nov 15,Serum soluble interleukin-2 receptor is associated with clinical and pathologic disease status in hairy cell leukemia.,1941-5,"['Richards, J M', 'Mick, R', 'Latta, J M', 'Daly, K', 'Ratain, M J', 'Vardiman, J W', 'Golomb, H M']","['Richards JM', 'Mick R', 'Latta JM', 'Daly K', 'Ratain MJ', 'Vardiman JW', 'Golomb HM']","['Department of Medicine, University of Chicago, IL 60637.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Receptors, Interleukin-2)', '395575MZO7 (Pentostatin)', '9008-11-1 (Interferons)']",IM,"['Dose-Response Relationship, Drug', 'Humans', 'Interferons/pharmacology', 'Leukemia, Hairy Cell/*blood/pathology', 'Pentostatin/pharmacology', 'Receptors, Interleukin-2/*blood', 'Retrospective Studies']",1990/11/15 00:00,1990/11/15 00:01,['1990/11/15 00:00'],"['1990/11/15 00:00 [pubmed]', '1990/11/15 00:01 [medline]', '1990/11/15 00:00 [entrez]']",ppublish,Blood. 1990 Nov 15;76(10):1941-5.,"Hairy cell leukemia is a chronic lymphoproliferative disorder of B-cell lineage, whose malignant cells express the interleukin-2 (IL-2) receptor. A soluble form of the IL-2 receptor is released by these cells in culture, and the sera of patients with hairy cell leukemia contain elevated levels of this soluble receptor. Four hundred twenty-seven serum samples from 101 patients were analyzed for soluble IL-2 receptor (sIL-2R). The clinical status of patients appeared to be associated with the serum level of sIL-2R. The hairy cell index (a measure of tumor cell burden) was correlated with the square root of the serum sIL-2R level (r = .77). Improved clinical status was associated with decreasing serum sIL-2R levels, whereas disease relapse was associated with increasing levels. Notably, every patient who responded to therapy had a decline in serum sIL-2R level, and every patient with disease progression had an increase in serum sIL-2R level. This phenomenon was observed for several different treatments, including standard-dose interferon, low-dose interferon, and deoxycoformycin. The predictive reliability of this test is currently being prospectively evaluated.",['S0006-4971(20)82100-4 [pii]'],,['Blood. 1991 Jun 1;77(11):2540-2. PMID: 2039836'],,,,,,,,,
1700705,NLM,MEDLINE,19901205,20190612,0006-291X (Print) 0006-291X (Linking),172,2,1990 Oct 30,Modulation of the constitutive gene expression of the 55 kD tumor necrosis factor receptor in hematopoietic cells.,557-63,"['Lindvall, L', 'Lantz, M', 'Gullberg, U', 'Olsson, I']","['Lindvall L', 'Lantz M', 'Gullberg U', 'Olsson I']","['Department of Medicine, Lund hospital, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (RNA, Neoplasm)', '0 (Receptors, Cell Surface)', '0 (Receptors, Tumor Necrosis Factor)', '0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '1F7A44V6OU (Colforsin)', '63231-63-0 (RNA)', '63X7MBT2LQ (Bucladesine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'TBT296U68M (1-Methyl-3-isobutylxanthine)']",IM,"['1-Methyl-3-isobutylxanthine/pharmacology', 'Bucladesine/pharmacology', 'Carcinoma, Hepatocellular', 'Colforsin/pharmacology', 'Gene Expression Regulation/*drug effects', 'Humans', 'Leukemia, Promyelocytic, Acute', 'Leukocytes, Mononuclear/drug effects/*metabolism', 'Liver Neoplasms', 'Molecular Weight', 'Neutrophils/drug effects/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'RNA/blood/genetics/isolation & purification', 'RNA, Neoplasm/genetics/isolation & purification', 'Receptors, Cell Surface/*genetics', 'Receptors, Tumor Necrosis Factor', 'Recombinant Proteins/metabolism', 'Reference Values', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription, Genetic/*drug effects', 'Tumor Necrosis Factor-alpha/metabolism']",1990/10/30 00:00,1990/10/30 00:01,['1990/10/30 00:00'],"['1990/10/30 00:00 [pubmed]', '1990/10/30 00:01 [medline]', '1990/10/30 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1990 Oct 30;172(2):557-63. doi: 10.1016/0006-291x(90)90709-v.,"The expression of the 55 kD human tumor necrosis factor (TNF) receptor gene was investigated. By use of a 1.2 kb cDNA we demonstrated a constitutive expression of a single 2.3 kb transcript in cell lines and fresh blood cells. The TNF receptor gene expression was not affected by phorbol esters, dibutyryl cAMP (dbcAMP), interleukin-1 (IL-1), interferon-gamma (IFN-gamma) or by TNF, agents known to modulate functional TNF receptors. The phosphodiesterase inhibitor 3-isobutyl-1-methyl-xanthine (IBMX) showed a dose dependent inhibition of the TNF receptor gene expression. This inhibition is not mediated by cAMP, since neither dbcAMP nor forskolin had any effects on the expression of the 55 kD receptor gene. The results suggest that the effects of phorbol diesters, IL-1, IFN-gamma, TNF and dbcAMP previously observed on binding of TNF to cells are limited to posttranscriptional regulation of the 55 kD TNF receptor.","['0006-291X(90)90709-V [pii]', '10.1016/0006-291x(90)90709-v [doi]']",,,,,,,,,,,
1700697,NLM,MEDLINE,19901206,20190501,0264-6021 (Print) 0264-6021 (Linking),270,3,1990 Sep 15,Evaluation of the role of inositol trisphosphate in IgE-dependent exocytosis.,685-9,"['Gat-Yablonski, G', 'Sagi-Eisenberg, R']","['Gat-Yablonski G', 'Sagi-Eisenberg R']","['Department of Chemical Immunology, Weizmann Institute of Science, Rehovot, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Biochem J,The Biochemical journal,2984726R,"['0 (Antigens)', '0 (Receptors, Immunologic)', '333DO1RDJY (Serotonin)', '37341-29-0 (Immunoglobulin E)', '526U7A2651 (Egtazic Acid)', '85166-31-0 (Inositol 1,4,5-Trisphosphate)', '9FN79X2M3F (Lithium)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'SY7Q814VUP (Calcium)']",IM,"['Animals', 'Antigens', 'Calcium/physiology', 'Egtazic Acid/pharmacology', '*Exocytosis/drug effects', 'Histamine Release', 'Immunoglobulin E/*physiology', 'Inositol 1,4,5-Trisphosphate/*physiology', 'Lithium/pharmacology', 'Mast Cells/*physiology', 'Rats', 'Receptors, Immunologic/physiology', 'Serotonin/metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",1990/09/15 00:00,1990/09/15 00:01,['1990/09/15 00:00'],"['1990/09/15 00:00 [pubmed]', '1990/09/15 00:01 [medline]', '1990/09/15 00:00 [entrez]']",ppublish,Biochem J. 1990 Sep 15;270(3):685-9. doi: 10.1042/bj2700685.,"A close correlation exists between inhibition by 12-O-tetradecanoylphorbol 13-acetate (TPA) of inositol trisphosphate (InsP3) formation and the rise in internal Ca2+ concentrations in IgE-stimulated rat basophilic leukemia (RBL-2H3) cells. Inhibition of both processes is dose-dependent, with half-maximal and maximal inhibition occurring at 1.5 and 10 ng of TPA/ml respectively. At a similar range of concentrations TPA does not inhibit, but rather enhances, IgE-dependent secretion. When added to antigen-activated cells. EGTA immediately abrogates secretion and stimulates InsP3 production. In contrast, EGTA has only a small inhibitory effect on IgE-induced secretion from TPA-activated cells. In antigen-activated cells, EGTA partially inhibits InsP1 formation, suggesting that, unlike InsP3, InsP1 may in part be formed directly from phosphatidylinositol in a Ca2(-)-dependent manner. Together, these findings suggest that under physiological conditions the stimulated formation of InsP3 is insufficient for triggering secretion, and that Ca2+ influx is essential. Moreover, InsP3 formation is not obligatory for IgE-mediated exocytosis, provided that the cells are activated by TPA. Secretion from TPA-activated cells, which is independent of InsP3 formation and the rise in internal Ca2+, does not require the presence of external Ca2+, implying that the presence of external Ca2+ during IgE-induced secretion is required for producing the Ca2+ signal and not for exocytosis per se.",['10.1042/bj2700685 [doi]'],PMC1131786,,,,,,,,,,
