PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,OID,OAB,OABL,OTO,OT,GN,CON,SI,CIN,EIN,RIN
2788356,NLM,MEDLINE,19890912,20171006,0386-300X (Print) 0386-300X (Linking),43,3,1989 Jun,Immortalization of rat spleen and thymus T cells by human T-cell leukemia virus type I.,143-51,"Co-cultivation of thymus and spleen cells of Fisher and Lewis rats with lethally irradiated MT-2 cells harboring human T-cell leukemia virus type I (HTLV-I) resulted in the establishment of lymphoid cell lines, FIRT-1, FIRS-1, LERT-1, and LERS-1, respectively. Cells of these cell lines had rat T-cell characters as demonstrated by the positive reaction to monoclonal antibodies (MAbs) to rat T cell antigens (Thy 1 and pan T). They lacked surface immunoglobulins and strongly expressed rat interleukin-2 receptor antigen (Tac) and Ia antigen. Karyotypic analysis revealed that they had the normal rat karyotype in early cultures, but showed marked aneuploidy after long cultivation. None of them expressed HTLV gag proteins (p19 and p24) or virus particles, but they contained HTLV-I proviral DNA monoclonally and weakly expressed pX gene products (p40x). They were not transplantable into syngeneic newborn rats.","['Akagi, T', 'Takata, H', 'Yoshino, T', 'Teramoto, N', 'Yano, S', 'Oka, T']","['Akagi T', 'Takata H', 'Yoshino T', 'Teramoto N', 'Yano S', 'Oka T']","['Second Department of Pathology, Okayama University Medical School, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Acta Med Okayama,Acta medica Okayama,0417611,"['0 (Antibodies, Monoclonal)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Cell Line', '*Human T-lymphotropic virus 1', 'Karyotyping', 'Rats', 'Rats, Inbred F344', 'Rats, Inbred Lew', 'Spleen/*cytology/immunology', 'T-Lymphocytes/analysis/*immunology']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",['10.18926/AMO/30886 [doi]'],ppublish,Acta Med Okayama. 1989 Jun;43(3):143-51. doi: 10.18926/AMO/30886.,,,,,,,,,,,,
2788303,NLM,MEDLINE,19890919,20190818,0300-9475 (Print) 0300-9475 (Linking),30,2,1989 Aug,T-cell chemiluminescence. A novel aspect of T-cell membrane activation studied with a Jurkat tumour cell line.,265-9,"The binding of mitogenic lectins phytohaemagglutinin (PHA), concanavalin A (Con A) and/or of monoclonal antibodies to different receptors such as antigen receptor complex or CD2 on human T cells generates increases in the concentrations of inositol triphosphate (IP3) and cytoplasmic free calcium. This T lymphocyte requires the delivery of two signals; the first can be provided by specific monoclonal antibodies or by mitogenic lectins, and the second by a phorbol ester, phorbol myristate acetate (PMA). In other cells such as macrophages, the rise of intracellular calcium via the generation of IP3 and stimulation of protein kinase C can activate the phospholipase A2, a calcium-dependent enzyme. This enzyme initiates the release of reactive oxygen intermediates and metabolites of arachidonic acid. In order to know whether this other metabolic pathway can be generated in T cells, we tested the capacity of different T-cell lines and clones to produce superoxide anion after stimulation by the above-mentioned activating agents. In this paper, we demonstrate that treatment of the Jurkat human cell line with Con A, PHA, and PMA results in a significant release of reactive oxygen metabolites. Of the various T-cell lines and clones tested, only Jurkat exhibited an oxidative burst. Moreover, none of the antibodies tested (anti-CD3, anti-CD2, and anti-CD28) and known to activate T cells, and none of the immune complexes was able to mediate such an effect. The existence of an oxidative metabolism in at least one T-cell line suggests that T-cell activation may in some instances use another metabolic pathway.","['Benichou, G', 'Kanellopoulos, J M', 'Mitenne, F', 'Galanaud, P', 'Leca, G']","['Benichou G', 'Kanellopoulos JM', 'Mitenne F', 'Galanaud P', 'Leca G']","['Claude Bernard Research Centre, Pasteur Institute, Paris, France.']",['eng'],,['Journal Article'],England,Scand J Immunol,Scandinavian journal of immunology,0323767,"['0 (Free Radicals)', '0 (Lectins)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'S88TT14065 (Oxygen)']",IM,"['Free Radicals', 'Humans', 'Lectins/pharmacology', 'Leukemia, T-Cell/metabolism', 'Luminescent Measurements', '*Lymphocyte Activation', 'Oxygen/metabolism', 'T-Lymphocytes/*metabolism', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",['10.1111/j.1365-3083.1989.tb01210.x [doi]'],ppublish,Scand J Immunol. 1989 Aug;30(2):265-9. doi: 10.1111/j.1365-3083.1989.tb01210.x.,,,,,,,,,,,,
2788280,NLM,MEDLINE,19890912,20190501,0027-8424 (Print) 0027-8424 (Linking),86,15,1989 Aug,Recognition of a self major histocompatibility complex TL region product by gamma delta T-cell receptors.,5928-32,"Ligand specificity of a murine gammadelta T-cell receptor-expressing hybridoma (KN6) derived from adult thymocytes has been analyzed in detail. The molecule recognized by the KN6 gammadelta T-cell receptor is expressed on syngeneic cells of various sources (peritoneal macrophages, thymocytes, spleen cells, and Abelson murine leukemia virus-transformed cell lines) and on transformed cells arrested at an early stage of development (e.g., PCC3 embryonal carcinoma cells). Linkage of the gene coding for the KN6 ligand to the major histocompatibility complex genes could be demonstrated by testing KN6 hybridoma reactivity to cells from congenic strains that differ only at H-2. In addition, analysis of recombinant strains indicates that the gene controlling the KN6 ligand is located in or distal to the TL region. Involvement of the KN6 gammadelta T-cell receptor in this recognition process could be directly demonstrated by transferring the KN6 TL specificity after introduction of the productively rearranged KN6 gamma and delta genes into an alphabeta T-cell clone or into the germ line in transgenic mice. These observations raise the possibility that at least some gammadelta cells regulate hemopoietic cell maturation and activation.","['Bonneville, M', 'Ito, K', 'Krecko, E G', 'Itohara, S', 'Kappes, D', 'Ishida, I', 'Kanagawa, O', 'Janeway, C A', 'Murphy, D B', 'Tonegawa, S']","['Bonneville M', 'Ito K', 'Krecko EG', 'Itohara S', 'Kappes D', 'Ishida I', 'Kanagawa O', 'Janeway CA', 'Murphy DB', 'Tonegawa S']","['Howard Hughes Medical Institute, Massachusetts Institute of Technology, Cambridge, 02139.']",['eng'],"['AI17879/AI/NIAID NIH HHS/United States', 'CA28900/CA/NCI NIH HHS/United States', 'P30-14051/PHS HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antibodies, Monoclonal)', '0 (Interleukins)', '0 (Macromolecular Substances)', '0 (Receptors, Antigen, T-Cell)']",IM,"['Animals', 'Antibodies, Monoclonal', 'Hybridomas/immunology', 'Interleukins/biosynthesis', 'Lymphocyte Activation', 'Macromolecular Substances', '*Major Histocompatibility Complex', 'Mice', 'Mice, Inbred Strains', 'Mice, Transgenic', 'Receptors, Antigen, T-Cell/*immunology', 'Spleen/immunology', 'T-Lymphocytes/immunology', 'Thymus Gland/immunology', 'Transfection']",PMC297744,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",['10.1073/pnas.86.15.5928 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1989 Aug;86(15):5928-32. doi: 10.1073/pnas.86.15.5928.,,,,,,,,,,,,
2788262,NLM,MEDLINE,19890912,20190903,0031-3025 (Print) 0031-3025 (Linking),21,1,1989 Jan,Granulocytic sarcoma presenting as bleeding gastric polyp.,63-4,"Granulocytic sarcoma may develop before, after or at the time of presentation of acute myeloid leukemia. We report an unusual case in which the first manifestation of leukemic conversion of myelodysplastic syndrome was bleeding from a polypoid gastric granulocytic sarcoma.","['Wong, K F', 'Yuen, R W', 'Lok, A S', 'Chan, T K']","['Wong KF', 'Yuen RW', 'Lok AS', 'Chan TK']","['Institute of Pathology, Queen Elizabeth Hospital, Hong Kong.']",['eng'],,"['Case Reports', 'Journal Article']",England,Pathology,Pathology,0175411,,IM,"['Female', 'Gastrointestinal Hemorrhage/*etiology', 'Humans', 'Leukemia, Myeloid/*complications/pathology', 'Middle Aged', 'Polyps/*etiology/pathology', 'Recurrence', 'Stomach Neoplasms/*etiology/pathology']",,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.3109/00313028909059533 [doi]'],ppublish,Pathology. 1989 Jan;21(1):63-4. doi: 10.3109/00313028909059533.,,,,,,,,,,['Pathology. 1989 Oct;21(4):318. PMID: 2633121'],,
2788192,NLM,MEDLINE,19890913,20131121,0022-1767 (Print) 0022-1767 (Linking),143,5,1989 Sep 1,Heterogeneity of protein kinase C isoenzyme gene expression in human T cell lines. Protein kinase C-beta is not required for several T cell functions.,1692-5,"An early consequence of stimulation of T cells via their Ag receptor is the activation of protein kinase C (PKC). It has recently been shown that PKC activity resides in a family of homologous proteins. Inasmuch as T cells are phenotypically and functionally heterogeneous, we examined the possibility that this heterogeneity may be reflected in differential expression of message for PKC isoenzyme genes. RNA from six leukemic T cell lines was probed for PKC-alpha, -beta, and -gamma message before and after activation. These studies revealed significant differences among these lines. None expressed mRNA for PKC-gamma. Whereas all cells possessed message for PKC-alpha, there was consistent variability in the level expressed. The greatest heterogeneity was seen with PKC-beta. Two cell lines, HUT 78 and HPB-ALL, did not hybridize with the beta probe under any conditions tested. We subsequently used these PKC-beta negative cells to study the role of this isoenzyme in mediating some of the effects seen with phorbol esters that directly bind to and activate PKC. Our results indicate that PKC-beta, which is expressed in some T cells, is not necessary for PMA-induced CD3 or CD4 internalization, IL-2 production, or acquisition of the p55 chain of the IL-2 receptor.","['Koretzky, G A', 'Wahi, M', 'Newton, M E', 'Weiss, A']","['Koretzky GA', 'Wahi M', 'Newton ME', 'Weiss A']","['Department of Medicine, Howard Hughes Medical Institute, San Francisco, CA 94143.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Isoenzymes)', '0 (RNA, Messenger)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Line', '*Gene Expression Regulation', 'Genes', 'Humans', 'Isoenzymes/genetics/physiology', 'Leukemia, T-Cell/enzymology/genetics', 'Phenotype', 'Protein Kinase C/*genetics/physiology', 'RNA, Messenger/metabolism', 'T-Lymphocytes/classification/*enzymology/immunology', 'Tetradecanoylphorbol Acetate/pharmacology']",,1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",,ppublish,J Immunol. 1989 Sep 1;143(5):1692-5.,,,,,,,,,,,,
2788188,NLM,MEDLINE,19890913,20071114,0022-1767 (Print) 0022-1767 (Linking),143,5,1989 Sep 1,Membrane IgD and membrane IgM differ in capacity to transduce inhibitory signals within the same human B cell clonal populations.,1565-74,"The relative capacity of two coexpressed membrane Ig (mIg) isotypes, mIgM and mIgD, to actively transduce tolerogenic signals was evaluated with three human B cell leukemic clonal populations. Although anti-IgM mAb directed to various domains of the mIgM molecule suppressed spontaneous or T cell factor-induced leukemic DNA synthesis at concentrations as low as 0.01 to 0.1 microgram/ml, anti-IgD antibodies of both monoclonal and polyclonal origin failed to inhibit at doses as high as 100 micrograms/ml. Several possibilities for the differential capacity of mIgM and mIgD molecules to signal inhibition in these leukemic clonal populations were evaluated. Differences in the intrinsic membrane expression of the two isotypes before in vitro clonal activation were not responsible because the above distinctions were noted in cells of a chronic lymphocytic leukemia, which expressed slightly more mIgD than mIgM. The ineffective inhibitory signaling capacity of mIgD-specific ligands was also not caused by a selective decrease in the membrane expression of mIgD during cell culture, because the density of each isotype remained relatively constant during the first 44 h of in vitro activation by T cell factors, and following capping, mIgM and mIgD were resynthesized with similar kinetics. Because anti-IgM and anti-IgD mAb with comparable affinities for their respective membrane molecules differed significantly in inhibitory potential, it was considered improbable that the IgD-specific ligands tested bound to mIgD with a suboptimal affinity for inducing tolerance. Inhibition of leukemic DNA synthesis was observed after incubation with either anti-kappa antibody or a mixture of IgM- and IgD-isotype-specific antibodies, indicating that cross-linking of mIgD does not make B cell clones refractory to tolerogenic signal transduction through mIgM. These studies provide strong clonal support for the concept that coexpressed mIgM and mIgD molecules play distinct roles in human B cell immunoregulation.","['Mongini, P K', 'Blessinger, C', 'Posnett, D N', 'Rudich, S M']","['Mongini PK', 'Blessinger C', 'Posnett DN', 'Rudich SM']","['Institute of Molecular Immunology, Hospital for Joint Diseases, New York 10003.']",['eng'],['GM35174/GM/NIGMS NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Cross-Linking Reagents)', '0 (Immunoglobulin D)', '0 (Immunoglobulin M)', '0 (Receptors, Antigen, B-Cell)', '0 (Receptors, Fc)', '0 (Receptors, Immunologic)', '0 (immunoglobulin D receptor)', '0 (immunoglobulin M receptor)', '9007-49-2 (DNA)']",IM,"['Antibody Affinity', 'Antibody Specificity', 'B-Lymphocytes/classification/*immunology/metabolism', 'Binding, Competitive', 'Clone Cells/classification/immunology/metabolism', 'Cross-Linking Reagents', 'DNA/biosynthesis', 'Humans', 'Immune Tolerance', 'Immunoglobulin D/metabolism/*physiology', 'Immunoglobulin M/metabolism/*physiology', 'Leukemia, B-Cell/immunology', 'Receptors, Antigen, B-Cell/metabolism/*physiology', 'Receptors, Fc/analysis', 'Receptors, Immunologic/analysis', '*Signal Transduction', 'Tumor Cells, Cultured/immunology']",,1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",,ppublish,J Immunol. 1989 Sep 1;143(5):1565-74.,,,,,,,,,,,,
2788173,NLM,MEDLINE,19890908,20181113,0021-9738 (Print) 0021-9738 (Linking),84,2,1989 Aug,"Participation of the cytokines interleukin 6, tumor necrosis factor-alpha, and interleukin 1-beta secreted by acute myelogenous leukemia blasts in autocrine and paracrine leukemia growth control.",451-7,"Autonomous in vitro growth of myeloid leukemic colony-forming cells may in part result from autocrine production of colony-stimulating factors (CSF). Some acute myeloid leukemia (AML) samples, however, fail to synthesize CSF despite growing autonomously in agar, and are therefore believed to bypass CSF requirements. Cytokines such as IL-6, tumor necrosis factor (TNF)-alpha, and IL-1, products of cells of the myeloid lineage, are known to be involved in growth control of myeloid progenitor cells. Since these molecules may also contribute to autocrine and paracrine growth regulation of myeloid leukemias, we screened a series of AML for cytokine production. In addition, possible roles of IL-6, TNF-alpha, and IL-1 in growth control of AML were investigated in vitro. We show that a substantial proportion of AML cells produce IL-6, TNF-alpha, and IL-1-beta and use these mediators to stimulate their growth by disparate mechanisms: IL-6 acts as a costimulator to enhance CSF-induced clonogenicity of AML blasts. TNF-alpha induces CSF production by endothelial cells and may therefore provide a paracrine loop to support leukemia growth.","['Oster, W', 'Cicco, N A', 'Klein, H', 'Hirano, T', 'Kishimoto, T', 'Lindemann, A', 'Mertelsmann, R H', 'Herrmann, F']","['Oster W', 'Cicco NA', 'Klein H', 'Hirano T', 'Kishimoto T', 'Lindemann A', 'Mertelsmann RH', 'Herrmann F']","['Department of Hematology, Johannes Gutenberg University, Mainz, Federal Republic of Germany.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Retracted Publication']",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Colony-Stimulating Factors)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (Interleukins)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Colony-Stimulating Factors/biosynthesis/genetics', 'Humans', 'Interleukin-1/genetics/*physiology', 'Interleukin-6', 'Interleukins/genetics/*physiology', 'Leukemia, Myeloid, Acute/*pathology', 'Neoplastic Stem Cells/*pathology', 'Tumor Necrosis Factor-alpha/genetics/*physiology']",PMC548903,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",['10.1172/JCI114186 [doi]'],ppublish,J Clin Invest. 1989 Aug;84(2):451-7. doi: 10.1172/JCI114186.,,,,,,,,,,,,['J Clin Invest. 2003 Oct;112(8):1265. PMID: 14561712']
2788031,NLM,MEDLINE,19890915,20071115,0008-5472 (Print) 0008-5472 (Linking),49,17,1989 Sep 1,Role of ligand in antibody-directed endocytosis of liposomes by human T-leukemia cells.,4879-86,"The rate of uptake and intracellular processing of ligand-directed drug carriers may depend heavily on the endocytic pathway of the target antigen. We examined the role of the target antigen and type of antibody-liposome linkage in determining endocytosis of liposomes by three human T-cell leukemias, Jurkat, CEM, and Molt-4. Liposome-cell binding and internalization over time were studied using two independent assays for intracellular delivery of liposome contents: a new fluorescence assay using a pH-sensitive fluorescent dye; and a growth inhibition assay for delivery of cytotoxic drug, methotrexate-gamma-aspartate. Liposomes targeted against the transferrin receptor showed greater surface binding, internalization, and growth inhibition than liposomes targeted against the T-cell surface antigens, CD2, CD3, or CD5. Furthermore, liposomes made by conjugating the targeting antibody directly to the liposome surface were more efficiently internalized and retained than were liposomes linked to antibody-coated cells via Protein A. Selection of the type of antibody-liposome conjugate as well as the appropriate surface receptor to facilitate endocytosis is essential in antibody-directed drug treatment of cancer.","['Matthay, K K', 'Abai, A M', 'Cobb, S', 'Hong, K', 'Papahadjopoulos, D', 'Straubinger, R M']","['Matthay KK', 'Abai AM', 'Cobb S', 'Hong K', 'Papahadjopoulos D', 'Straubinger RM']","['Department of Pediatrics, University of California, San Francisco 94143.']",['eng'],"['CA35340/CA/NCI NIH HHS/United States', 'CA39448/CA/NCI NIH HHS/United States', 'RR01271/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antineoplastic Agents)', '0 (Drug Carriers)', '0 (Ligands)', '0 (Liposomes)', '0 (Receptors, Transferrin)', '0 (Staphylococcal Protein A)']",IM,"['Antibodies, Monoclonal/*immunology', 'Antigens, Differentiation, T-Lymphocyte/immunology', 'Antineoplastic Agents/administration & dosage', 'Cell Division/drug effects', 'Drug Carriers', '*Endocytosis', 'Humans', 'Hydrogen-Ion Concentration', 'Leukemia-Lymphoma, Adult T-Cell/*metabolism', 'Ligands', 'Liposomes/immunology/*pharmacokinetics', 'Microscopy, Fluorescence', 'Receptors, Transferrin/immunology', 'Staphylococcal Protein A/metabolism', 'Tumor Cells, Cultured']",,1989/09/01 00:00,1989/09/01 00:01,['1989/09/01 00:00'],"['1989/09/01 00:00 [pubmed]', '1989/09/01 00:01 [medline]', '1989/09/01 00:00 [entrez]']",,ppublish,Cancer Res. 1989 Sep 1;49(17):4879-86.,,,,,,,,,,,,
2788013,NLM,MEDLINE,19890918,20190704,0007-1048 (Print) 0007-1048 (Linking),72,2,1989 Jun,Prognostic value of spontaneous peripheral blood T-colony forming cells in T-cell acute lymphoblastic leukaemia in complete remission: an update evaluation.,291-3,,"['Allouche, M', 'Georgoulias, V', 'Varela-Millot, C', 'Itzhaki, M', 'Misset, J L', 'Jasmin, C']","['Allouche M', 'Georgoulias V', 'Varela-Millot C', 'Itzhaki M', 'Misset JL', 'Jasmin C']",,['eng'],,['Letter'],England,Br J Haematol,British journal of haematology,0372544,,IM,"['Colony-Forming Units Assay', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/*blood', 'Prognosis', 'T-Lymphocytes/*pathology']",,1989/06/01 00:00,1989/06/01 00:01,['1989/06/01 00:00'],"['1989/06/01 00:00 [pubmed]', '1989/06/01 00:01 [medline]', '1989/06/01 00:00 [entrez]']",['10.1111/j.1365-2141.1989.tb07701.x [doi]'],ppublish,Br J Haematol. 1989 Jun;72(2):291-3. doi: 10.1111/j.1365-2141.1989.tb07701.x.,,,,,,,,,,,,
2788005,NLM,MEDLINE,19890911,20190515,0007-0920 (Print) 0007-0920 (Linking),59,1,1989 Jan,"Childhood leukaemia in The Netherlands, 1973-1986: temporary variation of the incidence of acute lymphocytic leukaemia in young children.",100-5,"The incidence of childhood leukaemia in The Netherlands in the period 1973-1986 was studied by means of the DCLSG nationwide register, which lists all patients according to bone marrow slides classified in the DCLSG central laboratory. Acute lymphocytic leukaemia (ALL) accounted for 81% of cases, acute non-lymphocytic leukaemia (ANLL) for 13%, chronic myelocytic leukaemia (CML) for 2.5%, and acute unclassifiable leukaemia (AUL) for 3%. The peak incidence of ALL was at age 3, common-ALL and pre B-ALL comprising about 95% of the immunophenotypes at this age. Incidence rates for ALL remained stable between 1973 and 1978 at 2.85 cases per 10(5) children per year, exhibited a temporary increase between 1979 and 1984 to 3.60 and dropped back to the lower, previous level in 1985 and 1986. This rise was seen mainly among children in the 1-4 year age group, especially at age 3, and those with common-ALL and an initial WBC less than 5.0 x 10(9) l-1. Cumulative incidence rates per year of birth were fairly homogeneous up to age 6, except for the 1978 birth cohort which exhibited higher rates. Incidence rates for ANLL, CML and AUL remained stable over time. Changes in ascertainment, declining birth rates and a 50% decrease in childhood mortality, e.g. from infectious diseases, could not explain this temporary variation. Moreover, incidence rates in this survey appeared to be similar to those reported in various developed countries for the same period. As far as the aetiology of childhood common-ALL is concerned, therefore, the Dutch data appear to support the hypothesis of 'random mutation' as well as that of a limited role of environmental factors.","['Coebergh, J W', 'van der Does-van den Berg, A', 'van Wering, E R', 'van Steensel-Moll, H A', 'Valkenburg, H A', ""van't Veer, M B"", 'Schmitz, P I', 'van Zanen, G E']","['Coebergh JW', 'van der Does-van den Berg A', 'van Wering ER', 'van Steensel-Moll HA', 'Valkenburg HA', ""van't Veer MB"", 'Schmitz PI', 'van Zanen GE']","['Dutch Childhood Leukaemia Study Group, The Hague, The Netherlands.']",['eng'],,['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cohort Studies', 'Female', 'Humans', 'Infant', 'Leukemia/epidemiology', 'Lymphocytes/classification', 'Male', 'Netherlands', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*epidemiology/immunology/mortality']",PMC2246965,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1038/bjc.1989.20 [doi]'],ppublish,Br J Cancer. 1989 Jan;59(1):100-5. doi: 10.1038/bjc.1989.20.,,,,,,,,,,,,
2787990,NLM,MEDLINE,19890907,20190612,0006-291X (Print) 0006-291X (Linking),162,2,1989 Jul 31,Phorbol ester activation of phospholipase D in human monocytes but not peripheral blood lymphocytes.,788-93,"Previous reports have shown that 12-0-tetradecanoylphorbol-13-acetate can activate phospholipase D in human peripheral blood mononuclear cells as measured by an enzyme-catalyzed transphosphatidylation reaction (phosphatidylethanol formation). In the present study, the mononuclear cells were fractionated by two procedures to identify the responsive cells. Contrary to earlier suggestions, the results indicate that phorbol ester does not stimulate phospholipase D activity in normal lymphocytes. Thus, phosphatidylethanol was not produced by T lymphocytes (isolated by sheep erythrocyte rosette formation) or by a mixture of T and B lymphocytes (isolated by centrifugal elutriation). Under the same conditions, phorbol ester was able to activate phospholipse D in fractions that contained predominately monocytes. Preliminary experiments have further shown that phorbol ester does not induce phospholipase D activity in human T cell leukemic lines (MOLT-3, CEM, JURKAT, PEER) but can do so in some, but not all, B cell lines that have been infected with Epstein-Barr virus.","['Kinsky, S C', 'Loader, J E', 'Benedict, S H']","['Kinsky SC', 'Loader JE', 'Benedict SH']","['Division of Basic Sciences, National Jewish Center for Immunology and Respiratory Medicine, Denver, Colorado 80206.']",['eng'],['GM-40767/GM/NIGMS NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Glycerophospholipids)', '0 (Phosphatidic Acids)', '0 (phosphatidylethanol)', '3K9958V90M (Ethanol)', 'EC 3.1.- (Phospholipases)', 'EC 3.1.4.4 (Phospholipase D)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['B-Lymphocytes/enzymology', 'Cell Separation', 'Enzyme Activation/drug effects', 'Ethanol/pharmacology', '*Glycerophospholipids', 'Humans', 'Leukemia, T-Cell/enzymology', 'Lymphocytes/*enzymology', 'Monocytes/*enzymology', 'Phosphatidic Acids/blood', 'Phospholipase D/*blood', 'Phospholipases/*blood', 'T-Lymphocytes/enzymology', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Tumor Cells, Cultured']",,1989/07/31 00:00,1989/07/31 00:01,['1989/07/31 00:00'],"['1989/07/31 00:00 [pubmed]', '1989/07/31 00:01 [medline]', '1989/07/31 00:00 [entrez]']","['0006-291X(89)92379-6 [pii]', '10.1016/0006-291x(89)92379-6 [doi]']",ppublish,Biochem Biophys Res Commun. 1989 Jul 31;162(2):788-93. doi: 10.1016/0006-291x(89)92379-6.,,,,,,,,,,,,
2787977,NLM,MEDLINE,19890830,20061115,0003-9985 (Print) 0003-9985 (Linking),113,8,1989 Aug,The vacuolated glycogen-laden leukemic lymphocytes of a T-cell lymphoproliferative disorder.,937-40,"In this report, we present a case of peripheral T-cell leukemia/lymphoma having mostly small- to medium-sized cells with abundant clear cytoplasmic vacuoles. The presentation at the time of diagnosis was one of leukemia/lymphoma. The phenotype of the leukemic cells of the peripheral blood was T1+, T11+, TQ1+, interleukin-2+, T3-, T4-, and T8-. The cells in the peripheral blood as well as those obtained from lymph node biopsy were strongly periodic acid-Schiff positive; the positivity was diastase sensitive. Electron microscopy confirmed the presence of glycogen in the cytoplasmic vacuoles. Serologic tests were negative for human T-cell lymphotropic virus type 1 antibody. The data presented in this article support the existence of a vacuolated variant of peripheral T-cell leukemia/lymphoma and further expand the morphological spectrum of T-cell lymphoproliferative disorders.","['Krauss, J S', 'Pantazis, C G', 'Spurlock, B O', 'Price, L M', 'Neeley, A E']","['Krauss JS', 'Pantazis CG', 'Spurlock BO', 'Price LM', 'Neeley AE']","['Department of Pathology, Medical College of Georgia, Augusta 30912-3620.']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,['9005-79-2 (Glycogen)'],IM,"['Aged', 'Aged, 80 and over', 'Flow Cytometry', 'Glycogen/*metabolism', 'Humans', 'Leukemia/*pathology', 'Leukemia, T-Cell/*pathology', 'Male', 'Microscopy, Electron', 'Periodic Acid-Schiff Reaction', 'T-Lymphocytes/classification/metabolism/*ultrastructure', 'Vacuoles/*ultrastructure']",,1989/08/01 00:00,1989/08/01 00:01,['1989/08/01 00:00'],"['1989/08/01 00:00 [pubmed]', '1989/08/01 00:01 [medline]', '1989/08/01 00:00 [entrez]']",,ppublish,Arch Pathol Lab Med. 1989 Aug;113(8):937-40.,,,,,,,,,,,,
