PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,RF,SI,TT,EIN,OID,OAB,OABL,OTO,OT,GN,CN,AD,CIN
3090250,NLM,MEDLINE,19860918,20191022,0264-0325 (Print) 0264-0325 (Linking),106,3,1986 Jun,"Selected factors and stroke in young adults, 15-40 years of age.",102-7,,"['Oleckno, W A']",['Oleckno WA'],['eng'],['Journal Article'],England,J R Soc Health,Journal of the Royal Society of Health,8303144,,IM,"['Adolescent', 'Adult', 'Alcohol Drinking', 'Cerebrovascular Disorders/*etiology', 'Drug-Related Side Effects and Adverse Reactions', 'Female', 'Humans', 'Illinois', 'Leukemia/complications', 'Male', 'Medical History Taking', 'Migraine Disorders/complications', 'Research Design', 'Smoking']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",['10.1177/146642408610600312 [doi]'],ppublish,J R Soc Health. 1986 Jun;106(3):102-7. doi: 10.1177/146642408610600312.,,,,,,,,,,,,,,,
3090209,NLM,MEDLINE,19860925,20141120,0732-6580 (Print) 0732-6580 (Linking),5,4,1986 Aug,"In vitro restoration by interleukin-2 (IL-2) of the impaired natural killer cell activities, IL-2 receptor expression, and T cell proliferation in hemophilia.",339-50,"Five of 22 hemophiliacs who were seropositive for human T cell leukemia virus III (HTLV III) and manifested severe impairment of immune parameters (both in vivo and in vitro) similar to those observed in patients with clinical symptoms of acquired immune deficiency syndrome (AIDS) were chosen for this study. Profound lymphopenia was observed in four of five patients with decreased and qualitatively impaired helper/inducer (T4) cells and increased T suppressor/cytotoxic (T8) cells. Observed in all patients was impaired endogenous production of interleukin-2 (IL-2), expression of the IL-2 receptor combined with diminished responses to mitogens, mixed leukocytes reaction (MLR), and natural killer (NK) reactivity. In vitro supplement of exogenous IL-2 markedly augmented T and NK cell functions, as well as the expression of activation antigens on both T4 and T8 cell in four of five patients. Our findings suggest that a substantial proportion of this cell-mediated immunologic defect in hemophiliacs stems from their inability to produce adequate amounts of IL-2. Interleukin-2 may therefore have the potential for therapy as an immune response modifier in patients with hemophilia by providing beneficial preventive therapy for patients at risk.","['Zaizov, R', 'Cohen, I J', 'Luria, D', 'Trainin, N', 'Umiel, T']","['Zaizov R', 'Cohen IJ', 'Luria D', 'Trainin N', 'Umiel T']",['eng'],['Journal Article'],United States,J Biol Response Mod,Journal of biological response modifiers,8219656,"['0 (Interleukin-2)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-2)']",IM,"['Acquired Immunodeficiency Syndrome/etiology/prevention & control', 'Adolescent', 'Adult', 'Hemophilia A/complications/*immunology/therapy', 'Humans', '*Immunity, Cellular', 'Immunotherapy', 'In Vitro Techniques', 'Interleukin-2/*immunology', 'Killer Cells, Natural/immunology', 'Lymphocyte Activation', 'Receptors, Immunologic/biosynthesis', 'Receptors, Interleukin-2', 'T-Lymphocytes/immunology']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",,ppublish,J Biol Response Mod. 1986 Aug;5(4):339-50.,,,,,,,,,,,,,,,
3090177,NLM,MEDLINE,19860917,20180206,0022-2143 (Print) 0022-2143 (Linking),108,2,1986 Aug,Lipoxygenation of arachidonic acid by differentiated and undifferentiated human promyelocytic HL-60 cells.,161-6,"The human promyelocytic leukemia cell line HL-60 can be induced to differentiate into mature granulocytes by exposure to dimethyl sulfoxide (DMSO), as well as into cells of monocyte-macrophage lineage by exposure to 12-0-tetra-decanoylphorbol-13-acetate (TPA). Incubation of the promyelocytic leukemic HL-60 cells and the two chemically induced differentiated cells with carbon 14-labeled arachidonic acid overnight resulted in the incorporation of label mainly into cellular phospholipids. Stimulation of the labeled cells with Ca2+ ionophore (A23187) resulted in the generation of lipoxygenase products in all the cells. Notably, the DMSO-induced differentiated granulocytic cells biosynthesized predominantly the peptidoeicosatetraenoic acids LTC4 and LTD4 compared with the dihydroxyeicosatetraenoic acid LTB4. On the other hand, the TPA-induced differentiated monocytic-macrophage cells biosynthesized predominantly LTB4 compared with LTC4 and LTD4. The undifferentiated promyelocytic cells lacked the capacity to biosynthesize LTB4, as evidenced in the chemically induced differentiated cells. The monohydroxyeicosatetraenoic acid (HETE) 5-HETE, a metabolite of the 5-lipoxygenase pathway, was a minor component in these cells, and 12-HETE and 15-HETE were barely detectable. These results suggest that the two models of DMSO-induced and TPA-induced differentiated cells may be useful systems for further investigations of arachidonic acid metabolites in granulocytic and monocytic-macrophage functions.","['Ziboh, V A', 'Wong, T', 'Wu, M C', 'Yunis, A A']","['Ziboh VA', 'Wong T', 'Wu MC', 'Yunis AA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,"['0 (Arachidonic Acids)', '27YG812J1I (Arachidonic Acid)', '37H9VM9WZL (Calcimycin)', 'EC 1.13.11.12 (Lipoxygenase)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Arachidonic Acid', 'Arachidonic Acids/*metabolism', 'Calcimycin/pharmacology', 'Cell Differentiation', 'Cell Line', 'Chromatography, High Pressure Liquid', 'Dimethyl Sulfoxide/pharmacology', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Lipoxygenase/*metabolism', 'Tetradecanoylphorbol Acetate/pharmacology']",1986/08/01 00:00,1986/08/01 00:01,['1986/08/01 00:00'],"['1986/08/01 00:00 [pubmed]', '1986/08/01 00:01 [medline]', '1986/08/01 00:00 [entrez]']",['0022-2143(86)90262-3 [pii]'],ppublish,J Lab Clin Med. 1986 Aug;108(2):161-6.,,"['AM-31624/AM/NIADDK NIH HHS/United States', 'AM-32765/AM/NIADDK NIH HHS/United States', 'CA-00859/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,
3090143,NLM,MEDLINE,19860917,20151119,0022-1767 (Print) 0022-1767 (Linking),137,4,1986 Aug 15,Identification of an early activation antigen (Bac-1) on human B cells.,1208-13,"We have produced a monoclonal antibody, Bac-1, that appears to identify a novel antigen on activated human B cells. The Bac-1 antigen can be detected between 8 to 16 hr, as well as transferrin receptors (T9), after activation of small resting B cells with phorbol myristic acetate, anti-IgM antibody, Staphylococcus aureus Cowan I, or Epstein-Barr virus. The expression of the Bac-1 antigen precedes that of IL 2 receptors (Tac-1). Peak expression of the Bac-1 antigen was observed on day 3 after activation, and decreased thereafter. The Bac-1 antigen was present on a minor subpopulation of relatively large B cells isolated from blood samples, and on ""preactivated"" B cells of heterogeneous size isolated from spleens and tonsils. It was not detected on bone marrow pre-B cells, blood small B cells, or plasma cells, nor was it expressed by resting or activated T cells or nonlymphoid cells. Certain B cell neoplasms and B lymphoblastoid cell lines were Bac-1+, but neoplastic cells of non-B lineage were Bac-1-. With immunoperoxidase staining, Bac-1+ cells were detected predominantly in the germinal centers of tonsil sections. The Bac-1 antigen on activated B cells was destroyed by protease treatment and was enhanced by neuraminidase treatment, suggesting that the Bac-1 antibody detects a cell surface molecule via an antigenic determinant which is partially obscured by neighboring sialic acid residues. The reactivity pattern of Bac-1 differs from the patterns of cellular reactivity reported for other monoclonal antibodies with specificity for activated human B cells.","['Suzuki, T', 'Sanders, S K', 'Butler, J L', 'Gartland, G L', 'Komiyama, K', 'Cooper, M D']","['Suzuki T', 'Sanders SK', 'Butler JL', 'Gartland GL', 'Komiyama K', 'Cooper MD']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal', 'Antigen-Antibody Reactions', 'Antigens, Differentiation, B-Lymphocyte', 'Antigens, Surface/*analysis', 'B-Lymphocytes/cytology/*immunology', 'Cell Differentiation', 'Cell Line', 'Humans', 'Kinetics', 'Leukemia/immunology', '*Lymphocyte Activation', 'Lymphoma/immunology']",1986/08/15 00:00,1986/08/15 00:01,['1986/08/15 00:00'],"['1986/08/15 00:00 [pubmed]', '1986/08/15 00:01 [medline]', '1986/08/15 00:00 [entrez]']",,ppublish,J Immunol. 1986 Aug 15;137(4):1208-13.,,"['CA 13148/CA/NCI NIH HHS/United States', 'CA 16673/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
3090062,NLM,MEDLINE,19860917,20041117,8750-2836 (Print) 8750-2836 (Linking),21,8,1986 Aug 15,Chromosome anomalies in hematologic malignancies.,"121-6, 131-2",,"['de la Chapelle, A']",['de la Chapelle A'],['eng'],['Journal Article'],United States,Hosp Pract (Off Ed),Hospital practice (Office ed.),8404149,,IM,"['Adult', 'Child', 'Chromosome Aberrations/complications/*genetics', 'Chromosome Disorders', 'Chromosomes, Human, 21-22 and Y', 'Humans', 'Karyotyping', 'Leukemia/complications/*genetics', 'Prognosis']",1986/08/15 00:00,1986/08/15 00:01,['1986/08/15 00:00'],"['1986/08/15 00:00 [pubmed]', '1986/08/15 00:01 [medline]', '1986/08/15 00:00 [entrez]']",,ppublish,"Hosp Pract (Off Ed). 1986 Aug 15;21(8):121-6, 131-2.",,,,,,,,,,,,,,,
3090051,NLM,MEDLINE,19860917,20190903,0171-5216 (Print) 0171-5216 (Linking),111,3,1986,"Recovery patterns of rat hemopoietic stem cells between pulse doses of 7,12-dimethylbenz(a)anthracene (DMBA) applied in a leukemogenic regimen.",237-42,"Male Wistar rats received repeated pulse doses of 7,12-dimethylbenz(a)anthracene (DMBA), known to elicit myelodysplasia followed by acute, mostly erythroblastic, leukemia at 10-day intervals. The recovery of spleen colony forming hemopoietic stem cells (CFU-s) surviving the cytocidal action of DMBA was examined between pulses. Recovery after a pulse of 35 mg/kg body weight varied with the organ source of the CFU-s (femoral bone marrow or spleen) and the number of preceding DMBA pulses. After a single DMBA pulse bone marrow CFU-s initially recovered faster than reported for normal bone marrow CFU-s transplanted into chemically conditioned rats. But recovery was followed by regeneration arrest. Population doubling times of marrow CFU-s increased with the number of DMBA pulses. Recovery of splenic CFU-s was slower after a single DMBA pulse than reported for normal spleen CFU-s transplanted into chemically conditioned rats. The CFU-s population doubling times were not significantly different after a single or five DMBA pulses. After three pulses, however, recovery of splenic CFU-s was exceedingly slow until day 5 and subsequently accelerated, but was still slower than after one or five pulses. In the spleen CFU-s recovery was always accompanied by regeneration of total cell numbers with a preference for erythroid regeneration. In the bone marrow this was the case after three DMBA pulses only.","['Fohlmeister, I', 'Hohentanner, O', 'Porr, A']","['Fohlmeister I', 'Hohentanner O', 'Porr A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,"['57-97-6 (9,10-Dimethyl-1,2-benzanthracene)']",IM,"['9,10-Dimethyl-1,2-benzanthracene/*toxicity', 'Animals', 'Bone Marrow/drug effects', 'Chromosome Aberrations', 'Hematopoiesis/drug effects', 'Hematopoietic Stem Cells/*drug effects', 'Leukemia, Experimental/*chemically induced', 'Male', 'Rats', 'Rats, Inbred Strains', 'Spleen/drug effects']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1007/BF00389239 [doi]'],ppublish,J Cancer Res Clin Oncol. 1986;111(3):237-42. doi: 10.1007/BF00389239.,,,,,,,,,,,,,,,
3089995,NLM,MEDLINE,19860917,20131121,0910-5050 (Print) 0910-5050 (Linking),77,6,1986 Jun,"Antitumor effect of a synthetic cord factor, 6,6'-di-O-decanoyl-alpha,alpha-trehalose (SS554), in mice.",602-9,"The antitumor effect on Meth-A fibrosarcoma in BALB/c mice of a synthetic cord factor, 6,6'-di-O-decanoyl-alpha,alpha-trehalose (designated as SS554), was examined. Only intratumoral injection had a curative effect; subcutaneous, per oral, or intravenous routes had no such effect. The co-presence of an oily vehicle has been shown to be necessary for antitumor activity of a natural cord factor. When SS554 was examined in suspensions of sesame oil, squalane, squalene or sesame oil and water emulsion, a 60% cure rate was achieved. However, no such effect was obtained with a suspension in Tween-PBS or a solution. It should also be noted that sequential but independent administrations of SS554 and oil were found to be as effective as the simultaneous administration of oil and SS554 in emulsion form. In the case of the emulsion, the amount of sesame oil necessary was over 10%, or 0.01 ml in absolute terms. Cures were obtained in a dose-dependent manner by injection of SS554 in amounts in excess of 1 mg. The effect of the time of administration was also examined; the best result was obtained when intratumoral injection was done on day 3 after tumor implantation. Mice cured by SS554 exhibited growth inhibition and rejection of rechallenged Meth-A cells. However, this immunity was specific; it did not extend to a rechallenge with RLmale-1 leukemia cells.","['Kohya, H', 'Ishii, F', 'Takano, S', 'Katori, T', 'Ebina, T', 'Ishida, N']","['Kohya H', 'Ishii F', 'Takano S', 'Katori T', 'Ebina T', 'Ishida N']",['eng'],['Journal Article'],Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antineoplastic Agents)', '0 (Emulsions)', '0 (Pharmaceutical Vehicles)', '0 (Suspensions)', '84396-34-9 (SS 554)', 'B8WCK70T7I (Trehalose)']",IM,"['Animals', 'Antineoplastic Agents/administration & dosage/*therapeutic use', 'Dose-Response Relationship, Drug', 'Emulsions', 'Fibrosarcoma/drug therapy/immunology', 'Leukemia, Radiation-Induced/immunology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Pharmaceutical Vehicles', 'Suspensions', 'Trehalose/administration & dosage/analogs & derivatives/therapeutic use']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",,ppublish,Jpn J Cancer Res. 1986 Jun;77(6):602-9.,,,,,,,,,,,,,,,
3089991,NLM,MEDLINE,19860917,20061115,0910-5050 (Print) 0910-5050 (Linking),77,6,1986 Jun,Role of the thymus in propylnitrosourea-induced thymic lymphomagenesis in F344 rats.,572-8,"The role of the thymus in propylnitrosourea (PNU)-induced thymic lymphomagenesis was studied in F344 rats with genetically determined high susceptibility. The thymus was absolutely required for thymic lymphomagenesis, since thymectomy prior to or after PNU treatment abolished lymphomagenesis, whereas grafting of a normal neonatal thymus before PNU treatment restored it. Exposure to PNU for 42 days resulted in the appearance of potentially lymphomatous cells first in the thymus, and overt T-lymphomas subsequently appeared. Such cells seemed to be thymus-dependent, since intrathymic transfer of the thymus cells from 42-day PNU-treated rats induced T-lymphomas much more efficiently than intravenous transfer. Further, grafting of the thymus from 42-day PNU-treated rats into thymectomized rats resulted in T-lymphomas of donor origin without additional PNU treatment. Cells from the spleen or bone marrow from the same donors did not give rise to T-lymphomas irrespective of the route of cell transfer and sublethal irradiation of the recipients. Morphologically atypical cell foci were detected first on the 28th day in the thymus and were most pronounced during the 35th-42nd days. Therefore, the thymus is the essential organ in which the early events of PNU-induced rat T-lymphomagenesis take place.","['Shisa, H', 'Kitano, M']","['Shisa H', 'Kitano M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Nitrosourea Compounds)', '816-57-9 (propylnitrosourea)']",IM,"['Animals', 'Female', 'Leukemia, Experimental/chemically induced', 'Lymphoma/*chemically induced/pathology', 'Male', 'Nitrosourea Compounds', 'Organ Size', 'Rats', 'Rats, Inbred F344', 'Thymectomy', 'Thymus Gland/pathology/*physiology/transplantation', 'Thymus Neoplasms/*chemically induced/pathology']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",,ppublish,Jpn J Cancer Res. 1986 Jun;77(6):572-8.,,,,,,,,,,,,,,,
3089990,NLM,MEDLINE,19860917,20061115,0910-5050 (Print) 0910-5050 (Linking),77,6,1986 Jun,Accelerating effect of nude gene heterozygosity on spontaneous AKR thymic lymphomagenesis.,568-71,"The effect of nude gene heterozygosity on spontaneous AKR thymic lymphomagenesis was studied by comparing female littermates of AKR/Ms-nu/+ and +/+. As previously reported in nude gene heterozygotes with genetic background other than AKR, AKR/Ms-nu/+ mice had a significantly smaller thymus than the +/+ littermates. Overall incidences of thymic lymphomas were comparable in the two genotypes, but the mean latent period for lymphoma development was significantly shorter in the nu/+ mice (266.3 +/- 11.6 days) than in the +/+ mice (319.3 +/- 7.9 days). Both genotypes of mice expressed a high level of XC+-ecotropic murine leukemia virus. Expression of xenotropic virus was more variable, but there was no consistent difference in onset of virus expression or in virus titer that could explain accelerated lymphomagenesis in the nude gene heterozygotes.","['Shisa, H', 'Kojima, A', 'Hiai, H']","['Shisa H', 'Kojima A', 'Hiai H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,,IM,"['Animals', 'Female', 'Genes, Recessive', '*Heterozygote', 'Lymphoma/etiology/*genetics', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred BALB C', 'Mice, Nude', 'Organ Size', 'Retroviridae/genetics', 'T-Lymphocytes/immunology', 'Thymus Gland/*microbiology/pathology', 'Thymus Neoplasms/etiology/*genetics']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']",,ppublish,Jpn J Cancer Res. 1986 Jun;77(6):568-71.,,,,,,,,,,,,,,,
3089963,NLM,MEDLINE,19860917,20131121,0251-1789 (Print) 0251-1789 (Linking),6,3,1986,Perturbations in cancer cell deformability and resistance to shear forces.,166-79,"During hematogenous metastasis, circulating cancer cells appear to be killed in the microcirculation by a non-exclusive mechanism, involving the mechanical trauma consequent upon cancer cell interactions with the vessel wall. Various observations by others indicate that with increased cell deformability, there is decreased intravascular cell killing. We have therefore critically examined the effects of agents previously shown to modify cell deformability, on the susceptibility of Ehrlich ascites tumor and L1210 leukemia cells to mechanical damage on passage through polycarbonate membranes in vitro. Treatment with neuraminidase, trypsin or EGTA, was previously shown to increase cell deformability. However, in the present studies, neuraminidase treatment was associated with increased cell loss on filtration; trypsin treatment with small decreases in cell loss, and EGTA treatment with decreased loss. Consideration of the effects of these agents on cell deformability and membrane strength suggests that under the described experimental conditions, the latter appears more important for survival than the former. As proteolytic and glycolytic enzymes and calcium ions are involved in the release of cancer cells from tumors and invasive events, the effects described here may be relevant to the variability of cancer cells with respect to the metastatic process.","['Gabor, H', 'Weiss, L']","['Gabor H', 'Weiss L']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Invasion Metastasis,Invasion & metastasis,8202435,"['526U7A2651 (Egtazic Acid)', 'EC 3.2.1.18 (Neuraminidase)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Animals', 'Carcinoma, Ehrlich Tumor', 'Cell Movement/drug effects', 'Cell Survival/drug effects', 'Egtazic Acid/pharmacology', 'Filtration', 'Humans', 'Leukemia L1210', '*Neoplasm Metastasis', 'Neuraminidase/pharmacology', 'Trypsin/pharmacology']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Invasion Metastasis. 1986;6(3):166-79.,,,,,,,,,,,,,,,
3089925,NLM,MEDLINE,19860922,20190824,0165-2478 (Print) 0165-2478 (Linking),12,5-6,1986 Jun,Expression of the mid-stage differentiation B-cell antigen GP-70 in patients with early and stable form of B-CLL.,301-6,"The expression of B-cell surface markers SmIg and GP-70 was determined on the mononuclear cells from the peripheral blood of 25 patients with chronic lymphocytic leukemia (CLL), 10 patients with multiple myeloma (MM), 6 normal blood donors and in 3 cases of unexplained persistent lymphocytosis. GP-70 was expressed only in CLL patients whereas multiple myeloma patients, blood donors and patients with unexplained lymphocytosis were all negative to GP-70. SmIg was expressed in CLL patients and in some of the multiple myeloma patients. Subgrouping of CLL patients to ""early"", stable patients (10) and to more advanced CLL patients (15) revealed differential expression of GP-70 on CLL cells from patients with more advanced stage of disease rather than in the patients with the ""early"" stable clinical course of disease. SmIg, on the other hand, was expressed equally on both subgroups of CLL. Furthermore, in some cases (25%) where SmIg and the light chains of Ig were only weakly expressed or were absent, GP-70 was markedly expressed. These findings suggest that GP-70 can be used as a single laboratory determination to establish clonality of the B-lymphocyte proliferation in CLL. In addition, expression of GP-70 correlates with significant clinical parameters of the disease.","['Gazitt, Y', 'Malamud, E', 'Elgat, M', 'Meytes, D']","['Gazitt Y', 'Malamud E', 'Elgat M', 'Meytes D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Immunol Lett,Immunology letters,7910006,"['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Aged', 'Antigens, Differentiation, B-Lymphocyte', 'Antigens, Neoplasm/*immunology', 'Antigens, Surface/*immunology', 'B-Lymphocytes/*immunology', 'Cell Differentiation', 'Clone Cells/immunology', 'Female', 'Humans', 'Leukemia, Lymphoid/classification/*immunology', 'Male', 'Middle Aged', 'Receptors, Antigen, B-Cell/immunology']",1986/06/01 00:00,1986/06/01 00:01,['1986/06/01 00:00'],"['1986/06/01 00:00 [pubmed]', '1986/06/01 00:01 [medline]', '1986/06/01 00:00 [entrez]']","['0165-2478(86)90034-9 [pii]', '10.1016/0165-2478(86)90034-9 [doi]']",ppublish,Immunol Lett. 1986 Jun;12(5-6):301-6. doi: 10.1016/0165-2478(86)90034-9.,,,,,,,,,,,,,,,
3089915,NLM,MEDLINE,19860917,20181113,0019-2805 (Print) 0019-2805 (Linking),58,3,1986 Jul,Characterization with monoclonal antibodies of human lymphocytes active in natural killing and antibody-dependent cell-mediated cytotoxicity of dengue virus-infected cells.,429-36,"Non-immune human peripheral blood lymphocytes (PBL) lyse dengue virus-infected cells to a greater degree than uninfected cells. In the present study, the PBL active in lysing dengue virus-infected Raji cells are characterized using monoclonal antibodies and are compared to lymphocytes that lyse K562 cells. Leu11+ cells lyse dengue virus-infected cells and K562 cells. Leu11- cells lyse dengue virus-infected cells, but not K562 cells. In the Leu11+ fraction, Leu11+ Leu7- cells are more active than Leu11+ Leu7+ cells in lysing dengue virus-infected cells. T3+ cells also lyse dengue virus-infected cells, but they do not lyse K562 cells. T3- cells lyse both target cells. These results, along with the observation that Leu11+ cells and T3+ cells are different subsets of PBL, indicate that the PBL that are active in lysing dengue virus-infected cells are heterogeneous and are contained in Leu11+ and T3+ subsets. Leu11+ cells are more active than T3+ cells. Leu11+ cells are active in lysing dengue virus-infected cells by antibody-dependent cell-mediated cytotoxicity, whereas T3+ cells are not active.","['Kurane, I', 'Hebblewaite, D', 'Ennis, F A']","['Kurane I', 'Hebblewaite D', 'Ennis FA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,Immunology,Immunology,0374672,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Surface)']",IM,"['Antibodies, Monoclonal/immunology', 'Antibody-Dependent Cell Cytotoxicity', 'Antigens, Differentiation, T-Lymphocyte', 'Antigens, Surface/analysis', '*Cytotoxicity, Immunologic', 'Dengue/*immunology', 'Humans', 'Killer Cells, Natural/classification/*immunology', 'Leukemia, Experimental/immunology']",1986/07/01 00:00,1986/07/01 00:01,['1986/07/01 00:00'],"['1986/07/01 00:00 [pubmed]', '1986/07/01 00:01 [medline]', '1986/07/01 00:00 [entrez]']",,ppublish,Immunology. 1986 Jul;58(3):429-36.,PMC1453483,['R01-AI-19378/AI/NIAID NIH HHS/United States'],,,,,,,,,,,,,
3089802,NLM,MEDLINE,19860917,20201212,0277-5379 (Print) 0277-5379 (Linking),22,4,1986 Apr,Recombinant tumor necrosis factor: its effect and its synergism with interferon-gamma on a variety of normal and transformed human cell lines.,419-26,"Tumor Necrosis Factor (TNF), released by induced macrophages, causes tumor necrosis in animals, and preferentially kills transformed cells in vitro. Using pure, recombinant human TNF, we report here its cytotoxic action on several human transformed and non-transformed cell lines. Furthermore, remarkable synergism between TNF and interferon-gamma (IFN-gamma) was observed in a large number of human cell lines, especially breast, cervix and colon carcinomas. Some other human cell lines, not sensitive to TNF alone, became highly sensitive when IFN-gamma was present as well. We could not demonstrate a synergism between TNF and IFN-gamma on any of the lymphoma/leukemia cell lines tested. All normal human, non-transformed diploid cell lines were insensitive to TNF even in the presence of IFN-gamma. This study also confirms the observation that inhibition of protein synthesis by metabolic drugs (e.g. actinomycin D) remarkably enhances the sensitivity of several target cell lines to cytolysis by TNF.","['Fransen, L', 'Van der Heyden, J', 'Ruysschaert, R', 'Fiers, W']","['Fransen L', 'Van der Heyden J', 'Ruysschaert R', 'Fiers W']",['eng'],['Journal Article'],England,Eur J Cancer Clin Oncol,European journal of cancer & clinical oncology,8112045,"['0 (Glycoproteins)', '0 (Tumor Necrosis Factor-alpha)', '1CC1JFE158 (Dactinomycin)', '82115-62-6 (Interferon-gamma)']",IM,"['Cell Division/drug effects', 'Cell Line', 'Cell Survival/*drug effects', 'Dactinomycin/pharmacology', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Female', 'Glycoproteins/*pharmacology', 'Humans', 'Interferon-gamma/*pharmacology', 'Neoplasms/*pathology', 'Tumor Necrosis Factor-alpha']",1986/04/01 00:00,1986/04/01 00:01,['1986/04/01 00:00'],"['1986/04/01 00:00 [pubmed]', '1986/04/01 00:01 [medline]', '1986/04/01 00:00 [entrez]']",['10.1016/0277-5379(86)90107-0 [doi]'],ppublish,Eur J Cancer Clin Oncol. 1986 Apr;22(4):419-26. doi: 10.1016/0277-5379(86)90107-0.,,,,,,,,,,,,,,,
