PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,GR,TT,PMC,GS,CIN,CON,SI,OID,OTO,OT,GN,PS,FPS,IR,FIR,IRAD,EIN,CRF,CRI,OAB,OABL
8302012,NLM,MEDLINE,19940309,20131121,0023-6837 (Print) 0023-6837 (Linking),70,1,1994 Jan,Increased expression of neprilysin (neutral endopeptidase 24.11) in rat and human hepatocellular carcinomas.,107-13,"BACKGROUND: Neprilysin (EC 3.4.24.11) (NEP), a membrane metallopeptidase, is identical with common acute lymphoblastic leukemia antigen or cluster differentiation antigen 10. This antigen is present in blast cells in acute lymphoblastic leukemias and is implicated in differentiation of B lymphocytes. NEP cleaves a variety of peptides including bradykinin, substance P, bombesin, enkephalins, and atrial natriuretic peptide. We investigated its expression in several variants of rat hepatomas and a human hepatocellular carcinoma cell line. Normal rat and human livers were used as controls. EXPERIMENTAL DESIGN: The expression of NEP (common acute lymphoblastic leukemia antigen) was determined with: (a) enzyme assays; (b) high performance liquid chromatography analysis of bradykinin metabolism; (c) immunoprecipitation; and (d) mRNA characterization. RESULTS: NEP activity increased by 2 to 3 orders of magnitude in all rat hepatomas and in the human SK-HEP1 cell line, compared with normal tissues. Antiserum against rat NEP precipitated 93% of endopeptidase activity in rat hepatomas, whereas monoclonal antibody to common acute lymphoblastic leukemia antigen immunoprecipitated 99% of that in human hepatocarcinoma cells. Solubilized rat hepatoma membranes cleaved bradykinin to a hepta- and dipeptide; the reaction was inhibited by an NEP inhibitor. Activity of three other membrane peptidases did not increase in rat hepatomas. Northern hybridization revealed the presence of NEP mRNA in rat hepatoma, but not in normal liver. Reverse transcriptase-polymerase chain reaction showed that hepatomas have higher amounts of NEP mRNA than normal liver of the same strain. CONCLUSIONS: Rat hepatomas and a human hepatocarcinoma cell line express high amounts of NEP, in contrast to normal rat and human livers, which have very little. The increase in NEP activity could be due to increased transcription by tumor cells and may signal malignant transformation of liver cells.","['Dragovic, T', 'Deddish, P A', 'Tan, F', 'Weber, G', 'Erdos, E G']","['Dragovic T', 'Deddish PA', 'Tan F', 'Weber G', 'Erdos EG']","['Laboratory of Peptide Research/Department of Pharmacology, University of Illinois College of Medicine, Chicago.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Lab Invest,Laboratory investigation; a journal of technical methods and pathology,0376617,"['0 (DNA Probes)', '0 (RNA, Neoplasm)', 'EC 3.4.24.11 (Neprilysin)', 'S8TIM42R2W (Bradykinin)']",IM,"['Animals', 'Blotting, Northern', 'Blotting, Southern', 'Bradykinin/analysis/metabolism', 'Carcinoma, Hepatocellular/chemistry/*enzymology/pathology', 'Cell Membrane/chemistry/enzymology/ultrastructure', 'Chromatography, High Pressure Liquid', 'DNA Probes', 'Gene Expression Regulation, Neoplastic/genetics', 'Humans', 'Liver/chemistry/enzymology', 'Liver Neoplasms/chemistry/*enzymology/pathology', 'Liver Neoplasms, Experimental/chemistry/*enzymology/pathology', 'Neprilysin/*analysis/genetics', 'Polymerase Chain Reaction', 'Precipitin Tests', 'RNA, Neoplasm/analysis/genetics', 'Rats', 'Rats, Inbred ACI', 'Rats, Inbred BUF', 'Tumor Cells, Cultured']",1994/01/01 00:00,1994/01/01 00:01,['1994/01/01 00:00'],"['1994/01/01 00:00 [pubmed]', '1994/01/01 00:01 [medline]', '1994/01/01 00:00 [entrez]']",,ppublish,Lab Invest. 1994 Jan;70(1):107-13.,,"['HL36081/HL/NHLBI NIH HHS/United States', 'HL36082/HL/NHLBI NIH HHS/United States', 'HL36473/HL/NHLBI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,,,,,,
8301680,NLM,MEDLINE,19940310,20041117,0744-7132 (Print) 0744-7132 (Linking),12,5,1993 Sep-Oct,Ocular manifestations in bone marrow transplantation.,208-10,"1. Primary and relapsed acute leukemia is increasingly being treated by bone marrow transplantation. Graft-versus-host disease (GVHD) is a major complication of bone marrow transplantation, occurring in 50% to 70% of cases. 2. Ocular complications of bone marrow transplantation are divided in those involving either the anterior or posterior segment. Because of associated total body irradiation with different forms of chemotherapy, these patients should be routinely watched by an ophthalmologist. 3. There is a high incidence of dry eye syndrome, viral keratitis, and trophic disturbances of the cornea. The presence of GVHD increases ocular involvement and its severity. 4. A study by Lopez and colleagues indicated that 62% of patients who survived at least 6 months after bone marrow transplantation for acute leukemia developed occlusive microvascular retinopathy.","['Spires, R']",['Spires R'],,['eng'],['Journal Article'],United States,J Ophthalmic Nurs Technol,Journal of ophthalmic nursing & technology,8219658,,,"['Bone Marrow Transplantation/*adverse effects', '*Eye Diseases/epidemiology/etiology', 'Graft vs Host Disease/*complications', 'Humans', 'Incidence']",1993/09/01 00:00,1993/09/01 00:01,['1993/09/01 00:00'],"['1993/09/01 00:00 [pubmed]', '1993/09/01 00:01 [medline]', '1993/09/01 00:00 [entrez]']",,ppublish,J Ophthalmic Nurs Technol. 1993 Sep-Oct;12(5):208-10.,,,,,,,,,,,,,,,,,,,,,,
8301219,NLM,MEDLINE,19940308,20190516,0741-5400 (Print) 0741-5400 (Linking),55,2,1994 Feb,Involvement of CD4 in interleukin-6 secretion by U937 monocytic cells stimulated with the lectin jacalin.,214-20,"The lectin jacalin is mitogenic for CD4 expressing T lymphocytes, interacts with the CD4 molecule, and inhibits HIV infection of CD4+ cells. In the present study the effect of jacalin was tested on cells from the monocyte/macrophage lineage that also express the CD4 molecule. We used CD4+ promyelomonocytic U937 cells differentiated towards the monocytic/macrophage lineage with either a mixture of two physiological agents, retinoic acid (RA) and 1 alpha,25-dihydroxyvitamin D3 (VD), or the exogenous drug phorbol myristate acetate (PMA). The cells resulting from these treatments differed in term of CD4 expression. We focused our attention on interleukin-6 (IL-6) production, which implies an activation of the cells differentiated along both pathways. In CD4+ RA/VD-treated cells, jacalin induced a 10-fold higher IL-6 secretion than did lipopolysaccharide (LPS). This jacalin-induced IL-6 production was inhibited by agents interacting with CD4 (anti-CD4 mAbs and HIV recombinant gp120) or by recombinant soluble CD4. In contrast, the CD4- PMA-differentiated U937 cells did not secrete any IL-6 upon jacalin treatment, while they demonstrated a response to LPS similar to that of the RA/VD-differentiated cells. Together with the fact that jacalin interacts with CD4, these results provide evidence of the involvement of a CD4 dependent pathway in IL-6 production.","['Taimi, M', 'Dornand, J', 'Nicolas, M', 'Marti, J', 'Favero, J']","['Taimi M', 'Dornand J', 'Nicolas M', 'Marti J', 'Favero J']","['INSERM U65, Universite Montpellier II, Sciences et Techniques du Languedoc, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Leukoc Biol,Journal of leukocyte biology,8405628,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)', '0 (CD4 Antigens)', '0 (HIV Envelope Protein gp120)', '0 (Interferon Inducers)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (Lectins)', '0 (Lipopolysaccharides)', '0 (Plant Lectins)', '0 (Recombinant Proteins)', '0 (jacalin)', '5688UTC01R (Tretinoin)', 'FXC9231JVH (Calcitriol)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Antibodies, Monoclonal/pharmacology', 'Antigens, CD/*physiology', 'Biological Assay', 'CD4 Antigens/*physiology', 'Calcitriol/pharmacology', 'Cell Differentiation', 'Cell Line', 'Flow Cytometry', 'HIV Envelope Protein gp120/pharmacology', 'Humans', 'Interferon Inducers/*pharmacology', 'Interleukin-1/biosynthesis', 'Interleukin-6/*biosynthesis/metabolism', 'Lectins/*pharmacology', 'Leukemia, Promyelocytic, Acute', 'Lipopolysaccharides/pharmacology', 'Luminescent Measurements', 'Monocytes/drug effects/immunology/*metabolism', '*Plant Lectins', 'Recombinant Proteins/pharmacology', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",1994/02/01 00:00,1994/02/01 00:01,['1994/02/01 00:00'],"['1994/02/01 00:00 [pubmed]', '1994/02/01 00:01 [medline]', '1994/02/01 00:00 [entrez]']",['10.1002/jlb.55.2.214 [doi]'],ppublish,J Leukoc Biol. 1994 Feb;55(2):214-20. doi: 10.1002/jlb.55.2.214.,,,,,,,,,,,,,,,,,,,,,,
8301203,NLM,MEDLINE,19940310,20151119,0022-2143 (Print) 0022-2143 (Linking),123,2,1994 Feb,The turnover of 57Co-labeled cyanocobalamin bound to cobalamin binding proteins in patients with chronic myelogenous leukemia.,264-72,"Individual plasma specimens from six patients with chronic myelogenous leukemia (CML) in chronic phase were incubated with [57Co]cyanocobalamin and injected into patients to study the turnover of cobalamin bound to haptocorrin and transcobalamin. The [57Co] radioactivity bound to haptocorrin and transcobalamin was determined after separating the proteins by adsorption to insolubilized antibodies to haptocorrin. The distribution of the radioactivity on the different forms of cobalamin and on haptocorrin isoproteins were determined. The fractional catabolic rate of hapatocorrin (0.102 to 0.158 d-1) and transcobalamin (3 to 29 d-1) was of the same magnitude as previously reported for a reference population. During the first 24 hours of the turnover, no change of the cyanocobalamin form was registered, indicating that conversion of cyanocobalamin to the coenzyme forms of cobalamin does not take place in the circulation. The haptocorrin isoprotein pattern changes in alkaline direction during the first 5 hours indicated that the glycoprotein was desialinated during circulation. From the calculated turnover parameter, the possible competition between transcobalamin and haptocorrin for the transport of cobalamins in CML is estimated to be of minor clinical significance. In conclusion, the increased plasma concentration of haptocorrin in CML is due to an increased liberation of haptocorrin and is not due to a decreased turnover of the protein.","['Gimsing, P', 'Nexo, E']","['Gimsing P', 'Nexo E']","['Department of Internal Medicine and Hematology, Herlev Hospital, Denmark.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,"['0 (Cobalt Radioisotopes)', '0 (Transcobalamins)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Adult', 'Aged', 'Biological Transport', '*Cobalt Radioisotopes', 'Female', 'Half-Life', 'Humans', 'Kinetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism', 'Male', 'Middle Aged', 'Transcobalamins/*metabolism', 'Vitamin B 12/*metabolism']",1994/02/01 00:00,1994/02/01 00:01,['1994/02/01 00:00'],"['1994/02/01 00:00 [pubmed]', '1994/02/01 00:01 [medline]', '1994/02/01 00:00 [entrez]']",,ppublish,J Lab Clin Med. 1994 Feb;123(2):264-72.,,,,,,,,,,,,,,,,,,,,,,
8301132,NLM,MEDLINE,19940309,20071114,0022-1767 (Print) 0022-1767 (Linking),152,3,1994 Feb 1,Intracerebral cytokine mRNA expression during fatal and nonfatal alphavirus encephalitis suggests a predominant type 2 T cell response.,1289-97,"Sindbis virus (SV) causes an acute encephalomyelitis in mice. A T cell-dependent inflammatory response is first detected 3 days after infection and includes T cells, B cells, and macrophages. The cytokines produced locally by intrinsic cells of the brain in response to infection and by infiltrating mononuclear cells and their contributions to outcome of infection have not been identified. Semiquantitative reverse transcriptase-PCR was used to evaluate the expression of mRNAs for IL-1 beta, IL-2, IL-4, IL-6, IL-10, TNF-alpha, leukemia inhibitory factor (LIF), and TGF-beta in the brain during fatal and nonfatal SV encephalitis of immunocompetent BALB/cJ and immunodeficient scid/CB17 mice. IL-1 beta and IL-6 mRNAs were detected in uninfected mice before infection and were up-regulated within 24 h. TGF-beta mRNA was also constitutively expressed in uninfected mice. LIF mRNA was occasionally detected in uninfected mice but increased in amounts only in BALB/cJ not scid mice after infection. TNF-alpha, IL-4, and IL-10 mRNAs were not found in uninfected mice but were induced within 24 h and continued to rise through 7 days after infection with substantially higher levels in BALB/cJ than scid mice. These data suggest that intrinsic brain cells produce IL-1, IL-4, IL-6, IL-10, LIF, and TGF-beta mRNAs in response to viral infection. IFN-gamma and IL-2 mRNAs were detected only in BALB/cJ mice and not until 3 days after infection with the initiation of inflammation. IL-4 and IL-10 mRNAs were more persistent and more easily detectable than IL-2 and IFN-gamma mRNAs. These data suggest a predominant type 2 cytokine response in the brain during SV encephalitis. BALB/cJ mice infected with a neurovirulent strain of SV (NSV), had 100% mortality, whereas NSV-infected scid mice developed persistent nonfatal infection. Inflammation was more intense in NSV-infected mice, however, no substantial differences in cytokine mRNA levels were detected when compared with mice with nonfatal SV infection suggesting that the cytokines measured do not in and of themselves lead to fatal central nervous system disease.","['Wesselingh, S L', 'Levine, B', 'Fox, R J', 'Choi, S', 'Griffin, D E']","['Wesselingh SL', 'Levine B', 'Fox RJ', 'Choi S', 'Griffin DE']","['Department of Neurology, Johns Hopkins University School of Medicine, Baltimore, MD 21205.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Cytokines)', '0 (DNA Primers)', '0 (RNA, Messenger)']",IM,"['Alphavirus Infections/*immunology', 'Animals', 'Base Sequence', 'Brain/*immunology', 'Cytokines/*genetics', 'DNA Primers/chemistry', 'Encephalitis, Arbovirus/*immunology', 'Gene Expression', 'Immunity, Cellular', 'Mice', 'Mice, Inbred BALB C', 'Mice, SCID', 'Molecular Sequence Data', 'RNA, Messenger/genetics', 'Sindbis Virus/immunology/pathogenicity', 'Time Factors']",1994/02/01 00:00,1994/02/01 00:01,['1994/02/01 00:00'],"['1994/02/01 00:00 [pubmed]', '1994/02/01 00:01 [medline]', '1994/02/01 00:00 [entrez]']",,ppublish,J Immunol. 1994 Feb 1;152(3):1289-97.,,"['NS07000/NS/NINDS NIH HHS/United States', 'NS18596/NS/NINDS NIH HHS/United States', 'NS29234/NS/NINDS NIH HHS/United States']",,,,,,,,,,,,,,,,,,,,
8301128,NLM,MEDLINE,19940309,20101118,0022-1767 (Print) 0022-1767 (Linking),152,3,1994 Feb 1,"The mouse CD69 gene. Structure, expression, and mapping to the NK gene complex.",1228-36,"CD69 is a rapidly induced T cell activation Ag that is also expressed in an inducible fashion on cells of most, if not all, hematopoietic lineages. Molecular cloning has shown that CD69 is a type II membrane glycoprotein that is a member of the C-type lectin family. In this report we have shown that induction of CD69 mRNA in activated murine thymocytes and T cells is very rapid, peaking between 30 and 60 min poststimulation, and transient, dropping to nearly resting levels by 8 h. An analysis of the mouse CD69 gene structure showed the gene to consist of 5 exons and have a phorbol ester-inducible promoter element within the first 700 bp upstream of the start of transcription. Chromosomal mapping placed the mouse CD69 gene on the long arm of chromosome 6 near the NK gene complex that contains the related NKR-P1 and Ly-49 gene families. The human CD69 gene mapped to chromosome 12p13 near the related NKG2 gene cluster and in a region associated with rearrangements in approximately 10% of cases of childhood acute lymphocytic leukemia.","['Ziegler, S F', 'Levin, S D', 'Johnson, L', 'Copeland, N G', 'Gilbert, D J', 'Jenkins, N A', 'Baker, E', 'Sutherland, G R', 'Feldhaus, A L', 'Ramsdell, F']","['Ziegler SF', 'Levin SD', 'Johnson L', 'Copeland NG', 'Gilbert DJ', 'Jenkins NA', 'Baker E', 'Sutherland GR', 'Feldhaus AL', 'Ramsdell F']","['Immunex Research and Development Corporation, Seattle, WA 98101.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, CD)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD69 antigen)', '0 (Lectins, C-Type)', '0 (RNA, Messenger)']",IM,"['Amino Acid Sequence', 'Animals', 'Antigens, CD/*genetics', 'Antigens, Differentiation, T-Lymphocyte/*genetics', 'Base Sequence', 'Chromosome Mapping', 'Chromosomes, Human, Pair 12', 'Cloning, Molecular', 'Gene Expression', 'Genes', 'Genetic Linkage', 'Humans', 'Lectins, C-Type', 'Lymphocyte Activation', 'Mice', 'Molecular Sequence Data', 'Promoter Regions, Genetic', 'RNA, Messenger/genetics', 'T-Lymphocytes/physiology', 'Thymus Gland/physiology']",1994/02/01 00:00,1994/02/01 00:01,['1994/02/01 00:00'],"['1994/02/01 00:00 [pubmed]', '1994/02/01 00:01 [medline]', '1994/02/01 00:00 [entrez]']",,ppublish,J Immunol. 1994 Feb 1;152(3):1228-36.,,['N0I-CO-745101/CO/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
8300925,NLM,MEDLINE,19940304,20190909,0303-6987 (Print) 0303-6987 (Linking),20,5,1993 Oct,The spectrum of cutaneous disease in leukemias.,407-10,"Cutaneous eruptions are frequent complications in the clinical course of patients with leukemia. Leukemia cutis is occasionally the cause of the eruption, but in many cases the lesions are nonleukemic. We have retrospectively selected all skin biopsies from patients with a computer-coded diagnosis of leukemia seen in the Stanford University Department of Pathology in the last 7 years, and separated these cases into the broad categories of acute myelogenous leukemia (AML), acute lymphocytic leukemia (ALL), chronic myelogenous leukemia (CML), and chronic lymphocytic leukemia (CLL). We also analyzed separately those cases seen in patients treated with bone marrow transplantation from those treated with standard chemotherapy regimens. We found that leukemia cutis was seen frequently as the cause of lesions in patients with CML and CLL. In contrast, a wide variety of lesions were seen in patients with AML, including a greater number of infectious lesions, drug reactions, vasculitis, and lesions secondary to a hemorrhagic diathesis. In the bone marrow transplantation patients, graft vs host disease was usually the cause of skin lesions in those transplanted for CML and ALL, but again those patients with an underlying diagnosis of AML showed a wide variety of lesions including drug reactions, fungal infections and leukemia cutis. Finally, 6% of cases from patients with AML showed intraepidermal blistering disorders of various types, an association that has not been previously reported.","['Desch, J K', 'Smoller, B R']","['Desch JK', 'Smoller BR']","['Department of Pathology, Stanford University Medical Center, CA 94305.']",['eng'],['Journal Article'],United States,J Cutan Pathol,Journal of cutaneous pathology,0425124,,IM,"['Biopsy', 'Bone Marrow Transplantation', 'Graft vs Host Disease/complications', 'Humans', 'Leukemia/*pathology', 'Retrospective Studies', 'Skin/pathology', 'Skin Neoplasms/*pathology']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']",['10.1111/j.1600-0560.1993.tb00662.x [doi]'],ppublish,J Cutan Pathol. 1993 Oct;20(5):407-10. doi: 10.1111/j.1600-0560.1993.tb00662.x.,,,,,,,,,,,,,,,,,,,,,,
8300910,NLM,MEDLINE,19940304,20190830,0021-9975 (Print) 0021-9975 (Linking),109,3,1993 Oct,Immunoglobulin-producing tumours in dogs and cats.,203-16,"Tumours with a plasmacytoid pattern taken from 32 dogs and four cats were examined for the presence of immunoglobulins, which would allow them to be designated as B-cell lymphomas. Within a total of 19 immunoglobulin-positive tumours, three types could be distinguished: extramedullary plasmacytoma (15), multiple myeloma (two) and immunocytoma (two). These tumours occurred in 18 of the dogs, and in one cat (extramedullary plasmacytoma). The characteristics of the immunoglobulin-producing tumours were investigated by light and electron-microscopy as well as by immunohistochemical methods. Seventeen of the 19 tumours expressed lambda-type light chains and one tumour kappa-type light chains. Heavy chains were also synthesized by five tumours.","['Breuer, W', 'Colbatzky, F', 'Platz, S', 'Hermanns, W']","['Breuer W', 'Colbatzky F', 'Platz S', 'Hermanns W']","['Institute of Veterinary Pathology, University of Munich, F.R.G.']",['eng'],['Journal Article'],England,J Comp Pathol,Journal of comparative pathology,0102444,"['0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulins)']",IM,"['Animals', 'Cat Diseases/*metabolism/pathology', 'Cats', 'Dog Diseases/*metabolism/pathology', 'Dogs', 'Immunoglobulin A/analysis/metabolism', 'Immunoglobulin G/analysis/metabolism', 'Immunoglobulin M/analysis/metabolism', 'Immunoglobulin kappa-Chains/analysis/metabolism', 'Immunoglobulins/analysis/*metabolism', 'Immunohistochemistry', 'Leukemia, Lymphocytic, Chronic, B-Cell/chemistry/metabolism/*veterinary', 'Lymphoma, B-Cell/chemistry/metabolism/*veterinary', 'Microscopy, Electron', 'Multiple Myeloma/metabolism/*veterinary']",1993/10/01 00:00,1993/10/01 00:01,['1993/10/01 00:00'],"['1993/10/01 00:00 [pubmed]', '1993/10/01 00:01 [medline]', '1993/10/01 00:00 [entrez]']","['S0021-9975(08)80246-0 [pii]', '10.1016/s0021-9975(08)80246-0 [doi]']",ppublish,J Comp Pathol. 1993 Oct;109(3):203-16. doi: 10.1016/s0021-9975(08)80246-0.,,,,,,,,,,,,,,,,,,,,,,
8300648,NLM,MEDLINE,19940304,20210210,0021-9258 (Print) 0021-9258 (Linking),269,4,1994 Jan 28,Regulation of phospholipase A2 activity in undifferentiated and neutrophil-like HL60 cells. Linkage between impaired responses to agonists and absence of protein kinase C-dependent phosphorylation of cytosolic phospholipase A2.,3117-24,"We compared the regulation of cytosolic phospholipase A2 (cPLA2) activity in undifferentiated and neutrophil-like HL60 cells. Although Ca(2+)-mobilizing P2-purinergic receptors are expressed in both cell types, arachidonic acid (AA) release stimulated by P2-purinergic agonists was 5-7-fold higher in the differentiated cells. Similarly, the stimulation of AA release by AlF4- in intact cells or by ATP and guanosine 5'-3-O-(thio)triphosphate (GTP gamma S) in electropermeabilized cells was significantly higher in the differentiated cells. Treatment with phorbol 12-myristate 13-acetate (PMA) enhanced A23187-stimulated AA release in intact HL60 granulocytes with minimal effects in the undifferentiated cells. Immunoblotting experiments showed similar levels of cPLA2 and of agonist-mediated activation of mitogen-activated protein kinase in both cell types. Experiments measuring stimulation of AA release by either melittin, using endogenously labeled intact cells, or Ca2+, using homogenates and exogenous substrate, indicated that undifferentiated cells do not lack an activatable PLA2. The stimulatory effects of GTP gamma S and Ca2+ on AA release in homogenates from endogenously labeled cells suggested that undifferentiated cells display G protein-cPLA2 coupling. Basal and PMA-stimulated phosphorylation of cPLA2 was detected in differentiated, but not in undifferentiated cells. However, the two cell types displayed only subtle differences in the time courses of phosphorylation of mitogen-activated protein kinase triggered by agonists and PMA. The observed defect in cPLA2 phosphorylation may represent the alteration preventing agonist-mediated stimulation of AA release in undifferentiated HL60 cells.","['Xing, M', 'Wilkins, P L', 'McConnell, B K', 'Mattera, R']","['Xing M', 'Wilkins PL', 'McConnell BK', 'Mattera R']","['Department of Physiology and Biophysics, Case Western Reserve University School of Medicine, Cleveland, Ohio 44106.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Aluminum Compounds)', '21340-02-3 (tetrafluoroaluminate)', '27YG812J1I (Arachidonic Acid)', ""37589-80-3 (Guanosine 5'-O-(3-Thiotriphosphate))"", '37H9VM9WZL (Calcimycin)', '63X7MBT2LQ (Bucladesine)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 3.1.1.32 (Phospholipases A)', 'EC 3.1.1.4 (Phospholipases A2)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'Q80VPU408O (Fluorides)', 'SY7Q814VUP (Calcium)']",IM,"['Adenosine Triphosphate/pharmacology', 'Aluminum Compounds/pharmacology', 'Arachidonic Acid/metabolism', 'Blotting, Western', 'Bucladesine/pharmacology', 'Calcimycin/pharmacology', 'Calcium/pharmacology', 'Cell Differentiation', 'Cell Line', 'Cytosol/enzymology', 'Electrophoresis, Polyacrylamide Gel', 'Fluorides/pharmacology', ""Guanosine 5'-O-(3-Thiotriphosphate)/pharmacology"", 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Neutrophils/cytology/*enzymology', 'Phospholipases A/isolation & purification/*metabolism', 'Phospholipases A2', 'Tetradecanoylphorbol Acetate/pharmacology', 'Tumor Cells, Cultured']",1994/01/28 00:00,1994/01/28 00:01,['1994/01/28 00:00'],"['1994/01/28 00:00 [pubmed]', '1994/01/28 00:01 [medline]', '1994/01/28 00:00 [entrez]']",['S0021-9258(17)42056-4 [pii]'],ppublish,J Biol Chem. 1994 Jan 28;269(4):3117-24.,,['GM 46552-01A1/GM/NIGMS NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
8300638,NLM,MEDLINE,19940304,20211203,0021-9258 (Print) 0021-9258 (Linking),269,4,1994 Jan 28,Renaturation and tumor necrosis factor-alpha stimulation of a 97-kDa ceramide-activated protein kinase.,3047-52,"Recent investigations identified a new signal transduction pathway, termed the sphingomyelin pathway, which may mediate the action of tumor necrosis factor (TNF) alpha and interleukin-1 beta (Mathias, S., Younes, A., Kan, C., Orlow, I., Joseph, C., and Kolesnick, R. N. (1993) Science 259, 519-522). This pathway is initiated by hydrolysis of sphingomyelin to ceramide by a neutral sphingomyelinase and stimulation of a ceramide-activated Ser/Thr protein kinase. Recent investigations demonstrated that kinase activity is proline-directed, recognizing substrates in which the phosphoacceptor site is followed by a proline residue. Until now, the kinase has been defined only as a membrane-bound activity capable of phosphorylating a peptide derived from the sequence surrounding Thr669 of the epidermal growth factor receptor. In the present studies, the kinase was quantitatively extracted from membrane with detergent and separated from protein kinase C by anion-exchange chromatography and isoelectric focusing. Ceramide-activated protein kinase was resolved as an exclusively membrane-bound, 97-kDa protein with a pI of 7.05. Kinase activity toward the epidermal growth factor receptor peptide co-purified with activity toward a generic proline-directed substrate, myelin basic protein. Kinase activity was reconstituted by a denaturation-renaturation procedure and demonstrated activity toward self (autophosphorylation) and exogenous substrate (myelin basic protein). Autophosphorylation occurred exclusively on serine residues. These activities were enhanced to 7-fold of control by ceramide and TNF alpha. These investigations provide additional evidence for a role for ceramide-activated protein kinase in signal transduction for TNF alpha.","['Liu, J', 'Mathias, S', 'Yang, Z', 'Kolesnick, R N']","['Liu J', 'Mathias S', 'Yang Z', 'Kolesnick RN']","['Laboratory of Signal Transduction, Memorial Sloan-Kettering Cancer Center, New York, New York 10021.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Detergents)', '0 (Tumor Necrosis Factor-alpha)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-raf)', 'EC 2.7.11.13 (Protein Kinase C)']",IM,"['Cell Line', 'Cell Membrane/enzymology', 'Detergents/pharmacology', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Kinetics', 'Leukemia, Promyelocytic, Acute', 'Molecular Weight', 'Phosphorylation', 'Protein Denaturation', '*Protein Folding', 'Protein Kinase C/metabolism', 'Protein Serine-Threonine Kinases/*chemistry/isolation & purification/*metabolism', 'Proto-Oncogene Proteins c-raf', 'Substrate Specificity', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*pharmacology']",1994/01/28 00:00,1994/01/28 00:01,['1994/01/28 00:00'],"['1994/01/28 00:00 [pubmed]', '1994/01/28 00:01 [medline]', '1994/01/28 00:00 [entrez]']",['S0021-9258(17)42045-X [pii]'],ppublish,J Biol Chem. 1994 Jan 28;269(4):3047-52.,,['CA-42385/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
