PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,PMC,PS,FPS,CN,CIN,OID,OAB,OABL,OTO,OT,GN,RIN,SI
6361990,NLM,MEDLINE,19840224,20071115,0250-5525 (Print) 0250-5525 (Linking),14,,1983,"Ineffectiveness of single-dose human antiserum to core glycolipid (E. coli J5) for prophylaxis of bacteremic, gram-negative infections in patients with prolonged neutropenia.",40-5,"It has been recently established that serum from human volunteers immunized with E. coli J5 vaccine prevents death of patients with gram-negative shock. The present study addressed the question whether the prophylactic administration of a similar amount of J5 antiserum could protect neutropenic patients from acquiring gram-negative infections. One hundred patients, the majority of which had acute non-lymphoblastic (63%) and lymphoblastic (29%) leukemia, presented 109 episodes of neutropenia. Sixty of the 100 patients underwent bone marrow transplantation. All patients were given one unit of either pre-immune (control) or J5 antiserum serum from volunteers at the onset of neutropenia. When compared to control serum, J5 antiserum given prophylactically did not reduce the number of febrile days, the number of gram-negative bacteremic episodes, or death from these infections. This inability to demonstrate a beneficial effect of prophylaxis with a single unit of J5 antiserum in prolonged neutropenia may have several explanations that are discussed.","['McCutchan, J A', 'Wolf, J L', 'Ziegler, E J', 'Braude, A I']","['McCutchan JA', 'Wolf JL', 'Ziegler EJ', 'Braude AI']",['eng'],,"['Clinical Trial', 'Controlled Clinical Trial', 'Journal Article']",Switzerland,Schweiz Med Wochenschr Suppl,Schweizerische medizinische Wochenschrift. Supplementum,7708316,"['0 (Glycolipids)', '0 (Immune Sera)', 'EC 5.1.3.2 (UDPglucose 4-Epimerase)']",IM,"['Adolescent', 'Adult', 'Aged', 'Agranulocytosis/*complications', 'Bacterial Infections/*prevention & control', 'Child', 'Clinical Trials as Topic', 'Escherichia coli/enzymology/*immunology', 'Female', 'Glycolipids/*immunology', 'Gram-Negative Bacteria', 'Humans', 'Immune Sera/administration & dosage', 'Immunization, Passive/*methods', 'Male', 'Middle Aged', 'Mutation', 'Neutropenia/*complications', 'Sepsis/prevention & control', 'UDPglucose 4-Epimerase/deficiency']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr Suppl. 1983;14:40-5.,,,,,,,,,,,,,,,
6361988,NLM,MEDLINE,19840224,20131121,0250-5525 (Print) 0250-5525 (Linking),14,,1983,Studies in the prophylaxis of herpes infections in severely immunocompromised patients using acyclovir.,26-9,"That acyclovir is effective therapeutically in herpes simplex virus (HSV) and herpes zoster (VZV) infections in immunocompromised patients has been established [13]. This paper reviews our subsequent studies in prophylaxis of herpes group infections in a high risk group of patients suffering from acute leukaemia. In study 1 we randomised HSV seropositive (greater than or equal to 1:8) patients to receive intravenous acyclovir or placebo. In this stratified study bone marrow transplant (BMT) recipients were completely protected from HSV infections by acyclovir compared with a 50% failure rate for those on placebo. There was significant protection also in the non-BMT group [8]. In study 2 oral acyclovir prophylaxis failed to provide complete protection in BMT recipients despite the achievement of apparently adequate blood levels. In study 1 the secretion of EBV in saliva before and during the trial gave inconclusive results. In each of the first two studies one patient on ""active"" acyclovir developed a cytomegalovirus (CMV) infection. Thus, at the dosage of drug used, prophylaxis of CMV was unsuccessful suggesting that claims of therapeutic efficacy are unlikely to be supported in controlled trials. Study 3 is current and concerns the pharmacokinetics of an acyclovir prodrug (BW 134U) taken by mouth. This drug is near 100% absorbed and achieves approximately twice the level of active acyclovir in vivo, following conversion by adenosine deaminase (ADA), in normal volunteers.","['Prentice, H G', 'Hann, I M']","['Prentice HG', 'Hann IM']",['eng'],,"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",Switzerland,Schweiz Med Wochenschr Suppl,Schweizerische medizinische Wochenschrift. Supplementum,7708316,['X4HES1O11F (Acyclovir)'],IM,"['Acyclovir/adverse effects/*therapeutic use', 'Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Herpes Simplex/complications/*prevention & control', 'Herpes Zoster/complications/*prevention & control', 'Humans', 'Immunity', 'Leukemia/complications/immunology', 'Neutropenia/complications']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr Suppl. 1983;14:26-9.,,,,,,,,,,,,,,,
6361934,NLM,MEDLINE,19840214,20190904,0080-0015 (Print) 0080-0015 (Linking),88,,1983,Acute lymphoblastic leukaemia: achievements and prospects.,37-46,,"['Hardisty, R M']",['Hardisty RM'],['eng'],,['Journal Article'],Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Bone Marrow Diseases/etiology', 'Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Lymphoid/immunology/pathology/*therapy', 'Lymphocytes/immunology', 'Male', 'Nervous System Neoplasms/etiology', 'Prognosis', 'Testicular Neoplasms/etiology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1007/978-3-642-82034-2_4 [doi]'],ppublish,Recent Results Cancer Res. 1983;88:37-46. doi: 10.1007/978-3-642-82034-2_4.,,,,,,,,,,,,,,,
6361897,NLM,MEDLINE,19840224,20091119,0039-9450 (Print) 0039-9450 (Linking),28,5,1983 Apr,[Contractile proteins in neoplastic cells].,764-73,,"['Ichikawa, Y']",['Ichikawa Y'],['jpn'],,"['Journal Article', 'Review']",Japan,Tanpakushitsu Kakusan Koso,"Tanpakushitsu kakusan koso. Protein, nucleic acid, enzyme",0413762,"['0 (Actins)', '0 (Contractile Proteins)', '0 (Fibronectins)', 'EC 3.6.4.1 (Myosins)']",IM,"['Actins/analysis', 'Animals', 'Cells, Cultured', 'Contractile Proteins/*analysis', 'Fibronectins/physiology', 'Humans', 'Isomerism', 'Leukemia, Myeloid/*analysis', 'Mice', 'Mice, Inbred Strains', 'Myosins/analysis']",1983/04/01 00:00,1983/04/01 00:01,['1983/04/01 00:00'],"['1983/04/01 00:00 [pubmed]', '1983/04/01 00:01 [medline]', '1983/04/01 00:00 [entrez]']",,ppublish,Tanpakushitsu Kakusan Koso. 1983 Apr;28(5):764-73.,83,,,,,,,,,,,,,,
6361804,NLM,MEDLINE,19840224,20190913,0163-7258 (Print) 0163-7258 (Linking),22,3,1983,Cellular pharmacokinetics of the phenylalanine mustards.,379-406,,"['Vistica, D T']",['Vistica DT'],['eng'],,"['Journal Article', 'Review']",England,Pharmacol Ther,Pharmacology & therapeutics,7905840,"['0 (Alkylating Agents)', '0 (Amino Acids)', '0 (Nitrogen Mustard Compounds)', '9007-49-2 (DNA)', 'Q41OR9510P (Melphalan)']",IM,"['Alkylating Agents/*metabolism/toxicity', 'Amino Acids/*metabolism', 'Animals', 'Biological Transport', 'Cell Membrane Permeability', 'Cell Survival/drug effects', 'DNA/metabolism', 'Drug Interactions', 'Humans', 'Kinetics', 'Leukemia L1210/metabolism', 'Melphalan/*metabolism/toxicity', 'Mice', 'Neoplasms, Experimental/*metabolism', 'Nitrogen Mustard Compounds/*metabolism/toxicity']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']","['0163-7258(83)90009-8 [pii]', '10.1016/0163-7258(83)90009-8 [doi]']",ppublish,Pharmacol Ther. 1983;22(3):379-406. doi: 10.1016/0163-7258(83)90009-8.,108,,,,,,,,,,,,,,
6361646,NLM,MEDLINE,19840214,20180216,0378-584X (Print) 0378-584X (Linking),6,5,1983 Oct,"[28th annual meeting of the German Hematology and Oncology Society. Muenster, 9 October-12 October 1983. Abstracts].",216-70,,,,['ger'],,['Journal Article'],Switzerland,Onkologie,Onkologie,7808556,,IM,"['*Hematologic Diseases', 'Humans', '*Leukemia', '*Lymphoma', '*Neoplasms']",1983/10/01 00:00,1983/10/01 00:01,['1983/10/01 00:00'],"['1983/10/01 00:00 [pubmed]', '1983/10/01 00:01 [medline]', '1983/10/01 00:00 [entrez]']",['10.1159/000215241 [doi]'],ppublish,Onkologie. 1983 Oct;6(5):216-70. doi: 10.1159/000215241.,,"28.Jahrestagung der Deutschen Gesellschaft fur Hamatologie und Onkologie. Munster, 9. Oktober-12. 1983.",,,,,,,,,,,,,
6361586,NLM,MEDLINE,19840214,20141120,0028-2685 (Print) 0028-2685 (Linking),30,6,1983,"Electrophoretic mobility profiles of mouse leukemias. II. Electrophoresis of thymic lymphoma, myeloid leukemia and reticulum sarcoma cells.",691-700,"Electrophoretic mobility of cells from 21 primary mouse leukemias was investigated and compared with that of various normal mouse reference cells. Six thymic lymphomas, nine reticulum cell sarcomas, five myeloid leukemias and one stem-cell leukemia were examined. The mean AEM of cells from the group of primary thymic lymphomas (1.13 microns s-1 V-1 cm) was similar to that of reticulum cell sarcomas (1.15 microns s-1 V-1 cm) and significantly lower than that of the myeloid leukemias (1.20 microns s-1 V-1 cm). Since the examined cell suspensions were prepared from leukemic lymph nodes, the analysis was performed to investigate the possible admixture of normal LNC in the cell populations. Electrophoretograms of normal and leukemic lymph nodes were compared and the AEM of cells from leukemic lymph nodes was considered separately for two cell populations, one corresponding in size to normal LNC (6-9 microns in diameter) and the other to leukemic blast cells (10-16 microns in diameter). In the 6-9 microns cell subpopulations from leukemic lymph nodes, electrophoretically slow cells corresponding to B LNC were almost totally depleted (1%); also electrophoretically fast cells with the mean AEM of T LNC were fewer (45-57%) than in normal LNC populations. The leukemic cells 10-16 microns in diameter displayed mean AEM of 1.09 (thymic lymphomas), 1.12 (reticulum cell sarcomas) and 1.21 (myeloid leukemia) micron s-1 V-1 cm. The mean AEM of blast cells from thymic lymphomas and reticulum cell sarcomas was not significantly different; it was similar to that of blast cells prepared from normal mouse thymus (1.09 microns s-1 V-1 cm) on a density gradient. In contrast, the 10-16 microns cell populations from lymph nodes of mice with myeloid leukemias were significantly faster than blast cells from thymic lymphomas and reticulum cell sarcomas.","['Bubenikova, D', 'Bubenik, J']","['Bubenikova D', 'Bubenik J']",['eng'],,['Journal Article'],Slovakia,Neoplasma,Neoplasma,0377266,,IM,"['Animals', 'Electrophoresis', 'Female', 'In Vitro Techniques', 'Leukemia, Experimental/*pathology', 'Lymph Nodes/pathology', 'Lymphocytes/analysis', 'Lymphoma/*pathology', 'Lymphoma, Large B-Cell, Diffuse/pathology', 'Mice', 'Mice, Inbred ICR', 'Sarcoma, Experimental/*pathology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",,ppublish,Neoplasma. 1983;30(6):691-700.,,,,,,,,,,,,,,,
6361564,NLM,MEDLINE,19840214,20190825,0028-4793 (Print) 0028-4793 (Linking),310,4,1984 Jan 26,Treatment of relapsed acute lymphoblastic leukemia in childhood.,263,,"['Johnson, F L', 'Thomas, E D']","['Johnson FL', 'Thomas ED']",['eng'],,"['Comparative Study', 'Letter']",United States,N Engl J Med,The New England journal of medicine,0255562,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Bone Marrow Transplantation', 'Child', 'Humans', 'Leukemia, Lymphoid/*therapy']",1984/01/26 00:00,1984/01/26 00:01,['1984/01/26 00:00'],"['1984/01/26 00:00 [pubmed]', '1984/01/26 00:01 [medline]', '1984/01/26 00:00 [entrez]']",['10.1056/nejm198401263100418 [doi]'],ppublish,N Engl J Med. 1984 Jan 26;310(4):263. doi: 10.1056/nejm198401263100418.,,,,,,,,,,,,,,,
6361456,NLM,MEDLINE,19840214,20191210,0076-6879 (Print) 0076-6879 (Linking),96,,1983,Glycophorin A: in vitro biogenesis and processing.,281-98,,"['Gahmberg, C G', 'Jokinen, M', 'Karhi, K K', 'Kampe, O', 'Peterson, P A', 'Andersson, L C']","['Gahmberg CG', 'Jokinen M', 'Karhi KK', 'Kampe O', 'Peterson PA', 'Andersson LC']",['eng'],['5 R01 CA26294-02/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Methods Enzymol,Methods in enzymology,0212271,"['0 (Carbon Radioisotopes)', '0 (Glycophorins)', '0 (Phosphates)', '0 (Phosphorus Radioisotopes)', '0 (RNA, Messenger)', '0 (Sialoglycoproteins)', '0 (Sulfates)', '0 (Sulfur Radioisotopes)', 'AE28F7PNPL (Methionine)', 'X2RN3Q8DNE (Galactose)']",IM,"['Carbon Radioisotopes', 'Cell Line', 'Erythrocyte Membrane/metabolism', 'Galactose/metabolism', 'Glycophorins/*genetics/isolation & purification', 'Humans', 'Leukemia, Lymphoid/metabolism', 'Methionine/metabolism', 'Phosphates/metabolism', 'Phosphorus Radioisotopes', '*Protein Biosynthesis', '*Protein Processing, Post-Translational', 'RNA, Messenger/genetics', 'Radioisotope Dilution Technique', 'Sialoglycoproteins/*genetics', 'Sulfates/metabolism', 'Sulfur Radioisotopes']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",['10.1016/s0076-6879(83)96026-3 [doi]'],ppublish,Methods Enzymol. 1983;96:281-98. doi: 10.1016/s0076-6879(83)96026-3.,,,,,,,,,,,,,,,
6361350,NLM,MEDLINE,19840222,20071114,0027-8874 (Print) 0027-8874 (Linking),71,6,1983 Dec,T-cell lineage of a Friend virus-induced lymphatic leukemia in athymic rats.,1271-80,"Athymic (rnu/rnu) and euthymic rats inoculated with the Friend virus-associated lymphatic leukemia virus developed lymphocytic leukemia. Neoplastic cells from these animals were evaluated by means of indirect immunofluorescence and flow cytofluorometry with monoclonal antibodies Ox-1, Ox-7, and W3/25, which react with surface antigens present on normal rat lymphoid cell populations. Lymphoid cells from leukemic animals revealed characteristic alterations in cell surface fluorescence profiles when compared to normal, healthy controls. Athymic and euthymic leukemic rats were similar in that many cells from both the spleen and bone marrow had markers on the cell surface normally found on thymocytes but not on mature peripheral lymphocytes. These studies provided evidence supporting the presence of T-lineage lymphocytes in the athymic rat. Further, this population of early or ""pre""-T-lymphocytes included the predominant leukemia cell type induced by the Friend virus-associated lymphatic leukemia virus.","['Lorber, M I', 'Dawson, P J', 'Loken, M R', 'Ely, J M', 'Fieldsteel, A H', 'Fitch, F W']","['Lorber MI', 'Dawson PJ', 'Loken MR', 'Ely JM', 'Fieldsteel AH', 'Fitch FW']",['eng'],"['AI-14872/AI/NIAID NIH HHS/United States', 'CA-19266/CA/NCI NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Animals', 'Animals, Newborn', 'Antibodies, Monoclonal/analysis', 'Antigens, Surface/analysis', 'Bone Marrow/immunology', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Friend murine leukemia virus', 'Leukemia, Experimental/*immunology', 'Rats', 'Rats, Mutant Strains', 'Receptors, Antigen, B-Cell/analysis', 'Spleen/immunology', 'T-Lymphocytes/*immunology', 'Thymus Gland/immunology']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1983 Dec;71(6):1271-80.,,,,,,,,,,,,,,,
6361335,NLM,MEDLINE,19840224,20041117,0047-1860 (Print) 0047-1860 (Linking),31,7,1983 Jul,[Leukemia with positive reactions to tartrate-resistance acid phosphatase].,706-11,,"['Katayama, I', 'Mochino, T']","['Katayama I', 'Mochino T']",['jpn'],,"['Journal Article', 'Review']",Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,"['0 (Tartrates)', 'EC 3.1.3.2 (Acid Phosphatase)']",IM,"['Acid Phosphatase/*blood', 'Adult', 'Diagnosis, Differential', 'Drug Resistance', 'Female', 'Histocytochemistry/methods', 'Humans', 'Leukemia/diagnosis/*enzymology', 'Leukemia, Hairy Cell/diagnosis/enzymology', 'Male', 'Middle Aged', 'Tartrates/*pharmacology']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1983 Jul;31(7):706-11.,8,,,,,,,,,,,,,,
6361330,NLM,MEDLINE,19840214,20041117,0047-1860 (Print) 0047-1860 (Linking),31,6,1983 Jun,[Hematopoietic cancer cells and terminal transferase].,587-94,,"['Tsubota, T', 'Sogawa, J', 'Okazaki, M']","['Tsubota T', 'Sogawa J', 'Okazaki M']",['jpn'],,['Journal Article'],Japan,Rinsho Byori,Rinsho byori. The Japanese journal of clinical pathology,2984781R,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Adolescent', 'Adult', 'Aged', 'DNA Nucleotidylexotransferase/*analysis', 'DNA Nucleotidyltransferases/*analysis', 'Female', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/*enzymology', 'Humans', 'Leukemia/*enzymology', 'Lymphoma/*enzymology', 'Male', 'Middle Aged']",1983/06/01 00:00,1983/06/01 00:01,['1983/06/01 00:00'],"['1983/06/01 00:00 [pubmed]', '1983/06/01 00:01 [medline]', '1983/06/01 00:00 [entrez]']",,ppublish,Rinsho Byori. 1983 Jun;31(6):587-94.,,,,,,,,,,,,,,,
6361138,NLM,MEDLINE,19840214,20190723,0022-1759 (Print) 0022-1759 (Linking),65,1-2,1983 Dec 16,Immunoglobulin as a differentiation and clonal marker.,1-25,,"['Ling, N R']",['Ling NR'],['eng'],,"['Journal Article', 'Review']",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Immunoglobulin Idiotypes)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Animals', 'Antibody-Producing Cells/cytology/immunology', 'B-Lymphocytes/cytology/*immunology', 'Cell Differentiation', 'Cell Line', 'Cell Transformation, Neoplastic/immunology/pathology', 'Clone Cells/cytology/immunology', 'Cytoplasm/immunology', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/cytology/immunology', 'Humans', 'Immunoglobulin Idiotypes/genetics/immunology', 'Immunoglobulin M/immunology', 'Immunoglobulins/biosynthesis/*immunology', 'Leukemia, Lymphoid/immunology', 'Lymphocyte Activation', 'Mice', 'Rabbits', 'Radioimmunoassay', 'Receptors, Antigen, B-Cell/analysis']",1983/12/16 00:00,1983/12/16 00:01,['1983/12/16 00:00'],"['1983/12/16 00:00 [pubmed]', '1983/12/16 00:01 [medline]', '1983/12/16 00:00 [entrez]']","['0022-1759(83)90300-9 [pii]', '10.1016/0022-1759(83)90300-9 [doi]']",ppublish,J Immunol Methods. 1983 Dec 16;65(1-2):1-25. doi: 10.1016/0022-1759(83)90300-9.,158,,,,,,,,,,,,,,
6360916,NLM,MEDLINE,19840214,20191210,0020-7136 (Print) 0020-7136 (Linking),32,6,1983 Dec 15,Enhancement or inhibition of tumor growth by interferon: dependence on treatment protocol.,751-7,"MSC cells are tumor cells originally induced in BALB/c mice by Moloney sarcoma virus. In these studies we demonstrated that, although these tumor cells are sensitive in vitro both to lysis by NK or NK-like cells and to the growth-inhibitory effect of murine L-cell interferon (IFN), the growth of the tumor in vivo could be either inhibited or enhanced by IFN. The outcome of in vivo IFN treatment was dependent on the timing and route of IFN administration relative to tumor challenge. IFN given systematically at the same time as tumor challenge resulted in enhancement of primary tumor formation, rate of tumor growth and subsequent progressive tumor growth. In contrast, IFN administered at the site of tumor inoculation on days 1-3 after tumor challenge inhibited tumor formation and growth. Histopathology of tissue sections obtained from the site of tumor challenge confirmed these results. Similar studies performed in mice given 450 rads of X-irradiation showed that IFN could still inhibit tumor growth when administered at the site of tumor inoculation on days 1-3 after tumor challenge. IFN administered simultaneously with tumor challenge, however, did not enhance tumor growth in irradiated mice. These results are consistent with the interpretation that 1) inhibition of MSC-induced tumor growth by IFN has a radioresistant component and 2) the enhancement of MSC-induced tumor formation by IFN is dependent on interaction with a radiosensitive population of cells, possibly lymphoid cells.","['Murasko, D M', 'Fresa, K', 'Mark, R']","['Murasko DM', 'Fresa K', 'Mark R']",['eng'],"['AI-16840/AI/NIAID NIH HHS/United States', 'RR-05418/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,['0 (Interferon Type I)'],IM,"['Animals', 'Cell Division', 'Cell Line', 'Interferon Type I/*pharmacology', 'Killer Cells, Natural/immunology', 'L Cells/immunology', 'Mice', 'Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Neoplasms', 'Sarcoma, Experimental/immunology/*pathology/therapy', 'Whole-Body Irradiation']",1983/12/15 00:00,1983/12/15 00:01,['1983/12/15 00:00'],"['1983/12/15 00:00 [pubmed]', '1983/12/15 00:01 [medline]', '1983/12/15 00:00 [entrez]']",['10.1002/ijc.2910320616 [doi]'],ppublish,Int J Cancer. 1983 Dec 15;32(6):751-7. doi: 10.1002/ijc.2910320616.,,,,,,,,,,,,,,,
6360790,NLM,MEDLINE,19840224,20200713,0234-5730 (Print) 0234-5730 (Linking),28,11,1983 Nov,[Identification of leukemic cells during G-0 and G-1 phases of the cell cycle using scanning cytophotometry].,58-61,,"[""Kotel'nikov, V M"", ""Gol'dberg, V E"", 'Isaev, V G', 'Khoroshko, N D', 'Guseinov, T N']","[""Kotel'nikov VM"", ""Gol'dberg VE"", 'Isaev VG', 'Khoroshko ND', 'Guseinov TN']",['rus'],,['Journal Article'],Russia (Federation),Gematol Transfuziol,Gematologiia i transfuziologiia,8301796,['9007-49-2 (DNA)'],IM,"['*Cell Cycle', '*Cytological Techniques', 'DNA/biosynthesis', 'Humans', 'Leukemia/*blood', 'Lymphocyte Activation', 'Lymphocytes/*cytology', '*Photometry']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",,ppublish,Gematol Transfuziol. 1983 Nov;28(11):58-61.,,"Identifikatsiia leikoznykh kletok, nakhodiashchikhsia v fazakh G-0 i G-1 kletochnogo tsikla, metodom skaniruiushchei tsitofotometrii.",,,,,,,,,,,,,
6360784,NLM,MEDLINE,19840215,20061115,0399-8320 (Print) 0399-8320 (Linking),7,11,1983 Nov,[Carcinogenesis and cytogenetics. Application to gastrointestinal cancer].,877-93,,"['Couturier, D', 'Couturier-Turpin, M H', 'Grandjouan, S']","['Couturier D', 'Couturier-Turpin MH', 'Grandjouan S']",['fre'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",France,Gastroenterol Clin Biol,Gastroenterologie clinique et biologique,7704825,['0 (Carcinogens)'],IM,"['Animals', 'Carcinogens/*pharmacology', 'Cell Cycle/*drug effects', 'Cell Transformation, Neoplastic', 'Chromosome Aberrations/chemically induced/genetics', 'Chromosome Disorders', 'DNA Repair', 'DNA Replication/drug effects', 'Digestive System/drug effects', 'Digestive System Neoplasms/*genetics', 'Genes/*drug effects', 'Humans', 'Karyotyping', 'Leukemia/genetics', 'Mutation', 'Oncogenes', 'Prognosis']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",,ppublish,Gastroenterol Clin Biol. 1983 Nov;7(11):877-93.,103,Cancerogenese et cytogenetique. Application aux cancers gastro-intestinaux.,,,,,,,,,,,,,
6360710,NLM,MEDLINE,19840214,20190621,0014-5793 (Print) 0014-5793 (Linking),164,1,1983 Nov 28,A conjugate of the A1 peptide of cholera toxin and the lectin of Wisteria floribunda that activates the adenylate cyclase of intact cells.,132-4,"The active A1 peptide of cholera toxin was linked by a disulphide bond to the lectin of Wisteria floribunda. The resulting conjugate activated the adenylate cyclase of intact U937 or K562 cells at the same concentrations as native toxin did, but to a greater extent. Activation was inhibited by N-acetyl-D-galactosamine or by antisera to the lectin or peptide. The characteristic lag phase between addition of toxin to cells and activation of cyclase was not found with the conjugate or with free A1 peptide.","['van Heyningen, S']",['van Heyningen S'],['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,"['0 (Lectins)', '0 (Plant Lectins)', '0 (Receptors, N-Acetylglucosamine)', '0 (wisteria lectin)', '9012-63-9 (Cholera Toxin)', 'EC 4.6.1.1 (Adenylyl Cyclases)']",IM,"['Adenylyl Cyclases/*metabolism', 'Cell Line', 'Cholera Toxin/*pharmacology', 'Enzyme Activation', 'Humans', 'Kinetics', 'Lectins/*pharmacology', 'Leukemia, Myeloid, Acute', 'Lymphoma, Large B-Cell, Diffuse', '*Plant Lectins', 'Receptors, N-Acetylglucosamine']",1983/11/28 00:00,1983/11/28 00:01,['1983/11/28 00:00'],"['1983/11/28 00:00 [pubmed]', '1983/11/28 00:01 [medline]', '1983/11/28 00:00 [entrez]']",['10.1016/0014-5793(83)80035-0 [doi]'],ppublish,FEBS Lett. 1983 Nov 28;164(1):132-4. doi: 10.1016/0014-5793(83)80035-0.,,,,,,,,,,,,,,,
6360561,NLM,MEDLINE,19840214,20191210,0301-0171 (Print) 0301-0171 (Linking),37,1-4,1984,Report of the Committee on Chromosome Rearrangements in Neoplasia and on Fragile Sites.,274-311,,"['de la Chapelle, A', 'Berger, R']","['de la Chapelle A', 'Berger R']",['eng'],,"['Bibliography', 'Journal Article', 'Review']",Switzerland,Cytogenet Cell Genet,Cytogenetics and cell genetics,0367735,"['0 (DNA, Neoplasm)']",IM,"['Bibliographies as Topic', 'Chromosome Aberrations', 'Chromosome Mapping', 'Chromosomes, Human/*physiology', 'DNA, Neoplasm/*genetics', 'Humans', 'Leukemia/genetics', 'Lymphoma/genetics', 'Neoplasms/*genetics', 'Oncogenes']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1159/000132012 [doi]'],ppublish,Cytogenet Cell Genet. 1984;37(1-4):274-311. doi: 10.1159/000132012.,162,,,,,,,,,,,,,,
