PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,PMC,CON,GR,CIN,CN,EIN,DEP,CI,MID,OID,SI,LID
11137198,NLM,MEDLINE,20010315,20190915,0169-2607 (Print) 0169-2607 (Linking),64,2,2001 Feb,Acute leukemia diagnosis aid using multicriteria fuzzy assignment methodology.,145-151,"We recently developed a new multicriteria classification method called PROAFTN to help medical diagnosis. The aim of this paper is to present the application of the proposed method for the diagnosis of acute leukemia (AL). The implementation of PROAFTN was carried out on cytological data of 108 cases of AL, using the classification rules of French, American and British hematologists, and was then applied on an independent test set of 83 cases of AL. Forty-seven features, obtained by examining patients' bone-marrow smears with light microscope, defined each case. In order to determine the percentage of correct classifications for each subtype of AL, we compared our results with the clinical diagnosis given previously by the hematologist. 96.4% of the cases were correctly classified by the program, suggesting that the method yields good results in terms of discrimination between AL subtypes.","['Belacel, N', 'Vincke, P', 'Scheiff, J M', 'Boulassel, M R']","['Belacel N', 'Vincke P', 'Scheiff JM', 'Boulassel MR']","['Institute of Statistical and Operational Research and Service de Mathematiques de la Gestion, Universite Libre de Bruxelles, Boulevard du Triomphe, C.P. 210/01, B-1050, Brussels, Belgium. nbelacel@smg.ulb.ac.be']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Comput Methods Programs Biomed,Computer methods and programs in biomedicine,8506513,,IM,"['Algorithms', '*Diagnosis, Computer-Assisted', 'Fuzzy Logic', 'Humans', 'Leukemia/classification/*diagnosis/pathology', 'Leukemia, Myeloid, Acute/classification/diagnosis/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/classification/diagnosis/pathology', 'Software']",,2001/01/04 11:00,2001/03/17 10:01,['2001/01/04 11:00'],"['2001/01/04 11:00 [pubmed]', '2001/03/17 10:01 [medline]', '2001/01/04 11:00 [entrez]']",ppublish,Comput Methods Programs Biomed. 2001 Feb;64(2):145-151. doi: 10.1016/s0169-2607(00)00100-0.,,"['S0169-2607(00)00100-0 [pii]', '10.1016/s0169-2607(00)00100-0 [doi]']",,,,,,,,,,,,
11137137,NLM,MEDLINE,20010215,20190826,0165-2478 (Print) 0165-2478 (Linking),75,2,2001 Jan 1,Ubiquitination of Lyn-kinase in rat basophilic leukemia RBL-2H3 cells.,131-6,"Receptor-mediated signal transduction pathways of cells involved in allergy and inflammations are extremely significant. Lyn is a member of the Src family of non-receptor protein tyrosine kinases and is associated with a number of cell surface receptors, including the B-cell antigen receptor and immunoglobulin E receptor (FcepsilonRI). Lyn is necessary for FcepsilonRI-mediated mast cell activation. To investigate how the level of Lyn is maintained in mast cell activation, it was studied whether Lyn binds to ubiquitin and is ubiquitinated for proteasomal degradation in cells. In the yeast two hybrid system, Lyn specifically interacted with ubiquitin in vivo. Furthermore, Lyn bound to ubiquitin-conjugated Sepharose beads in vitro and was efficiently competed by soluble ubiquitin. Pulse-chase experiments indicated intracellular degradation of Lyn was associated with the generation of a high molecular weight complex in the presence of proteasome-specific inhibitor, lactacystin. This high molecular weight complex cross-reacted with anti-Lyn and anti-ubiquitin demonstrating the ubiquitination Lyn. Overexpression of Lyn and ubiquitin in COS 7.2 cells also resulted in the ubiquitination of Lyn in the presence of lactacystin, supporting the ubiquitination of Lyn by a proteasome specific pathway.","['Bhattacharyya, S P']",['Bhattacharyya SP'],"['Laboratory of Allergic Diseases, National Institute of Allergy and Infectious Diseases, National Institutes of Health, NIH Campus, Building 29, Room 304, 29 Lincoln Drive, Bethesda, MD 20892, USA. bhattacharyya@cber.fda.gov']",['eng'],['Journal Article'],Netherlands,Immunol Lett,Immunology letters,7910006,"['0 (Recombinant Proteins)', '0 (Ubiquitins)', 'EC 2.7.10.2 (lyn protein-tyrosine kinase)', 'EC 2.7.10.2 (src-Family Kinases)']",IM,"['Animals', 'Basophils/immunology/*metabolism', 'COS Cells', 'Mast Cells/immunology/metabolism', 'Rats', 'Recombinant Proteins/genetics/metabolism', 'Signal Transduction', 'Transfection', 'Tumor Cells, Cultured', 'Two-Hybrid System Techniques', 'Ubiquitins/*metabolism', 'src-Family Kinases/genetics/*metabolism']",,2001/01/04 11:00,2001/03/03 10:01,['2001/01/04 11:00'],"['2001/01/04 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/01/04 11:00 [entrez]']",ppublish,Immunol Lett. 2001 Jan 1;75(2):131-6. doi: 10.1016/s0165-2478(00)00289-3.,,"['S0165-2478(00)00289-3 [pii]', '10.1016/s0165-2478(00)00289-3 [doi]']",,,,,,,,,,,,
11137067,NLM,MEDLINE,20010202,20190826,0009-2797 (Print) 0009-2797 (Linking),129,3,2000 Dec 15,Differential anti-proliferative properties of novel hydroxydicarboxylatoplatinum(II) complexes with high or low reactivity with thiols.,297-315,"We have examined the anti-proliferative effect of 13 recently synthesised platinum dicarboxylate complexes, very similar in their chemical, structural and kinetic properties to carboplatin. We used the L5178Y model: two murine lymphoma sublines, which differ in nucleotide excision repair ability and hence, in sensitivity to those platinum complexes that react with DNA. The anti-proliferative effect of the examined compounds mainly depends on the kind of amine ligand. Complexes with the primary amine (ethylenediamine) are more effective than complexes containing the tertiary amine (1-alkylimidazole). The ethylenediaminemalatoplatinum(II) complexes show a differential in vitro anti-proliferative activity in the L5178Y model; hence, it may be expected that they inflict DNA lesions that are repaired by the nucleotide excision system. The cytotoxicity of these complexes is directly correlated with reactivity with glutathione (GSH). The 1-alkylimidazole complexes are of low toxicity and moderate to low reactivity with GSH; in contrast to the ethylenediaminemalatoplatinum(II) complexes, their cytotoxicity is inversely correlated with reactivity with GSH. Two of the 1-alkylimidazole complexes, bis(1-ethylimidazole)(L-malato)platinum(II) and bis(1-propylimidazole (L-malato)platinum(II), show a considerable ability to arrest cells in G2 phase. We expect that the properties of these two groups of platinum complexes may be exploited in combined platinum complex treatment and irradiation.","['Buraczewska, I', 'Bouzyk, E', 'Kuduk-Jaworska, J', 'Waszkiewicz, K', 'Gasinska, A', 'Szumiel, I']","['Buraczewska I', 'Bouzyk E', 'Kuduk-Jaworska J', 'Waszkiewicz K', 'Gasinska A', 'Szumiel I']","['Department of Radiobiology and Health Protection, Institute of Nuclear Chemistry and Technology, Dorodna 03-195, Warsaw, Poland.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Ireland,Chem Biol Interact,Chemico-biological interactions,0227276,"['0 (Amines)', '0 (Antineoplastic Agents)', '0 (Diamines)', '0 (Dicarboxylic Acids)', '0 (Imidazoles)', '0 (Organoplatinum Compounds)', '0 (Sulfhydryl Compounds)', '9G34HU7RV0 (Edetic Acid)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Amines', 'Animals', 'Antineoplastic Agents/pharmacokinetics/*toxicity', 'Cell Division/*drug effects', 'Cell Survival/*drug effects', 'Cisplatin', 'DNA Damage', 'DNA Repair/drug effects', 'Diamines', 'Dicarboxylic Acids', 'Edetic Acid', 'Imidazoles', 'Leukemia L5178', 'Mice', 'Organoplatinum Compounds/*chemistry/pharmacokinetics/*toxicity', 'Sulfhydryl Compounds/*chemistry', 'Tumor Cells, Cultured']",,2001/01/04 11:00,2001/03/03 10:01,['2001/01/04 11:00'],"['2001/01/04 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/01/04 11:00 [entrez]']",ppublish,Chem Biol Interact. 2000 Dec 15;129(3):297-315. doi: 10.1016/s0009-2797(00)00252-0.,,"['S0009279700002520 [pii]', '10.1016/s0009-2797(00)00252-0 [doi]']",,,,,,,,,,,,
11136835,NLM,MEDLINE,20010222,20190513,0027-8874 (Print) 0027-8874 (Linking),93,1,2001 Jan 3,Scientists recall progress and promise of translational research.,13-5,,"['Marwick, C']",['Marwick C'],,['eng'],['News'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antineoplastic Agents)', '0 (Immunoglobulin G)', '0 (Immunosuppressive Agents)', '0 (Receptors, Interleukin-2)', 'CUJ2MVI71Y (Daclizumab)']",IM,"['Animals', 'Antibodies, Monoclonal/therapeutic use', 'Antibodies, Monoclonal, Humanized', 'Antineoplastic Agents/*therapeutic use', 'Daclizumab', '*Evidence-Based Medicine', 'Humans', 'Immunoglobulin G/therapeutic use', 'Immunosuppressive Agents/therapeutic use', 'Leukemia, T-Cell/drug therapy/immunology', '*Medical Oncology', 'National Institutes of Health (U.S.)', 'Neoplasms/*drug therapy/immunology', 'Receptors, Interleukin-2/immunology', '*Research Design', 'United States']",,2001/01/04 11:00,2001/03/03 10:01,['2001/01/04 11:00'],"['2001/01/04 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/01/04 11:00 [entrez]']",ppublish,J Natl Cancer Inst. 2001 Jan 3;93(1):13-5. doi: 10.1093/jnci/93.1.13.,,['10.1093/jnci/93.1.13 [doi]'],,,,,,,,,,,,
11136381,NLM,MEDLINE,20010503,20191104,1351-8216 (Print) 1351-8216 (Linking),7,1,2001 Jan,Myelodysplastic features in patients with long-term HIV infection and haemophilia.,47-52,"HIV-related bone marrow changes are consistent with myelodysplastic features (MDF). Their pathogenesis may differ from primary myelodysplastic syndromes (MDS) and is associated with various factors including the virus itself or the antiretroviral therapy. In order to evaluate the differences between HIV-related MDF and MDS, the morphological changes in peripheral blood and bone marrow, cytogenetic analysis and the response to anaemia treatment were studied in 158 HIV+ patients with haemophilia and the results were compared with those of 61 patients with primary MDS (31 with RA, 10 with RARS, 11 with RAEB, three with RAEB-t and six with CMML). The eligibility criteria for patients with MDS were primary MDS, Hb levels < 10 g dL(-1), and no significant organ disease. The peripheral blood and bone marrow examination revealed MDF in 44 HIV-infected haemophilic patients (27.8%). The median time from seroconversion was 12.5 years and the mean time under AZT therapy was 44.1 months. Nineteen of these patients (43.1%) had Hb levels < 10 g dL(-1), while neutropenia and thrombocytopenia were observed in 29.5% and 25%, respectively. Every patient of this study with Hb < 10 g dL(-1) received erythropoietin (Epo). There were statistically significant morphological alterations between HIV-related MDF and MDS: hypocellularity, plasmatocytosis and eosinophilia were more pronounced in HIV haemophiliacs with MDF, while dysplasia of erythroblasts, megakaryocytes and granulocytes was more frequent in MDS patients. No HIV haemophilic patient with MDF had more than 5% blasts in the bone marrow nor did any develop RAEB or acute leukaemia during the period of this study. The cytogenetic analysis was normal in HIV-infected patients with haemophilia whereas 42.6% of patients with MDS had an abnormal karyotype. Complete erythroid response was achieved with Epo administration in 84.2% of HIV+ haemophilic patients with anaemia compared to 19.7% of patients with MDS. These data suggest that bone marrow changes in long-term HIV patients have different characteristics from primary MDS and constitute the entity for which the name HIV-myelopathy has been proposed in the literature.","['Katsarou, O', 'Terpos, E', 'Patsouris, E', 'Peristeris, P', 'Viniou, N', 'Kapsimali, V', 'Karafoulidou, A']","['Katsarou O', 'Terpos E', 'Patsouris E', 'Peristeris P', 'Viniou N', 'Kapsimali V', 'Karafoulidou A']","['Second Regional Blood Transfusion and Comprehensive Haemophilia Center, University of Athens Medical School, Laiko General Hospital, Athens, Greece.']",['eng'],['Journal Article'],England,Haemophilia,Haemophilia : the official journal of the World Federation of Hemophilia,9442916,,IM,"['Aged', 'Aged, 80 and over', 'Female', 'HIV Infections/*physiopathology', 'Hemophilia A/*physiopathology', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*physiopathology']",,2001/01/03 11:00,2001/05/22 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/05/22 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Haemophilia. 2001 Jan;7(1):47-52. doi: 10.1046/j.1365-2516.2001.00445.x.,,"['hae445 [pii]', '10.1046/j.1365-2516.2001.00445.x [doi]']",,,,,,,,,,,,
11136380,NLM,MEDLINE,20010503,20191104,1351-8216 (Print) 1351-8216 (Linking),7,1,2001 Jan,Viral markers and use of factor products among Finnish patients with bleeding disorders.,42-6,"In the seventh national voluntary cross-sectional survey (in 1999) of Finnish patients with haemophilia A or B, type 3 von Willebrand disease or factor XIII deficiency, a plasma sample was received from 193 patients (67%). The samples were tested for hepatitis B and C, human immunodeficiency virus (HIV) and human T-cell leukaemia virus (HTLV) antibodies. Fifty-one percent of the patients were hepatitis C antibody positive and 34% hepatitis B core antibody positive. None of the patients had antibodies against HIV or HTLV. Eighteen percent of the patients had an elevated alanine aminotransferase activity. Abnormal alanine aminotransferase was significantly associated with hepatitis C seropositivity. No new seroconversions were detected among the haemophiliacs or patients with type 3 von Willebrand disease when compared with the last two surveys in 1993 and 1996, and there was no seroconversion in sole users of solvent/detergent-treated factor products. Currently, 32% of the patients use prophylactic factor treatment as their principal mode of therapy, particularly the younger patients with severe forms of the bleeding diseases.","['Ebeling, F', 'Rasi, V', 'Laitinen, H', 'Krusius, T']","['Ebeling F', 'Rasi V', 'Laitinen H', 'Krusius T']","['Finnish Red Cross Blood Transfusion Service, Helsinki, Finland.']",['eng'],['Journal Article'],England,Haemophilia,Haemophilia : the official journal of the World Federation of Hemophilia,9442916,"['0 (Antibodies, Viral)', '0 (Biomarkers)', '0 (Deltaretrovirus Antibodies)', '0 (HIV Antibodies)', '0 (Hepatitis B Antibodies)', '0 (Hepatitis C Antibodies)']",IM,"['Antibodies, Viral/*analysis/immunology', 'Biomarkers', 'Deltaretrovirus Antibodies/analysis/immunology', 'Factor XIII Deficiency/epidemiology/*virology', 'Finland/epidemiology', 'HIV Antibodies/analysis/immunology', 'Hemophilia A/epidemiology/etiology/*virology', 'Hepatitis B Antibodies/analysis/immunology', 'Hepatitis C Antibodies/analysis/immunology', 'Humans', 'von Willebrand Diseases/epidemiology/*virology']",,2001/01/03 11:00,2001/05/22 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/05/22 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Haemophilia. 2001 Jan;7(1):42-6. doi: 10.1046/j.1365-2516.2001.00477.x.,,"['hae477 [pii]', '10.1046/j.1365-2516.2001.00477.x [doi]']",,,,,,,,,,,,
11136261,NLM,MEDLINE,20001228,20210102,0028-4793 (Print) 0028-4793 (Linking),343,26,2000 Dec 28,Genomic aberrations and survival in chronic lymphocytic leukemia.,1910-6,"BACKGROUND: Fluorescence in situ hybridization has improved the detection of genomic aberrations in chronic lymphocytic leukemia. We used this method to identify chromosomal abnormalities in patients with chronic lymphocytic leukemia and assessed their prognostic implications. METHODS: Mononuclear cells from the blood of 325 patients with chronic lymphocytic leukemia were analyzed by fluorescence in situ hybridization for deletions in chromosome bands 6q21, 11q22-23, 13q14, and 17p13; trisomy of bands 3q26, 8q24, and 12q13; and translocations involving band 14q32. Molecular cytogenetic data were correlated with clinical findings. RESULTS: Chromosomal aberrations were detected in 268 of 325 cases (82 percent). The most frequent changes were a deletion in 13q (55 percent), a deletion in 11q (18 percent), trisomy of 12q (16 percent), a deletion in 17p (7 percent), and a deletion in 6q (7 percent). Five categories were defined with a statistical model: 17p deletion, 11q deletion, 12q trisomy, normal karyotype, and 13q deletion as the sole abnormality; the median survival times for patients in these groups were 32, 79, 114, 111, and 133 months, respectively. Patients in the 17p- and 11q-deletion groups had more advanced disease than those in the other three groups. Patients with 17p deletions had the shortest median treatment-free interval (9 months), and those with 13q deletions had the longest (92 months). In multivariate analysis, the presence or absence of a 17p deletion, the presence or absence of an 11q deletion, age, Binet stage, the serum lactate dehydrogenase level, and the white-cell count gave significant prognostic information. CONCLUSIONS: Genomic aberrations in chronic lymphocytic leukemia are important independent predictors of disease progression and survival. These findings have implications for the design of risk-adapted treatment strategies.","['Dohner, H', 'Stilgenbauer, S', 'Benner, A', 'Leupolt, E', 'Krober, A', 'Bullinger, L', 'Dohner, K', 'Bentz, M', 'Lichter, P']","['Dohner H', 'Stilgenbauer S', 'Benner A', 'Leupolt E', 'Krober A', 'Bullinger L', 'Dohner K', 'Bentz M', 'Lichter P']","['Department of Internal Medicine III University of Ulm, Germany. hartmut.doehner@medizin.uni-ulm.de']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,N Engl J Med,The New England journal of medicine,0255562,['0 (DNA Probes)'],IM,"['Adult', 'Aged', 'Aged, 80 and over', '*Chromosome Aberrations', 'Chromosome Deletion', 'Cytogenetic Analysis/*methods', 'DNA Probes', 'Disease Progression', 'Female', 'Humans', '*In Situ Hybridization, Fluorescence', 'Interphase', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/mortality', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Prognosis', 'Proportional Hazards Models', 'Survival Analysis', 'Trisomy']",,2001/01/03 11:00,2001/02/28 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,N Engl J Med. 2000 Dec 28;343(26):1910-6. doi: 10.1056/NEJM200012283432602.,,"['MJBA-432602 [pii]', '10.1056/NEJM200012283432602 [doi]']",,,,['N Engl J Med. 2001 Apr 19;344(16):1254. PMID: 11314693'],,,,,,,,
11135708,NLM,MEDLINE,20010531,20191210,1344-6304 (Print) 1344-6304 (Linking),53,5,2000 Oct,Confined replication of a chimeric simian immunodeficiency virus.,209-11,,"['Takeda, A', 'Nakamura, H', 'Matano, T']","['Takeda A', 'Nakamura H', 'Matano T']","['AIDS Research Center, National Institute of Infectious Diseases, Tokyo 208-0011, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Infect Dis,Japanese journal of infectious diseases,100893704,"['0 (Gene Products, env)', '0 (Recombinant Proteins)']",IM,"['Animals', 'COS Cells', 'Chlorocebus aethiops', 'Friend murine leukemia virus/*genetics/physiology', 'Gene Products, env/genetics', 'Mice', 'Recombinant Proteins/*genetics/metabolism', 'Retroviridae Infections/virology', 'Simian Acquired Immunodeficiency Syndrome/virology', 'Simian Immunodeficiency Virus/*genetics/*physiology', 'Tumor Virus Infections/virology', '*Virus Replication']",,2001/01/03 11:00,2001/06/02 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/06/02 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Jpn J Infect Dis. 2000 Oct;53(5):209-11.,,,,,,,,,,,,,,
11135470,NLM,MEDLINE,20010118,20190910,8755-1039 (Print) 1097-0339 (Linking),24,1,2001 Jan,Unusual presentation of granulocytic sarcoma in the breast: a case report and review of the literature.,53-7,"This is a case of granulocytic sarcoma presenting as bilateral breast masses in a 40-yr-old woman with concurrent unsuspected chronic myeloid leukemia diagnosed by fine-needle aspiration. The granulocytic differentiation was recognized on Diff-Quik-stained cytology smears and confirmed rapidly on flow cytometry on the same day. The breast has been reported to be an uncommon site for granulocytic sarcoma. We found that 38.8% of granulocytic sarcomas diagnosed by fine-needle aspiration in the English-language literature occurred in the breast. In the absence of clinical history or hematological abnormality, granulocytic sarcoma may be misdiagnosed, depending on the degree of myeloid differentiation present within the tumor. The differential diagnosis includes large-cell non-Hodgkin's lymphoma, lobular carcinoma of the breast, undifferentiated carcinoma, malignant melanoma, extramedullary hemopoiesis and inflammation. The key morphological features and useful ancillary tests are discussed.","['Ngu, I W', 'Sinclair, E C', 'Greenaway, S', 'Greenberg, M L']","['Ngu IW', 'Sinclair EC', 'Greenaway S', 'Greenberg ML']","['Hampson Sugarman Macquarie Pathology, Westmead, New South Wales, Australia.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",United States,Diagn Cytopathol,Diagnostic cytopathology,8506895,,IM,"['Adult', 'Biopsy, Needle', 'Breast Neoplasms/*diagnosis', 'Carcinoma, Lobular/diagnosis', 'Diagnosis, Differential', 'Female', 'Flow Cytometry', 'Hematopoiesis, Extramedullary/physiology', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Lymphoma, Large B-Cell, Diffuse/diagnosis', 'Mastitis/diagnosis', 'Melanoma/diagnosis']",20,2001/01/03 11:00,2001/02/28 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Diagn Cytopathol. 2001 Jan;24(1):53-7. doi: 10.1002/1097-0339(200101)24:1<53::aid-dc1009>3.0.co;2-d.,,"['10.1002/1097-0339(200101)24:1<53::AID-DC1009>3.0.CO;2-D [pii]', '10.1002/1097-0339(200101)24:1<53::aid-dc1009>3.0.co;2-d [doi]']",,,,,,,,,,,,
11135441,NLM,MEDLINE,20010222,20061115,1045-2257 (Print) 1045-2257 (Linking),30,2,2001 Feb,Recurrent imbalances involving chromosome 5 and 7q22-q35 in hairy cell leukemia: a comparative genomic hybridization study.,218-9,,"['Ostergaard, M', 'Lindbjerg Andersen, C', 'Pedersen, B', 'Koch, J', 'Nielsen, B']","['Ostergaard M', 'Lindbjerg Andersen C', 'Pedersen B', 'Koch J', 'Nielsen B']",,['eng'],"['Comment', 'Comparative Study', 'Letter', ""Research Support, Non-U.S. Gov't""]",United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,,IM,"['Chromosome Aberrations/*genetics', 'Chromosomes, Human, Pair 5/*genetics', 'Chromosomes, Human, Pair 7/*genetics', 'Humans', 'Leukemia, Hairy Cell/*genetics', 'Nucleic Acid Hybridization/methods']",,2001/01/03 11:00,2001/03/03 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 2001 Feb;30(2):218-9.,,['10.1002/1098-2264(200102)30:2<218::AID-GCC1082>3.0.CO;2-R [pii]'],,['Genes Chromosomes Cancer. 1999 Oct;26(2):182-3. PMID: 10469459'],,,,,,,,,,
11135434,NLM,MEDLINE,20010222,20190816,1045-2257 (Print) 1045-2257 (Linking),30,2,2001 Feb,Molecular analysis of the genomic inversion and insertion of AF10 into MLL suggests a single-step event.,175-80,"The interstitial insertion of genetic material from one chromosome into another can achieve the type of gene-gene fusions more usually associated with chromosome translocations. An example of such an interstitial insertion, which has created an MLL-AF10 fusion in an acute myeloid leukaemia, has been analysed at the genomic level. The genomic fusion, which resulted in the juxtaposition of 3' AF10 sequence to 5' MLL sequence, was identified within MLL and AF10 intronic sequences. It was further established that the remaining 3' MLL sequence, from exon 6 onwards, was fused to novel sequence of unknown origin (named FM3 for fused to MLL 3'). The points of fusion of these 5' and 3' portions of MLL matched to adjacent nucleotides and lay between exons 5 and 6. The FM3 sequence was shown to be from chromosome arm 10p and located close to AF10 in a proximal position. It was subsequently demonstrated that in the leukaemia a third fusion existed between 5' AF10 and the FM3 sequence at a point immediately downstream from its fusion to MLL. It was therefore concluded that the MLL-AF10 gene fusion is the result of a simultaneous transposition of genetic material into the MLL gene and the joining of the remaining free ends on chromosome 10. This kind of event, characterised completely here for the first time, is a means to achieve a fusion when the genes involved lie in opposite orientations and results in three genomic junctions.","['Chaplin, T', 'Jones, L', 'Debernardi, S', 'Hill, A S', 'Lillington, D M', 'Young, B D']","['Chaplin T', 'Jones L', 'Debernardi S', 'Hill AS', 'Lillington DM', 'Young BD']","[""Imperial Cancer Research Fund, Department of Medical Oncology, St. Bartholomew's Hospital Medical College, London, United Kingdom.""]",['eng'],['Journal Article'],United States,Genes Chromosomes Cancer,"Genes, chromosomes & cancer",9007329,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (MLLT10 protein, human)', '0 (Oncogene Proteins, Fusion)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Adult', 'Base Sequence', '*Chromosome Inversion', 'Chromosomes, Human, Pair 10/genetics', 'Chromosomes, Human, Pair 11/genetics', 'DNA-Binding Proteins/*genetics', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia, Monocytic, Acute/genetics', 'Male', 'Molecular Sequence Data', '*Mutagenesis, Insertional', 'Myeloid-Lymphoid Leukemia Protein', 'Oncogene Proteins, Fusion/*genetics', '*Proto-Oncogenes', 'Sequence Analysis, DNA', 'Transcription Factors/*genetics']",,2001/01/03 11:00,2001/03/03 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/03/03 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Genes Chromosomes Cancer. 2001 Feb;30(2):175-80.,,['10.1002/1098-2264(200102)30:2<175::AID-GCC1073>3.0.CO;2-B [pii]'],,,,,,,,"['Copyright 2000 Wiley-Liss, Inc.']",,,"['GENBANK/AF242205', 'GENBANK/AF242206', 'GENBANK/AF242207']",
11135356,NLM,MEDLINE,20010201,20191104,0278-0232 (Print) 0278-0232 (Linking),18,4,2000 Dec,Hairy cell leukemia in Hong Kong Chinese: a 12-year retrospective survey.,155-159,"BACKGROUND: Hairy cell leukemia (HCL) is a unique chronic B cell lymphoproliferative disease (B-LPD), with distinct clinical and pathological features, and excellent treatment response to 2-chlorodeoxyadenosine (2-CDA) and pentostatin. There have been few reports of HCL from oriental countries. PATIENTS AND METHODS: A retrospective survey of HCL in six major hematology units in Hong Kong over a 12-year period. RESULTS: There were 18 cases of HCL identified. Most patients presented with fever, splenomegaly and monocytopenia. Lymphadenopathy was present in three patients, and open biopsy revealed tuberculosis infection in two cases. Seven cases received interferon and 12 cases received 2-CDA. Four patients died from bronchogenic carcinoma, cerebral vascular accident, fulminant hepatitis B virus reactivation and malignant melanoma. The remaining 14 patients are in clinical remission at a median of 6 years' follow-up; two are also surviving from second malignancies (thyroid papillary carcinoma and renal cell carcinoma). CONCLUSIONS: Parallel to the low incidence of B-LPD in Chinese, the incidence of HCL (0.035/100000 population per year) is much lower than in Western series. Other clinical features such as male dominance, clinical presentation, response to 2-CDA treatment, and association with second malignancy are similar to Western reports. However, two common complications in the Chinese population are the fulminant reactivation of hepatitis B infection and disseminated tuberculosis infection.","['Au, W Y', 'Kwong, Y L', 'Ma, S K', 'Mak, Y K', 'Wong, K F', 'Lei, K I', 'Ng, M H', 'Chan, J C', 'Lin, S Y', 'Lee, K K', 'Liang, R']","['Au WY', 'Kwong YL', 'Ma SK', 'Mak YK', 'Wong KF', 'Lei KI', 'Ng MH', 'Chan JC', 'Lin SY', 'Lee KK', 'Liang R']","['Department of Medicine, Queen Mary Hospital, Hong Kong. auwing@hotmail.com']",['eng'],"['Journal Article', 'Review']",England,Hematol Oncol,Hematological oncology,8307268,,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Hong Kong/epidemiology', 'Humans', 'Leukemia, Hairy Cell/epidemiology/*pathology', 'Male', 'Middle Aged', 'Retrospective Studies']",17,2001/01/03 11:00,2001/02/28 10:01,['2001/01/03 11:00'],"['2001/01/03 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2001/01/03 11:00 [entrez]']",ppublish,Hematol Oncol. 2000 Dec;18(4):155-159. doi: 10.1002/1099-1069(200012)18:4<155::aid-hon668>3.0.co;2-h.,,"['10.1002/1099-1069(200012)18:4<155::AID-HON668>3.0.CO;2-H [pii]', '10.1002/1099-1069(200012)18:4<155::aid-hon668>3.0.co;2-h [doi]']",,,,,,,,,,,,
