PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,AB,PMC,CIN,PS,FPS,OID
4947913,NLM,MEDLINE,19720703,20031114,0014-2980 (Print) 0014-2980 (Linking),1,6,1971 Dec,A new differentiation antigen of plasma cells.,478-82,"['Takahashi, T', 'Old, L J', 'Hsu, C J', 'Boyse, E A']","['Takahashi T', 'Old LJ', 'Hsu CJ', 'Boyse EA']",['eng'],['Journal Article'],Germany,Eur J Immunol,European journal of immunology,1273201,"['0 (Antigens)', '0 (Immune Sera)', '0 (Immunoglobulin G)']",IM,"['Absorption', 'Animals', 'Antigens/*analysis', 'Cell Membrane/immunology', 'Cytotoxicity Tests, Immunologic', 'Erythrocytes/immunology', 'Guinea Pigs/immunology', 'Hemolytic Plaque Technique', 'Immune Adherence Reaction', 'Immune Sera', 'Immunoglobulin G', 'Leukemia, Experimental/immunology', 'Mice', 'Mice, Inbred Strains', 'Multiple Myeloma/immunology', 'Plasma Cells/*immunology', 'Rabbits/immunology', 'Sarcoma, Experimental/immunology', 'Sheep/immunology', 'Spleen/cytology/immunology', 'Thymus Gland/cytology/immunology']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",['10.1002/eji.1830010614 [doi]'],ppublish,Eur J Immunol. 1971 Dec;1(6):478-82. doi: 10.1002/eji.1830010614.,,,,,,,,
4947883,NLM,MEDLINE,19720703,20211203,0014-4754 (Print) 0014-4754 (Linking),27,8,1971 Aug,Attempts to prevent acquired immunological insufficiencies in mice by bacillus Calmette-Guerin.,941-3,"['Amiel, J L', 'Berardet, M']","['Amiel JL', 'Berardet M']",['eng'],['Journal Article'],Switzerland,Experientia,Experientia,0376547,"['0 (Antigens)', '0 (BCG Vaccine)', 'E7WED276I5 (Mercaptopurine)']",IM,"['Animals', 'Antibody-Producing Cells', 'Antigens', '*BCG Vaccine', 'Erythrocytes/immunology', 'Hemolytic Plaque Technique', 'Immunologic Deficiency Syndromes/*prevention & control', 'Immunosuppression Therapy', 'Leukemia, Experimental/immunology', 'Male', 'Mercaptopurine/pharmacology', 'Mice', 'Mice, Inbred Strains', 'Mycobacterium bovis', 'Time Factors']",1971/08/01 00:00,1971/08/01 00:01,['1971/08/01 00:00'],"['1971/08/01 00:00 [pubmed]', '1971/08/01 00:01 [medline]', '1971/08/01 00:00 [entrez]']",['10.1007/BF02135760 [doi]'],ppublish,Experientia. 1971 Aug;27(8):941-3. doi: 10.1007/BF02135760.,,,,,,,,
4947785,NLM,MEDLINE,19720628,20211203,0021-2547 (Print) 0021-2547 (Linking),50,3,1971 May-Jun,[Current and prospective problems in tumor immunology].,209-20,"['Pitzurra, M']",['Pitzurra M'],['ita'],"['Journal Article', 'Review']",Italy,Boll Ist Sieroter Milan,Bollettino dell'Istituto sieroterapico milanese,17720040R,"['0 (Antigens)', '0 (Antigens, Neoplasm)', '0 (Immune Sera)', '0 (Isoantigens)']",IM,"['Animals', 'Antibody Specificity', '*Antigens', 'Antigens, Neoplasm', 'Cell Transformation, Neoplastic', 'Histocompatibility', 'Humans', 'Immune Sera', 'Immune Tolerance', 'Immunity', 'Immunization, Passive', 'Immunosuppression Therapy', 'Isoantigens', 'Leukemia, Experimental/immunology', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred Strains', 'Neoplasm Transplantation', 'Neoplasms/*immunology']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",,ppublish,Boll Ist Sieroter Milan. 1971 May-Jun;50(3):209-20.,0,Problemi presenti e prospettive di immunologia dei tumori.,,,,,,
4947773,NLM,MEDLINE,19720627,20191030,0082-5948 (Print) 0082-5948 (Linking),7,,1971,Growth-retarding mechanisms against lymphatic tumours. Search in mice and men.,146-78,"['Britton, S']",['Britton S'],['eng'],['Journal Article'],Denmark,Transplant Rev,Transplantation reviews,0215244,"['0 (Antigens)', '0 (Antigens, Bacterial)', '0 (Antigens, Neoplasm)', '0 (Chromium Isotopes)', '0 (Immune Sera)', '0 (Isoantigens)', '10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Antigens', 'Antigens, Bacterial', 'Antigens, Neoplasm', 'Autoradiography', 'Child', 'Child, Preschool', 'Chromium Isotopes', 'Cytotoxicity Tests, Immunologic', 'DNA/biosynthesis', 'Escherichia coli/immunology', 'Histocompatibility', 'Humans', 'Immune Sera', 'Infant', '*Isoantigens', 'Leukemia/*immunology/therapy', 'Lymphocytes/immunology', 'Lymphoma/*immunology', 'Mice', 'Mice, Inbred Strains', 'Moloney murine leukemia virus', 'Neoplasm Transplantation', 'Neoplasms, Experimental', 'Rabbits/immunology', 'Radiation Chimera', 'Spleen/immunology', 'Thymectomy', 'Thymidine/metabolism', 'Thymus Gland/immunology', 'Tritium']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1111/j.1600-065x.1971.tb00466.x [doi]'],ppublish,Transplant Rev. 1971;7:146-78. doi: 10.1111/j.1600-065x.1971.tb00466.x.,,,,,,,,
4947732,NLM,MEDLINE,19720626,20191210,0033-3190 (Print) 0033-3190 (Linking),19,1,1971,Psychological aspects in the treatment of leukemia patients in the isolated-bed system 'life island'.,85-91,"['Kohle, K', 'Simons, C', 'Weidlich, S', 'Dietrich, M', 'Durner, A']","['Kohle K', 'Simons C', 'Weidlich S', 'Dietrich M', 'Durner A']",['eng'],['Journal Article'],Switzerland,Psychother Psychosom,Psychotherapy and psychosomatics,0024046,,IM,"['Acute Disease', 'Adaptation, Psychological', 'Counseling', 'Germ-Free Life', 'Humans', 'Interview, Psychological', 'Leukemia/complications/drug therapy/*therapy', 'Motor Activity', 'Nurse-Patient Relations', 'Nursing Care', '*Patient Isolators', 'Physician-Patient Relations', 'Projective Techniques', 'Psychological Tests', 'Psychotherapy', 'Regression, Psychology', 'Social Isolation', 'Stress, Psychological']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1159/000286309 [doi]'],ppublish,Psychother Psychosom. 1971;19(1):85-91. doi: 10.1159/000286309.,,,,,,,,
4947653,NLM,MEDLINE,19720621,20191030,0065-2776 (Print) 0065-2776 (Linking),13,,1971,In vitro approaches to the mechanism of cell-mediated immune reactions.,101-208,"['Bloom, B R']",['Bloom BR'],['eng'],"['Journal Article', 'Review']",United States,Adv Immunol,Advances in immunology,0370425,"['0 (Adjuvants, Immunologic)', '0 (Antibodies)', '0 (Antigens)', '9008-11-1 (Interferons)']",IM,"['Adjuvants, Immunologic', 'Animals', 'Antibodies/analysis', 'Antibody Formation', 'Antigens', 'Cell Membrane/immunology', 'Cell Migration Inhibition', 'Cells, Cultured', 'Chemotaxis', '*Culture Techniques', 'Cytotoxicity Tests, Immunologic', 'Graft Rejection', 'Guinea Pigs', 'Humans', 'Hypersensitivity, Delayed/*immunology', '*Immunity, Cellular', 'Immunization, Passive', 'Interferons', 'Leukemia, Experimental/immunology', 'Lymphocyte Activation', 'Lymphocytes/immunology', 'Macrophages/immunology', 'Sarcoma, Experimental/immunology', 'Thymus Gland/immunology', 'Transplantation Immunology', 'Tuberculin Test']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",['10.1016/s0065-2776(08)60184-4 [doi]'],ppublish,Adv Immunol. 1971;13:101-208. doi: 10.1016/s0065-2776(08)60184-4.,268,,,,,,,
4947228,NLM,MEDLINE,19720602,20191030,0300-9637 (Print) 0300-9637 (Linking),10,23,1971 Dec 8,Inhibition of protein synthesis in Escherichia coli and L5178Y mouse leukemic cells by phenylalanine and tryptophan.,1335-40,"['Bosmann, H B']",['Bosmann HB'],['eng'],['Journal Article'],England,Life Sci II,"Life sciences. Pt. 2: Biochemistry, general and molecular biology",0375523,"['0 (Bacterial Proteins)', '0 (Glycoproteins)', '0 (Lipopolysaccharides)', '10028-17-8 (Tritium)', '47E5O17Y3R (Phenylalanine)', '63231-63-0 (RNA)', '8DUH1N11BX (Tryptophan)', '9007-49-2 (DNA)', '9014-25-9 (RNA, Transfer)', 'GMW67QNF9C (Leucine)', 'N08U5BOQ1K (Glucosamine)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Bacterial Proteins/biosynthesis', 'Cell Line', 'Culture Techniques', 'DNA/biosynthesis', 'Escherichia coli/metabolism', 'Glucosamine/metabolism', 'Glycoproteins/biosynthesis', 'Leucine/metabolism', 'Leukemia, Experimental/metabolism', 'Lipopolysaccharides/biosynthesis', 'Mice', 'Phenylalanine/*pharmacology', '*Protein Biosynthesis', 'RNA/biosynthesis', 'RNA, Transfer/metabolism', 'Thymidine/metabolism', 'Tritium', 'Tryptophan/*pharmacology', 'Uridine/metabolism']",1971/12/08 00:00,1971/12/08 00:01,['1971/12/08 00:00'],"['1971/12/08 00:00 [pubmed]', '1971/12/08 00:01 [medline]', '1971/12/08 00:00 [entrez]']",['10.1016/0024-3205(71)90184-6 [doi]'],ppublish,Life Sci II. 1971 Dec 8;10(23):1335-40. doi: 10.1016/0024-3205(71)90184-6.,,,,,,,,
4947185,NLM,MEDLINE,19720602,20190511,0022-1899 (Print) 0022-1899 (Linking),124,3,1971 Sep,Recent experience with bacillemia due to gram-negative organisms.,239-46,"['Myerowitz, R L', 'Medeiros, A A', ""O'Brien, T F""]","['Myerowitz RL', 'Medeiros AA', ""O'Brien TF""]",['eng'],['Journal Article'],United States,J Infect Dis,The Journal of infectious diseases,0413675,['0 (Anti-Bacterial Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Anti-Bacterial Agents/therapeutic use', '*Cross Infection', 'Enterobacteriaceae Infections/*etiology', 'Escherichia coli Infections/etiology', 'Female', 'Humans', 'Klebsiella Infections/etiology', 'Leukemia/complications', 'Male', 'Middle Aged', 'Neoplasms/complications', 'Prognosis', 'Pseudomonas Infections/*etiology', 'Sepsis/drug therapy/*microbiology', 'Serratia', 'Skin Diseases, Infectious/complications', 'Urinary Tract Infections/complications']",1971/09/01 00:00,1971/09/01 00:01,['1971/09/01 00:00'],"['1971/09/01 00:00 [pubmed]', '1971/09/01 00:01 [medline]', '1971/09/01 00:00 [entrez]']",['10.1093/infdis/124.3.239 [doi]'],ppublish,J Infect Dis. 1971 Sep;124(3):239-46. doi: 10.1093/infdis/124.3.239.,,,,,,,,
4947152,NLM,MEDLINE,19720601,20211203,0036-7672 (Print) 0036-7672 (Linking),101,45,1971 Nov 13,[Cancer and immunity].,1605-20,"['Nagel, G A', 'Geiger, C']","['Nagel GA', 'Geiger C']",['ger'],"['Journal Article', 'Review']",Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,['0 (Antigens)'],IM,"['Animals', 'Antibody-Producing Cells/immunology', 'Antigen-Antibody Reactions', 'Antigens/analysis', 'Autoimmune Diseases/immunology', 'Breast Neoplasms/immunology', 'Choriocarcinoma/immunology', 'Cross Reactions', 'Female', 'Hodgkin Disease/immunology', 'Humans', 'Immunity', 'Immunity, Cellular', 'Immunosuppression Therapy', 'Intestinal Neoplasms/immunology', 'Leukemia/immunology', 'Leukocytes/immunology', 'Lymphoma/immunology', 'Melanoma/immunology', 'Neoplasms/etiology/*immunology', 'Neoplasms, Experimental/immunology', 'Pregnancy', 'Sarcoma/immunology', 'Transplantation Immunology']",1971/11/13 00:00,1971/11/13 00:01,['1971/11/13 00:00'],"['1971/11/13 00:00 [pubmed]', '1971/11/13 00:01 [medline]', '1971/11/13 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1971 Nov 13;101(45):1605-20.,129,Krebs und Immunitat.,,,,,,
4947082,NLM,MEDLINE,19720531,20041117,0017-0275 (Print) 0017-0275 (Linking),52,5,1971 May,[Immunity and leukemia. I. Tumor antigenicity and immune reactions related to it].,391-414,"['Danieli, G', 'Magelli, L', 'Montroni, M']","['Danieli G', 'Magelli L', 'Montroni M']",['ita'],['Journal Article'],Italy,G Clin Med,Giornale di clinica medica,0413411,"['0 (Antigens)', '0 (Antigens, Neoplasm)']",IM,"['Antigen-Antibody Reactions', 'Antigens/*classification', 'Antigens, Neoplasm/classification', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia/*immunology', 'Neoplasms/immunology']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",,ppublish,G Clin Med. 1971 May;52(5):391-414.,,Immunita e leucemie. I. Antigenicita dei tumori e reazioni immunitarie ad essa correlate.,,,,,,
4946996,NLM,MEDLINE,19720528,20071115,0001-4079 (Print) 0001-4079 (Linking),155,26,1971 Oct 26,[The circulation of lymphocytes].,648-55,"['Bernard, J', 'Binet, J L']","['Bernard J', 'Binet JL']",['fre'],['Journal Article'],Netherlands,Bull Acad Natl Med,Bulletin de l'Academie nationale de medecine,7503383,,IM,"['Animals', 'Humans', 'Leukemia, Lymphoid/physiopathology', 'Lymphatic System/*physiology', '*Lymphocytes/radiation effects', 'Radiation Effects', 'Rats', 'Spleen/physiology', 'Thymus Gland/physiology', 'Whooping Cough/physiopathology']",1971/10/26 00:00,1971/10/26 00:01,['1971/10/26 00:00'],"['1971/10/26 00:00 [pubmed]', '1971/10/26 00:01 [medline]', '1971/10/26 00:00 [entrez]']",,ppublish,Bull Acad Natl Med. 1971 Oct 26;155(26):648-55.,,La circulation des lymphocytes.,,,,,,
4946994,NLM,MEDLINE,19720528,20071115,0004-069X (Print) 0004-069X (Linking),19,6,1971,Humoral cross immunity in patients with malignant tumors.,835-49,"['Harlozinska, A', 'Albert, Z', 'Richter, R', 'Singer, Z', 'Salwa, J']","['Harlozinska A', 'Albert Z', 'Richter R', 'Singer Z', 'Salwa J']",['eng'],['Journal Article'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,"['0 (Antigens, Neoplasm)', '0 (Immune Sera)']",IM,"['Animals', 'Antigens, Neoplasm', 'Breast Neoplasms/*immunology', 'Carcinoma/*immunology', 'Cross Reactions', 'Fluorescent Antibody Technique', 'Gastrointestinal Neoplasms/*immunology', 'Hodgkin Disease/*immunology', 'Humans', 'Immune Sera', '*Immunity', 'Leukemia, Myeloid, Acute/*immunology', 'Lymphoma/*immunology', 'Lymphoma, Large B-Cell, Diffuse/immunology', 'Lymphoma, Non-Hodgkin/immunology', 'Rabbits']",1971/01/01 00:00,1971/01/01 00:01,['1971/01/01 00:00'],"['1971/01/01 00:00 [pubmed]', '1971/01/01 00:01 [medline]', '1971/01/01 00:00 [entrez]']",,ppublish,Arch Immunol Ther Exp (Warsz). 1971;19(6):835-49.,,,,,,,,
4946919,NLM,MEDLINE,19720524,20190613,0006-2960 (Print) 0006-2960 (Linking),10,24,1971 Nov 23,Inhibition of protein synthesis by 5'-sulfamoyladenosine.,4395-8,"['Bloch, A', 'Coutsogeorgopoulos, C']","['Bloch A', 'Coutsogeorgopoulos C']",['eng'],['Journal Article'],United States,Biochemistry,Biochemistry,0370623,"['0 (Adenine Nucleotides)', '0 (Bacterial Proteins)', '0 (Carbon Isotopes)', '0 (DNA, Bacterial)', '0 (Deoxyadenosines)', '0 (Nucleosides)', '0 (RNA, Bacterial)', '0 (Sulfonamides)', '47E5O17Y3R (Phenylalanine)', '5A614L51CT (Inosine)', '9014-25-9 (RNA, Transfer)', '9DLQ4CIU6V (Proline)', 'EC 3.5.4.- (Aminohydrolases)', 'K3Z4F929H6 (Lysine)', 'K72T3FS567 (Adenosine)']",IM,"['Adenine Nucleotides/biosynthesis', 'Adenosine/*pharmacology/toxicity', 'Aminohydrolases', 'Animals', 'Bacterial Proteins/*biosynthesis', 'Carbon Isotopes', 'Cells, Cultured', 'DNA, Bacterial/biosynthesis', 'Deoxyadenosines/pharmacology', 'Escherichia coli/drug effects/growth & development/metabolism', 'Inosine/pharmacology', 'Intestinal Mucosa/enzymology', '*Leukemia L1210', 'Lysine/metabolism', 'Mice', 'Muscles/enzymology', 'Nucleosides/pharmacology', 'Phenylalanine/metabolism', 'Proline/metabolism', 'RNA, Bacterial/biosynthesis', 'RNA, Transfer/metabolism', 'Rabbits', 'Rats', 'Streptococcus', 'Structure-Activity Relationship', 'Sulfonamides/pharmacology/toxicity']",1971/11/23 00:00,1971/11/23 00:01,['1971/11/23 00:00'],"['1971/11/23 00:00 [pubmed]', '1971/11/23 00:01 [medline]', '1971/11/23 00:00 [entrez]']",['10.1021/bi00800a007 [doi]'],ppublish,Biochemistry. 1971 Nov 23;10(24):4395-8. doi: 10.1021/bi00800a007.,,,,,,,,
4946692,NLM,MEDLINE,19720516,20211203,0507-4088 (Print) 0507-4088 (Linking),16,6,1971 Nov-Dec,[The immunosuppressive effect of the Graffi leukemia virus].,661-5,"['Ancheva, M']",['Ancheva M'],['rus'],['Journal Article'],Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,['0 (Antigens)'],IM,"['Animals', 'Animals, Newborn', '*Antibody Formation', 'Antibody-Producing Cells', 'Antigens', 'Erythrocytes/immunology', 'Female', '*Immunity, Cellular', '*Immunosuppression Therapy', 'Leukemia, Experimental/immunology/microbiology', 'Male', 'Mice', 'Retroviridae/*immunology', 'Sheep', 'Skin Transplantation', 'Spleen/immunology/transplantation', 'Transplantation Immunology', 'Transplantation, Homologous']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",,ppublish,Vopr Virusol. 1971 Nov-Dec;16(6):661-5.,,Immunodepressivnoe deistvie virusa leikoza Graffi.,,,,,,
4946580,NLM,MEDLINE,19720512,20071115,0083-1921 (Print) 0083-1921 (Linking),34,,1971 Dec,Familial factors relating to prognosis of leukemia and lymphoma.,283-9,"['Rosenlof, R C', 'Lemon, H M', 'Rigby, P G']","['Rosenlof RC', 'Lemon HM', 'Rigby PG']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,,IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', 'Animals', 'Cattle', 'Child', 'Child, Preschool', 'Environmental Exposure', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/epidemiology/etiology/*genetics/mortality', 'Lymphoma/epidemiology/etiology/*genetics/mortality', 'Lymphoma, Large B-Cell, Diffuse/genetics', 'Middle Aged', 'Multiple Myeloma/genetics', 'Neoplasms/veterinary', 'Poultry', 'Prognosis', 'Swine']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1971 Dec;34:283-9.,,,,,,,,
4946579,NLM,MEDLINE,19720512,20071115,0083-1921 (Print) 0083-1921 (Linking),34,,1971 Dec,Limited role of cell kinetics in clinical cancer chemotherapy.,15-7,"['Hall, T C']",['Hall TC'],['eng'],"['Journal Article', 'Review']",United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,['0 (Antineoplastic Agents)'],IM,"['Animals', 'Antineoplastic Agents/*administration & dosage/metabolism', 'Disease Models, Animal', 'Drug Resistance', 'Evaluation Studies as Topic', 'Humans', 'Leukemia, Experimental', 'Mice', 'Mitosis/drug effects', 'Neoplasms/*drug therapy/metabolism', 'Research']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1971 Dec;34:15-7.,0,,,,,,,
4946578,NLM,MEDLINE,19720512,20141120,0083-1921 (Print) 0083-1921 (Linking),34,,1971 Dec,Relevance of in vitro tests for predicting responsiveness to antitumor agents.,138-43,"['Kessel, D']",['Kessel D'],['eng'],"['Journal Article', 'Review']",United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Nucleotides)', '0 (RNA, Neoplasm)', '0 (Radioisotopes)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cell Line', 'Cell Membrane Permeability', 'DNA, Neoplasm/biosynthesis', 'Drug Resistance', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy/enzymology', 'Leukemia, Experimental/drug therapy/enzymology', 'Mice', 'Nucleotides/biosynthesis', 'Prognosis', 'RNA, Neoplasm/biosynthesis', 'Radioisotopes', 'Thymidine/metabolism', 'Uridine/metabolism']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1971 Dec;34:138-43.,32,,,,,,,
4946577,NLM,MEDLINE,19720512,20141120,0083-1921 (Print) 0083-1921 (Linking),34,,1971 Dec,In search of a key.,118-30,"['Roberts, D']",['Roberts D'],['eng'],"['Journal Article', 'Review']",United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Drug Combinations)', '0 (Thymine Nucleotides)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'EC 2.7.1.21 (Thymidine Kinase)', 'VC2W18DGKR (Thymidine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cells, Cultured', 'Cricetinae', 'DNA, Neoplasm/biosynthesis', 'Drug Combinations', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy/enzymology/metabolism', 'Leukemia, Experimental/enzymology/metabolism', 'Leukocytes/drug effects/enzymology/*metabolism', 'Methotrexate/*therapeutic use', 'Mice', 'Tetrahydrofolate Dehydrogenase/*metabolism', 'Thymidine/metabolism', 'Thymidine Kinase/metabolism', 'Thymine Nucleotides/biosynthesis']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Natl Cancer Inst Monogr. 1971 Dec;34:118-30.,47,,,,,,,
4946526,NLM,MEDLINE,19720511,20041117,0023-2149 (Print) 0023-2149 (Linking),49,5,1971 May,[Kidney function in malignant neoplasms].,16-20,"['Pashinskii, V G']",['Pashinskii VG'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Klin Med (Mosk),Klinicheskaia meditsina,2985204R,,IM,"['Amyloidosis/etiology', 'Animals', 'Gastrointestinal Neoplasms/physiopathology', 'Hodgkin Disease/complications', 'Humans', 'Kidney/*physiopathology', 'Kidney Diseases/etiology', 'Leukemia/complications/physiopathology', 'Lung Neoplasms', 'Multiple Myeloma/physiopathology', 'Neoplasms/complications/metabolism/*physiopathology', 'Neoplasms, Experimental/physiopathology', 'Pancreatic Neoplasms/physiopathology', 'Water-Electrolyte Balance']",1971/05/01 00:00,1971/05/01 00:01,['1971/05/01 00:00'],"['1971/05/01 00:00 [pubmed]', '1971/05/01 00:01 [medline]', '1971/05/01 00:00 [entrez]']",,ppublish,Klin Med (Mosk). 1971 May;49(5):16-20.,0,Funktsiia pochek pri zlokachestvennykh novoobrazovaniiakh.,,,,,,
4946386,NLM,MEDLINE,19720508,20071115,0035-3019 (Print) 0035-3019 (Linking),16,10,1971 Dec,[Membrane monoclonal immunoglobulins in chronic lymphoid leukemia].,1025-31,"[""Preud'homme, J L"", 'Klein, M', 'Verroust, P', 'Seligmann, M']","[""Preud'homme JL"", 'Klein M', 'Verroust P', 'Seligmann M']",['fre'],['Journal Article'],France,Rev Eur Etud Clin Biol,Revue europeenne d'etudes cliniques et biologiques. European journal of clinical and biological research,0351323,['0 (Immunoglobulins)'],IM,"['Amino Acid Sequence', 'Cell Membrane/*immunology', 'Cytoplasm/immunology', 'Fluorescent Antibody Technique', 'Humans', '*Immunoglobulins/classification', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/*immunology']",1971/12/01 00:00,1971/12/01 00:01,['1971/12/01 00:00'],"['1971/12/01 00:00 [pubmed]', '1971/12/01 00:01 [medline]', '1971/12/01 00:00 [entrez]']",,ppublish,Rev Eur Etud Clin Biol. 1971 Dec;16(10):1025-31.,,Immunoglobulines monoclonales de membrane dans les leucemies lymphoides chroniques.,,,,,,
4946232,NLM,MEDLINE,19720502,20061115,0369-8114 (Print) 0369-8114 (Linking),19,21,1971 Nov,[Cytochemistry of lymphoid cells].,1007-22,"['Gardais, J']",['Gardais J'],['fre'],"['English Abstract', 'Journal Article', 'Review']",France,Pathol Biol (Paris),Pathologie-biologie,0265365,"['0 (Amino Acids)', '0 (Carbohydrates)', '0 (Coenzymes)', '0 (Lipids)', '0 (Nucleoproteins)', '0 (Sulfhydryl Compounds)', '63231-63-0 (RNA)', '9007-49-2 (DNA)']",IM,"['Amino Acids/analysis', 'Carbohydrates/analysis', 'Coenzymes/analysis', 'DNA/analysis', 'Histocytochemistry', 'Humans', 'Leukemia/*metabolism', 'Lipids/analysis', 'Lymphocytes/*analysis/enzymology', 'Lymphoma/*metabolism', 'Nucleoproteins/analysis', 'RNA/analysis', 'Sulfhydryl Compounds/analysis']",1971/11/01 00:00,1971/11/01 00:01,['1971/11/01 00:00'],"['1971/11/01 00:00 [pubmed]', '1971/11/01 00:01 [medline]', '1971/11/01 00:00 [entrez]']",,ppublish,Pathol Biol (Paris). 1971 Nov;19(21):1007-22.,210,Cytochimie des cellules lymphoides.,,,,,,
