PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RF,TT,PMC,SI,OID,OTO,OT,GN,OAB,OABL
2991436,NLM,MEDLINE,19850916,20151119,0022-1317 (Print) 0022-1317 (Linking),66 ( Pt 8),,1985 Aug,Variation in susceptibility to avian sarcoma viruses and expression of endogenous avian leukosis virus antigens in specific pathogen-free chicken lines.,1723-31,"Five lines of chickens maintained as specific pathogen-free flocks in Australia were characterized in relation to endogenous antigens and endogenous avian leukosis virus expression. Embryos of line N were predominantly of C/E phenotype, uniformly positive for group-specific antigen and chick helper factor (gs+chf+) and 38% expressed endogenous virus at a very low titre. Embryos of line M4 were uniformly of C/ABE phenotype and were either gs+chf+ or gs-chf+. Line W19 embryos segregated for susceptibility to viruses of subgroup A, B and D and were either of C/E or C/ABE phenotype. The majority of W19 embryos were gs+chf+ with a small proportion being gs+chf-. Line I13 embryos were either of C/0 or C/ABE phenotype, uniformly gs-chf- and 44% of embryos expressed endogenous virus at a low titre. Line S segregated for susceptibility to subgroup E virus and embryos were either of C/E or C/0 phenotype, while the majority of embryos from line S were gs-chf- with some embryos being gs+chf+ or gs-chf+. The degree of interference of gs+chf+ and gs-chf+ phenotypes with subgroup E virus infection was identical with the interference patterns of classical gs+chf+ and gs-chf+ phenotypes. The resistance to infection with avian sarcoma viruses of subgroups E in lines N and M4, and to a degree in line W19, was highly associated with the presence of chf. Resistance to subgroup E virus was independent of chf in lines S and I13, probably being under the control of an independent locus. Cellular restriction of endogenous virus replication existed in all subgroup E virus-susceptible cells of line I13 in contrast to cells of line S which supported replication of endogenous virus. The phenotype of chicken cells for the expression of endogenous gs antigen and chf could accurately be predicted from the test performed on whole blood cells.","['Ignjatovic, J', 'Bagust, T J']","['Ignjatovic J', 'Bagust TJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Gen Virol,The Journal of general virology,0077340,"['0 (Antigens, Viral)']",IM,"['Animals', 'Antigens, Viral/analysis', 'Avian Leukosis/microbiology', 'Avian Leukosis Virus/genetics/*pathogenicity', 'Avian Sarcoma Viruses/genetics/*pathogenicity', 'Cell Line', 'Chick Embryo', 'Chickens', 'Disease Susceptibility', 'Female', 'Male', 'Phenotype', 'Sarcoma, Avian/microbiology', 'Species Specificity']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",['10.1099/0022-1317-66-8-1723 [doi]'],ppublish,J Gen Virol. 1985 Aug;66 ( Pt 8):1723-31. doi: 10.1099/0022-1317-66-8-1723.,,,,,,,,,,,
2991434,NLM,MEDLINE,19850916,20061115,0022-1317 (Print) 0022-1317 (Linking),66 ( Pt 8),,1985 Aug,Viral aetiology of adult T-cell leukaemia.,1641-60,,"['Yamamoto, N', 'Hinuma, Y']","['Yamamoto N', 'Hinuma Y']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,J Gen Virol,The Journal of general virology,0077340,['0 (Viral Proteins)'],IM,"['Adult', 'Animals', 'Cell Line', 'Cloning, Molecular', 'Deltaretrovirus/genetics/*pathogenicity/ultrastructure', 'Genes, Viral', 'Humans', 'Leukemia/*microbiology', 'Retroviridae/genetics/*pathogenicity/ultrastructure', 'Retroviridae Infections/*microbiology/transmission', 'Species Specificity', 'T-Lymphocytes', 'Viral Proteins/analysis']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",['10.1099/0022-1317-66-8-1641 [doi]'],ppublish,J Gen Virol. 1985 Aug;66 ( Pt 8):1641-60. doi: 10.1099/0022-1317-66-8-1641.,,141,,,,,,,,,
2991385,NLM,MEDLINE,19850829,20190723,0022-1759 (Print) 0022-1759 (Linking),81,1,1985 Jul 16,Simple solid-phase radioimmunoassay for human leukemia-associated cell membrane antigens.,55-63,"In the present study, a simple solid-phase radioimmunoassay was developed to determine detergent-extracted human leukemia-associated cell membrane antigens. In the assay, 96-well microtiter plates are coated with human leukemia cell membrane antigens containing a T cell leukemia or a non-T cell leukemia antigen in the presence of a detergent, and treated with 1.6% bovine serum albumin solution. The coated antigens were reacted with an appropriate murine monoclonal antibody (mAb), i.e., SN2 or SN3, which defines a T leukemia antigen or a non-T leukemia antigen, respectively. The bound mAb is determined by a second reaction with 125I-labeled F(ab')2 of goat anti-mouse Ig. The effect of the following detergents on the assay was investigated: Nonidet P-40 (NP-40), Renex 30, deoxycholate, 3-[(3-cholamidopropyl)-dimethylammonio]-1-propanesulfonate (CHAPS) and taurocholate. The best antigen dose-dependent antibody binding results were obtained using the plates coated with antigens in the presence of taurocholate, a rarely used detergent, whereas no significant antibody binding was observed in the assays using 2 nonionic detergents, i.e., NP-40 and Renex 30. In addition, the usefulness of the present assay with taurocholate during the purification of the antigens was demonstrated. It is very likely that the present solid-phase radioimmunoassay using taurocholate will also be useful in determining other non-leukemia cell membrane antigens.","['Matsuzaki, H', 'Fukukawa, T', 'Seon, B K']","['Matsuzaki H', 'Fukukawa T', 'Seon BK']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Detergents)', '27432CM55Q (Serum Albumin, Bovine)']",IM,"['Antibodies, Monoclonal/immunology', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/analysis', 'Cell Line', 'Chromatography, Affinity', 'Deltaretrovirus/*immunology', 'Detergents', 'Humans', 'Leukemia/immunology', 'Radioimmunoassay/*methods', 'Serum Albumin, Bovine']",1985/07/16 00:00,1985/07/16 00:01,['1985/07/16 00:00'],"['1985/07/16 00:00 [pubmed]', '1985/07/16 00:01 [medline]', '1985/07/16 00:00 [entrez]']","['0022-1759(85)90121-8 [pii]', '10.1016/0022-1759(85)90121-8 [doi]']",ppublish,J Immunol Methods. 1985 Jul 16;81(1):55-63. doi: 10.1016/0022-1759(85)90121-8.,"['CA19304/CA/NCI NIH HHS/United States', 'CA37131/CA/NCI NIH HHS/United States']",,,,,,,,,,
2991296,NLM,MEDLINE,19850829,20190903,0171-5216 (Print) 0171-5216 (Linking),110,1,1985,Immortalization of human lymphocytes by co-cultivation with lethally irradiated autologous T-cell lines harbouring human T-cell leukaemia virus-I.,82-4,"Human adult peripheral blood lymphocytes were successfully immortalized by co-cultivation with irradiated autologous and homologous T-cell lines harbouring human T-cell leukaemia virus-I (HTLV-I). The efficiency of transformation was the same in both cases. The participation of alloantigen stimulation in co-cultivation procedures is discussed, and it is stressed that factors other than alloantigen stimulation might be required for the efficient immortalization of human T-lymphocytes in vitro by HTLV.","['Akagi, T', 'Ohtsuki, Y', 'Takahashi, K', 'Takeda, I', 'Oka, T', 'Miyoshi, I']","['Akagi T', 'Ohtsuki Y', 'Takahashi K', 'Takeda I', 'Oka T', 'Miyoshi I']",['eng'],['Journal Article'],Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,['0 (Isoantigens)'],IM,"['Adult', 'Cell Line', '*Cell Transformation, Viral', 'Deltaretrovirus/*growth & development', 'Humans', 'Isoantigens', 'Lymphocytes/immunology/*physiology', 'T-Lymphocytes/*microbiology/radiation effects']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/BF00402508 [doi]'],ppublish,J Cancer Res Clin Oncol. 1985;110(1):82-4. doi: 10.1007/BF00402508.,,,,,,,,,,,
2991244,NLM,MEDLINE,19850829,20210210,0021-9258 (Print) 0021-9258 (Linking),260,16,1985 Aug 5,Mechanism of phorbol diester-induced regulation of surface transferrin receptor involves the action of activated protein kinase C and an intact cytoskeleton.,9419-26,"Phorbol diesters are tumor-promoting agents that cause differentiation of HL60 human leukemic cells and concomitantly regulate surface transferrin receptors. Regulation of transferrin receptors by phorbol diesters involves receptor internalization in association with increased receptor phosphorylation (hyperphosphorylation). The intracellular mechanism of action of phorbol diester involves binding to and activation of the Ca2+-phospholipid-dependent protein kinase (protein kinase C). Present studies comparing results obtained with whole cells and those from a cell-free system reconstituted from purified protein kinase C and transferrin receptor components have revealed that the transferrin receptor is phosphorylated by protein kinase C activated by phorbol esters. Following tryptic digestion and two-dimensional separation of phosphopeptides of phosphorylated transferrin receptors, two major and several minor phosphoserine-containing fragments are resolved. These fragments are identical whether transferrin receptor is phosphorylated in whole cells incubated with phorbol diesters or following phosphorylation of affinity immobilized transferrin receptor in the in vitro reconstitution system. Phosphoamino acid analysis of these fragments indicates that serine is the only amino acid phosphorylated in whole cells or in the cell-free system. In addition, colchicine is shown to inhibit in a dose-dependent manner phorbol diester-induced internalization but not hyperphosphorylation of the surface transferrin receptor in whole cells. This inhibition is specific for colchicine since inactive beta- and gamma-Lumicolchicine have no such effect, while taxol reverses the inhibition. These results indicate that the phorbol diester-mediated process of down-regulation of the surface transferrin receptor is associated with phosphorylation of the receptor by activated protein kinase C and requires an intact cytoskeleton to affect receptor internalization.","['May, W S', 'Sahyoun, N', 'Jacobs, S', 'Wolf, M', 'Cuatrecasas, P']","['May WS', 'Sahyoun N', 'Jacobs S', 'Wolf M', 'Cuatrecasas P']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Phorbols)', '0 (Receptors, Cell Surface)', '0 (Receptors, Transferrin)', '0 (Transferrin)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Line', 'Cytoskeleton/drug effects/*metabolism', 'Humans', 'Kinetics', 'Leukemia, Myeloid, Acute', 'Phorbols/*pharmacology', 'Protein Kinase C', 'Protein Kinases/*metabolism', 'Receptors, Cell Surface/drug effects/*metabolism', 'Receptors, Transferrin', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Transferrin/*metabolism']",1985/08/05 00:00,1985/08/05 00:01,['1985/08/05 00:00'],"['1985/08/05 00:00 [pubmed]', '1985/08/05 00:01 [medline]', '1985/08/05 00:00 [entrez]']",['S0021-9258(17)39383-3 [pii]'],ppublish,J Biol Chem. 1985 Aug 5;260(16):9419-26.,"['2P01 AM27157-07/AM/NIADDK NIH HHS/United States', '5P01 CA06973-22/CA/NCI NIH HHS/United States']",,,,,,,,,,
2991228,NLM,MEDLINE,19850828,20210210,0021-9258 (Print) 0021-9258 (Linking),260,15,1985 Jul 25,"Relationships between in vitro selenium supply, glutathione peroxidase activity, and phagocytic function in the HL-60 human myeloid cell line.",8951-5,"Utilizing the HL-60 human promyelocytic leukemia cell line cultured in defined medium, we examined the quantitative and temporal relationships between Se supply and the activity of the selenoenzyme glutathione peroxidase, as well as the effects of selenium deficiency on phagocytic function. Glutathione peroxidase activity depended on the medium Se concentration up to 2.6 X 10(-8) M (sodium selenate, 5 ng/ml), above which a plateau occurred. HL-60 cells grown in medium without Se supplementation became GSH peroxidase deficient, with activity 1-3% that of Se-replete cells. Replenishment of the medium with sodium selenate returned enzyme activity to 23% that of replete cells by 24 h and to 85% by 7 days, a process blocked by cycloheximide. Se-deficient HL-60 cells induced to granulocytic differentiation by dimethylformamide showed decreased hexose monophosphate shunt activity in response to phorbol myristate acetate and to an exogenous enzymatic H2O2-generating system. However, Se-deficient and -replete cells showed equal responses to methylene blue, which stimulates the shunt independently from the glutathione cycle. Se-deficient mature HL-60 cells stimulated with phorbol myristate acetate released 2.3-fold more H2O2 than Se-replete cells and only slightly (not significantly) less O2. Se-deficient and -replete differentiated HL-60 cells did not differ significantly in their capacities for cell motility or for ingestion of serum-opsonized bacteria. Differences between the findings of the present study and previous in vivo rat studies may reflect both the defined in vitro environment of the cell line and the inverse ratios of catalase and glutathione peroxidase activities in human and rat granulocytes.","['Speier, C', 'Baker, S S', 'Newburger, P E']","['Speier C', 'Baker SS', 'Newburger PE']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['11062-77-4 (Superoxides)', 'BBX060AN9V (Hydrogen Peroxide)', 'EC 1.11.1.9 (Glutathione Peroxidase)', 'H6241UJ22B (Selenium)']",IM,"['Cell Line', 'Cell Movement', 'Dose-Response Relationship, Drug', 'Glutathione Peroxidase/*analysis', 'Humans', 'Hydrogen Peroxide/metabolism', 'Leukemia, Myeloid, Acute/enzymology/immunology/*metabolism', 'Pentose Phosphate Pathway', '*Phagocytosis/drug effects', 'Selenium/deficiency/*pharmacology', 'Superoxides/metabolism']",1985/07/25 00:00,1985/07/25 00:01,['1985/07/25 00:00'],"['1985/07/25 00:00 [pubmed]', '1985/07/25 00:01 [medline]', '1985/07/25 00:00 [entrez]']",['S0021-9258(17)39441-3 [pii]'],ppublish,J Biol Chem. 1985 Jul 25;260(15):8951-5.,['CA-38325/CA/NCI NIH HHS/United States'],,,,,,,,,,
2991147,NLM,MEDLINE,19850919,20190708,0020-7136 (Print) 0020-7136 (Linking),36,2,1985 Aug 15,Host cell range of adult T-cell leukemia virus. I. Viral infectivity and binding to various cells as detected by flow cytometry.,191-8,"Adult T-cell leukemia virus is the member of a human type-C retrovirus family (HTLV) found to be associated with adult T-cell leukemia (ATL) in Japan. In our study, HTLV was isolated from the MT-2 cell line, purified on sucrose gradient and labelled with fluorescein-isothiocyanate (FITC-HTLV). The protein pattern of the virus was determined by SDS-gel electrophoresis and assured by Western blotting using ATL patient serum. Fresh human lymphocytes, separated B and T cells, mouse and rabbit lymphocytes, mouse fibroblasts, and 13 different tumor cell lines were tested in parallel for binding of FITC-HTLV and infectability by the virus. Virus binding to cell receptors was assayed by flow cytometry. Successful infection was monitored by following the expression of HTLV-determined antigen (HTLA). Most of the cells bound FITC-HTLV at levels ranging from 5% to 130% of the MT-2 cell binding. Only fresh human T, mouse and rabbit lymphocytes were infectable by cell-free virus preparations. The results demonstrate that HTLV receptors are present on different types of cells of both human and animal origin, and that infection by the virus is restricted to fewer host cells but not limited to a specific class of human lymphocytes.","['Sinangil, F', 'Harada, S', 'Purtilo, D T', 'Volsky, D J']","['Sinangil F', 'Harada S', 'Purtilo DT', 'Volsky DJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Fluoresceins)', '0 (Receptors, Virus)', '0 (Thiocyanates)', 'I223NX31W9 (Fluorescein-5-isothiocyanate)']",IM,"['Animals', 'Callitrichinae', 'Cell Line', 'Deltaretrovirus/growth & development/metabolism/*physiology', 'Erythrocytes', 'Fibroblasts', 'Flow Cytometry', 'Fluorescein-5-isothiocyanate', 'Fluoresceins', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia', 'Lymphocytes', 'Lymphoma', 'Mice', 'Mice, Inbred BALB C', 'Neoplasms', 'Rabbits', 'Receptors, Virus/*metabolism', 'Spleen', 'Thiocyanates', 'Virus Cultivation']",1985/08/15 00:00,1985/08/15 00:01,['1985/08/15 00:00'],"['1985/08/15 00:00 [pubmed]', '1985/08/15 00:01 [medline]', '1985/08/15 00:00 [entrez]']",['10.1002/ijc.2910360211 [doi]'],ppublish,Int J Cancer. 1985 Aug 15;36(2):191-8. doi: 10.1002/ijc.2910360211.,['CA37465/CA/NCI NIH HHS/United States'],,,,,,,,,,
2991130,NLM,MEDLINE,19850923,20181113,0019-2805 (Print) 0019-2805 (Linking),55,4,1985 Aug,Some early events in the primary mitogenic stimulation of lymphocytes differ from later interleukin stimulation and other quiescence to growth activation systems.,685-92,"The requirement for activity of the enzyme ADP-ribosyl transferase (ADPRT) and changes in single-strand DNA breaks were assessed during the initial stimulation of quiescent murine splenic lymphocytes with mitogen alone, the stimulation of activated blasts with IL-2-containing medium and, for comparison, the serum stimulation of quiescent fibroblasts and the induction of haemoglobin synthesis in an erythromyeloid cell line K562. Inhibitors of ADPRT, at concentrations previously found to have no effect on the proliferation of lymphoblastoid cell lines, blocked the stimulation of spleen cells by Con A or LPS; non-inhibitory analogues had much less effect. No early increase in ADPRT activity after mitogenic stimulation was detectable. The rejoining of single-strand breaks was observed after stimulation of splenic lymphocytes with Con A, but not consistently with LPS. Conversely, ADPRT inhibitors had only little effect on the IL-2-induced stimulation of Con A blasts, and no effect on the stimulation of fibroblasts or K562. Neither were any changes in strand breaks associated with these systems. These findings implicate ADPRT activity and the rejoining of strand breaks in the early mitogenic response as being distinct from later IL-2 activation and changes from quiescence to growth in other cell types.","['Johnstone, A P', 'Darling, D']","['Johnstone AP', 'Darling D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Immunology,Immunology,0374672,"['0 (Benzamides)', '0 (DNA, Single-Stranded)', '0 (Interleukin-2)', '0 (Mitogens)', 'EC 2.4.2.30 (Poly(ADP-ribose) Polymerases)', 'EC 2.7.7.- (Nucleotidyltransferases)', 'M8502TLK98 (3-methoxybenzamide)']",IM,"['Animals', 'Benzamides/pharmacology', 'Cell Division/drug effects', 'Cell Line', 'DNA Repair', 'DNA, Single-Stranded/metabolism', 'Fibroblasts/cytology', 'Interleukin-2/*immunology', 'Leukemia, Myeloid/metabolism', '*Lymphocyte Activation/drug effects', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C', 'Mitogens/*pharmacology', 'Nucleotidyltransferases/antagonists & inhibitors/metabolism', 'Poly(ADP-ribose) Polymerases']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Immunology. 1985 Aug;55(4):685-92.,,,,PMC1453789,,,,,,,
2991061,NLM,MEDLINE,19850912,20061115,0910-5050 (Print) 0910-5050 (Linking),76,6,1985 Jun,Oral transmission of human T-cell leukemia virus type-I into a common marmoset (Callithrix jacchus) as an experimental model for milk-borne transmission.,481-7,"To obtain experimental support for possible milk-borne infection of human T-cell leukemia virus type-I (HTLV-I), short-term-cultured viral antigen-positive lymphocytes obtained from peripheral blood of adult T-cell leukemia lymphoma complex (ATLL) patients were inoculated into the oral cavity of two adult common marmosets (Callithrix jacchus) in amounts comparable to those of HTLV-I-carrying cells fed to a baby in the milk of seropositive mothers. One of the animals seroconverted 2.5 months after the first inoculation. Cultures of peripheral blood mononuclear leukocytes of the marmoset revealed HTLV-I antigen expression in cells, indicating the establishment of oral infection of HTLV-I in an adult marmoset. The cell number deduced to be responsible for the infection was 5.6 X 10(7) cells (used in the first 2 inoculations). The results suggest that the concept of milk-borne infection of HTLV-I from a seropositive mother to her child is plausible.","['Yamanouchi, K', 'Kinoshita, K', 'Moriuchi, R', 'Katamine, S', 'Amagasaki, T', 'Ikeda, S', 'Ichimaru, M', 'Miyamoto, T', 'Hino, S']","['Yamanouchi K', 'Kinoshita K', 'Moriuchi R', 'Katamine S', 'Amagasaki T', 'Ikeda S', 'Ichimaru M', 'Miyamoto T', 'Hino S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antigens, Viral)']",IM,"['Administration, Oral', 'Animals', 'Antigens, Viral/*analysis', 'Callitrichinae', 'Deltaretrovirus/*immunology', 'Leukemia/*transmission', 'Lymphocytes/microbiology', 'Milk/*microbiology', '*Models, Biological', 'Retroviridae Infections/transmission']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Jpn J Cancer Res. 1985 Jun;76(6):481-7.,,,,,,,,,,,
2991060,NLM,MEDLINE,19850912,20061115,0910-5050 (Print) 0910-5050 (Linking),76,6,1985 Jun,Mother-to-child transmission of human T-cell leukemia virus type-I.,474-80,"By screening sera obtained from 5015 pregnant women under the care of 9 gynecology/obstetrics departments of hospitals or clinics in Nagasaki City and its surrounding areas, 187 were found to be positive for antibody against adult T-cell leukemia-associated antigen (ATLA). The prevalence of seropositive pregnant women was consistent with that of blood donors in the age group of 16 to 29 years, taken as controls. Essentially all cord blood samples (113/115) of babies born from these seropositive mothers were positive for anti-ATLA of IgG class. These IgG antibodies in the babies diminished rapidly after delivery, and were detectable only in 3 cases at 2, 3, and 5 months of ages out of 38 babies up to 21 months. None of 115 cord bloods so far tested was positive either for anti-ATLA of IgM class or for ATLA-bearing lymphocytes after short-term cultures of the rosette-forming T-lymphocytes. Two of the babies born from 38 seropositive mothers were found seroconverted between the ages of 12 and 19 months. Three out of 20 elder siblings were found seropositive at ages of 3 to 6 years. The seropositive rate in these siblings was significantly higher than that of controls. Moreover, 12 out of 13 mothers traced back from seropositive students were found seropositive. These data indicate strongly that HTLV-I is transmitted from seropositive mothers to their children as a major pathway.","['Hino, S', 'Yamaguchi, K', 'Katamine, S', 'Sugiyama, H', 'Amagasaki, T', 'Kinoshita, K', 'Yoshida, Y', 'Doi, H', 'Tsuji, Y', 'Miyamoto, T']","['Hino S', 'Yamaguchi K', 'Katamine S', 'Sugiyama H', 'Amagasaki T', 'Kinoshita K', 'Yoshida Y', 'Doi H', 'Tsuji Y', 'Miyamoto T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Jpn J Cancer Res,Japanese journal of cancer research : Gann,8509412,"['0 (Antibodies, Viral)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)']",IM,"['Age Factors', 'Antibodies, Viral/analysis', 'Deltaretrovirus/*immunology', 'Female', 'Fetal Blood/analysis', 'Follow-Up Studies', 'Humans', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Lymphocytes/microbiology', '*Maternal-Fetal Exchange', 'Pregnancy']",1985/06/01 00:00,1985/06/01 00:01,['1985/06/01 00:00'],"['1985/06/01 00:00 [pubmed]', '1985/06/01 00:01 [medline]', '1985/06/01 00:00 [entrez]']",,ppublish,Jpn J Cancer Res. 1985 Jun;76(6):474-80.,,,,,,,,,,,
2991031,NLM,MEDLINE,19850823,20061115,0015-5500 (Print) 0015-5500 (Linking),31,2,1985,Partial sequence homology between retroviruses of various species in the C-terminal part of the env gene.,93-106,"We determined the nucleotide sequence of a molecularly cloned cDNA from the endogenous cat virus RD114. Comparison of the nucleotide sequence and the deduced amino acid sequence, respectively, with other known sequences of retroviruses revealed two conserved domains in the viral transmembrane protein, which we relate to structural features of the protein.","['Drescher, B', 'Mohring, R', 'Winkler, J', 'Nyakatura, G', 'Rosenthal, S']","['Drescher B', 'Mohring R', 'Winkler J', 'Nyakatura G', 'Rosenthal S']",['eng'],['Journal Article'],Czech Republic,Folia Biol (Praha),Folia biologica,0234640,"['0 (DNA, Viral)', '0 (Viral Envelope Proteins)']",IM,"['Amino Acid Sequence', 'Animals', 'Avian Sarcoma Viruses/genetics', 'Base Sequence', 'Cats/genetics', 'Cattle/genetics', 'Chickens/genetics', 'DNA, Viral/*genetics', 'Deltaretrovirus/genetics', '*Genes, Viral', 'Humans', 'Leukemia Virus, Bovine/genetics', 'Leukemia Virus, Murine/genetics', 'Mice/genetics', 'Phylogeny', 'Retroviridae/*genetics', 'Species Specificity', 'Viral Envelope Proteins/*genetics']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Folia Biol (Praha). 1985;31(2):93-106.,,,,,,,,,,,
2991027,NLM,MEDLINE,19850823,20211203,0015-5500 (Print) 0015-5500 (Linking),31,2,1985,Human genome: proto-oncogenes and proretroviruses.,121-34,"A brief review of the studies undertaken at the Laboratory for Molecular Bases of Oncogenesis (Institute of Molecular Biology, Moscow) till middle of 1984 is presented. The human genome contains multiple dispersed nucleotide sequences related to the proto-oncogene mos and to proretroviral sequences in tight juxtaposition to each other. From sequencing appropriate cloned fragments of human DNA in phage and plasmid vectors it follows that one of these regions, NV-1, is a pseudogene of proto-mos with partial duplications and two Alu elements intervening its coding sequence, and the other, CL-1, seems to be also a mos-related gene with a deletion of the internal part of the structural gene. CL-1 is flanked by a proretroviral-like sequence including tRNAiMet binding site and U5 (part of the long terminal repeat). The proretroviral-like sequences are transcribed in 21-35S poly(A)+RNA abundant in normal and malignant human cells. Two hypotheses are proposed: endogenous retroviruses take part in amplification of at least some proto-oncogenes; proto-oncogenes are inactivated via insertion of movable genetic elements and conversion into pseudogenes. Potential oncogenicity of a normal human genome undergoes two controversial influences: it increases due to proto-oncogene amplification and decreases due to inactivation of some of them.","['Kisselev, L L', 'Chumakov, I M', 'Zabarovsky, E R', 'Prassolov, V S', 'Mett, V L', 'Berditchevsky, F B', ""Tret'yakov, L D""]","['Kisselev LL', 'Chumakov IM', 'Zabarovsky ER', 'Prassolov VS', 'Mett VL', 'Berditchevsky FB', ""Tret'yakov LD""]",['eng'],['Journal Article'],Czech Republic,Folia Biol (Praha),Folia biologica,0234640,"['0 (MAS1 protein, human)', '0 (Proto-Oncogene Mas)', '9007-49-2 (DNA)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Base Sequence', 'Cloning, Molecular', 'DNA/analysis', 'DNA Restriction Enzymes', 'Female', 'Gene Amplification', 'Gene Expression Regulation', 'Genes, Viral', 'Humans', 'Models, Genetic', 'Moloney murine leukemia virus/genetics', '*Oncogenes', 'Placenta/analysis', 'Proto-Oncogene Mas', 'Repetitive Sequences, Nucleic Acid', 'Retroviridae/*genetics']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Folia Biol (Praha). 1985;31(2):121-34.,,,,,,,,,,,
2991026,NLM,MEDLINE,19850823,20061115,0015-5500 (Print) 0015-5500 (Linking),31,2,1985,Molecular cloning of integrated proviral DNA of bovine leukaemia virus from virus-producing foetal lamb kidney cells.,115-20,"Over 90% of the total viral information together with the adjacent 5' cellular sequences were cloned in the lambdoid spi selection vector lambda-2558 by taking advantage of the unique EcoRI restriction site very close to the 3' long terminal repeat. Of the fifteen isolated recombinant phages with viral inserts, one has been propagated and its DNA isolated and subjected to preliminary restriction endonuclease analysis. The proviral insert has been found to be almost identical to the unintegrated proviral DNA reported by Kashmiri et al. (1984).","['Nyakatura, G', 'Jantschak, J', 'Notzel, U', 'Prosch, S', 'Rosenthal, S', 'Rosenthal, H A']","['Nyakatura G', 'Jantschak J', 'Notzel U', 'Prosch S', 'Rosenthal S', 'Rosenthal HA']",['eng'],['Journal Article'],Czech Republic,Folia Biol (Praha),Folia biologica,0234640,"['0 (DNA, Viral)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Animals', 'Bacteriophage lambda', 'Cell Line', 'Cloning, Molecular', 'DNA Restriction Enzymes', 'DNA, Viral/*genetics', 'Escherichia coli/genetics', 'Genetic Vectors', 'Kidney', 'Leukemia Virus, Bovine/*genetics', 'Retroviridae/*genetics', 'Sheep', 'Virus Cultivation']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",,ppublish,Folia Biol (Praha). 1985;31(2):115-20.,,,,,,,,,,,
