PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,GR,TT,AD,SI
6957698,NLM,MEDLINE,19821221,20190821,0022-4790 (Print) 0022-4790 (Linking),21,3,1982 Nov,Erythrocyte survival studies in a rat myelogenous leukemia.,199-203,"To determine the extent intrinsic erythrocyte defects and/or extrinsic factors were involved in anemia of rats bearing Shay chloroleukemia (SCL), survival of 3H-DFP labeled erythrocytes was studied in leukemic and nonleukemic hosts. Red blood cells labeled before induction of leukemia, were rapidly lost from the peripheral circulation of SCL rats in terminal stages of disease. However, labeled erythrocytes from terminal SCL animals displayed normal lifespans when transfused into nonleukemic controls. Thus the anemia of this leukemia probably resulted from extrinsic factors associated with the leukemic process. Hemorrhage appeared to be primarily responsible for the anemia of this disease.","['Derelanko, M J', 'Meagher, R C', 'Lobue, J', 'Khouri, J A', 'Gordon, A S']","['Derelanko MJ', 'Meagher RC', 'Lobue J', 'Khouri JA', 'Gordon AS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Surg Oncol,Journal of surgical oncology,0222643,"['10028-17-8 (Tritium)', '12UHW9R67N (Isoflurophate)']",IM,"['Anemia/*blood/etiology', 'Animals', '*Erythrocyte Aging', 'Erythrocyte Count', 'Hematocrit', 'Hemorrhage', 'Isoflurophate', 'Leukemia, Experimental/blood/mortality', 'Leukemia, Myeloid/*blood/mortality', 'Male', 'Neoplasm Transplantation', 'Rats', 'Time Factors', 'Tritium']",1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",['10.1002/jso.2930210314 [doi]'],ppublish,J Surg Oncol. 1982 Nov;21(3):199-203. doi: 10.1002/jso.2930210314.,,['5-R01-HLB-03357-20/HL/NHLBI NIH HHS/United States'],,,
6957686,NLM,MEDLINE,19821218,20071115,0300-8630 (Print) 0300-8630 (Linking),194,4,1982 Jul-Aug,[Estimation of tumor cell mass in childhood acute lymphoblastic leukemia: prognostic significance and practical application].,209-13,"A retrospective statistical analysis of the acute lymphoblastic leukemia study BFM 70/76 revealed the prognosis being strongly dependent on the initial leukemia cell count/mm3 in the peripheral blood, and the enlargement of liver and spleen below the costal margin. Based on postmortem examinations reported in the literature a method was developed to estimate the tumor mass in these three compartments in an order of magnitude. The estimated blast cell mass related to the patient's body weight proved to be highly significant (p much less than 0.001). Simplification of the method led to the definition of a ""risk factor"" allowing the separation of patients into 3 groups with a distinctly different risk for relapse. In the current study BFM 81 the risk factor is used to stratify patients with respect to the individually needed therapeutic intensity.","['Langermann, H J', 'Henze, G', 'Wulf, M', 'Riehm, H']","['Langermann HJ', 'Henze G', 'Wulf M', 'Riehm H']",['ger'],"['English Abstract', 'Journal Article']",Germany,Klin Padiatr,Klinische Padiatrie,0326144,,IM,"['Adolescent', 'Body Weight', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/pathology/*therapy', 'Leukocyte Count', 'Liver/pathology', 'Male', 'Mathematics', 'Palpation', 'Prognosis', 'Retrospective Studies', 'Risk', 'Spleen/pathology']",1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1055/s-2008-1033807 [doi]'],ppublish,Klin Padiatr. 1982 Jul-Aug;194(4):209-13. doi: 10.1055/s-2008-1033807.,,,Abschatzung der Tumorzellmasse bei der akuten lymphoblastischen Leukamie im Kindesalter: prognostische Bedeutung und praktische Anwendung.,,
6957685,NLM,MEDLINE,19821218,20071115,0300-8630 (Print) 0300-8630 (Linking),194,4,1982 Jul-Aug,[Frequency and therapy results of testicular relapse in childhood acute lymphoblastic leukemia].,204-8,,"['Fengler, R', 'Henze, G', 'Langermann, H J', 'Bramswig, J', 'Jobke, A', 'Kornhuber, B', 'Ludwig, R', 'Ritter, J', 'Riehm, H']","['Fengler R', 'Henze G', 'Langermann HJ', 'Bramswig J', 'Jobke A', 'Kornhuber B', 'Ludwig R', 'Ritter J', 'Riehm H']",['ger'],"['English Abstract', 'Journal Article']",Germany,Klin Padiatr,Klinische Padiatrie,0326144,,IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy/radiotherapy/surgery', 'Leukocyte Count', 'Male', 'Prognosis', 'Recurrence', 'Testicular Neoplasms/*drug therapy/radiotherapy/surgery', 'Time Factors']",1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1055/s-2008-1033806 [doi]'],ppublish,Klin Padiatr. 1982 Jul-Aug;194(4):204-8. doi: 10.1055/s-2008-1033806.,,,Haufigkeit und Behandlungsergebnisse testikularer Rezidive bei der akuten lymphoblastischen Leukamie im Kindesalter.,,
6957684,NLM,MEDLINE,19821218,20151119,0300-8630 (Print) 0300-8630 (Linking),194,4,1982 Jul-Aug,[Acute lymphoblastic leukemia therapy study BFM 79/81 in children and adolescents: intensified reinduction therapy for patients with different risk for relapse].,195-203,,"['Henze, G', 'Langermann, H J', 'Fengler, R', 'Brandeis, M', 'Evers, K G', 'Gadner, H', 'Hinderfeld, L', 'Jobke, A', 'Kornhuber, B', 'Lampert, F', 'Lasson, U', 'Ludwig, R', 'Muller-Weihrich, S', 'Neidhardt, M', 'Nessler, G', 'Niethammer, D', 'Rister, M', 'Ritter, J', 'Schaaff, A', 'Schellong, G', 'Stollmann, B', 'Treuner, J', 'Wahlen, W', 'Weinel, P', 'Wehinger, H', 'Riehm, H']","['Henze G', 'Langermann HJ', 'Fengler R', 'Brandeis M', 'Evers KG', 'Gadner H', 'Hinderfeld L', 'Jobke A', 'Kornhuber B', 'Lampert F', 'Lasson U', 'Ludwig R', 'Muller-Weihrich S', 'Neidhardt M', 'Nessler G', 'Niethammer D', 'Rister M', 'Ritter J', 'Schaaff A', 'Schellong G', 'Stollmann B', 'Treuner J', 'Wahlen W', 'Weinel P', 'Wehinger H', 'Riehm H']",['ger'],"['Clinical Trial', 'English Abstract', 'Journal Article', 'Randomized Controlled Trial']",Germany,Klin Padiatr,Klinische Padiatrie,0326144,"['5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Prednisone/therapeutic use', 'Prognosis', 'Recurrence', 'Risk', 'Time Factors', 'Vincristine/therapeutic use']",1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1055/s-2008-1033805 [doi]'],ppublish,Klin Padiatr. 1982 Jul-Aug;194(4):195-203. doi: 10.1055/s-2008-1033805.,,,Therapiestudie BFM 79/81 zur Behandlung der akuten lymphoblastischen Leukamie bei Kindern und Jugendlichen: intensivierte Reinduktionstherapie fur Patientengruppen mit unterschiedlichem Rezidivrisiko.,,
6957649,NLM,MEDLINE,19821218,20051117,0027-8874 (Print) 0027-8874 (Linking),69,5,1982 Nov,Second cancers following radiotherapy for cervical cancer.,1027-33,"Incidence of second primary cancers was evaluated in 7,127 women with invasive cancer of the cervix uteri, diagnosed between 1935 and 1978, and followed up to 38 years (average, 8.9 yr) in Connecticut. Among 5,997 women treated with radiation, 449 developed second primary cancers compared with 313 expected (relative risk = 1.4) on the basis of rates from the Connecticut Tumor Registry. Excess incidence was noticeable 15 years or more after radiotherapy and attributed mostly to cancers of sites in or near the radiation field, especially the bladder, kidneys, rectum, corpus uteri, and ovaries. No excess was found for these sites among the 1,130 nonirradiated women. The ratio of observed to expected cancers for these sites did not vary appreciably by age at irradiation. The data suggested that high-dose pelvic irradiation was associated with increase in cancers of the bladder, kidneys, rectum, ovaries, corpus uteri, and non-Hodgkin's lymphoma but, apparently, not leukemia, Hodgkin's disease, breast cancer, or colon cancer.","['Kleinerman, R A', 'Curtis, R E', 'Boice, J D Jr', 'Flannery, J T', 'Fraumeni, J F Jr']","['Kleinerman RA', 'Curtis RE', 'Boice JD Jr', 'Flannery JT', 'Fraumeni JF Jr']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adult', 'Age Factors', 'Aged', 'Female', 'Follow-Up Studies', 'Humans', 'Middle Aged', 'Neoplasms, Multiple Primary/*etiology', 'Neoplasms, Radiation-Induced/*epidemiology', 'Radiotherapy/*adverse effects', 'Radiotherapy Dosage', 'Risk', 'Uterine Cervical Neoplasms/*radiotherapy']",1982/11/01 00:00,2001/03/28 10:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1982/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1982 Nov;69(5):1027-33.,,,,,
6957645,NLM,MEDLINE,19821218,20190904,0021-5295 (Print) 0021-5295 (Linking),44,3,1982 Jun,A case of myeloid leukaemia (eosinophilic) in swine.,529-33,,"['Kashima, T', 'Nomura, T', 'Arai, S', 'Nomura, Y', 'Tsuchiya, T', 'Saito, Y']","['Kashima T', 'Nomura T', 'Arai S', 'Nomura Y', 'Tsuchiya T', 'Saito Y']",['eng'],"['Case Reports', 'Journal Article']",Japan,Nihon Juigaku Zasshi,Nihon juigaku zasshi. The Japanese journal of veterinary science,0057113,,IM,"['Animals', 'Eosinophils', 'Female', 'Leukemia, Myeloid/pathology/ultrastructure/*veterinary', 'Swine', 'Swine Diseases/*pathology']",1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",['10.1292/jvms1939.44.529 [doi]'],ppublish,Nihon Juigaku Zasshi. 1982 Jun;44(3):529-33. doi: 10.1292/jvms1939.44.529.,,,,,
6957641,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[Ataxia telangiectasia and acute lymphocytic leukemia. A case report of long-term survival].,757-61,,"['Kawakatsu, H', 'Tominaga, M', 'Hayashi, S', 'Todo, S', 'Arakawa, S', 'Imashuku, S', 'Miyake, M']","['Kawakatsu H', 'Tominaga M', 'Hayashi S', 'Todo S', 'Arakawa S', 'Imashuku S', 'Miyake M']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Ataxia Telangiectasia/*complications', 'Child', 'Female', 'Humans', 'Leukemia, Lymphoid/etiology/*mortality', 'Time Factors']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):757-61.,,,,,
6957640,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[Lymphosarcoma-like relapse in a case of acute lymphoblastic leukemia in complete remission].,749-56,,"['Kimoto, M', 'Murakami, Y', 'Morinaga, S', 'Yamaguchi, H', 'Asai, I', 'Tsukada, T', 'Matsuya, S', 'Kamiyama, R']","['Kimoto M', 'Murakami Y', 'Morinaga S', 'Yamaguchi H', 'Asai I', 'Tsukada T', 'Matsuya S', 'Kamiyama R']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Humans', 'Leukemia/*pathology/ultrastructure', 'Leukemia, Lymphoid/*pathology/ultrastructure', 'Male']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):749-56.,,,,,
6957639,NLM,MEDLINE,19821218,20061115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[A case of chronic myelomonocytic leukemia (CMMoL) in blastic crisis accompanied by the alteration of the blood type].,692-9,,"['Hori, K', 'Kimura, N', 'Hyoudou, T', 'Niho, Y', 'Miyake, T', 'Kunihiro, K', 'Nakamura, K', 'Oka, Y', 'Matsuo, S', 'Otsuka, M']","['Hori K', 'Kimura N', 'Hyoudou T', 'Niho Y', 'Miyake T', 'Kunihiro K', 'Nakamura K', 'Oka Y', 'Matsuo S', 'Otsuka M']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['0 (ABO Blood-Group System)'],IM,"['*ABO Blood-Group System', 'Chromosomes, Human, 1-3', 'Chromosomes, Human, 21-22 and Y', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Male', 'Middle Aged', 'Translocation, Genetic']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):692-9.,,,,,
6957638,NLM,MEDLINE,19821218,20061115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[A case of chronic myelomonocytic leukemia occurring in a family with three cases of leukemia].,684-91,,"['Utsumi, M', 'Ohnishi, K', 'Yamada, H', 'Hirabayashi, N', 'Fukaya, T', 'Shibata, T']","['Utsumi M', 'Ohnishi K', 'Yamada H', 'Hirabayashi N', 'Fukaya T', 'Shibata T']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Aged', 'Humans', 'Leukemia, Myeloid/*genetics/pathology', 'Male', 'Pedigree']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):684-91.,,,,,
6957636,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[Acute myeloblastic leukemia with Auer bodies in mature segmented neutrophils. Report of a case].,666-70,,"['Kimoto, M', 'Morinaga, S', 'Yamaguchi, H', 'Asai, I', 'Tsukada, T', 'Matsuya, S', 'Kamiyama, R']","['Kimoto M', 'Morinaga S', 'Yamaguchi H', 'Asai I', 'Tsukada T', 'Matsuya S', 'Kamiyama R']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Cytoplasmic Granules/ultrastructure', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Neutrophils/*ultrastructure']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):666-70.,,,,,
6957635,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,5,1982 May,[Monocyte bactericidal function in childhood leukemia].,604-7,,"['Hashimoto, T', 'Yatabe, M', 'Shimada, K', 'Tsuji, E', 'Higashi, O']","['Hashimoto T', 'Yatabe M', 'Shimada K', 'Tsuji E', 'Higashi O']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Blood Bactericidal Activity', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*blood', 'Male', 'Monocytes/*immunology', '*Phagocytosis']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 May;23(5):604-7.,,,,,
6957634,NLM,MEDLINE,19821218,20131121,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[An autopsy case of acute myeloid leukemia in preleukemic stage characterized by a transient response to the oxymetholone therapy].,527-32,,"['Arashi, K', 'Hoshimoto, Y', 'Inoue, T', 'Aibiki, T', 'Yokoyama, N', 'Higo, O']","['Arashi K', 'Hoshimoto Y', 'Inoue T', 'Aibiki T', 'Yokoyama N', 'Higo O']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['L76T0ZCA8K (Oxymetholone)'],IM,"['Aged', 'Anemia, Aplastic/drug therapy', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Oxymetholone/*therapeutic use', 'Preleukemia/*drug therapy']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):527-32.,,,,,
6957633,NLM,MEDLINE,19821218,20061115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[Development of basophilic leukemia with trisomy 8 and atypical erythroblastosis in a patient with a history of aplastic anemia 22 years earlier].,519-26,,"['Chiku, Y', 'Sato, Y', 'Abe, Y', 'Kano, Y', 'Kuratomi, Y', 'Maezawa, M', 'Sakamoto, S', 'Takaku, F', 'Miura, Y', 'Moriyama, S', 'Mizoguchi, H', 'Oshimura, M']","['Chiku Y', 'Sato Y', 'Abe Y', 'Kano Y', 'Kuratomi Y', 'Maezawa M', 'Sakamoto S', 'Takaku F', 'Miura Y', 'Moriyama S', 'Mizoguchi H', 'Oshimura M']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Anemia, Aplastic/*complications', 'Basophils/pathology', '*Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Leukemia, Erythroblastic, Acute/*etiology', 'Leukemia, Myeloid/*etiology/genetics', 'Time Factors', '*Trisomy']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):519-26.,,,,,
6957632,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[A case of childhood acute lymphoblastic leukemia associated with cutaneous mucormycosis].,511-8,,"['Ito, T', 'Mori, H', 'Takeda, A', 'Suzuki, H', 'Sonoda, K', 'Tanno, K', 'Nagao, S']","['Ito T', 'Mori H', 'Takeda A', 'Suzuki H', 'Sonoda K', 'Tanno K', 'Nagao S']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Age Factors', 'Child', 'Dermatomycoses', 'Humans', 'Leukemia/blood', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Mucormycosis/*etiology']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):511-8.,,,,,
6957631,NLM,MEDLINE,19821218,20061115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[A pediatric case of lymphoid crisis with high TdT activity in the blast phase of adult type CML].,493-9,,"['Shimabukuro, J', 'Kaneko, T', 'Taguchi, N', 'Morikawa, Y', 'Enomoto, Y', 'Watanabe, S']","['Shimabukuro J', 'Kaneko T', 'Taguchi N', 'Morikawa Y', 'Enomoto Y', 'Watanabe S']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Age Factors', 'Child, Preschool', 'DNA Nucleotidylexotransferase/*blood', 'DNA Nucleotidyltransferases/*blood', 'Humans', 'Leukemia, Myeloid/*blood', 'Lymphocytes/enzymology/*pathology', 'Male']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):493-9.,,,,,
6957630,NLM,MEDLINE,19821218,20061115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[2 cases of chronic myelogenous leukemia with megakaryocytic transformation].,484-92,,"['Ino, T', 'Saito, M', 'Shigemura, H', 'Morishita, Y', 'Hirano, M', 'Shamoto, M']","['Ino T', 'Saito M', 'Shigemura H', 'Morishita Y', 'Hirano M', 'Shamoto M']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adult', 'Bone Marrow/pathology', 'Cell Transformation, Neoplastic', 'Humans', 'Leukemia, Myeloid/blood/*pathology', 'Male', 'Megakaryocytes/*pathology', 'Middle Aged']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):484-92.,,,,,
6957629,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[Treatment of acute nonlymphocytic leukemia in children].,476-83,,"['Tawa, A', 'Kawa, K', 'Ikeda, T', 'Okuni, H', 'Okubo, Y', 'Masaoka, T', 'Nishida, M', 'Nishikawa, A', 'Yoshioka, K', 'Yoshioka, A', 'Miyake, M', 'Konishi, S', 'Fujinani, A', 'Tsujino, G']","['Tawa A', 'Kawa K', 'Ikeda T', 'Okuni H', 'Okubo Y', 'Masaoka T', 'Nishida M', 'Nishikawa A', 'Yoshioka K', 'Yoshioka A', 'Miyake M', 'Konishi S', 'Fujinani A', 'Tsujino G']",['jpn'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,['0 (Antineoplastic Agents)'],IM,"['Age Factors', 'Antineoplastic Agents/*administration & dosage', 'Child', 'Child, Preschool', 'Drug Therapy, Combination', 'Female', 'Humans', 'Infant', 'Leukemia, Erythroblastic, Acute/*drug therapy', 'Leukemia, Monocytic, Acute/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Time Factors']",1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):476-83.,,,,,
6957624,NLM,MEDLINE,19821218,20161017,0098-7484 (Print) 0098-7484 (Linking),248,19,1982 Nov 19,Improved prospects for long-term survival in adults with acute myelogenous leukemia.,2481-6,"An improved complete remission rate in acute myelogenous leukemia (AML) has been noted since cytarabine and anthracyclines were introduced into clinical practice. Forty-one (9%) of 457 patients with AML treated between 1965 and 1976 have survived more than five years. The proportion of five-year survivors for patients treated between 1973 and 1976, 1970 and 1972, and 1965 and 1969 were 11.8%, 8.8%, and 1.8%, respectively. The major factor influencing five-year survival was whether or not patients were treated with cytarabine alone or combined with an anthracycline. Thirty-six (17%) of the 207 complete responders remained in continuous complete remission for more than five years. Twenty-four of the 36 patients who are in remission for more than five years have not been receiving chemotherapy for more than five years and are considered potentially cured.","['Keating, M J', 'McCredie, K B', 'Bodey, G P', 'Smith, T L', 'Gehan, E', 'Freireich, E J']","['Keating MJ', 'McCredie KB', 'Bodey GP', 'Smith TL', 'Gehan E', 'Freireich EJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,JAMA,JAMA,7501160,"['0 (Antibiotics, Antineoplastic)', '0 (Naphthacenes)', '04079A1RDZ (Cytarabine)']",IM,"['Adolescent', 'Adult', 'Age Factors', 'Aged', '*Antibiotics, Antineoplastic', 'Cytarabine/*administration & dosage', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/*mortality', 'Male', 'Middle Aged', 'Naphthacenes/administration & dosage', 'Prognosis', 'Time Factors']",1982/11/19 00:00,1982/11/19 00:01,['1982/11/19 00:00'],"['1982/11/19 00:00 [pubmed]', '1982/11/19 00:01 [medline]', '1982/11/19 00:00 [entrez]']",,ppublish,JAMA. 1982 Nov 19;248(19):2481-6.,,['1 P01 CA 28153-01 CCP/CA/NCI NIH HHS/United States'],,,
6957584,NLM,MEDLINE,19821218,20190511,0146-8693 (Print) 0146-8693 (Linking),7,3,1982 Sep,WISC-R verbal/performance discrepancy in children with cancer: a statistical quirk?,263-6,,"['Kellerman, J', 'Moss, H A', 'Siegel, S E']","['Kellerman J', 'Moss HA', 'Siegel SE']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pediatr Psychol,Journal of pediatric psychology,7801773,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Humans', 'Leukemia, Lymphoid/*psychology/therapy', 'Psychometrics', '*Wechsler Scales']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['10.1093/jpepsy/7.3.263 [doi]'],ppublish,J Pediatr Psychol. 1982 Sep;7(3):263-6. doi: 10.1093/jpepsy/7.3.263.,,['PD-359416-7/PHS HHS/United States'],,,
6957547,NLM,MEDLINE,19821216,20150901,0371-7682 (Print) 0371-7682 (Linking),81,5,1982 May,Acute lymphoblastic leukemia in children--a retrospective study over 44 months.,597-608,,"['Hung, I J', 'Yang, C P', 'Chang, M L']","['Hung IJ', 'Yang CP', 'Chang ML']",['eng'],['Journal Article'],China (Republic : 1949- ),Taiwan Yi Xue Hui Za Zhi,Taiwan yi xue hui za zhi. Journal of the Formosan Medical Association,0413761,,IM,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/complications/*drug therapy', 'Leukocyte Count', 'Male', 'Prognosis', 'Retrospective Studies']",1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Taiwan Yi Xue Hui Za Zhi. 1982 May;81(5):597-608.,,,,,
