PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,PMC,EIN,OID,SI,AD,OAB,OABL,OTO,OT,GN
3663481,NLM,MEDLINE,19871216,20190515,0007-0920 (Print) 0007-0920 (Linking),56,3,1987 Sep,"Second primary malignancy after Hodgkin's disease, ovarian cancer and cancer of the testis: a population-based cohort study.",349-55,"The risk of second primary malignancy was assessed in a population-based cohort study of all persons registered with Hodgkin's disease (n = 2,970), ovarian cancer (n = 11,802) and testicular cancer (n = 2,013) in the South Thames Cancer Registry during the period 1961-80, to identify for further study those second malignancies which might be treatment-related. A total of 244 second malignancies was observed. After adjustment for age, sex and calendar period, the relative risk of any second malignancy was 1.4 (90% confidence interval (CI) 1.1-1.7) after Hodgkin's disease, 1.1 (90% CI 1.0-1.2) after ovarian cancer and 0.7 (90% CI 0.5-1.0) after testicular cancer. In particular, the relative risk for leukaemia was 11.9 after Hodgkin's disease, 3.7 after ovarian cancer and 2.5 after testicular cancer. Excess risks were also observed for cancers of the cervix and lung after Hodgkin's disease, for cancers of the breast, lung and rectum after ovarian cancer, and for contralateral testicular cancer. Confounding by social class or smoking does not explain these observations. The excess risks of leukaemia and of second cancer were higher in patients first diagnosed with Hodgkin's disease and ovarian cancer in the 1970s than for those first diagnosed in the 1960s. Increased use of multiple-agent chemotherapy regimes for these tumours in the 1970s may have contributed to these increases in excess risk.","['Coleman, M P', 'Bell, C M', 'Fraser, P']","['Coleman MP', 'Bell CM', 'Fraser P']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', 'Female', 'Hodgkin Disease/*complications/drug therapy', 'Humans', 'Male', 'Neoplasms/chemically induced', 'Neoplasms, Multiple Primary/*diagnosis', 'Ovarian Neoplasms/*complications/drug therapy', 'Risk', 'Testicular Neoplasms/*complications/drug therapy', 'Time Factors']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",['10.1038/bjc.1987.201 [doi]'],ppublish,Br J Cancer. 1987 Sep;56(3):349-55. doi: 10.1038/bjc.1987.201.,,,PMC2002200,,,,"['Imperial Cancer Research Fund, Cancer Epidemiology and Clinical Trials Unit, Radcliffe Infirmary, Oxford.']",,,,,
3663474,NLM,MEDLINE,19871216,20201209,0007-0920 (Print) 0007-0920 (Linking),56,3,1987 Sep,Potentiation of vincristine by vitamin A against drug-resistant mouse leukaemia cells.,267-72,"Vitamin A has been shown to potentiate the cytotoxic action of anticancer agents like vincristine (VCR) against drug resistant mouse P388 leukaemia cells. In vitro tests showed enhancement by retinyl acetate of cytocidal activities of VCR against drug-sensitive leukaemia (P388/S) and VCR-resistant leukaemia (P388/VCR) cells in culture; retinyl acetate rather specifically potentiated VCR against cultured P388/VCR cells than P388/S cells. The cellular accumulation of radioactive VCR was significantly enhanced in cultured P388/VCR cells when retinyl acetate was present. The efflux of VCR from drug-resistant cells was blocked by retinyl acetate. The effect of the combination of vitamin A and VCR was also tested in vivo on the life-span of mice bearing P388/S or P388/VCR. Intraperitoneal administration of retinyl palmitate at 41.75 or 83.5 mg kg-1 was effective to potentiate the antileukaemic activity of VCR against P388/S bearing mice, and it also overcame vincristine-resistance in P388/VCR bearing mice.","['Nogae, I', 'Kikuchi, J', 'Yamaguchi, T', 'Nakagawa, M', 'Shiraishi, N', 'Kuwano, M']","['Nogae I', 'Kikuchi J', 'Yamaguchi T', 'Nakagawa M', 'Shiraishi N', 'Kuwano M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Br J Cancer,British journal of cancer,0370635,"['0 (Diterpenes)', '0 (Retinyl Esters)', '11103-57-4 (Vitamin A)', '3LE3D9D6OY (retinol acetate)', '5J49Q6B70F (Vincristine)']",IM,"['Animals', 'Cell Survival/drug effects', 'Colony-Forming Units Assay', 'Diterpenes', 'Drug Resistance', 'Drug Synergism', 'Leukemia P388/*drug therapy/metabolism', 'Leukemia, Experimental/*drug therapy', 'Mice', 'Retinyl Esters', 'Time Factors', 'Vincristine/metabolism/*therapeutic use', 'Vitamin A/*analogs & derivatives/therapeutic use']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']",['10.1038/bjc.1987.188 [doi]'],ppublish,Br J Cancer. 1987 Sep;56(3):267-72. doi: 10.1038/bjc.1987.188.,,,PMC2002191,,,,"['Department of Biochemistry, Oita Medical School, Japan.']",,,,,
3663464,NLM,MEDLINE,19871215,20190515,0007-0920 (Print) 0007-0920 (Linking),56,2,1987 Aug,Infusion-rate independent cellular adriamycin concentrations and cytotoxicity to human bone marrow clonogenic cells (CFU-GM).,123-6,"The effect of adriamycin (ADM) infusion-rate on cellular ADM concentrations and on clonogenicity of human haematopoietic cells was studied in vivo and in vitro. In patients an ADM dose of 30 mg m-2 was administered as a bolus injection, or as a 4 h or a 24 h infusion. In vitro the effect of ADM on clonogenic cell growth was determined after exposure during 5 min, 2 h and 24 h of human bone marrow cells to increasing ADM concentrations. ADM showed rapid intracellular accumulation, to levels 100-fold the plasma concentration in vivo or the incubation medium concentration in the in vitro experiments. After a bolus injection or 5 min exposure only approximately 10% of the cellular peak ADM was retained after elimination of the drug from the plasma or the incubation medium. Ninety percent of the ADM was apparently 'loosely' bound. After 4 h and 24 h constant-rate infusions and also after 2 h and 24 h incubations in vitro, the cells accumulated ADM gradually, and the subsequent washing-out of the cellular ADM was substantially less, most of the ADM being 'tightly' bound. Despite these different patterns of uptake and retention after in vivo short- and long-lasting infusion of the same total dose, the 'tightly-bound' cellular ADM concentrations were the same. Moreover, comparable cellular ADM concentrations, retained after efflux of the 'loosely-bound' cellular ADM fraction were equally cytotoxic to normal human clonogenic cells. Short-lasting cellular peak ADM concentrations which occur after a bolus injection or after short exposure to high ADM concentrations are not essential for the cytotoxic effect, in contrast to the retained, 'tightly-bound' cellular ADM levels.","['Raijmakers, R', 'Speth, P', 'de Witte, T', 'Linssen, P', 'Wessels, J', 'Haanen, C']","['Raijmakers R', 'Speth P', 'de Witte T', 'Linssen P', 'Wessels J', 'Haanen C']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,['80168379AG (Doxorubicin)'],IM,"['Bone Marrow/drug effects', 'Cell Survival/drug effects', 'Cells, Cultured', 'Dose-Response Relationship, Drug', 'Doxorubicin/*administration & dosage/analysis/therapeutic use', 'Hematopoietic Stem Cells/analysis/*drug effects', 'Humans', 'Infusions, Intravenous', 'Injections, Intravenous', 'Leukemia/*drug therapy']",1987/08/01 00:00,1987/08/01 00:01,['1987/08/01 00:00'],"['1987/08/01 00:00 [pubmed]', '1987/08/01 00:01 [medline]', '1987/08/01 00:00 [entrez]']",['10.1038/bjc.1987.168 [doi]'],ppublish,Br J Cancer. 1987 Aug;56(2):123-6. doi: 10.1038/bjc.1987.168.,,,PMC2002152,,,,"['Department of Internal Medicine, University Hospital, Nijmegen, The Netherlands.']",,,,,
3663203,NLM,MEDLINE,19871119,20211203,0232-766X (Print) 0232-766X (Linking),46,5,1987,Biological activity and mode of action of some dihydroorotic and dihydroazaorotic acid derivatives.,307-15,"The conversion of six dihydroorotate analogues by the dihydroorotate dehydrogenase (DHO-DH) of plant and animal mitochondria was studied. In the case of plant DHO-DH the dehydrogenation of analogues was as follows: Dihydroorotic acid (DHO) (control, 100%), DHO-hydrazide (40%), azaDHO (13%), azaDHO-ethyl ester (23%), azaDHO-hydrazide (11%), dihydrouracil (0%), dihydrothymine (0%). When animal DHO-DH was used the analogues were practically not dehydrogenated. These compounds were also tested as inhibitors of DHO-dehydrogenation. AzaDHO, azaDHO-hydrazide and azaDHO-ethylester inhibited this reaction by 75, 70% and 60%, respectively, for plant DHO-DH. AzaDHO and azaDHO-ethylester inhibited this reaction to 90% and 70%, respectively, for animal enzyme. The other analogues had no effect. The compounds showed a moderate antibacterial activity. AzaDHO was more active than azaDHO-ethyl ester and azaDHO-hydrazide. A considerable inhibitory effect of azaDHO and azaDHO-ethyl ester was observed on the growth of St. aureus mutant UV-2 and S. lutea. The analogues were little active against the experimental mouse tumors leukemia L 1210, Lewis lung carcinoma (LLC) and B-16 melanoma. AzaDHO-ethyl ester and azaDHO-hydrazide inhibited the growth of LLC by 59% and 56%, respectively. In addition, the effect of analogues on the growth of plant cells was studied. AzaDHO and azaDHO-ethyl ester inhibited the growth of tomato cells in suspension culture by 10% and 41%, respectively.","['Miersch, J', 'Grancharov, K', 'Krauss, G J', 'Spassovska, N', 'Karamanov, G', 'Maneva, L', 'Mladenova, J', 'Golovinsky, E']","['Miersch J', 'Grancharov K', 'Krauss GJ', 'Spassovska N', 'Karamanov G', 'Maneva L', 'Mladenova J', 'Golovinsky E']",['eng'],['Journal Article'],Germany,Biomed Biochim Acta,Biomedica biochimica acta,8304435,"['0 (Dihydroorotate Dehydrogenase)', '61H4T033E5 (Orotic Acid)', 'EC 1.- (Oxidoreductases)', 'EC 1.3.- (Oxidoreductases Acting on CH-CH Group Donors)']",IM,"['Animals', 'Cells, Cultured', 'Dihydroorotate Dehydrogenase', 'Drug Screening Assays, Antitumor', 'Microbial Sensitivity Tests', 'Mitochondria, Liver/enzymology', 'Orotic Acid/*analogs & derivatives', 'Oxidoreductases/*antagonists & inhibitors', 'Oxidoreductases Acting on CH-CH Group Donors', 'Plant Development', 'Plants/drug effects/enzymology', 'Rats']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Biomed Biochim Acta. 1987;46(5):307-15.,,,,,,,"['Department of Biosciences, University of Halle-Wittenberg, GDR.']",,,,,
3663159,NLM,MEDLINE,19871105,20190501,0264-6021 (Print) 0264-6021 (Linking),245,1,1987 Jul 1,Isolation from human chronic-lymphocytic-leukaemia cells of membrane glycoproteins associated with Fc-receptor functions. Physical parameters and production of polyclonal antibodies.,75-83,"Two membrane glycoproteins that bound immune complexes and inhibited Fc-receptor- (FcR-)mediated functions in vitro were purified from human FcR+ chronic-lymphocytic-leukaemia cells. A multi-step purification was developed, consisting essentially in: (i) Tween 40 extraction of crude cell membranes; (ii) solubilization of membrane fragments by Renex-30; (iii) isolation of glycoproteins by affinity chromatography on Lens culinaris haemagglutinin-Sepharose; (iv) papain treatment of the eluted glycoproteins followed by gel-filtration chromatography; (v) purification by polyacrylamide-gel electrophoresis of two molecular species from the protein-size fraction enriched for immune-complex-binding activity. The two electrophoretically isolated components displayed apparent molecular masses of 70 and 45 kDa by SDS/polyacrylamide-gel electrophoresis and restricted charge heterogeneity by two-dimensional analysis. Two-dimensional peptide mapping revealed the presence of many peptides in common between the two proteins and the absence of a number of peptides in the 45 kDa component. These two polypeptides were used as immunogens to produce polyclonal antibodies that cross-reacted with both proteins and specifically inhibited FcR-mediated reactions in vitro. Furthermore, FcR-related components from detergent-extracted lysates of the human K562 and U937 cell lines or human placental membranes were revealed by the putative anti-FcR antibodies adsorbed on Protein A-Sepharose.","['Gorini, G', 'Medgyesi, G A', 'Garavini, M', 'Dorrington, K J', 'Down, J']","['Gorini G', 'Medgyesi GA', 'Garavini M', 'Dorrington KJ', 'Down J']",['eng'],['Journal Article'],England,Biochem J,The Biochemical journal,2984726R,"['0 (Antigen-Antibody Complex)', '0 (Glycoproteins)', '0 (Immune Sera)', '0 (Membrane Proteins)', '0 (Receptors, Fc)']",IM,"['Antigen-Antibody Complex/immunology', 'Electrophoresis, Polyacrylamide Gel', 'Glycoproteins/*immunology/isolation & purification', 'Humans', 'Immune Sera/immunology', 'Leukemia, Lymphoid/*immunology', 'Lymphocytes/immunology', 'Membrane Proteins/*immunology/isolation & purification', 'Peptide Mapping', 'Receptors, Fc/*immunology']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",['10.1042/bj2450075 [doi]'],ppublish,Biochem J. 1987 Jul 1;245(1):75-83. doi: 10.1042/bj2450075.,,,PMC1148084,,,,"['Laboratory of Pathology, ENEA, C.R.E., Rome, Italy.']",,,,,
3662592,NLM,MEDLINE,19871112,20190501,1468-2044 (Electronic) 0003-9888 (Linking),62,8,1987 Aug,Indicators of malnutrition in leukaemic children.,845-6,In 24 children with acute leukaemia a low serum albumin concentration (31 g/l or less) and a median weight:height ratio of less than 0.95 on admission were indicators of severe weight loss.,"['Kibirige, M S', 'Morris Jones, P H', 'Stevens, R F']","['Kibirige MS', 'Morris Jones PH', 'Stevens RF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Arch Dis Child,Archives of disease in childhood,0372434,['0 (Serum Albumin)'],IM,"['Adolescent', 'Body Height', 'Body Weight', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/blood/*complications', 'Male', 'Nutrition Disorders/blood/*diagnosis/etiology', 'Retrospective Studies', 'Risk Factors', 'Serum Albumin/analysis']",1987/08/01 00:00,1987/08/01 00:01,['1987/08/01 00:00'],"['1987/08/01 00:00 [pubmed]', '1987/08/01 00:01 [medline]', '1987/08/01 00:00 [entrez]']",['10.1136/adc.62.8.845 [doi]'],ppublish,Arch Dis Child. 1987 Aug;62(8):845-6. doi: 10.1136/adc.62.8.845.,,,PMC1778487,,,,"[""Department of Oncology, Royal Manchester Children's Hospital.""]",,,,,
3661583,NLM,MEDLINE,19871102,20190626,0002-9343 (Print) 0002-9343 (Linking),83,3,1987 Sep,Central nervous system involvement in acute nonlymphocytic leukemia. A prospective study of adults in remission.,464-70,"To identify adults with acute nonlymphocytic leukemia at risk for the development of central nervous system involvement, we performed periodic cerebrospinal fluid examinations on patients in remission. Among 58 consecutive patients monitored during first remission, central nervous system leukemia developed in nine (16 percent). Four patients, including one who was symptomatic, had central nervous system leukemia detected simultaneously with marrow relapse. Five additional patients were asymptomatic and continue to have bone marrow remission. Following central nervous system and systemic treatment, two of these five patients have never had relapse, and three had relapse in the bone marrow five, 10, and 21 months later. Factors at diagnosis associated with the subsequent development of central nervous system leukemia were elevated leukocyte count, serum lysozyme and lactate dehydrogenase, extramedullary infiltration including splenomegaly, and monocytic (FAB M4 or M5a) morphology. In six of 17 patients (35 percent) with monocytic morphology, central nervous system leukemia developed compared with only three of 41 patients (7 percent) with other subtypes (p = 0.02). Discriminant analysis identified leukocyte count, splenomegaly, and M4 or M5a morphology as the most important risk factors and led to a mathematical formula that correctly identified 90 percent of the patients. Although the risk of central nervous system leukemia in adults with acute nonlymphocytic leukemia is too low to justify routine prophylaxis, those patients recognized to be at a greater risk should receive prophylaxis or be monitored closely with periodic lumbar punctures.","['Peterson, B A', 'Brunning, R D', 'Bloomfield, C D', 'Hurd, D D', 'Gau, J A', 'Peng, G T', 'Goldman, A I']","['Peterson BA', 'Brunning RD', 'Bloomfield CD', 'Hurd DD', 'Gau JA', 'Peng GT', 'Goldman AI']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Med,The American journal of medicine,0267200,"['EC 1.1.1.27 (L-Lactate Dehydrogenase)', 'EC 3.2.1.17 (Muramidase)']",IM,"['Acute Disease', 'Adult', 'Female', 'Humans', 'L-Lactate Dehydrogenase/blood', 'Leukemia/*cerebrospinal fluid/diagnosis', 'Leukocyte Count', 'Male', 'Meningeal Neoplasms/*cerebrospinal fluid/diagnosis', 'Muramidase/blood', 'Prospective Studies', 'Risk Factors', 'Splenomegaly/etiology']",1987/09/01 00:00,1987/09/01 00:01,['1987/09/01 00:00'],"['1987/09/01 00:00 [pubmed]', '1987/09/01 00:01 [medline]', '1987/09/01 00:00 [entrez]']","['0002-9343(87)90756-X [pii]', '10.1016/0002-9343(87)90756-x [doi]']",ppublish,Am J Med. 1987 Sep;83(3):464-70. doi: 10.1016/0002-9343(87)90756-x.,,,,,,,"['Department of Medicine, University of Minnesota Health Sciences Center, Minneapolis.']",,,,,
3661547,NLM,MEDLINE,19871112,20191210,0361-8609 (Print) 0361-8609 (Linking),26,2,1987 Oct,Surgery in acute leukemia: a review of 167 operations in thrombocytopenic patients.,147-55,"Of 435 consecutive patients with acute leukemia, 95 patients had 167 operations with a platelet count of less than 100 X 10(9)/L and 130 operations with platelet counts of less than 50 X 10(9)/L. Only 7% of operations had intraoperative blood loss of greater than 500 ml, and 7% required greater than 4 units of red cells transfused in the perioperative period. No patient died of bleeding attributable to surgery within 1 month of the operation. Granulocyte count was less than 0.5 X 10(9)/L in 66% of operations with 57% febrile preoperatively. However, no patient developed infection within the surgical field in the postoperative month. Logistic regression analyses were used to assess preoperative factors, which identified those operations at risk for excessive bleeding or postoperative surgical complications. Major (group 1) operations, preoperative fever, and preoperative coagulation abnormalities were associated with operations with an intraoperative blood loss greater than 500 ml and/or perioperative red blood cell RBC transfusions greater than 4 units (P less than .001). Surgery in cytopenic patients with acute leukemia is safe provided optimal supportive care is available.","['Bishop, J F', 'Schiffer, C A', 'Aisner, J', 'Matthews, J P', 'Wiernik, P H']","['Bishop JF', 'Schiffer CA', 'Aisner J', 'Matthews JP', 'Wiernik PH']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Female', 'Hemorrhage/etiology', 'Humans', 'Infections/etiology', 'Leukemia/blood/mortality/*surgery', 'Male', 'Middle Aged', 'Platelet Count', 'Postoperative Complications', 'Risk Factors', 'Thrombocytopenia/*complications']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",['10.1002/ajh.2830260205 [doi]'],ppublish,Am J Hematol. 1987 Oct;26(2):147-55. doi: 10.1002/ajh.2830260205.,,,,,,,"['University of Maryland Cancer Center, University of Maryland Hospital, Baltimore.']",,,,,
3660701,NLM,MEDLINE,19871104,20061115,0042-773X (Print) 0042-773X (Linking),33,7,1987 Jul,[Infectious complications in malignant hematopoietic diseases under an incompletely protective regimen].,571-8,,"['Mocikova, K', 'Faber, E', 'Svac, J', 'Zaloudek, F']","['Mocikova K', 'Faber E', 'Svac J', 'Zaloudek F']",['slo'],"['English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Anemia, Aplastic/complications', 'Bacterial Infections/epidemiology/etiology/*prevention & control', 'Female', 'Hematologic Diseases/*complications', 'Hodgkin Disease/complications', 'Humans', 'Immune Tolerance', 'Leukemia/complications', 'Male', 'Middle Aged', 'Mycoses/epidemiology/etiology/*prevention & control', 'Neutropenia/complications']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1987 Jul;33(7):571-8.,,Infekcne komplikacie pri zhubnych ochoreniach krvotvorby v neuplnom ochrannom rezime.,,,,,,,,,,
3660678,NLM,MEDLINE,19871112,20131121,0042-773X (Print) 0042-773X (Linking),33,3,1987 Mar,[Combined chemotherapy in advanced stages of chronic lymphatic leukemia].,248-52,,"['Haber, J', 'Klener, P', 'Koleskova, E', 'Setkova, O']","['Haber J', 'Klener P', 'Koleskova E', 'Setkova O']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,"['7BRF0Z81KG (Lomustine)', 'Q41OR9510P (Melphalan)', 'VB0R961HZT (Prednisone)']",IM,"['Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Female', 'Humans', 'Leukemia, Lymphoid/*drug therapy/pathology', 'Lomustine/administration & dosage', 'Male', 'Melphalan/administration & dosage', 'Middle Aged', 'Neoplasm Staging', 'Prednisone/administration & dosage']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1987 Mar;33(3):248-52.,,Kombinovana chemoterapie pokrocilych stadii chronicke lymfaticke leukemie.,,,,,,,,,,
3660677,NLM,MEDLINE,19871112,20061115,0042-773X (Print) 0042-773X (Linking),33,3,1987 Mar,[Biopsy diagnosis of the leukemization of malignant lymphomas].,235-40,,"['Plank, L', 'Adamkov, M']","['Plank L', 'Adamkov M']",['slo'],"['English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,,IM,"['*Biopsy', 'Humans', 'Leukemia/*diagnosis/pathology', 'Lymph Nodes/*pathology', 'Lymphoma/*pathology', 'Neoplasms, Multiple Primary/*diagnosis/pathology']",1987/03/01 00:00,1987/03/01 00:01,['1987/03/01 00:00'],"['1987/03/01 00:00 [pubmed]', '1987/03/01 00:01 [medline]', '1987/03/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1987 Mar;33(3):235-40.,,Biopticka diagnostika leukemizacie zhubnych lymfomov.,,,,,,,,,,
3660592,NLM,MEDLINE,19871109,20190714,0042-6822 (Print) 0042-6822 (Linking),160,2,1987 Oct,Identification of endogenous retroviral sequences as potential donors for recombinational repair of mutant retroviruses: positions of crossover points.,518-22,Mutants of Moloney murine leukemia virus carrying deletions in essential regions of the genome can revert after infection of mouse cells by recombination with endogenous retroviral sequences. We have identified cloned DNAs containing potential donor sequences for two such recombination events and determined the nucleotide sequences in the relevant regions. Comparison of these sequences with that of the original mutants and the revertant viruses allowed a determination of the crossover points that were used in formation of the revertants. Each crossover occurred in short stretches (17-24 bp) of perfect homology between the two parent sequences.,"['Colicelli, J', 'Goff, S P']","['Colicelli J', 'Goff SP']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,"['0 (DNA, Viral)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'DNA Repair', 'DNA, Viral/genetics', 'Defective Viruses/*genetics', 'Mice/*genetics', 'Molecular Sequence Data', 'Moloney murine leukemia virus/*genetics', '*Recombination, Genetic', 'Sequence Homology, Nucleic Acid', 'Virus Replication']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",['10.1016/0042-6822(87)90030-4 [doi]'],ppublish,Virology. 1987 Oct;160(2):518-22. doi: 10.1016/0042-6822(87)90030-4.,['CA30488/CA/NCI NIH HHS/United States'],,,,,"['GENBANK/K03364', 'GENBANK/M12275', 'GENBANK/M17738', 'GENBANK/M17739']","['Department of Biochemistry and Molecular Biophysics, College of Physicians and Surgeons, Columbia University, New York, New York 10032.']",,,,,
3660194,NLM,MEDLINE,19871102,20091111,0039-6087 (Print) 0039-6087 (Linking),165,4,1987 Oct,Splenectomy performed upon thirty-seven patients with hairy cell leukemia.,305-8,"Thirty-seven patients with hairy cell leukemia underwent splenectomy. The postoperative course was uneventful for 34 patients. Improvement of peripheral cytopenia was obtained in the majority of patients. Survival time of patients who underwent splenectomy was significantly longer than for patients who did not undergo this procedure. Splenectomy is a habitually effective form of treatment for hairy cell leukemia, although not completely free of risks.","['Brochard, M', 'Sigaux, F', 'Flandrin, G', 'Bourstyn, E', 'Clot, P']","['Brochard M', 'Sigaux F', 'Flandrin G', 'Bourstyn E', 'Clot P']",['eng'],['Journal Article'],United States,Surg Gynecol Obstet,"Surgery, gynecology & obstetrics",0101370,,IM,"['Adult', 'Female', 'Humans', 'Intraoperative Complications/epidemiology', 'Leukemia, Hairy Cell/mortality/*therapy', 'Male', 'Middle Aged', '*Splenectomy/adverse effects']",1987/10/01 00:00,1987/10/01 00:01,['1987/10/01 00:00'],"['1987/10/01 00:00 [pubmed]', '1987/10/01 00:01 [medline]', '1987/10/01 00:00 [entrez]']",,ppublish,Surg Gynecol Obstet. 1987 Oct;165(4):305-8.,,,,,,,"['Department of General and Digestive Surgery, Hopital Saint-Louis, Paris, France.']",,,,,
3660187,NLM,MEDLINE,19871110,20131121,0036-4355 (Print) 0036-4355 (Linking),32,4,1987,[High-dose cytosine arabinoside and L-asparaginase in the treatment of refractory or recurrent acute non-lymphoblastic leukemia].,476-81,,"['Sanz, M A', 'Borrego, D', 'Martin-Aragones, G', 'Martinez, J A', 'Lorenzo, I', 'Sanz, G', 'Sayas, M J', 'Jarque, I', 'Pastor, E', 'Rafecas, J']","['Sanz MA', 'Borrego D', 'Martin-Aragones G', 'Martinez JA', 'Lorenzo I', 'Sanz G', 'Sayas MJ', 'Jarque I', 'Pastor E', 'Rafecas J']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,"['04079A1RDZ (Cytarabine)', 'EC 3.5.1.1 (Asparaginase)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage/adverse effects', 'Child', 'Cytarabine/administration & dosage/adverse effects', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged', 'Neoplasm Recurrence, Local/*drug therapy', 'Remission Induction']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1987;32(4):476-81.,,Arabinosido de citosina a altas dosis (Ara-C-AD) y L-asparaginasa (L-ASP) en el tratamiento de la leucemia aguda no linfoblastica refractaria o en recidiva.,,,,,,,,,,
3660173,NLM,MEDLINE,19871026,20061115,0036-4355 (Print) 0036-4355 (Linking),32,3,1987,[Acute leukemia in pregnant women. Review of 20 cases].,273-80,,"['Aviles, A', 'Niz, J', 'Sinco, A']","['Aviles A', 'Niz J', 'Sinco A']",['spa'],"['English Abstract', 'Journal Article']",Spain,Sangre (Barc),Sangre,0404373,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'Female', 'Follow-Up Studies', 'Humans', 'Infant, Newborn', 'Leukemia/*drug therapy', 'Male', 'Pregnancy', 'Pregnancy Complications, Neoplastic/*drug therapy']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Sangre (Barc). 1987;32(3):273-80.,,Leucemia aguda en mujeres gestantes. Revision de veinte casos.,,,,,,,,,,
3659949,NLM,MEDLINE,19871030,20041117,0037-1963 (Print) 0037-1963 (Linking),24,3,1987 Jul,Leukemia. IV.,202-8,,,,['eng'],['Journal Article'],United States,Semin Hematol,Seminars in hematology,0404514,,IM,"['Humans', '*Leukemia']",1987/07/01 00:00,1987/07/01 00:01,['1987/07/01 00:00'],"['1987/07/01 00:00 [pubmed]', '1987/07/01 00:01 [medline]', '1987/07/01 00:00 [entrez]']",,ppublish,Semin Hematol. 1987 Jul;24(3):202-8.,,,,,,,,,,,,
