PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,CIN,TT,EIN,SI,PMC,GS,RIN,CON
2464793,NLM,MEDLINE,19890316,20131121,,30,5-6,1988,Fludarabine monophosphate: a potentially useful agent in chronic lymphocytic leukemia.,457-9,"Recent developments in experimental chemotherapy may benefit patients with chronic lymphocytic leukemia (CLL). Fludarabine monophosphate has shown promise in heavily pretreated patients with advanced CLL. The Southwest Oncology Group has recently completed a phase II investigation of fludarabine in 32 patients. The patient population had a median age of 63 years, median performance status of 1, and included patients with the following stages of the disease: stage 0-3 patients; stage I-5 patients; stage II-6 patients; stage III-4 patients; stage IV-14 patients. A total of 176 courses were administered. Myelosuppression was the most frequent toxicity observed with 13 patients having a decline in platelets, and 11 patients having some decline in granulocytes. Fludarabine monophosphate has had unequivocal antileukemic activity in a group of patients with advanced CLL.","['Grever, M R', 'Kopecky, K J', 'Coltman, C A', 'Files, J C', 'Greenberg, B R', 'Hutton, J J', 'Talley, R', 'Von Hoff, D D', 'Balcerzak, S P']","['Grever MR', 'Kopecky KJ', 'Coltman CA', 'Files JC', 'Greenberg BR', 'Hutton JJ', 'Talley R', 'Von Hoff DD', 'Balcerzak SP']","['Ohio State University, Division of Hematology/Oncology, Columbus 43210.']",['eng'],,['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['0 (Antimetabolites, Antineoplastic)', '0 (Arabinonucleotides)', '106XV160TZ (Vidarabine Phosphate)', '1X9VK9O1SC (fludarabine phosphate)']",IM,"['Adult', 'Aged', 'Antimetabolites, Antineoplastic/adverse effects/*therapeutic use', 'Arabinonucleotides/*therapeutic use', 'Bone Marrow/drug effects', 'Drug Evaluation', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Middle Aged', 'Remission Induction', 'Vidarabine Phosphate/adverse effects/analogs & derivatives/*therapeutic use']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1988;30(5-6):457-9.,,,,,,,,,
2464792,NLM,MEDLINE,19890316,20161123,,30,5-6,1988,Clinical implications of CLL cell proliferation in vitro.,399-401,"CLL-cell proliferation in vitro, as indicated by tritium-labelled thymidine uptake, was studied in 4-day cultures with or without the B-cell mitogens lipopolysaccharide (LPS), dextran sulphate (DxS) and Epstein-Barr virus (EBV). Thymidine uptake was not associated with Rai or Binet stage, but following mitogenic stimulation it was significantly greater in CLL-cell clones with an extra chromosome 12 or multiple chromosomal aberrations as compared to cell clones with normal karyotypes. Unstimulated thymidine uptakes did not predict outcome, but high proliferative responses to LPS- or DxS-stimulation were significantly associated with poor survival.","['Juliusson, G', 'Gahrton, G']","['Juliusson G', 'Gahrton G']","['Department of Medicine, Karolinska Institute, Huddinge, Sweden.']",['eng'],,['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['0 (Dextrans)', '0 (Lipopolysaccharides)', '9042-14-2 (Dextran Sulfate)', 'VC2W18DGKR (Thymidine)']",IM,"['B-Lymphocytes/immunology/pathology', 'Dextran Sulfate', 'Dextrans/pharmacology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/metabolism/*pathology', 'Lipopolysaccharides/pharmacology', '*Lymphocyte Activation/drug effects', 'Neoplasm Staging', 'T-Lymphocytes/immunology/pathology', 'Thymidine/metabolism', 'Tumor Cells, Cultured/immunology/metabolism/*pathology']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1988;30(5-6):399-401.,,,,,,,,,
2464791,NLM,MEDLINE,19890316,20151119,,30,5-6,1988,"Common chronic lymphatic leukemia antigen (cCLLa); distribution, fate and clinical applications.",305-10,"The cCLLa is a gp69 antigen expressed by monoclonal cells in patients with CLL, PLL and HCL but not by their normal counterpart or by normal lymphoid or hematopoietic cells nor by other malignant cells. The membrane borne cCLLa sheds spontaneously resulting in serum titers directly proportional to the size of the malignant clone. Both, size of the cCLLa-positive clone and serum cCLLa titers increase with progressing disease. This enables both, the immunophenotypic diagnosis of clinical and preclinical CLL using specific MoAbs, and assessment of the tumor burden. In the presence of specific MoAbs, the cCLLa modulates via internalization. This antigenic behavior, the cytolytic activity of at least one anti-cCLLa MoAb and the expression selectivity of the cCLLa suggest this to be a promising system for exploring immunotherapy of CLL using anti-cCLLa MoAbs or their cytolytic derivatives.","['Faguet, G B']",['Faguet GB'],"['Medical Services, Veterans Administration Medical Center, Augusta, GA.']",['eng'],,"['Comparative Study', 'Journal Article']",Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Biomarkers, Tumor)', '0 (Epitopes)', '0 (Glycoproteins)', '0 (Receptors, Complement)', '0 (common chronic lymphatic leukemia antigen gp69, human)', '0 (glycoprotein GP 68)']",IM,"['Antibodies, Monoclonal', 'Antibody Specificity', 'Antigen-Antibody Reactions', 'Antigens, Neoplasm/*analysis/immunology/metabolism/therapeutic use', 'B-Lymphocytes/*analysis', 'Biomarkers, Tumor/*analysis/immunology', 'Epitopes/analysis/immunology', 'Glycoproteins/*analysis/immunology', 'Humans', 'Leukemia, Hairy Cell/metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/metabolism', 'Leukemia, Prolymphocytic/metabolism', 'Receptors, Complement/analysis', 'Tissue Distribution']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1988;30(5-6):305-10.,,,,,,,,,
2464785,NLM,MEDLINE,19890317,20121115,0950-9232 (Print) 0950-9232 (Linking),4,1,1989 Jan,The sequence of chicken c-yes and p61c-yes.,99-104,"We have deduced the sequence of the protein encoded by the chicken c-yes gene from overlapping cDNA clones. The predicted protein, p61c-yes, contains 541 amino acids and has a molecular weight of 60,911 with the amino terminal methionine residue. Chicken p61c-yes differs from Y73 virus p90gag/v-yes in three respects. First, the carboxy-terminal eight amino acids of p61c-yes are replaced by three amino acids in p90gag/v-yes, which are encoded by the avian leukemia virus env gene. This alteration changes the position and context of a tyrosine residue in p61c-yes. Second, nucleotides which are present as 5' non-translated sequence in the p61c-yes mRNA, are translated in the p90gag/v-yes mRNA. Third, there are fourteen dispersed nucleotide differences in Y73 v-yes which result in six amino differences between the body of p90gag/v-yes and p61c-yes. Chicken p61c-yes differs from human p61c-yes at 43 residues, and from chicken pp60c-src at 122 residues.","['Zheng, X F', 'Podell, S', 'Sefton, B M', 'Kaplan, P L']","['Zheng XF', 'Podell S', 'Sefton BM', 'Kaplan PL']","['Dana-Farber Cancer Institute, Boston, Massachusetts 02115.']",['eng'],"['CA06515/CA/NCI NIH HHS/United States', 'CA14195/CA/NCI NIH HHS/United States', 'CA17289/CA/NCI NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Oncogene,Oncogene,8711562,"['0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '9007-49-2 (DNA)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.10.2 (Proto-Oncogene Proteins c-yes)', 'EC 2.7.10.2 (Proto-Oncogene Proteins pp60(c-src))', 'EC 2.7.10.2 (src-Family Kinases)']",IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Catalysis', 'Chickens', 'Cloning, Molecular', 'DNA', 'Humans', 'Molecular Sequence Data', 'Phosphorylation', 'Protein Kinases/genetics', '*Proto-Oncogene Proteins/genetics', 'Proto-Oncogene Proteins c-yes', 'Proto-Oncogene Proteins pp60(c-src)', '*Proto-Oncogenes', '*RNA, Messenger/genetics', '*src-Family Kinases']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",,ppublish,Oncogene. 1989 Jan;4(1):99-104.,,,,,,,,,
2464742,NLM,MEDLINE,19890323,20210526,0270-7306 (Print) 0270-7306 (Linking),8,9,1988 Sep,c-myc antisense transcripts accelerate differentiation and inhibit G1 progression in murine erythroleukemia cells.,3683-95,"Friend murine erythroleukemia (F-MEL) cells were transfected with a plasmid bearing tandemly arranged mouse c-myc antisense and dihydrofolate reductase transcription units. Sixteen clones were isolated, each containing unrearranged c-myc sequences and expressing high levels of antisense transcripts. All antisense clones examined contained reduced amounts of cytoplasmic endogenous c-myc transcripts. The kinetics of reaccumulation of endogenous c-myc mRNA during a 24-h exposure to dimethyl sulfoxide (DMSO) were also retarded and the ultimate transcript levels attained were less than in control cells. Antisense clones grew as well as control F-MEL cells in medium containing 10% fetal calf serum but at only a half and a quarter of the control rates in media containing 5 and 2% serum, respectively. Antisense clones differentiated faster and to a greater degree than control cells following DMSO exposure. myc antisense transcript expression was increased by growing cells in methotrexate, which resulted in an enhanced response to DMSO. Fluorescence-activated cell sorter (FACS) analysis of cellular DNA content indicated that a greater fraction of antisense nuclei contained a G0/G1 2n DNA content following a 24-h exposure to DMSO. When density-arrested antisense clones were diluted into fresh medium to allow reentry into the cell cycle, they incorporated less [3H]thymidine than control cells. FACS analysis showed that this was because only a portion of the cell population was entering S phase. Whereas control cells did not increase in size following release from density arrested antisense cells contained a subpopulation which were initially smaller and which eventually attained the same size as control cells. Quiescent antisense cells thus comprise two populations, each arrested at a different point in G1. Dilutional replating allowed both populations to reenter the cell cycle. We propose a model which postulates that certain minimal myc levels are necessary for cells to traverse G1. Those with insufficient levels, due, for example, to antisense inhibition, are unable to completely traverse G1 during density arrest and synchronize at an earlier point than do control cells. This earlier point may be along the differentiation pathway and may account for the greater responsiveness of antisense cells to DMSO induction. This model postulates that F-MEL cells overexpressing myc fail to differentiate because myc levels are never sufficiently low enough to allow cells to enter the differentiation pathway.","['Prochownik, E V', 'Kukowska, J', 'Rodgers, C']","['Prochownik EV', 'Kukowska J', 'Rodgers C']","['Department of Pediatrics, University of Michigan School of Medicine, Ann Arbor 48109.']",['eng'],['HL 33741/HL/NHLBI NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA, Neoplasm)', '0 (RNA, Antisense)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '63231-63-0 (RNA)']",IM,"['Animals', 'Cell Differentiation', 'Cell Division', 'Cell Line', 'DNA Replication', 'DNA, Neoplasm/genetics/isolation & purification', 'Interphase', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'Leukemia, Experimental/*genetics/pathology', 'Mice', 'Plasmids', '*Proto-Oncogenes', 'RNA/*genetics', 'RNA, Antisense', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics/isolation & purification', '*Transcription, Genetic', 'Transfection']",1988/09/01 00:00,1988/09/01 00:01,['1988/09/01 00:00'],"['1988/09/01 00:00 [pubmed]', '1988/09/01 00:01 [medline]', '1988/09/01 00:00 [entrez]']",['10.1128/mcb.8.9.3683-3695.1988 [doi]'],ppublish,Mol Cell Biol. 1988 Sep;8(9):3683-95. doi: 10.1128/mcb.8.9.3683-3695.1988.,,,,,,PMC365424,,,
2464723,NLM,MEDLINE,19890317,20190824,0145-2126 (Print) 0145-2126 (Linking),13,1,1989,Expression of haematopoietic progenitor cell-associated antigen BI-3C5/CD34 in leukemia.,83-5,"The expression of progenitor cell-associated antigen CD34, defined with monoclonal antibody BI-3C5, was investigated in cells from 109 patients with leukaemia. No reactivity was found in chronic leukaemias, whereas 31% of acute myelogenous leukaemia (AML) and most non-T, non-B acute lymphoblastic leukaemia (ALL) expressed CD34. Examples of BI-3C5+ AML included M1 and M2 FAB types only; all but one were myeloperoxidase positive. In combination with pan-myeloid markers, BI-3C5 is useful for identification of immature myeloid cells.","['Batinic, D', 'Tindle, R', 'Boban, D', 'Tiefenbach, A', 'Rajic, L', 'Labar, B', 'Nemet, D', 'Boranic, M']","['Batinic D', 'Tindle R', 'Boban D', 'Tiefenbach A', 'Rajic L', 'Labar B', 'Nemet D', 'Boranic M']","['Department of Clinical Laboratory Diagnostics, Clinical Hospital Centre-Rebro, Zagreb, Yugoslavia.']",['eng'],,['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD34)', '0 (Antigens, Differentiation)']",IM,"['Adult', 'Antibodies, Monoclonal', 'Antigens, CD34', 'Antigens, Differentiation/*biosynthesis', 'Child', 'Humans', 'Leukemia/*metabolism']",1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1016/0145-2126(89)90035-0 [doi]'],ppublish,Leuk Res. 1989;13(1):83-5. doi: 10.1016/0145-2126(89)90035-0.,,,,,,,,,
2464706,NLM,MEDLINE,19890321,20200724,0022-538X (Print) 0022-538X (Linking),63,3,1989 Mar,Inhibition of RNase H activity and viral replication by single mutations in the 3' region of Moloney murine leukemia virus reverse transcriptase.,1460-4,"Selected conserved amino acids in the putative RNase H domain of reverse transcriptase (RT) were modified in a molecularly cloned infectious provirus and in a Moloney murine leukemia virus RT expression vector by site-directed mutagenesis. Substitution of either of two conserved aspartic acid residues in proviral DNA prevented production of infectious particles in transfected NIH 3T3 cells, and the same modifications depressed RT-associated RNase H activity by more than 25-fold with little or no effect on polymerase activity.","['Repaske, R', 'Hartley, J W', 'Kavlick, M F', ""O'Neill, R R"", 'Austin, J B']","['Repaske R', 'Hartley JW', 'Kavlick MF', ""O'Neill RR"", 'Austin JB']","['Laboratory of Molecular Microbiology, National Institute of Allergy and Infectious Diseases, Bethesda, Maryland 20892.']",['eng'],,['Journal Article'],United States,J Virol,Journal of virology,0113724,"['EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'EC 3.1.- (Endoribonucleases)', 'EC 3.1.26.4 (Ribonuclease H)']",IM,"['Amino Acid Sequence', 'DNA Mutational Analysis', 'Endoribonucleases/*genetics/metabolism', 'Molecular Sequence Data', 'Moloney murine leukemia virus/enzymology/*genetics', 'RNA-Directed DNA Polymerase/*genetics/metabolism', 'Ribonuclease H', 'Structure-Activity Relationship', '*Virus Replication']",1989/03/01 00:00,1989/03/01 00:01,['1989/03/01 00:00'],"['1989/03/01 00:00 [pubmed]', '1989/03/01 00:01 [medline]', '1989/03/01 00:00 [entrez]']",['10.1128/JVI.63.3.1460-1464.1989 [doi]'],ppublish,J Virol. 1989 Mar;63(3):1460-4. doi: 10.1128/JVI.63.3.1460-1464.1989.,,,,,,PMC247852,,,
2464646,NLM,MEDLINE,19890321,20190723,0022-1759 (Print) 0022-1759 (Linking),116,1,1989 Jan 6,A sandwich CD7-ELISA for detection of solubilized CD7 from normal and leukemic T cells.,137-44,"CD7 is a T differentiation antigen which is useful in the identification of precursor T cells as well as an important marker for the identification of leukemic T cells. It has proved to be useful as a target for immunotherapy by immunotoxins in several clinical settings. Most monoclonal antibodies to this antigen bind to the same or similar epitope. We have produced a monoclonal antibody, 69, which identifies a different epitope as that of the prototypic mAb to CD7, 3A1. Using mAB 69, we have devised a sandwich CD7-ELISA to detect solubilized CD7 antigen, with mAb 69 in the solid phase as the capturing mAb. This assay is sensitive and is able to detect antigen present on 2-5 x 10(4) activated T cells. This assay has been used to study the fate of CD7 on the membrane and in the cytosol of T cells during the process of mitogenesis. We have also utilized this assay to demonstrate the presence of free CD7 antigen in culture supernatant of activated T cells. This method will be useful to analyze antigen recovery from bulk cell cultures or from molecularly engineered microbial organisms. In addition, the sandwich CD7-ELISA may prove useful in monitoring the effects of immunotherapy in patients with leukemia.","['Jung, L K', 'Fu, S M']","['Jung LK', 'Fu SM']","['Immunology Program, Oklahoma Medical Research Foundation, Oklahoma City 73104.']",['eng'],"['1-R01-AI25704/AI/NIAID NIH HHS/United States', 'R01-CA34546/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,J Immunol Methods,Journal of immunological methods,1305440,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD7)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Epitopes)', '0 (Phytohemagglutinins)']",IM,"['Antibodies, Monoclonal/immunology', 'Antigens, CD7', 'Antigens, Differentiation, T-Lymphocyte/*analysis', 'Enzyme-Linked Immunosorbent Assay/methods', 'Epitopes', 'Flow Cytometry', 'Humans', 'In Vitro Techniques', 'Leukemia, T-Cell/*immunology', 'Lymphocyte Activation', 'Phytohemagglutinins/pharmacology', 'Solubility', 'T-Lymphocytes/*immunology']",1989/01/06 00:00,1989/01/06 00:01,['1989/01/06 00:00'],"['1989/01/06 00:00 [pubmed]', '1989/01/06 00:01 [medline]', '1989/01/06 00:00 [entrez]']","['0022-1759(89)90322-0 [pii]', '10.1016/0022-1759(89)90322-0 [doi]']",ppublish,J Immunol Methods. 1989 Jan 6;116(1):137-44. doi: 10.1016/0022-1759(89)90322-0.,,,,,,,,,
2464644,NLM,MEDLINE,19890313,20071114,0022-1767 (Print) 0022-1767 (Linking),142,4,1989 Feb 15,HLA-restricted lysis of herpes simplex virus-infected monocytes and macrophages mediated by CD4+ and CD8+ T lymphocytes.,1325-32,"Freshly isolated human peripheral blood monocytes and in vitro monocyte-derived macrophages were infected with HSV type 1 and used as target cells in a cell-mediated cytotoxicity assay. PBMC from both HSV-immune and non-immune donors were stimulated in vitro for 5 days with UV-inactivated HSV Ag and used as effector cells. Effectors from HSV-immune donors mediated virus-specific lysis of both monocyte and macrophage targets, whereas effectors from non-immune donors failed to mediate target cell lysis. Mean virus-specific lysis of autologous monocytes was (8.5 +/- (+/- 2.0)%) compared to a threefold greater virus-specific lysis of autologous macrophages (24.7 (+/- 4.3)%). More than 70% of this lysis was mediated by CD16- T lymphocytes. Further analysis demonstrated that the majority of the lysis against autologous and allogeneic targets was HLA-DR-restricted and mediated by CD4+ CTL. However, CD8+ CTL also contributed to the lysis of autologous targets as well as allogeneic targets having a common HLA-A and/or -B determinant. The HLA-restricted cytotoxicity was virus-specific as HSV-infected, but not CMV-infected, cells were lysed. CTL-mediated lysis of HSV-infected monocytes and macrophages may be of significance in the anti-viral and immunoregulatory host response.","['Torpey, D J 3rd', 'Lindsley, M D', 'Rinaldo, C R Jr']","['Torpey DJ 3rd', 'Lindsley MD', 'Rinaldo CR Jr']","['Department of Infectious Diseases and Microbiology, Graduate School of Public Health, University of Pittsburgh, PA 15261.']",['eng'],['AI-16212/AI/NIAID NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Viral)', '0 (Epitopes)', '0 (HLA Antigens)']",IM,"['Antigens, Differentiation, T-Lymphocyte', 'Antigens, Viral/immunology', 'Cell Line', '*Cytotoxicity, Immunologic', 'Epitopes/immunology', 'HLA Antigens/genetics/*immunology', 'Herpes Simplex/genetics/*immunology', 'Humans', 'Leukemia, Erythroblastic, Acute/immunology/microbiology', 'Lymphocyte Activation', 'Macrophages/*immunology/microbiology', 'Monocytes/*immunology/microbiology', 'Phenotype', 'T-Lymphocytes, Cytotoxic/*classification/immunology']",1989/02/15 00:00,2001/03/28 10:01,['1989/02/15 00:00'],"['1989/02/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1989/02/15 00:00 [entrez]']",,ppublish,J Immunol. 1989 Feb 15;142(4):1325-32.,,,,,,,,,
2464640,NLM,MEDLINE,19890313,20071114,0022-1767 (Print) 0022-1767 (Linking),142,4,1989 Feb 15,Characteristics of B cell proliferation and activation in murine AIDS.,1144-9,"A syndrome characterized by lymphadenopathy, hypergammaglobulinemia, and immunodeficiency develops in C57BL/6 mice inoculated with LP-BM5 murine leukemia viruses. By studying the number and antigenic specificity of B cells activated in the course of this disease, we found that a series of reproducible changes in the humoral immune system were induced by retroviral infection. The rate of B cell proliferation and the proportion of B cells activated to secrete Ig increased by nearly 10-fold at 4 wk post inoculation. B cells producing antibodies reactive with a panel of three conventional Ag and five autoantigens were stimulated simultaneously and proportionally to secrete, demonstrating that such activation was polyclonal in nature. At 12 wk post infection, the number of Ig-secreting B cells continued to rise and significant hypergammaglobulinemia developed. At 16 wk post infection, immunostimulation gave way to immunosuppression, as evidenced by a slight decline in the number of Ig-secreting lymphocytes and a sharp reduction in the concentration of serum antibody. At this time, the B cell repertoires of infected mice diverged markedly from those of uninfected animals. These changes are comparable to those found in some patients infected with HIV, and provide a useful model to study the association between retroviral infection and regulatory abnormalities of the humoral immune system.","['Klinman, D M', 'Morse, H C 3rd']","['Klinman DM', 'Morse HC 3rd']","['Infectious Diseases Branch, National Institute of Neurological and Communicative Disorders and Stroke, Bethesda, MD 20892.']",['eng'],['N01 AI-72622/AI/NIAID NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Epitopes)', '0 (Immunoglobulins)']",IM,"['Animals', 'B-Lymphocytes/*immunology/metabolism/pathology', 'Cell Division', 'Epitopes', 'Hypergammaglobulinemia/immunology', 'Immunoglobulins/biosynthesis', 'Immunologic Deficiency Syndromes/*immunology/metabolism/pathology', 'Leukemia, Experimental/*immunology/metabolism/pathology', '*Lymphocyte Activation', 'Mice', 'Mice, Inbred C57BL', 'Retroviridae Infections/*immunology/metabolism/pathology']",1989/02/15 00:00,1989/02/15 00:01,['1989/02/15 00:00'],"['1989/02/15 00:00 [pubmed]', '1989/02/15 00:01 [medline]', '1989/02/15 00:00 [entrez]']",,ppublish,J Immunol. 1989 Feb 15;142(4):1144-9.,,,,,,,,,
2464637,NLM,MEDLINE,19890313,20061115,0022-1767 (Print) 0022-1767 (Linking),142,4,1989 Feb 15,Activation of cloned human natural killer cells via Fc gamma RIII.,1102-6,The Fc gamma RIII (CD16) Ag on human NK cells involved in antibody-dependent cellular cytotoxicity has been demonstrated to be an important activation structure. The present studies were carried out to further characterize the functional role of the CD16 Ag and the mechanisms whereby cytotoxicity is activated by using human NK clones. In phenotypic studies Fc gamma RIII was found to be expressed heterogeneously on various human cloned NK cells. Expression on CD3- and CD3+ clones varied with the donor and mAb used for detection. Functional data demonstrated that cytotoxicity against NK-resistant target cells can be induced in CD3-CD16+ NK clones and CD3+CD16+ clones with NK activity when various CD16 mAb were used. CD16 antibodies but not reactive isotype control antibodies induced cytotoxicity. In contrast to complete CD16 antibodies F(ab')2 fragments were not able to activate the cytotoxic mechanism. Both an antibody against FcR on the target cell (Fc gamma RII) and a CD11a antibody blocked induction of cytotoxicity. These results suggest that three steps are critical for activation of CD16+ cells via Fc gamma RIII: 1) specific binding of CD16 antibodies to Fc gamma RIII on effector cells irrespective of the epitope recognized; 2) cross-linking of effector cell CD16 Ag through binding of the Fc site of CD16 antibodies via corresponding FcR on the target cell membrane; and 3) interaction of CD11a/18 molecules with the target cell membrane.,"['Werfel, T', 'Uciechowski, P', 'Tetteroo, P A', 'Kurrle, R', 'Deicher, H', 'Schmidt, R E']","['Werfel T', 'Uciechowski P', 'Tetteroo PA', 'Kurrle R', 'Deicher H', 'Schmidt RE']","['Abteillung Immunologie und Transfusionsmedizin, Medizinische Hochschule Hannover, FRG.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (Epitopes)', '0 (Immunoglobulin Fab Fragments)', '0 (Immunoglobulin G)', '0 (Lymphocyte Function-Associated Antigen-1)', '0 (Receptors, Fc)', '0 (Receptors, IgG)']",IM,"['Animals', 'Antibodies, Monoclonal/physiology', 'Antigens, Differentiation/analysis/immunology/*physiology', 'Binding, Competitive', 'Clone Cells/immunology', '*Cytotoxicity, Immunologic', 'Epitopes/immunology', 'Humans', 'Immunoglobulin Fab Fragments/physiology', 'Immunoglobulin G/*metabolism/physiology', 'Killer Cells, Natural/*immunology', 'Leukemia L1210/immunology', '*Lymphocyte Activation', 'Lymphocyte Function-Associated Antigen-1', 'Receptors, Fc/analysis/immunology/*physiology', 'Receptors, IgG']",1989/02/15 00:00,1989/02/15 00:01,['1989/02/15 00:00'],"['1989/02/15 00:00 [pubmed]', '1989/02/15 00:01 [medline]', '1989/02/15 00:00 [entrez]']",,ppublish,J Immunol. 1989 Feb 15;142(4):1102-6.,,,,,,,,,
2464574,NLM,MEDLINE,19890317,20041117,0004-5772 (Print) 0004-5772 (Linking),36,10,1988 Oct,A case of erythroleukaemia with partial expression of fetal red cell markers.,620,,"['Sumitra, D', 'Kumar, S', 'Neelam, V', 'Sarode, R', 'Verma, S']","['Sumitra D', 'Kumar S', 'Neelam V', 'Sarode R', 'Verma S']",,['eng'],,"['Case Reports', 'Letter']",India,J Assoc Physicians India,The Journal of the Association of Physicians of India,7505585,['9034-63-3 (Fetal Hemoglobin)'],IM,"['Adolescent', 'Fetal Hemoglobin/*analysis', 'Humans', 'Leukemia, Erythroblastic, Acute/blood/*diagnosis', 'Male']",1988/10/01 00:00,1988/10/01 00:01,['1988/10/01 00:00'],"['1988/10/01 00:00 [pubmed]', '1988/10/01 00:01 [medline]', '1988/10/01 00:00 [entrez]']",,ppublish,J Assoc Physicians India. 1988 Oct;36(10):620.,,,,,,,,,
2464507,NLM,MEDLINE,19890323,20161020,0239-8508 (Print) 0239-8508 (Linking),26,4,1988,Leukaemic cell growth and aggregation in vitro.,203-8,"Experiments were performed with two lymphoblastic mouse leukaemia, L1210 VA II cell population growing in vitro for 90 and 400 days. These cells were cultured for 9 days in Eagle's solution without exchanging the medium, and each day a sample was taken for determination of its density, viability of cells and cell diameter. In the cells of the 400 day old population the presence and number of aggregates was checked. Lipid, nucleotide, nucleic acid, DNA and protein contents were determined in these cells. The present experiment in vitro was arranged to observe an aggregation of leukaemia cells during culture without change of the medium. The density and viability of cells changes of their metabolism in this system may stimulate the situation in vivo after dissemination of cells to a new place.","['Dominiak, B', 'Barcew, B', 'Kawiak, J']","['Dominiak B', 'Barcew B', 'Kawiak J']","['Department of Histology and Embryology, Pomeranian Academy of Medicine, Szczecin, Poland.']",['eng'],,['Journal Article'],Poland,Folia Histochem Cytobiol,Folia histochemica et cytobiologica,8502651,"['63231-63-0 (RNA)', '9007-49-2 (DNA)']",IM,"['Animals', 'Cell Aggregation', 'Cell Division', 'Cell Line', 'DNA/analysis', 'Leukemia, Lymphoid/*pathology', 'Mice', 'RNA/analysis', 'Tumor Cells, Cultured/analysis']",1988/01/01 00:00,1988/01/01 00:01,['1988/01/01 00:00'],"['1988/01/01 00:00 [pubmed]', '1988/01/01 00:01 [medline]', '1988/01/01 00:00 [entrez]']",,ppublish,Folia Histochem Cytobiol. 1988;26(4):203-8.,,,,,,,,,
