PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,AB,TT,PMC,OID,GN,OAB,OABL,OTO,OT,SI
7146861,NLM,MEDLINE,19830119,20061115,0036-7672 (Print) 0036-7672 (Linking),112,43,1982 Oct 23,[Heart metastasis of malignant tumors. An autopsy study].,1497-501,"['Fiala, W', 'Schneider, J']","['Fiala W', 'Schneider J']",['ger'],"['English Abstract', 'Journal Article']",Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,,IM,"['Breast Neoplasms', 'Carcinoma', 'Female', 'Heart Neoplasms/*secondary', 'Humans', 'Kidney Neoplasms', 'Leukemia', 'Lung Neoplasms', 'Lymphoma', 'Male', 'Melanoma', 'Neoplasm Metastasis']",1982/10/23 00:00,1982/10/23 00:01,['1982/10/23 00:00'],"['1982/10/23 00:00 [pubmed]', '1982/10/23 00:01 [medline]', '1982/10/23 00:00 [entrez]']",,ppublish,Schweiz Med Wochenschr. 1982 Oct 23;112(43):1497-501.,,"In contrast to their clinical manifestation, metastases to the heart are not rare findings at autopsy. In one of five patients dying from metastatic cancer, spread to the heart is found. The incidence of metastatic involvement of the heart depends on the type of cancer, malignant melanoma and leukemia being the most frequent and metastases of carcinoma less so. The primary carcinomas metastasizing to the heart are most often situated near it, which may indicate that lymphatic channels are infiltrated in a retrograde manner from metastatic deposits in mediastinal lymph nodes. The fact that metastasis of primary carcinoma in the vicinity of the heart lodge predominantly in the epicardium supports this concept. On the other hand, it appears easier to explain the frequency and distribution of cardiac metastases from carcinomas of the abdominal cavity by assuming that they are bloodborne. Hence it is assumed that the routes of disseminated of tumor cells to the heart are through lymphatic as well as blood vessels.",Herzmetastasen maligner Tumoren. Eine Autopsie-Studie.,,,,,,,,
7146713,NLM,MEDLINE,19830119,20041117,0035-3655 (Print) 0035-3655 (Linking),102,9,1982 Sep,[Leukemic reticuloendotheliosis. Clinical entity and therapeutic problems].,857-62,"['Lapp, R', 'Pugin, P', 'Ruffieux, C']","['Lapp R', 'Pugin P', 'Ruffieux C']",['fre'],"['Case Reports', 'Journal Article']",Switzerland,Rev Med Suisse Romande,Revue medicale de la Suisse romande,0421524,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Aged', 'Antineoplastic Agents/administration & dosage', 'Humans', 'Leukemia, Hairy Cell/*diagnosis/therapy/ultrastructure', 'Male', 'Microscopy, Electron', 'Middle Aged', 'Reticulocytes/ultrastructure']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",,ppublish,Rev Med Suisse Romande. 1982 Sep;102(9):857-62.,,,La leucemie a tricholeucocytes. Entite clinique et problemes therapeutiques.,,,,,,,,
7145696,NLM,MEDLINE,19830107,20151119,,24,4,1982,The kinetics of leukemic blast cells in man and the cytokinetic effect of cytostatic agents in vivo.,213-9,"['Killmann, S A', 'Wantzin, G L']","['Killmann SA', 'Wantzin GL']",['eng'],['Journal Article'],Germany,Nouv Rev Fr Hematol,Nouvelle revue francaise d'hematologie,7909092,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Blood Cells/*pathology', 'Cell Cycle/drug effects', 'Cytarabine/pharmacology', 'Daunorubicin/pharmacology', 'Humans', 'Kinetics', 'Leukemia/*blood', 'Methotrexate/pharmacology', 'Mitotic Index', 'Neoplastic Cells, Circulating', 'Prednisone/pharmacology', 'Vincristine/pharmacology']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol. 1982;24(4):213-9.,,,,,,,,,,,
7145687,NLM,MEDLINE,19830127,20071115,0301-1518 (Print) 0301-1518 (Linking),11,41,1982 Oct 16,[Nephrotic syndrome associated with chronic lymphoid leukemia. Review of the literature apropos of a case].,3047-9,"['Gouet, D', 'Marechaud, R', 'Touchard, G', 'Abadie, J C', 'Pourrat, O', 'Sudre, Y']","['Gouet D', 'Marechaud R', 'Touchard G', 'Abadie JC', 'Pourrat O', 'Sudre Y']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,['0 (Immunosuppressive Agents)'],IM,"['Aged', 'Female', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Kidney/immunology/pathology', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Middle Aged', 'Nephrotic Syndrome/*etiology/immunology/pathology/therapy']",1982/10/16 00:00,1982/10/16 00:01,['1982/10/16 00:00'],"['1982/10/16 00:00 [pubmed]', '1982/10/16 00:01 [medline]', '1982/10/16 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1982 Oct 16;11(41):3047-9.,,"A case of chronic lymphoid leukaemia complicated by a nephrotic syndrome is reported. There was no evidence of amyloidosis or renal vein thrombosis. Percutaneous renal biopsy disclosed lobular membranoproliferative glomerulonephritis with subendothelial deposits of IgG, C3, C4 and C1q. Circulating immune complexes, IgG lambda cryoglobulin and low CH50 levels due to activation of the classical pathway were demonstrated in serum. Immunosuppressive treatment of the leukaemia resulted in complete regression of the nephrotic syndrome.",Syndrome nephrotique associe a une leucemie lymphoide chronique. Revue de la litterature a propos d'un cas.,,,,,,,,
7145387,NLM,MEDLINE,19830107,20161123,0030-6002 (Print) 0030-6002 (Linking),123,33,1982 Aug 15,[Bone manifestations of hematologic diseases].,2023-30,"['Forrai, J']",['Forrai J'],['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,,IM,"['Arthritis/diagnostic imaging/etiology', 'Bone Diseases/diagnostic imaging/*etiology', 'Bone Marrow Diseases/etiology', 'Hodgkin Disease/*complications', 'Humans', 'Leukemia/*complications', 'Lymphoma/*complications', 'Osteolysis/diagnostic imaging/etiology', 'Radiography']",1982/08/15 00:00,1982/08/15 00:01,['1982/08/15 00:00'],"['1982/08/15 00:00 [pubmed]', '1982/08/15 00:01 [medline]', '1982/08/15 00:00 [entrez]']",,ppublish,Orv Hetil. 1982 Aug 15;123(33):2023-30.,,,Haematologiai betegsegek csontrendszeri manifesztacioi.,,,,,,,,
7144910,NLM,MEDLINE,19830127,20190617,0028-0836 (Print) 0028-0836 (Linking),300,5893,1982 Dec 16,Onco gen.,582,"['Newmark, P']",['Newmark P'],['eng'],['News'],England,Nature,Nature,0410462,,IM,"['Animals', '*Cell Transformation, Viral', 'Gene Expression Regulation', 'Mice', 'Moloney murine leukemia virus/*genetics', '*Oncogenes']",1982/12/16 00:00,1982/12/16 00:01,['1982/12/16 00:00'],"['1982/12/16 00:00 [pubmed]', '1982/12/16 00:01 [medline]', '1982/12/16 00:00 [entrez]']",['10.1038/300582a0 [doi]'],ppublish,Nature. 1982 Dec 16;300(5893):582. doi: 10.1038/300582a0.,,,,,,,,,,,
7144895,NLM,MEDLINE,19830119,20190617,0028-0836 (Print) 0028-0836 (Linking),300,5891,1982 Dec 2,Inserted retroviruses cause embryonic lethal mutation.,401-2,"['Willison, K R']",['Willison KR'],['eng'],['News'],England,Nature,Nature,0410462,"['0 (DNA, Recombinant)', '0 (DNA, Viral)']",IM,"['Alleles', 'Animals', '*DNA, Recombinant', 'DNA, Viral/genetics', 'Female', 'Gene Expression Regulation', '*Genes, Lethal', 'Mice', 'Moloney murine leukemia virus/*genetics', 'Pregnancy']",1982/12/02 00:00,1982/12/02 00:01,['1982/12/02 00:00'],"['1982/12/02 00:00 [pubmed]', '1982/12/02 00:01 [medline]', '1982/12/02 00:00 [entrez]']",['10.1038/300401a0 [doi]'],ppublish,Nature. 1982 Dec 2;300(5891):401-2. doi: 10.1038/300401a0.,,,,,,,,,,,
7144868,NLM,MEDLINE,19830119,20111117,0028-4793 (Print) 0028-4793 (Linking),307,27,1982 Dec 30,"Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 52-1982. A 50-year-old man with hairy-cell leukemia, recurrent fever, and variable pulmonary infiltrates.",1693-700,,,['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,N Engl J Med,The New England journal of medicine,0255562,,IM,"['Diagnosis, Differential', 'Humans', 'Leukemia, Hairy Cell/complications/diagnosis/*pathology', 'Lymph Nodes/pathology', 'Lymphadenitis/diagnosis/*pathology', 'Male', 'Middle Aged', 'Mycobacterium Infections/*pathology', 'Mycobacterium Infections, Nontuberculous/diagnosis/*pathology', 'Necrosis']",1982/12/30 00:00,1982/12/30 00:01,['1982/12/30 00:00'],"['1982/12/30 00:00 [pubmed]', '1982/12/30 00:01 [medline]', '1982/12/30 00:00 [entrez]']",['10.1056/NEJM198212303072707 [doi]'],ppublish,N Engl J Med. 1982 Dec 30;307(27):1693-700. doi: 10.1056/NEJM198212303072707.,,,,,,,,,,,
7144804,NLM,MEDLINE,19830107,20190702,0027-5107 (Print) 0027-5107 (Linking),97,5,1982 Oct,A statistical method for analysis of mouse lymphoma L5178Y cell TK locus forward mutation assay. Comparison of results among three laboratories.,371-92,"['Irr, J D', 'Snee, R D']","['Irr JD', 'Snee RD']",['eng'],"['Comparative Study', 'Journal Article']",Netherlands,Mutat Res,Mutation research,0400763,"['0 (Mutagens)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Analysis of Variance', 'Animals', 'Dose-Response Relationship, Drug', 'Laboratories', 'Leukemia L5178/enzymology/*genetics', 'Leukemia, Experimental/*genetics', 'Mice', '*Mutagenicity Tests', 'Mutagens/pharmacology', '*Statistics as Topic', 'Thymidine Kinase/*genetics']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']","['0165-1161(82)90004-8 [pii]', '10.1016/0165-1161(82)90004-8 [doi]']",ppublish,Mutat Res. 1982 Oct;97(5):371-92. doi: 10.1016/0165-1161(82)90004-8.,,"Analysis of data from our laboratory and that of two National Cancer Institute contractor laboratories indicate the random variation in the results of the mouse lymphoma L5178Y cell TK locus mutation assay can be adequately described by a lognormal distribution. This indicates that transformation of mutant frequencies to logarithms enables one to properly use well-known statistical techniques such as analysis of variance, regression analysis, and Student's t-test for the interpretation of data from this assay. The consistency of the lognormal distribution among laboratories is demonstrated. Three examples which illustrate the mechanics and interpretation of the proposed methodology are included. It is concluded that the method is effective in identifying weak mutagens as well as enabling the user to compute the uncertainty associated with an observed increase in mutagenic activity.",,,,,,,,,
7144801,NLM,MEDLINE,19830119,20190702,0027-5107 (Print) 0027-5107 (Linking),96,2-3,1982 Oct,Establishment of a dose-response relationship for reverse mutation at the HPRT (hypoxanthine guanine phosphoribosyl transferase) locus L5178Y mouse lymphoma cells.,259-71,"['Knaap, A G', 'Meera Khan, P', 'Simons, J W']","['Knaap AG', 'Meera Khan P', 'Simons JW']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Mutat Res,Mutation research,0400763,"['0 (Mutagens)', 'EC 2.4.2.8 (Hypoxanthine Phosphoribosyltransferase)', 'P8M1T4190R (Ethylnitrosourea)']",IM,"['Animals', 'Cell Line', 'Clone Cells/cytology/enzymology', 'Ethylnitrosourea/pharmacology', 'Hypoxanthine Phosphoribosyltransferase/*genetics', 'Leukemia L5178/*genetics', 'Leukemia, Experimental/*genetics', 'Mice', 'Mutagens', '*Mutation/drug effects', 'Phenotype']",1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']","['0027-5107(82)90092-6 [pii]', '10.1016/0027-5107(82)90092-6 [doi]']",ppublish,Mutat Res. 1982 Oct;96(2-3):259-71. doi: 10.1016/0027-5107(82)90092-6.,,"L5178Y mouse lymphoma cells were treated with the mismatching agent 6-hydroxy-aminopurine (HAP), a base analogue known to produce forward and reverse mutations in bacteria. Mutants with the phenotype deficient in hypoxanthine guanine phosphoribosyl transferase (HPRT) were selected in 6-thoiguanine(TG)-containing medium and isolated. Reverse mutations to the HPRT-proficient phenotype occurred both spontaneously and after treatment with ethyl nitrosourea (ENU), which suggested that the initial HAP treatment had induced point mutations at the HPRT locus. Reconstruction experiments, in which a small number of wild-type cells together with different numbers of mutant cells were seeded in HAT medium, indicated that densities up to 10(6) cells per ml can be used for the selection of revertants. Optimal expression of induced revertants was obtained two days after treatment. The dose-response relationship for induction of reverse mutations by ENU appears not to deviate from linearity. The highest revertant frequency observed was 3.3 x 10(-5) at an ENU concentration of 1 mM. The spontaneous reversion frequency per generation -- based on 3 spontaneous revertants -- was estimated to be 1.3 x 10(-9). All revertants were indistinguishable from the parental wild-type line with respect to the activity as well as the electrophoretic mobility of HPRT.",,,,,,,,,
7144758,NLM,MEDLINE,19830119,20190825,0161-5890 (Print) 0161-5890 (Linking),19,9,1982 Sep,"Primary structural analysis of the Tla region gene products, QA-2 and TL.",1193-7,"['Soloski, M J', 'McIntyre, K R', 'Uhr, J W', 'Vitetta, E S']","['Soloski MJ', 'McIntyre KR', 'Uhr JW', 'Vitetta ES']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Mol Immunol,Molecular immunology,7905289,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Histocompatibility Antigens Class I)', '0 (Membrane Glycoproteins)', '0 (Peptide Fragments)', '0 (Q surface antigens)', '0 (thymus-leukemia antigens)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Animals', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/*analysis', 'Cell Line', '*Histocompatibility Antigens Class I', '*Membrane Glycoproteins', 'Mice', 'Mice, Inbred C57BL', 'Peptide Fragments/analysis', '*Protein Biosynthesis', 'Trypsin']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['10.1016/0161-5890(82)90330-3 [doi]'],ppublish,Mol Immunol. 1982 Sep;19(9):1193-7. doi: 10.1016/0161-5890(82)90330-3.,"['AI-11851/AI/NIAID NIH HHS/United States', 'AI-13448/AI/NIAID NIH HHS/United States']",,,,,,,,,,
7144757,NLM,MEDLINE,19830119,20190825,0161-5890 (Print) 0161-5890 (Linking),19,9,1982 Sep,Role of glycosylation in the cell surface expression and secretion of immunoglobulin molecules by BCL1 cells.,1149-57,"['Yuan, D']",['Yuan D'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Mol Immunol,Molecular immunology,7905289,"['0 (Glycoproteins)', '0 (H-2 Antigens)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '11089-65-9 (Tunicamycin)', 'N08U5BOQ1K (Glucosamine)']",IM,"['Animals', 'Cell Line', 'Cell Membrane/immunology', 'Glucosamine/*analogs & derivatives', 'Glycoproteins', 'H-2 Antigens/immunology', 'Hybridomas/immunology', 'Immunoglobulin G/biosynthesis', 'Immunoglobulin M/*biosynthesis', 'Leukemia, Experimental/immunology', 'Mice', 'Mice, Inbred BALB C', 'Tunicamycin/*pharmacology']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['10.1016/0161-5890(82)90325-x [doi]'],ppublish,Mol Immunol. 1982 Sep;19(9):1149-57. doi: 10.1016/0161-5890(82)90325-x.,['AI-11851/AI/NIAID NIH HHS/United States'],,,,,,,,,,
7144755,NLM,MEDLINE,19830119,20190825,0161-5890 (Print) 0161-5890 (Linking),19,9,1982 Sep,Proteolysis of soluble IgE-receptor complexes: localization of sites on IgE which interact with the Fc receptor.,1113-25,"['Perez-Montfort, R', 'Metzger, H']","['Perez-Montfort R', 'Metzger H']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Mol Immunol,Molecular immunology,7905289,"['0 (Receptors, Fc)', '37341-29-0 (Immunoglobulin E)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Amino Acid Sequence', 'Animals', 'Binding Sites, Antibody', 'Electrophoresis, Polyacrylamide Gel', 'Immunoglobulin E/*metabolism', 'Kinetics', 'Mice', 'Rats', 'Receptors, Fc/*metabolism', 'Solubility', 'Trypsin/metabolism']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['10.1016/0161-5890(82)90322-4 [doi]'],ppublish,Mol Immunol. 1982 Sep;19(9):1113-25. doi: 10.1016/0161-5890(82)90322-4.,,"Mouse and rat IgE and the respective soluble IgE-receptor complexes purified from rat basophilic leukemia cells were digested with trypsin. The end product in each case was F(ab')2-like. It contained the Ce2 regions, had intact antigen combining sites but had lost all ability to bind to the cell receptor for IgE. With mouse IgE the two principal sites of cleavage are likely to be the interdomain regions between Ce4:Ce3 and Ce3:C32 respectively. Cleavage at these sites occurs sequentially with the rate constant for the cleavage at the second site being approximately four-fold greater than that for the initial cleavage. When IgE is bound to the receptor the rates of cleavage are inhibited approximately three-fold. With rat IgE, the principal initial cleavage occurs within the intrachain disulfide loop in the Ce3 domain. Even when this disulfide bond in the digested protein is reduced, the product retains a substantial binding activity. A second cleavage occurs at a similar rate as the first and at a site analogous to that seen with mouse IgE, i.e. between the Ce3 and Ce2 domains. Notably, when bound to the receptor, the rate of cleavage at the first site is inhibited approximately three-fold but at the second site more than or equal to 40-fold. These results strongly implicate thd Ce3 domain as the principal site of interaction between rodent IgE and its receptor.",,,,,,,,,
7144698,NLM,MEDLINE,19830119,20190904,0098-1532 (Print) 0098-1532 (Linking),10,5,1982,Prognostic role of the intravenous urogram in children with acute leukemia.,489-96,"['Taylor, G A', 'Mellits, E D', 'Zinkham, W H', 'Leventhal, B G']","['Taylor GA', 'Mellits ED', 'Zinkham WH', 'Leventhal BG']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,['0 (Contrast Media)'],IM,"['Adolescent', 'Child', 'Child, Preschool', 'Contrast Media/adverse effects', 'Female', 'Hematocrit', 'Humans', 'Infant', 'Injections, Intravenous', 'Kidney/diagnostic imaging', 'Kidney Function Tests', 'Leukemia/*diagnostic imaging', 'Leukocyte Count', 'Male', 'Platelet Count', 'Prognosis', 'Recurrence', 'Retrospective Studies', 'Urography']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1002/mpo.2950100509 [doi]'],ppublish,Med Pediatr Oncol. 1982;10(5):489-96. doi: 10.1002/mpo.2950100509.,['RR 00052/RR/NCRR NIH HHS/United States'],"We retrospectively studied intravenous urograms (IVU) performed at presentation on 108 children with acute leukemia in order to determine whether any association existed between an abnormal IVU and known prognostic factors at presentation, initial renal function, and outcome. Sixteen patients (14%) had abnormal IVUs. These patients were compared to the remainder of the group and found to be comparable in respect to known prognostic factors at diagnosis (P greater than 0.05). No correlation was found between abnormal renal function and an abnormal IVU. Renal enlargement was associated with shorter survival only in patients who had both adenopathy and hepatosplenomegaly (P less than 0.01). This effect did not persist in any other group of patients examined. When subjected to multivariate analysis the IVU did not significantly influence relapse or survival in these patients. Renal enlargement may be a prognostic feature in some patients with childhood leukemia. Nevertheless routine evaluation by IVU is discouraged because of potential adverse affects of urographic contrast media and the availability of noninvasive ultrasound techniques.",,,,,,,,,
7144696,NLM,MEDLINE,19830119,20190904,0098-1532 (Print) 0098-1532 (Linking),10,5,1982,Transfusion of granulocyte rich buffy coats to neutropenic patients.,447-54,"['Reiss, R F', 'Pindyck, J', 'Waldman, A A', 'Raju, M', 'Kulpa, J']","['Reiss RF', 'Pindyck J', 'Waldman AA', 'Raju M', 'Kulpa J']",['eng'],"['Comparative Study', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Adult', 'Agranulocytosis/*therapy', 'Blood Donors', '*Blood Transfusion', 'Family', 'Granulocytes/*transplantation', 'Humans', 'Leukapheresis', 'Leukemia/therapy', 'Neutropenia/*therapy', 'Prognosis']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1002/mpo.2950100504 [doi]'],ppublish,Med Pediatr Oncol. 1982;10(5):447-54. doi: 10.1002/mpo.2950100504.,,"Granulocyte rich buffy coats were transfused to infected neutropenic patients when leukapheresis donors were not available. Efficacy of transfusions was evaluated from data supplied by hospitals administering them. Buffy coats separated from ACD blood contained a mean of 4.9 X 10(8) granulocytes. Fifty-seven patients received a course consisting of a mean of 3.8 transfusions. Of these, 27 received a mean of 17.5 units per transfusion and had a survival rate of 44.4%, which was not significantly different from the 50.0% found in 30 who received a mean of 11.1 units per transfusion. No significant difference in survival rate was found between 31 patients with acute leukemia and 26 with other disorders or 38 patients with positive and 19 with negative cultures. Finally, no significant difference in survival rate was noted between patients who received a course of greater than or equal to four transfusions or less than or equal to three transfusions in any of the above groups. Survival rates were less than those generally reported following similar courses of leukapheresis units. Buffy coat transfusions consisting of a mean of approximately 17.5 units as produced during this study have therefore been shown to be not generally beneficial. The increased survival seen in some studies utilizing leukapheresis products may relate in part to the larger number of granulocytes they contained. Greater benefit from buffy coat transfusions might result if the number of granulocytes infused were increased. Evaluation of possible efficacy associated with transfusions of increased numbers of buffy coat units further enriched with granulocytes may be justified when leukapheresis donors are not available.",,,,,,,,,
7144640,NLM,MEDLINE,19830119,20190821,0306-9877 (Print) 0306-9877 (Linking),9,3,1982 Sep,Cancer of the lymphatic system and leukaemia. A correlation with vehicle accidents.,343-51,"['Robinson, A A']",['Robinson AA'],['eng'],['Journal Article'],United States,Med Hypotheses,Medical hypotheses,7505668,['0 (Blood Glucose)'],IM,"['*Accidents, Traffic', 'Adolescent', 'Adult', 'Aged', 'Australia', 'Blood Glucose/metabolism', 'Child', 'Child, Preschool', 'Energy Metabolism', 'Female', 'Humans', 'Hypothalamus/physiology', 'Infant', 'Leukemia/*mortality', 'Lymphoma/*mortality', 'Male', 'Middle Aged', 'Motion Perception/physiology', 'Sex Factors']",1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']","['0306-9877(82)90165-7 [pii]', '10.1016/0306-9877(82)90165-7 [doi]']",ppublish,Med Hypotheses. 1982 Sep;9(3):343-51. doi: 10.1016/0306-9877(82)90165-7.,,,,,,,,,,,
7144333,NLM,MEDLINE,19830107,20131121,0379-0355 (Print) 0379-0355 (Linking),4,6,1982 Aug-Sep,Proliferation of human acute leukemia cells in culture on treatment with an homo-aza-steroid.,403-6,"['Politis, G', 'Camoutsis, C', 'Catsoulacos, P']","['Politis G', 'Camoutsis C', 'Catsoulacos P']",['eng'],['Journal Article'],Spain,Methods Find Exp Clin Pharmacol,Methods and findings in experimental and clinical pharmacology,7909595,"['0 (Androstanes)', '0 (Azasteroids)', '0 (Steroids, Heterocyclic)', '39932-99-5 (3 beta-hydroxy-13 alpha-amino-13,17-seco-5', 'alpha-androstan-17-oic-13,17-lactam)', 'VC2W18DGKR (Thymidine)']",IM,"['Adult', '*Androstanes', 'Azasteroids/*pharmacology', 'Cell Division/drug effects', 'Cells, Cultured', 'Humans', 'Leukemia/*physiopathology', 'Middle Aged', 'Steroids, Heterocyclic/*pharmacology', 'Thymidine/metabolism']",1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']",,ppublish,Methods Find Exp Clin Pharmacol. 1982 Aug-Sep;4(6):403-6.,,"When cultures of human leukemia cells from 9 untreated patients with acute leukemia were treated with 3 beta-hydroxy-13 alpha-amino-13,17-seco-5 alpha-androstan-17-oic-13, 17-lactam, an increased proliferating activity was exhibited. The leukemia cells were cultured for 48h and the amounts of lactam (4, 12 and 24 ng/ml) were added at zero time in the continuous presence of (3H)-thymidine. Our data suggested that in high concentrations lactam acts as a toxic agent while in the lower ones it seems to stimulate proliferation of the blast cell.",,,,,,,,,
7144233,NLM,MEDLINE,19830127,20190825,0145-2126 (Print) 0145-2126 (Linking),6,4,1982,Use of in vivo infected spleen cells to study Fv-2r-mediated resistance of mice to Friend spleen focus-forming virus.,595-600,"['Chantratita, W', 'Yoosook, C']","['Chantratita W', 'Yoosook C']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,,IM,"['Animals', 'Female', 'Friend murine leukemia virus/*physiology', 'Leukemia, Experimental/*microbiology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Spleen/*microbiology', '*Virus Replication']",1982/01/01 00:00,1982/01/01 00:01,['1982/01/01 00:00'],"['1982/01/01 00:00 [pubmed]', '1982/01/01 00:01 [medline]', '1982/01/01 00:00 [entrez]']",['10.1016/0145-2126(82)90015-7 [doi]'],ppublish,Leuk Res. 1982;6(4):595-600. doi: 10.1016/0145-2126(82)90015-7.,,"In vivo infection of DBA/2 and D2.Fv-2r mice with 10(5) FFU of FV resulted in a rapid adsorption of virus onto the spleen cells. Thus, these cells could be used in the analysis of Fv-2 expression on FV target cells without any difficulty in avoiding extracellular FV particles. Higher frequencies of cells capable of forming IC could be detected in the spleen than in the bone marrow at 2 and 48 h post infection and levels were very low in D2.Fv-2r mice. When recently infected cells were transferred to secondary Fv-2s recipients shortly after infection had been established, the virus-replicating cells released SFFV equally well regardless of whether they originated from Fv-2s or Fv-2r mice. This suggests that suppression of SFFV replication may not take place in Fv-2r cells at an early stage of infection.",,,,,,,,,
