PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,PMC,AID,OID,OAB,OABL,OTO,OT,GN,RF,AD
848170,NLM,MEDLINE,19770525,20140918,0044-4030 (Print) 0044-4030 (Linking),121,1-2,1977,[Hairy cell leukemia (author's transl)].,143-7,"2 cases of hairy cell leukemia are reported. The disease is important for pathologists, because the splenomegaly is the leading clinical sign and often a splenectomy is performed with infomation about the true disease. The morphology of the spleen with infiltration of pulp cords and filling of sinuses by monomorphous blasts, with moderate fibrosis and atrophy of the white pulp is not convincing, because the hairy-like processes of the toumor-cell cytoplasm are not seen by usual histological examination. Hemocytomorphology and -cytochemistry are essential diagnostic procedures.","['Meister, H', 'Rudiger, K D', 'Wockel, W']","['Meister H', 'Rudiger KD', 'Wockel W']",['ger'],"['English Abstract', 'Journal Article']",Germany,Zentralbl Allg Pathol,Zentralblatt fur allgemeine Pathologie u. pathologische Anatomie,9105593,,IM,"['Adult', 'Blood Cells', 'Female', 'Humans', 'Leukemia/*pathology/surgery', 'Leukocytes', 'Lymphatic Diseases/*pathology/surgery', 'Middle Aged', 'Remission, Spontaneous', 'Spleen/pathology', 'Splenectomy']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Zentralbl Allg Pathol. 1977;121(1-2):143-7.,Beitrag zur Haarzellenleukose,,,,,,,,,,
847993,NLM,MEDLINE,19770512,20061115,0043-5147 (Print) 0043-5147 (Linking),30,4,1977 Feb 15,[Results of treatment of acute leukemia in adults].,293-8,,"['Urasinski, I', 'Wichert, K', 'Brandowska, M', 'Sochacka-kuzko, B']","['Urasinski I', 'Wichert K', 'Brandowska M', 'Sochacka-kuzko B']",['pol'],"['English Abstract', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia/*drug therapy', 'Male', 'Middle Aged', 'Remission, Spontaneous']",1977/02/15 00:00,1977/02/15 00:01,['1977/02/15 00:00'],"['1977/02/15 00:00 [pubmed]', '1977/02/15 00:01 [medline]', '1977/02/15 00:00 [entrez]']",ppublish,Wiad Lek. 1977 Feb 15;30(4):293-8.,Wyniki leczenia chorych na ostre bialaczki w wieku dojrzalym,,,,,,,,,,
847947,NLM,MEDLINE,19770525,20061115,0049-6804 (Print) 0049-6804 (Linking),,1,1977 Jan,[Reaction of delayed hypersensitivity in patients with leukosis and lymphomas].,56-8,,"['Loginskii, V E', 'Polishchuk, R S', 'Borodai, E I']","['Loginskii VE', 'Polishchuk RS', 'Borodai EI']",['rus'],"['English Abstract', 'Journal Article']",Ukraine,Vrach Delo,Vrachebnoe delo,0413607,['0 (Tuberculin)'],IM,"['Humans', 'Hypersensitivity, Delayed/chemically induced/*etiology', 'Leukemia/*complications', 'Lymphoma/*complications', 'Tuberculin/adverse effects']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Vrach Delo. 1977 Jan;(1):56-8.,Reaktsiia zamedlennoi giperchustvitel'nosti u bol'nykh leikozami i limfomami,,,,,,,,,,
847661,NLM,MEDLINE,19770525,20131121,0029-2001 (Print) 0029-2001 (Linking),97,1,1977 Jan 10,[Secondary diabetes insipidus].,16-7,,"['Halse, J', 'Haugen, H N']","['Halse J', 'Haugen HN']",['nor'],"['Case Reports', 'English Abstract', 'Journal Article']",Norway,Tidsskr Nor Laegeforen,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0413423,"['11000-17-2 (Vasopressins)', 'WTM2C3IL2X (Chlorpropamide)']",IM,"['Atrophy', 'Brain/pathology', 'Brain Diseases/*complications/pathology', 'Chlorpropamide/therapeutic use', 'Diabetes Insipidus/drug therapy/*etiology', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Middle Aged', 'Pituitary Gland/pathology', 'Vasopressins/therapeutic use']",1977/01/10 00:00,1977/01/10 00:01,['1977/01/10 00:00'],"['1977/01/10 00:00 [pubmed]', '1977/01/10 00:01 [medline]', '1977/01/10 00:00 [entrez]']",ppublish,Tidsskr Nor Laegeforen. 1977 Jan 10;97(1):16-7.,Sekundaer diabetes insipidus,,,,,,,,,,
847213,NLM,MEDLINE,19770525,20161123,0033-8419 (Print) 0033-8419 (Linking),123,2,1977 May,Prospective analysis of bone changes in treated childhood leukemia.,413-5,Serial knee radiographs were obtained from 58 children with leukemia. Leukemic bone changes were found in approximately half of those radiographed at the time of diagnosis but were consistently absent in children older than 10 years. The bone abnormalities persisted for as long as 10 months after treatment was started and did not occur or reappear at the time of relapse. Dense metaphyses simulating the appearance of lead poisoning developed in 20 of 58 patients during chemotherapy.,"['Rosenfield, N S', 'McIntosh, S']","['Rosenfield NS', 'McIntosh S']",['eng'],['Journal Article'],United States,Radiology,Radiology,0401260,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Bone Development', 'Bone Resorption/*etiology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Knee', 'Leukemia, Lymphoid/*complications/drug therapy', 'Osteolysis/diagnostic imaging/*etiology', 'Osteoporosis/diagnostic imaging/*etiology', 'Radiography', 'Remission, Spontaneous']",1977/05/01 00:00,1977/05/01 00:01,['1977/05/01 00:00'],"['1977/05/01 00:00 [pubmed]', '1977/05/01 00:01 [medline]', '1977/05/01 00:00 [entrez]']",ppublish,Radiology. 1977 May;123(2):413-5. doi: 10.1148/123.2.413.,,,['10.1148/123.2.413 [doi]'],,,,,,,,
846963,NLM,MEDLINE,19770512,20031114,0032-7484 (Print) 0032-7484 (Linking),7,1,1977,Rapid separation of cells at unit gravity.,45-60,"An apparatus is described for the rapid separation of cells at unit gravity. The apparatus is filled with a discontinuous density gradient, followed by the sample and then an overlay. The sedimentation chamber is turned from a vertical to a horizontal position before sedimentation takes place in order, (a) to form a continuous gradient out of the discontinuous gradient and, (b) to reduce the time required for the separation. After the sedimentation is completed the chamber is returned to a vertical position and the gradient fractionated by hydrostatic pressure using a newly developed floating device. The usefulness of the method is illustrated by the separation of leukemia cells in different phases of the life cycle.","['Bont, W S', 'Hilgers, J H']","['Bont WS', 'Hilgers JH']",['eng'],['Journal Article'],United States,Prep Biochem,Preparative biochemistry,1276634,"['0 (DNA, Neoplasm)']",IM,"['Animals', 'Cell Division', 'Cell Separation/*methods', 'Centrifugation, Density Gradient', 'DNA, Neoplasm/analysis', 'Leukemia/*pathology', '*Leukocytes', 'Mice']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Prep Biochem. 1977;7(1):45-60. doi: 10.1080/00327487708062112.,,,['10.1080/00327487708062112 [doi]'],,,,,,,,
846953,NLM,MEDLINE,19770520,20071115,1013-2058 (Print) 1013-2058 (Linking),66,12,1977 Mar 22,[Malignant cervical adenopathy: their diagnosis in the course of chronic cervical lymph nodes and their prognostic value (author's transl)].,356-64,,"['Richard, J']",['Richard J'],['fre'],['Journal Article'],Switzerland,Schweiz Rundsch Med Prax,Schweizerische Rundschau fur Medizin Praxis = Revue suisse de medecine Praxis,8403202,,IM,"['Adult', 'Diagnosis, Differential', 'Female', 'Head and Neck Neoplasms/*diagnosis', 'Humans', 'Leukemia, Lymphoid/pathology', 'Lymph Nodes/*pathology', 'Lymphoma/therapy', 'Male', 'Middle Aged', 'Neoplasm Metastasis', 'Parasitic Diseases/diagnosis', 'Prognosis', 'Sarcoidosis/diagnosis', 'Tuberculosis, Lymph Node/diagnosis', 'Virus Diseases/diagnosis']",1977/03/22 00:00,1977/03/22 00:01,['1977/03/22 00:00'],"['1977/03/22 00:00 [pubmed]', '1977/03/22 00:01 [medline]', '1977/03/22 00:00 [entrez]']",ppublish,Schweiz Rundsch Med Prax. 1977 Mar 22;66(12):356-64.,Les adenopathies cervicales malignes leur diagnostie au cours des adenopathies cervicales chroniques et leur valeur pronostique,,,,,,,,,,
846894,NLM,MEDLINE,19770512,20170306,,57,2,1977 Feb,"[Malignant lymphoma in the light of clinical, histological and prognostic data].",137-44,,"['Lawkowicz, W', 'Domanska-Marianska, B']","['Lawkowicz W', 'Domanska-Marianska B']",['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['0 (Autoantibodies)'],IM,"['Adult', 'Age Factors', 'Autoantibodies/analysis', 'Blood Platelets/immunology', 'Female', 'Humans', 'International Cooperation', 'Leukemia/pathology', 'Lymphoma/classification/immunology/*pathology/therapy', 'Male', 'Middle Aged', 'Prognosis', 'Remission, Spontaneous', 'Sex Factors', 'Time Factors']",1977/02/01 00:00,1977/02/01 00:01,['1977/02/01 00:00'],"['1977/02/01 00:00 [pubmed]', '1977/02/01 00:01 [medline]', '1977/02/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1977 Feb;57(2):137-44.,"Lymphoma malignum w swietle danych klinicznych, histologicznych oraz rokowniczych",,,,,,,,,,
846551,NLM,MEDLINE,19770525,20190823,0028-4793 (Print) 0028-4793 (Linking),296,18,1977 May 5,Chlorambucil and leukemia.,1065,,"['Cameron, S']",['Cameron S'],['eng'],['Letter'],United States,N Engl J Med,The New England journal of medicine,0255562,['18D0SL7309 (Chlorambucil)'],IM,"['Arthritis, Rheumatoid/drug therapy', 'Chlorambucil/*adverse effects/therapeutic use', 'Humans', 'Leukemia/*chemically induced']",1977/05/05 00:00,1977/05/05 00:01,['1977/05/05 00:00'],"['1977/05/05 00:00 [pubmed]', '1977/05/05 00:01 [medline]', '1977/05/05 00:00 [entrez]']",ppublish,N Engl J Med. 1977 May 5;296(18):1065. doi: 10.1056/nejm197705052961814.,,,['10.1056/nejm197705052961814 [doi]'],,,,,,,,
845998,NLM,MEDLINE,19770520,20211203,0027-8874 (Print) 0027-8874 (Linking),58,4,1977 Apr,"Response of transplanted AKR leukemia to combination therapy with amphotericin B and 1,3-bis(2-chloroethyl)-1-nitrosourea: dose and schedule dependency.",949-53,"A number of different amphotericin B (AmB)-1,3-bis(2 chloroethyl)-1-nitrosourea (BCNU) treatment regimens were evaluated with our model of transplantable AKR leukemia. We found that dose levels and treatment schedules were critical in determining the number of survivors. A 4-day treatment regimen of 0.5 mg AmB/mouse on days 1, 2, 3, and 4 and 0.2 mg BCNU/mouse on day 4 was found to be the most effective and has been chosen as our standard regimen. The efficacy of the treatment regimen depended on the presence of a large tumor burden, and the response was abolished when the mice were preirradiated or treated with the immunosuppressive agent, cyclophosphamide. These results, as well as others which we discuss, supported our notion that AmB affected host immune response to the tumor.","['Medoff, G', 'Valeriote, F', 'Ryan, J', 'Tolen, S']","['Medoff G', 'Valeriote F', 'Ryan J', 'Tolen S']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['7XU7A7DROE (Amphotericin B)', 'U68WG3173Y (Carmustine)']",IM,"['Amphotericin B/*administration & dosage/therapeutic use', 'Animals', 'Carmustine/*administration & dosage/therapeutic use', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Drug Synergism', 'Drug Therapy, Combination', 'Female', 'Immunity/drug effects', 'Immunosuppression Therapy', 'Leukemia, Experimental/drug therapy/immunology/pathology', 'Leukemia, Lymphoid/*drug therapy/immunology/pathology', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred AKR']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1977 Apr;58(4):949-53. doi: 10.1093/jnci/58.4.949.,,,['10.1093/jnci/58.4.949 [doi]'],,,,,,,,
845997,NLM,MEDLINE,19770520,20190509,0027-8874 (Print) 0027-8874 (Linking),58,4,1977 Apr,Cellular quantitation of in vivo effects of 1-beta-D-arabinofuranosylcytosine on leukemia L1210.,941-7,"We derived a cellular model for the use of the cytidine analogue 1-beta-D-arabinofuranosylcytosine (ara-C) against L1210 leukemia in vivo from dose- and time-survival studies. We employed a quantitative assay for leukemia colony-forming cells to construct dose- and time-survival curves for single, divided, and infused doses of ara-C. Time-survival curves for a large dose range of ara-C indicated not only cell killing but also progression delay effects in vivo. Divided dose studies showed the extent of cell killing (optimum effect) to be dependent upon both the dose and the interval of time between administration of the drugs. When the drug was given as an infusion, the extent of cell killing was as great as that produced by the best fractionation schedule, an effect which was verified in terms of therapeutic efficacy in leukemic mice.","['Edelstein, M', 'Valeriote, F', 'Vietti, T']","['Edelstein M', 'Valeriote F', 'Vietti T']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,['04079A1RDZ (Cytarabine)'],IM,"['Animals', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Cytarabine/administration & dosage/*pharmacology/therapeutic use', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Female', 'Infusions, Parenteral', 'Injections, Intravenous', 'Kinetics', 'Leukemia L1210/*drug therapy', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Models, Biological']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1977 Apr;58(4):941-7. doi: 10.1093/jnci/58.4.941.,,,['10.1093/jnci/58.4.941 [doi]'],,,,,,,,
845990,NLM,MEDLINE,19770520,20190509,0027-8874 (Print) 0027-8874 (Linking),58,4,1977 Apr,A new class of infectious agents detectable by the production of chorioallantoic membrane lesions by human lymphoblastoid cell lines and their culture supernatants.,853-62,"Intravenous injection of cells and their tissue culture supernatants (CS) from human lymphoblastoid cell lines (LCL) induced the formation of lesions on the chorioallantoic membrane (CAM) of the chicken embryo. Injection of cells and CS from non-LCL and normal human lymphocytes induced few or no lesions. Irradiated chick embryos were more sensitive to lesion formation than were nonirradiated embryos. The log10 CAM lesions induced in irradiated (500 rads) embryos were a linear function of the log10 cells (from LCL) in the inoculum; the slope was 1.0, within experimental error. The formation of CAM lesions did not depend on the presence of Epstein-Barr virus (EBV) since lesions were also induced by cells and extracts derived from EBV genome-free LCL. Lesion-inducing activity associated with CS was filterable through 0.22-mu filters, sedimented at 78,000 x g, and sensitive to inactivation by heat (56 degrees C for 30 min), UV irradiation, chloroform, sera from chickens immunized against CS, and certain human sera. Lesion-inducing activity associated with cells and extracts was resistant to 5,000 rads of gamma-radiation. B2/B2 embryos (the B locus is the major histocompatibility locus of chickens) were more sensitive to lesion formation than were B15/B21 and outbred embryos; this suggested a genetic influence on lesion formation. Our data suggest that the irradiated chicken embryo may be a highly sensitive and useful means for the detection of an unidentified or unknown agent or agents that may play an important role in human oncogenic lymphocyte transformation or might interact with transforming viruses.","['Longenecker, B M', 'Menezes, J', 'Sanders, E J', 'Pazderka, F', 'Ruth, R F']","['Longenecker BM', 'Menezes J', 'Sanders EJ', 'Pazderka F', 'Ruth RF']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antibodies, Viral)', '7V31YC746X (Chloroform)', 'G34N38R2N1 (Bromodeoxyuridine)', 'LGP81V5245 (Idoxuridine)']",IM,"['Allantois/pathology', 'Animals', 'Antibodies, Viral', 'Bromodeoxyuridine/pharmacology', 'Burkitt Lymphoma/microbiology', 'Cell Line', '*Cell Transformation, Neoplastic', 'Chick Embryo/radiation effects', 'Chloroform/pharmacology', 'Chorion/pathology', 'Extraembryonic Membranes/*pathology', 'Hot Temperature', 'Humans', 'Idoxuridine/pharmacology', 'Leukemia/microbiology', 'Lymphocytes/*microbiology', 'Oncogenic Viruses/*isolation & purification', 'Ultraviolet Rays', 'Virology/*methods', 'Virus Replication/drug effects']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1977 Apr;58(4):853-62. doi: 10.1093/jnci/58.4.853.,,,['10.1093/jnci/58.4.853 [doi]'],,,,,,,,
845868,NLM,MEDLINE,19770512,20191210,0022-2623 (Print) 0022-2623 (Linking),20,3,1977 Mar,"Uptake and fate of water-soluble, nondegradable polymers with antiviral activity in cells and animals.",356-9,"Poly(9-vinyladenine) and poly(1-vinyluracil) which are nondegradable, soluble polymers are taken up partially by mammalian cells grown in culture. The polymers remain associated with cells for several generations. In mice, after ip application, polymers slowly accumulate in liver, spleen, and thymus and remain there for as long as a month. Thus, these polymers which suppress the replication of murine leukemia viruses also accumulate in organs where the virus replicates. However, their antiviral activity does not reflect the amount of polymer found in these animal tissues. We propose that the polymers are gradually segregated into a group of cells or into subcellular organelles away from primary sites of virus replication. The results suggest that for a directly acting polymeric drug, a half-life over 24 h is without advantage.","['Noronha-Blob, L', 'Vengris, V E', 'Pitha, P M', 'Pitha, J']","['Noronha-Blob L', 'Vengris VE', 'Pitha PM', 'Pitha J']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antiviral Agents)', '0 (Polyvinyls)', '25750-74-7 (poly(1-vinyluracil))', '26747-12-6 (poly(9-vinyladenine))', '56HH86ZVCT (Uracil)', 'JAC85A2161 (Adenine)']",IM,"['Adenine/*analogs & derivatives/metabolism', 'Animals', 'Antiviral Agents/*metabolism', 'Cells, Cultured', 'Electrophoresis, Polyacrylamide Gel', 'Mice', 'Mice, Inbred DBA', 'Polyvinyls/*metabolism', 'Subcellular Fractions/metabolism', 'Time Factors', 'Uracil/*analogs & derivatives/metabolism']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Mar;20(3):356-9. doi: 10.1021/jm00213a009.,,,['10.1021/jm00213a009 [doi]'],,,,,,,,
845866,NLM,MEDLINE,19770512,20190709,0022-2623 (Print) 0022-2623 (Linking),20,3,1977 Mar,Potential antitumor agents. Some sulfur-substituted derivatives of alpha- and beta-2'-deoxythioguanosine.,341-4,"A series of ten S-substituted derivatives of the alpha and beta anomers (1a and 1b) of 2'-deoxy-6-thioguanosine has been prepared by S-alkylation of the parent nucleosides and/or by mercaptide displacement reactions on 6-chloro intermediates. Against L1210 murine leukemia all beta anomers were active but potency was reduced relative to 1b. Most S-alkyl alpha anomers were inactive in this test. Limited testing against P388 murine leukemia showed all alpha-anomer derivatives to be inactive but the beta anomers were more effective than the parent. S-Substitution sharply reduced acute toxicity in both series. In vitro DNA and RNA synthesis inhibition data are also reported. The antitumor activity of these derivatives and of the 2',5'-di-O-acetyl derivatives of 1a and 1b against lymphoid leukemia L1210 is reported. Some results with the lymphocytic leukemia P388 and an in vitro assay of the inhibition of nucleic acid synthesis are also given.","['Martinez, A P', 'Lee, W W', 'Henry, D W']","['Martinez AP', 'Lee WW', 'Henry DW']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Deoxyribonucleosides)', '0 (RNA, Neoplasm)', '0 (Thionucleosides)', '12133JR80S (Guanosine)']",IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'DNA, Neoplasm/biosynthesis', 'Deoxyribonucleosides/*chemical synthesis/pharmacology/therapeutic use', 'Guanosine/*analogs & derivatives/chemical synthesis/pharmacology/therapeutic use', 'In Vitro Techniques', 'Leukemia L1210/drug therapy/metabolism', 'Leukemia, Experimental/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Mice', 'RNA, Neoplasm/biosynthesis', 'Stereoisomerism', 'Thionucleosides/*chemical synthesis/pharmacology/therapeutic use']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Mar;20(3):341-4. doi: 10.1021/jm00213a005.,,,['10.1021/jm00213a005 [doi]'],,,,,,,,
845865,NLM,MEDLINE,19770512,20190709,0022-2623 (Print) 0022-2623 (Linking),20,3,1977 Mar,Pyrimidinylpropenamides as antitumor agents. Analogues of the antibiotic sparsomycin.,337-41,"A series of pyrimidinylpropenamides 9 and their oxidation products 10 was prepared, as analogues of sparsomycin (1), for antitumor evaluation. Syntheses involved condensation of the appropriate amino alcohol 5 with acid 8. The resulting sulfides 9 were then oxidized with NaIO4 or H2O2 to sulfoxides 10. Activity was studied in lymphocytic leukemia P-338 and KB cell culture. With the exception of the n-decyl analogue, all of the deoxygenated compounds 9 were inactive regardless of the stereochemical form. In the sulfoxide series 10, those compounds prepared with an L configuration at the asymmetric carbon were also inactive. The completely racemic sulfoxides, on the other hand, displayed substantial antitumor activity (ILS = 37-61% in P-388; ED50 = 1.2-2.4 mug/ml in KB) suggesting that both the presence of a sulfoxide moiety and a D configuration at the chiral carbon atom were structural requirements for a positive antitumor response. There appeared to be a large tolerance for the group substituted at the sulfoxide moiety, however.","['Lin, C C', 'Dubois, R J']","['Lin CC', 'Dubois RJ']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antibiotics, Antineoplastic)', '6C940P63E7 (Sparsomycin)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*chemical synthesis', 'Cells, Cultured', 'Leukemia, Experimental/physiopathology', 'Leukemia, Lymphoid/physiopathology', 'Methods', 'Mitosis/drug effects', 'Sparsomycin/analogs & derivatives/*chemical synthesis/pharmacology', 'Stereoisomerism', 'Structure-Activity Relationship']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Mar;20(3):337-41. doi: 10.1021/jm00213a004.,,,['10.1021/jm00213a004 [doi]'],,,,,,,,
845864,NLM,MEDLINE,19770512,20191210,0022-2623 (Print) 0022-2623 (Linking),20,3,1977 Mar,Antitumor agents. 21. A proposed mechanism for inhibition of cancer growth by tenulin and helenalin and related cyclopentenones.,333-7,"Evidence is presented that sesquiterpene lactones or ketones containing the O=CC=CH2 moiety, e.g., tenulin and helenalin, alkylate the thiol group of reduced glutathione and L-cysteine in vitro. A proposal is offered that this mechanism of action is responsible for the observed potent in vivo antitumor activity of these agents in the Ehrlich ascites and Walker 256 carcinosarcoma and to a lesser extent in the P388 leukemic screen. Inhibition of tumor growth is thought to occur due to the O=CC=CH2 system alkylating by rapid Michael addition the SH biological nucleophiles of key regulatory enzymes of nucleic acid and chromatin metabolism. This proposition is in accord with the ability of these agents to inhibit DNA synthesis and gene activity of Ehrlich ascites cells.","['Hall, I H', 'Lee, K H', 'Mar, E C', 'Starnes, C O', 'Waddell, T G']","['Hall IH', 'Lee KH', 'Mar EC', 'Starnes CO', 'Waddell TG']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Chromatin)', '0 (Cyclopentanes)', '0 (DNA, Neoplasm)', '0 (Lactones)', '0 (Neoplasm Proteins)', '0 (Sesquiterpenes)', '0 (Sesquiterpenes, Guaiane)', '19202-92-7 (tenulin)', '4GUY9L896T (helenalin)', '4QD397987E (Histidine)', 'GAN16C9B8O (Glutathione)', 'K848JZ4886 (Cysteine)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*pharmacology', 'Ascitic Fluid/metabolism', 'Carcinoma 256, Walker/metabolism', 'Carcinoma, Ehrlich Tumor/metabolism', 'Chromatin/metabolism', 'Cyclopentanes/pharmacology', 'Cysteine', 'DNA, Neoplasm/biosynthesis', 'Glutathione', 'Histidine', 'Lactones/pharmacology', 'Leukemia, Experimental/metabolism', 'Leukemia, Lymphoid/metabolism', 'Male', 'Mice', 'Mice, Inbred DBA', 'Neoplasm Proteins/biosynthesis', 'Rats', 'Sesquiterpenes/*pharmacology', 'Sesquiterpenes, Guaiane', 'Spectrophotometry, Ultraviolet', 'Time Factors']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Mar;20(3):333-7. doi: 10.1021/jm00213a003.,,,['10.1021/jm00213a003 [doi]'],,,,,,,,
845863,NLM,MEDLINE,19770512,20190709,0022-2623 (Print) 0022-2623 (Linking),20,3,1977 Mar,Synthesis of cephalotaxine esters and correlation of their structures with antitumor activity.,328-32,Twenty-two new esters of natural (-)-cephalotaxine with synthetic acids possessing widely divergent structural features have been synthesized. Murinichloroethyl carbonate (27) esters of cephalotaxine are the most active of this group; this activity is less than that of harringtonine and other naturally occurring cephalotaxine esters. Other synthetic esters exhibiting activity are methyl cephalotaxylfumarate (4) and the trichloroethyl carbonate of cephalotaxyl-L-mandelate (21). The specificity of this experimental tumor system apparently requires esters of (-)-cephalotaxine for tumor inhibition because methyl cephalotaxylitaconate (7b) prepared from the synthetic (+) enantiomer of cephalotaxine is inactive.,"['Mikolajczak, K L', 'Smith, C R Jr', 'weisleder, D']","['Mikolajczak KL', 'Smith CR Jr', 'weisleder D']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Alkaloids)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Harringtonines)']",IM,"['Alkaloids/*chemical synthesis', 'Animals', 'Antineoplastic Agents, Phytogenic/*chemical synthesis/therapeutic use', 'Esterification', 'Harringtonines/*chemical synthesis/therapeutic use', 'Leukemia, Experimental/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Methods', 'Mice', 'Mice, Inbred DBA', 'Stereoisomerism', 'Structure-Activity Relationship']",1977/03/01 00:00,2001/03/28 10:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1977/03/01 00:00 [entrez]']",ppublish,J Med Chem. 1977 Mar;20(3):328-32. doi: 10.1021/jm00213a002.,,,['10.1021/jm00213a002 [doi]'],,,,,,,,
