PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SI,GR,TT,CI,LID,PMC,CON,EIN,DEP,CN,MID
10961861,NLM,MEDLINE,20001018,20210216,0006-4971 (Print) 0006-4971 (Linking),96,5,2000 Sep 1,How I treat older patients with AML.,1670-3,,"['Estey, E H']",['Estey EH'],"['Department of Leukemia, The University of Texas M. D. Anderson Cancer Center, Houston, TX 77030, USA. eestey@mdanderson.org']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,,IM,,"['Acute Disease', 'Aged', 'Female', 'Humans', 'Leukemia, Myeloid/*therapy', 'Male', 'Middle Aged', 'Palliative Care', ""Practice Patterns, Physicians'""]",,2000/08/29 11:00,2000/10/21 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/10/21 11:01 [medline]', '2000/08/29 11:00 [entrez]']",['S0006-4971(20)54434-0 [pii]'],ppublish,Blood. 2000 Sep 1;96(5):1670-3.,,,,,,,,,,,
10961690,NLM,MEDLINE,20001228,20131121,0001-527X (Print) 0001-527X (Linking),47,1,2000,Cytostatic and cytotoxic effects of (E)-2'-deoxy-2'-(fluoromethylene)-cytidine on a solid tumor and a leukemia cell line.,165-71,"(E)-2'-deoxy-2'-(fluoromethylene)-cytidine (FMdC), a deoxycytidine analog displaying a very high toxicity toward a variety of solid tumor cell lines and xenografts, is activated intracellularly by deoxycytidine kinase (dCK). We have compared cytotoxicity of FMdC towards a human promyeolocytic leukemia line HL-60 and a human colorectal carcinoma line COLO-205. Despite dCK activity being by far the highest in cells of lymphoid origin, the effects of FMdC were detectable at the lowest drug concentration only in a solid tumor cell line, and at higher concentrations they were qualitatively similar in the two tumor lines (increased cell protein content, cell cycle block and apoptosis). Apparently, low dCK activity in solid tumor cells sufficiently activates FMdC to yield cytotoxic effects, while high dCK activity in leukemia cells does not increase its cytotoxicity.","['Grie, P', 'Koronkiewicz, M', 'Skierski, J S']","['Grie P', 'Koronkiewicz M', 'Skierski JS']","['Laboratory of Experimental Pharmacology, Medical Research Center, Polish Academy of Sciences, Warszawa. pgrieb@cmdik.pan.pl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Poland,Acta Biochim Pol,Acta biochimica Polonica,14520300R,"['0 (Antineoplastic Agents)', '0W860991D6 (Deoxycytidine)', 'UCC4EQS7WL (tezacitabine)']",IM,,"['Antineoplastic Agents/*pharmacology', 'Colorectal Neoplasms/*pathology', 'Deoxycytidine/*analogs & derivatives/*pharmacology', 'Drug Screening Assays, Antitumor', 'HL-60 Cells', 'Humans', 'Leukemia, Promyelocytic, Acute/*pathology', 'Tumor Cells, Cultured']",,2000/08/29 11:00,2001/02/28 10:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/08/29 11:00 [entrez]']",,ppublish,Acta Biochim Pol. 2000;47(1):165-71.,,,,,,,,,,,
10961535,NLM,MEDLINE,20001228,20190831,0300-8126 (Print) 0300-8126 (Linking),28,4,2000 Jul-Aug,Disseminated mucormycosis caused by Absidia corymbifera leading to cerebral vasculitis.,246-50,"An 18-year-old woman was admitted to hospital because of subcutaneous hematoma and fever of unknown origin. Acute myeloid leukemia was diagnosed and empirical antimicrobial treatment and induction chemotherapy were started. After initial defervescence, fever relapsed 2 days after the onset of neutropenia. The CT scan of the lung was consistent with an invasive fungal infection. Treatment with amphotericin B was started and antimicrobial treatment was continued with liposomal amphotericin B because of an increase in creatinine later. The fever persisted and the patient suddenly developed progressive neurological symptoms. CT scan of the head suggested cerebral infarction and angiography of the extra- and intracranial arteries showed signs of vasculitis. Six days after the onset of neurological symptoms cerebral death was diagnosed. Autopsy revealed non-septate, irregularly branched hyphae in various histologic sections including brain. Absidia corymbifera could be isolated from lung tissue confirming the diagnosis of disseminated mucormycosis. In this case, angiographic findings suggested severe cerebral vasculitis which was in fact caused by thromboembolic dissemination of fungal hyphae. This case underlines the fact that cerebral symptoms in febrile neutropenic patients are highly indicative for fungal infections of the brain.","['Eucker, J', 'Sezer, O', 'Lehmann, R', 'Weber, J R', 'Graf, B', 'Denkert, C', 'Bruck, W', 'Schweigert, M', 'Possinger, K']","['Eucker J', 'Sezer O', 'Lehmann R', 'Weber JR', 'Graf B', 'Denkert C', 'Bruck W', 'Schweigert M', 'Possinger K']","['Medical Clinic, Hematology and Oncology, Charite University Hospital, Berlin, Germany.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Infection,Infection,0365307,"['0 (Antifungal Agents)', '7XU7A7DROE (Amphotericin B)']",IM,,"['*Absidia/isolation & purification', 'Adolescent', 'Amphotericin B/therapeutic use', 'Antifungal Agents/therapeutic use', 'Cerebral Angiography', 'Fatal Outcome', 'Female', 'Fever/etiology', 'Hematoma', 'Humans', 'Leukemia, Myeloid, Acute/complications', 'Lung/microbiology/pathology', 'Mucormycosis/complications/*pathology', 'Neutropenia/complications/etiology', 'Thromboembolism/complications/pathology', 'Vasculitis, Central Nervous System/*etiology/microbiology']",,2000/08/29 11:00,2001/02/28 10:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2001/02/28 10:01 [medline]', '2000/08/29 11:00 [entrez]']",['10.1007/s150100070047 [doi]'],ppublish,Infection. 2000 Jul-Aug;28(4):246-50. doi: 10.1007/s150100070047.,,,,,,,,,,,
10961388,NLM,MEDLINE,20000907,20171116,0171-5216 (Print) 0171-5216 (Linking),126,8,2000 Aug,Hydroxyurea induces a senescence-like change of K562 human erythroleukemia cell.,455-60,"Hydroxyurea, a differentiation-inducing agent of human erythroleukemia K562 cells, is commonly used to treat some types of leukemia. However, the mechanism for its therapeutic effect is not clearly understood yet. In this study, we have observed an interesting effect of hydroxyurea on tumor cells: an induction of senescence-like changes. Human erythroleukemia K562 cells, when treated with hydroxyurea for 7 days or more, underwent a change into phenotypically senescent cells together with a reduction of hemoglobin generation, a differentiation marker. The hydroxyurea-treated cells showed positive senescence associated-beta-galactosidase staining, a senescence index, and the accumulation of cdk (cyclin dependent kinase) inhibitors, such as p16INK4a, p21Waf1, and p27Kip1, implicated in cellular senescence. Nonetheless, these changes were not accompanied by DNA fragmentation. Taken together, we summarize that the long-term treatment of cancer cells with hydroxyurea can induce cellular senescence different from differentiation or programmed cell death.","['Park, J I', 'Jeong, J S', 'Han, J Y', 'Kim, D I', 'Gao, Y H', 'Park, S C', 'Rodgers, G P', 'Kim, I H']","['Park JI', 'Jeong JS', 'Han JY', 'Kim DI', 'Gao YH', 'Park SC', 'Rodgers GP', 'Kim IH']","['Department of Biochemistry, Dong-A University College of Medicine, Pusan, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,"['0 (Antineoplastic Agents)', '0 (DNA, Neoplasm)', '0 (Enzyme Inhibitors)', 'EC 2.7.11.22 (Cyclin-Dependent Kinases)', 'EC 3.2.1.23 (beta-Galactosidase)', 'X6Q56QN5QC (Hydroxyurea)']",IM,,"['Antineoplastic Agents/*pharmacology/therapeutic use', 'Apoptosis/drug effects', 'Cell Differentiation/drug effects', 'Cellular Senescence/*drug effects', 'Cyclin-Dependent Kinases/antagonists & inhibitors', 'DNA, Neoplasm/analysis', 'Dose-Response Relationship, Drug', 'Electrophoresis, Agar Gel', 'Enzyme Inhibitors/pharmacology', 'Humans', 'Hydroxyurea/*pharmacology/therapeutic use', 'K562 Cells/*drug effects/pathology', 'Leukemia, Erythroblastic, Acute/*drug therapy', 'beta-Galactosidase/analysis']",,2000/08/29 11:00,2000/09/09 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/09/09 11:01 [medline]', '2000/08/29 11:00 [entrez]']",,ppublish,J Cancer Res Clin Oncol. 2000 Aug;126(8):455-60.,,,,,,,,,,,
10961385,NLM,MEDLINE,20000907,20190906,0171-5216 (Print) 0171-5216 (Linking),126,8,2000 Aug,Immunocytochemical methods in haematology and oncology.,425-40,"Immunocytochemical investigations of fixed cells are used to enhance diagnostic accuracy in haematology and oncology. The alkaline-phosphatase/anti(alkaline phosphatase) technique, immunoperoxidase and the avidin-biotin technique are the most important methods in immunocytochemistry. Tyramide-enhanced immunostaining is a new powerful technique. Peripheral blood smears and cytospins of mononuclear blood leucocytes have been analysed with this technique and these methods are also useful for analysis of bone marrow, cerebrospinal fluid, serous effusions and fine-needle aspirates. This review describes the results of immunocytochemistry in patients with B- and T-lymphoproliferative disorders, acute leukaemias and Hodgkin's disease. These methods are also useful for the detection of epithelial malignant cells. Immunocytochemistry supports the morphological analysis of cells in these disorders.","['Oertel, J', 'Huhn, D']","['Oertel J', 'Huhn D']","['Humboldt-University Berlin, University Hospital Charite Campus Virchow-Klinikum, Haematology-Oncology, Germany.']",['eng'],"['Journal Article', 'Review']",Germany,J Cancer Res Clin Oncol,Journal of cancer research and clinical oncology,7902060,,IM,,"['Bone Marrow Cells/pathology', 'Cerebrospinal Fluid/cytology', 'Diagnosis, Differential', 'Epithelial Cells/pathology', 'Fluorescent Antibody Technique', 'Hodgkin Disease/blood/diagnosis/pathology', 'Humans', 'Immunohistochemistry/*methods', 'Leukemia/*blood/*diagnosis/pathology', 'Lymphocyte Count', 'Lymphocyte Subsets', 'Lymphoma, Non-Hodgkin/*blood/*diagnosis/pathology', 'Neoplastic Cells, Circulating/pathology', 'Staining and Labeling']",61,2000/08/29 11:00,2000/09/09 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/09/09 11:01 [medline]', '2000/08/29 11:00 [entrez]']",['10.1007/pl00021278 [doi]'],ppublish,J Cancer Res Clin Oncol. 2000 Aug;126(8):425-40. doi: 10.1007/pl00021278.,,,,,,,,,,,
10961217,NLM,MEDLINE,20000907,20131121,1438-9029 (Print) 1438-9010 (Linking),172,4,2000 Apr,[MRI of aseptic osteonecrosis in children and adolescents with acute lymphoblastic leukemia].,336-41,"PURPOSE: To evaluate the incidence, localisation, and course of symptomatic aseptic osteonecrosis (AON) in children undergoing treatment for acute lymphoblastic leukemia (ALL). METHODS: 72 MRI examinations obtained from 26 children with bone pain selected from a group of 121 children with ALL were evaluated retrospectively. The area of the AON was determined by computer assisted planimetry. Follow-up examinations after 2-5 years were considered. RESULTS: 10/121 (8.3%) of the children had symptomatic AON, the number of lesions varied between 1 and 24 per child. 62/66 lesions were localized within the lower extremities. 58% of the AON were positioned in the epiphysis and 42% in the meta- and diaphysis. The mean area of AON was 7.6 cm2 with a range of 0.5 to 50 cm2. Follow-up examinations revealed a regression in 19 AON, no change in 43 and a progression in 4 lesions. AON within the epiphysis with joint involvement or lesions greater than 9 cm2 more frequently showed a progression of AON with final joint destruction. An elevated risk for AON was seen in children older than 10 years and in children with intensified chemotherapy due to high-risk ALL. CONCLUSION: AON is a common complication in ALL-children under chemotherapy. Most frequently, the course is benign but large AON with joint involvement have an elevated risk for progression of AON with final joint destruction.","['Engelbrecht, V', 'Scherer, A', 'Bruder, M', 'Korholz, D', 'Modder, U']","['Engelbrecht V', 'Scherer A', 'Bruder M', 'Korholz D', 'Modder U']","['Institut fur Diagnostische Radiologie, Universitatskinderklinik Heinrich Heine Universitat Dusseldorf. engelbre@uni-duesseldorf.de']",['ger'],"['Comparative Study', 'English Abstract', 'Journal Article']",Germany,Rofo,RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin,7507497,,IM,,"['Adolescent', 'Age Factors', 'Child', 'Child, Preschool', 'Drug-Related Side Effects and Adverse Reactions', 'Female', 'Follow-Up Studies', 'Humans', 'Image Interpretation, Computer-Assisted', 'Infant', '*Magnetic Resonance Imaging', 'Male', 'Osteonecrosis/chemically induced/complications/*diagnosis', 'Pain/etiology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/drug therapy', 'Retrospective Studies', 'Risk Factors', 'Time Factors']",,2000/08/29 11:00,2000/09/09 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/09/09 11:01 [medline]', '2000/08/29 11:00 [entrez]']",['10.1055/s-2000-335 [doi]'],ppublish,Rofo. 2000 Apr;172(4):336-41. doi: 10.1055/s-2000-335.,,,Kernspintomographie von aseptischen Osteonekrosen bei Kindern und Jugendlichen mit einer akuten lymphoblastischen Leukamie.,,,,,,,,
10961141,NLM,MEDLINE,20000926,20161020,0869-6047 (Print) 0869-6047 (Linking),,7,2000,[Modifying effect of nitrites on pulmonary blastogenesis and viral leukogenesis in mice: role of nitric oxide and dioxide].,11-6,The long-term effects of sodium nitrite (NaNO2) on carcinogenesis induced by urethane (total dose 1.0 mg/g body weight) in low-grade cancer F1 (C57BLxCBA) and high-grade A/Snell mice and on viral (Rausher leukemia virus) leukomogenesis in Balb/c mice. The murine intake of NaNO2 with water (50 mg/l) causes a statistically significant increase in the number of adenomas in the lung. Examining the mechanism of conversion of NO2- to NO led to the assumption that the free radical compounds NO and NO2 are involved in the potentiating action of NO2 on blastomogenesis. The use of the oxidant emoxypine (3-hydroxypyridine) confirmed the above. The role of NO and NO2 in the intracellular processes under the modifying effects of nitrites and nitrates on blastomogenesis is analyzed.,"[""Il'nitskii, A P"", 'Reutov, V P', 'Ryzhova, N I', 'Kolpakova, A S', 'Deriagina, V P', 'Nekrasova, E A', 'Savluchinskaia, L A', 'Travkin, A G']","[""Il'nitskii AP"", 'Reutov VP', 'Ryzhova NI', 'Kolpakova AS', 'Deriagina VP', 'Nekrasova EA', 'Savluchinskaia LA', 'Travkin AG']",,['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Vestn Ross Akad Med Nauk,Vestnik Rossiiskoi akademii meditsinskikh nauk,9215641,"['0 (Antioxidants)', '0 (Nitrites)', '0 (Oxidants, Photochemical)', '0 (Picolines)', '31C4KY9ESH (Nitric Oxide)', 'S7G510RUBH (Nitrogen Dioxide)', 'V247P5H4E1 (6-methyl-2-ethyl-3-hydroxypyridine)']",IM,,"['Adenoma/chemically induced/metabolism/pathology', 'Animals', 'Antioxidants/pharmacology', 'Carcinogenicity Tests', 'Female', 'Leukemia Virus, Murine/drug effects/*pathogenicity', 'Leukocytes/drug effects/metabolism/pathology/*virology', 'Lung/drug effects/metabolism/*pathology/virology', 'Lung Neoplasms/chemically induced/metabolism/pathology', 'Lymphocyte Activation/*drug effects/physiology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred CBA', 'Neoplasms, Experimental/chemically induced/metabolism/pathology', 'Nitric Oxide/*pharmacology', 'Nitrites/pharmacology', 'Nitrogen Dioxide/*pharmacology', 'Oxidants, Photochemical/*pharmacology', 'Picolines/pharmacology']",,2000/08/29 11:00,2000/09/30 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/09/30 11:01 [medline]', '2000/08/29 11:00 [entrez]']",,ppublish,Vestn Ross Akad Med Nauk. 2000;(7):11-6.,,,Modifitsiruiushchee deistvie nitritov na legochnyi blastomogenez i virusnyi leikogenez u myshei: vozmozhnaia rol' okisi i dvuokisi azota.,,,,,,,,
10960875,NLM,MEDLINE,20000929,20191104,0278-0232 (Print) 0278-0232 (Linking),18,2,2000 Jun,Effects of cyclic polylactate (CPL) on the growth of cloned leukemic cells in vitro.,51-60,"A novel supramolecular oligomer, cyclic polylactate (CPL), was first discovered in the culture medium of HeLa-S tumour cells, and was reported to inhibit the growth of FM3A ascites tumour cells by inhibiting the activities of pyruvate kinase (PK) and lactic dehydrogenase (LDH). We have now synthesized CPL-containing oligomers with polymerization numbers ranging from 9 to 19, by prolonged heating and rapid mixing of a carbohydrate compound of the L-lactic acid monomer (C(3)H(6)O(3)) under decreased pressure and have studied its effects on the growth of leukemic cells. Treatment with 0.02 mg/ml CPL inhibited the growth of HL60 and TF-1 cells, while the growth of K562 cells was inhibited by 0.2 mg/ml CPL. A concentration of 2 mg/ml CPL was required to inhibit granulocyte-macrophage progenitor cell (CFU-GM) and burst-forming unit erythroid (BFU-E) precursor colony formation among normal bone marrow cells. Furthermore, 7A6 antigen expression and DNA ladder formation were observed in leukemic cells cultured with CPL, indicating that CPL induces apoptotic changes in these cells. These findings suggest that CPL might be a useful chemotherapeutic agent for leukemia.","['Aizawa, S', 'Shimizu, N', 'Handa, H', 'Hiramoto, M', 'Hoshi, H', 'Nagasu, M', 'Kanno, H', 'Nagasu, Y', 'Imanishi, Y']","['Aizawa S', 'Shimizu N', 'Handa H', 'Hiramoto M', 'Hoshi H', 'Nagasu M', 'Kanno H', 'Nagasu Y', 'Imanishi Y']","['Department of Anatomy, Nihon University School of Medicine, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Hematol Oncol,Hematological oncology,8307268,"['0 (Antineoplastic Agents)', '0 (Lactates)', '0 (Polymers)', '0 (cyclic polylactate)']",IM,,"['Antineoplastic Agents/chemical synthesis/*pharmacology', 'Apoptosis/drug effects', 'Cell Division/drug effects', 'Clone Cells/drug effects', 'Colony-Forming Units Assay', 'Drug Screening Assays, Antitumor', 'Erythroid Precursor Cells/drug effects', 'HL-60 Cells/drug effects', 'Hematopoietic Stem Cells/drug effects', 'Humans', 'K562 Cells/drug effects', 'Lactates/chemical synthesis/*pharmacology', 'Leukemia/*pathology', 'Molecular Structure', 'Molecular Weight', 'Polymers/chemical synthesis/*pharmacology', 'Tumor Cells, Cultured/drug effects']",,2000/08/29 11:00,2000/10/07 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/10/07 11:01 [medline]', '2000/08/29 11:00 [entrez]']","['10.1002/1099-1069(200006)18:2<51::AID-HON656>3.0.CO;2-P [pii]', '10.1002/1099-1069(200006)18:2<51::aid-hon656>3.0.co;2-p [doi]']",ppublish,Hematol Oncol. 2000 Jun;18(2):51-60. doi: 10.1002/1099-1069(200006)18:2<51::aid-hon656>3.0.co;2-p.,,,,"['Copyright 2000 John Wiley & Sons, Ltd.']",,,,,,,
10960870,NLM,MEDLINE,20010301,20190831,0277-6715 (Print) 0277-6715 (Linking),19,17-18,2000 Sep 15-30,Non-parametric maximum likelihood estimators for disease mapping.,2539-54,"A Non-Parametric Maximum Likelihood approach to the estimation of relative risks in the context of disease mapping is discussed and a NPML approximation to conditional autoregressive models is proposed. NPML estimates have been compared to other proposed solutions (Maximum Likelihood via Monte Carlo Scoring, Hierarchical Bayesian models) using real examples. Overall, the NPML autoregressive estimates (with weighted term) were closer to the Bayesian estimates. The exchangeable NPML model ranked immediately after, even if it implied a greater shrinkage, while the truncated auto-Poisson showed inadequate for disease mapping. The coefficients of the autoregressive term for the different mixtures have clear interpretations: in the breast cancer example, the larger cities in the region showed high rates and very low correlation with the neighbouring areas, while the less populated rural areas with low rates were strongly positively correlated each other. This pattern is expected since breast cancer is strongly correlated with parity and age at first birth, and the female population of the rural areas experienced a decline in fertility much later than those living in the larger cities. The leukemia example highlighted the failure of the Poisson-Gamma model and other general overdispersion tests to detect high risk areas under specific conditions. The NPML approach in Aitkin is very general, simple and flexible. However the user should be warned against the possibility of local maxima and the difficulty in detecting the optimal number of components. Special software (such as CAMAN or DismapWin) had been developed and should be recommended mainly to not experienced users.","['Biggeri, A', 'Marchi, M', 'Lagazio, C', 'Martuzzi, M', 'Bohning, D']","['Biggeri A', 'Marchi M', 'Lagazio C', 'Martuzzi M', 'Bohning D']","['Department of Statistics G. Parenti, University of Florence, Italy. abiggeri@ds.unifi.it']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Stat Med,Statistics in medicine,8215016,,IM,,"['Algorithms', 'Breast Neoplasms/mortality', 'Female', 'Humans', 'Italy/epidemiology', 'Leukemia/mortality', '*Likelihood Functions', 'Lung Neoplasms/mortality', 'Male', 'Maps as Topic', 'Risk Assessment', '*Small-Area Analysis', 'Statistics, Nonparametric']",,2000/08/29 11:00,2001/03/07 10:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2001/03/07 10:01 [medline]', '2000/08/29 11:00 [entrez]']","['10.1002/1097-0258(20000915/30)19:17/18<2539::AID-SIM586>3.0.CO;2-T [pii]', '10.1002/1097-0258(20000915/30)19:17/18<2539::aid-sim586>3.0.co;2-t [doi]']",ppublish,Stat Med. 2000 Sep 15-30;19(17-18):2539-54. doi: 10.1002/1097-0258(20000915/30)19:17/18<2539::aid-sim586>3.0.co;2-t.,,,,"['Copyright 2000 John Wiley & Sons, Ltd.']",,,,,,,
10960843,NLM,MEDLINE,20000920,20201208,0270-4137 (Print) 0270-4137 (Linking),45,1,2000 Sep 15,Heat-shock proteins inhibit induction of prostate cancer cell apoptosis.,58-65,"BACKGROUND: Resistance to apoptosis remains a significant problem in the treatment of prostate cancer. Heat-shock proteins (HSP) have been correlated with tumor progression. The role of HSP in prostate cancer resistance to apoptosis is unknown. METHODS: PC-3 and LNCaP prostate cancer cells were heat-shocked and then treated with or without diethyl-maleate, etoposide, cycloheximide, or 3 Gray irradiation. Percent apoptosis was assessed by propidium iodide DNA incorporation. Protein was also extracted for analysis by SDS-PAGE Western blotting. RESULTS: Western blotting confirmed an increase in HSP 27 and 72. These cells were resistant to both chemical- and radiation-induced apoptosis. Cycloheximide and specific oligonucleotides to HSP 72 blocked the increased expression of HSP 72 and the resistance to apoptosis. Mcl-1, Bcl-2, Bcl-X(L), and glutathione-S-transferase (GST) expression were increased in a time-dependent manner after heat shock. CONCLUSIONS: This study demonstrates that HSP expression, specifically HSP 72, inhibits apoptosis in prostate tumor cell lines, which may be mediated by the production of survival factors.","['Gibbons, N B', 'Watson, R W', 'Coffey, R N', 'Brady, H P', 'Fitzpatrick, J M']","['Gibbons NB', 'Watson RW', 'Coffey RN', 'Brady HP', 'Fitzpatrick JM']","['Department of Surgery, Mater Misericordiae Hospital, Conway Institute of Biomedicine and Biomolecular Research, University College Dublin, Ireland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Prostate,The Prostate,8101368,"['0 (Antineoplastic Agents, Phytogenic)', '0 (BCL2L1 protein, human)', '0 (HSP27 Heat-Shock Proteins)', '0 (HSP72 Heat-Shock Proteins)', '0 (HSPB1 protein, human)', '0 (Heat-Shock Proteins)', '0 (Maleates)', '0 (Molecular Chaperones)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Nucleic Acid Synthesis Inhibitors)', '0 (Protein Synthesis Inhibitors)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-X Protein)', '6PLQ3CP4P3 (Etoposide)', '98600C0908 (Cycloheximide)', 'EC 2.5.1.18 (Glutathione Transferase)', 'G81WQB56OL (diethyl maleate)', 'GAN16C9B8O (Glutathione)']",IM,,"['Antineoplastic Agents, Phytogenic/pharmacology', 'Apoptosis/drug effects/*physiology/radiation effects', 'Blotting, Western', 'Cycloheximide/pharmacology', 'Etoposide/pharmacology', 'Glutathione/biosynthesis', 'Glutathione Transferase/biosynthesis', 'HSP27 Heat-Shock Proteins', 'HSP72 Heat-Shock Proteins', 'Heat-Shock Proteins/biosynthesis/*physiology', 'Humans', 'Kinetics', 'Male', 'Maleates/pharmacology', 'Molecular Chaperones', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/antagonists & inhibitors/biosynthesis/*physiology', 'Neoplasms, Hormone-Dependent/metabolism/*pathology', 'Nucleic Acid Synthesis Inhibitors/pharmacology', 'Prostatic Neoplasms/metabolism/*pathology', 'Protein Synthesis Inhibitors/pharmacology', 'Proto-Oncogene Proteins c-bcl-2/biosynthesis', 'Radiation Tolerance/physiology', 'Tumor Cells, Cultured', 'bcl-X Protein']",,2000/08/29 11:00,2000/09/23 11:01,['2000/08/29 11:00'],"['2000/08/29 11:00 [pubmed]', '2000/09/23 11:01 [medline]', '2000/08/29 11:00 [entrez]']","['10.1002/1097-0045(20000915)45:1<58::AID-PROS7>3.0.CO;2-# [pii]', '10.1002/1097-0045(20000915)45:1<58::aid-pros7>3.0.co;2-# [doi]']",ppublish,Prostate. 2000 Sep 15;45(1):58-65. doi: 10.1002/1097-0045(20000915)45:1<58::aid-pros7>3.0.co;2-#.,,,,"['Copyright 2000 Wiley-Liss, Inc.']",,,,,,,
