PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
224780,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,BLV-antibodies in serial sampling over five years in a bovine leukosis herd.,797-802,"['Chander, S', 'Samagh, B S', 'Greig, A S']","['Chander S', 'Samagh BS', 'Greig AS']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Age Factors', 'Animals', 'Antibodies, Viral/*analysis', 'Cattle', 'Cattle Diseases/*immunology', 'Female', 'Leukemia/immunology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Male', 'Retroviridae/*immunology', 'Time Factors']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):797-802.,,IM,,"The sequential monthly bleedings of bovine leukosis herd animals showed that a majority of the animals was positive for BLV-antibodies at the age of 1 1/2 years or over and remained reactors throughout the observation period. Two phases of BLV-antibodies were observed in the calves born in the herd. In the first phase the calves remained reactors for two to seven months, indicating residual maternal antibodies acquired through colostrum. In the second phase, the animals became permanent reactors reflecting an active concomitant infection with BLV. The degree of spread of BLV infection among the leukosis herd animals appeared to depend upon the ratio between reactors and negative animals.",,,,,
224779,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Bovine leucosis in Portugal.,779,"['Da Costa Durao, J']",['Da Costa Durao J'],['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*epidemiology', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine', 'Portugal']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):779.,,IM,,,,,,,
224778,NLM,MEDLINE,19791026,20161123,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Diagnosis of enzootic bovine leukosis in Great Britain.,777,"['Chasey, D', 'Wibberley, G', 'Markson, L M', 'Roberts, D H']","['Chasey D', 'Wibberley G', 'Markson LM', 'Roberts DH']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*diagnosis', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine', 'United Kingdom']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):777.,,IM,,,,,,,
224777,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Sequential studies of bovine leukemia virus antibody development in dairy cattle over a four-year period.,771-6,"['Kaaden, O R', 'Neth, R', 'Frenzel, B']","['Kaaden OR', 'Neth R', 'Frenzel B']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/analysis', '*Antibody Formation', 'Cattle', 'Cattle Diseases/*immunology', 'Fluorescent Antibody Technique', 'Immunodiffusion', 'Leukemia/immunology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology', 'Time Factors']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):771-6.,,IM,,"Serological examinations using the agar gel immunodiffusion and immunofluorescence tests were undertaken to study: a) the development of bovine leukemia virus infections in a given herd under field conditions monitored by antibody development, b) the reproducibility of the results of serological examination during 22 sequential tests, c) the antibody titre variations amongst individual animals. A total of 286 Friesian cattle representing 2,352 serum samples was tested at regular intervals over a period from 1974/75 to 1978. The percentage of animals with bovine leukemia virus antibodies continuously increased during the observation period from an initial 4.8% (1974/75), 9.7% (1976), 34.2% (1977) to 52.6% (1978). On the basis of 22 sequential tests representing 1,672 serum samples obtained from 76 animals no false positive reactions were seen in the immunodiffusion test. Thirty-six (14.2%) out of 254 animals, however, showed variations of the antibody titre leading to a shift from positive to negative or negative to positive results, respectively. AnothFr three cattle (1.2%) shifted from a positive to negative immunodiffusion result and maintained their negative reactivity for at least two following tests. But they still had specific antibodies if tested by the immunofluorescence test. A detailed analysis of the group of variable reactors supports the view that a more sensitive and quantitative test system may be helpful to complement the presently used immunodiffusion test for the eradication of enzootic bovine leukosis.",,,,,
224776,NLM,MEDLINE,19791026,20041117,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Results of an epidemiological survey of enzootic bovine leukosis in the northern part of Lower Saxony and a preliminary communication of an examination into relationship between BLV-antibody development and calving.,765-9,"['Bause, I', 'Maas-Inderwiesen, F', 'Schmidt, F W']","['Bause I', 'Maas-Inderwiesen F', 'Schmidt FW']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/analysis', '*Antibody Formation', 'Cattle/physiology', 'Cattle Diseases/*epidemiology', 'Colostrum/immunology', 'Female', 'Germany, West', 'Immunodiffusion', '*Labor, Obstetric', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Milk/immunology', 'Postpartum Period', 'Pregnancy', 'Retroviridae/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):765-9.,,IM,,"The Agar-Gel-Immunodiffusion-Test as proposed by EEC has been carried out during the last 2 1/2 years within a defined test area of Lower Saxony. About 500 leukosis-infected herds with a total of about 20.000 head of cattle have been tested five times now within three to six months sequences. The AGIDT has proved to be an easy and very practical test for routine diagnosis in large scale surveys. Our results described again show the superiority of the glykoprotein-antigen over the ether-treated p24-antigen in the AGIDT. Slaughter of AGIDT-reactors within this population led to a fast decrease of leukosis-infection as detected by the test. Epidemiological herd-data show, that spreading of infection within a herd depends largely on direct contact between infected and noninfected animals. Moreover our data give rise to the suspicion that the manipulations during blood-sampling seem to be implicated in the spread of the disease within a herd. Possible reasons for inconsistencies of antibody-titer in infected animals are discussed.",,,,,
224775,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Epidemiologic study on enzootic bovine leukemia in Italy.,761-4,"['Rutili, D', 'Severini, M', 'Rampichini, L', 'Titoli, F']","['Rutili D', 'Severini M', 'Rampichini L', 'Titoli F']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*epidemiology', 'Italy', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):761-4.,,IM,,"The results obtained from serologic and hematologic investigations conducted on 1.124 cattle belonging to 14 herds located in Central Italy are reported. The results demonstrate a considerable number of animals with antibodies to Bovine Leukemia Virus (BLV) and/or lymphocytosis, coming from Friesian herds with or without history of leucosis. Furthermore it is demonstrated the absence of animals with circulating antibodies to BLV in herds made up of the Chianina breed even with a herd history of leucosis.",,,,,
224774,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Enzootic bovine leukosis: an epidemiological survey among cattle in the west of France by precipitating antibody detection.,755-60,"['Nougayrede, P', 'Quentel, C', 'Gayot, G']","['Nougayrede P', 'Quentel C', 'Gayot G']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/*analysis', 'Cattle', 'Cattle Diseases/diagnosis/*epidemiology', 'France', 'Immunodiffusion', 'Leukemia/diagnosis/epidemiology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):755-60.,,IM,,"In order to inform the sanitary veterinaty authorities, an epidemiological survey was carried out in the West of France to appreciate the level of infection by BLV in cattle. More than 10,000 sera from 763 herds were tested by agar gel immuno-diffusion. The animals were more than one-year-old dairy cattle. 23 sera (0.22%) from 11 herds (1.44%) were found positive. In the 11 herds the levels of serologically positive animals ranged from 1.6 to 40% with a 9% average. These levels are comparatively low and are almost in correspondence with the number of leukotic tumours recorded in the slaughter houses and knackeries.",,,,,
224773,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,A two-years sero-epidemiological survey of bovine leukemia virus (BLV) infection in a high incidence area of the south-west of France.,747-54,"['Crespeau, F', 'Sarsat, J P', 'Vuillaume, A', 'Levy, D', 'Parodi, A L']","['Crespeau F', 'Sarsat JP', 'Vuillaume A', 'Levy D', 'Parodi AL']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*epidemiology', 'France', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):747-54.,,IM,,,,,,,
224772,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Epidemiology of bovine leukemia in Venezuela.,743-6,"['Marin, C', 'de Lopez, N M', 'Alvarez, L', 'Lozano, O', 'Espana, W', 'Castanos, H', 'Leon, A']","['Marin C', 'de Lopez NM', 'Alvarez L', 'Lozano O', 'Espana W', 'Castanos H', 'Leon A']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Age Factors', 'Animals', 'Cattle', 'Cattle Diseases/*epidemiology', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine', 'Venezuela']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):743-6.,,IM,,"Approximately 20 thousand bovines of autochtonious and imported breeds, located in different regions of the Country were serologically tested by Immuno-diffusion (I.D.) in agar, using BLV GP60 antigens, for the purpose of determining the prevalence of infection by Bovine Leukemia Virus. Hematologic and histopathologic assays were made with the object of determining variations in hematologic values and the determination of stages of persistent lymphocytosis, and of studying the morphocytological changes that accompany malignant transformations of lymphoid elements, in order to make studies on the incidence of clear tumoral lesions in herds highly affected by Leukemia. From 16 thousand samples of serum, tested by the I.D., 6 thousand were positives (37,5%) pertaining to 150 herds distributed in all 20 states of the Country. The sera correspond to different breeds: dairy cattle, beef cattle, brahman, zebu hybrids, and buffalo. Hematologically, persistent lymphocytosis induced by the BLV was verified, by previously discarding other pathologic stages with transitory lymphocytosis. Factors which explain this high incidence and the spread of the Bovine Leukemia in Venezuela were detected.",,,,,
224771,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Diagnostics of enzootic leukosis in cattle in Czechoslovakia and the methods of its suppression.,739-42,"['Hofirek, B', 'Jagos, P', 'Polak, L', 'Rademacher, R', 'Tesar, A', 'Varejka, F', 'Zavada, J']","['Hofirek B', 'Jagos P', 'Polak L', 'Rademacher R', 'Tesar A', 'Varejka F', 'Zavada J']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*diagnosis/prevention & control', 'Czechoslovakia', 'Immunodiffusion', 'Leukemia/diagnosis/prevention & control/*veterinary', 'Leukemia Virus, Bovine', 'Neutralization Tests']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):739-42.,,IM,,,,,,,
224770,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Bovine leucosis in Ireland.,735-7,"['Kavanagh, P J']",['Kavanagh PJ'],['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cattle', 'Cattle Diseases/*epidemiology', 'Ireland', 'Leukemia/epidemiology/*veterinary', 'Leukemia Virus, Bovine']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):735-7.,,IM,,"An abbatoir tumour survey showed that lymphosarcoma cases arose at a rate of approximately 2/100,000 cattle slaughtered. No multiple cases occurred in herds. A limited haematological survey showed no evidence of E.B.L. E.B.L. was made a notifiable disease in October 1977. Since then all tumour cases were back-traced and the herd of origin tested by A.G.I.D. test. All herds proved negative. A survey of herds containing imported cattle was started. To date seven herds containing Canadian Holsteins have proved positive serologically. Little spread of infection within the herds has taken place.",,,,,
224769,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,An infectivity assay for the bovine leukemia virus based on the induction of the major internal virion antigen in susceptible cell cultures.,729-34,"['Jerabek, L', 'Gupta, P', 'Ferrer, J F']","['Jerabek L', 'Gupta P', 'Ferrer JF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antigens, Viral)']","['Antigens, Viral/*analysis', 'Cells, Cultured', 'Immunoenzyme Techniques', 'Leukemia Virus, Bovine/*growth & development/immunology', 'Retroviridae/*growth & development', 'Virion/immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):729-34.,,IM,,"This report described the development of a 7-day infectivity assay for the bovine leukemia virus (BLV) which is based on the induction of the major internal virion antigen (p25) in susceptible indicator monolayer cell cultures. In this assay the antigen is detected in the indicator cells by the immunoperoxidase antibody technique using a monospecific anti-BLV serum. The immunoperoxidase infectivity assay (IPIA) is specific, quantitative, reproducible and more sensitive than the previously developed syncytia induction assay. The IPIA can be applied for the detection of BLV-infected cells and provides a reliable method for the direct diagnosis of BLV infection in cattle.",,,,,
224768,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,"The phenomenon of polykaryocytosis induced by BLV in mixed cultures: specificity, mechanisms and application to the diagnosis of BLV infection in cattle.",721-8,"['Ferrer, J F', 'Cabradilla, C D']","['Ferrer JF', 'Cabradilla CD']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,,"['Animals', 'Cats', 'Cattle', 'Cattle Diseases/*diagnosis', 'Cell-Free System', 'Cells, Cultured', 'Chiroptera', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*growth & development', 'Lymphocytes', 'Retroviridae/*growth & development', 'Sarcoma Viruses, Murine/growth & development']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):721-8.,,IM,,,,,,,
224767,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Early polykaryocytosis inhibition test: evaluation of its performance in a seroepidemiological survey of bovine leukemia virus induced antibodies in cattle.,709-20,"['Guillemain, B', 'Mamoun, R', 'Astier, T', 'Duplan, J F', 'Parodi, A L']","['Guillemain B', 'Mamoun R', 'Astier T', 'Duplan JF', 'Parodi AL']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Age Factors', 'Animals', 'Antibodies, Viral/*analysis', 'Cattle', 'Cattle Diseases/blood/*diagnosis/epidemiology', 'Cells, Cultured', 'France', 'Immunodiffusion', 'Leukemia/diagnosis/epidemiology/*veterinary', 'Leukemia Virus, Bovine/*growth & development/immunology', 'Lymphoma, Non-Hodgkin/blood/epidemiology/veterinary', 'Retroviridae/*growth & development']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):709-20.,,IM,,"We report the results of a seroepidemiological survey, using the recently described early polykaryocytosis inhibition (EPI) assay to detect bovine leukemia virus (BLV) infection in cattle. At the herd level, there is a good correlation between epidemiological, hematological, anatomopathological data and of both the presence and titer of EP inhibiting antibodies. The EPI procedure revealed to be more sensitive than two other routine serological techniques, complement fixation and immunodiffusion. In addition, at the individual level the average EPI titers of the sera increase progressively from normal to hematologically-suspect, -- positive and finally to lymphosarcomatous animals; when the age is considered, there is a very significant increase of the amount of EP inhibiting antibodies among lymphocytotic animals, while there is only a very moderate increase of the EPI titer among hematologically normal contact animals. This suggests a loss of control of BLV expression in most lymphocytotic animals and may explain the more frequent occurrence of lymphosarcomas in this category of animals. The horizontal transmission of BLV throughout the entire life span is supported by the observation of an increase with age of the percentage of animals with EP inhibiting antibodies.",,,,,
224766,NLM,MEDLINE,19791026,20031114,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Characterization of antibodies responsible for the inhibition of BLV induced early polycaryoxytosis.,699-708,"['Astier, T', 'Mamoun, R', 'Guillemain, B', 'Parodi, A L', 'Duplan, J F']","['Astier T', 'Mamoun R', 'Guillemain B', 'Parodi AL', 'Duplan JF']",['eng'],['Journal Article'],France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)', '0 (Immunoglobulin G)']","['Animals', 'Antibodies, Viral/*analysis/isolation & purification', 'Cattle', 'Cattle Diseases/immunology', 'Cells, Cultured', 'Chromatography, Affinity', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Immunoglobulin G/isolation & purification', 'Leukemia/immunology/veterinary', 'Leukemia Virus, Bovine/*growth & development/immunology', 'Retroviridae/*growth & development']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):699-708.,,IM,,"A quantitative in vitro assay (EPI) was developed for the serological detection of bovine leukemia virus (BLV) infection in cattle. Positive sera react in inhibiting early polycaryocytosis (EP) induced by BLV. We report here experiments which demonstrate that BLV induced antibodies are responsible for this inhibition. Serum fractionation by gel filtration and affinity chromatography indicates that EP inhibiting activity is mediated by immunoglobulins of the IgG class but not by those of the IgM or other classes. Furthermore, in view of their ion-exchange chromatographic behaviour, these antibodies were attributed to the IgG1 subclass. We also ruled out the participation in the EP inhibition rection of the other compounds like polypeptides, including serum complement and interferon or DNA and RNA. These results demonstrate that EP inhibition by bovine sera is specific of BLV induced antibodies.",,,,,
224765,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Application of radioimmunologic techniques to studies of the epidemiologic involvement of bovine leukemia virus in lymphosarcoma of domestic cattle.,689-97,"['Devare, S G', 'Oroszlan, S', 'Stephenson, J R']","['Devare SG', 'Oroszlan S', 'Stephenson JR']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)', '0 (Antigens, Viral)', '0 (Glycoproteins)']","['Animals', 'Antibodies, Viral/analysis', 'Antigens, Viral/isolation & purification', 'Cattle', 'Cattle Diseases/*diagnosis/epidemiology', 'Complement Fixation Tests', 'Glycoproteins/immunology/isolation & purification', 'Immunodiffusion', 'Leukemia Virus, Bovine/immunology', 'Lymphoma, Non-Hodgkin/diagnosis/epidemiology/*veterinary', '*Radioimmunoassay']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):689-97.,,IM,,,,,,,
224764,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Indirect hemagglutination test for detection of antibody against bovine leukemia virus.,675-82,"['Andersen, T H']",['Andersen TH'],['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/*analysis', 'Cattle', 'Cattle Diseases/blood/*diagnosis', '*Hemagglutination Tests', 'Immunodiffusion', 'Leukemia/blood/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Leukocyte Count', 'Retroviridae/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):675-82.,,IM,,"An indirect hemagglutination test was developed for detecting antibody against Bovine Leukemia Virus. Medium from Bovine Leukemia Virus infected monolayer fetal lamb kidney cell line cultures was concentrated by a combination of ammonium sulfate precipitation and freezedrying. Tanned sheep red blood cells were exposed to p24 and GP antigens, separately and together. The GP antigen did not attach to the sheep red blood cells, while the p24 antigen did. On testing 150 samples from suspect animals with the crude antigen-coated sheep red blood cells, the indirect hemagglutination test detected almost the same number (74) of positive animals as the agar gel immunodiffusion test with GP antigen (79), and by each of these test a far greater number of cases of leukosis were detected than by hematologic examination (58) or agar gel immunodiffusion test with p24 antigen (44). These results suggest that the indirect hemagglutination test may detect almost the same number of positive as the agar gel immunodiffusion test with GP antigen. Moreover, its results can be read two days earlier, and an impression of the antibody level in the sera is obtained. In routine or large-scale work the indirect hemagglutination test is too troublesome and time-consuming compared to the agar gel immunodiffusion test. The indirect hemagglutination test may be improved if it becomes possible to sensitize sheep red blood cells with GP antigen.",,,,,
224763,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Detection of complement-dependent lytic antibodies in sera from bovine leukemia virus-infected animals.,667-74,"['Portetelle, D', 'Bruck, C', 'Burny, A', 'Dekegel, D', 'Mammerickx, M', 'Urbain, J']","['Portetelle D', 'Bruck C', 'Burny A', 'Dekegel D', 'Mammerickx M', 'Urbain J']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)', '0 (Immunoglobulin G)']","['Animals', 'Antibodies, Viral/*analysis', 'Cattle/immunology', 'Cattle Diseases/*immunology', '*Cytotoxicity, Immunologic', 'Immunoglobulin G/analysis', 'Leukemia/immunology/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology', 'Sheep/immunology', 'Sheep Diseases/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):667-74.,,IM,,Cattle and sheep infected by Bovine Leukemia Virus (BLV) harbor complement-dependent cytotoxic IgG1 antibodies. These antibodies lyse BLV producing cells but are inactive against noncultured tumorous lymphocytes of animals with persistent lymphocytosis. The target structure in the cell membrane contains antigenic determinants of BLV gp 60. The level of cytotoxic activity increases with progression of the disease towards the tumor phase. Sheep vaccinated with inactivated BLV have no cytotoxic activity in the serum but seem to resist infectious BLV challenge. Such cytotoxic activities do not protect the host against tumor growth but strongly control viremia and thus limit BLV spread within bovine and ovine populations.,,,,,
224762,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Studies on bovine leukosis. VI. Enzyme linked immunosorbent assay for the detection of antibodies to bovine leukosis virus.,663-6,"['Ressang, A A', 'Gielkens, A L', 'Quak, S', 'Mastenbroek, N', 'Tuppert, C', 'De Castro, A']","['Ressang AA', 'Gielkens AL', 'Quak S', 'Mastenbroek N', 'Tuppert C', 'De Castro A']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/*analysis', 'Cattle/immunology', 'Cattle Diseases/*diagnosis', '*Enzyme-Linked Immunosorbent Assay', 'Female', 'Immunodiffusion', '*Immunoenzyme Techniques', 'Leukemia/diagnosis/*veterinary', 'Leukemia Virus, Bovine/*immunology', 'Retroviridae/*immunology']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):663-6.,,IM,,The results of examination of 2 784 sera in the AGIDT-gp were compared with those of the ELISA. A discrepancy was seen in 0.5% of the cases. It was concluded that the ELISA was another useful serological method added to the list of serological techniques presently available for the detection of antibodies to BLV. The advantages of the technique are discussed.,,,,,
224761,NLM,MEDLINE,19791026,20061115,0003-4193 (Print) 0003-4193 (Linking),9,4,1978,Comparison between the immunodiffusion and the immunofluorescence tests in the diagnosis of bovine leukemia virus (BLV).,659-62,"['Trainin, Z', 'Meirom, R', 'Gluckmann, A']","['Trainin Z', 'Meirom R', 'Gluckmann A']",['eng'],"['Comparative Study', 'Journal Article']",France,Ann Rech Vet,Annales de recherches veterinaires. Annals of veterinary research,1267230,"['0 (Antibodies, Viral)']","['Animals', 'Antibodies, Viral/analysis', 'Cattle/immunology', 'Cattle Diseases/*diagnosis', 'Female', '*Immunodiffusion', '*Immunoelectrophoresis', 'Leukemia/diagnosis/immunology/*veterinary', 'Leukemia Virus, Bovine/immunology', 'Lymphoma, Non-Hodgkin/immunology/veterinary']",1978/01/01 00:00,1978/01/01 00:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '1978/01/01 00:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Ann Rech Vet. 1978;9(4):659-62.,,IM,,,,,,,
