PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,LID,PMC,AB,AD,DEP,UIN,UOF,RF,GR,MID,CIN,CON,CI,COIS,CN,IR,FIR,EIN,SI,PS,FPS,RIN
20219088,NLM,MEDLINE,20100430,20181113,1742-4690 (Electronic) 1742-4690 (Linking),7,,2010 Mar 10,"Detection of a gammaretrovirus, XMRV, in the human population: open questions and implications for xenotransplantation.",16,"['Denner, Joachim']",['Denner J'],['eng'],['Editorial'],,England,Retrovirology,Retrovirology,101216893,IM,"['Animals', 'Humans', 'Organ Transplantation/*adverse effects', 'Retroviridae Infections/*transmission', 'Swine', 'Transplantation, Heterologous/*adverse effects']",,,,2010/03/12 06:00,2010/05/01 06:00,['2010/03/12 06:00'],"['2009/12/04 00:00 [received]', '2010/03/10 00:00 [accepted]', '2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/05/01 06:00 [medline]']",epublish,Retrovirology. 2010 Mar 10;7:16. doi: 10.1186/1742-4690-7-16.,,"['1742-4690-7-16 [pii]', '10.1186/1742-4690-7-16 [doi]']",10.1186/1742-4690-7-16 [doi],PMC2841096,"XMRV (xenotropic murine leukaemia virus-related virus) is a gammaretrovirus that has been detected in human patients with prostate carcinoma, chronic fatigue syndrome (CFS) and also in a small percentage of clinically healthy individuals. It is not yet clear whether the distribution of this virus is primarily limited to the USA or whether it is causally associated with human disease. If future investigations confirm a broad distribution of XMRV and its association with disease, this would have an impact on xenotransplantation of porcine tissues and organs. Xenotransplantation is currently being developed to compensate for the increasing shortage of human material for the treatment of tissue and organ failure but could result in the transmission of porcine pathogens. Maintenance of pathogen-free donor animals will dramatically reduce this risk, but some of the porcine endogenous retroviruses (PERVs) found in the genome of all pigs, can produce infectious virus and infect cultured human cells. PERVs are closely related to XMRV so it is critical to develop tests that discriminate between them. Since recombination can occur between viruses, and recombinants can exhibit synergism, recipients should be tested for XMRV before xenotransplantation.","['Retrovirus induced immunosuppression, Robert Koch Institute, Nordufer 20, D-13353 Berlin, Germany. DennerJ@rki.de']",20100310,,,,,,,,,,,,,,,,,
20218814,NLM,MEDLINE,20100806,20190116,1029-2403 (Electronic) 1026-8022 (Linking),51,4,2010 Apr,Miescher cheilitis and myelomonocytic leukemia: a fortuitous association or a rare paraneoplastic syndrome?,730-2,"['Lemasle, Emilie', 'Jardin, Fabrice', 'Duval, Anne Benedicte', 'Courville, Philippe', 'Buchonnet, Gerard', 'Callat, Marie Paule', 'Stamatoullas, Aspasia', 'Tilly, Herve']","['Lemasle E', 'Jardin F', 'Duval AB', 'Courville P', 'Buchonnet G', 'Callat MP', 'Stamatoullas A', 'Tilly H']",['eng'],"['Case Reports', 'Letter']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myelomonocytic, Chronic/classification/*complications/diagnosis', 'Melkersson-Rosenthal Syndrome/classification/*complications/diagnosis', 'Middle Aged', 'Paraneoplastic Syndromes/classification/*diagnosis/etiology']",,,,2010/03/12 06:00,2010/08/07 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/08/07 06:00 [medline]']",ppublish,Leuk Lymphoma. 2010 Apr;51(4):730-2. doi: 10.3109/10428191003611410.,,['10.3109/10428191003611410 [doi]'],10.3109/10428191003611410 [doi],,,,,,,,,,,,,,,,,,,,,
20218812,NLM,MEDLINE,20100806,20190116,1029-2403 (Electronic) 1026-8022 (Linking),51,4,2010 Apr,miR-451 enhances erythroid differentiation in K562 cells.,686-93,"['Bruchova-Votavova, Hana', 'Yoon, Donghoon', 'Prchal, Josef T']","['Bruchova-Votavova H', 'Yoon D', 'Prchal JT']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Cell Differentiation/drug effects/*genetics', 'Cell Line, Tumor', '*Erythroid Cells/drug effects/pathology', 'Erythropoiesis/drug effects/*genetics', 'Gene Expression Profiling', 'Gene Expression Regulation, Leukemic/drug effects', 'Hemin/pharmacology', 'Humans', 'K562 Cells', 'Leukemia, Erythroblastic, Acute/genetics/pathology', 'MicroRNAs/genetics/*physiology', 'Oligonucleotide Array Sequence Analysis', 'Transfection', 'Up-Regulation/drug effects/physiology']",,,,2010/03/12 06:00,2010/08/07 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/08/07 06:00 [medline]']",ppublish,Leuk Lymphoma. 2010 Apr;51(4):686-93. doi: 10.3109/10428191003629362.,"['0 (MIRN150 microRNA, human)', '0 (MIRN451 microRNA, human)', '0 (MicroRNAs)', '743LRP9S7N (Hemin)']",['10.3109/10428191003629362 [doi]'],10.3109/10428191003629362 [doi],,"Erythropoiesis is a multistep process regulated at the molecular level by intrinsic and extrinsic factors including microRNAs (miRNAs). We previously identified aberrant expression of miR-451 and miR-150 in polycythemia vera (PV) erythroid differentiating cells. To address the functional relevance of these miRNAs in erythroid differentiation, we employed synthetic mimics and inhibitors of miR-451 and miR-150 in erythroid differentiating K562 cells. We observed that miR-451 up-regulation and miR-150 down-regulation are associated with progression of erythroid maturation in K562 cells. Further, enforced expression of miR-451 promoted erythroid differentiation. Inhibition of miR-150 reduced hemoglobinization of K562 cells. Microarray data suggested potential targets regulated by miR-451: UBE2H, ARPP-19; and by miR-150: MS4A3, AGA, PTPRR. Our results demonstrate that miR-451 is involved in the regulation of erythroid differentiation and functions as an enhancer of differentiation. These data support the concept that aberrant expression of miRNAs may contribute to abnormal erythropoiesis such as that of PV.","['Institute of Hematology and Blood Transfusion, Prague, Czech Republic.']",,,,,"['P01 CA108671/CA/NCI NIH HHS/United States', '1P01CA108671-O1A2/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
20218809,NLM,MEDLINE,20100806,20190116,1029-2403 (Electronic) 1026-8022 (Linking),51,4,2010 Apr,Phase II study of autologous stem cell transplant using busulfan-melphalan chemotherapy-only conditioning followed by interferon for relapsed poor prognosis follicular non-Hodgkin lymphoma.,641-9,"['Grigg, Andrew P', 'Stone, Janey', 'Milner, Alvin D', 'Schwarer, Anthony P', 'Wolf, Max', 'Prince, H Miles', 'Seymour, John', 'Gill, Devinder', 'Ellis, David', 'Bashford, John']","['Grigg AP', 'Stone J', 'Milner AD', 'Schwarer AP', 'Wolf M', 'Prince HM', 'Seymour J', 'Gill D', 'Ellis D', 'Bashford J']",['eng'],"['Clinical Trial, Phase II', 'Journal Article', 'Multicenter Study']",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Adult', 'Busulfan/*administration & dosage/adverse effects', 'Drug Administration Schedule', 'Female', '*Hematopoietic Stem Cell Transplantation/adverse effects', 'Humans', 'Immunosuppressive Agents/administration & dosage/adverse effects', 'Interferons/*administration & dosage', 'Lymphoma, Non-Hodgkin/diagnosis/drug therapy/mortality/*therapy', 'Male', 'Melphalan/*administration & dosage/adverse effects', 'Middle Aged', 'Prognosis', 'Recurrence', 'Remission Induction', 'Salvage Therapy/methods', 'Survival Analysis', 'Transplantation Conditioning/adverse effects/*methods', 'Transplantation, Autologous', 'Young Adult']",,,,2010/03/12 06:00,2010/08/07 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/08/07 06:00 [medline]']",ppublish,Leuk Lymphoma. 2010 Apr;51(4):641-9. doi: 10.3109/10428191003611428.,"['0 (Immunosuppressive Agents)', '9008-11-1 (Interferons)', 'G1LN9045DK (Busulfan)', 'Q41OR9510P (Melphalan)']",['10.3109/10428191003611428 [doi]'],10.3109/10428191003611428 [doi],,"Alpha interferon has proven efficacy in prolonging remissions in patients with follicular non-Hodgkin lymphoma (NHL) when given concurrently with or after conventional-dose anthracycline-based chemotherapy, but there are limited data on its use after myeloablative conditioning. We prospectively evaluated the toxicity and efficacy of interferon given thrice weekly for up to 5 years post-engraftment in patients with relapsed follicular NHL undergoing autologous stem cell transplant using busulfan-melphalan conditioning. Thirty-seven patients were enrolled in this Australasian Leukaemia & Lymphoma Group study and transplanted between 1995 and 1999. Only one patient had received prior rituximab. Two patients died of transplant-related toxicity; 28 of the remainder commenced interferon, but it was discontinued prematurely in most patients due to toxicity (mainly fatigue and depression) or relapse. While the majority of patients (29/36 evaluable: 81%) achieved a complete remission based on clinical and CT scan criteria post-transplant, most relapsed relatively early, with a median progression-free survival of 2.4 years. The overall survival at 7 years was 49%. Eight patients (22%), however, remain alive a median of 9.3 years post-transplant, having never relapsed, and another six patients (16%) remain alive in durable remission after salvage therapy. These results demonstrate that interferon is poorly tolerated post-autograft and hence is unlikely to positively contribute to patient outcome. Long-term follow-up demonstrates that autografting may result in durable remissions in a meaningful minority of patients with relapsed follicular NHL.","['Department of Clinical Haematology and Bone Marrow Transplantation, Royal Melbourne Hospital and University of Melbourne, Melbourne, Australia. Andrew.grigg@mh.org.au']",,,,,,,,,,,['Australasian Leukaemia & Lymphoma Group'],,,,,,,
20218808,NLM,MEDLINE,20100806,20190116,1029-2403 (Electronic) 1026-8022 (Linking),51,4,2010 Apr,Efficacy of rituximab and cladribine in patients with chronic lymphocytic leukemia and feasibility of stem cell mobilization: a prospective multicenter phase II trial (protocol SAKK 34/02).,613-9,"['Leupin, Nicolas', 'Schuller, Jan C', 'Solenthaler, Max', 'Heim, Dominik', 'Rovo, Alicia', 'Beretta, Kurt', 'Gregor, Michael', 'Bargetzi, Mario J', 'Brauchli, Peter', 'Himmelmann, Andreas', 'Hanselmann, Silvia', 'Zenhausern, Reinhard']","['Leupin N', 'Schuller JC', 'Solenthaler M', 'Heim D', 'Rovo A', 'Beretta K', 'Gregor M', 'Bargetzi MJ', 'Brauchli P', 'Himmelmann A', 'Hanselmann S', 'Zenhausern R']",['eng'],"['Clinical Trial, Phase II', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,IM,"['Adult', 'Aged', 'Antibodies, Monoclonal/*administration & dosage/adverse effects', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Cladribine/*administration & dosage/adverse effects', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage/adverse effects', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Feasibility Studies', 'Female', 'Granulocyte Colony-Stimulating Factor/administration & dosage/adverse effects', 'Hematopoietic Stem Cell Mobilization/*methods', 'Hematopoietic Stem Cell Transplantation/methods', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/drug therapy/*therapy', 'Male', 'Middle Aged', 'Remission Induction', 'Rituximab', 'Transplantation Conditioning', 'Treatment Outcome']",,,,2010/03/12 06:00,2010/08/07 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/08/07 06:00 [medline]']",ppublish,Leuk Lymphoma. 2010 Apr;51(4):613-9. doi: 10.3109/10428191003624231.,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '47M74X9YT5 (Cladribine)', '4F4X42SYQ6 (Rituximab)', '8N3DW7272P (Cyclophosphamide)']",['10.3109/10428191003624231 [doi]'],10.3109/10428191003624231 [doi],,"This phase II trial investigated rituximab and cladribine in chronic lymphocytic leukemia. Four induction cycles, comprising cladribine (0.1 mg/kg/day days 1-5, cycles 1-4) and rituximab (375 mg/m(2) day 1, cycles 2-4), were given every 28 days. Stem cell mobilization (rituximab 375 mg/m(2) days 1 and 8; cyclophosphamide 4 g/m(2) day 2; and granulocyte colony-stimulating factor 10 microg/kg/day, from day 4) was performed in responders. Of 42 patients, nine achieved complete remission (CR), 15 very good partial remission, and two nodular partial remission (overall response rate 62%). Stem cell mobilization and harvesting (> or = 2 x 10(6) stem cells/kg body weight) were successful in 12 of 20 patients. Rituximab infusion-related adverse events were moderate. The main grade 3/4 adverse events during induction were neutropenia and lymphocytopenia. Rituximab plus cladribine was effective; however, the CR rate was modest and stem cell harvest was impaired in a large number of responding patients.","['Department of Medical Oncology, University of Bern, Inselspital, 3010 Bern, Switzerland.']",,,,,,,['Leuk Lymphoma. 2010 Apr;51(4):571-3. PMID: 20141447'],,,,,,,,,,,
20218807,NLM,MEDLINE,20100614,20151119,1814-1412 (Electronic) 1562-2975 (Linking),11,2 Pt 2,2010 Mar,Quetiapine monotherapy in bipolar I disorder: a 1-year stabilization in a woman having undergone bone marrow transplantation.,519-21,"['Michopoulos, Ioannis', 'Christodoulou, Christos', 'Dervenoulas, John', 'Soldatos, Costas R', 'Lykouras, Lefteris']","['Michopoulos I', 'Christodoulou C', 'Dervenoulas J', 'Soldatos CR', 'Lykouras L']",['eng'],"['Case Reports', 'Journal Article']",,England,World J Biol Psychiatry,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,101120023,IM,"['Antipsychotic Agents/*therapeutic use', 'Bipolar Disorder/complications/*drug therapy', 'Bone Marrow Transplantation/*psychology', 'Dibenzothiazepines/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications/psychology/therapy', 'Middle Aged', 'Quetiapine Fumarate', 'Treatment Outcome']",,,,2010/03/12 06:00,2010/06/15 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/06/15 06:00 [medline]']",ppublish,World J Biol Psychiatry. 2010 Mar;11(2 Pt 2):519-21. doi: 10.3109/15622970701624587.,"['0 (Antipsychotic Agents)', '0 (Dibenzothiazepines)', '2S3PL1B6UJ (Quetiapine Fumarate)']",['10.3109/15622970701624587 [doi]'],10.3109/15622970701624587 [doi],,"Queatiapine has been used in bipolar mania and most recently in bipolar depression with good results; however, its use in maintenance treatment has not been established yet. A case of a woman suffering from bipolar I disorder who underwent bone marrow transplantation twice because of leukaemia is presented. The use of quetiapine as a monotherapy was efficient and safe and proved to be a good treatment in mood stabilization for 1 year.","['2nd Department of Psychiatry, Athens University Medical School, Attikon General Hospital, Athens, Greece.']",,,,,,,,,,,,,,,,,,
20218673,NLM,MEDLINE,20100514,20181201,1520-4804 (Electronic) 0022-2623 (Linking),53,8,2010 Apr 22,Modified cap group suberoylanilide hydroxamic acid histone deacetylase inhibitor derivatives reveal improved selective antileukemic activity.,3038-47,"['Salmi-Smail, Chanaz', 'Fabre, Aurelie', 'Dequiedt, Franck', 'Restouin, Audrey', 'Castellano, Remy', 'Garbit, Slaveia', 'Roche, Philippe', 'Morelli, Xavier', 'Brunel, Jean Michel', 'Collette, Yves']","['Salmi-Smail C', 'Fabre A', 'Dequiedt F', 'Restouin A', 'Castellano R', 'Garbit S', 'Roche P', 'Morelli X', 'Brunel JM', 'Collette Y']",['eng'],['Journal Article'],,United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis/chemistry/pharmacology', 'Blood Cell Count', 'Cell Line, Tumor', 'Drug Screening Assays, Antitumor', 'Histone Deacetylase Inhibitors/*chemical synthesis/chemistry/pharmacology', 'Histone Deacetylases/chemistry', 'Humans', 'Hydroxamic Acids/*chemical synthesis/chemistry/pharmacology', 'Leukemia/*drug therapy', 'Mice', 'Models, Molecular', 'Repressor Proteins/antagonists & inhibitors/chemistry', 'Structure-Activity Relationship', 'Toxicity Tests, Chronic', 'Vorinostat']",,,,2010/03/12 06:00,2010/05/15 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/05/15 06:00 [medline]']",ppublish,J Med Chem. 2010 Apr 22;53(8):3038-47. doi: 10.1021/jm901358y.,"['0 (Antineoplastic Agents)', '0 (Histone Deacetylase Inhibitors)', '0 (Hydroxamic Acids)', '0 (Repressor Proteins)', '58IFB293JI (Vorinostat)', 'EC 3.5.1.98 (HDAC8 protein, human)', 'EC 3.5.1.98 (Histone Deacetylases)']",['10.1021/jm901358y [doi]'],10.1021/jm901358y [doi],,"A series of SAHA cap derivatives was designed and prepared in good-to-excellent yields that varied from 49% to 95%. These derivatives were evaluated for their antiproliferative activity in several human cancer cell lines. Antiproliferative activity was observed for concentrations varying from 0.12 to >100 microM, and a molecular modeling approach of selected SAHA derivatives, based on available structural information of human HDAC8 in complex with SAHA, was performed. Strikingly, two compounds displayed up to 10-fold improved antileukemic activity with respect to SAHA; however, these compounds displayed antiproliferative activity similar to SAHA when assayed against solid tumor-derived cell lines. A 10-fold improvement in the leukemic vs peripheral blood mononuclear cell therapeutic ratio, with no evident in vivo toxicity toward blood cells, was also observed. The herein-described compounds and method of synthesis will provide invaluable tools to investigate the molecular mechanism responsible for the reported selectively improved antileukemic activity.","['Unite 891 INSERM, Centre de Recherche en Cancerologie de Marseille, 27 Bd Lei Roure, 13009 Marseille 09, France.']",,,,,,,,,,,,,,,,,,
20218331,NLM,MEDLINE,20100429,20191111,0042-6857 (Print) 0042-6857 (Linking),59,2,2009 Dec,[Receptors for animal retroviruses].,223-42,"['Miyazawa, Takayuki']",['Miyazawa T'],['jpn'],"['English Abstract', 'Journal Article', 'Review']",,Japan,Uirusu,Uirusu,0417475,IM,"['Animals', 'Cats', 'Endocytosis', 'Humans', 'Membrane Fusion', 'Mice', '*Receptors, Virus', '*Retroviridae/classification/pathogenicity', 'Retroviridae Infections/*virology', 'Sheep', 'Veterinary Medicine']",,,,2010/03/12 06:00,2010/04/30 06:00,['2010/03/12 06:00'],"['2010/03/12 06:00 [entrez]', '2010/03/12 06:00 [pubmed]', '2010/04/30 06:00 [medline]']",ppublish,Uirusu. 2009 Dec;59(2):223-42. doi: 10.2222/jsv.59.223.,"['0 (Receptors, Virus)']",['10.2222/jsv.59.223 [doi]'],,,"Diseases caused by animal retroviruses have been recognized since 19th century in veterinary field. Most livestock and companion animals have own retroviruses. To disclose the receptors for these retroviruses will be useful for understanding retroviral pathogenesis, developments of anti-retroviral drugs and vectors for human and animal gene therapies. Of retroviruses in veterinary field, receptors for the following viruses have been identified; equine infectious anemia virus, feline immunodeficiency virus, feline leukemia virus subgroups A, B, C, and T, Jaagsiekte sheep retrovirus, enzootic nasal tumor virus, avian leukosis virus subgroups A, B, C, D, E, and J, reticuloendotheliosis virus, RD-114 virus (a feline endogenous retrovirus), and porcine endogenous retrovirus subgroup A. Primate lentiviruses require two molecules (CD4 and chemokine receptors such as CXCR4) as receptors. Likewise, feline immunodeficiency virus also requires two molecules, i.e., CD134 (an activation marker of CD4 T cells) and CXCR4 in infection. Gammaretroviruses utilize multi-spanning transmembrane proteins, most of which are transporters of amino acids, vitamins and inorganic ions. Betaretroviruses and alpharetroviruses utilize transmembrane and/or GPI-anchored proteins as receptors. In this review, I overviewed receptors for animal retroviruses in veterinary field.","['Laboratory of Signal Transduction, Department of Cell Biology, Institute for Virus Research, Kyoto University, 53 Shogoin-Kawaracho, Sakyo-ku, Kyoto 606-8507, Japan. takavet@goo.jp']",,,,116,,,,,,,,,,,,,,
20217860,NLM,MEDLINE,20100728,20131121,1522-2683 (Electronic) 0173-0835 (Linking),31,8,2010 Apr,Measurement of intracellular accumulation of anthracyclines in cancerous cells by direct injection of cell lysate in MEKC/LIF detection.,1396-404,"['Mbuna, Julius', 'Kaneta, Takashi', 'Imasaka, Totaro']","['Mbuna J', 'Kaneta T', 'Imasaka T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Germany,Electrophoresis,Electrophoresis,8204476,IM,"['Cell Line, Tumor', 'Chromatography, Micellar Electrokinetic Capillary/*methods', 'Culture Media', 'Doxorubicin/*analysis/chemistry/pharmacokinetics', 'Epirubicin/*analysis/chemistry/pharmacokinetics', 'Humans', 'Hydrogen-Ion Concentration', 'Intracellular Space/chemistry', 'Linear Models', 'Neoplasms/*chemistry/drug therapy/metabolism', 'Reproducibility of Results', 'Spectrometry, Fluorescence/*methods']",,,,2010/03/11 06:00,2010/07/29 06:00,['2010/03/11 06:00'],"['2010/03/11 06:00 [entrez]', '2010/03/11 06:00 [pubmed]', '2010/07/29 06:00 [medline]']",ppublish,Electrophoresis. 2010 Apr;31(8):1396-404. doi: 10.1002/elps.200900659.,"['0 (Culture Media)', '3Z8479ZZ5X (Epirubicin)', '80168379AG (Doxorubicin)']",['10.1002/elps.200900659 [doi]'],10.1002/elps.200900659 [doi],,"Anthracyclines are chemotherapeutic drugs that are broadly used in the treatment of various types of solid cancers and leukemia. Herein, we report on a novel analytical method for intracellular accumulation of anthracyclines using MEKC/LIF detection. An aqueous separation system permitted the injection of cell lysates directly into the capillary. The MEKC migrating solution was made up of borate buffer at pH 9.22 containing sodium taurodeoxycholate, (2-hydroxypropyl)-gamma-CD, and SDS. The anthracyclines, Doxorubicin (DOX) and epirubicin (EPI) were detected by LIF using a Nd:YAG laser (532 nm) or an argon ion laser (488 nm) for excitation. Two cell lines, human humerus tumor cells (RDES) and human lung tumor cells (A549), were treated with a mixture of the two anthracyclines for fixed periods of time, and then intracellular concentrations were determined by injecting cell lysates directly. Recovery values of 96.0-100.8% were obtained for DOX and EPI. Reproducibility quantified by RSD was less than 3.9% intraday and 6.7% interday at concentrations ranging between 50 and 500 nM. The uptake of EPI was found to be slightly less than that of DOX for A549, but higher levels of EPI were observed in RDES. Intracellular accumulation of anthracyclines was greater in RDES than in A549, but both types of cells excreted anthracyclines after 12 h. These results indicate that MEKC with an aqueous medium is useful for investigating intracellular uptake and accumulation of drugs, since cell lysates can be used directly with no pretreatment such as deproteination or solvent extraction of analytes.","['Department of Applied Chemistry, Graduate School of Engineering, Kyushu University, Fukuoka, Japan.']",,,,,,,,,,,,,,,,,,
20217600,NLM,MEDLINE,20100614,20151119,1940-6029 (Electronic) 1064-3745 (Linking),624,,2010,Nanoparticle-aptamer conjugates for cancer cell targeting and detection.,235-48,"['Estevez, M Carmen', 'Huang, Yu-Fen', 'Kang, Huaizhi', ""O'Donoghue, Meghan B"", 'Bamrungsap, Suwussa', 'Yan, Jilin', 'Chen, Xiaolan', 'Tan, Weihong']","['Estevez MC', 'Huang YF', 'Kang H', ""O'Donoghue MB"", 'Bamrungsap S', 'Yan J', 'Chen X', 'Tan W']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,IM,"['*Aptamers, Nucleotide', 'Cell Line, Tumor', 'Fluorescence', 'Humans', 'Limit of Detection', 'Magnetics', 'Microscopy, Confocal', 'Nanomedicine/*methods', '*Nanoparticles', 'Neoplasms/*diagnosis/*pathology', 'SELEX Aptamer Technique/*methods']",,,,2010/03/11 06:00,2010/06/15 06:00,['2010/03/11 06:00'],"['2010/03/11 06:00 [entrez]', '2010/03/11 06:00 [pubmed]', '2010/06/15 06:00 [medline]']",ppublish,Methods Mol Biol. 2010;624:235-48. doi: 10.1007/978-1-60761-609-2_16.,"['0 (Aptamers, Nucleotide)']",['10.1007/978-1-60761-609-2_16 [doi]'],10.1007/978-1-60761-609-2_16 [doi],,"Aptamers are DNA or RNA oligonucleotide sequences that selectively bind to their target with high affinity and specificity. They are obtained using an iterative selection protocol called SELEX. Several small molecules and proteins have been used as targets. Recently, a variant of this methodology, known as cell-SELEX, has been developed for a new generation of aptamers, which are capable of recognizing whole living cells. We have used this methodology for the selection of aptamers, which show high affinity and specificity for several cancer cells. In this chapter, we describe (1) the process followed for the generation of aptamers capable of recognizing acute leukemia cells (CCRF-CEM cells) and (2) the method of enhancing the selectivity and sensitivity of these aptamers by conjugation with a dual-nanoparticle system, which combines magnetic nanoparticles (MNP) and fluorescent silica nanoparticles (FNP). Specifically, the selected aptamers, which showed dissociation constants in the nanomolar range, have been coupled to MNPs in order to selectively collect and enrich cells from complex matrices, including blood samples. The additional coupling of the aptamer to FNPs offers an excellent and highly sensitive method for detecting cancer cells. In order to prove the potential of this rapid and low-cost method for diagnostic purposes, confocal microscopy was used to confirm the specific collection and detection of target cells in concentrations as low as 250 cells. The final fluorescence of the cells labeled with the nanoparticles was quantified using a fluorescence microplate reader.","['Department of Chemistry, Functional Genomics Shands Cancer Center, Center for Research at the Bio/Nano Interface, University of Florida, Gainesville, FL, USA.']",,,,,,,,,,,,,,,,,,
20217579,NLM,MEDLINE,20100609,20100310,1940-6029 (Electronic) 1064-3745 (Linking),632,,2010,HELP (HpaII tiny fragment enrichment by ligation-mediated PCR) assay for DNA methylation profiling of primary normal and malignant B lymphocytes.,191-201,"['Shaknovich, Rita', 'Figueroa, Maria E', 'Melnick, Ari']","['Shaknovich R', 'Figueroa ME', 'Melnick A']",['eng'],['Journal Article'],,United States,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",9214969,IM,"['Animals', 'B-Lymphocytes/*cytology/metabolism/*pathology', 'Cattle', 'Cell Line', 'Cell Transformation, Neoplastic/*genetics/metabolism/*pathology', 'DNA/chemistry/genetics/isolation & purification', '*DNA Methylation', 'Deoxyribonuclease HpaII/*metabolism', 'Frozen Sections', 'Humans', 'Nucleic Acid Hybridization', 'Polymerase Chain Reaction/*methods']",,,,2010/03/11 06:00,2010/06/10 06:00,['2010/03/11 06:00'],"['2010/03/11 06:00 [entrez]', '2010/03/11 06:00 [pubmed]', '2010/06/10 06:00 [medline]']",ppublish,Methods Mol Biol. 2010;632:191-201. doi: 10.1007/978-1-60761-663-4_12.,"['9007-49-2 (DNA)', 'EC 3.1.21.- (Deoxyribonuclease HpaII)']",['10.1007/978-1-60761-663-4_12 [doi]'],10.1007/978-1-60761-663-4_12 [doi],,"The role of cytosine methylation in the regulation of gene expression during normal development and malignant transformation is currently under intense investigation. An ever increasing body of evidence demonstrates that carcinogenesis is associated with aberrant DNA methylation of the promoters of tumor suppressor genes (Chin Med J (Engl) 111:1028-1030, 1998; Leukemia 17:2533-2535, 2003), hypomethylation of oncogenes (Toxicol Appl Pharmacol 206:288-298, 2005; Toxicology 50:231-245, 1988), and concurrent loss of methylation in the intergenic areas and gene bodies, which may lead to genomic instability and chromosomal fragility (Cytogenet Cell Genet 89:121-128, 2000). Single locus methylation assays have focused largely on specific known tumor suppressor genes or oncogenes (Chin Med J (Engl) 111:1028-1030, 1998; Cancer Res 57:594-599, 1997; Hum Genet 94:491-496, 1994; Mol Cell Biol 14:4225-4232, 1994; Gastroenterology 116:394-400, 1999). Such approaches, while being useful, have clear limitations. With the advent of genome-wide microarray-based techniques, it has become possible to perform genome-wide exploratory studies to better understand genomic patterning of DNA methylation and also to discover new potential disease-specific epigenetic lesions (J Cell Biochem 88:138-143, 2003; Genome Res 16:1075-1083, 2006). In order to capture this type of information from primary human tissues, we have adopted and optimized the HELP assay (HpaII tiny fragment Enrichment by Ligation-mediated PCR) to compare and contrast the abundance of cytosine methylation of genomic regions that are relatively enriched for CpG dinucleotides. While we have mainly used a custom NimbleGen-Roche high-density oligonucleotide microarray containing 25,626 HpaII amplifiable fragments, many other microarray platforms or high throughput sequencing strategies can be used with HELP.","['Division of Immunopathology, Department of Pathology, Weill Medical College, Cornell University, New York, NY, USA. ris9004@med.cornell.edu']",,,,,,,,,,,,,,,,,,
