PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,TT,GR,PMC,SI,OID
3861484,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Vitamin D: myeloid differentiation and proliferation.,409-17,,"['Koeffler, H P']",['Koeffler HP'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Adult', 'Aged', 'Calcitriol/*pharmacology', 'Cell Differentiation/*drug effects', 'Cell Division/*drug effects', 'Cell Line', 'Cells, Cultured', 'Female', 'Hematopoietic Stem Cells/*cytology/drug effects', 'Humans', 'Leukemia/*pathology', 'Leukemia, Myeloid, Acute', 'Male', 'Middle Aged', 'Phagocytosis/drug effects', 'Vitamin D/*pharmacology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_84 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:409-17. doi: 10.1007/978-3-642-70385-0_84.,"['1406-16-2 (Vitamin D)', 'FXC9231JVH (Calcitriol)']",,"['CA 26038/CA/NCI NIH HHS/United States', 'CA 3273/CA/NCI NIH HHS/United States', 'CA 33936/CA/NCI NIH HHS/United States']",,,
3861483,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Chromosome alterations in oncogenesis.,253-60,,"['Nowell, P C', 'Emanuel, B S', 'Finan, J B', 'Erikson, J', 'Croce, C M']","['Nowell PC', 'Emanuel BS', 'Finan JB', 'Erikson J', 'Croce CM']",['eng'],['Journal Article'],Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Burkitt Lymphoma/*genetics', 'Cell Line', '*Chromosome Aberrations', '*Chromosome Disorders', 'Gene Amplification', 'Humans', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Myeloid, Acute', 'Lymphoma/*genetics', '*Oncogenes', 'Translocation, Genetic']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_52 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:253-60. doi: 10.1007/978-3-642-70385-0_52.,,,,,,
3861482,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Immune status of leukemia patients.,200-3,,"['Kaneko, Y', 'Miyakoshi, H', 'Aoyagi, Y', 'Aoki, T']","['Kaneko Y', 'Miyakoshi H', 'Aoyagi Y', 'Aoki T']",['eng'],['Journal Article'],Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Cell Line', 'Cytotoxicity, Immunologic', 'DNA Replication', 'Humans', 'Killer Cells, Natural/*immunology', 'Leukemia/*immunology', 'Leukemia, Lymphoid/immunology', 'Leukemia, Myeloid/immunology', 'Leukemia, Myeloid, Acute/immunology', 'Prognosis']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_46 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:200-3. doi: 10.1007/978-3-642-70385-0_46.,,,,,,
3861481,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Plasminogen activator as a prognostic factor in hematological malignancies.,197-9,,"['Wilson, E L', 'Jacobs, P', 'Oliver, L']","['Wilson EL', 'Jacobs P', 'Oliver L']",['eng'],['Journal Article'],Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cells, Cultured', 'Clinical Laboratory Techniques', 'Humans', 'Leukemia, Myeloid/metabolism/*pathology', 'Leukemia, Myeloid, Acute/drug therapy/metabolism/*pathology', 'Plasminogen Activators/*metabolism', 'Prognosis', 'Urokinase-Type Plasminogen Activator/metabolism']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_45 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:197-9. doi: 10.1007/978-3-642-70385-0_45.,"['EC 3.4.21.- (Plasminogen Activators)', 'EC 3.4.21.73 (Urokinase-Type Plasminogen Activator)']",,,,,
3861480,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Nonspecific cross-reacting antigen as a marker of myelocytic leukemias in individual stages of myelocytic cell differentiation.,194-6,,"['Harlozinska, A', 'Noworolska, A', 'Richter, R']","['Harlozinska A', 'Noworolska A', 'Richter R']",['eng'],['Journal Article'],Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Antigens, Neoplasm/*analysis', 'Cell Differentiation', 'Cell Separation', 'Cross Reactions', 'Humans', 'Leukemia, Myeloid, Acute/immunology/*pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_44 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:194-6. doi: 10.1007/978-3-642-70385-0_44.,"['0 (Antigens, Neoplasm)']",,,,,
3861479,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Analysis of leukemic cells with monoclonal antibodies in acute myelomonocytic leukemia suggests abnormality at an early differentiation stage in certain cases.,190-3,,"['Gramatzki, M', 'Schaaff, A', 'Burmester, G R', 'Koch, B', 'Tulusan, A H', 'Kalden, J R']","['Gramatzki M', 'Schaaff A', 'Burmester GR', 'Koch B', 'Tulusan AH', 'Kalden JR']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Antibodies, Monoclonal', 'Antigens, Neoplasm/*analysis', 'Bone Marrow/pathology', 'Cell Differentiation', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_43 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:190-3. doi: 10.1007/978-3-642-70385-0_43.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)']",,,,,
3861478,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Ultrastructural analysis of normal and leukaemic cells by the immunogold method and monoclonal antibodies.,174-9,,"['Matutes, E', 'Catovsky, D']","['Matutes E', 'Catovsky D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Acute Disease', 'Antibodies, Monoclonal', 'Bone Marrow/*pathology/ultrastructure', 'Erythroblasts/*ultrastructure', 'Gold', 'Humans', 'Leukemia/blood/*pathology', 'Leukemia, Erythroblastic, Acute/pathology', 'Lymphocytes/ultrastructure', 'Megakaryocytes/ultrastructure', 'Microscopy, Electron']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_39 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:174-9. doi: 10.1007/978-3-642-70385-0_39.,"['0 (Antibodies, Monoclonal)', '7440-57-5 (Gold)']",,,,,
3861477,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Behavior of human leukemic progenitor populations in long-term marrow culture.,163-7,,"['Eaves, C', 'Coulombel, L', 'Dube, I', 'Kalousek, D', 'Cashman, J', 'Eaves, A']","['Eaves C', 'Coulombel L', 'Dube I', 'Kalousek D', 'Cashman J', 'Eaves A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Bone Marrow/*pathology', 'Cells, Cultured', 'Chromosomes, Human, 21-22 and Y', 'Hematopoietic Stem Cells/*cytology', 'Humans', 'Leukemia, Myeloid/genetics/*pathology', 'Leukemia, Myeloid, Acute/*pathology', 'Preleukemia/*pathology']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_36 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:163-7. doi: 10.1007/978-3-642-70385-0_36.,,,,,,
3861476,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Somatic N-ras oncogene activation in a patient with acute myeloblastic leukemia.,159-62,,"['Moroni, C', 'Gambke, C', 'Signer, E', 'Jiricny, J']","['Moroni C', 'Gambke C', 'Signer E', 'Jiricny J']",['eng'],"['Case Reports', 'Journal Article']",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Bone Marrow/pathology', 'Cells, Cultured', 'Codon', 'DNA, Neoplasm/genetics', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Mice', 'Mice, Inbred Strains', '*Oncogenes', 'Transfection']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_35 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:159-62. doi: 10.1007/978-3-642-70385-0_35.,"['0 (Codon)', '0 (DNA, Neoplasm)']",,,,,
3861475,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Association between the Philadelphia chromosome and a unique abl transcript.,154-8,,"['Canaani, E', 'Gale, R P']","['Canaani E', 'Gale RP']",['eng'],"['Comparative Study', 'Journal Article']",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['*Chromosomes, Human, 21-22 and Y', 'HeLa Cells/analysis', 'Humans', 'Leukemia/*genetics', 'Leukemia, Myeloid/*genetics', 'Leukemia, Myeloid, Acute/*genetics', 'Molecular Weight', '*Oncogenes', 'RNA, Neoplasm/isolation & purification', '*Transcription, Genetic']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_34 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:154-8. doi: 10.1007/978-3-642-70385-0_34.,"['0 (RNA, Neoplasm)']",,,,,
3861474,NLM,MEDLINE,19851011,20191022,0171-7111 (Print) 0171-7111 (Linking),29,,1985,Oncogenetic aspects of chronic myelocytic leukemia.,150-3,,"['Bartram, C R', 'de Klein, A', 'Grosveld, G']","['Bartram CR', 'de Klein A', 'Grosveld G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Haematol Blood Transfus,Haematology and blood transfusion,101169459,IM,"['DNA/isolation & purification', 'DNA, Neoplasm/genetics/isolation & purification', 'Female', 'HeLa Cells/analysis', 'Humans', 'Leukemia, Myeloid/*genetics', '*Oncogenes', 'Placenta', 'Pregnancy', 'RNA, Neoplasm/isolation & purification', 'Transcription, Genetic']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/978-3-642-70385-0_33 [doi]'],ppublish,Haematol Blood Transfus. 1985;29:150-3. doi: 10.1007/978-3-642-70385-0_33.,"['0 (DNA, Neoplasm)', '0 (RNA, Neoplasm)', '9007-49-2 (DNA)']",,,,,
3861327,NLM,MEDLINE,19851018,20071115,0301-472X (Print) 0301-472X (Linking),13,7,1985 Aug,Stimulation of proliferation and differentiation of acute myeloid leukemia cells on a bone marrow stroma in culture.,664-9,"Purified acute myeloid leukemia (AML) blasts were placed in Dexter cultures with and without a preestablished normal bone marrow stroma to investigate whether their proliferation was dependent on a stroma, as is the case with normal marrow cells. It was also studied whether AML cells were induced to differentiate under a stromal influence. Ten patients with untreated AML were included in the study. In most cases, AML cells were maintained at higher levels when a normal stroma was present. Cell recoveries varied widely between patients. Net cell production was apparent in nine of ten stroma cultures. In most paired cultures without a preestablished stroma, cell numbers decreased. Leukemic colony-forming cells (L-CFU) (clonogenic cells) were also recovered in higher numbers from stroma cultures, but decreased rapidly. The peak of L-CFU preceded that of AML nucleated cells. Cytogenetic analysis (three cases) confirmed the AML karyotype of cultured cells. AML blasts were tested weekly with a number of monoclonal antibodies. During culture, the percentage of cells expressing mature monocytic and granulocytic surface antigens increased markedly, suggesting progressive maturation. Morphologic maturation at the same time was incomplete. Thus, AML cells proliferate and differentiate in vitro under the influence of a normal bone marrow stroma, a property which these cells share with normal bone marrow cells.","['Scholzel, C', 'Lowenberg, B']","['Scholzel C', 'Lowenberg B']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Adult', 'Aged', 'Antibodies, Monoclonal', 'Antigens, Neoplasm/analysis', 'Bone Marrow/*physiology', 'Cell Differentiation', 'Cell Division', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Female', 'Granulocytes/pathology', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/genetics/immunology/*pathology', 'Male', 'Middle Aged', 'Monocytes/pathology']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1985 Aug;13(7):664-9.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)']",,,,,
3861326,NLM,MEDLINE,19851018,20131121,0301-472X (Print) 0301-472X (Linking),13,7,1985 Aug,Effect of alkyl-lysophospholipids on phosphatidylcholine biosynthesis in leukemic cell lines.,629-33,"Alkyl-lysophospholipids are ether analogues of lysophospholipids that have tumoricidal activity mediated through activation of macrophages or by direct effect on tumor cells by disturbance of phospholipid metabolism. The effect of racemic 1-octadecyl-2-methyl-sn-glycero-3 phosphocholine on phosphatidylcholine synthesis was investigated in sensitive (HL-60) and resistant (K-562) human leukemic cell lines. Radiolabeled lysophosphatidyl-choline, choline, and methionine incorporation into phosphatidylcholine was measured in intact cells exposed for 24 h to varying concentrations of the compound. In HL-60 cells, marked inhibition of phosphatidylcholine synthesis was demonstrated using lysophosphatidylcholine or choline as precursors, but no effect was observed on methionine incorporation. No effects were observed in K-562 cells. These investigations suggest that alkyl-lysophospholipids inhibit phosphatidylcholine synthesis via the acyltransferase reaction and from choline, but not from methionine.","['Vogler, W R', 'Whigham, E', 'Bennett, W D', 'Olson, A C']","['Vogler WR', 'Whigham E', 'Bennett WD', 'Olson AC']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Carbon Radioisotopes', 'Cell Line', 'Choline/metabolism', 'Humans', 'Leukemia, Myeloid/*metabolism', 'Lysophosphatidylcholines/metabolism/*pharmacology', 'Methionine/metabolism', 'Phosphatidylcholines/*biosynthesis', '*Phospholipid Ethers', 'Phospholipids/biosynthesis']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1985 Aug;13(7):629-33.,"['0 (Carbon Radioisotopes)', '0 (Lysophosphatidylcholines)', '0 (Phosphatidylcholines)', '0 (Phospholipid Ethers)', '0 (Phospholipids)', '1Y6SNA8L5S (edelfosine)', 'AE28F7PNPL (Methionine)', 'N91BDP6H0X (Choline)']",,['1 RO1 CA 29850/CA/NCI NIH HHS/United States'],,,
3861325,NLM,MEDLINE,19851018,20131121,0301-472X (Print) 0301-472X (Linking),13,7,1985 Aug,On the role of the spleen in Friend virus (F-MuLV-P) erythroleukemia.,623-8,"About 30% of Friend virus (F-MuLV-P)-infected C57BL/6 mice became leukemic more than ten weeks after virus infection. This late leukemia development could not be essentially influenced by drug treatment, such as injection of hydroxyurea (2 X 500 mg/kg), actinomycin D (3 X 120 micrograms/kg), phenylhydrazine (3 X 60 mg/kg), or 30 micrograms endotoxin or by bone marrow transplantation following lethal irradiation. Endotoxin (30 micrograms) given prior to virus caused the loss of resistance to F-MuLV-P, but it had only a slight effect if applied one or three months after virus infection. Leukemia development has never been observed in C57BL/6 mice after splenectomy. In DBA/2 mice, highly susceptible to F-MuLV-P, leukemia development was markedly impaired if the mice were splenectomized. These results clearly indicate that the spleen plays a crucial role in the mechanism of susceptibility or resistance to the Friend virus.","['Kreja, L', 'Seidel, H J']","['Kreja L', 'Seidel HJ']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Animals', 'Dactinomycin/pharmacology', 'Endotoxins/pharmacology', '*Erythropoiesis/drug effects', 'Female', 'Friend murine leukemia virus', 'Hematocrit', 'Hydroxyurea/pharmacology', 'Leukemia, Erythroblastic, Acute/pathology/*physiopathology', 'Lipopolysaccharides/pharmacology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred DBA', 'Phenylhydrazines/pharmacology', 'Reticulocytes/pathology', 'Salmonella', 'Spleen/physiopathology', 'Splenectomy']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1985 Aug;13(7):623-8.,"['0 (Endotoxins)', '0 (Lipopolysaccharides)', '0 (Phenylhydrazines)', '064F424C9K (phenylhydrazine)', '1CC1JFE158 (Dactinomycin)', 'X6Q56QN5QC (Hydroxyurea)']",,,,,
3861324,NLM,MEDLINE,19851018,20071114,0301-472X (Print) 0301-472X (Linking),13,7,1985 Aug,Production of erythropoietin by cloned malignant murine erythroid cells.,610-5,"A specific immunological assay was used to demonstrate that the erythropoietic factor produced by the recently described FMuLV-induced murine erythroleukemic cell line IW32 is an authentic erythropoietin (epo). Several independent virus-induced erythroleukemic and myeloblastic cell lines were tested for epo production. Among six erythroleukemic cell lines induced by FMuLV, another (NN10) was shown to produce epo by biological and immunological assays. Four Friend-virus-induced erythroleukemias and four FMuLV-induced myeloblastic cells were negative. The amounts of epo produced were similar in IW32 and NN10 supernatants after 48 h in culture. The in vitro bioassay gave the highest levels (up to 1000 mU/ml), the in vivo bioassay the lowest, and the radioimmunoassay gave intermediate results. NN10 and IW32 cell lines have been induced by two different FMuLV and were shown to be independent by cytogenetic studies. The molecular weights of IW32 and NN10 epo were close to the molecular weight of mouse plasma epo but elution profiles suggested that some differences might exist between these epos. Cloned IW32 and NN10 cells were shown to retain both the ability for erythroid differentiation after incubation with chemical inducers and the ability to produce epo. This demonstrates that malignant erythroid cells were the source of epo production in these cell lines.","['Choppin, J', 'Casadevall, N', 'Lacombe, C', 'Wendling, F', 'Goldwasser, E', 'Berger, R', 'Tambourin, P', 'Varet, B']","['Choppin J', 'Casadevall N', 'Lacombe C', 'Wendling F', 'Goldwasser E', 'Berger R', 'Tambourin P', 'Varet B']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Animals', 'Biological Assay', 'Cell Line', 'Clone Cells/pathology', 'Colony-Forming Units Assay', 'Erythropoiesis/drug effects', 'Erythropoietin/*biosynthesis/pharmacology', 'Female', 'Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/*metabolism/pathology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Molecular Weight', 'Radioimmunoassay']",1985/08/01 00:00,1985/08/01 00:01,['1985/08/01 00:00'],"['1985/08/01 00:00 [pubmed]', '1985/08/01 00:01 [medline]', '1985/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1985 Aug;13(7):610-5.,['11096-26-7 (Erythropoietin)'],,"['CA 18375/CA/NCI NIH HHS/United States', 'HL21676/HL/NHLBI NIH HHS/United States']",,,
3861323,NLM,MEDLINE,19850930,20190707,0014-4827 (Print) 0014-4827 (Linking),159,1,1985 Jul,Induction of erythroid differentiation by cytoplast fusion in mouse erythroleukemia (Friend) cells.,224-34,"An intracellular activity, which is induced by dimethyl sulfoxide (DMSO) or hexamethylenebisacetamide (HMBA) and leads to erythroid differentiation in mouse Friend cells, was characterized by cell fusion between genetically marked intact cells and cytoplasts. For this, a procedure for rapid selection of cybrids was devised by sensitizing non-fused cells with oligomycin. We were able to demonstrate that cytoplasts derived from DMSO- (or HMBA)-treated cells trigger erythroid differentiation upon fusion with UV-irradiated cells. The activity in the cytoplasts remained only transiently and its induction was inhibited by biologically active phorbol esters or cycloheximide. The activity, however, was not induced in cytoplasts by directly treating them with DMSO (or HMBA). These results indicate that (1) the intracellular erythroid-inducing activity is located in cytoplasts, (2) it acts in trans and induces erythroid differentiation as a dominant factor and (3) its production requires de novo nuclear protein synthesis. The mechanisms of the induction of the intracellular activity and of how it triggers erythroid differentiation are discussed.","['Watanabe, T', 'Nomura, S', 'Oishi, M']","['Watanabe T', 'Nomura S', 'Oishi M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Exp Cell Res,Experimental cell research,0373226,IM,"['Animals', '*Cell Differentiation', '*Cell Fusion', 'Cell Line', 'Cytoplasm', 'Dimethyl Sulfoxide/pharmacology', 'Leukemia, Erythroblastic, Acute/*pathology', 'Mice', 'Oligomycins/pharmacology', 'Ultraviolet Rays']",1985/07/01 00:00,1985/07/01 00:01,['1985/07/01 00:00'],"['1985/07/01 00:00 [pubmed]', '1985/07/01 00:01 [medline]', '1985/07/01 00:00 [entrez]']","['S0014-4827(85)80051-3 [pii]', '10.1016/s0014-4827(85)80051-3 [doi]']",ppublish,Exp Cell Res. 1985 Jul;159(1):224-34. doi: 10.1016/s0014-4827(85)80051-3.,"['0 (Oligomycins)', 'YOW8V9698H (Dimethyl Sulfoxide)']",,,,,
3861321,NLM,MEDLINE,19851007,20190824,0340-6997 (Print) 0340-6997 (Linking),10,11-12,1985,Positive 111In-granulocyte scintigraphy in a patient with focal leukemic blast cell infiltrations.,557-9,A patient with acute myeloid leukemia was investigated with 111In-granulocyte scintigraphy to reveal possible sites of infection. 111In-granulocytes accumulated in areas of leukemic blast cell infiltration leading to a false-positive scintigram. This possibility must be kept in mind when studying leukemic patients using labeled leukocytes.,"['Syrjala, M', 'Remes, K', 'Paavonen, T', 'Liewendahl, K']","['Syrjala M', 'Remes K', 'Paavonen T', 'Liewendahl K']",['eng'],"['Case Reports', 'Journal Article']",Germany,Eur J Nucl Med,European journal of nuclear medicine,7606882,IM,"['Abscess/diagnostic imaging/etiology', 'Arm/diagnostic imaging', 'False Positive Reactions', '*Granulocytes', 'Humans', '*Indium', 'Leukemia, Myeloid, Acute/complications/*diagnostic imaging', 'Male', 'Middle Aged', '*Radioisotopes', 'Radionuclide Imaging', 'Spleen/diagnostic imaging']",1985/01/01 00:00,1985/01/01 00:01,['1985/01/01 00:00'],"['1985/01/01 00:00 [pubmed]', '1985/01/01 00:01 [medline]', '1985/01/01 00:00 [entrez]']",['10.1007/BF00252753 [doi]'],ppublish,Eur J Nucl Med. 1985;10(11-12):557-9. doi: 10.1007/BF00252753.,"['0 (Radioisotopes)', '045A6V3VFX (Indium)']",,,,,
3861320,NLM,MEDLINE,19851011,20061115,0171-9335 (Print) 0171-9335 (Linking),37,,1985 May,Multimeric complexes of differentiation-inducing protein bound to DNA.,196-202,"Myeloid hematopoietic precursor cells are induced to differentiate by the macrophage and granulocyte differentiation-inducing protein MGI-2 (DF). This differentiation-inducing protein bound to double-stranded but not to single-stranded mammalian DNA. The bound MGI-2 was not eluted by high salt, but was eluted by sodium dodecyl sulfate (SDS). MGI-2 also bound to double-stranded E. coli DNA, but with this DNA the bound MGI-2 was eluted by high salt. This indicated a difference in the binding affinities of MGI-2 to mammalian and E. coli DNA. MGI-2 bound to DNA was examined by electron microscopy. The results indicate that MGI-2 formed a multimeric complex with double-stranded DNA and that the size of the complex was correlated with the strength of protein binding to the DNA. The multimeric complex bound to DNA was disrupted by deoxyribonuclease. The data indicated that binding of this differentiation-inducing protein to DNA involves the formation of a multimeric complex in which the monomers are held together by DNA. It is suggested that the formation of such multimeric complexes of MGI-2 and DNA may allow activation of the multiple pathways of gene expression that is required for differentiation.","['Weisinger, G', 'Korn, A P', 'Sachs, L']","['Weisinger G', 'Korn AP', 'Sachs L']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Eur J Cell Biol,European journal of cell biology,7906240,IM,"['Animals', 'Cattle', 'Cell Differentiation', 'Cell Line', 'Chromatography, Affinity', 'DNA/*metabolism', 'DNA, Bacterial/metabolism', 'DNA, Single-Stranded/metabolism', 'DNA-Binding Proteins/isolation & purification/*metabolism', 'Leukemia, Experimental/metabolism', 'Leukemia, Myeloid/metabolism', 'Macromolecular Substances', 'Mice', 'Microscopy, Electron', 'Protein Binding', 'Species Specificity', 'Thymus Gland']",1985/05/01 00:00,1985/05/01 00:01,['1985/05/01 00:00'],"['1985/05/01 00:00 [pubmed]', '1985/05/01 00:01 [medline]', '1985/05/01 00:00 [entrez]']",,ppublish,Eur J Cell Biol. 1985 May;37:196-202.,"['0 (DNA, Bacterial)', '0 (DNA, Single-Stranded)', '0 (DNA-Binding Proteins)', '0 (Macromolecular Substances)', '9007-49-2 (DNA)']",,,,,
