PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,CIN,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,GS,AID,PMC,GR,TT,CON,SI,EIN,OID,OAB,OABL,OTO,OT,GN
1831198,NLM,MEDLINE,19910913,20210210,0021-9258 (Print) 0021-9258 (Linking),266,23,1991 Aug 15,Characterization of increased K+ permeability associated with the stimulation of receptors for immunoglobulin E on rat basophilic leukemia cells.,14912-7,"Aggregation of immunoglobulin E-receptor complexes on the surface of rat basophilic leukemia cells stimulates an increase in plasma membrane K+ permeability that is monitored as an increase in the rate of efflux of preloaded 86Rb+. A major component of this stimulated 86Rb+ efflux appears to be due to a Ca(2+)-activated K+ channel because it is inhibited by quinidine in parallel with the inhibition of degranulation and membrane potential repolarization, it is blocked by 0.1 mM La3+, and it is dependent on external Ca2+. Depolarization of the plasma membrane by carbonyl cyanide 3-chlorophenylhydrazone inhibits stimulated Ca2+ influx and prevents antigen-induced 86Rb+ efflux, and increased external Ca2+ partially restores 86Rb+ efflux under these conditions. In addition, potentiation of antigen-stimulated Ca2+ influx by pretreatment with cholera toxin increases the initial rate of stimulated 86Rb+ efflux. Another component of antigen-stimulated K+ efflux appears to be mediated by a guanine nucleotide-binding protein because pretreatment of rat basophilic leukemia cells with pertussis toxin decreases the initial rate of antigen-stimulated 86Rb+ efflux to 40% of that for the untreated cells. Stimulated 86Rb+ efflux is also observed when ionomycin is used to increase cytoplasmic Ca2+ and to trigger membrane depolarization. The efflux stimulated by ionomycin is inhibited by quinidine but not by pertussis toxin pretreatment; thus, it appears to occur through the Ca(2+)-activated K+ efflux pathway. It is proposed that these K+ efflux pathways serve to sustain the Ca2+ influx that is necessary for receptor-mediated triggering of cellular degranulation.","['Labrecque, G F', 'Holowka, D', 'Baird, B']","['Labrecque GF', 'Holowka D', 'Baird B']","['Department of Chemistry, Cornell University, Ithaca, New York 14853.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,,"['Animals', 'Antigens, Differentiation, B-Lymphocyte/*metabolism', 'Basophils/*metabolism', 'Biological Transport/drug effects', 'Carbonyl Cyanide m-Chlorophenyl Hydrazone/pharmacology', 'Cell Membrane Permeability/drug effects', 'Cholera Toxin/pharmacology', 'Colforsin/pharmacology', 'Immunoglobulin E/*metabolism', 'Ionomycin/pharmacology', 'Leukemia, Experimental', 'Pertussis Toxin', 'Potassium/*metabolism', 'Quinidine/pharmacology', 'Rats', 'Receptors, Fc/*metabolism', 'Receptors, IgE', 'Rubidium/metabolism', 'Tumor Cells, Cultured', 'Virulence Factors, Bordetella/pharmacology']",,1991/08/15 00:00,1991/08/15 00:01,['1991/08/15 00:00'],"['1991/08/15 00:00 [pubmed]', '1991/08/15 00:01 [medline]', '1991/08/15 00:00 [entrez]']",ppublish,J Biol Chem. 1991 Aug 15;266(23):14912-7.,"['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '0 (Virulence Factors, Bordetella)', '1F7A44V6OU (Colforsin)', '37341-29-0 (Immunoglobulin E)', '555-60-2 (Carbonyl Cyanide m-Chlorophenyl Hydrazone)', '56092-81-0 (Ionomycin)', '9012-63-9 (Cholera Toxin)', 'EC 2.4.2.31 (Pertussis Toxin)', 'ITX08688JL (Quinidine)', 'MLT4718TJW (Rubidium)', 'RWP5GA015D (Potassium)']",,['S0021-9258(18)98564-9 [pii]'],,"['AI 18306/AI/NIAID NIH HHS/United States', 'AI 22449/AI/NIAID NIH HHS/United States']",,,,,,,,,,
1831129,NLM,MEDLINE,19910913,20171116,0014-2980 (Print) 0014-2980 (Linking),21,8,1991 Aug,The human interferon-gamma gene contains an inducible promoter that can be transactivated by tax I and II.,1879-85,"T cells infected with the HTLV (human T cell leukemia virus)-I and -II retroviruses often express the lymphokine interferon-gamma (IFN-gamma). We sought the molecular explanation for this phenomena by co-transfecting the transactivator genes of these human retroviruses together with 5' flanking sequences of the human IFN-gamma gene linked to a heterologous reporter gene. In the presence of phytohemagglutinin or anti-T cell receptor monoclonal antibodies and phorbol 12-myristate 13-acetate, the IFN-gamma promoter is activated in human T cells, which can be further enhanced by co-transfection of the tax I or II genes. Using Bal-31 deletion analysis, we have found that induction by mitogens can be mapped to a region between -284 to -260 (bp) 5' of the transcriptional start site, which is separable from the sequence(s) further upstream which transmit the synergistic transactivation by tax I or II.","['Brown, D A', 'Nelson, F B', 'Reinherz, E L', 'Diamond, D J']","['Brown DA', 'Nelson FB', 'Reinherz EL', 'Diamond DJ']","['Division of Immunology, Beckman Research Institute of the City of Hope, Duarte, CA 91010.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Eur J Immunol,European journal of immunology,1273201,IM,,"['Antibodies, Monoclonal/immunology', 'Antigens, Differentiation, T-Lymphocyte/physiology', 'Base Sequence', 'CD3 Complex', 'Cloning, Molecular', 'Cyclosporins/pharmacology', 'Gene Products, tax/*pharmacology', 'Humans', 'Interferon-gamma/*genetics', 'Molecular Sequence Data', 'Organ Specificity', '*Promoter Regions, Genetic', 'Receptors, Antigen, T-Cell/physiology', 'Tetradecanoylphorbol Acetate/pharmacology', 'Transcription, Genetic', 'Transfection']",,1991/08/01 00:00,1991/08/01 00:01,['1991/08/01 00:00'],"['1991/08/01 00:00 [pubmed]', '1991/08/01 00:01 [medline]', '1991/08/01 00:00 [entrez]']",ppublish,Eur J Immunol. 1991 Aug;21(8):1879-85. doi: 10.1002/eji.1830210815.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD3 Complex)', '0 (Cyclosporins)', '0 (Gene Products, tax)', '0 (Receptors, Antigen, T-Cell)', '82115-62-6 (Interferon-gamma)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,['10.1002/eji.1830210815 [doi]'],,"['2SO7 RR 552625/RR/NCRR NIH HHS/United States', 'AI 19807/AI/NIAID NIH HHS/United States', 'AI 277336/AI/NIAID NIH HHS/United States', 'etc.']",,,,,,,,,,
1831084,NLM,MEDLINE,19910913,20061115,0009-9074 (Print) 0009-9074 (Linking),137,3,1991 May 15,[Active specific immunotherapy of cancer using anti-idiotypic monoclonal antibodies].,155-67,"Innovative approaches to cancer treatment have been made possible today by genetic engineering and hybridoma technologies. In this paper, attention is focused on the use of anti-idiotypic monoclonal antibodies such as internal tumor-associated antigens. These MoAbs may be able to overcome the immunosuppression in cancer patients by stimulating ""silent"" clones, or by allowing T cell help to become active, thus enhancing the overall immune response which the nominal antigen is unable to do. Preliminary experiences of active specific immunotherapy with monoclonal antiidiotypic antibodies in cancer patients are reported.","['Castello, G', ""D'Alessio, V""]","['Castello G', ""D'Alessio V""]","['Servizio di Immunologia Clinica, Istituto Nazionale per lo Studio e la Cura dei Tumori, Napoli.']",['ita'],"['Comparative Study', 'English Abstract', 'Journal Article', 'Review']",Italy,Clin Ter,La Clinica terapeutica,0372604,IM,,"['Animals', 'Antibodies, Anti-Idiotypic/*therapeutic use', 'Antibodies, Monoclonal/*therapeutic use', 'Humans', 'Immune Tolerance', '*Immunotherapy', 'Immunotherapy, Adoptive', 'Leukemia/therapy', 'Lymphoma, B-Cell/therapy', 'Melanoma/therapy', 'Mice', 'Neoplasms/immunology/*therapy', 'Skin Neoplasms/therapy']",55,1991/05/15 00:00,1991/05/15 00:01,['1991/05/15 00:00'],"['1991/05/15 00:00 [pubmed]', '1991/05/15 00:01 [medline]', '1991/05/15 00:00 [entrez]']",ppublish,Clin Ter. 1991 May 15;137(3):155-67.,"['0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)']",,,,,L'immunoterapia attiva specifica del cancro con anticorpi monoclonali anti-idiotipo.,,,,,,,,,
1830864,NLM,MEDLINE,19910909,20191022,0882-0139 (Print) 0882-0139 (Linking),20,2,1991 Apr,Recovery of natural cytotoxicity after bone marrow transplantation.,207-13,"Reconstitution of non-MHC restricted cytotoxicity was followed in 7 and in 4 cases after auto- and allotransplantation, respectively. In autografted cases a high level of natural cytotoxicity, which exceeded the pre-transplant values, was seen at the beginning of hematological reconstitution. At that time, the high percentage of DR+ peripheral blood mononuclear cells (PBMC) was found, while the percentage of CD16+ cells was in the range of the pre-transplant values. A high level of cytotoxicity was a transient phenomenon. In all cases, 40 days after grafting the natural cytotoxicity was again in the range of the pre-transplant values. In allotransplantation the peak of cytotoxicity was seen soon after the beginning of hematological recovery and the activity decreased after 24 to 48 days after grafting.","['Lange, A', 'Jazwiec, B', 'Tomaszewska-Toporska, B', 'Toporski, J']","['Lange A', 'Jazwiec B', 'Tomaszewska-Toporska B', 'Toporski J']","['Bone Marrow Transplantation Unit, K. Dluski Hospital, Wroclaw, Poland.']",['eng'],"['Comparative Study', 'Journal Article']",England,Immunol Invest,Immunological investigations,8504629,IM,,"['Antigens, Differentiation/biosynthesis', 'Bone Marrow Transplantation/*immunology', '*Cytotoxicity, Immunologic', 'HLA-DR Antigens/biosynthesis', 'Humans', 'Immunotherapy', 'Killer Cells, Natural/immunology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/immunology/therapy', 'Leukemia, Myeloid, Acute/immunology/therapy', 'Lung Neoplasms/immunology/therapy', 'Lymphocyte Depletion', 'Receptors, Fc/biosynthesis', 'Receptors, IgG', 'Transplantation, Autologous', 'Transplantation, Homologous']",,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Immunol Invest. 1991 Apr;20(2):207-13. doi: 10.3109/08820139109050789.,"['0 (Antigens, Differentiation)', '0 (HLA-DR Antigens)', '0 (Receptors, Fc)', '0 (Receptors, IgG)']",,['10.3109/08820139109050789 [doi]'],,,,,,,,,,,,
1830863,NLM,MEDLINE,19910909,20190912,0105-2896 (Print) 0105-2896 (Linking),120,,1991 Apr,Recognition of MHC TL gene products by gamma delta T cells.,89-115,"We have studied the ligand specificity of a gamma delta T-cell receptor (TCR) derived from a mouse T-cell hybridoma (KN6). KN6 cells reacted with syngeneic (C57BL/6) cells from various origins (splenocytes, thymocytes, peritoneal exudate cells, etc.) and cells from many different mouse strains. KN6 reactivity against cells from a panel of congenic and recombinant mouse strains demonstrated that the ligand recognized by KN6 is controlled by an MHC-linked gene that most probably maps in the TL region. We cloned this gene and formally proved that it does map in the TL region. This gene turned out to be a novel class I gene (designated T22b) belonging to a hitherto unidentified cluster of TL region genes in strain C57BL/6. This gene was expressed in many different tissues and cell types. We also examined the tissue expression of several other TL genes. One of these, the structural gene (T3b) encoding the thymus leukemia (TL) antigen from C57BL/6 mice, was specifically expressed in the epithelium of the small intestine. Since the intestinal epithelium of the mouse is known to be the homing site for a subset of gamma delta T cells (i-IEL) bearing diverse TCR with V7 rearranged gamma chains, we propose that the T3b gene product is part of the ligand recognized by some of the i-IEL. Our data support the idea that gamma delta T cells might be specific for non-classical class I or class I-like molecules and suggest that gamma delta TCR and non-classical MHC co-evolved for the recognition of a conserved set of endogenous or foreign peptides.","['Van Kaer, L', 'Wu, M', 'Ichikawa, Y', 'Ito, K', 'Bonneville, M', 'Ostrand-Rosenberg, S', 'Murphy, D B', 'Tonegawa, S']","['Van Kaer L', 'Wu M', 'Ichikawa Y', 'Ito K', 'Bonneville M', 'Ostrand-Rosenberg S', 'Murphy DB', 'Tonegawa S']","['Howard Hughes Medical Institute, Massachusetts Institute of Technology, Cambridge 02139.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Immunol Rev,Immunological reviews,7702118,IM,,"['Age Factors', 'Amino Acid Sequence', 'Animals', 'Antigens, Differentiation, T-Lymphocyte/metabolism', 'Base Sequence', 'CD8 Antigens', 'Gene Expression Regulation', 'Gene Rearrangement, T-Lymphocyte', 'HLA-A2 Antigen/chemistry', 'Histocompatibility Antigens Class I/*immunology', 'Hybridomas/immunology', 'Lymphocyte Activation', '*Major Histocompatibility Complex', 'Mice', 'Mice, Inbred Strains/genetics/immunology', 'Models, Molecular', 'Molecular Sequence Data', 'Organ Specificity', 'Polymorphism, Genetic', '*Receptors, Antigen, T-Cell/genetics', 'Receptors, Antigen, T-Cell, gamma-delta', 'Sequence Homology, Nucleic Acid', 'T-Lymphocyte Subsets/*immunology', 'beta 2-Microglobulin/metabolism']",98,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Immunol Rev. 1991 Apr;120:89-115. doi: 10.1111/j.1600-065x.1991.tb00589.x.,"['0 (Antigens, Differentiation, T-Lymphocyte)', '0 (CD8 Antigens)', '0 (HLA-A2 Antigen)', '0 (Histocompatibility Antigens Class I)', '0 (Receptors, Antigen, T-Cell)', '0 (Receptors, Antigen, T-Cell, gamma-delta)', '0 (Tla antigens)', '0 (beta 2-Microglobulin)']","['26<up>b</up>', '37<up>b</up>', 'Pgk-2', 'T10<up>129</up>', 'T10<up>b</up>', 'T10<up>d</up>', 'T21', 'T22', 'T22<up>b</up>', 'T22<up>d</up>', 'T22<up>k</up>', 'T23', 'T3<up>b</up>', 'TL', 'TL<up>b</up>', 'TL<up>b</up>-B', 'Tl4<up>b</up>', 'Tl5<up>b</up>', 'Tl<up>d</up>', 'Tl<up>d</up>-A', 'Tla<up>a</up>', 'Tla<up>b</up>']",['10.1111/j.1600-065x.1991.tb00589.x [doi]'],,"['AI14349/AI/NIAID NIH HHS/United States', 'AI17879/AI/NIAID NIH HHS/United States', 'CA28900/CA/NCI NIH HHS/United States']",,,,,,,,,,
1830780,NLM,MEDLINE,19910912,20190516,0916-7250 (Print) 0916-7250 (Linking),53,1,1991 Feb,Expression of arginase by mouse myeloid leukemic cell differentiation in vitro induced with tumor necrosis factor.,53-7,Induction of arginase activity in mouse myeloid leukemic M1 cells by treatment with recombinant human tumor necrosis factor (rH-TNF) or TNF-elicited mouse serum (TNS) were examined in vitro. M1 cells differentiated into macrophage-like cells by addition of rH-TNF or TNS. The differentiated cells expressed phagocytic function and did not grow anymore. Cytolytic effect of rH-TNF or TNS was not observed. The differentiation of M1 cells into phagocytic cells by the TNS treatment was more rapidly than that by the rH-TNF treatment though TNS contained 25-time less amounts of TNF indicating species specificity of TNF action on myeloid leukemic cells or TNS containing other differentiation factor(s). 3H-ornithine formation from 3H-arginine is catalyzed by arginase (EC. 3.5.3.1). The enzyme product increased in the M1 cell culture medium by the treatment with rH-TNF or TNS. The arginase activity statistically correlated with the appearance percentage of differentiated cells with phagocytic function. These results suggest that in vitro differentiation of M1 cells is accompanied by induction of arginase activity.,"['Kosaka, T', 'Kuwabara, M', 'Endo, A', 'Tamaguchi, H', 'Koide, F']","['Kosaka T', 'Kuwabara M', 'Endo A', 'Tamaguchi H', 'Koide F']","['Department of Veterinary Radiology, School of Veterinary Medicine, Nihon University, Fujisawa, Japan.']",['eng'],['Journal Article'],Japan,J Vet Med Sci,The Journal of veterinary medical science,9105360,IM,,"['Animals', 'Arginase/*biosynthesis', 'Arginine/metabolism', 'Cell Differentiation', 'Cell Division/drug effects', 'Enzyme Induction', 'Leukemia, Myeloid/*enzymology/pathology', 'Mice', 'Ornithine/metabolism', 'Phagocytes/cytology/*enzymology/physiology', 'Phagocytosis', 'Recombinant Proteins/pharmacology', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*pharmacology']",,1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",ppublish,J Vet Med Sci. 1991 Feb;53(1):53-7. doi: 10.1292/jvms.53.53.,"['0 (Recombinant Proteins)', '0 (Tumor Necrosis Factor-alpha)', '94ZLA3W45F (Arginine)', 'E524N2IXA3 (Ornithine)', 'EC 3.5.3.1 (Arginase)']",,['10.1292/jvms.53.53 [doi]'],,,,,,,,,,,,
1830754,NLM,MEDLINE,19910909,20191022,0888-0018 (Print) 0888-0018 (Linking),8,2,1991 Apr-Jun,Transient myeloproliferative disorder in Down's syndrome: three cases with megakaryocytic markers.,139-45,"In this paper we describe three infants with Down's syndrome and transient myeloproliferative disorder. The blast cells of all three displayed positive megakaryocytic markers. One patient developed acute megakaryoblastic leukemia in his second year, with blasts identical to those of the initial episode. The other two cases remain well at 12 and 15 months of age.","['Sartori, P C', 'Darbyshire, P J']","['Sartori PC', 'Darbyshire PJ']","[""Department of Haematology, Birmingham Children's Hospital, United Kingdom.""]",['eng'],"['Case Reports', 'Journal Article']",England,Pediatr Hematol Oncol,Pediatric hematology and oncology,8700164,IM,,"['Abnormalities, Multiple', 'Antibodies, Monoclonal', 'Antigens, Differentiation/analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers', 'Down Syndrome/*complications', 'Female', 'Hematopoietic Stem Cells/chemistry/pathology', 'Humans', 'Infant, Newborn', 'Leukemia, Megakaryoblastic, Acute/drug therapy/*etiology', 'Male', 'Myeloproliferative Disorders/*congenital/etiology/pathology', 'Preleukemia/etiology', 'Remission Induction']",,1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",ppublish,Pediatr Hematol Oncol. 1991 Apr-Jun;8(2):139-45. doi: 10.3109/08880019109033441.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (Biomarkers)']",,['10.3109/08880019109033441 [doi]'],,,,,,,,,,,,
1830631,NLM,MEDLINE,19910905,20190824,0145-2126 (Print) 0145-2126 (Linking),15,7,1991,The in vivo expression of type B CD23 mRNA in B-chronic lymphocytic leukemic cells is associated with an abnormally low CD23 upregulation by IL-4: comparison with their normal cellular counterparts.,609-18,"We recently reported that the sera of chronic lymphocytic leukemia (CLL) patients contained 3-500 times more soluble CD23 (or IgE-BF) than the sera of patients with other lymphoproliferative diseases or normal individuals and that their B cells (B-CLLs) overexpressed CD23 Ag. In the present report, we extended these studies and showed that CD5+ B cells from all CLL patients (n = 15) co-express CD23 Ag. We next identified two additional major differences between B-CLLs and normal adult B cells. First, in contrast to normal adult B cells which exclusively express type A CD23 mRNA, freshly isolated B-CLLs expressed both type B and type A CD23 mRNA. Second, although IL-4 is a potent inducer of type B CD23 mRNA on normal B cells, an optimal concentration of IL-4 infranormally upregulated CD23 on highly purified B-CLLs both at the protein and at the molecular levels. However, co-stimulation of CLL PBMC with phytohemagglutinin (PHA) and IL-4 strongly upregulated CD23 on B-CLLs, reconstituting the high level of CD23 expression observed in vivo. We next attempted to relate B-CLLs to the CD5+ B cell subpopulations present in peripheral blood mononuclear cells (PBMC, n = 3), cord blood mononuclear cells (CBMC, n = 6) and tonsillar lymphocytes (TONS, n = 3) by analysing their co-expression of CD20, CD5 and CD23 Ag and their phenotypic regulation by IL-4. Our results indicated that B-CLLs presented some features in common with the CD23+ umbilical cord blood B cells in as much as, like in B-CLLs; (i) all CD23+ cord blood cells co-expressed CD5 Ag, (ii) freshly isolated CBMC expressed both type A and type B CD23 mRNA, and finally (iii) these cells weakly re-expressed CD23 Ag upon IL-4 stimulation as compared to adult PBMC.","['Fournier, S', 'Tran, I D', 'Suter, U', 'Biron, G', 'Delespesse, G', 'Sarfati, M']","['Fournier S', 'Tran ID', 'Suter U', 'Biron G', 'Delespesse G', 'Sarfati M']","['University of Montreal, Notre-Dame Hospital, Research Center, Quebec, Canada.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,IM,,"['Antigens, Differentiation, B-Lymphocyte/*genetics', 'B-Lymphocytes/immunology/physiology', 'Base Sequence', 'Fetal Blood/cytology/physiology', 'Gene Expression Regulation, Leukemic/drug effects/*physiology', 'Humans', 'Interleukin-4/pharmacology/*physiology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/immunology/pathology', 'Molecular Sequence Data', 'RNA, Messenger/*genetics', 'Receptors, Fc/*genetics', 'Receptors, IgE', 'Up-Regulation/drug effects/*physiology']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Leuk Res. 1991;15(7):609-18. doi: 10.1016/0145-2126(91)90030-w.,"['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (RNA, Messenger)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '207137-56-2 (Interleukin-4)']",,"['0145-2126(91)90030-W [pii]', '10.1016/0145-2126(91)90030-w [doi]']",,,,,,,,,,,,
1830630,NLM,MEDLINE,19910905,20190824,0145-2126 (Print) 0145-2126 (Linking),15,7,1991,The occurrence subtype and significance of haemopoietic inhibitory T cells (HIT cells) in myelodysplasia: an in vitro study.,597-601,"This study examines the occurrence, subtype and possible significance of haemopoietic inhibitory T cells (HIT cells) in patients with myelodysplasia (n = 21), acute myeloblastic leukaemia (n = 8) and in normal subjects (n = 13) using an autostimulary CFU-GM stem cell assay. HIT cells were detected when colony numbers increased by 30% or more following T-lymphocyte subpopulation ablation. HIT cells occurred in 28% of the MDS patients, were always CD8-positive and never occurred in the normal subjects. Sequential studies in MDS patients with HIT cells and treated with low dose Ara-C showed no correlation between occurrence of these cells and clinical outcome. HIT cells appear to be a clinically irrelevant manifestation of the cell dysfunction associated with MDS.","['Smith, M A', 'Smith, J G']","['Smith MA', 'Smith JG']","['Department of Haematology, Royal United Hospital, Bath, U.K.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,IM,,"['Cytarabine/administration & dosage/pharmacology', 'Dose-Response Relationship, Drug', 'Granulocytes/physiology', 'Hematopoiesis/physiology', 'Hematopoietic Stem Cells/physiology', 'Humans', 'Macrophages/physiology', 'Myelodysplastic Syndromes/*blood/drug therapy', 'T-Lymphocyte Subsets/*physiology', 'T-Lymphocytes/drug effects/*physiology', 'T-Lymphocytes, Regulatory/drug effects/physiology']",,1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Leuk Res. 1991;15(7):597-601. doi: 10.1016/0145-2126(91)90028-r.,['04079A1RDZ (Cytarabine)'],,"['0145-2126(91)90028-R [pii]', '10.1016/0145-2126(91)90028-r [doi]']",,,,,,,,,,,,
1830592,NLM,MEDLINE,19910905,20181130,0021-9541 (Print) 0021-9541 (Linking),148,1,1991 Jul,Relationship of IgE receptor topography to secretion in RBL-2H3 mast cells.,139-51,"In RBL-2H3 rat leukemic mast cells, cross-linking IgE-receptor complexes with anti-IgE antibody leads to degranulation. Receptor cross-linking also stimulates the redistribution of receptors on the cell surface, a process observed here by labeling the anti-IgE with 15 nm protein A-gold particles that are visible by back-scattered electron imaging in the scanning electron microscope. We report that anti-IgE binding stimulates the redistribution of IgE-receptor complexes at 37 degrees C from a dispersed topography to distributions dominated sequentially by short chains, small clusters, and large aggregates of cross-linked receptors. Cells incubated with 1 microgram/ml anti-IgE, a concentration that stimulates maximum net secretion, redistribute receptors into chains and small clusters during a 15 min incubation period. At 3 and 10 micrograms/ml anti-IgE, net secretion is reduced and the majority of receptors redistribute rapidly into clusters and large aggregates. The addition of Fab fragments with the high anti-IgE concentrations, to reduce cross-linking, delays receptor aggregation and enhances secretion. The progression of receptors from small clusters to large aggregates is prevented in cells treated with dihydrocytochalasin B to prevent F-actin assembly. These results establish that characteristic patterns of receptor topography are correlated with receptor activity. In particular, they link the formation of large receptor aggregates to reduced signalling activity. Cytoskeleton-membrane interaction is implicated in the formation or stabilization of the large receptor clusters.","['Seagrave, J', 'Pfeiffer, J R', 'Wofsy, C', 'Oliver, J M']","['Seagrave J', 'Pfeiffer JR', 'Wofsy C', 'Oliver JM']","['Department of Pathology, University of New Mexico School of Medicine, Albuquerque 87131.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Physiol,Journal of cellular physiology,0050222,IM,,"['Actins/metabolism', 'Animals', 'Antibodies, Anti-Idiotypic/immunology/metabolism', 'Antibodies, Monoclonal/immunology/pharmacology', 'Antigens, Differentiation, B-Lymphocyte/metabolism/*physiology', 'Cell Membrane/drug effects/metabolism/ultrastructure', 'Cytochalasin B/analogs & derivatives/pharmacology', 'Cytoskeleton/drug effects/metabolism', 'Dose-Response Relationship, Drug', 'Gold', 'Immunoglobulin E/immunology/metabolism', 'Immunohistochemistry', 'Leukemia, Experimental/pathology', 'Mast Cells/metabolism/physiology/*ultrastructure', 'Microscopy, Electron, Scanning', 'Receptors, Fc/drug effects/metabolism/*physiology', 'Receptors, IgE', 'Staphylococcal Protein A', 'Time Factors', 'Tumor Cells, Cultured']",,1991/07/01 00:00,1991/07/01 00:01,['1991/07/01 00:00'],"['1991/07/01 00:00 [pubmed]', '1991/07/01 00:01 [medline]', '1991/07/01 00:00 [entrez]']",ppublish,J Cell Physiol. 1991 Jul;148(1):139-51. doi: 10.1002/jcp.1041480117.,"['0 (Actins)', '0 (Antibodies, Anti-Idiotypic)', '0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Receptors, Fc)', '0 (Receptors, IgE)', '0 (Staphylococcal Protein A)', '0 (anti-IgE antibodies)', '37341-29-0 (Immunoglobulin E)', '39156-67-7 (dihydrocytochalasin B)', '3CHI920QS7 (Cytochalasin B)', '7440-57-5 (Gold)']",,['10.1002/jcp.1041480117 [doi]'],,"['ES03338/ES/NIEHS NIH HHS/United States', 'GM37202/GM/NIGMS NIH HHS/United States']",,,,,,,,,,
