PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,RF,TT,DEP,GR,PMC,SI,CON,EIN,CIN,CI,CN,PS,FPS,MID,LID,RIN,RPF,OID
16688229,NLM,MEDLINE,20070926,20130304,0887-6924 (Print) 0887-6924 (Linking),20,7,2006 Jul,Expression of beta-catenin by acute myeloid leukemia cells predicts enhanced clonogenic capacities and poor prognosis.,1211-6,"['Ysebaert, L', 'Chicanne, G', 'Demur, C', 'De Toni, F', 'Prade-Houdellier, N', 'Ruidavets, J-B', 'Mansat-De Mas, V', 'Rigal-Huguet, F', 'Laurent, G', 'Payrastre, B', 'Manenti, S', 'Racaud-Sultan, C']","['Ysebaert L', 'Chicanne G', 'Demur C', 'De Toni F', 'Prade-Houdellier N', 'Ruidavets JB', 'Mansat-De Mas V', 'Rigal-Huguet F', 'Laurent G', 'Payrastre B', 'Manenti S', 'Racaud-Sultan C']","['NSERM U563, Centre de Physiopathologie Toulouse Purpan (CPTP), Departement Oncogenese et Signalisation dans les cellules Hematopoietiques, CHU Purpan, Toulouse Cedex, France. ysebaert.l@chu-toulouse.fr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Cell Line, Tumor', 'Clone Cells', 'Female', 'Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Monocytic, Acute/metabolism/mortality/pathology', 'Leukemia, Myeloid, Acute/metabolism/*mortality/*pathology', 'Leukemia, Myelomonocytic, Acute/metabolism/mortality/pathology', 'Male', 'Middle Aged', 'Neoplastic Stem Cells/pathology/*physiology', 'Predictive Value of Tests', 'Prognosis', 'Retrospective Studies', 'Signal Transduction', 'Survival Analysis', 'Wnt Proteins/metabolism', 'beta Catenin/*genetics']",2006/05/12 09:00,2007/09/27 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404239 [pii]', '10.1038/sj.leu.2404239 [doi]']",ppublish,Leukemia. 2006 Jul;20(7):1211-6. doi: 10.1038/sj.leu.2404239. Epub 2006 May 11.,"Activation of the Wnt/beta-catenin pathway has recently been shown to be crucial to the establishment of leukemic stem cells in chronic myeloid leukemia. We sought to determine whether beta-catenin was correlated to clonogenic capacity also in the acute myeloid leukemia (AML) setting. Eighty-two patients were retrospectively evaluated for beta-catenin expression by Western blot. beta-Catenin was expressed (although at various protein levels) in 61% of patients, and was undetectable in the remaining cases. In our cohort, beta-catenin expression was correlated with the clonogenic proliferation of AML-colony forming cells (AML-CFC or CFU-L) in methylcellulose in the presence of 5637-conditioned medium, and more strikingly with self-renewing of leukemic cells, as assessed in vitro by a re-plating assay. In survival analyses, beta-catenin appeared as a new independent prognostic factor predicting poor event-free survival and shortened overall survival (both with P<0.05). Furthermore, variations in beta-catenin protein levels were dependent on post-transcriptional mechanisms involving the Wnt/beta-catenin pathway only in leukemic cells. Indeed, beta-catenin negative leukemic cells were found to increase beta-catenin in response to Wnt3a agonist in contrast to normal counterparts. Altogether, our data pave the way to the evaluation of Wnt pathway inhibition as a new rationale for eradicating the clonogenic pool of AML cells.","['0 (Wnt Proteins)', '0 (beta Catenin)']",,,20060511,,,,,,,,,,,,,,,
16688228,NLM,MEDLINE,20070926,20130304,0887-6924 (Print) 0887-6924 (Linking),20,7,2006 Jul,Prognostic value of cyclin D2 mRNA expression in newly diagnosed multiple myeloma treated with high-dose chemotherapy and tandem autologous stem cell transplantations.,1288-90,"['Hanamura, I', 'Huang, Y', 'Zhan, F', 'Barlogie, B', 'Shaughnessy, J']","['Hanamura I', 'Huang Y', 'Zhan F', 'Barlogie B', 'Shaughnessy J']",,['eng'],['Letter'],England,Leukemia,Leukemia,8704895,IM,"['Antineoplastic Agents/*therapeutic use', 'Combined Modality Therapy', 'Cyclin D2', 'Cyclins/*genetics', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Multiple Myeloma/*drug therapy/*genetics/mortality', 'Predictive Value of Tests', 'Prognosis', 'RNA, Messenger/genetics', 'Transplantation, Autologous']",2006/05/12 09:00,2007/09/27 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404253 [pii]', '10.1038/sj.leu.2404253 [doi]']",ppublish,Leukemia. 2006 Jul;20(7):1288-90. doi: 10.1038/sj.leu.2404253. Epub 2006 May 11.,,"['0 (Antineoplastic Agents)', '0 (CCND2 protein, human)', '0 (Cyclin D2)', '0 (Cyclins)', '0 (RNA, Messenger)']",,,20060511,,,,,,,,,,,,,,,
16688227,NLM,MEDLINE,20070926,20201209,0887-6924 (Print) 0887-6924 (Linking),20,7,2006 Jul,Promoter hypermethylation silences expression of the HoxA4 gene and correlates with IgVh mutational status in CLL.,1326-9,"['Strathdee, G', 'Sim, A', 'Parker, A', 'Oscier, D', 'Brown, R']","['Strathdee G', 'Sim A', 'Parker A', 'Oscier D', 'Brown R']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['*DNA Methylation', '*Gene Expression Regulation, Leukemic', 'Gene Silencing', 'Homeodomain Proteins/*genetics/metabolism', 'Humans', 'Immunoglobulin Variable Region/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Mutation', 'Promoter Regions, Genetic/physiology', 'Transcription Factors']",2006/05/12 09:00,2007/09/27 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404254 [pii]', '10.1038/sj.leu.2404254 [doi]']",ppublish,Leukemia. 2006 Jul;20(7):1326-9. doi: 10.1038/sj.leu.2404254. Epub 2006 May 11.,,"['0 (Homeodomain Proteins)', '0 (Immunoglobulin Variable Region)', '0 (Transcription Factors)', '127609-92-1 (HOXA4 protein, human)']",,,20060511,,,,,,,,,,,,,,,
16688226,NLM,MEDLINE,20070926,20130304,0887-6924 (Print) 0887-6924 (Linking),20,7,2006 Jul,Notch and Wnt signaling in T-lymphocyte development and acute lymphoblastic leukemia.,1197-205,"['Weerkamp, F', 'van Dongen, J J M', 'Staal, F J T']","['Weerkamp F', 'van Dongen JJ', 'Staal FJ']","['Department of Immunology, Erasmus MC University Medical Center Rotterdam, Rotterdam, The Netherlands.']",['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,IM,"['Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism/pathology', 'Receptors, Notch/immunology/*metabolism', 'Signal Transduction/*physiology', 'T-Lymphocytes/*metabolism/pathology', 'Wnt Proteins/immunology/*metabolism']",2006/05/12 09:00,2007/09/27 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404255 [pii]', '10.1038/sj.leu.2404255 [doi]']",ppublish,Leukemia. 2006 Jul;20(7):1197-205. doi: 10.1038/sj.leu.2404255. Epub 2006 May 11.,"Many acute lymphoblastic leukemias can be considered as malignant counterparts of cells in the various stages of normal lymphoid development in bone marrow and thymus. T-cell development in the thymus is an ordered and tightly controlled process. Two evolutionary conserved signaling pathways, which were first discovered in Drosophila, control the earliest steps of T-cell development. These are the Notch and Wnt-signaling routes, which both are deregulated in several types of leukemias. In this review we discuss both pathways, with respect to their signaling mechanisms, functions during T-cell development and their roles in development of leukemias, especially T-cell acute lymphoblastic leukemia.","['0 (Receptors, Notch)', '0 (Wnt Proteins)']",123,,20060511,,,,,,,,,,,,,,,
16688225,NLM,MEDLINE,20060816,20130304,0887-6924 (Print) 0887-6924 (Linking),20,8,2006 Aug,Promoter hypermethylation and global hypomethylation are independent epigenetic events in lymphoid leukemogenesis with opposing effects on clinical outcome.,1445-8,"['Roman-Gomez, J', 'Jimenez-Velasco, A', 'Agirre, X', 'Castillejo, J A', 'Navarro, G', 'Garate, L', 'Jose-Eneriz, E San', 'Cordeu, L', 'Barrios, M', 'Prosper, F', 'Heiniger, A', 'Torres, A']","['Roman-Gomez J', 'Jimenez-Velasco A', 'Agirre X', 'Castillejo JA', 'Navarro G', 'Garate L', 'Jose-Eneriz ES', 'Cordeu L', 'Barrios M', 'Prosper F', 'Heiniger A', 'Torres A']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Adolescent', 'Adult', 'Child', 'CpG Islands', '*DNA Methylation', '*Epigenesis, Genetic', 'Female', 'Humans', 'Leukemia, Lymphoid/etiology/*genetics/mortality', 'Male', 'Phenotype', '*Promoter Regions, Genetic']",2006/05/12 09:00,2006/08/17 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2006/08/17 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404257 [pii]', '10.1038/sj.leu.2404257 [doi]']",ppublish,Leukemia. 2006 Aug;20(8):1445-8. doi: 10.1038/sj.leu.2404257. Epub 2006 May 11.,,,,,20060511,,,,,,,,,,,,,,,
16688224,NLM,MEDLINE,20070926,20210109,0887-6924 (Print) 0887-6924 (Linking),20,7,2006 Jul,"CUTLL1, a novel human T-cell lymphoma cell line with t(7;9) rearrangement, aberrant NOTCH1 activation and high sensitivity to gamma-secretase inhibitors.",1279-87,"['Palomero, T', 'Barnes, K C', 'Real, P J', 'Glade Bender, J L', 'Sulis, M L', 'Murty, V V', 'Colovai, A I', 'Balbin, M', 'Ferrando, A A']","['Palomero T', 'Barnes KC', 'Real PJ', 'Glade Bender JL', 'Sulis ML', 'Murty VV', 'Colovai AI', 'Balbin M', 'Ferrando AA']","['Institute for Cancer Genetics, Columbia University, New York, NY 10032, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Amyloid Precursor Protein Secretases/*antagonists & inhibitors/metabolism', 'Cell Differentiation', 'Cell Line, Tumor/*cytology/physiology', 'Child', 'Chromosomes, Human, Pair 7', 'Chromosomes, Human, Pair 9', 'Enzyme Inhibitors/pharmacology', 'Gene Expression Regulation, Leukemic', 'Gene Rearrangement, T-Lymphocyte/*genetics', 'Genes, Tumor Suppressor/physiology', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/drug therapy/genetics/*pathology', 'Receptor, Notch1/*genetics/metabolism', 'Signal Transduction', 'Translocation, Genetic']",2006/05/12 09:00,2007/09/27 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/09/27 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2404258 [pii]', '10.1038/sj.leu.2404258 [doi]']",ppublish,Leukemia. 2006 Jul;20(7):1279-87. doi: 10.1038/sj.leu.2404258. Epub 2006 May 11.,"Activating mutations in NOTCH1 are present in over 50% of human T-cell lymphoblastic leukemia (T-ALL) samples and inhibition of NOTCH1 signaling with gamma-secretase inhibitors (GSI) has emerged as a potential therapeutic strategy for the treatment of this disease. Here, we report a new human T-cell lymphoma line CUTLL1, which expresses high levels of activated NOTCH1 and is extremely sensitive to gamma-secretase inhibitors treatment. CUTLL1 cells harbor a t(7;9)(q34;q34) translocation which induces the expression of a TCRB-NOTCH1 fusion transcript encoding a membrane-bound truncated form of the NOTCH1 receptor. GSI treatment of CUTLL1 cells blocked NOTCH1 processing and caused rapid clearance of activated intracellular NOTCH1. Loss of NOTCH1 activity induced a gene expression signature characterized by the downregulation of NOTCH1 target genes such as HES1 and NOTCH3. In contrast with most human T-ALL cell lines with activating mutations in NOTCH1, CUTLL1 cells showed a robust cellular phenotype upon GSI treatment characterized by G1 cell cycle arrest and increased apoptosis. These results show that the CUTLL1 cell line has a strong dependence on NOTCH1 signaling for proliferation and survival and supports that T-ALL patients whose tumors harbor t(7;9) should be included in clinical trials testing the therapeutic efficacy NOTCH1 inhibition with GSIs.","['0 (Enzyme Inhibitors)', '0 (NOTCH1 protein, human)', '0 (Receptor, Notch1)', 'EC 3.4.- (Amyloid Precursor Protein Secretases)']",,,20060511,,,,,,,,,,,,,,,
16687934,NLM,MEDLINE,20070501,20200930,1551-4005 (Electronic) 1551-4005 (Linking),5,10,2006 May,Glucocorticoid-induced apoptosis revisited: a novel role for glucocorticoid receptor translocation to the mitochondria.,1017-26,"['Sionov, Ronit Vogt', 'Kfir, Shlomit', 'Zafrir, Elazar', 'Cohen, Orly', 'Zilberman, Yael', 'Yefenof, Eitan']","['Sionov RV', 'Kfir S', 'Zafrir E', 'Cohen O', 'Zilberman Y', 'Yefenof E']","['The Lautenberg Center for General and Tumor Immunology, The Hebrew University-Hadassah Medical School, Jerusalem, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,IM,"['Animals', '*Apoptosis', 'Apoptosis Regulatory Proteins/genetics/metabolism', 'Cell Line, Tumor', 'Gene Expression Regulation/drug effects', 'Glucocorticoids/*pharmacology', 'Humans', 'Mitochondria/metabolism', 'Protein Kinases/metabolism', 'Protein Transport', 'Receptors, Glucocorticoid/*agonists/genetics/metabolism', 'Signal Transduction']",2006/05/12 09:00,2007/05/02 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2007/05/02 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2738 [pii]', '10.4161/cc.5.10.2738 [doi]']",ppublish,Cell Cycle. 2006 May;5(10):1017-26. doi: 10.4161/cc.5.10.2738. Epub 2006 May 15.,"Recent data cast new light on the mechanisms by which glucocorticoids (GCs) elicit apoptosis of thymocytes and leukemia cells. Here we attempt to integrate recent studies by others and us, which provide a novel insight to this apoptotic process. In the last few years it was made clear that there is a tight cooperation between genomic and non-genomic effects exerted by GC receptors (GRs). GC invokes major alterations in the gene expression profile through GR-mediated transactivation and transrepression, which ultimately tip the balance between pro-survival and pro-apoptotic proteins. Although essential in shaping the cell's proteome, these genomic effects are insufficient to elicit apoptotic death and additional signals are required for activating the pro-apoptotic proteins. Several non-genomic effects have been described that occur immediately following exposure to GC, which are imperative for the induction of apoptosis. We have recently observed that GC induces instant GR translocation to the mitochondria in GC-sensitive, but not in GC-resistant, T lymphoid cells. This response contrasts the nuclear translocation of GR occurring in both cell types. We propose that the sustained elevation of GR in the mitochondria following GC exposure is crucial for triggering apoptosis.","['0 (Apoptosis Regulatory Proteins)', '0 (Glucocorticoids)', '0 (Receptors, Glucocorticoid)', 'EC 2.7.- (Protein Kinases)']",,,20060515,,,,,,,,,,,,,,,
16687921,NLM,MEDLINE,20060605,20211203,1551-4005 (Electronic) 1551-4005 (Linking),5,9,2006 May,ATR-Chk1 axis protects BCR/ABL leukemia cells from the lethal effect of DNA double-strand breaks.,994-1000,"['Nieborowska-Skorska, Margaret', 'Stoklosa, Tomasz', 'Datta, Mandrita', 'Czechowska, Agnieszka', 'Rink, Lori', 'Slupianek, Artur', 'Koptyra, Mateusz', 'Seferynska, Ilona', 'Krszyna, Konrad', 'Blasiak, Janusz', 'Skorski, Tomasz']","['Nieborowska-Skorska M', 'Stoklosa T', 'Datta M', 'Czechowska A', 'Rink L', 'Slupianek A', 'Koptyra M', 'Seferynska I', 'Krszyna K', 'Blasiak J', 'Skorski T']","['Department of Microbiology and Immunology, Temple University, Philadelphia, Pennsylvania 19140, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,IM,"['Antineoplastic Agents/pharmacology', 'Ataxia Telangiectasia Mutated Proteins', 'Cell Cycle Proteins/*physiology', 'Checkpoint Kinase 1', 'Cisplatin/pharmacology', '*DNA Damage', 'Drug Resistance, Neoplasm', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/*analysis/physiology', 'G2 Phase', 'Genomic Instability', 'Humans', 'Kinetics', 'Leukemia/*enzymology/pathology', 'Methylnitronitrosoguanidine/pharmacology', 'Mitomycin/pharmacology', 'Protein Kinases/*physiology', 'Protein Serine-Threonine Kinases/*physiology', 'Reactive Oxygen Species/metabolism', 'S Phase', 'Signal Transduction']",2006/05/12 09:00,2006/06/06 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2006/06/06 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['2722 [pii]', '10.4161/cc.5.9.2722 [doi]']",ppublish,Cell Cycle. 2006 May;5(9):994-1000. doi: 10.4161/cc.5.9.2722. Epub 2006 May 1.,"BCR/ABL-positive leukemia cells accumulated more replication-dependent DNA double-strand breaks (DSBs) than normal counterparts after treatment with cisplatin and mitomycin C (MMC, as assessed by pulse field gel electrophoresis (PFGE) and neutral comet assay. In addition, leukemia cells could repair these lesions more efficiently than normal cells and eventually survive genotoxic treatment. Elevated levels of drug-induced DSBs in leukemia cells were associated with higher activity of ATR kinase, and enhanced phosphorylation of histone H2AX on serine 139 (gamma-H2AX). gamma-H2AX eventually started to disappear in BCR/ABL cells, while continued to increase in parental cells. In addition, the expression and ATR-mediated phosphorylation of Chk1 kinase on serine 345 were often more abundant in BCR/ABL-positive leukemia cells than normal counterparts after genotoxic treatment. Inhibition of ATR kinase by caffeine but not Chk1 kinase by indolocarbazole inhibitor, SB218078 sensitized BCR/ABL leukemia cells to MMC in a short-term survival assay. Nevertheless, both caffeine and SB218078 enhanced the genotoxic effect of MMC in a long-term clonogenic assay. This effect was associated with the abrogation of transient accumulation of leukemia cells in S and G2/M cell cycle phases after drug treatment. In conclusion, ATR-Chk1 axis was strongly activated in BCR/ABL-positive cells and contributed to the resistance to DNA cross-linking agents causing numerous replication-dependent DSBs.","['0 (Antineoplastic Agents)', '0 (Cell Cycle Proteins)', '0 (Reactive Oxygen Species)', '12H3O2UGSF (Methylnitronitrosoguanidine)', '50SG953SK6 (Mitomycin)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.11.1 (ATR protein, human)', 'EC 2.7.11.1 (Ataxia Telangiectasia Mutated Proteins)', 'EC 2.7.11.1 (CHEK1 protein, human)', 'EC 2.7.11.1 (Checkpoint Kinase 1)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)', 'Q20Q21Q62J (Cisplatin)']",,,20060501,"['CA87015/CA/NCI NIH HHS/United States', 'CA89052/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
16687718,NLM,MEDLINE,20060516,20060511,1533-4406 (Electronic) 0028-4793 (Linking),354,19,2006 May 11,Case records of the Massachusetts General Hospital. Case 14-2006. A 25-year-old woman with anemia and iron overload.,2047-56,"['Attar, Eyal C', 'Hasserjian, Robert P']","['Attar EC', 'Hasserjian RP']","['Center for Leukemia, Massachusetts General Hospital, Boston, USA.']",['eng'],"['Case Reports', 'Clinical Conference', 'Journal Article']",United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Adult', 'Anemia/etiology', 'Anemia, Diamond-Blackfan/complications/*diagnosis', 'Anticoagulants/therapeutic use', 'Bone Marrow Examination', 'Contraceptives, Oral/adverse effects', 'Diagnosis, Differential', 'Female', 'Fetal Hemoglobin/analysis/*genetics', 'Humans', 'Iron Overload/etiology', 'Mutation', 'Ovary/blood supply', 'Pedigree', 'Smoking/adverse effects', 'Venous Thrombosis/drug therapy/etiology', 'beta-Thalassemia/complications/*diagnosis/genetics']",2006/05/12 09:00,2006/05/17 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2006/05/17 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['354/19/2047 [pii]', '10.1056/NEJMcpc069005 [doi]']",ppublish,N Engl J Med. 2006 May 11;354(19):2047-56. doi: 10.1056/NEJMcpc069005.,,"['0 (Anticoagulants)', '0 (Contraceptives, Oral)', '9034-63-3 (Fetal Hemoglobin)']",,,,,,,,,,,,,,,,,,
16687713,NLM,MEDLINE,20060516,20180813,1533-4406 (Electronic) 0028-4793 (Linking),354,19,2006 May 11,Altered bone and mineral metabolism in patients receiving imatinib mesylate.,2006-13,"['Berman, Ellin', 'Nicolaides, Maria', 'Maki, Robert G', 'Fleisher, Martin', 'Chanel, Suzanne', 'Scheu, Kelly', 'Wilson, Bri-Anne', 'Heller, Glenn', 'Sauter, Nicholas P']","['Berman E', 'Nicolaides M', 'Maki RG', 'Fleisher M', 'Chanel S', 'Scheu K', 'Wilson BA', 'Heller G', 'Sauter NP']","['Department of Medicine, Memorial Sloan-Kettering Cancer Center, New York, NY 10021, USA. bermane@mskcc.org']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,IM,"['Benzamides', 'Biomarkers/blood', 'Bone Remodeling/*drug effects/physiology', 'Bone and Bones/metabolism', 'Calcitriol/blood', 'Calcium/blood', 'Female', 'Gastrointestinal Stromal Tumors/drug therapy', 'Humans', 'Hypophosphatemia/blood/*chemically induced', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Male', 'Middle Aged', 'Osteocalcin/blood', 'Parathyroid Hormone/blood', 'Phosphates/blood', 'Piperazines/*adverse effects/therapeutic use', 'Protein Kinase Inhibitors/*adverse effects/therapeutic use', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*adverse effects/therapeutic use', 'Vitamin D/analogs & derivatives/blood']",2006/05/12 09:00,2006/05/17 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2006/05/17 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['354/19/2006 [pii]', '10.1056/NEJMoa051140 [doi]']",ppublish,N Engl J Med. 2006 May 11;354(19):2006-13. doi: 10.1056/NEJMoa051140.,"BACKGROUND: Imatinib mesylate inhibits several tyrosine kinases, including BCR-ABL, the C-KIT receptor, and the platelet-derived growth factor receptors alpha and beta, all of which are associated with disease. We observed that hypophosphatemia developed in some patients with either chronic myelogenous leukemia or gastrointestinal stromal tumors who were receiving imatinib. METHODS: We identified 16 patients who had low serum phosphate levels and 8 patients who had normal serum phosphate levels, all of whom were receiving imatinib. We performed the following biochemical measurements: whole-blood levels of ionized calcium, plasma levels of intact parathyroid hormone, and serum levels of total calcium, phosphate, 25-hydroxyvitamin D, 1,25-dihydroxyvitamin D, magnesium, and markers of bone formation (bone alkaline phosphatase and osteocalcin) and bone resorption (N-telopeptide of collagen cross-links); urinalysis; and phosphate, calcium, and creatinine levels in ""spot"" urine specimens. RESULTS: Patients in the low-phosphate group (median serum phosphate level, 2.0 mg per deciliter [0.6 mmol per liter]; normal level, >2.5 mg per deciliter [0.8 mmol per liter]) had elevated parathyroid hormone levels and low-to-normal serum calcium levels, were younger, and were receiving a higher dose of imatinib than patients in the normal-phosphate group (median level, 3.2 mg per deciliter [1.0 mmol per liter]). Both groups had high levels of phosphate excreted in the urine and markedly decreased serum levels of osteocalcin and N-telopeptide of collagen cross-links. CONCLUSIONS: Hypophosphatemia, with associated changes in bone and mineral metabolism, develops in a proportion of patients taking imatinib for either chronic myelogenous leukemia or gastrointestinal stromal tumors. The drug may inhibit bone remodeling (formation and resorption), even in patients with normal serum phosphate levels.","['0 (Benzamides)', '0 (Biomarkers)', '0 (Parathyroid Hormone)', '0 (Phosphates)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '104982-03-8 (Osteocalcin)', '1406-16-2 (Vitamin D)', '8A1O1M485B (Imatinib Mesylate)', 'A288AR3C9H (25-hydroxyvitamin D)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'FXC9231JVH (Calcitriol)', 'SY7Q814VUP (Calcium)']",,,,,,,,,"['N Engl J Med. 2006 Aug 10;355(6):627; author reply 628-9. PMID: 16899786', 'N Engl J Med. 2006 Aug 10;355(6):628; author reply 628-9. PMID: 16903020', 'N Engl J Med. 2006 Aug 10;355(6):627; author reply 628-9. PMID: 16906646', 'N Engl J Med. 2006 Dec 7;355(23):2494-5. PMID: 17151376']",['Copyright 2006 Massachusetts Medical Society.'],,,,,,,,
16687417,NLM,MEDLINE,20061120,20200203,0923-7534 (Print) 0923-7534 (Linking),17,7,2006 Jul,An antecedent diagnosis of refractory anemia with excess blasts has no prognostic relevance in acute myeloid leukemia of older adult patients.,1146-51,"['Palmieri, S', ""D'Arco, A M"", 'Celentano, M', 'Mele, G', 'Califano, C', 'Pollio, F', ""D'Amico, M R"", 'Ferrara, F']","['Palmieri S', ""D'Arco AM"", 'Celentano M', 'Mele G', 'Califano C', 'Pollio F', ""D'Amico MR"", 'Ferrara F']","['Division of Hematology and Stem Cell Transplantation Unit, Cardarelli Hospital, Naples, Italy.']",['eng'],"['Comparative Study', 'Journal Article']",England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,IM,"['Acute Disease', 'Aged', 'Aged, 80 and over', 'Anemia, Refractory, with Excess of Blasts/*complications', 'Antigens, CD34', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Chromosome Aberrations', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Leukemia, Myeloid/*etiology/mortality/*therapy', 'Male', 'Middle Aged', 'Prognosis', 'Remission Induction', 'Stem Cell Transplantation', 'Vidarabine/administration & dosage/analogs & derivatives']",2006/05/12 09:00,2006/12/09 09:00,['2006/05/12 09:00'],"['2006/05/12 09:00 [pubmed]', '2006/12/09 09:00 [medline]', '2006/05/12 09:00 [entrez]']","['S0923-7534(19)45382-9 [pii]', '10.1093/annonc/mdl083 [doi]']",ppublish,Ann Oncol. 2006 Jul;17(7):1146-51. doi: 10.1093/annonc/mdl083. Epub 2006 May 10.,"BACKGROUND: Conflicting results have been reported about the prognostic relevance of antecedent myelodysplastic syndrome (MDS) in acute myeloid leukemia (AML) of older adults. PATIENTS AND METHODS: Data from 87 intensively treated AML patients (median age 69 years) were analyzed, with the aim of comparing therapeutic results and toxicity between de novo and AML secondary to a previous MDS (s-AML). Rate of CD34+ cells mobilization and feasibility of autologous stem cell transplantation (ASCT) were also compared. RESULTS: Complete remission rate, death in induction and primary resistance were not statistically different between the two groups. Median time for neutrophil recovery was similar, while s-AML patients required a longer time for platelet recovery (P = 0.04). There was no difference as to eligibility for consolidation as well as for mobilization and feasibility of ASCT. S-AML had negligible impact on overall survival (OS) and disease-free survival (DFS). In the multivariate analysis the only parameter significantly related to either OS or DFS duration was adverse karyotype (P = 0.02 and 0.04, respectively). CONCLUSIONS: A diagnosis of s-AML does not represent a clinically relevant prognostic factor in elderly AML patients treated with aggressive therapy. Furthermore, s-AML patients can be mobilized and autografted with comparable results as opposed to de novo cases.","['0 (Antigens, CD34)', '04079A1RDZ (Cytarabine)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,20060510,,,,,,,,,,,,,,,
