PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,AB,AD,GR,CIN,TT,RF,GS,CON,PMC,EIN,SI,RIN,MID,OID,OAB,OABL,OTO,OT,GN,IR,FIR,IRAD,CN
1578934,NLM,MEDLINE,19920611,20131121,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Therapy of adult ALL: overview of 2 successive EORTC studies: (ALL-2 & ALL-3). The EORTC Leukemia Cooperative Study Group.,199-203,"['Stryckmans, P', 'De Witte, T', 'Marie, J P', 'Fillet, G', 'Peetermans, M', 'Bury, J', 'Muus, P', 'Andrien, J M', 'Hayat, M', 'Jaksic, B']","['Stryckmans P', 'De Witte T', 'Marie JP', 'Fillet G', 'Peetermans M', 'Bury J', 'Muus P', 'Andrien JM', 'Hayat M', 'Jaksic B', 'et al.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",England,Leukemia,Leukemia,8704895,['04079A1RDZ (Cytarabine)'],IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Humans', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality/*surgery', 'Prognosis', 'Recurrence', 'Remission Induction', 'Survival Analysis', 'Transplantation, Autologous', 'Transplantation, Homologous']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:199-203.,,,,,,,,,,,,,,,,,,,,,,,,
1578933,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Allogeneic bone marrow transplantation in acute lymphoblastic leukemia (ALL).,198,"['Santos, G W']",['Santos GW'],['eng'],"['Clinical Trial', 'Journal Article']",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Follow-Up Studies', 'Graft vs Host Disease/mortality', 'Humans', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*surgery', 'Transplantation, Homologous']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:198.,,,"['Johns Hopkins Oncology Center, Baltimore, Maryland 21205.']",,,,,,,,,,,,,,,,,,,,,
1578932,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Progress in allogeneic bone marrow transplantation for acute lymphoblastic leukemia in the 1980's: a report from the IBMTR. The International Bone Marrow Transplant Registry.,196-7,"['Bortin, M M', 'Barrett, A J', 'Horowitz, M M', 'Gale, R P', 'Sobocinski, K A', 'Rimm, A A']","['Bortin MM', 'Barrett AJ', 'Horowitz MM', 'Gale RP', 'Sobocinski KA', 'Rimm AA']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,,IM,"['*Bone Marrow Transplantation', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*mortality/surgery', 'Probability', 'Recurrence', 'Transplantation, Homologous']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:196-7.,,"Among patients with ALL and irrespective of disease state at transplant, highly significant improvements in treatment-related mortality, relapse and leukemia-free survival were observed during the 1980's. Although these results are encouraging, further reductions in treatment-related toxicity and posttransplant relapse are needed to achieve additional advances in the 1990's.","['Department of Medicine, Medical College of Wisconsin, Milwaukee.']",['P01-CA-40053/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
1578931,NLM,MEDLINE,19920611,20160422,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Marrow transplantation for patients with acute lymphoblastic leukemia: the Seattle experience.,193-5,"['Buckner, C D', 'Doney, K', 'Sanders, J', 'Petersen, F', 'Appelbaum, F']","['Buckner CD', 'Doney K', 'Sanders J', 'Petersen F', 'Appelbaum F']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,['8N3DW7272P (Cyclophosphamide)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cyclophosphamide', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/mortality/*surgery', 'Recurrence', 'Transplantation, Homologous', 'Washington', 'Whole-Body Irradiation']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:193-5.,,,"['Fred Hutchinson Cancer Research Center, Seattle, WA.']","['CA 15704/CA/NCI NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States', 'CA 18221/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,,,,,,
1578930,NLM,MEDLINE,19920611,20131121,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Allogeneic and autologous bone marrow transplantation for high risk acute lymphoblastic leukemia.,191-2,"['Kersey, J', 'Weisdorf, D', 'Uckun, F', 'Vallera, D', 'Jansen, B', 'Nesbit, M', 'Haake, R', 'Ramsay, N']","['Kersey J', 'Weisdorf D', 'Uckun F', 'Vallera D', 'Jansen B', 'Nesbit M', 'Haake R', 'Ramsay N']",['eng'],"['Clinical Trial', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['0 (Immunotoxins)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Child', 'Child, Preschool', 'Cyclophosphamide', 'Humans', 'Immunotoxins/therapeutic use', 'Middle Aged', 'Minnesota', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*surgery', 'Prognosis', 'Recurrence', 'Transplantation, Autologous', 'Transplantation, Homologous', 'Whole-Body Irradiation']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:191-2.,,,"['Bone Marrow Transplantation Program, University of Minnesota, Minneapolis 55455.']",,,,,,,,,,,,,,,,,,,,,
1578929,NLM,MEDLINE,19920611,20151119,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Treatment of adult acute lymphoblastic leukaemia (ALL) over a 16 year period.,186-90,"['Bassan, R', 'Battista, R', 'Rohatiner, A Z', 'Love, S', 'Carter, M', 'Buelli, M', 'Viero, P', ""D'Emilio, A"", 'MacCallum, P', 'Amess, J']","['Bassan R', 'Battista R', 'Rohatiner AZ', 'Love S', 'Carter M', 'Buelli M', 'Viero P', ""D'Emilio A"", 'MacCallum P', 'Amess J', 'et al.']",['eng'],"['Clinical Trial', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)', '9PHQ9Y1OLM (Prednisolone)', 'EC 3.5.1.1 (Asparaginase)', 'OPAL protocol']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prednisolone/administration & dosage', 'Recurrence', 'Remission Induction', 'Survival Analysis', 'Vincristine/administration & dosage']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:186-90.,,"Between 1972 and 1988 269 newly diagnosed adolescents and adults (age range 14-78 years) with ALL were managed with three protocols of increasing intensity (OPAL, HEAV'D, OPAL-HDAraC). The complete remission (CR) rate in 212 patients treated with OPAL and HEAV'D was 151/212 (71%), the median CR duration was 1.9 years. With a median follow-up of 9 years, 49 patients remain free of disease. On multivariate analysis age, blast cell count, and immunophenotype were found to correlate significantly with CR rate, remission duration and survival. CR was achieved in 38/57 (67%) patients subsequently treated with OPAL-HDAraC; however, although remission duration was longer in 'high risk' patients (T, B and Null phenotype irrespective of blast cout, cALLA+ve with blast count greater than 10 x 10(9)/l) as compared to the results achieved in similar patients with OPAL/HEAV'D, overall, the results were no better than those achieved previously. Indeed, patients in the 'standard risk' category (cALLA+ve, blast count less than 10 x 10(9)/l) fared better previously. Subsequently, neither treatment according to prognostic variables, or the addition of different pairs of drugs in rotation, to HEAV'D, have improved outcome in 63 other patients. Currently, further intensification of the early treatment is being evaluated.","[""ICRF Department of Medical Oncology, St. Bartholomew's Hospital, London, UK.""]",,,,,,,,,,,,,,,,,,,,,
1578928,NLM,MEDLINE,19920611,20151119,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,GIMEMA ALL 0288: a multicentric study on adult acute lymphoblastic leukemia. Preliminary results.,182-5,"['Mandelli, F', 'Annino, L', 'Vegna, M L', 'Camera, A', 'Ciolli, S', 'Deplano, W', 'Fabiano, F', 'Ferrara, F', 'Ladogana, S', 'Muti, G']","['Mandelli F', 'Annino L', 'Vegna ML', 'Camera A', 'Ciolli S', 'Deplano W', 'Fabiano F', 'Ferrara F', 'Ladogana S', 'Muti G', 'et al.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Clinical Protocols', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Female', 'Humans', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prednisone/administration & dosage', 'Prognosis', 'Vincristine/administration & dosage']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:182-5.,,,,,,,,,,,,,,,,,,,,,,,,
1578927,NLM,MEDLINE,19920611,20151119,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Adult acute lymphocytic leukemia: the Eastern Cooperative Oncology Group experience.,178-81,"['Cassileth, P A', 'Andersen, J W', 'Bennett, J M', 'Hoagland, H C', 'Mazza, J J', ""O'Connell, M C"", 'Paietta, E', 'Wiernik, P']","['Cassileth PA', 'Andersen JW', 'Bennett JM', 'Hoagland HC', 'Mazza JJ', ""O'Connell MC"", 'Paietta E', 'Wiernik P']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'FTK8U1GZNX (Thioguanine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)', 'DATOP protocol', 'MACHO protocol']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Humans', 'Methotrexate/administration & dosage', 'Middle Aged', 'Pilot Projects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prednisone/administration & dosage', 'Remission Induction', 'Thioguanine/administration & dosage', 'Vincristine/administration & dosage']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:178-81.,,,,,,,,,,,,,,,,,,,,,,,,
1578926,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,The German multicentre trials for treatment of acute lymphoblastic leukemia in adults. The German Adult ALL Study Group.,175-7,"['Hoelzer, D', 'Thiel, E', 'Ludwig, W D', 'Loffler, H', 'Buchner, T', 'Freund, M', 'Heil, G', 'Hiddemann, W', 'Maschmeyer, G', 'Volkers, B']","['Hoelzer D', 'Thiel E', 'Ludwig WD', 'Loffler H', 'Buchner T', 'Freund M', 'Heil G', 'Hiddemann W', 'Maschmeyer G', 'Volkers B', 'et al.']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow Transplantation', 'Burkitt Lymphoma/drug therapy', 'Clinical Protocols', 'Germany', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/drug therapy', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prognosis', 'Remission Induction', 'Survival Rate']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:175-7.,,,,,,,,,,,,,,,,,,,,,,,,
1578925,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Cancer and Leukemia Group B (CALGB) studies in adult acute lymhocytic leukemia.,171-4,"['Schiffer, C A', 'Larson, R A', 'Bloomfield, C D']","['Schiffer CA', 'Larson RA', 'Bloomfield CD']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Leukemia,Leukemia,8704895,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Clinical Protocols', 'Clinical Trials as Topic', 'Forecasting', 'Humans', 'Immunophenotyping', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/genetics/pathology', 'Remission Induction']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:171-4.,,,"['University of Maryland Cancer Center, University of Maryland School of Medicine.']",['CA37207/CA/NCI NIH HHS/United States'],,,17,,,,,,,,,,,,,,,,,
1578924,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Therapy of bacterial infections in acute leukemia.,17-21,"['Bodey, G P']",['Bodey GP'],['eng'],"['Journal Article', 'Review']",England,Leukemia,Leukemia,8704895,['0 (Anti-Bacterial Agents)'],IM,"['Acute Disease', 'Anti-Bacterial Agents/*therapeutic use', 'Bacterial Infections/*drug therapy/etiology', 'Drug Resistance', 'Drug Therapy, Combination/therapeutic use', 'Fever of Unknown Origin/drug therapy', 'Humans', 'Leukemia/*complications', 'Neutropenia/complications']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:17-21.,,,"['University of Texas M. D. Anderson Cancer Center, Houston 77030.']",,,,20,,,,,,,,,,,,,,,,,
1578923,NLM,MEDLINE,19920611,20131121,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,An update of the results of intensive therapy in children with acute lymphoblastic leukemia.,167-70,"['Pavlovsky, S', 'Sackmann Muriel, F', 'Santarelli, M T', 'Svarch, E', 'Jimenez, E', 'Kohan, R', 'Rosso, A']","['Pavlovsky S', 'Sackmann Muriel F', 'Santarelli MT', 'Svarch E', 'Jimenez E', 'Kohan R', 'Rosso A']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Cause of Death', 'Child', 'Child, Preschool', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Administration Schedule', 'Humans', 'Infant', 'Infant, Newborn', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prednisone/administration & dosage', 'Prognosis', 'Remission Induction', 'Survival Analysis']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:167-70.,,"On January 1984 a protocol for newly diagnosed children with acute lymphoblastic leukemia started in a multiinstitutional setting in Argentina, Costa Rica and Cuba. The protocol was based on the BFM 76/79 study. It consisted in 8 drug 8 weeks induction-consolidation regimen with a delayed intensification regimen followed by maintenance with 6-mercaptopurine-methotrexate and pulses with vincristine-prednisone for 36 months. CNS prophylaxis with IT therapy, age based schedule was given. Only patients with greater than 50000 WBC counts received cranial irradiation. A total of 720 patients were registered up to June 1987, 703 of them were eligible. Six hundred an twenty six (89%) of the patients achieved complete remission, 7 partial remission, 8 failed to respond and 62 (9%) had drug or disease related death before completing induction therapy. At 72 months 50% remained in complete remission, 45% and 58% of all the patients remained disease-free and alive respectively. Sites of relapse were bone marrow 21%, CNS 10%, testis 2%, combined 4% and 8% died in complete remission. No difference in response was observed among the three prognostic groups, however the disease-free survival at 72 months was 52% for good prognosis compared to 42% for intermediate and poor prognosis (P = 0.0009). This results showed a marked improvement over previous studies of our group and, that, intensive and large clinical trials can be performed in Latinamerica.",,,,,,,,,,,,,,,,,,,,,,
1578922,NLM,MEDLINE,19920611,20171116,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,"Current results of studies of immunophenotype-, age- and leukocyte-based therapy for children with acute lymphoblastic leukemia. The Pediatric Oncology Group.",162-6,"['Crist, W', 'Shuster, J', 'Look, T', 'Borowitz, M', 'Behm, F', 'Bowman, P', 'Frankel, L', 'Pullen, J', 'Krance, R', 'Steuber, P']","['Crist W', 'Shuster J', 'Look T', 'Borowitz M', 'Behm F', 'Bowman P', 'Frankel L', 'Pullen J', 'Krance R', 'Steuber P', 'et al.']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Adolescent', 'Age Factors', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Asparaginase/administration & dosage', 'Burkitt Lymphoma/*drug therapy', 'Child', 'Child, Preschool', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Flow Cytometry', 'Humans', 'Hydrocortisone/administration & dosage', 'Immunophenotyping', 'Infant', 'Infant, Newborn', 'Leukemia-Lymphoma, Adult T-Cell/*drug therapy', 'Mercaptopurine/administration & dosage', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prednisone/administration & dosage', 'Prognosis', 'Remission Induction', 'Vincristine/administration & dosage']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:162-6.,,"From February 1986 to January 1991 the Pediatric Oncology Group (POG) treated 2404 children or adolescents with acute lymphoblastic leukemia (ALL) on immunophenotype (T-, B-, Pre-B, or Early pre-B-cell), age, and leukocyte count based treatment protocols (ALinC 14, T-cell 3, B-cell and infant leukemia studies). The immunophenotypic subgroups comprised 78.9% B-precursor cell, 15.1% T-cell, 2.0% B-cell, and 4% infant ALL. Patients with B-progenitor cell ALL were stratified by age and leukocyte count and randomized to receive induction therapy comprised of vincristine, prednisone, and asparaginase with triple intrathecal chemotherapy (methotrexate, hydrocortisone, cytarabine), followed by intensification with moderate-dose MTX (Regimen A), moderate-dose MTX plus asparaginase (Regimen B), moderate-dose MTX plus cytarabine given early (Regimen C), or moderate-dose MTX plus cytarabine given over the first 16 months of therapy (Regimen D). Continuation therapy comprised mercaptopurine and methotrexate with vincristine plus prednisone pulses. Central nervous system preventive treatment was continued for two years. Patients with T-cell or B-cell ALL or infants less than 1 yr old were treated on individual very intensive multiagent therapy protocols. The 4-year event-free survival for all patients was 66.4% +/- 2.4%; B-precursor ALL approximately 72%, T-ALL approximately 50%, B-ALL approximately 60%, and infants less than 1 yr old approximately 16.5%. We conclude that about two-thirds of newly diagnosed children with ALL can be cured with this approach which spares the majority of children exposure to alkylating agents, anthracyclines, epipodophylotoxins, and irradiation, diminishing the risks of serious acute and late effects.","['Pediatric Oncology Group, St. Louis, MO 63108.']","['CA 21765/CA/NCI NIH HHS/United States', 'CA 28841/CA/NCI NIH HHS/United States', 'CA 29281/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,,,,,,
1578921,NLM,MEDLINE,19920611,20161123,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,MRC UKALL X. The UK protocol for childhood ALL: 1985-1990. The Medical Research Council Working Party on Childhood Leukaemia.,157-61,"['Chessells, J M', 'Bailey, C C', 'Richards, S']","['Chessells JM', 'Bailey CC', 'Richards S']",['eng'],"['Clinical Trial', 'Journal Article', 'Randomized Controlled Trial']",England,Leukemia,Leukemia,8704895,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Brain Neoplasms/prevention & control', 'Child', 'Child, Preschool', 'Clinical Protocols', 'Combined Modality Therapy', 'Cranial Irradiation', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Methotrexate/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy', 'Recurrence', 'Remission Induction', 'United Kingdom']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:157-61.,,"MRC UKALL X, the successor of UKALL VIII ran from 1985 to 1990 and accrued 1614 patients aged 0-15 years. After standard induction all children except those with initial white cell count greater than 100 x 10(9)/1 were randomised to one of four regimens; +/- early intensification +/- late intensification. CNS protection for all comprised cranial irradiation and intrathecal methotrexate with continuing treatment for two years. At a median follow up of four years the overall event free survival for all children is 66% (SE 1.5). This is a significant improvement over the previous MRC UKALL VIII trial. Age, sex and leucocyte count were highly significant prognostic factors. Analysis of the results indicates that the regimen containing both intensifications is superior. The strategy of early and late intensification has been adopted in the successor protocol MRC UKALL XI in which patients are additionally randomised to receive high dose methotrexate.",,,,,,,,,,,,,,,,,,,,,,
1578920,NLM,MEDLINE,19920611,20130304,0887-6924 (Print) 0887-6924 (Linking),6 Suppl 2,,1992,Update of St Jude Study XI for childhood acute lymphoblastic leukemia.,153-6,"['Rivera, G K', 'Pui, C H', 'Hancock, M L', 'Mahmoud, H', 'Santana, V', 'Sandlund, J T', 'Hurwitz, C', 'Ribeiro, R', 'Furman, W', 'Crist, W M']","['Rivera GK', 'Pui CH', 'Hancock ML', 'Mahmoud H', 'Santana V', 'Sandlund JT', 'Hurwitz C', 'Ribeiro R', 'Furman W', 'Crist WM']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,,IM,"['Acute Disease', 'Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Humans', 'Infant', 'Leukemia, Myeloid/chemically induced', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Recurrence', 'Remission Induction']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",ppublish,Leukemia. 1992;6 Suppl 2:153-6.,,"We treated 358 children with non-B-cell acute lymphoblastic leukemia with intensive multiagent chemotherapy (St. Jude Study XI) in a risk-directed study which used very intensive induction and consolidation therapy followed by continuation treatment comprised of rotating drug pairs given for the entire duration of therapy (except for a third of lower-risk patients). CNS irradiation was reserved for a subset of patients at higher risk of treatment failure. All patients received triple intrathecal chemotherapy (hydrocortisone, ara-C, methotrexate) for prevention of CNS leukemia. At a median follow-up of almost 5 years (all patients are off therapy for 8 months or more), the estimated 5-year event-free survival rate is 72% +/- 4%. The isolated CNS relapse rate is 5% and there has been only a single testicular relapse. The high incidence of secondary acute myeloid leukemia which we previously associated with use of epipodophyllotoxins were highly associated with a single treatment regimen featuring 6 consecutive weeks of epipodophyllotoxin therapy. Study XI was significantly more effective than all previous St. Jude Total Therapy studies (especially for higher risk patients), could be delivered mostly in the outpatient setting, and, except for a single regimen, was largely free of serious side effects.","[""St. Jude Children's Research Hospital, Memphis, Tennessee.""]",,,,,,,,,,,,,,,,,,,,,
