PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7333870,NLM,MEDLINE,19820527,20190606,0018-0661 (Print) 0018-0661 (Linking),95,1,1981,"The interrelations of micronuclei, chromosomal instability, and mutational activity in acute non-lymphocytic leukemia--a hypothesis.",165-7,,"['Hogstedt, B', 'Mitelman, F']","['Hogstedt B', 'Mitelman F']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Hereditas,Hereditas,0374654,,IM,"['Acute Disease', 'Cell Nucleus/*ultrastructure', 'Chromosome Aberrations', 'Humans', 'Leukemia/*genetics', 'Mutation']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1111/j.1601-5223.1981.tb01336.x [doi]'],ppublish,Hereditas. 1981;95(1):165-7. doi: 10.1111/j.1601-5223.1981.tb01336.x.,,,,,,,,,
7333816,NLM,MEDLINE,19820512,20190920,0392-0461 (Print) 0392-0461 (Linking),2,2,1981 May,A longitudinal electroencephalographic study in acute leukaemia.,147-51,"A longitudinal electroencephalographic study of 100 patients suffering from acute leukaemia is reported. An high incidence of EEG abnormalities indicates the central nervous system involvement with no clinical manifestations. The patients have been divided in two groups: A) with normal EEG and B) with pathological (cerebro-meningeal localisation) but many causes (metabolic, toxic or microcirculatory disturbances) can produce the abnormalities. Moreover therapy may cause CNS disturbances with EEG evidence. The most damaging seems to be the simultaneous association of radiation therapy and methotrexate.","['Sideri, G', 'Bollea, A', 'Prencipe, M', 'Giona, F', 'Granati, L', 'Pazzaglini, A']","['Sideri G', 'Bollea A', 'Prencipe M', 'Giona F', 'Granati L', 'Pazzaglini A']",['eng'],['Journal Article'],Italy,Ital J Neurol Sci,Italian journal of neurological sciences,8006502,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/therapeutic use', 'Brain Neoplasms/*diagnosis', 'Child', 'Drug Therapy, Combination', 'Electroencephalography/*methods', 'Evoked Potentials/drug effects', 'Female', 'Humans', 'Leukemia/*diagnosis/drug therapy', 'Male', 'Meningeal Neoplasms/*diagnosis', 'Middle Aged']",1981/05/01 00:00,1981/05/01 00:01,['1981/05/01 00:00'],"['1981/05/01 00:00 [pubmed]', '1981/05/01 00:01 [medline]', '1981/05/01 00:00 [entrez]']",['10.1007/BF02335436 [doi]'],ppublish,Ital J Neurol Sci. 1981 May;2(2):147-51. doi: 10.1007/BF02335436.,,,,,,,,,
7333772,NLM,MEDLINE,19820512,20191031,0091-2174 (Print) 0091-2174 (Linking),11,4,1981-1982,Perceptions of ward atmosphere on an oncology unit.,331-40,"This study examined perceptions of ward atmosphere and ideal ward atmosphere by twenty patients, twenty-four staff, and fifteen family members on an oncology unit at a major cancer research institute. Specified preferences for an ideal ward atmosphere were assumed to reflect psychosocial needs of the three groups. Data were analyzed with multivariate statistics where it was found that perceptions of ward atmosphere differed for the three groups as did their perceptions of the amount of change needed to form an ideal ward atmosphere. This study was viewed as an initial and promising approach to assessing the compatibility of patient, family member, and staff needs along relationship, treatment program, and systems maintenance dimensions. It was believed that further studies of this type will increase the professional's understanding of the relationship between psychosocial needs and response to treatment.","['Alexy, W D']",['Alexy WD'],['eng'],['Journal Article'],United States,Int J Psychiatry Med,International journal of psychiatry in medicine,0365646,,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/psychology', 'Attitude of Health Personnel', 'Carcinoma/psychology', 'Female', 'Hodgkin Disease/psychology', 'Humans', 'Leukemia/psychology', 'Male', 'Neoplasms/*psychology', 'Psychological Tests', '*Social Perception', 'Terminal Care/*psychology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.2190/6rhh-7kg2-ll05-x752 [doi]'],ppublish,Int J Psychiatry Med. 1981-1982;11(4):331-40. doi: 10.2190/6rhh-7kg2-ll05-x752.,,,,,,,,,
7333720,NLM,MEDLINE,19820527,20190909,0192-0561 (Print) 0192-0561 (Linking),3,4,1981,Transplantation resistance of drug-treated allogeneic mice against murine lymphomas--II. Studies with various tumor-host combinations.,391-9,"Previous studies showed that treatment of mice with 5(3,3'-dimethyl-1-triazeno)-amidazole-4-carboxamide (DTIC) plus cyclophosphamide (Cy) produce profound depression of classical allograft responses and impairment of endogenous cell proliferation similar to that detectable in lethally-irradiated mice. However efficient localized graft resistance was found in the spleen of drug-treated hybrid or allogeneic mice challenged with lymphoma cells. The present report describes the genetic patterns of this type of natural resistance [hereafter called drug-resistant inhibition of tumors (DRIT) in various tumor-host combinations DRIT was evaluated measuring the extent of 125I-5-iodo-2'-deoxyuridine (125IUdR) uptake in the spleen and liver of leukemic hosts. The results of the experiments performed with two H-2d (i.e. L1210 and LSTRA), one H-2b (i.e. L5MF-22) and one H-2a (i.e. LAF-17) lymphomas inoculated into drug-treated recipients pointed out that: (a) tumor cell proliferation was markedly inhibited in the spleen and weakly or not impaired in the liver of D end Hh-1-incompatible euthymic or nude mice responder for the hh system; (b) no resistance was found in the spleen and liver of Hh-1-compatible B10.A (2R) mice against L5MF-22 lymphoma or of SJL recipients genetically non-responder for the Hh system, against LSTRA cells; (c) splenic resistance against L1210 leukemia was detectable in Hh-compatible B10.A or B10.A (5R) mice; (d) splenic and liver resistance was found in Hh-incompatible but genetically Hh non-responder SJL or C3H mice against L5MF-22 or LSTRA lymphomas, respectively. These results showed that the genetic patterns of the DRIT system parallels the Hh-type immunity in certain tumor-host combinations [(a) and (b)] but not in others [(a) and (d)], as previously detected in lethally-irradiated mice. It is concluded that genetically-controlled lymphoma graft resistance can be retained by mice treated with high doses of antitumor drugs, capable of abrogating classical T-dependent transplantation immunity.","['Bonmassar, A', 'Rivosecchi-Merletti, P', 'Barzi, A', 'Goldin, A', 'Bonmassar, E']","['Bonmassar A', 'Rivosecchi-Merletti P', 'Barzi A', 'Goldin A', 'Bonmassar E']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Int J Immunopharmacol,International journal of immunopharmacology,7904799,"['0 (H-2 Antigens)', '7GR28W0FJI (Dacarbazine)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Cyclophosphamide/pharmacology', 'Dacarbazine/pharmacology', 'Female', 'Graft Rejection/drug effects', 'H-2 Antigens', 'Lymphoma/*immunology', 'Male', 'Mice', 'Mice, Inbred Strains', 'Mice, Nude', 'Neoplasm Transplantation', 'Neoplasms, Experimental/immunology', '*Transplantation Immunology', 'Transplantation, Homologous']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']","['0192-0561(81)90035-7 [pii]', '10.1016/0192-0561(81)90035-7 [doi]']",ppublish,Int J Immunopharmacol. 1981;3(4):391-9. doi: 10.1016/0192-0561(81)90035-7.,,,,,,,,,
7333709,NLM,MEDLINE,19820512,20190708,0020-7136 (Print) 0020-7136 (Linking),28,6,1981 Dec,Chromosome rearrangements involved in the origin of trisomy 15 in spontaneous leukemia of AKR mice.,805-10,"Trisomy 15, known to be the predominant chromosome abnormality in leukemic cells of the AKR strain, develops even in animals of the subline AKR/Rb1Ald with two constitutive Robertsonian translocation chromosomes (6.15). Among 10 leukemic animals of this subline exhibiting chromosomal anomalies, 6 showed trisomy of the whole Robertsonian translocation chromosome with the expression of combined trisomy 6 and 15 as the most frequent abnormality. Besides this, rearrangements were observed in five animals, most of them resulting from centric fission of the Rb(6.15) translocation chromosome. Trisomy 15 with two Rb(6.15) and an extra acrocentric 15 was found in 44% of spleen cells in one animal, and a new Rb translocation of chromosomes 11 and 15 was seen in 50% of spleen and thymus cells of another animal. In both cases trisomy 15 without simultaneous trisomy 6 resulted. Thus, the triplication of a whole Rb(6.15) is frequent in leukemic AKR/Rb(6.15)1Ald, and ensuing double trisomy 6 + 15 is tolerated by the leukemic cell. But the development of trisomy 15 combined with centric fission of Rb(6.15) without simultaneous trisomy 6 is another principle realized in leukemogenesis.","['Herbst, E W', 'Gropp, A', 'Tietgen, C']","['Herbst EW', 'Gropp A', 'Tietgen C']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', 'Cell Line', 'Chromosome Aberrations', 'Chromosome Banding', 'Female', 'Leukemia, Experimental/*genetics', 'Male', 'Mice', 'Mice, Inbred AKR', 'Translocation, Genetic', '*Trisomy']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1002/ijc.2910280620 [doi]'],ppublish,Int J Cancer. 1981 Dec;28(6):805-10. doi: 10.1002/ijc.2910280620.,,,,,,,,,
7333707,NLM,MEDLINE,19820512,20190708,0020-7136 (Print) 0020-7136 (Linking),28,6,1981 Dec,The role of chromosome 15 in murine leukemogenesis. I. Contrasting behavior of the tumor vs. normal parent-derived chromosomes No. 15 in somatic hybrids of varying tumorigenicity.,785-98,"G-banding analysis was carried out on a series of hybrids derived from the fusion of a chromosome 15-trisomic murine T-cell leukemia of AKR origin and normal diploid fibroblasts or lymphocytes of the CBT6T6 strain. Due to the 14;15 translocation involved in the generation of the T6 marker, the chromosomes No. 15 and 14 derived from the normal and the tumor parent can be distinguished cytogenetically. Highly tumorigenic, in vitro maintained hybrids, and high-tumorigenic segregants of originally low-tumorigenic in vitro hybrids, selected by in vivo passage, showed a similar cytogenetic pattern. It was characterized by the amplification of the tumor-derived chromosomes No. 15 from the expected 3 to 5.5 +/- 0.2 copies and a concomitant decrease of the normal derived T(14;15)6 from 2 copies to 0.9 +/- 0.2. All other autosomes except No. 14 showed only minor random variations, around the expected number of 4 copies. The tumor-derived chromosome 14 was amplified from the expected 2 to 3 copies. The low-tumorigenic hybrids showed the opposite pattern with a decrease in the number of the tumor-derived 15 chromosome from 3 to 2.6 +/- 0.1 and the maintenance of the two normal parent derived T(14;15)6 chromosomes. These findings suggest the existence of a qualitative difference between the 15 chromosomes derived from the tumor vs. the normal parent, due to mutation or proviral DNA insertion in the tumor-derived homologue. Amplification of the change locus and a decrease in the dosage of its normal counterpart appear to favor tumorigenicity.","['Spira, J', 'Wiener, F', 'Babonits, M', 'Gamble, J', 'Miller, J', 'Klein, G']","['Spira J', 'Wiener F', 'Babonits M', 'Gamble J', 'Miller J', 'Klein G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Int J Cancer,International journal of cancer,0042124,,IM,"['Animals', '*Chromosomes', 'Fibroblasts', 'Hybrid Cells', 'Leukemia, Experimental/*genetics', 'Mice', 'Mice, Inbred AKR', 'Mice, Inbred C3H', 'Mice, Inbred CBA', 'Neoplasm Transplantation', 'Translocation, Genetic', 'Trisomy']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1002/ijc.2910280618 [doi]'],ppublish,Int J Cancer. 1981 Dec;28(6):785-98. doi: 10.1002/ijc.2910280618.,,,,['5 RO1 CA 14054-08/CA/NCI NIH HHS/United States'],,,,,
7333657,NLM,MEDLINE,19820521,20190830,0093-7711 (Print) 0093-7711 (Linking),14,3-4,1981,Variation of expression of histocompatibility antigens on tumor cells: absence of H-2Kk-gene products from a gross-virus-induced leukemia in BALB.K.,323-39,"The antigenic profile of the K-GV tumor of BALB.K origin, induced by Gross virus and maintained in vitro and in vivo, was investigated by serological and immunochemical methods and techniques of cell-mediated immunity. The H-2Kk-gene products were absent by several criteria: (1) monoclonal antibody and conventional alloantisera directed against eh H-2Kk antigenic specificities were nonreactive by direct testing and by absorptions. (2) H-2Kk products could not be precipitated from glycoprotein or protein extracts of the radiolabeled K-GV tumor. (3) Cytotoxic effectors against H-2Kk produced by sensitization in vitro and in vivo failed to kill K-GV target cells. (4) The tumor could neither stimulate BALB.B congenic mice to produce cytotoxic effectors nor specific cytotoxic antibody against H-2Kk-gene products. In contrast, the H-2Dk antigen was readily detectable by all these criteria. These findings therefore describe a tumor which has selectively lost the H-2K-gene products. The K-GV tumor was able to generate Gross-virus specific CTL, but had greatly reduced susceptibility to lysis by Gross-virus specific CTL generated by H-2K expressing AKR (H-2k) tumors. These findings have important implications for the associative recognition of tumor antigens and the immune surveillance of virally induced tumors.","['Schmidt, W', 'Leben, L', 'Atfield, G', 'Festenstein, H']","['Schmidt W', 'Leben L', 'Atfield G', 'Festenstein H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Immunogenetics,Immunogenetics,0420404,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (H-2 Antigens)']",IM,"['AKR murine leukemia virus', 'Animals', 'Antibodies, Monoclonal/immunology', 'Antigen-Antibody Reactions', 'Antigens, Neoplasm/*immunology', 'Electrophoresis, Polyacrylamide Gel', 'H-2 Antigens/*immunology', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred BALB C/*immunology', 'Mice, Inbred C3H/immunology', 'Mice, Inbred C57BL/immunology']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1007/BF00342201 [doi]'],ppublish,Immunogenetics. 1981;14(3-4):323-39. doi: 10.1007/BF00342201.,,,,,,,,,
7333481,NLM,MEDLINE,19820521,20091111,0071-9676 (Print) 0071-9676 (Linking),16,,1981,Epidemiologic characteristics of childhood cancer.,9-17,,"['Austin, D F', 'Nelson, V E', 'Johnson, L F']","['Austin DF', 'Nelson VE', 'Johnson LF']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Front Radiat Ther Oncol,Frontiers of radiation therapy and oncology,0125544,,IM,"['Adolescent', 'Age Factors', 'Brain Neoplasms/epidemiology/mortality', 'California', 'Child', 'Child, Preschool', 'Hodgkin Disease/epidemiology/mortality', 'Humans', 'Infant', 'Leukemia/*epidemiology/etiology/mortality']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Front Radiat Ther Oncol. 1981;16:9-17.,,,,['N01 CP-81018/CP/NCI NIH HHS/United States'],,,,,
7333479,NLM,MEDLINE,19820521,20191031,0071-9676 (Print) 0071-9676 (Linking),16,,1981,Delayed toxicities of chemotherapy on childhood tissues: 1981 update.,50-4,,"['Bleyer, W A']",['Bleyer WA'],['eng'],['Journal Article'],Switzerland,Front Radiat Ther Oncol,Frontiers of radiation therapy and oncology,0125544,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/*adverse effects', 'Brain Diseases/chemically induced', 'Chemical and Drug Induced Liver Injury', 'Child', 'Female', 'Follow-Up Studies', 'Heart Diseases/chemically induced', 'Humans', 'Infant, Newborn', 'Kidney Diseases/chemically induced', 'Leukemia/*drug therapy', 'Pregnancy', 'Time Factors']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1159/000403091 [doi]'],ppublish,Front Radiat Ther Oncol. 1981;16:50-4. doi: 10.1159/000403091.,,,,,,,,,
7333477,NLM,MEDLINE,19820521,20191031,0071-9676 (Print) 0071-9676 (Linking),16,,1981,Impact of cancer on the family.,167-76,,"['Spinetta, J J']",['Spinetta JJ'],['eng'],['Journal Article'],Switzerland,Front Radiat Ther Oncol,Frontiers of radiation therapy and oncology,0125544,,IM,"['Adaptation, Psychological', 'California/ethnology', 'Child', 'Communication', '*Family', 'Humans', 'Leukemia/mortality/psychology', 'Mexico', 'Neoplasms/mortality/*psychology', 'Parent-Child Relations', 'Quality of Life', 'Sibling Relations']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1159/000403105 [doi]'],ppublish,Front Radiat Ther Oncol. 1981;16:167-76. doi: 10.1159/000403105.,,,,,,,,,
7333476,NLM,MEDLINE,19820521,20191031,0071-9676 (Print) 0071-9676 (Linking),16,,1981,The ethical rights of the child patient.,156-66,"It is difficult, if not impossible, to adequately address the complex ethical dimensions of health care using the language of patients' rights. However, talk about rights has become such a popular way to express our ethical beliefs that it is important that we at least address questions like what are the ethical rights of cancer patients. A special problem arises when the patient involved is an infant or small child. Many adult members of our society are uncomfortable with the idea of children's rights. In fact, many analysts have argued that talk of such rights is nonsense. Within the context of the intimate, shared existence of the family, talk of children's rights may seem unnecessary or even inappropriate. The parent-child relationship has historically been defined ethically in terms of parental duties/obligations and children's needs. The author will argue that, regardless of how one resolves the debate about the rights of infants and children vis-a-vis their parents, it is essential in our present society that infants and children as patients in the health care context of in a variety of relationships outside the family be seen and responded to as right-bearing persons like ourselves. The author will argue that infants and small children in the health care context have the ""right to be treated as a person"" and sketch some of the consequences of granting this right to children undergoing treatment for malignant disease.","['Bartholome, W G']",['Bartholome WG'],['eng'],"['Case Reports', 'Journal Article']",Switzerland,Front Radiat Ther Oncol,Frontiers of radiation therapy and oncology,0125544,,IM,"['Child', 'Child, Preschool', 'Decision Making', 'Delivery of Health Care', '*Ethics, Medical', 'Human Rights', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*therapy', 'Parent-Child Relations', '*Patient Advocacy']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",['10.1159/000403104 [doi]'],ppublish,Front Radiat Ther Oncol. 1981;16:156-66. doi: 10.1159/000403104.,,,,,,,,,
7333252,NLM,MEDLINE,19820527,20181113,0091-6765 (Print) 0091-6765 (Linking),42,,1981 Dec,Statistical limitations in relation to sample size.,15-21,"The statistical difficulties of estimating cancer risks from low doses of a carcinogen are illustrated by examples from radiation carcinogenesis. Although more is known about dose-response relationships for ionizing radiation than for any other environmental carcinogen, estimates of cancer risk from low radiation doses have been extremely controversial; disagreements by factors of 100 or more are not uncommon. Direct estimation, based on data from populations exposed to low doses, is usually impracticable because of sample size requirements. Curve-fitting analyses, by which higher dose data determine lower dose risk estimates, require simple dose-response models if the estimates are to be statistically stable. The current level of knowledge about biological mechanisms of carcinogenesis dose not usually permit the confident assumption of a simple model, however; thus frequently the choice is between unstable risk estimates obtained using general models and statistically stable estimates whose stability depends on arbitrary model assumptions.","['Land, C E']",['Land CE'],['eng'],['Journal Article'],United States,Environ Health Perspect,Environmental health perspectives,0330411,,IM,"['Adult', 'Breast Neoplasms/etiology', '*Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Leukemia, Radiation-Induced/epidemiology', 'Neoplasms, Radiation-Induced/*epidemiology', 'Risk', 'Sampling Studies/methods', '*Statistics as Topic']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']",['10.1289/ehp.814215 [doi]'],ppublish,Environ Health Perspect. 1981 Dec;42:15-21. doi: 10.1289/ehp.814215.,PMC1568793,,,,,,,,
7332998,NLM,MEDLINE,19820527,20031114,0037-9247 (Print) 0037-9247 (Linking),118,2,1981,[Bovine leukosis].,9-11,,"['Kohn, A', 'Theves, G']","['Kohn A', 'Theves G']",['fre'],['Journal Article'],Luxembourg,Bull Soc Sci Med Grand Duche Luxemb,Bulletin de la Societe des sciences medicales du Grand-Duche de Luxembourg,7503402,,IM,"['Animals', 'Cattle', 'Cattle Diseases/etiology/*pathology', 'Female', 'Leukemia/pathology/*veterinary']",1981/01/01 00:00,1981/01/01 00:01,['1981/01/01 00:00'],"['1981/01/01 00:00 [pubmed]', '1981/01/01 00:01 [medline]', '1981/01/01 00:00 [entrez]']",,ppublish,Bull Soc Sci Med Grand Duche Luxemb. 1981;118(2):9-11.,,Leucose bovine.,,,,,,,
7332930,NLM,MEDLINE,19820512,20190705,0092-8674 (Print) 0092-8674 (Linking),26,2 Pt 2,1981 Oct,A washable macromolecule from Fv2rr marrow negatively regulates DNA synthesis in erythropoietic progenitor cells BFU-E.,233-44,"The proportion of BFU-E normally engaged in DNA synthesis is low in adult B6 (C57BL/6) mice of genotype Fv2rr (resistant to Friend erythroleukemia virus), as shown by 3H-thymidine or hydroxyurea ""cell suicide"" experiments in vivo and vitro. When bone marrow cells from these mice were subjected to a single wash in alpha medium, the proportion of BFU-E synthesizing DNA dramatically rose to levels as high as those normally seen among the BFU-E of congenic B6.S mice of genotype Fv2ss (sensitive to Friend erythroleukemia virus). Washing Fv2rr marrow cells did not significantly affect the proportion of CFU-S, CFU-nm (CFU-C) or CFU-E engaged in DNA synthesis. An activity responsible for keeping low the proportion of BFU-E in DNA synthesis was recovered in supernatants of FV2rr (but not FV2ss) bone marrow cells; its effect could be demonstrated on the BFU-E of either Fv2rr of Fv2ss washed bone marrow cells. This activity was nontoxic to the BFU-E, rapidly reversible and effective at, but not far below, the concentrations normally found in adult Fv2rr marrow. It was stable to 56 degrees C for 30 min, was nondialyzable, appeared in the void volume on G-25 Sephadex gel filtration and could be filtered through membranes that permitted passage of particles of less than 100,000 but not less than 50,000 daltons. Thus the Fv2 locus (or a locus closely linked to it) appears to act not in the BFU-E itself, but elsewhere, to control the amount or activity of a macromolecular negative regulator to which the BFU-E population responds by a reduction in the proportion synthesizing DNA. This study reveals the existence of a negative growth control mechanism for early erythropoietic progenitor cells, which is apparently physiological in nature and under strict genetic control.","['Axelrad, A A', 'Croizat, H', 'Eskinazi, D']","['Axelrad AA', 'Croizat H', 'Eskinazi D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell,Cell,0413066,"['0 (Macromolecular Substances)', '0 (Proteins)', '9007-49-2 (DNA)']",IM,"['Animals', 'Bone Marrow/*metabolism', 'Colony-Forming Units Assay', 'DNA/*biosynthesis', 'Friend murine leukemia virus', 'Hematopoietic Stem Cells/*cytology', '*Immunity, Innate', 'Leukemia, Experimental/*immunology', 'Macromolecular Substances', 'Mice', 'Mice, Inbred C57BL/genetics', 'Phenotype', 'Proteins/*metabolism']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']","['0092-8674(81)90306-8 [pii]', '10.1016/0092-8674(81)90306-8 [doi]']",ppublish,Cell. 1981 Oct;26(2 Pt 2):233-44. doi: 10.1016/0092-8674(81)90306-8.,,,,,,,,,
7332900,NLM,MEDLINE,19820527,20190816,0165-4608 (Print) 0165-4608 (Linking),4,4,1981 Dec,Cytogenetic studies of hairy cell leukemia.,325-30,"Mononuclear cells from peripheral blood and spleen of four patients with hairy cell leukemia (HCL) were cultured for 1 to 10 days with and without phytohemagglutinin (PHA) stimulation. Blastogenesis and mitoses were not observed in the unstimulated cells cultured for up to 3 days. Prolonging the culture time of unstimulated cells to 7 days produced blastogenic response; a further increase in culture time to 10 days showed transformed cells but not mitoses. Poor PHA response was noted in the cultures stimulated for 3 days, but cells cultured for 7 days and then stimulated with PHA entered mitosis. Surface immunoglobulins were exhibited in 78-94% of the cells in the blood and spleen of patients. In addition, these cells had tartarate-resistant acid phosphatase and were able to phagocytize latex particles by which properties they were identified as hairy cell leukemia cells. Chromosome abnormalities were present in a proportion of cells of each patient, none of them, however, were clonal.","['Lele, K P', 'Filippa, D A', 'Chaganti, R S']","['Lele KP', 'Filippa DA', 'Chaganti RS']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Phytohemagglutinins)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adult', 'Aged', 'Blood Cells/analysis', 'Cells, Cultured', 'Chromosome Aberrations', 'Female', 'Humans', 'Leukemia, Hairy Cell/*genetics/*immunology', 'Lymphocytes/metabolism', 'Male', 'Middle Aged', 'Phytohemagglutinins/pharmacology', 'Receptors, Antigen, B-Cell/analysis', 'Spleen/cytology', 'Time Factors']",1981/12/01 00:00,1981/12/01 00:01,['1981/12/01 00:00'],"['1981/12/01 00:00 [pubmed]', '1981/12/01 00:01 [medline]', '1981/12/01 00:00 [entrez]']","['0165-4608(81)90029-7 [pii]', '10.1016/0165-4608(81)90029-7 [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Dec;4(4):325-30. doi: 10.1016/0165-4608(81)90029-7.,,,,['CA-20194/CA/NCI NIH HHS/United States'],,,,,
7332898,NLM,MEDLINE,19820521,20041117,0165-4608 (Print) 0165-4608 (Linking),4,2,1981 Oct,"The Third International Workshop on Chromosomes in Leukemia. Lund, Sweden, July 21-25, 1980. Introduction.",96-8,,"['Mittelman, F']",['Mittelman F'],['eng'],['Journal Article'],United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Child', '*Chromosome Aberrations', 'Female', 'Humans', 'Leukemia/*genetics', 'Male']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']",,ppublish,Cancer Genet Cytogenet. 1981 Oct;4(2):96-8.,,,,,,,,,
7332897,NLM,MEDLINE,19820521,20190816,0165-4608 (Print) 0165-4608 (Linking),4,2,1981 Oct,Chromosomal alterations in the course of viral leukemogenesis in the rat.,143-55,,"['Vernole, P', 'Neri, G', 'Neri, M E', 'Serra, A']","['Vernole P', 'Neri G', 'Neri ME', 'Serra A']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['AKR murine leukemia virus', 'Aneuploidy', 'Animals', 'Cell Transformation, Neoplastic', 'Cell Transformation, Viral', '*Chromosome Aberrations', 'Female', 'Karyotyping', 'Lymphoma/*genetics/microbiology', 'Male', 'Rats', 'Thymus Gland/ultrastructure', 'Thymus Neoplasms/*genetics/microbiology']",1981/10/01 00:00,1981/10/01 00:01,['1981/10/01 00:00'],"['1981/10/01 00:00 [pubmed]', '1981/10/01 00:01 [medline]', '1981/10/01 00:00 [entrez]']","['0165-4608(81)90079-0 [pii]', '10.1016/0165-4608(81)90079-0 [doi]']",ppublish,Cancer Genet Cytogenet. 1981 Oct;4(2):143-55. doi: 10.1016/0165-4608(81)90079-0.,,,,,,,,,
