PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,CIN,GS,RF,PMC,TT,OID,OTO,OT,GN,SI,CON,EIN,EFR,RIN
1381569,NLM,MEDLINE,19921007,20151119,0385-0684 (Print) 0385-0684 (Linking),19,11,1992 Sep,[Treatment of elderly patients with hematological malignancies].,1801-7,"Treatment of elderly patients with hematological malignancies is difficult and a matter of controversy. Low responsiveness to therapy and high risk of mortality have been reported. The risk of chemotherapeutic death increases after age 60, and an age-adjusted chemotherapy schedule is needed. In stage III and IV Hodgkin's disease, for example, an age-adjusted COPP regimen may be adopted. Many non-Hodgkin lymphomas (NHL) of elderly patients have a slow course. However, for intermediate to high grade aggressive NHL, dose-reduced CHOP regimen, or non- or low-dose methotrexate-containing programs like BECALM, CNOP, and low dose-ACOP-B are acceptable. MACOP-B regimen with G-CSF may be used for patients under age 65. For the treatment of elderly patients with AML, it is reported that a reduced-dose DAT regimen is better than the standard dose for inducing CR in patients older than 60. In elderly AML patients over 60, the dose-adjustment reported by Mori, or low-dose cytarabine with G-CSF, is recommended. Information about elderly patients with acute lymphoblastic leukemia is scarce. Aggressive treatments like L-17 M regimen are not tolerable by elderly patients, and a combination chemotherapy consisting of vincristine and prednisolone is recommended.","['Saito, H', 'Mizoguchi, H']","['Saito H', 'Mizoguchi H']","[""Department of Hematology, Tokyo Womens' Medical College, Japan.""]",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,IM,"['Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bleomycin/administration & dosage', 'Combined Modality Therapy', 'Cyclophosphamide/administration & dosage', 'Doxorubicin/administration & dosage', 'Drug Administration Schedule', 'Etoposide/administration & dosage', 'Hodgkin Disease/*drug therapy/radiotherapy', 'Humans', 'Leucovorin/administration & dosage', 'Leukemia, Myeloid, Acute/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy/radiotherapy', 'Methotrexate/administration & dosage', 'Mitoxantrone/administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prednisolone/administration & dosage', 'Prednisone/administration & dosage', 'Vincristine/administration & dosage']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 1992 Sep;19(11):1801-7.,"['11056-06-7 (Bleomycin)', '5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'BZ114NVM5P (Mitoxantrone)', 'Q573I9DVLP (Leucovorin)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'BECALM protocol', 'MCOP protocol']",,,,,,,,,,,,,,
1381543,NLM,MEDLINE,19921006,20180216,0001-5792 (Print) 0001-5792 (Linking),87,4,1992,Enhanced effect of mutant granulocyte-colony-stimulating factor (KW-2228) on the growth of normal and leukemic hemopoietic progenitor cells in comparison with recombinant human granulocyte-colony-stimulating factor (G-CSF).,181-9,"We tested the in vitro effect of a novel granulocyte colony-stimulating factor (G-CSF) derivative (KW-2228) on the growth of G-CSF-dependent hemopoietic progenitor cells: granulocyte precursor cells (CFU-G), leukemic blast progenitors freshly obtained from 9 patients with acute myeloblastic leukemia (AML) and cells of a G-CSF-dependent human AML cell line (OCI/AML 1a). KW-2228 showed a higher stimulating effect than recombinant human G-CSF (rhCSF) on CFU-G; 3 out of 9 leukemic blast progenitors and OCI/AML 1a cells. The difference in biochemical stability between rhG-CSF and KW-2228 was considered to explain the superior colony-stimulating activity of KW-2228. The results show that KW-2228 will be a new granulopoietic factor.","['Suzuki, T', 'Tohda, S', 'Nagata, K', 'Imai, Y', 'Murohashi, I', 'Nara, N']","['Suzuki T', 'Tohda S', 'Nagata K', 'Imai Y', 'Murohashi I', 'Nara N']","['First Department of Internal Medicine, Tokyo Medical and Dental University, Japan.']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Acta Haematol,Acta haematologica,0141053,IM,"['Amino Acid Sequence', 'Bone Marrow Cells', 'Cell Line', 'Cells, Cultured/cytology/drug effects', 'Dose-Response Relationship, Drug', 'Granulocyte Colony-Stimulating Factor/*pharmacology', 'Hematopoietic Stem Cells/cytology/*drug effects', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Molecular Sequence Data', 'Recombinant Proteins/pharmacology', 'Stimulation, Chemical', 'Structure-Activity Relationship', 'Time Factors', 'Tumor Cells, Cultured/cytology/drug effects']",1992/01/01 00:00,1992/01/01 00:01,['1992/01/01 00:00'],"['1992/01/01 00:00 [pubmed]', '1992/01/01 00:01 [medline]', '1992/01/01 00:00 [entrez]']",['10.1159/000204756 [doi]'],ppublish,Acta Haematol. 1992;87(4):181-9. doi: 10.1159/000204756.,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', 'H8FKD75R37 (nartograstim)']",,,,,,,,,,,,,,
1381539,NLM,MEDLINE,19921008,20190714,0042-6822 (Print) 0042-6822 (Linking),190,2,1992 Oct,Biologically selected recombinants between feline leukemia virus (FeLV) subgroup A and an endogenous FeLV element.,849-55,"In efforts to elucidate the proximal leukemogens that might be produced during a feline leukemia virus (FeLV) infection of cats, homologous recombinations between molecularly cloned exogenous and endogenous FeLV proviruses of known sequences were examined in cell cultures in vitro. A plasmid containing an infectious member of the most commonly occurring FeLV subgroup (FeLV subgroup A or FeLV-A) was coexpressed with noninfectious constructs containing the envelope (env) gene of an endogenously inherited FeLV-like feline genomic element in transfected feline fibroblasts. The viruses generated were selected for their ability to propagate in human cells which are resistant to infection by the parental ecotropic FeLV-A or the noninfectious endogenous constructs. An analysis of the recombinants thus derived identified a limited number of sites in the env gene which were preferentially utilized in the generation of recombinant FeLVs under the selection conditions used. These sites were clustered in the surface glycoprotein (SU) moiety of the env gene, and it appeared that most, but not all, of the SU gene product of FeLV-A, beginning from the N-terminus, can be replaced by sequences from an endogenous element, still allowing the virus to be biologically viable. In fact, these substitutions in the env gene expanded infectivity of the parental FeLV-A from ecotropic to polytropic cell tropism. Additionally, substitutions in the SU region yielded many recombinants in which a primary neutralizing pentapeptide epitope of FeLV-A was altered because of its variance in the endogenous element. In several of the recombinants, this sequence was also found to be frequently mutated. Consistent with the changes identified in this antibody-binding domain, the recombinant viruses were only weakly inhibited by a monoclonal antibody directed against this epitope, while FeLV-A was highly sensitive to neutralization.","['Sheets, R L', 'Pandey, R', 'Klement, V', 'Grant, C K', 'Roy-Burman, P']","['Sheets RL', 'Pandey R', 'Klement V', 'Grant CK', 'Roy-Burman P']","['Department of Pathology, University of Southern California School of Medicine, Los Angeles 90033.']",['eng'],['CA51485/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Virology,Virology,0110674,IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Cloning, Molecular', 'DNA, Viral/*genetics', 'Enzyme-Linked Immunosorbent Assay', 'Epitopes/chemistry/genetics/immunology', 'Gene Products, env/chemistry/*genetics/immunology', 'Humans', 'Leukemia Virus, Feline/*genetics/pathogenicity', 'Molecular Sequence Data', 'Mutation/genetics', 'Plasmids/genetics', 'Polymerase Chain Reaction', 'Proviruses/*genetics', 'Recombination, Genetic/*genetics', 'Tumor Cells, Cultured']",1992/10/01 00:00,1992/10/01 00:01,['1992/10/01 00:00'],"['1992/10/01 00:00 [pubmed]', '1992/10/01 00:01 [medline]', '1992/10/01 00:00 [entrez]']",['10.1016/0042-6822(92)90924-e [doi]'],ppublish,Virology. 1992 Oct;190(2):849-55. doi: 10.1016/0042-6822(92)90924-e.,"['0 (DNA, Viral)', '0 (Epitopes)', '0 (Gene Products, env)']",,['env'],,,,,,,,,,,,
1381520,NLM,MEDLINE,19921006,20190818,0300-9475 (Print) 0300-9475 (Linking),36,3,1992 Sep,The effect of calcium mobilization on LPS-induced IL-1 beta production depends on the differentiation stage of the monocytes/macrophages.,507-11,"The role of elevated intracellular calcium concentration [Ca2+]i in the LPS-induced activation of interleukin-1 beta (IL-1 beta) production was examined in cells representing different stages of myeloid differentiation (undifferentiated monocytic leukaemia cell line THP-1, THP-1 cells induced to adherent, macrophage-like cells by phorbol ester treatment and normal peripheral blood-derived adherent monocytes). LPS did not elevate the [Ca2+]i as measured by the Fura-2 fluorescence technique. When these cells were stimulated with LPS in the presence of the calcium ionophore A23187, a clear increase in the IL-1 beta protein production was observed in the undifferentiated THP-1 cells but not in the more differentiated cell types. This ionophore-induced increase was also seen in the IL-1 beta mRNA levels. Thus these data confirm the previous findings demonstrating that elevation of [Ca2+]i is not involved in the LPS-dependent signal transmission. However, the LPS-induced signals are greatly potentiated by the elevated [Ca2+]i, but only in undifferentiated monocytic cells.","['Hurme, M', 'Viherluoto, J', 'Nordstrom, T']","['Hurme M', 'Viherluoto J', 'Nordstrom T']","['Department of Bacteriology, University of Helsinki, Finland.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Scand J Immunol,Scandinavian journal of immunology,0323767,IM,"['Calcimycin/pharmacology', 'Calcium/*physiology', 'Cell Differentiation/physiology', 'Humans', 'Interleukin-1/*biosynthesis', '*Lipopolysaccharides', 'Macrophage Activation', 'Macrophages/*metabolism', 'Monocytes/*metabolism', 'Nucleic Acid Hybridization', 'RNA/analysis/isolation & purification']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",['10.1111/j.1365-3083.1992.tb02966.x [doi]'],ppublish,Scand J Immunol. 1992 Sep;36(3):507-11. doi: 10.1111/j.1365-3083.1992.tb02966.x.,"['0 (Interleukin-1)', '0 (Lipopolysaccharides)', '37H9VM9WZL (Calcimycin)', '63231-63-0 (RNA)', 'SY7Q814VUP (Calcium)']",,,,,,,,,,,,,,
1381456,NLM,MEDLINE,19921002,20130304,0887-6924 (Print) 0887-6924 (Linking),6,9,1992 Sep,Retention of progenitor cell function in CD34+ cells purified using a novel O-sialoglycoprotease.,926-34,"We previously showed that the sialoglycoprotein, CD34, which is expressed on primitive human hematopoietic progenitor cells, is cleaved by a unique glycoprotease from Pasteurella haemolytica (P.h. glycoprotease). This proteolytic enzyme specifically cleaves glycoproteins rich in O-sialoglycans. Glycoproteins containing only N-linked glycans are not cleaved. Cleavage of the CD34 antigen results in the loss of epitopes detected by five of seven CD34-designated antibodies. In this study, we investigated the role of the P.h. glycoprotease in isolating CD34+ cells from unfractionated normal human bone marrow mononuclear cells (MNCs), and determined the effect of the glycoprotease on the proliferative capacity of the progenitor-enriched fraction. CD34+ cells were isolated from MNCs using immunomagnetic beads attached via a CD34 antibody whose epitope is susceptible to removal by the cleavage with the glycoprotease. Subsequent cleavage with P.h. glycoprotease for 30 min at 37 degrees C released the CD34+ cells from the beads with a recovery of up to 78%. Using a CD34 antibody whose epitope was not removed by the glycoprotease, up to 95% of the recovered cells expressed CD34. Compared to unseparated MNCs, the CD34+ cells showed the following enrichment of committed hematopoietic progenitors, as assayed in semi-solid media: CFU-GM, 45-fold; CFU-M, 13-fold; BFU-E, 26-fold and CFU-GEMM, 81-fold. Hematopoiesis was also studied in two-stage long-term bone marrow cultures in which the CD34+ cells were co-cultured over irradiated, allogeneic adherent layers. Output of CFU-GM over a seven week period from these cultures was similar to that from control cultures with autologous adherent-cell-depleted marrow MNCs. These data suggest that the loss of O-sialo-glycosylated peptide moieties from P.h. glycoprotease-released CD34+ cells neither affects the functional capacity of committed progenitors, nor impairs the proliferation of long-term culture-generating cells. The P.h. glycoprotease can be used to facilitate the isolation and recovery of functionally competent CD34+ cells at high yield and purity, without prior removal of other adherent cells. The ability to rapidly purify CD34+ cells using this non-cytotoxic enzyme has important implications for bone marrow transplantation as well as for gene transfer studies in vitro.","['Marsh, J C', 'Sutherland, D R', 'Davidson, J', 'Mellors, A', 'Keating, A']","['Marsh JC', 'Sutherland DR', 'Davidson J', 'Mellors A', 'Keating A']","['Oncology Research Laboratories, Toronto Hospital, Ontario, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Antigens, CD/*metabolism', 'Antigens, CD34', 'Bone Marrow Cells', 'Cell Division/drug effects', 'Cell Separation/methods', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Hematopoietic Stem Cells/cytology/drug effects/*immunology', 'Humans', 'Leukocytes, Mononuclear/cytology/drug effects/immunology', 'Metalloendopeptidases/*pharmacology']",1992/09/01 00:00,1992/09/01 00:01,['1992/09/01 00:00'],"['1992/09/01 00:00 [pubmed]', '1992/09/01 00:01 [medline]', '1992/09/01 00:00 [entrez]']",,ppublish,Leukemia. 1992 Sep;6(9):926-34.,"['0 (Antigens, CD)', '0 (Antigens, CD34)', 'EC 3.4.24.- (Metalloendopeptidases)', 'EC 3.4.24.57 (O-sialoglycoprotein endopeptidase)']",,,,,,,,,,,,,,
1381452,NLM,MEDLINE,19921006,20110727,0047-1852 (Print) 0047-1852 (Linking),50,6,1992 Jun,[High dose chemotherapy with autologous bone marrow transplantation and G-CSF for hematologic malignancies].,1414-8,High dose chemotherapy (HDCT) followed by autologous bone marrow transplantation (ABMT) is one of the cure-oriented therapies for hematologic malignancies. Colony stimulating factors (CSFs) are currently used to stimulate hematopoiesis in various cytopenic conditions including post BMT. Granulocyte CSF (G-CSF) significantly accelerates granulocyte recovery after ABMT. Earlier recovery of neutrophils is associated with lower incidence of severe infections and shorter duration of reverse barrier nursing and hospitalization. Widespread use of G-CSF in ABMT may contribute to managing this treatment safely in multi-centers. Further prospective clinical study to define the optimal application and timing of HDCT with ABMT in hematologic malignancies is required.,"['Takeyama, K', 'Tobinai, K', 'Shimoyama, M']","['Takeyama K', 'Tobinai K', 'Shimoyama M']",,['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Acute Disease', 'Antineoplastic Agents/*administration & dosage', '*Bone Marrow Transplantation', 'Combined Modality Therapy', 'Granulocyte Colony-Stimulating Factor/*administration & dosage', 'Humans', 'Leukemia/*therapy', 'Lymphoma/*therapy', 'Transplantation, Autologous']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1992 Jun;50(6):1414-8.,"['0 (Antineoplastic Agents)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",,,,,,,,,,,,,,
1381451,NLM,MEDLINE,19921006,20141120,0047-1852 (Print) 0047-1852 (Linking),50,6,1992 Jun,"[Differentiation therapy of hematologic malignancies: principles, current status and perspectives].",1407-13,"There is increasing evidence that various tumor cells can be induced by differentiation inducers including biological response modifiers, synthetic chemicals and conventional anticancer drugs to differentiate terminally both in vitro and in vivo into cells with normal characteristics. The differentiated cells lose their abilities for proliferation and transplantation in animals. Furthermore, survival times of the animals inoculated with various tumors were found to prolong by administration with the differentiation inducers. These basic findings suggest that induction of terminal tumor cell differentiation is another strategy for cancer therapy: differentiation therapy of cancer. Principles, current status and perspectives of the differentiation therapy of leukemia are reviewed in this article.","['Hozumi, M']",['Hozumi M'],['Saitama Cancer Center Research Institute.'],['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Animals', 'Benzoquinones', 'Cell Differentiation/drug effects', 'Cytokines/pharmacology/therapeutic use', 'Hemin/pharmacology/therapeutic use', 'Humans', 'Interferons/pharmacology/therapeutic use', 'Lactams, Macrocyclic', 'Leukemia/pathology/*therapy', 'Prednisolone/pharmacology/therapeutic use', 'Quinones/pharmacology/therapeutic use', 'Retinoids/pharmacology/therapeutic use', 'Rifabutin/analogs & derivatives']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1992 Jun;50(6):1407-13.,"['0 (Benzoquinones)', '0 (Cytokines)', '0 (Lactams, Macrocyclic)', '0 (Quinones)', '0 (Retinoids)', '1W306TDA6S (Rifabutin)', '70563-58-5 (herbimycin)', '743LRP9S7N (Hemin)', '9008-11-1 (Interferons)', '9PHQ9Y1OLM (Prednisolone)']",,,,,,,,,,,,,,
1381449,NLM,MEDLINE,19921006,20110727,0047-1852 (Print) 0047-1852 (Linking),50,6,1992 Jun,[Recent advances in the chemotherapy of leukemias].,1386-92,"Most recent progress in the treatment of leukemia and choice of therapies for obtaining ""cure"" from leukemia are discussed. Chemotherapy can now provide about 40% long term survival in acute myeloblastic leukemia (AML) and about 20% disease-free survival in acute lymphoblastic leukemia (ALL) of adults. Bone marrow transplantation (BMT) should be applied for the patients at risk in those leukemias (Cytogenetic abnormalities for AML and prognostic factors in ALL). In CML patients, BMT offers the only cure. Update result of interferon (IFN) therapy for CML is still a matter of controversy. Ex vivo treatment of autologous cells with IFN or drugs may be beneficial for CML patients without HLA identical donor.","['Tanimoto, M', 'Saito, H']","['Tanimoto M', 'Saito H']","['First Department of Internal Medicine, Nagoya University School of Medicine.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Humans', 'Interferons/therapeutic use', 'Leukemia/*drug therapy/therapy', 'Prognosis']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1992 Jun;50(6):1386-92.,['9008-11-1 (Interferons)'],,,,,,,,,,,,,,
1381448,NLM,MEDLINE,19921006,20110727,0047-1852 (Print) 0047-1852 (Linking),50,6,1992 Jun,[Detection of minimal residual disease using reverse transcriptase polymerase chain reaction technique].,1380-5,"Polymerase chain reaction (PCR) is a highly sensitive technique to detect minimal residual disease (MRD) of hematological malignancy by amplifying tumor specific nucleotide sequences. When breakpoint is located over large lesions of genomic DNA, like t(9;22) leukemia, PCR amplifying cDNA of chimeric mRNA, called reverse transcriptase PCR (RT-PCR), can be utilized. We applied this method for the detection of MRD in patients with t(1; 19) acute lymphoblastic leukemia. RT-PCR detection of MRD in patients with leukemia might be useful for estimating of the depth of remission, for disclosing preclinical relapse, and for evaluating the efficacy of in vitro purging in autologous bone marrow transplantation.","['Numata, S', 'Kato, K', 'Horibe, K']","['Numata S', 'Kato K', 'Horibe K']","['Department of Pediatrics, Nagoya University School of Medicine.']",['jpn'],,"['English Abstract', 'Journal Article']",Japan,Nihon Rinsho,Nihon rinsho. Japanese journal of clinical medicine,0420546,IM,"['DNA, Neoplasm/*analysis', 'Humans', 'Polymerase Chain Reaction/*methods', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis', 'RNA, Messenger', 'RNA-Directed DNA Polymerase', 'Translocation, Genetic']",1992/06/01 00:00,1992/06/01 00:01,['1992/06/01 00:00'],"['1992/06/01 00:00 [pubmed]', '1992/06/01 00:01 [medline]', '1992/06/01 00:00 [entrez]']",,ppublish,Nihon Rinsho. 1992 Jun;50(6):1380-5.,"['0 (DNA, Neoplasm)', '0 (RNA, Messenger)', 'EC 2.7.7.49 (RNA-Directed DNA Polymerase)']",,,,,,,,,,,,,,
1381393,NLM,MEDLINE,19921007,20210103,0022-1767 (Print) 0022-1767 (Linking),149,6,1992 Sep 15,Complex of soluble human IL-6-receptor/IL-6 up-regulates expression of acute-phase proteins.,2021-7,"IL-6 is a major regulator of acute phase protein synthesis in the liver. It exerts its action via a plasma membrane receptor consisting of two subunits, a ligand binding 80-kDa glycoprotein and a 130-kDa glycoprotein involved in signal transduction. We genetically generated a soluble form of the 80-kDa subunit of the human IL-6R (shIL-6R) in mouse fibroblasts (NIH/3T3 cells). The shIL-6R added to human hepatoma cells (HepG2) amplified the induction of alpha 1-antichymotrypsin and haptoglobin by IL-6 at the mRNA and protein level. Moreover, a model for a liver permanently exposed to high IL-6 concentrations has been developed; HepG2 cells were stably transfected with human IL-6-cDNA; 10(6) of the transfected cells (HepG2-IL-6) synthesized and secreted 2 micrograms of IL-6 within 24 h. Incubation of these cells with endogenous or exogenous IL-6 did not result in acute-phase protein induction. However, these IL-6-desensitized cells responded to other cytokines such as leukemia inhibitory factor, transforming growth factor beta 1, and IFN-gamma, known to modulate acute phase protein synthesis in the liver. Incubation of HepG2-IL-6 cells with shIL-6R reconstituted their responsiveness to IL-6 in a dose- and time-dependent manner. The possible biologic role that might be played by the shIL-6R in disease is discussed.","['Mackiewicz, A', 'Schooltink, H', 'Heinrich, P C', 'Rose-John, S']","['Mackiewicz A', 'Schooltink H', 'Heinrich PC', 'Rose-John S']","['Department of Cancer Immunology, Academy of Medicine at Great Poland Cancer Center, Poznan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Acute-Phase Proteins/*metabolism', 'Gene Expression', 'Haptoglobins/metabolism', 'Humans', 'In Vitro Techniques', 'Interleukin-6/*physiology', 'Liver/*metabolism', 'RNA, Messenger/genetics', 'Receptors, Immunologic/chemistry/*physiology', 'Receptors, Interleukin-6', 'Recombinant Proteins/metabolism', 'Solubility', 'Transfection', 'Tumor Cells, Cultured', 'Up-Regulation', 'alpha 1-Antichymotrypsin/metabolism']",1992/09/15 00:00,1992/09/15 00:01,['1992/09/15 00:00'],"['1992/09/15 00:00 [pubmed]', '1992/09/15 00:01 [medline]', '1992/09/15 00:00 [entrez]']",,ppublish,J Immunol. 1992 Sep 15;149(6):2021-7.,"['0 (Acute-Phase Proteins)', '0 (Haptoglobins)', '0 (Interleukin-6)', '0 (RNA, Messenger)', '0 (Receptors, Immunologic)', '0 (Receptors, Interleukin-6)', '0 (Recombinant Proteins)', '0 (alpha 1-Antichymotrypsin)']",,,,,,,,,,,,,,
1381360,NLM,MEDLINE,19921007,20211203,0021-9258 (Print) 0021-9258 (Linking),267,25,1992 Sep 5,"Steel factor stimulates the tyrosine phosphorylation of the proto-oncogene product, p95vav, in human hemopoietic cells.",18021-5,"Steel factor (SF) (also called stem cell factor, mast cell growth factor, or c-kit ligand) is a recently cloned hemopoietic growth factor that is produced by bone marrow stromal cells, fibroblasts, and hepatocytes. In both mouse and man it acts synergistically with several colony stimulating factors, including interleukin-3 (IL-3) and granulocyte macrophage-colony stimulating factor (GM-CSF), to induce the proliferation and differentiation of primitive hemopoietic precursor cells. In order to study its mechanism of action and to explore the molecular basis for its synergistic activity we have examined the proteins that become tyrosine phosphorylated in response to SF, IL-3, and GM-CSF. We report herein that SF, but not IL-3 or GM-CSF, dramatically stimulates the tyrosine phosphorylation of the product of the recently discovered proto-oncogene, vav, in two SF-responsive human cell lines, M07E and TF-1. Although phosphorylation is very rapid, reaching maximal levels within 2 min at 37 degrees C, co-immunoprecipitation studies suggest that c-kit may either not associate directly with p95vav or bind to it with very low affinity. Nonetheless, our data suggest that c-kit may utilize p95vav to mediate downstream signaling in hemopoietic cells.","['Alai, M', 'Mui, A L', 'Cutler, R L', 'Bustelo, X R', 'Barbacid, M', 'Krystal, G']","['Alai M', 'Mui AL', 'Cutler RL', 'Bustelo XR', 'Barbacid M', 'Krystal G']","['Terry Fox Laboratory, British Columbia Cancer Research Centre, Vancouver, Canada.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Biol Chem,The Journal of biological chemistry,2985121R,IM,"['Animals', 'Antibodies, Monoclonal', 'Cell Division/*drug effects', 'Cell Line', 'Cytokines/*pharmacology', 'Hematopoiesis/drug effects', 'Hematopoietic Cell Growth Factors/immunology/*pharmacology', 'Humans', 'Leukemia, Megakaryoblastic, Acute', 'Leukemia, Myeloid, Acute', 'Oncogene Proteins/*metabolism', 'Phosphoproteins/isolation & purification', 'Phosphorylation', 'Phosphotyrosine', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins c-vav', 'Recombinant Proteins/pharmacology', 'Stem Cell Factor', 'Transfection', 'Tyrosine/*analogs & derivatives/analysis']",1992/09/05 00:00,1992/09/05 00:01,['1992/09/05 00:00'],"['1992/09/05 00:00 [pubmed]', '1992/09/05 00:01 [medline]', '1992/09/05 00:00 [entrez]']",['S0021-9258(19)37146-7 [pii]'],ppublish,J Biol Chem. 1992 Sep 5;267(25):18021-5.,"['0 (Antibodies, Monoclonal)', '0 (Cytokines)', '0 (Hematopoietic Cell Growth Factors)', '0 (MAS1 protein, human)', '0 (Oncogene Proteins)', '0 (Phosphoproteins)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins c-vav)', '0 (Recombinant Proteins)', '0 (Stem Cell Factor)', '0 (VAV1 protein, human)', '21820-51-9 (Phosphotyrosine)', '42HK56048U (Tyrosine)']",,,,,,,,,,,,,,
