PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,TT,OID,OTO,OT,GN
6589956,NLM,MEDLINE,19840827,20111117,0148-7299 (Print) 0148-7299 (Linking),18,2,1984 Jun,Cytogenetic study in a mentally retarded child with Bloom syndrome and acute lymphoblastic leukemia.,215-21,"Bloom syndrome (BS) was diagnosed in a 7-year-old boy during hospitalization for acute lymphoblastic leukemia (ALL). The patient had most of the signs of BS along with some atypical manifestations: absence of telangiectases, obesity, and moderate mental retardation. Results of the cytogenetic studies were fully consistent with the diagnosis of BS: the occurrence of quadriradial figures and a very high incidence of sister-chromatid exchanges (SCE). This child's ALL was of non-B, non-T type with the presence, at the time of diagnosis, of a marrow clone including two markers. A Yq - chromosome was detected in about 10% of PHA-stimulated lymphocytes but neither in bone marrow cells nor in skin fibroblasts. This case is the fifth instance of ALL out of 104 registered cases of BS.","['Werner-Favre, C', 'Wyss, M', 'Cabrol, C', 'Felix, F', 'Guenin, R', 'Laufer, D', 'Engel, E']","['Werner-Favre C', 'Wyss M', 'Cabrol C', 'Felix F', 'Guenin R', 'Laufer D', 'Engel E']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Med Genet,American journal of medical genetics,7708900,,IM,"['Bloom Syndrome/complications/*genetics', 'Child', 'Chromosome Aberrations', 'Humans', 'Intellectual Disability/complications/*genetics', 'Leukemia, Lymphoid/complications/*genetics', 'Male', 'Sister Chromatid Exchange', 'Y Chromosome']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",['10.1002/ajmg.1320180205 [doi]'],ppublish,Am J Med Genet. 1984 Jun;18(2):215-21. doi: 10.1002/ajmg.1320180205.,,,,,,,
6589955,NLM,MEDLINE,19840907,20190627,0002-9343 (Print) 0002-9343 (Linking),77,2,1984 Aug,Acute lymphoblastic leukemia manifested as aortic occlusion.,385-7,"A 36-year-old black man is described who presented with occlusion of the distal aorta and common iliac arteries by thrombus composed of fibrin and leukemic cells. On the basis of a review of the literature, this may be the first report of acute leukemia presenting in this manner.","['Brinson, R R', 'Garcia, G J']","['Brinson RR', 'Garcia GJ']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Med,The American journal of medicine,0267200,,IM,"['Adult', 'Aortic Diseases/*etiology/pathology', 'Arterial Occlusive Diseases/etiology/pathology', 'Humans', 'Iliac Artery', 'Leukemia, Lymphoid/*complications/diagnosis', 'Male', 'Thrombosis/etiology/pathology']",1984/08/01 00:00,1984/08/01 00:01,['1984/08/01 00:00'],"['1984/08/01 00:00 [pubmed]', '1984/08/01 00:01 [medline]', '1984/08/01 00:00 [entrez]']","['0002-9343(84)90727-7 [pii]', '10.1016/0002-9343(84)90727-7 [doi]']",ppublish,Am J Med. 1984 Aug;77(2):385-7. doi: 10.1016/0002-9343(84)90727-7.,,,,,,,
6589954,NLM,MEDLINE,19840829,20190511,0002-9173 (Print) 0002-9173 (Linking),82,2,1984 Aug,Leukemia with multiple phenotypic expressions.,232-5,"A patient is described who, during a three-year illness, exhibited multiple phenotypic expressions of leukemia. She was diagnosed initially as having acute lymphoblastic leukemia (ALL) followed by chronic myelogenous leukemia (CML) one and a half years later. Subsequent blast transformations were lymphoblastic, but preterminally, a myeloblastic transformation occurred. These later leukemias probably were not chemotherapy induced, because a review of her initial work-up revealed the presence of a smaller G group chromosome in 1 of 20 metaphases examined. Her clinical course also differs from the CML that presents in lymphoid blast crisis because the Philadelphia chromosome only was emerging at that point. This case illustrates the interrelationships of the various leukemias and supports the hypothesis that a totipotent stem cell may undergo leukemic transformation resulting in variable and simultaneous expressions.","['Kaplan, S S', 'Krause, J R', 'Srodes, C H']","['Kaplan SS', 'Krause JR', 'Srodes CH']",['eng'],"['Case Reports', 'Journal Article']",England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adult', 'Cell Transformation, Neoplastic/*pathology', 'Chromosomes, Human, 21-22 and Y', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Lymphoid/diagnosis/genetics/*pathology', 'Leukemia, Myeloid/diagnosis/genetics/*pathology', 'Phenotype']",1984/08/01 00:00,1984/08/01 00:01,['1984/08/01 00:00'],"['1984/08/01 00:00 [pubmed]', '1984/08/01 00:01 [medline]', '1984/08/01 00:00 [entrez]']",['10.1093/ajcp/82.2.232 [doi]'],ppublish,Am J Clin Pathol. 1984 Aug;82(2):232-5. doi: 10.1093/ajcp/82.2.232.,,,,,,,
6589953,NLM,MEDLINE,19840912,20171006,0386-300X (Print) 0386-300X (Linking),38,3,1984 Jun,An adult case of chronic myelogenous leukemia with myeloblastic involvement of the central nervous system.,269-74,"A 31-year-old female with chronic myelogenous leukemia, who developed myeloblastic involvement of the central nervous system during acute myeloblastic transformation of the disease, was treated with methotrexate intrathecally. The therapy produced prompt clinical response and complete reversal of abnormal cerebrospinal fluid findings. However, the patient expired 10 months following the acute blastic crisis.","['Watanabe, A', 'Hattori, S', 'Sato, Y', 'Nagashima, H', 'Kitajima, K']","['Watanabe A', 'Hattori S', 'Sato Y', 'Nagashima H', 'Kitajima K']",['eng'],"['Case Reports', 'Journal Article']",Japan,Acta Med Okayama,Acta medica Okayama,0417611,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Adult', 'Candidiasis/complications', 'Central Nervous System Diseases/etiology', 'Female', 'Humans', 'Injections, Spinal', 'Leukemia, Myeloid/*complications', 'Leukemia, Myeloid, Acute/*drug therapy/etiology', 'Meningeal Neoplasms/*drug therapy', 'Methotrexate/administration & dosage/therapeutic use']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",['10.18926/AMO/30350 [doi]'],ppublish,Acta Med Okayama. 1984 Jun;38(3):269-74. doi: 10.18926/AMO/30350.,,,,,,,
6589942,NLM,MEDLINE,19840911,20190821,0001-656X (Print) 0001-656X (Linking),73,4,1984 Jul,Severe infections in childhood leukemia. A follow-up study of 100 consecutive ALL patients.,515-22,"Severe infections during the course of childhood ALL were surveyed as a whole in 100 consecutive patients, followed up for 2-8.5 years from the ALL diagnosis. The most important findings were a total absence of disseminated candidiasis, a relative infrequency of gram-negative septicemia (8 episodes), and a predominance of gram-positive cocci (29 episodes) in the 48 verified septicemias. S. aureus was responsible for 50% of culture-positive septicemias. The gram-positive predominance depended probably on local factors, and reservation in using broad-spectrum antibiotics might have played a part. There were 9 cases of disseminated Varicella-zoster, cured successfully with antiviral agents. Pneumocystis carinii pneumonitis numbered 8 episodes, concentrated to the early remission period. One case of miliary tuberculosis was found. Risk factors regarding age of patient and phase or intensity of cytotoxic therapy are evaluated.","['Saarinen, U M']",['Saarinen UM'],['eng'],['Journal Article'],Sweden,Acta Paediatr Scand,Acta paediatrica Scandinavica,0000211,['0 (Immunosuppressive Agents)'],IM,"['Adolescent', 'Age Factors', 'Bacteria/isolation & purification', 'Child', 'Child, Preschool', 'Combined Modality Therapy/adverse effects', 'Follow-Up Studies', 'Humans', 'Immunosuppressive Agents/adverse effects', 'Infant', 'Leukemia, Lymphoid/*complications/drug therapy/immunology', 'Mycoses/etiology', 'Pulmonary Fibrosis/etiology', 'Risk', 'Sepsis/etiology/microbiology', 'Virus Diseases/etiology']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",['10.1111/j.1651-2227.1984.tb09963.x [doi]'],ppublish,Acta Paediatr Scand. 1984 Jul;73(4):515-22. doi: 10.1111/j.1651-2227.1984.tb09963.x.,,,,,,,
6589938,NLM,MEDLINE,19840907,20071115,0001-5814 (Print) 0001-5814 (Linking),14,3-4,1983 Jul-Dec,[DNA content of leukemia cells in the cerebrospinal fluid].,149-59,,"['Swencz-Szczepanik, K']",['Swencz-Szczepanik K'],['pol'],"['English Abstract', 'Journal Article']",Poland,Acta Haematol Pol,Acta haematologica Polonica,0262610,"['0 (DNA, Neoplasm)']",IM,"['Adolescent', 'Adult', 'DNA, Neoplasm/*blood', 'Humans', 'Leukemia, Lymphoid/blood/*cerebrospinal fluid', 'Leukemia, Myeloid, Acute/blood/*cerebrospinal fluid', 'Leukocytes/*analysis', 'Middle Aged']",1983/07/01 00:00,1983/07/01 00:01,['1983/07/01 00:00'],"['1983/07/01 00:00 [pubmed]', '1983/07/01 00:01 [medline]', '1983/07/01 00:00 [entrez]']",,ppublish,Acta Haematol Pol. 1983 Jul-Dec;14(3-4):149-59.,,,Badanie zawartosci DNA w komorkach bialaczkowych plynu mozgowo-rdzeniowego.,,,,
6589870,NLM,MEDLINE,19840911,20170214,0300-9858 (Print) 0300-9858 (Linking),21,4,1984 Jul,Monocytic leukemia in a horse.,394-8,"On clinical examination, a six-year-old Hassian gray gelding with a history of impaired performance, slight cough, colic, and edema of the ventral abdomen, prepuce and the legs had reduced skin turgor, pale mucous membranes, forced costoabdominal breathing, reduced venous return, enlarged lymph nodes, and splenomegaly. Hematologic findings revealed anemia, leukocytosis and a high percentage of monocytoid leukemic cells. Generalized lymphadenopathy, splenomegaly, ascites, hydrothorax, and a diffusely thickened gut wall were found at necropsy. Massive infiltration with monocytoid leukemic cells was detected in lymph nodes, spleen, bone marrow, liver, gut wall, kidneys, and choroid plexus. Incubation of living cells obtained from a leukocyte concentrate with latex particles revealed phagocytosis in the leukemic cells on light and electron microscopy. The leukemic cells also had a marked alpha-naphthyl-acetate and naphthol-AS-acetate esterase activity, but were only weakly positive to naphthol-AS-D-chloroacetate esterase. A very weak alkaline phosphatase activity only was demonstrated in a few leukemic cells. On scanning electron microscopy, the leukemic cells had prominent ruffles and ridge-like profiles. These features of the leukemic cells excluded lymphocytic and granulocytic leukemia, and monocytic leukemia was diagnosed.","['Burkhardt, E', 'von Saldern, F', 'Huskamp, B']","['Burkhardt E', 'von Saldern F', 'Huskamp B']",['eng'],"['Case Reports', 'Comparative Study', 'Journal Article']",United States,Vet Pathol,Veterinary pathology,0312020,"['EC 3.1.- (Naphthol AS D Esterase)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/blood', 'Animals', 'Horse Diseases/enzymology/*pathology', 'Horses', 'Leukemia, Myeloid/enzymology/*veterinary', 'Leukocytes/enzymology/ultrastructure', 'Male', 'Microscopy, Electron', 'Microscopy, Electron, Scanning', 'Naphthol AS D Esterase/blood']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",['10.1177/030098588402100405 [doi]'],ppublish,Vet Pathol. 1984 Jul;21(4):394-8. doi: 10.1177/030098588402100405.,,,,,,,
6589869,NLM,MEDLINE,19840918,20131121,0041-4301 (Print) 0041-4301 (Linking),25,4,1983 Oct-Dec,Changes in serum elements of childhood acute lymphoblastic leukemia before and during therapy.,233-43,,"['Osman, S', 'Gurgey, A', 'Zamani, V P', 'Altay, C']","['Osman S', 'Gurgey A', 'Zamani VP', 'Altay C']",['eng'],"['Comparative Study', 'Journal Article']",Turkey,Turk J Pediatr,The Turkish journal of pediatrics,0417505,"['0 (Electrolytes)', '0 (Trace Elements)', '268B43MJ25 (Uric Acid)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Electrolytes/*blood', 'Female', 'Humans', 'Leukemia, Lymphoid/*blood/therapy', 'Male', 'Time Factors', 'Trace Elements/*blood', 'Uric Acid/blood']",1983/10/01 00:00,1983/10/01 00:01,['1983/10/01 00:00'],"['1983/10/01 00:00 [pubmed]', '1983/10/01 00:01 [medline]', '1983/10/01 00:00 [entrez]']",,ppublish,Turk J Pediatr. 1983 Oct-Dec;25(4):233-43.,,,,,,,
6589792,NLM,MEDLINE,19840904,20191023,0740-7750 (Print) 0740-7750 (Linking),10,4,1984 Jul,Human globin gene expression in hybrid 2S MEL X human fibroblast cells.,399-407,"A somatic cell hybrid line, called M11-X, was developed in order to study the expression and regulation of the human beta-like globin genes in a mouse erythroid environment. M11-X cells were obtained by fusing the human fibroblast cell line GM3552 (which contains the translocation chromosome t(11;X) that carries the human beta-like globin genes) with hypoxanthine phosphoribosyltransferase (HPRT) -negative tetraploid (2S) mouse erythroleukemia (MEL) cells. After induction with 5 mM hexamethylene bisacetamide (HMBA), these cells contain approximately 300-600 copies per cell of correctly initiated, processed, and terminated human beta-globin mRNA; however, neither human epsilon- nor gamma-globin mRNAs were detected. Carboxymethylcellulose chromatography followed by SDS-polyacrylamide gel electrophoresis and Western blotting revealed that normal human beta-globin protein was also present. These results suggest that the human beta-globin gene, when present in mouse erythroid cells, can be transcribed and its mRNA translated into normal products, but at a much lower level than the mouse beta-globin genes. Analysis of the frequency of cytosine methylation near the human gamma-globin genes indicated that these genes are heavily methylated in M11-X cells. The inability to express the human gamma-globin genes of these cells might be accounted for, at least in part, by DNA methylation.","['Chiang, Y L', 'Ley, T J', 'Sanders-Haigh, L', 'Anderson, W F']","['Chiang YL', 'Ley TJ', 'Sanders-Haigh L', 'Anderson WF']",['eng'],['Journal Article'],United States,Somat Cell Mol Genet,Somatic cell and molecular genetics,8403568,"['0 (RNA, Messenger)', '9004-22-2 (Globins)']",IM,"['Animals', 'Cells, Cultured', 'Gene Expression Regulation', 'Globins/*genetics', 'Humans', 'Hybrid Cells/physiology', 'Leukemia, Erythroblastic, Acute/genetics', 'Methylation', 'Mice', 'RNA, Messenger/genetics', 'Transcription, Genetic']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",['10.1007/BF01535635 [doi]'],ppublish,Somat Cell Mol Genet. 1984 Jul;10(4):399-407. doi: 10.1007/BF01535635.,,,,,,,
6589786,NLM,MEDLINE,19840918,20190702,0038-4348 (Print) 0038-4348 (Linking),77,8,1984 Aug,Acute myelogenous leukemia in pregnancy.,1050-2,"The experience with acute myelogenous leukemia treated with newer chemotherapeutic agents during pregnancy is limited. We have reported the case of a mother treated during the 24th week of pregnancy, and her infant delivered in the 29th week. At 14 months the infant is of low height and weight, but has a normal head circumference and developmental parameters.","['Cantini, E', 'Yanes, B']","['Cantini E', 'Yanes B']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,South Med J,Southern medical journal,0404522,"['04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Cesarean Section', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Therapy, Combination', 'Female', 'Humans', 'Infant, Newborn', 'Leukemia, Myeloid, Acute/*drug therapy', 'Pregnancy', 'Pregnancy Complications, Neoplastic/*drug therapy', 'Recurrence']",1984/08/01 00:00,1984/08/01 00:01,['1984/08/01 00:00'],"['1984/08/01 00:00 [pubmed]', '1984/08/01 00:01 [medline]', '1984/08/01 00:00 [entrez]']",['10.1097/00007611-198408000-00032 [doi]'],ppublish,South Med J. 1984 Aug;77(8):1050-2. doi: 10.1097/00007611-198408000-00032.,,,,,,,
6589728,NLM,MEDLINE,19840907,20041117,0300-0729 (Print) 0300-0729 (Linking),22,2,1984 Jun,Granulocytic sarcoma of the maxillary sinus.,139-41,,"['Kristensen, S', 'Juul, A']","['Kristensen S', 'Juul A']",['eng'],"['Case Reports', 'Journal Article']",Netherlands,Rhinology,Rhinology,0347242,,IM,"['Child', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Maxillary Sinus Neoplasms/*pathology', 'Paranasal Sinus Neoplasms/*pathology']",1984/06/01 00:00,1984/06/01 00:01,['1984/06/01 00:00'],"['1984/06/01 00:00 [pubmed]', '1984/06/01 00:01 [medline]', '1984/06/01 00:00 [entrez]']",,ppublish,Rhinology. 1984 Jun;22(2):139-41.,,,,,,,
6589645,NLM,MEDLINE,19840831,20031114,0361-7742 (Print) 0361-7742 (Linking),148,,1984,Modification of erythropoiesis and hormone sensitivity by RNA tumor viruses.,141-52,,"['Hankins, W D', 'Kaminchik, J']","['Hankins WD', 'Kaminchik J']",['eng'],['Journal Article'],United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,"['0 (Hormones)', '11096-26-7 (Erythropoietin)']",IM,"['Animals', 'Bone Marrow Cells', 'Cell Differentiation', 'Cell Division', 'Cell Transformation, Viral', 'Erythrocytes/cytology', '*Erythropoiesis', 'Erythropoietin/physiology', 'Friend murine leukemia virus/physiology', 'Hematopoietic Stem Cells/cytology/microbiology', 'Hormones/physiology', 'Leukemia, Erythroblastic, Acute/pathology', 'Mice', 'Retroviridae/*physiology', 'Spleen/cytology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",,ppublish,Prog Clin Biol Res. 1984;148:141-52.,,,,,,,
6589632,NLM,MEDLINE,19840919,20190501,0027-8424 (Print) 0027-8424 (Linking),81,15,1984 Aug,Eukaryotic chromosome transfer: linkage of the murine major histocompatibility complex to an inserted dominant selectable marker.,4879-83,"We have developed an approach for genetic analysis of the murine H-2 complex that has broad general applicability to the study of eukaryotic genome organization. We have used a retroviral vector to introduce a selectable marker into the mouse genome close to the major histocompatibility complex (MHC). Chromosomal segments containing large portions of the MHC from these donor cells have been transferred both to hamster and monkey cell recipients. The procedure involved the following steps. First, a murine cell line was multiply infected with a defective recombinant murine leukemia virus that contains the neomycin-resistance gene (a gene that confers resistance to G418). In this way, the neomycin-resistance gene was introduced at multiple sites in the mouse genome. Second, metaphase chromosomes, prepared from this infected cell population, were transferred to hamster cell recipients. Third, two G418-resistant transferents were identified that expressed murine H-2 antigens on their cell surface. These transferents were shown to contain a large segment of the murine MHC (H-2K and I regions) by DNA hybridization. The neomycin-resistance gene and the mouse MHC genes must be physically linked in these cells since they could be cotransferred from the hamster cells to monkey cells. Fourth, the murine cell carrying the neomycin-resistance gene near the MHC was identified from the original donor cell population. This cell will serve as a useful source of chromosome fragments for analysis of larger portions of the MHC. This series of steps can serve as a paradigm for the first steps in a detailed genetic analysis of any specific region of a mammalian genome to which one or more genes have already been mapped.","['Weis, J H', 'Nelson, D L', 'Przyborski, M J', 'Chaplin, D D', 'Mulligan, R C', 'Housman, D E', 'Seidman, J G']","['Weis JH', 'Nelson DL', 'Przyborski MJ', 'Chaplin DD', 'Mulligan RC', 'Housman DE', 'Seidman JG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,['I16QD7X297 (Neomycin)'],IM,"['Animals', 'Cells, Cultured', '*Chromosome Mapping', 'Drug Resistance', 'Genetic Linkage', '*Major Histocompatibility Complex', 'Mice', 'Neomycin/pharmacology', 'Selection, Genetic']",1984/08/01 00:00,1984/08/01 00:01,['1984/08/01 00:00'],"['1984/08/01 00:00 [pubmed]', '1984/08/01 00:01 [medline]', '1984/08/01 00:00 [entrez]']",['10.1073/pnas.81.15.4879 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1984 Aug;81(15):4879-83. doi: 10.1073/pnas.81.15.4879.,"['AI-18436/AI/NIAID NIH HHS/United States', 'AI-19148/AI/NIAID NIH HHS/United States', 'R0I-GM27882/GM/NIGMS NIH HHS/United States']",PMC391595,,,,,
6589608,NLM,MEDLINE,19840907,20190501,0027-8424 (Print) 0027-8424 (Linking),81,14,1984 Jul,A human c-erbA oncogene homologue is closely proximal to the chromosome 17 breakpoint in acute promyelocytic leukemia.,4495-9,"A human cDNA library was screened for sequences homologous to the erbA gene of avian erythroblastosis virus (AEV). One such clone, cHerbA-1, was used to map the chromosomal location of highly homologous human sequences that were found to be present on chromosome 17 as judged by Southern blot screening of a panel of mouse-human hybrid cell lines segregating human chromosomes. cHerbA-1 was hybridized in situ to metaphase chromosomes from a normal male subject and from a female patient with an acute promyelocytic leukemia (APL) having the typical t(15;17) translocation. The results localized the cellular c-erbA sequences on chromosome 17 to the q21-q24 region of normal chromosomes and indicated that the c-erbA sequences remained on the 17q- chromosome in the APL cells, suggesting that they could be assigned to the 17(q21-q22) region. For additional data, we hybridized human neoplastic cells derived from a poorly differentiated acute leukemia carrying a t(17;21) translocation with thymidine kinase (TK)-deficient LMTK- mouse cells. A resulting hybrid, containing only the 21q+ chromosome, did not have human c-erbA sequences. Since the breakpoint on 17q in this translocation was similar to that in the APL t(15;17) translocation, this supported the assignment of c-erbA to the q21-q22 region of chromosome 17. The apparent close proximity of the c-erbA sequences to the chromosomal breakpoints in these two leukemias suggests a possible role for this oncogene homologue in the development of these neoplasms.","['Dayton, A I', 'Selden, J R', 'Laws, G', 'Dorney, D J', 'Finan, J', 'Tripputi, P', 'Emanuel, B S', 'Rovera, G', 'Nowell, P C', 'Croce, C M']","['Dayton AI', 'Selden JR', 'Laws G', 'Dorney DJ', 'Finan J', 'Tripputi P', 'Emanuel BS', 'Rovera G', 'Nowell PC', 'Croce CM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,['9007-49-2 (DNA)'],IM,"['Animals', 'Base Sequence', 'Chromosome Banding', '*Chromosomes, Human, 16-18', 'DNA/analysis', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Mice', 'Nucleic Acid Hybridization', '*Oncogenes', 'Translocation, Genetic']",1984/07/01 00:00,1984/07/01 00:01,['1984/07/01 00:00'],"['1984/07/01 00:00 [pubmed]', '1984/07/01 00:01 [medline]', '1984/07/01 00:00 [entrez]']",['10.1073/pnas.81.14.4495 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1984 Jul;81(14):4495-9. doi: 10.1073/pnas.81.14.4495.,"['CA16685/CA/NCI NIH HHS/United States', 'CA35150/CA/NCI NIH HHS/United States']",PMC345617,,,,,
6589588,NLM,MEDLINE,19840824,20080620,0032-3756 (Print) 0032-3756 (Linking),39,7,1984 Feb 13,[Duration of remission after termination of treatment of lymphoblastic leukemia in children].,205-8,,"['Nosek-Cenkowska, B', 'Armata, J']","['Nosek-Cenkowska B', 'Armata J']",['pol'],"['English Abstract', 'Journal Article']",Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Child', 'Child, Preschool', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Male', 'Prognosis', 'Time Factors']",1984/02/13 00:00,1984/02/13 00:01,['1984/02/13 00:00'],"['1984/02/13 00:00 [pubmed]', '1984/02/13 00:01 [medline]', '1984/02/13 00:00 [entrez]']",,ppublish,Pol Tyg Lek. 1984 Feb 13;39(7):205-8.,,,Ocena trwalosci remisji po zakonczeniu leczenia ostrej bialaczki limfoblastycznej u dzieci.,,,,
6589584,NLM,MEDLINE,19840827,20091021,0030-6002 (Print) 0030-6002 (Linking),125,29,1984 Jul 15,[Hypokalemia in myelocytic leukemia].,1763-5,,"['Hajdu, S', 'Tulassay, T']","['Hajdu S', 'Tulassay T']",['hun'],"['Case Reports', 'English Abstract', 'Journal Article']",Hungary,Orv Hetil,Orvosi hetilap,0376412,['EC 3.2.1.17 (Muramidase)'],IM,"['Female', 'Humans', 'Hypokalemia/enzymology/*etiology', 'Leukemia, Myeloid/*blood/enzymology', 'Middle Aged', 'Muramidase/blood']",1984/07/15 00:00,1984/07/15 00:01,['1984/07/15 00:00'],"['1984/07/15 00:00 [pubmed]', '1984/07/15 00:01 [medline]', '1984/07/15 00:00 [entrez]']",,ppublish,Orv Hetil. 1984 Jul 15;125(29):1763-5.,,,Kypokalaemia myelomonocytas leukaemiaban.,,,,
6589562,NLM,MEDLINE,19840829,20180216,0030-2414 (Print) 0030-2414 (Linking),41,4,1984,Variations in the susceptibility to lysis of NK target cells.,270-5,"Natural killer (NK) cell activity varied considerably from one subject to another and in the same subject tested on different occasions. In addition to the interindividual variations, considerable variation was also found in the susceptibility to lysis of cultured target cell lines. In this report it is shown that the susceptibility to lysis of NK target cells depends on the growth phase of these cells but is independent of the cell cycle. These results may be important for interpreting NK cell data, may have some implications for transplantation experiments in animals using cultured tumor cells and are in agreement with the data describing the sensitivity of tumor cells to radiation or chemotherapy.","['Porzsolt, F', 'Groger, G', 'Vogel, W', 'Heimpel, H']","['Porzsolt F', 'Groger G', 'Vogel W', 'Heimpel H']",['eng'],['Journal Article'],Switzerland,Oncology,Oncology,0135054,['X6Q56QN5QC (Hydroxyurea)'],IM,"['Adult', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Cell Survival', 'Humans', 'Hydroxyurea/pharmacology', 'Interphase/drug effects', 'Killer Cells, Natural/*immunology', 'Leukemia, Myeloid/*immunology/pathology', 'Lymphocytes/drug effects/*immunology', 'Monocytes/drug effects/immunology']",1984/01/01 00:00,1984/01/01 00:01,['1984/01/01 00:00'],"['1984/01/01 00:00 [pubmed]', '1984/01/01 00:01 [medline]', '1984/01/01 00:00 [entrez]']",['10.1159/000225836 [doi]'],ppublish,Oncology. 1984;41(4):270-5. doi: 10.1159/000225836.,,,,,,,
