PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CI,RF,EIN,TT,PMC,CIN,CON,DEP,SI,CN,RIN,MID,OID,GN,PS,FPS,OTO,OT,OAB,OABL
11681477,NLM,MEDLINE,20011207,20190717,0003-2700 (Print) 0003-2700 (Linking),73,20,2001 Oct 15,Conjugation of biomolecules with luminophore-doped silica nanoparticles for photostable biomarkers.,4988-93,"A new molecular conjugation method has been developed to label biomolecules with optically stable metalorganic luminophores, such as tris(2,2'-bipyridyl)dichlororuthenium(II) hexahydrate (Rubpy), which are otherwise not possible for direct linking with the biomolecules. Unique biochemical properties of the biomolecule can, thus, be associated with photostable luminophores. This opens a general way to conjugate desired biomolecules using a sensitive signal transduction method. It also promotes the application of excellent luminescent materials, especially those based on photostable metalorganic luminophores, in biochemical analysis and biomolecular interaction studies. The conjugation method is based on uniform luminophore-doped silica (LDS) nanoparticles (63 +/- 4 nm). These nanoparticles have been prepared using a water-in-oil (W/O) microemulsion method. The controlled hydrolysis of tetraethyl orthosilicate (TEOS) in W/O microemulsion leads to the formation of monodisperse LDS nanoparticles. The luminophores are doped inside the nanoparticles, and the particle's silica surfaces can be used to covalently bind with biomolecules. The luminophores are well-protected from the environmental oxygen when they are doped inside the silica network. As an example, we used an antibody for leukemia cell recognition. The antibody was first immobilized onto the luminophore-doped nanoparticle through silica chemistry and then was used for leukemia cell identification by an optical microscopy imaging technique. The leukemia cells were identified easily, clearly, and with high efficiency using these antibody-coated nanoparticles. The advantages of using small, uniform luminophore-doped nanoparticles are discussed.","['Santra, S', 'Zhang, P', 'Wang, K', 'Tapec, R', 'Tan, W']","['Santra S', 'Zhang P', 'Wang K', 'Tapec R', 'Tan W']","['Department of Chemistry and McKnight Brain Institute, The University of Florida, Gainesville 32611-7200, USA.']",['eng'],['NS39891-01/NS/NINDS NIH HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Anal Chem,Analytical chemistry,0370536,"['0 (Antibodies, Neoplasm)', '0 (Biomarkers)', '0 (Fluorescent Dyes)', '0 (Immunoconjugates)', '0 (Organometallic Compounds)', ""0 (tris(2,2'-bipyridyl)ruthenium(II))"", '7631-86-9 (Silicon Dioxide)']",IM,"['Antibodies, Neoplasm/chemistry', 'Biomarkers/analysis/*chemistry', 'Fluorescent Dyes/*chemistry', 'Humans', 'Immunoconjugates/chemistry', 'Leukemia/immunology', 'Luminescent Measurements', 'Organometallic Compounds/*chemistry', 'Particle Size', 'Photochemistry', 'Silicon Dioxide/*chemistry']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1021/ac010406+ [doi]'],ppublish,Anal Chem. 2001 Oct 15;73(20):4988-93. doi: 10.1021/ac010406+.,,,,,,,,,,,,,,,,,,,,
11681429,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Inappropriate reporting and interpretation of subgroups in the AML-BFM 93 study.,1803-4,,"['Wheatley, K', 'Hills, R K']","['Wheatley K', 'Hills RK']",,['eng'],,"['Letter', 'Comment']",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '80168379AG (Doxorubicin)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Antineoplastic Agents/therapeutic use', '*Bias', 'Clinical Trials as Topic', 'Data Interpretation, Statistical', 'Doxorubicin/therapeutic use', 'Humans', 'Idarubicin/therapeutic use', 'Leukemia, Myeloid/*drug therapy', 'Odds Ratio']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402274 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1803-4. doi: 10.1038/sj.leu.2402274.,,,,,,,['Leukemia. 2001 Mar;15(3):348-54. PMID: 11237056'],,,,,,,,,,,,,
11681428,NLM,MEDLINE,20011204,20191210,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Molecular relapse can be detected in blood in a sensitive and timely fashion in B-lineage acute lymphoblastic leukemia.,1801-2,,"['Brisco, M J', 'Sykes, P J', 'Hughes, E', 'Story, C J', 'Rice, M S', 'Schwarer, A P', 'Morley, A A']","['Brisco MJ', 'Sykes PJ', 'Hughes E', 'Story CJ', 'Rice MS', 'Schwarer AP', 'Morley AA']",,['eng'],,"['Evaluation Study', 'Letter']",England,Leukemia,Leukemia,8704895,,IM,"['Adolescent', 'Adult', 'Blood Cells/pathology', 'Burkitt Lymphoma/*diagnosis/genetics', 'Child', 'Gene Rearrangement, B-Lymphocyte, Heavy Chain', 'Gene Rearrangement, gamma-Chain T-Cell Antigen Receptor', 'Humans', 'Kinetics', 'Neoplasm, Residual', 'Polymerase Chain Reaction/*methods', 'Sensitivity and Specificity']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402268 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1801-2. doi: 10.1038/sj.leu.2402268.,,,,,,,,,,,,,,,,,,,,
11681427,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Marked bone marrow basophilia in a child with acute myeloid leukemia with a cryptic t(8;21)(q22;q22) chromosomal translocation.,1799-801,,"['Lorsbach, R B', 'McNall, R', 'Mathew, S']","['Lorsbach RB', 'McNall R', 'Mathew S']",,['eng'],['CA21765/CA/NCI NIH HHS/United States'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (AML1-ETO fusion protein, human)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (Transcription Factors)']",IM,"['Acute Disease', 'Basophils/*pathology', 'Bone Marrow Cells/pathology', 'Child, Preschool', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Core Binding Factor Alpha 2 Subunit', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics/*pathology', 'Oncogene Proteins, Fusion/metabolism', 'RUNX1 Translocation Partner 1 Protein', 'Transcription Factors/metabolism', '*Translocation, Genetic']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402263 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1799-801. doi: 10.1038/sj.leu.2402263.,,,,,,,,,,,,,,,,,,,,
11681426,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Detection of myeloperoxidase gene expression by in situ hybridization in a case of granulocytic sarcoma associated with AML-MO.,1797-9,,"['Miyazato, H', 'Sono, H', 'Naiki, Y', 'Miyatake, J', 'Nozaki, Y', 'Yamaguchi, T', 'Matsuda, M', 'Tatsumi, Y', 'Maeda, Y', 'Kanamaru, A']","['Miyazato H', 'Sono H', 'Naiki Y', 'Miyatake J', 'Nozaki Y', 'Yamaguchi T', 'Matsuda M', 'Tatsumi Y', 'Maeda Y', 'Kanamaru A']",,['eng'],,"['Case Reports', 'Letter']",England,Leukemia,Leukemia,8704895,"['0 (Biomarkers, Tumor)', '0 (RNA, Neoplasm)', 'EC 1.11.1.7 (Peroxidase)']",IM,"['Acute Disease', 'Biomarkers, Tumor/*biosynthesis/genetics/immunology', 'Diagnosis, Differential', 'Female', 'Humans', 'In Situ Hybridization', 'Leukemia, Myeloid/*diagnosis/enzymology/pathology', 'Lymph Nodes/pathology', 'Lymphoma, Non-Hodgkin/diagnosis', 'Middle Aged', 'Peroxidase/*biosynthesis/genetics/immunology', 'RNA, Neoplasm/biosynthesis', 'Transcription, Genetic']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402270 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1797-9. doi: 10.1038/sj.leu.2402270.,,,,,,,,,,,,,,,,,,,,
11681425,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Marked ploidy and BCR-ABL gene amplification in vivo in a patient treated with STI571.,1795-7,,"['Sirulink, A', 'Silver, R T', 'Najfeld, V']","['Sirulink A', 'Silver RT', 'Najfeld V']",,['eng'],,"['Case Reports', 'Letter']",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Antineoplastic Agents/*adverse effects', 'Benzamides', 'Enzyme Inhibitors/adverse effects', 'Female', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/*genetics', '*Gene Amplification', 'Humans', 'Imatinib Mesylate', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*genetics', 'Middle Aged', 'Philadelphia Chromosome', 'Piperazines/*adverse effects', '*Ploidies', 'Pyrimidines/*adverse effects']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402267 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1795-7. doi: 10.1038/sj.leu.2402267.,,,,,,,,,,,,,,,,,,,,
11681424,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Predicting the presence or absence of ringed sideroblasts in patients suspected of having a myelodysplastic syndrome and increased iron stores: a simple observation.,1793-5,,"['Dorion, R P', 'Alomari, M', 'Wood, G C']","['Dorion RP', 'Alomari M', 'Wood GC']",,['eng'],,['Letter'],England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Anemia, Sideroblastic/*pathology', 'Bone Marrow/pathology', 'Forecasting', 'Humans', 'Iron Overload/*pathology', 'Myelodysplastic Syndromes/*pathology']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402280 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1793-5. doi: 10.1038/sj.leu.2402280.,,,,,,,,,,,,,,,,,,,,
11681423,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Pitfalls in the determination of mutant alleles of the thiopurine methyltransferase gene.,1792-3,,"['Brouwer, C', 'Marinaki, A M', 'Lambooy, L H', 'Duley, J A', 'Shobowale-Bakre, M', 'De Abreu, R A']","['Brouwer C', 'Marinaki AM', 'Lambooy LH', 'Duley JA', 'Shobowale-Bakre M', 'De Abreu RA']",,['eng'],,['Letter'],England,Leukemia,Leukemia,8704895,"['0 (Antimetabolites, Antineoplastic)', 'E7WED276I5 (Mercaptopurine)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.67 (thiopurine methyltransferase)', 'EC 3.1.21.- (DNA Restriction Enzymes)']",IM,"['Alleles', 'Antimetabolites, Antineoplastic/adverse effects', 'Child', 'DNA Restriction Enzymes/chemistry', '*Diagnostic Errors', 'Gene Frequency', 'Genotype', 'Humans', 'Mercaptopurine/adverse effects', 'Methyltransferases/*genetics/metabolism', '*Mutation', 'Polymerase Chain Reaction/methods']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402285 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1792-3. doi: 10.1038/sj.leu.2402285.,,,,,,,,,,,,,,,,,,,,
11681422,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Blastic variant of mantle cell lymphoma: a rare but highly aggressive subtype.,1785-91,"The blastic variant (BV) form of mantle cell lymphoma (MCL) is considered to be a very aggressive subtype of non-Hodgkin's lymphoma (NHL). In order to determine its clinico-biological features and response to therapy we studied 33 patients (17%) out of 187 suffering from MCL who were diagnosed with a BV of MCL. Blastic variant was diagnosed according to histopathological patterns, immunophenotyping, and bcl1 gene rearrangement and/or cyclin D1 overexpression. Three patients initially diagnosed with large cell NHL were classified as BV. Patients received front-line therapy including CHOP-like regimen or CVP (n = 29), or chlorambucil (n = 4) and CHOP or ESAP as second-line therapy. High-dose intensification with stem cell transplantation (SCT) was performed in 11 cases (autoSCT, n = 8; alloSCT, n = 3). All but two patients were in complete remission (CR) at the time of transplant (CR1, n = 5; CR2, n = 4). Clinical and biological characteristics did not differ from those of the common form of MCL. The median age was 62 years (29-80), with a sex ratio (M/F) of 2.6:1. Of the 33 patients, 66% had extranodal site involvement, 85% had an Ann Arbor stage IV, and 82% had peripheral lymphadenopathy. Circulating lymphomatous cells were seen in 48% of cases. Twelve patients (36%) entered a CR1 with a median duration of 11 months. Fifteen patients (46%) failed to respond and rapidly died of progressive disease. Second-line therapy led to a 26% (6/23) CR2 rate. Nine patients relapsed after high-dose therapy. Twenty-two of the 33 patients (66%) died of refractory or progressive disease. Median overall survival (OS) time was 14.5 months for the 33 BV patients as compared to 53 months for the 154 patients with a common form of MCL, P <0.0001. In the univariate analysis, OS was influenced by age, extranodal site involvement, circulating lymphomatous cells, and international prognosis index (IPI). In the multivariate analysis, only IPI affected OS: patients with IPI > or =2 had 8 months median OS as compared to 36 months median OS for patients with IPI <2, P = 0.003. Blastic variant is one of the worst forms of NHL. An improved recognition of BV of MCL is required, particularly in high-grade CD5+ NHL using immunophenotyping and bcl1 molecular study. Standard therapy using anthracycline or even high-dose intensification produce poor results and an alternative treatment should be proposed to such patients.","['Bernard, M', 'Gressin, R', 'Lefrere, F', 'Drenou, B', 'Branger, B', 'Caulet-Maugendre, S', 'Tass, P', 'Brousse, N', 'Valensi, F', 'Milpied, N', 'Voilat, L', 'Sadoun, A', 'Ghandour, C', 'Hunault, M', 'Leloup, R', 'Mannone, L', 'Hermine, O', 'Lamy, T']","['Bernard M', 'Gressin R', 'Lefrere F', 'Drenou B', 'Branger B', 'Caulet-Maugendre S', 'Tass P', 'Brousse N', 'Valensi F', 'Milpied N', 'Voilat L', 'Sadoun A', 'Ghandour C', 'Hunault M', 'Leloup R', 'Mannone L', 'Hermine O', 'Lamy T']","['French GOELAMS Group, Grenoble.']",['eng'],,"['Comparative Study', 'Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Aged', 'Disease-Free Survival', 'Female', 'Gene Rearrangement', 'Genes, bcl-1', 'Humans', 'Immunophenotyping', 'Lymphoma, Mantle-Cell/*diagnosis/*mortality/therapy', 'Male', 'Middle Aged', 'Prognosis', 'Retrospective Studies', 'Survival Rate', 'Treatment Outcome']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402272 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1785-91. doi: 10.1038/sj.leu.2402272.,,,,,,['Leukemia. 2002 Sep;16(9):1888-9; author reply 1889. PMID: 12200719'],,,,,,,,,,,,,,
11681421,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,A gene therapy model for retrovirus-induced disease with a viral env gene: expression-dependent resistance in immunosuppressed hosts.,1779-84,"At the initial stage of retroviral infection, virion envelope glycoprotein (env product) binds to cell surface receptors. Cells infected with retrovirus or into which the env gene was introduced, become resistant to superinfection by other retroviruses with the same receptor specificity, a phenomenon known as receptor interference. We have demonstrated previously that the introduction of an env gene from a truncated endogenous ecotropic murine leukemia virus (MuLV), the Fv-4 resistance (Fv-4r) gene, into the bone marrow hematopoietic cells of Fv-4 sensitive (Fv-4s) mice protected mice from ecotropic retrovirus-induced disease. Using the gene transfer system under the control of the retroviral vector and bone marrow transplantation (BMT), here we could show that the expression of an introduced Fv-4r gene in hematopoietic cells continued for more than 1 year after BMT. To determine the inhibitory mechanism of Fv-4r env gene expression against FLV-infection in this model system, peripheral blood mononuclear cells (PBMCs), or spleen cells from chimeras with various degrees of env-expression, were mixed with green fluorescence protein (GFP)-conjugated Friend MuLV envglycoprotein (GFP-Fr-ENV). The amount of GFP-Fr-ENV bound to these cells inversely correlated with the expression intensity of the transduced env gene indicating the receptor interference effect. Next, to see whether transduction of the Fv-4r gene would protect an immunosuppressed host from FLV-induced leukemogenesis, we generated immunocompromised chimeras by transplanting env-transduced bone marrow cells into a thymectomized host. These chimeras also resisted FLV-induced leukemogenesis, indicating that receptor interference-based gene therapy could become a therapeutic basis for immunodeficiency virus-induced diseases in vivo.","['Kitagawa, M', 'Aizawa, S', 'Sado, T', 'Yamaguchi, S', 'Suzuki, T', 'Hirokawa, K', 'Ikeda, H']","['Kitagawa M', 'Aizawa S', 'Sado T', 'Yamaguchi S', 'Suzuki T', 'Hirokawa K', 'Ikeda H']","['Department of Pathology and Immunology, Aging and Developmental Sciences, Tokyo Medical and Dental University, Graduate School, Japan.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Fv4 protein, mouse)', '0 (Gene Products, env)', '0 (Membrane Proteins)']",IM,"['AIDS-Related Opportunistic Infections/*therapy', 'Animals', 'Bone Marrow Transplantation', 'Friend murine leukemia virus/physiology', 'Gene Products, env/metabolism', '*Genes, env', 'Genetic Therapy/*methods', 'Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/virology', 'Immunocompromised Host', 'Leukemia, Experimental/*therapy', 'Male', 'Membrane Proteins/*genetics/metabolism', 'Mice', 'Retroviridae Infections/*therapy', 'Thymectomy', 'Transduction, Genetic', 'Transplantation Chimera', 'Tumor Virus Infections/*therapy', '*Viral Interference']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402279 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1779-84. doi: 10.1038/sj.leu.2402279.,,,,,,,,,,,,,,,,,,,,
11681420,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,Somatic hypermutation targeting to intrinsic hotspots of immunoglobulin genes in follicular lymphoma and multiple myeloma.,1772-8,"In this study, we analyzed the targeting of the somatic hypermutation (SHM) mechanism at specific hotspot sequence motifs in the V(H) and Vkappa genes of 10 follicular lymphoma (FL) cases and the Vkappa and Vlambda genes of 11 kappa- and six lamda-light chain expressing multiple myeloma (MM) cases. These sequences were analyzed for targeting of specific motifs, ie certain highly mutable trinucleotides (3-NTPs), the tetranucleotide (4-NTP) RGYW and its complementary, WRCY (where R = purine, Y = pyrimidine and W = A or T). Comparisons were carried out between mutation frequencies in RGYW vs WRCY and the incidence of mutations in complementarity determining region (CDR)-1 vs CDR2 vs CDR3. Statistically significant differences were obtained when comparing: (1) the ratio of mutations in 4-NTPs (RGYW, WRCY, RGYW+WRCY)/mutations in the whole V sequence in MM-Vkappa vs MM-Vlamda; (2) the total number of mutated 4-NTPs in MM-Vkappa vs FL-Vkappa; (3) the number of mutated RGYW 4-NTPs in MM-Vkappa vs FL-Vkappa and FL-V(H) vs FL-Vkappa; (4) the number of mutated WRCY 4-NTPs in MM-Vkappa vs FL-Vkappa (P= 0.006) and FL-V(H) vs FL-Vkappa; (5) the targeting of RGYW vs WRCY in the CDRs of FL-V(H) genes. Similar results (regarding statistical significance) were obtained when undertaking intergroup comparisons for 3-NTPs. These findings conform well with relevant data derived from normal peripheral B cells. The differences observed in favor of 4-NTP (RGYW and WRCY) targeting in FL-V(H) vs FL-Vkappa and MM-Vkappa vs FL-Vkappa may implicate differences in the evolution of SHM coupled with selection in different stages of B cell ontogeny. Several explanations can be offered for the fact that hotspot sequences were not always targeted by SHM in FL and MM: (1) other unrecognized motifs may be targets of SHM; (2) 'inappropriately' introduced mutations were fixed and propagated by the neoplastic process; (3) certain FL and MM cases might have lost their ability to correct mutations introduced in classic hotspots due to deficient mismatch-repair (MMR) mechanisms; conversely, in other cases with intact MMR function, the hotspot to non-hotspot targeting of somatic hypermutation is balanced.","['Belessi, C', 'Stamatopoulos, K', 'Stavroyianni, N', 'Zoi, K', 'Papadaki, T', 'Kosmas, C']","['Belessi C', 'Stamatopoulos K', 'Stavroyianni N', 'Zoi K', 'Papadaki T', 'Kosmas C']","['Hematology Laboratory, General Hospital of Nikea, Piraeus, Greece.']",['eng'],,"['Comparative Study', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['0 (Complementarity Determining Regions)', '0 (DNA, Neoplasm)', '0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin Light Chains)']",IM,"['Base Sequence', 'Complementarity Determining Regions/*genetics', 'DNA Mutational Analysis', 'DNA, Neoplasm/analysis', '*Genes, Immunoglobulin', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Immunoglobulin Light Chains/genetics', 'Lymphoma, Follicular/*genetics', 'Molecular Sequence Data', 'Multiple Myeloma/*genetics', '*Mutation']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402258 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1772-8. doi: 10.1038/sj.leu.2402258.,,,,,,,,,"['GENBANK/AJ410886', 'GENBANK/AJ410887', 'GENBANK/AJ410888', 'GENBANK/AJ410889', 'GENBANK/AJ410890', 'GENBANK/AJ410891', 'GENBANK/AJ410892', 'GENBANK/AJ410893', 'GENBANK/AJ410894', 'GENBANK/AJ410895', 'GENBANK/AJ410896', 'GENBANK/AJ410897', 'GENBANK/AJ410898', 'GENBANK/AJ410899', 'GENBANK/AJ410900', 'GENBANK/AJ410901', 'GENBANK/AJ410902', 'GENBANK/AJ410903', 'GENBANK/AJ410904', 'GENBANK/AJ410905', 'GENBANK/AJ410906', 'GENBANK/AJ410907', 'GENBANK/AJ410908', 'GENBANK/AJ410909', 'GENBANK/AJ410910', 'GENBANK/AJ410911', 'GENBANK/AJ410912', 'GENBANK/AJ410913', 'GENBANK/AJ410914', 'GENBANK/AJ410915', 'GENBANK/AJ410916', 'GENBANK/AJ410917', 'GENBANK/AJ410918', 'GENBANK/AJ410919', 'GENBANK/AJ410920', 'GENBANK/AJ410921', 'GENBANK/AJ410922']",,,,,,,,,,,
11681419,NLM,MEDLINE,20011204,20190916,0887-6924 (Print) 0887-6924 (Linking),15,11,2001 Nov,MAGE-A genes are not expressed in human leukemias.,1769-71,"Immunotherapy is promising to improve the prognosis of human leukemias, at least as adjuvant treatment. Tumor-associated antigens such as antigens encoded by MAGE-A1, -A2, -A3, -A4, -A6 and -A12 genes might provide tools in this field. We demonstrated recently that the presentation peptides encoded by MAGE-A genes might make leukemic blasts suitable targets to cytolytic T lymphocytes. We reported previously negative data of MAGE-A1 gene expression in hematological malignancies, but in further studies positive results of MAGE-A gene expression were published in some subtypes of hematological malignancies such as T leukemia, myeloma and Hodgkin's disease. This led us to enlarge the screening of MAGE-A gene expression in human leukemias. In the RT-PCR screening of a large panel including 154 patients, only weak signal were detected in a few samples. We conclude that MAGE-A genes are not expressed in human leukemias.","['Chambost, H', 'van Baren, N', 'Brasseur, F', 'Olive, D']","['Chambost H', 'van Baren N', 'Brasseur F', 'Olive D']","['INSERM U119 Institut Paoli Calmettes, Marseille, France.']",['eng'],,['Journal Article'],England,Leukemia,Leukemia,8704895,"['0 (Antigens, Neoplasm)', '0 (MAGEA12 protein, human)', '0 (MAGEA4 protein, human)', '0 (Neoplasm Proteins)', '0 (RNA, Neoplasm)']",IM,"['Antigens, Neoplasm/*biosynthesis/genetics', 'Child', 'HL-60 Cells', 'Humans', 'Jurkat Cells', 'K562 Cells', 'Leukemia/*metabolism', 'Neoplasm Proteins/*biosynthesis/genetics', 'RNA, Neoplasm/biosynthesis', 'Transcription, Genetic', 'Tumor Cells, Cultured']",2001/10/30 10:00,2002/01/05 10:01,['2001/10/30 10:00'],"['2001/10/30 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/10/30 10:00 [entrez]']",['10.1038/sj.leu.2402278 [doi]'],ppublish,Leukemia. 2001 Nov;15(11):1769-71. doi: 10.1038/sj.leu.2402278.,,,,,,,,,,,,,,,,,,,,
