PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,RF,AB,AID,PMC,OID,OAB,OABL,OTO,OT,PS,FPS,GN
769107,NLM,MEDLINE,19760520,20191210,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Intensive supportive therapy in malignant hematologic diseases].,388-401,"['Torlontano, G']",['Torlontano G'],['ita'],"['Journal Article', 'Review']","La terapia intensiva di ""sostegno"" nelle emopatie maligne",Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Anti-Bacterial Agents/therapeutic use', 'Blood Transfusion', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Humans', 'Infections/drug therapy', 'Leukemia/complications/*therapy', 'Leukemia, Lymphoid/therapy', 'Leukemia, Monocytic, Acute/therapy', 'Leukemia, Myeloid, Acute/therapy', 'Thrombocytopenia/drug therapy', 'Transplantation, Homologous']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):388-401.,['0 (Anti-Bacterial Agents)'],42,,,,,,,,,,,
769106,NLM,MEDLINE,19760520,20131121,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Acute monocytic and myelomonocytic leukemias. Incidence and treatment with an epipodophyllotoxin derivative (VP 16.213)].,372-87,"['Bernasconi, C', 'Lazzarino, M', 'Morra, E']","['Bernasconi C', 'Lazzarino M', 'Morra E']",['ita'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Leucemie acute monocitiche e mielomonocitiche. Frequenza e terapia con un derivato della epipodofillotossina (VP 16.213),Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Adult', 'Age Factors', 'Drug Evaluation', 'Female', 'Humans', 'Italy', '*Leukemia, Monocytic, Acute/drug therapy/epidemiology', '*Leukemia, Myeloid/drug therapy', 'Male', 'Middle Aged', 'Podophyllotoxin/*therapeutic use']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):372-87.,['L36H50F353 (Podophyllotoxin)'],32,,,,,,,,,,,
769105,NLM,MEDLINE,19760520,20071115,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Current methods in the treatment of acute leukemias in pediatric age].,353-71,"['Zuelzer, W W', 'Ravindranath, Y', 'Mastrangelo, R']","['Zuelzer WW', 'Ravindranath Y', 'Mastrangelo R']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Moderni metodi di trattamento della leucemia acuta nell'eta pediatrica,Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Adolescent', 'Antineoplastic Agents/therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Remission, Spontaneous']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):353-71.,['0 (Antineoplastic Agents)'],42,,,,,,,,,,,
769104,NLM,MEDLINE,19760520,20071115,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Acute oligoblastic and bradyevolutive leukemias. Therapeutic profile].,345-52,"['Marmont, A', 'Fusco, F A']","['Marmont A', 'Fusco FA']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Leucemie acute oligoblastiche e bradievolutive. Profilo terapeutico,Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Adult', 'Age Factors', 'Aged', 'Antineoplastic Agents/therapeutic use', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Middle Aged']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):345-52.,['0 (Antineoplastic Agents)'],43,,,,,,,,,,,
769103,NLM,MEDLINE,19760520,20071115,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Problems and perspectives of chemotherapy in leukemias].,330-44,"['Cardinali, G']",['Cardinali G'],['ita'],"['English Abstract', 'Journal Article', 'Review']",Problemi e prospettive della chemioterapia delle leucemie,Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Antineoplastic Agents/*therapeutic use', 'Drug Therapy, Combination', 'Humans', 'Leukemia/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Monocytic, Acute/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Remission, Spontaneous']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):330-44.,['0 (Antineoplastic Agents)'],56,,,,,,,,,,,
769102,NLM,MEDLINE,19760520,20071115,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Recent data on the immunotherapy of leukemias].,314-29,"['Mathe, G', 'Schwarzenberg, L', 'Amiel, J L', 'Pouillart, P', 'Hayat, M', 'De Vassal, F', 'Rosenfeld, C', 'Jasmin, C']","['Mathe G', 'Schwarzenberg L', 'Amiel JL', 'Pouillart P', 'Hayat M', 'De Vassal F', 'Rosenfeld C', 'Jasmin C']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Recenti dati sulla immunoterapia delle leucemie,Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Animals', 'Antineoplastic Agents/therapeutic use', 'BCG Vaccine/therapeutic use', 'Child', 'Female', 'Humans', '*Immunotherapy', 'Leukemia/drug therapy/*therapy', 'Leukemia, Lymphoid/therapy', 'Male', 'Remission, Spontaneous']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):314-29.,"['0 (Antineoplastic Agents)', '0 (BCG Vaccine)']",27,,,,,,,,,,,
769101,NLM,MEDLINE,19760520,20071115,0034-1193 (Print) 0034-1193 (Linking),59,4,1975 Oct,[Role of immunotherapy in the treatment of leukemias].,301-13,"['Alexander, P']",['Alexander P'],['ita'],"['English Abstract', 'Journal Article', 'Review']",Il ruolo della immunoterapia nel trattamento delle leucemie,Italy,Recenti Prog Med,Recenti progressi in medicina,0401271,IM,"['Animals', 'BCG Vaccine/therapeutic use', 'Humans', '*Immunotherapy', 'Leukemia, Experimental/therapy', 'Leukemia, Myeloid, Acute/*therapy', 'Rats', 'Remission, Spontaneous']",1975/10/01 00:00,1975/10/01 00:01,['1975/10/01 00:00'],"['1975/10/01 00:00 [pubmed]', '1975/10/01 00:01 [medline]', '1975/10/01 00:00 [entrez]']",ppublish,Recenti Prog Med. 1975 Oct;59(4):301-13.,['0 (BCG Vaccine)'],19,,,,,,,,,,,
769099,NLM,MEDLINE,19760518,20091111,0034-7310 (Print) 0034-7310 (Linking),8,5-6,1975 Sep-Dec,Anticoagulants and cancer. A review.,489-96,"['Eichbaum, F W']",['Eichbaum FW'],['eng'],"['Journal Article', 'Review']",,Brazil,Rev Bras Pesqui Med Biol,Revista brasileira de pesquisas medicas e biologicas,0140423,IM,"['*Anticoagulants/adverse effects/pharmacology/therapeutic use', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/drug therapy', 'Neoplasm Metastasis/drug therapy', '*Neoplasms/*drug therapy']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,Rev Bras Pesqui Med Biol. 1975 Sep-Dec;8(5-6):489-96.,['0 (Anticoagulants)'],60,"Anticoagulants (heparin, warfarin, fibrinolysin and others) reduced incidence of cancer metastases by inhibiting the formation of a fibrin matrix indispensable for peripheral fixation of circulating cancer cells. Apart from their specific anticoagulant activity most of these substances interfere directly with cell growth and metabolism, stimulating also immunologic anticancer mechanism. In clinical cases, favourable results have been obtained in various forms of metastasizing cancer, and especially in Hodgkin's disease and leukemias, by combining anticoagulant and cytostatic treatment. The results observed in other forms of cancer, though promising, are still controversial. The potential dangers and side effects of anticoagulant treatment in cancer are discussed.",,,,,,,,,,
768942,NLM,MEDLINE,19760602,20080620,0032-3756 (Print) 0032-3756 (Linking),31,8,1976 Feb 23,[White blood cell migration test used in the differential diagnosis of leukemias].,309-12,"['Kiersnowska-Rogowska, B', 'Bogdanikowa, B', 'Bielawiec, M', 'Rogowski, F']","['Kiersnowska-Rogowska B', 'Bogdanikowa B', 'Bielawiec M', 'Rogowski F']",['pol'],"['English Abstract', 'Journal Article']",Zastosowanie testu migracji krwinek bialych w roznicowaniu bialaczek,Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,IM,"['Diagnosis, Differential', 'Humans', 'Leukemia/*diagnosis', 'Leukocytes', '*Macrophage Migration-Inhibitory Factors']",1976/02/23 00:00,1976/02/23 00:01,['1976/02/23 00:00'],"['1976/02/23 00:00 [pubmed]', '1976/02/23 00:01 [medline]', '1976/02/23 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1976 Feb 23;31(8):309-12.,['0 (Macrophage Migration-Inhibitory Factors)'],,,,,,,,,,,,
768812,NLM,MEDLINE,19760510,20071115,0026-4806 (Print) 0026-4806 (Linking),67,7,1976 Feb 11,[Clinico-statistical studies of 700 cases of lymphopathy of various types. Seasonal incidence of the clinical onset].,456-8,"['Bombara, R', 'Cassi, E', 'Pagliano, F M', 'Visca, U']","['Bombara R', 'Cassi E', 'Pagliano FM', 'Visca U']",['ita'],['Journal Article'],Indagine clinico-statistica su 700 casi di linfopatie di diversa natura. Incidenza stagionale dell'esordio clinico,Italy,Minerva Med,Minerva medica,0400732,IM,"['Hodgkin Disease/epidemiology', 'Humans', 'Italy', 'Leukemia, Lymphoid/epidemiology', 'Lymphatic Diseases/*epidemiology', 'Lymphoma/*epidemiology', 'Lymphoma, Large B-Cell, Diffuse/epidemiology', 'Sarcoidosis/epidemiology', 'Seasons', 'Tuberculosis, Lymph Node/epidemiology']",1976/02/11 00:00,1976/02/11 00:01,['1976/02/11 00:00'],"['1976/02/11 00:00 [pubmed]', '1976/02/11 00:01 [medline]', '1976/02/11 00:00 [entrez]']",ppublish,Minerva Med. 1976 Feb 11;67(7):456-8.,,,,,,,,,,,,,
768630,NLM,MEDLINE,19760525,20190711,0023-2173 (Print) 0023-2173 (Linking),54,5,1976 Mar 1,[Present state in synchronization therapy of malignant tumors and acute leukemias (author's transl)].,197-202,"['Sauer, H', 'Wilmanns, W']","['Sauer H', 'Wilmanns W']",['ger'],"['English Abstract', 'Journal Article', 'Review']",Derzeitiger Stand der Synchronisationstherapie von malignen Tumoren und akuten Leukamien,Germany,Klin Wochenschr,Klinische Wochenschrift,2985205R,IM,"['Cell Division/*drug effects', 'Cytological Techniques', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Humans', 'Leukemia/*drug therapy', 'Neoplasms/*drug therapy', 'Time Factors']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Klin Wochenschr. 1976 Mar 1;54(5):197-202. doi: 10.1007/BF01469125.,,33,"Chemotherapy of malignant tumors can be made more effective by synchronization of the cell cycle. Synchronization therapy consists of a synchronizing step (phase I), an interval and a cytocidal step (phase II). Some regimens till now approved in clinical treatment are presented. The results are found to be encouraging. In all schedules three effects work together namely synchronization recruitment, summation.",['10.1007/BF01469125 [doi]'],,,,,,,,,
768549,NLM,MEDLINE,19760520,20041117,0009-9252 (Print) 0009-9252 (Linking),21,1,1976 Jan,[Association of central nervous system diseases in acute leukemia in children - with special reference to the contribution of radiation therapy].,1-11,"['Ohkawa, T']",['Ohkawa T'],['jpn'],"['Journal Article', 'Review']",,Japan,Rinsho Hoshasen,Rinsho hoshasen. Clinical radiography,0413556,IM,"['Acute Disease', 'Central Nervous System Diseases/diagnosis/*etiology/pathology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/complications/*radiotherapy', 'Male']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Rinsho Hoshasen. 1976 Jan;21(1):1-11.,,61,,,,,,,,,,,
768506,NLM,MEDLINE,19760602,20190509,0027-8874 (Print) 0027-8874 (Linking),56,4,1976 Apr,Immunosuppression by Moloney leukemia virus: lack of correlation between virus replication and the immunosuppressive effect.,819-22,"['Cerny, J', 'Proffitt, M R', 'Essex, M']","['Cerny J', 'Proffitt MR', 'Essex M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Antigens, Viral', 'Female', 'Hemolytic Plaque Technique', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus/*growth & development', 'Spleen/immunology/microbiology', 'Thymus Gland/immunology', 'Tumor Virus Infections/*immunology', 'Virus Cultivation', 'Virus Replication']",1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Apr;56(4):819-22. doi: 10.1093/jnci/56.4.819.,"['0 (Antigens, Viral)']",,"Young adult mice were infected with 10(4) plaque-forming units (PFU) or Moloney murine leukemia virus M-MuLV. Two different virus preparations were used: a) M-MuLV obtained from serial passage in mice [animal passage (AP)] and b) tissue culture (TC)-grown virus harvested after three in vitro passages of the AP M-MuLV in fibroblasts. Replication of TC and AP M-MuLV in spleen cells was determined by an infectious center (IC) assay at 1 and 2 weeks after the infection. Immune responsiveness of spleen cells was evaluated in challenge with sheep red blood cells (SRBC) and subsequent enumeration of antibody plaque-forming cells (PFC). TC M-MuLV replicated faster in the spleen than did AP M-MuLV and reached about 10- to 100-fold higher titers. However, the response of anti-SRBC PFC, suppressed to the same degree in the spleens of mice infected with TC or AP virus, was from 10 to 50% of the control response. A comparison of virus replication with the anti-SRBC response in aliquots from the same spleens showed no correlation between virus IC and antibody PFC. Both TC and AP M-MuLV induced the expression of virus-specific, cell membrane antigen on spleen cells. These findings indicated a divergence between virus replication on the one hand and the immunosuppressive effect and the cell membrane alteration on the other.",['10.1093/jnci/56.4.819 [doi]'],,,,,,,,,
768505,NLM,MEDLINE,19760602,20190509,0027-8874 (Print) 0027-8874 (Linking),56,3,1976 Mar,"Membrane markers in ""histiocytic"" lymphomas (reticulum cell sarcomas).",631-3,"['Brouet, J C', ""Preud'Homme, J L"", 'Flandrin, G', 'Chelloul, N', 'Seligmann, M']","['Brouet JC', ""Preud'Homme JL"", 'Flandrin G', 'Chelloul N', 'Seligmann M']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['B-Lymphocytes/*pathology', 'Humans', 'Immunoglobulin Fc Fragments', 'Immunoglobulin G', 'Lymphoma, Large B-Cell, Diffuse/classification/*pathology', 'Monocytes/pathology', 'T-Lymphocytes/*pathology']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Mar;56(3):631-3. doi: 10.1093/jnci/56.3.631.,"['0 (Immunoglobulin Fc Fragments)', '0 (Immunoglobulin G)']",,"Neoplastic cells from 9 patients affected with a ""histiocytic"" lymphoma were studied with 5 membrane markers of B or T lymphocytes. In 2 patients a monoclonal B-cell proliferation was found; they had been affected previously with well documented B-cell proliferations: chronic lymphocytic leukemia or Waldenstrom's macroglobulinemia. The blast cells of 2 other patients had T-cell features; in a fifth case, the abnormal cells carried only a strong receptor for the Fc fragment of IgG, which suggested their truly monocytic origin. In 4 patients, the cells had no detectable surface markers. These findings demonstrated that this group of lymphomas is heterogenous, that the term ""histiocytic"" appears to be wrong in most instances, and that the cellular origin of the malignant cells frequently remains unidentified and thus prevents a satisfactory new classification.",['10.1093/jnci/56.3.631 [doi]'],,,,,,,,,
768503,NLM,MEDLINE,19760602,20190509,0027-8874 (Print) 0027-8874 (Linking),56,3,1976 Mar,Use of dimethylmyleran in adoptive chemoimmunotherapy of two murine leukemias.,609-13,"['Einstein, A B Jr', 'Cheever, M A', 'Fefer, A']","['Einstein AB Jr', 'Cheever MA', 'Fefer A']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', 'Bone Marrow Cells', 'Bone Marrow Transplantation', 'Busulfan/*analogs & derivatives/therapeutic use', 'Friend murine leukemia virus', 'Immunization, Passive', '*Immunotherapy', 'Leukemia, Experimental/drug therapy/etiology/immunology/*therapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Rauscher Virus', 'Spleen/immunology']",1976/03/01 00:00,2001/03/28 10:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Mar;56(3):609-13. doi: 10.1093/jnci/56.3.609.,['G1LN9045DK (Busulfan)'],,"Dimethylmyleran (DMM) is an antitumor agent that has minimal effects on immunity. In a study of its usefulness in adoptive chemoimmunotherapy, C57BL/6 mice inoculated on day 0 with C57BL/6 Friend virus-induced leukemia (FBL-3) were treated on day 5 with 12 mg DMM/kg [less than LD10 (lethal dose for 10% of mice)] plus C5BL/6 spleen cells. All untreated mice died, with a median survival time (MST) of 17 days. DMM alone or with nonimmune cells prolonged survival to day 20, and 3/53 mice survived beyond day 60. By contrast, 12/25 mice treated with DMM plus cells immune to FBL-3 were cured. Similar results were obtained in C57BL/6 mice with syngeneic Rauscher virus-induced leukemia (RBL-5). Untreated mice died, with an MST of 14 days. DMM alone or with nonimmune cells prolonged the MST to 21 and 26 days, respectively, and 3/26 and 6/28 mice were long-term survivors. However, 13/28 mice were cured by DMM plus cells immune to antigenically related FBL-3. Lethal irradiation of cells immune to FBL-3 abolished their efficacy. Finally, in contrast to the efficacy of sublethal DMM plus immune cells, an LD100 of DMM (20 mg/kg) plus hematopoietic reconstitution with nonimmune syngeneic cells was not effective against FBL-3 OR RBL-5. The results emphasized the critical role of immune cells in chemoimmunotherapy even when the drug used is nonimmunosuppressive.",['10.1093/jnci/56.3.609 [doi]'],,,,,,,,,
768498,NLM,MEDLINE,19760510,20190509,0027-8874 (Print) 0027-8874 (Linking),56,1,1976 Jan,Immunosuppression induced in vitro by cell-free extracts of Friend leukemia virusinfected splenocytes.,143-7,"['Specter, S', 'Patel, C', 'Friedman, H']","['Specter S', 'Patel C', 'Friedman H']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Animals', '*Antibody Formation', 'Cell-Free System', '*Friend murine leukemia virus/immunology', 'Hemolytic Plaque Technique', 'Hot Temperature', 'Immune Sera', 'In Vitro Techniques', 'Mice', 'Mice, Inbred BALB C', 'Spleen/cytology/*immunology']",1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1976 Jan;56(1):143-7. doi: 10.1093/jnci/56.1.143.,['0 (Immune Sera)'],,"The immunologic responsiveness by normal BALB/c spleen lymphocytes immunized in vitro with sheep erythrocytes was markedly suppressed by calrified cell-free homogenates of Friend leukemia virus (FLV)-infected mouse spleens. Suppression was achieved with a 3,000Xg supernatant of FLV-containing homogenates freed of cellular debris but not with crude unclarified homogenates or pelleted material after centrifugation. The immunosuppressive effects of the virus were dose dependent, whether the virus was added directly to the target spleen cells or separated from them by a 0.4mu Nuclepore filter. Suppression was prevented by heating of the virus at 100 degrees C for 10 minutes or by neutralization with antiserum to FLV. Addition of the virus as late as 48 hours after in vitro immunization of splenocytes affected the immune response. However, suppression was maximum when the clarified virus was added to the splenocytes 1 or 2 days before immunization. The agent in the FLV-infected spleen homogenates responsible for immunosuppression appeared to be the virus per se; however, virus-associated soluble factor(s) might have been involved.",['10.1093/jnci/56.1.143 [doi]'],,,,,,,,,
767113,NLM,MEDLINE,19760602,20190907,0014-2964 (Print) 0014-2964 (Linking),11,12,1975 Dec,Friend leukemia: a model for the physiopathology of human chronic leukemia.,831-40,"['Smadja-Joffe, F', 'Jasmin, C', 'Kerdiles, C', 'Klein, B']","['Smadja-Joffe F', 'Jasmin C', 'Kerdiles C', 'Klein B']",['eng'],"['Journal Article', 'Review']",,England,Eur J Cancer,European journal of cancer,0074126,IM,"['Animals', 'Bone Marrow/physiopathology', 'Cell Differentiation', 'Chronic Disease', '*Disease Models, Animal', 'Erythroblasts', 'Erythropoiesis', '*Friend murine leukemia virus', '*Hematopoiesis', 'Humans', 'Leukemia, Erythroblastic, Acute/etiology/physiopathology', 'Leukemia, Experimental/*physiopathology', 'Leukemia, Monocytic, Acute/physiopathology', 'Leukemia, Myeloid/physiopathology', 'Leukemia, Myeloid, Acute/physiopathology', 'Mice', 'Models, Biological', 'Polycythemia Vera/physiopathology', 'Splenomegaly/etiology']",1975/12/01 00:00,1975/12/01 00:01,['1975/12/01 00:00'],"['1975/12/01 00:00 [pubmed]', '1975/12/01 00:01 [medline]', '1975/12/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1975 Dec;11(12):831-40. doi: 10.1016/0014-2964(75)90081-x.,,55,,['10.1016/0014-2964(75)90081-x [doi]'],,,,,,,,,
767112,NLM,MEDLINE,19760602,20190907,0014-2964 (Print) 0014-2964 (Linking),11,11,1975 Nov,The second generation of EORTC-ECIG experimental screening for systemic immunity adjuvants. Its significance for cancer immunotherapy. A comparison of BCG and its hydrosoluble extract.,801-7,"['Mathe, G', 'Halle-Pannenko, O', 'Florentin, I', 'Bruley-Rosset, M', 'Kamel, M', 'Hiu, I J', 'Bourut, C']","['Mathe G', 'Halle-Pannenko O', 'Florentin I', 'Bruley-Rosset M', 'Kamel M', 'Hiu IJ', 'Bourut C']",['eng'],"['Comparative Study', 'Journal Article']",,England,Eur J Cancer,European journal of cancer,0074126,IM,"['Adjuvants, Immunologic/administration & dosage', 'Animals', 'Antibody Formation', '*BCG Vaccine', 'Cytotoxicity Tests, Immunologic', 'Female', 'Hemolytic Plaque Technique', '*Immunotherapy', 'Leukemia L1210/therapy', 'Macrophages/immunology', 'Mice', 'Mycobacterium bovis/*immunology', 'Neoplasms, Experimental/*therapy']",1975/11/01 00:00,1975/11/01 00:01,['1975/11/01 00:00'],"['1975/11/01 00:00 [pubmed]', '1975/11/01 00:01 [medline]', '1975/11/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1975 Nov;11(11):801-7. doi: 10.1016/0014-2964(75)90174-7.,"['0 (Adjuvants, Immunologic)', '0 (BCG Vaccine)']",,,['10.1016/0014-2964(75)90174-7 [doi]'],,,,,,,,,
767102,NLM,MEDLINE,19760525,20190902,0013-9351 (Print) 0013-9351 (Linking),11,1,1976 Feb,Benzene and leukemia.,122-7,"['Vigliani, E C', 'Forni, A']","['Vigliani EC', 'Forni A']",['eng'],"['Journal Article', 'Review']",,Netherlands,Environ Res,Environmental research,0147621,IM,"['Benzene/*adverse effects', 'Humans', 'Leukemia/*chemically induced']",1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Environ Res. 1976 Feb;11(1):122-7. doi: 10.1016/0013-9351(76)90115-8.,['J64922108F (Benzene)'],19,,"['0013-9351(76)90115-8 [pii]', '10.1016/0013-9351(76)90115-8 [doi]']",,,,,,,,,
767033,NLM,MEDLINE,19760518,20170214,0009-9228 (Print) 0009-9228 (Linking),15,3,1976 Mar,Leukapheresis: a technique for granulocyte transfusion.,290-2,"['Doering, E J', 'Morgan, S K', 'Moser, A M']","['Doering EJ', 'Morgan SK', 'Moser AM']",['eng'],"['Case Reports', 'Journal Article']",,United States,Clin Pediatr (Phila),Clinical pediatrics,0372606,IM,"['Agranulocytosis/*therapy', 'Blood Donors', '*Blood Transfusion', 'Cell Separation/*methods', 'Child', 'Escherichia coli Infections/complications', 'Female', '*Granulocytes', 'Humans', 'Leukemia, Lymphoid/complications', '*Leukocytes', 'Neutropenia/*therapy', 'Sepsis/complications']",1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Clin Pediatr (Phila). 1976 Mar;15(3):290-2. doi: 10.1177/000992287601500310.,,,,['10.1177/000992287601500310 [doi]'],,,,,,,,,
