PMID,OWN,STAT,DCOM,LR,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,IS,TT,AID,PMC,PS,FPS,OID,OAB,OABL,OTO,OT,GR,RPI
356407,NLM,MEDLINE,19781018,20170214,15,3,1978 May,Leprosy in a chimpanzee. Morphology of the skin lesions and characterization of the organism.,339-46,"Microscopic features of lepromatoid lesions in a chimpanzee inoculated with bovine leukemia virus consisted of diffuse dermal infiltrations of foamy histiocytes, except for a subepidermal ""clear zone"" devoid of infiltrating cells. Acid-fast organisms were in histiocytes, dermal nerves and a branch of the left radial nerve. The organisms were more intensely acid-fast with the Fite-Faraco than with the Ziehl-Neelsen stain. The organisms did not oxidize 3,4-dihydroxyphenylalanine (dopa) to indole but their acid-fast staining quality was removed by pretreatment with pyridine. Human leprosy patients, inoculated simultaneously with chimpanzee and human lepromin, reacted similarly to both lepromins. Organisms, when inoculated into mouse footpads, multipllied in 6 months to a quantity that was compatible with their identification as Mycobacterium leprae.","['Leininger, J R', 'Donham, K J', 'Rubino, M J']","['Leininger JR', 'Donham KJ', 'Rubino MJ']",['eng'],['Journal Article'],United States,Vet Pathol,Veterinary pathology,0312020,,IM,"['Animals', 'Leprosy/microbiology/pathology/*veterinary', 'Mice', 'Mycobacterium leprae/growth & development/isolation & purification', '*Pan troglodytes', 'Skin/pathology']",,1978/05/01 00:00,1978/05/01 00:01,['1978/05/01 00:00'],"['1978/05/01 00:00 [pubmed]', '1978/05/01 00:01 [medline]', '1978/05/01 00:00 [entrez]']",ppublish,Vet Pathol. 1978 May;15(3):339-46. doi: 10.1177/030098587801500308.,0300-9858 (Print) 0300-9858 (Linking),,['10.1177/030098587801500308 [doi]'],,,,,,,,,,
356351,NLM,MEDLINE,19781025,20190727,18,4,1978 Jul-Aug,ABO-incompatible bone marrow transplantation: preparation by plasma exchange and in vivo antibody absorption.,504-8,"The threat of fatal hemolytic transfusion reaction has been a major deterrent to the use of ABO-incompatible bone marrow donors. An eighteen year old type O male with acute leukemia was prepared to receive type A HLA identical marrow using large volume plasma exchange prior to and following cyclophosphamide administration. Saline agglutinating anti-A antibody was initially present at a titer of 1:128. The initial antiglobulin titer of dithiothreitol (DTT) treated serum was 1:64. Initially the T 1/2 of 51Cr labeled type A red blood cells was less than five minutes. The first plasma exchange removed large quantities of anti-A antibody but 51Cr survival of type A red blood cells was unchanged. A second plasma exchange after an interval of three days, increased the T 1/2 of 51Cr labeled cells to 20 minutes. Saline agglutinating anti-A was not present at a titer of 1:8 and the antiglobulin titer of DTT treated serum was 1:4. Reaction to subsequent transfusion of type A red blood cells (5 units) was limited to a single febrile episode during the first unit. Survival of 51Cr labeled red blood cells increased to T 1/2 equal to 21 hours. These data indicate that plasma exchange and infusion of ABO incompatible red blood cells effectively reduce antibody concentration and prolong survival of ABO incompatible erythrocytes. It is suggested that the prolongation of 51Cr survival of ABO-incompatible red blood cells to a point that extravascular destruction is predominant be used to establish the safety of ABO-incompatible marrow infusion.","['Berkman, E M', 'Caplan, S', 'Kim, C S']","['Berkman EM', 'Caplan S', 'Kim CS']",['eng'],"['Case Reports', 'Journal Article']",United States,Transfusion,Transfusion,0417360,"['0 (ABO Blood-Group System)', '0 (HLA Antigens)', 'T8ID5YZU6Y (Dithiothreitol)']",IM,"['ABO Blood-Group System', 'Adolescent', '*Blood Group Incompatibility', '*Bone Marrow Transplantation', 'Cell Separation', 'Dithiothreitol', 'HLA Antigens', 'Humans', 'Leukemia/*therapy', 'Male', 'Patient Isolators']",,1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",ppublish,Transfusion. 1978 Jul-Aug;18(4):504-8. doi: 10.1046/j.1537-2995.1978.18478251251.x.,0041-1132 (Print) 0041-1132 (Linking),,['10.1046/j.1537-2995.1978.18478251251.x [doi]'],,,,,,,,,,
356287,NLM,MEDLINE,19781018,20191210,53,22,1978 Jun 3,Trofosfamide in the treatment of patients with cancer. A pilot trial.,886-8,"The efficacy of trofosfamide (Ixoten; Noristan), a derivative of cyclophosphamide, was investigated in 76 patients. Those with solid tumours were given 50 mg/kg in 6 divided doses in 48 hours; those with chronic lymphatic leukaemia were treated with 100 mg orally 3 times a day for up to 10 weeks. Side-effects of treatment included leucopenia, thrombocytopenia, a fall in the haemoglobin level, haematuria and occasional alopecia. Nausea was never severe, and occurred in only half of the patients on a high dose and in none of the patients on a low dose. A therapeutic effect was observed in patients with breast cancer, cancer of unknown origin and pancreatic cancer. Twenty-one of 24 patients with chronic lymphatic leukaemia (all of whom had aggressive disease) responded to treatment, and complete remission (including normal bone marrow), was achieved in 5 of these patients.","['Falkson, G', 'Falkson, H C']","['Falkson G', 'Falkson HC']",['eng'],"['Clinical Trial', 'Journal Article']",South Africa,S Afr Med J,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,0404520,"['8N3DW7272P (Cyclophosphamide)', 'H64JRU6GJ0 (trofosfamide)']",IM,"['Clinical Trials as Topic', 'Cyclophosphamide/adverse effects/*analogs & derivatives/therapeutic use', 'Drug Evaluation', 'Female', 'Humans', 'Male', 'Neoplasms/*drug therapy']",,1978/06/03 00:00,1978/06/03 00:01,['1978/06/03 00:00'],"['1978/06/03 00:00 [pubmed]', '1978/06/03 00:01 [medline]', '1978/06/03 00:00 [entrez]']",ppublish,S Afr Med J. 1978 Jun 3;53(22):886-8.,0256-9574 (Print),,,,,,,,,,,,
356261,NLM,MEDLINE,19781027,20190907,4,2,1978 Jun,Benzene--attempts to establish a lower exposure standard in the United States. A review.,103-13,"Production usage and potential occupational exposure to benzene are described in this review, as are selected, relevant reports presenting evidence evidence implicating benzene as a causative factor in leukemia, particularly acute myelogenous leukemia, pancytopenia (including aplastic anemia) and chromosomal aberrations. A chronologic account of events in the 1970s in the United States, largely based on epidemiologic evdince collected and prepared by the National Institute for Occupational Safety and Health, caused the regulatory agency, the Department of Labor, through its Occupational Safety and Health Administration to declare benzene a human leukemogen and carcinogen and to publish an emergency temporary standard of 1 ppm in May, 1977, but this standard has not been legalized.","['Zenz, C']",['Zenz C'],['eng'],"['Journal Article', 'Review']",Finland,Scand J Work Environ Health,"Scandinavian journal of work, environment & health",7511540,"['0 (Air Pollutants)', '0 (Air Pollutants, Occupational)', '0 (Carcinogens)', 'J64922108F (Benzene)']",IM,"['Air Pollutants/*toxicity', 'Air Pollutants, Occupational/*toxicity', 'Anemia, Aplastic/chemically induced', 'Benzene/*toxicity', 'Carcinogens/*toxicity', 'Chromosome Aberrations', 'Environmental Exposure', 'Humans', 'Leukemia/chemically induced', 'Maximum Allowable Concentration', 'Occupational Diseases/chemically induced', 'Pancytopenia/chemically induced', 'United States']",57,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Scand J Work Environ Health. 1978 Jun;4(2):103-13. doi: 10.5271/sjweh.2717.,0355-3140 (Print) 0355-3140 (Linking),,"['2717 [pii]', '10.5271/sjweh.2717 [doi]']",,,,,,,,,,
356224,NLM,MEDLINE,19781018,20091111,,42,1977,Bone marrow transplantation for aplastic anemia or acute leukemia.,6-11,,"['Thomas, E D']",['Thomas ED'],['eng'],['Journal Article'],England,Scand J Urol Nephrol Suppl,Scandinavian journal of urology and nephrology. Supplementum,0153034,['0 (HLA Antigens)'],IM,"['Anemia, Aplastic/*therapy', '*Bone Marrow Transplantation', 'Graft Rejection', 'Graft Survival', 'HLA Antigens', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Leukemia, Myeloid, Acute/*therapy', 'Transplantation, Homologous', 'Transplantation, Isogeneic']",,1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",ppublish,Scand J Urol Nephrol Suppl. 1977;(42):6-11.,0300-8886 (Print) 0300-8886 (Linking),,,,,,,,,,,,
356126,NLM,MEDLINE,19781018,20081021,64,2,1978 Feb,[Multiple malignant neoplasms].,135-46,,"['De Marzi, S', 'Bernini, P']","['De Marzi S', 'Bernini P']",['ita'],['Journal Article'],Italy,Radiol Med,La Radiologia medica,0177625,,IM,"['Adenocarcinoma/complications', 'Adult', 'Aged', 'Breast Neoplasms/complications', 'Carcinoma/complications', 'Carcinoma, Squamous Cell/complications', 'Esophageal Neoplasms/complications', 'Female', 'Fibrosarcoma/complications', 'Gastrointestinal Neoplasms/complications', 'Genital Neoplasms, Female/complications', 'Humans', 'Leukemia, Lymphoid/complications', 'Lung Neoplasms/complications', 'Lymphoma, Large B-Cell, Diffuse/complications', 'Male', 'Middle Aged', 'Mouth Neoplasms/complications', '*Neoplasms, Multiple Primary', 'Pharyngeal Neoplasms/complications', 'Salivary Gland Neoplasms/complications', 'Skin Neoplasms/complications', 'Tonsillar Neoplasms/complications']",,1978/02/01 00:00,1978/02/01 00:01,['1978/02/01 00:00'],"['1978/02/01 00:00 [pubmed]', '1978/02/01 00:01 [medline]', '1978/02/01 00:00 [entrez]']",ppublish,Radiol Med. 1978 Feb;64(2):135-46.,0033-8362 (Print) 0033-8362 (Linking),Le neoplasie multiple maligne.,,,,,,,,,,,
356026,NLM,MEDLINE,19781027,20041117,23,8,1978 Aug,[So-called preleukemias].,41-5,,"['Dvoretskii, L I']",['Dvoretskii LI'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,IM,"['Acute Disease', 'Anemia, Macrocytic/complications', 'Anemia, Sideroblastic/complications', 'Bone Marrow/ultrastructure', 'Bone Marrow Examination', 'Cell Transformation, Neoplastic', 'Chromosome Aberrations', 'Clone Cells/ultrastructure', 'Hematopoiesis', 'Humans', 'Karyotyping', 'Leukemia/*blood/etiology', 'Pancytopenia/complications', 'Precancerous Conditions/*blood/etiology', 'Prognosis']",60,1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1978 Aug;23(8):41-5.,0552-2080 (Print) 0552-2080 (Linking),K voprosu o tak nazyvaemykh predleikozakh.,,,,,,,,,,,
356000,NLM,MEDLINE,19781018,20041117,93,5-6,1978 Jun,[Discrete optimism in leukemia therapy. Many reasons for improved prognosis].,131-5,,"['Karlsson, Y']",['Karlsson Y'],"['dan', 'swe']",['Journal Article'],Sweden,Nord Med,Nordisk medicin,0401001,,IM,"['Adult', 'Bone Marrow Transplantation', 'Child', 'Humans', 'Immunotherapy', 'Leukemia/diagnosis/etiology/*therapy', 'Prognosis', 'Research', 'Splenectomy', 'Transplantation, Homologous']",,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Nord Med. 1978 Jun;93(5-6):131-5.,0029-1420 (Print) 0029-1420 (Linking),Forsiktig optimism om leukemi-terapi. Manga orsaker till forbattrad prognos.,,,,,,,,,,,
355930,NLM,MEDLINE,19781018,20081121,69,29,1978 Jun 9,[The significance of cryoglobulins and cryohemagglutinins. Immunological and clinical study of 39 cases].,1949-60,"In about 5 years of clinical and immunological research, 39 cases of cryoplasmopathies (5 with cryoglobulinaemia and 34 with cryohaemoagglutinaemia) were identified on the basis of immunological typing studies (immunoelectrophoresis, immunodiffusion, identification and isolation of cryoantibodies, cryocrit, titration, identificcation of antibody specificity). Discussion and physiopathological interpretation of possibly associated cases and diseases are conducted on the basis of personal immunological data and the most recent literature on matters of clinical immunohaematology.","['Scolozzi, R', 'Menini, C', 'Boccafogli, A', 'Caberletti, M']","['Scolozzi R', 'Menini C', 'Boccafogli A', 'Caberletti M']",['ita'],"['English Abstract', 'Journal Article', 'Review']",Italy,Minerva Med,Minerva medica,0400732,"['0 (Autoantibodies)', '0 (Cryoglobulins)', '0 (Hemagglutinins)']",IM,"['Agranulocytosis/immunology', 'Anemia/immunology', 'Autoantibodies/*analysis', 'Autoimmune Diseases', 'Blood Protein Disorders/immunology', '*Cold Temperature', 'Collagen Diseases/immunology', 'Cryoglobulins/*analysis', 'Hemagglutinins/analysis', 'Hematologic Diseases/*immunology', 'Humans', 'Leukemia/immunology', 'Liver Diseases/immunology', 'Neoplasms/immunology', 'Thalassemia/immunology']",122,1978/06/09 00:00,1978/06/09 00:01,['1978/06/09 00:00'],"['1978/06/09 00:00 [pubmed]', '1978/06/09 00:01 [medline]', '1978/06/09 00:00 [entrez]']",ppublish,Minerva Med. 1978 Jun 9;69(29):1949-60.,0026-4806 (Print) 0026-4806 (Linking),Sul significato delle crioglobuline e delle crioemoagglutinine. Studio immunologico e clinico di 39 casi.,,,,,,,,,,,
355873,NLM,MEDLINE,19781025,20140729,126,8,1978 Aug,"[Psychological care in pediatric oncology: patients, family, and personnel (author's transl)].",479-86,"The improved outlook in many pediatric tumour and leukemia patients has brought about new psychological problems: we no longer have to focus our attention only on death and its implications, but also on the impact of aggressive multimodal therapy, of remission and relapse, of permanent cure alas sometimes paid for by lasting physical defects. There are relatively few ""hard"" physical data, based on controlled studies, concerning the reactions of the patients themselves and of their environment to the different phases of cancer in children, but certain empirical findings, based on clinical observations and the work of some interested psychologists, allow a number of conclusions to be drawn. The reactions of children to a life-threatening disease and to the possibility of death are mostly age-dependent; parents' reactions, as a rule, follow certain typical patterns superimposed by individual particularities (initial shock, non-acceptance and escape; finally, ways of coping) which ought to be taken into account by the medical and nursing team. The ability to convey hope and trust, competence, self-confidence, emotional stability and continuous personal engagement of those who treat such children are of paramount importance in minimizing psychological damage. Organized group discussions may sometimes be of additional help.","['Neidhardt, M K', 'Hertl, M']","['Neidhardt MK', 'Hertl M']",['ger'],"['English Abstract', 'Journal Article', 'Review']",Germany,Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde,0400751,,IM,"['Adolescent', 'Age Factors', 'Attitude to Death', 'Attitude to Health', 'Child', 'Child, Preschool', 'Humans', 'Neoplasms/*psychology', 'Parents', 'Remission, Spontaneous', 'Time Factors']",26,1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",ppublish,Monatsschr Kinderheilkd. 1978 Aug;126(8):479-86.,,Die seelische Betreuung des onkologisch kranken Kindes und seiner Eltern.,,,,,,,,,,,
355821,NLM,MEDLINE,19781025,20190902,4,3,1978,"Increased survival in childhood acute nonlymphocytic leukemia after treatment with prednisone, cytosine arabinoside, 6-thioguanine, cyclophosphamide, and oncovin (PATCO) combination chemotherapy.",263-73,"One hundred-sixty-three children with acute nonlymphocytic leukemia (ANLL) were treated with a multiple-drug induction program (PATCO) consisting of prednisone (PDN), cytosine arabinoside ((Ara-C), 6-thioguanine (6-TG), cyclophosphamide (CPM), and Oncovin (VCR). Ninety-six, 59%, obtained a remission. Remission was maintained with daily 6-TG and four-day pulses of Ara-C and CPM with a single dose of VCR every 28 days. The median duration of remission was 11.5 months. Certain prognostic factors affected induction rate and remission duration. Initial white blood count (WBC) was a significant factor in achieving a remission, whereas age, sex, and type of ANLL had no effect. Initial WBC, age, and sex had a significant effect on remission duration, but type of ANLL had no effect. Relapsing patients were treated with daunomycin and 5-azacytidine. The reinduction rate was 53% with a median second remission duration of 190 days. Overall survival for the 163 patients is 55.4% at 12 months, 31.5% at 24 months, 21.4% at 36 months, and 19% at 48 months.","['Chard, R L Jr', 'Finklestein, J Z', 'Sonley, M J', 'Nesbit, M', 'McCreadie, S', 'Weiner, J', 'Sather, H', 'Hammond, G D']","['Chard RL Jr', 'Finklestein JZ', 'Sonley MJ', 'Nesbit M', 'McCreadie S', 'Weiner J', 'Sather H', 'Hammond GD']",['eng'],"['Clinical Trial', 'Journal Article']",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'FTK8U1GZNX (Thioguanine)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', 'Adolescent', 'Antineoplastic Agents/*administration & dosage/*therapeutic use', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Drug Therapy, Combination', 'Female', 'Humans', 'Leukemia/*drug therapy', 'Leukocyte Count', 'Male', 'Prednisone/administration & dosage', 'Prognosis', 'Remission, Spontaneous', 'Thioguanine/administration & dosage', 'Vincristine/administration & dosage']",,1978/01/01 00:00,2001/03/28 10:01,['1978/01/01 00:00'],"['1978/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1978/01/01 00:00 [entrez]']",ppublish,Med Pediatr Oncol. 1978;4(3):263-73. doi: 10.1002/mpo.2950040310.,0098-1532 (Print) 0098-1532 (Linking),,['10.1002/mpo.2950040310 [doi]'],,,,,,,,,,
355763,NLM,MEDLINE,19781027,20041117,23,8,1978 Aug,[Epidemiology of malignant human tumors of radiation etiology].,83-90,,"[""Strel'tsova, V N""]","[""Strel'tsova VN""]",['rus'],"['Journal Article', 'Review']",Russia (Federation),Med Radiol (Mosk),Meditsinskaia radiologiia,2984767R,['0 (Radioactive Fallout)'],IM,"['Adult', 'Age Factors', 'Alpha Particles', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Leukemia/etiology', 'Male', 'Neoplasms/*epidemiology/mortality', 'Nuclear Energy', 'Osteosarcoma/etiology', 'Radiation Injuries/*epidemiology/mortality', 'Radiation Tolerance', 'Radioactive Fallout', 'Risk', 'Sex Factors']",23,1978/08/01 00:00,1978/08/01 00:01,['1978/08/01 00:00'],"['1978/08/01 00:00 [pubmed]', '1978/08/01 00:01 [medline]', '1978/08/01 00:00 [entrez]']",ppublish,Med Radiol (Mosk). 1978 Aug;23(8):83-90.,0025-8334 (Print) 0025-8334 (Linking),Epidemiologiia zlokachestvennykh opukholei cheloveka luchevoi etiologii.,,,,,,,,,,,
355667,NLM,MEDLINE,19781025,20161017,240,12,1978 Sep 15,Marrow transplantation for leukemia.,1238,,"['Thomas, E D', 'Buckner, C D', 'Storb, R']","['Thomas ED', 'Buckner CD', 'Storb R']",['eng'],['Letter'],United States,JAMA,JAMA,7501160,,IM,"['*Bone Marrow Transplantation', 'Humans', 'Leukemia/*therapy', 'Leukemia, Myeloid, Acute/therapy', 'Transplantation, Homologous']",,1978/09/15 00:00,1978/09/15 00:01,['1978/09/15 00:00'],"['1978/09/15 00:00 [pubmed]', '1978/09/15 00:01 [medline]', '1978/09/15 00:00 [entrez]']",ppublish,JAMA. 1978 Sep 15;240(12):1238.,0098-7484 (Print) 0098-7484 (Linking),,,,,,,,,,,,
355124,NLM,MEDLINE,19781027,20211203,35,1,1978 Jul,Casein-induced experimental amyloidosis. IX. Alterations in marrow dependent function.,133-9,"CBA/J mice receiving multiple injections of sodium caseinate (CAS) or bovine serum albumin (BSA) were assayed for marrow dependent functions by measuring their ability (i) to reject bone marrow allografts and (ii) to resist Friend virus (FV)-induced suppression of lymphocyte mitogenesis. Mice that developed amyloidosis following 25-30 injections completely lost the ability to reject allogeneic marrow cells, whereas nonamyloid BSA-treated mice had enhanced rejection of marrow allografts. There was increased resistance to the suppressive effects of FV in spleen cells from 'preamyloid' mice receiving CAS injections and nonamyloid mice receiving 10-40 BSA injections. Amyloid mice appeared to be as susceptible to the effects of FV-induced suppression as control (untreated) animals. These data indicate that alterations in marrow dependent function may be related to the pathogenesis of amyloid disease.","['Yonkosky, D', 'Kumar, V', 'Cathcart, E S', 'Bennett, M']","['Yonkosky D', 'Kumar V', 'Cathcart ES', 'Bennett M']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Immunology,Immunology,0374672,['0 (Caseins)'],IM,"['Amyloidosis/chemically induced/*immunology', 'Animals', 'Bone Marrow/*immunology', 'Bone Marrow Transplantation', 'Caseins', 'Friend murine leukemia virus/immunology', 'Graft Rejection', 'Immunosuppression Therapy', 'Mice', 'Transplantation, Homologous']",,1978/07/01 00:00,1978/07/01 00:01,['1978/07/01 00:00'],"['1978/07/01 00:00 [pubmed]', '1978/07/01 00:01 [medline]', '1978/07/01 00:00 [entrez]']",ppublish,Immunology. 1978 Jul;35(1):133-9.,0019-2805 (Print) 0019-2805 (Linking),,,PMC1457224,,,,,,,,,
355038,NLM,MEDLINE,19781018,20141003,69,2,1978 Apr,A clinical trial of cell-wall skeleton of BCG in chemoimmunotherapy of acute leukemia.,179-86,"A clinical trial of chemoimmunotherapy using cell-wall skeleton of BCG (BCG-CWS) was conducted in 28 patients with acute leukemia in complete remission. Chemotherapy consisted of monthly intensification therapy for 2 months and bimonthly therafter. Immunotherapy with 200 microgram of oil-attached BCG-CWS mixed with 10(7) autochthonous leukemic cells was given intradermally at either of upper or lower extremities every week, except when the patients were on maintenance therapy. No serious systemic side effect attributable to BCG-CWS was noted. Six patients developed mild and transient temparature elevation. Most importnat side effect was local skin reaction. Indulated papules developed in all patients, resulting in draining ulcerations in 26 patients. Increase of immunological reactivity of the patients receiving BCG-CWS was noted. Skin test response to PPD, Varidase, and candida extract showed definite increase. In vitro lymphocyte blastogenic response to PPD, concanavalin-A, and pokeweed mitogen revealed significant increase.","['Ohino, R', 'Ueda, R', 'Imai Kato, Y', 'Watanabe, E', 'Morishima, Y', 'Yokomaku, S', 'Kobayashi, M', 'Takeyama, H', 'Ezaki, K', 'Kawashima, K', 'Hirano, M', 'Ohara, K', 'Kosaki, T', 'Yoshikawa, S', 'Yamada, K']","['Ohino R', 'Ueda R', 'Imai Kato Y', 'Watanabe E', 'Morishima Y', 'Yokomaku S', 'Kobayashi M', 'Takeyama H', 'Ezaki K', 'Kawashima K', 'Hirano M', 'Ohara K', 'Kosaki T', 'Yoshikawa S', 'Yamada K']",['eng'],"['Clinical Trial', 'Journal Article']",Japan,Gan,Gan,0151745,['0 (BCG Vaccine)'],IM,"['Adolescent', 'Adult', 'BCG Vaccine/*therapeutic use', 'Cell Wall/immunology', 'Clinical Trials as Topic', 'Humans', 'Hypersensitivity, Delayed/immunology', 'Leukemia, Lymphoid/mortality/*therapy', 'Leukemia, Myeloid, Acute/mortality/*therapy', 'Lymphocyte Activation', 'Middle Aged', 'Remission, Spontaneous']",,1978/04/01 00:00,1978/04/01 00:01,['1978/04/01 00:00'],"['1978/04/01 00:00 [pubmed]', '1978/04/01 00:01 [medline]', '1978/04/01 00:00 [entrez]']",ppublish,Gan. 1978 Apr;69(2):179-86.,0016-450X (Print) 0016-450X (Linking),,,,,,,,,,,,
354836,NLM,MEDLINE,19781027,20191028,7,2,1978 Jun,Blood component therapy.,407-23,,"['Lister, T A', 'Yankee, R A']","['Lister TA', 'Yankee RA']",['eng'],"['Journal Article', 'Review']",England,Clin Haematol,Clinics in haematology,0331547,,IM,"['Acute Disease', 'Blood Cell Count', 'Blood Platelets/immunology/physiology', '*Blood Transfusion', 'Erythrocyte Transfusion', 'Granulocytes/immunology/transplantation', 'Humans', 'Leukemia/*therapy', 'Platelet Transfusion']",100,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Clin Haematol. 1978 Jun;7(2):407-23. doi: 10.1016/s0308-2261(78)80012-5.,0308-2261 (Print) 0308-2261 (Linking),,['10.1016/s0308-2261(78)80012-5 [doi]'],,,,,,,,,,
354835,NLM,MEDLINE,19781027,20191028,7,2,1978 Jun,The cytogenetics of acute leukaemia.,385-406,,"['Rowley, J D']",['Rowley JD'],['eng'],"['Journal Article', 'Review']",England,Clin Haematol,Clinics in haematology,0331547,,IM,"['Acute Disease', 'Chromosome Aberrations/genetics', 'Chromosome Disorders', 'Chromosome Mapping', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', '*Cytogenetics', 'Humans', 'Karyotyping', 'Leukemia/*genetics', 'Leukemia, Lymphoid/genetics', 'Leukemia, Myeloid/genetics', 'Sex Chromosome Aberrations/genetics', 'Translocation, Genetic']",57,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Clin Haematol. 1978 Jun;7(2):385-406. doi: 10.1016/s0308-2261(78)80011-3.,0308-2261 (Print) 0308-2261 (Linking),,['10.1016/s0308-2261(78)80011-3 [doi]'],,,,,,,,,,
354834,NLM,MEDLINE,19781027,20191028,7,2,1978 Jun,Therapeutic role of cell kinetics in acute leukaemia.,339-62,,"['Arlin, Z A', 'Fried, J', 'Clarkson, B D']","['Arlin ZA', 'Fried J', 'Clarkson BD']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Clin Haematol,Clinics in haematology,0331547,"['5J49Q6B70F (Vincristine)', 'VB0R961HZT (Prednisone)']",IM,"['Acute Disease', '*Cell Transformation, Neoplastic', 'Drug Therapy, Combination', 'Humans', 'Kinetics', 'Leukemia/drug therapy/*therapy', 'Leukemia, Lymphoid/therapy', 'Prednisone/therapeutic use', 'Prognosis', 'Remission, Spontaneous', 'Time Factors', 'Vincristine/therapeutic use']",113,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Clin Haematol. 1978 Jun;7(2):339-62. doi: 10.1016/s0308-2261(78)80009-5.,0308-2261 (Print) 0308-2261 (Linking),,['10.1016/s0308-2261(78)80009-5 [doi]'],,,,,,,,,,
354833,NLM,MEDLINE,19781027,20191028,7,2,1978 Jun,Extramedullary leukaemia.,313-37,,"['Hustu, H O', 'Aur, R J']","['Hustu HO', 'Aur RJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Clin Haematol,Clinics in haematology,0331547,,IM,"['Acute Disease', '*Bone Marrow', 'Central Nervous System/radiation effects', 'Central Nervous System Diseases/drug therapy/therapy', 'Child', 'Child, Preschool', 'Dose-Response Relationship, Radiation', 'Female', 'Humans', 'Infant', 'Leukemia/*diagnosis', 'Leukemia, Lymphoid/blood/drug therapy/radiotherapy', 'Male', 'Ovarian Neoplasms/complications', 'Testicular Neoplasms/complications/radiotherapy']",66,1978/06/01 00:00,1978/06/01 00:01,['1978/06/01 00:00'],"['1978/06/01 00:00 [pubmed]', '1978/06/01 00:01 [medline]', '1978/06/01 00:00 [entrez]']",ppublish,Clin Haematol. 1978 Jun;7(2):313-37. doi: 10.1016/s0308-2261(78)80008-3.,0308-2261 (Print) 0308-2261 (Linking),,['10.1016/s0308-2261(78)80008-3 [doi]'],,,,,,,,,,
