PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RF,GR,SI,CON,CIN,OTO,OT,IR,FIR,IRAD,TT,EIN,CN,OID,GN,RIN,EFR
8889028,NLM,MEDLINE,19970224,20190719,0918-6158 (Print) 0918-6158 (Linking),19,9,1996 Sep,A new method for permeabilization of the plasma membrane of cultured mammalian cells. IV. Structural requirement for high molecular weight polymers for potentiation of bleomycin cytotoxicity toward mammalian cells under conditions of vortex-stirring.,1126-9,"As we previously reported, the cytotoxicity of bleomycin (BLM) toward cultured mammalian cells was extraordinarily potentiated when the cells and BLM were vortex-stirred for a few seconds in the presence of high molecular weight polyacrylic acid (PAA). Cationic and nonionic polymers could not take the place of PAA in potentiating BLM cytotoxicity. The present study revealed that potentiation was sharply dependent on the molecular weight of PAA and a molecular weight of over 10(6) daltons seemed to be required. Copolymers of acrylic acid (AA) and acrylamide showed some potentiation which was relative to their AA content. It is worth noting that another type of anionic polymer, polymethacrylic acid, did not show any potentiating capacity at all. Polyacrylic sulfonate derivative showed a marginal capacity. The structural requirement for high molecular weight polymers for potentiation of BLM cytotoxicity was demonstrated by the increased uptake of Lucifer Yellow, a non-permeant material. In addition, the ability of permeabilization was not correlated with kinematic viscosity of anionic polymers.","['Shimizu, N', 'Nakamura, M', 'Azuchi, M', 'Okada, M', 'Kawazoe, Y']","['Shimizu N', 'Nakamura M', 'Azuchi M', 'Okada M', 'Kawazoe Y']","['Faculty of Pharmaceutical Sciences, Nagoya City University, Japan.']",['eng'],['Journal Article'],Japan,Biol Pharm Bull,Biological & pharmaceutical bulletin,9311984,"['0 (Antibiotics, Antineoplastic)', '0 (Isoquinolines)', '0 (Polymers)', '11056-06-7 (Bleomycin)', '9654F8OVKE (lucifer yellow)']",IM,"['Animals', 'Antibiotics, Antineoplastic/*toxicity', 'Bleomycin/*toxicity', 'Cell Membrane/*drug effects/ultrastructure', 'Cells, Cultured', 'Isoquinolines', 'Leukemia L1210/pathology', 'Mice', 'Molecular Weight', 'Polymers/chemistry/*pharmacology', 'Spectrometry, Fluorescence', 'Viscosity']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",['10.1248/bpb.19.1126 [doi]'],ppublish,Biol Pharm Bull. 1996 Sep;19(9):1126-9. doi: 10.1248/bpb.19.1126.,,,,,,,,,,,,,,,,,,
8888925,NLM,MEDLINE,19970107,20190822,0803-5253 (Print) 0803-5253 (Linking),85,9,1996 Sep,Adult height after cranial irradiation with 24 Gy: factors and markers of height loss.,1096-101,"The decrease in adult height of children who have been given cranial irradiation (24 Gy) for acute lymphoblastic leukaemia is attributed to chemotherapy, growth hormone (GH) deficiency and early puberty. This study evaluates the factors involved in the height loss between irradiation and adult height and its markers in 43 patients irradiated at 5.8 +/- 0.4 (SEM) years. The mean height loss was 0.9 +/- 0.2 SD in the children with a normal GH peak (n = 11), 1.7 +/- 0.2 SD in those with a low GH peak and untreated (n = 15) and 0.6 +/- 0.2 SD in those treated with GH (n = 17). The adult height was significantly lower than target height in all three groups. The height loss correlated negatively with the GH peak (p < 0.02) and with the age at onset of puberty (p < 0.05) in the first two groups with spontaneous growth, but not with the chemotherapy regimen or its duration, or the plasma insulin-like growth factor I (IGFI) and its GH-dependent binding protein (BP-3). Early puberty (onset at 8-10 years) occurred in 6 girls from the first two groups. At the first evaluation, 5.6 +/- 0.4 years after irradiation, the GH peak values after arginine-insulin stimulation correlated with the age at irradiation (p < 0.03), taking into account the time since irradiation. The plasma IGFI and BP-3 values were correlated with each other, but not with the GH peak. In conclusion, this study demonstrates the impact of GH deficiency and GH replacement therapy on adult height in children given cranial irradiation for leukaemia. They therefore should be evaluated for their GH secretion 1-2 years after the end of chemotherapy. GH therapy is indicated for those with low GH peak and decreased growth rate or no increase in growth rate despite puberty.","['Adan, L', 'Souberbielle, J C', 'Blanche, S', 'Leverger, G', 'Schaison, G', 'Brauner, R']","['Adan L', 'Souberbielle JC', 'Blanche S', 'Leverger G', 'Schaison G', 'Brauner R']","['Pediatric Endocrinology Unit, Universite Paris V, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Norway,Acta Paediatr,"Acta paediatrica (Oslo, Norway : 1992)",9205968,"['67763-96-6 (Insulin-Like Growth Factor I)', '9002-72-6 (Growth Hormone)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*Body Height', 'Child', 'Child, Preschool', '*Cranial Irradiation', 'Female', 'Growth', 'Growth Hormone/blood/*deficiency', 'Humans', 'Insulin-Like Growth Factor I/analysis', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/physiopathology/*therapy', 'Puberty', 'Radiotherapy Dosage']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",['10.1111/j.1651-2227.1996.tb14224.x [doi]'],ppublish,Acta Paediatr. 1996 Sep;85(9):1096-101. doi: 10.1111/j.1651-2227.1996.tb14224.x.,,,,,,,,,,,,,,,,,,
8888924,NLM,MEDLINE,19970107,20190822,0803-5253 (Print) 0803-5253 (Linking),85,9,1996 Sep,Shortened and diminished pubertal growth in boys and girls treated for acute lymphoblastic leukaemia.,1091-5,"Statural growth during puberty was studied longitudinally in 28 patients treated for acute lymphoblastic leukaemia. All patients received prophylactic cranial irradiation. The age at diagnosis was below 7 years, the age at final investigation was above 16 years for girls and above 18 years for boys. Growth was analysed using the Kernel estimation. In girls the onset of puberty and menarche was at a younger age, as compared to reference values, and the duration of the pubertal growth spurt was shorter. Compared to early maturing girls, the growth velocity at peak height velocity was lower. This resulted in a final height which was shorter than expected on the basis of the height standard deviation score before the start of puberty. In boys the duration of the pubertal growth spurt was shorter and the height gain during the growth spurt less than in the reference population. In both sexes the bone age development was accelerated.","['Groot-Loonen, J J', 'van Setten, P', 'Otten, B J', ""van 't Hof, M A"", 'Lippens, R J', 'Stoelinga, G B']","['Groot-Loonen JJ', 'van Setten P', 'Otten BJ', ""van 't Hof MA"", 'Lippens RJ', 'Stoelinga GB']","['Department of Paediatric Oncology, University of Nijmegen, The Netherlands.']",['eng'],['Journal Article'],Norway,Acta Paediatr,"Acta paediatrica (Oslo, Norway : 1992)",9205968,,IM,"['Adolescent', 'Age of Onset', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Child', 'Cranial Irradiation', 'Female', '*Growth', 'Humans', 'Longitudinal Studies', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*physiopathology/therapy', '*Puberty']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",['10.1111/j.1651-2227.1996.tb14223.x [doi]'],ppublish,Acta Paediatr. 1996 Sep;85(9):1091-5. doi: 10.1111/j.1651-2227.1996.tb14223.x.,,,,,,,,,,,,,,,,,,
8888816,NLM,MEDLINE,19961125,20071115,0098-1532 (Print) 0098-1532 (Linking),27,6,1996 Dec,Fine motor and handwriting problems after treatment for childhood acute lymphoblastic leukemia.,551-5,Motor skills were investigated in 18 children 2 years after treatment for acute lymphoblastic leukemia (ALL). Gross and fine motor functioning were examined with the Movement Assessment Battery for Children. Handwriting as a specific fine motor skill was studied with a computerized writing task. We conclude that 2 years after cessation of treatment motor problems in ALL survivors were still present. Dysfunctions were mainly pronounced in handwriting and fine motor skills.,"['Reinders-Messelink, H A', 'Schoemaker, M M', 'Hofte, M', 'Goeken, L N', 'Kingma, A', 'van den Briel, M M', 'Kamps, W A']","['Reinders-Messelink HA', 'Schoemaker MM', 'Hofte M', 'Goeken LN', 'Kingma A', 'van den Briel MM', 'Kamps WA']","[""Children's Cancer Center, Beatrix Children's Hospital, The Netherlands.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,,IM,"['Child', 'Female', 'Follow-Up Studies', '*Handwriting', 'Humans', 'Male', '*Motor Skills', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*physiopathology']",1996/12/01 00:00,2000/06/20 09:00,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/12/01 00:00 [entrez]']","['10.1002/(SICI)1096-911X(199612)27:6<551::AID-MPO8>3.0.CO;2-K [pii]', '10.1002/(SICI)1096-911X(199612)27:6<551::AID-MPO8>3.0.CO;2-K [doi]']",ppublish,Med Pediatr Oncol. 1996 Dec;27(6):551-5. doi: 10.1002/(SICI)1096-911X(199612)27:6<551::AID-MPO8>3.0.CO;2-K.,,,,,,,,,,,,,,,,,,
8888809,NLM,MEDLINE,19961125,20131121,0098-1532 (Print) 0098-1532 (Linking),27,6,1996 Dec,Comparison of idarubicin to daunomycin in a randomized multidrug treatment of childhood acute lymphoblastic leukemia at first bone marrow relapse: a report from the Children's Cancer Group.,505-14,"The outcome of children with acute lymphoblastic leukemia (ALL) and bone marrow relapse has been unsatisfactory largely because of failure to prevent subsequent leukemia relapses. Ninety-six patients were enrolled and received vincristine, prednisone, L-asparaginase, and an anthracycline as reinduction therapy. Ninety-two patients were randomized to receive either daunomycin (DNR) or idarubicin (IDR). After achievement of second complete remission (CR2), maintenance chemotherapy included the same anthracycline, IDR or DNR, high-dose cytarabine, and escalating-dose methotrexate. Compared to DNR (45 mg/m2/week x 3), IDR (12.5 mg/m2/week x 3) was associated with prolonged myelosuppression and more frequent serious infections. Halfway through the study, the dose of IDR was reduced to 10 mg/m2. Overall, second remission was achieved in 71% of patients. Reinduction rate was similar for IDR and DNR. Reasons for induction failure differed; none of 15, 1 of 5, and 5 of 7 reinduction failures were due to infection for DNR, IDR (10 mg/m2), and IDR (12.5 mg/m2), respectively. Two-year event-free survival (EFS) was better among patients who received IDR (12.5 mg/m2) (27 +/- 18%) compared to DNR (10 +/- 8%, P = 0.05) and IDR (10 mg/m2) (6 +/- 12%, P = 0.02). However, after 3 years of follow-up, late events in the high-dose IDR group result in a similar EFS to the lower-dose IDR and DNR groups. In conclusion, IDR is an effective agent in childhood ALL. When used weekly at 12.5 mg/m2 during induction, the EFS outcome during the first 2 years of treatment appears better than lower-dose IDR or DNR (45 mg/m2), although this difference was not sustained at longer periods of follow-up. Increased hematopoietic toxicity seen at this dose might be reduced through the use of supportive measures, such as hematopoietins and intestinal decontamination.","['Feig, S A', 'Ames, M M', 'Sather, H N', 'Steinherz, L', 'Reid, J M', 'Trigg, M', 'Pendergrass, T W', 'Warkentin, P', 'Gerber, M', 'Leonard, M', 'Bleyer, W A', 'Harris, R E']","['Feig SA', 'Ames MM', 'Sather HN', 'Steinherz L', 'Reid JM', 'Trigg M', 'Pendergrass TW', 'Warkentin P', 'Gerber M', 'Leonard M', 'Bleyer WA', 'Harris RE']","['UCLA Medical Center, USA.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Med Pediatr Oncol,Medical and pediatric oncology,7506654,"['0 (Antibiotics, Antineoplastic)', 'ZRP63D75JW (Idarubicin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Antibiotics, Antineoplastic/*administration & dosage/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow/*pathology', 'Child', 'Child, Preschool', 'Daunorubicin/*administration & dosage/adverse effects', 'Disease-Free Survival', 'Humans', 'Idarubicin/*administration & dosage/adverse effects', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality/pathology', 'Prognosis', 'Recurrence']",1996/12/01 00:00,2000/06/20 09:00,['1996/12/01 00:00'],"['1996/12/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/12/01 00:00 [entrez]']","['10.1002/(SICI)1096-911X(199612)27:6<505::AID-MPO1>3.0.CO;2-P [pii]', '10.1002/(SICI)1096-911X(199612)27:6<505::AID-MPO1>3.0.CO;2-P [doi]']",ppublish,Med Pediatr Oncol. 1996 Dec;27(6):505-14. doi: 10.1002/(SICI)1096-911X(199612)27:6<505::AID-MPO1>3.0.CO;2-P.,,,"['CA 02971/CA/NCI NIH HHS/United States', 'CA 13539/CA/NCI NIH HHS/United States', 'CA 17829/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,,,,
8888760,NLM,MEDLINE,19961203,20190914,1077-4114 (Print) 1077-4114 (Linking),18,4,1996 Nov,Acute monocytic leukemia in a patient with severe congenital neutropenia after treatment with recombinant human granulocyte colony-stimulating factor.,422-4,,"['Nibu, K', 'Yanai, F', 'Hirota, O', 'Hatazoe, M', 'Yamaguchi, S', 'Akamatsu, M', 'Kikuchi, M', 'Morimoto, Y', 'Kuwano, A']","['Nibu K', 'Yanai F', 'Hirota O', 'Hatazoe M', 'Yamaguchi S', 'Akamatsu M', 'Kikuchi M', 'Morimoto Y', 'Kuwano A']",,['eng'],"['Case Reports', 'Letter']",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Chromosomes, Human, Pair 7', 'Granulocyte Colony-Stimulating Factor/*adverse effects', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Monocytic, Acute/*etiology/genetics', 'Monosomy', 'Myelodysplastic Syndromes/genetics', 'Neutropenia/congenital/*therapy', 'Recombinant Proteins']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1097/00043426-199611000-00023 [doi]'],ppublish,J Pediatr Hematol Oncol. 1996 Nov;18(4):422-4. doi: 10.1097/00043426-199611000-00023.,,,,,,,,,,,,,,,,,,
8888753,NLM,MEDLINE,19961203,20190914,1077-4114 (Print) 1077-4114 (Linking),18,4,1996 Nov,Differentiation induction therapy with all-trans retinoic acid (ATRA) in a patient with secondary 11q23 leukemia.,405-8,"PURPOSE: Frequently recurrent leukemia is encountered in childhood and is usually resistant to multidrug therapy. We evaluated the efficacy of differentiation induction therapy in a child with leukemia. PATIENT AND METHODS: We administered all-trans retinoic acid (ATRA) alone, and then a combination of low-dose 1-beta-D-arabinofuranosylcytosine (Ara-C), to a 7-year-old boy who had leukemia secondary to etoposide with chromosomal abnormality 11q23. RESULTS: The patient exhibited a good response to ATRA and had a complete remission after combination therapy of ATRA and low-dose Ara-C. CONCLUSION: Differentiation induction therapy with ATRA was effective in treating a patient with recurrence of leukemia without t(15;17) translocation, and which is resistant to conventional cytotoxic treatment.","['Kakihara, T', 'Tanaka, A', 'Kataoka, S', 'Yamamoto, K', 'Okada, R', 'Watanabe, A', 'Uchiyama, M', 'Kishi, K']","['Kakihara T', 'Tanaka A', 'Kataoka S', 'Yamamoto K', 'Okada R', 'Watanabe A', 'Uchiyama M', 'Kishi K']","['Department of Pediatrics, Niigata University School of Medicine, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['04079A1RDZ (Cytarabine)', '5688UTC01R (Tretinoin)', '6PLQ3CP4P3 (Etoposide)']",IM,"['Antineoplastic Combined Chemotherapy Protocols', 'Child', 'Chromosome Aberrations', 'Chromosome Disorders', 'Chromosomes, Human, Pair 11', 'Cytarabine/administration & dosage', 'Drug Resistance, Multiple', 'Etoposide/administration & dosage', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Male', 'Translocation, Genetic', 'Tretinoin/*therapeutic use']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1097/00043426-199611000-00015 [doi]'],ppublish,J Pediatr Hematol Oncol. 1996 Nov;18(4):405-8. doi: 10.1097/00043426-199611000-00015.,,,,,,,,,,,,,,,,,,
8888570,NLM,MEDLINE,19970311,20061115,0263-6484 (Print) 0263-6484 (Linking),14,3,1996 Sep,"JAR human placental choriocarcinoma cells actively synthesize, take up and release polyamines.",173-80,"Uptake of polyamines has been investigated extensively in many cells, but not in placenta, where the polyamine-polyamine oxidase system is supposed to have an immunoregulatory function in pregnancy. Due to the importance of the transfer in this tissue, we have started this study. JAR human placental choriocarcinoma cells in monolayer at confluency were used as a model for measuring the key enzymes of polyamine synthesis and interconversion, rate of uptake and efflux, and the polyamine content. Polyamines were taken up by JAR cells and released by an independent mechanism. Ornithine decarboxylase and spermidine acetyltransferase activities and the rate of transport in and out of the cell were much higher than in other cells, such as L1210 cells. However the systems used for uptake and release appear in many respects to be similar to those observed in L1210 cells, but different from others. The uptake appears to be regulated by an inhibitory protein. Moreover, protein kinase C appears to be involved in the process. The efflux also is regulated as in L1210 cells, through control of H+ and Ca2+ concentration. In conclusion, this study shows that, in JAR cells, ornithine decarboxylase and spermidine acetyltransferase activities were much higher than in other cells, and so was the rate of transport in and out of the cells. As a result, a much higher polyamine content was observed.","['Fontana, L', 'Cravanzola, C', 'Colombatto, S', 'Grillo, M A']","['Fontana L', 'Cravanzola C', 'Colombatto S', 'Grillo MA']","['Dipartimento de Medicina e Oncologia Sperimentale, Sezione di Biochimica, Torino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biochem Funct,Cell biochemistry and function,8305874,['0 (Biogenic Polyamines)'],IM,"['Animals', 'Biogenic Polyamines/biosynthesis/*metabolism', 'Biological Transport', 'Choriocarcinoma/*metabolism/pathology', 'Female', 'Humans', 'Leukemia L1210/metabolism/pathology', 'Placenta Diseases/*metabolism/pathology', 'Pregnancy', 'Tumor Cells, Cultured', 'Uterine Neoplasms/*metabolism/pathology']",1996/09/01 00:00,2000/06/20 09:00,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/09/01 00:00 [entrez]']","['10.1002/(SICI)1099-0844(199609)14:3<173::AID-CBF664>3.0.CO;2-E [pii]', '10.1002/cbf.664 [doi]']",ppublish,Cell Biochem Funct. 1996 Sep;14(3):173-80. doi: 10.1002/cbf.664.,,,,,,,,,,,,,,,,,,
8888569,NLM,MEDLINE,19970311,20131121,0263-6484 (Print) 0263-6484 (Linking),14,3,1996 Sep,Discrepancy between the initial DNA damage and cell survival after camptothecin treatment in two murine lymphoma L5178Y sublines.,163-71,"Two L5178Y (LY) murine lymphoma cell sublines, LY-R, resistant, and LY-S, sensitive, to X-irradiation display inverse cross-sensitivity to camptothecin (CPT): LY-R cells were more susceptible to this specific topoisomerase I inhibitor than LY-S cells. After 1 h incubation with CPT, the doses that inhibited growth by 50 per cent (ID50) after 48 h of incubation were 0.54 microM for LY-R cells and 1.25 microM for LY-S cells. Initial numbers of DNA-protein crosslinks (DPCs) measured at this level of growth inhibition were two-fold higher in LY-R (5.6 Gray-equivalents) than in LY-S cells (3.1 Gray-equivalents), which corresponds well with the greater in vitro sensitivity of Topo I from LY-R cells to CPT. Conversely, the initial levels of single-strand DNA breaks (SSBs) and double-strand DNA breaks (DSBs) were lower in LY-R cells (4.2 Gray-equivalent SSBs and 5.8 Gray equivalent DSBs) than in LY-S cells (8.0 Gray-equivalent SSBs and 12.0 Gray-equivalent DSBs). Dissimilarity in the replication-dependent DNA damage observed after 1 h of treatment with CPT was not due to a difference in the rate of DNA synthesis between the two cell lines, but may have arisen from a substantially slower repair of DNA breaks in LY-S cells. Release from G2 block by caffeine co-treatment significantly increased cell killing in the LY-S subline, and only slightly inhibited growth of LY-R cells. These results show that after CPT treatment cells arrest in G2, allowing them time to repair the long-lived DSBs. As LY-S cells are slower in repairing the DSBs, they were more susceptible to CPT in the presence of caffeine.","['Gradzka, I', 'Szumiel, I']","['Gradzka I', 'Szumiel I']","['Institute of Nuclear Chemistry and Technology, Warsaw, Poland.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cell Biochem Funct,Cell biochemistry and function,8305874,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Enzyme Inhibitors)', '0 (Topoisomerase I Inhibitors)', 'XT3Z54Z28A (Camptothecin)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/*therapeutic use', 'Camptothecin/*therapeutic use', 'Cell Survival/genetics', '*DNA Damage', 'Drug Resistance, Neoplasm', 'Enzyme Inhibitors/*therapeutic use', 'Leukemia L5178/*drug therapy/genetics/pathology', 'Mice', '*Topoisomerase I Inhibitors', 'Tumor Cells, Cultured']",1996/09/01 00:00,2000/06/20 09:00,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/09/01 00:00 [entrez]']","['10.1002/(SICI)1099-0844(199609)14:3<163::AID-CBF672>3.0.CO;2-K [pii]', '10.1002/cbf.672 [doi]']",ppublish,Cell Biochem Funct. 1996 Sep;14(3):163-71. doi: 10.1002/cbf.672.,,,,,,,,,,,,,,,,,,
8888496,NLM,MEDLINE,19970131,20041117,1066-5099 (Print) 1066-5099 (Linking),14,5,1996 Sep,Serum thrombopoietin level in various hematological diseases.,558-65,"To investigate the pathophysiological role of thrombopoietin (TPO) in thrombopoiesis, we measured its serum levels in 15 healthy individuals, 84 patients with various hematological diseases and 2 patients with liver cirrhosis using an enzyme immunoassay procedure. The TPO level was 0.84 +/- 0.40 f mol/ml in normal individuals. TPO levels were considerably elevated in patients with myelosuppression after intensification chemotherapy of acute leukemia in complete remission (postchemotherapy group; n = 18; 18.46 +/- 9.70 f mol/ml). When the data of normal individuals and the postchemotherapy group were combined, TPO levels were inversely correlated with the platelet count in this combined group. We compared these data of normal individuals and the postchemotherapy group with various hematological disease states. In aplastic anemia (n = 13; 16.03 +/- 9.44 f mol/ml), acute lymphoblastic leukemia (n = 5; 10.36 +/- 5.57 f mol/ml), malignant lymphoma (n = 6; 2.79 +/- 2.27 f mol/ml), multiple myeloma (n = 3; 3.34 +/- 0.20 f mol/ml) and chronic lymphocytic leukemia (n = 2; 1.71 +/- 3.91 f mol/ml), the relationship of serum TPO levels and platelet counts was almost the same as in the combined group with normal individuals and the postchemotherapy group. However, the TPO levels were slightly higher in myeloproliferative disorders (n = 12; 1.99 +/- 1.47 f mol/ml) and lower in acute myelogenous leukemia (n = 8; 2.27 +/- 1.25 f mol/ml), hypoplastic leukemia (n = 3; 2.76 +/- 2.23 f mol/ml), myelodysplastic syndrome (n = 2; 0.42 +/- 0.60 f mol/ml), liver cirrhosis (n = 2; 1.50 +/- 0.92 f mol/ml) and idiopathic thrombocytopenic purpura (n = 12; 2.08 +/- 1.41 f mol/ml), when compared to the regression line for the combined group with normal individuals and postchemotherapy group. These findings suggest that TPO might play an important role in regulation of the platelet count in normal and pathological conditions.","['Usuki, K', 'Tahara, T', 'Iki, S', 'Endo, M', 'Osawa, M', 'Kitazume, K', 'Kato, T', 'Miyazaki, H', 'Urabe, A']","['Usuki K', 'Tahara T', 'Iki S', 'Endo M', 'Osawa M', 'Kitazume K', 'Kato T', 'Miyazaki H', 'Urabe A']","['Division of Hematology, Kanto Teishin Hospital, Tokyo, Japan.']",['eng'],['Journal Article'],United States,Stem Cells,"Stem cells (Dayton, Ohio)",9304532,"['9007-41-4 (C-Reactive Protein)', '9014-42-0 (Thrombopoietin)']",IM,"['Adult', 'C-Reactive Protein/metabolism', 'Enzyme-Linked Immunosorbent Assay', 'Female', 'Fibrosis/blood', 'Hematologic Diseases/*blood/therapy', 'Hematopoiesis/*physiology', 'Humans', 'Leukemia/*blood/therapy', 'Platelet Count', 'Platelet Transfusion', 'Thrombopoietin/*blood']",1996/09/01 00:00,1996/09/01 00:01,['1996/09/01 00:00'],"['1996/09/01 00:00 [pubmed]', '1996/09/01 00:01 [medline]', '1996/09/01 00:00 [entrez]']",['10.1002/stem.140558 [doi]'],ppublish,Stem Cells. 1996 Sep;14(5):558-65. doi: 10.1002/stem.140558.,,,,,,,,,,,,,,,,,,
8888252,NLM,MEDLINE,19961125,20071115,0033-8419 (Print) 0033-8419 (Linking),201,2,1996 Nov,Sequential quantitative MR analysis of bone marrow: differences during treatment of lymphoid versus myeloid leukemia.,519-23,"PURPOSE: To assess the use of bulk T1 measurements with magnetic resonance (MR) imaging for monitoring treatment response in leukemic patients, with separate analysis of patients with acute lymphoid (ALL) and those with acute myeloid leukemia (AML). MATERIALS AND METHODS: Bulk T1 values were determined repeatedly during the first 4 weeks of treatment in 16 patients with ALL (age range, 16-72 years) and the first 6 weeks of treatment in 51 patients with AML (age range, 17-75 years). Bulk T1 values were compared in all patients with AML or ALL and in those who did or did not respond to treatment. RESULTS: MR imaging of lumbar bone marrow demonstrated statistically significant differences in initial bulk T1 values and in changes in bulk T1 values during treatment between patients with ALL and those with AML. Changes in bulk T1 after the 2nd week of treatment were statistically significantly different between patients with and those without a response who had ALL but not in those with AML. CONCLUSION: Sequential quantitative MR imaging during treatment appears valuable for prediction of response in patients with ALL but not in those with AML. Further investigations are needed to determine what influence MR imaging can have on patient care, but patients with ALL should be analyzed separately from those with AML.","['Vande Berg, B C', 'Michaux, L', 'Scheiff, J M', 'Malghem, J', 'Lecouvet, F E', 'Bourgois, M P', 'Ferrant, A', 'Michaux, J L', 'Maldague, B E']","['Vande Berg BC', 'Michaux L', 'Scheiff JM', 'Malghem J', 'Lecouvet FE', 'Bourgois MP', 'Ferrant A', 'Michaux JL', 'Maldague BE']","['Department of Radiology and Medical Imaging, St Luc University Hospital Brussels, Belgium.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Radiology,Radiology,0401260,,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Biopsy', 'Bone Marrow/*pathology', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis/drug therapy/pathology', 'Lumbar Vertebrae', '*Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/drug therapy/pathology']",1996/11/01 00:00,1996/11/01 00:01,['1996/11/01 00:00'],"['1996/11/01 00:00 [pubmed]', '1996/11/01 00:01 [medline]', '1996/11/01 00:00 [entrez]']",['10.1148/radiology.201.2.8888252 [doi]'],ppublish,Radiology. 1996 Nov;201(2):519-23. doi: 10.1148/radiology.201.2.8888252.,,,,,,,,,,,,,,,,,,
