PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,PMC,OID,GN,GR,SI,OTO,OT
562479,NLM,MEDLINE,19771229,20051117,0027-951X (Print) 0027-951X (Linking),17,3,1977 Fall,Cell surface immunoglobulin in lymphoid tumor cell lines from avian lymphoid leukosis and Marek's disease.,124-5,,"['Muto, M', 'Oki, Y']","['Muto M', 'Oki Y']",['eng'],['Journal Article'],Japan,Natl Inst Anim Health Q (Tokyo),National Institute of Animal Health quarterly,0413132,"['0 (Receptors, Antigen, B-Cell)']",IM,"['Animals', 'Avian Leukosis/*immunology', 'Cell Line', 'Chickens', 'Lymphocytes/*immunology', 'Marek Disease/*immunology', 'Receptors, Antigen, B-Cell/*analysis']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Natl Inst Anim Health Q (Tokyo). 1977 Fall;17(3):124-5.,,,,,,,,
562478,NLM,MEDLINE,19771229,20190617,0028-0836 (Print) 0028-0836 (Linking),269,5629,1977 Oct 13,Expression of MuLV GP71-like antigen in normal mouse spleen cells induced by antigenic stimulation.,598-600,,"['Wecker, E', 'Schimpl, A', 'Hunig, T']","['Wecker E', 'Schimpl A', 'Hunig T']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Antigens, Viral)']",IM,"['Animals', 'Antibody Formation', 'Antibody-Producing Cells/immunology', 'Antigen-Antibody Reactions', '*Antigens, Viral', 'Friend murine leukemia virus/*immunology', 'Lymphocyte Activation', 'Lymphocytes/*immunology', 'Mice', 'Spleen/*immunology']",1977/10/13 00:00,1977/10/13 00:01,['1977/10/13 00:00'],"['1977/10/13 00:00 [pubmed]', '1977/10/13 00:01 [medline]', '1977/10/13 00:00 [entrez]']",['10.1038/269598a0 [doi]'],ppublish,Nature. 1977 Oct 13;269(5629):598-600. doi: 10.1038/269598a0.,,,,,,,,
562446,NLM,MEDLINE,19771229,20171116,0300-8630 (Print) 0300-8630 (Linking),189,5,1977 Sep,[Tests of cell mediated immunity during the treatment of acute leukemia in infants (author's transl)].,357-64,,"['Ueda, Y', 'Fukunaga, Y', 'Shimizu, H', 'Kohgo, T', 'Kobayshi, M', 'Yamamoto, M']","['Ueda Y', 'Fukunaga Y', 'Shimizu H', 'Kohgo T', 'Kobayshi M', 'Yamamoto M']",['ger'],['Journal Article'],Germany,Klin Padiatr,Klinische Padiatrie,0326144,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '9PHQ9Y1OLM (Prednisolone)', 'E7WED276I5 (Mercaptopurine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Adolescent', 'Child', 'Child, Preschool', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Humans', 'Immune Adherence Reaction', '*Immunity, Cellular', 'Infant', 'Leukemia/drug therapy/*immunology', 'Mercaptopurine/therapeutic use', 'Prednisolone/therapeutic use', 'Vincristine/therapeutic use']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",,ppublish,Klin Padiatr. 1977 Sep;189(5):357-64.,Untersuchungen uber die zellulare Immunitat wahrend der Behandlung der akuten Leukamie im Kindesalter.,,,,,,,
562295,NLM,MEDLINE,19771229,20190706,0300-5127 (Print) 0300-5127 (Linking),5,4,1977,Interferon resistance in leukaemic cells and lysosome stability [proceedings].,1176-8,,"['Werenne, J', 'Bartholeyns, J']","['Werenne J', 'Bartholeyns J']",['eng'],['Journal Article'],England,Biochem Soc Trans,Biochemical Society transactions,7506897,"['9008-11-1 (Interferons)', 'EC 3.2.1.52 (Acetylglucosaminidase)', 'O84C90HH2L (Poly I-C)']",IM,"['Acetylglucosaminidase/metabolism', 'Animals', 'Cell Division/drug effects', 'Cell Survival/drug effects', 'Drug Resistance', 'Interferons/*pharmacology', 'Leukemia L1210/*physiopathology', 'Lysosomes/*enzymology', 'Mice', 'Mutation', 'Poly I-C/metabolism']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",['10.1042/bst0051176 [doi]'],ppublish,Biochem Soc Trans. 1977;5(4):1176-8. doi: 10.1042/bst0051176.,,,,,,,,
562209,NLM,MEDLINE,19771229,20081008,0365-9615 (Print) 0365-9615 (Linking),84,9,1977 Sep,[Duration of mitosis in the corneal epithelium and spleen cells of mice with leukemia La].,358-9,Mitotic fluctuations during 24 hours and duration of motoses were studied in the corneal epithelium and in the leukemic-La spleen cells of mice. The existence of correlative changes between the mitotic index and the duration of mitosis in the course of 24 hours was revealed. It is supposed that a more rapid course of mitosis in the intensively proliferating tissues and a slower one in the tissues with a low proliferative capacity served as a reflection of general regularity.,"['Mamontov, S G', ""Vasil'eva, V I""]","['Mamontov SG', ""Vasil'eva VI""]",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,,IM,"['Animals', 'Circadian Rhythm', 'Cornea/*physiopathology', 'Epithelium', 'Leukemia, Experimental/*physiopathology', 'Mice', 'Mice, Inbred C57BL', '*Mitosis', 'Spleen/*physiopathology', 'Time Factors']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",,ppublish,Biull Eksp Biol Med. 1977 Sep;84(9):358-9.,Dlitel'nost' mitoza v epitelii rogovitsy i kletkakh selezenki myshei s leikozom La.,,,,,,,
562183,NLM,MEDLINE,19771229,20190613,0006-2960 (Print) 0006-2960 (Linking),16,21,1977 Oct 18,Biochemical and immunological characterization of two distinct variants of histone H2A in Friend leukemia.,4557-62,"Changes in the relative amount of two histone H2A subfractions have been observed in cells at different proliferative stages of Friend leukemia. Biochemical analyses of the purified H2A subfractions reveal them to be different in primary structure, and not the result of postsynthetic modifications of the same parent protein. Antibodies raised against the purified H2A.2 subfraction cross react with H2A.1 and H2A.2, but show high specificity for the immunizing subfraction at higher sera dilutions. Only H2A.2 contains a methionine which appears critical to an antigenic difference that immunologically distinguishes H2A.2 from H2A.1. The observed change in the relative amounts of two nonallelic variants of a histone coincident with changes in the physiologic states of the cell may indicate a correlation between genome structure and function.","['Blankstein, L A', 'Stollar, B D', 'Franklin, S G', 'Zweidler, A', 'Levy, S B']","['Blankstein LA', 'Stollar BD', 'Franklin SG', 'Zweidler A', 'Levy SB']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochemistry,Biochemistry,0370623,"['0 (Amino Acids)', '0 (Antibodies)', '0 (Histones)', '0 (Peptide Fragments)', 'EC 3.4.21.4 (Trypsin)', 'EC 3.4.24.27 (Thermolysin)']",IM,"['Amino Acid Sequence', 'Amino Acids/analysis', 'Animals', 'Antibodies', 'Cell Line', 'Complement Fixation Tests', 'Cross Reactions', 'Friend murine leukemia virus', '*Histones/immunology/isolation & purification', 'Leukemia, Experimental/*analysis', 'Mice', 'Peptide Fragments/analysis', 'Thermolysin', 'Trypsin']",1977/10/18 00:00,1977/10/18 00:01,['1977/10/18 00:00'],"['1977/10/18 00:00 [pubmed]', '1977/10/18 00:01 [medline]', '1977/10/18 00:00 [entrez]']",['10.1021/bi00640a003 [doi]'],ppublish,Biochemistry. 1977 Oct 18;16(21):4557-62. doi: 10.1021/bi00640a003.,,,,,,,,
561969,NLM,MEDLINE,19771130,20190726,0031-9155 (Print) 0031-9155 (Linking),22,5,1977 Sep,Proton NMR relaxation times in the peripheral blood of cancer patients.,925-31,The proton spin lattice relaxation time (T1) of serum and leucocytes of cancer patients and normal volunteers was measured using pulsed NMR techniques. There was no statistically significant difference in the serum T1 values of cancer patients relative to normal. An increase in T1 relative to normal values was detected in the white blood cells of patients with active leukaemia. In these patients T1 fell to normal levels after the initiation of treatment. The variation of leucocyte T1 with the course of the disease for five patients having leukaemia is presented.,"['Ekstrand, K E', 'Dixon, R L', 'Raben, M', 'Ferree, C R']","['Ekstrand KE', 'Dixon RL', 'Raben M', 'Ferree CR']",['eng'],['Journal Article'],England,Phys Med Biol,Physics in medicine and biology,0401220,,IM,"['Breast Neoplasms/blood', 'Female', 'Leukemia/blood/therapy', 'Leukocyte Count', 'Leukocytes/*physiology', 'Magnetic Resonance Spectroscopy', 'Neoplasms/*blood', 'Plasma/physiology', 'Uterine Cervical Neoplasms/blood']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1088/0031-9155/22/5/012 [doi]'],ppublish,Phys Med Biol. 1977 Sep;22(5):925-31. doi: 10.1088/0031-9155/22/5/012.,,,,,,,,
561857,NLM,MEDLINE,19771125,20190509,0027-8874 (Print) 0027-8874 (Linking),59,4,1977 Oct,Superiority of adriamycin-14-octanoate over adriamycin in reducing viability of methotrexate-resistant L5178Y cells: brief communication.,1311-4,"Adriamycin-14-octanoate (ADR-OCT) was superior to adriamycin (ADR) in reducing the viability of L5178Y cells resistant to methotrexate (MTX). This effect was seen in logarithmically growing and plateau-phase cultures and increased both with dose and duration of exposure. Both ADR-OCT and ADR were effective inhibitors of the exogenous Escherichia coli DNA-dependent RNA polymerases in vitro and of the endogenous polymerase in mammalian cultured cells. Drug concentrations required for approximately 50% enzyme inhibition in both systems were comparable for both agents, being of the order of 10(-5) M. These experimental studies suggested that ADR-OCT may be a valuable agent for treating neoplasms resistant to MTX.","['Hill, B T', 'Price, L A']","['Hill BT', 'Price LA']",['eng'],"['Comparative Study', 'Journal Article']",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['80168379AG (Doxorubicin)', 'EC 2.7.7.6 (DNA-Directed RNA Polymerases)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Cell Division', 'Cell Survival/drug effects', 'Cells, Cultured', 'DNA-Directed RNA Polymerases/antagonists & inhibitors', 'Doxorubicin/*analogs & derivatives/*pharmacology', 'Drug Resistance', 'In Vitro Techniques', 'Leukemia, Experimental/*drug therapy/metabolism/pathology', 'Methotrexate/*pharmacology']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1093/jnci/59.4.1311 [doi]'],ppublish,J Natl Cancer Inst. 1977 Oct;59(4):1311-4. doi: 10.1093/jnci/59.4.1311.,,,,,,,,
561855,NLM,MEDLINE,19771125,20190509,0027-8874 (Print) 0027-8874 (Linking),59,4,1977 Oct,Altered intracellular transport of exogenous DNA by murine mammary tumor cell lines.,1257-62,"The uptake of exogenous DNA by a series of murine mammary tumor cell lines was compared with DNA uptake by normal cells and other types of transformed cells. The mammary tumor cell lines all exhibited a decreased efficiency in the transport of DNase-resistant exogenous DNA into the nuclear fraction. None of the DNA facilitators tested were able to surmount this transport defect. Normal mouse mammary gland cells, mouse embryo cells, and normal kidney cells from various species efficiently transported exogenous DNA into the nucleus. Similarly, the transport defect was not exhibited by a series of transformed cell lines, including those of mouse origin and those transformed by C-type oncornaviruses. The only exception was a murine leukemia virus-producing mouse line that displayed decreased nuclear uptake of the DNA. The nature of the exogenous DNA was apparently not a factor, since identical results were obtained with simian virus 40 and mammalian cell DNA's. The inducing agents of the mammary tumor cells also did not appear to be a factor, since cell lines derived from tumors induced spontaneously or by viral, hormonal, or chemical carcinogens all behaved similarly.","['Farber, F E', 'Smith, E M', 'Dudley, J P', 'Dixon, R A', 'Butel, J S']","['Farber FE', 'Smith EM', 'Dudley JP', 'Dixon RA', 'Butel JS']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (DNA, Viral)', '9007-49-2 (DNA)', '9015-73-0 (DEAE-Dextran)', 'M4I0D6VV5M (Calcium Chloride)']",IM,"['Animals', 'Biological Transport, Active', 'Calcium Chloride/pharmacology', 'Cell Line', 'Cell Nucleus/metabolism', 'Cell Transformation, Neoplastic', 'DEAE-Dextran/pharmacology', 'DNA/*metabolism', 'DNA, Viral/metabolism', 'Mammary Neoplasms, Experimental/drug therapy/*metabolism', 'Time Factors']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",['10.1093/jnci/59.4.1257 [doi]'],ppublish,J Natl Cancer Inst. 1977 Oct;59(4):1257-62. doi: 10.1093/jnci/59.4.1257.,,,,,,,,
561719,NLM,MEDLINE,19771125,20190706,0300-5127 (Print) 0300-5127 (Linking),5,3,1977,Nucleus-restricted polyadenylated ribonucleic acid species in mouse Friend cells [proceedings].,679-81,,"['Minty, A', 'Kleiman, L', 'Birnie, G', 'Paul, J']","['Minty A', 'Kleiman L', 'Birnie G', 'Paul J']",['eng'],['Journal Article'],England,Biochem Soc Trans,Biochemical Society transactions,7506897,"['0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '24937-83-5 (Poly A)']",IM,"['Animals', 'Cell Nucleus/*analysis', 'Friend murine leukemia virus', 'Leukemia, Experimental', 'Mice', 'Molecular Weight', 'Poly A/*analysis', 'RNA, Messenger/analysis', 'RNA, Neoplasm/*analysis']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",['10.1042/bst0050679 [doi]'],ppublish,Biochem Soc Trans. 1977;5(3):679-81. doi: 10.1042/bst0050679.,,,,,,,,
561708,NLM,MEDLINE,19771125,20061115,0014-8318 (Print) 0014-8318 (Linking),40,4,1977 Jul-Aug,[Pharmacokinetics of 35S-tomizin in mice with leukemia L-1210].,475-8,"A comparative study of the distribution of 35S-tomisin in the organism of intact (without neoplasia) mice and those with L-1210 leucosis was carried out. In both animal groups the tagged drug was found to be largely accumulating early after its introduction in the tissues of the liver, kidneys, intestines, spleen and lymph nodes. In 30 minutes time following introduction of 35-S-tomison 7.3 +/- 0.7 per cent of its amount was detected in the ascitic fluid. On centrifugation of the tagged drug its bulk (92-95 per cent) remained in the supernatant fluid. During the first 24 hours the drug leaves the body: 25-35 per cent with urine, 3-5 per cent--with feces and 0.1-0.3 per cent--with bile. In the urine of mice with leucosis the products of the 35S-tomisin biotransformation appear earlier than in intact animals. The most marked immunodepressive effect of tomisin was marked with its administration 24 and 48 hours after immunization.","['Vatin, A E', 'Popova, G E', 'Averina, S A']","['Vatin AE', 'Popova GE', 'Averina SA']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Farmakol Toksikol,Farmakologiia i toksikologiia,16920420R,"['0 (Antineoplastic Agents)', '0 (Thiazines)']",IM,"['Animals', 'Antibody-Producing Cells/drug effects', 'Antineoplastic Agents/*metabolism', 'Biotransformation', 'Leukemia L1210/*metabolism', 'Male', 'Mice', 'Neoplasm Transplantation', 'Thiazines/*metabolism/pharmacology']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",,ppublish,Farmakol Toksikol. 1977 Jul-Aug;40(4):475-8.,Farmakokinetika 35S-tomizina v organizme myshei s leikozom L-1210.,,,,,,,
561655,NLM,MEDLINE,19771130,20081121,0008-5472 (Print) 0008-5472 (Linking),37,10,1977 Oct,Sensitivity of different cell lines and of different phases in the cell cycle to hyperthermia.,3780-4,"The sensitivity of different cell lines (Chinese hamster ovary, HeLa, L1210, and P388) to 43 degrees was compared Chinese hamster ovary and HeLa cells were much less temperature sensitive than were L1210 or P388 cells. This difference persisted even when HeLa and L1210 cells were grown in the same medium and suggested that this was an inherent difference between the cell lines. Of all the cell lines, 7-day L1210 ascites, maintained by transfer in mice, were the most sensitive. The greater sensitivity of these cells, as compared to 4-day L1210 ascites or cells in culture, may be explained by the difference in their growth stages. The 7-day ascites cells would be in stationary growth as compared to the exponentially growing 4-day ascites or the cells in culture. The temperature sensitivity of Chinese hamster ovary cells in different parts of the cell cycle was determined. Mid and late-S-phase cells were more sensitive than cells in mitosis or early S; G1 and G2 cells were the least sensitive. In a partially synchronized culture, the heat sensitivity of L1210 cells increased with increased percentage of cells in S phase.","['Bhuyan, B K', 'Day, K J', 'Edgerton, C E', 'Ogunbase, O']","['Bhuyan BK', 'Day KJ', 'Edgerton CE', 'Ogunbase O']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,,IM,"['Animals', 'Cell Cycle', 'Cell Line', 'Cell Survival', '*Hot Temperature', '*Hyperthermia, Induced', 'Leukemia L1210/pathology/therapy', 'Leukemia, Experimental/pathology/*therapy']",1977/10/01 00:00,1977/10/01 00:01,['1977/10/01 00:00'],"['1977/10/01 00:00 [pubmed]', '1977/10/01 00:01 [medline]', '1977/10/01 00:00 [entrez]']",,ppublish,Cancer Res. 1977 Oct;37(10):3780-4.,,,,,,,,
561635,NLM,MEDLINE,19771130,20210216,0006-4971 (Print) 0006-4971 (Linking),50,5,1977 Nov,Cellular fluxes of vitamin B12.,877-88,"Incorporation of vitamin B12 into L1210 cells requires the protein binder transcobalamin II (TCII). The process is saturable, follows Michaelis-Menten kinetics (Km = 2.5 X 10(-9) M at 37 degrees C), is both temperature and calcium (K50 - 1 X 10(-6) M) dependent, and is inhibited by apo-TCII, indicating the presence of a TCII specific receptor on the cell membrane. B12 also leaves the cell by a calcium-independent pathway bound to either TCII or to a protein with chromatographic properties similar to those of TCIII. Since intact TCII-B12 can be found in the cytosol and can promote B12 uptake by mitochondria, it is proposed that the B12 released from the cell bound to the TCIII-like protein is derived by mitochondrial processing of incorporated TCII-B12. The slower time course of release of the latter B12 is consistent with this postulate.","['Ostray, F', 'Gams, R A']","['Ostray F', 'Gams RA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Receptors, Drug)', '0 (Transcobalamins)', 'P6YC3EG204 (Vitamin B 12)']",IM,"['Animals', 'Kinetics', 'Leukemia L1210/metabolism', 'Receptors, Drug', 'Transcobalamins/metabolism', 'Vitamin B 12/*metabolism']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",['S0006-4971(20)70104-7 [pii]'],ppublish,Blood. 1977 Nov;50(5):877-88.,,,,,,,,
561633,NLM,MEDLINE,19771130,20210216,0006-4971 (Print) 0006-4971 (Linking),50,5,1977 Nov,Inhibition of growth of normal murine granulocytes by cocultured acute leukemic cells.,799-809,,"['Miller, A M', 'Page, P L', 'Hartwell, B L', 'Robinson, S M']","['Miller AM', 'Page PL', 'Hartwell BL', 'Robinson SM']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,"['Animals', 'Cells, Cultured', 'Granulocytes/*cytology', '*Hematopoiesis', 'Leukemia, Experimental/pathology', 'Leukocytes/*cytology', 'Mice']",1977/11/01 00:00,1977/11/01 00:01,['1977/11/01 00:00'],"['1977/11/01 00:00 [pubmed]', '1977/11/01 00:01 [medline]', '1977/11/01 00:00 [entrez]']",['S0006-4971(20)70097-2 [pii]'],ppublish,Blood. 1977 Nov;50(5):799-809.,,,,,,,,
561567,NLM,MEDLINE,19771020,20190628,0003-9861 (Print) 0003-9861 (Linking),182,2,1977 Aug,Reactivation of dihydrofolate reductase inhibted by methotrexate or aminopterin.,646-56,,"['Jackson, R C', 'Niethammer, D', 'Hart, L I']","['Jackson RC', 'Niethammer D', 'Hart LI']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Biochem Biophys,Archives of biochemistry and biophysics,0372430,"['0 (Folic Acid Antagonists)', 'EC 1.5.1.3 (Tetrahydrofolate Dehydrogenase)', 'JYB41CTM2Q (Aminopterin)', 'W78I7AY22C (Deoxyuridine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Aminopterin/*pharmacology', 'Animals', 'Cell Line', 'Computers', 'Deoxyuridine', 'Dialysis', 'Enzyme Activation', 'Folic Acid Antagonists', 'Kinetics', 'Leukemia L1210/enzymology', 'Mathematics', 'Methotrexate/*pharmacology', 'Protein Binding', 'Tetrahydrofolate Dehydrogenase/*metabolism']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']","['0003-9861(77)90545-8 [pii]', '10.1016/0003-9861(77)90545-8 [doi]']",ppublish,Arch Biochem Biophys. 1977 Aug;182(2):646-56. doi: 10.1016/0003-9861(77)90545-8.,,,,,,,,
561318,NLM,MEDLINE,19771028,20190617,0028-0836 (Print) 0028-0836 (Linking),269,5623,1977 Sep 1,Rapid induction of amphotericin B sensitivity in L1210 leukaemia cells by liposomes containing ergosterol.,65-6,,"['Schiffman, F J', 'Klein, I']","['Schiffman FJ', 'Klein I']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Liposomes)', '0 (Membrane Lipids)', '7XU7A7DROE (Amphotericin B)', 'Z30RAY509F (Ergosterol)']",IM,"['Amphotericin B/*pharmacology', 'Animals', 'Cell Membrane/drug effects', 'Cell Survival/drug effects', 'Cells, Cultured', 'Ergosterol/*pharmacology', '*Leukemia L1210', 'Liposomes/*pharmacology', 'Membrane Lipids']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1038/269065a0 [doi]'],ppublish,Nature. 1977 Sep 1;269(5623):65-6. doi: 10.1038/269065a0.,,,,,,,,
561218,NLM,MEDLINE,19771014,20041117,0485-1439 (Print) 0485-1439 (Linking),18,4,1977 Apr,[Management of acute leukemia of the aged].,534,,"['Takigawa, S']",['Takigawa S'],['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Acute Disease', 'Adult', 'Age Factors', 'Aged', 'Humans', 'Leukemia/*drug therapy', 'Middle Aged']",1977/04/01 00:00,1977/04/01 00:01,['1977/04/01 00:00'],"['1977/04/01 00:00 [pubmed]', '1977/04/01 00:01 [medline]', '1977/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1977 Apr;18(4):534.,,,,,,,,
561195,NLM,MEDLINE,19771020,20200724,0022-538X (Print) 0022-538X (Linking),23,3,1977 Sep,Effect of interferon on dimethyl sulfoxide-stimulated Friend erythroleukemic cells: ultrastructural and biochemical study.,799-810,"Treatment of dimethyl sulfoxide-stimulated Friend erythroleukemic cells (clone 745) with mouse interferon (50 U/ml) led to the following changes: (i) a net decrease (40 to 60%) in both the total number of apparently newly synthesized virion particles per cell section and in the average number of cell sections containing one or more virion particles; (ii) a large decrease (80 to 90%) in the number of particles released into the supernatant fluid, as assayed by reverse transcriptase activity; (iii) an initial increase in the number of ""immature"" or ""enveloped A-type"" virions followed by an increase in the accumulation of empty, core shell-like particles; and (iv) a decrease in the number of cytoplasmic vacuolar structures, which have been implicated as a major site of virus production and which we show here by serial sectioning to be, in several instances, invaginations of the plasma membrane. The effects on virus production were noticeable 2 h after interferon addition and reached their full extent by 13 h. We conclude from these observations that interferon acts upon the late stage(s) of virion maturation, leading both to a decrease in virion production as well as to the formation of defective particles. In contrast, a small but significant increase in the rate at which globin mRNA and hemoglobin accumulate is observed after interferon treatment.","['Luftig, R B', 'Conscience, J F', 'Skoultchi, A', 'McMillan, P', 'Revel, M', 'Ruddle, F H']","['Luftig RB', 'Conscience JF', 'Skoultchi A', 'McMillan P', 'Revel M', 'Ruddle FH']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Hemoglobins)', '9004-22-2 (Globins)', '9008-11-1 (Interferons)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Line', 'Cells, Cultured/*drug effects/metabolism/microbiology', 'Dimethyl Sulfoxide/*pharmacology', 'Friend murine leukemia virus/*growth & development/ultrastructure', 'Globins/biosynthesis', 'Hemoglobins/*biosynthesis', 'Interferons/*pharmacology', 'Leukemia, Experimental', 'Models, Biological', 'Morphogenesis', 'Virus Replication']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1128/JVI.23.3.799-810.1977 [doi]'],ppublish,J Virol. 1977 Sep;23(3):799-810. doi: 10.1128/JVI.23.3.799-810.1977.,,PMC515891,,,,,,
561194,NLM,MEDLINE,19771020,20200724,0022-538X (Print) 0022-538X (Linking),23,3,1977 Sep,Mechanism of murine leukemia virus-induced fusion in rat myoblasts defective in differentiation.,768-75,"fu-1 cells, a line of rat myoblasts defective in differentiation, can be fused into multinucleate syncytia by Moloney murine leukemia virus. The effects of treating the virus with specific antibody, UV irradiation, and elevated temperature and the requirements for cellular RNA and protein synthesis have been studied as they relate to this virus-induced fusion. The results indicate that intact, but not necessarily infectious, virions are required to promote fusion of fu-1 cells. Neither actinomycin D nor cycloheximide altered the formation of syncytia; thus, neither viral nor cellular RNA or protein synthesis is required for fusion. fu-1 cells infected with the ts3 temperature-sensitive mutant of Moloney murine leukemia virus accumlate large amounts of budding virus on their cell membrane; however, this membrane-associated virus failed to induce syncytia. Upon release of the virus at the permissive temperature, fusion did occur. We conclude that contact or attachment of the immature virus to the cell membrane is not sufficient to promote murine leukemia virus-induced cell fusion; complete virions are required. From these data, we propose that adsorption and penetration of the virus may induce a change in the cell membrane that subsequently promotes the fusion of susceptible cells.","['Wong, P K', 'Yuen, P H', 'Kaufman, S J']","['Wong PK', 'Yuen PH', 'Kaufman SJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Virol,Journal of virology,0113724,"['0 (Immune Sera)', '1CC1JFE158 (Dactinomycin)', '98600C0908 (Cycloheximide)']",IM,"['Animals', '*Cell Fusion/drug effects', 'Cell Line', 'Cycloheximide/pharmacology', 'Dactinomycin/pharmacology', 'Hot Temperature', 'Immune Sera/pharmacology', 'Moloney murine leukemia virus/drug effects/*growth & development/radiation effects', 'Muscles', 'Mutation', 'Rats', 'Temperature', 'Ultraviolet Rays', 'Virus Replication']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1128/JVI.23.3.768-775.1977 [doi]'],ppublish,J Virol. 1977 Sep;23(3):768-75. doi: 10.1128/JVI.23.3.768-775.1977.,,PMC515888,,,,,,
