PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,EIN,GS,CIN,PMC,TT,CON,GR,SI,EFR
8429692,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,Characteristics of chemotherapy-induced clinical remission in long survivors with aggressive adult T-cell leukemia/lymphoma.,157-66,"The acute and lymphoma types of adult T-cell leukemia/lymphoma (ATL) usually have a very poor prognosis, although some patients achieve long survival after chemotherapy. A total of 114 patients with these aggressive types of ATL were newly diagnosed at our institution from 1975 to 1989. By multivariate analysis, poor performance status and high serum creatine levels were associated with shortened survival. With combination chemotherapy, 20 patients achieved complete remission (CR), 53 achieved partial remission (PR) and 35 showed no response. Fifteen of the CR or PR patients survived for more than two years and all other patients survived for less than two years. As compared with short survivors (< 2 years) after remission, long survivors (> or = 2 years) after remission had a higher CR/PR ratio, a longer time until remission and a higher doxorubicin dose to achieve remission. Death due to causes other than the primary disease occurred in 18% of short survivors after remission and in 11.2% of nonresponders, but in none of the long survivors. Long survivors with acute ATL included 6 patients with CR and 5 patients with PR. All four lymphoma type ATL long survivors achieved CR. Monoclonal integration of HTLV-I provirus was detected in the peripheral blood mononuclear cells of all 3 PR long survivors with acute ATL studied, but was not detected in all 4 CR cases studied at remission. The minimum CD4/CD8 ratio of peripheral mononuclear cells at remission was < 1.0 in all acute ATL long survivors with CR, and was > 1.0 in all acute ATL long survivors with PR. Three out of six acute ATL long survivors with CR developed suspected viral infection just before achieving CR. Our findings show that in aggressive ATL the characteristics of remission are heterogeneous even among long survivors.","['Tsukasaki, K', 'Ikeda, S', 'Murata, K', 'Maeda, T', 'Atogami, S', 'Sohda, H', 'Momita, S', 'Jubashi, T', 'Yamada, Y', 'Mine, M']","['Tsukasaki K', 'Ikeda S', 'Murata K', 'Maeda T', 'Atogami S', 'Sohda H', 'Momita S', 'Jubashi T', 'Yamada Y', 'Mine M', 'et al.']","['Department of Hematology, Nagasaki University School of Medicine, Japan.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (DNA, Viral)', 'EC 1.1.1.27 (L-Lactate Dehydrogenase)']",IM,"['Adult', 'Antineoplastic Agents/administration & dosage', 'CD4-CD8 Ratio', 'DNA, Viral/genetics', 'Female', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'L-Lactate Dehydrogenase/blood', 'Leukemia-Lymphoma, Adult T-Cell/classification/*drug therapy/microbiology/physiopathology', 'Leukocyte Count', 'Male', 'Survival Analysis', 'Virus Integration']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']",['10.1016/0145-2126(93)90061-o [doi]'],ppublish,Leuk Res. 1993 Feb;17(2):157-66. doi: 10.1016/0145-2126(93)90061-o.,,,,,,,,,,
8429691,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,Adsorption and uptake of the alkyllysophospholipid ET-18-OCH3 by HL-60 cells during induction of differentiation by dimethylsulfoxide.,143-8,"The human leukemic cell line HL-60 is highly sensitive to the antineoplastic agent alkyllysophospholipid, 1-octadecyl-2-methyl-sn-glycerol-3-phosphocholine (ET-18-OCH3). We investigated the adsorption and uptake of radiolabeled ET-18-OCH3 in undifferentiated HL-60 cells and during differentiation to granulocytes induced by dimethylsulfoxide. HL-60 cells become less sensitive to the cytotoxic action of ET-18-OCH3 during differentiation. The decrease in sensitivity is correlated with a decrease in both adsorption and uptake of [3H]ET-18-OCH3 during differentiation. Binding studies revealed that the binding of ET-18-OCH3 to both undifferentiated and differentiated HL-60 cells is non-saturable which renders the existence of a specific binding place highly unlikely.","['Heesbeen, E C', 'Verdonck, L F', 'Haagmans, M', 'van Heugten, H G', 'Staal, G E', 'Rijksen, G']","['Heesbeen EC', 'Verdonck LF', 'Haagmans M', 'van Heugten HG', 'Staal GE', 'Rijksen G']","['Department of Hematology, University Hospital Utrecht, The Netherlands.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Phospholipid Ethers)', '1Y6SNA8L5S (edelfosine)']",IM,"['Adsorption', 'Biological Transport', 'Cell Differentiation/drug effects', 'Cell Division', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/*metabolism/pathology', 'Phospholipid Ethers/*metabolism', 'Tumor Cells, Cultured']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']","['0145-2126(93)90059-T [pii]', '10.1016/0145-2126(93)90059-t [doi]']",ppublish,Leuk Res. 1993 Feb;17(2):143-8. doi: 10.1016/0145-2126(93)90059-t.,,,,,,,,,,
8429689,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,Up-regulation of small GTP-binding proteins smg P21A and ras P21S during TPA-induced differentiation of human leukemia cell lines.,129-36,"The protein smg p21A/Krev-1/rap 1A was identified as a ras p21-like small G-protein, having the ability to revert v-Ki-ras transformed NIH 3T3 fibroblasts. The expression level of smg p21A and ras p21s during phorbol ester-induced differentiation of HL-60 and MEG-01 cell lines was analyzed by immuno- and Northern blotting. In both cell lines, levels of smg p21 and ras p21s increased quickly in early phase of differentiation along with the appearance of differentiation phenotypes. They increased 3-4 fold on days 1-2, then decreased gradually. The increasing smg 21 mRNA levels also corresponded with that of products. Among ras mRNAs, Ha-ras and N-ras transcripts increased somewhat faster than smg 21. These small G-proteins may play closely related roles in the differentiation of these leukemia cell lines.","['Yamashiro, S', 'Takayama, K', 'Shiku, H', 'Furukawa, K']","['Yamashiro S', 'Takayama K', 'Shiku H', 'Furukawa K']","['Department of Oncology, Nagasaki University School of Medicine, Japan.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Macrophage-1 Antigen)', '0 (Platelet Membrane Glycoproteins)', '0 (RNA, Messenger)', 'EC 3.6.1.- (GTP-Binding Proteins)', 'EC 3.6.5.2 (HRAS protein, human)', 'EC 3.6.5.2 (Proto-Oncogene Proteins p21(ras))', 'EC 3.6.5.2 (rap GTP-Binding Proteins)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Cell Differentiation/drug effects', 'GTP-Binding Proteins/genetics/*metabolism', 'Humans', 'In Vitro Techniques', 'Leukemia/*metabolism/pathology', 'Macrophage-1 Antigen/metabolism', 'Platelet Membrane Glycoproteins/metabolism', 'Proto-Oncogene Proteins p21(ras)/genetics/*metabolism', 'RNA, Messenger/genetics', 'Tetradecanoylphorbol Acetate/*pharmacology', 'Transcription, Genetic', 'Tumor Cells, Cultured', 'rap GTP-Binding Proteins']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']","['0145-2126(93)90057-R [pii]', '10.1016/0145-2126(93)90057-r [doi]']",ppublish,Leuk Res. 1993 Feb;17(2):129-36. doi: 10.1016/0145-2126(93)90057-r.,,,,,,,,,,
8429688,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,The use of an enzyme single fiber reactor in the study of leukemic cell proliferation: in vitro experiments and computer simulation.,121-8,"This paper describes the use of an immobilized enzyme reactor in the study of the in vitro effects of lysine deprivation on leukemic blood. L-lysine alpha-oxidase is immobilized in a single hollow fiber reactor to remove lysine from the blood of sheep infected by BLV. The treatment relies on the higher sensitivity of leukemic cells to nutrient depletion than that of normal cells. A population balance model is used to describe the changes in the leukocyte proliferative capacity after treatment. Additionally, preliminary data from in vitro tests with human blood demonstrate the potential of L-lysine alpha-oxidase and the enzymatic reactor in treating leukemia.","['Reiken, S R', 'Briedis, D M']","['Reiken SR', 'Briedis DM']","['Department of Chemical Engineering, Michigan State University, East Lansing 48824-1226.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Enzymes, Immobilized)', 'EC 1.4.- (Amino Acid Oxidoreductases)', 'EC 1.4.3.14 (L-lysine oxidase)', 'K3Z4F929H6 (Lysine)']",IM,"['Amino Acid Oxidoreductases/metabolism', 'Cell Division', 'Computer Simulation', 'Enzymes, Immobilized', 'Humans', 'In Vitro Techniques', 'Leukemia/*pathology', 'Lysine/*physiology', 'Models, Theoretical', 'Tumor Cells, Cultured', 'Ultrafiltration']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']","['0145-2126(93)90056-Q [pii]', '10.1016/0145-2126(93)90056-q [doi]']",ppublish,Leuk Res. 1993 Feb;17(2):121-8. doi: 10.1016/0145-2126(93)90056-q.,,,,,,,,,,
8429687,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,Effects of carboplatin in combination with other anticancer agents on human leukemia cell lines.,113-9,"In vitro studies with drug combinations of carboplatin and other anticancer agents were carried out in MOLT-3 human lymphoblastic leukemia and HL-60 human promyelocytic leukemia cell lines. Cells were incubated for 3 days in the presence of various concentrations of carboplatin and other drugs and cell growth inhibition was determined by MTT assay. The antitumor effects of the drug combinations at ID50 were analyzed using an improved isobologram. In MOLT-3 cells, supra-additive (synergistic) effects were observed for carboplatin in combination with cytosine arabinoside, mitoxantrone and CPT-11. Additive effects were observed for combinations of carboplatin with bleomycin, daunorubicin, doxorubicin, etoposide, 6-mercaptopurine, and vincristine. Sub-additive and protective (antagonistic) effects were observed with methotrexate. Synergistic or antagonistic effects for combinations of carboplatin and CPT-11, cytosine arabinoside, mitoxantrone and methotrexate were also observed in HL-60 cells. These findings suggest that carboplatin has additive or synergistic cytotoxic effects with most of the agents tested. Determination of the usefulness of these drug combinations awaits appropriate in vivo experiments that should assess both tumorcidal effects and possible increased toxicity. The simultaneous administration of carboplatin and methotrexate would be of little effect. To find optimal schedules for this combination, further pre-clinical studies of various combinations schedule would appear to be warranted.","['Kano, Y', 'Akutsu, M', 'Suzuki, K', 'Yoshida, M']","['Kano Y', 'Akutsu M', 'Suzuki K', 'Yoshida M']","['Division of Medical Oncology, Tochigi Cancer Center, Japan.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,['BG3F62OND5 (Carboplatin)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/*administration & dosage', 'Carboplatin/*administration & dosage', 'Cell Division/drug effects', 'Drug Synergism', 'Humans', 'In Vitro Techniques', 'Leukemia/*drug therapy', 'Tumor Cells, Cultured']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']","['0145-2126(93)90055-P [pii]', '10.1016/0145-2126(93)90055-p [doi]']",ppublish,Leuk Res. 1993 Feb;17(2):113-9. doi: 10.1016/0145-2126(93)90055-p.,,,,,,,,,,
8429686,NLM,MEDLINE,19930310,20190825,0145-2126 (Print) 0145-2126 (Linking),17,2,1993 Feb,The expression of tissue factor antigen and activity on the surface of leukemic cells.,103-11,"Tissue factor activity of intact cell and cell lysate, and the presence of tissue factor antigen on cell surface, were examined in leukemic cells from patients with acute myelogenous leukemia (AML, M1-M5) or acute lymphoblastic leukemia (ALL-L1), and in mononuclear cells from normal donors. Leukemic cells from AML or ALL had significantly more tissue factor activity not only on intact cells but also in cell lysate than mononuclear cells from normal donors (p < 0.001). Tissue factor activities of the intact leukemic cells and lysate from AML patients with DIC were significantly higher than those without DIC (p < 0.001). The relationship between the percent of positive cells for tissue factor and the presence of DIC at the time of diagnosis of acute leukemia was observed. The patients with DIC showed the higher percentage of tissue factor-positive cells than those without (p < 0.01). The development of DIC following chemotherapy was recognized in 2 out of 7 AML-MI patients and 2 out of 4 ALL-L1 patients who had relatively high tissue factor activities of cell lysate. The release of tissue factor from cytoplasm induced by chemotherapy would be another mechanism for the development of DIC. The report suggests the possibility of the prediction for DIC by the flowcytometric assay of tissue factor antigen.","['Tanaka, M', 'Yamanishi, H']","['Tanaka M', 'Yamanishi H']","['Nagoya National Hospital, Department of Clinical Research, Japan.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, Surface)', '9035-58-9 (Thromboplastin)']",IM,"['Antigens, Surface/metabolism', 'Disseminated Intravascular Coagulation/metabolism', 'Flow Cytometry', 'Humans', 'Leukemia/*metabolism', 'Leukemia, Myeloid, Acute/*metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism', 'Thromboplastin/*metabolism']",1993/02/01 00:00,1993/02/01 00:01,['1993/02/01 00:00'],"['1993/02/01 00:00 [pubmed]', '1993/02/01 00:01 [medline]', '1993/02/01 00:00 [entrez]']","['0145-2126(93)90054-O [pii]', '10.1016/0145-2126(93)90054-o [doi]']",ppublish,Leuk Res. 1993 Feb;17(2):103-11. doi: 10.1016/0145-2126(93)90054-o.,,,,,,,,,,
8429683,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,Role of transforming growth factor-beta in chronic lymphocytic leukemia.,81-7,"TGF-beta is an important immunoregulator as it suppresses proliferation and function of B- and T-lymphocytes. In the present study we have examined the cellular localization and secretion of TGF-beta in B-cells from normal donors and patients with CLL and have assessed the influence of TGF-beta 1 on DNA synthesis in these cells. Using anti-LC(1-30)--a polyclonal anti-TGF-beta 1 antibody--TGF-beta was localized to discrete sites within the cytoplasm of both normal and malignant lymphocytes. These areas co-localized with areas detected by an antigranule antibody (D545), suggesting that TGF-beta may be stored within cytoplasmic secretory vesicles. Both normal B- and CLL cells contained low or undetectable levels of TGF-beta mRNA and secreted low and equivalent amounts of TGF-beta. Compared to untreated cells, DNA synthesis was reduced by TGF-beta 1 to a mean +/- S. E. of 0.84 +/- 0.07 in CLL cells and this was significantly less (p < 0.001) than that observed in normal B-cells (mean +/- S. E. of control, 0.12 +/- 0.02). In 3 of the 18 patients, TGF-beta 1 stimulated DNA synthesis. The reduced inhibition of leukemic cell DNA synthesis by TGF-beta 1 in CLL may provide these cells with a growth or survival advantage over normal lymphocytes and contribute to their selective accumulation.","['Israels, L G', 'Israels, S J', 'Begleiter, A', 'Verburg, L', 'Schwartz, L', 'Mowat, M R', 'Johnston, J B']","['Israels LG', 'Israels SJ', 'Begleiter A', 'Verburg L', 'Schwartz L', 'Mowat MR', 'Johnston JB']","['Manitoba Institute of Cell Biology, Manitoba Cancer Treatment and Research Foundation, Winnipeg, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (DNA, Neoplasm)', '0 (RNA, Messenger)', '0 (Transforming Growth Factor beta)']",IM,"['DNA, Neoplasm/biosynthesis', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism/pathology', 'Lymphocytes/chemistry', 'Male', 'RNA, Messenger/analysis', 'Transforming Growth Factor beta/analysis/metabolism/*pharmacology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90144-A [pii]', '10.1016/0145-2126(93)90144-a [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):81-7. doi: 10.1016/0145-2126(93)90144-a.,,,,,,,,,,
8429682,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,Biodistribution and in vivo antitumor efficacy of the systemically administered anti-human T-leukemia immunotoxins and potentiation of their efficacy by alpha-interferon.,69-79,"In this study, the systemically administered anti-human T-leukemia immunotoxins (ITs) are shown to be effective for tumor suppression in Ichikawa T-leukemia-bearing nude mice. In addition, their antitumor efficacy was markedly potentiated by recombinant human IFN-alpha. The combination of ITs and IFN-alpha effectively killed the tumor in the majority of the treated mice; 9 of the 12 treated mice survived tumor-free for as long as they were followed, i.e. for 140 days. Two different ITs, SN1-ricin A chain (RA) and SN2-RA, were used together to minimize the problem of tumor heterogeneity; monoclonal antibodies SN1 and SN2 are directed toward two different human T-leukemia associated cell surface antigens. In the biodistribution experiments, the paired label technique was used to include a reliable internal control. In an experiment, equal amounts of 125I-SN1-RA and 131I-labelled isotype-matching control IgG (IgG1-kappa)-RA were mixed and administered i.v. into tumor-bearing nude mice. In a separate experiment, a mixture of equal amounts of 125I-SN2-RA and 131I-control IgG-RA was administered i.v. This technique allowed us to distinguish the immunospecific uptake from the non-immunospecific uptake of ITs into individual organs. The present results clearly show that both SN1-RA and SN2-RA are specifically localized in tumors after systemic administration. For instance, 24 h after the administration of a radiolabelled mixture, the ratio of 125I/131I in the tumor was 7.0 and 23.5, respectively, for the SN1-RA/control IgG-RA mixture and the SN2-RA/control IgG-RA mixture. Such high ratios of 125I/131I were detected in the tumors throughout the experiments between 30 min and 24 h after the administration of the paired label mixture.","['Yokota, S', 'Okazaki, M', 'Yoshida, M', 'Seon, B K']","['Yokota S', 'Okazaki M', 'Yoshida M', 'Seon BK']","['Department of Molecular Immunology, Roswell Park Cancer Institute, Buffalo, NY 14263.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Neoplasm)', '0 (Immunotoxins)', '0 (Interferon Type I)', '0 (Iodine Radioisotopes)', '0 (Recombinant Proteins)', '9009-86-3 (Ricin)']",IM,"['Animals', 'Antibodies, Monoclonal/therapeutic use', 'Antigens, Neoplasm/analysis', 'Drug Synergism', 'Female', 'Humans', 'Immunotoxins/metabolism/*therapeutic use', 'Interferon Type I/*therapeutic use', 'Iodine Radioisotopes', 'Leukemia-Lymphoma, Adult T-Cell/immunology/*therapy', 'Mice', 'Mice, Nude', 'Recombinant Proteins', 'Ricin/*therapeutic use', 'Tissue Distribution', 'Tumor Cells, Cultured']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90143-9 [pii]', '10.1016/0145-2126(93)90143-9 [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):69-79. doi: 10.1016/0145-2126(93)90143-9.,,,,,,,,['CA16056/CA/NCI NIH HHS/United States'],,
8429681,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,Normal hematopoietic reconstitution following ASTA-Z 7557-purged grafts in the absence of in vitro CFU-GM colony growth.,61-7,"Hematopoietic reconstitution was assessed in 26 consecutive patients who underwent autologous bone marrow transplantation (ABMT) with ASTA-Z 7557 purged bone marrows. Of the 26, 17 had acute non-lymphoblastic leukemia (ANLL), 7 had acute lymphoblastic leukemia (ALL), 1 had non-Hodgkin's lymphoma (NHL) and 1 had multiple myeloma (MM). Twelve patients had practically no CFU-GM growth after ASTA-Z treatment. No statistical difference was observed in hematopoietic reconstitution between patients with or without in vitro CFU-GM colony growth. No significant linear correlation was observed between CFU-GM content in the treated graft and day of engraftment. In vitro CFU-GM growth has no predictive value in assessing hematopoietic recovery in vivo. Patients with no CFU-GM growth demonstrated normal engraftment.","['Nagler, A', 'Mumcuoglu, M', 'Naparstek, E', 'Or, R', 'Gan, S', 'Slavin, S']","['Nagler A', 'Mumcuoglu M', 'Naparstek E', 'Or R', 'Gan S', 'Slavin S']","['Department of Bone Marrow Transplantation, Hadassah University Hospital, Jerusalem, Israel.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '5970HH9923 (mafosfamide)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*pharmacology', 'Bone Marrow Cells', 'Bone Marrow Purging/*methods', 'Bone Marrow Transplantation/*methods', 'Child', 'Child, Preschool', 'Cyclophosphamide/*analogs & derivatives/pharmacology', 'Female', 'Hematopoiesis/*physiology', 'Hematopoietic Stem Cells/*physiology', 'Humans', 'Leukemia, Myeloid, Acute/therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Regression Analysis', 'Transplantation, Autologous']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90142-8 [pii]', '10.1016/0145-2126(93)90142-8 [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):61-7. doi: 10.1016/0145-2126(93)90142-8.,,,,,,,,,,
8429680,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,Functional interleukin-2 receptor on a Tac negative human leukaemia T-cell line.,51-9,"Cell line PER-423 was derived from the cells of a patient with an immature acute T-lymphoblastic leukaemia and the growth of this human cell line is strictly dependent on interleukin-2 (IL-2). PER-423 cells express the p75 (beta) subunit of the IL-2 receptor (IL-2R beta), while the p55 chain (IL-2R alpha) is not detectable by immunofluorescence. The analysis of the IL-2R revealed that it is of intermediate affinity and the median effective IL-2 concentration for PER-423 cells (EC50 value) was determined to be 1.44 +/- 0.29 nM. Chemical crosslinking studies showed that the receptor consists of one polypeptide of approximately 95 kDa as well as a doublet of 70 kDa and 60 kDa and does not include the IL-2R alpha-chain. The steady-state mRNA level for the p75 subunit was similar to that present in a cell line expressing an IL-2R alpha+ beta+, while only traces for the alpha-chain were detectable. PER-423 cells can be induced to express the alpha-chain of the IL-2R on the cell surface, concomitant with a much reduced EC50 level. Since cell line PER-423 is functionally dependent on IL-2, it provides an ideal model for IL-2 signal transduction studies and for investigations focusing on the requirements for ligand binding vs activation.","['Kees, U R', 'Ford, J', 'Peroni, S E', 'Ranford, P R']","['Kees UR', 'Ford J', 'Peroni SE', 'Ranford PR']","['Western Australian Research Institute for Child Health, Princess Margaret Hospital, Perth.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Interleukin-2)', '0 (RNA, Messenger)', '0 (Receptors, Interleukin-2)']",IM,"['Child, Preschool', 'Humans', 'Interleukin-2/metabolism', 'Leukemia-Lymphoma, Adult T-Cell/*metabolism', 'Male', 'RNA, Messenger/analysis', 'Receptors, Interleukin-2/*analysis/genetics', 'Tumor Cells, Cultured']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90141-7 [pii]', '10.1016/0145-2126(93)90141-7 [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):51-9. doi: 10.1016/0145-2126(93)90141-7.,,,,,,,,,,
8429679,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,"Preleukemic proliferative changes in murine bone marrow after single and multiple 7,12-dimethylbenz(a)anthracene (DMBA)-applications.",43-9,"The effect of a leukemia-inducing treatment on early changes in kinetic parameters of murine bone marrow cells were investigated. Mice were treated i.p. one, four and eight times at biweekly intervals with 1 mg DMBA. Up to nine weeks after the last injection, CFU-S number, proliferation ability of bone marrow cells (PF), cell doubling time (td) and the compartment ratio (CR) were measured. Following multiple DMBA injections, CFU-S number and PF were decreased whereas CR and td increased, thus indicating persisting stem cell injury and proliferative compensation in the hemopoietic amplification compartment. A single DMBA injection had no effect. It is concluded that a first DMBA injection induces cytotoxic (and genotoxic) damage in the bone marrow leading simultaneously to a strong proliferation stimulus and a hindered proliferation ability of HSC, some of which will be predisposed for further mutagenic treatment. The following DMBA injections meet strongly proliferating HSCs, thus enhancing the probability for the loss of proliferation control/terminal differentiation.","['Peterson, H P', 'Feldges, A', 'von Wangenheim, K H', 'Feinendegen, L E']","['Peterson HP', 'Feldges A', 'von Wangenheim KH', 'Feinendegen LE']","['Institute of Medicine, Research Center Julich GmbH, F.R.G.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['57-97-6 (9,10-Dimethyl-1,2-benzanthracene)']",IM,"['9,10-Dimethyl-1,2-benzanthracene/*toxicity', 'Animals', 'Body Weight/drug effects', 'Bone Marrow/*drug effects/*pathology', 'Cell Division/drug effects', 'Female', 'Hematopoietic Stem Cells/drug effects', 'Leukocyte Count/drug effects', 'Mice', 'Mice, Inbred C57BL', 'Preleukemia/*chemically induced/pathology']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90140-G [pii]', '10.1016/0145-2126(93)90140-g [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):43-9. doi: 10.1016/0145-2126(93)90140-g.,,,,,,,,,,
8429678,NLM,MEDLINE,19930305,20190825,0145-2126 (Print) 0145-2126 (Linking),17,1,1993 Jan,Changes of buoyant density during the S-phase of the cell cycle. Direct evidence demonstrated in acute myeloid leukemia by flowcytometry.,37-41,"Studies with synchronized or exponentially growing bacteria and mammalian cell lines are not able to demonstrate small changes in buoyant density during the cell cycle. Flowcytometric analysis of density separated acute myeloid leukemia cells, a system not dependent on time-related variables, shows that the cellular buoyant density increases slightly with up to 0.008 g/ml during the S-phase, at least in cryo-preserved cells used in this study. This contrasts with the generally accepted belief that S-phase cells have a lower or constant buoyant density. A practical implication is that separation of cell (sub)populations based on differences in buoyant density could be flawed to the extent that these populations contain S-phase cells.","['Daenen, S', 'Huiges, W', 'Modderman, E', 'Halie, M R']","['Daenen S', 'Huiges W', 'Modderman E', 'Halie MR']","['Department of Hematology, University of Groningen, The Netherlands.']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,['9007-49-2 (DNA)'],IM,"['DNA/analysis', '*Flow Cytometry', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', '*S Phase', 'Specific Gravity']",1993/01/01 00:00,1993/01/01 00:01,['1993/01/01 00:00'],"['1993/01/01 00:00 [pubmed]', '1993/01/01 00:01 [medline]', '1993/01/01 00:00 [entrez]']","['0145-2126(93)90139-C [pii]', '10.1016/0145-2126(93)90139-c [doi]']",ppublish,Leuk Res. 1993 Jan;17(1):37-41. doi: 10.1016/0145-2126(93)90139-c.,,,,,,,,,,
