PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,RN,GR,SI,TT,RF,CON,CIN,CRF,EIN,OID,OTO,OT,GN
8707413,NLM,MEDLINE,19960910,20160303,0020-7136 (Print) 0020-7136 (Linking),67,3,1996 Jul 29,In vitro evaluation of a p53-expressing adenovirus as an anti-cancer drug.,386-92,"Deficiency in p53-mediated cell death is common in human cancer, contributing to both tumorigenesis and chemoresistance. In an attempt to restore p53, we evaluated in vitro infectivity and cytotoxicity of a wild type (w.t.) p53-expressing adenovirus (Ad-p53) toward a panel of human cancer cell lines (n = 19). At a multiplicity of infection of 30, both Ad-p53 and adenovirus expressing beta-galactosidase (Ad-LacZ) infected greater than 99% of cells derived from brain, lung, breast, ovarian, colon, and prostate cancer, but failed to infect leukemia or lymphoma cells. Ad-p53, but not Ad-LacZ, infection of cancer cells was followed by nuclear accumulation of the CDK inhibitor p21WAFI/CIPI, cell cycle arrest and loss of viability. Ad-p53 induced apoptotic death in cancer cells that express mutant p53, including multi-drug resistant cells, but fewer deaths were observed in some w.t. p53 expressing cells. Ad-p53-infected SKBr3 breast cancer cells were more sensitive to cytotoxicity of the DNA damaging drugs mitomycin C or Adriamycin, but not the M-phase specific drug vincristine. Our results suggest that Ad-p53 is capable of infecting and killing cancer cells of diverse tissue origins (including multi-drug resistant cancer cells), that p21WAFI/CIPI may be a useful marker of p53 infectivity and that there may be synergy between Ad-p53 and either mitomycin C or Adriamycin induced cell death in tumors with p53 mutations.","['Blagosklonny, M V', 'el-Deiry, W S']","['Blagosklonny MV', 'el-Deiry WS']","['Laboratory of Molecular Oncology and Cell Cycle Regulation, University of Pennsylvania Comprehensive Cancer Center, Philadelphia, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adenoviridae/*genetics/*metabolism', 'Adenovirus Infections, Human/genetics/metabolism/virology', 'Antineoplastic Agents/pharmacology', 'Breast Neoplasms/genetics/therapy/virology', 'Colonic Neoplasms/genetics/therapy/virology', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/analysis', 'Drug Resistance, Multiple', 'Evaluation Studies as Topic', 'Genes, p53', 'Glioblastoma/genetics/therapy/virology', 'Humans', 'Lung Neoplasms/genetics/therapy/virology', 'Neoplasms/genetics/*therapy/*virology', 'Time Factors', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/biosynthesis/genetics/*physiology']",1996/07/29 00:00,2000/06/20 09:00,['1996/07/29 00:00'],"['1996/07/29 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/07/29 00:00 [entrez]']","['10.1002/(SICI)1097-0215(19960729)67:3<386::AID-IJC13>3.0.CO;2-6 [pii]', '10.1002/(SICI)1097-0215(19960729)67:3<386::AID-IJC13>3.0.CO;2-6 [doi]']",ppublish,Int J Cancer. 1996 Jul 29;67(3):386-92. doi: 10.1002/(SICI)1097-0215(19960729)67:3<386::AID-IJC13>3.0.CO;2-6.,,"['0 (Antineoplastic Agents)', '0 (CDKN1A protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p21)', '0 (Cyclins)', '0 (Tumor Suppressor Protein p53)']",,,,,,,,,,,,
8707407,NLM,MEDLINE,19960910,20160303,0020-7136 (Print) 0020-7136 (Linking),67,3,1996 Jul 29,Cancer consequences of the Chernobyl accident in Europe outside the former USSR: a review.,343-52,"The accident which occurred during the night of April 25-26, 1986 in reactor 4 of the Chernobyl nuclear power plant in the Ukraine released considerable amounts of radioactive substances into the environment. Outside the former USSR, the highest levels of contamination were recorded in Bulgaria, Austria, Greece and Romania, followed by other countries of Central, Southeast and Northern Europe. Studies of the health consequences of the accident have been carried out in these countries, as well as in other countries in Europe. This report presents the results of a critical review of cancer studies of the exposed population in Europe, carried out on the occasion of the 10th anniversary of the Chernobyl accident. Overall, three is no evidence to date of a major public health impact of the Chernobyl accident in the field of cancer in countries of Europe outside the former USSR.","['Sali, D', 'Cardis, E', 'Sztanyik, L', 'Auvinen, A', 'Bairakova, A', 'Dontas, N', 'Grosche, B', 'Kerekes, A', 'Kusic, Z', 'Kusoglu, C', 'Lechpammer, S', 'Lyra, M', 'Michaelis, J', 'Petridou, E', 'Szybinski, Z', 'Tominaga, S', 'Tulbure, R', 'Turnbull, A', 'Valerianova, Z']","['Sali D', 'Cardis E', 'Sztanyik L', 'Auvinen A', 'Bairakova A', 'Dontas N', 'Grosche B', 'Kerekes A', 'Kusic Z', 'Kusoglu C', 'Lechpammer S', 'Lyra M', 'Michaelis J', 'Petridou E', 'Szybinski Z', 'Tominaga S', 'Tulbure R', 'Turnbull A', 'Valerianova Z']","['Programme on Radiation and Cancer, International Agency for Research on Cancer, Lyon, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Dose-Response Relationship, Radiation', 'Europe/epidemiology', 'Humans', 'Incidence', 'Infant', 'Infant, Newborn', 'Leukemia, Radiation-Induced/epidemiology/etiology', 'Middle Aged', 'Neoplasms/*epidemiology/etiology', 'Neoplasms, Radiation-Induced/*epidemiology/etiology', '*Power Plants', '*Radioactive Hazard Release', 'Thyroid Neoplasms/epidemiology/etiology', 'Ukraine/epidemiology']",1996/07/29 00:00,2000/06/20 09:00,['1996/07/29 00:00'],"['1996/07/29 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/07/29 00:00 [entrez]']","['10.1002/(SICI)1097-0215(19960729)67:3<343::AID-IJC7>3.0.CO;2-R [pii]', '10.1002/(SICI)1097-0215(19960729)67:3<343::AID-IJC7>3.0.CO;2-R [doi]']",ppublish,Int J Cancer. 1996 Jul 29;67(3):343-52. doi: 10.1002/(SICI)1097-0215(19960729)67:3<343::AID-IJC7>3.0.CO;2-R.,,,,,,33,,,,,,,,
8707403,NLM,MEDLINE,19960910,20160303,0020-7136 (Print) 0020-7136 (Linking),67,3,1996 Jul 29,"Epidemiology of childhood leukemia in Hokkaido, Japan.",323-6,"The population-based epidemiological indices (crude incidence, survival rate, mortality, etc.) of childhood leukemia (0-14 years of age) from 1969 to 1993 in Hokkaido Prefecture, Japan, were calculated, using data obtained from the Registry of Childhood Malignancies in Hokkaido Prefecture. A total of 1,084 cases of leukemia were diagnosed in the 1969-93 period. The annual incidence of all types of leukemia from 1984 to 1993 was about 4 per 100,000 children aged 0-14 years, with the incidence of ANLL decreasing slightly and that of ALL increasing. The ratio of ALL/ANLL could similarly be seen to be increasing in all age groups. Out of a cohort of 100,000 live births, about 65 children developed leukemia by 14 years of age, and in this longitudinal observation the ratio of ALL/ANLL was increasing. The incidence of ALL and ANLL and the ratio of ALL/ANLL in Japanese children are approaching those of Caucasians. Approximately 80% of the ALL cases were of the LI type (FAB classification), and about 65% of these could be immunologically classified as ""common"" ALL. The 5-year survival rate of T- and B-cell ALL cases was 50% or less, while that of ""common"" ALL cases was about 80%.","['Nishi, M', 'Miyake, H', 'Takeda, T', 'Shimada, M']","['Nishi M', 'Miyake H', 'Takeda T', 'Shimada M']","['Department of Public Health, Sapporo Medical College, Japan.']",['eng'],['Journal Article'],United States,Int J Cancer,International journal of cancer,0042124,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Cross-Sectional Studies', 'Humans', 'Infant', 'Infant, Newborn', 'Japan/epidemiology', 'Leukemia/classification/*epidemiology/mortality', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/epidemiology/mortality/pathology', 'Leukemia, Myeloid, Acute/epidemiology/mortality/pathology', 'Longitudinal Studies', 'Lymphoma, Non-Hodgkin/epidemiology/mortality/pathology', 'Mortality/trends', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/mortality/pathology', 'Registries']",1996/07/29 00:00,2000/06/20 09:00,['1996/07/29 00:00'],"['1996/07/29 00:00 [pubmed]', '2000/06/20 09:00 [medline]', '1996/07/29 00:00 [entrez]']","['10.1002/(SICI)1097-0215(19960729)67:3<323::AID-IJC3>3.0.CO;2-T [pii]', '10.1002/(SICI)1097-0215(19960729)67:3<323::AID-IJC3>3.0.CO;2-T [doi]']",ppublish,Int J Cancer. 1996 Jul 29;67(3):323-6. doi: 10.1002/(SICI)1097-0215(19960729)67:3<323::AID-IJC3>3.0.CO;2-T.,,,,,,,,,,,,,,
8707363,NLM,MEDLINE,19960911,20131121,0971-5916 (Print) 0971-5916 (Linking),103,,1996 May,Molecular abnormalities of bcr gene in some Indian patients with chronic myeloid leukaemia.,267-71,"The DNAs from 7 unselected Philadelphia chromosome-positive (Ph') chronic myeloid leukaemia (CML) patients were analysed for the distribution of breakpoints in the breakpoint cluster region (bcr) gene by Southern blot. Breakpoints were detected between the regions of exons '2' and '4' of the bcr gene in 5 out of 7 patients. In two patients, breakpoints occurred around exon 4 of the bcr gene. This study presents some information on the nature of breakpoint distribution in the bcr gene of Indian CML patients.","['Chandrasekaran, R', 'Murthy, P B']","['Chandrasekaran R', 'Murthy PB']","['Department of Toxicology, Fredrick Institute of Plant Protection & Toxicology, Padappai.']",['eng'],['Journal Article'],India,Indian J Med Res,The Indian journal of medical research,0374701,IM,"['Adult', 'Child', '*Chromosome Aberrations', '*Chromosome Disorders', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Rearrangement', 'Humans', 'India', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male', 'Middle Aged', 'Philadelphia Chromosome']",1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']",,ppublish,Indian J Med Res. 1996 May;103:267-71.,,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,
8707356,NLM,MEDLINE,19960912,20190512,0019-2805 (Print) 0019-2805 (Linking),88,1,1996 May,Mechanisms of pertussis toxin-induced myelomonocytic cell adhesion: role of Mac-1(CD11b/CD18) and urokinase receptor (CD87).,90-7,"Stimulation of monoblastic U937 cells with transforming growth factor beta 1 and 1,25-(OH)2 vitamin D3 (TGF-beta 1/D3) upregulates urokinase receptor (uPAR) and confers urokinase-dependent adhesiveness to the cells for serum- or vitronectin-coated surfaces. Recent studies show that uPAR itself is a high-affinity adhesion receptor for vitronectin and that urokinase (uPA) is an activator of this adhesive function. In the course of exploring possible G-protein involvement in this adhesion it was observed that TGF-beta 1/D3-primed U937 cells became adhesive to vitronectin in an uPAR-dependent manner when exposed to pertussis toxin (PTX). The adherent response is concentration- and time-dependent, and was not due to the ADP-ribosyltransferase activity of the toxin because the purified B-subunit of PTX was equally effective. Although promoting adhesion to serum- or vitronectin-coated surfaces, PTX blocked spontaneous cell adhesion to fibrinogen, an endogenous ligand for the Mac-1 receptor (CD11b/CD18). Flow cytometry study showed that expression of the alpha-subunit of Mac-1 (CD11b) on primed cells was increased by nearly threefold. Monoclonal antibody to CD11b abolished the PTX-induced cell adhesion and the binding of the primed cells to PTX-coated plates. Activation of Mac-1 receptor by its endogenous ligand fibrinogen induced cell adherent response similar to PTX. PTX, but not uPA, triggered a rapid rise in [Ca2+]i in primed U937 cells, and PTX-induced adhesion was significantly attenuated by 1,2-bis-(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid/acetoxy-methyl ester (BAPTA/AM), a selective membrane-permeant [Ca2+]i chelator. PTX-induced cell adhesion was also prevented by antibodies to uPAR and by conditioned medium containing soluble uPAR. Together these data indicate that PTX B-subunit may bind to Mac-1 integrin, which leads to a rapid rise in [Ca2+]i and subsequent activation of uPAR for adherence to vitronectin, suggesting a functional link between Mac-1 and activation of uPAR important to cellular trafficking and host defence in response to Bordetella pertussis infection.","['Wong, W S', 'Simon, D I', 'Rosoff, P M', 'Rao, N K', 'Chapman, H A']","['Wong WS', 'Simon DI', 'Rosoff PM', 'Rao NK', 'Chapman HA']","[""Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, MA, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Immunology,Immunology,0374672,IM,"['Antibodies, Monoclonal/pharmacology', 'Calcium/metabolism', '*Cell Adhesion', 'Humans', 'Leukemia, Myelomonocytic, Acute/pathology', 'Macrophage-1 Antigen/immunology/*physiology', '*Pertussis Toxin', 'Plasminogen Activators/immunology/*physiology', 'Receptors, Cell Surface/immunology/*physiology', 'Receptors, Urokinase Plasminogen Activator', 'Transforming Growth Factor beta/metabolism', 'Tumor Cells, Cultured/drug effects/metabolism', 'Virulence Factors, Bordetella/*pharmacology', 'Vitronectin/*metabolism']",1996/05/01 00:00,1996/05/01 00:01,['1996/05/01 00:00'],"['1996/05/01 00:00 [pubmed]', '1996/05/01 00:01 [medline]', '1996/05/01 00:00 [entrez]']",['10.1046/j.1365-2567.1996.d01-646.x [doi]'],ppublish,Immunology. 1996 May;88(1):90-7. doi: 10.1046/j.1365-2567.1996.d01-646.x.,PMC1456468,"['0 (Antibodies, Monoclonal)', '0 (Macrophage-1 Antigen)', '0 (PLAUR protein, human)', '0 (Receptors, Cell Surface)', '0 (Receptors, Urokinase Plasminogen Activator)', '0 (Transforming Growth Factor beta)', '0 (Virulence Factors, Bordetella)', '0 (Vitronectin)', 'EC 2.4.2.31 (Pertussis Toxin)', 'EC 3.4.21.- (Plasminogen Activators)', 'SY7Q814VUP (Calcium)']","['GM41076/GM/NIGMS NIH HHS/United States', 'HL-44712/HL/NHLBI NIH HHS/United States', 'L02768/PHS HHS/United States']",,,,,,,,,,,
8706837,NLM,MEDLINE,19960910,20190621,0014-5793 (Print) 0014-5793 (Linking),390,1,1996 Jul 15,Prevention of necrosis and activation of apoptosis in oxidatively injured human myeloid leukemia U937 cells.,91-4,"A 3 h exposure to 1 mM H2O2 followed by 6 h post-challenge growth in peroxide-free medium induces necrosis in U937 cells. Addition of the poly(ADP-ribose)polymerase inhibitor 3-aminobenzamide during recovery prevents necrosis and triggers apoptosis, as shown by the appearance of apoptotic bodies, extensive blebbing and formation of multimeric DNA fragments as well as 50 kb double stranded DNA fragments. Thus, the same initial damage can be a triggering event for both apoptotic and necrotic cell death. Furthermore, necrosis does not appear to be a passive response to overwhelming damage.","['Palomba, L', 'Sestili, P', 'Cattabeni, F', 'Azzi, A', 'Cantoni, O']","['Palomba L', 'Sestili P', 'Cattabeni F', 'Azzi A', 'Cantoni O']","['Istituto di Farmacologia e Farmacognosia and Centro di Farmacologia Oncologica Sperimentale, Universita di Urbino, Italy.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,IM,"['*Apoptosis/drug effects', 'Benzamides/*pharmacology', 'Cell Line', 'Culture Media', 'DNA, Neoplasm/analysis/drug effects', 'Enzyme Inhibitors/pharmacology', 'Humans', 'Hydrogen Peroxide/*toxicity', 'Kinetics', 'Leukemia, Myeloid', '*Necrosis', '*Oxidative Stress', 'Poly(ADP-ribose) Polymerase Inhibitors', 'Time Factors', 'Tumor Cells, Cultured']",1996/07/15 00:00,1996/07/15 00:01,['1996/07/15 00:00'],"['1996/07/15 00:00 [pubmed]', '1996/07/15 00:01 [medline]', '1996/07/15 00:00 [entrez]']","['0014-5793(96)00634-5 [pii]', '10.1016/0014-5793(96)00634-5 [doi]']",ppublish,FEBS Lett. 1996 Jul 15;390(1):91-4. doi: 10.1016/0014-5793(96)00634-5.,,"['0 (Benzamides)', '0 (Culture Media)', '0 (DNA, Neoplasm)', '0 (Enzyme Inhibitors)', '0 (Poly(ADP-ribose) Polymerase Inhibitors)', '8J365YF1YH (3-aminobenzamide)', 'BBX060AN9V (Hydrogen Peroxide)']",,,,,,,,,,,,
8706814,NLM,MEDLINE,19960909,20191101,0902-4506 (Print) 0902-4506 (Linking),57,,1996,Meeting the challenge of systemic fungal infections in cancer: nursing implications.,7-11,"Several factors have contributed to the increasing incidence of fungal infections over the last 2 decades, including the emergence of Acquired Immune Deficiency Syndrome, increased use of myelotoxic chemotherapy and organ transplantations, prolonged use of broad spectrum antibiotics and aggressive intensive care procedures. The two most common opportunistic fungal infections seen today are caused by Candida spp. and Aspergillus spp. Systemic fungal infections in immunocompromised patients have an extremely high mortality and require aggressive therapy. Skill in identifying early clinical features is therefore crucial and the multifaceted role of the nurse is of major importance in the management of at-risk patients. Nurses are the key resource in the prevention, early detection and treatment of fungal infection. All neutropenic patients should be thoroughly assessed at least twice a day, with special attention given to the most frequent sites of infection-the oral mucosa, lungs, skin, venepuncture sites and perineal area. Although fever is the hallmark of infection, it may be absent in the neutropenic patient who is unable to mount an adequate inflammatory response. It may also be masked by the use of certain drugs, such as steroids or analgesics. When systemic fungal infection is suspected, seriously ill patients require immediate antifungal therapy. Amphotericin B is currently the only agent with a sufficiently broad spectrum of activity to cover all the most common pathogens. Although conventional amphotericin B is effective, however, the required doses often carry significant toxicity, particularly nephrotoxicity. The new, lipid-based forms of amphotericin B, such as Abelcet, are indicated for and have been shown to be effective in patients with severe systemic and/or deep mycoses in whom conventional amphotericin B has proven ineffective or is contraindicated because of renal impairment, and in patients who have failed to respond to other antifungal agents.","['Antrum, J']",['Antrum J'],"['Leukaemia Unit, Royal Marsden Hospital, Sutton, UK.']",['eng'],['Journal Article'],England,Eur J Haematol Suppl,European journal of haematology. Supplementum,8703474,IM,"['Humans', 'Immunocompromised Host/*immunology', 'Mycoses/*immunology/prevention & control', 'Neoplasms/*immunology', 'Opportunistic Infections/*immunology/prevention & control']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1996.tb01346.x [doi]'],ppublish,Eur J Haematol Suppl. 1996;57:7-11. doi: 10.1111/j.1600-0609.1996.tb01346.x.,,,,,,,,,,,,,,
8706796,NLM,MEDLINE,19960911,20190909,0531-5565 (Print) 0531-5565 (Linking),31,1-2,1996 Jan-Apr,Screening for genetic predisposition to mutagens in cancer patients.,267-80,"Both genetic and environmental factors are known to play an important role in the development of cancer. To determine whether, among individuals who develop cancers, some may have been more susceptible to the mutagenic effects of environmental agents, skin biopsies were taken from 79 cancer patients with different common types of cancers (e.g., lung, breast, bladder, colon, cervix, ovary, brain, vocal cord, uterus, skin, testis, stomach, basal cell carcinoma, leukemia, etc.). Fibroblast cultures have been established from skin explants from nearly all of the patients. The sensitivity of some of these cells as well as a number of other fibroblast strains established from ""clinically normal"" individuals to a battery of mutagenic agents (e.g., ethylmethane sulfonate, methylmethane sulfonate, ethidium bromide, actinomycin D, mitomycin C, bleomycin, camptothecin), which induce different kinds of DNA damage was examined. For the control group of fibroblasts, a normal range of toxicity for all of the above agents have been established. In contrast to other mutagens for which sensitivity of all of the control cell strains lay within a narrow range, large and interesting differences in sensitivity were observed for ethidium bromide. The fibroblast strains established from fetal tissue were found to be highly resistant to ethidium bromide, whereas fibroblasts from two clinically normal persons exhibited greatly enhanced sensitivity to this agent. The genetic or biochemical basis of increased sensitivity or resistance to ethidium bromide remains to be determined. The sensitivity of cells from 28 cancer patients to a number of the mutagenic agents was also examined. Most of these strains exhibited normal range of sensitivity to the mutagens; however, a few showed small but noticeable differences in sensitivity to specific agents. The fibroblast strains from cancer patients provide a useful resource to examine the genetic and metabolic factors that may be important determinants in cancer susceptibility.","['Gupta, R S', 'Gupta, R', 'Goldstein, S']","['Gupta RS', 'Gupta R', 'Goldstein S']","['Department of Biochemistry, McMaster University, Hamilton, ON, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Exp Gerontol,Experimental gerontology,0047061,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Cells, Cultured', 'Child', 'Female', 'Fibroblasts/drug effects', 'Humans', 'Male', 'Middle Aged', 'Mutagens/*toxicity', 'Neoplasms/*genetics']",1996/01/01 00:00,1996/01/01 00:01,['1996/01/01 00:00'],"['1996/01/01 00:00 [pubmed]', '1996/01/01 00:01 [medline]', '1996/01/01 00:00 [entrez]']","['0531-5565(95)00023-2 [pii]', '10.1016/0531-5565(95)00023-2 [doi]']",ppublish,Exp Gerontol. 1996 Jan-Apr;31(1-2):267-80. doi: 10.1016/0531-5565(95)00023-2.,,['0 (Mutagens)'],,,,,,,,,,,,
8706661,NLM,MEDLINE,19960906,20211203,0014-2956 (Print) 0014-2956 (Linking),238,3,1996 Jun 15,Molecular cloning and characterization of a transmembrane surface antigen in human cells.,631-8,"The mouse mAb 6C6, raised against a plasma-membrane preparation from human breast-cancer cells, reacts with an antigen that appears to be overexpressed in human breast cancers and other human tumors. Here we describe the cDNA cloning and characterization of the antigen recognized by the 6C6 mAb. The isolated cDNA clone encodes a protein of 246 amino acids, with a predicted molecular mass of 27 991 Da. The protein contains three amino-terminal hydrophobic regions, which could represent transmembrane domains, and a hydrophilic carboxy-terminal region, which we show to be extracellular. The identity of the protein encoded by the cloned cDNA as the 6C6 antigen was confirmed by in vitro translation and immunoprecipitation experiments, and by transfection into cell lines that do not react with the 6C6 mAb, which resulted in the expression of a 28-kDa surface protein that was recognized by the antibody. The 6C6 antigen appears to be a type II transmembrane protein, with multiple membrane-spanning domains and a long extracellular non-glycosylated carboxy-terminal domain, to which the 6C6 epitope has been mapped. The overall structure of the protein and weak amino acid similarities with a family of multiple-transmembrane-spanning-domain proteins that includes some antigens (such as L6, CD63/ME491 and CO-029) that are overexpressed in tumor cells, suggest that the 6C6 antigen may belong to this family of proteins.","['Li, E', 'Bestagno, M', 'Burrone, O']","['Li E', 'Bestagno M', 'Burrone O']","['International Centre for Genetic Engineering and Biotechnology, Area Science Park, Trieste, Italy.']",['eng'],['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,IM,"['Amino Acid Sequence', 'Animals', 'Antibodies, Monoclonal', 'Antigens, Surface/chemistry/*genetics/*metabolism', 'Base Sequence', 'CHO Cells', 'Cloning, Molecular', 'Cricetinae', 'DNA, Complementary/isolation & purification', 'Epitope Mapping', 'Humans', 'Leukemia, Erythroblastic, Acute', 'Membrane Proteins', 'Mice', 'Molecular Sequence Data', 'Rabbits', 'Recombinant Proteins/biosynthesis/genetics', 'Tissue Distribution', 'Tumor Cells, Cultured']",1996/06/15 00:00,1996/06/15 00:01,['1996/06/15 00:00'],"['1996/06/15 00:00 [pubmed]', '1996/06/15 00:01 [medline]', '1996/06/15 00:00 [entrez]']",['10.1111/j.1432-1033.1996.0631w.x [doi]'],ppublish,Eur J Biochem. 1996 Jun 15;238(3):631-8. doi: 10.1111/j.1432-1033.1996.0631w.x.,,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Surface)', '0 (BCAP31 protein, human)', '0 (DNA, Complementary)', '0 (Membrane Proteins)', '0 (Recombinant Proteins)']",,['GENBANK/X81109'],,,,,,,,,,
8706384,NLM,MEDLINE,19960909,20161123,0098-8243 (Print) 0098-8243 (Linking),22,3,1996 Mar,Anticonvulsant hypersensitivity syndrome.,152-5,,"['Licata, A L', 'Louis, E D']","['Licata AL', 'Louis ED']","['Department of Medicine, University of Vermont College of Medicine, Burlington 05401, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Compr Ther,Comprehensive therapy,7605837,IM,"['Anticonvulsants/*adverse effects/therapeutic use', 'Chemical and Drug Induced Liver Injury/diagnosis/therapy', 'Drug Eruptions/*diagnosis/therapy', 'Drug Hypersensitivity/*diagnosis/therapy', 'Epilepsy/*drug therapy', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/chemically induced/diagnosis/therapy', 'Syndrome']",1996/03/01 00:00,1996/03/01 00:01,['1996/03/01 00:00'],"['1996/03/01 00:00 [pubmed]', '1996/03/01 00:01 [medline]', '1996/03/01 00:00 [entrez]']",,ppublish,Compr Ther. 1996 Mar;22(3):152-5.,,['0 (Anticonvulsants)'],['NS010863/NS/NINDS NIH HHS/United States'],,,22,,,,,,,,
8706331,NLM,MEDLINE,19960910,20190512,0009-9104 (Print) 0009-9104 (Linking),105,2,1996 Aug,Circulating levels of IL-11 and leukaemia inhibitory factor (LIF) do not significantly participate in the production of acute-phase proteins by the liver.,260-5,"To investigate the contribution of IL-11 and LIF to acute-phase protein (APP) production, we first analysed the effects of IL-11 and LIF on production of C-reactive protein (CRP), fibrinogen, and haptoglobin by human primary hepatocytes. We also measured the serum levels of IL-11, LIF, and CRP in serum from patients with inflammatory rheumatic diseases to assess the role of these cytokines in the APP response in vivo. We included patients with conditions associated with a high APP response such as rheumatoid arthritis (RA) or spondylarthropathy (SpA), and others usually associated with a weak APP response such as systemic lupus erythematosus (SLE), in order to investigate whether these cytokines could account for the differences in APP responses. Our results showed that IL-11 and LIF induced only minimal stimulation on production of APP by human primary hepatocytes compared with IL-6, known as the major inducer. Serum levels of CRP were elevated in RA and SpA, and significantly higher than in SLE patients. Despite the presence of a high APP response in some of our patients and despite the fact that we used sensitive assays to measure IL-11 and LIF, serum levels of both cytokines were not detected in any of the tested sera. In conclusion, our results show that circulating levels of IL-11 or LIF do not contribute significantly to the production of APP in vivo, and that they do not account for the difference in APP response between SLE and other inflammatory rheumatic diseases.","['Gabay, C', 'Singwe, M', 'Genin, B', 'Meyer, O', 'Mentha, G', 'LeCoultre, C', 'Vischer, T', 'Guerne, P A']","['Gabay C', 'Singwe M', 'Genin B', 'Meyer O', 'Mentha G', 'LeCoultre C', 'Vischer T', 'Guerne PA']","['Division de Rhumatologie, Hopital Cantonal Universitaire, Geneva, Switzerland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Clin Exp Immunol,Clinical and experimental immunology,0057202,IM,"['Acute-Phase Proteins/*biosynthesis', 'Cells, Cultured', 'Fibrinogen/biosynthesis', 'Growth Inhibitors/*blood/pharmacology', 'Haptoglobins/biosynthesis', 'Humans', 'Interleukin-1/pharmacology', 'Interleukin-11/*blood/pharmacology', 'Interleukin-6/pharmacology', 'Leukemia Inhibitory Factor', 'Liver/cytology/*metabolism', 'Lymphokines/*blood/pharmacology']",1996/08/01 00:00,1996/08/01 00:01,['1996/08/01 00:00'],"['1996/08/01 00:00 [pubmed]', '1996/08/01 00:01 [medline]', '1996/08/01 00:00 [entrez]']",['10.1046/j.1365-2249.1996.d01-757.x [doi]'],ppublish,Clin Exp Immunol. 1996 Aug;105(2):260-5. doi: 10.1046/j.1365-2249.1996.d01-757.x.,PMC2200519,"['0 (Acute-Phase Proteins)', '0 (Growth Inhibitors)', '0 (Haptoglobins)', '0 (Interleukin-1)', '0 (Interleukin-11)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lymphokines)', '9001-32-5 (Fibrinogen)']",,,,,,,,,,,,
