PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,TT,PMC,CI,RF,CON,EIN,GR,CIN,SI,OTO,OT,IR,FIR,IRAD,LID,DEP
10629542,NLM,MEDLINE,20000214,20131121,0022-3417 (Print) 0022-3417 (Linking),189,4,1999 Dec,Benzene and non-Hodgkin's lymphoma.,448-53,"[""O'Connor, S R"", 'Farmer, P B', 'Lauder, I']","[""O'Connor SR"", 'Farmer PB', 'Lauder I']","['Department of Histopathology, Leicester Royal Infirmary NHS Trust, Leicester, U.K.']",['eng'],"['Journal Article', 'Review']",England,J Pathol,The Journal of pathology,0204634,"['0 (Solvents)', '0 (Vehicle Emissions)', 'J64922108F (Benzene)']",IM,"['Animals', 'Benzene/*adverse effects/toxicity', 'Bone Marrow Diseases/chemically induced', 'DNA Damage', 'Environmental Exposure', 'Environmental Monitoring', 'Humans', 'Lymphoma, Non-Hodgkin/*chemically induced', 'Mice', 'Occupational Diseases/*chemically induced', 'Occupational Exposure', 'Rats', 'Solvents/*adverse effects/toxicity', 'Vehicle Emissions']",2000/01/12 09:00,2000/02/19 09:00,['2000/01/12 09:00'],"['2000/01/12 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/01/12 09:00 [entrez]']","['10.1002/(SICI)1096-9896(199912)189:4<448::AID-PATH458>3.0.CO;2-K [pii]', '10.1002/(SICI)1096-9896(199912)189:4<448::AID-PATH458>3.0.CO;2-K [doi]']",ppublish,J Pathol. 1999 Dec;189(4):448-53. doi: 10.1002/(SICI)1096-9896(199912)189:4<448::AID-PATH458>3.0.CO;2-K.,"Incidence rates for non-Hodgkin's lymphoma (NHL) have been rising throughout the world for several decades, and no convincing explanation exists for the majority of this increase. The commonest subtypes of NHL have no well-defined aetiological factors but lymphoma development has been linked with exposure to a variety of chemicals, including nitrates, pesticides, herbicides, and solvents. Benzene, a solvent and important constituent of petrochemical products, is a potent lymphomagen in experimental animals and high-dose exposure in humans is associated with both acute myeloid leukaemia and NHL. Much current interest centres on the possibility that environmental benzene exposure in the general public may underlie a proportion of the increase in NHL. Seventy per cent of benzene exposure in the environment is derived from vehicle exhaust emissions, whose increase has closely paralleled the rise in frequency of the disease. Mathematical modelling has been used to calculate an acceptable concentration of benzene in air based on risk estimates derived from industrial exposure, but the recommended target concentration in the U.K. of 1 ppb is regularly exceeded in urban locations. Detailed investigation of the health effects of low-level benzene exposure awaits an accurate assay for quantifying long-term human exposure. The (32)P post-labelling technique for the detection of toxin-specific DNA adducts is extremely sensitive and has been applied in the biomonitoring of exposure to a number of carcinogens, but benzene-DNA adducts have to date proved elusive of detection.",,,"['Copyright 1999 John Wiley & Sons, Ltd.']",112,,,,,,,,,,,,
10629354,NLM,MEDLINE,20000510,20171101,1015-9770 (Print) 1015-9770 (Linking),10,1,2000 Jan-Feb,Sensorimotor stroke due to gangliocapsular hematoma as first manifestation of chronic myelocytic leukemia.,81-2,"['Arboix, A', 'Oliveres, M', 'Besses, C']","['Arboix A', 'Oliveres M', 'Besses C']",,['eng'],"['Case Reports', 'Letter']",Switzerland,Cerebrovasc Dis,"Cerebrovascular diseases (Basel, Switzerland)",9100851,,IM,"['Basal Ganglia/pathology', 'Brain/pathology', 'Hematoma/*complications/etiology/pathology', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/pathology', 'Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Stroke/*etiology/pathology']",2000/01/12 09:00,2000/05/16 09:00,['2000/01/12 09:00'],"['2000/01/12 09:00 [pubmed]', '2000/05/16 09:00 [medline]', '2000/01/12 09:00 [entrez]']","['16032 [pii]', '10.1159/000016032 [doi]']",ppublish,Cerebrovasc Dis. 2000 Jan-Feb;10(1):81-2. doi: 10.1159/000016032.,,,,,,,,,,,,,,,,,
10629224,NLM,MEDLINE,20000309,20190508,0021-9525 (Print) 0021-9525 (Linking),148,1,2000 Jan 10,Potentiation of Fcepsilon receptor I-activated Ca(2+) current (I(CRAC)) by cholera toxin: possible mediation by ADP ribosylation factor.,137-46,"['McCloskey, M A', 'Zhang, L']","['McCloskey MA', 'Zhang L']","['Department of Zoology and Genetics, and Signal Transduction Training Group, Iowa State University, Ames, Iowa 50011-3223, USA. drmike@iastate.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Cell Biol,The Journal of cell biology,0375356,"['0 (Calcium Channels)', '0 (Chelating Agents)', '0 (Enzyme Inhibitors)', '0 (Inositol Phosphates)', '0 (Receptors, IgE)', '0 (trinitrophenyl-bovine serum albumin)', '27432CM55Q (Serum Albumin, Bovine)', '526U7A2651 (Egtazic Acid)', '67526-95-8 (Thapsigargin)', '9012-63-9 (Cholera Toxin)', 'E0399OZS9N (Cyclic AMP)', 'EC 3.6.5.2 (ADP-Ribosylation Factors)', ""K22DDW77C0 (1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid)""]",IM,"['ADP-Ribosylation Factors/*metabolism', 'Animals', 'Calcium Channels/*metabolism', 'Chelating Agents/pharmacology', 'Cholera Toxin/*metabolism', 'Cyclic AMP/metabolism', 'Egtazic Acid/analogs & derivatives/pharmacology', 'Electric Conductivity', 'Enzyme Inhibitors/pharmacology', 'Inositol Phosphates/metabolism', 'Rats', 'Receptors, IgE/*metabolism', 'Serum Albumin, Bovine/metabolism', 'Thapsigargin/pharmacology', 'Tumor Cells, Cultured']",2000/01/12 09:00,2000/03/11 09:00,['2000/01/12 09:00'],"['2000/01/12 09:00 [pubmed]', '2000/03/11 09:00 [medline]', '2000/01/12 09:00 [entrez]']",['10.1083/jcb.148.1.137 [doi]'],ppublish,J Cell Biol. 2000 Jan 10;148(1):137-46. doi: 10.1083/jcb.148.1.137.,"Antigen-evoked influx of extracellular Ca(2+) into mast cells may occur via store-operated Ca(2+) channels called calcium release-activated calcium (CRAC) channels. In mast cells of the rat basophilic leukemia cell line (RBL-2H3), cholera toxin (CT) potentiates antigen-driven uptake of (45)Ca(2+) through cAMP-independent means. Here, we have used perforated patch clamp recording at physiological temperature to test whether cholera toxin or its substrate, Gs, directly modulates the activity of CRAC channels. Cholera toxin dramatically amplified (two- to fourfold) the Ca(2)+ release-activated Ca(2+) current (I(CRAC)) elicited by suboptimal concentrations of antigen, without itself inducing I(CRAC), and this enhancement was not mimicked by cAMP elevation. In contrast, cholera toxin did not affect the induction of I(CRAC) by thapsigargin, an inhibitor of organelle Ca(2+) pumps, or by intracellular dialysis with low Ca(2+) pipette solutions. Thus, the activity of CRAC channels is not directly controlled by cholera toxin or Gsalpha. Nor was the potentiation of I(CRAC) due to enhancement of phosphoinositide hydrolysis or calcium release. Because Gs and the A subunit of cholera toxin bind to ADP ribosylation factor (ARF) and could modulate its activity, we tested the sensitivity of antigen-evoked I(CRAC) to brefeldin A, an inhibitor of ARF-dependent functions, including vesicle transport. Brefeldin A blocked the enhancement of antigen-evoked I(CRAC) without inhibiting ADP ribosylation of Gsalpha, but it did not affect I(CRAC) induced by suboptimal antigen or by thapsigargin. These data provide new evidence that CRAC channels are a major route for Fcin receptor I-triggered Ca(2+) influx, and they suggest that ARF may modulate the induction of I(CRAC) by antigen.",,PMC3207143,,,,,['GM48144/GM/NIGMS NIH HHS/United States'],,,,,,,,,
10629138,NLM,MEDLINE,20000210,20210527,0003-9985 (Print) 0003-9985 (Linking),124,1,2000 Jan,Terminal deoxynucleotidyl transferase-negative acute lymphoblastic leukemia.,92-7,"['Faber, J', 'Kantarjian, H', 'Roberts, M W', 'Keating, M', 'Freireich, E', 'Albitar, M']","['Faber J', 'Kantarjian H', 'Roberts MW', 'Keating M', 'Freireich E', 'Albitar M']","['Division of Pathology and Laboratory Medicine, Section of Hematopathology, The University of Texas M.D. Anderson Cancer Center, Houston, TX 77030, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (Antigens, CD)', '0 (Biomarkers, Tumor)', '0 (DNA, Neoplasm)', '0 (Immunoglobulin Heavy Chains)', '0 (Receptors, Antigen, T-Cell)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Adult', 'Antigens, CD/analysis', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers, Tumor/metabolism', 'Bone Marrow/*pathology', 'DNA Nucleotidylexotransferase/*metabolism', 'DNA, Neoplasm/analysis', 'Flow Cytometry', 'Humans', 'Immunoglobulin Heavy Chains/analysis', 'Immunophenotyping', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/drug therapy/enzymology', 'Receptors, Antigen, T-Cell/analysis', 'Treatment Outcome']",2000/01/11 00:00,2000/01/11 00:01,['2000/01/11 00:00'],"['2000/01/11 00:00 [pubmed]', '2000/01/11 00:01 [medline]', '2000/01/11 00:00 [entrez]']",['10.5858/2000-124-0092-TDTNAL [doi]'],ppublish,Arch Pathol Lab Med. 2000 Jan;124(1):92-7. doi: 10.5858/2000-124-0092-TDTNAL.,"OBJECTIVE: Terminal deoxynucleotidyl transferase (TdT) is a useful marker in the diagnosis of acute lymphoblastic leukemia (ALL) (French-American-British [FAB] L1 and L2) and is most useful in distinguishing ALL from mature B-lymphoid neoplasms, such as Burkitt lymphoma (FAB L3) and other lymphoid malignancies. The frequency of TdT-negative ALL is not known. Here we report 3 TdT-negative ALL cases that met the criteria for T-cell ALL. DESIGN: We reviewed approximately 200 cases of ALL retrieved from the database at our institution. All cases were evaluated using Wright-Giemsa, myeloperoxidase, butyrate, and TdT staining; immunophenotyped using flow cytometry; and studied using Southern blot analyses for T-cell receptors and immunoglobulin gene rearrangement. RESULTS: All ALL cases (L1 and L2) were TdT-positive, except for 3 cases that were of early T-cell lineage. None of the 3 cases demonstrated positivity for TdT in immunofluorescence staining with polyclonal antibodies or flow cytometry with monoclonal antibodies. Flow cytometric analysis confirmed a pre-T-cell immunophenotype in all 3 cases. One of the cases showed rearrangement of a T-cell antigen receptor and immunoglobulin heavy chain (J(H)). A second case showed germline configuration of T-cell receptors, but also showed rearrangement of the J(H), despite the expression of T-cell markers only.",,,,,,,,,,,,,,,,
10629103,NLM,MEDLINE,20000202,20191024,0730-2312 (Print) 0730-2312 (Linking),Suppl 32-33,,1999,"Mammalian runt-domain proteins and their roles in hematopoiesis, osteogenesis, and leukemia.",51-8,"['Westendorf, J J', 'Hiebert, S W']","['Westendorf JJ', 'Hiebert SW']","['Department of Biochemistry and Vanderbilt-Ingram Cancer Center, Vanderbilt University, Nashville, Tennessee 37232, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,J Cell Biochem,Journal of cellular biochemistry,8205768,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Transcription Factors)']",IM,"['Animals', 'Core Binding Factor Alpha 2 Subunit', 'DNA-Binding Proteins/chemistry/physiology', '*Gene Expression Regulation', 'Hematopoiesis/*genetics/physiology', 'Humans', 'Leukemia/*genetics/metabolism', '*Neoplasm Proteins', 'Osteogenesis/*genetics/physiology', 'Protein Structure, Tertiary', '*Proto-Oncogene Proteins', 'Transcription Factors/*chemistry/genetics/*physiology']",2000/01/11 00:00,2000/01/11 00:01,['2000/01/11 00:00'],"['2000/01/11 00:00 [pubmed]', '2000/01/11 00:01 [medline]', '2000/01/11 00:00 [entrez]']","['10.1002/(SICI)1097-4644(1999)75:32+<51::AID-JCB7>3.0.CO;2-S [pii]', '10.1002/(sici)1097-4644(1999)75:32+<51::aid-jcb7>3.3.co;2-j [doi]']",ppublish,J Cell Biochem. 1999;Suppl 32-33:51-8. doi: 10.1002/(sici)1097-4644(1999)75:32+<51::aid-jcb7>3.3.co;2-j.,"Mammalian Runt-domain-containing factors are structurally and functionally similar and have essential roles in hematopoiesis and osteogenesis. These factors can act as either positive or negative transcriptional regulators of tissue-specific genes whose promoters or enhancers contain the consensus Runt-domain binding element, TGT/CGGT. This sequence is necessary but not sufficient to regulate the transcription of a wide variety of genes. Runt-domain factors are promoter organizers that cooperate with neighboring factors and recruit transcriptional co-activators or co-repressors to regulate expression of tissue-specific genes. AML1 is required for hematopoiesis and is a frequent target of chromosomal translocations in acute leukemias. Fusion proteins generated by these translocations are dominant repressors of genes regulated by the Runt-domain factors. AML3 may also be involved in leukemogenesis. In addition, AML3 has an essential role in bone development, as it is required for osteoblast differentiation and is mutated in patients with cleidocranial dysplasia. J. Cell. Biochem. Suppls. 32/33:51-58, 1999.",,,"['Copyright 1999 Wiley-Liss, Inc.']",35,,,"['F32CA77167/CA/NCI NIH HHS/United States', 'R01CA64140/CA/NCI NIH HHS/United States', 'R01CA77274/CA/NCI NIH HHS/United States']",,,,,,,,,
10629041,NLM,MEDLINE,20000214,20210526,0270-7306 (Print) 0270-7306 (Linking),20,3,2000 Feb,"Dynamic analysis of proviral induction and De Novo methylation: implications for a histone deacetylase-independent, methylation density-dependent mechanism of transcriptional repression.",842-50,"['Lorincz, M C', 'Schubeler, D', 'Goeke, S C', 'Walters, M', 'Groudine, M', 'Martin, D I']","['Lorincz MC', 'Schubeler D', 'Goeke SC', 'Walters M', 'Groudine M', 'Martin DI']","['Fred Hutchinson Cancer Research Center, University of Washington School of Medicine, Seattle, Washington, USA. mlorincz@fhcrc.org']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Mol Cell Biol,Molecular and cellular biology,8109087,"['0 (DNA Primers)', '0 (Dinucleoside Phosphates)', '0 (Luminescent Proteins)', '0 (Recombinant Proteins)', '0 (Sulfites)', '147336-22-9 (Green Fluorescent Proteins)', ""2382-65-2 (cytidylyl-3'-5'-guanosine)"", 'EC 3.5.1.98 (Histone Deacetylases)', 'M801H13NRU (Azacitidine)', 'TZX5469Z6I (sodium bisulfite)']",IM,"['Animals', 'Azacitidine/pharmacology', '*DNA Methylation', 'DNA Primers', 'Dinucleoside Phosphates/metabolism', '*Gene Expression Regulation/drug effects', 'Green Fluorescent Proteins', 'Histone Deacetylases/*metabolism', 'Humans', 'Luminescent Proteins/genetics', 'Mice', 'Moloney murine leukemia virus/*genetics', 'Proviruses/*genetics', 'Recombinant Proteins/biosynthesis', 'Sulfites/pharmacology', '*Transcription, Genetic', 'Transfection', 'Tumor Cells, Cultured']",2000/01/11 09:00,2000/02/19 09:00,['2000/01/11 09:00'],"['2000/01/11 09:00 [pubmed]', '2000/02/19 09:00 [medline]', '2000/01/11 09:00 [entrez]']",['10.1128/MCB.20.3.842-850.2000 [doi]'],ppublish,Mol Cell Biol. 2000 Feb;20(3):842-50. doi: 10.1128/MCB.20.3.842-850.2000.,"Methylation of cytosines in the CpG dinucleotide is generally associated with transcriptional repression in mammalian cells, and recent findings implicate histone deacetylation in methylation-mediated repression. Analyses of histone acetylation in in vitro-methylated transfected plasmids support this model; however, little is known about the relationships among de novo DNA methylation, transcriptional repression, and histone acetylation state. To examine these relationships in vivo, we have developed a novel approach that permits the isolation and expansion of cells harboring expressing or silent retroviruses. MEL cells were infected with a Moloney murine leukemia virus encoding the green fluorescent protein (GFP), and single-copy, silent proviral clones were treated weekly with the histone deacetylase inhibitor trichostatin A or the DNA methylation inhibitor 5-azacytidine. Expression was monitored concurrently by flow cytometry, allowing for repeated phenotypic analysis over time, and proviral methylation was determined by Southern blotting and bisulfite methylation mapping. Shortly after infection, proviral expression was inducible and the reporter gene and proviral enhancer showed a low density of methylation. Over time, the efficacy of drug induction diminished, coincident with the accumulation of methyl-CpGs across the provirus. Bisulfite analysis of cells in which 5-azacytidine treatment induced GFP expression revealed measurable but incomplete demethylation of the provirus. Repression could be overcome in late-passage clones only by pretreatment with 5-azacytidine followed by trichostatin A, suggesting that partial demethylation reestablishes the trichostatin-inducible state. These experiments reveal the presence of a silencing mechanism which acts on densely methylated DNA and appears to function independently of histone deacetylase activity.",,PMC85201,,,,,,,,,,,,,,
10629015,NLM,MEDLINE,20000314,20190513,0305-7453 (Print) 0305-7453 (Linking),45,1,2000 Jan,Evaluation of trovafloxacin in the treatment of Klebsiella pneumoniae lung infection in tumour-bearing mice.,69-75,"['Thadepalli, H', 'Reddy, U', 'Chuah, S K', 'Hanna, N', 'Rana, G', 'Gollapudi, S']","['Thadepalli H', 'Reddy U', 'Chuah SK', 'Hanna N', 'Rana G', 'Gollapudi S']","['Department of Medicine and Pathology, Charles R. Drew University of Medicine and Sciences, 1731 East 120th Street, Los Angeles, CA 90059, USA. geriatrics@pol.net']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Antimicrob Chemother,The Journal of antimicrobial chemotherapy,7513617,"['0 (Anti-Infective Agents)', '0 (Antibiotics, Antineoplastic)', '0 (Fluoroquinolones)', '0 (Naphthyridines)', '0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '5E8K9I0O4U (Ciprofloxacin)', '9F388J00UK (trovafloxacin)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Animals', 'Anti-Infective Agents/pharmacokinetics/*therapeutic use', 'Antibiotics, Antineoplastic/therapeutic use', 'Ciprofloxacin/therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Evaluation, Preclinical', 'Drug Therapy, Combination', '*Fluoroquinolones', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Klebsiella Infections/complications/*drug therapy/metabolism', 'Klebsiella pneumoniae/*drug effects/metabolism', 'Leukemia P388/*complications/drug therapy/metabolism', 'Leukocyte Count/drug effects', 'Male', 'Mice', 'Mice, Inbred DBA', 'Naphthyridines/pharmacokinetics/*therapeutic use', 'Neoplasm Transplantation', 'Pneumonia, Bacterial/complications/*drug therapy/metabolism', 'Recombinant Proteins']",2000/01/11 09:00,2000/03/18 09:00,['2000/01/11 09:00'],"['2000/01/11 09:00 [pubmed]', '2000/03/18 09:00 [medline]', '2000/01/11 09:00 [entrez]']",['10.1093/jac/45.1.69 [doi]'],ppublish,J Antimicrob Chemother. 2000 Jan;45(1):69-75. doi: 10.1093/jac/45.1.69.,"Trovafloxacin, a new trifluoroquinolone, was evaluated for its therapeutic efficacy against Klebsiella pneumoniae lung infection in tumour (P388 murine leukaemia cells)-bearing mice, treated with or without a chemotherapeutic agent, daunorubicin (DNR) and in mice without tumour. Its activity was compared with ciprofloxacin and cephazolin. The effect on therapeutic efficacy of the addition of recombinant granulocyte colony stimulating factor (rGCSF) was also examined. Our study showed that both quinolones successfully cured pneumonia owing to infection with K. pneumoniae in mice without tumours but that all antibiotics failed in tumour-bearing mice if DNR was withheld. Substantial differences were noted in DNR-treated tumour-bearing mice with infection-the cure rate with trovafloxacin was 91% whereas the cure rate with ciprofloxacin or cephazolin was 57%. Addition of rGCSF to ciprofloxacin did not substantially improve its efficacy (when assessed by protection against death owing to infection; the survival rate was 41%). Trovafloxacin cure rates ranged from 80 to 90% whether or not rGCSF was added to the treatment regimen. Our results suggest that prior cancer chemotherapy had no adverse effect on the therapeutic efficacy of trovafloxacin, and that trovafloxacin may be a promising therapeutic agent for treatment of bacterial infections in the presence of leucopenia.",,,,,,,,,,,,,,,,
10628929,NLM,MEDLINE,20000127,20190516,0918-2918 (Print) 0918-2918 (Linking),38,12,1999 Dec,Distribution of JC virus DNA in peripheral blood lymphocytes of hematological disease cases.,932-7,"['Shimizu, N', 'Imamura, A', 'Daimaru, O', 'Mihara, H', 'Kato, Y', 'Kato, R', 'Oguri, T', 'Fukada, M', 'Yokochi, T', 'Yoshikawa, K', 'Komatsu, H', 'Ueda, R', 'Nitta, M']","['Shimizu N', 'Imamura A', 'Daimaru O', 'Mihara H', 'Kato Y', 'Kato R', 'Oguri T', 'Fukada M', 'Yokochi T', 'Yoshikawa K', 'Komatsu H', 'Ueda R', 'Nitta M']","['Second Department of Internal Medicine, Aichi Medical University, Nagakute, Aichi-gun.']",['eng'],['Journal Article'],Japan,Intern Med,"Internal medicine (Tokyo, Japan)",9204241,"['0 (DNA, Viral)']",IM,"['Aged', 'Aged, 80 and over', 'Chromosome Mapping', 'DNA, Viral/*analysis', 'Female', 'Hematologic Diseases/*blood/*virology', 'Humans', 'JC Virus/*genetics', 'Lymphocytes/*virology', 'Male', 'Middle Aged', 'Polymerase Chain Reaction']",2000/01/11 00:00,2000/01/11 00:01,['2000/01/11 00:00'],"['2000/01/11 00:00 [pubmed]', '2000/01/11 00:01 [medline]', '2000/01/11 00:00 [entrez]']",['10.2169/internalmedicine.38.932 [doi]'],ppublish,Intern Med. 1999 Dec;38(12):932-7. doi: 10.2169/internalmedicine.38.932.,"OBJECTIVE: The distribution of JC virus DNA in peripheral blood was surveyed by the polymerase chain reaction using the late genes as markers. RESULTS: Six out of 52 cases of hematological diseases and one systemic lupus erythematosus case out of 17 cases were positive for JCV DNA. After separation into B and T lymphocytes by a cell sorter, JCV DNA was found in both cell types prepared from adult T cell leukemia and PML patients. CONCLUSION: Only 1 or 2 copies of JCV genome were calculated to exist in a cell based on the time course analysis of PCR. Only B lymphocytes and glial brain cells are known to produce nuclear factors which support the growth of the virus. The result that B lymphocytes contained a copy number of JCV genome similar to T lymphocytes suggests that there is some barrier to viral growth in susceptible B lymphocytes, and that the growth of JCV is different from that of other virulent viruses.",,,,,,,,,,,,,,,,
10628796,NLM,MEDLINE,20000121,20190921,0945-6317 (Print) 0945-6317 (Linking),435,6,1999 Dec,Guidelines for subtyping small B-cell lymphomas in bone marrow biopsies.,549-58,"['Henrique, R', 'Achten, R', 'Maes, B', 'Verhoef, G', 'De Wolf-Peeters, C']","['Henrique R', 'Achten R', 'Maes B', 'Verhoef G', 'De Wolf-Peeters C']","['Department of Pathology, University Hospitals, Minderbroedersstraat, Leuven, Belgium.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Germany,Virchows Arch,Virchows Archiv : an international journal of pathology,9423843,,IM,"['Algorithms', 'Biopsy', 'Bone Marrow/*pathology', 'Guidelines as Topic', 'Histocytological Preparation Techniques', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*classification/*pathology']",2000/01/11 00:00,2000/01/11 00:01,['2000/01/11 00:00'],"['2000/01/11 00:00 [pubmed]', '2000/01/11 00:01 [medline]', '2000/01/11 00:00 [entrez]']",['10.1007/s004280050440 [doi]'],ppublish,Virchows Arch. 1999 Dec;435(6):549-58. doi: 10.1007/s004280050440.,"In this review, we summarise the patterns of bone marrow involvement by small B-cell lymphomas. Both our own experience and the literature reports on the subject show that each subtype of lymphoma can be recognised from a distinct combination of a suggestive growth pattern and a particular cytological composition. A predominantly paratrabecular infiltrate composed of centrocytes is characteristic of follicle centre cell lymphoma. In mantle cell lymphoma, prominent intertrabecular nodules, each consisting of a monotonous proliferation of small to intermediate-sized lymphoid cells with an irregular nucleus, are the most frequent finding. Marginal zone cell lymphoma displays similar intertrabecular nodules, but the infiltrates are rather loose and polymorphic, whereas the lymphoid cells exhibit monocytoid features. Diffuse infiltrates composed of small lymphocytes with clumped chromatin, of plasma cells with Dutcher bodies and of mast cells are observed in most cases of lymphoplasmacytoid lymphoma/immunocytoma. Although chronic lymphocytic leukaemia / small lymphocytic lymphoma can present with a comparable pattern of bone marrow involvement, an interstitial infiltrate of small lymphoid cells is usually observed. A comparable interstitial pattern also prevails in hairy cell leukaemia. This lymphoma subtype, however, can be readily identified by the abundant clear cytoplasm of the neoplastic cells, erythrocyte extravasation and associated abnormalities in the haematopoietic series.",,,,47,,,,,,,,,,,,
10628677,NLM,MEDLINE,20000210,20190831,0165-2427 (Print) 0165-2427 (Linking),72,3-4,1999 Dec 30,The effects of feline retroviruses on cytokine expression.,343-68,"['Linenberger, M L', 'Deng, T']","['Linenberger ML', 'Deng T']","['Department of Medicine, University of Washington, Seattle 98195, USA. linen@u.washington.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Netherlands,Vet Immunol Immunopathol,Veterinary immunology and immunopathology,8002006,['0 (Cytokines)'],IM,"['Animals', 'Cats', 'Cell Line', 'Cloning, Molecular', 'Cytokines/*biosynthesis/genetics', 'Cytopathogenic Effect, Viral', 'Leukemia Virus, Feline/metabolism/*pathogenicity', 'Leukemia, Feline/*metabolism', 'Polymerase Chain Reaction/veterinary']",2000/01/11 00:00,2000/01/11 00:01,['2000/01/11 00:00'],"['2000/01/11 00:00 [pubmed]', '2000/01/11 00:01 [medline]', '2000/01/11 00:00 [entrez]']","['S0165-2427(99)00147-6 [pii]', '10.1016/s0165-2427(99)00147-6 [doi]']",ppublish,Vet Immunol Immunopathol. 1999 Dec 30;72(3-4):343-68. doi: 10.1016/s0165-2427(99)00147-6.,"To identify potential roles of cytokines in retroviral pathogenesis, we used reverse transcription-quantitative competitive polymerase chain reaction (RT-qcPCR) assays to characterize mRNA levels of 19 different lymphokines, chemokines, monokines and hematopoietic growth factors in three feline cell lines productively infected with subgroup A feline leukemia virus (FeLV-A) or various feline immunodeficiency virus (FIV) strains. Infection of a CD8+, CD5- large granular lymphocyte (LGL) cell line with FeLV-A activated expression of interleukin-7 (IL-7), induced modest (4-fold) increases in granulocyte/macrophage colony-stimulating factor (GM-CSF) and leukemia inhibitory factor (LIF) transcripts, and decreased transforming growth factor-beta (TGF-beta) mRNA (4-fold). The LGL cells were not susceptible to infection by FIV. Infection of MYA-1 cells, a CD4+ T-lymphoblastoid cell line, with FeLV-A activated expression of macrophage inflammatory protein-1alpha (MIP-1alpha), increased transcript levels of GM-CSF (8-fold), macrophage CSF (M-CSF) (16-fold) and stem cell factor (SCF) (250-fold), and decreased (4-fold) expression of IL-10 and tumor necrosis factor-alpha (TNF-alpha). Productive infection with four different FIV molecular clones caused progressive MYA-1 cell death; however, the mRNA expression profiles were unchanged except for 2- to 4-fold increases in M-CSF and 16- to 500-fold increases in SCF. Thus, FIV-induced MYA-1 cytopathicity was not associated with dysregulation of pro-apoptotic or survival factor transcript levels. Lastly, productive infection of PNI cells, a marrow-derived fibroendothelial cell line, with FeLV-A or any of three FIV strains induced 4-fold higher levels of IL-12p40 transcripts and variably higher levels (4- to 64-fold) of GM-CSF. Two viral strains, the FIV-14 molecular clone and the clinical isolate FIV-5122, caused syncytia formation and unique activation of IL-1beta and stromal cell-derived factor-1 (SDF-1) expression, suggesting a potential role for those factors in viral spread and/or cytopathicity. In addition, infection with FIV-5122, but not the other FIV strains or FeLV-A, induced significant increases in mRNA levels of the hematopoietic inhibitors TNF-alpha and MIP-1alpha, along with increased concentrations of soluble proteins in culture supernatants. Consistent with this, supernatant from FIV-5122 infected PNI cells suppressed hematopoietic progenitor growth in colony assays, compared to supportive activities in supernatants from other infected or uninfected PNI cell cultures. Together, these data demonstrate that feline retroviruses alter cytokine mRNA levels in general and strain-specific patterns. These changes may result in specific alterations in cell function and contribute to retroviral pathogenesis. Our observations provide a basis for directed studies of candidate factors within the hematopoietic, thymic and lymphoid microenvironments.",,,,,,,['DK49888/DK/NIDDK NIH HHS/United States'],,,,,,,,,
