PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,RF,IP,PMC,AB
14055310,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),8,1963 Apr,[METABOLIC ROUTES OF GLUCOSE TRANSFORMATION IN THE LEUKOCYTES OF HEALTHY PERSONS AND THOSE WITH LEUKEMIA].,9-15,"['LUGANOVA, I S', 'SEITS, I F']","['LUGANOVA IS', 'SEITS IF']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['IY9XDZ35W2 (Glucose)'],OM,"['*Biochemical Phenomena', '*Carbohydrate Metabolism', '*Glucose', 'Humans', '*Leukemia', '*Leukocytes', '*Metabolism']",['NLM'],"['*CARBOHYDRATE METABOLISM', '*GLUCOSE', '*LEUKEMIA', '*LEUKOCYTES', '*METABOLISM']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1963 Apr;8:9-15.,,PUTI METABOLICHESKIKH PREVRASHCHENI I GLIUKOZY V LE IKOTSITAKH ZDOROVYKH I BOL'NYKH LE IKOZAMI LIUDE I.,,,,
14055306,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),8,1963 Apr,[ANTIMETABOLITES IN THE TREATMENT OF ACUTE LEUKEMIA (REVIEW)].,32-40,"['KOVALEVA, L G']",['KOVALEVA LG'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['0 (Antimetabolites)'],OM,"['*Acute Disease', '*Antimetabolites', 'Humans', '*Leukemia']",['NLM'],"['*ANTIMETABOLITES', '*LEUKEMIA', '*REVIEW']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1963 Apr;8:32-40.,,ANTIMETABOLITY V LECHENII OSTROGO LEIKOZA (OBZOR),0,,,
14055304,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),8,1963 Apr,[A STRAIN OF TRANSPLANTABLE NO. 1 TSOLIPK MOUSE MYELOID LEUKEMIA].,22-7,"['KRASHILINA, A Ia']",['KRASHILINA AIa'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', '*Leukemia, Myeloid', 'Mice', '*Research']",['NLM'],"['*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*MICE']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1963 Apr;8:22-7.,,SHTAMM PEREVIVAEMOGO MIELOIDNOGO LE IKOZA MYSHE I NO. 1 TSOLIPK.,,,,
14055303,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),8,1963 Apr,[CYTOCHEMICAL AND RADIOAUTOGRAPHIC STUDY OF NUCLEIC ACIDS IN LEUKEMIC CELLS].,19-22,"['KAZANOVA, L I', 'KOZINETS, G I']","['KAZANOVA LI', 'KOZINETS GI']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,['0 (Nucleic Acids)'],OM,"['*Autoradiography', '*Histocytochemistry', 'Humans', '*Leukemia', '*Leukocytes', '*Nucleic Acids']",['NLM'],"['*HISTOCYTOCHEMISTRY', '*LEUKEMIA', '*LEUKOCYTES', '*NUCLEIC ACIDS', '*RADIOAUTOGRAPHY']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1963 Apr;8:19-22.,,TSITOKHIMICHESKIE I AVTORADIOGRAFICHESKIE ISSLEDOVANIIA NUKLEINOVYKH KISLOT V LE IKOZNYKH KLETKAKH.,,,,
14055302,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),8,1963 Apr,[LEUKOCYTE HISTOCHEMISTRY IN LEUKEMIA AND AGRANULOCYTOSIS].,15-9,"['ALMAZOV, V A', 'PAVLOV, B A', 'RIABOV, S I']","['ALMAZOV VA', 'PAVLOV BA', 'RIABOV SI']",['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,"['0 (Lipids)', '9005-79-2 (Glycogen)', 'EC 1.- (Oxidoreductases)', 'EC 1.11.1.- (Peroxidases)']",OM,"['*Agranulocytosis', '*Glycogen', '*Histocytochemistry', 'Humans', '*Leukemia', '*Leukocytes', 'Lipids/*blood', '*Oxidoreductases', '*Peroxidases']",['NLM'],"['*AGRANULOCYTOSIS', '*BLOOD LIPIDS', '*GLYCOGEN', '*HISTOCYTOCHEMISTRY', '*LEUKEMIA', '*LEUKOCYTES', '*OXIDOREDUCTASES', '*PEROXIDASES']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Probl Gematol Pereliv Krovi. 1963 Apr;8:15-9.,,GISTOKHIMIIA LE IKOTSITOV PRI LE IKOZAKH I AGRANULOTSITOZAKH.,,,,
14055250,NLM,MEDLINE,19961201,20181201,0450-2167 (Print) 0450-2167 (Linking),16,1963,[ON THE IMPORTANCE OF CORTICOSTEROID THERAPY FOR SURGICAL PRACTICE].,531-8,"['PAMPULOV, Z']",['PAMPULOV Z'],['bul'],['Journal Article'],Bulgaria,Khirurgiia (Sofiia),Khirurgiia,0376355,"['0 (Adrenal Cortex Hormones)', 'WI4X0X7BPJ (Hydrocortisone)']",OM,"['*Adrenal Cortex Hormones', '*Anemia', '*Anemia, Hemolytic', 'Humans', '*Hydrocortisone', '*Leukemia', '*Leukemia, Myeloid', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Peptic Ulcer Perforation', '*Sarcoma', '*Shock, Surgical', '*Shock, Traumatic', '*Splenic Neoplasms', '*Surgical Procedures, Operative']",['NLM'],"['*ADRENAL CORTEX HORMONES', '*ANEMIA, HEMOLYTIC', '*HYDROCORTISONE', '*LEUKEMIA, MYELOCYTIC', '*PEPTIC ULCER PERFORATION', '*SARCOMA, RETICULUM CELL', '*SHOCK, SURGICAL', '*SHOCK, TRAUMATIC', '*SPLENIC NEOPLASMS', '*SURGERY, OPERATIVE']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Khirurgiia (Sofiia). 1963;16:531-8.,,Y URKHU ZNACHENIETO NA KORTIKOSTEROIDNATA TERAPIIA ZA KHIRURGICHNATA PRAKTIKA.,,,,
14055143,NLM,MEDLINE,19961201,20190727,0040-8727 (Print) 0040-8727 (Linking),80,1963 Jul 25,PROLIFERATIVE OF LEUKEMIC CELLS STUDIED WITH TRITIATED THYMIDINE IN VITRO.,168-74,"['KUROYANAGI, T', 'SAITO, M']","['KUROYANAGI T', 'SAITO M']",['eng'],['Journal Article'],Japan,Tohoku J Exp Med,The Tohoku journal of experimental medicine,0417355,"['0 (DNA, Neoplasm)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",OM,"['*DNA', '*DNA, Neoplasm', 'Humans', 'In Vitro Techniques', '*Leukemia', '*Leukemia, Myeloid', '*Leukocytes', '*Neoplasms', '*Thymidine']",['NLM'],"['*DNA, NEOPLASM', '*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTES', '*THYMIDINE']",1963/07/25 00:00,1963/07/25 00:01,['1963/07/25 00:00'],"['1963/07/25 00:00 [pubmed]', '1963/07/25 00:01 [medline]', '1963/07/25 00:00 [entrez]']",ppublish,Tohoku J Exp Med. 1963 Jul 25;80:168-74. doi: 10.1620/tjem.80.168.,['10.1620/tjem.80.168 [doi]'],,,,,
14055032,NLM,MEDLINE,19961201,20181201,0371-1900 (Print) 0371-1900 (Linking),12,1963 Sep,[ON THE DEVELOPMENT OF LEUKEMIA CAUSED BY CARCINOGENIC CHEMICALS].,1757-65,"['HIRAKI, K', 'IRINO, S', 'OTA, Z', 'ASANO, K', 'SHINAGAWA, K', 'SEZAKI, T', 'MIYOSHI, I']","['HIRAKI K', 'IRINO S', 'OTA Z', 'ASANO K', 'SHINAGAWA K', 'SEZAKI T', 'MIYOSHI I']",['jpn'],['Journal Article'],Japan,Sogo Rinsho,[Sogo rinsho] Clinic all-round,20910550R,"['0 (Carcinogens)', '56-49-5 (Methylcholanthrene)', '8001-28-3 (Croton Oil)']",OM,"['*Carcinogens', '*Croton Oil', '*Leukemia', '*Leukemia, Experimental', '*Methylcholanthrene', 'Mice', 'Neoplasms/*etiology', '*Pharmacology', '*Research', '*Toxicology']",['NLM'],"['*CROTON OIL', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA, EXPERIMENTAL', '*METHYLCHOLANTHRENE', '*MICE', '*NEOPLASM ETIOLOGY', '*PHARMACOLOGY', '*TOXICOLOGIC REPORT']",1963/09/01 00:00,1963/09/01 00:01,['1963/09/01 00:00'],"['1963/09/01 00:00 [pubmed]', '1963/09/01 00:01 [medline]', '1963/09/01 00:00 [entrez]']",ppublish,Sogo Rinsho. 1963 Sep;12:1757-65.,,,,,,
14054737,NLM,MEDLINE,19961201,20181201,0196-5336 (Print) 0196-5336 (Linking),29,1963 Jul-Aug,ISOLATION OF VIRUSES FROM CHILDREN WITH ACUTE LEUKEMIA.,201-28,"['MURPHY, W H', 'FURTADO, D']","['MURPHY WH', 'FURTADO D']",['eng'],['Journal Article'],United States,Med Bull (Ann Arbor),"Medical bulletin (Ann Arbor, Mich.)",9427052,['0 (Antibodies)'],OM,"['*Antibodies', 'Child', '*Enterovirus C, Human', '*Leukemia', '*Lupus Erythematosus, Discoid', '*Poliovirus', '*Sarcoma', '*Tissue Culture Techniques', '*Virus Cultivation']",['NLM'],"['*ANTIBODIES', '*CHILD', '*LEUKEMIA', '*LUPUS ERYTHEMATOSUS, DISCOID', '*POLIOVIRUS', '*SARCOMA', '*TISSUE CULTURE', '*VIRUS CULTIVATION']",1963/07/01 00:00,1963/07/01 00:01,['1963/07/01 00:00'],"['1963/07/01 00:00 [pubmed]', '1963/07/01 00:01 [medline]', '1963/07/01 00:00 [entrez]']",ppublish,Med Bull (Ann Arbor). 1963 Jul-Aug;29:201-28.,,,,,,
14054672,NLM,MEDLINE,19961201,20181201,0035-0362 (Print) 0035-0362 (Linking),63,1963 Aug,"[LYMPHOMAS: ETIOPATHOGENESIS, EPIDEMIOLOGY AND CLINICAL CHARACTERISTICS].",71-106,"['JAMRA, M', 'LORENZI, T F', 'MILDER, R V']","['JAMRA M', 'LORENZI TF', 'MILDER RV']",['por'],['Journal Article'],Brazil,Rev Paul Med,Revista paulista de medicina,0404326,,OM,"['*Epidemiology', '*Hodgkin Disease', 'Humans', '*Leukemia', '*Lymphoma', '*Lymphoma, Follicular', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Mycosis Fungoides', '*Neoplasms', '*Pathology', '*Sarcoma']",['NLM'],"['*EPIDEMIOLOGY', ""*HODGKIN'S DISEASE"", '*LEUCOSARCOMA', '*LYMPHOMA', '*LYMPHOMA, GIANT FOLLICULAR', '*LYMPHOSARCOMA', '*MYCOSIS FUNGOIDES', '*PATHOLOGY', '*SARCOMA, RETICULUM CELL']",1963/08/01 00:00,1963/08/01 00:01,['1963/08/01 00:00'],"['1963/08/01 00:00 [pubmed]', '1963/08/01 00:01 [medline]', '1963/08/01 00:00 [entrez]']",ppublish,Rev Paul Med. 1963 Aug;63:71-106.,,"LINFOMAS: ETIOPATOGENIA, EPIDEMIOLOGIA E CARACTERES CL'INICOS.",,,,
14054671,NLM,MEDLINE,19961201,20181201,0035-0362 (Print) 0035-0362 (Linking),63,1963 Aug,[LYMPHOMAS: TREATMENT AND SURVIVAL].,107-19,"['JAMRA, M', 'LORENZI, T F', 'MILDER, R V']","['JAMRA M', 'LORENZI TF', 'MILDER RV']",['por'],['Journal Article'],Brazil,Rev Paul Med,Revista paulista de medicina,0404326,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)', '0 (Phosphorus Isotopes)', 'W90AYD6R3Q (Radium)']",OM,"['*Adrenal Cortex Hormones', '*Antineoplastic Agents', '*Hodgkin Disease', '*Leukemia', '*Lymphoma', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', 'Neoplasms/*radiotherapy', '*Phosphorus Isotopes', '*Radium', '*Sarcoma']",['NLM'],"['*ADRENAL CORTEX HORMONES', '*ANTINEOPLASTIC AGENTS', ""*HODGKIN'S DISEASE"", '*LEUCOSARCOMA', '*LYMPHOMA', '*LYMPHOSARCOMA', '*NEOPLASM RADIOTHERAPY', '*PHOSPHORUS ISOTOPES', '*RADIUM', '*SARCOMA, RETICULUM CELL']",1963/08/01 00:00,1963/08/01 00:01,['1963/08/01 00:00'],"['1963/08/01 00:00 [pubmed]', '1963/08/01 00:01 [medline]', '1963/08/01 00:00 [entrez]']",ppublish,Rev Paul Med. 1963 Aug;63:107-19.,,LINFOMAS: TRATAMENTO E SOBREVIDA.,,,,
14054599,NLM,MEDLINE,19961201,20181201,0032-3756 (Print) 0032-3756 (Linking),18,1963 Jan 21,[SUCCESSFUL COURSE OF PREGNANCY IN A WOMAN WITH LYMPHATIC LEUKEMIA].,142-4,"['TYTMAN, B']",['TYTMAN B'],['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,,OM,"['Female', '*Hematology', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', 'Pregnancy', '*Pregnancy Complications', '*Pregnancy Complications, Hematologic']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC', '*PREGNANCY', '*PREGNANCY COMPLICATIONS, HEMATOLOGIC']",1963/01/21 00:00,1963/01/21 00:01,['1963/01/21 00:00'],"['1963/01/21 00:00 [pubmed]', '1963/01/21 00:01 [medline]', '1963/01/21 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1963 Jan 21;18:142-4.,,POMY'SLNY PRZEBIEG CI AZY U KOBIETY Z BIALACZK A LIMFATYCZN A.,,,,
14054590,NLM,MEDLINE,19961201,20181201,,33,1963,[BEHAVIOR OF ALKALINE PHSOPHATASE IN MATURE GRANULOCYTES IN SOME HEMATOLOGICAL STATES AND SYNDROMES].,511-8,"['MDZEWSKI, B']",['MDZEWSKI B'],['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,['EC 3.1.3.1 (Alkaline Phosphatase)'],OM,"['Alkaline Phosphatase/*blood', '*Granulocytes', 'Humans', '*Leukemia', '*Leukemia, Erythroblastic, Acute', '*Leukemia, Myeloid', '*Leukocyte Count', '*Leukocytes', '*Polycythemia Vera', '*Primary Myelofibrosis', '*Spherocytosis, Hereditary', '*Syndrome']",['NLM'],"['*BLOOD ALKALINE PHOSPHATASE', '*ERYTHREMIC MYELOSIS', '*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTES', '*MYELOFIBROSIS', '*POLYCYTHEMIA VERA', '*SPHEROCYTOSIS, HEREDITARY']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1963;33:511-8.,,ZACHOWANIE SI E ZASADOWEJ FOSFATAZY GRANULOCYT'OW DOJRZALYCH W NIEKT'ORYCH STANACH I ZESPOLACH HEMATOLOGICZNYCH.,,,,
14054569,NLM,MEDLINE,19961201,20181201,0030-6002 (Print) 0030-6002 (Linking),104,1963 Sep 8,[EXAMINATION OF THE STEROID METABOLISM IN HUMAN LEUKEMIA].,1692-5,"['SZATMARI, E', 'FEHER, T']","['SZATMARI E', 'FEHER T']",['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,"['0 (17-Ketosteroids)', '0 (Androgens)', '9PHQ9Y1OLM (Prednisolone)', 'E60VWA40D2 (Mannomustine)', 'G1LN9045DK (Busulfan)']",OM,"['*17-Ketosteroids', '*Androgens', '*Busulfan', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Lymphocytes', '*Mannomustine', '*Prednisolone', '*Urine']",['NLM'],"['*17-KETOSTEROIDS', '*ANDROGENS', '*BUSULFAN', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*MANNOMUSTINE', '*PREDNISOLONE', '*URINE']",1963/09/08 00:00,1963/09/08 00:01,['1963/09/08 00:00'],"['1963/09/08 00:00 [pubmed]', '1963/09/08 00:01 [medline]', '1963/09/08 00:00 [entrez]']",ppublish,Orv Hetil. 1963 Sep 8;104:1692-5.,,STEROID-ANYAGCSERE VIZSG'ALATOK EMBERI LEUKAEMI'ABAN.,,,,
14054459,NLM,MEDLINE,19961201,20190612,0140-6736 (Print) 0140-6736 (Linking),2,1963 Nov 2,LATEX FIXATION TEST IN MYELOID LEUKAEMIA.,947-8,"['INNIS, M D']",['INNIS MD'],['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,,OM,"['Humans', '*Latex Fixation Tests', '*Leukemia', '*Leukemia, Myeloid', '*Microspheres', '*Serologic Tests']",['NLM'],"['*LATEX PARTICLES', '*LEUKEMIA, MYELOCYTIC', '*SERODIAGNOSIS']",1963/11/02 00:00,1963/11/02 00:01,['1963/11/02 00:00'],"['1963/11/02 00:00 [pubmed]', '1963/11/02 00:01 [medline]', '1963/11/02 00:00 [entrez]']",ppublish,Lancet. 1963 Nov 2;2(7314):947-8. doi: 10.1016/s0140-6736(63)90663-9.,"['S0140-6736(63)90661-5 [pii]', '10.1016/s0140-6736(63)90663-9 [doi]']",,,7314,,
14054455,NLM,MEDLINE,19961201,20190612,0140-6736 (Print) 0140-6736 (Linking),2,1963 Nov 2,MULTIPLE CHROMOSOME ABERRATIONS IN DOWN'S SYNDROME ASSOCIATED WITH TWINNING AND ACUTE GRANULOCYTIC LEUKAEMIA.,944-5,"['KIOSSOGLOU, K A', 'ROSENBAUM, E', 'MITUS, U J', 'DAMESHEK, W']","['KIOSSOGLOU KA', 'ROSENBAUM E', 'MITUS UJ', 'DAMESHEK W']",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,,OM,"['Child', '*Chromosome Aberrations', '*Chromosome Disorders', '*Diseases in Twins', '*Down Syndrome', 'Female', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Leukemia, Myeloid, Acute', 'Pregnancy', '*Trisomy']",['NLM'],"['*CHILD', '*CHROMOSOME ABNORMALITIES', '*DISEASES IN TWINS', '*LEUKEMIA, MYELOCYTIC', '*MONGOLISM', '*PREGNANCY', '*TRISOMY']",1963/11/02 00:00,1963/11/02 00:01,['1963/11/02 00:00'],"['1963/11/02 00:00 [pubmed]', '1963/11/02 00:01 [medline]', '1963/11/02 00:00 [entrez]']",ppublish,Lancet. 1963 Nov 2;2(7314):944-5. doi: 10.1016/s0140-6736(63)90657-3.,"['S0140-6736(63)90657-3 [pii]', '10.1016/s0140-6736(63)90657-3 [doi]']",,,7314,,
14054226,NLM,MEDLINE,19961201,20181201,0069-0112 (Print) 0069-0112 (Linking),30,1963 Jul,HEMATOLOGIC EFFECT OF AN ETHYLENIMINE COMPOUND.,25-6,"['KENNEDY, B J']",['KENNEDY BJ'],['eng'],['Journal Article'],United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,"['0 (Antineoplastic Agents)', '0 (Aziridines)', '0 (Imines)', '54P5FEX9FH (aziridine)']",OM,"['*Adenocarcinoma', '*Anemia', 'Animals', '*Antineoplastic Agents', '*Aziridines', '*Imines', '*Leukemia L1210', '*Leukopenia', 'Mice', '*Research', '*Sarcoma 180', '*Thrombocytopenia', '*Toxicology']",['NLM'],"['*ADENOCARCINOMA', '*ANEMIA', '*ANTINEOPLASTIC AGENTS', '*EXPERIMENTAL LAB STUDY', '*IMINES', '*LEUKEMIA L1210', '*LEUKOPENIA', '*MICE', '*SARCOMA 180, CROCKER', '*THROMBOPENIA', '*TOXICOLOGIC REPORT']",1963/07/01 00:00,1963/07/01 00:01,['1963/07/01 00:00'],"['1963/07/01 00:00 [pubmed]', '1963/07/01 00:01 [medline]', '1963/07/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1963 Jul;30:25-6.,,,,,,
14054205,NLM,MEDLINE,19961201,20181201,0001-4079 (Print) 0001-4079 (Linking),147,1963 Jun 25,[LYMPHNODE REACTION AFTER TRANSPLANTABLE TUMOR HOMOGRAFT (GU'ERIN TUMOR T 8) IN THE RAT].,499-504,"['MASSE, L', 'MASSE, C', 'CHASSAIGNE, J P']","['MASSE L', 'MASSE C', 'CHASSAIGNE JP']",['fre'],['Journal Article'],Netherlands,Bull Acad Natl Med,Bulletin de l'Academie nationale de medecine,7503383,"['Reticuloendotheliosis, X-linked']",OM,"['*Allografts', '*Genetic Diseases, X-Linked', '*Leukemia, Hairy Cell', '*Lymph Nodes', '*Lymphatic Diseases', '*Lymphocytosis', '*Neoplasm Transplantation', 'Neoplasms/*immunology', '*Neoplasms, Experimental', 'Rats', '*Research', '*Severe Combined Immunodeficiency']",['NLM'],"['*EXPERIMENTAL LAB STUDY', '*LYMPH NODES', '*LYMPHOCYTOSIS', '*NEOPLASM IMMUNOLOGY', '*NEOPLASMS, EXPERIMENTAL', '*RATS', '*RETICULOENDOTHELIOSIS']",1963/06/25 00:00,1963/06/25 00:01,['1963/06/25 00:00'],"['1963/06/25 00:00 [pubmed]', '1963/06/25 00:01 [medline]', '1963/06/25 00:00 [entrez]']",ppublish,Bull Acad Natl Med. 1963 Jun 25;147:499-504.,,LA R'EACTION GANGLIONNAIRE APR'ES HOMOGREFFE TUMORALE TRANSPLANTABLE (TUMEUR T 8 DE GU'ERIN) CHEZ LE RAT.,,,,
14054020,NLM,MEDLINE,19961201,20181201,0042-4676 (Print) 0042-4676 (Linking),38,1963 Sep-Oct,"[THE ROENTGENOLOGICAL PICTURE OF LEUKEMIC CHANGES IN THE LUNGS, PLEURA AND THORACIC LYMPH NODES IN ACUTE (SUBACUTE) LEUKEMIA].",26-30,"['TSUKERMAN, O A']",['TSUKERMAN OA'],['rus'],['Journal Article'],Russia (Federation),Vestn Rentgenol Radiol,Vestnik rentgenologii i radiologii,0424741,,OM,"['Humans', '*Leukemia', '*Lung', '*Lung Diseases', '*Lymph Nodes', '*Lymphadenitis', '*Pleura', '*Pleurisy', '*Radiography, Thoracic', '*Thoracic Diseases']",['NLM'],"['*LEUKEMIA', '*LUNG DISEASES', '*LYMPHADENITIS', '*PLEURISY', '*THORACIC DISEASES', '*THORACIC RADIOGRAPHY']",1963/09/01 00:00,1963/09/01 00:01,['1963/09/01 00:00'],"['1963/09/01 00:00 [pubmed]', '1963/09/01 00:01 [medline]', '1963/09/01 00:00 [entrez]']",ppublish,Vestn Rentgenol Radiol. 1963 Sep-Oct;38:26-30.,,"RENTGENOLOGICHESKAIA KARTINA LE IKEMICHESKIKH IZMENENI I V LEGKIKH, PLEVRE I LIMFATICHESKIKH UZLAKH GRUDNO I KLETKI PRI OSTROM (PODOSTROM) LE IKOZE.",,,,
14053863,NLM,MEDLINE,19961201,20181201,0371-2761 (Print) 0371-2761 (Linking),11,1963 Mar,"ON THE SYNTHESIS OF PYRIMIDO (4,5,C)(2,1,3) SELENA-DIAZOLES AND THEIR ANTI-TUMOR ACTIVITY ON MOUSE LEUKEMIA L 1210.",201-2,"['ENDO, H', 'SATO, K', 'KAWASAKI, T']","['ENDO H', 'SATO K', 'KAWASAKI T']",['eng'],['Journal Article'],Japan,Sci Rep Res Inst Tohoku Univ Med,"The science reports of the research institutes, Tohoku University. Ser. C, Medicine. Tohoku Daigaku",0234153,"['0 (Antineoplastic Agents)', '0 (Azoles)']",OM,"['Animals', '*Antineoplastic Agents', '*Azoles', '*Leukemia L1210', 'Mice', '*Neoplasms', '*Research']",['NLM'],"['*ANTINEOPLASTIC AGENTS', '*AZOLES', '*EXPERIMENTAL LAB STUDY', '*LEUKEMIA L1210', '*MICE']",1963/03/01 00:00,1963/03/01 00:01,['1963/03/01 00:00'],"['1963/03/01 00:00 [pubmed]', '1963/03/01 00:01 [medline]', '1963/03/01 00:00 [entrez]']",ppublish,Sci Rep Res Inst Tohoku Univ Med. 1963 Mar;11:201-2.,,,,,,
14053418,NLM,MEDLINE,19961201,20181201,,20,1963 Nov,GASTROINTESTINAL PERFORATION AS A COMPLICATION OF LEUKEMIA. A CASE REPORT.,330-1,"['ZIPERMAN, H H', 'LAU, M K']","['ZIPERMAN HH', 'LAU MK']",['eng'],['Journal Article'],United States,Med Bull US Army Eur,"Medical bulletin of the U. S. Army, Europe. United States. Army, Europe. Medical Division",22210310R,"['1ZK20VI6TY (Triamcinolone)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)']",OM,"['Humans', 'Infant', '*Intestinal Perforation', '*Leukemia', '*Mercaptopurine', '*Methotrexate', '*Pathology', '*Stomach', '*Toxicology', '*Triamcinolone']",['NLM'],"['*INFANT', '*INTESTINAL PERFORATION', '*LEUKEMIA', '*MERCAPTOPURINE', '*METHOTREXATE', '*PATHOLOGY', '*STOMACH', '*TOXICOLOGIC REPORT', '*TRIAMCINOLONE']",1963/11/01 00:00,1963/11/01 00:01,['1963/11/01 00:00'],"['1963/11/01 00:00 [pubmed]', '1963/11/01 00:01 [medline]', '1963/11/01 00:00 [entrez]']",ppublish,Med Bull US Army Eur. 1963 Nov;20:330-1.,,,,,,
14053342,NLM,MEDLINE,19961201,20181201,0021-8200 (Print) 0021-8200 (Linking),69,1963 Jul-Aug,[HISTIOCYTIC ORCHITIS].,357-72,"['ALBERTO, P']",['ALBERTO P'],['fre'],['Journal Article'],France,J Urol Nephrol (Paris),Journal d'urologie et de nephrologie,7802652,"['Reticuloendotheliosis, X-linked']",OM,"['*Castration', '*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', 'Male', '*Orchiectomy', '*Orchitis', '*Pathology', '*Severe Combined Immunodeficiency']",['NLM'],"['*CASTRATION', '*ORCHITIS', '*PATHOLOGY', '*RETICULOENDOTHELIOSIS']",1963/07/01 00:00,1963/07/01 00:01,['1963/07/01 00:00'],"['1963/07/01 00:00 [pubmed]', '1963/07/01 00:01 [medline]', '1963/07/01 00:00 [entrez]']",ppublish,J Urol Nephrol (Paris). 1963 Jul-Aug;69:357-72.,,L'ORCHITE HISTIOCYTAIRE.,,,,
