PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,TT,OID,OTO,OT,GN
6933423,NLM,MEDLINE,19810116,20151119,0032-3756 (Print) 0032-3756 (Linking),35,28,1980 Jul 14,[Results of treatment of exacerbation of myelocytic leukemia according to the TRAMPCO program].,1063-6,,"['Sylwestrowicz, T', 'Pawelski, S', 'Maj, S', 'Zywicka-Lopaciuk, H', 'Zdziechowska, H', 'Sobczynska, Z', 'Apel, D']","['Sylwestrowicz T', 'Pawelski S', 'Maj S', 'Zywicka-Lopaciuk H', 'Zdziechowska H', 'Sobczynska Z', 'Apel D']",['pol'],"['English Abstract', 'Journal Article']",Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,"['04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'EC 3.5.1.1 (Asparaginase)', 'FTK8U1GZNX (Thioguanine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Adult', 'Aged', 'Asparaginase/administration & dosage', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Drug Therapy, Combination', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Methotrexate/administration & dosage', 'Middle Aged', 'Prednisone/administration & dosage', 'Thioguanine/administration & dosage', 'Vincristine/administration & dosage']",,1980/07/14 00:00,1980/07/14 00:01,['1980/07/14 00:00'],"['1980/07/14 00:00 [pubmed]', '1980/07/14 00:01 [medline]', '1980/07/14 00:00 [entrez]']",,ppublish,Pol Tyg Lek. 1980 Jul 14;35(28):1063-6.,,Wyniki leczenia zaostrzenia przewleklej bialaczki szpikowej wedlug programu TRAMPCO.,,,,
6933422,NLM,MEDLINE,19810126,20170306,,64,2,1980 Aug,[Clonal proliferation of the hematopoietic stem cells from patients with myelocytic leukemia in in vivo culture].,125-32,,"['Hansz, J', 'Pytlak, B', 'Drozdowska, D']","['Hansz J', 'Pytlak B', 'Drozdowska D']",['pol'],"['English Abstract', 'Journal Article']",Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,,IM,"['Cell Division', 'Cells, Cultured', 'Colony-Forming Units Assay', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myeloid/*pathology']",,1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",,ppublish,Pol Arch Med Wewn. 1980 Aug;64(2):125-32.,,Rozrost klonalny komorek macierzystych szpiku przewleklej bialaczki szpikowej w hodowli in vivo.,,,,
6933408,NLM,MEDLINE,19810116,20071115,0301-1518 (Print) 0301-1518 (Linking),9,35,1980 Sep 27,[Favorable development (cure?) of acute very hyperleukocytic lymphoblastic leukemia in a young adult].,2582,,"['Weil, M', 'Jacquillat, C', 'Auclerc, M F', 'Bernard, J']","['Weil M', 'Jacquillat C', 'Auclerc MF', 'Bernard J']",['fre'],"['Case Reports', 'Letter']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,,IM,"['Adult', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Leukocytosis/therapy', 'Male', 'Prognosis']",,1980/09/27 00:00,1980/09/27 00:01,['1980/09/27 00:00'],"['1980/09/27 00:00 [pubmed]', '1980/09/27 00:01 [medline]', '1980/09/27 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1980 Sep 27;9(35):2582.,,Evolution favorable (guerison?) de la leucemie aigue lymphoblastique tres hyperleucocytaire d'un jeune adulte.,,,,
6933407,NLM,MEDLINE,19810116,20071115,0301-1518 (Print) 0301-1518 (Linking),9,35,1980 Sep 27,[Blood lipids in 30 children with a blood disease or cancer].,2576-7,,"['Favrot-Duvernois, M C', 'Dellamonica, C', 'Souillet, G']","['Favrot-Duvernois MC', 'Dellamonica C', 'Souillet G']",['fre'],['Letter'],France,Nouv Presse Med,La Nouvelle presse medicale,0312552,['0 (Lipids)'],IM,"['Child', 'Hematologic Diseases/*blood', 'Humans', 'Leukemia, Lymphoid/blood', 'Lipids/*blood', 'Neoplasms/*blood']",,1980/09/27 00:00,1980/09/27 00:01,['1980/09/27 00:00'],"['1980/09/27 00:00 [pubmed]', '1980/09/27 00:01 [medline]', '1980/09/27 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1980 Sep 27;9(35):2576-7.,,Les lipides sanguins chez trente enfants ayant une hemopathie ou un cancer.,,,,
6933406,NLM,MEDLINE,19810116,20071115,0301-1518 (Print) 0301-1518 (Linking),9,35,1980 Sep 27,[Myeloma together with acute myeloblastic leukaemia in an untreated patient (author's transl)].,2559-60,"In a 66-year old man without previous major disease the unexpected finding of pancytopenia on routine blood count during an acute respiratory infection led to the diagnosis of IgG-producing myeloma without radiological bone lesions, associated with partial blastocytosis and abnormalities in granulocyte maturation. No treatment was given. Within 15 days, the circulating blastocytes became more numerous and type M1 acute myeloblastic leukaemia was diagnosed. A combined rubidazone and cytosine arabinoside treatment failed, and the patient died rapidly.","['Vallantin, X', 'Tobelem, G', 'Daniel, M T', 'Flandrin, G', 'Brouet, J C', 'Bernard, J']","['Vallantin X', 'Tobelem G', 'Daniel MT', 'Flandrin G', 'Brouet JC', 'Bernard J']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,"['0 (Alkylating Agents)', '0 (Immunoglobulin G)']",IM,"['Aged', 'Alkylating Agents/adverse effects', 'Humans', 'Immunoglobulin G/analysis', 'Leukemia, Myeloid, Acute/*diagnosis', 'Male', 'Multiple Myeloma/*diagnosis/drug therapy', 'Neoplasms, Multiple Primary/*diagnosis']",,1980/09/27 00:00,1980/09/27 00:01,['1980/09/27 00:00'],"['1980/09/27 00:00 [pubmed]', '1980/09/27 00:01 [medline]', '1980/09/27 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1980 Sep 27;9(35):2559-60.,,Coexistence d'un myelome et d'une leucemie aigue myeloblastique chez un meme malade en l'absence de tout traitement.,,,,
6933321,NLM,MEDLINE,19810129,20131121,0026-4806 (Print) 0026-4806 (Linking),71,32,1980 Sep 8,[The use of betamethasone in polychemotherapy of lymphoproliferative diseases].,2293-7,"In recent years very encouraging results have been obtained in the treatment of lymphoproliferative disorders with the use of combination chemotherapy regimens. We have treated with protocols including betamethasone 29 patients with Hodgkin's disease, 33 affected by non-Hodgkin's lymphomas, 29 with chronic lymphocytic leukemia, 7 with acute lymphoblastic leukemia and 9 patients affected by multiple myeloma. Results have been very satisfactory in patients with advanced stage Hodgkin's disease (67% complete remission), in high malignancy non Hodgkin's lymphomas (47% complete remission) and in acute lymphoblastic leukemia (100% of patients in complete remission). Our results suggest that the use of betamethasone as a part of combination chemotherapy regimens may be very useful in the treatment of lymphoproliferative disorders.","['Cellerino, R', 'Ambrosetti, A', 'Tummarello, D', 'Perini, A', 'Piga, A', 'Celebrano, M']","['Cellerino R', 'Ambrosetti A', 'Tummarello D', 'Perini A', 'Piga A', 'Celebrano M']",['ita'],"['English Abstract', 'Journal Article']",Italy,Minerva Med,Minerva medica,0400732,"['0 (Antineoplastic Agents)', '9842X06Q6M (Betamethasone)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Betamethasone/*therapeutic use', 'Drug Therapy, Combination', 'Female', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Lymphoma/drug therapy', 'Lymphoproliferative Disorders/*drug therapy', 'Male', 'Middle Aged']",,1980/09/08 00:00,1980/09/08 00:01,['1980/09/08 00:00'],"['1980/09/08 00:00 [pubmed]', '1980/09/08 00:01 [medline]', '1980/09/08 00:00 [entrez]']",,ppublish,Minerva Med. 1980 Sep 8;71(32):2293-7.,,Impiego del betametasone nella polichemioterapia delle malattie linfoproliferative.,,,,
6933320,NLM,MEDLINE,19810129,20081121,0026-4806 (Print) 0026-4806 (Linking),71,30,1980 Aug 25,[Adenopathies in chronic myeloid leukemia (CML). Study of 161 cases].,2115-23,"161 cases of CML have been studied. Clinically significant adenopathies were present in 3,2% of the patients at the moment of diagnosis, and in the subsequent course they appeared in 7% of them. The behaviour of adenopathies showed to be unrelated to: --splenomegaly; --blastic metamorphosis in the peripheral blood or in the marrow (which they often preceded from 3 to 26 months); --hematological sensibility to cytostatic therapy; and furthermore they often acted as the most important clinical and therapeutic problem. From the cyto-histological point of view three features have been observed: 1) blastic metamorphosis in a lymphnode showing features of myeloid metaplasia; 2) blastic invasion in a lymphnode without any sign of myeloid metaplasia; 3) malignant lymphoma. Cytological examination of imprints and ultrastructural studies, besides the usual histological investigations, proved to be useful for the definition of the above mentioned features. In lymphomatous forms, together with the study of the cariotype and the research of the Ph' chromosome, the performance of immunocytological investigations is also necessary.","['Paolino, W', 'Infelise, V', 'Degani, G', 'Falda, M', 'Paolino, F', 'Fiorio, C', 'Marmont, F', 'Coda, R']","['Paolino W', 'Infelise V', 'Degani G', 'Falda M', 'Paolino F', 'Fiorio C', 'Marmont F', 'Coda R']",['ita'],"['Case Reports', 'English Abstract', 'Journal Article']",Italy,Minerva Med,Minerva medica,0400732,,IM,"['Adult', 'Aged', 'Female', 'Humans', 'Leukemia, Lymphoid/*etiology', 'Leukemia, Myeloid/*complications/pathology', 'Lymph Nodes/pathology', 'Lymphoma/*etiology', 'Male', 'Middle Aged', 'Primary Myelofibrosis/*etiology']",,1980/08/25 00:00,1980/08/25 00:01,['1980/08/25 00:00'],"['1980/08/25 00:00 [pubmed]', '1980/08/25 00:01 [medline]', '1980/08/25 00:00 [entrez]']",,ppublish,Minerva Med. 1980 Aug 25;71(30):2115-23.,,Adenopatie nella leucemia mieloide cronica (LMC). Studio su 161 casi.,,,,
6933311,NLM,MEDLINE,19810129,20190617,0028-0836 (Print) 0028-0836 (Linking),287,5778,1980 Sep 11,Tranquillizers can block mitogenesis in 3T3 cells and induce differentiation in Friend cells.,160-1,"Compounds of diverse structure induce murine Friend erythroleukaemia (MEL) cell differentiation. Seeking a common property, Bernstein reported that the relationship between activity and octanol/water partition coefficients for inducers resembled that reported for anaesthetics; moreover, anaesthetics inhibited induction. Since anaesthetics were known to increase membrane fluidity, they suggested that inducers might decrease it. Reporting evidence against unitary theories of anaesthesia, Richards et al. suggested that lipophilic drugs competed, according to their individual structure, with membrane lipids for hydrophobic regions on membrane proteins. The antagonism between pairs of anaesthetics, anaesthetics and inducers and pairs of inducers, might thus be explained economically by Richards' anaesthesia model, inducers and lipophilic drugs acting by similar rather than contrary mechanisms. Lipophilic drugs should, therefore, induce differentiation. We report here that some tranquillizers do so. As reported elsewhere for classical inducers, they also block non-differentiating 3T3 cells in pre-S. These findings may have application in cancer chemotherapy.","['Clarke, G D', 'Ryan, P J']","['Clarke GD', 'Ryan PJ']",['eng'],['Journal Article'],England,Nature,Nature,0410462,"['0 (Membrane Lipids)', '12794-10-4 (Benzodiazepines)']",IM,"['Animals', 'Benzodiazepines/*pharmacology', 'Cell Differentiation/*drug effects', 'Cells, Cultured/drug effects', 'Friend murine leukemia virus', 'Leukemia, Erythroblastic, Acute/pathology', 'Membrane Lipids', 'Mice', 'Mitosis/*drug effects', 'Neoplasms, Experimental/pathology', 'Solubility', 'Structure-Activity Relationship']",,1980/09/11 00:00,1980/09/11 00:01,['1980/09/11 00:00'],"['1980/09/11 00:00 [pubmed]', '1980/09/11 00:01 [medline]', '1980/09/11 00:00 [entrez]']",['10.1038/287160a0 [doi]'],ppublish,Nature. 1980 Sep 11;287(5778):160-1. doi: 10.1038/287160a0.,,,,,,
6933298,NLM,MEDLINE,19810129,20091111,0047-3936 (Print),37,3,1980 Mar,Case history: the patient with acute myeloid leukemia.,13-6,,"['Hartridge, M']",['Hartridge M'],['eng'],"['Case Reports', 'Journal Article']",Australia,Lamp,The Lamp,0015376,,,"['Adult', 'Family', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*nursing']",,1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Lamp. 1980 Mar;37(3):13-6.,,,,,,
6933280,NLM,MEDLINE,19810129,20071115,0023-1495 (Print) 0023-1495 (Linking),48,9,1980 Sep,[Bafverstedt's lymphoma as precursor of acute lymphatic leukemia].,478-83,,"['Mittler, U', 'Kluba, U', 'Spormann, H']","['Mittler U', 'Kluba U', 'Spormann H']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Kinderarztl Prax,Kinderarztliche Praxis,0376356,,IM,"['Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Lymphoid/*complications', 'Lymphoma/*complications/congenital', 'Skin Neoplasms/*complications/congenital']",,1980/09/01 00:00,1980/09/01 00:01,['1980/09/01 00:00'],"['1980/09/01 00:00 [pubmed]', '1980/09/01 00:01 [medline]', '1980/09/01 00:00 [entrez]']",,ppublish,Kinderarztl Prax. 1980 Sep;48(9):478-83.,,Lymphozytoma Bafverstedt als Vorlaufer einer akuten lymphatischen Leukamie.,,,,
6933278,NLM,MEDLINE,19810129,20071114,0027-8874 (Print) 0027-8874 (Linking),65,6,1980 Dec,Ellipticine-induced changes in cell growth and nuclear morphology.,1329-36,"Twenty-four-hour exposure of Friend leukemia (FL) and L1210 cells to 1.0 micrograms ellipticine/ml resulted in a slowdown in cell proliferation, accumulation of cells in G2 phase, an increase in cellular RNA content, and an increase in the proportion of cells with greater than 4C (tetraploid) content of DNA in both cell lines. Removal of the drug and subsequent cell culturing in fresh medium for 24 hours led to a further increase in the proportion of cells having more than a 4C content of DNA, with no change in cell number, in FL cell cultures. Distinct micronucleation and an increase in cell size without any sign of cell division were seen in FL cells so treated. In contrast, L1210 cells after transfer to fresh medium reentered the normal cell cycle, continued to proliferate, and demonstrated only a slight increase in cells with greater than a 4C content of DNA within 24 hours of removal of the drug.","['Traganos, F', 'Evenson, D P', 'Staiano-Coico, L', 'Darzynkiewicz, Z', 'Melamed, M R']","['Traganos F', 'Evenson DP', 'Staiano-Coico L', 'Darzynkiewicz Z', 'Melamed MR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Alkaloids)', '0 (DNA, Neoplasm)', '0 (Ellipticines)', '0 (RNA, Neoplasm)']",IM,"['Alkaloids/*pharmacology', 'Animals', 'Cell Cycle/drug effects', 'Cell Division/*drug effects', 'Cell Nucleus/drug effects/*ultrastructure', 'Cells, Cultured', 'DNA, Neoplasm/metabolism', 'Ellipticines/*pharmacology', 'Mice', 'Neoplasms, Experimental/*pathology', 'RNA, Neoplasm/metabolism']",,1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Dec;65(6):1329-36.,"['CA08748/CA/NCI NIH HHS/United States', 'CA23296/CA/NCI NIH HHS/United States']",,,,,
6933270,NLM,MEDLINE,19810129,20071115,0027-8874 (Print) 0027-8874 (Linking),65,6,1980 Dec,Immunologic and ultrastructural heterogeneity of acute lymphoblastic leukemia-associated antigen-positive human leukemias.,1231-6,"To further examine the heterogeneity of human acute lymphoblastic leukemia, an immunologic and ultrastructural study was undertaken on 14 patients positive for the acute lymphoblastic leukemia-associated antigen (ALLA). In malignant cells from 7 of the patients studied, cytoplasmic granular inclusions that resembled those seen in leukemia mast cells and basophils (M-B granules) were evident. Four patients had malignant cells expressing the pre-B-cell phenotype (i.e., cytoplasmic IgM-positive and surface immunoglobulin-negative), and 3 patients had malignant cells that lacked both M-B granules and cytoplasmic IgM. These results support the existence of distinct phenotypic subgroups within the ALLA+ leukemias.","['LeBien, T W', 'Parkin, J L', 'Brunning, R D', 'Kersey, J H']","['LeBien TW', 'Parkin JL', 'Brunning RD', 'Kersey JH']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Antigens, Neoplasm)', '0 (Immunoglobulin M)']",IM,"['Adolescent', 'Adult', 'Antigens, Neoplasm/*analysis', 'Basophils/ultrastructure', 'Bone Marrow/ultrastructure', 'Cell Line', 'Child', 'Child, Preschool', 'Cytoplasmic Granules/ultrastructure', 'Female', 'Humans', 'Immunoglobulin M/analysis', 'Infant', 'Leukemia, Lymphoid/*immunology/ultrastructure', 'Lymphocytes/ultrastructure', 'Male', 'Mast Cells/ultrastructure', 'Middle Aged']",,1980/12/01 00:00,1980/12/01 00:01,['1980/12/01 00:00'],"['1980/12/01 00:00 [pubmed]', '1980/12/01 00:01 [medline]', '1980/12/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Dec;65(6):1231-6.,"['CA21737/CA/NCI NIH HHS/United States', 'CA25097/CA/NCI NIH HHS/United States', 'N01-CB84261/CB/NCI NIH HHS/United States', 'etc.']",,,,,
6933266,NLM,MEDLINE,19810129,20131121,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,Effects of prospidine on survival and growth of mammalian cells in culture.,993-9,"The effects of prospidine, chemically known as 3, 12-diaza-6,9 diazoniadispiro[5.2.5.2]hexadecane,3,12-bis(3-chloro-2-hydroxypropyl)-dichloride (NSC-166100), on cell viability, growth, and colony formation were investigated in several mammalian cell lines. Cell cycle progression and the terminal point of action of the drug were monitored by flow cytometry. Prospidine was cytostatic for two suspension cultures (Friend leukemia and L1210 cells) at a concentration of 10 mg/ml during the first cell cycle after exposure to the drug. Cells were blocked in G2 at lower concentrations of prospidine (e.g., 1.0 mg/ml) but only after 12--24 hours of continuous exposure, i.e., during the second cell cycle in the presence of drug. Cells could be observed to accumulate in G2 by 24 hours even if prospidine (0.1 mg/ml) was removed after 12 hours. A short incubation with a liver cytosol fraction (30 min) or with cultured cells (12 hr) failed to enhance the potency of the drug. Formation of colonies of the adherent Chinese hamster ovary cell line was inhibited by 50% following 24-hour exposure to 1.1 mg prospidine/ml. Under culture conditions in which cells were blocked in G2, their RNA content increased only slightly, but the incorporation of [5-(3)H]uridine into RNA was suppressed by 15--20%. Incubation of cells with prospidine increased the stability of DNA in situ to acid-induced denaturation, which thus suggested that the drug may interact with cellular DNA.","['Traganos, F', 'Staiano-Coico, L', 'Darzynkiewicz, Z', 'Melamed, M R']","['Traganos F', 'Staiano-Coico L', 'Darzynkiewicz Z', 'Melamed MR']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Piperazines)', '0 (RNA, Neoplasm)', '7Y2M0915RZ (Prospidium)']",IM,"['Animals', 'Cell Cycle/drug effects', 'Cell Division/*drug effects', 'Cell Line', 'Cricetinae', 'Cytosol', 'Female', 'Friend murine leukemia virus', 'Leukemia L1210/*pathology', 'Leukemia, Experimental/metabolism/*pathology', 'Liver', 'Mice', 'Ovary/cytology', 'Piperazines/*pharmacology', 'Prospidium/*pharmacology', 'RNA, Neoplasm/metabolism']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):993-9.,"['CA08748/CA/NCI NIH HHS/United States', 'CA23296-02/CA/NCI NIH HHS/United States']",,,,,
6933265,NLM,MEDLINE,19810129,20071114,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,Fatty acid alteration of L1210 murine leukemia cells. Growth rate and stability of lipid changes in culture.,987-91,,"['Burns, C P', 'Luttenegger, D G', 'Dudley, D T']","['Burns CP', 'Luttenegger DG', 'Dudley DT']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,"['0 (Dietary Fats)', '0 (Fatty Acids)', '0 (Phospholipids)', '0 (Triglycerides)']",IM,"['Animals', 'Culture Techniques', 'Dietary Fats/administration & dosage', 'Fatty Acids/*metabolism', 'Leukemia L1210/*metabolism/physiopathology', '*Lipid Metabolism', 'Male', 'Mice', 'Mice, Inbred DBA', 'Phospholipids/metabolism', 'Triglycerides/metabolism']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):987-91.,"['CA00324/CA/NCI NIH HHS/United States', 'CA17283/CA/NCI NIH HHS/United States']",,,,,
6933255,NLM,MEDLINE,19810129,20071114,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,Reassessment of cancer predisposition of Fanconi anemia heterozygotes.,863-7,"The hypothesis that heterozygotes for the Fanconi anemia (FA) gene are predisposed to cancer was investigated by comparing the observed and expected numbers of cancer cases and deaths in 25 extended families of FA probands. This study demonstrated no overall excess of cancers of cancer deaths for any age or sex category of blood relatives and no unusual number of cancers among the obligate heterozygotes. Deaths from leukemia among blood relatives were fewer than expected. For bladder, stomach, and breast cancer there were more deaths and cases among blood relatives than expected, although the differences were not statistically significant. An excess of deaths at an early age from lung and stomach cancer was noted among the FA blood relatives. Among spouse controls there were fewer deaths than expected from bladder, stomach, and breast cancer; thus the expected numbers may be inappropriately high for this sample. Therefore, the question of predisposition to bladder, stomach, and breast cancer among FA heterozygotes remains unresolved.","['Swift, M', 'Caldwell, R J', 'Chase, C']","['Swift M', 'Caldwell RJ', 'Chase C']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/*complications', 'Child', 'Child, Preschool', 'Fanconi Anemia/*complications/genetics', 'Female', '*Heterozygote', 'Humans', 'Infant', 'Male', 'Middle Aged', 'Neoplasms/*complications/genetics/mortality']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):863-7.,"['CA14235/CA/NCI NIH HHS/United States', 'GM07121/GM/NIGMS NIH HHS/United States', 'HD03110/HD/NICHD NIH HHS/United States']",,,,,
6933246,NLM,MEDLINE,19810129,20041117,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,Cancer mortality risk among Japanese in the United States.,1149-56,"Earlier findings on cancer mortality experiences of Nisei and Issei were updated to around 1970. Compared with U.S. whites, Japanese in Japan had a high standardized mortality ratio (SMR) for cancers of the esophagus, stomach, biliary passages, and cervix, whereas they had low ratios for cancers of most other sites. Among U.S. Japanese, the direction and magnitude of the SMR transition varied by site, but generally the SMR moderated toward that of U.S. whites. Specifically, mortality from stomach cancer was elevated through the ratio has been reduced. In addition, mortality from cancers of the liver and biliary passages remained high. In contrast to a sharp decline in the SMR for esophageal cancer, the SMR for cancer of the colon and lymphomas rose closer to the levels for whites. The SMR for cancers of the ovary and prostate gland represented a rise above that of Japan. A higher Issei than Nisei SMR was observed for most cancer sites, regardless of the risk level in Japan. The reverse was true for cancers of the liver and nasopharynx among males, cancers of the breast and ovary among females, and lymphosarcoma and leukemia among both sexes.","['Locke, F B', 'King, H']","['Locke FB', 'King H']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adolescent', 'Adult', 'Aged', '*Asian Americans', 'California', 'Child', 'Child, Preschool', 'Female', 'Hawaii', 'Humans', 'Japan/ethnology', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology/mortality', 'New York City', 'Risk', 'United States']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):1149-56.,,,,,,
6933243,NLM,MEDLINE,19810129,20041117,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,American white Protestant clergy as a low-risk population for mortality research.,1115-24,"An examination of 28,134 clergymen in five predominantly white Protestant denominations, 1950--60, showed a more favorable mortality for these clergymen for all causes of deaths, total cancers, and cardiovascular-renal diseases compared with the mortality for U.S. white males, total U.S. males with work experience, and total U.S. white clergymen. The standardized mortality ratios for cancer of the lung and non-motor-vehicle accidents were particularly depressed. However, those for diabetes, leukemia, and cancers of the prostate gland and, to a lesser extent, lymphoma and cancers of the intestine and pancreas were not significantly different from 100. The findings were interpreted in the social class contest, with emphasis on cross-national investigations and critical assessment of clerical statistics.","['King, H', 'Locke, F B']","['King H', 'Locke FB']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Adolescent', 'Adult', 'Aged', '*Christianity', '*Clergy', 'England', 'Humans', 'Middle Aged', '*Mortality', 'Socioeconomic Factors', 'United States', 'Wales']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):1115-24.,,,,,,
6933242,NLM,MEDLINE,19810129,20071114,0027-8874 (Print) 0027-8874 (Linking),65,5,1980 Nov,Cancer mortality in a human isolate.,1109-13,"Cancer mortality (1965--77) among 12,652 members of an inbred human religious isolate, the Hutterites, was compared with expectations based on mortality rates for the U.S. white population in 1970. Overall, Hutterites had significantly fewer deaths from cancer than expected (P < 0.01), due primarily to fewer lung cancers among males. Smoking is prohibited for this religious group. The most frequent types of cancers were leukemia and cancers of the digestive system, the prostate gland, and the female breast. Preliminary results suggest an association between recessive alleles and childhood leukemia. More stomach and rectal cancers were observed than expected, but differences were generally not significant. Familial aggregates of cancers of the stomach and breast are being investigated. The low frequency of cervical cancer is consistent with current evidence for an association of cervical cancer with early age at first intercourse and promiscuity, neither of which is characteristic of this population.","['Martin, A O', 'Dunn, J K', 'Simpson, J L', 'Olsen, C L', 'Kemel, S', 'Grace, M', 'Elias, S', 'Sarto, G E', 'Smalley, B', 'Steinberg, A G']","['Martin AO', 'Dunn JK', 'Simpson JL', 'Olsen CL', 'Kemel S', 'Grace M', 'Elias S', 'Sarto GE', 'Smalley B', 'Steinberg AG']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,,IM,"['Canada', 'Female', 'Humans', 'Life Style', 'Male', 'Neoplasms/*mortality', '*Religion and Medicine', 'South Dakota']",,1980/11/01 00:00,1980/11/01 00:01,['1980/11/01 00:00'],"['1980/11/01 00:00 [pubmed]', '1980/11/01 00:01 [medline]', '1980/11/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1980 Nov;65(5):1109-13.,['R01-CA19822/CA/NCI NIH HHS/United States'],,,,,
