PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,AID,AB,PMC,OID
4512603,NLM,MEDLINE,19730625,20190903,0006-5242 (Print) 0006-5242 (Linking),26,4,1973 Apr,Hydrolysis of a chymotrypsin substrate and of naphthol AS-D chloroacetate by human leukocyte granules.,239-49,"['Rindler, R', 'Hortnagl, H', 'Schmalzl, F', 'Braunsteiner, H']","['Rindler R', 'Hortnagl H', 'Schmalzl F', 'Braunsteiner H']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,"['0 (Acetates)', '0 (Anhydrides)', '0 (Esters)', '0 (Naphthols)', '42HK56048U (Tyrosine)', 'EC 3.1.- (Esterases)', 'EC 3.4.21.1 (Chymotrypsin)', 'EC 3.4.21.36 (Pancreatic Elastase)', 'EC 3.4.21.4 (Trypsin)']",IM,"['Acetates/metabolism', 'Anhydrides/metabolism', 'Chymotrypsin/pharmacology', 'Cytoplasmic Granules/*enzymology', 'Electrophoresis, Polyacrylamide Gel', 'Esterases/*blood', 'Esters/metabolism', 'Humans', 'Hydrogen-Ion Concentration', 'Hydrolysis', 'Leukemia, Myeloid/*enzymology', 'Leukocytes/*enzymology', 'Naphthols/metabolism', 'Pancreatic Elastase', 'Trypsin', 'Tyrosine/metabolism']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Blut. 1973 Apr;26(4):239-49. doi: 10.1007/BF01631788.,,['10.1007/BF01631788 [doi]'],,,
4512530,NLM,MEDLINE,19730622,20191210,0003-9926 (Print) 0003-9926 (Linking),131,4,1973 Apr,Necrotizing enterocolitis in leukemia.,538-44,"['Steinberg, D', 'Gold, J', 'Brodin, A']","['Steinberg D', 'Gold J', 'Brodin A']",['eng'],['Journal Article'],United States,Arch Intern Med,Archives of internal medicine,0372440,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', 'VB0R961HZT (Prednisone)']",IM,"['Adult', 'Aged', 'Anti-Bacterial Agents/therapeutic use', 'Antineoplastic Agents/therapeutic use', 'Cecum/pathology', 'Colon/pathology', 'Cytarabine/therapeutic use', 'Enterocolitis, Pseudomembranous/diagnostic imaging/*etiology/pathology', 'Female', 'Humans', 'Ileum/pathology', 'Infections/complications', 'Leukemia, Myeloid, Acute/*complications/drug therapy', 'Male', 'Middle Aged', 'Necrosis/*etiology', 'Prednisone/therapeutic use', 'Radiography']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1973 Apr;131(4):538-44. doi: 10.1001/archinte.1973.00320100066008.,,['10.1001/archinte.1973.00320100066008 [doi]'],,,
4512529,NLM,MEDLINE,19730622,20190913,0003-9012 (Print) 0003-9012 (Linking),40,3,1973,Fowl plague virus adapted to human epithelial tumor cells and human myeloblasts in vitro. II. Replication in human leukemic myoloblast cultures.,255-64,"['Gerber, A', 'Sauter, C', 'Lindenmann, J']","['Gerber A', 'Sauter C', 'Lindenmann J']",['eng'],['Journal Article'],Austria,Arch Gesamte Virusforsch,Archiv fur die gesamte Virusforschung,7506868,,IM,"['Adult', 'Aged', 'Bone Marrow/*microbiology', '*Bone Marrow Cells', 'Cells, Cultured', 'Female', 'Hemadsorption', 'Humans', 'Influenza A virus/*growth & development/pathogenicity', 'Leukemia, Myeloid, Acute/*microbiology', 'Middle Aged', 'Virulence', 'Virus Cultivation', '*Virus Replication']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Arch Gesamte Virusforsch. 1973;40(3):255-64. doi: 10.1007/BF01242544.,,['10.1007/BF01242544 [doi]'],,,
4512464,NLM,MEDLINE,19730621,20190716,0002-922X (Print) 0002-922X (Linking),125,5,1973 May,Defective phagocytosis due to tuftsin deficiency in splenectomized subjects.,663-5,"['Constantopoulos, A', 'Najjar, V A', 'Wish, J B', 'Necheles, T H', 'Stolbach, L L']","['Constantopoulos A', 'Najjar VA', 'Wish JB', 'Necheles TH', 'Stolbach LL']",['eng'],['Journal Article'],United States,Am J Dis Child,American journal of diseases of children (1960),0370471,"['0 (Immunoglobulin Fragments)', '0 (Oligopeptides)']",IM,"['Adult', 'Anemia, Sickle Cell/metabolism', 'Gaucher Disease/metabolism', 'Hodgkin Disease/metabolism', 'Humans', 'Hyperplasia/metabolism', 'Immunoglobulin Fragments/analysis/*metabolism', 'Leukemia, Lymphoid/metabolism', 'Leukemia, Myeloid/metabolism', 'Lymph Nodes/metabolism', 'Oligopeptides/blood/*metabolism', '*Phagocytosis', 'Spherocytosis, Hereditary/metabolism', 'Spleen/injuries', '*Splenectomy', 'Thalassemia/metabolism', 'Wounds and Injuries/metabolism']",1973/05/01 00:00,1973/05/01 00:01,['1973/05/01 00:00'],"['1973/05/01 00:00 [pubmed]', '1973/05/01 00:01 [medline]', '1973/05/01 00:00 [entrez]']",ppublish,Am J Dis Child. 1973 May;125(5):663-5. doi: 10.1001/archpedi.1973.04160050017004.,,['10.1001/archpedi.1973.04160050017004 [doi]'],,,
4512444,NLM,MEDLINE,19730621,20170310,0011-4553 (Print) 0011-4553 (Linking),26,4,1973,[Periodontium and oral mucosa in acute and chronic leukemia].,449-53,"['Knychalska-Karwan, Z', 'Prostak-Kosowska, K']","['Knychalska-Karwan Z', 'Prostak-Kosowska K']",['pol'],['Journal Article'],Poland,Czas Stomatol,Czasopismo stomatologiczne,2984742R,,IM,"['Humans', 'Leukemia/*complications', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', '*Oral Manifestations']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Czas Stomatol. 1973;26(4):449-53.,Przyzebie i blona sluzowa jamy ustnej w bialaczkach ostrych i przewleklych.,,,,
4512420,NLM,MEDLINE,19730621,20131121,0041-8781 (Print) 0041-8781 (Linking),28,1,1973 Jan-Feb,[Acute lymphoid leukemia and juvenile rheumatoid arthritis. Differential diagnosis. Considerationes on a case].,25-30,"['Balthazar, P A', 'Cordeiro, E N', 'Barreto, O C', 'Vitule Filho, A', 'Cobra, C J']","['Balthazar PA', 'Cordeiro EN', 'Barreto OC', 'Vitule Filho A', 'Cobra CJ']",['por'],"['Case Reports', 'Journal Article']",Brazil,Rev Hosp Clin Fac Med Sao Paulo,Revista do Hospital das Clinicas,0415246,,IM,"['Acute Disease', 'Arthritis, Juvenile/*diagnosis', 'Child', 'Diagnosis, Differential', 'Humans', 'Leukemia, Lymphoid/*diagnosis', 'Male', 'Myelography']",1973/01/01 00:00,1973/01/01 00:01,['1973/01/01 00:00'],"['1973/01/01 00:00 [pubmed]', '1973/01/01 00:01 [medline]', '1973/01/01 00:00 [entrez]']",ppublish,Rev Hosp Clin Fac Med Sao Paulo. 1973 Jan-Feb;28(1):25-30.,Leucemia linfoide aguda e artrite reumatoide juvenil. Diagnostico differencial. Consideracoes em torno de um caso.,,,,
4512411,NLM,MEDLINE,19730621,20190908,0090-0028 (Print) 0090-0028 (Linking),241,107,1973 Jan 17,Production of antiserum in mice to human leukaemia-associated antigens.,93-4,"['Baker, M A', 'Taub, R N']","['Baker MA', 'Taub RN']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,"['0 (Antigens, Neoplasm)', '0 (Carcinoembryonic Antigen)', '0 (Immune Sera)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', 'Antibody Formation', '*Antigens, Neoplasm', 'Carcinoembryonic Antigen', 'Cross Reactions', 'Cyclophosphamide/pharmacology', 'Cytotoxicity Tests, Immunologic', 'Horses/immunology', 'Humans', '*Immune Sera', 'Immune Tolerance', 'Immunization', 'Leukemia, Lymphoid/*immunology', 'Leukemia, Myeloid, Acute/*immunology', 'Mice', 'Mice, Inbred CBA', 'Mice, Inbred Strains/*immunology', 'Neoplasm Transplantation', 'Rabbits/immunology']",1973/01/17 00:00,1973/01/17 00:01,['1973/01/17 00:00'],"['1973/01/17 00:00 [pubmed]', '1973/01/17 00:01 [medline]', '1973/01/17 00:00 [entrez]']",ppublish,Nat New Biol. 1973 Jan 17;241(107):93-4. doi: 10.1038/newbio241093a0.,,['10.1038/newbio241093a0 [doi]'],,,
4512401,NLM,MEDLINE,19730621,20190630,0022-3476 (Print) 0022-3476 (Linking),82,3,1973 Mar,Raynaud's phenomenon preceding acute lymphocytic leukemia.,539-40,"['Powell, K R']",['Powell KR'],['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,['8B1QWR724A (Reserpine)'],IM,"['Child', 'Humans', 'Leukemia, Lymphoid/*etiology', 'Male', 'Raynaud Disease/*complications/drug therapy', 'Reserpine/therapeutic use']",1973/03/01 00:00,1973/03/01 00:01,['1973/03/01 00:00'],"['1973/03/01 00:00 [pubmed]', '1973/03/01 00:01 [medline]', '1973/03/01 00:00 [entrez]']",ppublish,J Pediatr. 1973 Mar;82(3):539-40. doi: 10.1016/s0022-3476(73)80143-x.,,"['S0022-3476(73)80143-X [pii]', '10.1016/s0022-3476(73)80143-x [doi]']",,,
4512391,NLM,MEDLINE,19730621,20131121,0009-0875 (Print) 0009-0875 (Linking),17,2,1972 Jun,Erythroleukaemia--Di Guglielmo's syndrome.,93-6,"['Senanayake, N', 'Samarasinghe, H H', 'Pieris, D C']","['Senanayake N', 'Samarasinghe HH', 'Pieris DC']",['eng'],['Journal Article'],Sri Lanka,Ceylon Med J,The Ceylon medical journal,1264702,['04079A1RDZ (Cytarabine)'],IM,"['Anemia, Hemolytic/diagnosis', 'Blood Cell Count', 'Cytarabine/therapeutic use', 'Diagnosis, Differential', 'Humans', 'Leukemia, Erythroblastic, Acute/*diagnosis/drug therapy', 'Male', 'Middle Aged']",1972/06/01 00:00,1972/06/01 00:01,['1972/06/01 00:00'],"['1972/06/01 00:00 [pubmed]', '1972/06/01 00:01 [medline]', '1972/06/01 00:00 [entrez]']",ppublish,Ceylon Med J. 1972 Jun;17(2):93-6.,,,,,
4512369,NLM,MEDLINE,19730621,20190824,0004-8291 (Print) 0004-8291 (Linking),2,4,1972 Nov,Qualitative platelet defects with reduced life-span in acute leukaemia.,339-45,"['Van der Weyden, M B', 'Clancy, R L', 'Howard, M A', 'Firkin, B G']","['Van der Weyden MB', 'Clancy RL', 'Howard MA', 'Firkin BG']",['eng'],['Journal Article'],Australia,Aust N Z J Med,Australian and New Zealand journal of medicine,1264322,"['0 (Blood Coagulation Factors)', '0 (Phospholipids)', '1404-55-3 (Ristocetin)', '61D2G4IYVH (Adenosine Diphosphate)', 'YKH834O4BH (Epinephrine)']",IM,"['Acute Disease', 'Adenosine Diphosphate', 'Blood Cell Count', 'Blood Coagulation Factors/analysis', 'Blood Coagulation Tests', 'Blood Platelet Disorders/*etiology', 'Blood Platelets/analysis', 'Cell Survival', 'Epinephrine', 'Humans', 'Leukemia/*complications', 'Leukemia, Lymphoid/blood', 'Leukemia, Myeloid, Acute/blood', 'Phospholipids/blood', 'Platelet Adhesiveness/drug effects', 'Remission, Spontaneous', 'Ristocetin', 'Thrombocytopenia/etiology']",1972/11/01 00:00,1972/11/01 00:01,['1972/11/01 00:00'],"['1972/11/01 00:00 [pubmed]', '1972/11/01 00:01 [medline]', '1972/11/01 00:00 [entrez]']",ppublish,Aust N Z J Med. 1972 Nov;2(4):339-45. doi: 10.1111/j.1445-5994.1972.tb03934.x.,,['10.1111/j.1445-5994.1972.tb03934.x [doi]'],,,
4512341,NLM,MEDLINE,19730621,20190829,0002-9580 (Print) 0002-9580 (Linking),117,4,1973 Apr,Roentgenographic findings in pulmonary mucormycosis.,810-5,"['Bartrum, R J Jr', 'Watnick, M', 'Herman, P G']","['Bartrum RJ Jr', 'Watnick M', 'Herman PG']",['eng'],['Journal Article'],United States,Am J Roentgenol Radium Ther Nucl Med,"The American journal of roentgenology, radium therapy, and nuclear medicine",7605534,,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/complications', 'Female', 'Hodgkin Disease/complications', 'Humans', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid/complications', 'Lung Diseases, Fungal/complications/*diagnostic imaging', 'Male', 'Middle Aged', 'Mucormycosis/complications/*diagnostic imaging', 'Radiography']",1973/04/01 00:00,2001/03/28 10:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Am J Roentgenol Radium Ther Nucl Med. 1973 Apr;117(4):810-5. doi: 10.2214/ajr.117.4.810.,,['10.2214/ajr.117.4.810 [doi]'],,,
4512336,NLM,MEDLINE,19730619,20131121,0032-2938 (Print) 0032-2938 (Linking),11,6,1972,The properties of ribonucleases isolated from urine of patients with chronic granulocytic leukemia (CGL). II. Urinary acid ribonuclease.,1423-38,"['Naskalski, J']",['Naskalski J'],['eng'],['Journal Article'],Poland,Pol Med J,Polish medical journal,0376721,"['0 (Cytosine Nucleotides)', '63231-63-0 (RNA)', 'EC 3.1.- (Ribonucleases)', 'SU46BAM238 (Ammonium Sulfate)']",IM,"['Ammonium Sulfate', 'Chemical Precipitation', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Cytosine Nucleotides/metabolism', 'Hot Temperature', 'Humans', 'Hydrogen-Ion Concentration', 'Hydrolysis', 'Leukemia, Myeloid/*enzymology', 'Molecular Weight', 'RNA/metabolism', 'Ribonucleases/antagonists & inhibitors/*urine']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Pol Med J. 1972;11(6):1423-38.,,,,,
4512322,NLM,MEDLINE,19730619,20131121,0083-1921 (Print) 0083-1921 (Linking),35,,1972 Dec,Attempts at immunotherapy of 100 patients with acute lymphoid leukemia: some factors influencing results.,361-72,"['Mathe, G', 'Pouillart, P', 'Schwarzenberg, L', 'Amiel, J L', 'Schneider, M', 'Hayat, M', 'De Vassal, F', 'Jasmin, C', 'Rosenfeld, C', 'Weiner, R', 'Rappaport, H']","['Mathe G', 'Pouillart P', 'Schwarzenberg L', 'Amiel JL', 'Schneider M', 'Hayat M', 'De Vassal F', 'Jasmin C', 'Rosenfeld C', 'Weiner R', 'Rappaport H']",['eng'],['Journal Article'],United States,Natl Cancer Inst Monogr,National Cancer Institute monograph,0216026,"['0 (Immune Sera)', '04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Animals', 'Bone Marrow Examination', 'Central Nervous System/radiation effects', 'Corynebacterium/immunology', 'Cytarabine/therapeutic use', 'Cytotoxicity Tests, Immunologic', 'Disease Models, Animal', 'Female', 'Humans', 'Immune Sera', '*Immunotherapy', 'Leukemia, Experimental', 'Leukemia, Lymphoid/drug therapy/radiotherapy/*therapy', 'Lymphocyte Activation', 'Male', 'Methotrexate/therapeutic use', 'Mice', 'Mice, Inbred AKR', 'Remission, Spontaneous']",1972/12/01 00:00,1972/12/01 00:01,['1972/12/01 00:00'],"['1972/12/01 00:00 [pubmed]', '1972/12/01 00:01 [medline]', '1972/12/01 00:00 [entrez]']",ppublish,Natl Cancer Inst Monogr. 1972 Dec;35:361-72.,,,,,
4512321,NLM,MEDLINE,19730619,20131121,0031-4048 (Print) 0031-4048 (Linking),1,,1972 Jan-Feb,[Copper balance and copper oxidase activity in children with acute leukemia].,24-5,"['Volosianko, R P']",['Volosianko RP'],['ukr'],['Journal Article'],Ukraine,Pediatr Akus Ginekol,Pediatriia akusherstvo i ginekologiia,2985041R,"['789U1901C5 (Copper)', 'EC 1.- (Oxidoreductases)']",IM,"['Adolescent', 'Child', 'Child, Preschool', 'Copper/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/blood/enzymology/*metabolism', 'Oxidoreductases/*blood']",1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",ppublish,Pediatr Akus Ginekol. 1972 Jan-Feb;1:24-5.,Balans midi i aktyvnist' mid'oksidazy pry hostromu leikozi u ditei.,,,,
4512320,NLM,MEDLINE,19730619,20190710,0022-3468 (Print) 0022-3468 (Linking),8,2,1973 Apr,Surgical complications in the patient with leukemia.,235-44,"['Sherman, N J', 'Williams, K', 'Woolley, M M']","['Sherman NJ', 'Williams K', 'Woolley MM']",['eng'],['Journal Article'],United States,J Pediatr Surg,Journal of pediatric surgery,0052631,"['E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)']",IM,"['Adolescent', 'Appendicitis/complications', 'Child', 'Child, Preschool', 'Gastrointestinal Diseases/*complications/surgery', 'Humans', 'Hypersplenism/complications', 'Infant', 'Intestinal Obstruction/complications', 'Intussusception/complications', 'Leukemia/*complications/drug therapy', 'Leukemia, Erythroblastic, Acute/complications', 'Leukemia, Lymphoid/complications', 'Leukemia, Myeloid, Acute/complications', 'Mercaptopurine/therapeutic use', 'Pancreatitis/complications', 'Postoperative Complications', 'Prednisone/therapeutic use', 'Thrombocytopenia/complications', 'Time Factors']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,J Pediatr Surg. 1973 Apr;8(2):235-44. doi: 10.1016/s0022-3468(73)80090-9.,,"['S0022-3468(73)80090-9 [pii]', '10.1016/s0022-3468(73)80090-9 [doi]']",,,
4512319,NLM,MEDLINE,19730619,20190630,0022-3476 (Print) 0022-3476 (Linking),82,4,1973 Apr,Seizures associated with vincristine sulfate therapy.,699-702,"['Johnson, F L', 'Bernstein, I D', 'Hartmann, J R', 'Chard, R L Jr']","['Johnson FL', 'Bernstein ID', 'Hartmann JR', 'Chard RL Jr']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,"['0 (Cerebrospinal Fluid Proteins)', '0 (Electrolytes)', '5J49Q6B70F (Vincristine)', 'IY9XDZ35W2 (Glucose)']",IM,"['Blood Platelets', 'Blood Urea Nitrogen', 'Cerebrospinal Fluid Proteins/analysis', 'Child', 'Child, Preschool', 'Electrolytes/blood', 'Female', 'Glucose/cerebrospinal fluid', 'Humans', 'Injections, Intravenous', 'Leukemia/drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukocyte Count', 'Lymphoma/drug therapy', 'Male', 'Mediastinal Neoplasms/drug therapy', 'Seizures/*chemically induced', 'Vincristine/administration & dosage/*adverse effects']",1973/04/01 00:00,2001/03/28 10:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,J Pediatr. 1973 Apr;82(4):699-702. doi: 10.1016/s0022-3476(73)80602-x.,,"['S0022-3476(73)80602-X [pii]', '10.1016/s0022-3476(73)80602-x [doi]']",,,
4512318,NLM,MEDLINE,19730619,20190630,0022-3476 (Print) 0022-3476 (Linking),82,4,1973 Apr,"Histiocytic leukemia following lifelong infection and thrombocytopenia: histologic, metabolic, and bactericidal studies.",664-71,"['Johnson, D E', 'Griep, J A', 'Baehner, R L']","['Johnson DE', 'Griep JA', 'Baehner RL']",['eng'],['Journal Article'],United States,J Pediatr,The Journal of pediatrics,0375410,"['0 (Immunoglobulins)', 'EC 1.11.1.- (Peroxidases)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",IM,"['Alkaline Phosphatase/analysis', 'Anemia, Aplastic/complications', 'Bacterial Infections/*complications', 'Bone Marrow Examination', 'Child', 'Female', 'Histiocytes/analysis/enzymology', 'Humans', 'Immunoglobulins/analysis', 'Leukemia, Myeloid/*etiology', 'Leukocytes/analysis', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lysosomes/analysis', 'Microscopy, Electron', 'Peroxidases/analysis', '*Phagocyte Bactericidal Dysfunction', 'Phagocytes/*metabolism', 'Spleen/pathology', 'Splenomegaly', 'Thrombocytopenia/*complications']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,J Pediatr. 1973 Apr;82(4):664-71. doi: 10.1016/s0022-3476(73)80593-1.,,"['S0022-3476(73)80593-1 [pii]', '10.1016/s0022-3476(73)80593-1 [doi]']",,,
4512288,NLM,MEDLINE,19730611,20131121,0028-4793 (Print) 0028-4793 (Linking),288,21,1973 May 24,Human preleukemia. Identification of a maturation defect in vitro.,1083-6,"['Golde, D W', 'Cline, M J']","['Golde DW', 'Cline MJ']",['eng'],['Journal Article'],United States,N Engl J Med,The New England journal of medicine,0255562,"['0 (Culture Media)', '10028-17-8 (Tritium)', 'VC2W18DGKR (Thymidine)']",IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/pathology', '*Bone Marrow/metabolism/physiology', '*Bone Marrow Cells', 'Cell Count', 'Cell Division', 'Cell Survival', 'Cells, Cultured', 'Culture Media', 'Female', 'Humans', 'Leukemia/diagnosis/*pathology', 'Leukemia, Myeloid/pathology', 'Leukemia, Myeloid, Acute/pathology', 'Male', 'Middle Aged', 'Thymidine/metabolism', 'Time Factors', 'Tritium']",1973/05/24 00:00,1973/05/24 00:01,['1973/05/24 00:00'],"['1973/05/24 00:00 [pubmed]', '1973/05/24 00:01 [medline]', '1973/05/24 00:00 [entrez]']",ppublish,N Engl J Med. 1973 May 24;288(21):1083-6. doi: 10.1056/NEJM197305242882101.,,['10.1056/NEJM197305242882101 [doi]'],,,
4512248,NLM,MEDLINE,19730608,20131121,0031-4005 (Print) 0031-4005 (Linking),51,4,1973 Apr,Thiamine deficiency: probable Wernicke's encephalopathy successfully treated in a child with acute lymphocytic leukemia.,750-1,"['Shah, N', 'Wolff, J A']","['Shah N', 'Wolff JA']",['eng'],['Journal Article'],United States,Pediatrics,Pediatrics,0376422,"['7S5I7G3JQL (Dexamethasone)', 'X66NSO3N35 (Thiamine)']",IM,"['Child', 'Dexamethasone/therapeutic use', 'Humans', 'Leukemia, Lymphoid/*complications/diagnosis/therapy', 'Male', 'Thiamine/*therapeutic use', 'Wernicke Encephalopathy/drug therapy/etiology/radiotherapy/*therapy']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Pediatrics. 1973 Apr;51(4):750-1.,,,,,
4512241,NLM,MEDLINE,19730608,20041117,0028-7628 (Print) 0028-7628 (Linking),73,10,1973 May 15,Immunotherapy in well-controlled chronic myelocytic leukemia.,1180-5,"['Sokal, J E', 'Aungst, C W', 'Grace, J T Jr']","['Sokal JE', 'Aungst CW', 'Grace JT Jr']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,,IM,"['Antibody Formation', 'Female', 'Humans', 'Hypersensitivity, Delayed', '*Immunotherapy', 'Leukemia, Myeloid/immunology/mortality/*therapy', 'Male', 'Pennsylvania', 'Skin Tests']",1973/05/15 00:00,2001/03/28 10:01,['1973/05/15 00:00'],"['1973/05/15 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/05/15 00:00 [entrez]']",ppublish,N Y State J Med. 1973 May 15;73(10):1180-5.,,,,,
4512201,NLM,MEDLINE,19730608,20071115,0028-2162 (Print) 0028-2162 (Linking),117,17,1973 Apr 28,[Antibody formation after influenza vaccination in certain hematological diseases].,672-5,"['Sybesma, J P', 'Holtzer, J D', 'Zegers, B J']","['Sybesma JP', 'Holtzer JD', 'Zegers BJ']",['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,['0 (Influenza Vaccines)'],IM,"['*Antibody Formation', 'Blood Protein Disorders/immunology', 'Hemagglutination Inhibition Tests', 'Hematologic Diseases/*immunology', 'Humans', '*Influenza Vaccines', 'Influenza, Human', 'Leukemia, Myeloid, Acute/immunology', 'Lymphatic Diseases/immunology', '*Vaccination']",1973/04/28 00:00,1973/04/28 00:01,['1973/04/28 00:00'],"['1973/04/28 00:00 [pubmed]', '1973/04/28 00:01 [medline]', '1973/04/28 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1973 Apr 28;117(17):672-5.,Antistofproduktie na influenzavaccinatie bij enkele hematologische ziektebeelden.,,,,
4512200,NLM,MEDLINE,19730608,20190725,0026-0495 (Print) 0026-0495 (Linking),22,4,1973 Apr,Phosphate depletion and glucocorticoid-induced hyperphosphatemia in lymphoblastic leukemia.,611-6,"['Clarkson, D R', 'Blondin, J', 'Cryer, P E']","['Clarkson DR', 'Blondin J', 'Cryer PE']",['eng'],['Journal Article'],United States,Metabolism,Metabolism: clinical and experimental,0375267,"['0 (Antacids)', '8L70Q75FXE (Adenosine Triphosphate)', 'H0G9379FGK (Calcium Carbonate)', 'VB0R961HZT (Prednisone)']",IM,"['Adenosine Triphosphate/blood', 'Adult', 'Antacids/administration & dosage/*adverse effects', 'Calcium Carbonate/administration & dosage/*adverse effects', 'Erythrocytes/analysis', 'Humans', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Phosphorus Metabolism Disorders/blood/*chemically induced', 'Prednisone/*adverse effects/therapeutic use', 'Self Medication']",1973/04/01 00:00,1973/04/01 00:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '1973/04/01 00:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Metabolism. 1973 Apr;22(4):611-6. doi: 10.1016/0026-0495(73)90075-9.,,"['0026-0495(73)90075-9 [pii]', '10.1016/0026-0495(73)90075-9 [doi]']",,,
4512147,NLM,MEDLINE,19730607,20131121,0008-5472 (Print) 0008-5472 (Linking),33,4,1973 Apr,Factors in human serum affecting the proliferation of normal and leukemic cells.,800-6,"['Burke, P J', 'Diggs, C H', 'Owens, A H Jr']","['Burke PJ', 'Diggs CH', 'Owens AH Jr']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['10028-17-8 (Tritium)', '8N3DW7272P (Cyclophosphamide)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",IM,"['Anemia, Aplastic/chemically induced', 'Autoradiography', 'Bone Marrow/metabolism/*physiology', '*Bone Marrow Cells', '*Cell Division', 'Cell Line', 'Cyclophosphamide/adverse effects/therapeutic use', 'DNA/biosynthesis', '*Hematopoiesis/drug effects', 'Humans', 'Leukemia/*physiopathology', 'Leukemia, Lymphoid/metabolism/physiopathology', 'Leukemia, Myeloid, Acute/metabolism/physiopathology', 'Neoplasms/*blood', 'Thymidine/metabolism', 'Tritium']",1973/04/01 00:00,2001/03/28 10:01,['1973/04/01 00:00'],"['1973/04/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1973/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1973 Apr;33(4):800-6.,,,,,
