PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,TT,PMC,OID,GN,GR
268958,NLM,MEDLINE,19771014,20201209,0006-291X (Print) 0006-291X (Linking),76,4,1977 Jun 20,Selective inhibition of terminal deoxynucleotidyl transferase (TdT) by adenosine ribonucleoside triphosphate (ATP) and its application in the detection of TdT in human leukemia.,1056-61,"['Bhalla, R B', 'Schwartz, M K', 'Modak, M J']","['Bhalla RB', 'Schwartz MK', 'Modak MJ']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,IM,"['Adenosine Triphosphate/*pharmacology', 'Animals', 'DNA Nucleotidyltransferases/antagonists & inhibitors/isolation & purification/*metabolism', 'DNA Polymerase I/metabolism', 'DNA Polymerase II/metabolism', 'DNA Polymerase III/metabolism', 'HeLa Cells/enzymology', 'Humans', 'Leukemia, Lymphoid/diagnosis/*enzymology', 'Leukemia, Myeloid/diagnosis/*enzymology', 'Rats', 'Rauscher Virus/enzymology', 'Templates, Genetic', 'Thymus Gland/enzymology']",1977/06/20 00:00,1977/06/20 00:01,['1977/06/20 00:00'],"['1977/06/20 00:00 [pubmed]', '1977/06/20 00:01 [medline]', '1977/06/20 00:00 [entrez]']","['0006-291X(77)90963-9 [pii]', '10.1016/0006-291x(77)90963-9 [doi]']",ppublish,Biochem Biophys Res Commun. 1977 Jun 20;76(4):1056-61. doi: 10.1016/0006-291x(77)90963-9.,"['8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.7 (DNA Polymerase I)', 'EC 2.7.7.7 (DNA Polymerase II)', 'EC 2.7.7.7 (DNA Polymerase III)']",,,,,,
268956,NLM,MEDLINE,19771014,20131121,0003-9926 (Print) 0003-9926 (Linking),137,9,1977 Sep,Hydroxyurea in the prevention of the effects of leukostasis in acute leukemia.,1246-7,"['Grund, F M', 'Armitage, J O', 'Burns, P']","['Grund FM', 'Armitage JO', 'Burns P']",['eng'],['Journal Article'],United States,Arch Intern Med,Archives of internal medicine,0372440,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', '*Blood Cells', 'Female', 'Humans', 'Hydroxyurea/*therapeutic use', 'Leukemia, Lymphoid/blood/*drug therapy', 'Leukemia, Monocytic, Acute/blood/*drug therapy', 'Leukemia, Myeloid, Acute/blood/*drug therapy', 'Male', 'Middle Aged']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",,ppublish,Arch Intern Med. 1977 Sep;137(9):1246-7.,['X6Q56QN5QC (Hydroxyurea)'],"Hydroxyurea was administered orally to prevent the effects of leukostasis in adults with acute leukemia who had peripheral blast cell counts greater than 100,000/cu mm. A single oral dose of 50 to 100 mg/kg was given daily until the absolute blast cell count decreased to less than 100,000/cu mm. Hydroxyurea was effective in rapidly lowering the blast cell count by an average of 50% after one dose in each of ten episodes. No patient developed symptoms or signs of the leukostasis syndrome, and no side effects directly attributable to hydroxyurea were observed. The leukostasis syndrome associated with very high blast cell counts in adults with acute leukemia can be avoided by the use of hydroxyurea in the manner described. This treatment can be particularly useful in the interval before consultation or referral and prior to the cytotoxic effect of definitive induction chemotherapy.",,,,,
268955,NLM,MEDLINE,19771020,20190628,0003-9861 (Print) 0003-9861 (Linking),182,2,1977 Aug,Terminal deoxynucleotidyl transferase: characterization of extraction and assay conditions from human and calf tissue.,525-32,"['Coleman, M S']",['Coleman MS'],['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Biochem Biophys,Archives of biochemistry and biophysics,0372430,IM,"['Animals', 'Bone Marrow/*enzymology', '*Bone Marrow Cells', 'Cattle', 'Cobalt/pharmacology', '*DNA Nucleotidyltransferases/isolation & purification/metabolism', 'Guanine Nucleotides', 'Humans', 'Kinetics', 'Leukemia, Lymphoid/enzymology', 'Lymphocytes/*enzymology', 'Magnesium/pharmacology', 'Manganese/pharmacology', 'Potassium/pharmacology', 'Species Specificity', 'Thymus Gland/*enzymology', 'Zinc/pharmacology']",1977/08/01 00:00,1977/08/01 00:01,['1977/08/01 00:00'],"['1977/08/01 00:00 [pubmed]', '1977/08/01 00:01 [medline]', '1977/08/01 00:00 [entrez]']","['0003-9861(77)90533-1 [pii]', '10.1016/0003-9861(77)90533-1 [doi]']",ppublish,Arch Biochem Biophys. 1977 Aug;182(2):525-32. doi: 10.1016/0003-9861(77)90533-1.,"['0 (Guanine Nucleotides)', '3G0H8C9362 (Cobalt)', '42Z2K6ZL8P (Manganese)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'I38ZP9992A (Magnesium)', 'J41CSQ7QDS (Zinc)', 'RWP5GA015D (Potassium)']",,,,,,
268946,NLM,MEDLINE,19771020,20161013,0300-9092 (Print) 0300-9092 (Linking),,3,1977 Mar,[Therapeutic obstetrical procedure in leukemia in pregnant women].,62-3,"['Chepeleva, M A']",['Chepeleva MA'],['rus'],['Journal Article'],Russia (Federation),Akush Ginekol (Mosk),Akusherstvo i ginekologiia,0370456,IM,"['Acute Disease', 'Delivery, Obstetric/*methods', 'Female', 'Humans', 'Leukemia/*therapy', 'Leukemia, Myeloid/*therapy', 'Obstetric Labor Complications/*therapy', 'Pregnancy', 'Pregnancy Complications, Hematologic/*therapy']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",,ppublish,Akush Ginekol (Mosk). 1977 Mar;(3):62-3.,,,Akushersko-terapevticheskaia taktika pri leikoze u beremennykh.,,,,
268937,NLM,MEDLINE,19771020,20190615,0002-9378 (Print) 0002-9378 (Linking),129,1,1977 Sep 1,Intrauterine growth retardation following third-trimester exposure to busulfan.,111-2,"['Boros, S J', 'Reynolds, J W']","['Boros SJ', 'Reynolds JW']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Obstet Gynecol,American journal of obstetrics and gynecology,0370476,IM,"['Adult', 'Busulfan/*adverse effects', 'Female', 'Fetus/*drug effects', 'Humans', 'Kidney/abnormalities', 'Leukemia, Myeloid/*drug therapy', 'Pregnancy', 'Pregnancy Complications/*drug therapy', 'Pregnancy Trimester, Third']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']","['0002-9378(77)90830-4 [pii]', '10.1016/0002-9378(77)90830-4 [doi]']",ppublish,Am J Obstet Gynecol. 1977 Sep 1;129(1):111-2. doi: 10.1016/0002-9378(77)90830-4.,['G1LN9045DK (Busulfan)'],,,,,,
268927,NLM,MEDLINE,19771020,20071115,0001-6101 (Print) 0001-6101 (Linking),202,1-2,1977,Technics and ethics in managing acute leukemia.,1-4,"['Reizenstein, P']",['Reizenstein P'],['eng'],['Journal Article'],Sweden,Acta Med Scand,Acta medica Scandinavica,0370330,IM,"['Acute Disease', 'Anti-Bacterial Agents/therapeutic use', 'Antineoplastic Agents/therapeutic use', 'Bacterial Infections/complications/drug therapy', '*Ethics, Medical', 'Granulocytes', 'Humans', 'Leukemia, Myeloid, Acute/complications/*therapy', 'Quality of Life', 'Remission, Spontaneous', 'Terminal Care']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Acta Med Scand. 1977;202(1-2):1-4.,"['0 (Anti-Bacterial Agents)', '0 (Antineoplastic Agents)']",,,,,,
268924,NLM,MEDLINE,19771028,20190819,0001-656X (Print) 0001-656X (Linking),66,5,1977 Sep,Echocardiographic assessment of left ventricular function during the injection of adriamycin.,595-600,"['Bjorkhem, G', 'Garwicz, S']","['Bjorkhem G', 'Garwicz S']",['eng'],['Journal Article'],Sweden,Acta Paediatr Scand,Acta paediatrica Scandinavica,0000211,IM,"['Adolescent', 'Cardiac Volume/drug effects', 'Child', 'Doxorubicin/*adverse effects/therapeutic use', '*Echocardiography', 'Female', 'Heart/*drug effects', 'Humans', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Myocardial Contraction/*drug effects', 'Osteosarcoma/drug therapy']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.1111/j.1651-2227.1977.tb07953.x [doi]'],ppublish,Acta Paediatr Scand. 1977 Sep;66(5):595-600. doi: 10.1111/j.1651-2227.1977.tb07953.x.,['80168379AG (Doxorubicin)'],"Echocardiography was used to evaluate left ventricular function in 8 children treated with adriamycin for malignant disease. Preejection period (PEP), left ventricular ejection time (LVET) and percent change in left ventricular internal dimension with systole (delta LVID) were measured before, during and immediately after 22 injections of adriamycin as well as 14 injections of other cytotoxic drugs and physiologic saline. No immediate effects on left ventricular function could be discerned. When functional parameters were evaluated longitudinally in patients with relatively higher cumulative doses of adriamycin, percent change in left ventricular internal dimension with systole showed some tendency to decrease, while the other parameters remained essentially unchanged.",,,,,
268723,NLM,MEDLINE,19771014,20161109,0507-4088 (Print) 0507-4088 (Linking),,2,1977 Mar-Apr,[Influence of Brucella abortus on the course of acute myeloid leukemia in mice].,202-6,"['Chimishkian, K L', 'Belianchikova, N I', 'Kostrykina, V N', 'Meiland, E N']","['Chimishkian KL', 'Belianchikova NI', 'Kostrykina VN', 'Meiland EN']",['rus'],"['English Abstract', 'Journal Article']",Russia (Federation),Vopr Virusol,Voprosy virusologii,0417337,IM,"['Animals', 'Brucella Vaccine/*therapeutic use', '*Immunotherapy', 'Leukemia, Experimental/therapy', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation']",1977/03/01 00:00,1977/03/01 00:01,['1977/03/01 00:00'],"['1977/03/01 00:00 [pubmed]', '1977/03/01 00:01 [medline]', '1977/03/01 00:00 [entrez]']",,ppublish,Vopr Virusol. 1977 Mar-Apr;(2):202-6.,['0 (Brucella Vaccine)'],,Vliianie Brucella abortus na techenie ostrogo mieloidnogo leikoza u myshei.,,,,
268722,NLM,MEDLINE,19771014,20061115,0042-773X (Print) 0042-773X (Linking),23,7,1977 Jun,[Cytochemical and cytogenetic examination in the diagnosis of Di Guglielmo's disease and erythroleukemia].,712-9,"['Steruska, M', 'Hrubisko, M', 'Izakovic, V']","['Steruska M', 'Hrubisko M', 'Izakovic V']",['slo'],"['English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,IM,"['Adult', 'Aged', 'Bone Marrow Examination', 'Female', 'Histocytochemistry', 'Humans', 'Karyotyping', 'Leukemia, Erythroblastic, Acute/*diagnosis', 'Male', 'Middle Aged', 'Ploidies']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1977 Jun;23(7):712-9.,,,Prinos cytochemickeho a cytogenetickeho vysetrenia pre diagnostiku Di Guglielmovej choroby a erytroleukemie.,,,,
268721,NLM,MEDLINE,19771014,20061115,0042-773X (Print) 0042-773X (Linking),23,7,1977 Jun,[Di Guglielmo syndrome (erythroleukemia) with dyserythropoiesis in a patient with breast carcinoma treated by irradiation].,688-94,"['Chrobak, L', 'Radochova, D', 'Zizka, J', 'Smetana, K', 'Mirova, S', 'Kerekes, Z']","['Chrobak L', 'Radochova D', 'Zizka J', 'Smetana K', 'Mirova S', 'Kerekes Z']",['cze'],"['Case Reports', 'English Abstract', 'Journal Article']",Czech Republic,Vnitr Lek,Vnitrni lekarstvi,0413602,IM,"['Anemia/*etiology', 'Breast Neoplasms/*radiotherapy', 'Erythropoiesis', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Erythroblastic, Acute/*etiology', 'Middle Aged', 'Mitosis', 'Radiotherapy/*adverse effects']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",,ppublish,Vnitr Lek. 1977 Jun;23(7):688-94.,,,Di Guglielmuv syndrom (erytroleukemie) s dyserytropoezou u nemocne s rakovinou prsu lecenou ozarenim.,,,,
268720,NLM,MEDLINE,19771020,20071115,0042-465X (Print) 0042-465X (Linking),,4,1977 Jul-Aug,[Ophthalmological lesions in extramedullary foci of leukemic infiltration].,59-61,"['Rogozina, R D', 'Kovalenko, N S']","['Rogozina RD', 'Kovalenko NS']",['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Vestn Oftalmol,Vestnik oftalmologii,0415216,IM,"['Adolescent', 'Eye Diseases/*etiology', 'Eye Manifestations', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",,ppublish,Vestn Oftalmol. 1977 Jul-Aug;(4):59-61.,,,Oftal'mologicheskie porazheniia pri vnekostnomozgovykh ochagakh leikemicheskoi infil'tratsii.,,,,
268671,NLM,MEDLINE,19771014,20161123,0300-8592 (Print) 0300-8592 (Linking),30,6,1977 Jun,[Increased occurrence of mycoplasmal pneumonia: radiologic appearance and observation of the development of the disease in children (author's transl)].,275-83,"['Reither, M']",['Reither M'],['ger'],['Journal Article'],Germany,Rontgenblatter,Rontgen-Blatter; Zeitschrift fur Rontgen-Technik und medizinisch-wissenschaftliche Photographie,0413560,IM,"['Child', 'Child, Preschool', 'Disease Outbreaks', 'Female', 'Germany, West', 'Humans', 'Leukemia, Lymphoid/complications', 'Male', 'Mycoplasma Infections/diagnostic imaging/*epidemiology', 'Pneumonia/diagnostic imaging/*epidemiology', 'Radiography', 'Seasons']",1977/06/01 00:00,1977/06/01 00:01,['1977/06/01 00:00'],"['1977/06/01 00:00 [pubmed]', '1977/06/01 00:01 [medline]', '1977/06/01 00:00 [entrez]']",,ppublish,Rontgenblatter. 1977 Jun;30(6):275-83.,,"The epidemic occurrence of mycoplasmal pneumonia in children was reported. It composed 8% of all cases of pneumonia during 1975 occurring in the area served by the University Pediatric Hospital in Giessen. It should be noted that the cases were distributed throughout the year and that one fourth of the patients were small children. The diversity of the radiologic appearance with primarily interstitial-alveolar lesions in the lungs was explained in more detail. Observations of the course of the disease indicate that the illness can be recurrent; the course can be complicated as a result of immunosuppression through a primary illness which is already present, in this case an acute lymphoblastic leukemia.",Gehauftes Auftreten von Mykoplasmenpneumonien Rontgenologisches Erscheinungsbild und Verlaufsbeobachtungen im Kindesalter.,,,,
268659,NLM,MEDLINE,19771028,20200930,0037-9727 (Print) 0037-9727 (Linking),155,4,1977 Sep,N5-Methyltetrahydrofolate-homocysteine cobalamin methyltransferase activity in chronic erythremic myelosis (Di Guglielmo syndrome).,464-7,"['Kass, L', 'Peters, C L', 'Toler, L A']","['Kass L', 'Peters CL', 'Toler LA']",['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,IM,"['5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase/*metabolism', 'Anemia, Pernicious/enzymology', 'Apoenzymes/metabolism', 'Bone Marrow/*enzymology', 'Homocysteine/metabolism', 'Humans', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Methyltransferases/*metabolism', 'S-Adenosylmethionine/metabolism', 'Tetrahydrofolates/metabolism', 'Vitamin B 12/metabolism']",1977/09/01 00:00,1977/09/01 00:01,['1977/09/01 00:00'],"['1977/09/01 00:00 [pubmed]', '1977/09/01 00:01 [medline]', '1977/09/01 00:00 [entrez]']",['10.3181/00379727-155-39831 [doi]'],ppublish,Proc Soc Exp Biol Med. 1977 Sep;155(4):464-7. doi: 10.3181/00379727-155-39831.,"['0 (Apoenzymes)', '0 (Tetrahydrofolates)', '0LVT1QZ0BA (Homocysteine)', '7LP2MPO46S (S-Adenosylmethionine)', 'EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.13 (5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase)', 'P6YC3EG204 (Vitamin B 12)']",,,,,,
268640,NLM,MEDLINE,19771014,20190501,0027-8424 (Print) 0027-8424 (Linking),74,7,1977 Jul,Tumor promoters inhibit spontaneous differentiation of Friend erythroleukemia cells in culture.,2894-8,"['Rovera, G', ""O'Brien, T G"", 'Diamond, L']","['Rovera G', ""O'Brien TG"", 'Diamond L']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Cell Differentiation/*drug effects', 'Cell Division/drug effects', 'Cell Line', 'Globins/biosynthesis', 'Hemoglobins/biosynthesis', 'Leukemia, Erythroblastic, Acute/metabolism/*pathology', 'Leukemia, Experimental/metabolism/*pathology', 'Phorbol Esters/pharmacology', 'Phorbols/*pharmacology', 'Time Factors']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",['10.1073/pnas.74.7.2894 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1977 Jul;74(7):2894-8. doi: 10.1073/pnas.74.7.2894.,"['0 (Hemoglobins)', '0 (Phorbol Esters)', '0 (Phorbols)', '9004-22-2 (Globins)']","Clones of Friend erythroleukemia cells, characterized by the presence of 40-70% benzidine-positive cells synthesizing hemoglobin in the absence of inducing drugs, were treated with several phorbol diesters with a known range of tumor-promoting activity on mouse skin. Good correlation was found between the reported tumor-promoting activity of a particular phorbol diester and its ability to inhibit spontaneous erythroid differentiation in culture. The inhibition of differentiation by 12-O-tetradecanoyl-phorbol-13-acetate, the most active tumor promoter, was maximum after 4 days of treatment; this inhibition was reversed by removal of the phorbol diester no matter how long the period of treatment. Unlike control cells, which gradually revert to a population with a low percentage of benzidine-positive cells, cells treated with 12-O-tetradecanoyl-phorbol-13-acetate retained a high potential for spontaneous differentiation.",,PMC431336,,,
268639,NLM,MEDLINE,19771014,20191210,0027-8424 (Print) 0027-8424 (Linking),74,7,1977 Jul,Inhibition of cytokinesis in Friend leukemia cells by membrane mobility agents.,2884-8,"['Lustig, S', 'Kosower, N S', 'Pluznik, D H', 'Kosower, E M']","['Lustig S', 'Kosower NS', 'Pluznik DH', 'Kosower EM']",['eng'],['Journal Article'],United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,IM,"['Animals', 'Cell Division/*drug effects', 'Cell Line', 'Cell Membrane/drug effects', 'Cell Nucleus/ultrastructure', 'DNA, Neoplasm/biosynthesis', 'Fatty Acids/*pharmacology', 'Fluorescent Dyes', 'Leukemia, Erythroblastic, Acute', '*Leukemia, Experimental/metabolism/ultrastructure', 'Stearates']",1977/07/01 00:00,1977/07/01 00:01,['1977/07/01 00:00'],"['1977/07/01 00:00 [pubmed]', '1977/07/01 00:01 [medline]', '1977/07/01 00:00 [entrez]']",['10.1073/pnas.74.7.2884 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1977 Jul;74(7):2884-8. doi: 10.1073/pnas.74.7.2884.,"['0 (DNA, Neoplasm)', '0 (Fatty Acids)', '0 (Fluorescent Dyes)', '0 (Stearates)', '54050-62-3 (A(2)C)']","Treatment of a line of Friend leukemia cells with a dispersion of the membrane mobility agent, A2C, yields cells that undergo successive nuclear divisions without cytokinesis, resulting eventually in cells with as many as 30 nuclei. Neither the DNA replication rate of the cells nor the generation time is different after treatment; in addition, the multiple nuclei divide synchronously, and the chromosome number corresponds to the number of nuclei in the cell. Inhibition of cytokinesis is not observed if the cells are washed with reagent-free medium within 1 hr of treatment, but is observed if washing is delayed for 24 hr. Membrane mobility agent loaded with the fluorescent probe, Flomol F20C, leads to fluorescent membrane; fluorescence disappears from the membrane after a change of medium within 1 hr, but not after a change of medium within 24 hr. Some stages in the overall development resemble those seen for cytochalasin B inhibition of cytokinesis, although the mechanisms may well be different for the inhibition promoted by membrane mobility agent. The inhibition of cytokinesis by A2C provides a potentially interesting means of studying cytokinesis and the regulation of differentiation.",,PMC431331,,,
268609,NLM,MEDLINE,19771020,20041117,,18,1,1977,[Subacute myeloid leukemia with the Philadelphia chromosome and supplementary translocation: 9-12].,245-6,"['Dor, J F', 'Matti, J F', 'Mattei, M G', 'Giraud, F', 'Mongin, M']","['Dor JF', 'Matti JF', 'Mattei MG', 'Giraud F', 'Mongin M']",['fre'],"['Case Reports', 'Journal Article']",France,Nouv Rev Fr Hematol Blood Cells,Nouvelle revue francaise d'hematologie; blood cells,7701899,IM,"['Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics', 'Middle Aged', 'Translocation, Genetic']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol Blood Cells. 1977;18(1):245-6.,,,Leucemie myeloide subaigue avec chromosome Philadelphie et translocation supplementaire: 9-12.,,,,
268608,NLM,MEDLINE,19771020,20041117,,18,1,1977,"[Simultaneous discovery of myeloma, granulocytic leukemia (with polynuclear neutrophils) and Paget's disease in a patient].",240-4,"['Carcassonne, Y', 'Gastaut, J A', 'Sebahoun, G', 'Gratecos, N']","['Carcassonne Y', 'Gastaut JA', 'Sebahoun G', 'Gratecos N']",['fre'],"['Case Reports', 'Journal Article']",France,Nouv Rev Fr Hematol Blood Cells,Nouvelle revue francaise d'hematologie; blood cells,7701899,IM,"['Aged', 'Humans', 'Leukemia, Myeloid/*complications', 'Multiple Myeloma/*complications', '*Neutrophils', 'Osteitis Deformans/*complications']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol Blood Cells. 1977;18(1):240-4.,,,"Decouverte simultanee chez un meme malade d'un myelome, d'une leucemie granuleuse (a polynucleaires neutrophiles et d'une maladie de Paget.",,,,
268607,NLM,MEDLINE,19771020,20110816,,18,1,1977,Cerebromeningeal localizations in acute myeloblastic leukemia of the adult. Clinical and pathological study of 15 cases.,23-34,"['Renoux, M', 'Dhermy, D', 'Bernard, J F', 'Brousse, N', 'Henin, D', 'Amar, M', 'Boivin, P']","['Renoux M', 'Dhermy D', 'Bernard JF', 'Brousse N', 'Henin D', 'Amar M', 'Boivin P']",['fre'],"['English Abstract', 'Journal Article']",France,Nouv Rev Fr Hematol Blood Cells,Nouvelle revue francaise d'hematologie; blood cells,7701899,IM,"['Adolescent', 'Adult', 'Aged', 'Brain Neoplasms/*complications', 'Cerebrospinal Fluid/cytology', 'Female', 'Humans', 'Leukemia/*complications', 'Leukemia, Myeloid, Acute/*complications/drug therapy/mortality', 'Male', '*Meninges', 'Middle Aged', 'Spinal Puncture']",1977/01/01 00:00,1977/01/01 00:01,['1977/01/01 00:00'],"['1977/01/01 00:00 [pubmed]', '1977/01/01 00:01 [medline]', '1977/01/01 00:00 [entrez]']",,ppublish,Nouv Rev Fr Hematol Blood Cells. 1977;18(1):23-34.,,"68 consecutive adults were treated for acute myeloblastic leukaemia (A.M.L). Involvement of the central nervous system (CNS) developed in 15 cases. The clinical characteristics of nine of these patients were: symptoms of increased intra-cranial pressure in 5, cranial nerve lesions in 4, peripheral nerve lesions in 5, cord compression in 1, hemispherical symptoms in 7. Lumbar puncture vas performed systematically on seven patients, two of them with evidence of meningeal leukaemia (M.L.). Post-mortem examination was performed on seven patients who died during the first induction treatment: three had evidence of C.N.S. involvement. M.L. developed in three patients during complete hematologic remission (R.C.) In patients younger than 60 years old, the incidence of M.L. was 8/24 (approximately 33%). Medial survival time was reduced:8 months in cases with M.L., compared to 13.5 months. Cerebro-fluid protein levels were increased in six cases without blast cells: in four cases, M.L. occurred within a few months. The frequency of meningeal leukaemia in A.M.I. is under-estimated. Eradication of this frequent complication is difficult. Prophylactic meningeal treatment may be instituted for patients younger than 60, to reduce the incidence of M.L. and to improve the median remission time.",Localisations cerebro-meningees des leucemies aigues myeloblastiques de l'adulte. Etude clinique et anatomo-pathologique de 15 cas.,,,,
268606,NLM,MEDLINE,19771020,20041117,0301-1518 (Print) 0301-1518 (Linking),6,27,1977 Jul 2-9,[Extramedullary epidural severity of chronic myeloid leukemia].,2437-8,"['Aubertin, J', 'Legendre, P', 'Merlet, M', 'Issanchou, A M', 'Lacut, J Y', 'Bentegeat, J']","['Aubertin J', 'Legendre P', 'Merlet M', 'Issanchou AM', 'Lacut JY', 'Bentegeat J']",['fre'],"['Case Reports', 'Letter']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,IM,"['Bone Neoplasms/*etiology', '*Cell Transformation, Neoplastic', 'Female', 'Humans', 'Leukemia, Myeloid/*complications', 'Middle Aged']",1977/07/02 00:00,1977/07/02 00:01,['1977/07/02 00:00'],"['1977/07/02 00:00 [pubmed]', '1977/07/02 00:01 [medline]', '1977/07/02 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1977 Jul 2-9;6(27):2437-8.,,,Acutisation extra-medullaire epidurale d'une leucemie myeloide chronique.,,,,
268605,NLM,MEDLINE,19771020,20061115,0301-1518 (Print) 0301-1518 (Linking),6,27,1977 Jul 2-9,[Does blastic crisis as revealed in chronic myeloid leukemia simulate either acute primary leukemia or acute primary leukemia with Philadelphia chromosome?].,2409-13,"['Misset, J L', 'Venuat, A M', 'Nevarez, L', 'Mathe, G']","['Misset JL', 'Venuat AM', 'Nevarez L', 'Mathe G']",['fre'],"['English Abstract', 'Journal Article']",France,Nouv Presse Med,La Nouvelle presse medicale,0312552,IM,"['Adolescent', 'Adult', '*Cell Transformation, Neoplastic', 'Child', '*Chromosomes, Human, 21-22 and Y', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis/genetics', 'Male', 'Middle Aged', 'Time Factors']",1977/07/02 00:00,1977/07/02 00:01,['1977/07/02 00:00'],"['1977/07/02 00:00 [pubmed]', '1977/07/02 00:01 [medline]', '1977/07/02 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1977 Jul 2-9;6(27):2409-13.,,"In ten cases of apparently primary acute leukaemia, the discovery of a Philadelphia chromosome at routine examination of the caryotype led a diagnosis of blastic crisis of chronic myeloid leukemia. The clinical, cytological and cytogenetic pictures varied and only routine caryotypic examination may be used in reaching the diagnosis. The prognosis appear to be less bad than in blastic crises occurring after a long course of chronic myeloid leukaemia and closer to that of primary acute myeloid leukaemia.","Crises blastiques revelatrices de leucemies myeloides chroniques et simulant des leucemies aigues primaires, ou leucemies aigues primaires a chromosome Philadelphie?",,,,
