PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,LID,OID
5233164,NLM,MEDLINE,19671120,20080620,0032-3756 (Print) 0032-3756 (Linking),21,45,1966 Nov 7,[Leukemia in children and adolescents in Poland].,1716-7,"['Rattka, P']",['Rattka P'],['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/*epidemiology/mortality', 'Leukemia, Lymphoid/epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Neoplasms/mortality', 'Poland']",1966/11/07 00:00,1966/11/07 00:01,['1966/11/07 00:00'],"['1966/11/07 00:00 [pubmed]', '1966/11/07 00:01 [medline]', '1966/11/07 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1966 Nov 7;21(45):1716-7.,,Bialaczka u dzieci i mlodocianych w Polsce.,,,,
5233161,NLM,MEDLINE,19671120,20190709,0022-2623 (Print) 0022-2623 (Linking),10,1,1967 Jan,Acetylenic carbamates. A new class of potential oncolytic agents.,40-4,"['Dillard, R D', 'Poore, G', 'Cassady, D R', 'Easton, N R']","['Dillard RD', 'Poore G', 'Cassady DR', 'Easton NR']",['eng'],['Journal Article'],United States,J Med Chem,Journal of medicinal chemistry,9716531,"['0 (Alkynes)', '0 (Antineoplastic Agents)', '0 (Carbamates)']",IM,"['Alkynes/*pharmacology', 'Animals', 'Antineoplastic Agents/administration & dosage/*classification', 'Carbamates/*pharmacology', 'Chemistry, Organic', 'Leukemia, Experimental/drug therapy', 'Leukemia, Myeloid/*drug therapy', 'Mice', 'Neoplasms, Experimental/*drug therapy', 'Organic Chemistry Phenomena']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,J Med Chem. 1967 Jan;10(1):40-4. doi: 10.1021/jm00313a008.,['10.1021/jm00313a008 [doi]'],,,,,
5233114,NLM,MEDLINE,19671120,20071115,0022-8699 (Print) 0022-8699 (Linking),68,7,1967 Jul,Treating leukemia. Thymus extract in relation to remissions in acute leukemia.,291-4,"['Miller, F R']",['Miller FR'],['eng'],['Journal Article'],United States,J Kans Med Soc,The Journal of the Kansas Medical Society,7505612,['0 (Tissue Extracts)'],IM,"['Adolescent', 'Adult', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male', '*Thymus Gland', 'Tissue Extracts/*therapeutic use']",1967/07/01 00:00,1967/07/01 00:01,['1967/07/01 00:00'],"['1967/07/01 00:00 [pubmed]', '1967/07/01 00:01 [medline]', '1967/07/01 00:00 [entrez]']",ppublish,J Kans Med Soc. 1967 Jul;68(7):291-4.,,,,,,
5233105,NLM,MEDLINE,19671119,20041117,0043-5147 (Print) 0043-5147 (Linking),20,6,1967 Mar 15,[A case of di Guglielmo's disease].,569-71,"['Bielawiec, M', 'Kiersnowska, B', 'Kowal, E']","['Bielawiec M', 'Kiersnowska B', 'Kowal E']",['pol'],"['Case Reports', 'Journal Article']",Poland,Wiad Lek,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",9705467,,IM,"['Aged', 'Female', 'Hemorrhagic Disorders', 'Humans', 'Leukemia, Erythroblastic, Acute/*diagnosis']",1967/03/15 00:00,1967/03/15 00:01,['1967/03/15 00:00'],"['1967/03/15 00:00 [pubmed]', '1967/03/15 00:01 [medline]', '1967/03/15 00:00 [entrez]']",ppublish,Wiad Lek. 1967 Mar 15;20(6):569-71.,,Przypadek choroby di Guglielmo.,,,,
5233091,NLM,MEDLINE,19671119,20080620,0032-3756 (Print) 0032-3756 (Linking),22,10,1967 Mar 6,"[Anamnestic, ecological and nosological studies on acute leukemia in children in period of 15 years].",348-50,"['Mikulowski, W', 'Armata, J', 'Bryniak, C', 'Garwicz, S', 'Wyszkowski, J']","['Mikulowski W', 'Armata J', 'Bryniak C', 'Garwicz S', 'Wyszkowski J']",['pol'],['Journal Article'],Poland,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)",9705468,,IM,"['Child', 'Child, Preschool', 'Female', 'Hemorrhagic Disorders/*epidemiology', 'Humans', 'Infant', 'Leukemia/*epidemiology', 'Leukemia, Lymphoid/*epidemiology', 'Male', 'Poland']",1967/03/06 00:00,1967/03/06 00:01,['1967/03/06 00:00'],"['1967/03/06 00:00 [pubmed]', '1967/03/06 00:01 [medline]', '1967/03/06 00:00 [entrez]']",ppublish,Pol Tyg Lek. 1967 Mar 6;22(10):348-50.,,"Spostrzeenia anamnestyczne, ekologiczne i nozologiczne nad ostra bialaczka u dzieci w okresie 15 lat.",,,,
5233089,NLM,MEDLINE,19671119,20131121,0030-6002 (Print) 0030-6002 (Linking),108,15,1967 Apr 9,[Treatment of chronic myeloid leukemia with Myelobromol].,689-92,"['Petranyi, G', 'Bobory, J']","['Petranyi G', 'Bobory J']",['hun'],['Journal Article'],Hungary,Orv Hetil,Orvosi hetilap,0376412,['3OWL53L36A (Mannitol)'],IM,"['Humans', 'Leukemia, Myeloid/*drug therapy', 'Mannitol/*therapeutic use']",1967/04/09 00:00,1967/04/09 00:01,['1967/04/09 00:00'],"['1967/04/09 00:00 [pubmed]', '1967/04/09 00:01 [medline]', '1967/04/09 00:00 [entrez]']",ppublish,Orv Hetil. 1967 Apr 9;108(15):689-92.,,Kronikus myeloid leukaemiak kezelese Myelobromollal.,,,,
5233047,NLM,MEDLINE,19671119,20190722,0019-5456 (Print) 0019-5456 (Linking),33,222,1966 Jul,Chloroma. Report of two cases with a brief review of the literature.,208-11,"['Sethi, A S']",['Sethi AS'],['eng'],['Journal Article'],India,Indian J Pediatr,Indian journal of pediatrics,0417442,,IM,"['Child', 'Female', 'Humans', '*Leukemia', 'Leukemia, Myeloid, Acute/*complications']",1966/07/01 00:00,1966/07/01 00:01,['1966/07/01 00:00'],"['1966/07/01 00:00 [pubmed]', '1966/07/01 00:01 [medline]', '1966/07/01 00:00 [entrez]']",ppublish,Indian J Pediatr. 1966 Jul;33(222):208-11. doi: 10.1007/BF02749249.,['10.1007/BF02749249 [doi]'],,,,,
5233046,NLM,MEDLINE,19671119,20190908,0014-2964 (Print) 0014-2964 (Linking),3,2,1967 Jun,[A clinical and cytogenetic study of 21 patients with chronic myelogenous leukemia].,83-93,"['Kenis, Y', 'Koulischer, L']","['Kenis Y', 'Koulischer L']",['fre'],['Journal Article'],England,Eur J Cancer,European journal of cancer,0074126,,IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged']",1967/06/01 00:00,1967/06/01 00:01,['1967/06/01 00:00'],"['1967/06/01 00:00 [pubmed]', '1967/06/01 00:01 [medline]', '1967/06/01 00:00 [entrez]']",ppublish,Eur J Cancer. 1967 Jun;3(2):83-93. doi: 10.1016/0014-2964(67)90030-8.,['10.1016/0014-2964(67)90030-8 [doi]'],Etude clinique et cytogenetique de 21 patients atteints de leucemie myeloide chronique.,,,,
5233028,NLM,MEDLINE,19671119,20071115,0017-8594 (Print) 0017-8594 (Linking),26,2,1966 Nov-Dec,Childhood leukemia in Hawaii. Experience at Kauikeolani Children's Hospital.,125-6,"['Lauriault, C D', 'Jim, R T']","['Lauriault CD', 'Jim RT']",['eng'],['Journal Article'],United States,Hawaii Med J,Hawaii medical journal,2984209R,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Hawaii', 'Humans', 'Leukemia/*epidemiology', 'Leukemia, Lymphoid/epidemiology', 'Leukemia, Monocytic, Acute/epidemiology', 'Leukemia, Myeloid, Acute/epidemiology', 'Male']",1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,Hawaii Med J. 1966 Nov-Dec;26(2):125-6.,,,,,,
5232987,NLM,MEDLINE,19671118,20071115,0028-7628 (Print) 0028-7628 (Linking),67,15,1967 Aug 1,"Pernicious anemia, polycythemia vera, and acute myelogenous leukemia in same patient.",2119-24,"['Rosner, F', 'Rubenberg, M L', 'Alter, A A']","['Rosner F', 'Rubenberg ML', 'Alter AA']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,,IM,"['Aged', 'Anemia, Pernicious/*complications', 'Humans', 'Jews', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Polycythemia Vera/*complications', 'United States']",1967/08/01 00:00,1967/08/01 00:01,['1967/08/01 00:00'],"['1967/08/01 00:00 [pubmed]', '1967/08/01 00:01 [medline]', '1967/08/01 00:00 [entrez]']",ppublish,N Y State J Med. 1967 Aug 1;67(15):2119-24.,,,,,,
5232887,NLM,MEDLINE,19671118,20071115,0031-3939 (Print) 0031-3939 (Linking),42,1,1967 Jan,[Pattern of alkaline phosphatase in neutrophilic polymorphous granulocytes in proliferative diseases of the hematopoietic system in children].,15-24,"['Gorecka, M', 'Rowecka-Trzebicka, K']","['Gorecka M', 'Rowecka-Trzebicka K']",['pol'],['Journal Article'],Poland,Pediatr Pol,Pediatria polska,2985039R,['EC 3.1.3.1 (Alkaline Phosphatase)'],IM,"['Adolescent', 'Alkaline Phosphatase/*analysis', 'Anemia, Aplastic/*blood', 'Child', 'Child, Preschool', 'Humans', 'Infant', 'Leukemia, Myeloid/*blood', 'Leukemia, Myeloid, Acute/*blood', 'Neutrophils/*analysis']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1967 Jan;42(1):15-24.,,Zachowanie sie fosfatazy alkalicznej w granulocytach obojetnochlonnych poszielonych w schorzeniach rozrostowych ukladu krwiotworczego u dzieci.,,,,
5232871,NLM,MEDLINE,19671117,20041117,0043-3284 (Print) 0043-3284 (Linking),63,5,1967 May,Progress in the treatment of childhood leukemia.,137-9,"['Jones, B']",['Jones B'],['eng'],['Journal Article'],United States,W V Med J,The West Virginia medical journal,0413777,,IM,"['Child', 'Humans', 'Leukemia/*drug therapy']",1967/05/01 00:00,1967/05/01 00:01,['1967/05/01 00:00'],"['1967/05/01 00:00 [pubmed]', '1967/05/01 00:01 [medline]', '1967/05/01 00:00 [entrez]']",ppublish,W V Med J. 1967 May;63(5):137-9.,,,,,,
5232838,NLM,MEDLINE,19671117,20160630,0069-0112 (Print) 0069-0112 (Linking),51,2,1967 Apr,Preliminary studies with dibromomannitol (NSC-94100) in patients with chronic myelogenous leukemia.,91-7,"['Casazza, A R', 'Cahn, E L', 'Carbone, P P']","['Casazza AR', 'Cahn EL', 'Carbone PP']",['eng'],['Journal Article'],United States,Cancer Chemother Rep,Cancer chemotherapy reports,7607105,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Middle Aged']",1967/04/01 00:00,1967/04/01 00:01,['1967/04/01 00:00'],"['1967/04/01 00:00 [pubmed]', '1967/04/01 00:01 [medline]', '1967/04/01 00:00 [entrez]']",ppublish,Cancer Chemother Rep. 1967 Apr;51(2):91-7.,,,,,,
5232820,NLM,MEDLINE,19671114,20071115,0028-2162 (Print) 0028-2162 (Linking),111,25,1967 Jun 24,[Modern treatment of acute leukemia with chemotherapeutic agents].,1127-32,"['de Vries, S I']",['de Vries SI'],['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/*therapeutic use', 'Humans', 'Leukemia, Lymphoid/*drug therapy', 'Leukemia, Myeloid, Acute/*drug therapy']",1967/06/24 00:00,1967/06/24 00:01,['1967/06/24 00:00'],"['1967/06/24 00:00 [pubmed]', '1967/06/24 00:01 [medline]', '1967/06/24 00:00 [entrez]']",ppublish,Ned Tijdschr Geneeskd. 1967 Jun 24;111(25):1127-32.,,Moderne behandeling van acute leukemie met chemotherapeutica.,,,,
5232813,NLM,MEDLINE,19671114,20071115,0033-2240 (Print) 0033-2240 (Linking),23,4,1967,[Effect of therapy on the haptaglobin level in leukemic patients].,381-2,"['Turowska, B', 'Gurda, M']","['Turowska B', 'Gurda M']",['pol'],['Journal Article'],Poland,Przegl Lek,Przeglad lekarski,19840720R,"['0 (Adrenal Cortex Hormones)', '0 (Antimetabolites)', '0 (Haptoglobins)']",IM,"['Adrenal Cortex Hormones/*therapeutic use', 'Antimetabolites/*therapeutic use', 'Blood Transfusion', 'Haptoglobins/*blood', 'Humans', 'Leukemia/blood/*drug therapy', 'Leukemia, Lymphoid/drug therapy', 'Leukemia, Myeloid, Acute/drug therapy']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Przegl Lek. 1967;23(4):381-2.,,Wply leczenia na poziom haptoglobin u chorych na bialaczki.,,,,
5232812,NLM,MEDLINE,19671114,20161122,0137-7183 (Print) 0137-7183 (Linking),31,1,1967 Jan-Feb,[Cranial radiologic changes in children in the course of acute leukemia].,1-9,"['Jakubowski, A']",['Jakubowski A'],['pol'],['Journal Article'],Poland,Pol Przegl Radiol Med Nukl,Polski przeglad radiologii i medycyny nuklearnej,0401226,,IM,"['Bone Resorption/*diagnostic imaging', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia, Lymphoid/*diagnostic imaging', 'Male', 'Radiography', 'Skull/*diagnostic imaging']",1967/01/01 00:00,1967/01/01 00:01,['1967/01/01 00:00'],"['1967/01/01 00:00 [pubmed]', '1967/01/01 00:01 [medline]', '1967/01/01 00:00 [entrez]']",ppublish,Pol Przegl Radiol Med Nukl. 1967 Jan-Feb;31(1):1-9.,,Zmiany radiologiczne w obrebie czaszki w ostrej bialaczce u dzieci.,,,,
5232752,NLM,MEDLINE,19671114,20190501,0032-5473 (Print) 0032-5473 (Linking),42,494,1966 Dec,Acute promyelocytic leukaemia.,788-90,"['Fullerton, J M', 'Barkhan, P']","['Fullerton JM', 'Barkhan P']",['eng'],"['Case Reports', 'Journal Article']",England,Postgrad Med J,Postgraduate medical journal,0234135,,IM,"['Humans', '*Leukemia, Myeloid, Acute', 'Male', 'Middle Aged', 'United Kingdom']",1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,Postgrad Med J. 1966 Dec;42(494):788-90. doi: 10.1136/pgmj.42.494.788.,['10.1136/pgmj.42.494.788 [doi]'],,PMC2466110,,,
5232721,NLM,MEDLINE,19671114,20071115,0019-6169 (Print) 0019-6169 (Linking),19,12,1966 Dec,A case of acute lymphatic leukaemia with skeletal manifestations.,819-22,"['Poulose, K P', 'Krishna, K V']","['Poulose KP', 'Krishna KV']",['eng'],"['Case Reports', 'Journal Article']",India,Indian Pract,The Indian practitioner,0370753,,IM,"['Adolescent', 'Bone Diseases/*etiology', 'Humans', 'Leukemia, Lymphoid/*complications', 'Male']",1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,Indian Pract. 1966 Dec;19(12):819-22.,,,,,,
5232688,NLM,MEDLINE,19671112,20041117,0031-3939 (Print) 0031-3939 (Linking),42,3,1967 Mar,[A case of leukemia in a 2-month-old infant].,349-50,"['Chilmanowa, W']",['Chilmanowa W'],['pol'],"['Case Reports', 'Journal Article']",Poland,Pediatr Pol,Pediatria polska,2985039R,,IM,"['Female', 'Humans', 'Infant', 'Leukemia, Myeloid/*diagnosis']",1967/03/01 00:00,1967/03/01 00:01,['1967/03/01 00:00'],"['1967/03/01 00:00 [pubmed]', '1967/03/01 00:01 [medline]', '1967/03/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1967 Mar;42(3):349-50.,,Przypadek bialaczki u niemowlecia 2-miesciecznego.,,,,
5232687,NLM,MEDLINE,19671112,20071115,0031-3939 (Print) 0031-3939 (Linking),42,3,1967 Mar,[3 transformations in acute meningosis leucaemica in the course of chronic granulocytic leukemia].,345-8,"['Armata, J', 'Garwicz, S']","['Armata J', 'Garwicz S']",['pol'],"['Case Reports', 'Journal Article']",Poland,Pediatr Pol,Pediatria polska,2985039R,,IM,"['Child, Preschool', 'Female', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Leukemia, Myeloid, Acute/*diagnosis']",1967/03/01 00:00,1967/03/01 00:01,['1967/03/01 00:00'],"['1967/03/01 00:00 [pubmed]', '1967/03/01 00:01 [medline]', '1967/03/01 00:00 [entrez]']",ppublish,Pediatr Pol. 1967 Mar;42(3):345-8.,,Trzykrotne przeksztalcenie w postac ostra oraz wystapienie meningosis leucaemica w przebiegu przewleklej bialaczki granulocytowej.,,,,
5232674,NLM,MEDLINE,19671112,20071115,0028-7628 (Print) 0028-7628 (Linking),67,13,1967 Jul 1,Acute leukemia seen as testicular tumor.,1903-6,"['Jampol, M L', 'Ohnysty, J']","['Jampol ML', 'Ohnysty J']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,,IM,"['Adolescent', 'Diagnosis, Differential', 'Humans', 'Leukemia, Lymphoid/*complications/diagnosis', 'Lymphoma/diagnosis', 'Male', 'Testicular Neoplasms/*complications']",1967/07/01 00:00,1967/07/01 00:01,['1967/07/01 00:00'],"['1967/07/01 00:00 [pubmed]', '1967/07/01 00:01 [medline]', '1967/07/01 00:00 [entrez]']",ppublish,N Y State J Med. 1967 Jul 1;67(13):1903-6.,,,,,,
5232663,NLM,MEDLINE,19671112,20171116,0022-1961 (Print) 0022-1961 (Linking),18,1,1966 Jul,[Fever and bleeding tendency].,106-8 passim,"['Harada, T']",['Harada T'],['jpn'],"['Case Reports', 'Journal Article']",Japan,Naika,Naika. Internal medicine,0413541,['E7WED276I5 (Mercaptopurine)'],IM,"['Agranulocytosis/*chemically induced', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications', 'Mercaptopurine/adverse effects', 'Middle Aged', 'Proctitis/complications']",1966/07/01 00:00,1966/07/01 00:01,['1966/07/01 00:00'],"['1966/07/01 00:00 [pubmed]', '1966/07/01 00:01 [medline]', '1966/07/01 00:00 [entrez]']",ppublish,Naika. 1966 Jul;18(1):106-8 passim.,,,,,,
5232653,NLM,MEDLINE,19671112,20041117,0098-7107 (Print) 0098-7107 (Linking),49,7-8,1967 Jul-Aug,Malignant oral tumors of infancy and childhood.,236-41,"['Green, M A']",['Green MA'],['eng'],['Journal Article'],United States,J Mich State Dent Assoc,The Journal of the Michigan State Dental Association,7503085,,,"['Burkitt Lymphoma/epidemiology', 'Child', 'Dentistry', 'Humans', 'Leukemia/epidemiology', 'Lymphoma/epidemiology', 'Mouth Neoplasms/epidemiology', 'Sarcoma/epidemiology']",1967/07/01 00:00,1967/07/01 00:01,['1967/07/01 00:00'],"['1967/07/01 00:00 [pubmed]', '1967/07/01 00:01 [medline]', '1967/07/01 00:00 [entrez]']",ppublish,J Mich State Dent Assoc. 1967 Jul-Aug;49(7-8):236-41.,,,,,,
5232609,NLM,MEDLINE,19671112,20041117,0008-7335 (Print) 0008-7335 (Linking),106,4,1967 Jan 27,[The Philadelphia chromosome (Ph 1)--cytogenetic characteristics of chronic myelocytic leukemia].,92-7,"['Dieska, D', 'Izakovic, V', 'Gajdos, M']","['Dieska D', 'Izakovic V', 'Gajdos M']",['cze'],['Journal Article'],Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,,IM,"['*Chromosome Aberrations', '*Chromosome Disorders', 'Humans', 'Karyotyping', '*Leukemia, Myeloid']",1967/01/27 00:00,1967/01/27 00:01,['1967/01/27 00:00'],"['1967/01/27 00:00 [pubmed]', '1967/01/27 00:01 [medline]', '1967/01/27 00:00 [entrez]']",ppublish,Cas Lek Cesk. 1967 Jan 27;106(4):92-7.,,Filadelfsky chromozom (Ph1)--cytogeneticka charakteristika chronickej myeloickej leukemie.,,,,
5232513,NLM,MEDLINE,19671112,20200930,0037-9727 (Print) 0037-9727 (Linking),122,2,1966 Jun,Serial cultivation of human leukemic cells.,475-81,"['Armstrong, D']",['Armstrong D'],['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,,IM,"['*Culture Techniques', 'Humans', '*Leukemia, Lymphoid', '*Leukemia, Myeloid, Acute']",1966/06/01 00:00,1966/06/01 00:01,['1966/06/01 00:00'],"['1966/06/01 00:00 [pubmed]', '1966/06/01 00:01 [medline]', '1966/06/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1966 Jun;122(2):475-81. doi: 10.3181/00379727-122-31166.,['10.3181/00379727-122-31166 [doi]'],,,,,
5232511,NLM,MEDLINE,19671112,20041117,0030-1124 (Print) 0030-1124 (Linking),63,4,1967 Apr,"A clinicopathological conference from the Ohio State University Hospital, Columbus, Ohio.",494-8,,,['eng'],['Journal Article'],United States,Ohio State Med J,The Ohio State medical journal,0401013,,IM,"['Humans', 'Leukemia, Monocytic, Acute/*complications', 'Male', 'Middle Aged', 'Mucormycosis/*complications', 'Thrombophlebitis/*complications']",1967/04/01 00:00,1967/04/01 00:01,['1967/04/01 00:00'],"['1967/04/01 00:00 [pubmed]', '1967/04/01 00:01 [medline]', '1967/04/01 00:00 [entrez]']",ppublish,Ohio State Med J. 1967 Apr;63(4):494-8.,,,,,,
5232425,NLM,MEDLINE,19671111,20041117,0025-7869 (Print) 0025-7869 (Linking),18,12,1966 Dec,[Di Guglielmo's syndrome].,1509-11,"['Chirila, A', 'Stanciulescu, M']","['Chirila A', 'Stanciulescu M']",['rum'],['Journal Article'],Romania,Med Interna (Bucur),Medicina interna,7503144,,IM,"['Adult', 'Female', 'Humans', '*Leukemia, Erythroblastic, Acute']",1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,Med Interna (Bucur). 1966 Dec;18(12):1509-11.,,Sindromul Di Guglielmo.,,,,
5232424,NLM,MEDLINE,19671111,20071115,0025-7869 (Print) 0025-7869 (Linking),18,12,1966 Dec,[Changes of the factors of the prothrombin complex in chronic leukemia].,1479-88,"['Poppa, C', 'Enache, F']","['Poppa C', 'Enache F']",['rum'],['Journal Article'],Romania,Med Interna (Bucur),Medicina interna,7503144,['9001-26-7 (Prothrombin)'],IM,"['Blood Coagulation Disorders/*etiology', 'Blood Coagulation Tests', 'Humans', 'Leukemia, Lymphoid/*complications', 'Leukemia, Myeloid/*complications', '*Prothrombin']",1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,Med Interna (Bucur). 1966 Dec;18(12):1479-88.,,Modificarile factorilor complexului protrombic in leucemiile cronice.,,,,
5232403,NLM,MEDLINE,19671111,20071115,0035-760X (Print) 0035-760X (Linking),63,11,1966 Nov,Survival time and some related factors in childhood leukemia.,70-3,"['Reiquam, C W', 'Koch, K']","['Reiquam CW', 'Koch K']",['eng'],['Journal Article'],United States,Rocky Mt Med J,Rocky Mountain medical journal,0404505,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia, Lymphoid/*mortality', 'Leukemia, Myeloid/*mortality', '*Leukocyte Count', 'Male']",1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,Rocky Mt Med J. 1966 Nov;63(11):70-3.,,,,,,
5232374,NLM,MEDLINE,19671111,20041117,0038-3139 (Print) 0038-3139 (Linking),62,10,1966 Oct,Use of corticosteroids alone in the control of acute leukemia in adults. A summary of the literature.,385,"['Sampey, J R']",['Sampey JR'],['eng'],['Journal Article'],United States,J S C Med Assoc,Journal of the South Carolina Medical Association (1975),7503045,['0 (Adrenal Cortex Hormones)'],IM,"['Adrenal Cortex Hormones/*therapeutic use', 'Adult', 'Child', 'Humans', 'Leukemia/*drug therapy']",1966/10/01 00:00,1966/10/01 00:01,['1966/10/01 00:00'],"['1966/10/01 00:00 [pubmed]', '1966/10/01 00:01 [medline]', '1966/10/01 00:00 [entrez]']",ppublish,J S C Med Assoc. 1966 Oct;62(10):385.,,,,,,
5232215,NLM,MEDLINE,19671105,20171116,0026-556X (Print) 0026-556X (Linking),49,11,1966 Nov,Acute myelocytic (granulocytic) leukemia: current therapy.,1715-7,"['Kyle, R A']",['Kyle RA'],['eng'],['Journal Article'],United States,Minn Med,Minnesota medicine,8000173,['E7WED276I5 (Mercaptopurine)'],IM,"['Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Mercaptopurine/*therapeutic use']",1966/11/01 00:00,1966/11/01 00:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '1966/11/01 00:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,Minn Med. 1966 Nov;49(11):1715-7.,,,,,,
5232150,NLM,MEDLINE,19671104,20141120,0028-7628 (Print) 0028-7628 (Linking),66,21,1966 Nov 1,Leukocyte cultures of patients with leukemia and lymphomas.,2757-64,"['Moore, G E', 'Grace, J T Jr', 'Citron, P', 'Gerner, R', 'Burns, A']","['Moore GE', 'Grace JT Jr', 'Citron P', 'Gerner R', 'Burns A']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,,IM,"['Culture Techniques', 'Humans', 'Leukemia/*blood', '*Leukocytes', 'Lymphoma/*blood']",1966/11/01 00:00,2001/03/28 10:01,['1966/11/01 00:00'],"['1966/11/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1966/11/01 00:00 [entrez]']",ppublish,N Y State J Med. 1966 Nov 1;66(21):2757-64.,,,,,,
5232116,NLM,MEDLINE,19671031,20080213,0514-7166 (Print) 0514-7166 (Linking),13,8,1966 Dec,[Paper electrophoretic studies on chicken sera. II. Blood protein fractions in chicken with experimentally induced strain cell sarcomatosis and myelocytomatosis].,758-66,"['Loliger, H C', 'Stute, K W', 'Schubert, H J']","['Loliger HC', 'Stute KW', 'Schubert HJ']",['ger'],['Journal Article'],Germany,Zentralbl Veterinarmed B,Zentralblatt fur Veterinarmedizin. Reihe B. Journal of veterinary medicine. Series B,0331325,,IM,"['Animals', 'Blood Protein Electrophoresis', 'Leukemia, Experimental/blood', 'Leukemia, Myeloid/*blood', 'Poultry Diseases/*blood', 'Sarcoma, Experimental/*blood']",1966/12/01 00:00,1966/12/01 00:01,['1966/12/01 00:00'],"['1966/12/01 00:00 [pubmed]', '1966/12/01 00:01 [medline]', '1966/12/01 00:00 [entrez]']",ppublish,Zentralbl Veterinarmed B. 1966 Dec;13(8):758-66.,,Papierelektrophoretische Untersuchungen an Huhnerblutseren. II. Die Bluteiweissfraktionen bei Huhnchen mit experimentell ubertragener Stammzellensarkomatose und Myelozytomatose.,,,,
