PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,AB,PMC,OID,OTO,OT,GN
4310043,NLM,MEDLINE,19691201,20051117,0042-1324 (Print) 0042-1324 (Linking),62,2,1966 Sep-Oct,"[Specific resistance to tumors of viral etiology. 1. Resistance to tumors induced by various oncogenic viruses, and certain characteristic traits of this phenomenon].",274-88,"['Radzhikhovskaia, R M']",['Radzhikhovskaia RM'],['rus'],['Journal Article'],"Spetsificheskaia rezistentnost' k opukholiam virusnoi etiologii. 1. Rezistentnost' k opukholiam, indutsirovannym razlichnymi onkogennymi virusami, i nekotorye kharakternye cherty etogo iavleniia.",Russia (Federation),Usp Sovrem Biol,Uspekhi sovremennoi biologii,0413771,IM,"['Adenoviridae/immunology', 'Animals', 'Antibodies/blood', 'Antigens', 'Cell Transformation, Neoplastic', 'Chickens', 'Complement System Proteins', 'Leukemia/etiology', 'Lymphoid Tissue/immunology', 'Mice', 'Neoplasms, Experimental/*immunology', 'Oncogenic Viruses/*immunology', 'Polyomavirus/immunology', 'Rabbits', 'Retroviridae', 'Sarcoma, Avian/immunology', 'Simian virus 40/immunology', 'Tumor Virus Infections/immunology', 'Virus Diseases/*immunology']",,1966/09/01 00:00,1966/09/01 00:01,['1966/09/01 00:00'],"['1966/09/01 00:00 [pubmed]', '1966/09/01 00:01 [medline]', '1966/09/01 00:00 [entrez]']",ppublish,Usp Sovrem Biol. 1966 Sep-Oct;62(2):274-88.,"['0 (Antibodies)', '0 (Antigens)', '9007-36-7 (Complement System Proteins)']",,,,,,,
4309995,NLM,MEDLINE,19691201,20190511,0022-1899 (Print) 0022-1899 (Linking),120,4,1969 Oct,Murine leukemialike virus and the immunopathologic disorders of New Zealand black mice.,480-7,"['Mellors, R C']",['Mellors RC'],['eng'],"['Journal Article', 'Review']",,United States,J Infect Dis,The Journal of infectious diseases,0413675,IM,"['Anemia, Hemolytic, Autoimmune/etiology', 'Animals', 'Animals, Newborn', 'Antigens/isolation & purification', 'Autoimmune Diseases/*etiology', 'Azathioprine/pharmacology', 'Coombs Test', 'Glomerulonephritis/etiology/veterinary', 'Inbreeding', '*Leukemia Virus, Murine', 'Lymph Nodes', 'Lymphoma/etiology/veterinary', 'Lymphoma, Non-Hodgkin/etiology', 'Mice/*immunology', 'New Zealand', 'Rodent Diseases/*immunology/microbiology', 'Spleen/transplantation', 'Thymus Gland', 'Time Factors', 'Vaccination']",67,1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",ppublish,J Infect Dis. 1969 Oct;120(4):480-7. doi: 10.1093/infdis/120.4.480.,"['0 (Antigens)', 'MRK240IY2L (Azathioprine)']",['10.1093/infdis/120.4.480 [doi]'],,,,,,
4309974,NLM,MEDLINE,19691201,20121115,0365-5555 (Print) 0365-5555 (Linking),,,1968,A subcellular agent inducing plasma cell leukemias in mice. The relation of this agent to amyloidosis and chronic murine pneumonia.,Suppl 197:9+,"['Ebbesen, P']",['Ebbesen P'],['eng'],"['Journal Article', 'Review']",,Denmark,Acta Pathol Microbiol Scand,Acta pathologica et microbiologica Scandinavica,7508471,IM,"['Age Factors', 'Amyloidosis/*etiology', 'Animals', 'Chronic Disease', 'Coombs Test', 'Female', 'Humans', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental', 'Leukemia, Plasma Cell/*etiology/genetics', 'Male', 'Maternal-Fetal Exchange', 'Methods', 'Mice', 'Microscopy, Electron', 'Mycoplasma Infections/*etiology', 'Pneumonia, Viral/*etiology', 'Pregnancy', 'Retroviridae/isolation & purification', 'Sex Factors', 'Stress, Psychological/complications', 'Time Factors']",207,1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Acta Pathol Microbiol Scand. 1968:Suppl 197:9+.,,,,,,,,
4309905,NLM,MEDLINE,19691129,20190903,0004-945X (Print) 0004-945X (Linking),47,4,1969 Aug,Partial purification and some properties of the factor in normal and leukaemic human urine stimulating mouse bone marrow colony growth in vitro.,467-83,"['Stanley, E R', 'Metcalf, D']","['Stanley ER', 'Metcalf D']",['eng'],['Journal Article'],,Australia,Aust J Exp Biol Med Sci,The Australian journal of experimental biology and medical science,0416662,IM,"['Animals', 'Bone Marrow/*growth & development', '*Bone Marrow Cells', 'Centrifugation, Density Gradient', 'Chemical Precipitation', 'Chromatography', 'Deoxyribonucleases/pharmacology', 'Electrophoresis', 'Ethanol', 'Ethyl Ethers/pharmacology', 'Glycoproteins/isolation & purification', 'Hot Temperature', 'Humans', 'Hydrogen-Ion Concentration', 'In Vitro Techniques', 'Leukemia/*urine', 'Methods', 'Mice', 'Peptide Hydrolases/pharmacology', 'Periodic Acid/pharmacology', '*Proteinuria', 'Quaternary Ammonium Compounds', 'Ribonucleases/pharmacology', 'Solvents', 'Sulfates', 'Urine/*analysis']",,1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Aust J Exp Biol Med Sci. 1969 Aug;47(4):467-83. doi: 10.1038/icb.1969.51.,"['0 (Ethyl Ethers)', '0 (Glycoproteins)', '0 (Quaternary Ammonium Compounds)', '0 (Solvents)', '0 (Sulfates)', '10450-60-9 (Periodic Acid)', '3K9958V90M (Ethanol)', 'EC 3.1.- (Deoxyribonucleases)', 'EC 3.1.- (Ribonucleases)', 'EC 3.4.- (Peptide Hydrolases)']",['10.1038/icb.1969.51 [doi]'],,,,,,
4309880,NLM,MEDLINE,19691127,20200724,0022-538X (Print) 0022-538X (Linking),4,4,1969 Oct,Electron microscopic observations on the ribonucleic acid of murine leukemia virus.,460-74,"['Kakefuda, T', 'Bader, J P']","['Kakefuda T', 'Bader JP']",['eng'],['Journal Article'],,United States,J Virol,Journal of virology,0113724,IM,"['Avian Sarcoma Viruses/analysis', 'Cell Nucleus/analysis', 'Chemical Phenomena', 'Chemistry', 'DNA', 'Detergents/pharmacology', 'Hot Temperature', 'Leukemia Virus, Murine/*analysis', 'Methods', 'Microscopy, Electron', 'Mitochondria/analysis', 'Models, Structural', 'Newcastle disease virus/analysis', 'RNA', 'RNA, Viral/*analysis', 'Ribosomes/analysis', 'Sodium Chloride/pharmacology', 'Sulfuric Acids/pharmacology', 'Urea/pharmacology']",,1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",ppublish,J Virol. 1969 Oct;4(4):460-74. doi: 10.1128/JVI.4.4.460-474.1969.,"['0 (Detergents)', '0 (RNA, Viral)', '0 (Sulfuric Acids)', '451W47IQ8X (Sodium Chloride)', '63231-63-0 (RNA)', '8W8T17847W (Urea)', '9007-49-2 (DNA)']",['10.1128/JVI.4.4.460-474.1969 [doi]'],"The ribonucleic acid (RNA) of murine leukemia virus (MLV) Rauscher strain was observed by the aid of electron microscopy with the use of the protein monolayer technique. RNA was observed directly after release from virus particles or after isolation by sedimentation in sucrose density gradients. Molecules were found in an extended linear form. Many of the RNA filaments released by detergent treatment contained curled regions, suggesting the linear filaments were originally coiled within the virus particle. The relationship of the curled areas to the containment of the RNA within the virus particle is discussed, and a mechanism for the inclusion of RNA in the budding virion is proposed. Treatment of the extended MLV-RNA with dimethyl sulfoxide resulted in the collapse of the molecule forming a tangled complex. Treatment with urea or heating at 50 C in 3 mm NaCl also produced this effect. Also under the conditions in which MLV-RNA was linear, RNA from Rous sarcoma virus also was linear, but Newcastle disease virus RNA and ribosomal RNA of rat liver had collapsed structures. The results indicated that the RNA of MLV, and perhaps other RNA-containing tumor viruses, has a specific unique conformation dependent upon hydrogen bonds.",PMC375895,,,,
4309879,NLM,MEDLINE,19691127,20200724,0022-538X (Print) 0022-538X (Linking),4,4,1969 Oct,Analysis of the ribonucleic acid of murine leukemia virus.,454-9,"['Bader, J P', 'Steck, T L']","['Bader JP', 'Steck TL']",['eng'],['Journal Article'],,United States,J Virol,Journal of virology,0113724,IM,"['Centrifugation, Density Gradient', 'Chemical Phenomena', 'Chemistry', 'Dimethyl Sulfoxide/pharmacology', 'Electrophoresis', 'Leukemia Virus, Murine/*analysis', 'RNA, Viral/*analysis/isolation & purification', 'Sodium Chloride/pharmacology', 'Temperature', 'Tritium', 'Urea/pharmacology', 'Uridine', 'Virus Cultivation']",,1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",ppublish,J Virol. 1969 Oct;4(4):454-9. doi: 10.1128/JVI.4.4.454-459.1969.,"['0 (RNA, Viral)', '10028-17-8 (Tritium)', '451W47IQ8X (Sodium Chloride)', '8W8T17847W (Urea)', 'WHI7HQ7H85 (Uridine)', 'YOW8V9698H (Dimethyl Sulfoxide)']",['10.1128/JVI.4.4.454-459.1969 [doi]'],"Cells producing the Rauscher strain of murine leukemia virus (MLV) were exposed to (3)H-uridine, and labeled virus was collected at hourly intervals. Ribonucleic acid (RNA) extracted from virions (vRNA) had a characteristic single peak when analyzed by electrophoresis in polyacrylamide-agarose composite gels. Exposure of vRNA to dimethyl sulfoxide, urea, formaldehyde, or heat altered the mobility to a faster moving form (vRNA'). This vRNA' sedimented more slowly than native vRNA in sucrose gradients. Incubation of labeled virions at 37 C resulted in fragmentation of viral RNA which was detectable only after denaturation. Also, large differences in the temperature required for the change from vRNA to vRNA' were seen with alterations in NaCl concentration. These experiments demonstrate that the vRNA of MLV is held in a specific conformation by hydrogen bonds distributed over a large part of the molecule. The possibility that an undefined factor is associated with viral RNA is discussed.",PMC375894,,,,
4309850,NLM,MEDLINE,19691127,20091111,,8,,1968,Inhibitory effect of statolon on murine leukemia and sarcoma viruses in cell culture.,190-3,"['Rhim, J S', 'Huebner, R J', 'Gisin, S']","['Rhim JS', 'Huebner RJ', 'Gisin S']",['eng'],['Journal Article'],,United States,Antimicrob Agents Chemother (Bethesda),Antimicrobial agents and chemotherapy,0116415,IM,"['Animals', 'Avian Sarcoma Viruses/drug effects', 'Culture Techniques', 'Embryo, Mammalian', 'Friend murine leukemia virus/drug effects', 'Leukemia Virus, Murine/*drug effects', 'Mice', 'Polysaccharides/*pharmacology']",,1968/01/01 00:00,1968/01/01 00:01,['1968/01/01 00:00'],"['1968/01/01 00:00 [pubmed]', '1968/01/01 00:01 [medline]', '1968/01/01 00:00 [entrez]']",ppublish,Antimicrob Agents Chemother (Bethesda). 1968;8:190-3.,['0 (Polysaccharides)'],,,,,,,
4309837,NLM,MEDLINE,19691126,20151119,0028-2685 (Print) 0028-2685 (Linking),16,2,1969,Morphology of ascites sarcoma RAB I of the mouse.,195-204,"['Fritsch, S', 'Heinecke, H', 'Jungstand, W']","['Fritsch S', 'Heinecke H', 'Jungstand W']",['eng'],['Journal Article'],,Slovakia,Neoplasma,Neoplasma,0377266,IM,"['Animals', 'Bone Marrow/pathology', 'Diet', 'Injections, Intraperitoneal', 'Injections, Intravenous', 'Leukemia Virus, Murine/isolation & purification', 'Leukemia, Experimental/pathology', 'Liver Neoplasms/pathology', 'Lymphatic Metastasis/pathology', 'Lymphoma, Large B-Cell, Diffuse/*pathology', 'Mice', 'Mitosis', 'Neoplasm Transplantation', 'Sarcoma, Experimental/blood/microbiology/*pathology', 'Sodium Chloride', 'Splenic Neoplasms/pathology', 'Thymus Neoplasms/pathology']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Neoplasma. 1969;16(2):195-204.,['451W47IQ8X (Sodium Chloride)'],,,,,,,
4309836,NLM,MEDLINE,19691126,20190617,0028-0836 (Print) 0028-0836 (Linking),224,5214,1969 Oct 4,Time cycle for intracellular synthesis of mirine leukaemia virus.,77-8,"['Okano, H', 'Rich, M A']","['Okano H', 'Rich MA']",['eng'],['Journal Article'],,England,Nature,Nature,0410462,IM,"['Animals', 'Autoradiography', 'Culture Techniques', 'Fibroblasts', 'Leukemia Virus, Murine/*metabolism', 'Mice', 'Microscopy, Electron', 'RNA, Viral/*biosynthesis', '*Time', 'Tritium', 'Uridine/metabolism', 'Virus Cultivation']",,1969/10/04 00:00,1969/10/04 00:01,['1969/10/04 00:00'],"['1969/10/04 00:00 [pubmed]', '1969/10/04 00:01 [medline]', '1969/10/04 00:00 [entrez]']",ppublish,Nature. 1969 Oct 4;224(5214):77-8. doi: 10.1038/224077a0.,"['0 (RNA, Viral)', '10028-17-8 (Tritium)', 'WHI7HQ7H85 (Uridine)']",['10.1038/224077a0 [doi]'],,,,,,
4309827,NLM,MEDLINE,19691126,20190609,0006-3002 (Print) 0006-3002 (Linking),190,1,1969 Sep 17,Altered transfer RNA methylase patterns induced by an avian oncogenic virus.,38-51,"['Hacker, B', 'Mandel, L R']","['Hacker B', 'Mandel LR']",['eng'],['Journal Article'],,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,IM,"['Animals', '*Avian Leukosis Virus', 'Carbon Isotopes', 'Cell Transformation, Neoplastic', 'Chickens', 'Chromatography, Ion Exchange', 'Chromatography, Paper', 'Deoxyribonucleases', 'Enzyme Induction', 'Escherichia coli', 'Leukemia, Experimental/*enzymology', 'Liver/*enzymology', 'Methionine/metabolism', 'Nucleosides/biosynthesis', 'RNA, Bacterial', 'RNA, Transfer', 'Spleen/*enzymology', 'Transferases/*metabolism']",,1969/09/17 00:00,1969/09/17 00:01,['1969/09/17 00:00'],"['1969/09/17 00:00 [pubmed]', '1969/09/17 00:01 [medline]', '1969/09/17 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1969 Sep 17;190(1):38-51. doi: 10.1016/0005-2787(69)90152-x.,"['0 (Carbon Isotopes)', '0 (Nucleosides)', '0 (RNA, Bacterial)', '9014-25-9 (RNA, Transfer)', 'AE28F7PNPL (Methionine)', 'EC 2.- (Transferases)', 'EC 3.1.- (Deoxyribonucleases)']","['0005-2787(69)90152-X [pii]', '10.1016/0005-2787(69)90152-x [doi]']",,,,,,
4309795,NLM,MEDLINE,19691126,20151119,0008-5472 (Print) 0008-5472 (Linking),29,9,1969 Sep,Influence of toyocamycin on RNA synthesis in chick embryo cells noninfected and infected with strain MC29 avian leukosis virus.,1707-16,"['Riman, J', 'Sverak, L', 'Langlois, A J', 'Bonar, R A', 'Beard, J W']","['Riman J', 'Sverak L', 'Langlois AJ', 'Bonar RA', 'Beard JW']",['eng'],['Journal Article'],,United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Antibiotics, Antineoplastic/*pharmacology/therapeutic use', 'Avian Leukosis/*metabolism/pathology', 'Avian Leukosis Virus', 'Centrifugation, Density Gradient', 'Chick Embryo', 'Fibroblasts/metabolism', 'In Vitro Techniques', 'RNA, Neoplasm/biosynthesis', 'RNA, Viral/*biosynthesis', 'Ribosomes/metabolism']",,1969/09/01 00:00,1969/09/01 00:01,['1969/09/01 00:00'],"['1969/09/01 00:00 [pubmed]', '1969/09/01 00:01 [medline]', '1969/09/01 00:00 [entrez]']",ppublish,Cancer Res. 1969 Sep;29(9):1707-16.,"['0 (Antibiotics, Antineoplastic)', '0 (RNA, Neoplasm)', '0 (RNA, Viral)']",,,,,,,
4309768,NLM,MEDLINE,19691105,20041117,0039-2073 (Print) 0039-2073 (Linking),137,4,1969 Apr,[To which extent ar x-rays responsible for the development of malignant diseases in children? II. Ossification disorders of the hand bones in leukemic children].,442-50,"['Gefferth, K']",['Gefferth K'],['ger'],['Journal Article'],In welchem Masse sind Rontgenstrahlen fur die Entstehung bosartiger Erkrankungen im Kindesalter verantwortlich? II. Verknocherungsst-orungen an den Handknoche leukamischer Kinder.,Germany,Strahlentherapie,Strahlentherapie,1260024,IM,"['Adolescent', 'Age Determination by Skeleton', 'Child', 'Child, Preschool', 'Female', 'Fetal Diseases/etiology', 'Fetus/radiation effects', 'Fingers', '*Hand', 'Humans', 'Infant', 'Leukemia/*complications/etiology', 'Male', 'Maternal-Fetal Exchange', 'Metacarpus', 'Ossification, Heterotopic/*complications', 'Pelvimetry/adverse effects', 'Pregnancy', 'Radiography/adverse effects']",,1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Strahlentherapie. 1969 Apr;137(4):442-50.,,,,,,,,
4309695,NLM,MEDLINE,19691105,20190619,0008-543X (Print) 0008-543X (Linking),24,4,1969 Oct,Development of myeloblastoma with massive breast and ovarian involvement during remission in acute leukemia.,746-9,"['Gralnick, H R', 'Dittmar, K']","['Gralnick HR', 'Dittmar K']",['eng'],['Journal Article'],,United States,Cancer,Cancer,0374236,IM,"['Adolescent', 'Breast Neoplasms/*pathology', 'Facial Paralysis/chemically induced', 'Female', 'Humans', 'Leukemia, Myeloid/*pathology', 'Leukemia, Myeloid, Acute/*pathology', 'Neoplasm Metastasis', '*Neoplasms, Multiple Primary', 'Neoplasms, Muscle Tissue/*pathology', 'Ovarian Neoplasms/*pathology', 'Pigments, Biological', 'Uterine Neoplasms/*pathology', 'Vincristine/adverse effects']",,1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",ppublish,Cancer. 1969 Oct;24(4):746-9. doi: 10.1002/1097-0142(196910)24:4<746::aid-cncr2820240413>3.0.co;2-x.,"['0 (Pigments, Biological)', '5J49Q6B70F (Vincristine)']",['10.1002/1097-0142(196910)24:4<746::aid-cncr2820240413>3.0.co;2-x [doi]'],,,,,,
4309683,NLM,MEDLINE,19691105,20131121,0006-4971 (Print) 0006-4971 (Linking),34,4,1969 Oct,Immunofluorescence studies in human leukemia.,431-40,"['Bates, H A', 'Bankole, R O', 'Swaim, W R']","['Bates HA', 'Bankole RO', 'Swaim WR']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,IM,"['Absorption', 'Antibodies, Anti-Idiotypic/analysis', 'Busulfan/therapeutic use', '*Fluorescent Antibody Technique', 'Hodgkin Disease/immunology', 'Humans', 'Immune Sera/analysis', 'Leukemia/*immunology', 'Leukemia Virus, Murine/immunology', 'Leukemia, Lymphoid/immunology', 'Leukemia, Myeloid/drug therapy/immunology', 'Leukemia, Myeloid, Acute/immunology', 'Liver/immunology', 'Lymphoma/radiotherapy', 'Multiple Myeloma/immunology', 'Spleen/immunology']",,1969/10/01 00:00,1969/10/01 00:01,['1969/10/01 00:00'],"['1969/10/01 00:00 [pubmed]', '1969/10/01 00:01 [medline]', '1969/10/01 00:00 [entrez]']",ppublish,Blood. 1969 Oct;34(4):431-40.,"['0 (Antibodies, Anti-Idiotypic)', '0 (Immune Sera)', 'G1LN9045DK (Busulfan)']",,,,,,,
4309648,NLM,MEDLINE,19691105,20051117,0021-1699 (Print) 0021-1699 (Linking),23,6,1969 Jun,[Treatment of malignant cancer in children].,721-34,"['Hanawa, Y', 'Ise, T']","['Hanawa Y', 'Ise T']",['jpn'],['Journal Article'],,Japan,Iryo,Iryo,0413672,IM,"['Adolescent', 'Carcinoma, Hepatocellular/therapy', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia/therapy', 'Liver Neoplasms', 'Lymphoma/therapy', 'Male', 'Neoplasm Metastasis', 'Neoplasms/*therapy', 'Neuroblastoma/therapy', 'Prognosis', 'Wilms Tumor/therapy']",,1969/06/01 00:00,1969/06/01 00:01,['1969/06/01 00:00'],"['1969/06/01 00:00 [pubmed]', '1969/06/01 00:01 [medline]', '1969/06/01 00:00 [entrez]']",ppublish,Iryo. 1969 Jun;23(6):721-34.,,,,,,,,
4309615,NLM,MEDLINE,19691104,20031114,0027-8874 (Print) 0027-8874 (Linking),43,3,1969 Sep,Malignant lymphomas of extrathymic origin induced in rats by murine erythroblastosis virus.,735-46,"['Kirsten, W H', 'Mayer, L A']","['Kirsten WH', 'Mayer LA']",['eng'],['Journal Article'],,United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Adrenal Glands/pathology', 'Adrenal Medulla/pathology', 'Age Factors', 'Animals', 'Bone Marrow Diseases/pathology', 'Bone and Bones/pathology', 'Cerebral Hemorrhage/etiology', 'Injections, Intraperitoneal', 'Injections, Intravenous', 'Kidney/pathology', 'Leukemia Virus, Murine/*pathogenicity', 'Leukemia, Experimental/etiology/pathology', 'Liver/pathology', 'Lymph Nodes/pathology', 'Lymphoma/*etiology/pathology', 'Mediastinum/pathology', 'Neoplasm Transplantation', 'Pancreas/pathology', 'Rats', 'Sarcoma, Experimental/etiology', 'Species Specificity', 'Spleen/pathology', 'Thymus Gland/cytology']",,1969/09/01 00:00,1969/09/01 00:01,['1969/09/01 00:00'],"['1969/09/01 00:00 [pubmed]', '1969/09/01 00:01 [medline]', '1969/09/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1969 Sep;43(3):735-46.,,,,,,,,
4309541,NLM,MEDLINE,19691103,20031114,0001-4192 (Print) 0001-4192 (Linking),40,4,1967 Apr,[Virus-like bodies in cells of lymphosarcoma of dog].,211-4,"['Seman, G', 'Proenca, G', 'Guillon, J C', 'Moraillon, R']","['Seman G', 'Proenca G', 'Guillon JC', 'Moraillon R']",['fre'],['Journal Article'],Particles d'aspect viral dans les cellules du lymphosarcome du chien.,France,Bull Acad Vet Fr,Bulletin de l'Academie veterinaire de France,7503384,IM,"['Animals', 'Dog Diseases/*pathology', 'Dogs', 'Leukemia Virus, Murine/*isolation & purification', 'Lymphoma, Non-Hodgkin/microbiology/pathology/*veterinary']",,1967/04/01 00:00,1967/04/01 00:01,['1967/04/01 00:00'],"['1967/04/01 00:00 [pubmed]', '1967/04/01 00:01 [medline]', '1967/04/01 00:00 [entrez]']",ppublish,Bull Acad Vet Fr. 1967 Apr;40(4):211-4.,,,,,,,,
4309518,NLM,MEDLINE,19691031,20031114,0370-8241 (Print) 0370-8241 (Linking),24,5,1969 May,"[Suppression of proliferation of transplantable tumors induced by Friend virus in rats, with special reference to alloplasia of the tumor cells by virus infections].",1118-23,"['Sendo, F', 'Kachi, H', 'Shirai, T', 'Kodama, T', 'Kobayashi, H']","['Sendo F', 'Kachi H', 'Shirai T', 'Kodama T', 'Kobayashi H']",['jpn'],['Journal Article'],,Japan,Saishin Igaku,Saishin igaku. Modern medicine,0413561,IM,"['Animals', 'Cobalt Isotopes', 'Female', 'Fluorescent Antibody Technique', '*Friend murine leukemia virus/immunology', 'Leukemia Virus, Murine', 'Microscopy, Electron', 'Neoplasm Transplantation', 'Neoplasms', '*Neoplasms, Experimental/immunology/pathology', 'Radiation Effects', 'Rats', 'Sarcoma, Experimental', 'Time Factors', '*Virus Diseases']",,1969/05/01 00:00,1969/05/01 00:01,['1969/05/01 00:00'],"['1969/05/01 00:00 [pubmed]', '1969/05/01 00:01 [medline]', '1969/05/01 00:00 [entrez]']",ppublish,Saishin Igaku. 1969 May;24(5):1118-23.,['0 (Cobalt Isotopes)'],,,,,,,
4309499,NLM,MEDLINE,19691031,20151119,0005-2086 (Print) 0005-2086 (Linking),13,3,1969 Aug,Studies on acute marek's disease. XI. propagation of the GA isolate of marek's disease in tissue culture.,636-53,"['Eidson, C S', 'Richey, D J', 'Schmittle, S C']","['Eidson CS', 'Richey DJ', 'Schmittle SC']",['eng'],['Journal Article'],,United States,Avian Dis,Avian diseases,0370617,IM,"['Animals', '*Avian Leukosis', 'Avian Leukosis Virus/*growth & development', 'Culture Techniques', 'Kidney', 'Virus Cultivation']",,1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,Avian Dis. 1969 Aug;13(3):636-53.,,,,,,,,
4309407,NLM,MEDLINE,19691030,20041117,0507-3758 (Print) 0507-3758 (Linking),15,7,1969,[Isolation of cytomegalovirus from children with various forms of malignant neoplasms].,54-8,"['Gavrilov, V I', 'Demidova, S A', 'Semenova, E I']","['Gavrilov VI', 'Demidova SA', 'Semenova EI']",['rus'],['Journal Article'],"Vydelenie tsitomegalovirusa ot detei, bol'nykh nekotrymi formami zlokachestvennykh novoobrazovanii.",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Child', 'Child, Preschool', 'Complement Fixation Tests', 'Cytomegalovirus/*isolation & purification', 'Cytomegalovirus Infections/*complications/diagnosis', 'Humans', 'Infant', 'Leukemia/*complications', 'Methods', 'Neoplasms/blood/*complications/microbiology/urine', 'Respiratory Tract Infections/microbiology', 'Saliva/microbiology']",,1969/01/01 00:00,1969/01/01 00:01,['1969/01/01 00:00'],"['1969/01/01 00:00 [pubmed]', '1969/01/01 00:01 [medline]', '1969/01/01 00:00 [entrez]']",ppublish,Vopr Onkol. 1969;15(7):54-8.,,,,,,,,
4309388,NLM,MEDLINE,19691030,20141003,0016-450X (Print) 0016-450X (Linking),60,2,1969 Apr,Interference of leukemogenesis by mammary tumorigenesis in a colony of AKR mice.,227-30,"['Shisa, H', 'Nishizuka, Y', 'Sakakura, T', 'Miyawaki, H', 'Nakakuki, K']","['Shisa H', 'Nishizuka Y', 'Sakakura T', 'Miyawaki H', 'Nakakuki K']",['eng'],['Journal Article'],,Japan,Gan,Gan,0151745,IM,"['Animals', 'Breeding', 'Castration', 'Cell-Free System', 'Female', 'Leukemia Virus, Murine', 'Leukemia, Experimental/*complications/etiology', 'Male', 'Mammary Neoplasms, Experimental/*complications', 'Mice']",,1969/04/01 00:00,1969/04/01 00:01,['1969/04/01 00:00'],"['1969/04/01 00:00 [pubmed]', '1969/04/01 00:01 [medline]', '1969/04/01 00:00 [entrez]']",ppublish,Gan. 1969 Apr;60(2):227-30.,,,,,,,,
4309339,NLM,MEDLINE,19691027,20131121,0033-6890 (Print) 0033-6890 (Linking),6,4,1969 Aug,Measurement of reticuloendothelial system phagocytosis and catabolism: a new method.,333-43,"['Cohen, M H', 'Carbone, P P']","['Cohen MH', 'Carbone PP']",['eng'],['Journal Article'],,United States,J Reticuloendothel Soc,Journal of the Reticuloendothelial Society,0206462,IM,"['Chemical Precipitation', 'Chromatography', 'Hodgkin Disease/metabolism', 'Humans', 'Iodine/metabolism', 'Leukemia, Myeloid/metabolism', 'Lymphoma, Non-Hodgkin/metabolism', '*Metabolic Clearance Rate', 'Methods', 'Mononuclear Phagocyte System/*metabolism', 'Perchlorates', '*Phagocytosis', 'Serum Albumin, Radio-Iodinated/metabolism', 'Spectrophotometry']",,1969/08/01 00:00,1969/08/01 00:01,['1969/08/01 00:00'],"['1969/08/01 00:00 [pubmed]', '1969/08/01 00:01 [medline]', '1969/08/01 00:00 [entrez]']",ppublish,J Reticuloendothel Soc. 1969 Aug;6(4):333-43.,"['0 (Perchlorates)', '0 (Serum Albumin, Radio-Iodinated)', '9679TC07X4 (Iodine)']",,,,,,,
