PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,CON,GR,CI,MID,CN,TT,CIN,OID,SI,EIN,IR,FIR,COIS,RIN
21978949,NLM,MEDLINE,20120426,20111017,1464-3391 (Electronic) 0968-0896 (Linking),19,21,2011 Nov 1,"3,4-Disubstituted oxazolidin-2-ones as constrained ceramide analogs with anticancer activities.",6174-81,10.1016/j.bmc.2011.09.022 [doi],"Heterocyclic analogs of ceramide as 3-alkanoyl or benzoyl-4-(1-hydroxy-2-enyl)-oxazolidin-2-ones were designed by binding of primary alcohol and amide in sphinogosine backbone as a carbamate. They were synthesized by addition of acyl halide to the common ring 4-(1-t-butyldimethylsilyloxyhexadec-2-enyl)-oxazolidin-2-one which was elaborated from chiral aziridine-2-carboxylate including stereoselective reduction and ring opening reactions as key steps. Other analogs with different carbon frame at C4 position which is corresponding to the sphingoid backbone were prepared from 3-cyclopentanecarbonyl-4-(1-t-butyldimethylsilyloxybut-2-enyl)-oxazolidin-2-one and straight and cyclic alkenes by cross metathesis. All compounds were tested as antileukemic drugs against human leukemia HL-60 cells. Many of them including propionyl, cyclopentanoyl and p-nitrobenzoyl-4-(1-hydroxyhexadec-2-enyl)-oxazolidin-2-ones showed better antileukemic activities than natural C2-ceramide with good correlation between cell death and DNA fragmentation. There is a drastic change of the activities by the carbon chain lengths at C4 position. Cytotoxicity was induced by caspase activation without significant accumulation of endogenous ceramide concentration or any perturbation of ceramide metabolism.","['Singh, Alok', 'Ha, Hyun-Joon', 'Park, Jungchan', 'Kim, Jun Hee', 'Lee, Won Koo']","['Singh A', 'Ha HJ', 'Park J', 'Kim JH', 'Lee WK']","['Department of Chemistry, Hankuk University of Foreign Studies, Yongin 449-791, Republic of Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20110916,England,Bioorg Med Chem,Bioorganic & medicinal chemistry,9413298,"['0 (Antineoplastic Agents)', '0 (Aziridines)', '0 (Ceramides)', '0 (Oxazolidinones)', '54080-06-7 (aziridine-2-carboxylic acid)']",IM,"['Antineoplastic Agents/*chemical synthesis/chemistry/pharmacology', 'Apoptosis/drug effects', 'Aziridines/*chemistry', 'Cell Survival/drug effects', 'Ceramides/*chemical synthesis/chemistry/*pharmacology', 'DNA Fragmentation/drug effects', 'HL-60 Cells', 'Humans', 'Leukemia/*drug therapy/pathology', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Oxazolidinones/*chemical synthesis/chemistry/*pharmacology', 'Spectrometry, Mass, Electrospray Ionization', 'Structure-Activity Relationship']",,2011/10/08 06:00,2012/04/27 06:00,['2011/10/08 06:00'],"['2011/08/09 00:00 [received]', '2011/09/09 00:00 [revised]', '2011/09/10 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/04/27 06:00 [medline]']","['S0968-0896(11)00744-9 [pii]', '10.1016/j.bmc.2011.09.022 [doi]']",ppublish,Bioorg Med Chem. 2011 Nov 1;19(21):6174-81. doi: 10.1016/j.bmc.2011.09.022. Epub 2011 Sep 16.,,,,,['Copyright (c) 2011 Elsevier Ltd. All rights reserved.'],,,,,,,,,,,
21978918,NLM,MEDLINE,20120612,20201222,1879-1484 (Electronic) 0021-9150 (Linking),221,1,2012 Mar,The use of THP-1 cells as a model for mimicking the function and regulation of monocytes and macrophages in the vasculature.,2-11,10.1016/j.atherosclerosis.2011.09.003 [doi],"Since their establishment thirty years ago, THP-1 cells have become one of most widely used cell lines to investigate the function and regulation of monocytes and macrophages in the cardiovascular system. However, because this cell line was derived from the blood of a patient with acute monocytic leukemia, the extent to which THP-1 cells mimic monocytes and macrophages in the vasculature is not entirely known. This article serves as a meaningful attempt to address this question by reviewing the recent publications. The interactions between THP-1 cells and various vascular cells (such as endothelial cells, smooth muscle cells, adipocytes, and T cells) provide insight into the roles of the interconnection of monocytes-macrophages with other vascular cells during vascular inflammation, particularly atherogenesis and obesity. Transcriptome, microRNA profile, and histone modifications of THP-1 cells shed new light on the regulatory mechanism of the monocytes-macrophages in response to various inflammatory mediators, such as oxidized low density lipoprotein, lipopolysaccharide, and glucose. These studies hint that under certain defined conditions, THP-1 cells not only resemble primary monocytes-macrophages isolated from healthy donors or donors with disease, such as diabetes mellitus, but also mimic the in situ alteration of macrophages in the adipose tissue of obese subjects and in atherosclerotic lesions. A potential trajectory is to use this cell line to study the novel molecular mechanisms in monocytes and macrophages in relation to the physiology and pathophysiology of the cardiovascular system, however, the conclusion of studies employing THP-1 cells requires further verification using primary cells and/or in vivo models to be generalized to monocytes and macrophages.","['Qin, Zhenyu']",['Qin Z'],"['Division of Vascular Surgery, Department of Surgery, University of Texas Health Science Center at San Antonio, 7703 Floyd Curl Drive, San Antonio, TX 78229, United States. qinz@uthscsa.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20110909,Ireland,Atherosclerosis,Atherosclerosis,0242543,['0 (MicroRNAs)'],IM,"['Adipocytes/pathology', 'Blood Platelets/pathology', 'Blood Vessels/metabolism/*pathology', 'Cell Communication', 'Cell Line, Tumor', 'Endothelial Cells/pathology', 'Epigenesis, Genetic', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, Monocytic, Acute/genetics/metabolism/*pathology', 'Macrophages/metabolism/*pathology', 'MicroRNAs/metabolism', 'Monocytes/metabolism/*pathology', 'Myocytes, Smooth Muscle/pathology', 'T-Lymphocytes/pathology', 'Vascular Diseases/genetics/metabolism/*pathology']",,2011/10/08 06:00,2012/06/13 06:00,['2011/10/08 06:00'],"['2011/04/29 00:00 [received]', '2011/08/16 00:00 [revised]', '2011/09/01 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/06/13 06:00 [medline]']","['S0021-9150(11)00859-8 [pii]', '10.1016/j.atherosclerosis.2011.09.003 [doi]']",ppublish,Atherosclerosis. 2012 Mar;221(1):2-11. doi: 10.1016/j.atherosclerosis.2011.09.003. Epub 2011 Sep 9.,,,,,['Copyright A(c) 2011 Elsevier Ireland Ltd. All rights reserved.'],,,,,,,,,,,
21978843,NLM,MEDLINE,20120207,20111031,1878-4380 (Electronic) 0966-842X (Linking),19,11,2011 Nov,Xenotropic murine leukaemia virus-related virus (XMRV) does not cause chronic fatigue.,525-9,10.1016/j.tim.2011.08.005 [doi],"The xenotropic murine leukaemia virus-related virus (XMRV), a gammaretrovirus, was discovered in prostate cancer tumours by Virochip technology in 2006. It was subsequently detected in chronic fatigue patients in 2009. The association between XMRV and chronic fatigue has proved to be controversial. No study has confirmed these findings and many have refuted them. Here, we present the evidence for our contention that XMRV is not a human pathogen.","['Robinson, Mark J', 'Erlwein, Otto', 'McClure, Myra O']","['Robinson MJ', 'Erlwein O', 'McClure MO']","[""Section of Infectious Diseases, Jefferiss Research Trust Laboratories, Imperial College London, St Mary's Campus, London, W2 1PG, UK.""]",['eng'],['Journal Article'],20111004,England,Trends Microbiol,Trends in microbiology,9310916,,IM,"['Fatigue Syndrome, Chronic/*etiology/virology', 'Humans', 'Xenotropic murine leukemia virus-related virus/genetics/isolation & purification/*physiology']",,2011/10/08 06:00,2012/02/09 06:00,['2011/10/08 06:00'],"['2011/07/01 00:00 [received]', '2011/08/18 00:00 [revised]', '2011/08/31 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/02/09 06:00 [medline]']","['S0966-842X(11)00163-6 [pii]', '10.1016/j.tim.2011.08.005 [doi]']",ppublish,Trends Microbiol. 2011 Nov;19(11):525-9. doi: 10.1016/j.tim.2011.08.005. Epub 2011 Oct 4.,,,,,['Copyright (c) 2011 Elsevier Ltd. All rights reserved.'],,,,,,,,,,,
21978786,NLM,MEDLINE,20111214,20171116,1879-0631 (Electronic) 0024-3205 (Linking),89,21-22,2011 Nov 21,Aloe-emodin as antiproliferative and differentiating agent on human U937 monoblastic leukemia cells.,812-20,10.1016/j.lfs.2011.09.008 [doi],"AIMS: Aloe-emodin (AE), a plant derived anthraquinone, has been shown to have anticancer activity in various human cancer cell lines. We have recently reported that AE possesses a differentiative potential on melanoma cells. The purpose of this study was to investigate the possible modulation of defined markers of monocytic differentiation of AE on human U937 cell line. MAIN METHODS: U937 cells differentiation has been confirmed unequivocally by Griess and nitroblue tetrazolium reduction assays, protoporphyrin IX accumulation, expression of CD14 and CD11b surface antigens, phagocytic activity, migration and attachment ability. The effect on polyamine metabolism, apoptosis and cytokine production was also investigated. KEY FINDINGS: We showed that AE-treated U937 cells exhibit a noticeably rise in transglutaminase activity. This enhanced enzyme activity correlates with AE-induced growth arrest and differentiation to functionally mature monocytes. SIGNIFICANCE: Taken together, the results reported here show that AE can promote the macrophage differentiation of U937 cells, suggesting that this anthraquinone could be a potential candidate as a differentiation-inducing selective agent for therapeutic treatment of leukemia.","['Tabolacci, Claudio', 'Oliverio, Serafina', 'Lentini, Alessandro', 'Rossi, Stefania', 'Galbiati, Alice', 'Montesano, Carla', 'Mattioli, Palma', 'Provenzano, Bruno', 'Facchiano, Francesco', 'Beninati, Simone']","['Tabolacci C', 'Oliverio S', 'Lentini A', 'Rossi S', 'Galbiati A', 'Montesano C', 'Mattioli P', 'Provenzano B', 'Facchiano F', 'Beninati S']","['Department of Biology, University of Rome ""Tor Vergata"", Via della Ricerca Scientifica, 00133 Rome, Italy.']",['eng'],['Journal Article'],20110924,Netherlands,Life Sci,Life sciences,0375521,"['0 (Anthraquinones)', '0 (Biogenic Polyamines)', '0 (CD11b Antigen)', '0 (Cytokines)', '0 (Enzyme Inhibitors)', '0 (Indicators and Reagents)', '0 (Lipopolysaccharide Receptors)', '0 (Nitrites)', '0 (Protoporphyrins)', '298-83-9 (Nitroblue Tetrazolium)', '31C4KY9ESH (Nitric Oxide)', 'C2K325S808 (protoporphyrin IX)', 'C8IYT9CR7C (aloe emodin)', 'EC 1.5.- (Oxidoreductases Acting on CH-NH Group Donors)', 'EC 1.5.3.- (polyamine oxidase)', 'EC 2.3.2.13 (Transglutaminases)', 'EC 4.1.1.17 (Ornithine Decarboxylase)']",IM,"['Anthraquinones/*pharmacology', 'Apoptosis/drug effects', 'Biogenic Polyamines/metabolism', 'CD11b Antigen/metabolism', 'Cell Adhesion/drug effects', 'Cell Differentiation/*drug effects', 'Cell Movement/drug effects', 'Cell Proliferation/*drug effects', 'Cytokines/metabolism', 'Enzyme Inhibitors/*pharmacology', 'Humans', 'Indicators and Reagents', 'Lipopolysaccharide Receptors/metabolism', 'Macrophages/drug effects', 'Nitric Oxide/metabolism', 'Nitrites/metabolism', 'Nitroblue Tetrazolium', 'Ornithine Decarboxylase/metabolism', 'Oxidoreductases Acting on CH-NH Group Donors/metabolism', 'Phagocytosis/drug effects', 'Protoporphyrins/metabolism', 'Transglutaminases/metabolism', 'Transport Vesicles/physiology', 'U937 Cells']",,2011/10/08 06:00,2011/12/15 06:00,['2011/10/08 06:00'],"['2011/05/10 00:00 [received]', '2011/08/02 00:00 [revised]', '2011/09/01 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2011/12/15 06:00 [medline]']","['S0024-3205(11)00450-4 [pii]', '10.1016/j.lfs.2011.09.008 [doi]']",ppublish,Life Sci. 2011 Nov 21;89(21-22):812-20. doi: 10.1016/j.lfs.2011.09.008. Epub 2011 Sep 24.,,,,,['Copyright A(c) 2011 Elsevier Inc. All rights reserved.'],,,,,,,,,,,
21978702,NLM,MEDLINE,20111202,20170214,0394-6320 (Print) 0394-6320 (Linking),24,3,2011 Jul-Sep,Combination treatment of flag with non-pegylated liposomal doxorubicin (MYOCET(TM)) in elderly patients with acute myeloid leukemia: a single center experience.,703-9,,"The incidence of acute myeloid leukemia (AML) increases with age, but results of intensive chemotherapy in elderly patients are disappointing. Non-pegylated liposomal formulations of doxorubicin (Myocet) have been developed with the aim of reducing systemic and cardiac toxicity especially in the elderly. We evaluated the efficacy and toxicity profiles of fludarabine, cytarabine and granulocyte colony-stimulating factor (FLAG) regimen given in association with Myocet in 35 patients with AML, median age 69 years (range 61-83 years). Nineteen (54.3%) had newly-diagnosed AML, twelve (34.3%) patients had secondary AML (ten with Myelodisplastic Syndrome, two with Primary Myelofibrosis) and 4 (11.4%) patients had had a late relapse (>12 months) of AML. Complete remission (CR) and partial remission (PR) were obtained in twenty-two (63%) and 3 (8.5%) patients, respectively. Seven (20%) patients showed a resistant disease. There were 3 early deaths (8.5%). Six patients (17%) experienced severe cardiovascular toxicity. The median overall survival (OS) was 12 months (range 1-52 months) with a median disease-free survival (DFS) of 20 months (range 1-48 months). One-year and two-year DFS were 78.9% and 26.7%, respectively. This study demonstrates that in elderly patients with AML, FLAG-Myocet combination shows promising efficacy response with acceptable toxicity, enabling most patients to receive further treatments, including transplantation procedures.","['Melillo, Lorella', 'Valente, D', ""D'Arena, G"", ""Dell'Olio, M"", 'Falcone, A', 'Minervini, M M', 'Nobile, M', 'Rossi, G', 'Sanpaolo, G', 'Scalzulli, P R', 'Cascavilla, N']","['Melillo L', 'Valente D', ""D'Arena G"", ""Dell'Olio M"", 'Falcone A', 'Minervini MM', 'Nobile M', 'Rossi G', 'Sanpaolo G', 'Scalzulli PR', 'Cascavilla N']","['Hematology and Stem Cell Transplantation Unit, IRCCS, Casa Sollievo della Sofferenza Hospital, San Giovanni Rotondo, Italy. l.melillo@operapadrepio.it']",['eng'],['Journal Article'],,England,Int J Immunopathol Pharmacol,International journal of immunopathology and pharmacology,8911335,"['0 (Antibiotics, Antineoplastic)', '04079A1RDZ (Cytarabine)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '80168379AG (Doxorubicin)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Aged', 'Aged, 80 and over', 'Antibiotics, Antineoplastic/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Disease-Free Survival', 'Doxorubicin/administration & dosage', 'Female', 'Granulocyte Colony-Stimulating Factor', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/pathology', 'Male', 'Middle Aged', 'Survival Analysis', 'Vidarabine/administration & dosage/analogs & derivatives']",,2011/10/08 06:00,2011/12/13 00:00,['2011/10/08 06:00'],"['2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2011/12/13 00:00 [medline]']","['16 [pii]', '10.1177/039463201102400316 [doi]']",ppublish,Int J Immunopathol Pharmacol. 2011 Jul-Sep;24(3):703-9. doi: 10.1177/039463201102400316.,,,,,,,,,,,,,,,,
21978541,NLM,MEDLINE,20120123,20211020,1748-717X (Electronic) 1748-717X (Linking),6,,2011 Oct 6,Mitochondrial DNA alterations of peripheral lymphocytes in acute lymphoblastic leukemia patients undergoing total body irradiation therapy.,133,10.1186/1748-717X-6-133 [doi],"BACKGROUND: Mitochondrial DNA (mtDNA) alterations, including mtDNA copy number and mtDNA 4977 bp common deletion (CD), are key indicators of irradiation-induced damage. The relationship between total body irradiation (TBI) treatment and mtDNA alterations in vivo, however, has not been postulated yet. The aim of this study is to analyze mtDNA alterations in irradiated human peripheral lymphocytes from acute lymphoblastic leukemia (ALL) patients as well as to take them as predictors for radiation toxicity. METHODS: Peripheral blood lymphocytes were isolated from 26 ALL patients 24 hours after TBI preconditioning (4.5 and 9 Gy, respectively). Extracted DNA was analyzed by real-time PCR method. RESULTS: Average 2.31 times mtDNA and 0.53 fold CD levels were observed after 4.5 Gy exposure compared to their basal levels. 9 Gy TBI produced a greater response of both mtDNA and CD levels than 4.5 Gy. Significant inverse correlation was found between mtDNA content and CD level at 4.5 and 9 Gy (P = 0.037 and 0.048). Moreover, mtDNA content of lymphocytes without irradiation was found to be correlated to age. CONCLUSIONS: mtDNA and CD content may be considered as predictive factors to radiation toxicity.","['Wen, Quan', 'Hu, Yide', 'Ji, Fuyun', 'Qian, Guisheng']","['Wen Q', 'Hu Y', 'Ji F', 'Qian G']","['Third Department of Oncology, The second affiliated hospital, Third Military Medical University, Chongqing 400037, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111006,England,Radiat Oncol,"Radiation oncology (London, England)",101265111,"['0 (DNA, Mitochondrial)']",IM,"['Adolescent', 'Adult', 'DNA, Mitochondrial/*genetics', 'Female', 'Humans', 'Lymphocytes/*cytology/*radiation effects', 'Male', 'Middle Aged', 'Oxidative Stress', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/*radiotherapy', 'Real-Time Polymerase Chain Reaction/methods', 'Remission Induction', 'Time Factors', 'Treatment Outcome', 'Whole-Body Irradiation']",PMC3198693,2011/10/08 06:00,2012/01/24 06:00,['2011/10/08 06:00'],"['2011/05/26 00:00 [received]', '2011/10/06 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/01/24 06:00 [medline]']","['1748-717X-6-133 [pii]', '10.1186/1748-717X-6-133 [doi]']",epublish,Radiat Oncol. 2011 Oct 6;6:133. doi: 10.1186/1748-717X-6-133.,,,,,,,,,,,,,,,,
21978469,NLM,MEDLINE,20120201,20181201,1873-5835 (Electronic) 0145-2126 (Linking),36,1,2012 Jan,Clomiphene treatment of acute myeloid leukemia.,27-8,10.1016/j.leukres.2011.09.010 [doi],,"['Stoetzer, Oliver J']",['Stoetzer OJ'],,['eng'],"['Editorial', 'Comment']",20111005,England,Leuk Res,Leukemia research,7706787,['1HRS458QU2 (Clomiphene)'],IM,"['Clomiphene/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male']",,2011/10/08 06:00,2012/02/02 06:00,['2011/10/08 06:00'],"['2011/09/11 00:00 [received]', '2011/09/11 00:00 [revised]', '2011/09/12 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/02/02 06:00 [medline]']","['S0145-2126(11)00433-4 [pii]', '10.1016/j.leukres.2011.09.010 [doi]']",ppublish,Leuk Res. 2012 Jan;36(1):27-8. doi: 10.1016/j.leukres.2011.09.010. Epub 2011 Oct 5.,,,['Leuk Res. 2012 Jan;36(1):42-5. PMID: 21974857'],,,,,,,,,,,,,
21978468,NLM,MEDLINE,20120216,20120102,1873-5835 (Electronic) 0145-2126 (Linking),36,2,2012 Feb,Role of neuropilin-1 and its expression in Egyptian acute myeloid and acute lymphoid leukemia patients.,169-73,10.1016/j.leukres.2011.08.017 [doi],"Neuropilins are expressed in tumors vasculature and cells. Their expression is thought to be correlated with tumor angiogenesis and progression. In this study, we analyzed NRP-1 expression level in 40 acute leukemia patients [20 acute myeloid leukemia (AML) and 20 acute lymphoblastic leukemia (ALL)] and 10 healthy controls using Real-Time Quantitative Reverse-Transcriptase Polymerase Chain Reaction (RTQ-PCR) aiming to show Neuropilin-1 (NRP-1) gene expression pattern in acute leukemia patients and its role in disease severity and progression. NRP-1 was expressed in 80% and 95% of ALL and AML respectively with levels higher in patients than controls and in ALL than AML patients. NRP-1 levels were significantly correlated with blast percentage and complete remission. We conclude that NRP-1 is significantly associated with acute leukemia and that its level might serve as an indicator for disease severity and progression. NRP-1 signaling may represent a novel therapeutic approach for the treatment of acute leukemia subsets.","['Younan, Sarah', 'Elhoseiny, Shereen', 'Hammam, Amira', 'Gawdat, Rania', 'El-Wakil, Mohamed', 'Fawzy, Mohamed']","['Younan S', 'Elhoseiny S', 'Hammam A', 'Gawdat R', 'El-Wakil M', 'Fawzy M']","['Department of Clinical and Chemical Pathology, Kasr El Aini Hospital, Cairo University, El Saraya Street, Infront of El Manial Palace, Cairo 11451, Egypt. younan73sarah@hotmail.com']",['eng'],"['Comparative Study', 'Journal Article']",20111005,England,Leuk Res,Leukemia research,7706787,"['0 (RNA, Messenger)', '144713-63-3 (Neuropilin-1)']",IM,"['Adolescent', 'Adult', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Female', '*Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Neuropilin-1/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'RNA, Messenger/genetics', 'Real-Time Polymerase Chain Reaction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Young Adult']",,2011/10/08 06:00,2012/02/18 06:00,['2011/10/08 06:00'],"['2011/05/10 00:00 [received]', '2011/07/25 00:00 [revised]', '2011/08/18 00:00 [accepted]', '2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/02/18 06:00 [medline]']","['S0145-2126(11)00417-6 [pii]', '10.1016/j.leukres.2011.08.017 [doi]']",ppublish,Leuk Res. 2012 Feb;36(2):169-73. doi: 10.1016/j.leukres.2011.08.017. Epub 2011 Oct 5.,,,,,['Copyright (c) 2011 Elsevier Ltd. All rights reserved.'],,,,,,,,,,,
21978260,NLM,MEDLINE,20120319,20111117,1520-4812 (Electronic) 1043-1802 (Linking),22,11,2011 Nov 16,"Cell-penetrating peptides, PepFects, show no evidence of toxicity and immunogenicity in vitro and in vivo.",2255-62,10.1021/bc200293d [doi],"Cell-penetrating peptide based vehicles have been developed for the delivery of different payloads into the cells in culture and in animals. However, several biological features, among which is the tendency to trigger innate immune response, limit the development of highly efficient peptide-based drug delivery vectors. This study aims to evaluate the influence of transportan 10 (TP10) and its chemically modified derivatives, PepFects (PFs), on the innate immune response of the host system. PFs have shown high efficiency in nucleic acid delivery in vitro and in vivo; hence, the estimation of their possible toxic side effects would be of particular interest. In this study, we analyzed cytotoxic and immunogenic response of PF3, PF4, and PF6 peptides in monocytic leukemia and peripheral blood mononuclear cell lines. In comparison with amphipathic PFs, TP10, TAT, stearyl-(RxR)(4) peptides, and the most widely used transfection reagents Lipofectamine 2000 and Lipofectamine RNAiMAX were also analyzed in this study. IL-1beta, IL-18, and TNF-alpha cytokine release was detected using highly sensitive enzyme-linked immunosorbent assay (ELISA). Cell viability was detected by measuring the activity of cellular enzymes that reduce water-soluble tetrazolium salts to formazan dyes and apoptosis was evaluated by measuring the levels of caspase-1 and caspase-3/7 over untreated cells. All peptides were found to be nontoxic and nonimmunogenic in vitro at the concentrations of 10 muM and 5 muM, respectively, and at a dose of 5 mg/kg in vivo, suggesting that these CPPs exhibit a promising potential in the delivery of therapeutic molecules into the cell without risks of toxicity and inflammatory reactions.","['Suhorutsenko, Julia', 'Oskolkov, Nikita', 'Arukuusk, Piret', 'Kurrikoff, Kaido', 'Eriste, Elo', 'Copolovici, Dana-Maria', 'Langel, Ulo']","['Suhorutsenko J', 'Oskolkov N', 'Arukuusk P', 'Kurrikoff K', 'Eriste E', 'Copolovici DM', 'Langel U']","['Institute of Technology, Tartu University, Nooruse 1, Tartu, Estonia. julia.suhorutsenko@ut.ee']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111010,United States,Bioconjug Chem,Bioconjugate chemistry,9010319,"['0 (Cell-Penetrating Peptides)', '0 (Drug Carriers)', '0 (Interleukin-18)', '0 (Interleukin-1beta)', '0 (Lipopeptides)', '0 (Recombinant Fusion Proteins)', '0 (Tumor Necrosis Factor-alpha)', '0 (Wasp Venoms)', '0 (transportan)', '88813-36-9 (Galanin)', 'EC 3.4.22.- (Caspases)']",IM,"['Animals', 'Caspases/metabolism', 'Cell Line, Tumor/drug effects', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', 'Cell-Penetrating Peptides/chemistry/genetics/*immunology/*toxicity', 'Cells, Cultured', 'Drug Carriers/chemistry/*toxicity', 'Drug Delivery Systems', 'Enzyme-Linked Immunosorbent Assay/methods', 'Female', 'Galanin/chemistry/*immunology/*toxicity', 'Humans', 'Interleukin-18/immunology', 'Interleukin-1beta/immunology', 'Leukocytes, Mononuclear/cytology/drug effects/immunology', 'Lipopeptides/chemistry/immunology/toxicity', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Recombinant Fusion Proteins/chemistry/*immunology/*toxicity', 'Transfection', 'Tumor Necrosis Factor-alpha/immunology', 'Wasp Venoms/chemistry/*immunology/*toxicity']",,2011/10/08 06:00,2012/03/20 06:00,['2011/10/08 06:00'],"['2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/03/20 06:00 [medline]']",['10.1021/bc200293d [doi]'],ppublish,Bioconjug Chem. 2011 Nov 16;22(11):2255-62. doi: 10.1021/bc200293d. Epub 2011 Oct 10.,,,,,,,,,,,,,,,,
21978080,NLM,MEDLINE,20120417,20131121,1557-8577 (Electronic) 1549-1684 (Linking),14,6,2011 Dec,Cryobanking of embryoid bodies to facilitate basic research and cell-based therapies.,641-9,10.1089/rej.2011.1186 [doi],"Pluripotent stem cells offer unique opportunities for curing debilitating diseases. However, further comprehensive research is needed to better understand cell signaling during the differentiation of pluripotent cells into different cell lineages and accordingly to develop clinically applicable protocols. One of the limiting steps for differentiation studies is proper culture and expansion of pluripotent stem cells, which is labor intensive, expensive, and requires a great deal of expertise. This limiting step can be overcome by successful banking and distribution of embryoid bodies (EBs), which are aggregates of pluripotent stem cells and typically the starting point of differentiation protocols. The objective of this study was to investigate the feasibility of EB banking by studying survival and functionality of cryopreserved EBs. To this end, EBs were formed by culturing mouse 129 embryonic stem (ES) cells in the absence of leukemia inhibitory factor (LIF) in hanging drops and then subjected to different cryopreservation protocols. In a series of experiments, we first tested the postthaw survival of EBs as a function of dimethylsulfoxide (DMSO) and extracellular trehalose concentrations and cooling rates. Next, we studied the functionality of cryopreserved EBs by assessing their postthaw attachment, growth, and differentiation into various cell types. Higher (>/=5%) DMSO concentrations alone or in combination with trehalose (0.1 M and 0.2 M) yielded good postthaw survival rates of >80%, whereas cooling of EBs at 1 degrees C/min in the presence of 5% DMSO +0.1 M trehalose gave the best attachment and growth rates, with differentiation into cell lineages of three germ layers. Taken together, our results suggest that EBs are tolerant to cryopreservation-associated stresses and retain their differentiation potential after freezing and thawing. Furthermore, our experiments with dissociated EB cells and nondissociated EBs suggest that the extracellular matrix may play a beneficial role in the cryotolerance of EBs. Overall, our data support the feasibility of EB banking, which would facilitate advancement of cell-based therapies.","['Sharma, Shruti', 'Szurek, Edyta A', 'Rzucidlo, Jacek S', 'Liour, Sean S', 'Eroglu, Ali']","['Sharma S', 'Szurek EA', 'Rzucidlo JS', 'Liour SS', 'Eroglu A']","['Institute of Molecular Medicine and Genetics, Department of Medicine, Medical College of Georgia, Georgia Health Sciences University, Augusta, Georgia, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111006,United States,Rejuvenation Res,Rejuvenation research,101213381,"['0 (Fluorescent Dyes)', '0 (Leukemia Inhibitory Factor)', 'YOW8V9698H (Dimethyl Sulfoxide)']",IM,"['Animals', 'Cell Culture Techniques', 'Cell Differentiation', 'Cell Membrane/metabolism', 'Cell Survival', 'Cell- and Tissue-Based Therapy/*methods', 'Cryopreservation/*methods', 'Dimethyl Sulfoxide/chemistry', 'Embryoid Bodies/*cytology', 'Embryonic Stem Cells/*cytology', 'Fluorescent Dyes/pharmacology', 'Leukemia Inhibitory Factor/metabolism', 'Mice', '*Tissue Banks']",,2011/10/08 06:00,2012/04/18 06:00,['2011/10/08 06:00'],"['2011/10/08 06:00 [entrez]', '2011/10/08 06:00 [pubmed]', '2012/04/18 06:00 [medline]']",['10.1089/rej.2011.1186 [doi]'],ppublish,Rejuvenation Res. 2011 Dec;14(6):641-9. doi: 10.1089/rej.2011.1186. Epub 2011 Oct 6.,,,,,,,,,,,,,,,,
