PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SB,RIN,MH,OTO,OT,SI,CI,GR,MID,CIN,CN,EIN,TT,CON,GN,COIS,IR,FIR,PS,FPS,OID,DA,CTDT,PB,BTI,CDAT
23130347,NLM,MEDLINE,20131113,20211021,2234-3814 (Electronic) 2234-3806 (Linking),32,6,2012 Nov,Additional genomic aberrations identified by single nucleotide polymorphism array-based karyotyping in an acute myeloid leukemia case with isolated del(20q) abnormality.,445-9,10.3343/alm.2012.32.6.445 [doi],"Prognosis is known to be better in cases with isolated chromosomal abnormalities than in those with complex karyotypes. Accordingly, del(20q) as an isolated abnormality must be distinguished from cases in which it is associated with other chromosomal rearrangements for a better stratification of prognosis. We report a case of an isolated del(20q) abnormality with additional genomic aberrations identified using whole-genome single nucleotide polymorphism array (SNP-A)-based karyotyping. A 39-yr-old man was diagnosed with AML without maturation. Metaphase cytogenetic analysis (MC) revealed del(20)(q11.2) as the isolated abnormality in 100% of metaphase cells analyzed, and FISH analysis using D20S108 confirmed the 20q deletion in 99% of interphase cells. Using FISH, other rearrangements such as BCR/ABL1, RUNX1/RUNX1T1, PML/RARA, CBFB/MYH11, and MLL were found to be negative. SNP-A identified an additional copy neutral loss of heterozygosity (CN-LOH) in the 11q13.1-q25 region. Furthermore, SNP-A allowed for a more precise definition of the breakpoints of the 20q deletion (20q11.22-q13.31). Unexpectedly, the terminal regions showed gain on chromosome 20q. The patient did not achieve complete remission; 8 months later, he died from complications of leukemic cell infiltrations into the central nervous system. This study suggests that a presumably isolated chromosomal abnormality by MC may have additional genomic aberrations, including CN-LOH, which could be associated with a poor prognosis. SNP-A-based karyotyping may be helpful for distinguishing true isolated cases from cases in combination with additional genomic aberrations not detected by MC.","['Hahm, Chorong', 'Mun, Yeung Chul', 'Seong, Chu Myong', 'Chung, Wha Soon', 'Huh, Jungwon']","['Hahm C', 'Mun YC', 'Seong CM', 'Chung WS', 'Huh J']","['Department of Laboratory Medicine, Ewha Womans University School of Medicine, Seoul, Korea.']",['eng'],"['Case Reports', 'Journal Article']",20121017,Korea (South),Ann Lab Med,Annals of laboratory medicine,101571172,PMC3486942,2012/11/07 06:00,2013/11/14 06:00,['2012/11/07 06:00'],"['2012/04/09 00:00 [received]', '2012/08/13 00:00 [revised]', '2012/09/20 00:00 [accepted]', '2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/11/14 06:00 [medline]']",['10.3343/alm.2012.32.6.445 [doi]'],ppublish,Ann Lab Med. 2012 Nov;32(6):445-9. doi: 10.3343/alm.2012.32.6.445. Epub 2012 Oct 17.,['0 (Antineoplastic Agents)'],IM,,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Chromosome Deletion', '*Chromosomes, Human, Pair 20', 'Cytogenetic Analysis', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*diagnosis/drug therapy/genetics', 'Loss of Heterozygosity', 'Male', 'Oligonucleotide Array Sequence Analysis', 'Polymorphism, Single Nucleotide']",['NOTNLM'],"['AML', 'Array', 'Chromosome 20', 'Cytogenetics', 'Deletion', 'Isolated', 'Single nucleotide polymorphism']",,,,,,,,,,,,,,,,,,,,,
23129971,NLM,PubMed-not-MEDLINE,20121107,20211021,0976-5018 (Electronic) 0976-500X (Linking),3,3,2012 Jul,L-Asparaginase induced thrombosis in acute lymphoblastic leukemia.,285-6,10.4103/0976-500X.99449 [doi],,"['Kulkarni, Ketan P']",['Kulkarni KP'],"['Division of Pediatric Hematology Oncology, Stollery Children Hospital, University of Alberta, Canada.']",['eng'],['Journal Article'],,India,J Pharmacol Pharmacother,Journal of pharmacology & pharmacotherapeutics,101552113,PMC3487284,2012/11/07 06:00,2012/11/07 06:01,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2012/11/07 06:01 [medline]']","['10.4103/0976-500X.99449 [doi]', 'JPP-3-285 [pii]']",ppublish,J Pharmacol Pharmacother. 2012 Jul;3(3):285-6. doi: 10.4103/0976-500X.99449.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23129836,NLM,MEDLINE,20140218,20130524,1940-2465 (Electronic) 1066-8969 (Linking),21,3,2013 Jun,"Composite peripheral T-cell lymphoma not otherwise specified, and B-cell small lymphocytic lymphoma presenting with hemophagocytic lymphohistiocytosis.",303-8,10.1177/1066896912464047 [doi],"We report a case of a 68-year-old female patient who developed hemophagocytic lymphohistiocytosis (HLH) secondary to peripheral T-cell lymphoma (PTCL) not otherwise specified (NOS) that developed in the setting of treatment-resistant B-cell small lymphocytic lymphoma/chronic lymphocytic leukemia (SLL/CLL). The patient's B-cell lymphoma had a good initial response to chemotherapy for 4 years, after which it became less responsive and was thought to have undergone transition to a higher-grade lymphoma. Different regimens of chemoradiotherapy were then tried with modest response until the patient presented 3 years later with signs and symptoms of HLH. The patient died 1 month later, and an autopsy was performed. Significant para-aortic lymphadenopathy and splenomegaly were found. Microscopic, immunohistochemical and molecular evaluations confirmed the presence of composite B-cell and T-cell lymphoma in the para-aortic enlarged lymph nodes. Bone marrow examination showed hemophagocytosis, and the liver demonstrated infiltration by activated macrophages with hepatocellular necrosis. This report highlights the importance of searching for a possible underlying T-cell lymphoma in light of HLH. Different theories have been proposed to explain the rare occurrence of concurrent B- and T-cell lymphomas, but the development of HLH in this patient highlights the importance of immune dysregulation as a proposed mechanism to explain some cases of composite lymphomas. A review of the literature and discussion of the relative merits of these hypotheses are presented in the context of this case.","['Alomari, Ahmed', 'Hui, Pei', 'Xu, Mina']","['Alomari A', 'Hui P', 'Xu M']","['Yale-New Haven Hospital, New Haven, CT, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",20121104,United States,Int J Surg Pathol,International journal of surgical pathology,9314927,,2012/11/07 06:00,2014/02/19 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2014/02/19 06:00 [medline]']","['1066896912464047 [pii]', '10.1177/1066896912464047 [doi]']",ppublish,Int J Surg Pathol. 2013 Jun;21(3):303-8. doi: 10.1177/1066896912464047. Epub 2012 Nov 4.,,IM,,"['Aged', 'Comorbidity', 'Fatal Outcome', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*complications/epidemiology/pathology', 'Lymphohistiocytosis, Hemophagocytic/diagnosis/*etiology/pathology', 'Lymphoma, T-Cell, Peripheral/*complications/epidemiology/pathology']",['NOTNLM'],['lymph node pathology'],,,,,,,,,,,,,,,,,,,,,
23129768,NLM,MEDLINE,20130226,20211021,1083-351X (Electronic) 0021-9258 (Linking),287,52,2012 Dec 21,A subset of mixed lineage leukemia proteins has plant homeodomain (PHD)-mediated E3 ligase activity.,43410-6,10.1074/jbc.M112.423855 [doi],"The mixed lineage leukemia protein MLL1 contains four highly conserved plant homeodomain (PHD) fingers, which are invariably deleted in oncogenic MLL1 fusion proteins in human leukemia. Here we show that the second PHD finger (PHD2) of MLL1 is an E3 ubiquitin ligase in the presence of the E2-conjugating enzyme CDC34. This activity is conserved in the second PHD finger of MLL4, the closest homolog to MLL1 but not in MLL2 or MLL3. Mutation of PHD2 leads to MLL1 stabilization, as well as increased transactivation ability and MLL1 recruitment to the target gene loci, suggesting that PHD2 negatively regulates MLL1 activity.","['Wang, Jingya', 'Muntean, Andrew G', 'Wu, Laura', 'Hess, Jay L']","['Wang J', 'Muntean AG', 'Wu L', 'Hess JL']","['Department of Pathology, University of Michigan Medical School, Ann Arbor, Michigan 48109, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20121105,United States,J Biol Chem,The Journal of biological chemistry,2985121R,PMC3527928,2012/11/07 06:00,2013/02/27 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/02/27 06:00 [medline]']","['S0021-9258(20)41737-5 [pii]', '10.1074/jbc.M112.423855 [doi]']",ppublish,J Biol Chem. 2012 Dec 21;287(52):43410-6. doi: 10.1074/jbc.M112.423855. Epub 2012 Nov 5.,"['0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (KMT2C protein, human)', '0 (KMT2D protein, human)', '0 (Neoplasm Proteins)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 2.1.1.43 (MLL4 protein, human)', 'EC 2.3.2.23 (CDC34 protein, human)', 'EC 2.3.2.23 (Ubiquitin-Conjugating Enzymes)', 'EC 2.3.2.23 (Ubiquitin-Protein Ligase Complexes)', 'EC 2.3.2.27 (Anaphase-Promoting Complex-Cyclosome)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)']",IM,,"['Anaphase-Promoting Complex-Cyclosome', 'DNA-Binding Proteins/genetics/*metabolism', 'Enzyme Stability/physiology', 'HEK293 Cells', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Mutation', 'Myeloid-Lymphoid Leukemia Protein/genetics/*metabolism', 'Neoplasm Proteins/genetics/metabolism', 'Protein Structure, Tertiary', 'Transcriptional Activation/*physiology', 'Ubiquitin-Conjugating Enzymes', 'Ubiquitin-Protein Ligase Complexes/genetics/*metabolism', 'Ubiquitin-Protein Ligases/genetics/*metabolism']",,,,,"['K99 CA158136/CA/NCI NIH HHS/United States', 'R00 CA158136/CA/NCI NIH HHS/United States', 'R01 CA151425/CA/NCI NIH HHS/United States', 'K99 CA158136-01/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
23129746,NLM,MEDLINE,20130415,20131121,1527-7755 (Electronic) 0732-183X (Linking),31,6,2013 Feb 20,Randomized trial of myeloablative conditioning regimens: busulfan plus cyclophosphamide versus busulfan plus fludarabine.,701-9,10.1200/JCO.2011.40.2362 [doi],"PURPOSE: We conducted a phase III randomized clinical trial to compare two myeloablative conditioning regimens for allogeneic hematopoietic cell transplantation (HCT) in patients with leukemia and myelodysplastic syndrome. PATIENTS AND METHODS: After randomization, 64 patients received busulfan (3.2 mg/kg per day x 4 days) plus cyclophosphamide (60 mg/kg per day x 2 days; BuCy), and 62 patients received busulfan (same dose and schedule) plus fludarabine (30 mg/m(2) per day x 5 days; BuFlu). RESULTS: The median age was 41 years (range, 17 to 59 years). Five patients in the BuFlu arm experienced graft failure (primary, n = 1; secondary, n = 4). At 4 weeks after HCT, the median percentage of recipient hematopoietic chimerism was significantly greater in the BuFlu arm (0% v 5.5%; P < .001), and complete donor chimerism was greater in the BuCy arm (97.2% v 44.4%; P < .001). Severe (grade 3 or higher) infection and gastrointestinal adverse events were significantly more common in the BuCy arm, but the frequencies of hepatic adverse events were similar in the two arms. Nonrelapse mortality was similar in the two arms, but the BuCy arm had better overall survival (OS), relapse-free survival (RFS), and event-free survival (EFS; OS at 2 years, 67.4% v 41.4%, P = .014; RFS, 74.7% v 54.9%, P = .027; EFS, 60.7% v 36.0%, P = .014). CONCLUSION: Our results indicate that the BuFlu regimen is not a suitable replacement for the BuCy regimen in young adults who are eligible for myeloablative conditioning therapy for allogeneic HCT.","['Lee, Je-Hwan', 'Joo, Young-Don', 'Kim, Hawk', 'Ryoo, Hun Mo', 'Kim, Min Kyoung', 'Lee, Gyeong-Won', 'Lee, Jung-Hee', 'Lee, Won-Sik', 'Park, Jae-Hoo', 'Bae, Sung-Hwa', 'Hyun, Myung Soo', 'Kim, Dae-Young', 'Kim, Sung-Doo', 'Min, Young Joo', 'Lee, Kyoo-Hyung']","['Lee JH', 'Joo YD', 'Kim H', 'Ryoo HM', 'Kim MK', 'Lee GW', 'Lee JH', 'Lee WS', 'Park JH', 'Bae SH', 'Hyun MS', 'Kim DY', 'Kim SD', 'Min YJ', 'Lee KH']","['Department of Hematology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea. jhlee3@amc.seoul.kr']",['eng'],"['Clinical Trial, Phase III', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",20121105,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,2012/11/07 06:00,2013/04/16 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/04/16 06:00 [medline]']","['JCO.2011.40.2362 [pii]', '10.1200/JCO.2011.40.2362 [doi]']",ppublish,J Clin Oncol. 2013 Feb 20;31(6):701-9. doi: 10.1200/JCO.2011.40.2362. Epub 2012 Nov 5.,"['0 (Myeloablative Agonists)', '8N3DW7272P (Cyclophosphamide)', 'FA2DM6879K (Vidarabine)', 'G1LN9045DK (Busulfan)', 'P2K93U8740 (fludarabine)']",IM,,"['Adolescent', 'Adult', 'Aged', 'Busulfan/adverse effects/therapeutic use', 'Cyclophosphamide/adverse effects/therapeutic use', 'Drug Therapy, Combination', 'Female', 'Gastroenteritis/etiology', 'Graft vs Host Disease/etiology', 'Hematopoietic Stem Cell Transplantation/adverse effects/*methods', 'Humans', 'Leukemia/*therapy', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Myeloablative Agonists/adverse effects/*therapeutic use', 'Myelodysplastic Syndromes/*therapy', 'Survival Analysis', 'Transplantation Conditioning/*methods', 'Transplantation, Homologous', 'Treatment Outcome', 'Vidarabine/adverse effects/analogs & derivatives/therapeutic use', 'Young Adult']",,,['ClinicalTrials.gov/NCT00774280'],,,,,,,,,,,,,,,,,,,,
23129745,NLM,MEDLINE,20130415,20181202,1527-7755 (Electronic) 0732-183X (Linking),31,6,2013 Feb 20,When azanucleoside treatment can be curative: nonintensive bridging strategy before allografting in older patients with myelodysplastic syndrome/acute myeloid leukemia.,822-3,10.1200/JCO.2012.46.4222 [doi],,"['Lubbert, Michael', 'Bertz, Hartmut', 'Muller, Michael Josef', 'Finke, Jurgen']","['Lubbert M', 'Bertz H', 'Muller MJ', 'Finke J']",,['eng'],"['Letter', 'Comment']",20121105,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,2012/11/07 06:00,2013/04/16 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/04/16 06:00 [medline]']","['JCO.2012.46.4222 [pii]', '10.1200/JCO.2012.46.4222 [doi]']",ppublish,J Clin Oncol. 2013 Feb 20;31(6):822-3. doi: 10.1200/JCO.2012.46.4222. Epub 2012 Nov 5.,"['0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'M801H13NRU (Azacitidine)']",IM,,"['Antimetabolites, Antineoplastic/*therapeutic use', 'Azacitidine/*analogs & derivatives', '*Choice Behavior', 'Cytarabine/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', '*Palliative Care', '*Patient Participation']",,,,,,,,,,,['J Clin Oncol. 2012 Jul 20;30(21):2670-7. PMID: 22689805'],,,,,,,,,,,,
23129743,NLM,MEDLINE,20130415,20181202,1527-7755 (Electronic) 0732-183X (Linking),31,6,2013 Feb 20,What is better for older patients with acute myeloid leukemia?,820-1,10.1200/JCO.2012.45.2219 [doi],,"['Ferrara, Felicetto', 'Musto, Pellegrino']","['Ferrara F', 'Musto P']",,['eng'],"['Letter', 'Comment']",20121105,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,,2012/11/07 06:00,2013/04/16 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/04/16 06:00 [medline]']","['JCO.2012.45.2219 [pii]', '10.1200/JCO.2012.45.2219 [doi]']",ppublish,J Clin Oncol. 2013 Feb 20;31(6):820-1. doi: 10.1200/JCO.2012.45.2219. Epub 2012 Nov 5.,"['0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'M801H13NRU (Azacitidine)']",IM,,"['Antimetabolites, Antineoplastic/*therapeutic use', 'Azacitidine/*analogs & derivatives', '*Choice Behavior', 'Cytarabine/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', '*Palliative Care', '*Patient Participation']",,,,,,,,,,,['J Clin Oncol. 2012 Jul 20;30(21):2670-7. PMID: 22689805'],,,,,,,,,,,,
23129738,NLM,MEDLINE,20130412,20211021,1527-7755 (Electronic) 0732-183X (Linking),31,7,2013 Mar 1,Bortezomib added to daunorubicin and cytarabine during induction therapy and to intermediate-dose cytarabine for consolidation in patients with previously untreated acute myeloid leukemia age 60 to 75 years: CALGB (Alliance) study 10502.,923-9,10.1200/JCO.2012.45.2177 [doi],"PURPOSE: The purpose of this study was to determine remission induction frequency when bortezomib was combined with daunorubicin and cytarabine in previously untreated older adults with acute myeloid leukemia (AML) and safety of bortezomib in combination with consolidation chemotherapy consisting of intermediate-dose cytarabine (Int-DAC). PATIENTS AND METHODS: Ninety-five adults (age 60 to 75 years; median, 67 years) with previously untreated AML (including therapy-related and previous myelodysplastic syndrome) received bortezomib 1.3 mg/m(2) intravenously (IV) on days 1, 4, 8, and 11 with daunorubicin 60 mg/m(2) on days 1 through 3 and cytarabine 100 mg/m(2) by continuous IV infusion on days 1 through 7. Patients who achieved complete remission (CR) received up to two courses of consolidation chemotherapy with cytarabine 2 gm/m(2) on days 1 through 5 with bortezomib. Three cohorts with escalating dose levels of bortezomib were tested (0.7, 1.0, and 1.3 mg/m(2)). Dose-limiting toxicities were assessed during the first cycle of consolidation. The relationship between cell surface expression of CD74 and clinical outcome was assessed. RESULTS: Frequency of CR was 65% (62 of 95), and 4% of patients (four of 95) achieved CR with incomplete platelet recovery (CRp). Eleven patients developed grade 3 sensory neuropathy. Bortezomib plus Int-DAC proved tolerable at the highest dose tested. Lower CD74 expression was associated with CR/CRp (P = .04) but not with disease-free or overall survival. CONCLUSION: The addition of bortezomib to standard 3 + 7 daunorubicin and cytarabine induction chemotherapy for AML resulted in an encouraging remission rate. The maximum tested dose of bortezomib administered in combination with Int-DAC for remission consolidation was 1.3 mg/m(2) and proved tolerable. Further testing of this regimen is planned.","['Attar, Eyal C', 'Johnson, Jeffrey L', 'Amrein, Philip C', 'Lozanski, Gerard', 'Wadleigh, Martha', 'DeAngelo, Daniel J', 'Kolitz, Jonathan E', 'Powell, Bayard L', 'Voorhees, Peter', 'Wang, Eunice S', 'Blum, William', 'Stone, Richard M', 'Marcucci, Guido', 'Bloomfield, Clara D', 'Moser, Barry', 'Larson, Richard A']","['Attar EC', 'Johnson JL', 'Amrein PC', 'Lozanski G', 'Wadleigh M', 'DeAngelo DJ', 'Kolitz JE', 'Powell BL', 'Voorhees P', 'Wang ES', 'Blum W', 'Stone RM', 'Marcucci G', 'Bloomfield CD', 'Moser B', 'Larson RA']","['Massachusetts General Hospital Cancer Center, 100 Blossom St, Boston, MA 02114, USA. eattar@partners.org']",['eng'],"['Clinical Trial', 'Journal Article', 'Research Support, N.I.H., Extramural']",20121105,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,PMC3577952,2012/11/07 06:00,2013/04/13 06:00,['2012/11/07 06:00'],"['2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/04/13 06:00 [medline]']","['JCO.2012.45.2177 [pii]', '10.1200/JCO.2012.45.2177 [doi]']",ppublish,J Clin Oncol. 2013 Mar 1;31(7):923-9. doi: 10.1200/JCO.2012.45.2177. Epub 2012 Nov 5.,"['0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Boronic Acids)', '0 (Histocompatibility Antigens Class II)', '0 (Pyrazines)', '0 (invariant chain)', '04079A1RDZ (Cytarabine)', '69G8BD63PP (Bortezomib)', 'ZS7284E0ZP (Daunorubicin)']",IM,,"['Aged', 'Antigens, Differentiation, B-Lymphocyte/analysis', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Boronic Acids/administration & dosage/adverse effects', 'Bortezomib', 'Consolidation Chemotherapy/*methods', 'Cytarabine/administration & dosage/adverse effects', 'Daunorubicin/administration & dosage/adverse effects', 'Disease-Free Survival', 'Drug Administration Schedule', 'Drug Synergism', 'Female', 'Follow-Up Studies', 'Histocompatibility Antigens Class II/analysis', 'Humans', 'Induction Chemotherapy/*methods', 'Leukemia, Myeloid, Acute/*drug therapy/immunology/*mortality', 'Male', 'Middle Aged', 'Peripheral Nervous System/drug effects', 'Pyrazines/administration & dosage/adverse effects', 'Remission Induction', 'Survival Analysis', 'Treatment Outcome']",,,,,"['CA33601/CA/NCI NIH HHS/United States', 'CA32291/CA/NCI NIH HHS/United States', 'U10 CA077597/CA/NCI NIH HHS/United States', 'U10 CA059518/CA/NCI NIH HHS/United States', 'U10 CA045418/CA/NCI NIH HHS/United States', 'U10 CA101140/CA/NCI NIH HHS/United States', 'U10 CA041287/CA/NCI NIH HHS/United States', 'U10 CA047559/CA/NCI NIH HHS/United States', 'CA77658/CA/NCI NIH HHS/United States', 'U10 CA047642/CA/NCI NIH HHS/United States', '5K23CA118419-05/CA/NCI NIH HHS/United States', 'U10 CA047577/CA/NCI NIH HHS/United States', 'CA140148/CA/NCI NIH HHS/United States', 'U10 CA032291/CA/NCI NIH HHS/United States', 'CA16058/CA/NCI NIH HHS/United States', 'CA101140/CA/NCI NIH HHS/United States', 'U10 CA077658/CA/NCI NIH HHS/United States', 'CA41287/CA/NCI NIH HHS/United States', 'U10 CA035279/CA/NCI NIH HHS/United States', 'CA03927/CA/NCI NIH HHS/United States', 'U10 CA031946/CA/NCI NIH HHS/United States', 'U10 CA033601/CA/NCI NIH HHS/United States', 'CA59518/CA/NCI NIH HHS/United States', 'P30 CA016058/CA/NCI NIH HHS/United States', 'CA47559/CA/NCI NIH HHS/United States', 'CA31946/CA/NCI NIH HHS/United States', 'K23 CA118419/CA/NCI NIH HHS/United States', 'U10 CA003927/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
23129570,NLM,MEDLINE,20130306,20181202,1545-5017 (Electronic) 1545-5009 (Linking),60,2,2013 Feb,Drug-drug interaction between methotrexate and levetiracetam in a child treated for acute lymphoblastic leukemia.,340-1,10.1002/pbc.24371 [doi],,"['Parentelli, Anne-Sophie', 'Phulpin-Weibel, Aurelie', 'Mansuy, Ludovic', 'Contet, Audrey', 'Trechot, Philippe', 'Chastagner, Pascal']","['Parentelli AS', 'Phulpin-Weibel A', 'Mansuy L', 'Contet A', 'Trechot P', 'Chastagner P']",,['eng'],"['Case Reports', 'Letter']",20121105,United States,Pediatr Blood Cancer,Pediatric blood & cancer,101186624,,2012/11/07 06:00,2013/03/07 06:00,['2012/11/07 06:00'],"['2012/09/17 00:00 [received]', '2012/09/26 00:00 [accepted]', '2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/03/07 06:00 [medline]']",['10.1002/pbc.24371 [doi]'],ppublish,Pediatr Blood Cancer. 2013 Feb;60(2):340-1. doi: 10.1002/pbc.24371. Epub 2012 Nov 5.,"['0 (Anticonvulsants)', '0 (Antineoplastic Agents)', '44YRR34555 (Levetiracetam)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZH516LNZ10 (Piracetam)']",IM,,"['Adolescent', 'Anticonvulsants/administration & dosage/*adverse effects', 'Antineoplastic Agents/administration & dosage/*adverse effects', 'Drug Interactions', 'Drug Therapy, Combination/adverse effects', 'Humans', 'Levetiracetam', 'Male', 'Methotrexate/administration & dosage/*adverse effects', 'Piracetam/administration & dosage/adverse effects/*analogs & derivatives', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*drug therapy', 'Seizures/*drug therapy/etiology']",,,,,,,,,,,,,,,,,,,,,,,
23129537,NLM,MEDLINE,20131018,20211021,1097-0274 (Electronic) 0271-3586 (Linking),56,7,2013 Jul,Possible health benefits from reducing occupational magnetic fields.,791-805,10.1002/ajim.22129 [doi],"BACKGROUND: Magnetic fields (MF) from AC electricity are a Possible Human Carcinogen, based on limited epidemiologic evidence from exposures far below occupational health limits. METHODS: To help formulate government guidance on occupational MF, the cancer cases prevented and the monetary benefits accruing to society by reducing workplace exposures were determined. Life-table methods produced Disability Adjusted Life Years, which were converted to monetary values. RESULTS: Adjusted for probabilities of causality, the expected increase in a worker's disability-free life are 0.04 year (2 weeks) from a 1 microtesla (microT) MF reduction in average worklife exposure, which is equivalent to $5,100/worker/microT in year 2010 U.S. dollars (95% confidence interval $1,000-$9,000/worker/microT). Where nine electrosteel workers had 13.8 microT exposures, for example, moving them to ambient MFs would provide $600,000 in benefits to society (uncertainty interval $0-$1,000,000). CONCLUSIONS: When combined with the costs of controls, this analysis provides guidance for precautionary recommendations for managing occupational MF exposures.","['Bowman, Joseph D', 'Ray, Tapas K', 'Park, Robert M']","['Bowman JD', 'Ray TK', 'Park RM']","['Engineering and Physical Hazards Branch, National Institute for Occupational Safety and Health NIOSH, Cincinnati, Ohio, USA. jbowman@cdc.gov']",['eng'],"['Comparative Study', 'Journal Article']",20121105,United States,Am J Ind Med,American journal of industrial medicine,8101110,PMC4687895,2012/11/07 06:00,2013/10/19 06:00,['2012/11/07 06:00'],"['2012/09/20 00:00 [accepted]', '2012/11/07 06:00 [entrez]', '2012/11/07 06:00 [pubmed]', '2013/10/19 06:00 [medline]']",['10.1002/ajim.22129 [doi]'],ppublish,Am J Ind Med. 2013 Jul;56(7):791-805. doi: 10.1002/ajim.22129. Epub 2012 Nov 5.,,IM,,"['Brain Neoplasms/*epidemiology/etiology/physiopathology', 'Cost Control', 'Disability Evaluation', 'Environmental Monitoring', 'Female', 'Humans', 'Industry', 'Leukemia/*epidemiology/etiology/physiopathology', 'Magnetic Fields/*adverse effects', 'Male', 'Maximum Allowable Concentration', 'National Institute for Occupational Safety and Health, U.S.', 'Occupational Diseases/economics/*epidemiology/etiology', 'Occupational Exposure/*adverse effects', '*Occupational Health', 'Quality-Adjusted Life Years', 'United States', 'Workplace']",,,,"['Copyright (c) 2012 Wiley Periodicals, Inc.']",['CC999999/ImCDC/Intramural CDC HHS/United States'],['NIHMS743249'],,,,,,,,,,,,['NLM: HHSPA743249'],,,,,
