PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,TT,RF,GR,EIN,PMC,CON,GS,CIN,OID,OTO,OT,GN,SI,CRF
1743591,NLM,MEDLINE,19920114,20131121,0390-6078 (Print) 0390-6078 (Linking),76,3,1991 May-Jun,A regimen for antithrombin III substitution in patients with acute lymphoblastic leukemia under treatment with L-asparaginase.,209-14,"BACKGROUND AND METHODS: Seventeen adult patients with acute lymphoblastic leukemia (ALL) treated with L-asparaginase (20,000 IU/m2 on six alternate days) were infused with antithrombin III (AT III) concentrates (Kybernin P, Behring). Substitution therapy was aimed at increasing the reduced AT III concentration usually found in these patients, since AT III deficiency is thought to be associated with an increased risk of thrombosis. Two schedules of AT III administration, different in dosage, timing and duration were evaluated. The first 7 patients (group A) received a fixed dose of 2,000 U every day for 6 times, starting with the second L-asparaginase (L-ase) infusion, independently of their plasma AT III levels. In the following 10 patients (group B), 20-25 U/Kg b.w. were administered daily for 7 times only when the plasma AT III level was lower than 60% with plasma fibrinogen higher than 100 mg/dl and platelet count higher than 50 x 10(9)/l, or when AT III was below 40%. Thirteen patients who received L-ase without AT III substitution served as controls. RESULTS AND CONCLUSIONS: Both substitution regimens resulted in mean plasma AT III nadir values significantly (p less than 00.1) higher than in the controls. Our data suggest that, in ALL patients receiving L-ase according to the L20 protocol, satisfactory plasma AT III levels may be assured with infusions of 20-25 U/Kg b.w./day for 7-10 days, starting by day 2 of L-ase treatment.","['Mattioli Belmonte, M', 'Gugliotta, L', 'Delvos, U', 'Catani, L', 'Vianelli, N', 'Cascione, M L', 'Belardinelli, A R', 'Mottola, L', 'Tura, S']","['Mattioli Belmonte M', 'Gugliotta L', 'Delvos U', 'Catani L', 'Vianelli N', 'Cascione ML', 'Belardinelli AR', 'Mottola L', 'Tura S']","['Istituto di Ematologia, L. e A. Seragnoli, Universita di Bologna, Italy.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Antithrombin III/administration & dosage/pharmacokinetics/*therapeutic use', 'Asparaginase/adverse effects/*therapeutic use', 'Blood Coagulation Tests', 'Cytarabine/administration & dosage', 'Fibrinogen/analysis', 'Humans', 'Methotrexate/administration & dosage', 'Platelet Count', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*drug therapy', 'Thrombosis/chemically induced/*prevention & control']",1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",ppublish,Haematologica. 1991 May-Jun;76(3):209-14.,,"['04079A1RDZ (Cytarabine)', '9000-94-6 (Antithrombin III)', '9001-32-5 (Fibrinogen)', 'EC 3.5.1.1 (Asparaginase)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,,,,,,,,,,,
1743296,NLM,MEDLINE,19920115,20190620,0014-5793 (Print) 0014-5793 (Linking),294,1-2,1991 Dec 2,Inhibition of protein kinase C is associated with a decrease in c-myc expression in human myeloid leukemia cells.,73-6,"Treatment of human myeloid leukemic cells with phorbol esters such as 12-O-tetradecanoylphorbol-13-acetate (TPA) is associated with activation and then partial down-regulation of protein kinase C activity. Previous work has suggested that the activation of protein kinase C by TPA contributes to the decrease in c-myc expression during differentiation of these cells. The present studies demonstrate that the decline in c-myc mRNA levels following exposure of HL-60 cells to TPA is preceded by an increase in expression of this gene. In contrast, exposure of HL-60 cells to inhibitors of protein kinase C activity is associated with down-modulation of c-myc expression. Similar findings have been obtained in U-937 myeloid leukemia cells. Taken together, these findings suggest that phorbol esters have a biphasic effect on c-myc expression. Whereas the activation of protein kinase C by phorbol esters may be associated with an increase in c-myc gene expression, the subsequent partial down-regulation of kinase activity may initiate a cascade of events resulting in the down-modulation of c-myc expression.","['Bernstein, S H', 'Kharbanda, S M', 'Sherman, M L', 'Stone, R M', 'Kufe, D W']","['Bernstein SH', 'Kharbanda SM', 'Sherman ML', 'Stone RM', 'Kufe DW']","['Laboratory of Clinical Pharmacology, Dana-Farber Cancer Institute, Boston, MA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,FEBS Lett,FEBS letters,0155157,IM,"['1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine', 'Alkaloids/pharmacology', 'Blotting, Northern', 'Cell Line', 'Enzyme Activation', 'Gene Expression', '*Gene Expression Regulation, Neoplastic/drug effects', '*Genes, myc/drug effects', 'Humans', 'Isoquinolines/pharmacology', 'Kinetics', 'Leukemia, Myeloid', 'Piperazines/pharmacology', 'Protein Kinase C/*antagonists & inhibitors/metabolism', 'Pyrimidine Nucleosides/pharmacology', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics/isolation & purification', 'Staurosporine', '*Sulfonamides', 'Tetradecanoylphorbol Acetate/*pharmacology']",1991/12/02 00:00,1991/12/02 00:01,['1991/12/02 00:00'],"['1991/12/02 00:00 [pubmed]', '1991/12/02 00:01 [medline]', '1991/12/02 00:00 [entrez]']",ppublish,FEBS Lett. 1991 Dec 2;294(1-2):73-6. doi: 10.1016/0014-5793(91)81346-a.,"['0014-5793(91)81346-A [pii]', '10.1016/0014-5793(91)81346-a [doi]']","['0 (Alkaloids)', '0 (Isoquinolines)', '0 (Piperazines)', '0 (Pyrimidine Nucleosides)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Sulfonamides)', '18417-89-5 (sangivamycin)', '84477-87-2 (1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine)', '91742-10-8 (N-(2-guanidinoethyl)-5-isoquinolinesulfonamide)', 'EC 2.7.11.13 (Protein Kinase C)', 'H88EPA0A3N (Staurosporine)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",,,"['CA42802/CA/NCI NIH HHS/United States', 'K08CA01092/CA/NCI NIH HHS/United States']",,,,['c-myc'],,,,,,,
1743215,NLM,MEDLINE,19920114,20190813,0340-6199 (Print) 0340-6199 (Linking),150,12,1991 Oct,Cytoplasmic granules in leukaemic cells of the cerebrospinal fluid in a child with non-granular acute lymphocytic leukaemia.,839-40,We report a child with relapsed acute lymphocytic leukaemia in whom cytoplasmic granules were present in the leukaemic cells of the cerebrospinal fluid (CSF) but not in those of the bone marrow (BM). The leukaemic cells of the BM were of B-cell lineage whereas those of the CSF had both B-cell and myeloid antigens.,"['Hanada, T', 'Ono, I', 'Moriyama, N', 'Koike, K']","['Hanada T', 'Ono I', 'Moriyama N', 'Koike K']","['Department of Paediatrics, University of Tsukuba, Ibaraki-ken, Japan.']",['eng'],"['Case Reports', 'Journal Article']",Germany,Eur J Pediatr,European journal of pediatrics,7603873,IM,"['B-Lymphocytes/ultrastructure', 'Bone Marrow Cells', 'Child', 'Cytoplasmic Granules/immunology/*pathology', 'Female', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*cerebrospinal fluid/immunology']",1991/10/01 00:00,1991/10/01 00:01,['1991/10/01 00:00'],"['1991/10/01 00:00 [pubmed]', '1991/10/01 00:01 [medline]', '1991/10/01 00:00 [entrez]']",ppublish,Eur J Pediatr. 1991 Oct;150(12):839-40. doi: 10.1007/BF01955003.,['10.1007/BF01955003 [doi]'],,,,,,,,,,,,,,,
1742852,NLM,MEDLINE,19920115,20190827,0344-5704 (Print) 0344-5704 (Linking),29,1,1991,Intracellular uptake and cytotoxic effect in vitro of doxorubicin and epirubicin in human leukemic and normal hematopoietic cells.,7-12,"Leukemic cells from patients presenting with acute nonlymphoblastic leukemia and normal hematopoietic bone marrow cells from healthy donors for allogeneic bone marrow transplantation were incubated for 3 h with doxorubicin and epirubicin at different concentrations. The intracellular uptake at the end of the incubation was determined by photofluorometry in leukemic cells from 15 patients and in normal cells from 9 donors for bone marrow transplantation. Cytotoxicity in vitro against granulocyte/macrophage colony-forming units (CFU-GM) was determined in normal cells from 7 donors, and in vitro toxicity against leukemic cells was determined by a clonogenic technique in cells from 6 patients and by vital dye staining (DiSC) following 4 days' culture in cells from 15 patients. Epirubicin was significantly less toxic than doxorubicin to normal hematopoetic cells (72% +/- 20% survival of cells for epirubicin vs 45% +/- 13% for doxorubicin at a concentration of 0.2 microM; P less than or equal to 0.005). As analyzed by the DiSC assay, 0.2 microM epirubicin was slightly more toxic to leukemic cells than was the same concentration of doxorubicin (47% vs 61% survival, P less than or equal to 0.01), but the clonogenic assay revealed no difference in toxicity to leukemic cells. At a concentration of 0.2 microM, the mean intracellular uptake of epirubicin in leukemic cells was 0.43 +/- 0.26 nmol/mg protein as compared with 0.33 +/- 0.14 nmol/mg protein for doxorubicin (not significant). In normal cells, the uptake of epirubicin at a concentration of 0.2 microM was 0.47 +/- 0.25 nmol/mg protein as compared with 0.31 +/- 0.21 nmol/mg protein for doxorubicin (not significant). The reduced myelotoxicity observed in vitro together with the retained toxicity to leukemic cells indicates that the therapeutic index of epirubicin is better than that of doxorubicin.","['Tidefelt, U', 'Sundman-Engberg, B', 'Paul, C']","['Tidefelt U', 'Sundman-Engberg B', 'Paul C']","['Department of Medicine, Huddinge Hospital, Sweden.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,"['Bone Marrow Cells', 'Cell Separation/methods', 'Cell Survival/drug effects', 'Cells, Cultured/drug effects/metabolism', 'Dose-Response Relationship, Drug', 'Doxorubicin/*pharmacokinetics/toxicity', 'Epirubicin/*pharmacokinetics/toxicity', 'Hematopoietic Stem Cells/drug effects/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Tumor Cells, Cultured/drug effects/metabolism']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1991;29(1):7-12. doi: 10.1007/BF00686328.,['10.1007/BF00686328 [doi]'],"['3Z8479ZZ5X (Epirubicin)', '80168379AG (Doxorubicin)']",,,,,,,,,,,,,,
1742843,NLM,MEDLINE,19920115,20190827,0344-5704 (Print) 0344-5704 (Linking),29,1,1991,Plasma and cerebrospinal fluid pharmacokinetics of cytosine arabinoside in dogs.,13-8,"Cytosine arabinoside (ara-C) is a component of many protocols for the treatment of CNS (central nervous system) leukemia and lymphoma in humans and dogs. It is also used for the prophylaxis of CNS metastasis in acute lymphoblastic leukemia. Although ara-C enters the cerebrospinal fluid (CSF) of human cancer patients after i.v. administration, it is unclear whether a similar CNS distribution occurs in humans whose blood-brain barrier has not been compromised by invasive disease. No information on the penetration of ara-C into the CSF in dogs is available. We studied the plasma and CSF pharmacokinetics of 600 mg/m2 ara-C in ten healthy male dogs after its administration as a rapid i.v. bolus (six dogs) or as a 12-h i.v. infusion (four dogs). Ara-C concentration in blood and CSF samples was determined by high-performance liquid chromatography (HPLC). After an i.v. bolus of ara-C, the mean plasma distribution half-life was 7.1 +/- 4.5 min and the mean elimination half-life was 69 +/- 28 min. The mean plasma clearance was 227 +/- 125 ml min-1 m-2. The peak concentration of ara-C in the CSF was 29 +/- 11 microM, which occurred at 57 +/- 13 min after the ara-C bolus. The CSF elimination half-life was 113 +/- 26 min. During a 12-h infusion of ara-C (50 mg m-2 h-1), the plasma steady-state concentration was 14.1 +/- 4.2 microM, the CSF steady-state concentration was 8.3 +/- 1.1 microM, and the CSF: plasma ratio was 0.62 +/- 0.14. The plasma elimination half-life was 64 +/- 19 min and the plasma clearance was 214 +/- 69 ml min-1 m-2. The CSF elimination half-life was 165 +/- 28 min. No clinically significant toxicity was observed over a 21-day period following drug administration in either of the treatment groups. Our data indicate that ara-C crosses the blood-brain barrier in normal dogs and that i.v. administration of this drug has potential as a treatment modality for neoplasia involving the CNS.","['Scott-Moncrieff, J C', 'Chan, T C', 'Samuels, M L', 'Cook, J R', 'Coppoc, G L', 'DeNicola, D B', 'Richardson, R C']","['Scott-Moncrieff JC', 'Chan TC', 'Samuels ML', 'Cook JR', 'Coppoc GL', 'DeNicola DB', 'Richardson RC']","['Department of Veterinary Clinical Sciences, Purdue University, West Lafayette, IN 47907.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,"['Animals', 'Blood-Brain Barrier/drug effects', 'Chromatography, High Pressure Liquid/methods', 'Cytarabine/blood/cerebrospinal fluid/*pharmacokinetics/toxicity', 'Dogs', 'Half-Life', 'Infusions, Intravenous', 'Injections, Intravenous', 'Male', 'Sensitivity and Specificity', 'Time Factors']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",ppublish,Cancer Chemother Pharmacol. 1991;29(1):13-8. doi: 10.1007/BF00686329.,['10.1007/BF00686329 [doi]'],['04079A1RDZ (Cytarabine)'],,,,,,,,,,,,,,
1742755,NLM,MEDLINE,19920110,20190912,0362-5664 (Print) 0362-5664 (Linking),14,5,1991 Oct,Prolonged survival following the inadvertent intrathecal administration of vincristine: clinical and electrophysiologic analyses.,457-62,"A 23-year-old man with a lymphoblastic lymphoma accidentally received 2.0 mg of vincristine intrathecally instead of intravenously. Although he underwent immediate CSF drainage, symptoms of an ascending myeloencephalopathy developed at 48 h. This progressed to coma, initially with a diffusely slow EEG, which evolved into alpha coma. He also developed a left frontal focus of epileptiform activity. He was transferred to our institution 1 month later. His court-appointed guardian refused to allow discontinuation of supportive treatment; therefore, the evolution of the disorder can be followed for 12 months. Although alpha coma remained the predominant pattern, some EEG evolution did occur, with a progressive decrease in amplitude being most prominent. An increase in amplitude in the 10th month was accompanied by the return of some nystagmoid eye movements. The patient's lymphoma then recurred, and further treatment was not attempted. This tragic case, in which transient exposure to a microtubular poison produced severe CNS toxicity, allows some insights into the mechanisms of alpha coma.","['Bleck, T P', 'Jacobsen, J']","['Bleck TP', 'Jacobsen J']","['Department of Neurology, University of Virginia School of Medicine, Charlottesville.']",['eng'],"['Case Reports', 'Journal Article']",United States,Clin Neuropharmacol,Clinical neuropharmacology,7607910,IM,"['Adult', 'Coma/chemically induced', 'Electroencephalography/drug effects', 'Humans', 'Injections, Spinal', 'Male', '*Medication Errors', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Vincristine/administration & dosage/*poisoning']",1991/10/01 00:00,1991/10/01 00:01,['1991/10/01 00:00'],"['1991/10/01 00:00 [pubmed]', '1991/10/01 00:01 [medline]', '1991/10/01 00:00 [entrez]']",ppublish,Clin Neuropharmacol. 1991 Oct;14(5):457-62. doi: 10.1097/00002826-199110000-00011.,['10.1097/00002826-199110000-00011 [doi]'],['5J49Q6B70F (Vincristine)'],,,,,,,,,,,,,,
1742746,NLM,MEDLINE,19920115,20061115,0008-5472 (Print) 0008-5472 (Linking),51,24,1991 Dec 15,Rearrangements on chromosome 11q23 in hematopoietic tumor-associated t(11;14) and t(11;19) translocations.,6708-11,"We previously demonstrated that the breakpoint of t(11;14)(q23;q32) in the RC-K8 B cell lymphoma cell line lies between CD3 and THY1/ETS1 on chromosome 11q23, and we cloned this region and named it the rck locus. Pulsed-field gel electrophoresis showed that the rck probe B (distal to the breakpoint) and the porphobilinogen deaminase (PBGD) probe detect the same germ line band and also the same rearranged band when DNA from RC-K8 cells was digested with NotI enzyme. Furthermore, Southern blot analysis with somatic cell hybrids showed that the PBGD gene moved to the 14q+chromosome, which confirmed PBGD to be more distal to the centromere than the rck locus. These data allowed us to construct the following order of genes: 11 cen-q23-CD3-rck-PBGD-THY1/ETS1. In this study, three infantile leukemia cell lines with t(11;19)(q23;p13) translocation were also analyzed by pulsed-field gel electrophoresis. CD3D probe detected the rearranged bands in DNA from two of them after digestion with NotI and SacII enzymes, demonstrating that the breakpoints of both cell lines were estimated to be within 360 kilobases of CD3D.","['Akao, Y', 'Seto, M', 'Takahashi, T', 'Saito, M', 'Utsumi, K R', 'Nakazawa, S', 'Ueda, R']","['Akao Y', 'Seto M', 'Takahashi T', 'Saito M', 'Utsumi KR', 'Nakazawa S', 'Ueda R']","['Laboratory of Chemotherapy, Aichi Cancer Center Research Institute, Nagoya, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Acute Disease', 'Chromosome Mapping', '*Chromosomes, Human, Pair 11', 'Chromosomes, Human, Pair 14', 'Chromosomes, Human, Pair 19', 'Genes', 'Humans', 'Leukemia/*genetics', 'Lymphoma, B-Cell/*genetics', 'Restriction Mapping', 'Translocation, Genetic/*genetics', 'Tumor Cells, Cultured']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']",ppublish,Cancer Res. 1991 Dec 15;51(24):6708-11.,,,,,,,,,"['CD3D', 'CD3E', 'ETS1', 'PBGD', 'THY1', 'rck']",,,,,,,
1742740,NLM,MEDLINE,19920115,20061115,0008-5472 (Print) 0008-5472 (Linking),51,24,1991 Dec 15,Cancer cachexia syndrome developed in nude mice bearing melanoma cells producing leukemia-inhibitory factor.,6656-9,"Melanoma-derived lipoprotein lipase inhibitor (MLPLI) is a factor purified from the conditioned medium of a human melanoma cell line, SEKI, which induced severe cachexia in tumor-bearing nude mice. Amino acid sequencing revealed that the amino-terminal portion was identical to that of leukemia-inhibitory factor (LIF). To determine whether MLPLI is actually LIF, the expression of LIF mRNA was examined in the SEKI melanoma cell line. Northern blot analyses revealed that the cell line displayed an intense hybridizable band with a molecular size of 3.8 kilobases, suggesting that MLPLI is identical to LIF. The relationship between the development of the cancer cachexia syndrome and the expression of LIF mRNA was examined in four melanoma xenografts, SEKI, G361, A375 and MEWO, in nude mice. SEKI- and G361-bearing nude mice developed cancer cachexia syndrome, and their body weights decreased by the 25th day after the transplantation to 73.6% and 73.8% of the control, respectively. A375- and MEWO-bearing nude mice, however, did not develop the syndrome. Northern blot analyses revealed that G361 as well as SEKI expressed a large amount of LIF mRNA, but A375 and MEWO did not, suggesting a close relationship between the expression of LIF mRNA and the development of the syndrome. These data support the concept that MLPLI, or LIF, plays an important role in the development of the cancer cachexia syndrome observed in melanoma-bearing nude mice.","['Mori, M', 'Yamaguchi, K', 'Honda, S', 'Nagasaki, K', 'Ueda, M', 'Abe, O', 'Abe, K']","['Mori M', 'Yamaguchi K', 'Honda S', 'Nagasaki K', 'Ueda M', 'Abe O', 'Abe K']","['Growth Factor Division, National Cancer Center Research Institute, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Blotting, Northern', 'Body Weight', 'Cachexia/*physiopathology', 'Gene Expression', 'Growth Inhibitors/genetics/*metabolism', 'Humans', 'Interleukin-1/genetics', '*Interleukin-6', 'Leukemia Inhibitory Factor', 'Lipoprotein Lipase/antagonists & inhibitors', 'Lymphokines/genetics/*metabolism', 'Melanoma, Experimental/genetics/*metabolism', 'Mice', 'Mice, Nude', 'Neoplasm Transplantation', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Tumor Cells, Cultured']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']",ppublish,Cancer Res. 1991 Dec 15;51(24):6656-9.,,"['0 (Growth Inhibitors)', '0 (Interleukin-1)', '0 (Interleukin-6)', '0 (LIF protein, human)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Lymphokines)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', 'EC 3.1.1.34 (Lipoprotein Lipase)']",,,,,,,,,,,,,,
1742737,NLM,MEDLINE,19920115,20141120,0008-5472 (Print) 0008-5472 (Linking),51,24,1991 Dec 15,Camptothecin and its derivatives induce expression of the c-jun protooncogene in human myeloid leukemia cells.,6636-42,"We have recently demonstrated that certain camptothecin derivatives are effective agents in the treatment of human tumor xenografts in nude mice. While camptothecin and its derivatives are recognized as inhibitors of topoisomerase I, little is known about the effects of these agents on specific gene expression, particularly genes involved in growth control. The c-jun early response gene codes for a leucine zipper transcription factor. The present studies demonstrate that 20(S)-camptothecin, 9-amino-20(S)-camptothecin, and 9-nitro-20(S)-camptothecin inhibit the growth of human U-937 myeloid leukemia cells and induce expression of the c-jun gene. c-jun transcripts were increased at 3 h and reached a maximum at 6 h of drug exposure. We also demonstrate that the induction of c-jun gene expression by these agents occurs at the transcriptional level. H7, a nonselective inhibitor of protein kinase C, completely blocked c-jun expression in 20(S)-camptothecin-treated cells, while another protein kinase inhibitor, HA1004, had no detectable effect. Similar findings were obtained for other leucine zipper encoding genes, including jun-B. These results suggest that 20(S)-camptothecin, 9-amino-20(S)-camptothecin, and 9-nitro-20(S)-camptothecin activate a cellular response involving the induction of early response genes. Finally, we demonstrate that induction of c-jun expression occurs in association with internucleosomal DNA fragmentation, a characteristic of programmed cell death.","['Kharbanda, S', 'Rubin, E', 'Gunji, H', 'Hinz, H', 'Giovanella, B', 'Pantazis, P', 'Kufe, D']","['Kharbanda S', 'Rubin E', 'Gunji H', 'Hinz H', 'Giovanella B', 'Pantazis P', 'Kufe D']","['Laboratory of Clinical Pharmacology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts 02115.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Camptothecin/*pharmacology', 'Cell Division/drug effects', 'DNA Damage', 'Gene Expression/drug effects', 'Genes, fos', '*Genes, jun', 'Humans', 'In Vitro Techniques', 'Leukemia, Myeloid/*genetics/pathology', 'Proto-Oncogene Proteins c-fos/genetics', 'Proto-Oncogene Proteins c-jun/genetics', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', 'Transcription, Genetic/drug effects', 'Tumor Cells, Cultured']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']",ppublish,Cancer Res. 1991 Dec 15;51(24):6636-42.,,"['0 (Proto-Oncogene Proteins c-fos)', '0 (Proto-Oncogene Proteins c-jun)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', 'XT3Z54Z28A (Camptothecin)']",,,"['CA42802/CA/NCI NIH HHS/United States', 'P01CA50529/CA/NCI NIH HHS/United States']",,,,['c-jun'],,,,,,,
1742734,NLM,MEDLINE,19920115,20141120,0008-5472 (Print) 0008-5472 (Linking),51,24,1991 Dec 15,Expression of HSP-28 and three HSP-70 genes during the development and decay of thermotolerance in leukemic and nonleukemic human tumors.,6608-14,"Leukemic cells appear to develop less thermotolerance and then to lose their thermotolerance more rapidly than do other tumor cell lines. The reason for this phenomenon is not known. After heat shock (or other environmental stresses), mammalian cells preferentially synthesize a set of proteins known as heat shock proteins (HSPs). HSP-28 and the various isoforms of HSP-70 have been suggested as being responsible for the development of thermotolerance. In these studies, we have attempted to determine by their expression with HSPs positively correlate with the development and decay of thermotolerance and whether the expression of these genes could explain the differing thermotolerance response observed between leukemic and nonleukemic tumor cells. Polymerase chain reaction was used to detect the expression of HSP-28 and several HSP-70 genes. Our data indicate that the expression of all three heat-inducible HSP-70 genes, 70A (Hunt and Morimoto, Proc. Natl. Acad. Sci. USA, 82: 6455-6459, 1985), 70B (Voellmy et al., Proc. Natl. Acad. Sci. USA, 82: 4949-4953, 1985), and 70B' (Leung et al., Biochem J., 267: 125-132, 1990) correlate with the development and decay of thermotolerance in nonleukemic tumor cell lines after heat or arsenite treatment. HSP-28 (Hickey et al., Nucleic Acids Res., 4: 4127-4145, 1986) failed to correlate with thermotolerance development; it was not induced after 45 degrees C primary heat shock. In leukemic cells, however, none of the HSPs were induced for extended periods of time. The lack of coordinate expression of HSP genes in cells of myeloid origin may explain the poor induction and maintenance of thermotolerance that is observed in these cells.","['Mivechi, N F', 'Monson, J M', 'Hahn, G M']","['Mivechi NF', 'Monson JM', 'Hahn GM']","['Department of Radiation Oncology, Stanford University School of Medicine, California 94305.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Arsenic/pharmacology', '*Arsenites', 'Base Sequence', 'Cell Survival', 'Electrophoresis, Gel, Two-Dimensional', 'Gene Expression', 'Heat-Shock Proteins/*genetics', 'Hot Temperature', 'Humans', 'Hyperthermia, Induced', 'In Vitro Techniques', 'Leukemia/*physiopathology/therapy', 'Molecular Sequence Data', 'Neoplasms/*physiopathology/therapy', 'Oligodeoxyribonucleotides/chemistry', 'Polymerase Chain Reaction', 'RNA, Messenger/genetics', 'RNA, Neoplasm/genetics', '*Sodium Compounds', 'Tumor Cells, Cultured']",1991/12/15 00:00,1991/12/15 00:01,['1991/12/15 00:00'],"['1991/12/15 00:00 [pubmed]', '1991/12/15 00:01 [medline]', '1991/12/15 00:00 [entrez]']",ppublish,Cancer Res. 1991 Dec 15;51(24):6608-14.,,"['0 (Arsenites)', '0 (Heat-Shock Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '0 (Sodium Compounds)', '48OVY2OC72 (sodium arsenite)', 'N712M78A8G (Arsenic)']",,,"['CA54093/CA/NCI NIH HHS/United States', 'P01CA44665/CA/NCI NIH HHS/United States']",,,,"['HSP-28', 'HSP-70A', 'HSP-70B']",,,,,,,
