PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,GR,PMC,SI,OID,EIN,OTO,OT,GN,OAB,OABL
3804367,NLM,MEDLINE,19870304,20061115,0171-2985 (Print) 0171-2985 (Linking),172,3-5,1986 Sep,Alpha interferons in the treatment of hairy cell leukemia.,250-4,,"['Quesada, J R']",['Quesada JR'],['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Immunobiology,Immunobiology,8002742,IM,"['Drug Administration Schedule', 'Humans', 'Interferon Type I/*therapeutic use', 'Leukemia, Hairy Cell/*therapy', 'Recombinant Proteins/therapeutic use']",1986/09/01 00:00,1986/09/01 00:01,['1986/09/01 00:00'],"['1986/09/01 00:00 [pubmed]', '1986/09/01 00:01 [medline]', '1986/09/01 00:00 [entrez]']","['S0171-2985(86)80105-X [pii]', '10.1016/S0171-2985(86)80105-X [doi]']",ppublish,Immunobiology. 1986 Sep;172(3-5):250-4. doi: 10.1016/S0171-2985(86)80105-X.,,"['0 (Interferon Type I)', '0 (Recombinant Proteins)']",,,,,,,,,,
3804041,NLM,MEDLINE,19870326,20190824,0090-8258 (Print) 0090-8258 (Linking),26,2,1987 Feb,Pelvic and mammary Burkitt-like lymphoma with simultaneous development of leukemia.,246-50,"The authors report the case of a young nun who came to their attention because of the simultaneous development of mammary and pelvic lymphoblastic lymphoma and acute leukemia showing aspects typical of nonendemic Burkitt's lymphoma. The rapid tumoral growth and the equally rapid spontaneous cell lysis led to severe renal insufficiency and metabolic acidosis which were ultimately the cause of death. Given the rareness of the clinical situation and the diagnostic problems involved, the authors examined the literature dealing with this subject.","['Amadori, G', 'Brigato, G', 'Cordiano, V', 'Milano, A S', 'Moretto, F', 'Spandri, P', 'Becagli, L', 'De Salvia, D']","['Amadori G', 'Brigato G', 'Cordiano V', 'Milano AS', 'Moretto F', 'Spandri P', 'Becagli L', 'De Salvia D']",['eng'],"['Case Reports', 'Journal Article']",United States,Gynecol Oncol,Gynecologic oncology,0365304,IM,"['Adult', 'Breast Neoplasms/diagnosis/*pathology', 'Burkitt Lymphoma/diagnosis/*pathology', 'Female', 'Humans', 'Leukemia/*diagnosis', 'Neoplasms, Multiple Primary/diagnosis/*pathology', 'Uterine Neoplasms/diagnosis/*pathology']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']","['0090-8258(87)90281-2 [pii]', '10.1016/0090-8258(87)90281-2 [doi]']",ppublish,Gynecol Oncol. 1987 Feb;26(2):246-50. doi: 10.1016/0090-8258(87)90281-2.,,,,,,,,,,,,
3803908,NLM,MEDLINE,19870311,20131121,0231-5882 (Print) 0231-5882 (Linking),5,5,1986 Oct,"Effect of air ions on L 1210 cells: changes in fluorescence of membrane-bound 1,8-aniline-naphthalene-sulfonate (ANS) after in vitro exposure of cells to air ions.",511-5,The ability of air ions to produce changes in the electrical properties of L 1210 mouse leukemia cells was tested. The fluorescence of ANS incorporated into a membrane lipid bilayer (measured microphotometrically) was used as a probe. It was shown that the action of air ions of both signs could change (negative ions by increasing and the positive ones by decreasing) the fluorescence intensity of ANS in the cell surface structures or to an imbalance of ions inside and outside the cell. Both possibilities are discussed in the light of the results of experiments using ouabain or biguanide as factors diminishing the intensity of ANS fluorescence.,"['Jaskowski, J', 'Witkowski, J', 'Mysliwski, A', 'Zawadzki, H']","['Jaskowski J', 'Witkowski J', 'Mysliwski A', 'Zawadzki H']",['eng'],['Journal Article'],Slovakia,Gen Physiol Biophys,General physiology and biophysics,8400604,IM,"['*Air Ionization', 'Anilino Naphthalenesulfonates/*pharmacology', 'Animals', 'Biguanides/pharmacology', 'Cell Membrane/drug effects/metabolism', '*Fluorescence', 'Leukemia L1210/*metabolism', 'Membrane Potentials/drug effects', 'Ouabain/pharmacology']",1986/10/01 00:00,1986/10/01 00:01,['1986/10/01 00:00'],"['1986/10/01 00:00 [pubmed]', '1986/10/01 00:01 [medline]', '1986/10/01 00:00 [entrez]']",,ppublish,Gen Physiol Biophys. 1986 Oct;5(5):511-5.,,"['0 (Anilino Naphthalenesulfonates)', '0 (Biguanides)', '5ACL011P69 (Ouabain)']",,,,,,,,,,
3803566,NLM,MEDLINE,19870226,20131121,0430-0920 (Print) 0430-0920 (Linking),41,11,1986 Nov,New N-amino acid derivatives of daunorubicin.,881-91,"New N-amino acid derivatives of daunorubicin have been obtained by acylation of daunorubicin amino group with alpha, beta, and gamma amino acids and their N,N-dibenzyl derivatives. The results of the antitumor activity determination have evidenced that the change of the amino function position in the daunorubicin derivatives, in relation to that of the parent antibiotic, causes the loss of activity.","['Dzieduszycka, M', 'Stefanska, B', 'Borowski, E', 'Martelli, S']","['Dzieduszycka M', 'Stefanska B', 'Borowski E', 'Martelli S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Farmaco Sci,Il Farmaco; edizione scientifica,0370716,IM,"['Animals', 'Antibiotics, Antineoplastic/*chemical synthesis', 'Chemical Phenomena', 'Chemistry', 'Daunorubicin/*analogs & derivatives/pharmacology', 'Leukemia L1210/drug therapy', 'Leukemia P388/drug therapy', 'Rats']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",,ppublish,Farmaco Sci. 1986 Nov;41(11):881-91.,,"['0 (Antibiotics, Antineoplastic)', 'ZS7284E0ZP (Daunorubicin)']",,,,,,,,,,
3803563,NLM,MEDLINE,19870226,20090605,0430-0920 (Print) 0430-0920 (Linking),41,11,1986 Nov,"[Compounds with potential antitumor activity. V. 2-Substituted 3-[2-(1,3,4-thiadazolyl)]-4-thiazolidinone].",839-51,"The synthesis of a series of 2-substituted 3-[2-(1,3,4-thiadiazolyl)]-4-thiazolidinones is described. Evaluation of these derivatives against P 388 lymphocytic leukemia growth in mice revealed that no compound shows significant activity. 2-(2-Thienyl)-3-[2-(1,3,4-thiadiazolyl)]-4-thiazolidinone (I) whose significant activity on P 388 leukemia was reported in a previous paper, was tested against other experimental tumors: it exhibits slight activity also against L 1210 leukemia and M 5076 ascitic sarcoma.","['Chimirri, A', 'Grasso, S', 'Monforte, P', 'Fenech, G', 'Zappala, M']","['Chimirri A', 'Grasso S', 'Monforte P', 'Fenech G', 'Zappala M']",['ita'],"['English Abstract', 'Journal Article']",Italy,Farmaco Sci,Il Farmaco; edizione scientifica,0370716,IM,"['Animals', 'Antineoplastic Agents/*chemical synthesis', 'Leukemia L1210/drug therapy', 'Leukemia P388/drug therapy', 'Mice', 'Sarcoma, Experimental/drug therapy', 'Thiadiazoles/*chemical synthesis/pharmacology', 'Thiazoles/*chemical synthesis/pharmacology']",1986/11/01 00:00,1986/11/01 00:01,['1986/11/01 00:00'],"['1986/11/01 00:00 [pubmed]', '1986/11/01 00:01 [medline]', '1986/11/01 00:00 [entrez]']",,ppublish,Farmaco Sci. 1986 Nov;41(11):839-51.,"Composti a presumibile attivita antitumorale. Nota V--3-[2-(1,3,4-Tiadiazolil)]-4-tiazolidinoni 2-sostituiti.","['0 (Antineoplastic Agents)', '0 (Thiadiazoles)', '0 (Thiazoles)']",,,,,,,,,,
3802911,NLM,MEDLINE,19870319,20130912,0011-4162 (Print) 0011-4162 (Linking),39,1,1987 Jan,Histologically proven leukemia cutis carries a poor prognosis in acute nonlymphocytic leukemia.,57-60,"A retrospective study of fifty-eight patients with acute nonlymphocytic leukemia was undertaken to determine the incidence of leukemia cutis and whether skin involvement serves as a prognostic indicator. A clinical diagnosis of leukemia cutis was made in eleven patients (19 percent), and five patients (8.6 percent) had biopsy-confirmed skin involvement. Patients with biopsy-proven leukemia cutis had a median postdiagnosis survival of only 12.5 weeks compared with fifty weeks for the group without skin involvement. We conclude that leukemia cutis is a biopsy diagnosis that occurs in a minimum of 8.6 percent of patients with acute nonlymphocytic leukemia in whom survival appears to be shortened.","['Shaikh, B S', 'Frantz, E', 'Lookingbill, D P']","['Shaikh BS', 'Frantz E', 'Lookingbill DP']",['eng'],['Journal Article'],United States,Cutis,Cutis,0006440,IM,"['Actuarial Analysis', 'Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Leukemia/mortality/*pathology', 'Male', 'Middle Aged', 'Prognosis', 'Retrospective Studies', 'Skin Neoplasms/mortality/*pathology']",1987/01/01 00:00,1987/01/01 00:01,['1987/01/01 00:00'],"['1987/01/01 00:00 [pubmed]', '1987/01/01 00:01 [medline]', '1987/01/01 00:00 [entrez]']",,ppublish,Cutis. 1987 Jan;39(1):57-60.,,,,,,,,,,,,
3802381,NLM,MEDLINE,19870323,20190829,0344-5704 (Print) 0344-5704 (Linking),18,3,1986,Limited efficacy of a four-day course of high-dose cytosine arabinoside in the treatment of poor-risk patients with acute nonlymphocytic leukemia.,257-60,"High-dose cytosine arabinoside therapy was administered to 29 patients with poor-prognosis acute nonlymphocytic leukemia. In an attempt to reduce toxicity, therapy was divided into an initial 4-day course of therapy, followed by a 3-day course of the marrow aspirate examined 1 week after the end of treatment contained substantial numbers of leukemic cells. Of the 29 patients, 5 entered complete remission, 2 of them after the initial 4-day course of therapy. The toxicity of split-course therapy was the same as that of conventional 6-day high-dose cytosine arabinoside therapy. This study demonstrates that the modification of high-dose cytosine arabinoside therapy used in this study failed to reduce toxicity and produced a lower remission rate than that obtained with the 6-day course of therapy.","['Preisler, H D', 'Raza, A', 'Larson, R', 'Browman, G', 'Goldberg, J', 'Grunwald, H', 'Vogler, R', 'Bennett, J', 'Gottlieb, A', ""D'Arrigo, P""]","['Preisler HD', 'Raza A', 'Larson R', 'Browman G', 'Goldberg J', 'Grunwald H', 'Vogler R', 'Bennett J', 'Gottlieb A', ""D'Arrigo P""]",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,"['Acute Disease', 'Adult', 'Age Factors', 'Aged', 'Aged, 80 and over', 'Cytarabine/*administration & dosage/adverse effects', 'Humans', 'Leukemia/*drug therapy', 'Middle Aged', 'Pilot Projects', 'Prognosis', 'Risk', 'Time Factors']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1007/BF00273398 [doi]'],ppublish,Cancer Chemother Pharmacol. 1986;18(3):257-60. doi: 10.1007/BF00273398.,,['04079A1RDZ (Cytarabine)'],"['CA-28734/CA/NCI NIH HHS/United States', 'CA-41285/CA/NCI NIH HHS/United States']",,,,,,,,,
3802378,NLM,MEDLINE,19870323,20190829,0344-5704 (Print) 0344-5704 (Linking),18,3,1986,"Effects of 5,8-dideazaisopteroylglutamate (IAHQ) on L1210 leukemia in mice when given alone and in combination with methotrexate, probenecid, or verapamil.",231-4,"The folate analogue 5,8-dideazaisopteroylglutamate (IAHQ; NSC-289517) inhibits the growth of a variety of human tumor cells in vitro such as colon, breast and osteosarcoma. Since IAHQ has only modest activity against L1210 leukemia in mice, it was tested in combination with methotrexate (MTX), probenecid, or verapamil in an effort to enhance efficacy. Single drug or drug combinations were administered every other day 3 or 5 times beginning on day 1 following the administration of 10(6) L1210 cells per animal. The combination of IAHQ (100 mg/kg) plus MTX (10 mg/kg) produced a decrease in mean survival time compared to that of MTX alone, regardless of whether the drugs were initiated on the same day or whether either one was started 2 days prior to the other. IAHQ (150 mg/kg) plus verapamil (5, 10, or 20 mg/kg) did not alter significantly the results produced by IAHQ alone. However, the combination of IAHQ (150 mg/kg) plus probenecid (250 mg/kg) augmented the increase in mean survival time above that produced by IAHQ alone by 82% (p = less than 0.001). The results suggest that probenecid could be used to enhance the effectiveness of IAHQ against solid tumors such as colon adenocarcinoma.","['Hynes, J B', 'Smith, A B', 'Gale, G R']","['Hynes JB', 'Smith AB', 'Gale GR']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,IM,"['Animals', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Folic Acid Antagonists/*administration & dosage', 'Leukemia L1210/*drug therapy', 'Male', 'Methotrexate/*administration & dosage', 'Mice', 'Mice, Inbred DBA', 'Probenecid/*administration & dosage', 'Quinazolines/administration & dosage/*therapeutic use', 'Time Factors', 'Verapamil/*administration & dosage']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",['10.1007/BF00273392 [doi]'],ppublish,Cancer Chemother Pharmacol. 1986;18(3):231-4. doi: 10.1007/BF00273392.,,"['0 (Folic Acid Antagonists)', '0 (Quinazolines)', '56239-21-5 (5,8-dideazaisofolic acid)', 'CJ0O37KU29 (Verapamil)', 'PO572Z7917 (Probenecid)', 'YL5FZ2Y5U1 (Methotrexate)']",['CA-25014/CA/NCI NIH HHS/United States'],,,,,,,,,
3802310,NLM,MEDLINE,19870316,20130405,,79,4,1986,"[Serological, clinical and epidemiologic analysis of 53 cases of kala-azar in the Arab Republic of Yemen].",507-13,The visceral leishmaniasis (Kala-Azar) is present in Republic Arab of Yemen. On 53 cases diagnosed during 21 months in Taez Republican Hospital the disease is affecting essentially children (55 under five years old) with predominant focus in the area of Charaab and Qobeita. Serology using passive hemagglutination is helpful for the diagnosis when the rate is higher or equal to 1/64e. The problem of wrong positive reaction in cases of lymphoblastic leukemia and Hodgkin is noticed.,"['Daoud, W', 'Rageh, H A']","['Daoud W', 'Rageh HA']",['fre'],"['Comparative Study', 'English Abstract', 'Journal Article']",France,Bull Soc Pathol Exot Filiales,Bulletin de la Societe de pathologie exotique et de ses filiales,7503399,IM,"['Adolescent', 'Adult', 'Age Factors', 'Antibodies/analysis', 'Child', 'Child, Preschool', 'Female', 'Hemagglutination Tests', 'Humans', 'Infant', 'Leishmania donovani/immunology', 'Leishmaniasis, Visceral/diagnosis/*epidemiology/immunology', 'Male', 'Seasons', 'Sex Factors', 'Yemen']",1986/01/01 00:00,1986/01/01 00:01,['1986/01/01 00:00'],"['1986/01/01 00:00 [pubmed]', '1986/01/01 00:01 [medline]', '1986/01/01 00:00 [entrez]']",,ppublish,Bull Soc Pathol Exot Filiales. 1986;79(4):507-13.,"Analyse serologique, clinique et epidemiologique de 53 cas de Kala-Azar en Republique Arabe du Yemen.",['0 (Antibodies)'],,,,,,,,,,
3802302,NLM,MEDLINE,19870303,20131121,0392-906X (Print) 0392-906X (Linking),5,6,1986 Dec,"Treatment of infections during hematologic malignancies with aztreonam, a new antibiotic.",400-3,"Nineteen patients with hematological malignancies (5 malignant lymphomas, 9 acute leukemia and 5 other hematological diseases) were treated with aztreonam alone or in combination for infection. Four out of five patients in the lymphoma group, 6/9 in the leukemia group and 4/5 in the last group were considered cured of their infection. No important clinical side effects or consistent deterioration of hematology and chemistry tests were observed.","['Rizzo, S C', 'Ricevuti, G', 'Invernizzi, R', 'Mazzone, A', 'Nastasi, G']","['Rizzo SC', 'Ricevuti G', 'Invernizzi R', 'Mazzone A', 'Nastasi G']",['eng'],['Journal Article'],Italy,Chemioterapia,Chemioterapia : international journal of the Mediterranean Society of Chemotherapy,8401667,IM,"['Acute Disease', 'Aztreonam/*therapeutic use', 'Bacterial Infections/complications/*drug therapy', 'Humans', 'Leukemia/*complications', 'Lymphoma/*complications']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']",,ppublish,Chemioterapia. 1986 Dec;5(6):400-3.,,['G2B4VE5GH8 (Aztreonam)'],,,,,,,,,,
3802210,NLM,MEDLINE,19870302,20190720,0008-8749 (Print) 0008-8749 (Linking),103,2,1986 Dec,"Characterization of calcium-activated, phospholipid-dependent protein kinase from rat serosal mast cells and RBL-1 cells.",381-93,"Evidence is presented that rat serosal mast cells and cells of the rat basophilic leukemia line, RBL-1, each contain a calcium-activated, phospholipid-dependent protein kinase. The enzymes are very similar in their activation requirements to the calcium-dependent enzymes termed protein kinase Cs in brain. The enzyme is selectively stimulated by diolein and phosphatidylserine and is inhibited by several local anesthetics. The Ka for Ca2+ is 1.0 X 10(-3) M and 1.5 X 10(-4) M in mast cells and RBL-1 cells, respectively. The enzyme in mast cells is rapidly activated and apparently changed in its intracellular distribution when intact mast cells are stimulated with 48/80, A-23187, and anti-IgE and 12-O-tetradecanoyl-13-acetate in combination.","['Kurosawa, M', 'Parker, C W']","['Kurosawa M', 'Parker CW']",['eng'],['Journal Article'],Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Animals', 'Calcium/pharmacology', 'Cell Line', 'Chromatography, Gel', 'Enzyme Activation', 'Leukemia, Experimental/*enzymology', 'Male', 'Mast Cells/*enzymology', 'Protein Kinase C/*analysis/isolation & purification/physiology', 'Rats', 'Rats, Inbred Strains', 'Tetradecanoylphorbol Acetate/pharmacology']",1986/12/01 00:00,1986/12/01 00:01,['1986/12/01 00:00'],"['1986/12/01 00:00 [pubmed]', '1986/12/01 00:01 [medline]', '1986/12/01 00:00 [entrez]']","['0008-8749(86)90098-5 [pii]', '10.1016/0008-8749(86)90098-5 [doi]']",ppublish,Cell Immunol. 1986 Dec;103(2):381-93. doi: 10.1016/0008-8749(86)90098-5.,,"['EC 2.7.11.13 (Protein Kinase C)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)', 'SY7Q814VUP (Calcium)']",,,,,,,,,,
3802199,NLM,MEDLINE,19870226,20190720,0008-8749 (Print) 0008-8749 (Linking),102,1,1986 Oct 1,Influence of interferon on the functional expression of natural killer target structures of murine lymphoma cells.,113-25,"Murine lymphoma cells (YAC-1), induced by Moloney leukemia virus, nontreated (YAC) or pretreated in vitro with interferon (YAC-IF), were tested for their susceptibility to natural killer (NK)-mediated cytolysis. In line with previous reports YAC-IF were less susceptible to NK lysis than YAC cells. In cold competition assay, YAC-IF inhibited cytotoxicity to a lesser extent than YAC lymphoma when labeled target YAC cells were used. However, when radioactive YAC-IF cells were used as targets, cold competition attained with both YAC and YAC-IF was essentially the same. Furthermore, effector splenocytes, depleted of NK effector cells through immunoabsorption on YAC monolayer, were inactive against both YAC and YAC-IF targets. On the other hand, effector lymphocytes, absorbed on YAC-IF monolayer, retained NK activity against YAC cells but not against YAC-IF targets. These results are compatible with the hypothesis that interferon (IF) modulates negatively a subset of ""interferon-susceptible"" (IFS) NK target structure(s) (TS) of YAC cells, which would then express membrane determinants not functionally present on YAC-IF cells. On the other hand YAC and YAC-IF cells share ""interferon-resistant"" (IFR) TS not affected by pretreatment with IF. In order to test whether IFS X TS and IFR X TS are present on the same cell or clonally distributed, YAC cells were cloned and tested for NK susceptibility following IF pretreatment. The results did not support the hypothesis of a clonal distribution of both IFS X TS and IFR X TS since IF pretreatment of all clones, obtained by limiting dilution, resulted in a net impairment of target susceptibility to NK effector cells.","['Marini, S', 'Guadagni, F', 'Bonmassar, E', 'Potenza, P', 'Giuliani, A']","['Marini S', 'Guadagni F', 'Bonmassar E', 'Potenza P', 'Giuliani A']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Cell Immunol,Cellular immunology,1246405,IM,"['Animals', 'Cell Line', 'Cytotoxicity Tests, Immunologic', 'Cytotoxicity, Immunologic', 'Interferon Type I/*pharmacology', 'Killer Cells, Natural/*immunology', 'Lymphoma/*immunology', 'Mice', 'Mice, Inbred Strains/immunology', 'Mice, Nude/immunology', 'Moloney murine leukemia virus']",1986/10/01 00:00,1986/10/01 00:01,['1986/10/01 00:00'],"['1986/10/01 00:00 [pubmed]', '1986/10/01 00:01 [medline]', '1986/10/01 00:00 [entrez]']","['0008-8749(86)90330-8 [pii]', '10.1016/0008-8749(86)90330-8 [doi]']",ppublish,Cell Immunol. 1986 Oct 1;102(1):113-25. doi: 10.1016/0008-8749(86)90330-8.,,['0 (Interferon Type I)'],,,,,,,,,,
3802173,NLM,MEDLINE,19870319,20141120,0008-7335 (Print) 0008-7335 (Linking),126,4,1987 Jan 23,[Interferon formation in hairy cell leukemia].,110-2,,"['Vanecek, K', 'Lehovcova, A', 'Neuwirtova, R', 'Borecky, L', 'Sedlackova, M']","['Vanecek K', 'Lehovcova A', 'Neuwirtova R', 'Borecky L', 'Sedlackova M']",['cze'],"['English Abstract', 'Journal Article']",Czech Republic,Cas Lek Cesk,Casopis lekaru ceskych,0004743,IM,"['Humans', 'In Vitro Techniques', 'Interferon Type I/*biosynthesis', 'Leukemia, Hairy Cell/*metabolism', 'Lymphocytes/*metabolism']",1987/01/23 00:00,1987/01/23 00:01,['1987/01/23 00:00'],"['1987/01/23 00:00 [pubmed]', '1987/01/23 00:01 [medline]', '1987/01/23 00:00 [entrez]']",,ppublish,Cas Lek Cesk. 1987 Jan 23;126(4):110-2.,Tvorba interferonu u leukemie z vlasatych bunek.,['0 (Interferon Type I)'],,,,,,,,,,
3802115,NLM,MEDLINE,19870313,20131121,0361-5960 (Print) 0361-5960 (Linking),71,2,1987 Feb,"Etoposide in combination with cytarabine, doxorubicin, and 6-thioguanine for treatment of acute nonlymphoblastic leukemia in a protocol adjusted for age.",201-3,"Etoposide combined with cytarabine, doxorubicin, and 6-thioguanine was used to treat 34 patients with acute nonlymphoblastic leukemia (ANLL) in an age-adjusted protocol, with patients greater than 50 years old receiving fewer days of therapy. Complete remissions (CR) occurred in 85% of all patients (29 of 34 patients). Patients less than or equal to 50 years of age achieved a 94% CR rate (17 of 18 patients) compared to a 75% CR rate (12 of 16 patients) in older patients. Duration of remission was less for those greater than 50 years of age. The remission rate for primary ANLL was 86% (19 of 22 patients) and for secondary or relapsed ANLL was 83% (ten of 12 patients). Thus, this is effective therapy for primary and secondary or relapsed ANLL. When the days of therapy are reduced for older patients' age, the remissions are fewer and less durable.","['Bern, M M', 'Wallach, S R', 'Arkin, C F', 'Lokich, J J', 'Huberman, M S', 'Anderson, N R', 'Corkery, J C', 'Paul, S D', 'Phillips, D F', 'Sonneborn, H A']","['Bern MM', 'Wallach SR', 'Arkin CF', 'Lokich JJ', 'Huberman MS', 'Anderson NR', 'Corkery JC', 'Paul SD', 'Phillips DF', 'Sonneborn HA', 'et al.']",['eng'],['Journal Article'],United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Age Factors', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Blood Cell Count', 'Bone Marrow/pathology', 'Cytarabine/administration & dosage', 'Doxorubicin/administration & dosage', 'Drug Administration Schedule', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Leukemia/*drug therapy/mortality/pathology', 'Male', 'Middle Aged', 'Thioguanine/administration & dosage']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1987 Feb;71(2):201-3.,,"['04079A1RDZ (Cytarabine)', '6PLQ3CP4P3 (Etoposide)', '80168379AG (Doxorubicin)', 'FTK8U1GZNX (Thioguanine)']",,,,,,,,,,
3802110,NLM,MEDLINE,19870313,20151119,0361-5960 (Print) 0361-5960 (Linking),71,2,1987 Feb,Prolonged unmaintained remission after intensive consolidation therapy in adult acute nonlymphocytic leukemia.,137-40,"Thirty-five adults with acute nonlymphocytic leukemia who were in complete remission after initial induction therapy received a single course of high-dose cytarabine and amsacrine as consolidation therapy. No further therapy was administered. Despite substantial toxicity, the median duration of disease-free survival was 12 months, and 30% of patients are projected to be alive in continuous complete remission at 3 years. A single course of intensive postremission chemotherapy provides long-term disease-free survival in the absence of any further treatment.","['Cassileth, P A', 'Begg, C B', 'Silber, R', 'Spiers, A', 'Burkart, P T', 'Scharfman, W', 'Knospe, W H', 'Bennett, J M', 'Mazza, J J', 'Oken, M M']","['Cassileth PA', 'Begg CB', 'Silber R', 'Spiers A', 'Burkart PT', 'Scharfman W', 'Knospe WH', 'Bennett JM', 'Mazza JJ', 'Oken MM', 'et al.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Treat Rep,Cancer treatment reports,7607107,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Amsacrine/administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bone Marrow/pathology', 'Cytarabine/administration & dosage', 'Humans', 'Leukemia/*drug therapy/mortality/pathology', 'Middle Aged', 'Mycoses/etiology', 'Pilot Projects']",1987/02/01 00:00,1987/02/01 00:01,['1987/02/01 00:00'],"['1987/02/01 00:00 [pubmed]', '1987/02/01 00:01 [medline]', '1987/02/01 00:00 [entrez]']",,ppublish,Cancer Treat Rep. 1987 Feb;71(2):137-40.,,"['00DPD30SOY (Amsacrine)', '04079A1RDZ (Cytarabine)']","['CA-15488/CA/NCI NIH HHS/United States', 'CA-21115/CA/NCI NIH HHS/United States', 'CA-23318/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,
3802104,NLM,MEDLINE,19870319,20131121,0008-5472 (Print) 0008-5472 (Linking),47,4,1987 Feb 15,Prevention of lethal and renal toxicity of cis-diamminedichloroplatinum(II) by induction of metallothionein synthesis without compromising its antitumor activity in mice.,983-7,"The participation of renal metallothionein (MT) in the toxicity and antitumor activity of cis-diamminedichloroplatinum(II) (cis-DDP) in male mice was examined. Preinduction of MT in the kidney by the s.c. administration of bismuth compounds decreased the lethality and renal and gastrointestinal toxicity caused by a single s.c. injection of cis-DDP. In the present study a correlation between the protective effect of pretreatment with bismuth nitrate against cis-DDP toxicity and the preinduced MT levels in the kidney was observed. Bismuth nitrate pretreatment showed no effect on the antitumor activity of cis-DDP against several transplantable tumors, probably because it induces MT in the kidney but not in tumor tissues. The fact that p.o. preadministration of bismuth subnitrate, an antidiarrheal drug, also depressed the lethal toxicity of cis-DDP is promising for its prompt application in medical attention. Thus, bismuth pretreatment allows higher doses of cis-DDP with no apparent toxicity, resulting in more efficient utilization of this anticancer drug.","['Naganuma, A', 'Satoh, M', 'Imura, N']","['Naganuma A', 'Satoh M', 'Imura N']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Antacids/therapeutic use', 'Bismuth/*therapeutic use', 'Cisplatin/*toxicity', 'Digestive System/drug effects', 'Kidney/*drug effects/metabolism', 'Leukemia P388/drug therapy', 'Male', 'Metallothionein/*biosynthesis', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL']",1987/02/15 00:00,1987/02/15 00:01,['1987/02/15 00:00'],"['1987/02/15 00:00 [pubmed]', '1987/02/15 00:01 [medline]', '1987/02/15 00:00 [entrez]']",,ppublish,Cancer Res. 1987 Feb 15;47(4):983-7.,,"['0 (Antacids)', '9038-94-2 (Metallothionein)', 'H19J064BA5 (bismuth subnitrate)', 'Q20Q21Q62J (Cisplatin)', 'U015TT5I8H (Bismuth)']",,,,,,,,,,
