PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,GR,PMC,RF,AD,SI,LID,CIN,OID,RIN,ROF,PS,FPS
6418162,NLM,MEDLINE,19840107,20190612,0006-291X (Print) 0006-291X (Linking),116,2,1983 Oct 31,Flavonoids: potent inhibitors of arachidonate 5-lipoxygenase.,612-8,"Various flavonoids were found to be relatively selective inhibitors of arachidonate 5-lipoxygenase which initiates the biosynthesis of leukotrienes with the activity of slow reacting substance of anaphylaxis. Cirsiliol (3',4',5-trihydroxy-6,7-dimethoxyflavone) was most potent, and the enzyme partially purified from rat basophilic leukemia cells was inhibited by 97% at a concentration of 10 microM (IC50, about 0.1 microM). 12-Lipoxygenases from bovine platelets and porcine leukocytes were also inhibited but at higher concentrations (IC50, about 1 microM), and fatty acid cyclooxygenase purified from bovine vesicular gland was scarcely affected. The compound at 10 microM suppressed by 99% the immunological release of slow reacting substance of anaphylaxis from passively sensitized guinea pig lung (IC50, about 0.4 microM).","['Yoshimoto, T', 'Furukawa, M', 'Yamamoto, S', 'Horie, T', 'Watanabe-Kohno, S']","['Yoshimoto T', 'Furukawa M', 'Yamamoto S', 'Horie T', 'Watanabe-Kohno S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Flavones)', '0 (Flavonoids)', '0 (Lipoxygenase Inhibitors)', '0 (SRS-A)', '34334-69-5 (cirsiliol)', 'EC 1.13.11.- (Arachidonate Lipoxygenases)']",IM,"['Animals', 'Arachidonate Lipoxygenases', 'Blood Platelets/enzymology', 'Cattle', 'Dose-Response Relationship, Drug', '*Flavones', 'Flavonoids/*pharmacology', 'Guinea Pigs', 'Leukocytes/enzymology', '*Lipoxygenase Inhibitors', 'Lung/drug effects', 'Male', 'Muscle Contraction/drug effects', 'SRS-A/metabolism', 'Swine']",1983/10/31 00:00,1983/10/31 00:01,['1983/10/31 00:00'],"['1983/10/31 00:00 [pubmed]', '1983/10/31 00:01 [medline]', '1983/10/31 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1983 Oct 31;116(2):612-8. doi: 10.1016/0006-291x(83)90568-5.,"['0006-291X(83)90568-5 [pii]', '10.1016/0006-291x(83)90568-5 [doi]']",,,,,,,,,,,,
6418137,NLM,MEDLINE,19840107,20071115,0378-8679 (Print) 0378-8679 (Linking),11,,1983,"[Intravenous immunoglobulin substitution in patients with multiple myeloma, Waldenstrom's syndrome and chronic lymphatic leukemia with secondary antibody deficiency syndrome].",52-8,,"['Schedel, I']",['Schedel I'],['ger'],['Journal Article'],"Intravenose Immunglobulin-Substitution bei Patienten mit multiplem Myelom, Morbus Waldenstrom und chronischer lymphatischer Leukamie mit sekundarem Antikorpermangelsyndrom.",Switzerland,Beitr Infusionther Klin Ernahr,Beitrage zu Infusionstherapie und klinische Ernahrung,7905962,['0 (Immunoglobulin G)'],IM,"['Humans', '*Immunization, Passive', 'Immunoglobulin G/analysis', 'Immunologic Deficiency Syndromes/etiology/*therapy', 'Infusions, Parenteral', 'Leukemia, Lymphoid/immunology/*therapy', 'Multiple Myeloma/immunology/*therapy', 'Prospective Studies', 'Waldenstrom Macroglobulinemia/immunology/*therapy']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Beitr Infusionther Klin Ernahr. 1983;11:52-8.,,,,,,,,,,,,,
6418081,NLM,MEDLINE,19840107,20190501,1468-2044 (Electronic) 0003-9888 (Linking),58,11,1983 Nov,The effect of testicular irradiation on Leydig cell function in prepubertal boys with acute lymphoblastic leukaemia.,906-10,"Testicular function was investigated by the luteinising hormone releasing hormone (LHRH) test and a three day human chorionic gonadotrophin (HCG) test in 11 prepubertal boys with acute lymphoblastic leukaemia (ALL) who had received 2400 rads of fractionated radiation to their testes after relapse at this site. The results were compared with an unirradiated control group. Basal and peak testosterone values after 1000 units of HCG were significantly lower in the irradiated patients than in the control group. Peak follicle stimulating hormone (FSH) values after 100 micrograms LHRH were significantly higher in irradiated boys, but there was no difference in either basal FSH or basal and peak luteinising hormone values. The findings suggest that the ability of the Leydig cell to produce testosterone--as detected by the HCG test--is appreciably reduced after irradiation and that tubular dysfunction in prepubertal boys may sometimes be predicted by a raised FSH response.","['Leiper, A D', 'Grant, D B', 'Chessells, J M']","['Leiper AD', 'Grant DB', 'Chessells JM']",['eng'],['Journal Article'],,England,Arch Dis Child,Archives of disease in childhood,0372434,"['0 (Chorionic Gonadotropin)', '33515-09-2 (Gonadotropin-Releasing Hormone)', '3XMK78S47O (Testosterone)', '9002-67-9 (Luteinizing Hormone)', '9002-68-0 (Follicle Stimulating Hormone)']",IM,"['Child', 'Child, Preschool', 'Chorionic Gonadotropin', 'Follicle Stimulating Hormone/blood', 'Gonadotropin-Releasing Hormone', 'Humans', 'Leukemia, Lymphoid/physiopathology/*radiotherapy', 'Leydig Cells/physiology/*radiation effects', 'Luteinizing Hormone/blood', 'Male', 'Radiotherapy/*adverse effects', 'Testis/physiopathology/*radiation effects', 'Testosterone/blood/metabolism']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",ppublish,Arch Dis Child. 1983 Nov;58(11):906-10. doi: 10.1136/adc.58.11.906.,['10.1136/adc.58.11.906 [doi]'],,PMC1628384,,,,,,,,,,
6417961,NLM,MEDLINE,19840127,20180216,0001-5792 (Print) 0001-5792 (Linking),70,6,1983,Flow cytometric determination of the S-phase compartment in adult acute leukemia.,369-78,"Flow-cytometric analysis of bone marrow aspirates and blood samples was performed in 106 adult patients with acute leukemia in order to assess the size and the prognostic significance of the percentage of S-phase cells in the bone marrow (%Sbm). A correction procedure was applied for the fraction of contaminating peripheral nucleated cells in bone marrow aspirates (%Fpb). In 82 out of 106 patients studied, the %Sbm could be reliably determined, and was compared to the %Sbm in 25 healthy controls. The %Sbm in these healthy controls ranged from 8.4 to 14.6%. The median %Sbm in 31 patients with acute nonlymphocytic leukemia (ANLL) at diagnosis (11.3%) and in 14 patients with ANLL at relapse (11.8%) did not differ significantly from the median %Sbm in normal bone marrow (11.7%). On the other hand, in 12 out of 23 patients with acute lymphocytic leukemia (ALL) at diagnosis and in 6 out of 11 patients with ALL at relapse the %Sbm was much higher and ranged from 17.8 to 44.0%. The prognosis of patients with ALL with a high %Sbm (greater than 15%) was significantly worse. Blast cells with an abnormal DNA content (aneuploid cells) were noticed in 7.7% of the patients with acute leukemia at diagnosis. This incidence, however, was significantly higher in ALL patients at relapse (i.e. 42.1%).","['Holdrinet, R S', 'Pennings, A', 'Drenthe-Schonk, A M', 'van Egmond, J', 'Wessels, J M', 'Haanen, C']","['Holdrinet RS', 'Pennings A', 'Drenthe-Schonk AM', 'van Egmond J', 'Wessels JM', 'Haanen C']",['eng'],['Journal Article'],,Switzerland,Acta Haematol,Acta haematologica,0141053,['9007-49-2 (DNA)'],IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aging', 'Bone Marrow/*pathology', 'DNA/analysis', 'Flow Cytometry', 'Humans', 'Interphase', 'Leukemia/*pathology']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1983;70(6):369-78. doi: 10.1159/000206795.,['10.1159/000206795 [doi]'],,,,,,,,,,,,
6417776,NLM,MEDLINE,19840107,20101118,0036-7672 (Print) 0036-7672 (Linking),113,40,1983 Oct 8,[Genetic factors linked to the HLA system conferring increased susceptibility to acute lymphoblastic leukemia in children].,1445-7,"Inheritance of HLA antigens in 55 families of patients with ALL was analyzed. Significantly increased sharing of DR antigens was observed among the parents of the affected children (p = 0.003). A similar increase was noted in the sharing of HLA-B antigens (p = 0.02). The observed number of DR homozygotes among the patients was twice the expected value in families where the parents shared a B and a DR antigen. Segregation analysis of the shared antigens disclosed significant prevalence of heterozygotes among the healthy siblings, which suggested the occurrence of gametic selection in such families. This study indicates that mating of certain shared alleles of the HLA system (especially of the DR locus) is associated with a risk for the offspring to develop ALL in childhood. Restricted heterogeneity of the parental HLA gene pool favours the expression of linked recessive genes and, presumably, of those involved in susceptibility to ALL.","['von Fliedner, V', 'Merica, H', 'Jeannet, M', 'Chapuis, B', 'Feldges, A', 'Imbach, P', 'Wyss, M']","['von Fliedner V', 'Merica H', 'Jeannet M', 'Chapuis B', 'Feldges A', 'Imbach P', 'Wyss M']",['ger'],"['English Abstract', 'Journal Article']",Mise en evidence de facteurs genetiques lies au systeme HLA conferant une susceptibilite augmentee a la leucemie lymphoblastique aigue chez l'enfant.,Switzerland,Schweiz Med Wochenschr,Schweizerische medizinische Wochenschrift,0404401,"['0 (HLA Antigens)', '0 (HLA-B Antigens)', '0 (HLA-DR Antigens)', '0 (Histocompatibility Antigens Class II)']",IM,"['Child', 'Disease Susceptibility', 'Female', 'Genes, MHC Class II', '*Genetic Linkage', 'HLA Antigens/analysis/*genetics', 'HLA-B Antigens', 'HLA-DR Antigens', 'Histocompatibility Antigens Class II/analysis', 'Homozygote', 'Humans', 'Leukemia, Lymphoid/*genetics/immunology', 'Male']",1983/10/08 00:00,1983/10/08 00:01,['1983/10/08 00:00'],"['1983/10/08 00:00 [pubmed]', '1983/10/08 00:01 [medline]', '1983/10/08 00:00 [entrez]']",ppublish,Schweiz Med Wochenschr. 1983 Oct 8;113(40):1445-7.,,,,,,,,,,,,,
6417671,NLM,MEDLINE,19840107,20071114,0361-7742 (Print) 0361-7742 (Linking),132E,,1983,Second malignancies and chemotherapeutic agents.,45-54,,"['Kyle, R A']",['Kyle RA'],['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Prog Clin Biol Res,Progress in clinical and biological research,7605701,['0 (Antineoplastic Agents)'],IM,"['Acute Disease', 'Adult', 'Aged', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Breast Neoplasms/drug therapy', 'Female', 'Hodgkin Disease/drug therapy', 'Humans', 'Leukemia/*chemically induced/drug therapy', 'Lymphoma/drug therapy', 'Male', 'Middle Aged', 'Multiple Myeloma/drug therapy', '*Neoplasms, Multiple Primary', 'Ovarian Neoplasms/drug therapy', 'Waldenstrom Macroglobulinemia/drug therapy']",1983/01/01 00:00,1983/01/01 00:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '1983/01/01 00:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,Prog Clin Biol Res. 1983;132E:45-54.,,"['CA-16835/CA/NCI NIH HHS/United States', 'CA-4646/CA/NCI NIH HHS/United States']",,,,,,,,,,,
6417657,NLM,MEDLINE,19840107,20190501,0027-8424 (Print) 0027-8424 (Linking),80,22,1983 Nov,"Autogenous production of a hemopoietic growth factor, persisting-cell-stimulating factor, as a mechanism for transformation of bone marrow-derived cells.",6892-6,"Lines of hemopoietic progenitor cells can be grown for prolonged or indefinite periods in vitro in the presence of a specific growth factor produced by activated T lymphocytes, persisting (P)-cell-stimulating factor (PSF). From such a PSF-dependent line, we report the emergence of variants that had concomitantly acquired both the capacity for autonomous growth in the absence of exogenous PSF and the capacity for the autogenous production of PSF. The link between these two new properties was strengthened by the demonstration that the variant lines absorbed PSF and, in some culture conditions, responded to exogenous PSF. Thus when variant cells were plated at low density in 1-ml agar cultures, cloning efficiency and colony size were enhanced by supplementation with sources of PSF, including medium conditioned by concanavalin A-stimulated normal spleen cells, T-cell tumors and T-cell hybridomas, and, importantly, medium conditioned by the autonomous P-cell lines themselves. In contrast to the parental line, the autonomous clones tested formed progressively growing tumors in vivo. It is proposed that the myelomonocytic leukemia WEHI-3B that produces PSF arose from a neutrophil-macrophage progenitor through acquisition of the capacity for the autogenous production of PSF and that the autogenous production of PSF may play a similar role in a range of proliferative disorders both of the blood and of other tissues containing components derived from the bone marrow.","['Schrader, J W', 'Crapper, R M']","['Schrader JW', 'Crapper RM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Growth Substances)', '0 (Interleukin-3)', '0 (Lymphokines)']",IM,"['Animals', 'Bone Marrow/physiology', 'Cell Line', '*Cell Transformation, Neoplastic', 'Cells, Cultured', 'Genetic Variation', 'Growth Substances/*genetics/physiology', 'Hematopoietic Stem Cells/*physiology', 'Interleukin-3', 'Karyotyping', 'Kinetics', 'Lymphokines/*genetics/physiology', 'Mice', 'Mice, Inbred Strains']",1983/11/01 00:00,1983/11/01 00:01,['1983/11/01 00:00'],"['1983/11/01 00:00 [pubmed]', '1983/11/01 00:01 [medline]', '1983/11/01 00:00 [entrez]']",ppublish,Proc Natl Acad Sci U S A. 1983 Nov;80(22):6892-6. doi: 10.1073/pnas.80.22.6892.,['10.1073/pnas.80.22.6892 [doi]'],,PMC390092,,,,,,,,,,
6417532,NLM,MEDLINE,19840127,20071115,0341-3098 (Print) 0341-3098 (Linking),125,46,1983 Nov 18,[Rare causes of meningoencephalitic complications in leukemia].,1079-81,,"['Moller, A', 'Schadlich, H J']","['Moller A', 'Schadlich HJ']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",Seltene Ursachen meningoenzephalitischer Komplikationen bei Leukamie.,Germany,MMW Munch Med Wochenschr,"MMW, Munchener medizinische Wochenschrift",7801805,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Lymphoid/*complications', 'Leukemia, Myeloid, Acute/*complications', 'Male', 'Meningoencephalitis/diagnosis/*etiology', 'Middle Aged']",1983/11/18 00:00,1983/11/18 00:01,['1983/11/18 00:00'],"['1983/11/18 00:00 [pubmed]', '1983/11/18 00:01 [medline]', '1983/11/18 00:00 [entrez]']",ppublish,MMW Munch Med Wochenschr. 1983 Nov 18;125(46):1079-81.,,,,,,,,,,,,,
6417377,NLM,MEDLINE,19840107,20071115,0368-2811 (Print) 0368-2811 (Linking),13,3,1983 Sep,Macroglobulinemia and chronic B-cell type lymphocytic leukemia in japan--study of autopsy cases.,607-22,"Autopsy cases of Waldenstrom's macroglobulinemia (WM) and chronic lymphocytic leukemia of B-cell type (B-CLL) were examined to determine the geographical distribution and histological characteristics of these diseases in Japan. Both diseases occurred primarily at 50 to 60 years of age with a predominance of males and were distributed throughout Japan with a population slightly lower than that of T-CLL in southwestern Japan. Histologically WM (31 cases) consisted mainly of small cell type malignant lymphoma with plasmacytic differentiation (27 cases) according to the Japanese Classification (LSG) and cytoplasmic immunoglobulins with a monoclonal pattern of immunoglobulin M (IgM) (lambda 12; kappa seven). The bone marrow involvement (27 cases) was follicular, mixed (follicular and diffuse) or diffuse. B-CLL (58 cases) also showed principally a small cell type histology (48 cases) and 16 of the cases showed plasmacytic differentiation as in WM. Cytoplasmic immunoglobulins with a monoclonal pattern were found in 10 (six of IgG, two of IgM, one of IgG and M, and one of IgA). Bone marrow involvement (56 cases) revealed the same histological pattern as WM. According to the growth pattern of the tumor cells in the bone marrow and lymph nodes, both diseases may be categorized as bone marrow-based lymphoma.","['Kikuchi, M', 'Mitsui, T', 'Takeshita, M', 'Okamura, H']","['Kikuchi M', 'Mitsui T', 'Takeshita M', 'Okamura H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,"['0 (Immunoglobulin kappa-Chains)', '0 (Immunoglobulin lambda-Chains)']",IM,"['Adult', 'Aged', 'Autopsy', '*B-Lymphocytes', 'Bone Marrow/pathology', 'Female', 'Humans', 'Immunoglobulin kappa-Chains/analysis', 'Immunoglobulin lambda-Chains/analysis', 'Leukemia, Lymphoid/immunology/*pathology', 'Lymph Nodes/pathology', 'Male', 'Middle Aged', 'Waldenstrom Macroglobulinemia/immunology/*pathology']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",ppublish,Jpn J Clin Oncol. 1983 Sep;13(3):607-22.,,,,,,,,,,,,,
6417376,NLM,MEDLINE,19840107,20071115,0368-2811 (Print) 0368-2811 (Linking),13,3,1983 Sep,"B-cell malignancy and monoclonal gammopathy, and idiotype of cell surface and serum immunoglobulin.",533-42,"We studied cell surface membrane immunoglobulins (SmIg), intracytoplasmic Ig (CIg) and monoclonal Ig (M protein) in patients with the B-cell series malignancies; malignant lymphoma, chronic lymphocytic leukemia (CLL), Waldenstrom's macroglobulinemia (WM), multiple myeloma (MM), and monoclonal gammopathy (MG) associated with Sjogren's syndrome (SS). The patients were examined for idyotype (Id) determinants on the cell surface and in the cytoplasm of malignant cells as well as serum M proteins. Twenty-two patients had malignant lymphoma with monoclonal SmIg. The malignant cells of 11 patients contained CIg; four of these 11 patients had a small amount of serum M protein. SmIg of the IgM class was most frequent (12/22) and the lambda type light chain was predominant (kappa/lambda ratio = 4/8). By means of rabbit anti-Id antisera prepared against M proteins, Id determinants were demonstrated on the cell surface and in the cytoplasm of malignant cells as well as in the serum M proteins, indicating that the malignant cells proliferated monoclonally producing monoclonal IgM on the cell surface and in the cytoplasm and secreting it to the serum. Six CLL patients were included in our series; one manifested monoclonal IgM in the serum. The Id determinants of M protein was detected on the cell surface and in the cytoplasm of pathologic cells in the peripheral blood. Eight of ten WM patients were examined for SmIg; all had monoclonal SmIg on the surface of cells from peripheral blood or bone marrow. Id determinants were detected on the cell surface and in the cytoplasm of malignant cells in four WM patients. There were 42 patients with MM; 10 of them were examined for SmIg and three of these had monoclonal SmIg on plasma cells derived from the bone marrow. By immunofluorescent and mixed rosette methods, Id-bearing B (0-20%) and T cells (0-2%) were identified in the peripheral blood of MM patients who had no plasma cells in the peripheral blood. Our findings suggest that a monoclonal change may occur at the B-cell level and that Id-bearing T cells may exist as regulatory T cells. Ten SS patients had M proteins. Non-IgM class M proteins (2 IgG and 4 IgA) were more frequent than the IgM class (3 IgM). Four M proteins with rheumatoid factor (RF) activity were found among these 10 M proteins.(ABSTRACT TRUNCATED AT 400 WORDS)","['Sugai, S', 'Takiguchi, T', 'Hirose, Y', 'Konaka, Y', 'Shimizu, S', 'Konda, S']","['Sugai S', 'Takiguchi T', 'Hirose Y', 'Konaka Y', 'Shimizu S', 'Konda S']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,"['0 (Blood Proteins)', '0 (Immunoglobulin Idiotypes)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)', '0 (M-proteins (Myeloma))', '0 (Receptors, Antigen, B-Cell)']",IM,"['Adult', '*B-Lymphocytes', 'Blood Proteins/analysis', 'Humans', 'Hypergammaglobulinemia/*immunology', 'Immunoglobulin Idiotypes/*analysis', 'Immunoglobulin M/analysis', '*Immunoglobulins', 'Leukemia, Lymphoid/*immunology', 'Lymphoma/*immunology', 'Middle Aged', 'Multiple Myeloma/*immunology', 'Receptors, Antigen, B-Cell/*analysis', 'T-Lymphocytes/immunology', 'Waldenstrom Macroglobulinemia/*immunology']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",ppublish,Jpn J Clin Oncol. 1983 Sep;13(3):533-42.,,,,,,,,,,,,,
6417375,NLM,MEDLINE,19840107,20061115,0368-2811 (Print) 0368-2811 (Linking),13,3,1983 Sep,B-cell malignancies and differentiation antigens defined with monoclonal antibodies.,517-31,"Monoclonal antibodies directed to B-cell lineage were produced. They were characterized by their reactivity with a variety of human hematopoietic cell lines and normal lymphoid cells and by the immunohistological distribution of cells positive for the antibodies. Some of them were specific for B-cell lineage at various stages of B-cell differentiation and some were, in addition, cross-reactive with other cell lineages. These newly produced antibodies were utilized to dissect and characterize B-cell malignancies and were applied for classification of B-cell malignancies.","['Kikuchi, K', 'Koshiba, H', 'Kasai, K', 'Hiratsuka, H', 'Fujimoto, N', 'Uede, T']","['Kikuchi K', 'Koshiba H', 'Kasai K', 'Hiratsuka H', 'Fujimoto N', 'Uede T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, B-Lymphocyte)', '0 (Antigens, Neoplasm)', '0 (Antigens, Surface)']",IM,"['Animals', 'Antibodies, Monoclonal/*immunology', 'Antigens, Differentiation, B-Lymphocyte', 'Antigens, Neoplasm/*analysis', 'Antigens, Surface/*analysis', 'B-Lymphocytes/*immunology', 'Cell Differentiation', 'Female', 'Humans', 'Leukemia/classification/*immunology', 'Lymphoma/*immunology', 'Mice']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",ppublish,Jpn J Clin Oncol. 1983 Sep;13(3):517-31.,,,,,,,,,,,,,
6417373,NLM,MEDLINE,19840107,20071115,0368-2811 (Print) 0368-2811 (Linking),13,3,1983 Sep,Monoclonal antibody studies in B(non-T)-cell malignancies.,477-88,"Tumor cells suspensions prepared from 129 B- or non-T cell malignancies were investigated with a panel of 10 monoclonal antibodies and conventional surface marker techniques. Surface immunoglobulin (sIg) and B1 antigen proved to be the most useful markers for B-cell lineage. Six major subtypes of acute lymphoblastic leukemia (ALL) of non-T cell nature are now recognized by these immunological techniques, including null-ALL, Ia-ALL, lymphoid stem cell ALL, pre-pre-B ALL, pre-B ALL and B-ALL. In cases of chronic leukemias and lymphomas of non-T cell nature, 80% of the tumor was defined by sIg and 88% by B1 antigen as definitely of B-cell lineage. The clonal character was also defined in 68% of the tumor on the basis of the detection of predominant single light chain in sIg. Ia-like antigen was detected in almost all cases (96%). Leukemic cells from all cases of chronic lymphocytic leukemia (CLL), chronic lymphosarcoma cell leukemia (CLsCL) and hairy cell leukemia (HCL) reacted with OKIa1 and anti-B1, and leukemic cells from most of them with anti-pan T monoclonal antibody (10.2). In more than half of CLL and CLsCL, leukemic cells were reactive with J5, OKM1, 9.6 and OKT8, but not with OKT3, OKT4 and OKT6. HCL cells had almost the same reactivity with these monoclonal antibodies as CLL and CLsCL cells except that J5 remained unreactive. These results indicated that Japanese CLL, CLsCL and HCL were different from Western ones at least with respect to surface marker characteristics. In cases of lymphomas, heavy chains of sIg were expressed in polyclonal fashion, especially in follicular lymphoma and diffuse lymphomas of medium sized cell type and large cell type, indicating that lymphomas of these types may originate from follicular center cells of the heavy chain switching stage. Anti-T monoclonals were also reactive with lymphoma cells. In about half of follicular lymphomas and diffuse lymphomas of the medium sized cell type, lymphoma cells reacted with 10.2, and less frequently with 9.6, OKT4 and OKT3. On the other hand, only in one or two cases of diffuse lymphoma of the large cell type and of immunoblastic sarcoma (IBS), did tumor cells react with 10.2 and 9.6, but this was exceptional. In more than 25% of IBS, tumor cells also reacted with OKT8, but not with OKT4 and OKT3. These results indicated that anti-T monoclonals are no longer specific for T-cell lineage.(ABSTRACT TRUNCATED AT 400 WORDS)","['Shimoyama, M', 'Minato, K', 'Tobinai, K', 'Nagai, M', 'Hirose, M']","['Shimoyama M', 'Minato K', 'Tobinai K', 'Nagai M', 'Hirose M']",['eng'],['Journal Article'],,England,Jpn J Clin Oncol,Japanese journal of clinical oncology,0313225,"['0 (Antibodies, Monoclonal)', '0 (Receptors, Antigen, B-Cell)']",IM,"['Antibodies, Monoclonal/*immunology', 'B-Lymphocytes/*immunology', 'Humans', 'Leukemia/*immunology', 'Leukemia, Hairy Cell/immunology', 'Leukemia, Lymphoid/immunology', 'Lymphoma/*immunology', 'Multiple Myeloma/immunology', 'Phenotype', 'Receptors, Antigen, B-Cell/analysis', 'Waldenstrom Macroglobulinemia/immunology']",1983/09/01 00:00,1983/09/01 00:01,['1983/09/01 00:00'],"['1983/09/01 00:00 [pubmed]', '1983/09/01 00:01 [medline]', '1983/09/01 00:00 [entrez]']",ppublish,Jpn J Clin Oncol. 1983 Sep;13(3):477-88.,,,,,,,,,,,,,
6417357,NLM,MEDLINE,19840107,20161017,0098-7484 (Print) 0098-7484 (Linking),250,22,1983 Dec 9,Cyclosporine may inhibit mouse lymphoma growth.,3023-4,,"['Ziporyn, T']",['Ziporyn T'],['eng'],['News'],,United States,JAMA,JAMA,7501160,"['0 (Cyclosporins)', '0 (Interleukin-3)', '0 (Lymphokines)']",IM,"['Animals', 'Cyclosporins/*pharmacology', 'Humans', 'Interleukin-3', 'Leukemia, Experimental/*immunology/microbiology', 'Lymphokines/*biosynthesis', 'Mice', 'Mice, Inbred Strains/immunology', 'Moloney murine leukemia virus']",1983/12/09 00:00,1983/12/09 00:01,['1983/12/09 00:00'],"['1983/12/09 00:00 [pubmed]', '1983/12/09 00:01 [medline]', '1983/12/09 00:00 [entrez]']",ppublish,JAMA. 1983 Dec 9;250(22):3023-4.,,,,,,,,,,,,,
6417261,NLM,MEDLINE,19840126,20190508,0022-1007 (Print) 0022-1007 (Linking),158,6,1983 Dec 1,Immune interferon and leukocyte-conditioned medium induce normal and leukemic myeloid cells to differentiate along the monocytic pathway.,2058-80,"Conditioned medium from phytohemagglutinin-stimulated human leukocytes contains a factor that can induce promyelocytic cell lines and certain acute myelogenous leukemia cells to differentiate along the monocytic pathway. In this report, we show that immature myeloid cells from normal bone marrow or the peripheral blood of patients with chronic myelogenous leukemia can be induced to differentiate to monocyte-like cells by immune gamma interferon (IFN gamma). We have identified IFN gamma as the predominant differentiation factor contained in the conditioned medium. Purified or recombinant IFN gamma, but not various preparations of IFN alpha or beta, can induce monocytic differentiation in myeloid cells. In cultures containing conditioned medium, the cells fail to continue myeloid maturation, and are induced to express monocyte markers and functions, such as monocyte-specific surface antigens, HLA-DR antigens, Fc receptors for monomeric immunoglobulins, nonspecific esterase, and the ability to mediate antibody-dependent, cell-mediated cytotoxicity. Even myeloid cells as mature as metamyelocytes or band cells can be induced by IFN gamma to undergo monocyte differentiation, but monocyte-specific or HLA-DR antigens are not induced in mature neutrophils. These findings reveal a previously unknown, specific function of human IFN gamma and offer new insights to the regulation of monocyte recruitment and differentiation during a virus infection or immune response.","['Perussia, B', 'Dayton, E T', 'Fanning, V', 'Thiagarajan, P', 'Hoxie, J', 'Trinchieri, G']","['Perussia B', 'Dayton ET', 'Fanning V', 'Thiagarajan P', 'Hoxie J', 'Trinchieri G']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,J Exp Med,The Journal of experimental medicine,2985109R,"['0 (Culture Media)', '0 (Histocompatibility Antigens Class II)', '82115-62-6 (Interferon-gamma)']",IM,"['Bone Marrow Cells', 'Cell Differentiation', 'Cell Line', 'Culture Media', 'Histocompatibility Antigens Class II/immunology', 'Humans', 'Interferon-gamma/*pharmacology', 'Leukemia, Myeloid, Acute/immunology/*pathology', 'Leukocytes/*immunology', 'Lymphocyte Activation', 'Monocytes/immunology']",1983/12/01 00:00,1983/12/01 00:01,['1983/12/01 00:00'],"['1983/12/01 00:00 [pubmed]', '1983/12/01 00:01 [medline]', '1983/12/01 00:00 [entrez]']",ppublish,J Exp Med. 1983 Dec 1;158(6):2058-80. doi: 10.1084/jem.158.6.2058.,['10.1084/jem.158.6.2058 [doi]'],"['CA10815/CA/NCI NIH HHS/United States', 'CA20833/CA/NCI NIH HHS/United States', 'CA32898/CA/NCI NIH HHS/United States']",PMC2187172,,,,,,,,,,
