PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,IP,AB,PMC,SI,CIN,TT,GS,CON,EIN,PS,FPS
7544303,NLM,MEDLINE,19950925,20190621,0014-5793 (Print) 0014-5793 (Linking),370,1995 Aug 14,Thrombopoietin (TPO) induces tyrosine phosphorylation and activation of STAT5 and STAT3.,63-8,"['Bacon, C M', 'Tortolani, P J', 'Shimosaka, A', 'Rees, R C', 'Longo, D L', ""O'Shea, J J""]","['Bacon CM', 'Tortolani PJ', 'Shimosaka A', 'Rees RC', 'Longo DL', ""O'Shea JJ""]","['Lymphocyte Cell Biology Section, National Institute of Arthritis and Musculoskeletal and Skin Diseases, National Institutes of Health, Bethesda, MD 20892, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",England,FEBS Lett,FEBS letters,0155157,"['0 (Cytokines)', '0 (DNA-Binding Proteins)', '0 (Milk Proteins)', '0 (Oligodeoxyribonucleotides)', '0 (Proto-Oncogene Proteins)', '0 (Recombinant Proteins)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (STAT5 Transcription Factor)', '0 (Trans-Activators)', '21820-51-9 (Phosphotyrosine)', '42HK56048U (Tyrosine)', '9014-42-0 (Thrombopoietin)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Base Sequence', 'Binding Sites', 'Cell Differentiation/drug effects', 'Cell Division/drug effects', 'Cell Line', 'Cytokines/*pharmacology', 'DNA-Binding Proteins/isolation & purification/*metabolism', 'Enzyme Activation', 'Humans', 'Janus Kinase 2', 'Leukemia, Megakaryoblastic, Acute', 'Megakaryocytes/cytology/drug effects/metabolism', '*Milk Proteins', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Phosphorylation', 'Phosphotyrosine', 'Protein-Tyrosine Kinases/*metabolism', '*Proto-Oncogene Proteins', 'Recombinant Proteins/pharmacology', 'STAT3 Transcription Factor', 'STAT5 Transcription Factor', 'Signal Transduction', 'Thrombopoietin/*pharmacology', 'Trans-Activators/*metabolism', 'Tumor Cells, Cultured', 'Tyrosine/analogs & derivatives/metabolism']",1995/08/14 00:00,1995/08/14 00:01,['1995/08/14 00:00'],"['1995/08/14 00:00 [pubmed]', '1995/08/14 00:01 [medline]', '1995/08/14 00:00 [entrez]']",['10.1016/0014-5793(95)00796-c [doi]'],ppublish,FEBS Lett. 1995 Aug 14;370(1-2):63-8. doi: 10.1016/0014-5793(95)00796-c.,,1-2,"The growth and differentiation of megakaryocytes are regulated by thrombopoietin (TPO), a recently characterized cytokine which exerts its effects via a member of the hematopoietin receptor superfamily, c-Mpl. Since many cytokines which bind hematopoietin receptors activate the STAT family of transcription factors, we investigated whether STAT proteins were activated by TPO. TPO induced the formation of a DNA-binding complex recognizing a known STAT-binding sequence. STAT5 was a major component of this DNA-binding complex, and STAT5 was tyrosine phosphorylated in response to TPO. Additionally, TPO-induced the tyrosine phosphorylation and DNA-binding activity of STAT3. Together with the recent demonstration of JAK2 activation in response to TPO, the data presented here define a rapid signaling pathway likely to be important in TPO-induced gene regulation.",,,,,,,,,
7544155,NLM,MEDLINE,19950925,20211203,1044-9523 (Print) 1044-9523 (Linking),6,1995 May,"Expression of the proto-oncogene rhombotin-2 is identical to the acute phase response protein metallothionein, suggesting multiple functions.",587-96,"['Neale, G A', 'Mao, S', 'Parham, D M', 'Murti, K G', 'Goorha, R M']","['Neale GA', 'Mao S', 'Parham DM', 'Murti KG', 'Goorha RM']","[""Department of Virology and Molecular Biology, St. Jude Children's Research Hospital, Memphis, Tennessee 38101, USA.""]",['eng'],"['CA 43237/CA/NCI NIH HHS/United States', 'P30 CA 21765/CA/NCI NIH HHS/United States']","['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cell Growth Differ,Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research,9100024,"['0 (Acute-Phase Proteins)', '0 (Adaptor Proteins, Signal Transducing)', '0 (DNA-Binding Proteins)', '0 (LIM Domain Proteins)', '0 (LMO2 protein, human)', '0 (Lmo2 protein, mouse)', '0 (MAS1 protein, human)', '0 (Metalloproteins)', '0 (Proto-Oncogene Mas)', '0 (Proto-Oncogene Proteins)', '0 (RNA, Messenger)', '0 (RNA, Neoplasm)', '9038-94-2 (Metallothionein)', '98600C0908 (Cycloheximide)', 'J41CSQ7QDS (Zinc)', 'NI40JAQ945 (Tetradecanoylphorbol Acetate)']",IM,"['Acute-Phase Proteins/*genetics', 'Adaptor Proteins, Signal Transducing', 'Adult', 'Animals', 'Brain Chemistry', 'Cell Nucleus/chemistry/genetics', 'Child, Preschool', 'Cycloheximide/pharmacology', 'DNA-Binding Proteins/analysis/*biosynthesis/genetics', 'Erythropoiesis/genetics', '*Gene Expression Regulation/drug effects', 'Humans', 'Kidney/chemistry', 'LIM Domain Proteins', 'Leukemia, T-Cell/genetics', 'Liver/chemistry', 'Metalloproteins/analysis/*biosynthesis/genetics', 'Metallothionein/*genetics', 'Mice', 'Mice, Inbred C57BL', 'Mice, Transgenic', 'Proto-Oncogene Mas', 'Proto-Oncogene Proteins', '*Proto-Oncogenes', 'RNA, Messenger/biosynthesis', 'RNA, Neoplasm/biosynthesis', 'Tetradecanoylphorbol Acetate/pharmacology', 'Thymus Gland/chemistry', 'Tumor Cells, Cultured', 'Zinc/pharmacology']",1995/05/01 00:00,1995/05/01 00:01,['1995/05/01 00:00'],"['1995/05/01 00:00 [pubmed]', '1995/05/01 00:01 [medline]', '1995/05/01 00:00 [entrez]']",,ppublish,Cell Growth Differ. 1995 May;6(5):587-96.,,5,"Rhombotin-2 (RBTN-2) is a LIM domain protein that, with the exception of thymocytes, is widely expressed during fetal development. Although RBTN-2 is crucial for normal erythropoiesis, the ectopic expression of RBTN-2 in T lymphocytes results in T-cell proliferation and leukemogenesis. Thus, while a proliferative function for RBTN-2 has been established in T-cells, neither its role in erythropoiesis nor its function(s) in other tissues are known. We have examined the expression and location of RBTN-2 in normal and malignant cells. Similar to fetal development, RBTN-2 RNA was detected in all normal adult tissues tested with the exception of colon and thymocytes. RBTN-2 RNA was not detected in all primary tumors and tumor cell lines, indicating RBTN-2 expression is not ubiquitous in proliferating cells. Using polyclonal antisera, RBTN-2 was detected predominantly in the nucleus of human hematopoietic cells. Significantly, human leukemic T cells with disruption of the RBTN-2 locus and thymocytes from transgenic mice with enforced expression of RBTN-2 showed similar nuclear location of RBTN-2 protein, consistent with the notion that RBTN-2 acts as a transcriptional regulator in T-cell proliferation. Surprisingly, in normal tissues, RBTN-2 showed a strikingly similar distribution to that of metallothionein-1, having both nuclear and cytoplasmic localization that suggested that RBTN-2 may be involved in the acute phase response. Indeed, similar to metallothionein-1, RBTN-2 mRNA was induced in thymocytes of mice exposed to zinc and in human thymocytes treated with the phorbol ester 12-O-tetradecanoylphorbol-13-acetate. Since the LIM domain permits binding of multiple protein partners, the specific function of RBTN-2 may depend upon subcellular sequestration through interaction with different cofactors. Thus, in addition to its roles in erythropoiesis and T-cell leukemia, RBTN-2 may also be involved in the acute phase response.",,,,,['RBTN-2'],,,,
7544105,NLM,MEDLINE,19950920,20131121,0003-9985 (Print) 0003-9985 (Linking),119,1995 Aug,Artifactual hypoglycemia associated with hematopoietic cytokines.,713-6,"['Astles, J R', 'Petros, W P', 'Peters, W P', 'Sedor, F A']","['Astles JR', 'Petros WP', 'Peters WP', 'Sedor FA']","['Department of Pathology, Duke University Medical Center, Durham, NC 27710, USA.']",['eng'],,"['Case Reports', 'Journal Article']",United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (Cytokines)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', 'Q80VPU408O (Fluorides)']",IM,"['*Artifacts', 'Cytokines/*adverse effects/*physiology', 'Data Collection', 'Fluorides/pharmacology', 'Granulocyte Colony-Stimulating Factor/adverse effects/therapeutic use', '*Hematopoiesis', 'Humans', 'Hypoglycemia/epidemiology/*etiology/prevention & control', 'Incidence', 'Leukemia/blood', 'Leukocytosis/complications/epidemiology', 'Male', 'Middle Aged']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Arch Pathol Lab Med. 1995 Aug;119(8):713-6.,,8,"We observed apparent hypoglycemia in seven patients manifesting granulocytosis associated with hematopoietic cytokine treatment or with a leukemoid reaction. All seven patients had confounding preanalytic conditions of specimen transport delay and lack of antiglycolytic agents. Cytokine-stimulated leukocytes may cause artifactual hypoglycemia by consuming glucose in vitro, possibly leading to unnecessary diagnostic evaluation. The glucose depletion was faster in blood drawn from patients receiving granulocyte colony-stimulating factor (0.29 mmol/L/h) than in blood from a control group (0.17 mmol/L/h) or from a group with leukemia (0.23 mmol/L/h). Stabilization with sodium fluoride (60 mmol/L) slowed the glucose depletion in both the cytokine group (0.13 mmol/L/h) and the leukemic group (0.09 mmol/L/h), which were then statistically indistinguishable from the control rate (0.10 mmol/L/h). In blood obtained from patients being treated with hematopoietic cytokines or who have leukemoid reactions, an antiglycolytic agent should be used whenever separation of plasma might be delayed more than 1 hour.",,,,,,,,,
7544026,NLM,MEDLINE,19950921,20151119,0093-7754 (Print) 0093-7754 (Linking),22,1995 Aug,Paclitaxel and ifosfamide: a multicenter phase I study in advanced non-small cell lung cancer.,38-41,"['Hoffman, P C', 'Krauss, S A', 'Drinkard, L C', 'Masters, G A', 'Samuels, B L', 'Bitran, J D', 'Golomb, H M', 'Watson, S', 'Vokes, E E']","['Hoffman PC', 'Krauss SA', 'Drinkard LC', 'Masters GA', 'Samuels BL', 'Bitran JD', 'Golomb HM', 'Watson S', 'Vokes EE']","['Department of Medicine, University of Chicago, IL 60637, USA.']",['eng'],,"['Clinical Trial', 'Clinical Trial, Phase I', 'Journal Article', 'Multicenter Study']",United States,Semin Oncol,Seminars in oncology,0420432,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', 'P88XT4IS4D (Paclitaxel)', 'PVI5M0M1GW (Filgrastim)', 'UM20QQM95Y (Ifosfamide)']",IM,"['Adult', 'Aged', 'Agranulocytosis/chemically induced/prevention & control', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Carcinoma, Non-Small-Cell Lung/*drug therapy', 'Clinical Trials, Phase II as Topic', 'Dose-Response Relationship, Drug', 'Drug Tolerance', 'Female', 'Filgrastim', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Humans', 'Ifosfamide/*administration & dosage/adverse effects', 'Infusions, Intravenous', 'Injections, Intravenous', 'Lung Neoplasms/*drug therapy', 'Male', 'Middle Aged', 'Paclitaxel/*administration & dosage/adverse effects', 'Recombinant Proteins/therapeutic use', 'Remission Induction']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Semin Oncol. 1995 Aug;22(4 Suppl 9):38-41.,,4 Suppl 9,"Both paclitaxel and ifosfamide have significant single-agent activity in non-small cell lung cancer. We designed a phase I study combining escalating doses of paclitaxel, administered by 24-hour infusion, with ifosfamide given at a dose of 1.6 g/m2 daily x 3. Paclitaxel dose levels were 135, 170, 200, 250, and 300 mg/m2. The goal of the study was to determine the maximum tolerated dose and dose-limiting toxicities of paclitaxel when used in this combination. Dose escalation was possible because of the use of filgrastim, a granulocyte colony-stimulating factor. Twenty-five patients at three institutions were treated. The dose-limiting toxicity of the combination was granulocytopenia, with other toxicities being generally mild to moderate. The maximum tolerated dose of paclitaxel was 300 mg/m2, and the recommended phase II dose is 250 mg/m2. There was a suggestion of a dose-response curve with paclitaxel as all three partial responses were seen at the 250 mg/m2 dose level. An additional II patients had objective regression or stable disease lasting for 9 to 30 weeks. A phase II study of this combination is currently being planned by the Cancer and Leukemia Group B.",,,,,,,,,
7544005,NLM,MEDLINE,19950921,20190501,0027-8424 (Print) 0027-8424 (Linking),92,1995 Aug 15,Isolation of a primate embryonic stem cell line.,7844-8,"['Thomson, J A', 'Kalishman, J', 'Golos, T G', 'Durning, M', 'Harris, C P', 'Becker, R A', 'Hearn, J P']","['Thomson JA', 'Kalishman J', 'Golos TG', 'Durning M', 'Harris CP', 'Becker RA', 'Hearn JP']","['Wisconsin Regional Primate Research Center, University of Wisconsin, Madison 53715-1299, USA.']",['eng'],"['HD26458/HD/NICHD NIH HHS/United States', 'RR-00167/RR/NCRR NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,7505876,"['0 (Antigens, Surface)', '0 (DNA Primers)', '0 (alpha-Fetoproteins)', 'EC 1.2.1.- (Glyceraldehyde-3-Phosphate Dehydrogenases)']",IM,"['Animals', 'Antigens, Surface/analysis', 'Base Sequence', 'Blastocyst/*cytology/*physiology', 'Cell Differentiation', 'Cell Line', '*Cell Transformation, Neoplastic', 'Culture Techniques/methods', 'DNA Primers', 'Embryo, Mammalian', 'Female', 'Glyceraldehyde-3-Phosphate Dehydrogenases/biosynthesis', 'Humans', 'Karyotyping', 'Macaca mulatta', 'Male', 'Mice', 'Mice, SCID', 'Molecular Sequence Data', 'Ovulation', 'Polymerase Chain Reaction', 'Stem Cells/*cytology/*physiology', 'Transplantation, Homologous', 'X Chromosome', 'Y Chromosome', 'alpha-Fetoproteins/biosynthesis']",1995/08/15 00:00,1995/08/15 00:01,['1995/08/15 00:00'],"['1995/08/15 00:00 [pubmed]', '1995/08/15 00:01 [medline]', '1995/08/15 00:00 [entrez]']",['10.1073/pnas.92.17.7844 [doi]'],ppublish,Proc Natl Acad Sci U S A. 1995 Aug 15;92(17):7844-8. doi: 10.1073/pnas.92.17.7844.,,17,"Embryonic stem cells have the ability to remain undifferentiated and proliferate indefinitely in vitro while maintaining the potential to differentiate into derivatives of all three embryonic germ layers. Here we report the derivation of a cloned cell line (R278.5) from a rhesus monkey blastocyst that remains undifferentiated in continuous passage for > 1 year, maintains a normal XY karyotype, and expresses the cell surface markers (alkaline phosphatase, stage-specific embryonic antigen 3, stage-specific embryonic antigen 4, TRA-1-60, and TRA-1-81) that are characteristic of human embryonal carcinoma cells. R278.5 cells remain undifferentiated when grown on mouse embryonic fibroblast feeder layers but differentiate or die in the absence of fibroblasts, despite the presence of recombinant human leukemia inhibitory factor. R278.5 cells allowed to differentiate in vitro secrete bioactive chorionic gonadotropin into the medium, express chorionic gonadotropin alpha- and beta-subunit mRNAs, and express alpha-fetoprotein mRNA, indicating trophoblast and endoderm differentiation. When injected into severe combined immunodeficient mice, R278.5 cells consistently differentiate into derivatives of all three embryonic germ layers. These results define R278.5 cells as an embryonic stem cell line, to our knowledge, the first to be derived from any primate species.",PMC41242,,,,,,,,
7543966,NLM,MEDLINE,19950920,20130304,0887-6924 (Print) 0887-6924 (Linking),9,1995 Aug,RNA for reverse PCR analysis can be obtained from bone marrow cells prepared for cytogenetic analysis and stored at -20 degrees C for several years.,1409-11,"['Henic, N', 'Fenaux, P', 'Lai, J L', 'Preudhomme, C']","['Henic N', 'Fenaux P', 'Lai JL', 'Preudhomme C']",,['eng'],,"['Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (DNA Primers)', '0 (Fixatives)', '63231-63-0 (RNA)']",IM,"['Base Sequence', 'Bone Marrow/*chemistry', 'Cytogenetics/*methods', 'DNA Primers/chemistry', 'Fixatives', 'Freezing', 'Humans', 'Molecular Sequence Data', 'Polymerase Chain Reaction/*methods', 'RNA/*analysis', 'Time Factors', 'Tissue Preservation']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Aug;9(8):1409-11.,,8,,,,,,,,,,
7543965,NLM,MEDLINE,19950920,20171116,0887-6924 (Print) 0887-6924 (Linking),9,1995 Aug,Induction of CD80 expression in low-grade B cell lymphoma--a potential immunotherapeutic target.,1349-52,"['Shamash, J', 'Davies, D C', 'Salam, A', 'Rohatiner, A Z', 'Young, B D', 'Lister, T A']","['Shamash J', 'Davies DC', 'Salam A', 'Rohatiner AZ', 'Young BD', 'Lister TA']","[""ICRF Department of Medical Oncology, St Bartholomew's Hospital, London, UK.""]",['eng'],,['Journal Article'],England,Leukemia,Leukemia,8704895,['0 (B7-1 Antigen)'],IM,"['B7-1 Antigen/*metabolism', 'Cell Separation', 'Humans', 'Immunophenotyping', 'Immunotherapy', 'In Vitro Techniques', 'Lymphoma, B-Cell/*immunology/therapy', 'Time Factors', 'Tumor Cells, Cultured']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Aug;9(8):1349-52.,,8,"The CD80 antigen (B7) is expressed on activated B lymphocytes. It is thought to be important in eliciting a T cell response via its ligands CD28 and CTLA-4 when antigen is presented in the presence of the MHC-1 peptide. Low-grade B cell lymphomas analysed by flow cytometry express CD80 very poorly. However, when grown in vitro using the IL-4/anti-CD40 stromal cell culture system, following depletion of T and IgD-bearing cells, a monoclonal B cell expansion occurs. Cells harvested at days 10-13 express the antigen strongly, regardless of the histological subtype of lymphoma. Further investigation of CD80-mediated immune functions may be possible using this system as a basis for testing immunotherapy.",,,,,,,,,
7543964,NLM,MEDLINE,19950920,20171116,0887-6924 (Print) 0887-6924 (Linking),9,1995 Aug,Trisomy 4 in 'stem cell-like' leukemic cells of a patient with AML.,1318-20,"['Feuring-Buske, M', 'Haase, D', 'Konemann, S', 'Troff, C', 'Grove, D', 'Hiddemann, W', 'Wormann, B']","['Feuring-Buske M', 'Haase D', 'Konemann S', 'Troff C', 'Grove D', 'Hiddemann W', 'Wormann B']","['Department of Internal Medicine, Georg-August-Universitat, Gottingen, Germany.']",['eng'],,"['Case Reports', 'Journal Article']",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD)', '0 (Antigens, CD34)', '0 (Antigens, Differentiation)', '0 (Membrane Glycoproteins)', 'EC 3.2.2.- (N-Glycosyl Hydrolases)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase', 'ADP-ribosyl Cyclase 1', 'Aged', 'Antigens, CD/analysis', 'Antigens, CD34', 'Antigens, Differentiation/analysis', 'Bone Marrow/pathology', 'Chromosome Banding', '*Chromosomes, Human, Pair 4', 'Female', 'Hematopoietic Stem Cells/*pathology', 'Humans', 'Leukemia, Myelomonocytic, Acute/*pathology', 'Membrane Glycoproteins', 'N-Glycosyl Hydrolases/analysis', '*Trisomy']",1995/08/01 00:00,1995/08/01 00:01,['1995/08/01 00:00'],"['1995/08/01 00:00 [pubmed]', '1995/08/01 00:01 [medline]', '1995/08/01 00:00 [entrez]']",,ppublish,Leukemia. 1995 Aug;9(8):1318-20.,,8,"CD34 positive progenitor cells were analyzed in the bone marrow aspirate from a patient with newly diagnosed AML FAB M4. The patient had trisomy 4 as sole cytogenetic abnormality and a dominant population of CD34 negative leukemic blasts. Karyotyping of the FACS isolated, minor subpopulation of CD34+/CD38-, 'stem cell'-like cells (incidence 0.29%) revealed trisomy 4 in 11/13 metaphases. No metaphases were obtained in the CD34 negative subpopulation. The experiments point to the existence of leukemic stem cells in the CD34+/CD38- compartment in AML patients with trisomy 4.",,,,,,,,,
7543956,NLM,MEDLINE,19950919,20071115,0485-1439 (Print) 0485-1439 (Linking),36,1995 Jun,[A randomized double-blind controlled study of recombinant human granulocyte colony-stimulating factor in patients with neutropenia induced by consolidation chemotherapy for acute myeloid leukemia. (rG.CSF clinical study group)].,606-14,"['Takeshita, A', 'Ohno, R', 'Hirashima, K', 'Toyama, K', 'Okuma, M', 'Saito, H', 'Ikeda, Y', 'Tomonaga, M', 'Asano, S']","['Takeshita A', 'Ohno R', 'Hirashima K', 'Toyama K', 'Okuma M', 'Saito H', 'Ikeda Y', 'Tomonaga M', 'Asano S']","['Department of Medicine, III, Hamamatsu University School of Medicine.']",['jpn'],,"['Clinical Trial', 'English Abstract', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Double-Blind Method', 'Female', 'Granulocyte Colony-Stimulating Factor/*therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Neutropenia/chemically induced/*therapy', 'Recombinant Proteins/therapeutic use']",1995/06/01 00:00,1995/06/01 00:01,['1995/06/01 00:00'],"['1995/06/01 00:00 [pubmed]', '1995/06/01 00:01 [medline]', '1995/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Jun;36(6):606-14.,,6,"A multicenter, randomized, double-blind controlled study was performed to evaluate the efficacy and safety of recombinant human granulocyte colony-stimulating factor (rG.CSF) in reducing infectious morbidity and neutropenia induced by consolidation chemotherapy for acute myeloid leukemia (AML). One hundred and twenty-four eligible patients were randomized to receive either rG.CSF (5 micrograms/kg/d d.i.v.; 59 patients) or placebo (65 patients) for 14 days from the day after chemotherapy. All of them were included in the safety analysis, while 57 patients receiving rG.CSF and 64 patients receiving placebo were included in the efficacy analysis. The duration of neutropenia as well as the incidence of fever and febrile neutropenia, and frequency of antibiotic therapy required, were all significantly reduced in the rG.CSF group. No serious adverse reactions were encountered; there was no significant difference between the two groups in terms of incidence of adverse events. These results demonstrate that rG.CSF is beneficial to alleviate neutropenic episodes induced by consolidation chemotherapy in patients with AML.",,,,,,,,,
7543955,NLM,MEDLINE,19950919,20071115,0485-1439 (Print) 0485-1439 (Linking),36,1995 Jun,[A randomized controlled study of rG.CSF in patients with neutropenia after induction therapy for acute myelogenous leukemia. (rG.CSF Clinical Study Group)].,597-605,"['Nakajima, H', 'Ikeda, Y', 'Hirashima, K', 'Toyama, K', 'Okuma, M', 'Saito, H', 'Ohno, R', 'Tomonaga, M', 'Asano, S']","['Nakajima H', 'Ikeda Y', 'Hirashima K', 'Toyama K', 'Okuma M', 'Saito H', 'Ohno R', 'Tomonaga M', 'Asano S']","['Department of Internal Medicine, School of Medicine, Keio University.']",['jpn'],,"['Clinical Trial', 'English Abstract', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Granulocyte Colony-Stimulating Factor/*administration & dosage', 'Humans', 'Leukemia, Myeloid, Acute/complications/*therapy', 'Male', 'Middle Aged', 'Neutropenia/etiology/*therapy', 'Recombinant Proteins/administration & dosage', 'Remission Induction']",1995/06/01 00:00,1995/06/01 00:01,['1995/06/01 00:00'],"['1995/06/01 00:00 [pubmed]', '1995/06/01 00:01 [medline]', '1995/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Jun;36(6):597-605.,,6,"A randomized treated/non-treated study of rG.CSF (5 micrograms/kg/d, d.i.v.) in patients with acute myelogenous leukemia was conducted to assess its efficacy on fever (> or = 38 degrees C) or documented infection after induction therapy. Of 95 patients enrolled, 46 patients were evaluable for safety and 43 for efficacy in the treated group of 47 patients while 37 of 48 patients were eligible for data analysis in the untreated group. Mare patients showed a recovery in the blood neutrophil count (to > 1,000/microliters) during rG.CSF treatment (14 days) than in the non-treated group (p = 0.039) while the number of febrile patients and duration of fever did not significantly differ between the two groups. The treatment with rG.CSF enabled an early recovery in neutrophil count in the patients with neutropenia and overt signs of infection after induction therapy, but there was no hastened allevistion of symptoms of infection in these patients.",,,,,,,,,
7543954,NLM,MEDLINE,19950919,20071115,0485-1439 (Print) 0485-1439 (Linking),36,1995 Jun,[The effects of recombinant human granulocyte colony-stimulating factor on protracted neutropenia in patients with acute myelogenous leukemia. (rG.CSF Clinical Study Group)].,589-96,"['Kimura, Y', 'Toyama, K', 'Hirashima, K', 'Okuma, M', 'Saito, H', 'Ohno, R', 'Ikeda, Y', 'Tomonaga, M', 'Asano, S']","['Kimura Y', 'Toyama K', 'Hirashima K', 'Okuma M', 'Saito H', 'Ohno R', 'Ikeda Y', 'Tomonaga M', 'Asano S']","['First Department of Internal Medicine, Tokyo Medical College.']",['jpn'],,"['Clinical Trial', 'English Abstract', 'Journal Article', 'Multicenter Study']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Recombinant Proteins)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', 'Granulocyte Colony-Stimulating Factor/*administration & dosage', 'Humans', 'Leukemia, Myeloid, Acute/complications/*therapy', 'Male', 'Middle Aged', 'Neutropenia/etiology/*therapy', 'Recombinant Proteins/administration & dosage']",1995/06/01 00:00,1995/06/01 00:01,['1995/06/01 00:00'],"['1995/06/01 00:00 [pubmed]', '1995/06/01 00:01 [medline]', '1995/06/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1995 Jun;36(6):589-96.,,6,"A clinical study to investigate the efficacy and safety of recombinant human G-CSF (rG.CSF) was performed in patients with acute myelogenous leukemia who had had protracted neutropenia. The drug was administered d.i.v. at a dose of 5 micrograms/kg. Sixty-four patients entered the study, of whom 61 patients were evaluable for safety and 58 patients evaluable for efficacy. The treatment produced an early recovery in neutrophil count in the patients who had had protracted neutropenia (< 1,000/microliters) of over 10 days. Among relapsed cases and cases showing > 20% blasts in the bone marrow, many showed blast stimulation in response to rG.CSF, suggesting difficulty in attaining complete remission by subsequent chemotherapy in such cases. The present data indicates that it is desirable to use the drug in lower-blast-count states in order to attain safe and sufficient therapeutic effects in patients with acute myelogenous leukemia who have had protracted neutropenia.",,,,,,,,,
