PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GR,EIN,CI,TT,SI,CIN,PMC,CON,CN,DEP,LID,OID,SFM,OTO,OT,IR,FIR,IRAD,GN,OAB,OABL,MID,CRI
11506301,NLM,MEDLINE,20011228,20190605,0918-2918 (Print) 0918-2918 (Linking),40,7,2001 Jul,Development of interferon-alpha resistant subline from human chronic myelogenous leukemia cell line KT-1.,607-12,"OBJECTIVE: Interferon-alpha (IFN-alpha) is one of the most effective therapeutic agents for a number of hematological malignancies, including chronic myelogenous leukemia (CML). Nevertheless, its efficacy is limited because of the development of resistance to IFN-alpha therapy. Previously, we established the novel human CML cell line KT-1, which is sensitive to the antiproliferative effects of IFN-alpha. Here, we report the establishment of an IFN-alpha-resistant subline, KT-1/A3R alpha 1000, by culturing KT-1/A3 cells (IFN-alpha-sensitive subline of KT-1) with increasing concentrations of IFN-alpha, in order to analyze the mechanism of acquisition of IFN-alpha resistance in CML cells after IFN-alpha therapy. SUBJECTS AND METHODS: We developed an IFN-alpha-resistant tumor cell variant, KT-1/A3R alpha 1000, from the KT-1/A3 cell line by culturing cells with increasing concentrations of IFN-alpha. This subline was examined for its ability to proliferate and its resistance to apoptosis in high concentrations of IFN-alpha. The induction of the ISGF3 complex in response to IFN-alpha alpha in KT-1/A3R alpha 1000 was compared with that in the parental cell. RESULTS: The levels of interferon-stimulated gene factor 3 components (STAT1, STAT2, and p48) proteins and STAT2 tyrosine phosphorylation induced after IFN-alpha treatment were unchanged, but formation of the ISGF3 complex was remarkably reduced in KT-1/A3R alpha 1000 cells compared to parental cells. CONCLUSION: The KT-1/A3R alpha 1000 subline is a useful model for studying the mechanism of IFN-alpha resistance after IFN-alpha therapy.","['Yamauchi, H', 'Sakai, I', 'Narumi, H', 'Takeuchi, K', 'Soga, S', 'Fujita, S']","['Yamauchi H', 'Sakai I', 'Narumi H', 'Takeuchi K', 'Soga S', 'Fujita S']","['First Department of Internal Medicine, Ehime University School of Medicine.']",['eng'],['Journal Article'],Japan,Intern Med,"Internal medicine (Tokyo, Japan)",9204241,IM,"['Antineoplastic Agents/*therapeutic use', 'Apoptosis/drug effects', 'Cell Line, Transformed/drug effects', 'Drug Resistance, Neoplasm/genetics', 'Electrophoresis, Polyacrylamide Gel', 'Humans', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/metabolism', 'Phosphorylation', 'Tyrosine/metabolism']",2001/08/17 10:00,2002/01/05 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/08/17 10:00 [entrez]']",['10.2169/internalmedicine.40.607 [doi]'],ppublish,Intern Med. 2001 Jul;40(7):607-12. doi: 10.2169/internalmedicine.40.607.,"['0 (Antineoplastic Agents)', '0 (Interferon-alpha)', '42HK56048U (Tyrosine)']",,,,,,,,,,,,,,,,,,,,,,,,
11505833,NLM,MEDLINE,20010830,20161209,0755-4982 (Print) 0755-4982 (Linking),30,23,2001 Jul 7-13,[Varicella zoster virus infection after bone marrow transplant. Unusual presentation and importance of prevention].,1151-4,"BACKGROUND: Leukemeia and lymphoproliferative disease are associated with a high risk of varicela-zoster virus (VZV) infection. Although infrequent, visceral involvement can be fatal. We report two cases of patients presenting severe VZV infection after bone marrow transplantation. CASE REPORTS: The first patient was a 42-year old man who received an allogeneic bone marrow transplantation for chronic myelogenous leukemia. A severe graft-versus-host reaction occurred. Three months after discontinuing VZV prophylaxis, VZV transverse myelitis was diagnosed, leading to death despite prompt treatment with acyclovir. The second patient was a 42-year-old woman treated with autologous bone marrow transplantation for lymphoma. She developed acute viral pancreatitis one month after discontinuing VZV prophylaxis. Recovery was achieved with intravenous treatment. DISCUSSION: These two cases illustrate the potential gravity of VZV infection after bone marrow transplantation. These observations point to the need for revisiting the duration of VZV prophylaxis.","['Ladriere, M', 'Bibes, B', 'Rabaud, C', 'Delaby, P', 'May, T', 'Canton, P']","['Ladriere M', 'Bibes B', 'Rabaud C', 'Delaby P', 'May T', 'Canton P']","['Service de Maladies infectieuses et tropicales, Centre Hospitalier Universitaire de Nancy.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Presse Med,"Presse medicale (Paris, France : 1983)",8302490,IM,"['Adult', 'Antiviral Agents/administration & dosage/adverse effects', '*Bone Marrow Transplantation', 'Drug Therapy, Combination', 'Fatal Outcome', 'Female', 'Graft vs Host Disease/drug therapy', 'Herpes Zoster/*diagnosis/prevention & control', 'Humans', 'Immunosuppressive Agents/administration & dosage/adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*therapy', 'Lymphocyte Depletion', 'Lymphoma, Large-Cell, Immunoblastic/*therapy', 'Magnetic Resonance Imaging', 'Male', 'Myelitis, Transverse/*diagnosis/prevention & control', 'Opportunistic Infections/*diagnosis/prevention & control', 'Pancreatitis/*diagnosis/prevention & control', 'Spinal Cord/pathology', 'Tomography, X-Ray Computed']",2001/08/17 10:00,2001/08/31 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2001/08/31 10:01 [medline]', '2001/08/17 10:00 [entrez]']",,ppublish,Presse Med. 2001 Jul 7-13;30(23):1151-4.,"['0 (Antiviral Agents)', '0 (Immunosuppressive Agents)']",,,,,Infection par le virus varicelle-zona apres greffe de moelle osseuse. Presentations inhabituelles et interet de la prophylaxie.,,,,,,,,,,,,,,,,,,,
11505797,NLM,MEDLINE,20010920,20031114,0005-9366 (Print) 0005-9366 (Linking),114,7-8,2001 Jul-Aug,"Identification of different BLV provirus isolates by PCR, RFLPA and DNA sequencing.",252-6,"A first attempt for the investigation of molecular epidemiology of BLV was carried out. PCR amplicons of a part of the env gene of BLV isolated from 309 cattle of different geographical origin were compared with known BLV env sequences. Using RFLPA most of the PCR products can be assigned to the Australian, the Japanese or the Belgian subgroup. A phylogenetic tree resulting from the comparison of the sequences of these env fragments demonstrates the relations and differences between and within the subgroups.","['Beier, D', 'Blankenstein, P', 'Marquardt, O', 'Kuzmak, J']","['Beier D', 'Blankenstein P', 'Marquardt O', 'Kuzmak J']","['Federal Research Centre for Virus Diseases of Animals, Institute of Epidemiological Diagnostics, Wusterhausen.']",['eng'],['Journal Article'],Germany,Berl Munch Tierarztl Wochenschr,Berliner und Munchener tierarztliche Wochenschrift,0003163,IM,"['Animals', 'Cattle', 'Enzootic Bovine Leukosis/epidemiology/virology', 'Leukemia Virus, Bovine/*classification/*genetics', '*Phylogeny', 'Polymerase Chain Reaction/veterinary', 'Polymorphism, Restriction Fragment Length', 'Proviruses/*classification/*genetics', 'Restriction Mapping/veterinary', 'Sequence Analysis, DNA/veterinary']",2001/08/17 10:00,2001/09/21 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2001/09/21 10:01 [medline]', '2001/08/17 10:00 [entrez]']",,ppublish,Berl Munch Tierarztl Wochenschr. 2001 Jul-Aug;114(7-8):252-6.,,,,,,,,,,,,,,,,,,,,,,,,,
11505530,NLM,MEDLINE,20010823,20071115,0485-1439 (Print) 0485-1439 (Linking),42,6,2001 Jun,[AML(M7) associated with t(16;21)(p11;q22) showing relapse after unrelated bone marrow transplantation and disappearance of TLS/FUS-ERG mRNA].,502-6,"A 3-year-old boy with poorly prognostic acute megakaryoblastic leukemia (AML M7) showing t(16;21)(p11;q22) karyotype underwent unrelated bone marrow transplantation (U-BMT) during his first hematological remission. The conditioning regimen consisted of BU, VP-16 and L-PAM. Engraftment was smooth, but the patient developed grade I acute GVHD. During hematological remission before U-BMT, the TLS/FUS-ERG chimeric transcript of t(16;21)(p11;q22) was consistently detectable as minimal residual disease (MRD) by RT-PCR. However, after U-BMT it soon became undetectable. There was no detectable MRD until 7 months after U-BMT, but bone marrow relapse occurred 10 months after U-BMT. We consider that U-BMT is a promising treatment for t(16;21)(p11;q22) AML. However, an intensified conditioning regimen or modification of GVHD prophylaxis is needed.","['Fukushima, Y', 'Fujii, N', 'Tabata, Y', 'Nishimura, Y', 'Fusaoka, T', 'Yoshihara, T', 'Tsunamoto, K', 'Kasubuchi, Y', 'Morimoto, A', 'Hibi, S', 'Taketani, K', 'Hayashi, Y', 'Imashuku, S']","['Fukushima Y', 'Fujii N', 'Tabata Y', 'Nishimura Y', 'Fusaoka T', 'Yoshihara T', 'Tsunamoto K', 'Kasubuchi Y', 'Morimoto A', 'Hibi S', 'Taketani K', 'Hayashi Y', 'Imashuku S']","['Department of Pediatrics, Matsushita Memorial Hospital.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['*Bone Marrow Transplantation', 'Child, Preschool', '*Chromosomes, Human, Pair 16', '*Chromosomes, Human, Pair 21', 'Humans', 'Leukemia, Megakaryoblastic, Acute/genetics/*therapy', 'Male', 'Oncogene Proteins, Fusion/*genetics', 'RNA, Messenger/analysis', '*RNA-Binding Protein FUS', 'Recurrence', 'Translocation, Genetic']",2001/08/17 10:00,2001/08/24 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2001/08/24 10:01 [medline]', '2001/08/17 10:00 [entrez]']",,ppublish,Rinsho Ketsueki. 2001 Jun;42(6):502-6.,"['0 (Oncogene Proteins, Fusion)', '0 (RNA, Messenger)', '0 (RNA-Binding Protein FUS)', '0 (TLS-ERG fusion protein, human)']",24,,,,,,,,,,,,,,,,,,,,,,,
11505528,NLM,MEDLINE,20010823,20061115,0485-1439 (Print) 0485-1439 (Linking),42,6,2001 Jun,[Analysis of chimerism in patients with hematologic malignancies after allogeneic hematopoietic stem cell transplantation].,488-95,"Serial monitoring of chimerism after allogeneic hematopoietic stem cell transplantation (HSCT) can be performed easily and rapidly using PCR-based assays analyzing informative tandem repeat genetic markers. Sequential analysis of individual chimerism status was performed in 34 patients who underwent myeloablative allo-HSCT using a commercial multiplex short tandem repeat (STR) kit. Mixed chimerism (MC) was found in 14 of the patients for more than one month. The incidence of MC seemed to be dependent on the type of disease or pretransplantation regimen. There was no significant difference in relapse rates between MC and complete donor chimerism (CC) in all patients. However, the relapse rate was significantly higher in MC than in CC among patients with acute leukemia. The severity of acute graft-versus-host disease (aGVHD) was significantly reduced in the patients with MC. Most of the MC patients with hematologic malignancies had transient mixed T-lymphoid chimerism, and CC was achieved within 6 months after HSCT in such cases. Patients with MC beyond 6 months after HSCT and patients with reappearance of autologous signals (MC after CC) may have an enhanced risk of relapse.","['Furukawa, T', 'Hashimoto, S', 'Inano, K', 'Yamazaki, F', 'Takeda, H', 'Kakihara, T', 'Yano, T', 'Abe, T', 'Higuchi, W', 'Toba, K', 'Takahashi, M', 'Koike, T', 'Aizawa, Y']","['Furukawa T', 'Hashimoto S', 'Inano K', 'Yamazaki F', 'Takeda H', 'Kakihara T', 'Yano T', 'Abe T', 'Higuchi W', 'Toba K', 'Takahashi M', 'Koike T', 'Aizawa Y']","['Division of Bone Marrow Transplantation, Niigata University Medical Hospital.']",['jpn'],"['English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Graft vs Host Disease/etiology', 'Hematologic Neoplasms/*genetics/therapy', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant', 'Middle Aged', 'Tandem Repeat Sequences', 'Transplantation Chimera/genetics']",2001/08/17 10:00,2001/08/24 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2001/08/24 10:01 [medline]', '2001/08/17 10:00 [entrez]']",,ppublish,Rinsho Ketsueki. 2001 Jun;42(6):488-95.,,,,,,,,,,,,,,,,,,,,,,,,,
11505520,NLM,MEDLINE,20010823,20181130,0485-1439 (Print) 0485-1439 (Linking),42,6,2001 Jun,[How should patients with essential thrombocythemia be treated?].,447-51,,"['Ikeda, Y']",['Ikeda Y'],,['jpn'],['Lecture'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Clinical Trials as Topic', 'Enzyme Inhibitors/*therapeutic use', 'Humans', 'Hydroxyurea/*therapeutic use', 'Leukemia/pathology', 'Platelet Aggregation Inhibitors/*therapeutic use', 'Quinazolines/*therapeutic use', 'Thrombocythemia, Essential/*drug therapy/pathology']",2001/08/17 10:00,2001/08/24 10:01,['2001/08/17 10:00'],"['2001/08/17 10:00 [pubmed]', '2001/08/24 10:01 [medline]', '2001/08/17 10:00 [entrez]']",,ppublish,Rinsho Ketsueki. 2001 Jun;42(6):447-51.,"['0 (Enzyme Inhibitors)', '0 (Platelet Aggregation Inhibitors)', '0 (Quinazolines)', 'K9X45X0051 (anagrelide)', 'X6Q56QN5QC (Hydroxyurea)']",,,,,,,,,,,,,,,,,,,,,,,,
11505462,NLM,MEDLINE,20011025,20071115,0146-6615 (Print) 0146-6615 (Linking),65,1,2001 Sep,Reduced prevalence of serum antibodies against adeno-associated virus type 2 in patients with adult T-cell leukaemia lymphoma.,185-9,"Seroepidemiological studies have shown previously that cancer patients are less likely to have antibodies against the tumour suppressive adeno-associated virus (AAV) than control groups. To examine the influence of AAV infection on the development of adult T-cell leukaemia lymphoma (ATLL), an endemic disease in Southern Japan that is caused by infection with the human T-cell leukaemia virus type 1 (HTLV-I), the prevalence of serum antibodies to AAV type 2 (AAV-2) was tested in healthy HTLV-I carriers (n = 39) and patients with ATLL (n = 31). The results showed a significant difference in AAV-2 seropositivity between the two groups: Only 29% of the ATLL patients had IgG antibodies against AAV-2, whereas 84.6% of the healthy HTLV-I carriers were seropositive. Analysis of total serum IgG and antibodies against the Epstein-Barr virus (EBV) EBNA1 antigen showed that the lack of AAV antibodies in patients was not due to an ATLL-associated immune deficiency. The lower level of AAV-2 seropositivity in ATLL-patients may indicate that AAV-2 antibody-positive HTLV-I carriers might be less likely to develop ATLL or that loss of AAV-2 antibodies may parallel the development of disease.","['Walz, C M', 'Nakamura, M', 'Fukunaga, T', 'Jasiewicz, Y', 'Edler, L', 'Schlehofer, J R', 'Tanaka, Y']","['Walz CM', 'Nakamura M', 'Fukunaga T', 'Jasiewicz Y', 'Edler L', 'Schlehofer JR', 'Tanaka Y']","['Angewandte Tumorvirologie F0100, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld, Heidelberg, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Virol,Journal of medical virology,7705876,IM,"['Antibodies, Viral/*blood', 'Carrier State', 'Dependovirus/*immunology', 'Female', 'Human T-lymphotropic virus 1/immunology', 'Humans', 'Immunoglobulin G/blood', 'Leukemia-Lymphoma, Adult T-Cell/*immunology/virology', 'Male', 'Parvoviridae Infections/*epidemiology/immunology/virology', 'Prevalence', 'Seroepidemiologic Studies']",2001/08/16 10:00,2001/10/26 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2001/10/26 10:01 [medline]', '2001/08/16 10:00 [entrez]']",['10.1002/jmv.2019 [pii]'],ppublish,J Med Virol. 2001 Sep;65(1):185-9.,"['0 (Antibodies, Viral)', '0 (Immunoglobulin G)']",,,,"['Copyright 2001 Wiley-Liss, Inc.']",,,,,,,,,,,,,,,,,,,,
11505417,NLM,MEDLINE,20010830,20190620,0008-543X (Print) 0008-543X (Linking),92,3,2001 Aug 1,Informed consent for pediatric leukemia research: clinician perspectives.,691-700,"BACKGROUND: Good, fully informed consent is critical to the ethical conduct of clinical cancer research. The authors examined clinician perspectives on informed consent for pediatric research by surveying clinicians at five major medical centers that routinely enroll patients in Children's Cancer Group studies. METHODS: Building on a pilot study, a questionnaire was designed to elicit clinicians' general opinions, approaches, and suggestions related to informed consent in pediatric leukemia trials. Questionnaires were mailed to 132 clinicians. Eighty-nine questionnaires were returned, along with 13 nonparticipant forms notifying us of the clinician's inability to participate because of a lack of experience in pediatric informed consent. The response rate was 75%. RESULTS: Providing information so that families can decide about study entry was ranked as the most important goal of the informed consent process, whereas parents' state of shock was rated the most significant obstacle to good informed consent. Clinicians cited high levels of parental comprehension of key aspects of clinical research studies and reported information overload and increased anxiety as effects of the informed consent process on parents. Several key items were associated with clinicians' gender, race, and professional experience. Finally, one open-ended question yielded 126 suggestions for how to improve the informed consent process that were grouped into 10 meaningful categories. CONCLUSIONS: Clinicians report a range of approaches, opinions, concerns, and suggestions for improving the informed consent process. The article proposes that their views and suggestions be integrated with those of parents and patients in attempts to survey and improve informed consent in pediatric oncology.","['Simon, C', 'Eder, M', 'Raiz, P', 'Zyzanski, S', 'Pentz, R', 'Kodish, E D']","['Simon C', 'Eder M', 'Raiz P', 'Zyzanski S', 'Pentz R', 'Kodish ED']","[""Rainbow Center for Pediatric Ethics, Department of Pediatrics, Rainbow Babies and Children's Hospital/University Hospitals of Cleveland, Cleveland, OH 44106, USA.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,IM,"['Adult', 'Aged', 'Clinical Trials as Topic/standards', 'Female', 'Health Care Surveys', 'Humans', '*Informed Consent', 'Leukemia', 'Male', '*Mental Competency', 'Middle Aged', '*Parents', 'Pediatrics/standards', ""Practice Patterns, Physicians'"", '*Research/standards', 'Surveys and Questionnaires']",2001/08/16 10:00,2001/08/31 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2001/08/31 10:01 [medline]', '2001/08/16 10:00 [entrez]']","['10.1002/1097-0142(20010801)92:3<691::AID-CNCR1372>3.0.CO;2-4 [pii]', '10.1002/1097-0142(20010801)92:3<691::aid-cncr1372>3.0.co;2-4 [doi]']",ppublish,Cancer. 2001 Aug 1;92(3):691-700. doi: 10.1002/1097-0142(20010801)92:3<691::aid-cncr1372>3.0.co;2-4.,,,['R01 CA83267/CA/NCI NIH HHS/United States'],,['Copyright 2001 American Cancer Society.'],,,,,,,,,,,,,,,,,,,,
11505275,NLM,MEDLINE,20011018,20191025,1345-4676 (Print) 1345-4676 (Linking),68,4,2001 Aug,"Philadelphia chromosome-negative, bcr/abl-positive chronic myelogenous leukemia.",292-3,,"['Inokuchi, K', 'Dan, K']","['Inokuchi K', 'Dan K']","['Third Department of Internal Medicine, Nippon Medical School, Japan.']",['eng'],['Journal Article'],Japan,J Nippon Med Sch,Journal of Nippon Medical School = Nippon Ika Daigaku zasshi,100935589,IM,"['Fusion Proteins, bcr-abl/*genetics', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*genetics', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/diagnosis/*genetics', 'Philadelphia Chromosome']",2001/08/16 10:00,2001/10/19 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2001/10/19 10:01 [medline]', '2001/08/16 10:00 [entrez]']",['10.1272/jnms.68.292 [doi]'],ppublish,J Nippon Med Sch. 2001 Aug;68(4):292-3. doi: 10.1272/jnms.68.292.,"['EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,,,,,,,,,,,
11505175,NLM,MEDLINE,20010920,20190915,1044-3983 (Print) 1044-3983 (Linking),12,5,2001 Sep,Occupational sunlight exposure and cancer incidence among Swedish construction workers.,552-7,"We studied sunlight exposure from outdoor work in relation to cancer, using data from 323,860 men participating in an occupational health service program of the Swedish construction industry. An experienced industrial hygienist assessed the exposure for 200 job tasks. We estimated relative risks (RRs) adjusted for age, smoking, and magnetic field exposure. There was an increased RR in the high-exposure group for myeloid leukemia [RR = 2.0, 95% confidence interval (95% CI) = 1.1-3.6] and lymphocytic leukemia (RR = 1.7, 95% CI = 0.9-3.2). For non-Hodgkin's lymphoma there was a 30% increase in risk in the high-exposure group (95% CI = 0.9-1.9). There was no increased risk of malignant melanoma, except for tumors of the head, face, and neck in the high-exposure group (RR = 2.0, 95% CI = 0.8-5.2), and we also found an increased risk for malignant melanoma of the eye in this group (RR = 3.4, 95% CI = 1.1-10.5). Outdoor workers had no increased risk of nonmelanoma skin cancer. Nevertheless, the RR for lip cancer (squamous cell carcinoma) among the high-exposure group was estimated at 1.8 (95% CI = 0.8-3.7). Among other sites, an increased risk of stomach cancer was suggested in this group (RR = 1.4, 95% CI = 1.0-1.9). The results for lymphoma, leukemia, and possibly also for stomach cancer might reflect a suppression of the immune system from ultraviolet light in outdoor workers.","['Hakansson, N', 'Floderus, B', 'Gustavsson, P', 'Feychting, M', 'Hallin, N']","['Hakansson N', 'Floderus B', 'Gustavsson P', 'Feychting M', 'Hallin N']","['Division of Occupational Epidemiology, Institute of Environmental Medicine, Karolinska Institutet, Box 210, 171 77 Stockholm, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Epidemiology,"Epidemiology (Cambridge, Mass.)",9009644,IM,"['Adult', 'Cohort Studies', 'Humans', 'Incidence', 'Male', 'Neoplasms/epidemiology/*etiology', '*Occupational Exposure', 'Risk Factors', 'Sunlight/*adverse effects', 'Sweden/epidemiology']",2001/08/16 10:00,2001/09/21 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2001/09/21 10:01 [medline]', '2001/08/16 10:00 [entrez]']",['10.1097/00001648-200109000-00015 [doi]'],ppublish,Epidemiology. 2001 Sep;12(5):552-7. doi: 10.1097/00001648-200109000-00015.,,,,,,,,,,,,,,,,,,,,,,,,,
11505170,NLM,MEDLINE,20010920,20190915,1044-3983 (Print) 1044-3983 (Linking),12,5,2001 Sep,Attributable fractions: bias from broad definition of exposure.,518-20,"In certain special situations, simplification of an exposure measure into a dichotomy results in no bias from nondifferential misclassification when estimating the attributable fraction for ""any exposure."" This fact has led to recommendations to use a broad definition of exposure when estimating attributable fractions. I here review the assumptions underlying exposure simplification, focusing on the assumptions that the source and target populations have the same exposure distribution and that complete risk removal is possible. I argue that attributable fraction estimates based on dichotomization can be especially sensitive to violations of these assumptions, and hence misleading for projecting the impact of exposure reduction. I conclude that it is important to obtain and use detailed exposure and covariate information for attributable-fraction estimation.","['Greenland, S']",['Greenland S'],"['Department of Epidemiology, UCLA School of Public Health, Los Angeles, CA, USA.']",['eng'],"['Journal Article', 'Review']",United States,Epidemiology,"Epidemiology (Cambridge, Mass.)",9009644,IM,"['*Bias', 'Biometry', 'Child', 'Electromagnetic Fields/*adverse effects', '*Environmental Exposure', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/*etiology', 'Risk Assessment', 'Sweden/epidemiology', 'United States/epidemiology']",2001/08/16 10:00,2001/09/21 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2001/09/21 10:01 [medline]', '2001/08/16 10:00 [entrez]']",['10.1097/00001648-200109000-00010 [doi]'],ppublish,Epidemiology. 2001 Sep;12(5):518-20. doi: 10.1097/00001648-200109000-00010.,,15,,,,,,,,,,,,,,,,,,,,,,,
11505079,NLM,MEDLINE,20020702,20190915,0957-5235 (Print) 0957-5235 (Linking),12,5,2001 Jul,Prophylactic therapy with enoxaparin during L-asparaginase treatment in children with acute lymphoblastic leukemia.,367-70,"Forty-one consecutive children with acute lymphoblastic leukemia (ALL) received prophylaxis therapy with the low molecular weight heparin (LMWH) enoxaparin during L-asparaginase treatment. Enoxaparin was given every 24 h subcutaneously at a median dose of 0.84 mg/kg per day (range, 0.45-1.33 mg/kg per day) starting at the first dose of L-asparaginase until 1 week after the last dose. Molecular analysis for thrombophilic polymorphisms documented prothrombin G20210A mutation in 3/27 (11%), homozygosity for MTHFR C677T mutation in 5/27 (18.5%, and heterozygosity for factor V Leiden mutation in 5/27 (18.5%) children. There were no thrombotic events during 76 courses of L-asparaginase in 41 patients who had received enoxaparin. One patient suffered brain infarct 7 days after enoxaparin was stopped. There were no bleeding episodes. In a historical control group of 50 ALL children who had not received prophylactic enoxaparin during L-asparaginase treatment, two had thromboembolisms (one deep vein thrombosis and one pulmonary embolism). Enoxaparin is safe and seems to be effective in prevention of thromboembolism in ALL patients during L-asparaginase therapy. This study provides pilot data for a future randomized trial of the use of LMWH during ALL therapy for the prevention of asparaginase-associated thrombotic events.","['Elhasid, R', 'Lanir, N', 'Sharon, R', 'Weyl Ben Arush, M', 'Levin, C', 'Postovsky, S', 'Ben Barak, A', 'Brenner, B']","['Elhasid R', 'Lanir N', 'Sharon R', 'Weyl Ben Arush M', 'Levin C', 'Postovsky S', 'Ben Barak A', 'Brenner B']","['Department of Pediatric Hemato-Oncology, Rambam Medical Center and Bruce Rappaport Faculty of Medicine, Technion, Haifa, Israel.']",['eng'],"['Clinical Trial', 'Journal Article']",England,Blood Coagul Fibrinolysis,Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,9102551,IM,"['Adolescent', 'Anticoagulants/*administration & dosage', 'Antineoplastic Agents/*administration & dosage', 'Asparaginase/*administration & dosage', 'Blood Coagulation Factors/genetics', 'Child', 'Child, Preschool', 'DNA Mutational Analysis', 'Drug Therapy, Combination', 'Enoxaparin/*administration & dosage', 'Female', 'Humans', 'Incidence', 'Infant', 'Israel/epidemiology', 'Male', 'Pilot Projects', 'Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*drug therapy/genetics', 'Thromboembolism/etiology/genetics/*prevention & control', 'Thrombophilia/drug therapy/etiology/genetics']",2001/08/16 10:00,2002/07/03 10:01,['2001/08/16 10:00'],"['2001/08/16 10:00 [pubmed]', '2002/07/03 10:01 [medline]', '2001/08/16 10:00 [entrez]']",['10.1097/00001721-200107000-00005 [doi]'],ppublish,Blood Coagul Fibrinolysis. 2001 Jul;12(5):367-70. doi: 10.1097/00001721-200107000-00005.,"['0 (Anticoagulants)', '0 (Antineoplastic Agents)', '0 (Blood Coagulation Factors)', '0 (Enoxaparin)', 'EC 3.5.1.1 (Asparaginase)']",,,,,,,,,,,,,,,,,,,,,,,,
