PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,IP,AB,AID,PMC,OID,OAB,OABL,OTO,OT,GN,CIN,AD
1066182,NLM,MEDLINE,19761101,20190619,0008-543X (Print) 0008-543X (Linking),38,1976 Sep,Thymoma and chronic myelogenous leukemia: a case report.,1414-9,"['Knowles, D M 2nd']",['Knowles DM 2nd'],['eng'],"['Case Reports', 'Journal Article']",,United States,Cancer,Cancer,0374236,,IM,"['Aged', 'Carcinoma, Transitional Cell/*complications', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', '*Neoplasms, Multiple Primary', 'Thymoma/*complications/pathology', 'Thymus Neoplasms/*complications/pathology', 'Urinary Bladder Neoplasms/*complications']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Cancer. 1976 Sep;38(3):1414-9. doi: 10.1002/1097-0142(197609)38:3<1414::aid-cncr2820380348>3.0.co;2-x.,3,"A case of epithelial thymoma occurring synchronously with Philadelphia chromosome-positive chronic myelogenous leukemia and urinary bladder carcinoma in a 76-year-old man is described. Thymomas have been associated with numberous hematologic, collagen-vascular and autoimmune disease states, as well as with an increased incidence of nonthymic malignancy. Human thymoma-associated leukemia is, however, extremely unusual, despite the well-documented role of the thymus in leukemogenesis in experimental animals. No previous literature reports of thymoma associated with chronic myelogeneous leukemia were found. A review of long-term followup data of surviving thymoma patients is necessary to determine if an increased propensity to develop leukemia is present in present in patients with thymoma.",['10.1002/1097-0142(197609)38:3<1414::aid-cncr2820380348>3.0.co;2-x [doi]'],,,,,,,,,
1066181,NLM,MEDLINE,19761101,20190619,0008-543X (Print) 0008-543X (Linking),38,1976 Sep,Hodgkin's disease and myelomonocytic leukemia: an ultrastructural and immunocytochemical study.,1188-98,"['Parmley, R T', 'Spicer, S S', 'Morgan, S K', 'Grush, O C']","['Parmley RT', 'Spicer SS', 'Morgan SK', 'Grush OC']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Cancer,Cancer,0374236,['0 (Immunoglobulin G)'],IM,"['Bone Marrow/ultrastructure', 'Bone Marrow Cells', 'Cell Nucleus/ultrastructure', 'Child', 'Cytoplasm/ultrastructure', 'Endoplasmic Reticulum/ultrastructure', 'Female', 'Hodgkin Disease/complications/immunology/*pathology', 'Humans', 'Immunoglobulin G/analysis', 'Leukemia, Myeloid, Acute/complications/immunology/*pathology', 'Lymphocytes/ultrastructure', 'Mitochondria/ultrastructure', 'Monocytes/ultrastructure']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Cancer. 1976 Sep;38(3):1188-98. doi: 10.1002/1097-0142(197609)38:3<1188::aid-cncr2820380320>3.0.co;2-c.,3,"The ultrastructual and immunologic features of the initial Reed-Sternberg and Hodgkin cells are compared with the ultimate leukemic cell type in a child with Hodgkin's disease who subsequently developed acute myelomonocytic leukemia (AMML) following 29 months of chemotherapy. Hodgkin tumor cells contained cytoplasmic IgG and ultrastructurally resembled large immunoblasts, containing one or two round nuclei with large bizarre nucleoli, many polyribosomes, sparase endoplasmic reticulum, underdeveloped Golgi lamellae, and few cytoplasmic granules. The Hodgkin tumor cells displayed no evidence of phagocytosis. The leukemic monocytic cells did not contain cytoplasmic IgG and, ultrastrucally, exhibited and indented and irregular nuclear profile with less prominent nucleoli, numerous pleomorphic granules, a moderate number of free ribosomes, short segments of endoplasmic reticulum, and stacked Golgi lamellae. The cell surface was irregular and occasionally appeared involved in endocytic activity. These results indicate that the Hodgkin tumor cells originated from B lymphocytes rather than tissue macrophages, whereas the leukemic monocytes arose from the bone marrow-derived monocyte-macrophage series. The findings suggest further that AMML developing after Hodgkin's disease consitutes a second neoplasm rather than a leukemic transformation of Hodgkin tumor cells.",['10.1002/1097-0142(197609)38:3<1188::aid-cncr2820380320>3.0.co;2-c [doi]'],,,,,,,,,
1066174,NLM,MEDLINE,19761101,20210216,0006-4971 (Print) 0006-4971 (Linking),48,1976 Sep,Regulation of bone marrow cell growth in diffusion chambers: the effect of adding normal and leukemic (CML) polymorphonuclear granulocytes.,373-83,"['Boyum, A', 'Lovhaug, D', 'Boecker, W R']","['Boyum A', 'Lovhaug D', 'Boecker WR']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,['0 (Mitomycins)'],IM,"['Animals', 'Bone Marrow/*physiology', '*Bone Marrow Cells', 'Cells, Cultured', 'Female', 'Granulocytes/*physiology', '*Hematopoiesis', 'Humans', 'Leukemia, Myeloid/*blood', 'Leukocytes/*physiology', 'Lymphocytes/radiation effects', 'Male', 'Mice', 'Mitomycins/pharmacology', 'Swine', 'Time Factors']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Blood. 1976 Sep;48(3):373-83.,3,"Inhibition of granulopoiesis was studied using the diffusion chamber (DC) technique. When mature granulocytes from human blood or syngeneic mouse peritoneal fluid were added to mouse bone marrow cells cultured in DC, a significant depression of granulopoiesis took place, and a stimulation of macrophage formation was observed in 7-day cultures. Human granulocytes had a stronger inhinitory capacity than mouse granulocytes. The inhibition appeared to be tissue-specific and caused by a diffusible factor. A time study showed that the added granulocytes had no observable effect on the growth of proliferative granulocytes and CFU-C during the first days of culture. A rapid decrease of proliferative granulocytes after day 5 was preceded by a similar reduction of CFU-C 1 day earlier. The effect of CFU-S was more variable. In one strain of mice, there was a consistent increase in the granulocyte co-culture group, whereas in another strain a significant increase was observed only on day 2. Hislotologic examination showed that mature granulocytes changed the colony distribution, so that a significant relative decrease of granuloid colonies occurred. The nature of this delayed suppression of granulopoiesis is not evident from these data. A possible explanation is that factors released by mature granulocytes prevent recruitment of CFU-C and granulocyte precursors from the CFU-S compartment by blocking the granulopoietic pathway. Leukemic (CML) granulocytes isolated from blood were less able to inhibit granulopoiesis than normal granulocytes with mouse bone marrow as well as human bone marrow as target cells.",['S0006-4971(20)70171-0 [pii]'],,,,,,,,,
1066173,NLM,MEDLINE,19761101,20210216,0006-4971 (Print) 0006-4971 (Linking),48,1976 Sep,Leukocyte density and volume in normal subjects and in patients with acute lymphoblastic leukemia.,361-71,"['Zipursky, A', 'Bow, E', 'Seshadri, R S', 'Brown, E J']","['Zipursky A', 'Bow E', 'Seshadri RS', 'Brown EJ']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,,IM,"['Cell Separation', 'Centrifugation, Density Gradient', 'Humans', 'Leukemia, Lymphoid/*blood', '*Leukocytes', 'Lymphocytes', 'Monocytes', 'Neutrophils']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Blood. 1976 Sep;48(3):361-71.,3,"A method is described for the separation of blood and bone marrow leukocytes on the basis of buoyant density, using a discontinuous Ficoll-Hypaque density gradient. The median cell densities of monocytes and lymphocytes were found to be 1.067-1.077 and 1.073-1.077 g/ml, respectively. The cells of the myeloid series were shown to increase in density with maturation; the myeloblasts had the lowest density (1.064-1.065 g/ml) and the neutrophils the highest (greater than 1.080 g/ml). Cell volumes have been determined on isolated cell populations. The findings were: monocytes, 534 +/- 47 cu mu; lymphocytes, 247 +/- 18 cu mu; and neutrophils, 468 +/- 24 cu mu. Fourteen patients with acute lymphoblastic leukemia were studied. In four patients, the lymphoblasts were of low density (less than 1.068 g/ml), whereas the remaining patients had high density (greater than 1.068 g/ml) lymphoblasts. These four patients had large numbers of lymphoblasts in the peripheral blood and a poor prognosis. Lymphoblast volumes were not different in these two groups and were unrelated to prognosis.",['S0006-4971(20)70170-9 [pii]'],,,,,,,,,
1066172,NLM,MEDLINE,19761101,20210216,0006-4971 (Print) 0006-4971 (Linking),48,1976 Sep,Granulopoiesis in chronic myeloid leukemia. II. serial cloning of blood and bone marrow cells in agar culture.,351-60,"['Olofsson, T', 'Olsson, I']","['Olofsson T', 'Olsson I']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,,IM,"['Adult', 'Bone Marrow Cells', 'Cells, Cultured', 'Female', 'Granulocytes/*physiology', '*Hematopoiesis', 'Humans', 'Leukemia, Myeloid/*blood/complications', 'Leukocyte Count', 'Leukocytes/*physiology', 'Leukocytosis/complications', 'Male', 'Middle Aged']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Blood. 1976 Sep;48(3):351-60.,3,"Colony-forming cells (CFC) and CFC in S-phase were assayed in chronic myeloid leukemia (CML). A correlation was found between leukocyte counts and CFC of blood, suggesting that the leukocytosis of CML depended on expansion of the committed granulopoietic stem cell compartment. Serial studies performed in four cases demonstrated a decrease of the CFC in S-phase during early stages of developing leukocytosis, which was consistent with the operation of growth control mechanisms. During later stages, serial studies revealed that sudden increments of CFC S-phase coincided with rapidly growing leukocytosis, which was consistent with leukemic cell populations escaping growth control. H-thymidine labeling indices for differentiated precursor cells showed slight variations not coinciding with variations of the CFC S-phase fraction. Cyclic oscillations of the white cell count were observed in one case. The white cell count and the fraction of CFC in S-phase displayed a direct relationship, indicating that the occurence of cycles was not likely to be due to a negative feedback mechanism elaborated by mature granulocytes. In another case, marked cycling of the CFC S-phase fraction was found without distinct oscillations of the white cell count. The present work has emphasized the necessity for serial assays of parameters of cell kinetics in vitro in CML since changing relationships were found between stem cell and differentiated cell kinetics during different phases of the disease.",['S0006-4971(20)70169-2 [pii]'],,,,,,,,,
1066171,NLM,MEDLINE,19761101,20210216,0006-4971 (Print) 0006-4971 (Linking),48,1976 Sep,Human acute myelomonocytic leukemia: serologic studies with simian antisera.,339-50,"['Mohanakumar, T', 'Miller, D S', 'Metzgar, R S']","['Mohanakumar T', 'Miller DS', 'Metzgar RS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Blood,Blood,7603509,['0 (Immune Sera)'],IM,"['Animals', 'Cytotoxicity Tests, Immunologic', 'Humans', 'Immune Sera/*pharmacology', 'Leukemia, Lymphoid/immunology', 'Leukemia, Myeloid/*immunology', 'Macaca', 'Pan troglodytes']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Blood. 1976 Sep;48(3):339-50.,3,"Simian antisera to human leukemia cells were able to distinguish antigens specific for lymphocytic types of leukemia from those expressed on certain myeloid leukemia cells. In this investigation, cells from acute myelomonocytic leukemia patients (AMML) were examined for their membrane-associated leukemia antigens. Simian antisera to both lymphocytic and myelogenous leukemia cells lysed cells from AMML donors. Monkey antisera to AMML cells, by direct microcytotoxicity testing, were cytotoxic for cells from all AMML patients, as well as for cells of certain patients with myeloid leukemia. Cells from patients with lymphatic leukemia were nonreactive. However, absorption studies indicated an antigen present on cells from patients with chronic lymphocytic leukemia which cross-reacted with AMML cell antigens. Sequential analyses of the serologic reactivity of cells from AMML patients undergoing chemotherapy corresponded with the clinical course of the patient, even though there was little correlation between the percentage of blast cells present and the per cent cytotoxicity with the antisera. At certain times a higher percentage of seropositive cells could be detected over that seen on morphological evaluation. The estimation of leukemic cells by serologic means could aid in the diagnosis and management of AMML patients during chemotherapy.",['S0006-4971(20)70168-0 [pii]'],,,,,,,,,
1066170,NLM,MEDLINE,19761020,20081008,0365-9615 (Print) 0365-9615 (Linking),82,1976 Jul,[Possibility of detecting human embryonal leukemia antigen].,852-4,"['Akimova, G V', 'Eremeev, V S', 'Viadro, M M', 'Akimova, G V', ""Bergol'ts, V M""]","['Akimova GV', 'Eremeev VS', 'Viadro MM', 'Akimova GV', ""Bergol'ts VM""]",['rus'],"['English Abstract', 'Journal Article']",O vozmozhnosti vyiavleniia embrional'nogo leikoznogo antigena cheloveka,Russia (Federation),Biull Eksp Biol Med,Biulleten' eksperimental'noi biologii i meditsiny,0370627,"['0 (Antigens, Neoplasm)', '0 (Immune Sera)']",IM,"['*Antigens, Neoplasm', 'Child', 'Child, Preschool', 'Cytotoxicity Tests, Immunologic', 'Humans', 'Immune Sera', 'Leukemia, Lymphoid/*immunology', 'Umbilical Cord']",1976/07/01 00:00,1976/07/01 00:01,['1976/07/01 00:00'],"['1976/07/01 00:00 [pubmed]', '1976/07/01 00:01 [medline]', '1976/07/01 00:00 [entrez]']",ppublish,Biull Eksp Biol Med. 1976 Jul;82(7):852-4.,7,A possibility of detecting embryonic leukemic antigen on human leukemic blast cells in an acute human leukemia cytotoxicity test with the sera and 7S and 19S serum immunoglobulins of the placental blood was studied. The presence on the blast cells of patients suffering from acute leukemia of an antigen detectable by antibodies of placental blood (of parturients) was demonstrated; this antigen was absent on the leukocytes of healthy donors.,,,,,,,,,,
1066169,NLM,MEDLINE,19761020,20071115,0300-0893 (Print) 0300-0893 (Linking),23,1975 Nov 10,[Cerebrospinal fluid cytology in acute leukemias. (Use of cytocentrifugation for blast cell identification)].,378-81,"['Corberand, J', 'De Larrard, B', 'Robert, A', 'Pris, J']","['Corberand J', 'De Larrard B', 'Robert A', 'Pris J']",['fre'],"['English Abstract', 'Journal Article']",Etude cytologique du liquide cephalo-rachidien au cours des leucemies aigues (Interet de la cytocentrifugation pour l'identification des blastes),France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,,IM,"['Adolescent', 'Adult', 'Arachnoiditis/cerebrospinal fluid', 'Bone Marrow/analysis', 'Bone Marrow Cells', 'Cell Separation/methods', 'Centrifugation', 'Cerebrospinal Fluid/*cytology', 'Child', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Leukemia, Lymphoid/*cerebrospinal fluid', 'Leukemia, Myeloid, Acute/*cerebrospinal fluid', 'Lymphocytes/analysis', 'Male']",1975/11/10 00:00,1975/11/10 00:01,['1975/11/10 00:00'],"['1975/11/10 00:00 [pubmed]', '1975/11/10 00:01 [medline]', '1975/11/10 00:00 [entrez]']",ppublish,Biomedicine. 1975 Nov 10;23(9):378-81.,9,"The authors studied cerebrospinal fluid (CSF) in 51 patients with malignant blood diseases. 136 assays were performed over a three month period. In children, two technics were used; in the first case, smears were done with cells obtained through centrifugation; in the second case, CSF was directly thrown on glass slides in a special cytocentrifuge. Only the latter was performed for adults. In each case, the results of the cytological analysis were compared with those of cyto-chemical assay and clinical status.",,,,,,,,,,
1066168,NLM,MEDLINE,19761020,20071115,0300-0893 (Print) 0300-0893 (Linking),23,1975 Sep 10,Phase II trial of active immunotherapy of acute myeloid leukemia.,291-3,"['Mathe, G', 'Musset, M', 'Schwarzenberg, L', 'Hayat, M', 'de Vassal, F', 'Amiel, J L', 'Pouillart, P', 'Misset, J L']","['Mathe G', 'Musset M', 'Schwarzenberg L', 'Hayat M', 'de Vassal F', 'Amiel JL', 'Pouillart P', 'Misset JL']",['eng'],['Journal Article'],,France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,"['0 (Antineoplastic Agents)', '0 (BCG Vaccine)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/therapeutic use', '*BCG Vaccine', 'Bone Marrow/*immunology/radiation effects', '*Bone Marrow Cells', 'Child', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/immunology/*therapy', 'Male', 'Middle Aged', 'Radiation Effects', 'Remission, Spontaneous']",1975/09/10 00:00,1975/09/10 00:01,['1975/09/10 00:00'],"['1975/09/10 00:00 [pubmed]', '1975/09/10 00:01 [medline]', '1975/09/10 00:00 [entrez]']",ppublish,Biomedicine. 1975 Sep 10;23(7):291-3.,7,"18 acute myeloid leukemia patients were submitted to a Phase II active immunotherapy trial. The median duration of complete remission (CRD) (60 weeks) and of survival after remission (SAR) (104 weeks) were longer than those for our historical control groups. However, the CRD and SAR curves were not broken to form a ""cure expectancy"" plateau, as was the case for acute lymphoid leukemia.",,,,,,,,,,
1066167,NLM,MEDLINE,19761020,20081121,0300-0893 (Print) 0300-0893 (Linking),23,1975 Sep 10,Blood lymphocytes in acute lymphoid leukaemia in remission and in relapse. Predictive value of electrophoretic mobility and refringence.,283-90,"['Sabolovic, D', 'Pompidou, A', 'Amiel, J L']","['Sabolovic D', 'Pompidou A', 'Amiel JL']",['eng'],['Journal Article'],,France,Biomedicine,Biomedicine / [publiee pour l'A.A.I.C.I.G.],0361342,['0 (Immunoglobulins)'],IM,"['Adolescent', 'Child', 'Electrophoresis', 'Erythrocytes/immunology', 'Female', 'Humans', 'Immunoglobulins/analysis', 'Leukemia, Lymphoid/*blood', '*Lymphocytes/immunology', 'Male', 'Optics and Photonics', 'Recurrence', 'Remission, Spontaneous']",1975/09/10 00:00,1975/09/10 00:01,['1975/09/10 00:00'],"['1975/09/10 00:00 [pubmed]', '1975/09/10 00:01 [medline]', '1975/09/10 00:00 [entrez]']",ppublish,Biomedicine. 1975 Sep 10;23(7):283-90.,7,"Blood lymphocytes were studied during the evolution of acute lymphocytic leukaemia, including remissions and relapses, under chemotherapy and immunotherapy. Lymphoblasts migrate as a uniform population and have a mean electrophoretic mobility of 1.04 mum-sec-1. V-1cm. These lymphoblasts are also refringent. The relapse seems to be preceded by a slowing of the electrophoretic mobility of fast cells and a rise in the percentage of refringent lymphocytes.",,,,,,,,,,
1066166,NLM,MEDLINE,19761029,20190609,0006-3002 (Print) 0006-3002 (Linking),437,1976 Jul 21,5-Methyltetrahydrofolate-dependent methyltransferase activity in chronic erythremic myelosis and other types of anemias.,639-42,"['Kass, L', 'Boroush, M A']","['Kass L', 'Boroush MA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,Netherlands,Biochim Biophys Acta,Biochimica et biophysica acta,0217513,"['EC 2.1.1.- (Methyltransferases)', 'EC 2.1.1.13 (5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase)']",IM,"['5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase/*metabolism', 'Anemia/*enzymology', 'Anemia, Hemolytic/enzymology', 'Anemia, Pernicious/enzymology', 'Bone Marrow/*enzymology', 'Chronic Disease', 'Humans', 'Leukemia, Erythroblastic, Acute/*enzymology', 'Methyltransferases/*metabolism']",1976/07/21 00:00,1976/07/21 00:01,['1976/07/21 00:00'],"['1976/07/21 00:00 [pubmed]', '1976/07/21 00:01 [medline]', '1976/07/21 00:00 [entrez]']",ppublish,Biochim Biophys Acta. 1976 Jul 21;437(2):639-42. doi: 10.1016/0304-4165(76)90032-5.,2,,"['0304-4165(76)90032-5 [pii]', '10.1016/0304-4165(76)90032-5 [doi]']",,,,,,,,,
1066165,NLM,MEDLINE,19761101,20190613,0006-2960 (Print) 0006-2960 (Linking),15,1976 Aug 24,Human deoxythymidine kinase II: substrate specificity and kinetic behavior of the cytoplasmic and mitochondrial isozymes derived from blast cells of acute myelocytic leukemia.,3686-90,"['Lee, L S', 'Cheng, Y c']","['Lee LS', 'Cheng Yc']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",,United States,Biochemistry,Biochemistry,0370623,"['0 (Deoxyribonucleosides)', '0 (Deoxyribonucleotides)', '0 (Isoenzymes)', '0 (Pyrimidine Nucleosides)', '0 (Ribonucleotides)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.1.21 (Thymidine Kinase)', 'I38ZP9992A (Magnesium)', 'VC2W18DGKR (Thymidine)', 'WHI7HQ7H85 (Uridine)']",IM,"['Adenosine Triphosphate/pharmacology', 'Bone Marrow/*enzymology', '*Bone Marrow Cells', 'Cytoplasm/*enzymology', 'Deoxyribonucleosides/metabolism', 'Deoxyribonucleotides/metabolism', 'Humans', 'Isoenzymes/metabolism', 'Kinetics', 'Leukemia, Myeloid, Acute/*enzymology', 'Magnesium/pharmacology', 'Mitochondria/*enzymology', 'Protein Binding', 'Pyrimidine Nucleosides/pharmacology', 'Ribonucleotides/metabolism', 'Thymidine/metabolism', 'Thymidine Kinase/*metabolism', 'Uridine/analogs & derivatives/pharmacology']",1976/08/24 00:00,1976/08/24 00:01,['1976/08/24 00:00'],"['1976/08/24 00:00 [pubmed]', '1976/08/24 00:01 [medline]', '1976/08/24 00:00 [entrez]']",ppublish,Biochemistry. 1976 Aug 24;15(17):3686-90. doi: 10.1021/bi00662a007.,17,"Cytoplasmic and mitochondrial deoxythymidine kinase isozymes derived from the blast cells of acute myelocytic leukemia differ in their substrate specificity and kinetic behavior. These enzymes require divalent cations for their activity. The data suggest that the major role of idvalent cations is to chelate with ATP; the complex thus formed serves as the phosphate donor for the reaction. The activity of various triphosphate nucleosides as a phosphate donor for cytoplasmic deoxythymidine kinase is as follows: ATP = dATP greater than ara-ATP greater than GTP greater than CTP greater than dGTP = dCTP greater than dUTP, whereas for mitochondrial deoxythymidine kinase, the order of activity is ATP greater than CTP greater than UTP = dATP greater than ara-ATP greater than dGTP = dCTP greater than dUTP. Neither IdUTP nor dTTP could serve as a phosphate donor in the reaction catalyzed by either isozyme. From the many pyrimidine analogues tested for their binding affinity to each of these isozymes, I-dUrd and Br-dUrd had high good affinity which was equivalent to that of deoxythymidine. 5-Allyl-dUrd, 5-ethyl-dUrd, and 5-propyl-dUrd were only weakly bound to each isozyme. 5-I-dCyd, 5-Br-dCyd, dCyd, and 5-vinyl-dUrd were tightly bound to mitochondrial deoxythymidine kinase but not to the cytoplasmic isozyme. dTTP and I-dUTP are potent inhibitors of the reaction catalyzed by both isozymes. In contrast, dCTP and ara-CTP are potent inhibitors only of the mitochondrial isozyme, but not of the cytoplasmic isozyme. ATP-MG2+ acts as a sigmoidal substrate of the cytoplasmic isozyme with a""Km"" of 0.22 mM, and as a regular substrate of the mitochondrial isozyme with a Km of 0.1 mM. Deoxythymidine acts as a regular substrate for both cytoplasmic and mitochondrial isozyme with a Km of 2.6 and 5.2 muM, respectively. Initial velocity as well as product inhibition studies suggest that the cytoplasmic isozyme catalyzes the reaction via a ""sequential"" mechanism. In contrast, mitochondrial deoxythymidine kinase catalyzes the reaction via a ""ping-pong"" mechanism.",['10.1021/bi00662a007 [doi]'],,,,,,,,,
1066150,NLM,MEDLINE,19761101,20190704,0007-1048 (Print) 0007-1048 (Linking),34,1976 Sep,Remission maintenance therapy for meningeal leukaemia: intrathecal methotrexate and dexamethasone versus intrathecal craniospinal irradiation with a radiocolloid.,119-27,"['Muriel, F S', 'Schere, D', 'Barengols, A', 'Eppinger-Helft, M', 'Braier, J L', 'Pavlovsky, S', 'Macchi, G H', 'Guman, L']","['Muriel FS', 'Schere D', 'Barengols A', 'Eppinger-Helft M', 'Braier JL', 'Pavlovsky S', 'Macchi GH', 'Guman L']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial']",,England,Br J Haematol,British journal of haematology,0372544,"['0 (Colloids)', '0 (Phosphorus Radioisotopes)', '7S5I7G3JQL (Dexamethasone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Colloids', 'Dexamethasone/*administration & dosage/therapeutic use', 'Female', 'Humans', 'Injections, Spinal', 'Leukemia, Lymphoid/complications/drug therapy/radiotherapy/*therapy', 'Male', 'Meningitis/drug therapy/etiology/radiotherapy', 'Methotrexate/*administration & dosage/therapeutic use', 'Phosphorus Radioisotopes/*administration & dosage', 'Remission, Spontaneous', 'Time Factors']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Br J Haematol. 1976 Sep;34(1):119-27. doi: 10.1111/j.1365-2141.1976.tb00180.x.,1,"Thirty-two patients with meningeal leukaemia who achieved meningeal remission with intrathecal methotrexate (MTX) plus dexamethasone (DMT) were entered in a randomized study of two maintenance treatments: (a) I6 patients received intermittent intrathecal doses of MTX plus DMT, and (b) I6 patients received intermittent intrathecal doses of radioactive chromic phosphate (CROP). The population and clinical characteristics of the cases assigned to each maintenance regimen were similar. The duration of meningeal remission was 55-600 + d (median 550 d) for the MTX and DMT group and 56-555 d (median 360 d) for the CROP group. There was no statistical difference (P greater than 0.05) between the curves of the two groups. Intrathecal CROP seems to be as effective as intrathecal MTX plus DMT as maintenance treatment for intrathecal MTX plus DMT induced meningeal remission. Further uses of this compound should be explored but it seems to be dangerous to administer it by lumbar puncture.",['10.1111/j.1365-2141.1976.tb00180.x [doi]'],,,,,,,,,
1066149,NLM,MEDLINE,19761101,20190704,0007-1048 (Print) 0007-1048 (Linking),34,1976 Sep,The cryopreservation of leukaemia cells: morphological and functional changes.,105-17,"['Lowenthal, R M', 'Park, D S', 'Goldman, J M', 'Hill, R S', 'Whyte, G', ""Th'ng, K H""]","['Lowenthal RM', 'Park DS', 'Goldman JM', 'Hill RS', 'Whyte G', ""Th'ng KH""]",['eng'],['Journal Article'],,England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA, Neoplasm)', '0 (Dextrans)', '298-83-9 (Nitroblue Tetrazolium)']",IM,"['Bone Marrow/metabolism/*pathology', '*Bone Marrow Cells', 'Candida', 'Cell Survival', 'DNA, Neoplasm/biosynthesis', 'Dextrans', 'Freezing', 'Humans', 'Leukemia, Myeloid/metabolism/*pathology', 'Leukemia, Myeloid, Acute/metabolism/*pathology', 'Nitroblue Tetrazolium/metabolism', 'Phagocytosis', 'Specimen Handling', 'Tissue Preservation/*methods']",1976/09/01 00:00,1976/09/01 00:01,['1976/09/01 00:00'],"['1976/09/01 00:00 [pubmed]', '1976/09/01 00:01 [medline]', '1976/09/01 00:00 [entrez]']",ppublish,Br J Haematol. 1976 Sep;34(1):105-17. doi: 10.1111/j.1365-2141.1976.tb00179.x.,1,"Stored autologous haemopoietic cells may be used to repopulate the bone marrow of patients in the advanced stages of different leukaemias who have received cytotoxic drugs. We have used a continuous flow blood cell separator to collect peripheral blood leucocytes from patients with chronic granulocytic leukaemia (CGL) before treatment. We also collected bone marrow cells from patients with CGL and from patients with acute myeloid leukaemia in complete remission. The collected cells were frozen at I degree C per minute using dimethyl sulphoxide as cryoprotective agent and stored in liquid nitrogen. For reconstitution of frozen cells we found that the use of dextran II0 inhibited leucoagglutination. The viability and function of the reconstituted leucocytes were assessed by their morphological appearance, their capacity to phagocytose and kill Candida albicans organisms, their ability to reduce the dye nitroblue tetrazolium (NBT) in vitro and to incorporate tritiated thymidine into DNA and by the growth of colony forming units (CFUc) in agar culture. With this method of cryopreservation the phagocytic function of mature neutrophils is retained to some extent but their capacity to reduce NBT and their microbicidal activity are completely lost. In contrast CFUc may remain after storage for periods of at least 2 years.",['10.1111/j.1365-2141.1976.tb00179.x [doi]'],,,,,,,,,
