PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,GR,TT,RF,PS,FPS,OID,OTO,OT,GN
6752477,NLM,MEDLINE,19821218,20071115,0485-1439 (Print) 0485-1439 (Linking),23,4,1982 Apr,[Current status and the future prospect of bone marrow transplantation in Japan].,425-32,,"['Hattori, J']",['Hattori J'],['jpn'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic/therapy', '*Bone Marrow Transplantation', 'Child', 'Female', 'Graft Rejection', 'Graft vs Host Reaction', 'HLA Antigens', 'Histocompatibility', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Japan', 'Leukemia, Lymphoid/therapy', 'Male', 'Neoplasms/therapy', 'Transplantation, Autologous/methods', 'Transplantation, Homologous/methods']",,1982/04/01 00:00,1982/04/01 00:01,['1982/04/01 00:00'],"['1982/04/01 00:00 [pubmed]', '1982/04/01 00:01 [medline]', '1982/04/01 00:00 [entrez]']",,ppublish,Rinsho Ketsueki. 1982 Apr;23(4):425-32.,"['0 (HLA Antigens)', '0 (Immunosuppressive Agents)']",,,23,,,,,,
6752472,NLM,MEDLINE,19821218,20191210,0021-4930 (Print) 0021-4930 (Linking),37,3,1982 May,[Secondary immunodeficiency and infection].,589-600,,"['Matsumoto, K']",['Matsumoto K'],['jpn'],"['Journal Article', 'Review']",Japan,Nihon Saikingaku Zasshi,Nihon saikingaku zasshi. Japanese journal of bacteriology,2984804R,IM,"['Adrenal Cortex Hormones/adverse effects', 'Adult', 'Alcoholism/complications', 'Animals', 'Bacterial Infections/complications', 'Burns/complications', 'Cricetinae', 'Female', 'Humans', 'Immunologic Deficiency Syndromes/*etiology/immunology', 'Infections/drug therapy/*etiology', 'Leukemia/complications', 'Lymphoma/complications', 'Mice', 'Radiotherapy/adverse effects']",,1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Nihon Saikingaku Zasshi. 1982 May;37(3):589-600.,['0 (Adrenal Cortex Hormones)'],,,63,,,,,,
6752459,NLM,MEDLINE,19821216,20161116,0368-2781 (Print) 0368-2781 (Linking),35,5,1982 May,[Effects of cefoxitin in the treatment of severe infections in patients with hematopoietic disorders].,1212-22,"Cefoxitin (CFX) at a daily dose of 3 to 12 grams was administered to patients who had hematopoietic disorders as underlying diseases and having severe infections. Efficacy and safety of the drug were evaluated. The underlying diseases in the 64 patients included in the evaluation of efficacy were acute myelocytic leukemia (30 cases), acute lymphocytic leukemia (9), acute promyelocytic leukemia (3), acute monocytic leukemia (2), chronic myelocytic leukemia-blastic crisis (10), erythroleukemia (2), malignant lymphoma (2), aplastic anemia (2), and others (4). The infections were septicemia in 3 patients, suspected septicemia in 47, respiratory tract infections in 7, oral infections in 3, urinary tract infections in 2, and others in 2. The clinical efficacy of CFX was 'excellent' in 13 patients, 'good' in 26, 'fair' in 6, 'poor' in 19 for an efficacy rate of 60.9%. The efficacy rate classified according to infections was 66.7% in septicemia, 66.0% in suspected septicemia, 42.9% in respiratory tract infections and 66.7% in oral infection. The organisms isolated from the patients with septicemia were E. coli in 2 patients and B. cereus in 1. B. cereus was not susceptible to CFX. The efficacy rate was 60.0% in the 10 patients whose causative organisms were identified and 61.1% in the 54 patients whose causative organisms were not identified. There was no significant difference in the efficacy rate between the patients who had failed to respond to prior antibiotic therapy and those treated with CFX from the beginning. The efficacy rates for the former group (23 patients) and for the latter group (41 patients) were 56.5% and 63.4%, respectively. The efficacy rate in patients with an initial neutrophil count less than 500/mm3 (35 cases) and from 501 to 1,000/mm3 (13 cases) were 57.1% and 76.9%, respectively. Side effects which might have been caused by CFX were skin eruptions in 2 patients (2.6%) and transient elevation of GOT and GPT in 1 patient (1.3%) among 76 patients who were evaluated for safety. CFX was considered to be a markedly useful and safe drug in the treatment of patients with hematopoietic disorders who developed severe infections.","['Hasegawa, H', 'Horiuchi, A', 'Nagai, K', 'Kanamaru, A', 'Masaoka, T', 'Shibata, H', 'Kitani, T', 'Tsubakio, T', 'Kawagoe, H', 'Shinohara, Y', 'Nasu, T']","['Hasegawa H', 'Horiuchi A', 'Nagai K', 'Kanamaru A', 'Masaoka T', 'Shibata H', 'Kitani T', 'Tsubakio T', 'Kawagoe H', 'Shinohara Y', 'Nasu T']",['jpn'],"['Clinical Trial', 'English Abstract', 'Journal Article']",Japan,Jpn J Antibiot,The Japanese journal of antibiotics,0154402,IM,"['Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/complications', 'Cefoxitin/administration & dosage/adverse effects/*therapeutic use', 'Child', 'Clinical Trials as Topic', 'Female', 'Humans', 'Leukemia/*complications', 'Lymphoma/complications', 'Male', 'Middle Aged', 'Respiratory Tract Infections/drug therapy', 'Sepsis/*drug therapy']",,1982/05/01 00:00,1982/05/01 00:01,['1982/05/01 00:00'],"['1982/05/01 00:00 [pubmed]', '1982/05/01 00:01 [medline]', '1982/05/01 00:00 [entrez]']",,ppublish,Jpn J Antibiot. 1982 May;35(5):1212-22.,['6OEV9DX57Y (Cefoxitin)'],,,,,,,,,
6752449,NLM,MEDLINE,19821218,20170214,0148-6071 (Print) 0148-6071 (Linking),6,4,1982 Jul-Aug,Primary taste thresholds in children with leukemia undergoing marrow transplantation.,287-90,"Taste threshold for the four basic tastes were determined to assess taste impairments in 11 children with acute leukemia undergoing marrow transplantation and in 20 normal children. Thresholds were measured on admission, 2 days, and 45 days after transplant using the Up-Down Staircase method. No significant difference was noted between patients at admission and the control group for sweet, bitter, or salt. There was a significant difference between patients and controls for the sour threshold (p = 0.006). Patient threshold values on day 2 and day 45 (posttransplant were compared with admission values. No significant differences were seen, except for the salt threshold which was increased at day 2 posttransplant when compared with the admission values. We conclude that only minor changes in taste thresholds were demonstrated in this study. These changes probably do not account for abnormal food tastes reported by patients.","['Barale, K', 'Aker, S N', 'Martinsen, C S']","['Barale K', 'Aker SN', 'Martinsen CS']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,JPEN J Parenter Enteral Nutr,JPEN. Journal of parenteral and enteral nutrition,7804134,IM,"['Adolescent', '*Bone Marrow Transplantation', 'Child', 'Humans', 'Leukemia/*physiopathology/therapy', '*Taste', 'Taste Disorders/etiology', '*Taste Threshold']",,1982/07/01 00:00,1982/07/01 00:01,['1982/07/01 00:00'],"['1982/07/01 00:00 [pubmed]', '1982/07/01 00:01 [medline]', '1982/07/01 00:00 [entrez]']",['10.1177/0148607182006004287 [doi]'],ppublish,JPEN J Parenter Enteral Nutr. 1982 Jul-Aug;6(4):287-90. doi: 10.1177/0148607182006004287.,,['CA 18029/CA/NCI NIH HHS/United States'],,,,,,,,
6752447,NLM,MEDLINE,19821218,20161017,0098-7484 (Print) 0098-7484 (Linking),248,19,1982 Nov 19,A multiple-dose phase I trial of recombinant leukocyte A interferon in cancer patients.,2461-6,"Eighty-one patients with a variety of refractory disseminated malignant neoplasms have been treated in the first multiple fixed-dose phase I trial of recombinant leukocyte A interferon (IFL-rA). Each patient received IFL-rA by intramuscular injection, three times weekly for 28 days. Dosages were escalated in different patients from 1 to 136 x 10(6) units per injection. The toxic reactions seen with IFL-rA resembled those of nonrecombinant leukocyte interferon and included fever, chills, fatigue, anorexia, myalgia, headache, occasional nausea and vomiting, and dose-dependent reversible leukopenia and hepatic transaminase elevations. The pharmacokinetics of IFL-rA were also comparable with nonrecombinant leukocyte interferon. Objective evidence of antitumor activity was seen in non-Hodgkin's lymphoma, chronic lymphocytic leukemia, Hodgkin's disease, breast cancer, and melanoma, indicating that IFL-rA, the first genetically engineered biological response modifier available for testing in cancer patients, is biologically active in vivo.","['Sherwin, S A', 'Knost, J A', 'Fein, S', 'Abrams, P G', 'Foon, K A', 'Ochs, J J', 'Schoenberger, C', 'Maluish, A E', 'Oldham, R K']","['Sherwin SA', 'Knost JA', 'Fein S', 'Abrams PG', 'Foon KA', 'Ochs JJ', 'Schoenberger C', 'Maluish AE', 'Oldham RK']",['eng'],"['Clinical Trial', 'Journal Article']",United States,JAMA,JAMA,7501160,IM,"['Anorexia/etiology', 'Clinical Trials as Topic', 'DNA, Recombinant', 'Dose-Response Relationship, Drug', 'Drug Evaluation', 'Fatigue/etiology', 'Fever/etiology', 'Humans', 'Injections, Intramuscular', 'Interferon Type I/*administration & dosage/adverse effects/blood', 'Kinetics', 'Leukopenia/etiology', 'Neoplasms/*therapy', 'Thrombocytopenia/etiology']",,1982/11/19 00:00,1982/11/19 00:01,['1982/11/19 00:00'],"['1982/11/19 00:00 [pubmed]', '1982/11/19 00:01 [medline]', '1982/11/19 00:00 [entrez]']",,ppublish,JAMA. 1982 Nov 19;248(19):2461-6.,"['0 (DNA, Recombinant)', '0 (Interferon Type I)']",,,,,,,,,
6752444,NLM,MEDLINE,19821218,20161017,0098-7484 (Print) 0098-7484 (Linking),248,18,1982 Nov 12,Platelet transfusion therapy in an alloimmunized patient. The value of crossmatch procedures for donor selection.,2301-3,"A 51-year-old patient with acute myelogenous leukemia, who was alloimmunized to platelets, failed to show adequate platelet increments after receiving transfusions of HLA grade A-identical platelets. Only platelets from an HLA grade B-matching donor gave high increments. Several crossmatching procedures were used to select platelet donors. A correlation was seen between in vitro tests and in vivo response. HLA typing has limitations in the selection of platelet-compatible donors.","['Hecht, T', 'Wolf, J L', 'Mraz, L', 'Scott, E P', 'Patz, L D']","['Hecht T', 'Wolf JL', 'Mraz L', 'Scott EP', 'Patz LD']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,JAMA,JAMA,7501160,IM,"['Adult', '*Blood Donors', 'Blood Grouping and Crossmatching/methods', 'Blood Platelets/immunology', '*Blood Transfusion', 'Female', 'HLA Antigens/immunology', 'Humans', 'Immunoenzyme Techniques', 'Isoantibodies/*analysis', 'Leukemia, Myeloid, Acute/*therapy', 'Platelet Count', '*Platelet Transfusion']",,1982/11/12 00:00,1982/11/12 00:01,['1982/11/12 00:00'],"['1982/11/12 00:00 [pubmed]', '1982/11/12 00:01 [medline]', '1982/11/12 00:00 [entrez]']",,ppublish,JAMA. 1982 Nov 12;248(18):2301-3.,"['0 (HLA Antigens)', '0 (Isoantibodies)']",['CA 3206-01/CA/NCI NIH HHS/United States'],,,,,,,,
6752442,NLM,MEDLINE,19821218,20161017,0098-7484 (Print) 0098-7484 (Linking),248,18,1982 Nov 12,New marrow transplant technique aids some cancers.,2213-5,,"['Zoler, M L']",['Zoler ML'],['eng'],['News'],United States,JAMA,JAMA,7501160,IM,"['Antibodies, Monoclonal/immunology', '*Bone Marrow Transplantation', 'Complement Activation', 'Humans', 'Leukemia, Lymphoid/immunology/*therapy']",,1982/11/12 00:00,1982/11/12 00:01,['1982/11/12 00:00'],"['1982/11/12 00:00 [pubmed]', '1982/11/12 00:01 [medline]', '1982/11/12 00:00 [entrez]']",,ppublish,JAMA. 1982 Nov 12;248(18):2213-5.,"['0 (Antibodies, Monoclonal)']",,,,,,,,,
6752351,NLM,MEDLINE,19821221,20211203,0022-3069 (Print) 0022-3069 (Linking),41,6,1982 Nov,Granulocytic sarcoma of the brain after renal transplantation.,580-7,"A case of granulocytic sarcoma of the brain in a renal transplant recipient treated with immunosuppressive agents is presented. While the increased risk of malignant lymphoma, particularly large-cell lymphoma (reticulum cell sarcoma, histiocytic lymphoma, immunoblastic sarcoma) in these patients is well known, this appears to be the first report of a granulocytic sarcoma. Granulocytic sarcoma, a rare tumor composed of immature granulocytic elements, almost never involves the parenchyma of the brain. Histochemical examination may be necessary to distinguish this lesion from other poorly-differentiated neoplasms.","['Joselson, R A', 'Beckstead, J H', 'Davis, R L']","['Joselson RA', 'Beckstead JH', 'Davis RL']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,J Neuropathol Exp Neurol,Journal of neuropathology and experimental neurology,2985192R,IM,"['Adult', 'Brain/pathology/ultrastructure', 'Brain Neoplasms/*pathology/ultrastructure', 'Female', 'Humans', 'Immunosuppression Therapy', '*Kidney Transplantation', 'Leukemia, Myeloid/*pathology/ultrastructure']",,1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",['10.1097/00005072-198211000-00002 [doi]'],ppublish,J Neuropathol Exp Neurol. 1982 Nov;41(6):580-7. doi: 10.1097/00005072-198211000-00002.,,"['CA-13525/CA/NCI NIH HHS/United States', 'CA-14264/CA/NCI NIH HHS/United States', 'S07 RR05355/RR/NCRR NIH HHS/United States', 'etc.']",,,,,,,,
6752221,NLM,MEDLINE,19821218,20190709,0190-9622 (Print) 0190-9622 (Linking),7,2,1982 Aug,Acute myelomonocytic leukemia presenting as a primary cutaneous lymphoma of true histiocytes.,229-35,"Malignant histiocytic and monocytic infiltrates of the skin are seen in true histiocytic lymphomas, in malignant histiocytosis, and in monocytic leukemias. Occasionally such cutaneous lesions constitute the presenting manifestation of the underlying malignancy. We report here a patient whose first manifestation of acute myelomonocytic leukemia was a malignant histiocytic infiltrate in the skin. Cytochemical and electron microscopic data confirmed the histiocytic nature of the skin tumor, and cytochemical data documented the myelomonocytic nature of the subsequent leukemia. Purely histiocytic skin tumors do not often presage myelomonocytic leukemias, although they have developed into monocytic leukemias, and monocytic leukemias have been transformed into myelomonocytic leukemias.","['Strayer, D S', 'Phillips, G B', 'Herzig, G', 'Bari, W', 'Santa Cruz, D J']","['Strayer DS', 'Phillips GB', 'Herzig G', 'Bari W', 'Santa Cruz DJ']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,IM,"['Aged', 'Biopsy', 'Bone Marrow/pathology', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*complications/pathology', 'Lymphoma, Large B-Cell, Diffuse/*complications/pathology', 'Skin/pathology', 'Skin Neoplasms/*complications/pathology']",,1982/08/01 00:00,1982/08/01 00:01,['1982/08/01 00:00'],"['1982/08/01 00:00 [pubmed]', '1982/08/01 00:01 [medline]', '1982/08/01 00:00 [entrez]']","['S0190-9622(82)70112-4 [pii]', '10.1016/s0190-9622(82)70112-4 [doi]']",ppublish,J Am Acad Dermatol. 1982 Aug;7(2):229-35. doi: 10.1016/s0190-9622(82)70112-4.,,['5R25CA17955-05/CA/NCI NIH HHS/United States'],,,,,,,,
6752054,NLM,MEDLINE,19821218,20190722,0011-9059 (Print) 0011-9059 (Linking),21,7,1982 Sep,Graft versus host disease.,398-9,,"['Ray, T L']",['Ray TL'],['eng'],['Journal Article'],England,Int J Dermatol,International journal of dermatology,0243704,IM,"['Acute Disease', '*Bone Marrow Transplantation', 'Chronic Disease', 'Graft vs Host Disease/*etiology', 'Graft vs Host Reaction', 'Humans', 'Leukemia/therapy', 'Transplantation, Homologous']",,1982/09/01 00:00,1982/09/01 00:01,['1982/09/01 00:00'],"['1982/09/01 00:00 [pubmed]', '1982/09/01 00:01 [medline]', '1982/09/01 00:00 [entrez]']",['10.1111/j.1365-4362.1982.tb03157.x [doi]'],ppublish,Int J Dermatol. 1982 Sep;21(7):398-9. doi: 10.1111/j.1365-4362.1982.tb03157.x.,,,,,,,,,,
6752045,NLM,MEDLINE,19821218,20190708,0020-7136 (Print) 0020-7136 (Linking),30,3,1982 Sep 15,Antigens in an adult T-cell leukemia virus-producer cell line: reactivity with human serum antibodies.,289-293,"Sera from patients with adult T-cell leukemia (ATL) or other diseases and from healthy adults, whose titers of antibodies against ATL-associated antigens (ATLA) had been determined by indirect immunofluorescence, were analysed by a procedure of immunoprecipitation followed by SDS-polyacrylamide gel electrophoresis. For this an ATL virus (ATLV)-producer cell line, MT-2, was labelled with [35S]-methionine. All 12 anti-ATLA-positive sera but none of the eight anti-ATLA-negative sera tested reacted specifically with four polypeptides with molecular weights of 70,000, 53,000, 36,000 and 24,000 daltons. Furthermore, enrichment of three polypeptides with molecular weights of 76,000, 43,000 and 28,000 daltons was observed on reaction with anti-ATLA-positive sera. In control experiments using ATLA-negative T-cell lines, Molt-4 and HPB-ALL, none of these seven polypeptides were precipitated by reaction with anti-ATLA-positive sera. All six anti-ATLA-positive sera tested were shown to react with a polypeptide with a molecular weight of 24,000 of purified ATLV.","['Yamamoto, N', 'Hinuma, Y']","['Yamamoto N', 'Hinuma Y']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,IM,"['Antigen-Antibody Complex/analysis', 'Antigens, Neoplasm/*analysis', 'Cell Line', 'Electrophoresis, Polyacrylamide Gel', 'Fluorescent Antibody Technique', 'Humans', 'Leukemia/*immunology', 'Molecular Weight', 'T-Lymphocytes']",,1982/09/15 00:00,1982/09/15 00:01,['1982/09/15 00:00'],"['1982/09/15 00:00 [pubmed]', '1982/09/15 00:01 [medline]', '1982/09/15 00:00 [entrez]']",['10.1002/ijc.2910300306 [doi]'],ppublish,Int J Cancer. 1982 Sep 15;30(3):289-293. doi: 10.1002/ijc.2910300306.,"['0 (Antigen-Antibody Complex)', '0 (Antigens, Neoplasm)']",,,,,,,,,
6751920,NLM,MEDLINE,19821218,20141003,0016-450X (Print) 0016-450X (Linking),73,3,1982 Jun,Specific immunotherapy combined with whole body irradiation of BALB/c mice bearing Moloney murine sarcoma virus-induced primary tumors.,446-53,"Adoptive transfer of lymphocytes was performed into mice bearing progressor Moloney murine sarcoma virus (M-MSV)-induced primary tumors. Lymphocytes from mice immunized against M-MSV (designated as immune lymphocytes, IL) inhibited tumor growth when transferred before the virus injection. However, the same lymphocytes were ineffective against tumors consisting of a solid mass when transferred after the virus inoculation. When IL was transferred shortly after 500 rad whole-body irradiation of the tumor-bearing mice, tumors regressed markedly and most of them became undetectable, while tumors of other groups receiving normal lymphocytes or medium combined with irradiation ceased to regress soon after the treatment. This effect of IL was abolished by the treatment of IL with anti-Thy 1 antibody and complement, and was not observed against antigenically distinct syngeneic tumors (Meth-A). Concomitant transfer of spleen cells from mice bearing progressing tumors with IL partially impeded the effect of IL. These results suggest that specific immune T lymphocytes induce tumor regression when transferred after the whole body irradiation of the tumor-bearing mice. The effects of irradiation may be divided into two categories: the direct effect on tumor cells, and the indirect effect upon the activity of IL.","['Kimura, H', 'Yamaguchi, Y', 'Fujisawa, T']","['Kimura H', 'Yamaguchi Y', 'Fujisawa T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Gan,Gan,0151745,IM,"['Animals', 'Female', 'Immunization, Passive', '*Immunotherapy', 'Leukemia, Experimental/pathology/radiotherapy/*therapy', 'Lymphocytes/immunology', 'Mice', 'Mice, Inbred BALB C', 'Moloney murine leukemia virus', 'Whole-Body Irradiation']",,1982/06/01 00:00,1982/06/01 00:01,['1982/06/01 00:00'],"['1982/06/01 00:00 [pubmed]', '1982/06/01 00:01 [medline]', '1982/06/01 00:00 [entrez]']",,ppublish,Gan. 1982 Jun;73(3):446-53.,,,,,,,,,,
6751526,NLM,MEDLINE,19821216,20131121,0008-5472 (Print) 0008-5472 (Linking),42,11,1982 Nov,Regulation of i- and I-antigen expression in the K562 cell line.,4694-700,"Expression of i- and I-antigen in K562 cultured under different conditions of culture was investigated. Under standard conditions of culture, i-antigen expression was very high (100% of i-labeled cells) in contrast to I-antigen expression of which was very low (2 to 5% of I-labeled cells). The addition of hemin to K562 cells did not modify the mean antigenic density or the proportion of i- and I-labeled cells. In contrast, sodium butyrate elicited an important increase in the proportion of cells exhibiting I-antigen associated to a decrease of i-antigenic density. The effect of butyrate was reversible and dependent upon de novo protein and messenger RNA synthesis since it was abolished in the presence of cycloheximide or actinomycin D. The stimulation of i-antigen conversion to I-antigen elicited by butyrate cannot be directly related to an induction of differentiation since evidence in this sense is lacking; in fact, butyrate did not increase the hemoglobin content of K562 cells. The passage from exponential to stationary phase of growth (cell density inhibition) was associated with an increase in I-antigen expression and a slight decrease in i-antigen density on the surface of K562 cells.","['Testa, U', 'Henri, A', 'Bettaieb, A', 'Titeux, M', 'Vainchenker, W', 'Tonthat, H', 'Docklear, M C', 'Rochant, H']","['Testa U', 'Henri A', 'Bettaieb A', 'Titeux M', 'Vainchenker W', 'Tonthat H', 'Docklear MC', 'Rochant H']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Antigens/*genetics', 'Butyrates/pharmacology', 'Butyric Acid', 'Cell Line', 'Clone Cells', 'DNA Replication', 'Fluorescent Antibody Technique', 'Heme/pharmacology', 'Hemoglobins/analysis', 'Humans', 'Kinetics', 'Leukemia, Myeloid/*immunology']",,1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Nov;42(11):4694-700.,"['0 (Antigens)', '0 (Butyrates)', '0 (Hemoglobins)', '107-92-6 (Butyric Acid)', '42VZT0U6YR (Heme)']",,,,,,,,,
6751522,NLM,MEDLINE,19821216,20171116,0008-5472 (Print) 0008-5472 (Linking),42,11,1982 Nov,Effects of combinations of drugs having different modes of action at the ribonucleotide reductase site on growth of L1210 cells in culture.,4353-7,"Combinations of inhibitors directed at the individual components of ribonucleotide reductase were studied for their effects on L1210 cell growth in culture. The combinations included pyrozoloimidazole (IMPY) plus deoxyadenosine and hydroxyurea plus deoxyadenosine. Modulators were utilized to potentiate the effects of hydroxyurea, IMPY, or deoxyadenosine. Desferal was used to modulate the activity of hydroxyurea and IMPY while erythoro-9-(2-hydroxy-3-nonyl)adenine (EHNA) was used as the modulator of deoxyadenosine metabolism. While the combinations of deoxyadenosine-EHNA, hydroxyurea-Desferal, or IMPY-Desferal caused increased growth inhibition of L1210 cells at high drug concentrations, combinations which consisted of deoxyadenosine-EHNA-IMPY-Desferal or deoxyadenosine-EHNA-hydroxyurea-Desferal gave strong synergistic inhibition of L1210 cell growth in culture at concentrations of each of the drugs which alone had minimal inhibitory effects on tumor cell growth. The four-drug combination was clearly more effective than any three-drug combination in terms of inhibition of tumor cell growth. It was also observed that the concentrations of the modulators (Desferal or EHNA) were as critical as the concentrations of hydroxyurea, IMPY, or deoxyadenosine in establishing an effective drug combination.","['Sato, A', 'Carter, G L', 'Bacon, P E', 'Cory, J G']","['Sato A', 'Carter GL', 'Bacon PE', 'Cory JG']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,IM,"['Adenine/analogs & derivatives/pharmacology', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Deferoxamine/pharmacology', 'Deoxyadenosines/pharmacology', 'Hydroxyurea/pharmacology', 'Kinetics', 'Leukemia L1210/*enzymology', 'Mice', 'Pyrazoles/pharmacology', 'Ribonucleotide Reductases/*metabolism']",,1982/11/01 00:00,1982/11/01 00:01,['1982/11/01 00:00'],"['1982/11/01 00:00 [pubmed]', '1982/11/01 00:01 [medline]', '1982/11/01 00:00 [entrez]']",,ppublish,Cancer Res. 1982 Nov;42(11):4353-7.,"['0 (Antineoplastic Agents)', '0 (Deoxyadenosines)', '0 (Pyrazoles)', '59262-86-1 (9-(2-hydroxy-3-nonyl)adenine)', 'EC 1.17.4.- (Ribonucleotide Reductases)', 'J06Y7MXW4D (Deferoxamine)', 'JAC85A2161 (Adenine)', 'MX6Z942BKY (2,3-dihydro-1H-imidazo(1,2-b)pyrazole)', 'X6Q56QN5QC (Hydroxyurea)']",['CA 27398/CA/NCI NIH HHS/United States'],,,,,,,,
6751438,NLM,MEDLINE,19821216,20190904,0006-5242 (Print) 0006-5242 (Linking),45,4,1982 Oct,Allogeneic marrow transplantation for chronic granulocytic leukemia.,237-42,Six patients with Philadelphia-chromosome (Ph' +)-positive chronic granulocytic leukemia were transplanted from their HLA-identical siblings after conditioning with cyclophosphamide and 1'000 rad total body irradiation. All received cyclosporin-A for prophylaxis of Graft-versus-Host disease. All patients showed prompt engraftment and all are cytogenetically and clinically in complete remission. Two patients had transient mild signs of Graft-versus-Host-disease and one patient had unilateral facial nerve paresis of unknown origin. All are ambulatory and well 6-18 months (median 10 months) after transplantation.,"['Speck, B', 'Gratwohl, A', 'Nissen, C', 'Osterwalder, B', 'Muller, M', 'Bannert, P', 'Muller, H', 'Jeannet, M']","['Speck B', 'Gratwohl A', 'Nissen C', 'Osterwalder B', 'Muller M', 'Bannert P', 'Muller H', 'Jeannet M']",['eng'],['Journal Article'],Germany,Blut,Blut,0173401,IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation', 'Chromosomes, Human, 21-22 and Y', 'Cyclophosphamide/therapeutic use', 'Cyclosporins/therapeutic use', 'Female', 'Graft vs Host Reaction', 'HLA Antigens/analysis', 'Humans', 'Leukemia, Myeloid/*therapy', 'Male', 'Transplantation, Homologous', 'Whole-Body Irradiation']",,1982/10/01 00:00,1982/10/01 00:01,['1982/10/01 00:00'],"['1982/10/01 00:00 [pubmed]', '1982/10/01 00:01 [medline]', '1982/10/01 00:00 [entrez]']",['10.1007/BF00320190 [doi]'],ppublish,Blut. 1982 Oct;45(4):237-42. doi: 10.1007/BF00320190.,"['0 (Cyclosporins)', '0 (HLA Antigens)', '8N3DW7272P (Cyclophosphamide)']",,,,,,,,,
