PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,TT,GR,OID,OAB,OABL,OTO,OT,GN,EIN,SI
4114015,NLM,MEDLINE,19720822,20190908,0036-553X (Print) 0036-553X (Linking),9,2,1972,"The 45, XO, Ph 1 subgroup of chronic granulocytic leukaemia.",186-92,,"['Garson, O M', 'Milligan, W J']","['Garson OM', 'Milligan WJ']",['eng'],['Journal Article'],Denmark,Scand J Haematol,Scandinavian journal of haematology,0404507,IM,"['Bone Marrow Cells', '*Chromosome Aberrations', 'Chromosome Mapping', 'Fluorescence', 'Genotype', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/classification/*genetics', 'Male', 'Middle Aged', 'Quinacrine', 'Staining and Labeling']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",['10.1111/j.1600-0609.1972.tb00929.x [doi]'],ppublish,Scand J Haematol. 1972;9(2):186-92. doi: 10.1111/j.1600-0609.1972.tb00929.x.,['H0C805XYDE (Quinacrine)'],,,,,,,,,,,
4114002,NLM,MEDLINE,19720822,20131121,0027-8874 (Print) 0027-8874 (Linking),49,1,1972 Jul,Rifamycin antibiotics: inhibitors of Rauscher murine leukemia virus reverse transcriptase and of purified DNA polymerases from human normal and leukemic lymphoblasts.,7-25,,"['Yang, S S', 'Herrera, F M', 'Smith, R G', 'Reitz, M S', 'Lancini, G', 'Ting, R C', 'Gallo, R C']","['Yang SS', 'Herrera FM', 'Smith RG', 'Reitz MS', 'Lancini G', 'Ting RC', 'Gallo RC']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['Antibiotics, Antineoplastic', 'DNA Nucleotidyltransferases/*antagonists & inhibitors', 'Humans', 'Imines', 'Leukemia/drug therapy', 'Leukemia, Lymphoid/blood', 'Lymphocytes/enzymology', 'Piperazines', 'Rauscher Virus/enzymology', 'Reverse Transcriptase Inhibitors', '*Rifampin', 'Structure-Activity Relationship']",,1972/07/01 00:00,1972/07/01 00:01,['1972/07/01 00:00'],"['1972/07/01 00:00 [pubmed]', '1972/07/01 00:01 [medline]', '1972/07/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1972 Jul;49(1):7-25.,"['0 (Antibiotics, Antineoplastic)', '0 (Imines)', '0 (Piperazines)', '0 (Reverse Transcriptase Inhibitors)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'VJT6J7R4TR (Rifampin)']",,,,,,,,,,,
4114001,NLM,MEDLINE,19720822,20131121,0027-8874 (Print) 0027-8874 (Linking),49,1,1972 Jul,Rifamycin derivatives strongly inhibiting RNA leads to DNA polymerase (reverse transcriptase) of murine sarcoma viruses.,61-79,,"['Gurgo, C', 'Ray, R', 'Green, M']","['Gurgo C', 'Ray R', 'Green M']",['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,IM,"['DNA Nucleotidyltransferases/*antagonists & inhibitors', 'Hydrazones', 'Imines', 'Moloney murine leukemia virus/enzymology', 'Oximes', 'Reverse Transcriptase Inhibitors', '*Rifampin', 'Streptovaricin', 'Structure-Activity Relationship', 'Thymine Nucleotides/metabolism', 'Tritium']",,1972/07/01 00:00,1972/07/01 00:01,['1972/07/01 00:00'],"['1972/07/01 00:00 [pubmed]', '1972/07/01 00:01 [medline]', '1972/07/01 00:00 [entrez]']",,ppublish,J Natl Cancer Inst. 1972 Jul;49(1):61-79.,"['0 (Hydrazones)', '0 (Imines)', '0 (Oximes)', '0 (Reverse Transcriptase Inhibitors)', '0 (Thymine Nucleotides)', '10028-17-8 (Tritium)', '1404-74-6 (Streptovaricin)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'VJT6J7R4TR (Rifampin)']",,,,,,,,,,,
4113928,NLM,MEDLINE,19720819,20191210,0301-1518 (Print) 0301-1518 (Linking),1,22,1972 May 27,[Seric gamma and alpha 2 globulins and prognosis of chronic lymphoid leukemia. 266 cases].,1493-8,,"['Coeur, P', 'Boissel, J P', 'Creyssel, R', 'Revol, L']","['Coeur P', 'Boissel JP', 'Creyssel R', 'Revol L']",['fre'],['Journal Article'],France,Nouv Presse Med,La Nouvelle presse medicale,0312552,IM,"['Agammaglobulinemia/complications/etiology', 'Alpha-Globulins/*analysis', 'Blood Protein Disorders/*complications', 'Humans', 'Hypergammaglobulinemia/complications', 'Infections/immunology', 'Leukemia, Lymphoid/*blood', '*Prognosis', 'Time Factors', 'gamma-Globulins/*analysis']",,1972/05/27 00:00,1972/05/27 00:01,['1972/05/27 00:00'],"['1972/05/27 00:00 [pubmed]', '1972/05/27 00:01 [medline]', '1972/05/27 00:00 [entrez]']",,ppublish,Nouv Presse Med. 1972 May 27;1(22):1493-8.,"['0 (Alpha-Globulins)', '0 (gamma-Globulins)']",,Gamma et alpha 2 globulines seriques et pronostic de la leucemie lymphoide chronique. 266 observations.,,,,,,,,,
4113873,NLM,MEDLINE,19720819,20131121,0001-527X (Print) 0001-527X (Linking),19,1,1972,Effect of different factors on liver thymidine monophosphate kinase in vivo and the synthesis of thymidine 5'-triphosphate in vitro.,3-10,,"['Greger, J', 'Filippovich, I V', 'Vesely, J', 'Cihak, A']","['Greger J', 'Filippovich IV', 'Vesely J', 'Cihak A']",['eng'],['Journal Article'],Poland,Acta Biochim Pol,Acta biochimica Polonica,14520300R,IM,"['Administration, Oral', 'Animals', 'Azacitidine/pharmacology', 'Cell-Free System', 'Cytidine/*pharmacology', 'Enzyme Induction', 'Female', 'Hepatectomy', 'Leukemia, Experimental/*enzymology', 'Liver/enzymology/*metabolism', '*Liver Regeneration', 'Mice', 'Mice, Inbred Strains', 'Rats', 'Thymidine Kinase/*metabolism', 'Thymine Nucleotides/*metabolism', 'Time Factors', 'Triazines/*pharmacology', 'Tryptophan/*pharmacology']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Acta Biochim Pol. 1972;19(1):3-10.,"['0 (Thymine Nucleotides)', '0 (Triazines)', '5CSZ8459RP (Cytidine)', '8DUH1N11BX (Tryptophan)', 'EC 2.7.1.21 (Thymidine Kinase)', 'M801H13NRU (Azacitidine)']",,,,,,,,,,,
4113835,NLM,MEDLINE,19720818,20190908,0090-0028 (Print) 0090-0028 (Linking),237,76,1972 Jun 14,Loss and recovery of phenotypic expression of Gross leukaemia virus.,215-8,,"['Ioachim, H L', 'Dorsett, B', 'Sabbath, M', 'Keller, S']","['Ioachim HL', 'Dorsett B', 'Sabbath M', 'Keller S']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,IM,"['AKR murine leukemia virus/*immunology', 'Animals', 'Antibody Specificity', 'Antigens, Viral', 'Cell Line', 'Cell Transformation, Neoplastic', 'Cells, Cultured/immunology/microbiology', 'Epitopes', 'Fluorescent Antibody Technique', 'Immunodiffusion', 'Leukemia/immunology', 'Microscopy, Electron', 'Neoplasm Transplantation', 'Neoplasms, Experimental/immunology/microbiology', '*Phenotype', 'Rats', 'Rats, Inbred Strains', 'Thymoma/immunology', 'Thymus Gland/immunology']",,1972/06/14 00:00,1972/06/14 00:01,['1972/06/14 00:00'],"['1972/06/14 00:00 [pubmed]', '1972/06/14 00:01 [medline]', '1972/06/14 00:00 [entrez]']",['10.1038/newbio237215b0 [doi]'],ppublish,Nat New Biol. 1972 Jun 14;237(76):215-8. doi: 10.1038/newbio237215b0.,"['0 (Antigens, Viral)', '0 (Epitopes)']",,,,,,,,,,,
4113815,NLM,MEDLINE,19720818,20190919,0073-5655 (Print) 0073-5655 (Linking),7,5,1972 Mar-Apr,The dye-exclusion test for cell viability: persistence of differential staining following fixation.,323-9,,"['Yip, D K', 'Auersperg, N']","['Yip DK', 'Auersperg N']",['eng'],['Journal Article'],United States,In Vitro,In vitro,0063733,IM,"['Aldehydes', 'Animals', 'Carcinoma', 'Cell Count', 'Cell Line', 'Cell Survival', '*Coloring Agents', 'Histological Techniques', 'Humans', 'Leukemia, Experimental', 'Molecular Weight', 'Mouth Neoplasms', 'Rats', '*Staining and Labeling', 'Time Factors']",,1972/03/01 00:00,1972/03/01 00:01,['1972/03/01 00:00'],"['1972/03/01 00:00 [pubmed]', '1972/03/01 00:01 [medline]', '1972/03/01 00:00 [entrez]']",['10.1007/BF02661722 [doi]'],ppublish,In Vitro. 1972 Mar-Apr;7(5):323-9. doi: 10.1007/BF02661722.,"['0 (Aldehydes)', '0 (Coloring Agents)']",,,,,,,,,,,
4113736,NLM,MEDLINE,19720815,20071115,0034-5164 (Print) 0034-5164 (Linking),3,3,1972 May,Alpha-2-M-globulin pathology.,655-61,,"['Sandor, G', 'Orley, C']","['Sandor G', 'Orley C']",['eng'],['Journal Article'],United States,Res Commun Chem Pathol Pharmacol,Research communications in chemical pathology and pharmacology,0244734,IM,"['Adolescent', 'Adult', 'Agammaglobulinemia/blood', 'Aging', 'Alpha-Globulins/*analysis', 'Anemia/blood', 'Ataxia Telangiectasia/blood', 'Bronchitis/blood', 'Colitis, Ulcerative/blood', 'Collagen Diseases/blood', 'Crohn Disease/blood', 'Diabetes Mellitus/blood', 'Heart Failure/blood', 'Hepatitis A/blood', 'Humans', 'Immune System Diseases/blood', 'Immunodiffusion', 'Leukemia, Lymphoid/blood', 'Liver Cirrhosis/blood', 'Liver Neoplasms/blood', 'Lymphoma, Non-Hodgkin/blood', 'Multiple Myeloma/blood', 'Waldenstrom Macroglobulinemia/blood']",,1972/05/01 00:00,1972/05/01 00:01,['1972/05/01 00:00'],"['1972/05/01 00:00 [pubmed]', '1972/05/01 00:01 [medline]', '1972/05/01 00:00 [entrez]']",,ppublish,Res Commun Chem Pathol Pharmacol. 1972 May;3(3):655-61.,['0 (Alpha-Globulins)'],,,,,,,,,,,
4113726,NLM,MEDLINE,19720815,20191210,0022-1317 (Print) 0022-1317 (Linking),15,2,1972 May,On the relationship between the enzymatic composition and the susceptibility of the cell to viruses.,105-11,,"['Khesin, Y E', 'Amchenkova, A M']","['Khesin YE', 'Amchenkova AM']",['eng'],['Journal Article'],England,J Gen Virol,The Journal of general virology,0077340,IM,"['Adipose Tissue, Brown', 'Alkaline Phosphatase/analysis/*metabolism', 'Amnion', 'Animals', 'Carcinoma', 'Cell Line/enzymology', 'Cells, Cultured/*enzymology/microbiology', 'Chick Embryo', 'Clone Cells/enzymology/microbiology', 'Culture Techniques', 'Enterovirus/*growth & development', 'Fibroblasts/microbiology', 'Haplorhini', 'HeLa Cells/microbiology', 'Heart', 'Histocytochemistry', 'Humans', 'Kidney', 'L Cells/microbiology', 'Laryngeal Neoplasms', 'Leukemia', 'Macaca', 'Mice', 'Staining and Labeling', 'Swine']",,1972/05/01 00:00,1972/05/01 00:01,['1972/05/01 00:00'],"['1972/05/01 00:00 [pubmed]', '1972/05/01 00:01 [medline]', '1972/05/01 00:00 [entrez]']",['10.1099/0022-1317-15-2-105 [doi]'],ppublish,J Gen Virol. 1972 May;15(2):105-11. doi: 10.1099/0022-1317-15-2-105.,['EC 3.1.3.1 (Alkaline Phosphatase)'],,,,,,,,,,,
4113564,NLM,MEDLINE,19720810,20190611,0140-6736 (Print) 0140-6736 (Linking),1,7765,1972 Jun 24,Leucocyte function in Down's syndrome and acute leukaemia.,1359-61,,"['Gregory, L', 'Williams, R', 'Thompson, E']","['Gregory L', 'Williams R', 'Thompson E']",['eng'],"['Clinical Trial', 'Journal Article']",England,Lancet,"Lancet (London, England)",2985213R,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Blood Bactericidal Activity', 'Child', 'Child, Preschool', 'Clinical Trials as Topic', 'Down Syndrome/*immunology', 'Humans', 'Infant', 'Leukemia, Lymphoid/blood/*immunology', 'Leukemia, Myeloid, Acute/blood/*immunology', 'Leukocytes/*immunology', 'Phagocytosis', 'Staphylococcus']",,1972/06/24 00:00,1972/06/24 00:01,['1972/06/24 00:00'],"['1972/06/24 00:00 [pubmed]', '1972/06/24 00:01 [medline]', '1972/06/24 00:00 [entrez]']","['S0140-6736(72)92795-X [pii]', '10.1016/s0140-6736(72)91093-8 [doi]']",ppublish,Lancet. 1972 Jun 24;1(7765):1359-61. doi: 10.1016/s0140-6736(72)91093-8.,,,,,,,,,,,,
4113509,NLM,MEDLINE,19720810,20190508,0022-1007 (Print) 0022-1007 (Linking),136,1,1972 Jul 1,Genetic factors influencing C-type RNA virus induction.,175-84,Genetic factors were studied which affect the inducibility of C-type RNA viruses from embyro cultures of mouse strains with high and low incidence of spontaneous leukemia. Virus was inducible by chemical treatment from secondary embryo cultures of several inbred strains. Both virus inducibility and the capacity of the virus to persist in cells from which it was activated were found to be inherited as dominant genetic characteristics. The results show that the factors controlling virus activation and persistence in culture also play an important role in spontaneous virus expression in the animal.,"['Stephenson, J R', 'Aaronson, S A']","['Stephenson JR', 'Aaronson SA']",['eng'],['Journal Article'],United States,J Exp Med,The Journal of experimental medicine,2985109R,IM,"['Animals', 'Cells, Cultured', 'Embryo, Mammalian/microbiology', '*Genetics, Microbial', 'Idoxuridine/pharmacology', 'Kinetics', 'Leukemia Virus, Murine/enzymology/*growth & development', 'Mice', 'Mice, Inbred Strains', 'RNA-Directed DNA Polymerase/metabolism']",PMC2139189,1972/07/01 00:00,1972/07/01 00:01,['1972/07/01 00:00'],"['1972/07/01 00:00 [pubmed]', '1972/07/01 00:01 [medline]', '1972/07/01 00:00 [entrez]']",['10.1084/jem.136.1.175 [doi]'],ppublish,J Exp Med. 1972 Jul 1;136(1):175-84. doi: 10.1084/jem.136.1.175.,"['EC 2.7.7.49 (RNA-Directed DNA Polymerase)', 'LGP81V5245 (Idoxuridine)']",,,,,,,,,,,
4113402,NLM,MEDLINE,19720809,20190611,0140-6736 (Print) 0140-6736 (Linking),1,7764,1972 Jun 17,Leukaemic transformation of engrafted human marrow cells in vivo.,1310-3,,"['Thomas, E D', 'Bryant, J I', 'Buckner, C D', 'Clift, R A', 'Fefer, A', 'Johnson, F L', 'Neiman, P', 'Ramberg, R E', 'Storb, R']","['Thomas ED', 'Bryant JI', 'Buckner CD', 'Clift RA', 'Fefer A', 'Johnson FL', 'Neiman P', 'Ramberg RE', 'Storb R']",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['*Bone Marrow', '*Bone Marrow Cells', '*Bone Marrow Transplantation', '*Cell Transformation, Neoplastic', 'Child', 'Child, Preschool', 'Cytogenetics', 'Female', 'Humans', 'Leukemia, Lymphoid/drug therapy/radiotherapy/*therapy', '*Lymphocytes', 'Male', 'Microscopy, Fluorescence', 'Recurrence', 'Sex Chromosomes', 'Transplantation, Homologous']",,1972/06/17 00:00,1972/06/17 00:01,['1972/06/17 00:00'],"['1972/06/17 00:00 [pubmed]', '1972/06/17 00:01 [medline]', '1972/06/17 00:00 [entrez]']",['10.1016/s0140-6736(72)91037-9 [doi]'],ppublish,Lancet. 1972 Jun 17;1(7764):1310-3. doi: 10.1016/s0140-6736(72)91037-9.,,,,,,,,,,,,
4113369,NLM,MEDLINE,19720809,20181113,0012-1037 (Print) 0012-1037 (Linking),201,4,1972,[Therapy of leukemic and sarcomatous meningopathies in the adult age].,348-55,,"['Soyka, D', 'Taghavy, A', 'Hartwich, G']","['Soyka D', 'Taghavy A', 'Hartwich G']",['ger'],['Journal Article'],Germany,Z Neurol,Zeitschrift fur Neurologie,0424070,IM,"['Adult', 'Central Nervous System Diseases/*drug therapy', 'Chemical Phenomena', 'Chemistry', 'Humans', 'Injections, Spinal', 'Leukemia, Lymphoid/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', '*Meninges', 'Methotrexate/*therapeutic use', 'Neoplasms/drug therapy']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Z Neurol. 1972;201(4):348-55.,['YL5FZ2Y5U1 (Methotrexate)'],,Die Therapie leukamischer und sarkomatoser Meningopathien im Erwachsenenalter.,,,,,,,,,
4113351,NLM,MEDLINE,19720809,20071115,0007-1048 (Print) 0007-1048 (Linking),22,5,1972 May,Cytochemical demonstration of lysozyme and nitroblue tetrazolium reduction in leukaemia monocytes.,634-5,,"['Catovsky, D', 'Galton, D A']","['Catovsky D', 'Galton DA']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Monocytes/*analysis', '*Muramidase', 'Phagocytosis', 'Staining and Labeling', '*Tetrazolium Salts']",,1972/05/01 00:00,1972/05/01 00:01,['1972/05/01 00:00'],"['1972/05/01 00:00 [pubmed]', '1972/05/01 00:01 [medline]', '1972/05/01 00:00 [entrez]']",,ppublish,Br J Haematol. 1972 May;22(5):634-5.,"['0 (Tetrazolium Salts)', 'EC 3.2.1.17 (Muramidase)']",,,,,,,,,,,
4113337,NLM,MEDLINE,19720808,20190908,0090-0028 (Print) 0090-0028 (Linking),236,67,1972 Apr 12,"Reverse transcriptase, RNA tumour virus transformation and derivatives of rifamycin SV.",163-6,,"['Ting, R C', 'Yang, S S', 'Gallo, R C']","['Ting RC', 'Yang SS', 'Gallo RC']",['eng'],['Journal Article'],England,Nat New Biol,Nature: New biology,0410463,IM,"['Animals', 'Cell Division/drug effects', 'Cell Transformation, Neoplastic/*drug effects', 'Cells, Cultured', 'DNA Nucleotidyltransferases/*antagonists & inhibitors', 'Gammaretrovirus/*enzymology/growth & development', 'Kidney', 'Moloney murine leukemia virus/enzymology', 'Rats', 'Rauscher Virus/enzymology', 'Reverse Transcriptase Inhibitors', 'Rifampin/*pharmacology', 'Vesicular stomatitis Indiana virus/enzymology']",,1972/04/12 00:00,1972/04/12 00:01,['1972/04/12 00:00'],"['1972/04/12 00:00 [pubmed]', '1972/04/12 00:01 [medline]', '1972/04/12 00:00 [entrez]']",['10.1038/newbio236163a0 [doi]'],ppublish,Nat New Biol. 1972 Apr 12;236(67):163-6. doi: 10.1038/newbio236163a0.,"['0 (Reverse Transcriptase Inhibitors)', 'EC 2.7.7.- (DNA Nucleotidyltransferases)', 'VJT6J7R4TR (Rifampin)']",,,,,,,,,,,
4113328,NLM,MEDLINE,19720808,20190611,0140-6736 (Print) 0140-6736 (Linking),2,7767,1972 Jul 8,Haemopoiesis.,90,,"['Baikie, A G', 'Morley, A A']","['Baikie AG', 'Morley AA']",['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['*Hematopoiesis', 'Humans', 'Leukemia, Erythroblastic, Acute/*physiopathology', 'Leukemia, Myeloid/*physiopathology']",,1972/07/08 00:00,1972/07/08 00:01,['1972/07/08 00:00'],"['1972/07/08 00:00 [pubmed]', '1972/07/08 00:01 [medline]', '1972/07/08 00:00 [entrez]']","['S0140-6736(72)91580-2 [pii]', '10.1016/s0140-6736(72)91580-2 [doi]']",ppublish,Lancet. 1972 Jul 8;2(7767):90. doi: 10.1016/s0140-6736(72)91580-2.,,,,,,,,,,,,
4113253,NLM,MEDLINE,19720808,20210526,0003-6919 (Print) 0003-6919 (Linking),23,5,1972 May,Large-volume purification of tumor viruses by use of zonal centrifuges.,1010-4,"Large volumes of fluids from selected cell cultures producing ribonucleic acid tumor viruses were processed by a double sucrose density gradient procedure using zonal centrifuges. The primary recovery utilized a Model K continuous-flow zonal centrifuge at 9 to 11 liters/hr. The virus zone from the Model K gradient was further purified on a second gradient in a B-29 rotor. The resulting viral concentrates at 2 x 10(11) particles per ml showed high purity by electron microscopy and gel analysis and were useful reagents in biochemical and immunological studies of the reverse transcriptase enzyme, virus structure, complement fixation, and other virus properties. Similar recovery methods were applied to other tumor virus systems.","['Toplin, I', 'Sottong, P']","['Toplin I', 'Sottong P']",['eng'],['Journal Article'],United States,Appl Microbiol,Applied microbiology,7605802,IM,"['Animals', 'Avian Sarcoma Viruses/isolation & purification', 'Bone Marrow/microbiology', 'Bone Marrow Cells', 'Cats/embryology', 'Cell Line/microbiology', 'Centrifugation, Zonal/*instrumentation', 'Chick Embryo', 'Methods', 'Mice/embryology', 'Mice, Inbred Strains', 'Microscopy, Electron', 'Moloney murine leukemia virus/isolation & purification', 'Oncogenic Viruses/growth & development/*isolation & purification', 'RNA Viruses/growth & development/*isolation & purification', 'Rauscher Virus/isolation & purification', 'Retroviridae/isolation & purification', 'Satellite Viruses/isolation & purification', 'Staining and Labeling', 'Sucrose', 'Thymus Gland/microbiology', 'Virus Cultivation']",PMC380491,1972/05/01 00:00,1972/05/01 00:01,['1972/05/01 00:00'],"['1972/05/01 00:00 [pubmed]', '1972/05/01 00:01 [medline]', '1972/05/01 00:00 [entrez]']",['10.1128/am.23.5.1010-1014.1972 [doi]'],ppublish,Appl Microbiol. 1972 May;23(5):1010-4. doi: 10.1128/am.23.5.1010-1014.1972.,['57-50-1 (Sucrose)'],,,,,,,,,,,
4113218,NLM,MEDLINE,19720807,20190611,0140-6736 (Print) 0140-6736 (Linking),1,7762,1972 Jun 3,Radiation-related leukaemia and lymphoma.,1236,,"['Black, P J']",['Black PJ'],['eng'],['Journal Article'],England,Lancet,"Lancet (London, England)",2985213R,IM,"['*Leukemia, Radiation-Induced', 'Lymphoma/*etiology', 'Radiation/adverse effects']",,1972/06/03 00:00,1972/06/03 00:01,['1972/06/03 00:00'],"['1972/06/03 00:00 [pubmed]', '1972/06/03 00:01 [medline]', '1972/06/03 00:00 [entrez]']",['10.1016/s0140-6736(72)90955-5 [doi]'],ppublish,Lancet. 1972 Jun 3;1(7762):1236. doi: 10.1016/s0140-6736(72)90955-5.,,,,,,,,,,,,
4113142,NLM,MEDLINE,19720807,20131121,0008-5472 (Print) 0008-5472 (Linking),32,6,1972 Jun,Electron microscope study of a B A L B-c leukemia virus in cell culture systems.,1108-16,,"['Lambertenghi, G', 'De Harven, E', 'Sato, T', 'Tennant, J R']","['Lambertenghi G', 'De Harven E', 'Sato T', 'Tennant JR']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,IM,"['Animals', 'Cell Line', 'Cells, Cultured', 'Ferritins/metabolism', 'Lanthanum/metabolism', '*Leukemia Virus, Murine/growth & development', 'Methods', 'Mice', 'Microscopy, Electron', 'Phagocytosis', 'Staining and Labeling', 'Time Factors', 'Virus Cultivation']",,1972/06/01 00:00,1972/06/01 00:01,['1972/06/01 00:00'],"['1972/06/01 00:00 [pubmed]', '1972/06/01 00:01 [medline]', '1972/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1972 Jun;32(6):1108-16.,"['6I3K30563S (Lanthanum)', '9007-73-2 (Ferritins)']",,,,,,,,,,,
4113044,NLM,MEDLINE,19720801,20041117,0023-6748 (Print) 0023-6748 (Linking),3,,1972,[Differences in blood amino acid composition in men and women during acute leukemia].,169-71,,"['Abramovich, A B', 'Kovaleva, L G']","['Abramovich AB', 'Kovaleva LG']",['rus'],['Journal Article'],Russia (Federation),Lab Delo,Laboratornoe delo,18230140R,IM,"['Acute Disease', 'Amino Acids/analysis/*blood', 'Female', 'Humans', 'Leukemia/*blood', 'Male', 'Sex Factors']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Lab Delo. 1972;3:169-71.,['0 (Amino Acids)'],,Razlichiia v izmeneniiakh aminokislotnogo sostava syvorotki krovi u muzhchin i zhenschin pri ostrom leikoze.,,,,,,,,,
4113043,NLM,MEDLINE,19720801,20041117,0023-6748 (Print) 0023-6748 (Linking),3,,1972,[Total blood protease activity in leukemias and purulent diseases].,167-9,,"['Petukhov, V I', 'Khazova, L A']","['Petukhov VI', 'Khazova LA']",['rus'],['Journal Article'],Russia (Federation),Lab Delo,Laboratornoe delo,18230140R,IM,"['Adolescent', 'Adult', 'Child', 'Focal Infection/blood/enzymology', 'Humans', 'Leukemia/blood/*enzymology', 'Middle Aged', 'Peptide Hydrolases/*blood', 'Suppuration/blood/*enzymology']",,1972/01/01 00:00,1972/01/01 00:01,['1972/01/01 00:00'],"['1972/01/01 00:00 [pubmed]', '1972/01/01 00:01 [medline]', '1972/01/01 00:00 [entrez]']",,ppublish,Lab Delo. 1972;3:167-9.,['EC 3.4.- (Peptide Hydrolases)'],,Obshchaia proteaznaia aktivnost' krovi pri leikozakh i nagnoitel'nykh zabolevaniiakh.,,,,,,,,,
4112916,NLM,MEDLINE,19720729,20031114,0022-1767 (Print) 0022-1767 (Linking),108,5,1972 May,Immunoglobulin and theta-bearing murine leukemias and lymphomas.,1146-51,,"['Shevach, E M', 'Stobo, J D', 'Green, I']","['Shevach EM', 'Stobo JD', 'Green I']",['eng'],['Journal Article'],United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Bone Marrow/*immunology', '*Bone Marrow Cells', 'Cell Membrane/immunology', 'Chromium Isotopes', 'Cytotoxicity Tests, Immunologic', 'Epitopes/analysis', 'Fluorescent Antibody Technique', 'Immune Sera', 'Immunoglobulins/*analysis', 'Isoantigens/analysis', 'Leukemia, Experimental/*immunology', 'Lymphocytes/*immunology', 'Lymphoma/*immunology', 'Mice', 'Plasmacytoma/immunology', 'Rabbits/immunology', 'Thymus Gland/*immunology']",,1972/05/01 00:00,1972/05/01 00:01,['1972/05/01 00:00'],"['1972/05/01 00:00 [pubmed]', '1972/05/01 00:01 [medline]', '1972/05/01 00:00 [entrez]']",,ppublish,J Immunol. 1972 May;108(5):1146-51.,"['0 (Chromium Isotopes)', '0 (Epitopes)', '0 (Immune Sera)', '0 (Immunoglobulins)', '0 (Isoantigens)']",,,,,,,,,,,
4112884,NLM,MEDLINE,19720727,20041117,0028-2162 (Print) 0028-2162 (Linking),116,24,1972 Jun 10,[The importance of cytochemical staining in the diagnosis of leukemia].,1008-13,,"['de Vries, S I', 'Schreuder-van Gelder, R']","['de Vries SI', 'Schreuder-van Gelder R']",['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,IM,"['Bone Marrow Cells', 'Hematopoietic Stem Cells/analysis', '*Histocytochemistry', 'Humans', 'Leukemia/*diagnosis', 'Staining and Labeling']",,1972/06/10 00:00,1972/06/10 00:01,['1972/06/10 00:00'],"['1972/06/10 00:00 [pubmed]', '1972/06/10 00:01 [medline]', '1972/06/10 00:00 [entrez]']",,ppublish,Ned Tijdschr Geneeskd. 1972 Jun 10;116(24):1008-13.,,,De betekenis van cytochemische kleuringen voor de diagnostiek van leukemie.,,,,,,,,,
4112865,NLM,MEDLINE,19720727,20190702,0038-4348 (Print) 0038-4348 (Linking),65,4,1972 Apr,Leukemic infiltration of the prostate.,417-9,,"['Weathers, E A', 'Lathem, J E']","['Weathers EA', 'Lathem JE']",['eng'],['Journal Article'],United States,South Med J,Southern medical journal,0404522,IM,"['Aged', 'Autopsy', 'Biopsy', 'Humans', 'Hyperplasia/complications', 'Leukemia/*complications', 'Leukocyte Count', 'Male', 'Middle Aged', 'Prostate/pathology', 'Prostatic Hyperplasia/*etiology']",,1972/04/01 00:00,1972/04/01 00:01,['1972/04/01 00:00'],"['1972/04/01 00:00 [pubmed]', '1972/04/01 00:01 [medline]', '1972/04/01 00:00 [entrez]']",['10.1097/00007611-197204000-00008 [doi]'],ppublish,South Med J. 1972 Apr;65(4):417-9. doi: 10.1097/00007611-197204000-00008.,,,,,,,,,,,,
