PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CI,AID,DEP,LID,GR,RF,CN,CIN,CON,TT,EIN,PMC,CRF,SI,OID,OTO,OT,GN,CRI
12860002,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,The singular value of CD34 and CD117 expression for minimal residual disease detection in AML.,1069-70,,"['Bahia Kerbauy, D M', 'Kimura, E Y S', 'Chauffaille, M L L F', 'Bordin, J O', 'Kerbauy, J', 'Yamamoto, M']","['Bahia Kerbauy DM', 'Kimura EY', 'Chauffaille ML', 'Bordin JO', 'Kerbauy J', 'Yamamoto M']",,['eng'],"['Comment', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antigens, CD34)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)']",IM,"['Acute Disease', 'Antigens, CD34/*analysis', '*Flow Cytometry', 'Humans', 'Leukemia, Myeloid/*diagnosis', 'Neoplasm, Residual/*diagnosis', 'Proto-Oncogene Proteins c-kit/*analysis']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1069-70. doi: 10.1016/s0145-2126(03)00095-x.,,"['S014521260300095X [pii]', '10.1016/s0145-2126(03)00095-x [doi]']",,,,,,,['Leuk Res. 2002 Jul;26(7):615-9. PMID: 12008077'],,,,,,,,,,
12859999,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Granulocytic sarcoma of the small intestine with CBFbeta/MYH11 fusion gene: report of an aleukaemic case and review of the literature.,1063-6,"Granulocytic sarcomas (GS) are rare extramedullary tumours composed of immature myeloid cells. Inversion of chromosome 16 [inv(16)] is a cytogenetic marker for M4Eo subtype of acute myeloid leukaemia (AML). The possibility of an association between the development of granulocytic sarcoma of the small intestine (GSSI) and the M4Eo subtype of AML was suggested in nine previous case reports. Here we report an aleukaemic case of GSSI with inv(16) and its molecular equivalent, the CBFbeta/MYH11 fusion gene, detected by reverse transcriptase-polymerase chain reaction (RT-PCR), that after treatment with conventional AML chemotherapy followed by autologous bone marrow transplantation, achieved complete haematological and molecular remission on bone marrow examination. After chemotherapy, a thickened ileum wall positive for CBFbeta/MYH11 on tumour mass samples was still observed on computed tomography (CT) studies, raising the question of residual GS representing a reservoir of malignant cells. This case demonstrates the critical need of multidisciplinary diagnosis and follow-up of this entity combining immunopathologic, cytogenetic and molecular studies, reinforcing the potentiality of risk-adapted therapy strategies, as it is increasingly claimed for patients with overt AML.","['Xavier, Sandra G', 'Fagundes, Evandro M', 'Hassan, Rocio', 'Bacchi, Carlos', 'Conchon, Monika', 'Tabak, Daniel G', 'Spector, Nelson', 'Zalcberg, Ilana R']","['Xavier SG', 'Fagundes EM', 'Hassan R', 'Bacchi C', 'Conchon M', 'Tabak DG', 'Spector N', 'Zalcberg IR']","['Bone Marrow Transplantation Center (CEMO), Instituto Nacional de Cancer (INCa), Praca da Cruz Vermelha 23, 7 Andar, 20230-130, Rio de Janeiro, RJ, Brazil.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",England,Leuk Res,Leukemia research,7706787,"['0 (CBFbeta-MYH11 fusion protein)', '0 (Oncogene Proteins, Fusion)']",IM,"['Adult', 'Humans', 'Ileum/diagnostic imaging', 'Intestinal Neoplasms/*genetics', 'Leukemia/complications', 'Male', 'Oncogene Proteins, Fusion/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sarcoma, Myeloid/*genetics', 'Tomography, X-Ray Computed']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1063-6. doi: 10.1016/s0145-2126(03)00070-5.,,"['S0145212603000705 [pii]', '10.1016/s0145-2126(03)00070-5 [doi]']",,,,24,,,,,,,,,,,,,
12859998,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Restimulation of tumour-specific immunity in a patient with AML following injection with B7-1 positive autologous blasts.,1051-61,"Leukaemic blast cells lack co-stimulatory molecules such as B7, necessary for T-lymphocyte activation. We have used modified CD80+ (B7-1+) tumour cells, with autologous, IL-2 producing, stromal marrow cells in a series of subcutaneous vaccinations to provide a localised environment for the enhancement of cytotoxic T-lymphocytes (CTL) in a patient with acute myeloid leukaemia (AML). Localised inflammation was evident after the fifth and sixth injections with a reduction in the number of circulating blasts in the following 2 weeks. Peripheral blood in vitro CTL activity increased 36-47% after five injections.CD4 T-lymphocytes (5.7%) expanded from post-injection skin biopsies, expressed intracellular IFNgamma and perforin when exposed to autologous B7-1+ blasts and when co-cultured with either B7-1+ or unmanipulated autologous blast cells showed proliferative responses. In this patient, co-injection of B7-1+ tumour cells, together with a local source of sustained IL-2, resulted in an autologous anti-leukaemic in vitro immune response.","['Hicks, Christine', 'Cheung, Carol', 'Lindeman, Robert']","['Hicks C', 'Cheung C', 'Lindeman R']","['Department of Haematology, Prince of Wales Hospital, Randwick, Sydney, NSW 2031, Australia. c.hicks@student.unsw.edu.au']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (B7-1 Antigen)', '0 (Membrane Glycoproteins)', '0 (Pore Forming Cytotoxic Proteins)', '126465-35-8 (Perforin)', '82115-62-6 (Interferon-gamma)']",IM,"['Aged', 'B7-1 Antigen/*immunology', 'Bone Marrow Cells/immunology', 'Female', 'Humans', '*Immunization, Passive', 'Interferon-gamma/biosynthesis', 'Leukemia, Myeloid/*immunology/*therapy', 'Lymphocyte Activation', 'Membrane Glycoproteins/biosynthesis', 'Perforin', 'Pore Forming Cytotoxic Proteins', 'T-Lymphocytes/immunology', 'T-Lymphocytes, Cytotoxic/immunology', 'Transduction, Genetic']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1051-61. doi: 10.1016/s0145-2126(03)00058-4.,,"['S0145212603000584 [pii]', '10.1016/s0145-2126(03)00058-4 [doi]']",,,,,,,,,,,,,,,,,
12859997,NLM,MEDLINE,20031003,20191210,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,"OSI-211, a novel liposomal topoisomerase I inhibitor, is active in SCID mouse models of human AML and ALL.",1039-50,"OSI-211 (liposomal lurtotecan), was evaluated using several different dose schedules (1mg/kg, d1-5, 1.75 mg/kg d1, 3, 5 and 6 mg/kg d1, 8) in severe combined immunodeficient (SCID) mouse models of acute myelogenous leukemia (AML) and acute lymphocytic leukemia (ALL) with early treatment (ET, days 6-8) or late treatment (LT, days 15-19), examining early and advanced disease, respectively. Due to the aggressive nature of the Molt-4 model, the ET and LT were accelerated to day 3 or 4 and day 8 post-implant, respectively. For each model, 2 x 10(7) (KBM-3B) or 1 x 10(7) (Molt-4, HL-60 and CEM) leukemia cells were injected intravenously into the tail vein. Each control and test group consisted of eight animals. All three schedules (1mg/kg qd1-5, 1.75 mg/kg d1, 3, 5 and 6 mg/kg d1, 8) increased the life span of OSI-211 treated animals in each model, with a tendency toward improved efficacy with the 6 mg/kg d1, 8 schedule. As a result, the activity of the 6 mg/kg d1, 8 schedule is detailed for each model. ET significantly (P<0.005) increased survival in the KBM-3B model with 86% long-term survivors (LTS). Using PRC analysis, human beta-globin gene sequences in one or several tissues were amplified in all but 3 LTS, suggesting minimal residual disease in 26 of the 29 LTS. LT also significantly (P<0.005) improved average life span in the KBM-3B model, with an average ILS=196+/-11% and one LTS. Treatment of HL-60 leukemia animals significantly (P<0.005) increased life span, with an ILS=213+/-9% and two LTS for ET, and with an ILS=219+/-4% and no LTS for LT. Treatment of Molt-4 animals, the most aggressive leukemia model tested, significantly (P<0.005) increased life span, with an average ILS=181+/-3% and no LTS for ET and an average ILS=172+/-1% with no LTS for LT. In the CEM model, ET resulted in a significantly (P<0.005) improved ILS=244+/-24% with one LTS. In comparison to OSI-211, treatment with DaunoXome, the liposomal formulation of daunorubicin, a drug with clinical efficacy in AML and ALL, had no effect on survival in the KBM-3B, nor Molt-4 A4 leukemia models when administered at its maximum or near maximum tolerated doses of 3mg/kg d1, 8. These data demonstrate that OSI-211 has potent antileukemia activity in preclinical SCID mouse AML and ALL leukemia models, supporting the clinical investigation of OSI-211 for hematological malignancies.","['Tomkinson, Blake', 'Bendele, Ray', 'Giles, Francis J', 'Brown, Eric', 'Gray, Atherton', 'Hart, Karen', 'LeRay, Jeremy D', 'Meyer, Denny', 'Pelanne, Michelle', 'Emerson, David L']","['Tomkinson B', 'Bendele R', 'Giles FJ', 'Brown E', 'Gray A', 'Hart K', 'LeRay JD', 'Meyer D', 'Pelanne M', 'Emerson DL']","['OSI Pharmaceuticals, Inc, 2860 Wilderness Place, Boulder, CO 80301, USA.']",['eng'],"['Evaluation Study', 'Journal Article']",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '4J1L80T08I (lurtotecan)', 'XT3Z54Z28A (Camptothecin)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Camptothecin/*analogs & derivatives/*therapeutic use', 'Disease Models, Animal', 'Drug Evaluation', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Mice', 'Mice, SCID', 'Neoplasm Transplantation', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Transplantation, Heterologous', 'Tumor Cells, Cultured']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1039-50. doi: 10.1016/s0145-2126(03)00092-4.,,"['S0145212603000924 [pii]', '10.1016/s0145-2126(03)00092-4 [doi]']",,,,,,,,,,,,,,,,,
12859995,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,"Treatment of human promyelocytic leukemia in the SCID mouse model with cotylenin A, an inducer of myelomonocytic differentiation of leukemia cells.",1019-25,"Cotylenin A has differentiation-inducing activity in human myeloid leukemia cell lines and leukemic cells that were freshly isolated from acute myeloid leukemia (AML) patients in primary culture. Injection of the human promyelocytic leukemia cell line NB4 into SCID mice resulted in the death of all mice due to leukemia. Administration of cotylenin A significantly prolonged the survival of mice inoculated with NB4 cells. In an in vivo analysis, cotylenin A induced the differentiation of leukemia cells in a retinoid-resistant leukemia model. Cotylenin A may be useful for differentiation therapy of retinoid-resistant leukemia.","['Honma, Yoshio', 'Ishii, Yuki', 'Sassa, Takeshi', 'Asahi, Ken-ichi']","['Honma Y', 'Ishii Y', 'Sassa T', 'Asahi K']","['Department of Chemotherapy, Saitama Cancer Center Research Institute, 818 Komuro Ina, Saitama 362-0806, Japan. honma@cancer-c.pref.saitama.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (Diterpenes)', '0 (Retinoids)', '0 (cotylenin A)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cell Differentiation', 'Diterpenes/*therapeutic use', 'Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy/pathology', 'Mice', '*Mice, SCID', 'Neoplasm Transplantation', 'Retinoids/pharmacology', 'Survival Analysis', 'Transplantation, Heterologous', 'Tumor Cells, Cultured']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1019-25. doi: 10.1016/s0145-2126(03)00071-7.,,"['S0145212603000717 [pii]', '10.1016/s0145-2126(03)00071-7 [doi]']",,,,,,,,,,,,,,,,,
12859994,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Effects of TNFalpha on the growth and sensitivity to cytosine arabinoside of blast progenitors in acute myelogenous leukemia with special reference to the role of NF-kappaB.,1009-18,"Leukemic blasts in acute myelogenous leukemia (AML) are derived from a minor population of cells called blast progenitors. Hematopoietic growth factors (HGFs) stimulate their growth and simultaneously sensitize them to cytosine arabinoside (Ara-C), a cell-cycle-specific cytotoxic drug. Since tumor necrosis factor alpha (TNFalpha) modifies HGF activities, we examined the effects of TNFalpha in combination with HGFs on in vitro growth and Ara-C sensitivity of AML blast progenitors in patient samples. TNFalpha variably affected HGF-supported colony formation and the self-renewal of blast progenitors. However, the combination of TNFalpha with IL-3 uniformly rendered blast progenitors more resistant to Ara-C irrespective of whether TNFalpha suppressed or augmented IL-3-supported growth, indicating that TNFalpha regulates the Ara-C sensitivity of leukemic progenitors independently of their cell cycle status. Since nuclear factor-kappaB (NF-kappaB) is activated by TNFalpha and induces expression of prosurvival genes, effects of the antisense oligodeoxynucleotides to NF-kappaB subunits, p65 and p50, were examined. Antisense oligodeoxynucleotides sensitized HL60 cells to Ara-C but rendered leukemic progenitors in patient samples even more resistant to Ara-C in the presence of TNFalpha and IL-3 in combination, indicating that NF-kappaB is involved in the Ara-C sensitivity of leukemic blast progenitors but may exert opposite dual functions, namely protection from and induction of apoptosis, under different conditions.","['Wu, Zhenghong', 'Shen, Lisong', 'Inatomi, Yuka', 'U, Mami', 'Miyashita, Toshiyuki', 'Toyama, Keisuke', 'Miyauchi, Jun']","['Wu Z', 'Shen L', 'Inatomi Y', 'U M', 'Miyashita T', 'Toyama K', 'Miyauchi J']","[""Department of Clinical Laboratory, National Children's Hospital, Tokyo, Japan.""]",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (NF-kappa B)', '0 (Tumor Necrosis Factor-alpha)', '04079A1RDZ (Cytarabine)']",IM,"['Adult', 'Aged', 'Blast Crisis', 'Cell Division/drug effects', 'Cytarabine/*therapeutic use', 'Hematopoietic Stem Cells/*drug effects', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Middle Aged', 'NF-kappa B/*physiology', 'Tumor Necrosis Factor-alpha/*pharmacology']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):1009-18. doi: 10.1016/s0145-2126(03)00069-9.,,"['S0145212603000699 [pii]', '10.1016/s0145-2126(03)00069-9 [doi]']",,,,,,,,,,,,,,,,,
12859993,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Decitabine induces cell cycle arrest at the G1 phase via p21(WAF1) and the G2/M phase via the p38 MAP kinase pathway.,999-1007,"Methylation of the p16 (INK4a) tumor suppressor gene is observed frequently in multiple myeloma and various forms of lymphoma and mediates silencing of p16 gene expression. In this investigation, we have determined the effect of the DNA demethylating drug decitabine (DAC; 5-aza-2'-deoxycytidine) on the growth, cell cycle kinetics, RB phosphorylation, and expression of p16 (INK4a) and p21(WAF1) in EBV- human myeloma and EBV+ lymphoblastic cell lines possessing silenced, methylated p16 (INK4a) genes to: (1). evaluate its potential as a therapeutic agent and (2). investigate its mechanism of action. Demethylation of the p16 (INK4a) gene and expression of the p16 (INK4a) protein were observed using higher doses (10(-6)-10(-7)M) of drug while growth inhibition at lower doses (IC(50)=2 x 10(-8)-4 x 10(-8)M) was associated with RB dephosphorylation and increased expression of p21 (WAF1), but not with induction of p16 (INK4a), or apoptosis. Kinetic experiments demonstrated that RB dephosphorylation and the increase of p21 (WAF1) preceded the induction of p16 (INK4a). The drug induced cell cycle arrest at the G1 and G2/M phases. Antisense experiments demonstrated that the G1 arrest was mediated by transcriptional induction of p21(WAF1). In addition to these observed effects on cell cycle regulatory proteins, decitabine also increased phosphorylation of p38 MAP kinase. The G2/M arrest was inhibited by the p38 MAP kinase inhibitor SB203580, indicating that activation of p38 MAP kinase pathway was required for G2/M arrest. Thus, decitabine inhibited growth by inducing cell cycle arrest at the G1 phase mediated by p21(WAF1) and the G2/M phase through activation of the p38 MAP kinase pathway.","['Lavelle, Donald', 'DeSimone, Joseph', 'Hankewych, Maria', 'Kousnetzova, Tatiana', 'Chen, Yi-Hsiang']","['Lavelle D', 'DeSimone J', 'Hankewych M', 'Kousnetzova T', 'Chen YH']","['VA Chicago, Westside Division, Hematology Research MP151C, 820 South Damen Avenue, Chicago, IL 60612, USA. dlavelle@uic.edu']",['eng'],['Journal Article'],England,Leuk Res,Leukemia research,7706787,"['0 (Antimetabolites, Antineoplastic)', '0 (Carrier Proteins)', '0 (Cyclin-Dependent Kinase Inhibitor p21)', '0 (Cyclins)', '776B62CQ27 (Decitabine)', 'EC 2.7.11.24 (p38 Mitogen-Activated Protein Kinases)', 'M801H13NRU (Azacitidine)']",IM,"['Antimetabolites, Antineoplastic/*pharmacology/therapeutic use', 'Azacitidine/*analogs & derivatives/*pharmacology/therapeutic use', 'Carrier Proteins/metabolism', 'Cell Cycle/drug effects', 'Cell Division/drug effects', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/metabolism', 'DNA Methylation', 'Decitabine', 'Dose-Response Relationship, Drug', 'G1 Phase', 'Kinetics', 'Leukemia, Lymphoid/drug therapy/*metabolism', 'Mitosis', 'Multiple Myeloma/drug therapy/*metabolism', 'Phosphorylation', 'Tumor Cells, Cultured', 'p38 Mitogen-Activated Protein Kinases']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):999-1007. doi: 10.1016/s0145-2126(03)00068-7.,,"['S0145212603000687 [pii]', '10.1016/s0145-2126(03)00068-7 [doi]']",,,,,,,,,,,,,,,,,
12859991,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Prognostic significance of trisomy 4 as the sole cytogenetic abnormality in acute myeloid leukemia.,983-91,"Trisomy 4 is a recurrent but rare cytogenetic abnormality reported in patients with acute myeloblastic leukemia (AML). The prognostic significance of this abnormality in patients with AML is not clear. We report here four cases of trisomy 4 as the sole cytogenetic abnormality in AML patients treated at our institute during the last 15 years and systematically review all reported cases of trisomy 4 as a solitary cytogenetic abnormality in AML with the aim of studying the disease demography and prognostic significance of this abnormality. Collective data on 30 patients (including four in the present report) showed complete remission (CR) rates of 76.6%. Median relapse free survival and overall survival were 7 months (95% CI 5-17) and 9 months (95% CI 3-17), respectively. Given the limitations of reported literature, the prognosis of AML patients with trisomy 4 appears to be poor compared with the intermediate risk cytogenetics. Collaborations between major institutions and cooperative groups are needed to collect better quality data to understand the prognostic significance of such rare karyotypic abnormalities.","['Gupta, Vikas', 'Minden, Mark D', 'Yi, Qi-Long', 'Brandwein, Joseph', 'Chun, Kathy']","['Gupta V', 'Minden MD', 'Yi QL', 'Brandwein J', 'Chun K']","['Department of Medical Oncology and Hematology, Princess Margaret Hospital, University Health Network, Room 5-224, 610-University Avenue, Toronto, Ont, Canada M5G 2M9. vikas.gupta@uhn.on.ca']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Leuk Res,Leukemia research,7706787,,IM,"['Adolescent', 'Adult', 'Aged', '*Chromosomes, Human, Pair 4', 'Disease-Free Survival', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Prognosis', 'Remission Induction', 'Survival Analysis', '*Trisomy']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):983-91. doi: 10.1016/s0145-2126(03)00076-6.,,"['S0145212603000766 [pii]', '10.1016/s0145-2126(03)00076-6 [doi]']",,,,58,,,,,,,,,,,,,
12859990,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Sensitive and quantitative detection of mutations associated with clinical resistance to STI-571.,979-82,"Resistance to chronic myeloid leukemia (CML) drug STI571 has been associated with point mutations in the kinase domain of BCR-ABL. For example, the mutation T315I (g. 68721C>T) and, to a lesser extent, Y253F (g. 58796A>T) appear in a significant proportion of patients resistant to treatment. Mutations appear intimately related to the development of resistance, and they may pre-exist in a small percentage (<1%) of tumor cells at the time of treatment initiation. Most mutation detection methods, including sequencing, are unable to detect such a small percentage of mutations in a background of wild type sequences. We describe the simplification and modification of a recently developed enhanced PCR-RFLP method, and its application to the detection of T315I and Y253F mutations. The method is quantitative, can be used in agarose gel or real time PCR formats, and reliably detects 1 mutation-containing cell in a background of almost 1000 non-mutated cells. The increased sensitivity offered by this assay will allow detection of these mutations at an early stage during treatment and will be useful in rational treatment modification and in studies which address the association between these mutations and drug resistance.","['Liu, Wei-Hua', 'Makrigiorgos, G Mike']","['Liu WH', 'Makrigiorgos GM']","['Department of Radiation Oncology, Dana Farber Cancer Institute, Harvard Medical School, Boston, MA 02115, USA.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'DNA Mutational Analysis/*methods', 'Drug Resistance, Neoplasm/*genetics', 'Enzyme Inhibitors/therapeutic use', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Molecular Diagnostic Techniques/methods', 'Mutation', 'Piperazines/*therapeutic use', '*Polymerase Chain Reaction/methods', '*Polymorphism, Restriction Fragment Length', 'Protein-Tyrosine Kinases/antagonists & inhibitors/*genetics', 'Pyrimidines/*therapeutic use']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):979-82. doi: 10.1016/s0145-2126(03)00066-3.,,"['S0145212603000663 [pii]', '10.1016/s0145-2126(03)00066-3 [doi]']",,,['5 T32 CA09078/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,
12859989,NLM,MEDLINE,20031003,20190827,0145-2126 (Print) 0145-2126 (Linking),27,11,2003 Nov,Imatinib: resisting the resistance.,977-8,,"['Rothberg, Paul G']",['Rothberg PG'],,['eng'],"['Comment', 'Editorial']",England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'DNA Mutational Analysis/*methods', 'Drug Resistance, Neoplasm/*genetics', 'Enzyme Inhibitors', 'Humans', 'Imatinib Mesylate', 'Leukemia/drug therapy', 'Piperazines/*therapeutic use', 'Protein-Tyrosine Kinases/antagonists & inhibitors/*genetics', 'Pyrimidines/*therapeutic use']",2003/07/16 05:00,2003/10/04 05:00,['2003/07/16 05:00'],"['2003/07/16 05:00 [pubmed]', '2003/10/04 05:00 [medline]', '2003/07/16 05:00 [entrez]']",ppublish,Leuk Res. 2003 Nov;27(11):977-8. doi: 10.1016/s0145-2126(03)00096-1.,,"['S0145212603000961 [pii]', '10.1016/s0145-2126(03)00096-1 [doi]']",,,,,,,['Blood. 2003 Jan 15;101(2):473-5. PMID: 12393385'],,,,,,,,,,
