PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GS,TT,GR,PMC,CIN,SI,EIN,CON,OID,PS,FPS,OTO,OT,GN,CRF
2033580,NLM,MEDLINE,19910626,20190709,0022-2623 (Print) 0022-2623 (Linking),34,5,1991 May,DNA-directed alkylating agents. 4. 4-anilinoquinoline-based minor groove directed aniline mustards.,1552-60,"A series of 4-anilinoquinoline-linked aniline mustards of widely varying mustard reactivity were prepared and evaluated for their antitumor activity. The compounds were designed as minor grove binding agents, where the aniline mustard ring is itself part of the DNA-binding ligand. While there was a general trend for cytotoxicity to correlate with mustard reactivity, this was much less pronounced than with untargeted mustards. The compounds were much more cytotoxic than the parent diols, and were also at least 10-fold more cytotoxic than the corresponding aniline mustards themselves. Comparative cell line studies suggested that the mechanism of cytotoxicity varied with mustard reactivity. The most reactive mustards cross-linked DNA, while cell killing by the less reactive compounds appeared to be by the formation of bulky monoadducts. The compounds were active but not particularly dose-potent against P388 leukemia in vivo. The modest potency may be related to their poor aqueous solubility, since the more soluble methyl quaternary salts were equally active at much lower doses.","['Gravatt, G L', 'Baguley, B C', 'Wilson, W R', 'Denny, W A']","['Gravatt GL', 'Baguley BC', 'Wilson WR', 'Denny WA']","['Department of Pathology, University of Auckland School of Medicine, New Zealand.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Med Chem,Journal of medicinal chemistry,9716531,IM,"['Alkylating Agents/*chemical synthesis/therapeutic use', 'Aniline Mustard/*analogs & derivatives', 'Animals', 'Antineoplastic Agents/*chemical synthesis/therapeutic use', 'Cell Line', 'DNA/*metabolism', 'Leukemia P388/*drug therapy', 'Mice', 'Solubility', 'Structure-Activity Relationship']",1991/05/01 00:00,1991/05/01 00:01,['1991/05/01 00:00'],"['1991/05/01 00:00 [pubmed]', '1991/05/01 00:01 [medline]', '1991/05/01 00:00 [entrez]']",['10.1021/jm00109a005 [doi]'],ppublish,J Med Chem. 1991 May;34(5):1552-60. doi: 10.1021/jm00109a005.,"['0 (Alkylating Agents)', '0 (Antineoplastic Agents)', '9007-49-2 (DNA)', 'CUJ6745Z9J (Aniline Mustard)']",,,,,,,,,,,,,,,,
2033414,NLM,MEDLINE,19910626,20171116,0732-183X (Print) 0732-183X (Linking),9,6,1991 Jun,Monthly pulses of vincristine and prednisone prevent bone marrow and testicular relapse in low-risk childhood acute lymphoblastic leukemia: a report of the CCG-161 study by the Childrens Cancer Study Group.,1012-21,"On study CCG-161 of the Childrens Cancer Study Group (CCSG), 631 children with acute lymphoblastic leukemia (ALL) at low risk for relapse were randomized to receive monthly pulses of vincristine-prednisone (VCR-PDN ) during maintenance therapy in addition to standard therapy with mercaptopurine (6MP) and methotrexate (MTX), and either cranial irradiation during consolidation or intrathecal (IT) MTX every 3 months during maintenance. All patients received six doses of IT MTX during induction and consolidation. With a minimum follow-up time of 4.25 years, 76.7% receiving VCR-PDN were in continuous complete remission at 5 years, in contrast to 63.9% receiving GMP-MTX alone (P = .002). The difference in relapse-free survival was due primarily to bone marrow relapse (P = .0008), and in boys also to testicular relapse (P = .003). Among the nonirradiated patients, the 5-year disease-free survival (DFS) was 79.4% for patients randomized to the VCR-PDN pulses, in contrast to 61.2% for the patients randomized to receive 6MP-MTX alone (P = .0002). Among the irradiated patients, the DFS was not significantly different. Of the four combinations of maintenance and CNS therapy studied, the highest DFS was achieved with VCR-PDN pulses and maintenance IT MTX.","['Bleyer, W A', 'Sather, H N', 'Nickerson, H J', 'Coccia, P F', 'Finklestein, J Z', 'Miller, D R', 'Littman, P S', 'Lukens, J N', 'Siegel, S E', 'Hammond, G D']","['Bleyer WA', 'Sather HN', 'Nickerson HJ', 'Coccia PF', 'Finklestein JZ', 'Miller DR', 'Littman PS', 'Lukens JN', 'Siegel SE', 'Hammond GD']","[""Children's Hospital and Medical Center, Seattle, WA.""]",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Bone Marrow Diseases/*prevention & control', 'Brain Neoplasms/prevention & control', 'Child, Preschool', 'Combined Modality Therapy', 'Drug Administration Schedule', 'Female', 'Follow-Up Studies', 'Humans', 'Injections, Spinal', 'Male', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality/radiotherapy', 'Prednisone/administration & dosage', 'Random Allocation', 'Recurrence', 'Remission Induction', 'Survival Rate', 'Testicular Neoplasms/*prevention & control', 'Vincristine/administration & dosage']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",['10.1200/JCO.1991.9.6.1012 [doi]'],ppublish,J Clin Oncol. 1991 Jun;9(6):1012-21. doi: 10.1200/JCO.1991.9.6.1012.,"['5J49Q6B70F (Vincristine)', 'E7WED276I5 (Mercaptopurine)', 'VB0R961HZT (Prednisone)', 'YL5FZ2Y5U1 (Methotrexate)']",,,,"['CA 02971/CA/NCI NIH HHS/United States', 'CA 13539/CA/NCI NIH HHS/United States', 'CA 17829/CA/NCI NIH HHS/United States', 'etc.']",,,,,,,,,,,,
2033397,NLM,MEDLINE,19910626,20190907,0162-0134 (Print) 0162-0134 (Linking),41,2,1991 Feb 1,"Synthesis, characterization, DNA binding, and cytotoxic studies of some mixed-ligand palladium(II) and platinum(II) complexes of alpha-diimine and amino acids.",93-103,"The syntheses of nine palladium(II) complexes of type [Pd(phen)(AA)]+ (where AA is an anion of glycine, L-alanine, L-leucine, L-phenylalanine, L-tyrosine, L-tryptophan, L-valine, L-proline, or L-serine) have been achieved. These palladium(II) complexes have been characterized by ultraviolet-visible, infrared, and 1H NMR spectroscopy. The binding studies of several complexes [M(NN)(AA)]+ (where M is Pd(II) as Pt(II), NN is 2,2'-bipyridine or 1,10-phenanthrodine, and AA is an anion of amino acid) with calf thymus DNA have been carried out using UV difference absorption and fluorescence spectroscopy. The mode of binding of the above complexes to DNA suggests the involvement of the hydrogen bonding between them. Several complexes [M(phen)(AA)]+ (where M is Pd(II) or Pt(II) and AA is an anion of amino acid) have also been screened for cytotoxicity in P388 lymphocytic cells. Of them, only two complexes, [Pd(Phen)(Gly)]+ and [Pd(phen)(Val)]+, show comparable cytotoxicity, as cisplatin does.","['Mital, R', 'Srivastava, T S', 'Parekh, H K', 'Chitnis, M P']","['Mital R', 'Srivastava TS', 'Parekh HK', 'Chitnis MP']","['Department of Chemistry, Indian Institute of Technology, Bombay.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Inorg Biochem,Journal of inorganic biochemistry,7905788,IM,"['Amino Acids/*chemical synthesis/metabolism/therapeutic use', 'Animals', 'Antineoplastic Agents/*chemical synthesis/metabolism/therapeutic use', 'Cisplatin/therapeutic use', 'DNA/*metabolism', 'Ethidium', 'Glycine/analogs & derivatives/chemical synthesis/metabolism/therapeutic use', 'Hydrogen Bonding', 'Leukemia P388/drug therapy', 'Magnetic Resonance Spectroscopy', 'Molecular Structure', 'Organometallic Compounds/*chemical synthesis/metabolism/therapeutic use', 'Palladium/*metabolism/therapeutic use', 'Phenanthrolines/chemical synthesis/metabolism/therapeutic use', 'Spectrometry, Fluorescence', 'Spectrophotometry', 'Valine/analogs & derivatives/chemical synthesis/metabolism/therapeutic use']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']","['0162-0134(91)80003-Z [pii]', '10.1016/0162-0134(91)80003-z [doi]']",ppublish,J Inorg Biochem. 1991 Feb 1;41(2):93-103. doi: 10.1016/0162-0134(91)80003-z.,"['0 (Amino Acids)', '0 (Antineoplastic Agents)', '0 (Organometallic Compounds)', '0 (Phenanthrolines)', '132901-05-4 (1,10-phenanthroline-valine palladium(II))', '132958-37-3 (1,10-phenanthroline-glycine palladium(II))', '5TWQ1V240M (Palladium)', '9007-49-2 (DNA)', 'EN464416SI (Ethidium)', 'HG18B9YRS7 (Valine)', 'Q20Q21Q62J (Cisplatin)', 'TE7660XO1C (Glycine)']",,,,,,,,,,,,,,,,
2033265,NLM,MEDLINE,19910625,20061115,0022-1767 (Print) 0022-1767 (Linking),146,11,1991 Jun 1,Induction of protective immunity to Friend murine leukemia virus in genetic nonresponders to virus envelope protein.,3958-63,"(B10.A x A/WySn)F1, H-2a/a, mice are genetic nonresponders to the envelope protein of Friend murine leukemia helper virus (F-MuLV) when immunized with a recombinant vaccinia virus expressing F-MuLV env gene. In contrast these mice can be protectively immunized against leukemogenic Friend virus complex using formalin-fixed F-MuLV virions in CFA. To determine which viral proteins were responsible for this immune protection, virion proteins prepared by SDS-PAGE and electroelution were used to immunize mice. Purified gp70 envelope protein in CFA was capable of inducing strong immune protection against the challenge with Friend virus complex in H-2a/a mice. Immunologic studies demonstrated that immunized mice developed a virus-specific T cell proliferative response and showed IgM to IgG Ig class switching of virus-neutralizing antibodies. These results indicated that genetically controlled immune nonresponsiveness to F-MuLV envelope Ag in H-2a/a mice could be overcome using denatured viral envelope protein together with a strong adjuvant.","['Ishihara, C', 'Miyazawa, M', 'Nishio, J', 'Chesebro, B']","['Ishihara C', 'Miyazawa M', 'Nishio J', 'Chesebro B']","['United States Department of Health and Human Services, National Institutes of Health, National Institute of Allergy and Infectious Diseases, Hamilton, MT 59840.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Immunol,"Journal of immunology (Baltimore, Md. : 1950)",2985117R,IM,"['Animals', 'Antibodies, Viral/biosynthesis', 'Female', 'Friend murine leukemia virus/*immunology', 'H-2 Antigens/*genetics', 'Immunization', 'Immunoglobulin G/biosynthesis', 'Male', 'Mice', 'T-Lymphocytes/immunology', 'Vaccinia virus/immunology', 'Viral Envelope Proteins/*immunology']",1991/06/01 00:00,1991/06/01 00:01,['1991/06/01 00:00'],"['1991/06/01 00:00 [pubmed]', '1991/06/01 00:01 [medline]', '1991/06/01 00:00 [entrez]']",,ppublish,J Immunol. 1991 Jun 1;146(11):3958-63.,"['0 (Antibodies, Viral)', '0 (H-2 Antigens)', '0 (Immunoglobulin G)', '0 (Viral Envelope Proteins)']",,,,,,,,,,,,,,,,
2033144,NLM,MEDLINE,19910626,20190709,0190-9622 (Print) 0190-9622 (Linking),24,4,1991 Apr,HTLV-I-associated myelopathy in a patient with adult T-cell leukemia.,633-7,"Disseminated erythematous papules and plaques developed in a 60-year-old man 3 years before the appearance of neurologic manifestations. A biopsy specimen of the plaque revealed Pautrier's microabscess and a dense mononuclear cell infiltration with atypical convoluted nuclei in the papillary dermis. These cells were helper/inducer T lymphocytes that expressed the interleukin 2 receptor. The patient's white blood cell count was normal, but 1% atypical lymphocytes and a high titer of anti-human T-lymphotropic virus (HTLV)-I antibody were detected in his serum. A smoldering type of adult T-cell leukemia was diagnosed. While he was being treated with PUVA, a gait disturbance developed. A high titer of anti-HTLV-I antibody, characteristic of HTLV-I-associated myelopathy, was demonstrated in his cerebrospinal fluid.","['Yasui, C', 'Fukaya, T', 'Koizumi, H', 'Kobayashi, H', 'Ohkawara, A']","['Yasui C', 'Fukaya T', 'Koizumi H', 'Kobayashi H', 'Ohkawara A']","['Department of Dermatology, Hokkaido University School of Medicine, Sapporo, Japan.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,IM,"['Humans', 'Leukemia, T-Cell/*complications/diagnosis/pathology', 'Male', 'Middle Aged', 'Paraparesis, Tropical Spastic/*complications', 'Skin/pathology', 'Skin Diseases/etiology/pathology']",1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']","['0190-9622(91)70098-M [pii]', '10.1016/0190-9622(91)70098-m [doi]']",ppublish,J Am Acad Dermatol. 1991 Apr;24(4):633-7. doi: 10.1016/0190-9622(91)70098-m.,,,,,,,,,,,,,,,,,
2032954,NLM,MEDLINE,19910626,20190723,0021-8820 (Print) 0021-8820 (Linking),44,4,1991 Apr,"3'-Deoxytalopiericidin A1, a novel analog of antitumor antibiotics fromoligotroph.",451-2,,"['Iwasaki, H', 'Kamisango, K', 'Kuboniwa, H', 'Sasaki, H', 'Matsubara, S']","['Iwasaki H', 'Kamisango K', 'Kuboniwa H', 'Sasaki H', 'Matsubara S']",,['eng'],['Letter'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,IM,"['*Aminoglycosides', 'Animals', 'Anti-Bacterial Agents/*chemistry/isolation & purification/therapeutic use', 'Antibiotics, Antineoplastic/*chemistry/isolation & purification/therapeutic use', 'Colonic Neoplasms/drug therapy', 'Leukemia L1210/drug therapy', 'Magnetic Resonance Spectroscopy', 'Mice', 'Molecular Structure', 'Tumor Cells, Cultured']",1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",['10.7164/antibiotics.44.451 [doi]'],ppublish,J Antibiot (Tokyo). 1991 Apr;44(4):451-2. doi: 10.7164/antibiotics.44.451.,"['0 (Aminoglycosides)', '0 (Anti-Bacterial Agents)', '0 (Antibiotics, Antineoplastic)', ""134876-72-5 (3'-deoxytalopiericidin A1)""]",,,,,,,,,,,,,,,,
2032949,NLM,MEDLINE,19910626,20191210,0021-8820 (Print) 0021-8820 (Linking),44,4,1991 Apr,"Maduropeptin, a complex of new macromolecular antitumor antibiotics.",403-14,"Maduropeptin, a complex of new macromolecular antitumor antibiotics, is a metabolite of Actinomadura madurae H710-49. The active components maduropeptins A1, A2 and B are acidic chromopeptides with MW of around 22,500 and composed of 14 types of amino acids and an unstable chromophore. The antibiotics are active in vitro against Gram-positive bacteria and highly cytotoxic to tumor cells. They produced significant prolongation of survival time of mice implanted with P388 leukemia and B16 melanoma.","['Hanada, M', 'Ohkuma, H', 'Yonemoto, T', 'Tomita, K', 'Ohbayashi, M', 'Kamei, H', 'Miyaki, T', 'Konishi, M', 'Kawaguchi, H', 'Forenza, S']","['Hanada M', 'Ohkuma H', 'Yonemoto T', 'Tomita K', 'Ohbayashi M', 'Kamei H', 'Miyaki T', 'Konishi M', 'Kawaguchi H', 'Forenza S']","['Bristol-Myers Squibb Research Institute, Tokyo, Japan.']",['eng'],['Journal Article'],Japan,J Antibiot (Tokyo),The Journal of antibiotics,0151115,IM,"['Actinomyces/metabolism', 'Amino Acids/analysis', 'Animals', '*Anti-Bacterial Agents', 'Antibiotics, Antineoplastic/biosynthesis/chemistry/*therapeutic use', 'Antimicrobial Cationic Peptides', 'Chromatography, High Pressure Liquid', 'Drug Stability', 'Enediynes', 'Female', 'Gram-Positive Bacteria/drug effects', 'Leukemia P388/drug therapy', 'Male', 'Melanoma, Experimental/drug therapy', 'Mice', 'Molecular Weight', 'Peptide Biosynthesis', 'Peptides/chemistry/therapeutic use', 'Photochemistry']",1991/04/01 00:00,1991/04/01 00:01,['1991/04/01 00:00'],"['1991/04/01 00:00 [pubmed]', '1991/04/01 00:01 [medline]', '1991/04/01 00:00 [entrez]']",['10.7164/antibiotics.44.403 [doi]'],ppublish,J Antibiot (Tokyo). 1991 Apr;44(4):403-14. doi: 10.7164/antibiotics.44.403.,"['0 (Amino Acids)', '0 (Anti-Bacterial Agents)', '0 (Antibiotics, Antineoplastic)', '0 (Antimicrobial Cationic Peptides)', '0 (Enediynes)', '0 (Peptides)', '134910-70-6 (maduropeptin A1)', '134910-71-7 (maduropeptin A2)', '134910-72-8 (maduropeptin B)', '134910-73-9 (maduropeptin C)']",,,,,,,,,,,,,,,,
2032736,NLM,MEDLINE,19910624,20191029,0272-457X (Print) 0272-457X (Linking),10,1,1991 Feb,The monoclonal antibody 11G7 recognizes a novel differentiation antigen expressed on hemopoietic precursor cells.,77-88,"A monoclonal antibody (11G7) detecting a novel antigen on human hemopoietic progenitor cells (named 11G7R = 11G7 receptor) was raised by immunization of a Balb/c mouse with the leukemic blasts of a patient suffering from chronic myelogenous leukemia blast crisis (CML-BC). The antigen is expressed on most of MHC class II bearing peripheral blood leucocytes (PBL) and on a subpopulation of bone marrow mononuclear cells (BMMNC). By FACS-sorting and colony assays, it could be demonstrated that 11G7R is expressed on myelo-monocytic and myelo-granulocytic bone marrow precursor cells (GM-CFC, G-CFC, M-CFC) but is absent from erythroid precursor cells (BFU-E) and on cells exhibiting the capacity to form mixed colonies (GEMM-CFC). Double-fluorescence analysis on BMMNC revealed that 11G7R is expressed on a subset of B-cells, myeloid cells and cells carrying the HPCA-1 antigen (CD34). It has a similar distribution pattern to the myeloid antigens CD13 and CD33. However, in contrast to these antigens, 11G7R is also expressed on the blasts of several lymphoid leukemias (4/9 B-ALL, 1/2 T-ALL) and therefore it is not restricted to the myeloid lineage.","['Buhring, H J', 'Saalmuller, A', 'Muller, C', 'van Agthoven, A J', 'Busch, F W']","['Buhring HJ', 'Saalmuller A', 'Muller C', 'van Agthoven AJ', 'Busch FW']","['Second Department of Internal Medicine, Medical University Clinic of Tubingen, Federal Republic of Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hybridoma,Hybridoma,8202424,IM,"['Animals', '*Antibodies, Monoclonal', '*Antigens, Differentiation/chemistry', 'Hematopoietic Stem Cells/*immunology', 'Humans', 'Hybridomas/immunology', 'Immunochemistry', 'Immunoglobulin G', 'Leukemia/immunology', 'Leukocytes, Mononuclear/immunology', 'Mice', 'Tumor Cells, Cultured/immunology']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",['10.1089/hyb.1991.10.77 [doi]'],ppublish,Hybridoma. 1991 Feb;10(1):77-88. doi: 10.1089/hyb.1991.10.77.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation)', '0 (Immunoglobulin G)']",,,,,,,,,,,,,,,,
2032719,NLM,MEDLINE,19910625,20190903,0888-7543 (Print) 0888-7543 (Linking),9,3,1991 Mar,The generation of DNA probes to chromosome 11q23 by Alu PCR on small numbers of flow-sorted 22q- derivative chromosomes.,473-80,"A strategy for the isolation of DNA probes from small numbers of flow-sorted human chromosomes has been developed. A lymphoblastoid cell line carrying the 22q- derivative chromosome product of the constitutional t(11;22) translocation was used as the source of chromosomes. Synthetic oligonucleotide primers, based on the consensus Alu sequence, were used to amplify inter-Alu sequence from 500 flow-sorted 22q- derivative chromosomes. The amplified sequences were cloned into a plasmid vector by blunt-end ligation, yielding clones with inserts in the range of 400 to 1000 bp. Approximately 70% of these clones hybridized to human DNA as single-copy probes. To identify clones derived from chromosome 11, the library was screened with a heterogeneous probe prepared by Alu-PCR amplification from the DNA of a somatic cell hybrid containing one homology of chromosome 11. All the positive clones found were mapped to within the q23-q25 region of chromosome 11 known to be translocated onto the 22q- derivative chromosome. Further mapping studies showed that most of these probes (7/8) lay between the breakpoints for the t(4;11) translocation of acute lymphocytic leukemia and the t(11;22) of Ewing sarcoma. Thus, the use of Alu-PCR on the small derivative chromosome 22q- has provided a greatly enriched source of probes to region 11q23, a part of the genome that is currently of great interest. This approach will be particularly appropriate to small numbers of chromosomes when high specificity rather than total representation is required.","['Cotter, F E', 'Das, S', 'Douek, E', 'Carter, N P', 'Young, B D']","['Cotter FE', 'Das S', 'Douek E', 'Carter NP', 'Young BD']","[""ICRF Department of Medical Oncology, St. Bartholomew's Hospital, London, England.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Genomics,Genomics,8800135,IM,"['Animals', 'Base Sequence', 'Blotting, Southern', 'Cell Line', 'Chromosome Mapping', '*Chromosomes, Human, Pair 11', 'Cloning, Molecular', 'Consensus Sequence', '*DNA Probes', 'Flow Cytometry', 'Gene Amplification', 'Humans', 'Molecular Sequence Data', 'Oligodeoxyribonucleotides', 'Polymerase Chain Reaction', 'Repetitive Sequences, Nucleic Acid', 'Translocation, Genetic/genetics']",1991/03/01 00:00,1991/03/01 00:01,['1991/03/01 00:00'],"['1991/03/01 00:00 [pubmed]', '1991/03/01 00:01 [medline]', '1991/03/01 00:00 [entrez]']","['0888-7543(91)90413-9 [pii]', '10.1016/0888-7543(91)90413-9 [doi]']",ppublish,Genomics. 1991 Mar;9(3):473-80. doi: 10.1016/0888-7543(91)90413-9.,"['0 (DNA Probes)', '0 (Oligodeoxyribonucleotides)']",,,,,,,,,,,,,,,,
2032551,NLM,MEDLINE,19910627,20071114,0171-9335 (Print) 0171-9335 (Linking),54,1,1991 Feb,"Effects of Brefeldin A on the Golgi complex, endoplasmic reticulum and viral envelope glycoproteins in murine erythroleukemia cells.",38-54,"This report concerns the effects of Brefeldin A (BFA): i) on the Golgi complex and the ER of retrovirus-transformed murine erythroleukemia (MEL) cells and, ii) on the viral proteins these cells express. Golgi complexes were extensively disorganized by BFA. Within 5 min, most stacked cisternae were converted to vesicles scattered throughout the centrosphere region. By 30 min, the Golgi complexes were completely disassembled. Only clusters of small vesicles (""Golgi remnants"") persisted in the vicinity of the centrioles and microtubule-organizing centers. Some of these small vesicles had a simple coat structure on their membranes. Over the next 1 to 2 h of BFA treatment, the number of vesicles in the Golgi area decreased concomitantly with the expansion of a predominantly smooth membrane portion of the ER, consisting of a network of dilated tubules in continuity with regular RER cisternae, annulate lamellae and the nuclear envelope. By electron microscopy, viral glycoproteins appeared to accumulate on the membranes of this network, and immature virions were found to bud preferentially into its cisternal space. Viral accumulations increased with time under BFA. The rest of the RER appeared normal, apparently unaffected by the drug. Preferential virion budding suggests that this expanding network is a chemically differentiated part of the ER. By immunofluorescence, antibodies to viral envelope proteins gave a punctate staining at the surface of control cells, presumably in the areas of virion budding, whereas relatively large intracellular masses of antigens were found in BFA-treated cells. We assume that these masses represent the differentiated parts of the ER. Taken together, these findings suggest that BFA blocks intracellular transport of newly synthesized cellular and viral proteins immediately distal to the distinct compartment of the ER in which virion budding preferentially occurs. BFA effects are rapidly and fully reversible. Within 1 min of the removal of the drug, stacks of Golgi cisternae began to reappear in the vicinity of the centrioles, and by 30 min, Golgi complexes regained their normal structural appearance.","['Ulmer, J B', 'Palade, G E']","['Ulmer JB', 'Palade GE']","['Department of Cell Biology, Yale University School of Medicine, New Haven, CT.']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Germany,Eur J Cell Biol,European journal of cell biology,7906240,IM,"['Animals', 'Antiviral Agents/*pharmacology', 'Brefeldin A', 'Cyclopentanes/*pharmacology', 'Endoplasmic Reticulum/*drug effects/metabolism/ultrastructure', 'Golgi Apparatus/*drug effects/metabolism/ultrastructure', 'Leukemia, Erythroblastic, Acute', 'Mice', 'Microscopy, Electron', 'Retroviridae/drug effects/metabolism', 'Tumor Cells, Cultured', 'Viral Envelope Proteins/*drug effects/metabolism/ultrastructure']",1991/02/01 00:00,1991/02/01 00:01,['1991/02/01 00:00'],"['1991/02/01 00:00 [pubmed]', '1991/02/01 00:01 [medline]', '1991/02/01 00:00 [entrez]']",,ppublish,Eur J Cell Biol. 1991 Feb;54(1):38-54.,"['0 (Antiviral Agents)', '0 (Cyclopentanes)', '0 (Viral Envelope Proteins)', '20350-15-6 (Brefeldin A)']",,,,['1 PO1 CA 46128-01/CA/NCI NIH HHS/United States'],,,,,,,,,,,,
2032495,NLM,MEDLINE,19910627,20140226,0578-1426 (Print) 0578-1426 (Linking),30,1,1991 Jan,[Correlation of immunophenotype with clinical features in T-cell acute lymphoblastic leukemia].,"35-9, 61","The immunophenotype of leukemicblasts from 111 patients with T-ALL or T-NHL were further examined by using a panel of standardized McAbs of CD nomenclature to human leukocyte differentiation antigens. Four major subsets of T-ALL were defined: pre T-ALL, immature T-ALL (I), common T-ALL (II) and mature T-ALL (III), with the percentages 20.7%, 20.7%, 20.7% and 37.0% respectively. In addition there was a case with M-T acute hybrid leukemia. Some of the clinical features of the patients with T-ALL and T-NHL were compared. It was found that male predominance, older age, higher leukocyte count, lower platelet level, relative higher hemoglobin level and increased incidence of extramedullary involvement, including hepatomegaly, splenomegaly and lymphadenopathy were alike for all subsets of T-ALL cases. However, the average white cell level and incidence of lymphadenopathy in the pre T-ALL subset significantly differed from those in other subsets. The correlation of immunophenotype with morphologic characterization was also discussed in this paper.","['Shen, M Y', 'Bai, Y', 'Lai, C N']","['Shen MY', 'Bai Y', 'Lai CN']","['Institute of Basic Medical Sciences, Beijing, China.']",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Nei Ke Za Zhi,Zhonghua nei ke za zhi,16210490R,IM,"['Adolescent', 'Adult', 'Antibodies, Monoclonal/immunology', 'Antigens, Differentiation, T-Lymphocyte/immunology', 'Antigens, Surface/immunology', 'Child', 'Child, Preschool', 'Female', 'Humans', '*Immunophenotyping', 'Leukemia-Lymphoma, Adult T-Cell/*classification/immunology', 'Lymphoma, T-Cell/*classification/immunology', 'Male']",1991/01/01 00:00,1991/01/01 00:01,['1991/01/01 00:00'],"['1991/01/01 00:00 [pubmed]', '1991/01/01 00:01 [medline]', '1991/01/01 00:00 [entrez]']",,ppublish,"Zhonghua Nei Ke Za Zhi. 1991 Jan;30(1):35-9, 61.","['0 (Antibodies, Monoclonal)', '0 (Antigens, Differentiation, T-Lymphocyte)', '0 (Antigens, Surface)']",,,,,,,,,,,,,,,,
